Orthogroup	DROME	CAPO3
OG0000694	DROME18910	CAPO302468
OG0000696	DROME04806, DROME04805, DROME04807, DROME04804, DROME04808	CAPO305456
OG0000699	DROME04408, DROME04407, DROME04406	CAPO306785
OG0000701	DROME19925, DROME19926, DROME06204, DROME17248	CAPO306727
OG0000703	DROME18602, DROME10089, DROME09744, DROME10003, DROME10370, DROME10371, DROME17633	CAPO308078
OG0000708	DROME21751, DROME21752	CAPO302130
OG0000708	DROME18239	CAPO300640
OG0000711	DROME09984, DROME09982, DROME09983, DROME08678, DROME09749, DROME09750	CAPO304713
OG0000713	DROME14995	CAPO302804
OG0000715	DROME09525, DROME09528, DROME09523, DROME09527, DROME09526, DROME09524	CAPO305197
OG0000717	DROME21009	CAPO302989
OG0000718	DROME16064, DROME16063, DROME16059, DROME16062, DROME16061, DROME16060, DROME18208	CAPO301597, CAPO306021
OG0000721	DROME21732, DROME19802, DROME19803, DROME19797, DROME19800, DROME19798, DROME19799, DROME19801	CAPO305154, CAPO301906
OG0000724	DROME18296, DROME18300, DROME18301, DROME18294, DROME18295, DROME18297, DROME18299, DROME18298	CAPO300826
OG0000726	DROME21495, DROME21494, DROME21492, DROME21493	CAPO302910
OG0000731	DROME03051, DROME03053, DROME03052	CAPO304569
OG0000732	DROME00208, DROME00209	CAPO304867
OG0000732	DROME15061	CAPO302445
OG0000733	DROME17454, DROME15558, DROME15560, DROME15556, DROME15557, DROME15561, DROME15562, DROME15564, DROME15563, DROME15559	CAPO301695
OG0000735	DROME13083, DROME13084, DROME13089, DROME13086, DROME13097, DROME13098, DROME13085, DROME13100, DROME13096, DROME13092, DROME13101, DROME13102, DROME13090, DROME13099, DROME13091, DROME13095, DROME13087, DROME13094, DROME13088, DROME13093	CAPO302824
OG0000736	DROME02615, DROME02614, DROME12312, DROME12313, DROME09313	CAPO306770
OG0000737	DROME16700, DROME16699, DROME17539, DROME17538, DROME17537, DROME17535, DROME17536, DROME17534, DROME17533	CAPO304586
OG0000747	DROME04467, DROME04468	CAPO303187
OG0000751	DROME06060, DROME06059, DROME06061, DROME06062	CAPO302771
OG0000752	DROME09086	CAPO300507
OG0000752	DROME20521, DROME11363	CAPO305335
OG0000753	DROME16114, DROME16113	CAPO301378
OG0000755	DROME04400, DROME04398, DROME04396, DROME04397, DROME04399, DROME04395	CAPO300267
OG0000757	DROME07057	CAPO307096
OG0000758	DROME04523, DROME04522, DROME04521	CAPO305275
OG0000759	DROME01056, DROME11263, DROME11264, DROME11262, DROME11261, DROME01055, DROME03914, DROME03913, DROME01209, DROME01208	CAPO300473
OG0000761	DROME04780, DROME04784, DROME04782, DROME04781, DROME04785, DROME04783	CAPO305655
OG0000765	DROME04789, DROME04788	CAPO301853
OG0000766	DROME06054, DROME06055, DROME01015	CAPO300388
OG0000767	DROME14005, DROME12823, DROME12824	CAPO305367
OG0000772	DROME13216	CAPO304708, CAPO302709
OG0000774	DROME18935, DROME18934	CAPO306995
OG0000775	DROME05200, DROME01281, DROME01282	CAPO306201
OG0000776	DROME20100, DROME20102, DROME20101	CAPO307356
OG0000779	DROME13622	CAPO305943
OG0000779	DROME20961	CAPO300301
OG0000788	DROME11403	CAPO304590
OG0000791	DROME16118, DROME16117, DROME16116, DROME16119, DROME16121, DROME16120	CAPO304699
OG0000792	DROME20865	CAPO305838
OG0000793	DROME20859, DROME20860	CAPO301604
OG0000794	DROME04329, DROME04334, DROME04330, DROME04337, DROME04333, DROME04335, DROME04336, DROME04331, DROME04332	CAPO304031
OG0000796	DROME03139, DROME03140, DROME10211	CAPO301075
OG0000797	DROME01160, DROME01161, DROME01159	CAPO307534
OG0000803	DROME06528, DROME04971, DROME16667, DROME08404, DROME08406, DROME08405, DROME06525, DROME06526, DROME15315, DROME15314, DROME15313, DROME14537, DROME01677, DROME14535, DROME14536, DROME17631, DROME09542, DROME09543, DROME19328, DROME18830, DROME15873	CAPO301668
OG0000810	DROME04963, DROME04962, DROME04964, DROME08670	CAPO305098, CAPO306601
OG0000813	DROME18040, DROME18039	CAPO300040, CAPO308168
OG0000814	DROME05066, DROME05065, DROME03302, DROME03301, DROME03299, DROME03298, DROME04088, DROME04090	CAPO307227
OG0000815	DROME01377, DROME01376	CAPO300838
OG0000816	DROME03072, DROME03071, DROME03076, DROME03075	CAPO304990
OG0000817	DROME06292	CAPO303823, CAPO300023, CAPO308202
OG0000818	DROME03806, DROME03805	CAPO307656
OG0000820	DROME04117, DROME04116, DROME04115	CAPO303993, CAPO304861, CAPO306914, CAPO301340, CAPO300173, CAPO302332, CAPO305090, CAPO300452
OG0000825	DROME11281, DROME11282	CAPO305165, CAPO306157, CAPO306129
OG0000826	DROME12091	CAPO306060
OG0000827	DROME19293, DROME19294, DROME19292, DROME17067	CAPO304578
OG0000828	DROME20305	CAPO306023
OG0000828	DROME19137	CAPO307153
OG0000834	DROME13922	CAPO306233
OG0000836	DROME02582, DROME02579, DROME02580, DROME02581, DROME17758, DROME17759	CAPO306019, CAPO307821
OG0000837	DROME05419, DROME18149	CAPO308104, CAPO303511
OG0000838	DROME18797	CAPO303856
OG0000841	DROME06878, DROME06876, DROME06877, DROME06879	CAPO307470
OG0000844	DROME14407, DROME14403, DROME14406, DROME14408, DROME14404, DROME14409, DROME14405	CAPO306591, CAPO307267
OG0000847	DROME16726	CAPO301759, CAPO307057
OG0000847	DROME03898, DROME03895, DROME03896, DROME03897	CAPO308298
OG0000849	DROME20644, DROME20643, DROME20641, DROME20642, DROME20640, DROME20638, DROME20637, DROME20639	CAPO304492
OG0000850	DROME12440, DROME20308	CAPO302141
OG0000850	DROME12322	CAPO306299
OG0000851	DROME20685, DROME20686	CAPO304092
OG0000852	DROME08938, DROME08937	CAPO307622
OG0000857	DROME20946, DROME20950, DROME20948, DROME20947, DROME20949, DROME20951	CAPO302559
OG0000858	DROME07517, DROME07518	CAPO306693
OG0000860	DROME09397, DROME09396, DROME09404, DROME09403, DROME09399, DROME09402, DROME09401, DROME09400, DROME09405, DROME09398	CAPO306338
OG0000871	DROME03028	CAPO300407
OG0000872	DROME09696, DROME09697, DROME09695	CAPO308293
OG0000873	DROME18351, DROME18349, DROME18350, DROME18353, DROME18354, DROME18352	CAPO307878
OG0000875	DROME01940, DROME01939, DROME06587	CAPO303418, CAPO302903
OG0000876	DROME08528, DROME08526, DROME08524, DROME08527, DROME08525	CAPO302150
OG0000879	DROME00001, DROME21621, DROME11009	CAPO304627, CAPO301982
OG0000881	DROME06288, DROME06289	CAPO301333, CAPO300020
OG0000881	DROME20749, DROME20746, DROME20750, DROME20748, DROME20747, DROME20751, DROME20752, DROME20753	CAPO308042
OG0000888	DROME13818	CAPO300320
OG0000889	DROME20531, DROME20532	CAPO302257
OG0000889	DROME20008	CAPO304144
OG0000894	DROME01898, DROME01895, DROME01896, DROME01894, DROME01897	CAPO300968, CAPO300967
OG0000894	DROME08778, DROME08777	CAPO301227
OG0000896	DROME07637, DROME07636	CAPO304049
OG0000897	DROME09205, DROME09206, DROME05934, DROME06642	CAPO306059
OG0000904	DROME14411, DROME14410	CAPO305539
OG0000905	DROME11749	CAPO303384
OG0000909	DROME21889, DROME21890, DROME21873, DROME21876, DROME21877, DROME21875, DROME19901, DROME19900	CAPO300878
OG0000911	DROME15954, DROME15951, DROME15953, DROME15956, DROME15955, DROME15952, DROME15957	CAPO302608
OG0000913	DROME01636, DROME01633, DROME01634, DROME01635, DROME10634, DROME10638, DROME10637, DROME10636, DROME10635, DROME10633, DROME05629, DROME10407, DROME10406, DROME08899, DROME10631, DROME10640, DROME10639, DROME21277, DROME21276, DROME21275	CAPO300255
OG0000914	DROME20954, DROME12686, DROME12687, DROME12688, DROME12689, DROME12694, DROME12693, DROME12692, DROME12691, DROME12690, DROME06233, DROME06234, DROME06235	CAPO302002
OG0000921	DROME01540	CAPO300272
OG0000925	DROME02762, DROME02761, DROME13733, DROME13734	CAPO304563
OG0000929	DROME02144, DROME02147, DROME02145, DROME02146, DROME02148, DROME02143	CAPO303494
OG0000931	DROME06107, DROME06103, DROME06106, DROME06105, DROME06104	CAPO303586
OG0000933	DROME00363	CAPO304170
OG0000934	DROME18021	CAPO306946, CAPO300619
OG0000934	DROME12197, DROME12198	CAPO304006
OG0000935	DROME19387	CAPO307401
OG0000944	DROME06673, DROME05002, DROME05004, DROME05003, DROME05001, DROME05005, DROME04999, DROME05000	CAPO304090
OG0000952	DROME18132	CAPO300179
OG0000954	DROME12405, DROME12406, DROME12407	CAPO305800
OG0000955	DROME04991, DROME04992, DROME04993, DROME04990	CAPO303429
OG0000955	DROME09197	CAPO305513
OG0000955	DROME02414	CAPO301514
OG0000960	DROME04151, DROME04150, DROME04154, DROME04153, DROME04158, DROME04156, DROME04161, DROME04149, DROME04152, DROME04155, DROME04157, DROME04160, DROME04159	CAPO304728
OG0000963	DROME09182, DROME09184, DROME09183, DROME07082	CAPO303990
OG0000965	DROME10303	CAPO305928
OG0000965	DROME10622	CAPO302148
OG0000967	DROME01950, DROME01951, DROME01952	CAPO304786
OG0000974	DROME20587, DROME20537, DROME20538	CAPO306940
OG0000978	DROME08128, DROME08129, DROME08130, DROME08127, DROME08125, DROME08126	CAPO306307
OG0000982	DROME07397, DROME07866, DROME07869, DROME07868, DROME07870, DROME07867	CAPO301371
OG0000984	DROME12019, DROME07638	CAPO307940
OG0000985	DROME16403, DROME16400, DROME16401, DROME16404, DROME16402	CAPO304864
OG0000986	DROME00033, DROME00029, DROME00034, DROME00031, DROME00030, DROME00032	CAPO305058
OG0000987	DROME05032, DROME05034, DROME05033, DROME05035, DROME05036	CAPO306365
OG0000992	DROME02382, DROME02383	CAPO308244
OG0000994	DROME20689	CAPO306999
OG0000997	DROME21618, DROME00173, DROME00174	CAPO306501
OG0000999	DROME05157, DROME05156	CAPO303484, CAPO302236
OG0001006	DROME12303	CAPO308145
OG0001009	DROME10731	CAPO305830
OG0001015	DROME02246, DROME04125	CAPO304771
OG0001016	DROME03793	CAPO300038
OG0001016	DROME04453	CAPO302596
OG0001018	DROME19524	CAPO305732
OG0001024	DROME14925	CAPO300862
OG0001033	DROME16359	CAPO305083
OG0001033	DROME01958	CAPO300376
OG0001036	DROME21959	CAPO301917
OG0001037	DROME07145, DROME07148, DROME07147, DROME07146	CAPO306107
OG0001039	DROME19717, DROME19715, DROME19716, DROME12713	CAPO305080
OG0001042	DROME12465, DROME12464, DROME12463, DROME12462	CAPO301530
OG0001046	DROME05889	CAPO304357
OG0001049	DROME15991	CAPO305769
OG0001050	DROME09499, DROME09500	CAPO306760
OG0001060	DROME06478, DROME01930	CAPO302777
OG0001062	DROME12175, DROME12172	CAPO300111
OG0001064	DROME16728	CAPO304594
OG0001066	DROME06399	CAPO305156
OG0001072	DROME08170	CAPO304331
OG0001073	DROME03543, DROME03544, DROME03542	CAPO307880
OG0001075	DROME05007, DROME05008	CAPO305658
OG0001076	DROME10433, DROME10436, DROME10429, DROME10434, DROME10430, DROME10435, DROME10431, DROME10432	CAPO306580
OG0001078	DROME16039, DROME16040	CAPO300211
OG0001082	DROME16087, DROME16088, DROME16090, DROME16089	CAPO306944
OG0001083	DROME07895, DROME07890, DROME07893, DROME07892, DROME07896, DROME07887, DROME07888, DROME07889, DROME07891, DROME07885, DROME07886, DROME07894	CAPO306339
OG0001085	DROME18407, DROME18408, DROME18409	CAPO305936
OG0001092	DROME19209, DROME19207, DROME19204, DROME19205, DROME19206, DROME19208, DROME19203	CAPO303664
OG0001095	DROME09258, DROME09254, DROME09255, DROME09256, DROME09257, DROME09253	CAPO303064
OG0001096	DROME20588, DROME20589, DROME02389	CAPO308143
OG0001101	DROME01099	CAPO301529
OG0001104	DROME04004, DROME02777, DROME02778, DROME02350, DROME02351	CAPO306923
OG0001108	DROME12857, DROME12858, DROME12856, DROME12855, DROME21101, DROME21100, DROME21098, DROME21099, DROME21102, DROME18011	CAPO300863
OG0001113	DROME18531, DROME18532	CAPO302840
OG0001113	DROME01680	CAPO304589
OG0001114	DROME14934, DROME16341	CAPO307418
OG0001116	DROME11717, DROME11714, DROME11715, DROME11716	CAPO303103
OG0001121	DROME11643, DROME11644, DROME11645, DROME11642	CAPO305030
OG0001123	DROME20601	CAPO307047
OG0001124	DROME13810	CAPO307326
OG0001126	DROME07144	CAPO301067
OG0001128	DROME07099, DROME07102, DROME07101, DROME07098, DROME07100	CAPO301710
OG0001129	DROME06610	CAPO306230
OG0001130	DROME08159, DROME08055, DROME04983, DROME04982	CAPO305636
OG0001132	DROME12585, DROME12584, DROME12583, DROME12582	CAPO303538
OG0001133	DROME02832	CAPO300360
OG0001135	DROME18153, DROME18152	CAPO300673, CAPO304787
OG0001136	DROME15241, DROME15244, DROME15239, DROME15245, DROME15243, DROME15240, DROME15238, DROME15242, DROME15236, DROME15237	CAPO301949
OG0001137	DROME07212, DROME07220, DROME07223, DROME07218, DROME07213, DROME07221, DROME07215, DROME07214, DROME07216, DROME07226, DROME07219, DROME07222, DROME07224, DROME07227, DROME07229, DROME07217, DROME07228, DROME07225	CAPO308164
OG0001139	DROME11285, DROME11284, DROME20784	CAPO300537
OG0001140	DROME04492, DROME04491	CAPO308326
OG0001142	DROME15460, DROME15458, DROME15459	CAPO304790
OG0001143	DROME17973, DROME17969, DROME17968, DROME17972, DROME17970, DROME17971, DROME17975, DROME17976, DROME17974, DROME17978, DROME17977	CAPO304300
OG0001144	DROME08380	CAPO307577
OG0001148	DROME04431, DROME04432	CAPO302512
OG0001149	DROME20514	CAPO305549
OG0001156	DROME20509, DROME20508, DROME20507, DROME20506, DROME20511, DROME20510	CAPO306962
OG0001158	DROME08138, DROME08137	CAPO302639
OG0001160	DROME05833, DROME05832, DROME05835, DROME05834	CAPO304743
OG0001161	DROME10169, DROME10171, DROME10167, DROME10168, DROME10170	CAPO301112
OG0001163	DROME10630, DROME14555, DROME14557, DROME14693, DROME17901, DROME17899	CAPO301684, CAPO307755, CAPO304886
OG0001164	DROME08761, DROME08760, DROME08762, DROME08763, DROME08759	CAPO304142
OG0001167	DROME17311	CAPO307849
OG0001168	DROME02336	CAPO301546
OG0001170	DROME16781	CAPO302766
OG0001175	DROME10674	CAPO304133, CAPO306812
OG0001184	DROME03279	CAPO306392
OG0001185	DROME09235, DROME09236, DROME09242, DROME09234, DROME09239, DROME09241, DROME09240, DROME09237, DROME09238	CAPO303366
OG0001186	DROME11811, DROME11812	CAPO302303
OG0001186	DROME18932	CAPO307451
OG0001188	DROME07119, DROME07117, DROME07120, DROME07116, DROME07118	CAPO300558
OG0001196	DROME19139	CAPO301570
OG0001197	DROME14364	CAPO306552
OG0001201	DROME20824, DROME20825, DROME20823, DROME20822	CAPO302220
OG0001208	DROME21826, DROME21829, DROME21823, DROME21824, DROME21830, DROME21827, DROME21819, DROME21821, DROME21825, DROME21822, DROME21820, DROME21828, DROME21813, DROME21818, DROME21814, DROME21817, DROME21815, DROME21816	CAPO300830
OG0001209	DROME03307	CAPO302948
OG0001210	DROME01292	CAPO300919
OG0001210	DROME21654, DROME21653	CAPO302555
OG0001213	DROME12028	CAPO304729
OG0001213	DROME15857	CAPO303632
OG0001214	DROME14229, DROME14228, DROME14227, DROME14223, DROME14224, DROME14225, DROME14226	CAPO304780, CAPO303564
OG0001215	DROME05613, DROME05611, DROME05612	CAPO302583
OG0001216	DROME20096, DROME20097, DROME20095, DROME15498	CAPO307997
OG0001217	DROME06701	CAPO306810
OG0001218	DROME12108, DROME12211, DROME12213, DROME12212	CAPO307457
OG0001221	DROME09514	CAPO307765
OG0001226	DROME09885, DROME09884, DROME09883, DROME09882	CAPO307936
OG0001232	DROME01876, DROME01877, DROME01878	CAPO304224
OG0001234	DROME10228, DROME10226, DROME10225, DROME10229, DROME10230, DROME10227, DROME10232, DROME10231	CAPO307897
OG0001241	DROME02596	CAPO303368
OG0001241	DROME03537	CAPO304888
OG0001247	DROME18852	CAPO303193, CAPO307423
OG0001248	DROME02625, DROME02624, DROME02623	CAPO303079
OG0001249	DROME05745, DROME05744, DROME04456, DROME04455	CAPO306922
OG0001250	DROME10391, DROME10390, DROME10392	CAPO302323
OG0001251	DROME08364	CAPO304205
OG0001251	DROME04532	CAPO302019
OG0001253	DROME16727, DROME02601	CAPO306156
OG0001254	DROME22031, DROME22029, DROME22030, DROME22035, DROME22032, DROME22034, DROME22036, DROME22038, DROME22037, DROME22033	CAPO307546
OG0001261	DROME00542, DROME00543, DROME00540, DROME00541	CAPO302839
OG0001262	DROME01661	CAPO301672
OG0001263	DROME01386, DROME01387	CAPO301777
OG0001267	DROME13068	CAPO307578
OG0001268	DROME04920, DROME04921	CAPO303692
OG0001270	DROME12379	CAPO306176
OG0001270	DROME02961	CAPO304393
OG0001271	DROME20484	CAPO302779
OG0001272	DROME17237, DROME17236, DROME17235, DROME17243	CAPO305566
OG0001273	DROME01252, DROME01250, DROME01249, DROME01248, DROME01251	CAPO301889
OG0001274	DROME06585, DROME06586, DROME06584	CAPO308194
OG0001276	DROME10323, DROME10324, DROME10319, DROME10320, DROME10316, DROME10317, DROME10321, DROME10318, DROME10322	CAPO302888
OG0001278	DROME15730, DROME15455, DROME15454, DROME15456	CAPO306229
OG0001279	DROME15211, DROME15210	CAPO302733
OG0001280	DROME15706	CAPO300326
OG0001281	DROME19100	CAPO304088, CAPO303543
OG0001282	DROME04060, DROME04059, DROME04058	CAPO303595
OG0001284	DROME14235, DROME05418	CAPO300970
OG0001286	DROME11490, DROME11489, DROME11491	CAPO303892
OG0001287	DROME15976, DROME15975, DROME04476	CAPO302822, CAPO304538
OG0001288	DROME19787, DROME09388, DROME09389	CAPO302651
OG0001289	DROME16010, DROME16008, DROME16009	CAPO306071
OG0001290	DROME13148, DROME13147, DROME10925, DROME10926, DROME10924	CAPO302574
OG0001291	DROME21166, DROME21165, DROME18055, DROME18056	CAPO300695
OG0001294	DROME19278	CAPO304223
OG0001295	DROME16525, DROME16522, DROME16520, DROME16519, DROME16524, DROME16523, DROME16521	CAPO306210
OG0001296	DROME21670, DROME21668, DROME21671, DROME21667, DROME21666, DROME21669	CAPO308260
OG0001297	DROME13456, DROME08203, DROME08204	CAPO305437
OG0001300	DROME21326, DROME21325, DROME21324	CAPO300154
OG0001302	DROME00539	CAPO302654
OG0001304	DROME00069, DROME00065, DROME00070, DROME00066, DROME00067, DROME00068	CAPO302419
OG0001305	DROME04834, DROME04832, DROME04829, DROME04830, DROME04835, DROME04836, DROME04825, DROME04826, DROME04833, DROME04837, DROME04827, DROME04838, DROME04828, DROME04839, DROME04831	CAPO304488
OG0001308	DROME17402, DROME17401, DROME17403, DROME17400, DROME17399	CAPO300432
OG0001310	DROME15600	CAPO305405
OG0001311	DROME20740, DROME20738, DROME20739, DROME20741, DROME06164	CAPO300585
OG0001318	DROME17213	CAPO306280
OG0001318	DROME09513	CAPO303315
OG0001319	DROME01307	CAPO304915
OG0001321	DROME16103	CAPO301358
OG0001322	DROME15932	CAPO302022
OG0001323	DROME18781, DROME18779, DROME18782, DROME18780	CAPO301735
OG0001325	DROME14232	CAPO304115
OG0001326	DROME03927	CAPO306149
OG0001327	DROME02674, DROME02673, DROME02675, DROME18410	CAPO305568
OG0001328	DROME20058, DROME14994	CAPO302287
OG0001330	DROME21688, DROME21687, DROME21684, DROME21685, DROME21686, DROME21683	CAPO304584, CAPO300112
OG0001332	DROME01823, DROME19220, DROME11272	CAPO305487
OG0001333	DROME11916, DROME20312, DROME20313, DROME18937	CAPO305523
OG0001344	DROME04657, DROME04656	CAPO308153
OG0001348	DROME03492, DROME03491, DROME03495, DROME03494, DROME03493, DROME03496	CAPO304908
OG0001350	DROME03240, DROME03239	CAPO305116, CAPO303054
OG0001350	DROME20607	CAPO307484
OG0001352	DROME11579, DROME11580	CAPO303801
OG0001353	DROME12504, DROME12505	CAPO303379
OG0001355	DROME18115	CAPO307732
OG0001358	DROME16322, DROME16324, DROME16323, DROME16316, DROME16315, DROME16314, DROME16318, DROME16317, DROME16319, DROME16422	CAPO302204
OG0001359	DROME20396, DROME20399, DROME20398, DROME20397	CAPO303726
OG0001361	DROME10441	CAPO306689
OG0001364	DROME18347, DROME18348	CAPO307249
OG0001366	DROME19931, DROME19932, DROME19933, DROME19934	CAPO302707
OG0001367	DROME04540, DROME04542, DROME04539, DROME04538, DROME04541, DROME04537, DROME04535, DROME04534, DROME04536	CAPO304628
OG0001370	DROME10125, DROME10122, DROME10123, DROME10124, DROME10126	CAPO306956
OG0001372	DROME06987	CAPO301063
OG0001373	DROME15869, DROME15867, DROME15866, DROME15868	CAPO300734
OG0001378	DROME14090, DROME14089	CAPO302717
OG0001379	DROME02340	CAPO304865
OG0001382	DROME16755, DROME15883	CAPO306735
OG0001383	DROME08849, DROME08848, DROME08850, DROME08851	CAPO300442
OG0001386	DROME03356	CAPO305078
OG0001387	DROME05645, DROME05642, DROME05649, DROME05647, DROME05648, DROME05643, DROME05641, DROME05646, DROME05644, DROME05640	CAPO306110, CAPO306288
OG0001389	DROME18786	CAPO307908
OG0001397	DROME12938, DROME12061	CAPO306119
OG0001399	DROME18551, DROME15177	CAPO304148
OG0001404	DROME05603	CAPO302450
OG0001405	DROME02126	CAPO302942
OG0001406	DROME14082, DROME14079, DROME14080, DROME14081, DROME14077, DROME14078, DROME14084, DROME14083	CAPO305604
OG0001408	DROME21635, DROME21636, DROME21634	CAPO304468
OG0001409	DROME18923, DROME18920, DROME18919, DROME18918, DROME18921, DROME18927, DROME18922, DROME18926, DROME18925, DROME18924, DROME18107	CAPO300832
OG0001410	DROME00626	CAPO304381
OG0001411	DROME13591, DROME09768, DROME09769	CAPO301653
OG0001413	DROME21681, DROME21682	CAPO300375
OG0001414	DROME16698, DROME16697	CAPO301834
OG0001414	DROME00599	CAPO303273
OG0001415	DROME17030, DROME17031	CAPO307087
OG0001416	DROME04879, DROME04878, DROME04877, DROME04874, DROME04873, DROME04875, DROME04876	CAPO300753
OG0001418	DROME11411	CAPO300218
OG0001422	DROME19262, DROME19263	CAPO308345, CAPO303120
OG0001423	DROME11161, DROME11163, DROME11162	CAPO301310
OG0001424	DROME10397, DROME21291	CAPO304776
OG0001425	DROME10455	CAPO302275, CAPO302850
OG0001426	DROME16504, DROME16505	CAPO302841
OG0001427	DROME09989, DROME07053, DROME04112, DROME04111, DROME04110	CAPO302723
OG0001428	DROME00299, DROME00300	CAPO303027
OG0001430	DROME14791, DROME14607, DROME14606	CAPO300562
OG0001431	DROME08311, DROME08313, DROME08312	CAPO308230
OG0001434	DROME05416	CAPO304740
OG0001437	DROME11504, DROME11507, DROME11506, DROME11505, DROME12503, DROME12502	CAPO304955
OG0001440	DROME02347, DROME02348, DROME00857, DROME00860, DROME00861, DROME00859, DROME00858, DROME07996	CAPO305450
OG0001445	DROME19218	CAPO301958
OG0001447	DROME20519, DROME20520, DROME20518, DROME01853, DROME01852	CAPO307093
OG0001449	DROME21187	CAPO306822
OG0001454	DROME17550, DROME17549, DROME17548	CAPO303806
OG0001456	DROME21079	CAPO307965
OG0001459	DROME20534	CAPO307035
OG0001460	DROME19034	CAPO305875
OG0001461	DROME01468	CAPO303413, CAPO301012, CAPO307458, CAPO305472
OG0001463	DROME17238, DROME10819	CAPO304054
OG0001466	DROME20715	CAPO305831
OG0001467	DROME03510	CAPO304882
OG0001468	DROME11512, DROME11513	CAPO306475
OG0001469	DROME11498	CAPO306371
OG0001469	DROME15100	CAPO301724
OG0001470	DROME17188, DROME17190, DROME17187, DROME17189, DROME17191	CAPO305163
OG0001472	DROME03418	CAPO300986
OG0001472	DROME01627	CAPO305311
OG0001474	DROME02835, DROME02834	CAPO306191
OG0001475	DROME11371, DROME08104, DROME08103	CAPO305552
OG0001476	DROME09584, DROME09583, DROME09582, DROME09581, DROME09574, DROME09573, DROME09580, DROME09576, DROME09577, DROME09578, DROME09579, DROME09575	CAPO305062
OG0001478	DROME17873, DROME17872	CAPO303095, CAPO304965
OG0001479	DROME09340	CAPO306515
OG0001482	DROME08131, DROME08132, DROME08133	CAPO307610
OG0001484	DROME00233, DROME00235, DROME00237	CAPO301411
OG0001485	DROME07030, DROME07029, DROME07028, DROME07027, DROME07031	CAPO301954
OG0001486	DROME20978	CAPO302441
OG0001490	DROME20068, DROME20070, DROME20066, DROME20069, DROME20067, DROME20063, DROME20064, DROME20065	CAPO305433
OG0001492	DROME03966	CAPO305155
OG0001495	DROME13469	CAPO302008
OG0001496	DROME19745	CAPO301356
OG0001500	DROME13574, DROME13575, DROME13573, DROME13571, DROME13572, DROME13570	CAPO300054
OG0001501	DROME17335, DROME17336	CAPO305474
OG0001503	DROME04749	CAPO305666
OG0001503	DROME03622	CAPO307598
OG0001504	DROME21429, DROME21424, DROME21428, DROME21422	CAPO307661
OG0001505	DROME08192	CAPO301009
OG0001506	DROME06158, DROME06155, DROME06153, DROME06152, DROME06154, DROME06151, DROME06157, DROME06159, DROME06160, DROME06150, DROME06156	CAPO300953
OG0001507	DROME18836, DROME18837	CAPO304204
OG0001511	DROME00185, DROME00183, DROME00181, DROME00182, DROME00184	CAPO306127, CAPO305043
OG0001512	DROME19876, DROME13867, DROME13866	CAPO301118
OG0001515	DROME21741	CAPO302117
OG0001516	DROME13883	CAPO300345
OG0001517	DROME03470, DROME02323	CAPO303690
OG0001519	DROME20785, DROME20788, DROME20786, DROME20787	CAPO306949
OG0001522	DROME02905, DROME02904	CAPO303667
OG0001524	DROME06417, DROME06418	CAPO300996
OG0001524	DROME00342, DROME00343	CAPO308304
OG0001525	DROME04644, DROME04645, DROME06563, DROME06562, DROME04650, DROME04646, DROME04647, DROME04648, DROME05288	CAPO307245, CAPO303907
OG0001526	DROME05114, DROME05113, DROME05111, DROME05117, DROME05112, DROME05115, DROME05116, DROME05109, DROME05110	CAPO305679
OG0001527	DROME15289	CAPO300128
OG0001527	DROME00338	CAPO307636
OG0001529	DROME07602, DROME07601	CAPO300593
OG0001530	DROME01073	CAPO302602
OG0001532	DROME20201	CAPO300282
OG0001533	DROME19066, DROME19064, DROME19065, DROME19063, DROME19062, DROME19060, DROME19061, DROME13969	CAPO306032
OG0001534	DROME09046, DROME09047	CAPO304425
OG0001545	DROME06182	CAPO300895
OG0001551	DROME08057	CAPO306604
OG0001553	DROME02123, DROME02122	CAPO308172
OG0001554	DROME16741	CAPO302370
OG0001557	DROME07367	CAPO304176
OG0001558	DROME19656, DROME19657	CAPO301132
OG0001559	DROME00558, DROME02902	CAPO301785
OG0001561	DROME04222	CAPO301999
OG0001563	DROME03209	CAPO306378
OG0001567	DROME19417, DROME19416, DROME16526	CAPO300948
OG0001568	DROME08963, DROME07259, DROME19219, DROME18645	CAPO301468
OG0001570	DROME13692	CAPO303364
OG0001572	DROME11998	CAPO304756
OG0001576	DROME08048, DROME08043, DROME08045, DROME08044, DROME08047, DROME08046, DROME08049	CAPO306270
OG0001580	DROME10962, DROME10960, DROME10959, DROME10957, DROME10956, DROME10963, DROME10961, DROME10958	CAPO307900
OG0001581	DROME04945	CAPO306056
OG0001582	DROME15756, DROME15757	CAPO307073
OG0001583	DROME08180, DROME08179	CAPO306289
OG0001584	DROME19782	CAPO301068
OG0001589	DROME16983, DROME16982, DROME16981, DROME09858	CAPO303301, CAPO304004
OG0001590	DROME14234, DROME13421	CAPO302386
OG0001593	DROME06841, DROME06840	CAPO305942
OG0001594	DROME05350, DROME05351, DROME05349	CAPO307886
OG0001594	DROME10666, DROME10665	CAPO304243
OG0001597	DROME12080	CAPO302703
OG0001599	DROME14559	CAPO300887
OG0001600	DROME19005	CAPO305994
OG0001603	DROME10271, DROME05748, DROME05749	CAPO306228
OG0001604	DROME15595, DROME15593, DROME15592, DROME15594	CAPO303898
OG0001605	DROME09003, DROME09000, DROME09002, DROME08999, DROME08998, DROME09001	CAPO307473
