Orthogroup	DROME	YEAST
OG0001140	DROME04492, DROME04491	YEAST03519
OG0001142	DROME15460, DROME15458, DROME15459	YEAST04001
OG0001163	DROME10630, DROME14555, DROME14557, DROME14693, DROME17901, DROME17899	YEAST02433
OG0001164	DROME08761, DROME08760, DROME08762, DROME08763, DROME08759	YEAST03454
OG0001175	DROME10674	YEAST00534
OG0001177	DROME01933, DROME01934, DROME21906	YEAST06137
OG0001184	DROME03279, DROME17805	YEAST01681
OG0001185	DROME09235, DROME09236, DROME09242, DROME09234, DROME09239, DROME09241, DROME09240, DROME09237, DROME09238, DROME09245	YEAST04969
OG0001186	DROME11811, DROME11812, DROME18932	YEAST04605, YEAST01886
OG0001191	DROME15546, DROME15547, DROME15549, DROME15548	YEAST04707
OG0001197	DROME14364, DROME07563	YEAST01499
OG0001201	DROME20824, DROME20825, DROME20823, DROME20822	YEAST05452
OG0001204	DROME15252	YEAST05200
OG0001210	DROME01292	YEAST05511
OG0001210	DROME21654, DROME21653	YEAST02318
OG0001212	DROME03019, DROME03020, DROME03017, DROME03018, DROME03022, DROME03021	YEAST03971
OG0001214	DROME14229, DROME14228, DROME14227, DROME14223, DROME14224, DROME14225, DROME14226	YEAST00577
OG0001216	DROME20096, DROME20097, DROME20095, DROME15498	YEAST00145
OG0001219	DROME17625, DROME17624, DROME17623, DROME17626, DROME17619, DROME17620, DROME17618, DROME17621, DROME17622, DROME17627, DROME17628	YEAST03867
OG0001236	DROME06609, DROME04424, DROME20964	YEAST03325, YEAST02687, YEAST03269
OG0001237	DROME17018, DROME17017, DROME15311, DROME20284, DROME14186, DROME18581, DROME19481	YEAST04380
OG0001238	DROME21058, DROME14293, DROME05136, DROME05137, DROME05138, DROME14291, DROME14292	YEAST04481
OG0001241	DROME02596	YEAST02002
OG0001241	DROME03537	YEAST03967, YEAST01074
OG0001243	DROME15537, DROME15539, DROME15534, DROME15540, DROME15538, DROME15536, DROME15535	YEAST00739, YEAST05004
OG0001249	DROME05745, DROME05744, DROME04456, DROME04455	YEAST01062, YEAST02067
OG0001250	DROME10391, DROME10390, DROME10392	YEAST02968, YEAST01339
OG0001251	DROME08364	YEAST00750
OG0001251	DROME04532	YEAST01707
OG0001253	DROME16727, DROME02601	YEAST03998
OG0001254	DROME22031, DROME22029, DROME22030, DROME22035, DROME22032, DROME22034, DROME22036, DROME22038, DROME22037, DROME22033	YEAST04309
OG0001262	DROME20437, DROME01661	YEAST00911
OG0001263	DROME01386, DROME01387	YEAST00172
OG0001268	DROME04920, DROME04921	YEAST03495
OG0001270	DROME12379	YEAST01703
OG0001270	DROME02961	YEAST02398
OG0001271	DROME20484	YEAST05227, YEAST00662
OG0001278	DROME15730, DROME15455, DROME15454, DROME15456	YEAST01893
OG0001279	DROME15211, DROME15210	YEAST03070
OG0001280	DROME15706	YEAST00846
OG0001282	DROME04060, DROME04059, DROME04058	YEAST03744
OG0001284	DROME14235, DROME05418	YEAST00567, YEAST01498
OG0001286	DROME11490, DROME11489, DROME11491	YEAST00588, YEAST01486, YEAST03604
OG0001291	DROME21166, DROME21165, DROME18055, DROME18056	YEAST04453, YEAST04334
OG0001300	DROME21326, DROME21325, DROME21324	YEAST01098
OG0001302	DROME00539	YEAST02328
OG0001310	DROME15600	YEAST00887
OG0001318	DROME17213, DROME09513	YEAST03712
OG0001319	DROME01307, DROME08745	YEAST01678
OG0001321	DROME16103	YEAST02280, YEAST01901
OG0001322	DROME15932	YEAST06128
OG0001324	DROME09728	YEAST00078
OG0001325	DROME14232	YEAST00793
OG0001326	DROME03927	YEAST05395
OG0001327	DROME02674, DROME02673, DROME02675, DROME18410	YEAST03176
OG0001332	DROME01823, DROME19220, DROME11272	YEAST03929, YEAST02705, YEAST00687
OG0001333	DROME11917, DROME07724, DROME09080, DROME09081, DROME11916, DROME20312, DROME20313, DROME18937	YEAST00728
OG0001341	DROME00588, DROME19896, DROME19897, DROME19895	YEAST06006
OG0001353	DROME12504, DROME12505	YEAST00020, YEAST04041
OG0001363	DROME20227, DROME20225, DROME20226, DROME20228, DROME00044	YEAST06180
OG0001364	DROME18347, DROME18348	YEAST06038, YEAST00402
OG0001367	DROME04540, DROME04542, DROME04539, DROME04538, DROME04541, DROME04537, DROME04535, DROME04534, DROME04536	YEAST04688
OG0001368	DROME00518, DROME00521, DROME00519, DROME00520	YEAST01821
OG0001370	DROME10125, DROME10122, DROME10123, DROME10124, DROME10126	YEAST04067, YEAST05195, YEAST00897
OG0001371	DROME15115, DROME15085, DROME15086, DROME10858, DROME10857, DROME16916, DROME17983, DROME17981, DROME17980, DROME17848, DROME06809	YEAST00532, YEAST03976
OG0001372	DROME06987	YEAST00070
OG0001375	DROME11058, DROME12544	YEAST05499, YEAST05567
OG0001378	DROME14090, DROME14089	YEAST02300
OG0001379	DROME02340	YEAST04155
OG0001386	DROME03356	YEAST05114
OG0001397	DROME12938, DROME12061	YEAST05731
OG0001409	DROME18923, DROME18920, DROME18919, DROME18918, DROME18921, DROME18927, DROME18922, DROME18926, DROME18925, DROME18924, DROME18107	YEAST00885, YEAST04659
OG0001410	DROME00626	YEAST05046
OG0001411	DROME13591, DROME09768, DROME09769	YEAST04834
OG0001413	DROME21681, DROME21682, DROME17078	YEAST04294
OG0001414	DROME16698, DROME16697, DROME00599	YEAST06070, YEAST01920
OG0001415	DROME17030, DROME17031	YEAST00964
OG0001421	DROME08210	YEAST05252
OG0001422	DROME19262, DROME19263	YEAST05588, YEAST01363
OG0001424	DROME10397, DROME21291	YEAST01127
OG0001427	DROME09989, DROME07053, DROME04112, DROME04111, DROME04110	YEAST01885
OG0001428	DROME00299, DROME00300	YEAST04862, YEAST05862, YEAST02749, YEAST03037
OG0001430	DROME14791, DROME14607, DROME14606	YEAST01712
OG0001434	DROME05416	YEAST03991
OG0001437	DROME11504, DROME11507, DROME11506, DROME11505, DROME12503, DROME12502	YEAST01264, YEAST02900
OG0001445	DROME19218	YEAST01715
OG0001449	DROME21187	YEAST03188
OG0001454	DROME17550, DROME17549, DROME17548	YEAST01495, YEAST00573
OG0001456	DROME21079	YEAST00365
OG0001459	DROME20534	YEAST03073, YEAST03464
OG0001461	DROME01468	YEAST05255
OG0001468	DROME11512, DROME11513	YEAST03875, YEAST03904
OG0001469	DROME11498	YEAST02070
OG0001469	DROME15100	YEAST02765
OG0001470	DROME17188, DROME17190, DROME17187, DROME17189, DROME17191	YEAST00369, YEAST05375
OG0001472	DROME03418, DROME01627	YEAST03031
OG0001474	DROME02835, DROME02834	YEAST01416, YEAST05312
OG0001478	DROME17873, DROME17872	YEAST01984, YEAST02078
OG0001479	DROME09340	YEAST01132
OG0001503	DROME04749	YEAST03032
OG0001503	DROME03622	YEAST02920
OG0001504	DROME21429, DROME21424, DROME21428, DROME21422	YEAST05406
OG0001505	DROME08192	YEAST03361
OG0001508	DROME11905	YEAST04143
OG0001515	DROME21741	YEAST03569
OG0001520	DROME13841, DROME13840, DROME13837, DROME13839, DROME13838	YEAST03872
OG0001524	DROME06417, DROME06418, DROME00342, DROME00343	YEAST03912
OG0001525	DROME04644, DROME04645, DROME06563, DROME06562, DROME04650, DROME04646, DROME04647, DROME04648, DROME05288	YEAST00757
OG0001527	DROME15289, DROME00338	YEAST01395
OG0001529	DROME07602, DROME07601	YEAST01143
OG0001530	DROME01073	YEAST00643
OG0001546	DROME13625, DROME13628, DROME13624, DROME13627, DROME13626, DROME13623	YEAST03111
OG0001550	DROME09122	YEAST02405, YEAST05953
OG0001551	DROME08057	YEAST04817
OG0001553	DROME02123, DROME02122	YEAST05147, YEAST01586
OG0001557	DROME20902, DROME20901	YEAST04671
OG0001557	DROME07367	YEAST04551
OG0001558	DROME19656, DROME19657	YEAST04449
OG0001559	DROME00558, DROME02902	YEAST00445, YEAST02434
OG0001561	DROME04222	YEAST06176
OG0001570	DROME13692	YEAST04678
OG0001580	DROME10962, DROME10960, DROME10959, DROME10957, DROME10956, DROME10963, DROME10961, DROME10958	YEAST06270
OG0001590	DROME14234, DROME13421	YEAST03476, YEAST00717, YEAST03955
OG0001594	DROME05350, DROME05351, DROME05349, DROME10666, DROME10665	YEAST03418
OG0001597	DROME12080	YEAST01702
OG0001603	DROME10271, DROME05748, DROME05749	YEAST02584
OG0001604	DROME13655, DROME13654, DROME15595, DROME15593, DROME15592, DROME15594	YEAST01428
OG0001605	DROME09003, DROME09000, DROME09002, DROME08999, DROME08998, DROME09001	YEAST04101
OG0001609	DROME13801, DROME13802, DROME13800, DROME09555	YEAST02739
OG0001610	DROME06881	YEAST00596, YEAST02062
OG0001612	DROME07050, DROME07049	YEAST01109
OG0001628	DROME21766, DROME21765	YEAST04790
OG0001653	DROME03945, DROME03944, DROME03946	YEAST01151
OG0001655	DROME11541, DROME11542	YEAST03354
OG0001657	DROME16951	YEAST00101, YEAST00944
OG0001663	DROME17604, DROME17603	YEAST05642
OG0001676	DROME15959, DROME15958, DROME15960	YEAST06155
OG0001680	DROME20427	YEAST01119, YEAST04022
OG0001685	DROME10450	YEAST01147
OG0001691	DROME07542, DROME07543, DROME07544, DROME07545	YEAST01315
OG0001706	DROME01112	YEAST03424
OG0001707	DROME04786, DROME04787	YEAST06049, YEAST00407, YEAST04739
OG0001708	DROME10362, DROME14608, DROME16704	YEAST05744, YEAST05745
OG0001713	DROME20630	YEAST04039
OG0001718	DROME18626, DROME18625, DROME18627	YEAST01537
OG0001721	DROME21093, DROME21094	YEAST04881, YEAST05253, YEAST00698
OG0001723	DROME01240, DROME01235, DROME01239, DROME01238, DROME01237, DROME01236	YEAST01435
OG0001727	DROME01511, DROME01510, DROME01513, DROME01512	YEAST04543
OG0001728	DROME19385	YEAST03347
OG0001730	DROME08359, DROME08358, DROME08360, DROME08361	YEAST00177
OG0001736	DROME19390, DROME19392, DROME19391	YEAST05091
OG0001736	DROME03103	YEAST04588
OG0001739	DROME17504, DROME18573, DROME08124	YEAST03760
OG0001745	DROME10489	YEAST01431
OG0001750	DROME06453	YEAST03628
OG0001754	DROME14611, DROME14610, DROME14612, DROME06495, DROME17387, DROME17388, DROME17389, DROME06493, DROME06492, DROME06491	YEAST03682
OG0001755	DROME01391, DROME01389, DROME01390, DROME01388, DROME01392	YEAST05131
OG0001769	DROME08613, DROME15632, DROME15631	YEAST04726
OG0001770	DROME12526, DROME12525	YEAST02590
OG0001774	DROME16288, DROME17117, DROME17119, DROME17118	YEAST05166
OG0001775	DROME03798	YEAST05594
OG0001780	DROME12052	YEAST03768
OG0001781	DROME05960, DROME03304	YEAST01882
OG0001785	DROME20701, DROME20700	YEAST02713
OG0001787	DROME15226	YEAST03546
OG0001792	DROME20324	YEAST04595
OG0001793	DROME16987, DROME21922	YEAST02466
OG0001805	DROME11510, DROME11511	YEAST05496, YEAST01242
OG0001807	DROME02930, DROME02931, DROME02932	YEAST05464
OG0001808	DROME12890, DROME12888, DROME12889	YEAST01298
OG0001818	DROME09141	YEAST05902, YEAST04712
OG0001822	DROME10804, DROME10805, DROME10809, DROME10807, DROME10808, DROME10806	YEAST04378, YEAST01659
OG0001826	DROME04636, DROME04635, DROME04634, DROME04637	YEAST04777, YEAST01697, YEAST05781
OG0001831	DROME16694, DROME16695, DROME16696	YEAST00024
OG0001832	DROME11192	YEAST05376
OG0001846	DROME15051	YEAST04351, YEAST04434
OG0001846	DROME07140	YEAST05067
OG0001850	DROME11385, DROME11386, DROME11384, DROME11388, DROME11389, DROME11387	YEAST01913
OG0001853	DROME15057, DROME08596, DROME09289, DROME09287, DROME09286	YEAST05176
OG0001857	DROME04659, DROME04661, DROME04660, DROME04662	YEAST04741
OG0001860	DROME00108, DROME00107	YEAST00188
OG0001861	DROME09171, DROME09172	YEAST05779, YEAST04773
OG0001863	DROME11185	YEAST03017
OG0001865	DROME11190, DROME11189	YEAST06037, YEAST00399
OG0001866	DROME07682	YEAST05095, YEAST05570
OG0001867	DROME12422, DROME12423, DROME12425, DROME12420, DROME12424, DROME12419, DROME12418, DROME12421, DROME12417, DROME12416	YEAST01669
OG0001875	DROME02032, DROME16885	YEAST04137
OG0001877	DROME04518	YEAST04134
OG0001886	DROME14413	YEAST03260
OG0001888	DROME11501, DROME11500, DROME11503, DROME11502	YEAST05749, YEAST01573
OG0001893	DROME02220	YEAST01023
OG0001899	DROME17597, DROME17598, DROME17599	YEAST01210, YEAST04466
OG0001903	DROME10026	YEAST06020
OG0001913	DROME20114, DROME20115	YEAST05520
OG0001915	DROME15601	YEAST04791
OG0001917	DROME05027, DROME05026	YEAST01859
OG0001923	DROME13928	YEAST05881
OG0001926	DROME02334	YEAST02948
OG0001932	DROME07500, DROME07499, DROME07504, DROME07502, DROME07503, DROME07501	YEAST03770, YEAST03179
OG0001934	DROME11858	YEAST00877
OG0001935	DROME16535, DROME05228	YEAST00431
OG0001938	DROME15196, DROME15195, DROME15198, DROME15197	YEAST03931
OG0001940	DROME11372, DROME20166	YEAST04188, YEAST05646
OG0001943	DROME05587, DROME05589, DROME05586, DROME05588	YEAST02393, YEAST05966
OG0001945	DROME09755, DROME09756, DROME22094, DROME20436	YEAST01671
OG0001947	DROME14837	YEAST02570
OG0001951	DROME01080, DROME01079, DROME01078, DROME07934	YEAST00941, YEAST05396
OG0001952	DROME00559, DROME00560	YEAST04673, YEAST01990, YEAST00155
OG0001965	DROME13659	YEAST04582
OG0001968	DROME04032	YEAST04910
OG0001969	DROME05971, DROME05972, DROME17147, DROME05970	YEAST06173
OG0001972	DROME05855, DROME05853, DROME05851, DROME05852, DROME05854, DROME05846, DROME05850, DROME05847, DROME05848, DROME05849	YEAST01822, YEAST03363
OG0001985	DROME10994, DROME10993	YEAST04959
OG0001992	DROME21257	YEAST02679
OG0001998	DROME09606	YEAST00890
OG0002001	DROME19332, DROME19331	YEAST00502, YEAST03944
OG0002003	DROME00292	YEAST02826, YEAST03671
OG0002008	DROME04686, DROME04688, DROME04687, DROME04685	YEAST00768
OG0002013	DROME04069, DROME08149	YEAST03040
OG0002015	DROME14274, DROME14276, DROME14275	YEAST05525
OG0002025	DROME08208, DROME08209	YEAST03650
OG0002026	DROME20307	YEAST01247
OG0002029	DROME21921	YEAST02646
OG0002031	DROME21699, DROME13546	YEAST02752
OG0002032	DROME01693	YEAST01221
OG0002043	DROME10764, DROME10766, DROME10765	YEAST04003
OG0002059	DROME20230, DROME20232, DROME20229, DROME20231	YEAST05893, YEAST04718
OG0002062	DROME05606, DROME05610, DROME05608, DROME05609, DROME05605, DROME05607, DROME05604	YEAST05454
OG0002063	DROME00486, DROME00487	YEAST00838
OG0002067	DROME21628	YEAST03444
OG0002069	DROME14513	YEAST05962
OG0002073	DROME02887, DROME17696	YEAST04552
OG0002076	DROME15179, DROME15178	YEAST02206
OG0002078	DROME10262, DROME10261, DROME10264, DROME10263, DROME10265	YEAST06232
OG0002079	DROME05628	YEAST05765, YEAST00483
OG0002080	DROME04483, DROME04484, DROME04485	YEAST05220, YEAST04736
OG0002087	DROME20417, DROME20418	YEAST05702
OG0002090	DROME21229	YEAST02246
OG0002093	DROME10388	YEAST02255
OG0002097	DROME08772, DROME08771	YEAST02697
OG0002101	DROME06706, DROME06705, DROME16968	YEAST03902
OG0002103	DROME11171, DROME20108	YEAST05974
OG0002106	DROME18977	YEAST03654
OG0002108	DROME07243, DROME07242	YEAST03715
OG0002123	DROME20895, DROME02760	YEAST02444, YEAST03709
OG0002125	DROME20833, DROME20832, DROME20829, DROME20830, DROME20831, DROME20834, DROME20835	YEAST05183
OG0002131	DROME03421, DROME03420	YEAST04275
OG0002137	DROME20125, DROME03541	YEAST04320
OG0002138	DROME17634, DROME10530, DROME10529	YEAST02406
OG0002144	DROME15087, DROME15088, DROME15089	YEAST02673
OG0002146	DROME20089	YEAST04333, YEAST00109, YEAST03088, YEAST04454
OG0002147	DROME18735, DROME18736	YEAST04532, YEAST01219
OG0002148	DROME16614, DROME20422	YEAST02060
OG0002152	DROME10626	YEAST05624
OG0002156	DROME12292	YEAST03007
OG0002160	DROME12795	YEAST03960
OG0002168	DROME20356, DROME07753	YEAST00516
OG0002169	DROME16101	YEAST02258
OG0002175	DROME15015	YEAST04956
OG0002184	DROME09706, DROME09707	YEAST00242
OG0002185	DROME03508, DROME03506	YEAST05212
OG0002188	DROME16936	YEAST04638, YEAST03913
OG0002189	DROME00632	YEAST02882, YEAST04447
OG0002213	DROME03210	YEAST01241, YEAST05495
OG0002217	DROME12049, DROME12050, DROME12047, DROME12048, DROME12051, DROME12045, DROME07473, DROME14498, DROME00688, DROME00689	YEAST06033
OG0002222	DROME06941	YEAST03240
OG0002224	DROME11780, DROME11781, DROME11779, DROME08782, DROME08783, DROME08784	YEAST01574
OG0002225	DROME17292, DROME17293, DROME17294	YEAST04939
OG0002226	DROME09270	YEAST00948
OG0002228	DROME20233, DROME09088	YEAST04154, YEAST05632
OG0002233	DROME20355, DROME20354, DROME14932, DROME14933	YEAST00277
OG0002239	DROME02338, DROME02339	YEAST01621
OG0002241	DROME11351, DROME20942, DROME20943, DROME14683, DROME14677	YEAST02005
OG0002243	DROME12880, DROME12875, DROME12879, DROME12878, DROME12873, DROME12874, DROME12877, DROME12876, DROME17551	YEAST04599, YEAST03601, YEAST04600
OG0002244	DROME13379, DROME13383, DROME13382, DROME13384, DROME13380, DROME13381	YEAST02768
OG0002252	DROME12224	YEAST00826
OG0002261	DROME02617	YEAST00472
OG0002264	DROME18761	YEAST01705
OG0002279	DROME12023	YEAST05800
OG0002282	DROME01013, DROME01014	YEAST00881
OG0002288	DROME04961, DROME04960	YEAST01591, YEAST05154
OG0002292	DROME14281	YEAST00152
OG0002292	DROME13181	YEAST03411
OG0002312	DROME13329, DROME13331, DROME13332, DROME13330	YEAST06295
OG0002316	DROME15000, DROME15001	YEAST01805
OG0002318	DROME10081, DROME10080	YEAST02923
OG0002319	DROME00109	YEAST00329
OG0002321	DROME20195	YEAST02461
OG0002324	DROME12479	YEAST02615, YEAST06287
OG0002326	DROME14169, DROME14168, DROME14170	YEAST00310, YEAST02699
OG0002327	DROME11958, DROME13738, DROME13737	YEAST00346, YEAST06217
OG0002331	DROME02521, DROME02520, DROME02522, DROME02523	YEAST01653
OG0002332	DROME03257, DROME03259, DROME03258	YEAST01606, YEAST05184, YEAST00285
OG0002341	DROME16633, DROME16634	YEAST03640, YEAST04562
OG0002344	DROME12813, DROME12814, DROME12816, DROME12815	YEAST02312, YEAST02019
OG0002346	DROME12738, DROME12737, DROME12739, DROME12741, DROME12740	YEAST02012
OG0002348	DROME20530, DROME21704	YEAST01845
OG0002355	DROME17701, DROME17700, DROME20376, DROME21160	YEAST00016
OG0002356	DROME14202	YEAST00259
OG0002361	DROME02804	YEAST01027
OG0002367	DROME14269	YEAST01179
OG0002369	DROME09488, DROME09483, DROME09484, DROME09482, DROME09487, DROME09485, DROME09481, DROME09486	YEAST03766
OG0002374	DROME00409, DROME19078, DROME19077, DROME10047	YEAST02010, YEAST00133
OG0002377	DROME14764, DROME14765	YEAST05000
OG0002385	DROME18327, DROME18325, DROME18326	YEAST03974
OG0002406	DROME12854, DROME12851, DROME12852, DROME12850, DROME12853	YEAST05509
OG0002407	DROME16545, DROME16665, DROME16666, DROME16663, DROME16664	YEAST00012
OG0002409	DROME01803	YEAST02027
OG0002412	DROME02298	YEAST06171
OG0002413	DROME03087, DROME15635, DROME15636	YEAST01196
OG0002415	DROME06652	YEAST01271
OG0002421	DROME07380, DROME07379, DROME10621	YEAST02982
OG0002422	DROME15666	YEAST05026
OG0002426	DROME02031	YEAST00184
OG0002441	DROME14577	YEAST00068, YEAST02278, YEAST05821
OG0002442	DROME02127, DROME14431	YEAST05932
OG0002443	DROME01526	YEAST04906
OG0002446	DROME15360	YEAST04254
OG0002448	DROME11052, DROME11051, DROME14484	YEAST00626, YEAST03419
OG0002450	DROME13933, DROME13932	YEAST04575
OG0002453	DROME02946, DROME02947	YEAST00512
OG0002476	DROME01629	YEAST05799
OG0002486	DROME10604	YEAST01433
OG0002492	DROME17673, DROME17672	YEAST01624
OG0002494	DROME09533, DROME09534	YEAST02402
OG0002495	DROME03178	YEAST02772
OG0002497	DROME10964	YEAST02747
OG0002500	DROME05840, DROME04346	YEAST05648
OG0002505	DROME03960	YEAST02959
OG0002510	DROME02221	YEAST04753
OG0002516	DROME01623, DROME01624, DROME01622	YEAST00066
OG0002518	DROME16270, DROME16271, DROME16272, DROME12646, DROME11188	YEAST02890
OG0002520	DROME14751	YEAST05256
OG0002523	DROME12003, DROME12568, DROME20728, DROME20729	YEAST06234
OG0002527	DROME00451	YEAST01639
OG0002528	DROME12310, DROME12311, DROME12309	YEAST00372
OG0002530	DROME00625, DROME00624	YEAST05530, YEAST03790
OG0002532	DROME10137	YEAST03235
OG0002533	DROME06429, DROME06430	YEAST04525
OG0002543	DROME13135	YEAST00527
OG0002557	DROME07954, DROME03130, DROME05213	YEAST06243
OG0002562	DROME18710, DROME18708, DROME18711, DROME18709, DROME17497	YEAST03992
OG0002564	DROME10075, DROME10076, DROME10073, DROME10074, DROME03643	YEAST02186
OG0002565	DROME16956, DROME16958, DROME16957	YEAST04224, YEAST02499
OG0002570	DROME02309, DROME02312	YEAST00592
OG0002574	DROME17413, DROME17412, DROME17411	YEAST05657
OG0002594	DROME19850, DROME19851, DROME19853, DROME19852	YEAST06174
OG0002598	DROME11558	YEAST04621, YEAST03577
OG0002605	DROME07537, DROME07538, DROME07535, DROME07536	YEAST06332
OG0002608	DROME15925, DROME15928, DROME15929, DROME15926, DROME15924, DROME15927, DROME15922, DROME15923	YEAST03716, YEAST02846
OG0002609	DROME00392	YEAST01355
OG0002610	DROME20526, DROME20527	YEAST01078, YEAST03973
OG0002612	DROME17875	YEAST03508
OG0002617	DROME09377	YEAST00866
OG0002618	DROME00175	YEAST06247
OG0002630	DROME02325	YEAST05202
OG0002632	DROME19136	YEAST02755
OG0002633	DROME02613	YEAST04206
OG0002636	DROME03989	YEAST01664, YEAST06215
OG0002638	DROME02557, DROME20446, DROME20445	YEAST00919
OG0002643	DROME13189	YEAST01938
OG0002644	DROME18263, DROME18261, DROME18260, DROME18262	YEAST00724
OG0002645	DROME20914, DROME20911, DROME20916, DROME20917, DROME20912, DROME20915, DROME20913	YEAST01436
OG0002646	DROME02015, DROME02017, DROME02013, DROME02016, DROME02012, DROME02014	YEAST01946
OG0002651	DROME16668, DROME16669	YEAST02868
OG0002652	DROME09763, DROME09760, DROME09759, DROME09758, DROME09762, DROME09761	YEAST04937
OG0002656	DROME08799, DROME08800	YEAST05701
OG0002659	DROME08718	YEAST06290
OG0002666	DROME12244	YEAST02507
OG0002668	DROME12758, DROME12754, DROME12757, DROME12759, DROME12756, DROME12755	YEAST02324
OG0002677	DROME00471, DROME00470	YEAST05210
OG0002681	DROME20482, DROME09726	YEAST04585
OG0002683	DROME18274, DROME18275	YEAST03676
OG0002715	DROME03868	YEAST01174, YEAST04131
OG0002717	DROME13040	YEAST02430
OG0002718	DROME02454, DROME02455	YEAST03380, YEAST03502
OG0002720	DROME20862, DROME20861	YEAST01914
OG0002722	DROME16722	YEAST04059
OG0002726	DROME00393, DROME00394	YEAST02958
OG0002729	DROME14219	YEAST01155
OG0002739	DROME11838	YEAST01877
OG0002740	DROME04703	YEAST01658
OG0002742	DROME12202, DROME12204, DROME12203	YEAST03713
OG0002743	DROME02953, DROME02954	YEAST01824, YEAST03362
OG0002745	DROME14711, DROME04487, DROME04488, DROME15945	YEAST04244
OG0002746	DROME16661, DROME21181	YEAST04902, YEAST05332
OG0002747	DROME11308, DROME19315, DROME13062	YEAST05617
OG0002749	DROME05439, DROME08834, DROME08494, DROME08495	YEAST02810
OG0002750	DROME07760, DROME07759	YEAST04952
OG0002752	DROME09099, DROME09098, DROME09096, DROME09097, DROME09101, DROME09100	YEAST03686
OG0002753	DROME11184	YEAST03742
OG0002754	DROME16293	YEAST03620
OG0002758	DROME08710	YEAST04409
OG0002760	DROME11244, DROME07304	YEAST01927
OG0002761	DROME11909	YEAST03261
OG0002763	DROME13568, DROME13567	YEAST00260
OG0002764	DROME00298, DROME00297, DROME00296	YEAST00423
OG0002765	DROME12796	YEAST01667, YEAST05523
OG0002766	DROME13857	YEAST05357
OG0002767	DROME05447	YEAST04591
OG0002771	DROME01521, DROME07621	YEAST02043
OG0002772	DROME18154	YEAST03384
OG0002773	DROME00793, DROME00794, DROME00257, DROME00258	YEAST03677
OG0002781	DROME04079, DROME04080, DROME04081	YEAST05450
OG0002782	DROME16136	YEAST02121
OG0002785	DROME00137, DROME05688	YEAST06106, YEAST01228
OG0002788	DROME12013, DROME01698	YEAST02578, YEAST01232
OG0002793	DROME18578	YEAST01371
OG0002799	DROME08812, DROME08811, DROME08813, DROME08815, DROME08814	YEAST01461
OG0002817	DROME03807	YEAST01189, YEAST04922
OG0002824	DROME05371, DROME05370, DROME05372	YEAST02137
OG0002826	DROME12304	YEAST00174
OG0002827	DROME04425	YEAST05976
OG0002828	DROME07466, DROME07465, DROME07464, DROME06484, DROME06483, DROME06485	YEAST00227, YEAST00963
OG0002831	DROME21764, DROME21763	YEAST03282
OG0002835	DROME04546	YEAST02656
OG0002837	DROME16455	YEAST01987, YEAST00157
OG0002839	DROME20539, DROME20540	YEAST03148
OG0002843	DROME05626	YEAST04737
OG0002844	DROME01327, DROME00485	YEAST05563
OG0002847	DROME12859, DROME12860	YEAST02294
OG0002851	DROME07485, DROME07488, DROME07486, DROME07487	YEAST04951
OG0002855	DROME15007	YEAST00137
OG0002860	DROME21067	YEAST02712
OG0002866	DROME08853	YEAST01136
OG0002876	DROME02491	YEAST02348
OG0002877	DROME16795	YEAST04537
OG0002883	DROME19983, DROME19982	YEAST03027
OG0002891	DROME12152	YEAST03205
OG0002893	DROME14268	YEAST03653
OG0002894	DROME07096, DROME07097	YEAST00906
OG0002895	DROME16391, DROME16390	YEAST01471, YEAST05353, YEAST05456
OG0002897	DROME08372	YEAST06308
OG0002899	DROME09113	YEAST00283
OG0002900	DROME06374	YEAST05306
OG0002907	DROME00536, DROME00537, DROME00535	YEAST02061
OG0002910	DROME07768	YEAST00223
OG0002915	DROME05142, DROME05144, DROME05146, DROME05143, DROME05145, DROME05147	YEAST02264
OG0002917	DROME13023, DROME13021, DROME13019, DROME13018, DROME13015, DROME13020, DROME13017, DROME13022, DROME13016	YEAST03703
OG0002921	DROME20904, DROME20903	YEAST06254
OG0002922	DROME13161	YEAST01261
OG0002947	DROME17107	YEAST00232
OG0002948	DROME05969, DROME05968, DROME05967, DROME05966	YEAST03584
OG0002949	DROME10410, DROME10411	YEAST00419, YEAST06063
OG0002952	DROME10856, DROME10855, DROME10853, DROME10854	YEAST05257
OG0002953	DROME06983, DROME06984	YEAST03034
OG0002957	DROME15903, DROME15902	YEAST03253
OG0002960	DROME08289, DROME07308, DROME20297, DROME20296, DROME20294, DROME20295, DROME20293	YEAST05502
OG0002965	DROME12643, DROME12645, DROME12642, DROME12644	YEAST03804
OG0002966	DROME20414, DROME20412, DROME20411, DROME20415, DROME20410, DROME20413	YEAST06059
OG0002968	DROME10921, DROME05214	YEAST00199
OG0002969	DROME04084, DROME04085	YEAST00655
OG0002982	DROME07294, DROME07292, DROME07295, DROME07293	YEAST02471
OG0002984	DROME11997	YEAST01144
OG0002985	DROME08067, DROME08066, DROME08064, DROME08065, DROME08063, DROME10078	YEAST02147
OG0002987	DROME13970, DROME13977	YEAST02970, YEAST00081, YEAST02488
OG0002991	DROME05520, DROME05522, DROME05521	YEAST03345, YEAST01842
OG0002997	DROME02903	YEAST02374
OG0003001	DROME12222	YEAST01497
OG0003004	DROME09624, DROME09625, DROME12361, DROME12362, DROME10708	YEAST02183
OG0003006	DROME00129	YEAST00899
OG0003010	DROME09942, DROME21676, DROME21680, DROME21679, DROME21678, DROME21677	YEAST03035
