Pfla_genename	predicted_gene_name	eggNOG description	pair of stage-specific clusters
TCONS_00021924	PNLIP	pancreatic	19__21
TCONS_00021924	PNLIP	pancreatic	19__24
TCONS_00021957	AKR7A2	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)	22__21
TCONS_00021958	AKR7A2	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)	21__21
TCONS_00022000	AIFM2	Apoptosis-inducing factor, mitochondrion-associated, 2	20__21
TCONS_00022192	BCO2	Beta-carotene	19__21
TCONS_00022284	SULT1C4	Sulfotransferase	22__21
TCONS_00022299	ACE	Angiotensin I converting enzyme peptidyl-dipeptidase A	22__24
TCONS_00022299	ACE	Angiotensin I converting enzyme peptidyl-dipeptidase A	22__21
TCONS_00022401	PFY1	Binds to actin and affects the structure of the cytoskeleton. At high concentrations, profilin prevents the polymerization of actin, whereas it enhances it at low concentrations (By	20__24
TCONS_00022474	TRIM2	tripartite motif containing	22__24
TCONS_00022536	BIRC2	Baculoviral IAP repeat containing	20__24
TCONS_00022746	NCEH1	neutral cholesterol ester hydrolase 1	15__21
TCONS_00022788	HPGDS	hematopoietic prostaglandin D synthase	22__24
TCONS_00022788	HPGDS	hematopoietic prostaglandin D synthase	22__21
TCONS_00022866	ASAH2	N-acylsphingosine amidohydrolase (non-lysosomal ceramidase)	19__21
TCONS_00022964	BCO2	Beta-carotene	21__21
TCONS_00022967	OSI_04770	DOMON domain	15__21
TCONS_00023061	CYP11A1	Cytochrome P450 family 11 subfamily A polypeptide 1	20__21
TCONS_00023063	CYP11A1	Cytochrome P450 family 11 subfamily A polypeptide 1	19__22
TCONS_00023063	CYP11A1	Cytochrome P450 family 11 subfamily A polypeptide 1	19__21
TCONS_00023068	CYP11A1	Cytochrome P450 family 11 subfamily A polypeptide 1	21__21
TCONS_00023193	PTGR1	prostaglandin reductase 1	17__21
TCONS_00023562	SUL-3	Arylsulfatase	20__21
TCONS_00023564	SUL-3	Arylsulfatase	17__21
TCONS_00023592	ENPP4	ectonucleotide pyrophosphatase phosphodiesterase	15__21
TCONS_00023644	HPGDS	hematopoietic prostaglandin D synthase	19__22
TCONS_00023644	HPGDS	hematopoietic prostaglandin D synthase	19__21
TCONS_00023644	HPGDS	hematopoietic prostaglandin D synthase	19__24
TCONS_00023867	PTCHD1	patched domain containing 3	20__24
TCONS_00023871	PTCHD1	patched domain containing 3	17__24
TCONS_00023882	PTCHD1	patched domain containing 3	20__24
TCONS_00024025	CYP11A1	Cytochrome P450 family 11 subfamily A polypeptide 1	21__21
TCONS_00024030	CYP27A1	Cytochrome P450 family 27 subfamily	20__21
TCONS_00024039	CYP27B1	Cytochrome P450 family 27 subfamily	20__21
TCONS_00024040	CYP27A1	Cytochrome P450 family 27 subfamily	20__21
TCONS_00024041	CYP27B1	Cytochrome P450 family 27 subfamily	15__21
TCONS_00024097	CYP3A4	cytochrome P450, family 3, subfamily a, polypeptide	19__24
TCONS_00024098	CYP3A4	cytochrome P450, family 3, subfamily a, polypeptide	19__24
TCONS_00024145	OACYL	nose resistant to fluoxetine protein 6-like	19__21
TCONS_00024145	OACYL	nose resistant to fluoxetine protein 6-like	19__24
TCONS_00024146	OACYL	nose resistant to fluoxetine protein 6-like	19__21
TCONS_00024146	OACYL	nose resistant to fluoxetine protein 6-like	19__24
TCONS_00024150	OACYL	nose resistant to fluoxetine protein 6-like	17__24
TCONS_00024150	OACYL	nose resistant to fluoxetine protein 6-like	17__21
TCONS_00024151	OACYL	nose resistant to fluoxetine protein 6-like	21__21
TCONS_00024154	OACYL	nose resistant to fluoxetine protein 6-like	17__24
TCONS_00024154	OACYL	nose resistant to fluoxetine protein 6-like	17__21
TCONS_00024155	OACYL	nose resistant to fluoxetine protein 6-like	22__24
TCONS_00024155	OACYL	nose resistant to fluoxetine protein 6-like	22__21
TCONS_00024615	SUL-3	Arylsulfatase	22__21
TCONS_00024858	RPS16	Ribosomal protein S16	14__18
TCONS_00025160	CD151	CD151 molecule (Raph blood group)	15__21
TCONS_00025201	ABCC9	ATP-binding cassette, sub-family C (CFTR MRP), member	15__21
TCONS_00025249	CYP4B1	cytochrome P450, family 4, subfamily B, polypeptide 1	20__21
TCONS_00025254	ANPEP	Aminopeptidase	20__21
TCONS_00025281	PTCHD1	patched domain containing 3	20__24
TCONS_00025299	PTCHD1	patched domain containing	17__22
TCONS_00025301	PTCHD1	patched domain containing	20__24
TCONS_00025325	PRRT1	proline-rich transmembrane protein 1	20__21
TCONS_00025437	RPL27A	ribosomal protein L27A	14__18
TCONS_00025504	MOXD1	monooxygenase, DBH-like 1	22__21
TCONS_00025504	MOXD1	monooxygenase, DBH-like 1	22__24
TCONS_00025613	CYP11A1	Cytochrome P450 family 11 subfamily A polypeptide 1	22__21
TCONS_00025660	HSD17B2	Hydroxysteroid (17-beta) dehydrogenase 2	17__24
TCONS_00025661	HSD17B2	hydroxysteroid (17-beta) dehydrogenase 2	17__24
TCONS_00025663	HSD17B2	Hydroxysteroid (17-beta) dehydrogenase 2	20__24
TCONS_00025807	CSRP1	Cysteine and glycine-rich protein	20__21
TCONS_00025880	PROM1	prominin 1	19__24
TCONS_00025956	HTR4	5-hydroxytryptamine (serotonin) receptor 4, G protein-coupled	19__21
TCONS_00026035	OVCH1	ovochymase	22__24
TCONS_00026252	RPL26	ribosomal protein	14__18
TCONS_00026639	FRMPD4	FERM and PDZ domain containing 4	21__21
TCONS_00026789	IFIH1	Interferon induced with helicase C domain 1	17__22
TCONS_00026986	DUOXA2	Dual oxidase maturation factor	17__21
TCONS_00027142	AKR1A1	aldo-keto reductase family 1, member	15__21
TCONS_00027217	CHRNA3	cholinergic receptor, nicotinic	19__24
TCONS_00027217	CHRNA3	cholinergic receptor, nicotinic	19__22
TCONS_00027217	CHRNA3	cholinergic receptor, nicotinic	19__21
TCONS_00027325	CPLX2	complexin 1	17__24
TCONS_00027378	HTR4	5-hydroxytryptamine (serotonin) receptor 4, G protein-coupled	19__22
TCONS_00027378	HTR4	5-hydroxytryptamine (serotonin) receptor 4, G protein-coupled	19__24
TCONS_00027378	HTR4	5-hydroxytryptamine (serotonin) receptor 4, G protein-coupled	19__21
TCONS_00027484	FAXC	failed axon connections homolog (Drosophila)	20__21
TCONS_00027495	PROM1	Prominin 1	20__24
TCONS_00027526	FAXC	failed axon connections homolog (Drosophila)	15__21
TCONS_00027529	FAXC	failed axon connections homolog (Drosophila)	21__21
TCONS_00027595	ADRB1	adrenoceptor beta	15__21
TCONS_00027688	STK32A	Serine threonine kinase	14__18
TCONS_00027698	PGUG_03888	ectonucleotide pyrophosphatase phosphodiesterase	19__21
TCONS_00027723	CLCA2	chloride channel	22__24
TCONS_00027793	SLC28A3	Solute carrier family 28 (Sodium-coupled nucleoside transporter), member	21__21
TCONS_00027923	NAGA	Galactosidase, alpha	21__21
TCONS_00028084	ALPL	Alkaline phosphatase	17__22
TCONS_00028084	ALPL	Alkaline phosphatase	17__24
TCONS_00028084	ALPL	Alkaline phosphatase	17__21
TCONS_00028133	FABP3	Lipocalin / cytosolic fatty-acid binding protein family	17__21
TCONS_00028133	FABP3	Lipocalin / cytosolic fatty-acid binding protein family	17__24
TCONS_00028205	ALPL	Alkaline phosphatase	19__21
TCONS_00028205	ALPL	Alkaline phosphatase	19__22
TCONS_00028205	ALPL	Alkaline phosphatase	19__24
TCONS_00028210	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__24
TCONS_00028210	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__21
TCONS_00028210	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__22
TCONS_00028215	GLRA3	Glycine receptor alpha	20__21
TCONS_00028215	GLRA3	Glycine receptor alpha	20__24
TCONS_00028263	CHRNA9	Cholinergic receptor, nicotinic, alpha	17__21
TCONS_00028276	CH25H	cholesterol 25-hydroxylase	22__21
TCONS_00028277	CH25H	cholesterol 25-hydroxylase	22__21
TCONS_00028299	ARSB	Arylsulfatase family, member	20__21
TCONS_00028308	CTSH	cathepsin H	17__24
TCONS_00028397	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__22
TCONS_00028397	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__24
TCONS_00028397	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__21
TCONS_00028399	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__22
TCONS_00028399	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__21
TCONS_00028399	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__24
TCONS_00028462	SCNN1B	sodium channel, non-voltage-gated 1, beta subunit	20__21
TCONS_00028481	RPL17	ribosomal protein	14__18
TCONS_00028512	AQP3	Aquaporin	17__21
TCONS_00028513	AQP3	Aquaporin	17__21
TCONS_00028691	SLC27A2	Solute carrier family 27 (Fatty acid transporter), member	19__22
TCONS_00028858	SLC28A3	Solute carrier family 28 (Sodium-coupled nucleoside transporter), member	17__21
TCONS_00028862	CHRNA9	Cholinergic receptor, nicotinic, alpha	15__21
TCONS_00028970	RPS6	40S ribosomal protein S6	14__18
TCONS_00029000	EEF2	Eukaryotic translation elongation factor 2	17__21
TCONS_00029023	HEXB	hexosaminidase B (beta polypeptide)	20__24
TCONS_00029024	HEXB	hexosaminidase B (beta polypeptide)	20__24
TCONS_00029120	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	15__21
TCONS_00029158	GBA	Glucosidase, beta, acid	17__22
TCONS_00029216	ATP5A1	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)	15__21
TCONS_00029349	CTSH	cathepsin H	20__24
TCONS_00029416	ALPL	Alkaline phosphatase	21__21
TCONS_00029437	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__24
TCONS_00029437	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__22
TCONS_00029437	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__21
TCONS_00029447	RPS17	ribosomal protein	14__18
TCONS_00029474	CHRNA3	cholinergic receptor, nicotinic	17__21
TCONS_00029475	CHRNA3	cholinergic receptor, nicotinic	17__21
TCONS_00029503	SORD	Sorbitol dehydrogenase	20__21
TCONS_00029624	DMGDH	dimethylglycine dehydrogenase	17__24
TCONS_00029629	SI	alpha-glucosidase	19__21
TCONS_00029640	SULT3A1	Sulfotransferase	19__22
TCONS_00029640	SULT3A1	Sulfotransferase	19__24
TCONS_00029796	RASGRF1	Ras protein-specific guanine nucleotide-releasing factor	17__24
TCONS_00029834	RPL36	60S ribosomal protein L36	14__18
TCONS_00030089	ECTC	Catalyzes the circularization of gamma-N-acetyl- alpha,gamma-diaminobutyric acid (ADABA) to ectoine (1,4,5,6- tetrahydro-2-methyl-4-pyrimidine carboxylic acid), which is an excellent osmoprotectant (By similarity)	19__24
TCONS_00030093	RPGR	retinitis pigmentosa GTPase regulator	14__18
TCONS_00030132	NNMT	N-methyltransferase	21__21
TCONS_00030200	GPRTAK2	Serpentine type 7TM GPCR chemoreceptor Srsx	20__24
TCONS_00030230	ASAH2	N-acylsphingosine amidohydrolase (non-lysosomal ceramidase)	22__21
TCONS_00030425	ADRB2	adrenoceptor beta	22__21
TCONS_00030425	ADRB2	adrenoceptor beta	22__24
TCONS_00030581	HPGDS	hematopoietic prostaglandin D synthase	21__21
TCONS_00030585	HPGDS	Glutathione S-transferase, N-terminal domain	19__24
TCONS_00030585	HPGDS	Glutathione S-transferase, N-terminal domain	19__21
TCONS_00030585	HPGDS	Glutathione S-transferase, N-terminal domain	19__22
TCONS_00030586	HPGDS	hematopoietic prostaglandin D synthase	19__21
TCONS_00030586	HPGDS	hematopoietic prostaglandin D synthase	19__24
TCONS_00030586	HPGDS	hematopoietic prostaglandin D synthase	19__22
TCONS_00030712	FSTL4	Follistatin-like	20__21
TCONS_00030765	CES4A	carboxylesterase 4A	19__24
TCONS_00030767	CES4A	carboxylesterase 4A	19__24
TCONS_00030767	CES4A	carboxylesterase 4A	19__21
TCONS_00030767	CES4A	carboxylesterase 4A	19__22
TCONS_00030768	CES4A	carboxylesterase 4A	19__21
TCONS_00030768	CES4A	carboxylesterase 4A	19__24
TCONS_00030768	CES4A	carboxylesterase 4A	19__22
TCONS_00030867	CPE	carboxypeptidase E	17__21
TCONS_00030867	CPE	carboxypeptidase E	17__24
TCONS_00030961	ADAMTS3	with thrombospondin type 1 motif, 3	20__21
TCONS_00030961	ADAMTS3	with thrombospondin type 1 motif, 3	20__24
TCONS_00030964	TACR2	Tachykinin receptor	20__24
TCONS_00031017	FAT4	FAT tumor suppressor homolog 4 (Drosophila)	20__24
TCONS_00031065	RPS14	Ribosomal protein S14	14__18
TCONS_00031084	OVCH1	ovochymase	22__24
TCONS_00031085	OVCH1	ovochymase	22__24
TCONS_00031133	H2AFY2	H2A histone family, member	17__21
TCONS_00031164	HPGDS	hematopoietic prostaglandin D synthase	17__22
TCONS_00031164	HPGDS	hematopoietic prostaglandin D synthase	17__24
TCONS_00031164	HPGDS	hematopoietic prostaglandin D synthase	17__21
TCONS_00031165	HPGDS	Glutathione S-transferase, N-terminal domain	19__22
TCONS_00031165	HPGDS	Glutathione S-transferase, N-terminal domain	19__21
TCONS_00031165	HPGDS	Glutathione S-transferase, N-terminal domain	19__24
TCONS_00031253	DDX58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	17__22
TCONS_00031319	HPGDS	hematopoietic prostaglandin D synthase	20__21
TCONS_00031319	HPGDS	hematopoietic prostaglandin D synthase	20__24
TCONS_00031323	RPL34	ribosomal protein	14__18
TCONS_00031446	LIPA	lipase, family member	19__22
TCONS_00031456	RPS24	40S ribosomal protein S24	14__18
TCONS_00032441	ST8SIA5	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5	14__18
TCONS_00032533	ANPEP	Aminopeptidase	17__21
TCONS_00032819	NPFFR1	neuropeptide FF receptor 1	14__18
TCONS_00033170	ABHD2	Abhydrolase domain containing 2	17__21
TCONS_00033257	GSTO1	Glutathione S-Transferase	20__21
TCONS_00033258	GSTO1	Glutathione S-Transferase	20__21
TCONS_00033260	GSTO1	Glutathione S-Transferase	17__21
TCONS_00033288	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	17__24
TCONS_00033288	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	17__21
TCONS_00033923	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	14__18
TCONS_00033932	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	22__24
TCONS_00033932	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	22__21
TCONS_00034295	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	19__21
TCONS_00034295	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	19__22
TCONS_00034302	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	15__21
TCONS_00035495	HPGDS	hematopoietic prostaglandin D synthase	20__24
TCONS_00035495	HPGDS	hematopoietic prostaglandin D synthase	20__21
TCONS_00035497	HPGDS	Glutathione S-transferase, N-terminal domain	15__21
TCONS_00035514	FRMPD4	FERM and PDZ domain containing 4	15__21
TCONS_00036023	SLC28A3	Solute carrier family 28 (Sodium-coupled nucleoside transporter), member	17__21
TCONS_00036137	CYP4B1	cytochrome P450, family 4, subfamily B, polypeptide 1	21__21
TCONS_00036166	ACE	Angiotensin I converting enzyme peptidyl-dipeptidase A	19__21
TCONS_00036166	ACE	Angiotensin I converting enzyme peptidyl-dipeptidase A	19__22
TCONS_00036166	ACE	Angiotensin I converting enzyme peptidyl-dipeptidase A	19__24
TCONS_00036179	LIPA	lipase, family member	17__22
TCONS_00036295	DDX58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	17__22
TCONS_00036367	UCP1	mitochondrial, proton carrier	17__21
TCONS_00036889	ARSB	Arylsulfatase family, member	17__21
TCONS_00036996	CIITA	Class II, major histocompatibility complex, transactivator	17__21
TCONS_00037088	SLC28A3	Solute carrier family 28 (Sodium-coupled nucleoside transporter), member	20__21
TCONS_00037136	CHRNA6	cholinergic receptor, nicotinic, alpha 6 (neuronal)	21__21
TCONS_00037138	CHRNA6	cholinergic receptor, nicotinic, alpha 6 (neuronal)	21__21
TCONS_00037270	CYP4B1	cytochrome P450, family 4, subfamily B, polypeptide 1	15__21
TCONS_00037393	BCO2	Retinal pigment epithelial membrane protein	15__21
TCONS_00037487	TUBB	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__24
TCONS_00037499	UCP2	mitochondrial, proton carrier	17__21
TCONS_00037682	POLR1B	dna-directed rna polymerase	19__21
TCONS_00037971	CLCA2	chloride channel	20__24
TCONS_00038087	SPT7	acetyltransferase	22__21
TCONS_00038473	FMO5	Dimethylaniline monooxygenase (N-oxide-forming)	21__21
TCONS_00038616	HMCN1	G2F domain	17__24
TCONS_00038643	MSMO1	Methylsterol monooxygenase 1	19__24
TCONS_00038935	C1ORF194	chromosome 1 open reading frame 194	14__18
TCONS_00039048	SLC22A3	Sugar (and other) transporter	19__24
TCONS_00039048	SLC22A3	Sugar (and other) transporter	19__22
TCONS_00039048	SLC22A3	Sugar (and other) transporter	19__21
TCONS_00039050	SLC22A3	Sugar (and other) transporter	17__22
TCONS_00039050	SLC22A3	Sugar (and other) transporter	17__21
TCONS_00039050	SLC22A3	Sugar (and other) transporter	17__24
TCONS_00039411	HSD17B12	hydroxysteroid (17-beta) dehydrogenase 12	21__21
TCONS_00039413	HSD17B12	hydroxysteroid (17-beta) dehydrogenase 12	21__21
TCONS_00039503	FADD35	Long-chain-fatty-acid-CoA ligase	20__21
TCONS_00039503	FADD35	Long-chain-fatty-acid-CoA ligase	20__24
TCONS_00039793	RPS19	Ribosomal protein S19	14__18
TCONS_00039929	EST-6	Esterase	17__24
TCONS_00039929	EST-6	Esterase	17__21
TCONS_00039988	PARP14	Poly (ADP-ribose) polymerase family, member 14	17__22
TCONS_00040587	FADD35	Amp-dependent synthetase and ligase	21__21
TCONS_00040590	FADD35	Amp-dependent synthetase and ligase	17__21
TCONS_00040590	FADD35	Amp-dependent synthetase and ligase	17__24
TCONS_00040757	SLC22A2	solute carrier family 22	19__24
TCONS_00040757	SLC22A2	solute carrier family 22	19__21
TCONS_00040757	SLC22A2	solute carrier family 22	19__22
TCONS_00040964	PARP14	Poly (ADP-ribose) polymerase family, member 14	17__22
TCONS_00040988	NNMT	nicotinamide N-methyltransferase	21__21
TCONS_00040989	NNMT	nicotinamide N-methyltransferase	22__21
TCONS_00040997	NNMT	nicotinamide N-methyltransferase	21__21
TCONS_00041002	NNMT	nicotinamide N-methyltransferase	21__21
TCONS_00041057	RHAG	glycoprotein	15__21
TCONS_00041062	CHRNA7	Neuronal acetylcholine receptor subunit	15__21
TCONS_00041072	RPLP1	60S acidic ribosomal protein	14__18
TCONS_00041133	C1ORF194	chromosome 1 open reading frame 194	14__18
TCONS_00041205	CYP4B1	Cytochrome P450, family 4, subfamily	17__21
TCONS_00041205	CYP4B1	Cytochrome P450, family 4, subfamily	17__22
TCONS_00041220	CYP4B1	Cytochrome P450, family 4, subfamily	17__21
TCONS_00041220	CYP4B1	Cytochrome P450, family 4, subfamily	17__22
TCONS_00041427	EEF1B2	Eukaryotic translation elongation factor 1 beta 2	20__21
TCONS_00041636	BCO2	Beta-carotene	17__21
TCONS_00041637	RPE65	retinal pigment epithelium-specific protein 65kDa	20__21
TCONS_00041660	CES5A	Carboxylesterase	15__21
TCONS_00041661	ACHE-1	alpha/beta hydrolase fold	20__21
TCONS_00041661	ACHE-1	alpha/beta hydrolase fold	20__24
TCONS_00041725	C5ORF4	chromosome 5 open reading frame 4	17__21
TCONS_00041725	C5ORF4	chromosome 5 open reading frame 4	17__22
TCONS_00041725	C5ORF4	chromosome 5 open reading frame 4	17__24
TCONS_00041771	GPR26	G- protein-coupled receptor	17__22
TCONS_00041771	GPR26	G- protein-coupled receptor	17__21
TCONS_00041771	GPR26	G- protein-coupled receptor	17__24
TCONS_00041772	SULT3A1	Sulfotransferase	19__24
TCONS_00041772	SULT3A1	Sulfotransferase	19__22
TCONS_00041937	NSUN7	NOP2 Sun domain family, member 7	20__21
TCONS_00041966	METTL7A	methyltransferase like 7A	19__21
TCONS_00041979	RPL9	ribosomal protein L9	14__18
TCONS_00041986	RPL9	ribosomal protein L9	14__18
TCONS_00042026	TRAF2	Tnf receptor-associated factor 2	22__21
TCONS_00042026	TRAF2	Tnf receptor-associated factor 2	22__24
TCONS_00042031	TRAF2	Tnf receptor-associated factor 2	22__21
TCONS_00042031	TRAF2	Tnf receptor-associated factor 2	22__24
TCONS_00042198	CYP4B1	Cytochrome P450, family 4, subfamily	17__21
TCONS_00042198	CYP4B1	Cytochrome P450, family 4, subfamily	17__22
TCONS_00042261	IGFALS	Insulin-like growth factor binding protein, acid labile subunit	19__24
TCONS_00042261	IGFALS	Insulin-like growth factor binding protein, acid labile subunit	19__22
TCONS_00042261	IGFALS	Insulin-like growth factor binding protein, acid labile subunit	19__21
TCONS_00042314	CPN2	Leucine rich repeat containing 15	14__18
TCONS_00042349	GABA-B-R3	7 transmembrane sweet-taste receptor of 3 GCPR	17__21
TCONS_00042349	GABA-B-R3	7 transmembrane sweet-taste receptor of 3 GCPR	17__22
TCONS_00042395	CTSO	Cathepsin O	14__18
TCONS_00042476	KDR	Growth factor receptor	20__24
TCONS_00042677	TRIM2	tripartite motif containing 2	20__21
TCONS_00042685	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	19__21
TCONS_00042966	SCARB2	scavenger receptor class B, member	19__22
TCONS_00043031	RPS3A	Ribosomal protein S3a	14__18
TCONS_00043496	GRIA4	glutamate receptor	17__24
TCONS_00043688	RPS3	ribosomal protein S3	14__18
TCONS_00043780	SQSTM1	Sequestosome 1	20__24
TCONS_00043985	CNGA2	cyclic nucleotide gated channel alpha	14__18
TCONS_00044095	RPL21	ribosomal protein L21	14__18
TCONS_00044171	TUB1	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	20__24
TCONS_00044257	GPM6B	glycoprotein M6-b	17__21
TCONS_00044628	FRMPD4	FERM and PDZ domain containing 4	14__18
TCONS_00044694	TEKT2	tektin 2 (testicular)	14__18
TCONS_00044980	PPT1	Palmitoyl-protein thioesterase 1	17__22
TCONS_00045126	CP	hephaestin-like 1	17__22
TCONS_00045155	TMEM68	transmembrane protein 68	19__21
TCONS_00045155	TMEM68	transmembrane protein 68	19__24
TCONS_00045159	CD5L	CD5 molecule-like	17__21
TCONS_00045192	LCT	Lactase-like	19__21
TCONS_00045192	LCT	Lactase-like	19__22
TCONS_00045192	LCT	Lactase-like	19__24
TCONS_00045509	CYP3A4	cytochrome P450, family 3, subfamily a, polypeptide	17__24
TCONS_00045510	TBXAS1	thromboxane A synthase 1 (platelet	20__21
TCONS_00045514	TBXAS1	thromboxane A synthase 1 (platelet	19__24
TCONS_00045516	CYP3A4	cytochrome P450, family 3, subfamily a, polypeptide	22__24
TCONS_00045517	CYP3A4	cytochrome P450, family 3, subfamily a, polypeptide	22__24
TCONS_00045695	TPMT	thiopurine S-methyltransferase	20__21
TCONS_00045696	TPMT	Thiopurine S-methyltransferase	21__21
TCONS_00045698	TPMT	Thiopurine S-methyltransferase	20__21
TCONS_00045819	MOXD1	monooxygenase, DBH-like 1	19__24
TCONS_00045819	MOXD1	monooxygenase, DBH-like 1	19__22
TCONS_00045819	MOXD1	monooxygenase, DBH-like 1	19__21
TCONS_00045820	MOXD1	monooxygenase, DBH-like 1	19__21
TCONS_00045820	MOXD1	monooxygenase, DBH-like 1	19__22
TCONS_00045820	MOXD1	monooxygenase, DBH-like 1	19__24
TCONS_00045825	MOXD1	monooxygenase, DBH-like 1	19__24
TCONS_00045825	MOXD1	monooxygenase, DBH-like 1	19__21
TCONS_00045825	MOXD1	monooxygenase, DBH-like 1	19__22
TCONS_00045862	CIB1	calcium and integrin binding 1 (calmyrin)	19__21
TCONS_00045863	CIB1	calcium and integrin binding 1 (calmyrin)	20__21
TCONS_00046038	N	NOTCH protein	19__24
TCONS_00046054	FAM213B	family with sequence similarity 213, member B	19__22
TCONS_00046066	SULT1C4	sulfotransferase family, cytosolic, 1C, member 4	20__24
TCONS_00046204	HPGDS	hematopoietic prostaglandin D synthase	15__21
TCONS_00046345	PXDN	Peroxidasin homolog	17__22
TCONS_00046360	PTER	phosphotriesterase related	21__21
TCONS_00046362	PTER	phosphotriesterase related	20__21
TCONS_00046362	PTER	phosphotriesterase related	20__24
TCONS_00046378	ENPP1	ectonucleotide pyrophosphatase phosphodiesterase	22__24
TCONS_00046380	ENPP1	ectonucleotide pyrophosphatase phosphodiesterase	19__24
TCONS_00046648	CYP3A4	cytochrome P450, family 3, subfamily A, polypeptide 4	19__24
TCONS_00046745	TPMT	Thiopurine S-methyltransferase	20__21
TCONS_00046868	SLC32A1	Solute carrier family 32 (GABA vesicular transporter), member 1	20__21
TCONS_00047523	ABCC9	ATP-binding cassette, sub-family C (CFTR MRP), member	17__21
TCONS_00047528	GLRA1	Glycine receptor alpha	17__21
TCONS_00047528	GLRA1	Glycine receptor alpha	17__24
TCONS_00047602	SLC22A3	solute carrier family 22	15__21
TCONS_00047643	SLC22A3	Sugar (and other) transporter	19__22
TCONS_00047643	SLC22A3	Sugar (and other) transporter	19__24
TCONS_00047643	SLC22A3	Sugar (and other) transporter	19__21
TCONS_00047644	ORCT	Sugar (and other) transporter	20__24
TCONS_00047644	ORCT	Sugar (and other) transporter	20__21
TCONS_00047791	ACE	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	22__21
TCONS_00047791	ACE	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	22__24
TCONS_00047869	FG07561.1	amino acid transporter	17__21
TCONS_00047907	ABCC9	ATP-binding cassette, sub-family C (CFTR MRP), member	17__21
TCONS_00047982	ANPEP	Aminopeptidase	17__21
TCONS_00048004	EIF4E3	eukaryotic translation initiation factor 4E family member 3	22__21
TCONS_00048016	ABCC9	ATP-binding cassette, sub-family C (CFTR MRP), member	22__21
TCONS_00048072	TLR21	TOLL-like receptor	22__24
TCONS_00048081	ANPEP	Aminopeptidase	20__21
