Orthogroup	MOUSE	STRPU_ok
OG0000703	MOUSE09475, MOUSE09482, MOUSE09477, MOUSE09474, MOUSE09481, MOUSE09478, MOUSE09480, MOUSE31672, MOUSE31674, MOUSE31671, MOUSE31670	STRPU_04784
OG0000706	MOUSE23468, MOUSE23467, MOUSE23472, MOUSE23471, MOUSE23466, MOUSE23470, MOUSE23469	STRPU_23155
OG0000707	MOUSE02188	STRPU_05171, STRPU_26965, STRPU_05172, STRPU_05093
OG0000708	MOUSE31390, MOUSE31389	STRPU_18963, STRPU_18977
OG0000708	MOUSE14490, MOUSE54269, MOUSE54268	STRPU_00882, STRPU_23008
OG0000709	MOUSE20103, MOUSE18127, MOUSE18128, MOUSE18129, MOUSE18130, MOUSE18131, MOUSE18132, MOUSE18134, MOUSE18135, MOUSE18136, MOUSE18133, MOUSE18137, MOUSE18138, MOUSE18140, MOUSE18141	STRPU_20537
OG0000710	MOUSE21986, MOUSE21988, MOUSE21987, MOUSE34237	STRPU_25484
OG0000711	MOUSE44352, MOUSE02178	STRPU_12186
OG0000711	MOUSE47225, MOUSE47226	STRPU_11659
OG0000712	MOUSE03200, MOUSE03199, MOUSE53971, MOUSE53972, MOUSE45072, MOUSE45069, MOUSE45071, MOUSE48221, MOUSE48220, MOUSE48222	STRPU_05053, STRPU_05129
OG0000713	MOUSE04057, MOUSE54792, MOUSE54791, MOUSE55213, MOUSE55214, MOUSE55212	STRPU_06419, STRPU_06412, STRPU_06420, STRPU_06413, STRPU_12045, STRPU_01249, STRPU_18802, STRPU_00584, STRPU_07550, STRPU_23982, STRPU_23980, STRPU_06767
OG0000715	MOUSE26260, MOUSE26259, MOUSE26258, MOUSE02473, MOUSE02472, MOUSE53172, MOUSE53167, MOUSE53171, MOUSE53168, MOUSE53170, MOUSE53165, MOUSE53166, MOUSE53169, MOUSE53173	STRPU_13461
OG0000716	MOUSE55256, MOUSE55255, MOUSE55258, MOUSE55260, MOUSE55261, MOUSE55262, MOUSE55257, MOUSE55259, MOUSE18073	STRPU_17012
OG0000717	MOUSE48391, MOUSE48394, MOUSE48392, MOUSE48393, MOUSE25899	STRPU_19581
OG0000718	MOUSE30953, MOUSE43056, MOUSE43055, MOUSE43054, MOUSE24376, MOUSE24375, MOUSE24369, MOUSE43537, MOUSE43538, MOUSE12486	STRPU_04006, STRPU_04005
OG0000720	MOUSE19535, MOUSE19536, MOUSE51696, MOUSE51698, MOUSE51695, MOUSE51697	STRPU_22043
OG0000720	MOUSE30165	STRPU_22503, STRPU_22500, STRPU_22475, STRPU_22501
OG0000721	MOUSE02762, MOUSE02761, MOUSE02760, MOUSE02765, MOUSE02764	STRPU_14994, STRPU_14964
OG0000721	MOUSE02763	STRPU_17945
OG0000722	MOUSE27353, MOUSE08639, MOUSE20386, MOUSE27055, MOUSE39386	STRPU_20560
OG0000724	MOUSE18210, MOUSE18209, MOUSE27554, MOUSE27553, MOUSE27552, MOUSE27551	STRPU_21597
OG0000725	MOUSE31731, MOUSE31730, MOUSE31732	STRPU_19812, STRPU_00755
OG0000725	MOUSE27201, MOUSE27205, MOUSE27203, MOUSE27202, MOUSE27206, MOUSE27207, MOUSE27204	STRPU_12601
OG0000726	MOUSE18851, MOUSE18868, MOUSE18854, MOUSE18855, MOUSE18870, MOUSE18857, MOUSE18848, MOUSE18866, MOUSE18865, MOUSE18850, MOUSE18841, MOUSE18847, MOUSE18859, MOUSE18852, MOUSE18846, MOUSE18849, MOUSE18862, MOUSE18844, MOUSE18861, MOUSE18867, MOUSE18853, MOUSE18864, MOUSE18860, MOUSE18845, MOUSE18858, MOUSE18842, MOUSE18856, MOUSE18871, MOUSE18872, MOUSE18843, MOUSE22343, MOUSE22340, MOUSE22341, MOUSE22342, MOUSE14710	STRPU_13494
OG0000730	MOUSE08715, MOUSE23276, MOUSE02405, MOUSE02406	STRPU_18716
OG0000731	MOUSE15688, MOUSE15689, MOUSE15687, MOUSE15694, MOUSE15693, MOUSE15695, MOUSE15691, MOUSE15692, MOUSE55085, MOUSE55084, MOUSE55086, MOUSE55083, MOUSE12888, MOUSE12887, MOUSE38373, MOUSE38370, MOUSE38371, MOUSE38367	STRPU_06695
OG0000732	MOUSE31018, MOUSE55029, MOUSE23136, MOUSE23139, MOUSE23138, MOUSE23137, MOUSE23135	STRPU_06871
OG0000733	MOUSE07355, MOUSE07356, MOUSE20245, MOUSE24781	STRPU_21566
OG0000733	MOUSE08117, MOUSE08121, MOUSE08120, MOUSE08119, MOUSE08118, MOUSE18227	STRPU_20797
OG0000734	MOUSE25399, MOUSE25398, MOUSE25401, MOUSE25403, MOUSE25402, MOUSE25400, MOUSE31239, MOUSE31240	STRPU_20020
OG0000735	MOUSE00416, MOUSE00415, MOUSE00410, MOUSE00414, MOUSE00409, MOUSE00411, MOUSE00413, MOUSE00412, MOUSE28517, MOUSE28516, MOUSE13496, MOUSE13495, MOUSE13497, MOUSE13498, MOUSE13499	STRPU_24284
OG0000736	MOUSE53161, MOUSE53162, MOUSE14814	STRPU_21933, STRPU_07453, STRPU_07445
OG0000736	MOUSE26390, MOUSE25145	STRPU_22089
OG0000737	MOUSE46613, MOUSE46612, MOUSE46617, MOUSE46614, MOUSE40553, MOUSE46611, MOUSE40552, MOUSE40548, MOUSE40546, MOUSE40545, MOUSE40549, MOUSE40551, MOUSE40547, MOUSE46619, MOUSE46616, MOUSE46615, MOUSE40550	STRPU_09307
OG0000740	MOUSE28205, MOUSE13925	STRPU_13396, STRPU_13375
OG0000743	MOUSE46006, MOUSE42136, MOUSE42134, MOUSE06280, MOUSE06282, MOUSE06283, MOUSE06281	STRPU_08228
OG0000743	MOUSE46007, MOUSE46009, MOUSE06274	STRPU_08229
OG0000744	MOUSE11975, MOUSE11971, MOUSE11972, MOUSE11974, MOUSE11973, MOUSE11976, MOUSE29332, MOUSE29329, MOUSE29331, MOUSE29330, MOUSE29334, MOUSE29333, MOUSE29335, MOUSE28348, MOUSE28346, MOUSE28345, MOUSE28349, MOUSE28347, MOUSE11977	STRPU_25504, STRPU_25505, STRPU_25506
OG0000745	MOUSE18764	STRPU_19598
OG0000746	MOUSE00209	STRPU_20321, STRPU_20397
OG0000748	MOUSE05204	STRPU_22034
OG0000749	MOUSE18217, MOUSE20120, MOUSE20122, MOUSE20121, MOUSE08204, MOUSE08206, MOUSE08207, MOUSE08203, MOUSE08205	STRPU_21644, STRPU_21708
OG0000750	MOUSE07408, MOUSE52785, MOUSE52786, MOUSE52784	STRPU_21563
OG0000750	MOUSE08786, MOUSE08787, MOUSE03569, MOUSE03570, MOUSE03568	STRPU_04644, STRPU_04622
OG0000751	MOUSE39754, MOUSE39752, MOUSE15496, MOUSE15495	STRPU_13591, STRPU_01611
OG0000752	MOUSE21464	STRPU_10384
OG0000752	MOUSE55217, MOUSE55218	STRPU_17910
OG0000752	MOUSE33600, MOUSE33598, MOUSE33597, MOUSE48905, MOUSE48904	STRPU_19015
OG0000753	MOUSE27739, MOUSE27738	STRPU_23569
OG0000753	MOUSE24295, MOUSE24293, MOUSE24296, MOUSE24294, MOUSE50919, MOUSE50920, MOUSE50917	STRPU_03838
OG0000755	MOUSE12361, MOUSE08954, MOUSE08955, MOUSE08952	STRPU_26250
OG0000757	MOUSE46249, MOUSE46248	STRPU_14828
OG0000758	MOUSE34388, MOUSE13666, MOUSE13663, MOUSE13662, MOUSE13667, MOUSE13664, MOUSE13661, MOUSE13658, MOUSE13659, MOUSE13668, MOUSE13665, MOUSE13660, MOUSE13669, MOUSE06777, MOUSE06779, MOUSE06780, MOUSE06778	STRPU_24891
OG0000759	MOUSE26272, MOUSE26275, MOUSE26277, MOUSE26279, MOUSE26278, MOUSE35556, MOUSE35553, MOUSE35552, MOUSE35554, MOUSE23327, MOUSE23328	STRPU_25007
OG0000760	MOUSE41207, MOUSE11238, MOUSE41211, MOUSE41208, MOUSE41206, MOUSE41210, MOUSE41204, MOUSE41203, MOUSE41205, MOUSE41209, MOUSE11235, MOUSE11234, MOUSE11233, MOUSE11232, MOUSE11236	STRPU_01895, STRPU_22741
OG0000761	MOUSE26055, MOUSE26056, MOUSE18487, MOUSE23696, MOUSE23693, MOUSE23695, MOUSE23694, MOUSE23692	STRPU_19482
OG0000762	MOUSE14916, MOUSE14919, MOUSE14917, MOUSE26582, MOUSE26581, MOUSE26580, MOUSE26579, MOUSE26583, MOUSE39898, MOUSE39901, MOUSE39903, MOUSE39902, MOUSE39899, MOUSE39896, MOUSE39897	STRPU_24145
OG0000763	MOUSE30407, MOUSE19448, MOUSE19447, MOUSE48537, MOUSE48539, MOUSE48536, MOUSE48535, MOUSE48538, MOUSE19449, MOUSE48540, MOUSE42999, MOUSE42998	STRPU_26640
OG0000764	MOUSE31888	STRPU_19433, STRPU_19427
OG0000765	MOUSE30890, MOUSE30889, MOUSE37512, MOUSE37513	STRPU_20844, STRPU_20882
OG0000766	MOUSE30247, MOUSE30246, MOUSE30245, MOUSE01575, MOUSE01574, MOUSE01576, MOUSE19531	STRPU_26502, STRPU_12701
OG0000767	MOUSE27533, MOUSE27537, MOUSE27534, MOUSE28011, MOUSE28012	STRPU_20571
OG0000768	MOUSE08553, MOUSE08555, MOUSE11226, MOUSE11225, MOUSE11227	STRPU_23593
OG0000772	MOUSE32505, MOUSE32506, MOUSE32503	STRPU_04727, STRPU_04734, STRPU_04728
OG0000774	MOUSE31336, MOUSE31335, MOUSE31334	STRPU_01825, STRPU_19314
OG0000774	MOUSE32223, MOUSE32222	STRPU_09065, STRPU_02041
OG0000774	MOUSE53571, MOUSE53570, MOUSE53576, MOUSE53579	STRPU_23589
OG0000775	MOUSE00528, MOUSE00529, MOUSE00525, MOUSE00526, MOUSE00527, MOUSE00524, MOUSE37373, MOUSE37372, MOUSE37371	STRPU_21116, STRPU_23930, STRPU_07226
OG0000777	MOUSE06130, MOUSE06129, MOUSE06128	STRPU_26898, STRPU_26897, STRPU_08984
OG0000778	MOUSE29903, MOUSE29902, MOUSE35020	STRPU_11330
OG0000779	MOUSE25408, MOUSE25407, MOUSE25406	STRPU_20061
OG0000779	MOUSE28614, MOUSE28615, MOUSE00255, MOUSE00256, MOUSE21545, MOUSE21544, MOUSE21543	STRPU_15696
OG0000780	MOUSE07684	STRPU_21536
OG0000780	MOUSE04663, MOUSE04662	STRPU_18748
OG0000781	MOUSE32206, MOUSE32205	STRPU_08929, STRPU_00630, STRPU_00629, STRPU_08928, STRPU_00628, STRPU_08927, STRPU_17724, STRPU_17701, STRPU_25935
OG0000782	MOUSE01601, MOUSE19835, MOUSE19834, MOUSE19833, MOUSE30860, MOUSE30856, MOUSE30859, MOUSE30857, MOUSE51653, MOUSE51654, MOUSE51651	STRPU_27022
OG0000784	MOUSE22854, MOUSE22853, MOUSE22852, MOUSE03597, MOUSE29436, MOUSE29124	STRPU_24373
OG0000786	MOUSE23571, MOUSE23570, MOUSE31093, MOUSE31089, MOUSE31090, MOUSE01056, MOUSE01055, MOUSE03857	STRPU_15453
OG0000787	MOUSE47961, MOUSE47965, MOUSE47964, MOUSE47963, MOUSE47962, MOUSE09494, MOUSE09492, MOUSE09493, MOUSE09491, MOUSE00783, MOUSE00784, MOUSE31692, MOUSE31693, MOUSE31691	STRPU_04197, STRPU_04234
OG0000788	MOUSE27064, MOUSE39394	STRPU_11964, STRPU_01625
OG0000788	MOUSE32425, MOUSE32424, MOUSE32423, MOUSE30472, MOUSE01590	STRPU_26569
OG0000790	MOUSE24841, MOUSE24842, MOUSE24843, MOUSE24844	STRPU_22128
OG0000791	MOUSE35519, MOUSE35517, MOUSE35518, MOUSE35520, MOUSE35521, MOUSE14635, MOUSE22542, MOUSE22544, MOUSE22543	STRPU_13705, STRPU_00440
OG0000792	MOUSE39860, MOUSE39859	STRPU_25047
OG0000792	MOUSE37419, MOUSE37420, MOUSE37418	STRPU_14909
OG0000793	MOUSE30326, MOUSE30328, MOUSE30327, MOUSE10274, MOUSE10275, MOUSE10273, MOUSE51447, MOUSE51446, MOUSE01511, MOUSE51436	STRPU_26762, STRPU_26748
OG0000794	MOUSE19985, MOUSE19991, MOUSE19988	STRPU_15852, STRPU_15804, STRPU_16063
OG0000796	MOUSE45184, MOUSE45185, MOUSE54592	STRPU_06083
OG0000797	MOUSE03559, MOUSE03560, MOUSE03554, MOUSE03557, MOUSE03556, MOUSE03555, MOUSE03558, MOUSE30031, MOUSE30030, MOUSE30029	STRPU_04347
OG0000798	MOUSE05107, MOUSE05104, MOUSE05105, MOUSE05101, MOUSE05102, MOUSE05103, MOUSE05106, MOUSE05100, MOUSE17009, MOUSE17008, MOUSE17015, MOUSE17007, MOUSE17010, MOUSE17012, MOUSE17013, MOUSE17011, MOUSE17016, MOUSE17014	STRPU_05696
OG0000799	MOUSE21207, MOUSE21210, MOUSE21211, MOUSE21206, MOUSE21208, MOUSE21205, MOUSE03180, MOUSE03181, MOUSE03179, MOUSE36189, MOUSE36192, MOUSE36191, MOUSE36190, MOUSE36188, MOUSE27783, MOUSE27782, MOUSE27784	STRPU_09727, STRPU_09770
OG0000801	MOUSE51551, MOUSE51550, MOUSE51549, MOUSE19777, MOUSE19776	STRPU_23079, STRPU_00663
OG0000802	MOUSE31955, MOUSE31954, MOUSE48794, MOUSE31846, MOUSE01638, MOUSE42681, MOUSE42680, MOUSE11667, MOUSE11668, MOUSE13170, MOUSE13169	STRPU_18369
OG0000803	MOUSE45920, MOUSE45918, MOUSE42044, MOUSE42045	STRPU_12487, STRPU_12512
OG0000809	MOUSE33312, MOUSE33313, MOUSE33310, MOUSE48492, MOUSE48491, MOUSE48490, MOUSE10214, MOUSE33311, MOUSE48489, MOUSE48488, MOUSE10212, MOUSE10213	STRPU_18374
OG0000810	MOUSE33430, MOUSE33432, MOUSE33426, MOUSE33428, MOUSE33433, MOUSE33429, MOUSE33431, MOUSE33427	STRPU_19223
OG0000810	MOUSE15700, MOUSE53153, MOUSE53154, MOUSE53158	STRPU_16445
OG0000811	MOUSE14467, MOUSE14466	STRPU_14620, STRPU_14638, STRPU_22961, STRPU_22960, STRPU_14640, STRPU_25911
OG0000813	MOUSE00769, MOUSE00766, MOUSE00768, MOUSE00767, MOUSE00765, MOUSE35999	STRPU_04740, STRPU_04739
OG0000814	MOUSE27730	STRPU_21983
OG0000814	MOUSE02913, MOUSE02912	STRPU_15086, STRPU_16415, STRPU_15087, STRPU_15083
OG0000816	MOUSE20168, MOUSE03037, MOUSE42824, MOUSE42825, MOUSE42827, MOUSE42826, MOUSE42822, MOUSE42823	STRPU_21113
OG0000816	MOUSE31618, MOUSE31619, MOUSE21240	STRPU_04037, STRPU_00076
OG0000817	MOUSE06193, MOUSE02547, MOUSE02548	STRPU_22107
OG0000817	MOUSE00951, MOUSE00950	STRPU_04676
OG0000817	MOUSE35479, MOUSE35480	STRPU_14081, STRPU_00839
OG0000818	MOUSE44299, MOUSE38656, MOUSE38652, MOUSE06308, MOUSE06309, MOUSE06306, MOUSE06307, MOUSE44296, MOUSE44300, MOUSE38654, MOUSE44295, MOUSE44297, MOUSE44298, MOUSE44293, MOUSE44294	STRPU_08499
OG0000819	MOUSE27150	STRPU_13106, STRPU_13090
OG0000819	MOUSE04661	STRPU_02243, STRPU_15556
OG0000820	MOUSE14548, MOUSE14550, MOUSE14549, MOUSE14551	STRPU_14124
OG0000822	MOUSE41834, MOUSE41832, MOUSE41833	STRPU_13103, STRPU_13093
OG0000822	MOUSE41870	STRPU_12245
OG0000824	MOUSE03815, MOUSE03814, MOUSE03816, MOUSE03818, MOUSE03817	STRPU_25265
OG0000825	MOUSE21894, MOUSE21892, MOUSE21893, MOUSE03373, MOUSE03374	STRPU_05131, STRPU_05055
OG0000825	MOUSE02086	STRPU_12931
OG0000827	MOUSE32285	STRPU_24864, STRPU_24863, STRPU_24060
OG0000828	MOUSE52206, MOUSE19456, MOUSE19457	STRPU_23372
OG0000828	MOUSE37921, MOUSE37922, MOUSE37919	STRPU_15585, STRPU_02220
OG0000829	MOUSE51529, MOUSE19495	STRPU_03315
OG0000829	MOUSE21109, MOUSE21110, MOUSE12776, MOUSE40370, MOUSE40369	STRPU_10209
OG0000830	MOUSE14043, MOUSE26973	STRPU_26494
OG0000831	MOUSE33690, MOUSE33691, MOUSE33689, MOUSE33688	STRPU_25894, STRPU_25422, STRPU_25896
OG0000832	MOUSE08115, MOUSE08114, MOUSE07814, MOUSE33345	STRPU_17567, STRPU_17584, STRPU_24442, STRPU_17065, STRPU_17067
OG0000833	MOUSE47468, MOUSE50443, MOUSE50445, MOUSE33083, MOUSE33090, MOUSE33085, MOUSE33086, MOUSE33089, MOUSE33084, MOUSE33087, MOUSE33088, MOUSE33457, MOUSE33462, MOUSE33458, MOUSE33459, MOUSE33460, MOUSE33456, MOUSE33461	STRPU_18167, STRPU_18151
OG0000834	MOUSE05405	STRPU_24584, STRPU_24595
OG0000835	MOUSE45890, MOUSE45889, MOUSE41268, MOUSE41271, MOUSE41264, MOUSE41269	STRPU_11532
OG0000836	MOUSE51876, MOUSE51875, MOUSE51874	STRPU_22902, STRPU_22889
OG0000837	MOUSE52076, MOUSE29173	STRPU_24375
OG0000838	MOUSE31130, MOUSE31129, MOUSE31127, MOUSE31125, MOUSE01853	STRPU_12478
OG0000838	MOUSE01854	STRPU_12344
OG0000841	MOUSE49333, MOUSE49334, MOUSE49330, MOUSE49335, MOUSE49336, MOUSE49331, MOUSE49332, MOUSE13927, MOUSE13926, MOUSE13932, MOUSE13929, MOUSE13928, MOUSE13931, MOUSE13930, MOUSE13933, MOUSE13934, MOUSE00701, MOUSE00702, MOUSE00700	STRPU_25231
OG0000842	MOUSE49622, MOUSE49623, MOUSE09830, MOUSE23188, MOUSE23187, MOUSE18508, MOUSE23238, MOUSE05563, MOUSE39641	STRPU_22935
OG0000844	MOUSE34589, MOUSE34590, MOUSE34593, MOUSE34592, MOUSE15465, MOUSE15466, MOUSE15467, MOUSE39588, MOUSE39585, MOUSE39586, MOUSE39589, MOUSE39587, MOUSE39590, MOUSE39591	STRPU_10513
OG0000845	MOUSE54870, MOUSE53652, MOUSE53653	STRPU_16991
OG0000845	MOUSE44981, MOUSE44983	STRPU_17391
OG0000847	MOUSE15209, MOUSE46317, MOUSE46313, MOUSE46314, MOUSE46315, MOUSE46316	STRPU_14471
OG0000848	MOUSE29791, MOUSE48738, MOUSE48739, MOUSE09586	STRPU_04979
OG0000848	MOUSE51667, MOUSE19811, MOUSE19814, MOUSE19815, MOUSE19810, MOUSE51669	STRPU_21912
OG0000849	MOUSE31195, MOUSE31194	STRPU_02904
OG0000850	MOUSE33425, MOUSE33423, MOUSE33422, MOUSE33424	STRPU_01821, STRPU_19318
OG0000850	MOUSE20959	STRPU_01567, STRPU_09392
OG0000851	MOUSE21881, MOUSE21886, MOUSE21884, MOUSE21885, MOUSE21878, MOUSE21877, MOUSE21880, MOUSE21879, MOUSE21883, MOUSE21882, MOUSE48757, MOUSE48751, MOUSE48756, MOUSE48754, MOUSE48752, MOUSE48755	STRPU_04950
OG0000852	MOUSE30781, MOUSE30779, MOUSE30780	STRPU_27397
OG0000852	MOUSE28548, MOUSE28549, MOUSE28544, MOUSE28546, MOUSE28547, MOUSE28545, MOUSE19077	STRPU_26323
OG0000855	MOUSE04905	STRPU_14665
OG0000855	MOUSE04906	STRPU_26339, STRPU_26337, STRPU_26336
OG0000857	MOUSE17281, MOUSE17282, MOUSE17280, MOUSE41554, MOUSE41553, MOUSE45900, MOUSE45901, MOUSE45907, MOUSE45904, MOUSE45905, MOUSE45902, MOUSE45906	STRPU_01644, STRPU_11981
OG0000857	MOUSE41555, MOUSE41556	STRPU_11980
OG0000858	MOUSE39438	STRPU_23333
OG0000858	MOUSE17374, MOUSE50676, MOUSE50675	STRPU_03252, STRPU_03287
OG0000860	MOUSE18498, MOUSE18497, MOUSE18499, MOUSE18501, MOUSE25687, MOUSE25692, MOUSE25691, MOUSE25690, MOUSE25694, MOUSE25695, MOUSE25689, MOUSE25697, MOUSE25688, MOUSE25693, MOUSE25696, MOUSE25698, MOUSE25700, MOUSE25699, MOUSE31411, MOUSE31410, MOUSE31412	STRPU_19409
OG0000866	MOUSE39014, MOUSE39015	STRPU_25209, STRPU_01892
OG0000868	MOUSE55230, MOUSE08090	STRPU_21550
OG0000869	MOUSE35155, MOUSE35154, MOUSE35153, MOUSE35152	STRPU_11325
OG0000869	MOUSE13194, MOUSE13195	STRPU_18300, STRPU_01157
OG0000871	MOUSE53990, MOUSE53988, MOUSE53989	STRPU_17837, STRPU_17836, STRPU_17284, STRPU_17286
OG0000871	MOUSE21316, MOUSE21314	STRPU_09793, STRPU_09788, STRPU_09787
OG0000872	MOUSE19954, MOUSE19956, MOUSE19957, MOUSE19958, MOUSE19955	STRPU_11965, STRPU_01626
OG0000874	MOUSE53137	STRPU_25374
OG0000875	MOUSE13832, MOUSE13831, MOUSE13833, MOUSE13830, MOUSE13824, MOUSE13829, MOUSE13825, MOUSE13828	STRPU_19189
OG0000875	MOUSE22319, MOUSE22321	STRPU_13557
OG0000877	MOUSE01806, MOUSE01805	STRPU_26098, STRPU_26109, STRPU_26097, STRPU_26099, STRPU_26112, STRPU_26111, STRPU_26110
OG0000878	MOUSE20493	STRPU_12243
OG0000878	MOUSE50484, MOUSE50483	STRPU_24918
OG0000879	MOUSE14580, MOUSE14582, MOUSE47637, MOUSE00274, MOUSE21746, MOUSE15959, MOUSE15976, MOUSE15492	STRPU_04023, STRPU_14061, STRPU_00861, STRPU_00863
OG0000880	MOUSE40833, MOUSE40836, MOUSE40842, MOUSE40832, MOUSE40837, MOUSE40831, MOUSE40841, MOUSE40838, MOUSE40839, MOUSE40843, MOUSE40840, MOUSE40835, MOUSE40834, MOUSE18302, MOUSE18299, MOUSE18300, MOUSE18301, MOUSE39028, MOUSE39023, MOUSE39027	STRPU_21962
OG0000881	MOUSE17831, MOUSE17832, MOUSE17830, MOUSE17829, MOUSE17828, MOUSE17827	STRPU_19362
OG0000881	MOUSE04654, MOUSE04657, MOUSE04656	STRPU_14886
OG0000882	MOUSE09204, MOUSE09203, MOUSE09205, MOUSE09206, MOUSE09207, MOUSE28916, MOUSE28917, MOUSE28918, MOUSE21667, MOUSE21666, MOUSE21665, MOUSE33971	STRPU_07358, STRPU_07357
OG0000887	MOUSE08634, MOUSE08638, MOUSE08636, MOUSE08633, MOUSE08628, MOUSE08632, MOUSE08635, MOUSE08631, MOUSE08630, MOUSE08627, MOUSE08622, MOUSE08626, MOUSE08625, MOUSE08623, MOUSE08624, MOUSE08621	STRPU_13716
OG0000888	MOUSE30870, MOUSE01355	STRPU_27059
OG0000888	MOUSE40267, MOUSE40264, MOUSE40268, MOUSE40272, MOUSE40265	STRPU_04199, STRPU_04237
OG0000889	MOUSE18628	STRPU_21634, STRPU_21635
OG0000889	MOUSE26653, MOUSE46319, MOUSE46321, MOUSE04967, MOUSE15211, MOUSE15213, MOUSE15214, MOUSE15212, MOUSE46320, MOUSE26654	STRPU_14204, STRPU_00423
OG0000890	MOUSE16345, MOUSE16349	STRPU_17570, STRPU_17581
OG0000890	MOUSE16355, MOUSE16354, MOUSE06606, MOUSE06607, MOUSE06608, MOUSE16353, MOUSE16343, MOUSE16347, MOUSE16348, MOUSE16341, MOUSE16346, MOUSE16342, MOUSE16351, MOUSE16344	STRPU_17572
OG0000893	MOUSE52671, MOUSE52670, MOUSE52659, MOUSE52660, MOUSE52662, MOUSE39147, MOUSE39146, MOUSE39145, MOUSE39144, MOUSE52664, MOUSE52665, MOUSE52666, MOUSE52663	STRPU_11138, STRPU_11115, STRPU_17260
OG0000894	MOUSE48713, MOUSE48715, MOUSE48714	STRPU_00073, STRPU_05725
OG0000894	MOUSE14107, MOUSE14108, MOUSE38541, MOUSE38542	STRPU_08351
OG0000896	MOUSE47301, MOUSE47302, MOUSE47299, MOUSE47300	STRPU_02181, STRPU_09218
OG0000896	MOUSE24632, MOUSE24633, MOUSE20216, MOUSE20214, MOUSE20218, MOUSE20215, MOUSE20219, MOUSE20220, MOUSE20217, MOUSE20212, MOUSE20213	STRPU_21363
OG0000897	MOUSE14410, MOUSE14409, MOUSE14408	STRPU_22622
OG0000897	MOUSE31064, MOUSE31062, MOUSE31060, MOUSE31063	STRPU_22853, STRPU_22852, STRPU_22851
OG0000898	MOUSE31373, MOUSE31375, MOUSE31374	STRPU_18627, STRPU_18582
OG0000899	MOUSE45307, MOUSE45306, MOUSE45295, MOUSE45299, MOUSE45300, MOUSE36251, MOUSE19363	STRPU_05178
OG0000904	MOUSE41151, MOUSE41152, MOUSE41148, MOUSE03385, MOUSE03384, MOUSE54890, MOUSE00887, MOUSE00886	STRPU_04732, STRPU_04725, STRPU_04724
OG0000905	MOUSE44395, MOUSE44394, MOUSE44396, MOUSE44397, MOUSE44398, MOUSE44399, MOUSE44400, MOUSE44401	STRPU_01236, STRPU_12062, STRPU_12061
OG0000906	MOUSE17633, MOUSE17632, MOUSE17634, MOUSE25430, MOUSE25426, MOUSE25429, MOUSE25431, MOUSE25428, MOUSE25427	STRPU_20167
OG0000906	MOUSE25436	STRPU_15997
OG0000907	MOUSE31312, MOUSE31311	STRPU_19282, STRPU_00404
OG0000908	MOUSE21442, MOUSE48364	STRPU_10409
OG0000908	MOUSE11435	STRPU_04140
OG0000908	MOUSE48365	STRPU_15367
OG0000909	MOUSE16370, MOUSE18098, MOUSE18107, MOUSE18106, MOUSE18102, MOUSE18103, MOUSE18101, MOUSE18099, MOUSE18100, MOUSE18104, MOUSE16369, MOUSE16368, MOUSE16367, MOUSE34339, MOUSE34338	STRPU_17078, STRPU_17082
OG0000911	MOUSE05530, MOUSE05534, MOUSE05531	STRPU_22245
OG0000912	MOUSE40561, MOUSE40562, MOUSE21320, MOUSE21322, MOUSE21321, MOUSE09521, MOUSE35888, MOUSE35887	STRPU_09304
OG0000912	MOUSE04469, MOUSE04468	STRPU_14305
OG0000913	MOUSE03584, MOUSE03581, MOUSE03586, MOUSE03585, MOUSE50198, MOUSE50196, MOUSE50197	STRPU_05760
OG0000915	MOUSE54287, MOUSE54285, MOUSE54291, MOUSE54289, MOUSE54283, MOUSE54284, MOUSE54288, MOUSE54292, MOUSE54286, MOUSE02322, MOUSE40925, MOUSE40924, MOUSE23439, MOUSE23438, MOUSE23437, MOUSE23435, MOUSE02320, MOUSE02321	STRPU_23266
OG0000921	MOUSE23301, MOUSE23303, MOUSE23302, MOUSE23300	STRPU_01492, STRPU_13755
OG0000921	MOUSE23881, MOUSE23879, MOUSE23880	STRPU_02601, STRPU_19926
OG0000923	MOUSE26356, MOUSE26357	STRPU_24165
OG0000925	MOUSE10575, MOUSE10576	STRPU_18396
OG0000925	MOUSE55432, MOUSE24719, MOUSE53700	STRPU_06765, STRPU_06773
OG0000926	MOUSE17360	STRPU_26971
OG0000926	MOUSE13338	STRPU_26152
OG0000928	MOUSE48561, MOUSE48564, MOUSE48560, MOUSE48562, MOUSE48563, MOUSE51589, MOUSE51590, MOUSE51591	STRPU_26844
OG0000929	MOUSE38764, MOUSE00532, MOUSE34224, MOUSE34223	STRPU_17708, STRPU_13746, STRPU_01503
OG0000931	MOUSE27857	STRPU_10318
OG0000932	MOUSE37684, MOUSE38275, MOUSE38276, MOUSE38278, MOUSE38274, MOUSE38277	STRPU_14600
OG0000932	MOUSE38269, MOUSE38279, MOUSE38270, MOUSE38272, MOUSE38273, MOUSE38271	STRPU_14601
OG0000934	MOUSE12520, MOUSE12519, MOUSE12516, MOUSE12517, MOUSE00090	STRPU_17512
OG0000934	MOUSE17316, MOUSE42016, MOUSE42017	STRPU_12472
