Orthogroup	MOUSE	YEAST
OG0000442	MOUSE29994, MOUSE29993, MOUSE29995, MOUSE12602, MOUSE15751, MOUSE34094, MOUSE34093, MOUSE34095, MOUSE15757, MOUSE38695, MOUSE05918, MOUSE18817, MOUSE05916	YEAST05012
OG0000444	MOUSE41959, MOUSE41957, MOUSE41958, MOUSE23532, MOUSE23533, MOUSE19976, MOUSE19978, MOUSE19975, MOUSE14459, MOUSE14458, MOUSE14457	YEAST01115, YEAST04019
OG0000445	MOUSE52167	YEAST03068
OG0000450	MOUSE16109, MOUSE00139, MOUSE46535, MOUSE20568, MOUSE20569, MOUSE20565, MOUSE20567, MOUSE37990, MOUSE37989, MOUSE46533, MOUSE38152, MOUSE38153, MOUSE38154, MOUSE46534, MOUSE37991, MOUSE37992	YEAST04709, YEAST05909
OG0000461	MOUSE38172, MOUSE38173, MOUSE38168, MOUSE38169, MOUSE38170, MOUSE38167, MOUSE38171, MOUSE38166, MOUSE37814, MOUSE37812, MOUSE37813	YEAST00120
OG0000467	MOUSE52897, MOUSE23400	YEAST05317
OG0000467	MOUSE55119, MOUSE55118, MOUSE52896, MOUSE52893, MOUSE52894, MOUSE23397, MOUSE23398, MOUSE23396, MOUSE23399, MOUSE23395, MOUSE23394, MOUSE24991, MOUSE24990, MOUSE24992, MOUSE24995, MOUSE24993, MOUSE24987, MOUSE24986, MOUSE24989, MOUSE24996, MOUSE24994, MOUSE24988, MOUSE55117, MOUSE23401	YEAST03162
OG0000468	MOUSE32725, MOUSE07604, MOUSE07603, MOUSE07605, MOUSE07602	YEAST04372
OG0000469	MOUSE40958, MOUSE52727, MOUSE52724, MOUSE24846, MOUSE24848, MOUSE24847, MOUSE40957, MOUSE24924, MOUSE24923, MOUSE54260, MOUSE54259	YEAST02179, YEAST05440
OG0000469	MOUSE19141	YEAST00863
OG0000474	MOUSE05804, MOUSE22407, MOUSE02524, MOUSE02522, MOUSE02526, MOUSE02525, MOUSE02523, MOUSE02529, MOUSE05803, MOUSE05802, MOUSE53048, MOUSE53047, MOUSE53046, MOUSE22409, MOUSE22410, MOUSE22411, MOUSE22408	YEAST02384
OG0000476	MOUSE32804, MOUSE32803, MOUSE32798, MOUSE32797	YEAST03038
OG0000479	MOUSE34250, MOUSE16521, MOUSE53992, MOUSE26651, MOUSE15313	YEAST04139
OG0000480	MOUSE15596, MOUSE15597, MOUSE15577, MOUSE15578, MOUSE15576, MOUSE15585, MOUSE15580, MOUSE15582, MOUSE15581, MOUSE34567, MOUSE34569, MOUSE34568	YEAST05750
OG0000481	MOUSE46329, MOUSE46325, MOUSE46326, MOUSE46327	YEAST01040
OG0000481	MOUSE26095, MOUSE26092, MOUSE26094	YEAST00916
OG0000481	MOUSE03456, MOUSE47997	YEAST00827, YEAST00774
OG0000484	MOUSE10536, MOUSE50341, MOUSE50342, MOUSE50340, MOUSE33234, MOUSE33236, MOUSE33235, MOUSE33237, MOUSE33227, MOUSE33232, MOUSE33230, MOUSE10537, MOUSE10539, MOUSE10538, MOUSE10533, MOUSE10534, MOUSE10535, MOUSE10532, MOUSE10529, MOUSE10531, MOUSE10530, MOUSE48510, MOUSE48511, MOUSE48512, MOUSE48513, MOUSE10540	YEAST05824
OG0000486	MOUSE31514, MOUSE31513, MOUSE31511, MOUSE21232	YEAST03122, YEAST04270
OG0000487	MOUSE07740, MOUSE07738, MOUSE07739	YEAST04968
OG0000487	MOUSE06228	YEAST02728
OG0000488	MOUSE34152, MOUSE28605, MOUSE07487, MOUSE07485, MOUSE07486, MOUSE28606	YEAST01414
OG0000490	MOUSE25490, MOUSE17417, MOUSE37078, MOUSE37079, MOUSE17415, MOUSE17414, MOUSE17416, MOUSE17412, MOUSE17413, MOUSE17573, MOUSE17574, MOUSE17571, MOUSE17572, MOUSE17569, MOUSE25487, MOUSE25489, MOUSE25488	YEAST04297, YEAST00894
OG0000505	MOUSE01611, MOUSE20688, MOUSE20689, MOUSE20690, MOUSE20687, MOUSE51848, MOUSE51847, MOUSE51846, MOUSE30718, MOUSE30720, MOUSE30717, MOUSE30719, MOUSE51850, MOUSE51849, MOUSE30721	YEAST03067
OG0000508	MOUSE04787, MOUSE04786, MOUSE02862, MOUSE02442, MOUSE22065, MOUSE22066, MOUSE22067, MOUSE22064, MOUSE22068, MOUSE37391, MOUSE37393, MOUSE37392, MOUSE04524, MOUSE04525, MOUSE04526	YEAST04626
OG0000510	MOUSE05540, MOUSE05542, MOUSE05544, MOUSE05541, MOUSE39401, MOUSE37932, MOUSE19983, MOUSE19980	YEAST04569, YEAST05730
OG0000515	MOUSE20985	YEAST04784, YEAST05876
OG0000519	MOUSE02734, MOUSE02732, MOUSE02731	YEAST04594, YEAST03616
OG0000520	MOUSE37798, MOUSE37796, MOUSE37797, MOUSE46520, MOUSE46521, MOUSE46522, MOUSE46523, MOUSE46519, MOUSE43524, MOUSE43523, MOUSE43522, MOUSE51047, MOUSE51050, MOUSE51049, MOUSE51046, MOUSE51048	YEAST02979
OG0000523	MOUSE37655, MOUSE37652, MOUSE32535, MOUSE20709, MOUSE20708, MOUSE51883, MOUSE44593	YEAST01952, YEAST05838, YEAST06082
OG0000529	MOUSE24044, MOUSE24042, MOUSE24043, MOUSE40277, MOUSE40276, MOUSE41488, MOUSE41489, MOUSE41487, MOUSE41486, MOUSE04006, MOUSE04007, MOUSE34925	YEAST05790, YEAST00048
OG0000534	MOUSE26188, MOUSE26191, MOUSE26190, MOUSE26192, MOUSE26189, MOUSE14667, MOUSE14669, MOUSE14668, MOUSE05757, MOUSE05755, MOUSE05754, MOUSE05756	YEAST04932
OG0000538	MOUSE26109, MOUSE26108, MOUSE26107, MOUSE02402, MOUSE02401, MOUSE18904, MOUSE18906, MOUSE18901, MOUSE18905, MOUSE18907, MOUSE18908, MOUSE18902, MOUSE18903, MOUSE05766, MOUSE05767, MOUSE05765, MOUSE05764	YEAST00499
OG0000552	MOUSE10142, MOUSE10140, MOUSE10139, MOUSE10143, MOUSE10138, MOUSE10141, MOUSE18940, MOUSE54211, MOUSE54212, MOUSE29633, MOUSE29632, MOUSE29635, MOUSE54213, MOUSE29634, MOUSE29636	YEAST05717
OG0000561	MOUSE08091, MOUSE08092, MOUSE08093, MOUSE20194, MOUSE20195, MOUSE20193, MOUSE20192, MOUSE20191, MOUSE09576	YEAST06202, YEAST00331
OG0000562	MOUSE48585, MOUSE48586, MOUSE53359, MOUSE53357, MOUSE53360, MOUSE53355, MOUSE53354, MOUSE53358	YEAST00314
OG0000563	MOUSE05023, MOUSE05022, MOUSE37472, MOUSE09944	YEAST01406
OG0000566	MOUSE19799, MOUSE51988, MOUSE51987, MOUSE19797, MOUSE19798, MOUSE51983, MOUSE51982, MOUSE51985, MOUSE51989, MOUSE04915	YEAST05789, YEAST00049
OG0000573	MOUSE41431, MOUSE38345, MOUSE38346, MOUSE35087, MOUSE35088, MOUSE38344, MOUSE38343, MOUSE38342, MOUSE38341, MOUSE29526, MOUSE35086, MOUSE51991, MOUSE51992	YEAST05675
OG0000576	MOUSE01166, MOUSE14852, MOUSE14850, MOUSE14851, MOUSE40559, MOUSE01164, MOUSE01163, MOUSE01165, MOUSE52581, MOUSE52578, MOUSE52574, MOUSE52580, MOUSE52576, MOUSE52579, MOUSE52577, MOUSE52575, MOUSE52582, MOUSE52584, MOUSE52587, MOUSE52586, MOUSE52585, MOUSE52583	YEAST00470, YEAST00193
OG0000578	MOUSE20360, MOUSE20359, MOUSE20362, MOUSE20361, MOUSE03091, MOUSE03087, MOUSE03090, MOUSE03088, MOUSE03089, MOUSE07290, MOUSE07291, MOUSE07292, MOUSE42776, MOUSE42775	YEAST01208, YEAST00759
OG0000579	MOUSE02041, MOUSE23552, MOUSE23553, MOUSE23554, MOUSE23550, MOUSE02042, MOUSE41019, MOUSE41020, MOUSE41018, MOUSE41021, MOUSE54255, MOUSE54257, MOUSE54256	YEAST02484
OG0000582	MOUSE17430, MOUSE17431, MOUSE17428, MOUSE17429, MOUSE23946, MOUSE23947, MOUSE25981, MOUSE25982, MOUSE25983, MOUSE25975, MOUSE25979, MOUSE25984, MOUSE25974, MOUSE25976, MOUSE25978, MOUSE17216, MOUSE17215, MOUSE17213, MOUSE17212, MOUSE17214, MOUSE17211, MOUSE17210, MOUSE23948	YEAST03615
OG0000587	MOUSE22685, MOUSE38303, MOUSE38305, MOUSE38304, MOUSE55325, MOUSE55324, MOUSE55322, MOUSE55323	YEAST04063
OG0000587	MOUSE42666, MOUSE42665, MOUSE42667	YEAST03372
OG0000588	MOUSE48786, MOUSE48787, MOUSE31848, MOUSE32353, MOUSE32352, MOUSE45239, MOUSE45240	YEAST05197
OG0000590	MOUSE05523, MOUSE18372, MOUSE05521, MOUSE05522, MOUSE02546, MOUSE18529, MOUSE28939, MOUSE28941	YEAST05110, YEAST05552, YEAST03727
OG0000592	MOUSE09794, MOUSE09795, MOUSE09796, MOUSE49687, MOUSE49686, MOUSE49685, MOUSE27133, MOUSE49688	YEAST00388
OG0000597	MOUSE46308, MOUSE46307, MOUSE04601, MOUSE04603, MOUSE04605, MOUSE04604, MOUSE20021, MOUSE46309, MOUSE37363, MOUSE51636, MOUSE51634, MOUSE51635, MOUSE32567, MOUSE32568	YEAST04330
OG0000609	MOUSE07218, MOUSE22036, MOUSE22020, MOUSE22345, MOUSE02350	YEAST05180
OG0000612	MOUSE36201, MOUSE36200, MOUSE36199, MOUSE46782, MOUSE46781, MOUSE40383, MOUSE40382	YEAST02370
OG0000612	MOUSE28578, MOUSE28580, MOUSE28579	YEAST03629
OG0000613	MOUSE00704, MOUSE00705, MOUSE00703, MOUSE28638, MOUSE34125, MOUSE34127, MOUSE34126, MOUSE34123, MOUSE34124, MOUSE10241	YEAST01072
OG0000623	MOUSE52068	YEAST02411
OG0000623	MOUSE05906, MOUSE05905, MOUSE14117	YEAST05090
OG0000627	MOUSE51584, MOUSE51583, MOUSE51585, MOUSE51582, MOUSE50870, MOUSE50872, MOUSE50871, MOUSE50873, MOUSE50869, MOUSE50874, MOUSE50868, MOUSE43635, MOUSE43636, MOUSE43634, MOUSE43633, MOUSE43628, MOUSE43630, MOUSE43629, MOUSE43627, MOUSE43631, MOUSE15878	YEAST02116, YEAST03957
OG0000639	MOUSE51940, MOUSE19650, MOUSE19651, MOUSE19647, MOUSE49493, MOUSE49495, MOUSE49496, MOUSE32122, MOUSE28358	YEAST02015
OG0000642	MOUSE37031, MOUSE37030, MOUSE39970, MOUSE39974, MOUSE39972, MOUSE18753, MOUSE18754	YEAST00618
OG0000645	MOUSE48947	YEAST05140
OG0000645	MOUSE32254, MOUSE32255, MOUSE51331, MOUSE32253, MOUSE51330	YEAST04743
OG0000647	MOUSE27948, MOUSE27946, MOUSE27945, MOUSE27942, MOUSE27941, MOUSE27947, MOUSE27937, MOUSE27938, MOUSE27939, MOUSE27935, MOUSE27943, MOUSE27944, MOUSE27940, MOUSE27936, MOUSE46894, MOUSE46895	YEAST04534
OG0000648	MOUSE09142, MOUSE09133, MOUSE09132, MOUSE09134, MOUSE09135, MOUSE09136, MOUSE09138, MOUSE09137, MOUSE09139, MOUSE09140, MOUSE09131, MOUSE09130, MOUSE09143, MOUSE09141, MOUSE49647	YEAST04178, YEAST05641
OG0000657	MOUSE51830, MOUSE20685, MOUSE20684, MOUSE20683, MOUSE51829, MOUSE51831	YEAST03846
OG0000660	MOUSE26589, MOUSE53726, MOUSE02723, MOUSE04889, MOUSE04890, MOUSE23064	YEAST05150, YEAST01587
OG0000662	MOUSE19603, MOUSE19601, MOUSE19604, MOUSE19602, MOUSE19605, MOUSE19607, MOUSE19606, MOUSE06501, MOUSE14111, MOUSE06500, MOUSE06499, MOUSE14110	YEAST05937
OG0000663	MOUSE13439, MOUSE13440, MOUSE06815, MOUSE06817, MOUSE06816, MOUSE13441	YEAST02675, YEAST03294
OG0000672	MOUSE15523, MOUSE15520, MOUSE15524, MOUSE04067, MOUSE15521	YEAST03771
OG0000672	MOUSE41797, MOUSE41126, MOUSE06352, MOUSE41798, MOUSE06353	YEAST00984
OG0000676	MOUSE13398, MOUSE13397, MOUSE13396, MOUSE28654, MOUSE28653	YEAST01503
OG0000676	MOUSE23124, MOUSE54030, MOUSE54029, MOUSE13098, MOUSE23125	YEAST02962
OG0000683	MOUSE54444, MOUSE54443, MOUSE48812, MOUSE48811, MOUSE31819, MOUSE31816, MOUSE31818, MOUSE31817, MOUSE31821	YEAST03152, YEAST03537, YEAST05938
OG0000690	MOUSE00475, MOUSE18670, MOUSE34065, MOUSE00474	YEAST04874
OG0000690	MOUSE54656	YEAST02296
OG0000692	MOUSE04478, MOUSE04479, MOUSE04480, MOUSE04477, MOUSE04476	YEAST03487
OG0000694	MOUSE40208	YEAST03072
OG0000694	MOUSE40206, MOUSE24535, MOUSE24536, MOUSE24534, MOUSE24752, MOUSE40204, MOUSE40205, MOUSE40203, MOUSE40207	YEAST05978
OG0000699	MOUSE45156, MOUSE54589, MOUSE54585, MOUSE54584, MOUSE54588, MOUSE22674, MOUSE22675, MOUSE22676, MOUSE22673, MOUSE45160	YEAST05706
OG0000701	MOUSE09498, MOUSE09495, MOUSE09496, MOUSE00837, MOUSE00838, MOUSE00839, MOUSE00845, MOUSE40359, MOUSE40360, MOUSE02828, MOUSE02827	YEAST02239, YEAST02223
OG0000703	MOUSE31673, MOUSE09475, MOUSE09482, MOUSE09477, MOUSE09474, MOUSE09481, MOUSE09478, MOUSE09480, MOUSE31672, MOUSE31674, MOUSE31671, MOUSE31670, MOUSE09476	YEAST05314
OG0000708	MOUSE31390, MOUSE31389, MOUSE14490, MOUSE54269, MOUSE54268	YEAST05997
OG0000709	MOUSE20103, MOUSE18127, MOUSE18128, MOUSE18129, MOUSE18130, MOUSE18131, MOUSE18132, MOUSE18134, MOUSE18135, MOUSE18136, MOUSE18133, MOUSE18137, MOUSE18138, MOUSE18140, MOUSE18141, MOUSE00780, MOUSE00781, MOUSE00782, MOUSE18139	YEAST00057
OG0000724	MOUSE18210, MOUSE18209, MOUSE27554, MOUSE27553, MOUSE27552, MOUSE27551	YEAST02013
OG0000732	MOUSE31018, MOUSE55029, MOUSE23136, MOUSE23139, MOUSE23138, MOUSE23137, MOUSE23135, MOUSE50346, MOUSE33183	YEAST04978
OG0000733	MOUSE07355, MOUSE07356, MOUSE20245, MOUSE24781, MOUSE08117, MOUSE08121, MOUSE08120, MOUSE08119, MOUSE08118, MOUSE18227	YEAST05474
OG0000735	MOUSE00416, MOUSE00415, MOUSE00410, MOUSE00414, MOUSE00409, MOUSE00411, MOUSE00413, MOUSE00412, MOUSE28517, MOUSE28516, MOUSE13496, MOUSE13495, MOUSE13497, MOUSE13498, MOUSE13499	YEAST05945
OG0000737	MOUSE46618, MOUSE46613, MOUSE46612, MOUSE46617, MOUSE46614, MOUSE40553, MOUSE46611, MOUSE40552, MOUSE40548, MOUSE40546, MOUSE40545, MOUSE40549, MOUSE40551, MOUSE40547, MOUSE46619, MOUSE46616, MOUSE46615, MOUSE40550	YEAST05188
OG0000744	MOUSE11978, MOUSE11975, MOUSE11971, MOUSE11972, MOUSE11974, MOUSE11973, MOUSE11976, MOUSE29332, MOUSE29329, MOUSE29331, MOUSE29330, MOUSE29334, MOUSE29333, MOUSE29335, MOUSE28348, MOUSE28346, MOUSE28345, MOUSE28349, MOUSE28347, MOUSE11977	YEAST05951
OG0000745	MOUSE18764	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102
OG0000752	MOUSE21464, MOUSE55217, MOUSE55218, MOUSE33600, MOUSE33598, MOUSE33597, MOUSE48905, MOUSE48904	YEAST01432, YEAST04483
OG0000753	MOUSE27739, MOUSE27738, MOUSE24295, MOUSE24293, MOUSE24296, MOUSE24294, MOUSE50919, MOUSE50920, MOUSE50917	YEAST01034, YEAST02037
OG0000757	MOUSE06107, MOUSE06110, MOUSE01204, MOUSE01202, MOUSE01200, MOUSE01207, MOUSE01201, MOUSE01203, MOUSE06109, MOUSE06108, MOUSE01205, MOUSE46249, MOUSE46248, MOUSE22247, MOUSE22248	YEAST01489
OG0000758	MOUSE13670, MOUSE34388, MOUSE13666, MOUSE13663, MOUSE13662, MOUSE13667, MOUSE13664, MOUSE13661, MOUSE13658, MOUSE13659, MOUSE13668, MOUSE13665, MOUSE13660, MOUSE13669, MOUSE06777, MOUSE06779, MOUSE06780, MOUSE06778	YEAST01504
OG0000759	MOUSE35555, MOUSE26272, MOUSE26275, MOUSE26277, MOUSE26279, MOUSE26278, MOUSE35556, MOUSE35553, MOUSE35552, MOUSE35554, MOUSE23327, MOUSE23328	YEAST02878, YEAST05681
OG0000765	MOUSE30891	YEAST05027, YEAST03009, YEAST01404
OG0000768	MOUSE08556, MOUSE08554, MOUSE08553, MOUSE08555, MOUSE11226, MOUSE11225, MOUSE11227	YEAST02560, YEAST04269
OG0000772	MOUSE32505, MOUSE32506, MOUSE32503	YEAST04929
OG0000776	MOUSE29664, MOUSE48168, MOUSE53845	YEAST04571, YEAST00195, YEAST00312
OG0000777	MOUSE00254, MOUSE06131, MOUSE14181, MOUSE03839, MOUSE06130, MOUSE06129, MOUSE06128	YEAST06297, YEAST02627
OG0000779	MOUSE25408, MOUSE25407, MOUSE25406, MOUSE28614, MOUSE28615, MOUSE00255, MOUSE00256, MOUSE21545, MOUSE21544, MOUSE21543	YEAST03812
OG0000782	MOUSE01602, MOUSE30858, MOUSE30861, MOUSE01601, MOUSE19835, MOUSE19834, MOUSE19833, MOUSE30860, MOUSE30856, MOUSE30859, MOUSE30857, MOUSE51653, MOUSE51654, MOUSE51651	YEAST01393, YEAST05616
OG0000791	MOUSE35522, MOUSE35519, MOUSE35517, MOUSE35518, MOUSE35520, MOUSE35521, MOUSE14635, MOUSE22542, MOUSE22544, MOUSE22543	YEAST02375
OG0000794	MOUSE03809, MOUSE03810, MOUSE03812, MOUSE03813, MOUSE19985, MOUSE19991, MOUSE19988, MOUSE03808, MOUSE19989	YEAST04627
OG0000809	MOUSE33314, MOUSE33312, MOUSE33313, MOUSE33310, MOUSE48492, MOUSE48491, MOUSE48490, MOUSE10214, MOUSE33311, MOUSE48489, MOUSE48488, MOUSE10212, MOUSE10213	YEAST01998
OG0000817	MOUSE06193, MOUSE02547, MOUSE02548, MOUSE00951, MOUSE00950	YEAST00389
OG0000817	MOUSE35479, MOUSE35480	YEAST06112
OG0000824	MOUSE03815, MOUSE03814, MOUSE03816, MOUSE03818, MOUSE03817	YEAST01319, YEAST02883
OG0000828	MOUSE52206, MOUSE19456, MOUSE19457	YEAST00945, YEAST05476, YEAST00075
OG0000828	MOUSE37921, MOUSE37922, MOUSE37919	YEAST02290
OG0000837	MOUSE52078, MOUSE52077, MOUSE52076, MOUSE29173	YEAST06222
OG0000841	MOUSE49333, MOUSE49334, MOUSE49330, MOUSE49335, MOUSE49336, MOUSE49331, MOUSE49332, MOUSE13927, MOUSE13926, MOUSE13932, MOUSE13929, MOUSE13928, MOUSE13931, MOUSE13930, MOUSE13933, MOUSE13934, MOUSE00701, MOUSE00702, MOUSE00700	YEAST02416
OG0000847	MOUSE03824, MOUSE03827, MOUSE03826, MOUSE03825	YEAST02881, YEAST03544, YEAST06198
OG0000847	MOUSE15209, MOUSE46317, MOUSE46313, MOUSE46314, MOUSE46315, MOUSE46316	YEAST02530, YEAST00209
OG0000849	MOUSE31195, MOUSE31194, MOUSE31000, MOUSE30998, MOUSE30997, MOUSE45859, MOUSE45858	YEAST04475
OG0000850	MOUSE33425, MOUSE33423, MOUSE33422, MOUSE33424, MOUSE20959	YEAST04287
OG0000852	MOUSE30781, MOUSE30779, MOUSE30780, MOUSE28548, MOUSE28549, MOUSE28544, MOUSE28546, MOUSE28547, MOUSE28545, MOUSE19077	YEAST01266
OG0000855	MOUSE04905, MOUSE04906	YEAST04755
OG0000857	MOUSE44164, MOUSE44161, MOUSE44157, MOUSE17281, MOUSE17282, MOUSE17280, MOUSE41554, MOUSE41553, MOUSE45900, MOUSE45901, MOUSE45907, MOUSE45904, MOUSE45905, MOUSE45902, MOUSE45906, MOUSE44160, MOUSE44162, MOUSE44159, MOUSE44158, MOUSE44163, MOUSE45908, MOUSE41555, MOUSE41556	YEAST00309
OG0000868	MOUSE55230, MOUSE08090, MOUSE48095	YEAST06157
OG0000871	MOUSE53990, MOUSE53988, MOUSE53989, MOUSE21316, MOUSE21314	YEAST03857
OG0000872	MOUSE19959, MOUSE14433, MOUSE19954, MOUSE19956, MOUSE19957, MOUSE19958, MOUSE19955, MOUSE42241, MOUSE42242, MOUSE42239, MOUSE42240, MOUSE14434	YEAST03222, YEAST03741
OG0000875	MOUSE13832, MOUSE13831, MOUSE13833, MOUSE13830, MOUSE13824, MOUSE13829, MOUSE13825, MOUSE13828, MOUSE22325, MOUSE22324, MOUSE22319, MOUSE22321	YEAST00077
OG0000876	MOUSE08618, MOUSE08617, MOUSE08619, MOUSE14709, MOUSE14708, MOUSE14707, MOUSE01144, MOUSE01143, MOUSE01142, MOUSE08620, MOUSE01141, MOUSE01145	YEAST05556
OG0000879	MOUSE15627, MOUSE15628, MOUSE15626, MOUSE04069, MOUSE04070, MOUSE14580, MOUSE14582, MOUSE47637, MOUSE00274, MOUSE21746, MOUSE15959, MOUSE15976, MOUSE15492	YEAST06123
OG0000888	MOUSE30870, MOUSE01355, MOUSE40267, MOUSE40264, MOUSE40268, MOUSE40272, MOUSE40265, MOUSE30871	YEAST00288
OG0000889	MOUSE18628, MOUSE26653, MOUSE46319, MOUSE46321, MOUSE04967, MOUSE15211, MOUSE15213, MOUSE15214, MOUSE15212, MOUSE46320, MOUSE26654	YEAST00175
OG0000894	MOUSE48713, MOUSE48715, MOUSE48714, MOUSE14107, MOUSE14108, MOUSE38541, MOUSE38542	YEAST03763
OG0000896	MOUSE47301, MOUSE47302, MOUSE47299, MOUSE47300	YEAST02476
OG0000896	MOUSE24632, MOUSE24633, MOUSE20216, MOUSE20214, MOUSE20218, MOUSE20215, MOUSE20219, MOUSE20220, MOUSE20217, MOUSE20212, MOUSE20213	YEAST04923
OG0000898	MOUSE31373, MOUSE31375, MOUSE31374	YEAST06255, YEAST03431
OG0000905	MOUSE44395, MOUSE44394, MOUSE44396, MOUSE44397, MOUSE44398, MOUSE44399, MOUSE44400, MOUSE44401	YEAST00599
OG0000907	MOUSE31312, MOUSE31311, MOUSE09807, MOUSE09808, MOUSE09809	YEAST02193
OG0000913	MOUSE03584, MOUSE03581, MOUSE03586, MOUSE03585, MOUSE50198, MOUSE50196, MOUSE50197	YEAST03557, YEAST05101
OG0000914	MOUSE54271, MOUSE17295, MOUSE17296, MOUSE35445, MOUSE35444, MOUSE35443	YEAST04745
OG0000921	MOUSE24877, MOUSE24878, MOUSE23301, MOUSE23303, MOUSE23302, MOUSE23300, MOUSE04563, MOUSE23881, MOUSE23879, MOUSE23880, MOUSE23882	YEAST02526
OG0000925	MOUSE10575, MOUSE10576, MOUSE55432, MOUSE24719, MOUSE53700	YEAST05667, YEAST06025
OG0000932	MOUSE37686, MOUSE37685, MOUSE37684, MOUSE38275, MOUSE38276, MOUSE38278, MOUSE38274, MOUSE38277, MOUSE38269, MOUSE38279, MOUSE38270, MOUSE38272, MOUSE38273, MOUSE38271	YEAST03525
OG0000933	MOUSE28167, MOUSE20273, MOUSE20274, MOUSE07248, MOUSE07247	YEAST06306
OG0000934	MOUSE12520, MOUSE12519, MOUSE12516, MOUSE12517, MOUSE00090	YEAST02582, YEAST06252
OG0000934	MOUSE17316, MOUSE42016, MOUSE42017	YEAST05040
OG0000935	MOUSE47477, MOUSE47478, MOUSE44606, MOUSE44607, MOUSE30728, MOUSE30730, MOUSE30727, MOUSE30729, MOUSE14697, MOUSE14695, MOUSE14698, MOUSE14700, MOUSE14696, MOUSE14699, MOUSE26344, MOUSE26343	YEAST02843
OG0000943	MOUSE41857, MOUSE41855, MOUSE41854, MOUSE41856, MOUSE20500, MOUSE37971, MOUSE37975, MOUSE37977, MOUSE37972, MOUSE37973, MOUSE37974, MOUSE37976	YEAST03805
OG0000944	MOUSE12531, MOUSE12532, MOUSE48058, MOUSE54692	YEAST04878
OG0000954	MOUSE22495, MOUSE22494, MOUSE22493, MOUSE17098, MOUSE17097, MOUSE17096, MOUSE16993, MOUSE16991, MOUSE16987, MOUSE16992, MOUSE16989, MOUSE16988, MOUSE16990	YEAST05503, YEAST01249
OG0000955	MOUSE32358	YEAST00837
OG0000955	MOUSE29654, MOUSE29652, MOUSE29653	YEAST04295
OG0000963	MOUSE01418, MOUSE01419, MOUSE01420, MOUSE10592, MOUSE33400	YEAST03685, YEAST00482, YEAST01749
OG0000964	MOUSE43201, MOUSE43202, MOUSE43200, MOUSE43199	YEAST04606
OG0000965	MOUSE36703, MOUSE36704, MOUSE36705	YEAST02552
OG0000965	MOUSE12247, MOUSE12246	YEAST02050
OG0000967	MOUSE47761, MOUSE47762, MOUSE47763, MOUSE20877	YEAST05075
OG0000970	MOUSE15308, MOUSE15310, MOUSE15305, MOUSE43486, MOUSE43485, MOUSE43483, MOUSE43482, MOUSE43484, MOUSE43481, MOUSE15306, MOUSE15307, MOUSE15309	YEAST04028
OG0000982	MOUSE01632, MOUSE01629, MOUSE01628, MOUSE01633, MOUSE30694, MOUSE30693, MOUSE30696, MOUSE30695, MOUSE20747, MOUSE20746, MOUSE01635	YEAST01182
OG0000984	MOUSE10080, MOUSE10081, MOUSE23731, MOUSE23728, MOUSE23729, MOUSE23730	YEAST01493, YEAST00575
OG0000986	MOUSE11562, MOUSE40286, MOUSE40285, MOUSE11563, MOUSE40288, MOUSE40283, MOUSE40287, MOUSE40284	YEAST01481, YEAST04073
OG0000987	MOUSE08586, MOUSE08587, MOUSE14584, MOUSE01245, MOUSE08588, MOUSE08591, MOUSE01247	YEAST04734, YEAST02734
OG0000994	MOUSE32211, MOUSE32210, MOUSE40530, MOUSE40529	YEAST02360
OG0000996	MOUSE54534, MOUSE12585, MOUSE54538, MOUSE54537, MOUSE54531, MOUSE54525, MOUSE54529, MOUSE54530, MOUSE54526, MOUSE54532, MOUSE54536, MOUSE54533, MOUSE54524, MOUSE54528, MOUSE54527, MOUSE54539, MOUSE12587, MOUSE54540, MOUSE12586, MOUSE12583, MOUSE21790, MOUSE21789, MOUSE21792, MOUSE21793, MOUSE21791	YEAST00033
OG0001001	MOUSE04043, MOUSE53732, MOUSE53727, MOUSE53728, MOUSE55430, MOUSE55424, MOUSE55426, MOUSE55427, MOUSE55428, MOUSE53729	YEAST00341
OG0001003	MOUSE37949, MOUSE37947, MOUSE37943, MOUSE37952, MOUSE37945, MOUSE37944, MOUSE37946, MOUSE37942, MOUSE37951, MOUSE37948, MOUSE03862, MOUSE03866, MOUSE03863, MOUSE03867, MOUSE03865, MOUSE03864, MOUSE03872, MOUSE03874, MOUSE03875, MOUSE03873, MOUSE03871, MOUSE03869, MOUSE03870, MOUSE03868, MOUSE37953	YEAST00644
OG0001006	MOUSE46161, MOUSE46160, MOUSE46159, MOUSE10545, MOUSE01475, MOUSE01476, MOUSE33637, MOUSE33638	YEAST04513
OG0001016	MOUSE18875, MOUSE18878, MOUSE18877, MOUSE39644, MOUSE39646, MOUSE39647	YEAST00830
OG0001018	MOUSE16373, MOUSE08070, MOUSE08069, MOUSE08067, MOUSE08068	YEAST01172
OG0001024	MOUSE31611, MOUSE31612, MOUSE31615, MOUSE31609, MOUSE31610, MOUSE37115, MOUSE19217, MOUSE01002, MOUSE54809, MOUSE54810	YEAST01024, YEAST00308
OG0001033	MOUSE40432	YEAST01594
OG0001033	MOUSE33551, MOUSE33552, MOUSE32234, MOUSE01529	YEAST02124
OG0001048	MOUSE11456	YEAST06029
