Orthogroup	MOUSE	OWEFU
OG0000525	MOUSE23826	OFUSG25939.1.p1
OG0000525	MOUSE44263, MOUSE16909, MOUSE03969, MOUSE03968	OFUSG17865.2.p1, OFUSG17865.1.p1
OG0000527	MOUSE25378, MOUSE25385, MOUSE25383, MOUSE25381, MOUSE25382, MOUSE25380, MOUSE25379, MOUSE25377, MOUSE25376	OFUSG23562.1.p1, OFUSG23562.2.p1
OG0000528	MOUSE08078, MOUSE08077, MOUSE08080, MOUSE08079, MOUSE42764, MOUSE42765, MOUSE42767, MOUSE42766, MOUSE20445, MOUSE20444, MOUSE20446, MOUSE18735, MOUSE18737, MOUSE18736	OFUSG21773.1.p1
OG0000529	MOUSE24044, MOUSE24042, MOUSE24043	OFUSG07078.1.p1, OFUSG07078.2.p1
OG0000529	MOUSE40277, MOUSE40276	OFUSG25597.1.p1
OG0000529	MOUSE34925	OFUSG23321.1.p1
OG0000530	MOUSE01368, MOUSE01373, MOUSE01369, MOUSE01370, MOUSE32745, MOUSE01376, MOUSE32738, MOUSE32739, MOUSE32737, MOUSE32741, MOUSE32742, MOUSE32740, MOUSE31361, MOUSE31363, MOUSE31366, MOUSE31362	OFUSG26322.2.p1, OFUSG26322.4.p1, OFUSG26322.3.p1, OFUSG26322.5.p1, OFUSG26322.1.p1
OG0000533	MOUSE12597, MOUSE12594, MOUSE12596, MOUSE12598, MOUSE12595	OFUSG01128.1.p1, OFUSG16657.1.p1, OFUSG01126.1.p1, OFUSG04164.1.p1, OFUSG01127.1.p1
OG0000534	MOUSE26188, MOUSE26191, MOUSE26190, MOUSE26192, MOUSE26189, MOUSE14667, MOUSE14669, MOUSE14668, MOUSE05757, MOUSE05755, MOUSE05754, MOUSE05756	OFUSG16053.1.p1
OG0000535	MOUSE25279, MOUSE09525, MOUSE09526, MOUSE36224, MOUSE36223	OFUSG08130.1.p1, OFUSG13128.1.p1
OG0000537	MOUSE55030, MOUSE47509, MOUSE22723	OFUSG25896.1.p1, OFUSG25896.2.p1
OG0000537	MOUSE22725, MOUSE22726, MOUSE47506, MOUSE22724, MOUSE55032, MOUSE55031, MOUSE47504	OFUSG25897.1.p1
OG0000538	MOUSE26109, MOUSE26108, MOUSE26107, MOUSE02402, MOUSE02401, MOUSE18904, MOUSE18906, MOUSE18901, MOUSE18905, MOUSE18907, MOUSE18908, MOUSE18902, MOUSE18903	OFUSG16205.1.p1
OG0000542	MOUSE30131, MOUSE30132, MOUSE30133, MOUSE30129, MOUSE30134, MOUSE30130, MOUSE29812, MOUSE29810, MOUSE29811, MOUSE55060, MOUSE55059, MOUSE55061, MOUSE29813, MOUSE29814	OFUSG03514.1.p1
OG0000542	MOUSE53102	OFUSG17386.2.p1, OFUSG17386.1.p1
OG0000545	MOUSE27509, MOUSE43194	OFUSG21600.1.p1
OG0000545	MOUSE03097, MOUSE03098, MOUSE03096, MOUSE20075, MOUSE07401, MOUSE07400, MOUSE43196, MOUSE43195, MOUSE43197	OFUSG25038.1.p1, OFUSG25038.2.p1, OFUSG25038.5.p1, OFUSG25038.3.p1, OFUSG25038.4.p1
OG0000548	MOUSE17190, MOUSE48022, MOUSE27774, MOUSE21325	OFUSG06566.2.p1, OFUSG06566.1.p1
OG0000550	MOUSE26528, MOUSE26529, MOUSE26530, MOUSE26531	OFUSG15896.1.p1
OG0000551	MOUSE11257	OFUSG04963.2.p1, OFUSG04963.1.p1
OG0000552	MOUSE10141	OFUSG04389.1.p1
OG0000552	MOUSE54213	OFUSG03850.1.p1
OG0000552	MOUSE29634, MOUSE29636	OFUSG10128.1.p1, OFUSG10128.2.p1
OG0000553	MOUSE16157, MOUSE18362, MOUSE16156, MOUSE51274, MOUSE51273	OFUSG08704.1.p1, OFUSG08704.2.p1
OG0000553	MOUSE14233, MOUSE05108	OFUSG10876.2.p1, OFUSG10876.1.p1, OFUSG10876.3.p1
OG0000554	MOUSE13488, MOUSE13489, MOUSE35644, MOUSE36043, MOUSE19420, MOUSE19421, MOUSE36046, MOUSE36044, MOUSE12728, MOUSE46842, MOUSE46840, MOUSE19419, MOUSE19418, MOUSE19417, MOUSE35643, MOUSE36045, MOUSE36047, MOUSE46841	OFUSG07941.2.p1, OFUSG07941.1.p1, OFUSG07941.5.p1, OFUSG07941.4.p1, OFUSG07941.3.p1
OG0000560	MOUSE00939	OFUSG17538.1.p1
OG0000561	MOUSE08092, MOUSE08093, MOUSE20194, MOUSE20195, MOUSE20193, MOUSE20192, MOUSE20191, MOUSE09576	OFUSG21899.1.p1, OFUSG09741.1.p1, OFUSG09741.2.p1
OG0000562	MOUSE48585, MOUSE48586	OFUSG20041.1.p1, OFUSG20049.1.p1
OG0000562	MOUSE53359, MOUSE53357, MOUSE53360, MOUSE53355, MOUSE53354, MOUSE53358	OFUSG05389.1.p1
OG0000563	MOUSE05023	OFUSG15273.1.p1
OG0000564	MOUSE16694, MOUSE27468	OFUSG11344.1.p1
OG0000564	MOUSE08263, MOUSE28020	OFUSG12034.1.p1
OG0000565	MOUSE38941, MOUSE38943, MOUSE38942, MOUSE38947, MOUSE38945, MOUSE38946	OFUSG18366.3.p1, OFUSG18366.1.p1, OFUSG18366.2.p1, OFUSG24327.1.p1, OFUSG01839.1.p1
OG0000566	MOUSE51988, MOUSE51987	OFUSG03997.1.p1, OFUSG03997.2.p1, OFUSG03997.3.p1
OG0000566	MOUSE04915	OFUSG22659.1.p1
OG0000567	MOUSE11935, MOUSE30473	OFUSG09646.1.p1
OG0000567	MOUSE01584	OFUSG13020.1.p1
OG0000570	MOUSE01815, MOUSE53762, MOUSE01814, MOUSE06313, MOUSE06314, MOUSE41047, MOUSE41048	OFUSG06907.1.p1, OFUSG18154.1.p1, OFUSG18154.2.p1, OFUSG13511.1.p1, OFUSG13512.1.p1, OFUSG10732.1.p1, OFUSG10732.2.p1, OFUSG10733.1.p1, OFUSG26428.1.p1, OFUSG17115.1.p1
OG0000572	MOUSE18741, MOUSE18742, MOUSE18747, MOUSE18745, MOUSE18743, MOUSE08285, MOUSE08283, MOUSE08284, MOUSE08282, MOUSE08281, MOUSE20447, MOUSE18746	OFUSG12111.3.p1, OFUSG12111.5.p1, OFUSG12111.1.p1, OFUSG12111.4.p1, OFUSG12111.2.p1
OG0000572	MOUSE34897, MOUSE34899, MOUSE34900, MOUSE41405, MOUSE41406, MOUSE34901, MOUSE34898	OFUSG20906.1.p1, OFUSG20906.2.p1
OG0000573	MOUSE38345, MOUSE38346, MOUSE35087, MOUSE35088, MOUSE38344, MOUSE38343, MOUSE38342, MOUSE38341, MOUSE29526, MOUSE35086	OFUSG23244.1.p1, OFUSG23244.2.p1
OG0000573	MOUSE51991, MOUSE51992	OFUSG09137.1.p1
OG0000574	MOUSE03800, MOUSE03927, MOUSE06002, MOUSE06003, MOUSE03799	OFUSG18200.1.p1
OG0000574	MOUSE03923, MOUSE03922	OFUSG10163.1.p1
OG0000574	MOUSE47459, MOUSE47456, MOUSE47457, MOUSE47458, MOUSE47452, MOUSE47455, MOUSE47454, MOUSE47460, MOUSE47453	OFUSG07751.1.p1, OFUSG07751.2.p1
OG0000575	MOUSE15329, MOUSE15327, MOUSE15326, MOUSE26633, MOUSE26640, MOUSE26630, MOUSE26631, MOUSE26628, MOUSE26625, MOUSE26635, MOUSE26629, MOUSE26626, MOUSE26638, MOUSE26639, MOUSE26636, MOUSE26642, MOUSE26641, MOUSE26624, MOUSE26634, MOUSE26637, MOUSE26627, MOUSE26632, MOUSE13339, MOUSE13341, MOUSE26235, MOUSE26230, MOUSE26233, MOUSE26232, MOUSE26229, MOUSE15328	OFUSG09886.2.p1, OFUSG09886.1.p1
OG0000576	MOUSE01166, MOUSE14852, MOUSE14850, MOUSE14851, MOUSE40559, MOUSE01164, MOUSE01163, MOUSE01165, MOUSE52581, MOUSE52578, MOUSE52574, MOUSE52580, MOUSE52576, MOUSE52579, MOUSE52577, MOUSE52575, MOUSE52582, MOUSE52584, MOUSE52587, MOUSE52586, MOUSE52585, MOUSE52583	OFUSG17044.1.p1
OG0000578	MOUSE20360, MOUSE20359, MOUSE20362, MOUSE20361, MOUSE03091, MOUSE03087, MOUSE03090, MOUSE03088, MOUSE03089, MOUSE07290, MOUSE07291, MOUSE07292	OFUSG11308.1.p1
OG0000579	MOUSE02041, MOUSE23552, MOUSE23553, MOUSE23554, MOUSE23550, MOUSE02042, MOUSE41019, MOUSE41020, MOUSE41018, MOUSE41021, MOUSE54255, MOUSE54257, MOUSE54256	OFUSG06590.1.p1
OG0000580	MOUSE47258, MOUSE47257	OFUSG00139.1.p1
OG0000581	MOUSE07319	OFUSG12368.1.p1
OG0000581	MOUSE18770, MOUSE07320	OFUSG25173.1.p1
OG0000581	MOUSE07322	OFUSG21596.1.p1
OG0000582	MOUSE17430, MOUSE17431, MOUSE17428, MOUSE17429, MOUSE23946, MOUSE23947, MOUSE25981, MOUSE25982, MOUSE25983, MOUSE25975, MOUSE25979, MOUSE25984, MOUSE25974, MOUSE25976, MOUSE25978, MOUSE17216, MOUSE17215, MOUSE17213, MOUSE17212, MOUSE17214, MOUSE17211, MOUSE17210, MOUSE23948	OFUSG07318.2.p1, OFUSG07318.1.p1
OG0000583	MOUSE01784, MOUSE54088, MOUSE54086, MOUSE54089, MOUSE54090, MOUSE54092, MOUSE54087, MOUSE22001, MOUSE32168, MOUSE33890, MOUSE33889, MOUSE33888	OFUSG00871.2.p1, OFUSG00871.1.p1, OFUSG00871.3.p1
OG0000584	MOUSE31344	OFUSG16411.1.p1, OFUSG16411.2.p1, OFUSG13099.1.p1, OFUSG13099.2.p1, OFUSG13097.1.p1
OG0000585	MOUSE40784, MOUSE40785, MOUSE40786, MOUSE40788, MOUSE40789, MOUSE40787, MOUSE40783, MOUSE40781, MOUSE40782, MOUSE35389, MOUSE35386, MOUSE35387, MOUSE35388, MOUSE35383, MOUSE35384, MOUSE35381, MOUSE35380, MOUSE35382, MOUSE31048, MOUSE31049	OFUSG19304.1.p1
OG0000586	MOUSE14471	OFUSG00545.1.p1
OG0000587	MOUSE22685, MOUSE38303, MOUSE38305, MOUSE38304, MOUSE55325, MOUSE55324, MOUSE55322, MOUSE55323	OFUSG26859.1.p1, OFUSG26859.2.p1
OG0000587	MOUSE42665, MOUSE42667	OFUSG11281.1.p1
OG0000588	MOUSE48786, MOUSE48787, MOUSE31848, MOUSE32353, MOUSE32352	OFUSG23263.1.p1, OFUSG23263.2.p1
OG0000588	MOUSE45239, MOUSE45240	OFUSG00278.1.p1
OG0000589	MOUSE42228, MOUSE42229, MOUSE42227, MOUSE42226, MOUSE47183, MOUSE47184, MOUSE47181, MOUSE47182, MOUSE23629, MOUSE23630, MOUSE23628, MOUSE23627	OFUSG08007.3.p1, OFUSG08007.4.p1, OFUSG08007.2.p1, OFUSG08007.1.p1
OG0000590	MOUSE05523, MOUSE18372, MOUSE05521, MOUSE05522, MOUSE02546	OFUSG24583.1.p1
OG0000590	MOUSE18529, MOUSE28939, MOUSE28941	OFUSG20344.1.p1
OG0000591	MOUSE03776, MOUSE03774, MOUSE03773, MOUSE03775	OFUSG18333.1.p1
OG0000591	MOUSE45119, MOUSE45118, MOUSE45120, MOUSE45121, MOUSE45116	OFUSG14784.1.p1
OG0000592	MOUSE49687, MOUSE49686, MOUSE49685	OFUSG07498.2.p1, OFUSG07498.3.p1, OFUSG07498.1.p1
OG0000592	MOUSE27133	OFUSG08220.1.p1, OFUSG08220.2.p1
OG0000593	MOUSE38540, MOUSE14106, MOUSE06441	OFUSG11138.1.p1
OG0000594	MOUSE40778, MOUSE40777, MOUSE14517, MOUSE14516	OFUSG06784.1.p1
OG0000596	MOUSE45708	OFUSG19257.1.p1, OFUSG14210.1.p1
OG0000597	MOUSE46308, MOUSE46307, MOUSE04601, MOUSE04603, MOUSE04605, MOUSE04604, MOUSE20021, MOUSE46309, MOUSE37363	OFUSG24146.1.p1, OFUSG24148.1.p1
OG0000600	MOUSE54466, MOUSE54465, MOUSE00132, MOUSE00135, MOUSE00136, MOUSE54464, MOUSE00134, MOUSE00133, MOUSE54880, MOUSE54879	OFUSG01055.1.p1
OG0000601	MOUSE11094, MOUSE05650, MOUSE11093, MOUSE11086, MOUSE11085, MOUSE11088, MOUSE11087, MOUSE11083, MOUSE11084, MOUSE11090, MOUSE47966	OFUSG06003.1.p1
OG0000602	MOUSE54043, MOUSE54042, MOUSE13065, MOUSE13066, MOUSE13067	OFUSG14405.1.p1
OG0000602	MOUSE23060, MOUSE38461, MOUSE38463, MOUSE38462, MOUSE38460, MOUSE54041, MOUSE13068, MOUSE13069	OFUSG14404.1.p1
OG0000603	MOUSE18832, MOUSE18831, MOUSE20286, MOUSE20285, MOUSE20287, MOUSE20288, MOUSE07810, MOUSE07809, MOUSE07808, MOUSE07811, MOUSE18833, MOUSE18834, MOUSE18818, MOUSE18827, MOUSE18819, MOUSE18825, MOUSE18821, MOUSE20289, MOUSE20290, MOUSE18829	OFUSG11716.1.p1, OFUSG11716.2.p1
OG0000604	MOUSE08642	OFUSG21656.1.p1
OG0000607	MOUSE42215, MOUSE42214, MOUSE42213, MOUSE02133, MOUSE02132, MOUSE02134, MOUSE23595, MOUSE23596, MOUSE23597	OFUSG00975.1.p1
OG0000608	MOUSE14207, MOUSE14208, MOUSE14204, MOUSE14206, MOUSE14205	OFUSG01950.1.p1
OG0000609	MOUSE07218	OFUSG21513.1.p1
OG0000609	MOUSE22345	OFUSG16039.1.p1
OG0000610	MOUSE30757, MOUSE51594, MOUSE51593	OFUSG20066.1.p1, OFUSG09506.1.p1
OG0000610	MOUSE51595, MOUSE25477	OFUSG08338.1.p1
OG0000611	MOUSE48953, MOUSE48957	OFUSG22888.1.p1
OG0000612	MOUSE36201, MOUSE36200, MOUSE36199, MOUSE46782, MOUSE46781, MOUSE40383, MOUSE40382	OFUSG06644.1.p1
OG0000612	MOUSE28578, MOUSE28580, MOUSE28579	OFUSG23094.1.p1
OG0000613	MOUSE00704, MOUSE00705, MOUSE00703, MOUSE28638, MOUSE34125, MOUSE34127, MOUSE34126, MOUSE34123, MOUSE34124	OFUSG12632.1.p1
OG0000613	MOUSE10241	OFUSG08463.1.p1
OG0000614	MOUSE43293	OFUSG25046.1.p1, OFUSG06189.1.p1, OFUSG21971.1.p1
OG0000615	MOUSE29445, MOUSE21962, MOUSE21967, MOUSE21964, MOUSE21961, MOUSE21965, MOUSE21966, MOUSE21963, MOUSE21970, MOUSE21960, MOUSE04243, MOUSE04245, MOUSE04242, MOUSE04244, MOUSE04241, MOUSE04246, MOUSE29446, MOUSE29449, MOUSE29450, MOUSE29452, MOUSE29453, MOUSE29451, MOUSE29448, MOUSE29447	OFUSG13992.1.p1, OFUSG13992.2.p1
OG0000616	MOUSE43042, MOUSE43044, MOUSE43043, MOUSE43041, MOUSE43050	OFUSG19762.4.p1, OFUSG19762.2.p1, OFUSG19762.5.p1, OFUSG19762.3.p1, OFUSG19762.1.p1
OG0000617	MOUSE14520, MOUSE14521	OFUSG19377.1.p1
OG0000618	MOUSE16598, MOUSE16595, MOUSE16593, MOUSE16600, MOUSE16599, MOUSE16596	OFUSG00935.1.p1
OG0000619	MOUSE53833, MOUSE53832, MOUSE13100, MOUSE13101, MOUSE13102, MOUSE13104, MOUSE22715, MOUSE22714, MOUSE22713, MOUSE22711, MOUSE22709, MOUSE22710	OFUSG13853.1.p1, OFUSG13853.2.p1, OFUSG13857.1.p1, OFUSG13856.1.p1
OG0000619	MOUSE22712, MOUSE53834	OFUSG13852.1.p1
OG0000621	MOUSE15658	OFUSG12004.1.p1
OG0000623	MOUSE52068	OFUSG17186.1.p1
OG0000623	MOUSE05906, MOUSE05905, MOUSE14117	OFUSG24609.2.p1, OFUSG24609.3.p1, OFUSG24609.1.p1
OG0000624	MOUSE05834, MOUSE05836, MOUSE05833, MOUSE05837, MOUSE05835, MOUSE05832, MOUSE20490, MOUSE26414	OFUSG24408.1.p1, OFUSG24408.2.p1
OG0000625	MOUSE16138, MOUSE16137, MOUSE16139, MOUSE16140, MOUSE16141, MOUSE16136, MOUSE50690, MOUSE50689, MOUSE50691	OFUSG19939.1.p1
OG0000626	MOUSE29299, MOUSE29292, MOUSE29296, MOUSE29291, MOUSE29297, MOUSE29295, MOUSE29294, MOUSE29293, MOUSE29298, MOUSE00426, MOUSE00422, MOUSE00425, MOUSE00423, MOUSE00424, MOUSE20854, MOUSE29219, MOUSE29218, MOUSE29213, MOUSE29216, MOUSE29217, MOUSE29214, MOUSE29215, MOUSE29300	OFUSG21226.2.p1, OFUSG21226.4.p1, OFUSG21226.1.p1, OFUSG21226.3.p1, OFUSG21226.5.p1
OG0000627	MOUSE51584, MOUSE51583, MOUSE51585, MOUSE51582	OFUSG19903.2.p1, OFUSG19903.1.p1
OG0000627	MOUSE50870, MOUSE50872, MOUSE50871, MOUSE50873, MOUSE50869, MOUSE50874, MOUSE50868, MOUSE43635, MOUSE43636, MOUSE43634, MOUSE43633, MOUSE43628, MOUSE43630, MOUSE43629, MOUSE43627, MOUSE43631, MOUSE15878	OFUSG09840.4.p1, OFUSG09840.2.p1, OFUSG09840.3.p1, OFUSG09840.5.p1, OFUSG09840.1.p1
OG0000628	MOUSE33803, MOUSE33805, MOUSE33806, MOUSE55288, MOUSE55287, MOUSE55289, MOUSE55291, MOUSE55290, MOUSE55292	OFUSG00909.1.p1
OG0000628	MOUSE28607, MOUSE00366, MOUSE00365, MOUSE18571, MOUSE18570, MOUSE18572	OFUSG13391.1.p1
OG0000629	MOUSE27093, MOUSE01791, MOUSE01790	OFUSG00777.1.p1
OG0000634	MOUSE29180, MOUSE29181, MOUSE29179	OFUSG25455.1.p1, OFUSG13962.1.p1
OG0000635	MOUSE17432	OFUSG20393.1.p1, OFUSG20393.3.p1, OFUSG20393.2.p1, OFUSG20394.1.p1
OG0000635	MOUSE42730	OFUSG23741.1.p1, OFUSG23735.1.p1, OFUSG09557.1.p1, OFUSG09558.1.p1, OFUSG04843.1.p1, OFUSG01426.1.p1, OFUSG09659.1.p1
OG0000636	MOUSE35989, MOUSE35990, MOUSE35986, MOUSE35987, MOUSE35980, MOUSE35985, MOUSE35979, MOUSE35984, MOUSE35991, MOUSE35982, MOUSE35983, MOUSE35981, MOUSE19615, MOUSE21409, MOUSE21405, MOUSE21413, MOUSE21412, MOUSE21406, MOUSE21410, MOUSE21402, MOUSE21407, MOUSE21403, MOUSE21408, MOUSE21404, MOUSE21411, MOUSE21415, MOUSE21414	OFUSG19283.1.p1
OG0000637	MOUSE25268	OFUSG08218.1.p1
OG0000637	MOUSE06427	OFUSG21914.1.p1
OG0000639	MOUSE51940, MOUSE19650, MOUSE19651, MOUSE19647	OFUSG09740.1.p1
OG0000639	MOUSE49493, MOUSE49495, MOUSE49496, MOUSE32122, MOUSE28358	OFUSG05397.1.p1
OG0000642	MOUSE37031, MOUSE37030, MOUSE39970, MOUSE39974, MOUSE39972	OFUSG10098.1.p1, OFUSG10098.2.p1
OG0000643	MOUSE43453, MOUSE18626	OFUSG26510.1.p1
OG0000643	MOUSE37838, MOUSE37839, MOUSE37831, MOUSE37832, MOUSE37834, MOUSE37836, MOUSE37833, MOUSE37837, MOUSE37835, MOUSE38119, MOUSE38118	OFUSG24224.2.p1, OFUSG24224.4.p1, OFUSG24224.1.p1, OFUSG24224.3.p1, OFUSG24224.5.p1
OG0000645	MOUSE48947	OFUSG05054.1.p1
OG0000646	MOUSE39599, MOUSE15544, MOUSE15545, MOUSE38327	OFUSG17652.1.p1
OG0000646	MOUSE12275, MOUSE43672, MOUSE53413, MOUSE53412	OFUSG20855.1.p1
OG0000647	MOUSE27946, MOUSE27945, MOUSE27942, MOUSE27941, MOUSE27947, MOUSE27937, MOUSE27938, MOUSE27939, MOUSE27935, MOUSE27943, MOUSE27944, MOUSE27940, MOUSE27936, MOUSE46894, MOUSE46895	OFUSG06075.1.p1
OG0000648	MOUSE09133, MOUSE09132, MOUSE09134, MOUSE09135, MOUSE09136, MOUSE09138, MOUSE09137, MOUSE09139, MOUSE09140, MOUSE09131, MOUSE09130	OFUSG23086.1.p1
OG0000648	MOUSE09143, MOUSE09141, MOUSE49647	OFUSG23087.1.p1
OG0000649	MOUSE38973	OFUSG04155.1.p1, OFUSG03689.1.p1, OFUSG10822.1.p1, OFUSG04063.1.p1, OFUSG05062.1.p1, OFUSG04064.1.p1, OFUSG04062.1.p1, OFUSG05061.1.p1, OFUSG05061.2.p1, OFUSG10971.1.p1, OFUSG16766.1.p1, OFUSG07315.1.p1, OFUSG07687.1.p1, OFUSG07537.1.p1, OFUSG03255.1.p1, OFUSG11210.1.p1
OG0000650	MOUSE22507, MOUSE02344, MOUSE53197, MOUSE53198, MOUSE25960, MOUSE25962, MOUSE25961, MOUSE25959, MOUSE25964, MOUSE06986, MOUSE06987, MOUSE22508, MOUSE40297, MOUSE40293, MOUSE40295, MOUSE40296, MOUSE40294, MOUSE40292	OFUSG18209.1.p1
OG0000651	MOUSE02552, MOUSE06974, MOUSE15502, MOUSE15503, MOUSE15504, MOUSE06972, MOUSE02553, MOUSE06973	OFUSG13240.2.p1, OFUSG13240.3.p1, OFUSG13240.1.p1
OG0000652	MOUSE54337	OFUSG13483.3.p1, OFUSG13483.2.p1, OFUSG13483.1.p1
OG0000654	MOUSE14618, MOUSE14619, MOUSE25060, MOUSE25062, MOUSE25061, MOUSE25064, MOUSE05334, MOUSE05333, MOUSE05332, MOUSE05331, MOUSE05330, MOUSE26181, MOUSE26182, MOUSE26180, MOUSE26183	OFUSG04714.1.p1
OG0000657	MOUSE20685, MOUSE20684, MOUSE20683, MOUSE51829, MOUSE51831	OFUSG00337.1.p1
OG0000660	MOUSE26589	OFUSG16300.1.p1
OG0000660	MOUSE53726, MOUSE02723, MOUSE04889, MOUSE04890	OFUSG00254.1.p1
OG0000662	MOUSE19603, MOUSE19601, MOUSE19604, MOUSE19602, MOUSE19605, MOUSE19607, MOUSE19606	OFUSG19351.1.p1
OG0000662	MOUSE14111, MOUSE06500, MOUSE06499, MOUSE14110	OFUSG11101.1.p1
OG0000663	MOUSE06815, MOUSE06817, MOUSE06816	OFUSG26455.1.p1
OG0000664	MOUSE53752, MOUSE53753, MOUSE01965, MOUSE01962, MOUSE23474	OFUSG06083.1.p1
OG0000664	MOUSE22241, MOUSE22240, MOUSE35216, MOUSE35218, MOUSE35217	OFUSG16644.1.p1
OG0000665	MOUSE51882, MOUSE51880, MOUSE51881, MOUSE32269, MOUSE32268	OFUSG09816.3.p1, OFUSG09816.1.p1, OFUSG09816.2.p1
OG0000666	MOUSE55143, MOUSE55144, MOUSE55142, MOUSE55141	OFUSG06195.2.p1, OFUSG06195.1.p1, OFUSG06195.3.p1, OFUSG06195.5.p1, OFUSG06195.4.p1
OG0000667	MOUSE32539, MOUSE32538	OFUSG00559.2.p1, OFUSG00559.1.p1, OFUSG00558.1.p1, OFUSG00768.1.p1, OFUSG09757.2.p1, OFUSG09757.1.p1
OG0000670	MOUSE04054, MOUSE04055, MOUSE53933, MOUSE53934, MOUSE47619, MOUSE52285, MOUSE24104, MOUSE24105	OFUSG24801.2.p1, OFUSG24801.1.p1, OFUSG24764.1.p1, OFUSG24763.1.p1
OG0000671	MOUSE50487, MOUSE50486, MOUSE50485	OFUSG24508.1.p1, OFUSG24509.2.p1, OFUSG24509.1.p1
OG0000671	MOUSE54296, MOUSE54294, MOUSE54295, MOUSE40916, MOUSE23443, MOUSE02325	OFUSG16516.2.p1, OFUSG16516.1.p1, OFUSG04636.1.p1
OG0000672	MOUSE15523, MOUSE15520, MOUSE15524, MOUSE04067, MOUSE15521	OFUSG14378.5.p1, OFUSG14378.3.p1, OFUSG14378.2.p1, OFUSG14378.1.p1, OFUSG14378.4.p1
OG0000672	MOUSE41797, MOUSE41126, MOUSE06352, MOUSE41798, MOUSE06353	OFUSG12085.1.p1
OG0000674	MOUSE44926, MOUSE44927, MOUSE30738, MOUSE30735, MOUSE30734, MOUSE30736, MOUSE30739, MOUSE44929	OFUSG08473.1.p1
OG0000674	MOUSE42020, MOUSE42019, MOUSE42022, MOUSE42021, MOUSE45911, MOUSE45910, MOUSE45912	OFUSG07969.1.p1
OG0000675	MOUSE46728	OFUSG03298.1.p1, OFUSG05752.2.p1, OFUSG05752.4.p1, OFUSG05753.1.p1, OFUSG05752.1.p1, OFUSG05752.3.p1, OFUSG01054.1.p1, OFUSG00991.1.p1
OG0000676	MOUSE13398, MOUSE13397, MOUSE13396, MOUSE28654, MOUSE28653	OFUSG21048.1.p1
OG0000676	MOUSE23124, MOUSE54030, MOUSE54029, MOUSE13098	OFUSG14430.1.p1
OG0000678	MOUSE17072, MOUSE17071, MOUSE05127, MOUSE05134, MOUSE05125, MOUSE05131, MOUSE05124, MOUSE05133, MOUSE05129, MOUSE05130, MOUSE05128, MOUSE05126, MOUSE05132, MOUSE17068, MOUSE17070, MOUSE17069, MOUSE14176, MOUSE14175	OFUSG10078.1.p1, OFUSG10078.2.p1
OG0000680	MOUSE14546, MOUSE14547	OFUSG26520.1.p1, OFUSG01684.1.p1, OFUSG01687.1.p1
OG0000681	MOUSE29729, MOUSE29731, MOUSE29732, MOUSE29734, MOUSE29733, MOUSE53999, MOUSE53998, MOUSE12966, MOUSE12967	OFUSG02151.1.p1
OG0000681	MOUSE23608, MOUSE23607, MOUSE27190, MOUSE27189, MOUSE27185, MOUSE27186, MOUSE27187, MOUSE27188, MOUSE27184	OFUSG07049.2.p1, OFUSG07049.1.p1
OG0000682	MOUSE40533, MOUSE40532, MOUSE40535, MOUSE40534, MOUSE21319, MOUSE21318, MOUSE35907, MOUSE35915, MOUSE35914, MOUSE35910, MOUSE35911, MOUSE35909, MOUSE35912, MOUSE35913	OFUSG06498.1.p1
OG0000683	MOUSE54444, MOUSE54443	OFUSG25839.2.p1, OFUSG25839.1.p1
OG0000683	MOUSE48812, MOUSE48811, MOUSE31819, MOUSE31816, MOUSE31818, MOUSE31817, MOUSE31821	OFUSG17452.5.p1, OFUSG17452.4.p1, OFUSG17452.2.p1, OFUSG17452.3.p1, OFUSG17452.1.p1
OG0000684	MOUSE19631, MOUSE19633, MOUSE19634, MOUSE19635, MOUSE19636, MOUSE49799, MOUSE49800, MOUSE49801, MOUSE49802	OFUSG20203.4.p1, OFUSG20203.1.p1, OFUSG20203.2.p1, OFUSG20203.5.p1, OFUSG20203.3.p1
OG0000685	MOUSE44185, MOUSE44186, MOUSE47322, MOUSE47323, MOUSE47321, MOUSE23574, MOUSE23575, MOUSE23573, MOUSE02122, MOUSE02123, MOUSE47324	OFUSG07501.2.p1, OFUSG07501.4.p1, OFUSG07501.3.p1, OFUSG07501.5.p1, OFUSG07501.1.p1
OG0000686	MOUSE15353, MOUSE15352	OFUSG07661.1.p1
OG0000690	MOUSE00475, MOUSE18670, MOUSE34065, MOUSE00474	OFUSG21408.1.p1
OG0000690	MOUSE54656	OFUSG00182.1.p1
OG0000690	MOUSE19350	OFUSG17680.1.p1
OG0000691	MOUSE29347, MOUSE29346, MOUSE49341	OFUSG20437.2.p1, OFUSG20437.1.p1
OG0000691	MOUSE06742, MOUSE34387, MOUSE09040, MOUSE09041, MOUSE09042, MOUSE28336, MOUSE28335	OFUSG13069.3.p1, OFUSG13069.2.p1, OFUSG13069.1.p1
OG0000692	MOUSE04478, MOUSE04479, MOUSE04480, MOUSE04477, MOUSE04476	OFUSG22030.1.p1, OFUSG22031.2.p1, OFUSG22031.1.p1
OG0000693	MOUSE34445, MOUSE34447, MOUSE34448, MOUSE34449, MOUSE34450, MOUSE04455, MOUSE04456	OFUSG17230.1.p1, OFUSG17230.2.p1
OG0000693	MOUSE25877, MOUSE25875, MOUSE25876	OFUSG25400.3.p1, OFUSG25400.2.p1, OFUSG25400.1.p1
