Orthogroup	MOUSE	ASTMX
OG0001042	MOUSE55167, MOUSE55166, MOUSE55164, MOUSE55165	ASTMX01745
OG0001042	MOUSE40726, MOUSE40728, MOUSE40729	ASTMX19070
OG0001042	MOUSE40727	ASTMX15836
OG0001042	MOUSE41292, MOUSE41290, MOUSE41291	ASTMX02594, ASTMX01999
OG0001044	MOUSE44911, MOUSE44912	ASTMX11020
OG0001044	MOUSE19142	ASTMX07810, ASTMX07811
OG0001046	MOUSE16970	ASTMX04989, ASTMX12326
OG0001046	MOUSE14166, MOUSE14168, MOUSE14167, MOUSE14165	ASTMX15400
OG0001046	MOUSE06289, MOUSE06290, MOUSE06286, MOUSE06285, MOUSE06288	ASTMX21403, ASTMX04871
OG0001047	MOUSE45174, MOUSE45170	ASTMX13719, ASTMX02988
OG0001047	MOUSE45115	ASTMX09193
OG0001047	MOUSE54595	ASTMX08799
OG0001048	MOUSE40596, MOUSE40597, MOUSE40595	ASTMX11990
OG0001048	MOUSE11458	ASTMX19153, ASTMX16464
OG0001048	MOUSE11459, MOUSE11457	ASTMX06652, ASTMX16463
OG0001048	MOUSE36981, MOUSE36982, MOUSE36983	ASTMX18179
OG0001048	MOUSE11460	ASTMX03970
OG0001049	MOUSE29515, MOUSE29516	ASTMX16983
OG0001049	MOUSE06906, MOUSE06907	ASTMX06351, ASTMX20676
OG0001049	MOUSE52326, MOUSE52325	ASTMX15120
OG0001049	MOUSE34867, MOUSE34863, MOUSE34865, MOUSE34864, MOUSE34866, MOUSE34868	ASTMX04802
OG0001050	MOUSE44745	ASTMX02532, ASTMX22959
OG0001050	MOUSE18063	ASTMX01295
OG0001050	MOUSE44746, MOUSE44744	ASTMX07885, ASTMX07884, ASTMX00384
OG0001050	MOUSE30206, MOUSE30205	ASTMX06846
OG0001051	MOUSE55411, MOUSE55409	ASTMX00023
OG0001051	MOUSE55022, MOUSE55024, MOUSE55023	ASTMX04621
OG0001052	MOUSE20861, MOUSE20860	ASTMX02792
OG0001052	MOUSE36902, MOUSE36905	ASTMX06955
OG0001053	MOUSE05349	ASTMX18300
OG0001053	MOUSE39893	ASTMX22111, ASTMX05732
OG0001053	MOUSE02657	ASTMX04777
OG0001053	MOUSE26572	ASTMX00654
OG0001054	MOUSE42104	ASTMX11497, ASTMX10102
OG0001054	MOUSE05943	ASTMX07817
OG0001054	MOUSE46169	ASTMX12306
OG0001054	MOUSE14024	ASTMX15402
OG0001054	MOUSE46168	ASTMX15877
OG0001054	MOUSE05942	ASTMX07816, ASTMX19836
OG0001054	MOUSE42105	ASTMX11496, ASTMX10101
OG0001057	MOUSE29393, MOUSE29397, MOUSE29394, MOUSE29395, MOUSE29396	ASTMX16121
OG0001057	MOUSE50171	ASTMX18759, ASTMX08231
OG0001057	MOUSE24095	ASTMX21869
OG0001057	MOUSE54423, MOUSE54422	ASTMX11631
OG0001058	MOUSE24385, MOUSE24382, MOUSE24384, MOUSE24383	ASTMX18033, ASTMX05110
OG0001058	MOUSE50522, MOUSE50520	ASTMX11885, ASTMX17859
OG0001059	MOUSE19051	ASTMX17167
OG0001059	MOUSE19055, MOUSE19053, MOUSE19054, MOUSE19052	ASTMX17166
OG0001059	MOUSE06557, MOUSE06561, MOUSE06566, MOUSE06560, MOUSE06552, MOUSE06562, MOUSE06565, MOUSE06555, MOUSE06553, MOUSE06567, MOUSE06568	ASTMX13011
OG0001060	MOUSE14270	ASTMX14477, ASTMX15173
OG0001062	MOUSE47367	ASTMX14307, ASTMX08563
OG0001062	MOUSE31787, MOUSE31788	ASTMX02379
OG0001062	MOUSE31786	ASTMX17790
OG0001062	MOUSE31789	ASTMX22467
OG0001063	MOUSE18788, MOUSE18787, MOUSE18786, MOUSE18785	ASTMX10605
OG0001065	MOUSE27426	ASTMX18463
OG0001065	MOUSE24670	ASTMX10224
OG0001066	MOUSE52781	ASTMX20286
OG0001066	MOUSE31057	ASTMX08837, ASTMX00998
OG0001066	MOUSE06657	ASTMX01339
OG0001068	MOUSE34004, MOUSE34005	ASTMX05254, ASTMX01003
OG0001068	MOUSE41302, MOUSE41301, MOUSE41300	ASTMX16663, ASTMX10634
OG0001070	MOUSE42333, MOUSE42332, MOUSE45733, MOUSE47005, MOUSE47006, MOUSE47003, MOUSE47004	ASTMX22412, ASTMX22433, ASTMX19305, ASTMX21923, ASTMX18444, ASTMX18434
OG0001070	MOUSE09843	ASTMX22652
OG0001072	MOUSE37374, MOUSE37375	ASTMX19026
OG0001072	MOUSE39399	ASTMX07116
OG0001073	MOUSE19348, MOUSE19347, MOUSE19349, MOUSE19345, MOUSE19346	ASTMX00299
OG0001073	MOUSE54847, MOUSE54846, MOUSE54845	ASTMX15137, ASTMX15139
OG0001073	MOUSE12977, MOUSE12979, MOUSE12976	ASTMX07175
OG0001073	MOUSE12978	ASTMX17875, ASTMX07177
OG0001075	MOUSE09043	ASTMX15603
OG0001075	MOUSE06819, MOUSE06820, MOUSE06821	ASTMX17534, ASTMX07596
OG0001076	MOUSE38868	ASTMX22707
OG0001076	MOUSE38870	ASTMX03684, ASTMX11243
OG0001076	MOUSE36451, MOUSE36453, MOUSE36454	ASTMX11094
OG0001077	MOUSE25115	ASTMX08017
OG0001077	MOUSE06925	ASTMX12567
OG0001078	MOUSE14310	ASTMX14428
OG0001078	MOUSE17245	ASTMX16990, ASTMX15708
OG0001078	MOUSE27022, MOUSE27027	ASTMX01731
OG0001079	MOUSE31079, MOUSE31080	ASTMX13695
OG0001079	MOUSE39091	ASTMX07130
OG0001079	MOUSE53562	ASTMX04052
OG0001080	MOUSE50489, MOUSE50488, MOUSE50490	ASTMX20362
OG0001080	MOUSE32058, MOUSE32057, MOUSE32055, MOUSE32056	ASTMX17093
OG0001080	MOUSE43743	ASTMX00271
OG0001080	MOUSE43744	ASTMX20361
OG0001081	MOUSE44218, MOUSE44217	ASTMX07534, ASTMX20170, ASTMX20169
OG0001082	MOUSE22504, MOUSE22503, MOUSE14725, MOUSE14727, MOUSE14726	ASTMX05356
OG0001083	MOUSE00912, MOUSE00913	ASTMX03242, ASTMX10427
OG0001083	MOUSE19180	ASTMX17603
OG0001083	MOUSE12820, MOUSE12819, MOUSE40225, MOUSE40226	ASTMX08493
OG0001084	MOUSE06940	ASTMX13267, ASTMX14596
OG0001085	MOUSE53553, MOUSE53556, MOUSE53552, MOUSE53551	ASTMX04023, ASTMX22544
OG0001085	MOUSE39040, MOUSE39039	ASTMX08536
OG0001085	MOUSE18292, MOUSE18283, MOUSE18291, MOUSE18285	ASTMX05559
OG0001086	MOUSE43391, MOUSE43393, MOUSE43392, MOUSE43390, MOUSE43394	ASTMX17217
OG0001086	MOUSE07544, MOUSE07546, MOUSE07547, MOUSE07548, MOUSE07550, MOUSE07549, MOUSE07545	ASTMX13682
OG0001086	MOUSE20197, MOUSE20198, MOUSE20199	ASTMX04708, ASTMX12542
OG0001088	MOUSE07723, MOUSE07722, MOUSE07721	ASTMX01346
OG0001089	MOUSE43018	ASTMX21827
OG0001089	MOUSE15944, MOUSE15946, MOUSE15943, MOUSE15942, MOUSE15945	ASTMX07940, ASTMX13996
OG0001090	MOUSE22596, MOUSE22597, MOUSE22595, MOUSE22594, MOUSE22593	ASTMX12686
OG0001091	MOUSE26429	ASTMX04144, ASTMX08666
OG0001091	MOUSE05169	ASTMX21338
OG0001091	MOUSE38963, MOUSE38962	ASTMX12021
OG0001091	MOUSE38960	ASTMX12020
OG0001091	MOUSE26427, MOUSE26428, MOUSE26425	ASTMX08667
OG0001092	MOUSE30127	ASTMX11230
OG0001092	MOUSE29822	ASTMX13973
OG0001092	MOUSE30125, MOUSE30123, MOUSE30126, MOUSE30124	ASTMX01637
OG0001093	MOUSE38937, MOUSE38936, MOUSE38933, MOUSE38940, MOUSE38938, MOUSE38934, MOUSE38935, MOUSE38932, MOUSE38939	ASTMX12014
OG0001093	MOUSE05160	ASTMX12657, ASTMX16037
OG0001094	MOUSE07073	ASTMX20728
OG0001094	MOUSE20159, MOUSE20160	ASTMX11817
OG0001094	MOUSE07072	ASTMX22892
OG0001095	MOUSE02408, MOUSE02419, MOUSE02417, MOUSE02410, MOUSE02413, MOUSE02415, MOUSE02412	ASTMX01042
OG0001095	MOUSE23367, MOUSE23365, MOUSE23371, MOUSE23370, MOUSE23366	ASTMX06668, ASTMX10417
OG0001095	MOUSE53105, MOUSE53107, MOUSE53109, MOUSE53106, MOUSE53110	ASTMX04271
OG0001101	MOUSE55169, MOUSE55170, MOUSE55168, MOUSE55420, MOUSE55419, MOUSE55422, MOUSE55421	ASTMX17108
OG0001101	MOUSE41244, MOUSE41246, MOUSE41245, MOUSE41243	ASTMX18645
OG0001101	MOUSE23592, MOUSE23591	ASTMX05377, ASTMX14058
OG0001101	MOUSE55171	ASTMX23013
OG0001102	MOUSE20453	ASTMX06585
OG0001103	MOUSE00149, MOUSE29284, MOUSE29285	ASTMX07925
OG0001104	MOUSE13548	ASTMX04326
OG0001104	MOUSE34311, MOUSE34309, MOUSE34310, MOUSE35692, MOUSE35691, MOUSE35688, MOUSE35687	ASTMX19128
OG0001105	MOUSE30015	ASTMX06295
OG0001105	MOUSE28297	ASTMX16452
OG0001106	MOUSE44590	ASTMX12402
OG0001106	MOUSE14494	ASTMX00435
OG0001107	MOUSE54131, MOUSE54133, MOUSE54132, MOUSE54134	ASTMX18532, ASTMX08783
OG0001107	MOUSE47567, MOUSE47571, MOUSE47570, MOUSE47568, MOUSE47573, MOUSE47572, MOUSE47564, MOUSE47565, MOUSE47569, MOUSE47562, MOUSE47563, MOUSE47566	ASTMX07277, ASTMX12968
OG0001108	MOUSE14807	ASTMX10776
OG0001108	MOUSE38129, MOUSE38128	ASTMX02283
OG0001109	MOUSE06082	ASTMX22098
OG0001109	MOUSE06085, MOUSE06084	ASTMX18693, ASTMX16851
OG0001109	MOUSE36088, MOUSE36087	ASTMX20867
OG0001110	MOUSE31269, MOUSE31270, MOUSE31274, MOUSE31267, MOUSE31276, MOUSE31268, MOUSE31272, MOUSE31273, MOUSE31271, MOUSE31275	ASTMX19998, ASTMX20209
OG0001110	MOUSE25541, MOUSE25546, MOUSE25545, MOUSE25543, MOUSE25544, MOUSE25542	ASTMX10366, ASTMX18902, ASTMX13352
OG0001112	MOUSE23123, MOUSE23122	ASTMX08753
OG0001112	MOUSE13097	ASTMX12056
OG0001112	MOUSE54032	ASTMX04106
OG0001113	MOUSE00908, MOUSE52286	ASTMX17682
OG0001113	MOUSE06432	ASTMX17433
OG0001114	MOUSE51574, MOUSE51573	ASTMX20168, ASTMX05200
OG0001114	MOUSE30316, MOUSE30317	ASTMX10656
OG0001115	MOUSE41049, MOUSE41052	ASTMX14280
OG0001115	MOUSE14373	ASTMX15784, ASTMX16079
OG0001115	MOUSE17269	ASTMX09277
OG0001116	MOUSE26174, MOUSE05315	ASTMX16860
OG0001116	MOUSE25078	ASTMX18344
OG0001116	MOUSE05311, MOUSE05316, MOUSE05318, MOUSE05312, MOUSE05314, MOUSE05321, MOUSE05317, MOUSE05313, MOUSE05320, MOUSE05310	ASTMX17053
OG0001117	MOUSE23208, MOUSE23207	ASTMX13101, ASTMX11968
OG0001117	MOUSE28243, MOUSE28244, MOUSE28247, MOUSE28248, MOUSE28246, MOUSE28245	ASTMX06395
OG0001118	MOUSE45852, MOUSE45851	ASTMX16590
OG0001118	MOUSE14438	ASTMX16591
OG0001118	MOUSE45854, MOUSE45855, MOUSE14440, MOUSE14437	ASTMX16589
OG0001119	MOUSE52034, MOUSE52033	ASTMX20001
OG0001119	MOUSE13851, MOUSE13853, MOUSE13852, MOUSE13854	ASTMX11748
OG0001120	MOUSE03485	ASTMX04101, ASTMX08003
OG0001120	MOUSE00736	ASTMX10732, ASTMX16697
OG0001120	MOUSE53859	ASTMX08805
OG0001120	MOUSE36808	ASTMX16767
OG0001121	MOUSE16615	ASTMX15268
OG0001121	MOUSE01272	ASTMX07286
OG0001123	MOUSE52428, MOUSE52427, MOUSE52429	ASTMX11965
OG0001123	MOUSE10104, MOUSE10103, MOUSE10102, MOUSE10101	ASTMX03333
OG0001124	MOUSE06528, MOUSE06527, MOUSE06526	ASTMX11649
OG0001124	MOUSE53521, MOUSE53533, MOUSE53525, MOUSE53529, MOUSE53532, MOUSE53519, MOUSE53542, MOUSE53524, MOUSE53530, MOUSE53536, MOUSE53535	ASTMX21249
OG0001126	MOUSE04156, MOUSE04157	ASTMX02684
OG0001126	MOUSE29593, MOUSE29594	ASTMX15843
OG0001127	MOUSE22299, MOUSE22300, MOUSE22301	ASTMX12680, ASTMX16751
OG0001127	MOUSE49977, MOUSE49964, MOUSE49979, MOUSE49972, MOUSE49973, MOUSE49971, MOUSE49980, MOUSE49963, MOUSE49976, MOUSE49975, MOUSE49974, MOUSE49968, MOUSE49962, MOUSE49961, MOUSE49970, MOUSE49965, MOUSE49969	ASTMX02660, ASTMX13770
OG0001128	MOUSE08081, MOUSE08083, MOUSE08084, MOUSE08085, MOUSE08082	ASTMX18460, ASTMX16489
OG0001128	MOUSE42773	ASTMX06330
OG0001128	MOUSE24638, MOUSE24639, MOUSE24641, MOUSE24642, MOUSE24646, MOUSE24644, MOUSE24640, MOUSE24645, MOUSE24643	ASTMX03840
OG0001129	MOUSE49537, MOUSE49538	ASTMX10908, ASTMX12420
OG0001129	MOUSE32104	ASTMX13922
OG0001129	MOUSE08951, MOUSE08950	ASTMX10145, ASTMX09711
OG0001130	MOUSE23183, MOUSE23181, MOUSE23179, MOUSE23180, MOUSE23178, MOUSE23182	ASTMX10575
OG0001131	MOUSE03057, MOUSE03058, MOUSE03056, MOUSE03059, MOUSE03060, MOUSE03061	ASTMX07608
OG0001131	MOUSE08073, MOUSE08072	ASTMX14403
OG0001132	MOUSE20734, MOUSE20732, MOUSE20733	ASTMX10021
OG0001133	MOUSE17666, MOUSE17665	ASTMX13789
OG0001133	MOUSE10581	ASTMX12861
OG0001134	MOUSE06312, MOUSE06311	ASTMX21574
OG0001134	MOUSE38657	ASTMX07671
OG0001135	MOUSE05096	ASTMX15353
OG0001135	MOUSE05095, MOUSE05097, MOUSE05098	ASTMX19619
OG0001135	MOUSE17160	ASTMX18867
OG0001136	MOUSE01519, MOUSE01518	ASTMX03984, ASTMX03125
OG0001136	MOUSE19515, MOUSE51766, MOUSE51761, MOUSE51768, MOUSE51767, MOUSE51763, MOUSE51762	ASTMX00617, ASTMX01730
OG0001137	MOUSE43319, MOUSE43318, MOUSE43321	ASTMX12515, ASTMX16194
OG0001137	MOUSE18704, MOUSE18705, MOUSE18703	ASTMX01698
OG0001138	MOUSE02531, MOUSE02530	ASTMX18696, ASTMX18698
OG0001138	MOUSE08511, MOUSE08510, MOUSE08509	ASTMX13761, ASTMX15448
OG0001138	MOUSE52336, MOUSE52335	ASTMX17720
OG0001139	MOUSE47081, MOUSE47084, MOUSE47083	ASTMX02193
OG0001139	MOUSE47085	ASTMX16174
OG0001140	MOUSE13457	ASTMX00871
OG0001140	MOUSE06768, MOUSE06770	ASTMX01335
OG0001142	MOUSE20269, MOUSE20265, MOUSE20263, MOUSE20266, MOUSE20264	ASTMX06998
OG0001143	MOUSE39141	ASTMX19786
OG0001143	MOUSE51998, MOUSE51999, MOUSE52002, MOUSE52001, MOUSE52000, MOUSE51997	ASTMX21932
OG0001143	MOUSE30698, MOUSE30699	ASTMX06862
OG0001144	MOUSE14867, MOUSE14868, MOUSE14873, MOUSE14874, MOUSE14871, MOUSE14869	ASTMX11062
OG0001144	MOUSE14872	ASTMX09403
OG0001144	MOUSE26472, MOUSE26474, MOUSE26475, MOUSE26469, MOUSE26468, MOUSE26470	ASTMX17694
OG0001146	MOUSE15550, MOUSE15549, MOUSE15547, MOUSE15548, MOUSE15551, MOUSE15552	ASTMX16476
OG0001146	MOUSE35010, MOUSE35009, MOUSE35008, MOUSE35006, MOUSE35007, MOUSE35012	ASTMX05676
OG0001146	MOUSE04052, MOUSE04050, MOUSE04051, MOUSE04053	ASTMX10477, ASTMX20223
OG0001148	MOUSE53363, MOUSE53361	ASTMX07421
OG0001149	MOUSE17721, MOUSE17720, MOUSE17719	ASTMX19645
OG0001149	MOUSE31773, MOUSE31774	ASTMX17794
OG0001150	MOUSE41127, MOUSE02591, MOUSE02590, MOUSE02615, MOUSE02593, MOUSE02592, MOUSE02602, MOUSE02613, MOUSE02640, MOUSE02633, MOUSE02651, MOUSE02650, MOUSE02629, MOUSE02614, MOUSE02617, MOUSE02642, MOUSE02601, MOUSE02626, MOUSE02621, MOUSE02620, MOUSE02625, MOUSE02627, MOUSE02605, MOUSE02641, MOUSE02634, MOUSE02635, MOUSE02624, MOUSE02604, MOUSE02612, MOUSE02611, MOUSE02622, MOUSE02607, MOUSE02610, MOUSE02623, MOUSE02606, MOUSE02598, MOUSE02597, MOUSE02596, MOUSE02608, MOUSE02609, MOUSE02589, MOUSE02649, MOUSE39483, MOUSE39567, MOUSE39482, MOUSE50860	ASTMX12204
OG0001155	MOUSE09402	ASTMX05916
OG0001155	MOUSE04565	ASTMX05884
OG0001156	MOUSE14565, MOUSE14566, MOUSE14560, MOUSE14564, MOUSE14562, MOUSE14568, MOUSE14567, MOUSE14561, MOUSE14563	ASTMX06046, ASTMX21567
OG0001156	MOUSE05676, MOUSE05671, MOUSE05675, MOUSE05672	ASTMX13224
OG0001156	MOUSE23040	ASTMX10835, ASTMX00559
OG0001158	MOUSE28961, MOUSE28960, MOUSE28959	ASTMX02087
OG0001158	MOUSE19682, MOUSE19683	ASTMX12628
OG0001159	MOUSE06681, MOUSE06680	ASTMX04571
OG0001159	MOUSE13400, MOUSE13401	ASTMX16858
OG0001160	MOUSE01861, MOUSE01864, MOUSE01863, MOUSE01866, MOUSE01865, MOUSE01862	ASTMX03036
OG0001160	MOUSE31120, MOUSE31119, MOUSE31121	ASTMX02042, ASTMX09272
OG0001161	MOUSE32420, MOUSE32421	ASTMX19392
OG0001161	MOUSE32419	ASTMX10567
OG0001162	MOUSE16164, MOUSE16165	ASTMX00151, ASTMX17408
OG0001163	MOUSE21151	ASTMX21149, ASTMX13397, ASTMX06626
OG0001164	MOUSE35809, MOUSE35808, MOUSE35802, MOUSE35803, MOUSE35806, MOUSE35805, MOUSE35815, MOUSE35813, MOUSE35814, MOUSE35807, MOUSE35811	ASTMX15332
OG0001165	MOUSE21674	ASTMX13025
OG0001165	MOUSE53722	ASTMX00124
OG0001166	MOUSE18158, MOUSE18154, MOUSE18157, MOUSE18161, MOUSE18155, MOUSE18159, MOUSE18160, MOUSE18156	ASTMX14476, ASTMX21070
OG0001166	MOUSE07672, MOUSE07673	ASTMX15099, ASTMX16555
OG0001167	MOUSE08062, MOUSE08061, MOUSE08060, MOUSE08059, MOUSE08058	ASTMX18844, ASTMX18845
OG0001167	MOUSE03052	ASTMX07609
OG0001168	MOUSE08773, MOUSE08775, MOUSE08772	ASTMX12263
OG0001168	MOUSE28773	ASTMX06712
OG0001168	MOUSE49343, MOUSE49344	ASTMX22562
OG0001169	MOUSE45327, MOUSE45328, MOUSE45326, MOUSE45332, MOUSE45333, MOUSE45331, MOUSE45330, MOUSE45329, MOUSE50165, MOUSE50167, MOUSE50164, MOUSE50163, MOUSE50166	ASTMX04343
OG0001170	MOUSE54756	ASTMX10709
OG0001170	MOUSE52117, MOUSE52115, MOUSE52114	ASTMX11046
OG0001170	MOUSE16455	ASTMX11047
OG0001171	MOUSE21547, MOUSE21549, MOUSE21548	ASTMX06140
OG0001171	MOUSE00265, MOUSE00271, MOUSE00268, MOUSE00270, MOUSE00272	ASTMX11035
OG0001171	MOUSE28610, MOUSE28611	ASTMX03436
OG0001172	MOUSE18937	ASTMX02640
OG0001172	MOUSE22349	ASTMX12998
OG0001172	MOUSE22242	ASTMX05444, ASTMX13620
OG0001172	MOUSE05716	ASTMX07385
OG0001173	MOUSE30376	ASTMX06808
OG0001174	MOUSE14404, MOUSE40968, MOUSE40967, MOUSE40966, MOUSE40969	ASTMX00942
OG0001175	MOUSE47768	ASTMX15626
OG0001175	MOUSE27822	ASTMX17938, ASTMX10319
OG0001176	MOUSE51321	ASTMX21031, ASTMX00469
OG0001176	MOUSE30173, MOUSE30172	ASTMX18559
OG0001176	MOUSE48355, MOUSE48354	ASTMX10559
OG0001176	MOUSE11547, MOUSE11548	ASTMX01481, ASTMX13540
OG0001177	MOUSE18974	ASTMX14125
OG0001177	MOUSE02843	ASTMX15939
OG0001178	MOUSE33286, MOUSE33287	ASTMX12781
OG0001178	MOUSE55434, MOUSE53697, MOUSE53698, MOUSE53696, MOUSE53699	ASTMX00134, ASTMX00554
OG0001179	MOUSE28734, MOUSE28732, MOUSE28733, MOUSE28729, MOUSE28730	ASTMX07456
OG0001180	MOUSE36605, MOUSE36606, MOUSE36604	ASTMX12027, ASTMX19199, ASTMX09020
OG0001181	MOUSE25133, MOUSE25132, MOUSE25129, MOUSE25130, MOUSE25131	ASTMX18946, ASTMX06446
OG0001181	MOUSE05285, MOUSE05284, MOUSE05286, MOUSE05283	ASTMX17051, ASTMX17260
OG0001182	MOUSE18698	ASTMX12103
OG0001182	MOUSE51460, MOUSE51461	ASTMX07068, ASTMX07067
OG0001183	MOUSE05711, MOUSE05710, MOUSE05708, MOUSE05709	ASTMX12002, ASTMX19735, ASTMX17804
OG0001184	MOUSE17556, MOUSE17557	ASTMX19302
OG0001184	MOUSE26991, MOUSE26992, MOUSE26989, MOUSE26990	ASTMX00228
OG0001185	MOUSE34188, MOUSE34187, MOUSE34189, MOUSE34190, MOUSE34186	ASTMX07482
OG0001185	MOUSE00151, MOUSE00154, MOUSE00152, MOUSE00153	ASTMX10936
OG0001186	MOUSE19689	ASTMX18547
OG0001186	MOUSE49888, MOUSE49887	ASTMX02567
OG0001186	MOUSE49824, MOUSE49829, MOUSE49825, MOUSE49826, MOUSE49828	ASTMX13845
OG0001187	MOUSE40796, MOUSE40797, MOUSE40798	ASTMX10749
OG0001188	MOUSE20261, MOUSE20259	ASTMX10472
OG0001188	MOUSE43342, MOUSE43341, MOUSE43343	ASTMX16516
OG0001188	MOUSE07231, MOUSE07233, MOUSE07232, MOUSE07230	ASTMX05803
OG0001188	MOUSE18724, MOUSE18725	ASTMX14514, ASTMX03224
OG0001189	MOUSE29265, MOUSE29266, MOUSE29261, MOUSE29264, MOUSE29262	ASTMX06692, ASTMX04816
OG0001189	MOUSE06856, MOUSE06854, MOUSE06855	ASTMX01328, ASTMX13413
OG0001189	MOUSE21523	ASTMX17159
OG0001190	MOUSE47657, MOUSE47658, MOUSE47659, MOUSE47660	ASTMX11323
OG0001190	MOUSE34550, MOUSE34553, MOUSE34551, MOUSE34549, MOUSE34547, MOUSE34546, MOUSE34548, MOUSE34552	ASTMX13686, ASTMX05267
OG0001191	MOUSE12783, MOUSE12784	ASTMX17768
OG0001191	MOUSE00924, MOUSE00927	ASTMX05237, ASTMX10430
OG0001191	MOUSE19181	ASTMX15730
OG0001196	MOUSE43590, MOUSE43587, MOUSE43586, MOUSE43588, MOUSE43591	ASTMX11519
OG0001196	MOUSE24318, MOUSE24319, MOUSE24316	ASTMX11174, ASTMX02339
OG0001197	MOUSE20318	ASTMX03942
OG0001197	MOUSE39856, MOUSE39857, MOUSE39858	ASTMX01914
OG0001197	MOUSE26526, MOUSE26525	ASTMX20138
OG0001198	MOUSE01331	ASTMX02424, ASTMX06547
OG0001198	MOUSE46948, MOUSE46947	ASTMX02630
OG0001199	MOUSE00199, MOUSE00196, MOUSE00198, MOUSE00197	ASTMX03290
OG0001199	MOUSE12680, MOUSE12681, MOUSE12679	ASTMX03812
OG0001200	MOUSE07973, MOUSE07972, MOUSE07970, MOUSE07971	ASTMX11139
OG0001201	MOUSE28584	ASTMX07237, ASTMX15800
OG0001201	MOUSE13815	ASTMX18361
OG0001202	MOUSE36133, MOUSE36134	ASTMX12631, ASTMX12630
OG0001203	MOUSE07235	ASTMX14697
OG0001203	MOUSE07234	ASTMX05804
OG0001203	MOUSE18700, MOUSE18702, MOUSE18699	ASTMX14698
OG0001204	MOUSE37473	ASTMX05907
OG0001204	MOUSE05024, MOUSE05026	ASTMX12225
OG0001205	MOUSE08235, MOUSE08237	ASTMX13657
OG0001205	MOUSE30103	ASTMX01662
OG0001207	MOUSE23357, MOUSE23358	ASTMX15583
OG0001207	MOUSE05847	ASTMX07379
OG0001207	MOUSE19129	ASTMX05452
OG0001208	MOUSE26418, MOUSE26416, MOUSE26415, MOUSE26419, MOUSE26417	ASTMX00484, ASTMX08670
OG0001208	MOUSE38954, MOUSE38955, MOUSE38952, MOUSE38953	ASTMX06752, ASTMX12017
OG0001210	MOUSE28107	ASTMX01254
OG0001210	MOUSE52270, MOUSE52268, MOUSE52267	ASTMX10342
OG0001211	MOUSE25177	ASTMX18975, ASTMX16242
OG0001212	MOUSE29618, MOUSE29620	ASTMX22528
OG0001212	MOUSE29619	ASTMX14804
OG0001212	MOUSE29623, MOUSE29624, MOUSE29625, MOUSE29622	ASTMX14803
OG0001213	MOUSE46717, MOUSE46716, MOUSE46715	ASTMX13388
OG0001213	MOUSE37458	ASTMX21450
OG0001214	MOUSE25114	ASTMX09593
OG0001214	MOUSE02294, MOUSE02293	ASTMX12596
OG0001215	MOUSE08734, MOUSE08735	ASTMX20085
OG0001215	MOUSE19131, MOUSE19132	ASTMX00530, ASTMX12692
OG0001215	MOUSE14747, MOUSE14748, MOUSE14746, MOUSE14745, MOUSE14744	ASTMX15468, ASTMX06044
OG0001216	MOUSE04150	ASTMX20220
OG0001216	MOUSE04149	ASTMX20446
OG0001216	MOUSE49613	ASTMX21172
OG0001217	MOUSE55237, MOUSE55236	ASTMX09378, ASTMX07954
OG0001217	MOUSE00073, MOUSE00072	ASTMX01247, ASTMX16527
OG0001217	MOUSE34298	ASTMX20834
OG0001217	MOUSE00071, MOUSE00068, MOUSE00067, MOUSE00069, MOUSE00070	ASTMX01246
OG0001218	MOUSE41470, MOUSE41466, MOUSE41467, MOUSE41468	ASTMX10642, ASTMX14744
OG0001218	MOUSE34978, MOUSE34980, MOUSE34979	ASTMX13687
OG0001218	MOUSE04035, MOUSE04034, MOUSE04033	ASTMX05605
OG0001219	MOUSE03413, MOUSE22192, MOUSE22191, MOUSE03411	ASTMX14886, ASTMX03969
OG0001219	MOUSE30324, MOUSE30320, MOUSE30322	ASTMX10652, ASTMX14229
OG0001220	MOUSE37900, MOUSE37901, MOUSE37902	ASTMX05948
OG0001220	MOUSE37898, MOUSE37899	ASTMX05949
OG0001220	MOUSE01421, MOUSE01422, MOUSE01423	ASTMX18183, ASTMX07915
OG0001221	MOUSE12352, MOUSE12358, MOUSE12355, MOUSE12353	ASTMX07026
OG0001223	MOUSE32020	ASTMX03153
OG0001223	MOUSE49000, MOUSE49002, MOUSE49001	ASTMX00191
OG0001223	MOUSE11999	ASTMX01647
OG0001223	MOUSE28618, MOUSE28617, MOUSE28619, MOUSE28620, MOUSE28621	ASTMX07473
OG0001224	MOUSE43304, MOUSE43303, MOUSE43301, MOUSE43300, MOUSE43298, MOUSE43299	ASTMX06442
OG0001224	MOUSE34794	ASTMX00720
OG0001225	MOUSE44565, MOUSE44564	ASTMX05153, ASTMX03549
OG0001225	MOUSE20743	ASTMX13437, ASTMX10024
OG0001225	MOUSE01626	ASTMX07916
OG0001226	MOUSE16467, MOUSE16468, MOUSE16465, MOUSE16466	ASTMX15119
OG0001226	MOUSE54761	ASTMX01133
OG0001226	MOUSE52127, MOUSE52129, MOUSE52128	ASTMX11042
OG0001226	MOUSE34289	ASTMX11041, ASTMX08711
OG0001227	MOUSE52832, MOUSE52833	ASTMX05520, ASTMX02118
OG0001227	MOUSE33979, MOUSE33978	ASTMX00885
OG0001227	MOUSE12499	ASTMX09802
OG0001230	MOUSE13727	ASTMX12022
OG0001230	MOUSE33959	ASTMX17829
