Orthogroup	MOUSE	NEMVE
OG0000898	MOUSE31373, MOUSE31375, MOUSE31374	NEMVE14546, NEMVE21727
OG0000899	MOUSE45307, MOUSE45306, MOUSE45295, MOUSE45299, MOUSE45300, MOUSE36251, MOUSE19363	NEMVE18761
OG0000904	MOUSE41151, MOUSE41152, MOUSE41148, MOUSE03385, MOUSE03384, MOUSE54890, MOUSE00887, MOUSE00886	NEMVE08753
OG0000906	MOUSE17633, MOUSE17632, MOUSE17634, MOUSE25430, MOUSE25426, MOUSE25429, MOUSE25431, MOUSE25428, MOUSE25427	NEMVE15755
OG0000906	MOUSE25436, MOUSE25435, MOUSE25434	NEMVE08831
OG0000907	MOUSE31312, MOUSE31311	NEMVE00986
OG0000909	MOUSE16370, MOUSE18098, MOUSE18107, MOUSE18106, MOUSE18102, MOUSE18103, MOUSE18101, MOUSE18099, MOUSE18100, MOUSE18104, MOUSE16369, MOUSE16368, MOUSE16367, MOUSE34339, MOUSE34338	NEMVE10272
OG0000911	MOUSE05530, MOUSE05534, MOUSE05531, MOUSE02433, MOUSE02434, MOUSE05532, MOUSE05533, MOUSE22069, MOUSE22072	NEMVE24020
OG0000912	MOUSE40561, MOUSE40562, MOUSE21320, MOUSE21322, MOUSE21321, MOUSE09521, MOUSE35888, MOUSE35887	NEMVE23980
OG0000912	MOUSE04469, MOUSE04468	NEMVE23705
OG0000913	MOUSE03584, MOUSE03581, MOUSE03586, MOUSE03585, MOUSE50198, MOUSE50196, MOUSE50197	NEMVE23286, NEMVE05585, NEMVE00499, NEMVE04717
OG0000914	MOUSE54271, MOUSE17295, MOUSE17296, MOUSE35445, MOUSE35444, MOUSE35443	NEMVE08606
OG0000915	MOUSE54287, MOUSE54285, MOUSE54291, MOUSE54289, MOUSE54283, MOUSE54284, MOUSE54288, MOUSE54292, MOUSE54286, MOUSE02322, MOUSE40925, MOUSE40924, MOUSE23439, MOUSE23438, MOUSE23437, MOUSE23435, MOUSE02320, MOUSE02321	NEMVE05638
OG0000916	MOUSE31844, MOUSE31845	NEMVE00760, NEMVE23155, NEMVE15635
OG0000921	MOUSE23301, MOUSE23303, MOUSE23302, MOUSE23300	NEMVE04805
OG0000921	MOUSE23881, MOUSE23879, MOUSE23880	NEMVE19737, NEMVE09442
OG0000921	MOUSE23882	NEMVE12434
OG0000925	MOUSE10575, MOUSE10576	NEMVE21937, NEMVE05629, NEMVE00068
OG0000925	MOUSE55432, MOUSE24719, MOUSE53700	NEMVE22442, NEMVE00338
OG0000926	MOUSE17360	NEMVE13598, NEMVE10833
OG0000926	MOUSE13338	NEMVE13988
OG0000928	MOUSE48561, MOUSE48564, MOUSE48560, MOUSE48562, MOUSE48563, MOUSE51589, MOUSE51590, MOUSE51591	NEMVE08415, NEMVE20627
OG0000929	MOUSE38764, MOUSE00532, MOUSE34224, MOUSE34223	NEMVE10278
OG0000930	MOUSE17674, MOUSE17672, MOUSE17671, MOUSE17679, MOUSE17678, MOUSE17675, MOUSE17670, MOUSE17676, MOUSE17673, MOUSE17681, MOUSE17680, MOUSE17682, MOUSE17683, MOUSE17677	NEMVE06499, NEMVE09880, NEMVE16667, NEMVE11111
OG0000931	MOUSE27857	NEMVE13552
OG0000932	MOUSE38269, MOUSE38279, MOUSE38270, MOUSE38272, MOUSE38273, MOUSE38271	NEMVE15050, NEMVE02393
OG0000933	MOUSE28167, MOUSE20273, MOUSE20274, MOUSE07248, MOUSE07247	NEMVE25450, NEMVE09603
OG0000934	MOUSE12520, MOUSE12519, MOUSE12516, MOUSE12517, MOUSE00090	NEMVE09369
OG0000934	MOUSE17316, MOUSE42016, MOUSE42017	NEMVE07036
OG0000935	MOUSE47477, MOUSE47478, MOUSE44606, MOUSE44607, MOUSE30728, MOUSE30730, MOUSE30727, MOUSE30729, MOUSE14697, MOUSE14695, MOUSE14698, MOUSE14700, MOUSE14696, MOUSE14699, MOUSE26344, MOUSE26343	NEMVE24478, NEMVE06639
OG0000936	MOUSE52850, MOUSE52851, MOUSE52849	NEMVE05234, NEMVE18875, NEMVE23076, NEMVE15700, NEMVE23217, NEMVE18236, NEMVE04950, NEMVE18876
OG0000943	MOUSE20500, MOUSE37971, MOUSE37975, MOUSE37977, MOUSE37972, MOUSE37973, MOUSE37974, MOUSE37976	NEMVE15785, NEMVE08924
OG0000944	MOUSE12531, MOUSE12532, MOUSE48058, MOUSE54692	NEMVE07708
OG0000945	MOUSE11943, MOUSE49368, MOUSE10031	NEMVE22316, NEMVE22428
OG0000946	MOUSE45824, MOUSE23647, MOUSE01803, MOUSE01802	NEMVE11477
OG0000946	MOUSE47231, MOUSE47232, MOUSE01829	NEMVE07731
OG0000947	MOUSE26132, MOUSE53230, MOUSE53231, MOUSE53229	NEMVE04758
OG0000947	MOUSE53163, MOUSE53164	NEMVE07474
OG0000949	MOUSE25328, MOUSE25327, MOUSE17718, MOUSE16365, MOUSE16366, MOUSE34340, MOUSE18097	NEMVE24705, NEMVE16573, NEMVE25704, NEMVE24321
OG0000950	MOUSE05009, MOUSE05008, MOUSE05006, MOUSE05007, MOUSE05010, MOUSE37986, MOUSE37985, MOUSE37987, MOUSE37984	NEMVE08112
OG0000951	MOUSE30814, MOUSE30813, MOUSE30815, MOUSE44527, MOUSE44526	NEMVE21998
OG0000952	MOUSE36817, MOUSE36818, MOUSE36819, MOUSE36816	NEMVE04659
OG0000952	MOUSE03207, MOUSE36821	NEMVE02164
OG0000953	MOUSE13745, MOUSE13258, MOUSE13744, MOUSE13741, MOUSE13743, MOUSE13742, MOUSE13740, MOUSE34903, MOUSE34902	NEMVE12932
OG0000954	MOUSE22495, MOUSE22494, MOUSE22493	NEMVE06460
OG0000954	MOUSE17098, MOUSE17097, MOUSE17096, MOUSE16993, MOUSE16991, MOUSE16987, MOUSE16992, MOUSE16989, MOUSE16988, MOUSE16990	NEMVE05247, NEMVE12295
OG0000955	MOUSE32358	NEMVE14901
OG0000955	MOUSE29654, MOUSE29652, MOUSE29653	NEMVE08350
OG0000957	MOUSE50366, MOUSE50364, MOUSE50368, MOUSE50362, MOUSE50363, MOUSE50371, MOUSE50369, MOUSE50367, MOUSE50365, MOUSE50370, MOUSE26047, MOUSE26048, MOUSE01613, MOUSE01614, MOUSE13268, MOUSE13267, MOUSE13270, MOUSE13271, MOUSE01612	NEMVE00980
OG0000958	MOUSE09358, MOUSE09360, MOUSE09359, MOUSE41232, MOUSE41231	NEMVE24805, NEMVE17902
OG0000960	MOUSE49548, MOUSE49547, MOUSE49545, MOUSE49546, MOUSE13626, MOUSE13629, MOUSE13627, MOUSE13628	NEMVE02244
OG0000963	MOUSE01418, MOUSE01419, MOUSE01420	NEMVE06216
OG0000963	MOUSE10592, MOUSE33400	NEMVE03242
OG0000965	MOUSE36703, MOUSE36704, MOUSE36705	NEMVE10501
OG0000965	MOUSE12247, MOUSE12246	NEMVE02072
OG0000966	MOUSE04816, MOUSE04817, MOUSE04814, MOUSE04815, MOUSE04813, MOUSE04812, MOUSE37774, MOUSE37775	NEMVE06417
OG0000967	MOUSE47762, MOUSE47763	NEMVE05572
OG0000967	MOUSE20877	NEMVE11722, NEMVE10506
OG0000968	MOUSE01895, MOUSE01897, MOUSE01894, MOUSE01893, MOUSE44458, MOUSE44459, MOUSE44457	NEMVE14701
OG0000968	MOUSE04857, MOUSE04856, MOUSE02780, MOUSE02778, MOUSE02779	NEMVE10433
OG0000969	MOUSE35290	NEMVE14628
OG0000970	MOUSE15306, MOUSE15307	NEMVE08789
OG0000972	MOUSE50146, MOUSE50147, MOUSE37982, MOUSE37981, MOUSE37983	NEMVE04609, NEMVE00954
OG0000972	MOUSE12807	NEMVE10082
OG0000973	MOUSE17695	NEMVE17915
OG0000974	MOUSE03615, MOUSE03614, MOUSE03613	NEMVE13444
OG0000976	MOUSE18381	NEMVE06490, NEMVE05744
OG0000978	MOUSE10016, MOUSE10015, MOUSE28748, MOUSE28746, MOUSE28747, MOUSE49417, MOUSE49416, MOUSE27348, MOUSE27347, MOUSE27345, MOUSE27346, MOUSE27349	NEMVE25212
OG0000979	MOUSE21300, MOUSE21301, MOUSE21299	NEMVE17920, NEMVE04790, NEMVE16326
OG0000981	MOUSE10265, MOUSE10264, MOUSE19932	NEMVE22521
OG0000982	MOUSE01632, MOUSE01629, MOUSE01628, MOUSE01633, MOUSE30694, MOUSE30693, MOUSE30696, MOUSE30695, MOUSE20747, MOUSE20746	NEMVE07619, NEMVE11958
OG0000984	MOUSE10080, MOUSE10081	NEMVE21717
OG0000985	MOUSE21243, MOUSE21242, MOUSE21241, MOUSE48352, MOUSE48347, MOUSE48349, MOUSE48348, MOUSE48345, MOUSE48346, MOUSE48351, MOUSE48350, MOUSE19222, MOUSE19221, MOUSE19220, MOUSE19219	NEMVE09786, NEMVE11913
OG0000987	MOUSE08586, MOUSE08587, MOUSE14584, MOUSE01245, MOUSE08588	NEMVE05580
OG0000988	MOUSE25852, MOUSE25848, MOUSE25676, MOUSE25677, MOUSE25678, MOUSE25675, MOUSE25679	NEMVE15851, NEMVE11568, NEMVE19955, NEMVE23928, NEMVE06782
OG0000992	MOUSE06252	NEMVE11620
OG0000992	MOUSE32208, MOUSE34367, MOUSE34366, MOUSE34368, MOUSE34369	NEMVE04858
OG0000993	MOUSE22406	NEMVE12763
OG0000994	MOUSE32211, MOUSE32210	NEMVE24464
OG0000994	MOUSE40530, MOUSE40529	NEMVE05403
OG0000996	MOUSE54538, MOUSE54537, MOUSE54531, MOUSE54525, MOUSE54529, MOUSE54530, MOUSE54526, MOUSE54532, MOUSE54536, MOUSE54533, MOUSE54524, MOUSE54528, MOUSE54527, MOUSE54539, MOUSE12587, MOUSE54540, MOUSE12586, MOUSE12583, MOUSE21790, MOUSE21789, MOUSE21792, MOUSE21793, MOUSE21791	NEMVE06175
OG0000997	MOUSE45397, MOUSE45388	NEMVE15784
OG0000999	MOUSE44063, MOUSE19949, MOUSE14460	NEMVE00092
OG0001000	MOUSE53658, MOUSE53659, MOUSE54860, MOUSE54857, MOUSE54859, MOUSE54858, MOUSE16553, MOUSE16552, MOUSE16554, MOUSE16556, MOUSE16555, MOUSE34230, MOUSE34229	NEMVE02448
OG0001001	MOUSE04043, MOUSE53732, MOUSE53727, MOUSE53728, MOUSE55430, MOUSE55424, MOUSE55426, MOUSE55427, MOUSE55428, MOUSE53729	NEMVE20649, NEMVE24599, NEMVE12542
OG0001002	MOUSE52462, MOUSE52461, MOUSE52460, MOUSE43911, MOUSE43913, MOUSE43912, MOUSE27015, MOUSE27017, MOUSE27016	NEMVE09531, NEMVE19920
OG0001004	MOUSE32951, MOUSE33143, MOUSE01660, MOUSE01664, MOUSE01665, MOUSE01662, MOUSE01661, MOUSE32947, MOUSE32950, MOUSE32945, MOUSE32949, MOUSE32946, MOUSE32948, MOUSE33145, MOUSE33148, MOUSE33147, MOUSE33144, MOUSE33146, MOUSE33149, MOUSE48867, MOUSE48869, MOUSE48868, MOUSE48870, MOUSE48866	NEMVE06123
OG0001005	MOUSE11321, MOUSE11324, MOUSE11316, MOUSE11327, MOUSE11320, MOUSE11323, MOUSE11325, MOUSE11322, MOUSE11317, MOUSE11314, MOUSE11319, MOUSE11313, MOUSE11326	NEMVE10101
OG0001006	MOUSE46159	NEMVE21915
OG0001006	MOUSE10545, MOUSE01475, MOUSE01476, MOUSE33637, MOUSE33638	NEMVE10239
OG0001007	MOUSE23775, MOUSE23774, MOUSE25705, MOUSE25704, MOUSE26533, MOUSE26532	NEMVE00044, NEMVE10735
OG0001008	MOUSE44438, MOUSE23623, MOUSE23621, MOUSE23622, MOUSE23624, MOUSE02139, MOUSE44435, MOUSE44436, MOUSE44437	NEMVE24531
OG0001009	MOUSE00157, MOUSE34374	NEMVE05243, NEMVE05261, NEMVE09366, NEMVE18423, NEMVE15625, NEMVE02988, NEMVE13111
OG0001009	MOUSE00156	NEMVE03146, NEMVE16504
OG0001013	MOUSE44308, MOUSE41793, MOUSE15055, MOUSE44307, MOUSE06079	NEMVE02022
OG0001015	MOUSE14128, MOUSE14129, MOUSE14127, MOUSE02890, MOUSE02889, MOUSE38510, MOUSE38509, MOUSE38496, MOUSE38508, MOUSE38498, MOUSE38502, MOUSE38497, MOUSE38505	NEMVE07976
OG0001016	MOUSE18875, MOUSE18878, MOUSE18877	NEMVE14344
OG0001016	MOUSE39644, MOUSE39646, MOUSE39647	NEMVE14850
OG0001017	MOUSE35529, MOUSE35528, MOUSE14637, MOUSE14636, MOUSE14638	NEMVE08837
OG0001017	MOUSE35530, MOUSE35531, MOUSE35532	NEMVE08847
OG0001018	MOUSE16373	NEMVE25537
OG0001018	MOUSE08070, MOUSE08069, MOUSE08067	NEMVE07573
OG0001019	MOUSE13939, MOUSE28201, MOUSE28202	NEMVE09159, NEMVE02711
OG0001021	MOUSE07884, MOUSE07883, MOUSE07882	NEMVE05054
OG0001021	MOUSE07885	NEMVE22093
OG0001022	MOUSE12924, MOUSE38388, MOUSE38387, MOUSE38386, MOUSE12922, MOUSE12921, MOUSE12923, MOUSE55018, MOUSE55020, MOUSE55019	NEMVE24828
OG0001023	MOUSE41557, MOUSE45799, MOUSE45798, MOUSE17284, MOUSE17286, MOUSE17283, MOUSE17287, MOUSE44227, MOUSE44222, MOUSE44224, MOUSE44226, MOUSE44223, MOUSE44221, MOUSE44219, MOUSE44220, MOUSE44225, MOUSE45797, MOUSE41558, MOUSE41559	NEMVE12107
OG0001024	MOUSE31611, MOUSE31612, MOUSE31615, MOUSE31609, MOUSE31610, MOUSE37115, MOUSE19217, MOUSE01002, MOUSE54809, MOUSE54810	NEMVE22572
OG0001027	MOUSE25674, MOUSE41858, MOUSE41862, MOUSE41861	NEMVE22961
OG0001028	MOUSE01684, MOUSE01682, MOUSE01681, MOUSE51609, MOUSE51621, MOUSE51618, MOUSE51619, MOUSE51617, MOUSE51608, MOUSE51611, MOUSE51607, MOUSE51612, MOUSE51614, MOUSE51610, MOUSE51615, MOUSE32885, MOUSE32884, MOUSE32887, MOUSE32888, MOUSE32886, MOUSE20675, MOUSE20676	NEMVE25953, NEMVE14639
OG0001029	MOUSE48969, MOUSE12460, MOUSE12461	NEMVE03131, NEMVE01675
OG0001029	MOUSE54548, MOUSE54549, MOUSE51290, MOUSE51289, MOUSE00101, MOUSE33921	NEMVE11449
OG0001030	MOUSE01523, MOUSE01522, MOUSE01521, MOUSE44887	NEMVE13370
OG0001030	MOUSE08274, MOUSE08271, MOUSE08269, MOUSE28021, MOUSE28022	NEMVE21815, NEMVE13139, NEMVE08210, NEMVE13480, NEMVE00380
OG0001031	MOUSE21148	NEMVE13279
OG0001031	MOUSE37026	NEMVE12566, NEMVE03083, NEMVE18815, NEMVE03518, NEMVE01512, NEMVE05098, NEMVE01877, NEMVE05278, NEMVE00495, NEMVE02692, NEMVE05018, NEMVE00690, NEMVE08345
OG0001032	MOUSE31261, MOUSE31263, MOUSE18479, MOUSE18481, MOUSE18477, MOUSE18478, MOUSE25796, MOUSE25795, MOUSE25797, MOUSE25794, MOUSE25798	NEMVE14168
OG0001033	MOUSE36688, MOUSE36687, MOUSE40431, MOUSE40429	NEMVE24849
OG0001033	MOUSE33551, MOUSE33552, MOUSE32234, MOUSE01529	NEMVE03845
OG0001034	MOUSE05292, MOUSE05291, MOUSE05289, MOUSE05290, MOUSE05288, MOUSE25118, MOUSE25124, MOUSE25122, MOUSE25123, MOUSE25120, MOUSE25126, MOUSE25127, MOUSE25128, MOUSE25125	NEMVE23685
OG0001036	MOUSE28928, MOUSE28925, MOUSE09303	NEMVE07958
OG0001037	MOUSE25630, MOUSE25632, MOUSE25634, MOUSE25631, MOUSE25633, MOUSE31738, MOUSE31741, MOUSE31740, MOUSE31739, MOUSE31743, MOUSE31742	NEMVE13835
OG0001039	MOUSE15335, MOUSE15338, MOUSE15332, MOUSE15333, MOUSE15337, MOUSE15336, MOUSE15334	NEMVE05718
OG0001039	MOUSE01752, MOUSE01750, MOUSE01751, MOUSE40680, MOUSE40681	NEMVE14813
OG0001042	MOUSE55167, MOUSE55166, MOUSE55164, MOUSE55165, MOUSE40726, MOUSE40728, MOUSE40729, MOUSE40727, MOUSE41292, MOUSE41290, MOUSE41291	NEMVE20161, NEMVE25296
OG0001048	MOUSE40596, MOUSE40597, MOUSE40595, MOUSE11458, MOUSE11459, MOUSE11457, MOUSE36981, MOUSE36982, MOUSE36983, MOUSE11460	NEMVE04666
OG0001049	MOUSE52326, MOUSE52325, MOUSE34867, MOUSE34863, MOUSE34865, MOUSE34864, MOUSE34866, MOUSE34868	NEMVE24151
OG0001050	MOUSE44745	NEMVE12697
OG0001050	MOUSE18063, MOUSE44746, MOUSE44744, MOUSE30206, MOUSE30205	NEMVE11321
OG0001052	MOUSE20861, MOUSE20860	NEMVE24748
OG0001053	MOUSE05349, MOUSE39893, MOUSE02657, MOUSE26572, MOUSE09572, MOUSE31492, MOUSE00834, MOUSE00833	NEMVE01408
OG0001059	MOUSE06556, MOUSE06558, MOUSE06564, MOUSE06563, MOUSE06559, MOUSE19051, MOUSE06554, MOUSE19055, MOUSE19053, MOUSE19054, MOUSE19052, MOUSE06557, MOUSE06561, MOUSE06566, MOUSE06560, MOUSE06552, MOUSE06562, MOUSE06565, MOUSE06555, MOUSE06553, MOUSE06567, MOUSE06568	NEMVE05294
OG0001060	MOUSE14270	NEMVE02960, NEMVE14652, NEMVE13876
OG0001062	MOUSE47367, MOUSE31787, MOUSE31788, MOUSE31786	NEMVE01533
OG0001063	MOUSE18788, MOUSE18787, MOUSE18786, MOUSE18785	NEMVE08862
OG0001065	MOUSE24671	NEMVE18639
OG0001068	MOUSE29499, MOUSE29495, MOUSE29497, MOUSE29494, MOUSE29496, MOUSE29498, MOUSE34007, MOUSE34011, MOUSE34009, MOUSE34004, MOUSE34005, MOUSE34008	NEMVE21454
OG0001068	MOUSE41302, MOUSE41301, MOUSE41300	NEMVE04571
OG0001072	MOUSE37374, MOUSE37375	NEMVE08244, NEMVE08252, NEMVE00953, NEMVE07521
OG0001072	MOUSE39399	NEMVE01518
OG0001073	MOUSE19348, MOUSE19347, MOUSE19349, MOUSE19345, MOUSE19346, MOUSE54847, MOUSE54846, MOUSE54845, MOUSE12977, MOUSE12979, MOUSE12976	NEMVE11637, NEMVE14006, NEMVE02704
OG0001075	MOUSE09043, MOUSE06818, MOUSE06819, MOUSE06820, MOUSE06821	NEMVE07705, NEMVE15967
OG0001076	MOUSE38868, MOUSE38867, MOUSE38869, MOUSE36455, MOUSE38870, MOUSE38871, MOUSE38872, MOUSE36450, MOUSE36452, MOUSE36451, MOUSE36453, MOUSE36454, MOUSE36456	NEMVE01471
OG0001077	MOUSE25115, MOUSE06925	NEMVE06665
OG0001078	MOUSE14310, MOUSE17245, MOUSE27022, MOUSE27027	NEMVE21841, NEMVE03024
OG0001079	MOUSE31079, MOUSE31080, MOUSE39091, MOUSE53562	NEMVE10902
OG0001080	MOUSE50489, MOUSE50488, MOUSE50490	NEMVE25549
OG0001080	MOUSE43745, MOUSE32058, MOUSE32057, MOUSE32055, MOUSE32056, MOUSE43743	NEMVE24155
OG0001080	MOUSE43744	NEMVE20880
OG0001081	MOUSE44218, MOUSE44217	NEMVE14063
OG0001082	MOUSE22504, MOUSE22503, MOUSE14725, MOUSE14727, MOUSE14726	NEMVE13496
OG0001083	MOUSE40227, MOUSE00912, MOUSE00913, MOUSE19180, MOUSE12820, MOUSE12819, MOUSE40225, MOUSE40226	NEMVE07865
OG0001084	MOUSE06940, MOUSE06941	NEMVE15577, NEMVE10374, NEMVE06345
OG0001085	MOUSE40824, MOUSE40823, MOUSE40825, MOUSE40826, MOUSE40827, MOUSE40829, MOUSE53553, MOUSE53556, MOUSE53552, MOUSE53551, MOUSE39040, MOUSE39039, MOUSE18292, MOUSE18283, MOUSE18291, MOUSE18285	NEMVE23730
OG0001086	MOUSE43391, MOUSE43393, MOUSE43392, MOUSE43390, MOUSE43394, MOUSE43395, MOUSE07544, MOUSE07546, MOUSE07547, MOUSE07548, MOUSE07550, MOUSE07549, MOUSE07545, MOUSE20197, MOUSE20198, MOUSE20199	NEMVE21870
OG0001088	MOUSE07723, MOUSE07722, MOUSE07721	NEMVE09696, NEMVE11696
OG0001089	MOUSE43018, MOUSE15947, MOUSE51022, MOUSE51018, MOUSE51017, MOUSE51025, MOUSE51026, MOUSE51019, MOUSE51023, MOUSE51024, MOUSE51021, MOUSE51020, MOUSE51016, MOUSE15944, MOUSE15946, MOUSE15943, MOUSE15942, MOUSE15945	NEMVE21830
OG0001091	MOUSE26429, MOUSE05169, MOUSE38963, MOUSE38962, MOUSE38960, MOUSE38961, MOUSE26427, MOUSE26428, MOUSE26425, MOUSE05170, MOUSE26426	NEMVE05727
OG0001092	MOUSE30127	NEMVE00964, NEMVE07353
OG0001093	MOUSE38937, MOUSE38936, MOUSE38933, MOUSE38940, MOUSE38938, MOUSE38934, MOUSE38935, MOUSE38932, MOUSE38939, MOUSE05160, MOUSE05161	NEMVE01792
OG0001095	MOUSE23369, MOUSE23364, MOUSE02408, MOUSE02419, MOUSE02417, MOUSE02410, MOUSE02413, MOUSE02415, MOUSE02412, MOUSE02418, MOUSE23367, MOUSE23365, MOUSE23371, MOUSE23370, MOUSE23366, MOUSE53105, MOUSE53107, MOUSE53109, MOUSE53106, MOUSE53110, MOUSE23368	NEMVE24881
OG0001101	MOUSE41244, MOUSE41246, MOUSE41245, MOUSE41243	NEMVE14957
OG0001101	MOUSE23592, MOUSE23591, MOUSE55171	NEMVE01007
OG0001102	MOUSE28026, MOUSE28027	NEMVE01649
OG0001102	MOUSE20453	NEMVE08655, NEMVE08649, NEMVE13238, NEMVE19915, NEMVE07408
OG0001103	MOUSE00149, MOUSE29284, MOUSE29285	NEMVE05814
OG0001104	MOUSE27676, MOUSE27677	NEMVE04017, NEMVE06719
OG0001104	MOUSE13548, MOUSE34311, MOUSE34309, MOUSE34310, MOUSE35692, MOUSE35691, MOUSE35688, MOUSE35687, MOUSE35689, MOUSE35690	NEMVE25846
OG0001105	MOUSE30015, MOUSE30017, MOUSE30016	NEMVE13446
OG0001105	MOUSE28297	NEMVE00247, NEMVE17686, NEMVE17688
OG0001106	MOUSE44590, MOUSE44591	NEMVE10844, NEMVE10846
OG0001107	MOUSE54131, MOUSE54133, MOUSE54132, MOUSE54134, MOUSE47567, MOUSE47571, MOUSE47570, MOUSE47568, MOUSE47573, MOUSE47572, MOUSE47564, MOUSE47565, MOUSE47569, MOUSE47562, MOUSE47563, MOUSE47566	NEMVE00952
OG0001108	MOUSE14807	NEMVE22820
OG0001108	MOUSE38129, MOUSE38128	NEMVE03343
OG0001109	MOUSE06082, MOUSE06085, MOUSE06084, MOUSE36088, MOUSE36087	NEMVE17631
OG0001110	MOUSE31269, MOUSE31270, MOUSE31274, MOUSE31267, MOUSE31276, MOUSE31268, MOUSE31272, MOUSE31273, MOUSE31271, MOUSE31275, MOUSE25541, MOUSE25546, MOUSE25545, MOUSE25543, MOUSE25544, MOUSE25542	NEMVE25055, NEMVE25054
OG0001111	MOUSE12418, MOUSE12417, MOUSE12423, MOUSE12422, MOUSE12421, MOUSE12419, MOUSE12420	NEMVE17909, NEMVE18987
OG0001111	MOUSE34062, MOUSE48399	NEMVE05284
OG0001112	MOUSE23123, MOUSE23122, MOUSE13097, MOUSE54032	NEMVE18988
OG0001113	MOUSE14213	NEMVE11789, NEMVE13858
OG0001113	MOUSE00908, MOUSE52286	NEMVE14477
OG0001113	MOUSE06432	NEMVE22434
OG0001114	MOUSE51574, MOUSE51573, MOUSE30316, MOUSE30317, MOUSE51577, MOUSE51576, MOUSE51579, MOUSE51580, MOUSE51575, MOUSE51581, MOUSE30318	NEMVE13059
OG0001116	MOUSE26174, MOUSE05315	NEMVE14342
OG0001116	MOUSE25078, MOUSE05311, MOUSE05316, MOUSE05318, MOUSE05312, MOUSE05314, MOUSE05321, MOUSE05317, MOUSE05313, MOUSE05320, MOUSE05310	NEMVE04905, NEMVE14341
OG0001117	MOUSE23208, MOUSE23207, MOUSE28243, MOUSE28244, MOUSE28247, MOUSE28248, MOUSE28246, MOUSE28245, MOUSE12315, MOUSE12314, MOUSE12312, MOUSE12313	NEMVE24913, NEMVE17548
OG0001118	MOUSE45852, MOUSE45851, MOUSE45853, MOUSE45850, MOUSE45849, MOUSE45848, MOUSE14438, MOUSE14435, MOUSE14436, MOUSE45854, MOUSE45855, MOUSE14440, MOUSE14437	NEMVE08045
OG0001119	MOUSE52034, MOUSE52033, MOUSE52035, MOUSE13851, MOUSE13853, MOUSE13852, MOUSE13854	NEMVE00905, NEMVE12022
OG0001120	MOUSE03485, MOUSE00736, MOUSE53859, MOUSE36808	NEMVE18269, NEMVE18537
OG0001121	MOUSE16615, MOUSE01274, MOUSE01275, MOUSE16614, MOUSE16616, MOUSE01272	NEMVE15144
OG0001123	MOUSE52428, MOUSE52427, MOUSE52429	NEMVE08367, NEMVE00548
OG0001123	MOUSE52430	NEMVE07317
OG0001123	MOUSE10104, MOUSE10103, MOUSE10102, MOUSE10101	NEMVE07298
OG0001124	MOUSE06528, MOUSE06527, MOUSE06526	NEMVE14042
OG0001124	MOUSE53543, MOUSE53521, MOUSE53533, MOUSE53525, MOUSE53529, MOUSE53532, MOUSE53519, MOUSE53542, MOUSE53524, MOUSE53530, MOUSE53536, MOUSE53535, MOUSE53523, MOUSE53527, MOUSE53528, MOUSE53534, MOUSE53522, MOUSE53544, MOUSE53545, MOUSE53546	NEMVE14572
OG0001126	MOUSE04156, MOUSE04157	NEMVE21706
OG0001127	MOUSE22299, MOUSE22300, MOUSE22301, MOUSE49977, MOUSE49964, MOUSE49979, MOUSE49972, MOUSE49973, MOUSE49971, MOUSE49980, MOUSE49963, MOUSE49976, MOUSE49975, MOUSE49974, MOUSE49968, MOUSE49962, MOUSE49961, MOUSE49970, MOUSE49965, MOUSE49969, MOUSE49978, MOUSE49981	NEMVE23507
OG0001128	MOUSE24638, MOUSE24639, MOUSE24641, MOUSE24642, MOUSE24646, MOUSE24644, MOUSE24640, MOUSE24645, MOUSE24643	NEMVE07541
OG0001129	MOUSE49537, MOUSE49538, MOUSE32104, MOUSE08951, MOUSE08950	NEMVE22537, NEMVE23490, NEMVE23489
OG0001130	MOUSE23183, MOUSE23181, MOUSE23179, MOUSE23180, MOUSE23178, MOUSE23182	NEMVE07218, NEMVE21964, NEMVE14047
OG0001131	MOUSE03057, MOUSE03058, MOUSE03056, MOUSE03059, MOUSE03060, MOUSE03061, MOUSE08073, MOUSE08072	NEMVE02265
OG0001133	MOUSE17666, MOUSE17665	NEMVE17872
OG0001133	MOUSE10581	NEMVE22361
OG0001134	MOUSE45585, MOUSE45586, MOUSE45589, MOUSE45473, MOUSE45481, MOUSE45482, MOUSE45588, MOUSE45587, MOUSE06312, MOUSE06311, MOUSE38657	NEMVE10572
OG0001135	MOUSE05096, MOUSE05095, MOUSE05097, MOUSE05098	NEMVE08713, NEMVE13852
OG0001136	MOUSE01519, MOUSE01518, MOUSE19515, MOUSE51766, MOUSE51761, MOUSE51768, MOUSE51767, MOUSE51763, MOUSE51762	NEMVE14986
OG0001138	MOUSE02531, MOUSE02530, MOUSE08511, MOUSE08510, MOUSE08509, MOUSE52336, MOUSE52335	NEMVE25571, NEMVE23415, NEMVE15977
OG0001139	MOUSE17307, MOUSE17308	NEMVE14993
OG0001139	MOUSE14337, MOUSE14338, MOUSE47081, MOUSE47084, MOUSE47083, MOUSE47085	NEMVE07868
OG0001140	MOUSE06768	NEMVE12189
OG0001140	MOUSE06770	NEMVE00314
