Orthogroup	MOUSE	SCHMD
OG0000703	MOUSE31673	SCHMD16900, SCHMD27672, SCHMD19745, SCHMD27562, SCHMD13056, SCHMD14155, SCHMD02015, SCHMD21390, SCHMD19872, SCHMD13000, SCHMD28016, SCHMD02951, SCHMD22472, SCHMD05181, SCHMD19746, SCHMD15814, SCHMD02952, SCHMD15683
OG0000703	MOUSE09475, MOUSE09482, MOUSE09477, MOUSE09474, MOUSE09481, MOUSE09478, MOUSE09480, MOUSE31672, MOUSE31674, MOUSE31671, MOUSE31670	SCHMD03880
OG0000706	MOUSE00499, MOUSE00494, MOUSE00493, MOUSE00502, MOUSE00496, MOUSE00495, MOUSE23468, MOUSE23467, MOUSE23472, MOUSE23471, MOUSE23466, MOUSE23470, MOUSE23469, MOUSE23473	SCHMD26259, SCHMD27843
OG0000708	MOUSE31390, MOUSE31389	SCHMD25653
OG0000709	MOUSE20103, MOUSE18127, MOUSE18128, MOUSE18129, MOUSE18130, MOUSE18131, MOUSE18132, MOUSE18134, MOUSE18135, MOUSE18136, MOUSE18133, MOUSE18137, MOUSE18138, MOUSE18140, MOUSE18141	SCHMD18124
OG0000709	MOUSE18139	SCHMD21257
OG0000711	MOUSE44352, MOUSE02178	SCHMD16082
OG0000711	MOUSE47225, MOUSE47226	SCHMD02785
OG0000712	MOUSE03200, MOUSE03199, MOUSE53971, MOUSE53972, MOUSE45072, MOUSE45069, MOUSE45071, MOUSE48221, MOUSE48220, MOUSE48222	SCHMD23626
OG0000713	MOUSE04057, MOUSE54792, MOUSE54791, MOUSE55213, MOUSE55214, MOUSE55212	SCHMD17095
OG0000716	MOUSE55256, MOUSE55255, MOUSE55258, MOUSE55260, MOUSE55261, MOUSE55262, MOUSE55257, MOUSE55259, MOUSE18073	SCHMD04462, SCHMD22884, SCHMD19144, SCHMD07207, SCHMD17723
OG0000717	MOUSE24202, MOUSE24200, MOUSE24201, MOUSE25900, MOUSE25903, MOUSE25902, MOUSE25901, MOUSE17621, MOUSE25898, MOUSE17620, MOUSE17618, MOUSE17619, MOUSE25897, MOUSE48390, MOUSE48391, MOUSE48394, MOUSE48392, MOUSE48393, MOUSE25899	SCHMD26760, SCHMD12553
OG0000718	MOUSE30953, MOUSE43056, MOUSE43055, MOUSE43054, MOUSE24376, MOUSE24375, MOUSE24369, MOUSE43537, MOUSE43538, MOUSE12486	SCHMD24218, SCHMD05666, SCHMD25000, SCHMD11831
OG0000721	MOUSE02762, MOUSE02761, MOUSE02760, MOUSE02765, MOUSE02764, MOUSE54553, MOUSE51287, MOUSE16557, MOUSE51288, MOUSE02763	SCHMD15260, SCHMD29752, SCHMD09543
OG0000722	MOUSE27353, MOUSE08639, MOUSE20386, MOUSE27055, MOUSE39386	SCHMD24922, SCHMD24923, SCHMD24635, SCHMD22124
OG0000724	MOUSE18210, MOUSE18209, MOUSE27554, MOUSE27553, MOUSE27552, MOUSE27551	SCHMD07525, SCHMD08666
OG0000725	MOUSE31731, MOUSE31730, MOUSE31732	SCHMD11698
OG0000725	MOUSE41865, MOUSE41864, MOUSE41867, MOUSE41868, MOUSE45804, MOUSE45803, MOUSE45805	SCHMD23954
OG0000725	MOUSE27201, MOUSE27205, MOUSE27203, MOUSE27202, MOUSE27206, MOUSE27207, MOUSE27204	SCHMD14819, SCHMD12919
OG0000730	MOUSE08715, MOUSE23276, MOUSE02405, MOUSE02406	SCHMD22617, SCHMD17182, SCHMD08320, SCHMD02965
OG0000731	MOUSE15688, MOUSE15689, MOUSE15687, MOUSE15694, MOUSE15693, MOUSE15695, MOUSE15691, MOUSE15692, MOUSE55085, MOUSE55084, MOUSE55086, MOUSE55083, MOUSE12888, MOUSE12887, MOUSE38373, MOUSE38370, MOUSE38371, MOUSE38367	SCHMD03063
OG0000732	MOUSE31018, MOUSE55029, MOUSE23136, MOUSE23139, MOUSE23138, MOUSE23137, MOUSE23135	SCHMD09651
OG0000732	MOUSE50346, MOUSE33183	SCHMD05249
OG0000733	MOUSE07355, MOUSE07356, MOUSE20245, MOUSE24781	SCHMD28225, SCHMD15626
OG0000733	MOUSE08117	SCHMD13904
OG0000733	MOUSE08121, MOUSE08120, MOUSE08119, MOUSE08118, MOUSE18227	SCHMD02163
OG0000734	MOUSE31240	SCHMD11583, SCHMD14768, SCHMD09332, SCHMD02937, SCHMD07242, SCHMD04118, SCHMD01513, SCHMD07878, SCHMD24039, SCHMD13942, SCHMD22315, SCHMD14455, SCHMD27004, SCHMD20850, SCHMD13509, SCHMD10084, SCHMD08723, SCHMD14485, SCHMD25295, SCHMD26519, SCHMD04103, SCHMD26949, SCHMD09270, SCHMD20387, SCHMD03648, SCHMD09683, SCHMD10543, SCHMD08018, SCHMD27636, SCHMD18698, SCHMD07342, SCHMD09685, SCHMD09684, SCHMD15319, SCHMD24961, SCHMD26040, SCHMD09274, SCHMD04119
OG0000735	MOUSE00416, MOUSE00415, MOUSE00410, MOUSE00414, MOUSE00409, MOUSE00411, MOUSE00413, MOUSE00412, MOUSE28517, MOUSE28516, MOUSE13496, MOUSE13495, MOUSE13497, MOUSE13498, MOUSE13499	SCHMD07620
OG0000737	MOUSE46618	SCHMD13872, SCHMD06037, SCHMD06036, SCHMD13871, SCHMD06038, SCHMD26765, SCHMD20700, SCHMD19426, SCHMD19425, SCHMD16484, SCHMD24684
OG0000740	MOUSE28205, MOUSE13925	SCHMD13587
OG0000748	MOUSE05204	SCHMD06828, SCHMD06887, SCHMD11059, SCHMD09770
OG0000749	MOUSE42798, MOUSE42797	SCHMD08684, SCHMD14779, SCHMD14096, SCHMD26558, SCHMD10778, SCHMD24530, SCHMD14780
OG0000751	MOUSE39754, MOUSE39752, MOUSE15496, MOUSE15495	SCHMD12293, SCHMD13329, SCHMD18701, SCHMD04693, SCHMD17218, SCHMD17217, SCHMD03838, SCHMD03689, SCHMD13065, SCHMD14600, SCHMD18030, SCHMD13408
OG0000752	MOUSE21464	SCHMD03946
OG0000752	MOUSE55217, MOUSE55218	SCHMD12645
OG0000753	MOUSE27739, MOUSE27738	SCHMD14739
OG0000753	MOUSE24295, MOUSE24293, MOUSE24296, MOUSE24294, MOUSE50919, MOUSE50920, MOUSE50917	SCHMD19308, SCHMD17874
OG0000757	MOUSE06107, MOUSE06110, MOUSE01204, MOUSE01202, MOUSE01200, MOUSE01207, MOUSE01201, MOUSE01203, MOUSE06109, MOUSE06108, MOUSE01205, MOUSE46249, MOUSE46248	SCHMD13979, SCHMD10753, SCHMD18486
OG0000758	MOUSE34388, MOUSE13666, MOUSE13663, MOUSE13662, MOUSE13667, MOUSE13664, MOUSE13661, MOUSE13658, MOUSE13659, MOUSE13668, MOUSE13665, MOUSE13660, MOUSE13669, MOUSE06777, MOUSE06779, MOUSE06780, MOUSE06778	SCHMD07281
OG0000759	MOUSE35555	SCHMD22205
OG0000759	MOUSE26272, MOUSE26275, MOUSE26277, MOUSE26279, MOUSE26278, MOUSE35556, MOUSE35553, MOUSE35552, MOUSE35554, MOUSE23327, MOUSE23328	SCHMD21958
OG0000760	MOUSE11237	SCHMD20920, SCHMD16709
OG0000762	MOUSE39900	SCHMD08577, SCHMD18827
OG0000762	MOUSE14916, MOUSE14919, MOUSE14917, MOUSE26582, MOUSE26581, MOUSE26580, MOUSE26579, MOUSE26583, MOUSE39898, MOUSE39901, MOUSE39903, MOUSE39902, MOUSE39899, MOUSE39896, MOUSE39897	SCHMD18828
OG0000763	MOUSE30407, MOUSE19448, MOUSE19447, MOUSE48537, MOUSE48539, MOUSE48536, MOUSE48535, MOUSE48538, MOUSE19449, MOUSE48540, MOUSE42999, MOUSE42998	SCHMD13003, SCHMD01910, SCHMD15104, SCHMD01491, SCHMD17696, SCHMD22978, SCHMD08138, SCHMD27445, SCHMD08139, SCHMD14202
OG0000764	MOUSE33207	SCHMD28742, SCHMD23511
OG0000764	MOUSE25824, MOUSE25825	SCHMD24244, SCHMD21888, SCHMD26666, SCHMD07034, SCHMD08608, SCHMD28689, SCHMD25300, SCHMD02459, SCHMD25681, SCHMD09369, SCHMD23779, SCHMD28766, SCHMD27828, SCHMD23678, SCHMD14324, SCHMD10398, SCHMD24976, SCHMD27971, SCHMD13312, SCHMD23780, SCHMD06680, SCHMD23827, SCHMD00480, SCHMD05233, SCHMD03304, SCHMD14872, SCHMD00676, SCHMD21663, SCHMD05848, SCHMD29675, SCHMD28783, SCHMD06421, SCHMD26848, SCHMD12846
OG0000764	MOUSE31888	SCHMD16330
OG0000765	MOUSE30890, MOUSE30889, MOUSE37512, MOUSE37513	SCHMD21723, SCHMD22880
OG0000765	MOUSE30891	SCHMD29001
OG0000766	MOUSE30247, MOUSE30246, MOUSE30245, MOUSE01575, MOUSE01574, MOUSE01576, MOUSE19531	SCHMD07087
OG0000767	MOUSE27536, MOUSE27535	SCHMD28206, SCHMD09263, SCHMD04586
OG0000768	MOUSE08554, MOUSE08553, MOUSE08555, MOUSE11226, MOUSE11225, MOUSE11227	SCHMD13165, SCHMD22067
OG0000772	MOUSE32505, MOUSE32506, MOUSE32503	SCHMD07550, SCHMD11404
OG0000774	MOUSE31336, MOUSE31335, MOUSE31334	SCHMD13406
OG0000774	MOUSE53571, MOUSE53570, MOUSE53576, MOUSE53579	SCHMD04364
OG0000776	MOUSE29664, MOUSE48168, MOUSE53845	SCHMD10487
OG0000777	MOUSE00254	SCHMD19863
OG0000777	MOUSE06131	SCHMD04488
OG0000777	MOUSE06130, MOUSE06129, MOUSE06128	SCHMD17125
OG0000778	MOUSE22907, MOUSE22908, MOUSE22909, MOUSE03991, MOUSE39634, MOUSE39635, MOUSE29903, MOUSE29902, MOUSE35020	SCHMD17919, SCHMD25026, SCHMD16452, SCHMD20513
OG0000780	MOUSE07684	SCHMD13998, SCHMD18889
OG0000781	MOUSE32206, MOUSE32205	SCHMD21689, SCHMD23281, SCHMD14588, SCHMD16494
OG0000782	MOUSE30858, MOUSE30861	SCHMD18810, SCHMD13192, SCHMD14543
OG0000782	MOUSE01601, MOUSE19835, MOUSE19834, MOUSE19833, MOUSE30860, MOUSE30856, MOUSE30859, MOUSE30857, MOUSE51653, MOUSE51654, MOUSE51651	SCHMD01655, SCHMD14818
OG0000784	MOUSE22854, MOUSE22853, MOUSE22852, MOUSE03597, MOUSE29436, MOUSE29124	SCHMD19992, SCHMD27743
OG0000787	MOUSE47961, MOUSE47965, MOUSE47964, MOUSE47963, MOUSE47962, MOUSE09494, MOUSE09492, MOUSE09493, MOUSE09491, MOUSE00783, MOUSE00784, MOUSE31692, MOUSE31693, MOUSE31691	SCHMD22606, SCHMD20069, SCHMD13786
OG0000788	MOUSE27064, MOUSE39394	SCHMD11830, SCHMD18844
OG0000788	MOUSE32425, MOUSE32424, MOUSE32423, MOUSE30472, MOUSE01590	SCHMD06628
OG0000791	MOUSE35522	SCHMD20330, SCHMD18169, SCHMD20086
OG0000791	MOUSE35519, MOUSE35517, MOUSE35518, MOUSE35520, MOUSE35521, MOUSE14635, MOUSE22542, MOUSE22544, MOUSE22543	SCHMD12437
OG0000792	MOUSE26527	SCHMD14957, SCHMD14636, SCHMD23892
OG0000793	MOUSE01510, MOUSE01514, MOUSE01512, MOUSE51437, MOUSE51438	SCHMD22428, SCHMD23980, SCHMD15261, SCHMD00689, SCHMD02469, SCHMD09415, SCHMD08316
OG0000794	MOUSE03809, MOUSE03810, MOUSE03812, MOUSE03813, MOUSE19985, MOUSE19991, MOUSE19988	SCHMD10042
OG0000796	MOUSE45184, MOUSE45185, MOUSE54592	SCHMD27129, SCHMD07584, SCHMD10018
OG0000796	MOUSE45186	SCHMD18172, SCHMD23449
OG0000796	MOUSE04220	SCHMD23450
OG0000797	MOUSE03561	SCHMD16320
OG0000801	MOUSE51551, MOUSE51550, MOUSE51549, MOUSE19777, MOUSE19776	SCHMD09238
OG0000802	MOUSE31955, MOUSE31954, MOUSE48794, MOUSE31846, MOUSE01638, MOUSE42681, MOUSE42680, MOUSE11667, MOUSE11668, MOUSE13170, MOUSE13169	SCHMD10199
OG0000803	MOUSE45922	SCHMD13498, SCHMD13620, SCHMD26336
OG0000809	MOUSE48492, MOUSE48491	SCHMD21850, SCHMD00682
OG0000810	MOUSE33430	SCHMD03113
OG0000810	MOUSE15700, MOUSE53153, MOUSE53154, MOUSE53158	SCHMD06140, SCHMD03114
OG0000814	MOUSE02913	SCHMD03060, SCHMD13676
OG0000818	MOUSE14046	SCHMD25196, SCHMD21411
OG0000819	MOUSE27150	SCHMD03878
OG0000820	MOUSE14548, MOUSE14550, MOUSE14549, MOUSE14551	SCHMD19766
OG0000824	MOUSE03815, MOUSE03814, MOUSE03816, MOUSE03818, MOUSE03817	SCHMD07823, SCHMD24327, SCHMD27575, SCHMD22375
OG0000826	MOUSE28518, MOUSE28520, MOUSE28521, MOUSE28522, MOUSE28519	SCHMD01695, SCHMD01697, SCHMD12736, SCHMD10190, SCHMD02301, SCHMD07205, SCHMD20648, SCHMD19536, SCHMD29770
OG0000828	MOUSE52206, MOUSE19456, MOUSE19457	SCHMD08298
OG0000828	MOUSE37921, MOUSE37922, MOUSE37919	SCHMD08624
OG0000829	MOUSE51529, MOUSE19495	SCHMD27680, SCHMD26916
OG0000834	MOUSE05405	SCHMD11223, SCHMD19332, SCHMD16052
OG0000835	MOUSE00540, MOUSE00541, MOUSE00539, MOUSE00542	SCHMD14959
OG0000836	MOUSE51876, MOUSE51875, MOUSE51874	SCHMD23242
OG0000837	MOUSE52076, MOUSE29173	SCHMD09523, SCHMD05554, SCHMD04696, SCHMD00842, SCHMD03083
OG0000842	MOUSE49622, MOUSE49623, MOUSE09830, MOUSE23188, MOUSE23187, MOUSE18508, MOUSE23238, MOUSE05563, MOUSE39641	SCHMD01343
OG0000844	MOUSE34589, MOUSE34590, MOUSE34593, MOUSE34592, MOUSE15465, MOUSE15466, MOUSE15467, MOUSE39588, MOUSE39585, MOUSE39586, MOUSE39589, MOUSE39587, MOUSE39590, MOUSE39591, MOUSE34591, MOUSE39592	SCHMD01709
OG0000847	MOUSE15209, MOUSE46317, MOUSE46313, MOUSE46314, MOUSE46315, MOUSE46316	SCHMD03587
OG0000848	MOUSE29791, MOUSE48738, MOUSE48739, MOUSE09586	SCHMD03599
OG0000848	MOUSE51667, MOUSE19811, MOUSE19814, MOUSE19815, MOUSE19810, MOUSE51669	SCHMD06160
OG0000849	MOUSE31000	SCHMD25311
OG0000851	MOUSE21881, MOUSE21886, MOUSE21884, MOUSE21885, MOUSE21878, MOUSE21877, MOUSE21880, MOUSE21879, MOUSE21883, MOUSE21882, MOUSE48757, MOUSE48751, MOUSE48756, MOUSE48754, MOUSE48752, MOUSE48755	SCHMD21876, SCHMD17205
OG0000853	MOUSE07054, MOUSE07053, MOUSE42661	SCHMD13348, SCHMD11642, SCHMD05466, SCHMD10578
OG0000855	MOUSE04905, MOUSE04906	SCHMD29481, SCHMD01902, SCHMD15557
OG0000856	MOUSE20006, MOUSE20005, MOUSE20004, MOUSE20003	SCHMD05219, SCHMD06062, SCHMD17590
OG0000857	MOUSE41555, MOUSE41556	SCHMD04156, SCHMD10826
OG0000858	MOUSE39438	SCHMD08601
OG0000858	MOUSE17374, MOUSE50676, MOUSE50675	SCHMD22095, SCHMD27060
OG0000868	MOUSE55230, MOUSE08090	SCHMD05358
OG0000868	MOUSE48095	SCHMD05359
OG0000869	MOUSE13194, MOUSE13195	SCHMD07449
OG0000871	MOUSE21316, MOUSE21314	SCHMD06938
OG0000872	MOUSE19959, MOUSE14433, MOUSE19954, MOUSE19956, MOUSE19957, MOUSE19958, MOUSE19955, MOUSE42241, MOUSE42242, MOUSE42239, MOUSE42240, MOUSE14434	SCHMD07553
OG0000873	MOUSE48613	SCHMD02656, SCHMD05830
OG0000873	MOUSE32377, MOUSE48614	SCHMD13026
OG0000873	MOUSE51970	SCHMD17269
OG0000875	MOUSE13832, MOUSE13831, MOUSE13833, MOUSE13830, MOUSE13824, MOUSE13829, MOUSE13825, MOUSE13828	SCHMD10815
OG0000875	MOUSE22319, MOUSE22321	SCHMD17655, SCHMD18552, SCHMD00030, SCHMD10336
OG0000876	MOUSE01141	SCHMD01530
OG0000876	MOUSE01145	SCHMD17201, SCHMD26977, SCHMD17199, SCHMD26978, SCHMD17200
OG0000878	MOUSE20493	SCHMD18560
OG0000879	MOUSE14580, MOUSE14582, MOUSE47637, MOUSE00274, MOUSE21746, MOUSE15959, MOUSE15976, MOUSE15492	SCHMD10640
OG0000880	MOUSE40833, MOUSE40836, MOUSE40842, MOUSE40832, MOUSE40837, MOUSE40831, MOUSE40841, MOUSE40838, MOUSE40839, MOUSE40843, MOUSE40840, MOUSE40835, MOUSE40834, MOUSE18302, MOUSE18299, MOUSE18300, MOUSE18301, MOUSE39028, MOUSE39023, MOUSE39027, MOUSE53503	SCHMD03718
OG0000881	MOUSE17831, MOUSE17832, MOUSE17830, MOUSE17829, MOUSE17828, MOUSE17827	SCHMD04314, SCHMD09365, SCHMD01117, SCHMD08924
OG0000881	MOUSE04654, MOUSE04657, MOUSE04656	SCHMD25283, SCHMD17841, SCHMD18605, SCHMD20926, SCHMD25363
OG0000887	MOUSE28796, MOUSE28797, MOUSE28798, MOUSE28795, MOUSE28792, MOUSE28789, MOUSE28790, MOUSE28793, MOUSE28794, MOUSE28791	SCHMD27495
OG0000887	MOUSE28799	SCHMD18001
OG0000888	MOUSE30870, MOUSE01355	SCHMD01724
OG0000888	MOUSE30871	SCHMD23123
OG0000889	MOUSE18628	SCHMD00830, SCHMD04643
OG0000889	MOUSE26653, MOUSE46319, MOUSE46321, MOUSE04967, MOUSE15211, MOUSE15213, MOUSE15214, MOUSE15212, MOUSE46320, MOUSE26654	SCHMD02281, SCHMD02130
OG0000890	MOUSE16345, MOUSE16349	SCHMD09911
OG0000890	MOUSE16355, MOUSE16354, MOUSE06606, MOUSE06607, MOUSE06608, MOUSE16353, MOUSE16343, MOUSE16347, MOUSE16348, MOUSE16341, MOUSE16346, MOUSE16342, MOUSE16351, MOUSE16344	SCHMD19625, SCHMD11513, SCHMD25560, SCHMD16414
OG0000894	MOUSE48713, MOUSE48715, MOUSE48714	SCHMD05374, SCHMD26280
OG0000894	MOUSE14107, MOUSE14108, MOUSE38541, MOUSE38542	SCHMD11594, SCHMD05061
OG0000896	MOUSE47301, MOUSE47302, MOUSE47299, MOUSE47300	SCHMD08034
OG0000896	MOUSE24632, MOUSE24633, MOUSE20216, MOUSE20214, MOUSE20218, MOUSE20215, MOUSE20219, MOUSE20220, MOUSE20217, MOUSE20212, MOUSE20213	SCHMD03189
OG0000897	MOUSE14410, MOUSE14409, MOUSE14408	SCHMD05382
OG0000899	MOUSE45307	SCHMD22285
OG0000899	MOUSE45306, MOUSE45295, MOUSE45299, MOUSE45300, MOUSE36251, MOUSE19363	SCHMD13459
OG0000904	MOUSE36682, MOUSE36683, MOUSE36685, MOUSE36684	SCHMD03539
OG0000906	MOUSE25435, MOUSE25434	SCHMD01676
OG0000907	MOUSE31312, MOUSE31311	SCHMD03616
OG0000907	MOUSE09807, MOUSE09808, MOUSE09809	SCHMD11090
OG0000908	MOUSE21442, MOUSE48364	SCHMD03334, SCHMD11293
OG0000908	MOUSE48365	SCHMD14013
OG0000909	MOUSE16370, MOUSE18098, MOUSE18107, MOUSE18106, MOUSE18102, MOUSE18103, MOUSE18101, MOUSE18099, MOUSE18100, MOUSE18104, MOUSE16369, MOUSE16368, MOUSE16367, MOUSE34339, MOUSE34338	SCHMD05694, SCHMD03729
OG0000911	MOUSE02433, MOUSE02434, MOUSE05532, MOUSE05533, MOUSE22069, MOUSE22072	SCHMD02390, SCHMD02388
OG0000913	MOUSE03584, MOUSE03581, MOUSE03586, MOUSE03585, MOUSE50198, MOUSE50196, MOUSE50197	SCHMD10820, SCHMD18663
OG0000914	MOUSE17296, MOUSE35445, MOUSE35444	SCHMD13078
OG0000915	MOUSE54287, MOUSE54285, MOUSE54291, MOUSE54289, MOUSE54283, MOUSE54284, MOUSE54288, MOUSE54292, MOUSE54286, MOUSE02322, MOUSE40925, MOUSE40924, MOUSE23439, MOUSE23438, MOUSE23437, MOUSE23435, MOUSE02320, MOUSE02321	SCHMD14220
OG0000915	MOUSE54293	SCHMD09039, SCHMD01684
OG0000921	MOUSE23301, MOUSE23303, MOUSE23302, MOUSE23300	SCHMD07722
OG0000921	MOUSE23881, MOUSE23879, MOUSE23880	SCHMD16275
OG0000921	MOUSE23882	SCHMD23625
OG0000925	MOUSE55432, MOUSE24719, MOUSE53700	SCHMD00501, SCHMD05937
OG0000926	MOUSE17360	SCHMD13544, SCHMD06558
OG0000929	MOUSE38764, MOUSE00532, MOUSE34224, MOUSE34223	SCHMD00375, SCHMD08839
OG0000931	MOUSE27857	SCHMD02356
OG0000932	MOUSE37684, MOUSE38275, MOUSE38276, MOUSE38278, MOUSE38274, MOUSE38277	SCHMD13730
OG0000934	MOUSE12520, MOUSE12519, MOUSE12516, MOUSE12517, MOUSE00090	SCHMD07111, SCHMD08216
OG0000935	MOUSE47477, MOUSE47478, MOUSE44606, MOUSE44607, MOUSE30728, MOUSE30730, MOUSE30727, MOUSE30729, MOUSE14697, MOUSE14695, MOUSE14698, MOUSE14700, MOUSE14696, MOUSE14699, MOUSE26344, MOUSE26343	SCHMD18664
OG0000943	MOUSE41856	SCHMD26109
OG0000944	MOUSE12531, MOUSE12532, MOUSE48058, MOUSE54692	SCHMD15750
OG0000945	MOUSE11943, MOUSE49368, MOUSE10031	SCHMD15214, SCHMD06612, SCHMD06319
OG0000946	MOUSE45824, MOUSE23647, MOUSE01803, MOUSE01802	SCHMD09426
OG0000947	MOUSE26132, MOUSE53230, MOUSE53231, MOUSE53229, MOUSE53163, MOUSE53164	SCHMD24447
OG0000949	MOUSE25328, MOUSE25327, MOUSE17718, MOUSE16365, MOUSE16366, MOUSE34340, MOUSE18097	SCHMD10151, SCHMD29084, SCHMD29079, SCHMD02016
OG0000950	MOUSE05009, MOUSE05008, MOUSE05006, MOUSE05007, MOUSE05010, MOUSE37986, MOUSE37985, MOUSE37987, MOUSE37984	SCHMD25017
OG0000951	MOUSE00218, MOUSE00217, MOUSE00216	SCHMD20208
OG0000954	MOUSE22495, MOUSE22494, MOUSE22493	SCHMD05029, SCHMD08968, SCHMD13763
OG0000954	MOUSE17098, MOUSE17097, MOUSE17096, MOUSE16993, MOUSE16991, MOUSE16987, MOUSE16992, MOUSE16989, MOUSE16988, MOUSE16990	SCHMD05469, SCHMD02974
OG0000955	MOUSE32358	SCHMD06645, SCHMD03890, SCHMD04591
OG0000957	MOUSE50366, MOUSE50364, MOUSE50368, MOUSE50362, MOUSE50363, MOUSE50371, MOUSE50369, MOUSE50367, MOUSE50365, MOUSE50370, MOUSE26047, MOUSE26048	SCHMD18022
OG0000957	MOUSE01613, MOUSE01614, MOUSE13268, MOUSE13267, MOUSE13270	SCHMD18023
OG0000960	MOUSE49548, MOUSE49547, MOUSE49545, MOUSE49546, MOUSE13626, MOUSE13629, MOUSE13627, MOUSE13628	SCHMD05680, SCHMD08670, SCHMD05681, SCHMD12110
OG0000963	MOUSE01418, MOUSE01419, MOUSE01420	SCHMD22298, SCHMD11708
OG0000963	MOUSE10592, MOUSE33400	SCHMD04476
OG0000965	MOUSE12247, MOUSE12246	SCHMD22316, SCHMD15133, SCHMD13697, SCHMD12517
OG0000966	MOUSE04816, MOUSE04817, MOUSE04814, MOUSE04815, MOUSE04813, MOUSE04812, MOUSE37774, MOUSE37775	SCHMD00065
OG0000967	MOUSE47762, MOUSE47763	SCHMD11342, SCHMD26265
OG0000967	MOUSE20877	SCHMD05844, SCHMD03950
OG0000969	MOUSE35290	SCHMD15666, SCHMD13228, SCHMD13229, SCHMD15667
OG0000970	MOUSE15310, MOUSE15305	SCHMD05308
OG0000972	MOUSE12807	SCHMD05471
OG0000974	MOUSE03615, MOUSE03614, MOUSE03613	SCHMD24665, SCHMD24853, SCHMD26881
OG0000977	MOUSE24545, MOUSE24544, MOUSE24543	SCHMD24427, SCHMD03391
OG0000978	MOUSE10016, MOUSE10015, MOUSE28748, MOUSE28746, MOUSE28747, MOUSE49417, MOUSE49416, MOUSE27348, MOUSE27347, MOUSE27345, MOUSE27346, MOUSE27349	SCHMD15268, SCHMD25301, SCHMD25194
OG0000979	MOUSE21300, MOUSE21301, MOUSE21299	SCHMD24204, SCHMD01421
OG0000981	MOUSE10265, MOUSE10264, MOUSE19932	SCHMD13908
OG0000982	MOUSE01632, MOUSE01629, MOUSE01628, MOUSE01633, MOUSE30694, MOUSE30693, MOUSE30696, MOUSE30695, MOUSE20747, MOUSE20746	SCHMD08717
OG0000982	MOUSE01635	SCHMD22914
OG0000984	MOUSE10080, MOUSE10081	SCHMD02865
OG0000984	MOUSE23731	SCHMD00646
OG0000987	MOUSE08588	SCHMD03090, SCHMD13202, SCHMD12033, SCHMD17704
OG0000987	MOUSE08591, MOUSE01247	SCHMD13203, SCHMD12032, SCHMD16148, SCHMD13314, SCHMD17705
OG0000988	MOUSE25852, MOUSE25848, MOUSE25676, MOUSE25677, MOUSE25678, MOUSE25675, MOUSE25679	SCHMD00928
OG0000992	MOUSE32207, MOUSE06252, MOUSE32208, MOUSE34367, MOUSE34366, MOUSE34368, MOUSE34369	SCHMD08111
OG0000993	MOUSE22406	SCHMD03348
OG0000994	MOUSE32211, MOUSE32210	SCHMD16610, SCHMD07202, SCHMD11541, SCHMD07203
OG0000994	MOUSE40530, MOUSE40529	SCHMD16602, SCHMD10604
OG0000999	MOUSE44063, MOUSE19949, MOUSE14460	SCHMD16857, SCHMD24576, SCHMD11146, SCHMD08208
OG0001000	MOUSE53658, MOUSE53659, MOUSE54860, MOUSE54857, MOUSE54859, MOUSE54858, MOUSE16553, MOUSE16552, MOUSE16554, MOUSE16556, MOUSE16555	SCHMD22725
OG0001000	MOUSE34230, MOUSE34229	SCHMD28387
OG0001001	MOUSE04043	SCHMD07356
OG0001002	MOUSE52462, MOUSE52461, MOUSE52460, MOUSE43911, MOUSE43913, MOUSE43912, MOUSE27015, MOUSE27017, MOUSE27016	SCHMD17610
OG0001003	MOUSE37949, MOUSE37947, MOUSE37943, MOUSE37952, MOUSE37945, MOUSE37944, MOUSE37946, MOUSE37942, MOUSE37951, MOUSE37948, MOUSE03862, MOUSE03866, MOUSE03863, MOUSE03867, MOUSE03865, MOUSE03864, MOUSE03872, MOUSE03874, MOUSE03875, MOUSE03873, MOUSE03871, MOUSE03869, MOUSE03870, MOUSE03868, MOUSE37953	SCHMD21687, SCHMD24830
OG0001006	MOUSE46159	SCHMD17048, SCHMD11571
OG0001007	MOUSE23775, MOUSE23774, MOUSE25705, MOUSE25704, MOUSE26533, MOUSE26532	SCHMD05810
OG0001008	MOUSE02139, MOUSE44435, MOUSE44436, MOUSE44437	SCHMD04857
OG0001009	MOUSE00156	SCHMD09472
OG0001011	MOUSE44985, MOUSE44984, MOUSE32934, MOUSE32933, MOUSE32932, MOUSE13070	SCHMD16803, SCHMD21485, SCHMD15129, SCHMD01138, SCHMD09256, SCHMD04133, SCHMD16573
OG0001013	MOUSE44308, MOUSE41793, MOUSE15055, MOUSE44307, MOUSE06079	SCHMD14534, SCHMD13659, SCHMD16121, SCHMD28755, SCHMD14533
OG0001015	MOUSE14128, MOUSE14129, MOUSE14127, MOUSE02890, MOUSE02889, MOUSE38510, MOUSE38509, MOUSE38496, MOUSE38508, MOUSE38498, MOUSE38502, MOUSE38497, MOUSE38505	SCHMD06693, SCHMD06692
OG0001016	MOUSE18875, MOUSE18878, MOUSE18877	SCHMD23273, SCHMD15080
OG0001016	MOUSE39644	SCHMD25548, SCHMD21254
OG0001017	MOUSE35529, MOUSE35528, MOUSE14637, MOUSE14636, MOUSE14638	SCHMD04416, SCHMD11368
