Orthogroup	AENJA_ok	DANRE
OG0001182	AENJA_14313	DANRE05777, DANRE10680, DANRE43038, DANRE33939, DANRE12316
OG0001183	AENJA_20906, AENJA_18317, AENJA_20566, AENJA_15024	DANRE29477, DANRE29478, DANRE29479, DANRE29476, DANRE29483, DANRE29481, DANRE29482, DANRE29480, DANRE24697
OG0001184	AENJA_17799	DANRE14296, DANRE14295
OG0001184	AENJA_15086	DANRE38448
OG0001185	AENJA_17542	DANRE10091, DANRE10087, DANRE10090, DANRE10088, DANRE10089, DANRE05149, DANRE05150
OG0001186	AENJA_21307	DANRE26898, DANRE26897, DANRE26189
OG0001186	AENJA_18825	DANRE39141
OG0001187	AENJA_19216, AENJA_19215	DANRE02200
OG0001188	AENJA_22812	DANRE20180, DANRE20181, DANRE37779, DANRE37780, DANRE05645, DANRE02573, DANRE11351, DANRE11352
OG0001189	AENJA_23358	DANRE23240, DANRE23241, DANRE22508
OG0001190	AENJA_24531	DANRE11385, DANRE11386, DANRE02521, DANRE02522, DANRE22917, DANRE22916, DANRE22915
OG0001196	AENJA_00058	DANRE14067, DANRE14066, DANRE34121, DANRE34124, DANRE34123, DANRE34122, DANRE08119, DANRE08109, DANRE08110, DANRE08111, DANRE08114, DANRE08117, DANRE08118, DANRE08116, DANRE08115, DANRE08113, DANRE08112
OG0001197	AENJA_00493	DANRE19964, DANRE19965
OG0001198	AENJA_01200	DANRE21730, DANRE27839
OG0001198	AENJA_21857	DANRE12408
OG0001199	AENJA_01327	DANRE11652, DANRE11653
OG0001199	AENJA_24392	DANRE18330, DANRE18331
OG0001201	AENJA_02210	DANRE22353, DANRE22355, DANRE12520, DANRE24918
OG0001203	AENJA_17348	DANRE06831, DANRE06833, DANRE06834, DANRE05649
OG0001204	AENJA_20148	DANRE07916, DANRE07914, DANRE07913, DANRE20317, DANRE20315, DANRE20314, DANRE07915, DANRE20316
OG0001205	AENJA_04101	DANRE10682
OG0001205	AENJA_26398	DANRE15947, DANRE23700, DANRE08524, DANRE00853, DANRE06430
OG0001207	AENJA_18056	DANRE42063
OG0001207	AENJA_07276	DANRE24209, DANRE29571, DANRE35692
OG0001208	AENJA_09031	DANRE35541, DANRE41476, DANRE41472, DANRE41473, DANRE09739, DANRE09738, DANRE43074
OG0001210	AENJA_18956	DANRE18802, DANRE18801, DANRE18800
OG0001210	AENJA_09591	DANRE26760, DANRE26759
OG0001211	AENJA_09699	DANRE02626, DANRE02625, DANRE41666, DANRE29139
OG0001212	AENJA_14546, AENJA_09958	DANRE04861, DANRE04863, DANRE04862
OG0001213	AENJA_11717	DANRE04387, DANRE43203, DANRE04388
OG0001213	AENJA_11254	DANRE01515
OG0001214	AENJA_24301	DANRE24143
OG0001214	AENJA_11388	DANRE31132, DANRE31134, DANRE31133
OG0001215	AENJA_15953	DANRE27329, DANRE27330, DANRE35594, DANRE35595, DANRE41572, DANRE41571, DANRE41573, DANRE35593, DANRE35592, DANRE41574, DANRE23354, DANRE23355, DANRE36527, DANRE36526
OG0001217	AENJA_17612	DANRE24420, DANRE19883, DANRE19884, DANRE24419, DANRE33785, DANRE17425, DANRE17426
OG0001218	AENJA_18179	DANRE09982, DANRE13766, DANRE13765, DANRE02525, DANRE02526, DANRE37945
OG0001219	AENJA_18562	DANRE06219, DANRE06220, DANRE20139, DANRE10625, DANRE13985, DANRE13984
OG0001220	AENJA_21603	DANRE01523, DANRE01524
OG0001220	AENJA_21600	DANRE28356, DANRE21565
OG0001221	AENJA_19765	DANRE38048, DANRE38049
OG0001223	AENJA_21588	DANRE26912, DANRE26911, DANRE26910, DANRE38596, DANRE37189, DANRE27744, DANRE37064, DANRE37065
OG0001224	AENJA_22625	DANRE22676, DANRE22677, DANRE22685, DANRE22683, DANRE22678, DANRE22679, DANRE22694, DANRE22691, DANRE22695, DANRE22689, DANRE22692, DANRE22693, DANRE22690, DANRE22688, DANRE22682, DANRE22681, DANRE22680, DANRE22684, DANRE22675, DANRE22674, DANRE22686
OG0001225	AENJA_23700	DANRE25970, DANRE25969, DANRE25968, DANRE25971, DANRE38402, DANRE38398, DANRE38399, DANRE39840, DANRE39835, DANRE00504, DANRE00505, DANRE21562
OG0001230	AENJA_02087	DANRE10536
OG0001231	AENJA_02177	DANRE05445, DANRE05448, DANRE05446, DANRE05447, DANRE17775, DANRE04785, DANRE04784, DANRE03779, DANRE07774, DANRE19684
OG0001232	AENJA_07338, AENJA_02228, AENJA_20090, AENJA_20091	DANRE29418, DANRE29417
OG0001233	AENJA_02446	DANRE37927, DANRE37928
OG0001234	AENJA_02896	DANRE09492
OG0001237	AENJA_19599	DANRE25150, DANRE25151
OG0001238	AENJA_07960	DANRE07226
OG0001238	AENJA_05667	DANRE26310
OG0001239	AENJA_12406, AENJA_24743	DANRE25860
OG0001239	AENJA_06569	DANRE25861, DANRE25859
OG0001240	AENJA_07030	DANRE37656, DANRE37657, DANRE25323, DANRE25324, DANRE25322, DANRE10411, DANRE10412, DANRE34927, DANRE34928, DANRE41148, DANRE41149
OG0001241	AENJA_21346	DANRE22500, DANRE22501
OG0001241	AENJA_07588	DANRE16085, DANRE06905
OG0001242	AENJA_07671, AENJA_07672, AENJA_07670, AENJA_07673, AENJA_07669, AENJA_07675	DANRE24237, DANRE26881, DANRE26880
OG0001243	AENJA_09040	DANRE38914, DANRE39511, DANRE25154, DANRE38911, DANRE38913, DANRE38912
OG0001245	AENJA_11241	DANRE06665, DANRE06666, DANRE06667, DANRE06668, DANRE16699, DANRE03294, DANRE03295, DANRE03293
OG0001247	AENJA_24053	DANRE22419, DANRE31091, DANRE31090, DANRE01633, DANRE22417, DANRE22418, DANRE22416, DANRE22420, DANRE22415, DANRE34005, DANRE34004, DANRE34002, DANRE34006, DANRE34003
OG0001248	AENJA_17279	DANRE35929, DANRE35927, DANRE35928, DANRE24637, DANRE23456
OG0001249	AENJA_17683	DANRE15846, DANRE26785, DANRE35515, DANRE20943
OG0001250	AENJA_18393	DANRE29340, DANRE29339, DANRE29338, DANRE03569, DANRE03568, DANRE03567, DANRE30537
OG0001252	AENJA_20096	DANRE30251, DANRE30252, DANRE26714, DANRE24514, DANRE24513, DANRE24515, DANRE28344, DANRE28343, DANRE28342, DANRE28345, DANRE21559, DANRE21558, DANRE21560
OG0001253	AENJA_21103	DANRE30836, DANRE12545, DANRE39815, DANRE39814, DANRE22552, DANRE30835, DANRE30834, DANRE40361, DANRE01742, DANRE01743, DANRE01744
OG0001254	AENJA_25593	DANRE00247, DANRE00249, DANRE39065, DANRE25611, DANRE25612
OG0001261	AENJA_00856	DANRE23743, DANRE15935, DANRE15934, DANRE23744, DANRE42389
OG0001262	AENJA_25759	DANRE19262
OG0001263	AENJA_02283	DANRE33573, DANRE05204, DANRE05205
OG0001263	AENJA_25444	DANRE03253, DANRE03252, DANRE29681, DANRE29682
OG0001264	AENJA_02714	DANRE14753, DANRE14754, DANRE37060, DANRE37059, DANRE37061, DANRE39137, DANRE14755, DANRE14750, DANRE14751, DANRE14752
OG0001266	AENJA_06321	DANRE39425, DANRE27260, DANRE35490, DANRE23595
OG0001267	AENJA_03493	DANRE15701
OG0001267	AENJA_10310	DANRE35017, DANRE01548, DANRE34033, DANRE16499, DANRE16498
OG0001268	AENJA_03712	DANRE15799
OG0001270	AENJA_04208	DANRE24812
OG0001270	AENJA_21003	DANRE29397
OG0001271	AENJA_04651	DANRE38819, DANRE38817, DANRE38818, DANRE27361, DANRE27362, DANRE27360, DANRE03360, DANRE21111
OG0001273	AENJA_05090	DANRE02106, DANRE02107, DANRE28331, DANRE34837, DANRE34836, DANRE34838
OG0001274	AENJA_06074	DANRE26549, DANRE16882, DANRE16883, DANRE16884, DANRE33262, DANRE33263, DANRE33261
OG0001275	AENJA_07370	DANRE18235
OG0001276	AENJA_07718, AENJA_07717	DANRE01207, DANRE01206
OG0001278	AENJA_09367	DANRE30403, DANRE02994, DANRE02993, DANRE02995
OG0001278	AENJA_15562	DANRE18880, DANRE18879
OG0001279	AENJA_09382	DANRE13251, DANRE13250, DANRE00031, DANRE00032, DANRE10695, DANRE04800, DANRE16827
OG0001280	AENJA_11194	DANRE25620, DANRE25621, DANRE37606, DANRE37604, DANRE37605, DANRE28151, DANRE40113, DANRE40112, DANRE37607, DANRE16017, DANRE23707, DANRE16016
OG0001282	AENJA_12223	DANRE42333, DANRE34496, DANRE34495, DANRE42332, DANRE42331, DANRE27101, DANRE24465, DANRE24464
OG0001283	AENJA_13067, AENJA_22654, AENJA_23095	DANRE04934, DANRE04936, DANRE04935, DANRE23896, DANRE23897
OG0001284	AENJA_14056	DANRE24158
OG0001284	AENJA_21135	DANRE09932, DANRE14552, DANRE25929
OG0001287	AENJA_18219	DANRE20476, DANRE07347, DANRE20477, DANRE42919, DANRE06963, DANRE06964
OG0001288	AENJA_22039	DANRE25733, DANRE34315, DANRE34318, DANRE34316
OG0001290	AENJA_21151	DANRE00524
OG0001290	AENJA_21150	DANRE00528, DANRE00526, DANRE00527, DANRE12301, DANRE12302, DANRE12674, DANRE37304, DANRE37305, DANRE37303, DANRE37306, DANRE37307, DANRE37309, DANRE37308
OG0001291	AENJA_21434	DANRE00618, DANRE00617, DANRE34030, DANRE34031, DANRE34032, DANRE06257, DANRE06256, DANRE20027, DANRE20028, DANRE20029
OG0001292	AENJA_21781	DANRE05796, DANRE05795, DANRE05794, DANRE05797, DANRE05798, DANRE35916, DANRE35918, DANRE35917, DANRE42115, DANRE42112, DANRE42114, DANRE42106, DANRE42111, DANRE42113, DANRE42110, DANRE42109, DANRE42108, DANRE42107, DANRE05799
OG0001293	AENJA_23236	DANRE40727, DANRE33631, DANRE33632, DANRE40726, DANRE40728, DANRE19565, DANRE19566, DANRE19563, DANRE19564, DANRE40718, DANRE35033, DANRE35032
OG0001294	AENJA_25092	DANRE18837, DANRE18836
OG0001295	AENJA_25589	DANRE41427, DANRE35768, DANRE35767, DANRE23445
OG0001296	AENJA_26215	DANRE11527, DANRE38121, DANRE38122, DANRE38123, DANRE38120, DANRE22225, DANRE22224
OG0001300	AENJA_00411	DANRE26543, DANRE26542, DANRE42930, DANRE42928, DANRE42929, DANRE06398, DANRE06399
OG0001302	AENJA_13024	DANRE35522
OG0001302	AENJA_01840	DANRE09810
OG0001304	AENJA_14579	DANRE27746, DANRE27745, DANRE38594, DANRE38595, DANRE26905, DANRE26906, DANRE36903, DANRE36902
OG0001305	AENJA_03926	DANRE16549, DANRE16550, DANRE28651, DANRE28652, DANRE34203, DANRE36227, DANRE36226, DANRE26925
OG0001306	AENJA_13028	DANRE26353, DANRE26352, DANRE17686, DANRE17685, DANRE17684
OG0001306	AENJA_24214	DANRE18995, DANRE18996
OG0001308	AENJA_05647	DANRE05117, DANRE05116, DANRE06233, DANRE34680
OG0001309	AENJA_07716	DANRE37164, DANRE20017, DANRE20016, DANRE27311
OG0001310	AENJA_06272	DANRE12016, DANRE12017
OG0001310	AENJA_10879	DANRE11088, DANRE11087, DANRE35906
OG0001311	AENJA_06702	DANRE14576, DANRE08602
OG0001311	AENJA_15801	DANRE10133, DANRE13609, DANRE13617
OG0001312	AENJA_19595, AENJA_24384, AENJA_06846	DANRE33358, DANRE24238, DANRE24239
OG0001315	AENJA_26453	DANRE03124, DANRE03123, DANRE03122, DANRE03565, DANRE30533, DANRE30534, DANRE21863, DANRE21864
OG0001316	AENJA_08714	DANRE17825, DANRE24274, DANRE24275, DANRE06941
OG0001317	AENJA_08900	DANRE30985, DANRE30984
OG0001317	AENJA_20026	DANRE35107, DANRE35108, DANRE35106, DANRE35109, DANRE35103, DANRE35110, DANRE35111, DANRE35113, DANRE35112
OG0001318	AENJA_09435	DANRE03829
OG0001319	AENJA_09605	DANRE33830, DANRE06762, DANRE06763, DANRE27088, DANRE27087, DANRE24474, DANRE42476
OG0001320	AENJA_12368	DANRE24902
OG0001320	AENJA_16608	DANRE18723, DANRE18722, DANRE05778
OG0001321	AENJA_14609	DANRE12728, DANRE28335, DANRE21547, DANRE21546, DANRE10456
OG0001322	AENJA_15110	DANRE39175, DANRE39174, DANRE12563, DANRE12562
OG0001322	AENJA_16813	DANRE07737
OG0001323	AENJA_15789	DANRE43273
OG0001324	AENJA_15995	DANRE16093, DANRE16095, DANRE16098, DANRE16097, DANRE16094, DANRE16096
OG0001326	AENJA_18964	DANRE05749, DANRE05748, DANRE43139, DANRE01553, DANRE33552, DANRE33553, DANRE33551, DANRE05304, DANRE16141
OG0001327	AENJA_18352	DANRE25508, DANRE25510, DANRE25509
OG0001327	AENJA_26627	DANRE31148, DANRE31147, DANRE02284
OG0001329	AENJA_19033	DANRE31065, DANRE31064, DANRE31063, DANRE31066, DANRE31067, DANRE39827
OG0001330	AENJA_20881	DANRE03150, DANRE03151, DANRE29159, DANRE29160, DANRE08275, DANRE20391, DANRE20390, DANRE33586, DANRE33587, DANRE20387
OG0001333	AENJA_23772	DANRE00100, DANRE03587
OG0001339	AENJA_00104	DANRE18341, DANRE18554, DANRE18555
OG0001341	AENJA_21191	DANRE39753, DANRE02429
OG0001344	AENJA_01361	DANRE00281
OG0001345	AENJA_17713	DANRE40478, DANRE40477
OG0001348	AENJA_01884	DANRE41949, DANRE41948, DANRE16560, DANRE16561, DANRE16562, DANRE06898, DANRE06897, DANRE06899
OG0001350	AENJA_05873	DANRE26476, DANRE26475
OG0001351	AENJA_17428, AENJA_06682	DANRE37113, DANRE37114, DANRE42425, DANRE42427, DANRE42426, DANRE42424
OG0001352	AENJA_06720, AENJA_06721, AENJA_06723	DANRE41231, DANRE39193, DANRE20952
OG0001353	AENJA_06742	DANRE22526, DANRE22525, DANRE28302, DANRE28301, DANRE22523, DANRE22524
OG0001354	AENJA_09573	DANRE42392
OG0001354	AENJA_07753	DANRE35436, DANRE35435, DANRE21505, DANRE33460
OG0001355	AENJA_08188	DANRE20243, DANRE15599, DANRE15597, DANRE40954, DANRE00104, DANRE00105
OG0001356	AENJA_08269	DANRE02255, DANRE41297, DANRE31190, DANRE24957, DANRE31188, DANRE31189, DANRE41121, DANRE41120
OG0001357	AENJA_08567	DANRE11276, DANRE20008, DANRE20007, DANRE39440, DANRE13135, DANRE13134, DANRE13136
OG0001358	AENJA_09138	DANRE18167
OG0001358	AENJA_22577	DANRE01240, DANRE08401, DANRE08402, DANRE07002, DANRE10816, DANRE18163, DANRE18164, DANRE18166, DANRE18165
OG0001359	AENJA_11211	DANRE21737, DANRE28265, DANRE13462, DANRE13460, DANRE13461, DANRE09599
OG0001360	AENJA_11441	DANRE16403
OG0001361	AENJA_11584	DANRE25433, DANRE37698, DANRE30944
OG0001362	AENJA_11906	DANRE03032, DANRE09504
OG0001363	AENJA_12332	DANRE36183, DANRE36182, DANRE26801, DANRE19464, DANRE19465
OG0001364	AENJA_13074	DANRE00727, DANRE00728, DANRE37949, DANRE28112
OG0001365	AENJA_13131	DANRE16220, DANRE42881, DANRE16684, DANRE23728, DANRE16682, DANRE16681, DANRE16683
OG0001367	AENJA_16641	DANRE35489, DANRE35487, DANRE35488, DANRE27264, DANRE27263, DANRE18747, DANRE18746, DANRE11545, DANRE11547
OG0001369	AENJA_17277	DANRE21298, DANRE21299, DANRE02286, DANRE02285, DANRE02287, DANRE02288, DANRE30767, DANRE30768
OG0001370	AENJA_17284	DANRE12902, DANRE12901
OG0001371	AENJA_17844, AENJA_24112	DANRE21328
OG0001372	AENJA_25899	DANRE36486, DANRE36487, DANRE36488, DANRE36489
OG0001373	AENJA_17959	DANRE03670, DANRE03669, DANRE29075, DANRE30104, DANRE30103, DANRE04357, DANRE04358, DANRE03631
OG0001374	AENJA_18703	DANRE10171, DANRE14946, DANRE39062, DANRE39059, DANRE39058, DANRE39063, DANRE39057, DANRE39061, DANRE39060
OG0001375	AENJA_25362	DANRE10157
OG0001375	AENJA_20082	DANRE18696, DANRE09144, DANRE14191
OG0001376	AENJA_21276, AENJA_20852, AENJA_20854	DANRE13312, DANRE08674, DANRE08675, DANRE15292, DANRE15289, DANRE42507, DANRE42508, DANRE42506, DANRE42509, DANRE42505, DANRE15290, DANRE15291
OG0001377	AENJA_21043	DANRE39241, DANRE11221, DANRE11220, DANRE11219, DANRE11218, DANRE33213, DANRE33211
OG0001378	AENJA_22766	DANRE39692, DANRE00586, DANRE00587, DANRE04190, DANRE04191, DANRE15660, DANRE20427, DANRE07393, DANRE06565, DANRE06566
OG0001379	AENJA_23248	DANRE26946, DANRE36264, DANRE36263, DANRE06960, DANRE06961, DANRE06962, DANRE01201, DANRE01199, DANRE01200
OG0001380	AENJA_23604	DANRE20401, DANRE00510, DANRE00511, DANRE15800, DANRE15801, DANRE15802
OG0001381	AENJA_23800	DANRE01812, DANRE25964, DANRE25965, DANRE38390, DANRE34864, DANRE38389, DANRE00502, DANRE00503, DANRE34863, DANRE38391
OG0001382	AENJA_23995	DANRE29511, DANRE29512, DANRE29509, DANRE29510
OG0001383	AENJA_25087	DANRE11521
OG0001384	AENJA_25726	DANRE07601, DANRE16582
OG0001385	AENJA_26212	DANRE34870, DANRE32405
OG0001386	AENJA_26718	DANRE03392, DANRE03393, DANRE03394, DANRE03391, DANRE14264
OG0001394	AENJA_00558	DANRE15699, DANRE15700, DANRE06811, DANRE06812
OG0001395	AENJA_00590	DANRE11462, DANRE11463, DANRE11465, DANRE04772, DANRE06302, DANRE33867, DANRE33866, DANRE24364, DANRE24363, DANRE24362
OG0001397	AENJA_05269	DANRE07349, DANRE05010
OG0001397	AENJA_01101	DANRE04061, DANRE04062
OG0001399	AENJA_19357	DANRE19814
OG0001399	AENJA_02205	DANRE36899, DANRE36900, DANRE36901, DANRE26137
OG0001400	AENJA_02508, AENJA_22499, AENJA_22498	DANRE14343
OG0001400	AENJA_02507	DANRE03875, DANRE03874, DANRE03873, DANRE41416, DANRE41417, DANRE14344, DANRE09550
OG0001401	AENJA_02695	DANRE42440, DANRE42441
OG0001402	AENJA_02809	DANRE07552
OG0001403	AENJA_03318, AENJA_22706, AENJA_22705, AENJA_03342	DANRE34695, DANRE08412, DANRE33510, DANRE33511, DANRE33512
OG0001404	AENJA_05828	DANRE41083
OG0001405	AENJA_03978	DANRE12277, DANRE10207, DANRE13582, DANRE10206
OG0001405	AENJA_13814	DANRE15536
OG0001406	AENJA_04091	DANRE22189, DANRE22190, DANRE37991, DANRE37992, DANRE06530, DANRE06531, DANRE06529
OG0001408	AENJA_05533	DANRE19547, DANRE19548, DANRE19549, DANRE24542, DANRE24541, DANRE24540, DANRE26730, DANRE26731, DANRE26728, DANRE26729, DANRE24539
OG0001409	AENJA_06247	DANRE09251, DANRE09250, DANRE13818, DANRE13817, DANRE13819, DANRE16638, DANRE41648
OG0001410	AENJA_18215	DANRE30066, DANRE30065
OG0001410	AENJA_06436	DANRE24024
OG0001411	AENJA_06963, AENJA_10958	DANRE17922, DANRE17923, DANRE17924
OG0001412	AENJA_07170	DANRE34214, DANRE35250, DANRE35249, DANRE35251
OG0001413	AENJA_07474	DANRE35337
OG0001413	AENJA_17343	DANRE38970
OG0001414	AENJA_08160	DANRE04939
OG0001415	AENJA_09149, AENJA_15367	DANRE33647, DANRE33648
OG0001415	AENJA_17665	DANRE41471
OG0001416	AENJA_09757	DANRE43206, DANRE43207, DANRE02789, DANRE02788, DANRE23231, DANRE23232, DANRE02791, DANRE02790
OG0001417	AENJA_10714	DANRE02016, DANRE02015
OG0001418	AENJA_10983	DANRE16726, DANRE28677, DANRE28678, DANRE36406, DANRE02103, DANRE02104, DANRE27063
OG0001419	AENJA_12607, AENJA_12606	DANRE11166, DANRE11165, DANRE04320, DANRE04321, DANRE18086, DANRE18087, DANRE15126, DANRE10656
OG0001420	AENJA_13248	DANRE05459, DANRE05458, DANRE40331, DANRE40438, DANRE40439, DANRE02659, DANRE02658, DANRE36962, DANRE30671, DANRE30668, DANRE30672
OG0001421	AENJA_13339	DANRE10854, DANRE17719, DANRE10855, DANRE18329, DANRE18327
OG0001422	AENJA_14173	DANRE09528, DANRE09527, DANRE41453
OG0001423	AENJA_14934	DANRE10401, DANRE10402, DANRE40608, DANRE40609, DANRE40125, DANRE40126, DANRE35639, DANRE35640, DANRE28883, DANRE28884
OG0001424	AENJA_15682	DANRE22605, DANRE22606
OG0001425	AENJA_15774	DANRE11642, DANRE18590, DANRE18588, DANRE18587, DANRE18589, DANRE25170, DANRE00361, DANRE34566
OG0001426	AENJA_16043	DANRE08922, DANRE08923
OG0001427	AENJA_17543	DANRE40320, DANRE40321, DANRE22541, DANRE22540, DANRE22539, DANRE40322, DANRE24655, DANRE24656, DANRE24657, DANRE24658, DANRE30640, DANRE30639, DANRE11704
OG0001428	AENJA_18858	DANRE22947, DANRE22948, DANRE23679, DANRE36635, DANRE23678, DANRE13768
OG0001430	AENJA_19108	DANRE18427, DANRE00904, DANRE07242, DANRE11523, DANRE11522, DANRE13324, DANRE35076
OG0001431	AENJA_23459	DANRE27312, DANRE13762, DANRE13761
OG0001432	AENJA_25391	DANRE10784, DANRE18459, DANRE18460
OG0001433	AENJA_26002	DANRE05838, DANRE05839, DANRE05840, DANRE14642, DANRE43059, DANRE05137, DANRE05136
OG0001434	AENJA_26114	DANRE17875, DANRE17874
OG0001440	AENJA_03160	DANRE26671, DANRE26670, DANRE23908, DANRE23909, DANRE02017
OG0001441	AENJA_00362	DANRE14242, DANRE10098, DANRE14241, DANRE14240, DANRE37076, DANRE09411, DANRE14698, DANRE10985, DANRE10984, DANRE18310
OG0001445	AENJA_02385	DANRE16745, DANRE13125, DANRE13126
OG0001446	AENJA_02687, AENJA_10576	DANRE08208
OG0001447	AENJA_03127	DANRE11589, DANRE19674, DANRE13128, DANRE13129, DANRE18437
OG0001449	AENJA_04181	DANRE18461, DANRE18463, DANRE18462, DANRE18464
OG0001449	AENJA_05517	DANRE42606, DANRE42607
OG0001450	AENJA_12377, AENJA_13317	DANRE36682, DANRE36684, DANRE13244
OG0001451	AENJA_04889	DANRE34609, DANRE34608
OG0001451	AENJA_16142	DANRE25924, DANRE25926, DANRE25925, DANRE25923
OG0001452	AENJA_05087	DANRE34754, DANRE34755, DANRE38979, DANRE10641
OG0001454	AENJA_06306	DANRE20582, DANRE11448, DANRE11449, DANRE11450
OG0001455	AENJA_06571	DANRE16762, DANRE21521, DANRE40020, DANRE01869, DANRE27072, DANRE16760, DANRE16761, DANRE28895
OG0001456	AENJA_07027	DANRE26746, DANRE26745
OG0001457	AENJA_07426	DANRE04490, DANRE28169, DANRE28168, DANRE28170, DANRE23785, DANRE23783, DANRE23784
OG0001458	AENJA_08456	DANRE16272, DANRE16273, DANRE16274, DANRE07095, DANRE33819, DANRE33822, DANRE33821, DANRE33820, DANRE06406, DANRE42899, DANRE16051, DANRE16052, DANRE42900
OG0001459	AENJA_18303, AENJA_08470	DANRE31312, DANRE29490, DANRE29489, DANRE29488
OG0001460	AENJA_20570	DANRE01570, DANRE01569, DANRE01571
OG0001460	AENJA_09064	DANRE05329
OG0001461	AENJA_09214	DANRE25863, DANRE25865
OG0001462	AENJA_09362	DANRE18434, DANRE18433, DANRE18432, DANRE18435, DANRE18436
OG0001463	AENJA_09831	DANRE38575, DANRE39152
OG0001464	AENJA_09857	DANRE41518, DANRE41517, DANRE35812, DANRE09829, DANRE09827, DANRE09828, DANRE09826, DANRE23320, DANRE23319, DANRE23321
OG0001465	AENJA_10007	DANRE23082, DANRE23083, DANRE23085, DANRE23084, DANRE23086
OG0001466	AENJA_17986	DANRE17753
OG0001466	AENJA_10074	DANRE06224, DANRE06223
OG0001467	AENJA_26730	DANRE34084, DANRE34083, DANRE34082, DANRE34085
OG0001468	AENJA_10995	DANRE42652, DANRE24222, DANRE24223, DANRE24224, DANRE24225, DANRE24221, DANRE24220, DANRE26893, DANRE26890
OG0001469	AENJA_11151	DANRE08993
OG0001470	AENJA_11625	DANRE01224, DANRE01223, DANRE01225, DANRE08432, DANRE08433
OG0001472	AENJA_12236	DANRE09652
OG0001472	AENJA_13235	DANRE22287
OG0001473	AENJA_13618	DANRE29311
OG0001474	AENJA_14700	DANRE42186, DANRE42187
OG0001474	AENJA_24781	DANRE03668
OG0001475	AENJA_14793	DANRE36782, DANRE36783, DANRE23188, DANRE23190, DANRE23189
OG0001476	AENJA_14828	DANRE17431, DANRE11972, DANRE11971, DANRE11970, DANRE00833, DANRE08825, DANRE08824, DANRE00834, DANRE00832
OG0001477	AENJA_15225	DANRE28001
OG0001478	AENJA_19708	DANRE18721, DANRE18720, DANRE18719
OG0001478	AENJA_15450	DANRE03641
OG0001479	AENJA_16158	DANRE22330, DANRE22329, DANRE30265, DANRE34077, DANRE19450, DANRE19449
OG0001480	AENJA_16776	DANRE35549, DANRE02001, DANRE02000, DANRE09096, DANRE09095
OG0001481	AENJA_17029	DANRE10839, DANRE17957, DANRE17958, DANRE17956, DANRE10838, DANRE10840, DANRE05668, DANRE05669, DANRE05664, DANRE05667, DANRE05666, DANRE05665, DANRE17807
OG0001484	AENJA_21194	DANRE22299, DANRE22301, DANRE36964, DANRE36965, DANRE36967
OG0001485	AENJA_21469	DANRE37673, DANRE37672, DANRE37674, DANRE12868, DANRE12867, DANRE34795, DANRE01508, DANRE01509
OG0001486	AENJA_21858	DANRE20631, DANRE20630, DANRE30794, DANRE30793, DANRE25517, DANRE25516, DANRE25515, DANRE29495, DANRE39113, DANRE39112, DANRE39111
OG0001489	AENJA_24467	DANRE17537, DANRE17538, DANRE17536, DANRE17539, DANRE17535, DANRE26330, DANRE26331, DANRE26329, DANRE26332, DANRE26328, DANRE26333, DANRE26334, DANRE34702, DANRE34703, DANRE34704, DANRE34242, DANRE34241
OG0001490	AENJA_25216	DANRE05267, DANRE35582, DANRE35581, DANRE19987, DANRE19988, DANRE37491, DANRE11663
OG0001492	AENJA_25544	DANRE28921, DANRE08080, DANRE08079, DANRE08081, DANRE08078, DANRE33662
OG0001493	AENJA_26227	DANRE43323, DANRE11190, DANRE11191
OG0001498	AENJA_22536, AENJA_25822, AENJA_01053	DANRE42084
OG0001500	AENJA_01887	DANRE38025, DANRE41825, DANRE41824, DANRE41826, DANRE41827
OG0001501	AENJA_02988	DANRE10996, DANRE10993, DANRE10995, DANRE10994, DANRE11782, DANRE11780, DANRE11781
OG0001502	AENJA_03421	DANRE29327, DANRE29326
OG0001503	AENJA_23557	DANRE01872
OG0001503	AENJA_03755	DANRE28515, DANRE28514
OG0001504	AENJA_04830, AENJA_04833, AENJA_15576, AENJA_04039	DANRE22645, DANRE22646
OG0001505	AENJA_04619	DANRE24459, DANRE24460, DANRE24458, DANRE27105, DANRE27106
OG0001506	AENJA_05938	DANRE27670, DANRE40034, DANRE40035
OG0001507	AENJA_06136	DANRE05610, DANRE05609, DANRE05144, DANRE05143, DANRE20002
OG0001508	AENJA_06316	DANRE38231, DANRE38230, DANRE38232, DANRE13183, DANRE29484, DANRE29485
OG0001509	AENJA_07590	DANRE15262, DANRE13263
OG0001510	AENJA_08660	DANRE40580, DANRE40579, DANRE30335, DANRE36382, DANRE36380, DANRE36381
OG0001511	AENJA_08942	DANRE08631, DANRE08630, DANRE08632, DANRE26750, DANRE26749, DANRE37901, DANRE37903, DANRE37902, DANRE37904
OG0001515	AENJA_10215	DANRE35061, DANRE35063, DANRE33905
OG0001516	AENJA_10243	DANRE19759, DANRE33416, DANRE33417
OG0001517	AENJA_10361	DANRE40639, DANRE24399, DANRE24400
OG0001518	AENJA_11024	DANRE26765, DANRE26770, DANRE26766, DANRE26769, DANRE26768, DANRE26767, DANRE36651
OG0001520	AENJA_12318	DANRE14989, DANRE14988, DANRE17477, DANRE17478, DANRE17480, DANRE17479
OG0001521	AENJA_13001	DANRE01878, DANRE34844, DANRE34845, DANRE34846, DANRE19174, DANRE14501, DANRE14500, DANRE14499, DANRE10329
