Orthogroup	AENJA_ok	CAPO3
OG0000754	AENJA_22413, AENJA_09669, AENJA_19942, AENJA_20836, AENJA_08599, AENJA_19495, AENJA_09482, AENJA_17604, AENJA_07628, AENJA_02394, AENJA_12375, AENJA_16394, AENJA_07140, AENJA_19135, AENJA_07428, AENJA_22791, AENJA_05737, AENJA_02457, AENJA_05221, AENJA_14350, AENJA_10367, AENJA_22060, AENJA_24927, AENJA_10555, AENJA_12378, AENJA_02134	CAPO300911, CAPO306986, CAPO303353
OG0000755	AENJA_02216	CAPO300267
OG0000757	AENJA_15686	CAPO307096
OG0000757	AENJA_08837	CAPO300067
OG0000758	AENJA_07914	CAPO305275
OG0000759	AENJA_12039	CAPO300473
OG0000761	AENJA_13286	CAPO305655
OG0000765	AENJA_22260	CAPO301853
OG0000766	AENJA_22560	CAPO300388
OG0000767	AENJA_23872	CAPO305367
OG0000768	AENJA_24479	CAPO306612, CAPO302492, CAPO307738, CAPO305672, CAPO305904
OG0000772	AENJA_24869, AENJA_00651	CAPO304708, CAPO302709
OG0000774	AENJA_01594, AENJA_14294, AENJA_06861	CAPO306995
OG0000775	AENJA_10969, AENJA_02685, AENJA_06104	CAPO306201
OG0000776	AENJA_14162, AENJA_14158, AENJA_04150, AENJA_16571	CAPO307356
OG0000777	AENJA_05341	CAPO308227
OG0000779	AENJA_08422	CAPO300301
OG0000788	AENJA_19776, AENJA_01187	CAPO304590
OG0000791	AENJA_05472	CAPO304699
OG0000792	AENJA_06794, AENJA_22407	CAPO305838
OG0000793	AENJA_10797	CAPO301604
OG0000794	AENJA_11312	CAPO304031
OG0000797	AENJA_12225	CAPO307534
OG0000803	AENJA_21679	CAPO301668
OG0000810	AENJA_24609, AENJA_24929, AENJA_02925	CAPO305098, CAPO306601
OG0000813	AENJA_03651, AENJA_14254, AENJA_23135	CAPO300040, CAPO308168
OG0000814	AENJA_25867, AENJA_03765, AENJA_17687, AENJA_08768, AENJA_09662	CAPO307227
OG0000815	AENJA_11775, AENJA_11030, AENJA_11031, AENJA_05553	CAPO300838
OG0000816	AENJA_20230, AENJA_21712, AENJA_05704	CAPO304990
OG0000817	AENJA_14055	CAPO308202
OG0000818	AENJA_07677	CAPO307656
OG0000820	AENJA_23750	CAPO303993, CAPO304861, CAPO306914, CAPO301340, CAPO300173, CAPO302332, CAPO305090, CAPO300452
OG0000824	AENJA_00764	CAPO303788
OG0000825	AENJA_01783	CAPO305165, CAPO306157, CAPO306129
OG0000826	AENJA_02454, AENJA_02453, AENJA_09226, AENJA_02455	CAPO306060
OG0000827	AENJA_05092, AENJA_07505	CAPO304578
OG0000828	AENJA_05318	CAPO306023
OG0000828	AENJA_21604, AENJA_14692	CAPO307153
OG0000834	AENJA_26552, AENJA_15508	CAPO306233
OG0000836	AENJA_24422, AENJA_19604, AENJA_19607	CAPO306019, CAPO307821
OG0000837	AENJA_25179	CAPO308104, CAPO303511
OG0000841	AENJA_00152	CAPO307470
OG0000844	AENJA_02377	CAPO306591, CAPO307267
OG0000845	AENJA_22345, AENJA_15396, AENJA_08427, AENJA_15398, AENJA_14681, AENJA_15397, AENJA_04163, AENJA_11386	CAPO303615
OG0000847	AENJA_19531	CAPO301759, CAPO307057
OG0000847	AENJA_05909	CAPO308298
OG0000849	AENJA_06598, AENJA_17459	CAPO304492
OG0000850	AENJA_06947, AENJA_14500	CAPO302141
OG0000850	AENJA_26527	CAPO306299
OG0000851	AENJA_07613	CAPO304092
OG0000852	AENJA_07998	CAPO307622
OG0000857	AENJA_19063	CAPO302559
OG0000858	AENJA_19600	CAPO306693
OG0000860	AENJA_22939	CAPO306338
OG0000871	AENJA_06473	CAPO300407
OG0000872	AENJA_06798	CAPO308293
OG0000873	AENJA_07645	CAPO307878
OG0000875	AENJA_08703, AENJA_14919	CAPO303418, CAPO302903
OG0000876	AENJA_08833	CAPO302150
OG0000877	AENJA_09093	CAPO304981
OG0000879	AENJA_14015	CAPO301982
OG0000881	AENJA_19719	CAPO301333, CAPO300020
OG0000881	AENJA_21849	CAPO308042
OG0000888	AENJA_02929	CAPO300320
OG0000889	AENJA_05911	CAPO304144
OG0000890	AENJA_09730	CAPO304283
OG0000891	AENJA_13613	CAPO307358
OG0000894	AENJA_24655	CAPO300968, CAPO300967
OG0000894	AENJA_16901	CAPO301227
OG0000896	AENJA_17963, AENJA_20857	CAPO301183
OG0000896	AENJA_26740	CAPO304049
OG0000897	AENJA_25522, AENJA_19794, AENJA_19793, AENJA_18001	CAPO306059
OG0000898	AENJA_20658	CAPO302619
OG0000899	AENJA_23421	CAPO300655
OG0000904	AENJA_02063, AENJA_24813	CAPO305539
OG0000905	AENJA_03454, AENJA_12044	CAPO303384
OG0000909	AENJA_07565	CAPO300878
OG0000911	AENJA_08748	CAPO302608
OG0000912	AENJA_11633, AENJA_09966	CAPO302397
OG0000913	AENJA_11700	CAPO300255
OG0000914	AENJA_16081	CAPO302002
OG0000915	AENJA_20431	CAPO306555
OG0000921	AENJA_16626	CAPO300272
OG0000925	AENJA_14502, AENJA_01829	CAPO304563
OG0000928	AENJA_06210	CAPO301245
OG0000929	AENJA_06536, AENJA_18717, AENJA_24686	CAPO303494
OG0000931	AENJA_08166	CAPO303586
OG0000932	AENJA_10314	CAPO306783
OG0000933	AENJA_25029	CAPO304170
OG0000934	AENJA_23792	CAPO306946, CAPO300619
OG0000934	AENJA_12733	CAPO304006
OG0000935	AENJA_14023	CAPO307401
OG0000944	AENJA_00580	CAPO304090
OG0000952	AENJA_05461, AENJA_05453	CAPO300179
OG0000954	AENJA_24386	CAPO303535
OG0000954	AENJA_08232	CAPO305800
OG0000955	AENJA_09334, AENJA_19306	CAPO303429
OG0000955	AENJA_22675	CAPO301514
OG0000955	AENJA_26657	CAPO308190
OG0000960	AENJA_23956	CAPO304728
OG0000963	AENJA_01165, AENJA_06323	CAPO303990
OG0000965	AENJA_05586, AENJA_05584	CAPO305928
OG0000965	AENJA_02282	CAPO302148
OG0000967	AENJA_22529	CAPO304786
OG0000970	AENJA_03395	CAPO301807
OG0000974	AENJA_05735, AENJA_05736	CAPO306940
OG0000978	AENJA_08414	CAPO306307
OG0000980	AENJA_08701, AENJA_22275, AENJA_08700, AENJA_13701	CAPO305742
OG0000982	AENJA_09037	CAPO301371
OG0000984	AENJA_13820	CAPO307940
OG0000985	AENJA_14891	CAPO304864
OG0000986	AENJA_19042, AENJA_19041	CAPO305058
OG0000987	AENJA_23574	CAPO306365
OG0000992	AENJA_01350, AENJA_08136	CAPO308244
OG0000993	AENJA_01756, AENJA_19598	CAPO303930
OG0000994	AENJA_20560	CAPO306999
OG0000996	AENJA_04444, AENJA_26096	CAPO304603
OG0000997	AENJA_04964, AENJA_06940, AENJA_16738	CAPO306501
OG0000998	AENJA_06143	CAPO302508
OG0000999	AENJA_06760, AENJA_09403, AENJA_26585, AENJA_10712	CAPO303484, CAPO302236
OG0001006	AENJA_21663, AENJA_25248	CAPO308145
OG0001009	AENJA_24783	CAPO305830
OG0001015	AENJA_19717, AENJA_00951, AENJA_05530	CAPO304771
OG0001016	AENJA_26608	CAPO300038
OG0001016	AENJA_01521, AENJA_14403, AENJA_15956	CAPO302596
OG0001018	AENJA_12182	CAPO305732
OG0001020	AENJA_21047, AENJA_04048, AENJA_02545	CAPO301968
OG0001024	AENJA_11445, AENJA_03556	CAPO300862
OG0001033	AENJA_13779	CAPO305083
OG0001036	AENJA_19830	CAPO301917
OG0001037	AENJA_20909	CAPO306107
OG0001039	AENJA_24765	CAPO305080
OG0001042	AENJA_00375	CAPO301530
OG0001044	AENJA_04229, AENJA_01430, AENJA_04864, AENJA_13241, AENJA_00477	CAPO305401, CAPO306389
OG0001045	AENJA_04878, AENJA_00728, AENJA_06741	CAPO300115
OG0001046	AENJA_01047	CAPO304357
OG0001048	AENJA_02250, AENJA_17677	CAPO306868
OG0001049	AENJA_02746	CAPO302273
OG0001049	AENJA_16062	CAPO305769
OG0001050	AENJA_03323	CAPO306760
OG0001060	AENJA_25128	CAPO307547, CAPO305773, CAPO307224, CAPO305772, CAPO301879
OG0001062	AENJA_10657	CAPO300111
OG0001064	AENJA_16034	CAPO304594
OG0001066	AENJA_19790	CAPO305156
OG0001072	AENJA_00305, AENJA_03396, AENJA_18929	CAPO304331
OG0001073	AENJA_00575	CAPO307880
OG0001075	AENJA_00807	CAPO305658
OG0001076	AENJA_01569	CAPO306580
OG0001078	AENJA_10264, AENJA_03835	CAPO300211
OG0001082	AENJA_06872, AENJA_21482, AENJA_09332	CAPO306944
OG0001083	AENJA_07171	CAPO306339
OG0001085	AENJA_09145, AENJA_21401	CAPO305936
OG0001092	AENJA_18221	CAPO303664
OG0001095	AENJA_25247	CAPO303064
OG0001101	AENJA_00373	CAPO301529
OG0001104	AENJA_02199, AENJA_18229	CAPO306923
OG0001106	AENJA_23680, AENJA_02726, AENJA_23681, AENJA_03788, AENJA_22384, AENJA_02727	CAPO307850
OG0001108	AENJA_12290, AENJA_04372, AENJA_04373	CAPO300863
OG0001113	AENJA_06313	CAPO302840
OG0001113	AENJA_23050	CAPO304589
OG0001114	AENJA_13675	CAPO307418
OG0001116	AENJA_25869, AENJA_12085	CAPO303103
OG0001120	AENJA_13747	CAPO300555
OG0001121	AENJA_14865	CAPO305030
OG0001122	AENJA_15150	CAPO300744
OG0001123	AENJA_20117	CAPO305010
OG0001124	AENJA_16308	CAPO307326
OG0001125	AENJA_19655, AENJA_19656	CAPO304253
OG0001126	AENJA_21731, AENJA_21732	CAPO301067
OG0001126	AENJA_22248	CAPO308119
OG0001128	AENJA_26741	CAPO301710
OG0001129	AENJA_00009, AENJA_00007, AENJA_00006, AENJA_25832, AENJA_25837	CAPO306230
OG0001130	AENJA_08024, AENJA_00712, AENJA_24701	CAPO305636
OG0001132	AENJA_02927	CAPO303538
OG0001133	AENJA_14482	CAPO302577
OG0001133	AENJA_07797	CAPO300360
OG0001134	AENJA_06301	CAPO304261
OG0001136	AENJA_06348	CAPO301949
OG0001137	AENJA_06755	CAPO308164
OG0001139	AENJA_20595, AENJA_19443, AENJA_08828	CAPO300537
OG0001140	AENJA_10711	CAPO308326
OG0001142	AENJA_13577	CAPO304790
OG0001143	AENJA_25253, AENJA_15506	CAPO304300
OG0001144	AENJA_15840	CAPO307577
OG0001146	AENJA_19404	CAPO300511
OG0001147	AENJA_21747, AENJA_21745, AENJA_21753	CAPO306370
OG0001149	AENJA_26319, AENJA_26318	CAPO305549
OG0001156	AENJA_01685	CAPO306962
OG0001157	AENJA_02080	CAPO304789
OG0001158	AENJA_02265, AENJA_16983	CAPO302639
OG0001160	AENJA_03496, AENJA_15940	CAPO304743
OG0001161	AENJA_03513, AENJA_15958	CAPO301112
OG0001163	AENJA_23044, AENJA_20499, AENJA_04071, AENJA_23045	CAPO301684, CAPO307755, CAPO304886
OG0001167	AENJA_06024	CAPO307849
OG0001168	AENJA_26059, AENJA_06080, AENJA_26060	CAPO301546
OG0001169	AENJA_06689	CAPO301751
OG0001170	AENJA_14574, AENJA_07116	CAPO302766
OG0001171	AENJA_07498	CAPO300420
OG0001175	AENJA_19603, AENJA_10616	CAPO304133, CAPO306812
OG0001179	AENJA_13625, AENJA_13628, AENJA_26058	CAPO300184
OG0001181	AENJA_14047	CAPO301983
OG0001183	AENJA_20906, AENJA_18317, AENJA_20566, AENJA_15024	CAPO301096
OG0001184	AENJA_17799	CAPO306392
OG0001185	AENJA_17542	CAPO303366
OG0001186	AENJA_21307	CAPO302303
OG0001186	AENJA_18825	CAPO307451
OG0001188	AENJA_22812	CAPO300558
OG0001196	AENJA_00058	CAPO301570
OG0001197	AENJA_00493	CAPO306552
OG0001199	AENJA_01327, AENJA_01326, AENJA_24392	CAPO305690
OG0001201	AENJA_02210	CAPO302220
OG0001202	AENJA_03117, AENJA_20571	CAPO306186
OG0001207	AENJA_15259	CAPO304292
OG0001207	AENJA_18056	CAPO305627
OG0001207	AENJA_07276	CAPO302093
OG0001208	AENJA_09031	CAPO300830
OG0001209	AENJA_09041	CAPO302948
OG0001210	AENJA_18956	CAPO300919
OG0001210	AENJA_09592	CAPO302732
OG0001210	AENJA_09591	CAPO302555
OG0001212	AENJA_09956	CAPO305297
OG0001213	AENJA_11717	CAPO304729
OG0001213	AENJA_11254	CAPO303632
OG0001214	AENJA_24301	CAPO304780
OG0001215	AENJA_15953	CAPO302583
OG0001216	AENJA_16979	CAPO307997
OG0001217	AENJA_17612	CAPO306810
OG0001218	AENJA_18179	CAPO307457
OG0001221	AENJA_19765	CAPO307765
OG0001222	AENJA_21481	CAPO301496, CAPO301391, CAPO303918
OG0001232	AENJA_07338, AENJA_02228, AENJA_20090, AENJA_20091	CAPO304224
OG0001233	AENJA_02446	CAPO303591
OG0001234	AENJA_02896	CAPO307897
OG0001241	AENJA_21346	CAPO303368
OG0001241	AENJA_07588	CAPO304888
OG0001247	AENJA_24053, AENJA_12647	CAPO303193, CAPO307423
OG0001248	AENJA_17279	CAPO303079
OG0001249	AENJA_17683	CAPO306922
OG0001250	AENJA_18393	CAPO302323
OG0001251	AENJA_20006	CAPO304205
OG0001252	AENJA_20096	CAPO300016
OG0001253	AENJA_21103	CAPO306156
OG0001254	AENJA_25593	CAPO307546
OG0001261	AENJA_00856	CAPO302839
OG0001262	AENJA_02100	CAPO301672
OG0001263	AENJA_02283, AENJA_25444	CAPO301777
OG0001267	AENJA_03493, AENJA_10310	CAPO307578
OG0001268	AENJA_03712	CAPO303692
OG0001270	AENJA_04208	CAPO306176
OG0001270	AENJA_17726	CAPO306096
OG0001270	AENJA_21003	CAPO304393
OG0001271	AENJA_04651	CAPO302779
OG0001272	AENJA_05081	CAPO305566
OG0001273	AENJA_05090	CAPO301889
OG0001274	AENJA_06074	CAPO308194
OG0001276	AENJA_07718, AENJA_07717	CAPO302888
OG0001278	AENJA_09367, AENJA_15562	CAPO306229
OG0001279	AENJA_09382	CAPO302733
OG0001280	AENJA_11194	CAPO300326
OG0001281	AENJA_15472, AENJA_11305	CAPO304088, CAPO303543
OG0001282	AENJA_12223	CAPO303595
OG0001284	AENJA_14056, AENJA_21135	CAPO300970
OG0001285	AENJA_14207, AENJA_14208	CAPO304179
OG0001286	AENJA_16309	CAPO303892
OG0001287	AENJA_18219	CAPO302822, CAPO304538
OG0001288	AENJA_18926, AENJA_22039	CAPO302651
OG0001289	AENJA_19878	CAPO306071
OG0001290	AENJA_21151, AENJA_21150	CAPO302574
OG0001291	AENJA_21434	CAPO300695
OG0001294	AENJA_25092	CAPO304223
OG0001295	AENJA_25589	CAPO306210
OG0001296	AENJA_26215	CAPO308260
OG0001300	AENJA_00411	CAPO300154
OG0001302	AENJA_13024	CAPO302654
OG0001302	AENJA_01840	CAPO302215
OG0001304	AENJA_02458, AENJA_14579	CAPO302419
OG0001305	AENJA_03926	CAPO304488
OG0001308	AENJA_05647	CAPO300432
OG0001309	AENJA_05763, AENJA_07716	CAPO300871
OG0001310	AENJA_06272	CAPO305405
OG0001310	AENJA_10879	CAPO300151
OG0001311	AENJA_06702, AENJA_15801	CAPO300585
OG0001312	AENJA_19595, AENJA_24384, AENJA_06846	CAPO304811
OG0001314	AENJA_15162, AENJA_11562, AENJA_07754	CAPO306642
OG0001317	AENJA_08900, AENJA_20026	CAPO302225
OG0001318	AENJA_09435	CAPO306280
OG0001319	AENJA_09605	CAPO304915
OG0001320	AENJA_12368	CAPO307498
OG0001320	AENJA_16608	CAPO304958
OG0001321	AENJA_14609	CAPO301358
OG0001322	AENJA_16813	CAPO302022
OG0001323	AENJA_15789	CAPO301735
OG0001325	AENJA_16492, AENJA_18977	CAPO304115
OG0001326	AENJA_18964	CAPO306149
OG0001327	AENJA_18352, AENJA_26627	CAPO305568
OG0001328	AENJA_18594	CAPO302287
OG0001330	AENJA_20881	CAPO304584, CAPO300112
OG0001332	AENJA_23263	CAPO305487
OG0001333	AENJA_23772	CAPO301191
OG0001344	AENJA_01361	CAPO308153
OG0001345	AENJA_17713	CAPO306177
OG0001345	AENJA_25364	CAPO303460
OG0001348	AENJA_01884	CAPO304908
OG0001350	AENJA_05873	CAPO305116, CAPO303054
OG0001352	AENJA_06720, AENJA_06721, AENJA_06723	CAPO303801
OG0001353	AENJA_06742	CAPO303379
OG0001355	AENJA_08188	CAPO307732
OG0001358	AENJA_09138, AENJA_22577	CAPO302204
OG0001359	AENJA_11211	CAPO303726
OG0001361	AENJA_11584	CAPO307400
OG0001364	AENJA_13074	CAPO307249
OG0001366	AENJA_14917	CAPO302707
OG0001367	AENJA_16641	CAPO304628
OG0001370	AENJA_17284	CAPO305064
OG0001372	AENJA_25899	CAPO301063
OG0001372	AENJA_17922	CAPO306529
OG0001373	AENJA_17959	CAPO300734
OG0001378	AENJA_22766	CAPO302717
OG0001379	AENJA_23248	CAPO304865
OG0001382	AENJA_23994, AENJA_23995	CAPO306735
OG0001383	AENJA_25087	CAPO300442
OG0001386	AENJA_26718	CAPO305078
OG0001397	AENJA_05269, AENJA_01101	CAPO306119
OG0001399	AENJA_19357, AENJA_02205	CAPO304148
OG0001400	AENJA_02508, AENJA_22499, AENJA_22498, AENJA_02507	CAPO305841
OG0001404	AENJA_03877, AENJA_05828	CAPO302450
OG0001405	AENJA_13814	CAPO302942
OG0001406	AENJA_04091	CAPO305604
OG0001408	AENJA_10000, AENJA_05533	CAPO304468
OG0001409	AENJA_06247	CAPO300832
OG0001410	AENJA_18215	CAPO304381
OG0001410	AENJA_06436	CAPO303461
OG0001411	AENJA_06963, AENJA_10958	CAPO301653
OG0001412	AENJA_07170	CAPO304843
OG0001413	AENJA_07474	CAPO300375
OG0001414	AENJA_08160	CAPO303273
OG0001415	AENJA_09149, AENJA_15367, AENJA_17665	CAPO307087
OG0001416	AENJA_09757	CAPO300753
OG0001418	AENJA_10983	CAPO300218
OG0001420	AENJA_13248	CAPO304723, CAPO308198, CAPO308234, CAPO305541, CAPO307813
OG0001422	AENJA_14173	CAPO308345, CAPO303120
OG0001423	AENJA_14934	CAPO301310
OG0001424	AENJA_15682, AENJA_17237	CAPO304776
OG0001425	AENJA_15774	CAPO302275, CAPO302850
OG0001426	AENJA_16043	CAPO302841
OG0001427	AENJA_17543	CAPO302723
OG0001428	AENJA_18858	CAPO303027
OG0001430	AENJA_19108	CAPO300562
OG0001431	AENJA_23459	CAPO308230
OG0001440	AENJA_03160, AENJA_00153	CAPO305450
OG0001445	AENJA_02385	CAPO301958
OG0001446	AENJA_02687, AENJA_10576	CAPO304614
OG0001447	AENJA_03127	CAPO307093
OG0001449	AENJA_04181	CAPO306822
OG0001451	AENJA_04889, AENJA_16142	CAPO300036
OG0001452	AENJA_05087	CAPO301933
OG0001454	AENJA_06306	CAPO303806
OG0001456	AENJA_07027	CAPO307965
OG0001459	AENJA_18303, AENJA_08470	CAPO307035
OG0001460	AENJA_20570	CAPO300988
OG0001460	AENJA_09064	CAPO305875
OG0001461	AENJA_09214	CAPO307458, CAPO305472
OG0001463	AENJA_09831	CAPO304054
OG0001466	AENJA_17986, AENJA_10074	CAPO305831
OG0001467	AENJA_26730, AENJA_10772	CAPO304882
OG0001468	AENJA_10995	CAPO306475
OG0001469	AENJA_20582	CAPO306371
OG0001469	AENJA_11151	CAPO301724
OG0001470	AENJA_11625	CAPO305163
OG0001472	AENJA_12236	CAPO300986
OG0001472	AENJA_13235	CAPO305311
OG0001473	AENJA_13618	CAPO304310
OG0001474	AENJA_24781	CAPO306191
OG0001475	AENJA_14793	CAPO305552
OG0001476	AENJA_14828	CAPO305062
OG0001478	AENJA_19708	CAPO303095
OG0001478	AENJA_15450	CAPO304965
OG0001479	AENJA_16158	CAPO306515
OG0001482	AENJA_18749	CAPO307610
OG0001484	AENJA_21194	CAPO301411
OG0001485	AENJA_21469	CAPO301954
OG0001486	AENJA_21858	CAPO302441
OG0001490	AENJA_25216	CAPO305433
OG0001492	AENJA_25544	CAPO305155
OG0001500	AENJA_01887	CAPO300054
OG0001501	AENJA_02988	CAPO305474
OG0001503	AENJA_23557	CAPO305666
OG0001503	AENJA_03755	CAPO307598
OG0001504	AENJA_04830, AENJA_04833, AENJA_15576, AENJA_04039	CAPO307661
OG0001505	AENJA_04619, AENJA_17806	CAPO301009
OG0001506	AENJA_05939, AENJA_05938	CAPO300953
OG0001507	AENJA_06136	CAPO304204
OG0001511	AENJA_08942	CAPO306127, CAPO305043
OG0001512	AENJA_09698	CAPO301118
OG0001516	AENJA_10243	CAPO300345
OG0001517	AENJA_10361	CAPO303690
OG0001519	AENJA_11205	CAPO306949
OG0001522	AENJA_19424, AENJA_14026	CAPO303667
OG0001524	AENJA_19275	CAPO300996
OG0001524	AENJA_15536	CAPO308304
OG0001525	AENJA_16414	CAPO303907
OG0001526	AENJA_16663	CAPO305679
OG0001527	AENJA_16808	CAPO307636
OG0001529	AENJA_18632	CAPO300593
OG0001530	AENJA_19473	CAPO302602
OG0001532	AENJA_20708	CAPO300282
OG0001533	AENJA_20965	CAPO306032
OG0001534	AENJA_21491, AENJA_21490	CAPO304425
OG0001537	AENJA_25566	CAPO300641
OG0001545	AENJA_00995	CAPO300895
OG0001548	AENJA_07926, AENJA_03207, AENJA_07924, AENJA_03096, AENJA_16874, AENJA_17688	CAPO301500
OG0001551	AENJA_05503	CAPO306604
OG0001553	AENJA_06179	CAPO308172
OG0001554	AENJA_07567	CAPO302370
OG0001557	AENJA_23342, AENJA_08073	CAPO304176
OG0001558	AENJA_08311	CAPO301132
OG0001559	AENJA_08667	CAPO301785
OG0001561	AENJA_09420	CAPO301999
OG0001563	AENJA_12465, AENJA_21948, AENJA_11347	CAPO306378
OG0001564	AENJA_11930	CAPO301061
OG0001567	AENJA_13019	CAPO300948
OG0001568	AENJA_13880	CAPO301468
OG0001570	AENJA_19842	CAPO303364
OG0001572	AENJA_22665	CAPO304756
OG0001572	AENJA_18250	CAPO304137
OG0001573	AENJA_19183	CAPO305125, CAPO303819
OG0001576	AENJA_23479	CAPO306270
OG0001578	AENJA_24180	CAPO300715
OG0001580	AENJA_25168	CAPO307900
OG0001581	AENJA_26170, AENJA_26171	CAPO306056
OG0001582	AENJA_26338	CAPO307073
OG0001583	AENJA_26528	CAPO306289
OG0001584	AENJA_26828	CAPO301068
OG0001589	AENJA_25067, AENJA_00308, AENJA_25068	CAPO303301, CAPO304004
OG0001590	AENJA_14826, AENJA_14823	CAPO302386
OG0001593	AENJA_01627	CAPO305942
OG0001594	AENJA_16970, AENJA_01665, AENJA_04700	CAPO307886
OG0001597	AENJA_17835, AENJA_03457	CAPO302703
OG0001599	AENJA_04501	CAPO300887
OG0001600	AENJA_04862	CAPO305994
OG0001603	AENJA_05288, AENJA_25082, AENJA_05289	CAPO306228
OG0001604	AENJA_11253	CAPO303898
OG0001605	AENJA_06440	CAPO307473
OG0001609	AENJA_08323	CAPO304683
OG0001609	AENJA_19787	CAPO302057
OG0001611	AENJA_08569	CAPO305038
OG0001612	AENJA_09589	CAPO302202
OG0001614	AENJA_17703	CAPO303895
OG0001614	AENJA_10096	CAPO307630
OG0001615	AENJA_10716	CAPO300749
OG0001617	AENJA_12188	CAPO302798
OG0001621	AENJA_13994, AENJA_13992	CAPO302875
OG0001622	AENJA_14211	CAPO302121
OG0001634	AENJA_18695	CAPO305688
OG0001634	AENJA_18896	CAPO305614
OG0001638	AENJA_20882	CAPO303528
OG0001641	AENJA_23210	CAPO303281
OG0001643	AENJA_24340	CAPO306838
OG0001644	AENJA_26289	CAPO303665
OG0001652	AENJA_17940, AENJA_22805, AENJA_00850, AENJA_11452, AENJA_11451, AENJA_01437	CAPO302838
OG0001653	AENJA_21125	CAPO305118
OG0001655	AENJA_03001	CAPO302812
OG0001657	AENJA_03268	CAPO304165, CAPO303952
OG0001660	AENJA_04731	CAPO305930
OG0001661	AENJA_05905	CAPO302789
OG0001661	AENJA_05238	CAPO304920
OG0001663	AENJA_06086	CAPO301057
OG0001664	AENJA_22480, AENJA_06183	CAPO303152
OG0001665	AENJA_11003, AENJA_06300	CAPO302331
OG0001672	AENJA_09939	CAPO301880
OG0001673	AENJA_11329	CAPO305520
OG0001674	AENJA_11464	CAPO301357
OG0001675	AENJA_11671	CAPO307574
OG0001676	AENJA_26746	CAPO300524
OG0001676	AENJA_11724	CAPO305992
OG0001677	AENJA_11807	CAPO307978
OG0001679	AENJA_16799, AENJA_17425	CAPO302155, CAPO305784
OG0001680	AENJA_16822	CAPO304235, CAPO304477
OG0001684	AENJA_18312	CAPO300563
OG0001685	AENJA_18914	CAPO307707
OG0001686	AENJA_19766, AENJA_19761	CAPO307138
OG0001687	AENJA_21090, AENJA_20311	CAPO302907
OG0001688	AENJA_20867, AENJA_20868	CAPO300133
OG0001690	AENJA_22959	CAPO304820
OG0001691	AENJA_24035	CAPO307420
OG0001704	AENJA_00857	CAPO304434
OG0001706	AENJA_00912	CAPO301033
OG0001707	AENJA_00981, AENJA_25581	CAPO303836
OG0001708	AENJA_01039	CAPO303804
OG0001709	AENJA_12151, AENJA_01136	CAPO304969
OG0001711	AENJA_11819, AENJA_01555	CAPO301872
OG0001713	AENJA_02209	CAPO302278
OG0001714	AENJA_02224	CAPO306669
OG0001714	AENJA_13337	CAPO300188
OG0001718	AENJA_02907	CAPO301559, CAPO301838
OG0001720	AENJA_03434	CAPO303957
OG0001721	AENJA_03497	CAPO302302
OG0001723	AENJA_04029, AENJA_12578	CAPO308089
OG0001724	AENJA_04715, AENJA_04714	CAPO306474
OG0001724	AENJA_04716	CAPO305584
OG0001727	AENJA_06020	CAPO301729
OG0001730	AENJA_09007	CAPO303469
OG0001732	AENJA_11224	CAPO304710
OG0001733	AENJA_11585	CAPO306615
OG0001734	AENJA_19799, AENJA_13245	CAPO306594
OG0001735	AENJA_13640, AENJA_13638	CAPO301389
OG0001738	AENJA_15108	CAPO301655
OG0001739	AENJA_15111	CAPO304154
OG0001743	AENJA_16159	CAPO306128
OG0001746	AENJA_19060	CAPO306662
OG0001750	AENJA_22826	CAPO304954
OG0001755	AENJA_24912	CAPO300413
OG0001756	AENJA_25749	CAPO301153
OG0001756	AENJA_25480	CAPO306605
OG0001769	AENJA_00392	CAPO300754
OG0001769	AENJA_14833	CAPO306748
OG0001770	AENJA_00514	CAPO304551
OG0001772	AENJA_00723	CAPO303731
OG0001774	AENJA_01099, AENJA_09499	CAPO302411
OG0001775	AENJA_01192	CAPO300385, CAPO303998
OG0001778	AENJA_03173, AENJA_03171, AENJA_02145, AENJA_03170	CAPO303585
OG0001780	AENJA_03259	CAPO305647
OG0001781	AENJA_25405	CAPO304059
OG0001781	AENJA_03406	CAPO306335
OG0001782	AENJA_04195	CAPO302329
OG0001783	AENJA_04445	CAPO302497
OG0001787	AENJA_05662	CAPO302384
OG0001789	AENJA_19168, AENJA_06214	CAPO303597
OG0001792	AENJA_21975, AENJA_24891, AENJA_21976, AENJA_21971	CAPO305067
OG0001792	AENJA_06373	CAPO302146
OG0001793	AENJA_07131	CAPO302934
OG0001794	AENJA_07515, AENJA_16390	CAPO305037
OG0001797	AENJA_08186	CAPO305230
OG0001799	AENJA_08605	CAPO307439
OG0001800	AENJA_09181	CAPO302099, CAPO301494
OG0001801	AENJA_09455	CAPO301631, CAPO300406, CAPO302328, CAPO300564
OG0001802	AENJA_09560, AENJA_23064	CAPO307992
OG0001804	AENJA_10202	CAPO307706
OG0001805	AENJA_10542	CAPO301307
OG0001807	AENJA_12201	CAPO305640
OG0001808	AENJA_13026	CAPO300354
OG0001809	AENJA_13412	CAPO307543
OG0001811	AENJA_14089	CAPO304043
OG0001814	AENJA_26556, AENJA_23859, AENJA_15166	CAPO305508
OG0001816	AENJA_15931	CAPO300431
OG0001818	AENJA_18459	CAPO302088
OG0001819	AENJA_19342	CAPO307172
