Orthogroup	AENJA_ok	ASTMX
OG0000519	AENJA_00264	ASTMX13209, ASTMX05997
OG0000521	AENJA_00888	ASTMX12513, ASTMX04599, ASTMX14516, ASTMX14141, ASTMX03940, ASTMX02711
OG0000522	AENJA_22612	ASTMX18924
OG0000522	AENJA_04937, AENJA_01107	ASTMX19564, ASTMX01611
OG0000523	AENJA_23211	ASTMX14503
OG0000524	AENJA_03124	ASTMX13403, ASTMX02748
OG0000525	AENJA_05189	ASTMX22715, ASTMX10039, ASTMX12399
OG0000525	AENJA_24865	ASTMX02688, ASTMX11391
OG0000526	AENJA_05234, AENJA_11511, AENJA_11510	ASTMX04211, ASTMX04131
OG0000527	AENJA_07523	ASTMX08597, ASTMX10376
OG0000528	AENJA_23565	ASTMX18461, ASTMX02315, ASTMX10467, ASTMX20121
OG0000530	AENJA_14711	ASTMX03176, ASTMX02906, ASTMX17387, ASTMX07408, ASTMX19455
OG0000531	AENJA_23815	ASTMX15872, ASTMX16153
OG0000532	AENJA_06922	ASTMX11129, ASTMX21141
OG0000532	AENJA_01491, AENJA_19889	ASTMX01302, ASTMX15057
OG0000533	AENJA_15823, AENJA_03677, AENJA_15822, AENJA_15826	ASTMX17186, ASTMX16729
OG0000534	AENJA_07190	ASTMX08654, ASTMX15015, ASTMX16887, ASTMX17809, ASTMX14095, ASTMX16886
OG0000535	AENJA_12925, AENJA_12992, AENJA_12990, AENJA_12989	ASTMX07978, ASTMX01946, ASTMX20355, ASTMX22489
OG0000537	AENJA_17430	ASTMX15547, ASTMX02699, ASTMX00179
OG0000538	AENJA_23758	ASTMX06663, ASTMX01046, ASTMX13231, ASTMX04495, ASTMX12645, ASTMX21007
OG0000542	AENJA_00918	ASTMX21069
OG0000542	AENJA_09124	ASTMX04273
OG0000544	AENJA_06261	ASTMX11235, ASTMX03698, ASTMX08268
OG0000544	AENJA_21071	ASTMX06964, ASTMX06963
OG0000545	AENJA_10948	ASTMX10987
OG0000545	AENJA_15907	ASTMX08452, ASTMX01683, ASTMX12544, ASTMX08514, ASTMX06310
OG0000545	AENJA_15906	ASTMX10989
OG0000548	AENJA_14730	ASTMX10235
OG0000548	AENJA_19997	ASTMX16625, ASTMX05347
OG0000550	AENJA_25194	ASTMX22613
OG0000551	AENJA_25358	ASTMX02105
OG0000552	AENJA_18702	ASTMX21676
OG0000553	AENJA_20283	ASTMX06372, ASTMX14267, ASTMX09263, ASTMX16310
OG0000553	AENJA_25732	ASTMX14321, ASTMX21466, ASTMX11677
OG0000554	AENJA_25501	ASTMX22268
OG0000560	AENJA_26784, AENJA_05002, AENJA_05259, AENJA_05258, AENJA_11328, AENJA_13330, AENJA_03885, AENJA_09501, AENJA_00484, AENJA_09500, AENJA_00930, AENJA_00927, AENJA_04993	ASTMX10434, ASTMX12293
OG0000561	AENJA_01455	ASTMX19650
OG0000562	AENJA_25856	ASTMX02939
OG0000562	AENJA_02716	ASTMX18239, ASTMX07420
OG0000564	AENJA_10935	ASTMX10683, ASTMX04443, ASTMX18629, ASTMX04222, ASTMX15637
OG0000565	AENJA_26555	ASTMX06713
OG0000566	AENJA_14810	ASTMX02202
OG0000566	AENJA_20531, AENJA_16653	ASTMX09638
OG0000572	AENJA_05866	ASTMX14415, ASTMX08526
OG0000572	AENJA_02750	ASTMX09438, ASTMX05246
OG0000573	AENJA_05835	ASTMX11352, ASTMX15555, ASTMX04860
OG0000573	AENJA_03220	ASTMX02201
OG0000574	AENJA_24754	ASTMX11657
OG0000575	AENJA_04710	ASTMX18324, ASTMX05900, ASTMX10924, ASTMX11741, ASTMX07926, ASTMX05390, ASTMX08403
OG0000576	AENJA_05569	ASTMX00576, ASTMX05718, ASTMX14775, ASTMX02752, ASTMX15841, ASTMX00788
OG0000578	AENJA_09428	ASTMX18006, ASTMX10470, ASTMX08286, ASTMX01576, ASTMX10827, ASTMX04585
OG0000579	AENJA_22778	ASTMX19442, ASTMX10867, ASTMX05568, ASTMX19217, ASTMX02063, ASTMX06365
OG0000580	AENJA_13580	ASTMX08882
OG0000580	AENJA_19255	ASTMX14484
OG0000581	AENJA_15347	ASTMX10825
OG0000581	AENJA_15345	ASTMX10599, ASTMX16863, ASTMX10824, ASTMX04580
OG0000581	AENJA_15344	ASTMX10823
OG0000583	AENJA_17607	ASTMX19288, ASTMX12142, ASTMX19104, ASTMX09781, ASTMX15227, ASTMX16808, ASTMX07495
OG0000588	AENJA_02286	ASTMX14157, ASTMX18468, ASTMX06494, ASTMX10386, ASTMX19382
OG0000588	AENJA_21633	ASTMX03016
OG0000589	AENJA_05016	ASTMX00371, ASTMX03603, ASTMX00369, ASTMX00368, ASTMX00370, ASTMX02599, ASTMX02002, ASTMX18733, ASTMX08294, ASTMX08295, ASTMX08296
OG0000590	AENJA_19774	ASTMX12992, ASTMX20440, ASTMX15142, ASTMX10181, ASTMX04496
OG0000590	AENJA_07046	ASTMX11935, ASTMX00513
OG0000591	AENJA_25061	ASTMX04992, ASTMX12325
OG0000591	AENJA_08335, AENJA_08330	ASTMX06089
OG0000591	AENJA_08329	ASTMX09194
OG0000592	AENJA_12392	ASTMX01208
OG0000593	AENJA_21036	ASTMX11066, ASTMX07725, ASTMX21954, ASTMX04864
OG0000593	AENJA_17174	ASTMX09942, ASTMX00591, ASTMX02549, ASTMX05477, ASTMX19749
OG0000594	AENJA_13904	ASTMX10755, ASTMX00628
OG0000597	AENJA_10748	ASTMX09658, ASTMX18806, ASTMX12198, ASTMX07313, ASTMX15757
OG0000597	AENJA_01626	ASTMX00247, ASTMX15148, ASTMX16916
OG0000600	AENJA_07369	ASTMX20643, ASTMX08135, ASTMX01949, ASTMX20647, ASTMX20645, ASTMX04525
OG0000601	AENJA_07534	ASTMX20990, ASTMX07640, ASTMX07641, ASTMX07642, ASTMX05034, ASTMX05939
OG0000602	AENJA_17434	ASTMX11828, ASTMX15540, ASTMX07892, ASTMX18681
OG0000602	AENJA_11021	ASTMX15541, ASTMX07893, ASTMX11827, ASTMX00030, ASTMX18680
OG0000603	AENJA_20949	ASTMX10221, ASTMX04851, ASTMX01584, ASTMX06561, ASTMX19202
OG0000604	AENJA_24197	ASTMX03236, ASTMX19938
OG0000604	AENJA_26538	ASTMX19572, ASTMX20954
OG0000607	AENJA_06811	ASTMX02194, ASTMX15507, ASTMX16125, ASTMX15313
OG0000608	AENJA_01735	ASTMX19885
OG0000609	AENJA_03157	ASTMX13250
OG0000610	AENJA_25857	ASTMX09076, ASTMX07077, ASTMX09077
OG0000610	AENJA_04760	ASTMX15042
OG0000610	AENJA_20028	ASTMX03105, ASTMX08602
OG0000611	AENJA_13627	ASTMX12827
OG0000613	AENJA_20929	ASTMX03360
OG0000614	AENJA_17421	ASTMX11010
OG0000616	AENJA_11411	ASTMX12370, ASTMX03498, ASTMX08899
OG0000617	AENJA_11546	ASTMX00627
OG0000618	AENJA_25954, AENJA_25956	ASTMX22556
OG0000619	AENJA_15723	ASTMX10497, ASTMX11699, ASTMX15036, ASTMX15037, ASTMX12055, ASTMX11698, ASTMX11697
OG0000620	AENJA_23743	ASTMX19268, ASTMX02620
OG0000623	AENJA_02871	ASTMX07600
OG0000623	AENJA_17960	ASTMX07831, ASTMX20139, ASTMX15503
OG0000624	AENJA_13893, AENJA_06380, AENJA_22597	ASTMX13226, ASTMX19412, ASTMX08664
OG0000625	AENJA_23811	ASTMX11301, ASTMX11304, ASTMX11302, ASTMX16523, ASTMX16522, ASTMX11303, ASTMX14967, ASTMX11878
OG0000625	AENJA_07653	ASTMX10549
OG0000626	AENJA_12652	ASTMX00847, ASTMX01224, ASTMX06433, ASTMX01759, ASTMX01760
OG0000627	AENJA_13466	ASTMX02960, ASTMX07039, ASTMX06195
OG0000628	AENJA_25533	ASTMX05782, ASTMX11840, ASTMX18687
OG0000628	AENJA_13648	ASTMX03435, ASTMX03434, ASTMX12380, ASTMX18405, ASTMX15898
OG0000629	AENJA_26558	ASTMX18251, ASTMX09266, ASTMX08860, ASTMX17914, ASTMX07251
OG0000633	AENJA_05498, AENJA_21962, AENJA_21535, AENJA_18151, AENJA_01137	ASTMX11538
OG0000634	AENJA_04829	ASTMX01056, ASTMX12422
OG0000636	AENJA_07463	ASTMX16568, ASTMX15211, ASTMX02467, ASTMX01529, ASTMX19165, ASTMX14950
OG0000637	AENJA_16161	ASTMX21369
OG0000637	AENJA_07771	ASTMX21579, ASTMX17434
OG0000639	AENJA_10965	ASTMX07088, ASTMX03393
OG0000639	AENJA_22126	ASTMX02657, ASTMX18519, ASTMX07469
OG0000642	AENJA_02487, AENJA_00389, AENJA_26018	ASTMX01930, ASTMX01929, ASTMX17309, ASTMX04214, ASTMX12313
OG0000643	AENJA_00652	ASTMX02318, ASTMX01314
OG0000645	AENJA_00673	ASTMX12833, ASTMX02606
OG0000645	AENJA_22405	ASTMX18567, ASTMX05124
OG0000646	AENJA_01294, AENJA_21315	ASTMX16478, ASTMX02676
OG0000646	AENJA_07139	ASTMX07029, ASTMX07086, ASTMX20232
OG0000647	AENJA_07172	ASTMX17066
OG0000647	AENJA_01826	ASTMX12729, ASTMX12730
OG0000648	AENJA_04823	ASTMX22428, ASTMX02643
OG0000648	AENJA_04819	ASTMX15128, ASTMX02551
OG0000649	AENJA_11680, AENJA_09384, AENJA_14703	ASTMX09392, ASTMX04774, ASTMX18484, ASTMX18485, ASTMX01888
OG0000651	AENJA_15937	ASTMX17737, ASTMX05303, ASTMX08641
OG0000653	AENJA_23630	ASTMX16680, ASTMX08281, ASTMX18100, ASTMX03946, ASTMX02496, ASTMX13550, ASTMX18970, ASTMX13180, ASTMX06484
OG0000654	AENJA_23986	ASTMX13738, ASTMX11052, ASTMX19746, ASTMX10206, ASTMX17145, ASTMX00164
OG0000657	AENJA_14948, AENJA_01442	ASTMX12483, ASTMX19401
OG0000660	AENJA_07533, AENJA_06621	ASTMX14506, ASTMX05874
OG0000661	AENJA_21719, AENJA_08009	ASTMX20064, ASTMX13172, ASTMX22694, ASTMX19430, ASTMX21560, ASTMX20894, ASTMX21559, ASTMX20895, ASTMX21484, ASTMX20961, ASTMX20959, ASTMX21485, ASTMX17363, ASTMX15700, ASTMX10414, ASTMX10410, ASTMX10411
OG0000662	AENJA_09173	ASTMX17885
OG0000662	AENJA_21495	ASTMX16404, ASTMX12633, ASTMX19890, ASTMX07727
OG0000663	AENJA_26290	ASTMX00870
OG0000663	AENJA_19588	ASTMX22176
OG0000664	AENJA_14841	ASTMX04014, ASTMX05721, ASTMX16074, ASTMX00707
OG0000664	AENJA_15036	ASTMX05443, ASTMX20094
OG0000665	AENJA_18167	ASTMX00639, ASTMX14293, ASTMX19003, ASTMX12074, ASTMX09156, ASTMX14734, ASTMX03383
OG0000666	AENJA_19016	ASTMX19047
OG0000667	AENJA_23722, AENJA_23727, AENJA_23726	ASTMX20350, ASTMX23022, ASTMX21283
OG0000670	AENJA_07203	ASTMX20785, ASTMX03449, ASTMX08812, ASTMX09574, ASTMX02280, ASTMX21360, ASTMX21701, ASTMX18201
OG0000671	AENJA_09440	ASTMX06408, ASTMX19050, ASTMX20927, ASTMX00924, ASTMX01022, ASTMX16162, ASTMX15147
OG0000672	AENJA_02173	ASTMX04882
OG0000674	AENJA_03705	ASTMX09072, ASTMX11026
OG0000675	AENJA_15560, AENJA_09004, AENJA_04399	ASTMX11306
OG0000676	AENJA_15570	ASTMX00864, ASTMX18277
OG0000676	AENJA_04404	ASTMX08754, ASTMX04107, ASTMX12053, ASTMX05384, ASTMX03141
OG0000680	AENJA_14535	ASTMX04094, ASTMX17912, ASTMX07260
OG0000680	AENJA_08373	ASTMX09412
OG0000681	AENJA_12150	ASTMX16270, ASTMX14874, ASTMX04528, ASTMX09518
OG0000682	AENJA_14433	ASTMX11995, ASTMX12288, ASTMX10499, ASTMX07767
OG0000683	AENJA_18458	ASTMX00004, ASTMX04192
OG0000683	AENJA_20329	ASTMX02366, ASTMX20098, ASTMX14160
OG0000684	AENJA_20633	ASTMX02086, ASTMX02670, ASTMX17835, ASTMX13854
OG0000685	AENJA_25532	ASTMX21758
OG0000690	AENJA_04544	ASTMX00910, ASTMX12919
OG0000690	AENJA_00603	ASTMX17891, ASTMX22294
OG0000691	AENJA_08029	ASTMX15518
OG0000691	AENJA_00795	ASTMX17535, ASTMX19545, ASTMX15604, ASTMX00917, ASTMX18521
OG0000692	AENJA_17363, AENJA_13840	ASTMX05795
OG0000693	AENJA_01709	ASTMX01005, ASTMX05252, ASTMX09341, ASTMX22319, ASTMX13726, ASTMX10635
OG0000693	AENJA_03923	ASTMX11362
OG0000694	AENJA_02666, AENJA_15805	ASTMX03278, ASTMX14068, ASTMX09753, ASTMX09044
OG0000696	AENJA_12321	ASTMX10247
OG0000697	AENJA_07893, AENJA_21762	ASTMX20673, ASTMX15925, ASTMX22108, ASTMX19355, ASTMX01748, ASTMX13942, ASTMX09469
OG0000698	AENJA_24097	ASTMX03878
OG0000698	AENJA_10581	ASTMX11812, ASTMX12891, ASTMX01360, ASTMX12890, ASTMX09372
OG0000700	AENJA_14030	ASTMX14574, ASTMX08885, ASTMX10307, ASTMX02187, ASTMX22678, ASTMX06288, ASTMX10199, ASTMX22219
OG0000701	AENJA_18091	ASTMX20666, ASTMX10954, ASTMX11996, ASTMX15941
OG0000702	AENJA_23407	ASTMX18168, ASTMX02447, ASTMX15168, ASTMX00641, ASTMX14288
OG0000703	AENJA_26449	ASTMX02735, ASTMX03772, ASTMX19327
OG0000706	AENJA_23411, AENJA_25177	ASTMX06417, ASTMX00708
OG0000707	AENJA_08006, AENJA_19779	ASTMX13563
OG0000708	AENJA_10491	ASTMX20485, ASTMX07401
OG0000708	AENJA_04787	ASTMX01986, ASTMX04018
OG0000710	AENJA_02261	ASTMX09787, ASTMX01132, ASTMX21085, ASTMX15140
OG0000711	AENJA_12473	ASTMX10859
OG0000711	AENJA_12494	ASTMX02221, ASTMX06274
OG0000711	AENJA_02057	ASTMX00349, ASTMX10858
OG0000712	AENJA_04728	ASTMX22569, ASTMX03963, ASTMX04673, ASTMX01123, ASTMX10729, ASTMX02260, ASTMX21387, ASTMX03749
OG0000715	AENJA_15913	ASTMX14672, ASTMX18871, ASTMX22799, ASTMX19603, ASTMX07512, ASTMX20053, ASTMX05364
OG0000716	AENJA_17206	ASTMX07959, ASTMX03833, ASTMX05778
OG0000717	AENJA_19227	ASTMX00510
OG0000718	AENJA_24056, AENJA_24052, AENJA_21088	ASTMX00156, ASTMX21497, ASTMX08739, ASTMX06759, ASTMX18042, ASTMX01851
OG0000720	AENJA_14612	ASTMX08205, ASTMX06231
OG0000721	AENJA_16007	ASTMX09355, ASTMX10626
OG0000721	AENJA_01615	ASTMX01119, ASTMX09098, ASTMX11905, ASTMX16534
OG0000722	AENJA_02846	ASTMX11006, ASTMX22801, ASTMX12541, ASTMX04707, ASTMX03237, ASTMX11068, ASTMX03598, ASTMX02154, ASTMX08313
OG0000726	AENJA_14697	ASTMX13772, ASTMX13000, ASTMX04188, ASTMX09401
OG0000730	AENJA_08838	ASTMX20397, ASTMX07875, ASTMX13260
OG0000730	AENJA_04711	ASTMX18548, ASTMX02642, ASTMX01674, ASTMX00160, ASTMX01043
OG0000731	AENJA_07204	ASTMX02541, ASTMX17854, ASTMX16715, ASTMX02722
OG0000732	AENJA_23886	ASTMX04110, ASTMX08757, ASTMX08756
OG0000732	AENJA_12389	ASTMX19433, ASTMX11592, ASTMX05482
OG0000733	AENJA_07801	ASTMX13523, ASTMX10818, ASTMX05629, ASTMX01287
OG0000734	AENJA_10770	ASTMX19512, ASTMX21022, ASTMX19965, ASTMX01932, ASTMX22860
OG0000735	AENJA_15834	ASTMX18670, ASTMX15914, ASTMX01829, ASTMX03219
OG0000736	AENJA_24261	ASTMX19171
OG0000736	AENJA_25876	ASTMX08660, ASTMX00487
OG0000740	AENJA_11591	ASTMX14537, ASTMX06828, ASTMX20426, ASTMX10405
OG0000741	AENJA_24551, AENJA_18140, AENJA_01425	ASTMX17362
OG0000743	AENJA_02220, AENJA_13371	ASTMX20693, ASTMX11433, ASTMX04870
OG0000743	AENJA_13756, AENJA_04913	ASTMX03638, ASTMX04869, ASTMX21402
OG0000744	AENJA_07063, AENJA_07064	ASTMX08430, ASTMX13118, ASTMX02655, ASTMX15516
OG0000745	AENJA_19385	ASTMX10595
OG0000746	AENJA_09613	ASTMX17663
OG0000748	AENJA_15960	ASTMX16043
OG0000749	AENJA_18432	ASTMX16104, ASTMX05800, ASTMX02758
OG0000750	AENJA_20977	ASTMX15609
OG0000751	AENJA_22604	ASTMX20516, ASTMX04152, ASTMX15696
OG0000752	AENJA_26667	ASTMX06480, ASTMX04128
OG0000753	AENJA_01120	ASTMX22178, ASTMX21967
OG0000753	AENJA_10740	ASTMX20031, ASTMX02344, ASTMX11178
OG0000755	AENJA_02216	ASTMX12763, ASTMX09944, ASTMX09713, ASTMX10144
OG0000756	AENJA_03035	ASTMX08072
OG0000757	AENJA_15686	ASTMX17086
OG0000757	AENJA_08837	ASTMX05445
OG0000758	AENJA_07914	ASTMX19547, ASTMX16359, ASTMX11953, ASTMX19955, ASTMX17536, ASTMX07595
OG0000759	AENJA_12039	ASTMX14677, ASTMX13249, ASTMX18116, ASTMX06445, ASTMX15465, ASTMX13612, ASTMX13613
OG0000760	AENJA_12914	ASTMX16638, ASTMX08318, ASTMX02096, ASTMX16846, ASTMX02097
OG0000761	AENJA_13286	ASTMX04074, ASTMX18480, ASTMX02391
OG0000762	AENJA_17187	ASTMX05730, ASTMX00651
OG0000763	AENJA_17341	ASTMX14556, ASTMX10316, ASTMX02051, ASTMX06717
OG0000764	AENJA_20419	ASTMX06499, ASTMX03308
OG0000765	AENJA_22260	ASTMX18648, ASTMX05048
OG0000766	AENJA_22560	ASTMX11015, ASTMX06840, ASTMX04918, ASTMX08201
OG0000767	AENJA_23872	ASTMX03288, ASTMX02324, ASTMX18659, ASTMX03804
OG0000768	AENJA_24479	ASTMX07141, ASTMX00777, ASTMX22777, ASTMX20032
OG0000772	AENJA_24869, AENJA_00651	ASTMX21784
OG0000772	AENJA_10656	ASTMX06747
OG0000774	AENJA_01594	ASTMX06458
OG0000774	AENJA_14294	ASTMX12899
OG0000774	AENJA_06861	ASTMX04044
OG0000776	AENJA_16571	ASTMX07839, ASTMX16276, ASTMX00140, ASTMX08791, ASTMX16952
OG0000777	AENJA_05898, AENJA_04500	ASTMX11385
OG0000778	AENJA_05941	ASTMX20492
OG0000778	AENJA_05940	ASTMX18216, ASTMX05703
OG0000779	AENJA_08422	ASTMX03437, ASTMX00687, ASTMX11032, ASTMX06141
OG0000780	AENJA_22246	ASTMX01363
OG0000780	AENJA_14707	ASTMX05871
OG0000781	AENJA_15224, AENJA_20107	ASTMX01378
OG0000782	AENJA_17040	ASTMX02444, ASTMX19387, ASTMX06219, ASTMX00254
OG0000786	AENJA_06215	ASTMX08950, ASTMX01793, ASTMX05538, ASTMX15702, ASTMX17407, ASTMX20594, ASTMX20593, ASTMX22132, ASTMX20592, ASTMX16013, ASTMX13074
OG0000787	AENJA_00390	ASTMX18588, ASTMX20527, ASTMX20528, ASTMX03662, ASTMX06610, ASTMX03035
OG0000788	AENJA_19776	ASTMX03595, ASTMX18586
OG0000788	AENJA_01187	ASTMX05072, ASTMX10651, ASTMX11933, ASTMX02454
OG0000790	AENJA_05227, AENJA_22178, AENJA_20968	ASTMX22472
OG0000791	AENJA_05472	ASTMX13100, ASTMX11966, ASTMX00979, ASTMX16746, ASTMX17098
OG0000792	AENJA_06794	ASTMX01915
OG0000792	AENJA_22407	ASTMX11855, ASTMX16348
OG0000793	AENJA_10797	ASTMX14223, ASTMX10357, ASTMX01727, ASTMX02233, ASTMX02443, ASTMX05161, ASTMX20115
OG0000795	AENJA_14885, AENJA_12941	ASTMX15720
OG0000797	AENJA_12225	ASTMX20588, ASTMX19577
OG0000798	AENJA_13993	ASTMX21193, ASTMX11678, ASTMX10211
OG0000799	AENJA_16513	ASTMX17390, ASTMX14818, ASTMX00307, ASTMX10072, ASTMX09971, ASTMX14456, ASTMX15426
OG0000800	AENJA_17652	ASTMX10910, ASTMX21176, ASTMX21175
OG0000801	AENJA_25017, AENJA_26418, AENJA_18704	ASTMX01728, ASTMX02234, ASTMX15089
OG0000802	AENJA_19187	ASTMX06019, ASTMX21699, ASTMX11410, ASTMX02887, ASTMX04926, ASTMX14181, ASTMX13825, ASTMX08074, ASTMX21722, ASTMX16382, ASTMX05118, ASTMX11346
OG0000803	AENJA_21679	ASTMX01085, ASTMX17361
OG0000809	AENJA_02164	ASTMX18076, ASTMX16871, ASTMX20241, ASTMX06550, ASTMX06551, ASTMX02419, ASTMX12066
OG0000810	AENJA_24609	ASTMX22884, ASTMX14057
OG0000810	AENJA_24929, AENJA_02925	ASTMX12714, ASTMX07516, ASTMX17120
OG0000811	AENJA_02995, AENJA_03253, AENJA_03247, AENJA_22383, AENJA_03249, AENJA_03248, AENJA_07553, AENJA_03042, AENJA_04170, AENJA_16213	ASTMX16565
OG0000813	AENJA_03651, AENJA_14254	ASTMX04213
OG0000813	AENJA_23135	ASTMX12845, ASTMX17981
OG0000814	AENJA_17687, AENJA_08768, AENJA_09662	ASTMX15595
OG0000815	AENJA_11775	ASTMX05918
OG0000815	AENJA_11030	ASTMX00181
OG0000816	AENJA_21712	ASTMX01604, ASTMX07613, ASTMX14361
OG0000816	AENJA_05704	ASTMX03674, ASTMX12133
OG0000817	AENJA_07214	ASTMX22057
OG0000817	AENJA_18385	ASTMX12294
OG0000817	AENJA_14055	ASTMX19659
OG0000818	AENJA_07677	ASTMX12922, ASTMX22575, ASTMX07670, ASTMX01486, ASTMX09066
OG0000819	AENJA_23147	ASTMX14488
OG0000819	AENJA_24188	ASTMX05872, ASTMX12231
OG0000820	AENJA_23750	ASTMX08673, ASTMX00527
OG0000821	AENJA_25230	ASTMX15915
OG0000822	AENJA_26562	ASTMX12417
OG0000824	AENJA_00764	ASTMX19096, ASTMX19094, ASTMX19092, ASTMX12217, ASTMX19091, ASTMX12216, ASTMX19095
OG0000825	AENJA_01783	ASTMX19849, ASTMX06289
OG0000826	AENJA_02454, AENJA_02453, AENJA_09226, AENJA_02455	ASTMX19669
OG0000828	AENJA_14692	ASTMX19023
OG0000829	AENJA_07432	ASTMX20116, ASTMX18197, ASTMX04946, ASTMX13633, ASTMX12842
OG0000829	AENJA_18083	ASTMX02806, ASTMX14699, ASTMX09961, ASTMX19415, ASTMX04647, ASTMX18505
OG0000830	AENJA_15149	ASTMX15395, ASTMX17788, ASTMX07267, ASTMX03575
OG0000831	AENJA_09091	ASTMX10322, ASTMX00501
OG0000832	AENJA_09731, AENJA_09723	ASTMX15114, ASTMX12276, ASTMX04850
OG0000833	AENJA_13518	ASTMX16676, ASTMX17036, ASTMX20537, ASTMX17998
OG0000834	AENJA_15508	ASTMX03780
OG0000835	AENJA_17324	ASTMX11779
OG0000835	AENJA_22772	ASTMX01087, ASTMX09001, ASTMX07115, ASTMX07230
OG0000836	AENJA_19604	ASTMX14295, ASTMX00637, ASTMX02859
OG0000837	AENJA_25179	ASTMX04294, ASTMX04295, ASTMX04140, ASTMX07602, ASTMX17291
OG0000841	AENJA_00152	ASTMX20424, ASTMX10887, ASTMX01216, ASTMX12144
OG0000842	AENJA_00962	ASTMX13270, ASTMX14600, ASTMX21767, ASTMX08674, ASTMX22831, ASTMX05913, ASTMX19115, ASTMX09604
OG0000844	AENJA_02377	ASTMX05225, ASTMX06886, ASTMX11513, ASTMX04355, ASTMX10336, ASTMX04359
OG0000845	AENJA_11386	ASTMX05855
OG0000846	AENJA_25187, AENJA_04744, AENJA_21051, AENJA_24758	ASTMX14946, ASTMX06081
OG0000847	AENJA_19531	ASTMX04476
OG0000847	AENJA_05909	ASTMX13199, ASTMX17255
OG0000848	AENJA_06120	ASTMX13979, ASTMX14345, ASTMX04742
OG0000848	AENJA_26421	ASTMX00257, ASTMX06224, ASTMX13366
OG0000849	AENJA_06598	ASTMX14573
OG0000849	AENJA_17459	ASTMX21951
OG0000850	AENJA_06947, AENJA_14500	ASTMX16693, ASTMX02820
OG0000850	AENJA_26527	ASTMX12095
OG0000851	AENJA_07613	ASTMX09788, ASTMX09789, ASTMX17144, ASTMX08263
OG0000852	AENJA_20937	ASTMX14218, ASTMX09079, ASTMX14219
OG0000852	AENJA_07998	ASTMX01973, ASTMX04325
OG0000854	AENJA_12138	ASTMX08448, ASTMX07266, ASTMX08447
OG0000855	AENJA_13524, AENJA_13527, AENJA_13526, AENJA_13521	ASTMX05866, ASTMX09644
OG0000857	AENJA_19063	ASTMX18737, ASTMX15778, ASTMX01089, ASTMX09003
OG0000858	AENJA_19600	ASTMX03492
OG0000860	AENJA_22939	ASTMX22579, ASTMX13435, ASTMX16785, ASTMX21569, ASTMX19755
OG0000866	AENJA_00019	ASTMX16257, ASTMX10404
OG0000869	AENJA_03586	ASTMX05238
OG0000869	AENJA_21120	ASTMX03029, ASTMX03031, ASTMX03030
OG0000871	AENJA_15432, AENJA_15433	ASTMX08820
OG0000871	AENJA_06473	ASTMX22315
OG0000872	AENJA_06798	ASTMX20999
OG0000873	AENJA_07645	ASTMX22220
OG0000874	AENJA_07937	ASTMX01664, ASTMX03695, ASTMX11238, ASTMX21323
OG0000874	AENJA_07996	ASTMX03655, ASTMX07423
OG0000875	AENJA_08703	ASTMX10227, ASTMX22128
OG0000875	AENJA_14919	ASTMX15020
OG0000877	AENJA_09093	ASTMX02085
OG0000878	AENJA_13562	ASTMX14927
OG0000879	AENJA_23882	ASTMX07159, ASTMX20218, ASTMX05667
OG0000879	AENJA_14015	ASTMX19602, ASTMX05400
OG0000880	AENJA_17126	ASTMX19119, ASTMX05557, ASTMX08534, ASTMX10778
OG0000881	AENJA_19719	ASTMX08736, ASTMX09138
OG0000881	AENJA_21849	ASTMX09646, ASTMX05888
OG0000882	AENJA_23321	ASTMX12618, ASTMX07464, ASTMX13019, ASTMX05010
OG0000887	AENJA_00163	ASTMX05512, ASTMX10768
OG0000887	AENJA_21693	ASTMX16791
OG0000888	AENJA_02929	ASTMX14224, ASTMX11928
OG0000888	AENJA_02481	ASTMX18926
OG0000889	AENJA_05911	ASTMX17253, ASTMX13198, ASTMX13987, ASTMX20205
OG0000890	AENJA_09730	ASTMX13028, ASTMX21054, ASTMX07291
OG0000892	AENJA_15266	ASTMX13286, ASTMX17844, ASTMX06337, ASTMX22137, ASTMX21089, ASTMX21944, ASTMX19404, ASTMX19403, ASTMX19405, ASTMX19406, ASTMX19411, ASTMX11754, ASTMX16643, ASTMX17014, ASTMX17959, ASTMX17961, ASTMX16640, ASTMX16641, ASTMX17957, ASTMX17958, ASTMX16642, ASTMX16639, ASTMX17960, ASTMX22501, ASTMX15187, ASTMX05596, ASTMX05595, ASTMX05597, ASTMX05579, ASTMX22607, ASTMX15537, ASTMX15538, ASTMX15677, ASTMX15676, ASTMX01659, ASTMX01657, ASTMX01658
OG0000893	AENJA_16180	ASTMX16839, ASTMX15713, ASTMX05174, ASTMX05175, ASTMX05176, ASTMX15714
OG0000894	AENJA_18194, AENJA_24655	ASTMX14915, ASTMX19186
OG0000894	AENJA_16901	ASTMX07726, ASTMX19891, ASTMX11065
OG0000896	AENJA_17963, AENJA_20857	ASTMX08984
OG0000896	AENJA_26740	ASTMX03839, ASTMX20490
OG0000897	AENJA_25522	ASTMX00619
OG0000897	AENJA_19794, AENJA_19793	ASTMX00999, ASTMX08838
OG0000898	AENJA_20658	ASTMX07406, ASTMX18529
OG0000899	AENJA_23421	ASTMX04348, ASTMX20253, ASTMX02728, ASTMX04745, ASTMX18004
OG0000904	AENJA_02063	ASTMX09306, ASTMX14881, ASTMX12135
OG0000905	AENJA_03454, AENJA_12044	ASTMX00338, ASTMX14498, ASTMX00347
