Orthogroup	AENJA_ok	HUMAN
OG0000694	AENJA_02666, AENJA_15805	HUMAN02728, HUMAN02501, HUMAN17273
OG0000696	AENJA_12321	HUMAN25700
OG0000696	AENJA_06971	HUMAN02408
OG0000697	AENJA_07893, AENJA_21762	HUMAN26804, HUMAN26803, HUMAN01360, HUMAN29864, HUMAN29865, HUMAN21104, HUMAN21106
OG0000698	AENJA_24097	HUMAN02486, HUMAN02485
OG0000698	AENJA_10581	HUMAN04921, HUMAN08679, HUMAN08678
OG0000700	AENJA_14030	HUMAN01382, HUMAN06079, HUMAN03881, HUMAN16330, HUMAN16329
OG0000701	AENJA_18091	HUMAN24288, HUMAN03226, HUMAN03225, HUMAN17194, HUMAN26260, HUMAN26261
OG0000702	AENJA_23407	HUMAN14229, HUMAN13986, HUMAN09541
OG0000703	AENJA_26449	HUMAN24282, HUMAN22696, HUMAN22695, HUMAN22697
OG0000706	AENJA_23411, AENJA_25177	HUMAN02403, HUMAN02402
OG0000707	AENJA_08006, AENJA_19779	HUMAN27766, HUMAN00167, HUMAN00166, HUMAN00168, HUMAN00165
OG0000708	AENJA_10491	HUMAN01283
OG0000708	AENJA_04787	HUMAN06223, HUMAN30508, HUMAN30507
OG0000710	AENJA_02261	HUMAN17439, HUMAN17440, HUMAN00560, HUMAN00561
OG0000711	AENJA_12473	HUMAN07022
OG0000711	AENJA_12494	HUMAN04234, HUMAN06823
OG0000711	AENJA_02057	HUMAN03946
OG0000712	AENJA_04728	HUMAN24190, HUMAN30314, HUMAN05265, HUMAN23072
OG0000713	AENJA_08677	HUMAN11950
OG0000715	AENJA_15913	HUMAN17781, HUMAN06635, HUMAN06633, HUMAN20618, HUMAN20620
OG0000716	AENJA_17206	HUMAN29657, HUMAN29658, HUMAN25164
OG0000717	AENJA_19227	HUMAN02062
OG0000718	AENJA_24056, AENJA_24052, AENJA_21088	HUMAN01467, HUMAN15637, HUMAN01962, HUMAN01963, HUMAN15306, HUMAN07484
OG0000720	AENJA_14612	HUMAN23733, HUMAN09669, HUMAN09667
OG0000721	AENJA_16007	HUMAN19959
OG0000721	AENJA_01615	HUMAN29978, HUMAN05451, HUMAN25792
OG0000722	AENJA_02846	HUMAN09223, HUMAN02691, HUMAN04759, HUMAN04418, HUMAN27014
OG0000725	AENJA_09106	HUMAN04340
OG0000726	AENJA_14697	HUMAN03025, HUMAN03026, HUMAN03027, HUMAN03023, HUMAN03018, HUMAN03024, HUMAN03021, HUMAN18123, HUMAN18124, HUMAN06404
OG0000730	AENJA_08838	HUMAN06577, HUMAN17989
OG0000730	AENJA_04711	HUMAN26220, HUMAN17582, HUMAN06664, HUMAN06663
OG0000731	AENJA_07204	HUMAN22042, HUMAN22043, HUMAN30245, HUMAN07638, HUMAN26695, HUMAN26696
OG0000732	AENJA_23886	HUMAN30214, HUMAN18534, HUMAN18537, HUMAN18535, HUMAN18536
OG0000732	AENJA_12389	HUMAN14638, HUMAN14637, HUMAN14636, HUMAN01096
OG0000733	AENJA_07801	HUMAN08500, HUMAN04842, HUMAN02482
OG0000734	AENJA_10770	HUMAN29415, HUMAN29414, HUMAN01343, HUMAN01342
OG0000735	AENJA_15834	HUMAN25549, HUMAN25550, HUMAN18959, HUMAN28130, HUMAN28133
OG0000736	AENJA_24261	HUMAN20622, HUMAN06476
OG0000736	AENJA_25876	HUMAN17852, HUMAN02972
OG0000740	AENJA_11591	HUMAN18572, HUMAN28388
OG0000743	AENJA_02218	HUMAN13444
OG0000743	AENJA_03448	HUMAN10626
OG0000743	AENJA_02220, AENJA_13371	HUMAN10614, HUMAN16281, HUMAN13445
OG0000743	AENJA_13756, AENJA_04913	HUMAN10624, HUMAN10625, HUMAN13443
OG0000744	AENJA_07063, AENJA_07064	HUMAN00289, HUMAN00292, HUMAN00290, HUMAN00281, HUMAN07979, HUMAN27970, HUMAN18870
OG0000745	AENJA_19385	HUMAN16914, HUMAN16913, HUMAN16912
OG0000746	AENJA_09613	HUMAN06050
OG0000748	AENJA_15960	HUMAN12918, HUMAN12919
OG0000749	AENJA_18432	HUMAN25082, HUMAN04939, HUMAN04940, HUMAN04938, HUMAN08964, HUMAN08965, HUMAN08966, HUMAN08963
OG0000750	AENJA_26108	HUMAN08524
OG0000751	AENJA_22604	HUMAN26069, HUMAN21913
OG0000752	AENJA_00591	HUMAN29677, HUMAN29676, HUMAN29675
OG0000752	AENJA_26667	HUMAN00918, HUMAN14778
OG0000753	AENJA_01120	HUMAN09485
OG0000753	AENJA_10740	HUMAN02007, HUMAN05622, HUMAN05621
OG0000755	AENJA_02216	HUMAN08181, HUMAN24591
OG0000757	AENJA_15686	HUMAN10800
OG0000757	AENJA_08837	HUMAN18080
OG0000758	AENJA_07914	HUMAN00461, HUMAN00462, HUMAN28238, HUMAN16598
OG0000759	AENJA_12039	HUMAN17790, HUMAN17794, HUMAN27300, HUMAN27301, HUMAN17543
OG0000760	AENJA_12914	HUMAN05782, HUMAN21049
OG0000761	AENJA_13286	HUMAN29145, HUMAN14464, HUMAN02283
OG0000762	AENJA_17187	HUMAN06537, HUMAN17947, HUMAN17946, HUMAN26153
OG0000763	AENJA_17341	HUMAN01779, HUMAN23673, HUMAN15002, HUMAN23674, HUMAN15712, HUMAN15711
OG0000764	AENJA_20419	HUMAN01181
OG0000765	AENJA_22260	HUMAN01542, HUMAN07243
OG0000765	AENJA_22263	HUMAN07244
OG0000766	AENJA_22560	HUMAN01845, HUMAN01843, HUMAN14280, HUMAN23727
OG0000767	AENJA_23872	HUMAN09350, HUMAN18691, HUMAN18692
OG0000768	AENJA_24479	HUMAN02829, HUMAN02830, HUMAN21054, HUMAN21055
OG0000772	AENJA_24869, AENJA_00651	HUMAN28705, HUMAN28706, HUMAN28704
OG0000774	AENJA_01594	HUMAN01303
OG0000774	AENJA_14294	HUMAN01304, HUMAN25353
OG0000774	AENJA_06861	HUMAN29842
OG0000776	AENJA_16571	HUMAN22855, HUMAN23098, HUMAN29543, HUMAN30264
OG0000777	AENJA_04497	HUMAN12179, HUMAN12178
OG0000777	AENJA_05898, AENJA_04500	HUMAN13333
OG0000778	AENJA_05940	HUMAN00118, HUMAN21684, HUMAN00117
OG0000779	AENJA_08422	HUMAN19017, HUMAN25627, HUMAN25628, HUMAN25626, HUMAN27878
OG0000780	AENJA_22246	HUMAN08674
OG0000780	AENJA_14707	HUMAN12283, HUMAN12282
OG0000781	AENJA_15224, AENJA_20107	HUMAN25364
OG0000782	AENJA_17040	HUMAN14354, HUMAN13919, HUMAN01526, HUMAN09694
OG0000786	AENJA_06215	HUMAN02357, HUMAN01417, HUMAN19903, HUMAN12082
OG0000787	AENJA_00390	HUMAN24287, HUMAN27681, HUMAN24285, HUMAN03250, HUMAN22686
OG0000788	AENJA_19776	HUMAN04411, HUMAN04410, HUMAN27018
OG0000788	AENJA_01187	HUMAN28674, HUMAN01749, HUMAN14357
OG0000790	AENJA_05227, AENJA_22178, AENJA_20968	HUMAN02458, HUMAN14409, HUMAN14408, HUMAN14410
OG0000791	AENJA_05472	HUMAN27291, HUMAN27292, HUMAN06332, HUMAN18232
OG0000792	AENJA_06794	HUMAN26127
OG0000792	AENJA_22407	HUMAN17927, HUMAN17926, HUMAN17928, HUMAN07120, HUMAN07119
OG0000793	AENJA_10797	HUMAN01813, HUMAN23530, HUMAN23529, HUMAN09808, HUMAN09807, HUMAN09806, HUMAN14239, HUMAN09819, HUMAN09820
OG0000794	AENJA_11312	HUMAN05033, HUMAN05029
OG0000795	AENJA_12941	HUMAN30438, HUMAN30437
OG0000797	AENJA_12225	HUMAN23752, HUMAN23754, HUMAN23003, HUMAN23004
OG0000798	AENJA_13993	HUMAN12996, HUMAN10260
OG0000799	AENJA_16513	HUMAN03572, HUMAN03573, HUMAN24207, HUMAN24208, HUMAN24205, HUMAN22273, HUMAN22272, HUMAN22274, HUMAN17345, HUMAN17346, HUMAN24206
OG0000801	AENJA_25017, AENJA_26418, AENJA_18704	HUMAN09761, HUMAN13969
OG0000802	AENJA_19187	HUMAN01155, HUMAN01153, HUMAN01154, HUMAN14855, HUMAN01190, HUMAN01189, HUMAN14331, HUMAN14330, HUMAN15853, HUMAN15854, HUMAN08400, HUMAN08401, HUMAN23294
OG0000803	AENJA_21679	HUMAN04198, HUMAN06177
OG0000809	AENJA_02164	HUMAN01052, HUMAN01051, HUMAN15029, HUMAN15032, HUMAN15033, HUMAN15030, HUMAN23557
OG0000810	AENJA_24609	HUMAN00991, HUMAN00992
OG0000810	AENJA_24929, AENJA_02925	HUMAN21423, HUMAN20624, HUMAN20625
OG0000811	AENJA_02995, AENJA_03253, AENJA_03247, AENJA_22383, AENJA_03249, AENJA_03248, AENJA_07553, AENJA_03042, AENJA_04170, AENJA_16213	HUMAN20401
OG0000813	AENJA_03651, AENJA_14254	HUMAN03259, HUMAN22179
OG0000814	AENJA_25867	HUMAN09482
OG0000815	AENJA_11030	HUMAN07837
OG0000816	AENJA_21712	HUMAN04902, HUMAN17010, HUMAN15773
OG0000816	AENJA_05704	HUMAN22732, HUMAN03583
OG0000817	AENJA_07214	HUMAN13385, HUMAN06596
OG0000817	AENJA_18385	HUMAN03169
OG0000817	AENJA_14055	HUMAN27263
OG0000818	AENJA_07677	HUMAN25966, HUMAN13463, HUMAN15929, HUMAN15930, HUMAN15928
OG0000819	AENJA_23147	HUMAN04360
OG0000819	AENJA_24188	HUMAN12285, HUMAN12284
OG0000820	AENJA_23750	HUMAN17877
OG0000824	AENJA_00764	HUMAN12192, HUMAN12199
OG0000825	AENJA_01783	HUMAN06887
OG0000826	AENJA_02455	HUMAN18961
OG0000828	AENJA_14692	HUMAN07354
OG0000829	AENJA_07432	HUMAN09769, HUMAN09770, HUMAN23704
OG0000829	AENJA_18083	HUMAN03517, HUMAN27574, HUMAN17189
OG0000830	AENJA_15149	HUMAN10228, HUMAN10227, HUMAN13475, HUMAN20103, HUMAN20104, HUMAN04465
OG0000831	AENJA_09091	HUMAN00865, HUMAN00861
OG0000832	AENJA_09731, AENJA_09723	HUMAN08917, HUMAN08744, HUMAN08745, HUMAN01034
OG0000833	AENJA_13518	HUMAN14526, HUMAN14694, HUMAN28569, HUMAN00981, HUMAN14527
OG0000834	AENJA_15508	HUMAN12572
OG0000835	AENJA_17324	HUMAN25456
OG0000835	AENJA_22772	HUMAN04187, HUMAN19692, HUMAN19697
OG0000836	AENJA_19604	HUMAN09550
OG0000837	AENJA_25179	HUMAN25283, HUMAN19289
OG0000841	AENJA_00152	HUMAN11209, HUMAN11208, HUMAN28390, HUMAN28389, HUMAN25529
OG0000842	AENJA_00962	HUMAN11438, HUMAN28733, HUMAN28739, HUMAN28726, HUMAN17591, HUMAN12703, HUMAN27200
OG0000844	AENJA_02377	HUMAN00341, HUMAN00340, HUMAN00339, HUMAN21889, HUMAN21890, HUMAN27161, HUMAN27162
OG0000845	AENJA_15397, AENJA_04163	HUMAN30116
OG0000845	AENJA_11386	HUMAN05320
OG0000846	AENJA_25187, AENJA_04744, AENJA_21051, AENJA_24758	HUMAN18548, HUMAN18550, HUMAN05197, HUMAN18395
OG0000847	AENJA_19531	HUMAN12189
OG0000847	AENJA_05909	HUMAN19801, HUMAN10864
OG0000848	AENJA_06120	HUMAN07569, HUMAN22921, HUMAN23842
OG0000848	AENJA_26421	HUMAN09682, HUMAN13934
OG0000849	AENJA_06598	HUMAN01370
OG0000849	AENJA_17459	HUMAN01371
OG0000850	AENJA_06947, AENJA_14500	HUMAN00998
OG0000850	AENJA_26527	HUMAN03430
OG0000851	AENJA_07613	HUMAN17389, HUMAN22898
OG0000852	AENJA_20937	HUMAN01598
OG0000852	AENJA_07998	HUMAN13870, HUMAN18978, HUMAN18977, HUMAN13869
OG0000855	AENJA_13524, AENJA_13527, AENJA_13526, AENJA_13521	HUMAN12462
OG0000856	AENJA_15113	HUMAN05021, HUMAN05020
OG0000857	AENJA_19063	HUMAN24948, HUMAN05809, HUMAN04190
OG0000858	AENJA_19600	HUMAN19566, HUMAN05690
OG0000860	AENJA_22939	HUMAN14477, HUMAN29300, HUMAN01277
OG0000866	AENJA_00019	HUMAN26002
OG0000869	AENJA_03586	HUMAN00016
OG0000869	AENJA_21120	HUMAN23280
OG0000871	AENJA_15432, AENJA_15433	HUMAN30324
OG0000871	AENJA_06473	HUMAN03633
OG0000872	AENJA_06798	HUMAN05052, HUMAN05051
OG0000874	AENJA_07937	HUMAN22955, HUMAN04088
OG0000874	AENJA_07996	HUMAN20636
OG0000875	AENJA_08703	HUMAN28345
OG0000875	AENJA_14919	HUMAN18108
OG0000876	AENJA_08833	HUMAN02798
OG0000877	AENJA_09093	HUMAN20047
OG0000878	AENJA_09436	HUMAN04661, HUMAN04660
OG0000878	AENJA_13562	HUMAN26167
OG0000879	AENJA_23882	HUMAN11932, HUMAN22026, HUMAN22025, HUMAN11931, HUMAN11933
OG0000879	AENJA_14015	HUMAN06283, HUMAN21911
OG0000880	AENJA_17126	HUMAN21143, HUMAN21144, HUMAN25036, HUMAN26847
OG0000881	AENJA_19719	HUMAN24746
OG0000881	AENJA_21849	HUMAN12291
OG0000882	AENJA_23321	HUMAN24494, HUMAN24493, HUMAN19192, HUMAN25186, HUMAN00713
OG0000887	AENJA_00163	HUMAN19125
OG0000887	AENJA_21693	HUMAN02796
OG0000888	AENJA_02929	HUMAN01523, HUMAN14144
OG0000888	AENJA_02481	HUMAN17235
OG0000889	AENJA_05911	HUMAN04560, HUMAN10862, HUMAN13087, HUMAN19799, HUMAN19800
OG0000890	AENJA_09730	HUMAN16690, HUMAN19479, HUMAN19478
OG0000892	AENJA_15266	HUMAN02174
OG0000893	AENJA_16180	HUMAN20939, HUMAN20942, HUMAN26905, HUMAN26904, HUMAN20941
OG0000894	AENJA_18194, AENJA_24655	HUMAN22934
OG0000894	AENJA_16901	HUMAN20156, HUMAN25909
OG0000896	AENJA_17963, AENJA_20857	HUMAN05088, HUMAN05089
OG0000896	AENJA_26740	HUMAN02560, HUMAN04868
OG0000897	AENJA_25522	HUMAN20369
OG0000897	AENJA_19794, AENJA_19793	HUMAN01428
OG0000897	AENJA_18001	HUMAN20370
OG0000898	AENJA_20658	HUMAN01291, HUMAN01290, HUMAN01289
OG0000899	AENJA_23421	HUMAN05148, HUMAN05147, HUMAN22308, HUMAN23989
OG0000904	AENJA_02063	HUMAN03047, HUMAN24362, HUMAN30132, HUMAN03200
OG0000904	AENJA_24813	HUMAN24364, HUMAN24363
OG0000905	AENJA_03454, AENJA_12044	HUMAN04252, HUMAN04253
OG0000907	AENJA_06223	HUMAN28917, HUMAN28918, HUMAN28916
OG0000908	AENJA_26233	HUMAN03117
OG0000909	AENJA_07565	HUMAN25146, HUMAN25145, HUMAN19496, HUMAN00496
OG0000911	AENJA_08748	HUMAN12682, HUMAN12683
OG0000912	AENJA_11633	HUMAN17095, HUMAN17096, HUMAN03635, HUMAN03636, HUMAN24298, HUMAN22119
OG0000912	AENJA_09966	HUMAN11740
OG0000913	AENJA_11700	HUMAN24104, HUMAN24103, HUMAN24106, HUMAN05337
OG0000914	AENJA_16081	HUMAN30514, HUMAN26792, HUMAN26791
OG0000915	AENJA_20431	HUMAN30522, HUMAN20445, HUMAN01514, HUMAN01508, HUMAN02420, HUMAN06732
OG0000921	AENJA_16626	HUMAN17556, HUMAN17558, HUMAN17557, HUMAN17559
OG0000921	AENJA_00754	HUMAN02198
OG0000923	AENJA_09851	HUMAN17831
OG0000925	AENJA_14502	HUMAN23362, HUMAN23363, HUMAN23364
OG0000925	AENJA_01829	HUMAN30631, HUMAN29752
OG0000926	AENJA_15541, AENJA_05944	HUMAN25003
OG0000928	AENJA_06210	HUMAN14950, HUMAN14947, HUMAN14948, HUMAN09734
OG0000929	AENJA_18717, AENJA_24686	HUMAN07498, HUMAN07497, HUMAN25465, HUMAN00572
OG0000930	AENJA_07380	HUMAN24832, HUMAN24833, HUMAN24830, HUMAN24828, HUMAN24829
OG0000931	AENJA_08166	HUMAN18621
OG0000932	AENJA_10313	HUMAN07155, HUMAN26747
OG0000932	AENJA_10314	HUMAN26746
OG0000934	AENJA_23792	HUMAN07465, HUMAN25721, HUMAN25723
OG0000934	AENJA_12733	HUMAN24974, HUMAN06158
OG0000935	AENJA_14023	HUMAN14530, HUMAN10106, HUMAN01617, HUMAN01618, HUMAN06391, HUMAN06392, HUMAN06390, HUMAN17822
OG0000936	AENJA_22898, AENJA_26348, AENJA_22899	HUMAN20877, HUMAN20876
OG0000938	AENJA_21758	HUMAN21959, HUMAN04773, HUMAN04774, HUMAN04772, HUMAN04771, HUMAN04769, HUMAN22973
OG0000943	AENJA_00401	HUMAN04649, HUMAN07383
OG0000944	AENJA_00580	HUMAN07470, HUMAN27468, HUMAN30061
OG0000945	AENJA_04250, AENJA_01600, AENJA_21590	HUMAN07967, HUMAN07969, HUMAN07968, HUMAN07970, HUMAN11233, HUMAN23148
OG0000946	AENJA_01969	HUMAN02309
OG0000946	AENJA_16618	HUMAN03947, HUMAN07023
OG0000947	AENJA_22086	HUMAN17713, HUMAN20687
OG0000947	AENJA_02339	HUMAN20621
OG0000949	AENJA_04000	HUMAN29456, HUMAN24815, HUMAN30599, HUMAN19495, HUMAN00495, HUMAN25148, HUMAN25147
OG0000951	AENJA_21157	HUMAN01583, HUMAN09204
OG0000952	AENJA_05461	HUMAN23779, HUMAN22570
OG0000952	AENJA_05453	HUMAN24186, HUMAN22573, HUMAN22572
OG0000954	AENJA_24386	HUMAN18210, HUMAN18209
OG0000954	AENJA_08232	HUMAN10206, HUMAN10205, HUMAN10272
OG0000955	AENJA_09334, AENJA_19306	HUMAN28653
OG0000955	AENJA_22675	HUMAN09438
OG0000955	AENJA_26657	HUMAN22849
OG0000957	AENJA_17037, AENJA_17036	HUMAN14343, HUMAN23229
OG0000958	AENJA_19017	HUMAN28882, HUMAN05775, HUMAN05774
OG0000960	AENJA_23956	HUMAN11354, HUMAN28219, HUMAN28220
OG0000963	AENJA_01165	HUMAN14179, HUMAN14180, HUMAN14181, HUMAN14182
OG0000963	AENJA_06323	HUMAN23351, HUMAN01011
OG0000965	AENJA_05586, AENJA_05584	HUMAN22507
OG0000965	AENJA_02282	HUMAN08123
OG0000966	AENJA_02547	HUMAN12399, HUMAN12400, HUMAN07294, HUMAN07293
OG0000967	AENJA_02972	HUMAN07448, HUMAN07447, HUMAN19350
OG0000967	AENJA_22529	HUMAN03396, HUMAN03397
OG0000968	AENJA_03154	HUMAN06994, HUMAN04278
OG0000968	AENJA_10751	HUMAN12426, HUMAN19951
OG0000969	AENJA_03216	HUMAN26507
OG0000970	AENJA_03395	HUMAN19711, HUMAN30698
OG0000971	AENJA_23081, AENJA_10536, AENJA_25049, AENJA_03560	HUMAN17931
OG0000972	AENJA_03845	HUMAN19914, HUMAN05358, HUMAN07389
OG0000972	AENJA_26036	HUMAN27539
OG0000973	AENJA_19754, AENJA_10901	HUMAN24825
OG0000974	AENJA_05735, AENJA_05736	HUMAN24126
OG0000978	AENJA_08414	HUMAN23161, HUMAN19104, HUMAN11274, HUMAN09230
OG0000979	AENJA_08501	HUMAN03626, HUMAN03625
OG0000981	AENJA_08762	HUMAN23534, HUMAN23535
OG0000982	AENJA_09037	HUMAN14333, HUMAN01637, HUMAN28757
OG0000985	AENJA_14891	HUMAN17532, HUMAN03584, HUMAN03585, HUMAN27498, HUMAN27502, HUMAN23895
OG0000986	AENJA_19041	HUMAN17228
OG0000987	AENJA_23574	HUMAN02812, HUMAN02813, HUMAN06286, HUMAN19599
OG0000988	AENJA_25125	HUMAN29197, HUMAN29196, HUMAN29296, HUMAN29297, HUMAN02183
OG0000992	AENJA_01350	HUMAN13425, HUMAN05365
OG0000992	AENJA_08136	HUMAN00480, HUMAN25362, HUMAN00479, HUMAN00478
OG0000994	AENJA_20560	HUMAN25360
OG0000994	AENJA_02296	HUMAN17151, HUMAN17152
OG0000995	AENJA_04072	HUMAN20125
OG0000996	AENJA_26096	HUMAN29968, HUMAN29969, HUMAN07481, HUMAN07480, HUMAN17651, HUMAN17650, HUMAN17652
OG0000997	AENJA_06940, AENJA_16738	HUMAN03989
OG0000999	AENJA_10712	HUMAN16037, HUMAN05058, HUMAN20396
OG0001000	AENJA_07118	HUMAN29732, HUMAN30113, HUMAN25791
OG0001001	AENJA_07866	HUMAN29768, HUMAN11958, HUMAN29766, HUMAN30632, HUMAN29767
OG0001002	AENJA_11066	HUMAN21505, HUMAN16097, HUMAN04437
OG0001002	AENJA_21965	HUMAN21506
OG0001003	AENJA_13424	HUMAN07373, HUMAN07372, HUMAN12090
OG0001005	AENJA_17128	HUMAN21015
OG0001006	AENJA_21663	HUMAN10719
OG0001006	AENJA_25248	HUMAN23379, HUMAN14223, HUMAN00900
OG0001008	AENJA_24757	HUMAN06853, HUMAN06852, HUMAN04267
OG0001009	AENJA_24783	HUMAN00474
OG0001015	AENJA_19717, AENJA_00951	HUMAN20175
OG0001015	AENJA_05530	HUMAN20176, HUMAN20174, HUMAN26299, HUMAN26298, HUMAN25884, HUMAN25885, HUMAN25882
OG0001016	AENJA_26608	HUMAN03017
OG0001018	AENJA_02393	HUMAN19498
OG0001018	AENJA_12182	HUMAN08887
OG0001021	AENJA_25578	HUMAN08794, HUMAN08793, HUMAN08791
OG0001021	AENJA_02776	HUMAN08792
OG0001022	AENJA_03120	HUMAN30208, HUMAN26689, HUMAN07618, HUMAN30205, HUMAN30207, HUMAN30206
OG0001023	AENJA_03151	HUMAN05807, HUMAN04131, HUMAN24949, HUMAN15956, HUMAN05808
OG0001024	AENJA_11445	HUMAN26241, HUMAN26240, HUMAN22736, HUMAN22737, HUMAN23893, HUMAN03150, HUMAN26239
OG0001026	AENJA_04437	HUMAN10167, HUMAN10166, HUMAN12354
OG0001027	AENJA_06667, AENJA_06665, AENJA_06666	HUMAN06083
OG0001028	AENJA_07594	HUMAN14304, HUMAN09715, HUMAN09716, HUMAN28814, HUMAN28812
OG0001029	AENJA_24200	HUMAN11011, HUMAN08233
OG0001029	AENJA_07743	HUMAN29975, HUMAN05450, HUMAN25715, HUMAN25716, HUMAN00741
OG0001030	AENJA_12462	HUMAN14248, HUMAN14247, HUMAN09965
OG0001031	AENJA_12602	HUMAN03538
OG0001032	AENJA_13410	HUMAN01331, HUMAN14460, HUMAN14458, HUMAN14461, HUMAN14454, HUMAN29217, HUMAN14453, HUMAN29218, HUMAN29214, HUMAN29215, HUMAN29216
OG0001033	AENJA_13779	HUMAN22499, HUMAN17164
OG0001034	AENJA_14415	HUMAN12490, HUMAN02962
OG0001036	AENJA_19830	HUMAN19198, HUMAN24555, HUMAN24554
OG0001037	AENJA_20909	HUMAN29275, HUMAN29274, HUMAN01227
OG0001039	AENJA_24765	HUMAN07040, HUMAN07042, HUMAN21441
OG0001042	AENJA_00375	HUMAN29925, HUMAN20525, HUMAN05764
OG0001044	AENJA_01430, AENJA_04864	HUMAN09934
OG0001044	AENJA_13241, AENJA_00477	HUMAN13978, HUMAN13979, HUMAN23652, HUMAN23653, HUMAN23654, HUMAN09935
OG0001046	AENJA_01047	HUMAN10290, HUMAN10289, HUMAN10288, HUMAN20197, HUMAN20196, HUMAN20198, HUMAN20195, HUMAN15923, HUMAN15922, HUMAN13448
OG0001047	AENJA_13898, AENJA_01886	HUMAN05210, HUMAN05236, HUMAN30004
OG0001048	AENJA_02250, AENJA_17677	HUMAN17075, HUMAN17078, HUMAN17076, HUMAN03099, HUMAN03100, HUMAN22630
OG0001049	AENJA_02745	HUMAN21821
OG0001049	AENJA_16062	HUMAN21566, HUMAN00206
OG0001050	AENJA_03323	HUMAN25173, HUMAN10022, HUMAN01869
OG0001052	AENJA_06392	HUMAN03137, HUMAN03136
OG0001052	AENJA_03703	HUMAN22593
OG0001053	AENJA_05825	HUMAN12525, HUMAN26150, HUMAN06551, HUMAN17942
OG0001053	AENJA_03704	HUMAN23827, HUMAN22798, HUMAN03229
OG0001054	AENJA_06350, AENJA_04202	HUMAN16260, HUMAN13202, HUMAN10727, HUMAN20086, HUMAN13203, HUMAN16261
OG0001058	AENJA_07821	HUMAN01956, HUMAN05750
OG0001059	AENJA_08095	HUMAN13851, HUMAN13852, HUMAN16703
OG0001060	AENJA_25128	HUMAN30131
OG0001062	AENJA_10657	HUMAN14494, HUMAN01209, HUMAN01211
OG0001063	AENJA_15475	HUMAN16934, HUMAN16936, HUMAN16935
OG0001065	AENJA_19195	HUMAN09272, HUMAN02537
OG0001066	AENJA_19790	HUMAN01431, HUMAN20904, HUMAN20903, HUMAN01429
OG0001067	AENJA_20835	HUMAN29563, HUMAN29562, HUMAN29564, HUMAN29560, HUMAN29561, HUMAN29571
OG0001068	AENJA_21475	HUMAN05952
OG0001072	AENJA_00305, AENJA_03396	HUMAN07095
OG0001072	AENJA_18929	HUMAN27023, HUMAN27024
OG0001073	AENJA_00575	HUMAN23983, HUMAN30107, HUMAN07711
OG0001075	AENJA_00807	HUMAN24569, HUMAN16597, HUMAN16596
OG0001076	AENJA_01569	HUMAN07536, HUMAN22387
OG0001077	AENJA_01679	HUMAN02958
OG0001077	AENJA_05855	HUMAN26035
OG0001078	AENJA_10264	HUMAN20283, HUMAN24929, HUMAN04434
OG0001079	AENJA_03947	HUMAN01422, HUMAN26876, HUMAN29846, HUMAN29847
OG0001080	AENJA_04073	HUMAN26171, HUMAN06728, HUMAN06729, HUMAN06727
OG0001080	AENJA_09896	HUMAN28042, HUMAN28041, HUMAN15214
OG0001081	AENJA_16503, AENJA_04238	HUMAN15960
OG0001082	AENJA_06872, AENJA_21482	HUMAN18213, HUMAN06409, HUMAN06410
OG0001083	AENJA_07171	HUMAN03184, HUMAN03185, HUMAN23866, HUMAN23865, HUMAN27528, HUMAN27527, HUMAN17258, HUMAN17257
OG0001084	AENJA_07749	HUMAN26028
OG0001085	AENJA_09145, AENJA_21401	HUMAN21139, HUMAN29849, HUMAN26851, HUMAN26850, HUMAN25039
OG0001086	AENJA_12710	HUMAN15433, HUMAN08606, HUMAN08605, HUMAN04881
OG0001089	AENJA_16474	HUMAN15690
OG0001090	AENJA_16877	HUMAN06347
OG0001091	AENJA_17138	HUMAN17874, HUMAN17873, HUMAN12948, HUMAN26589, HUMAN26587, HUMAN26588, HUMAN17872, HUMAN12947, HUMAN12946, HUMAN12945
OG0001093	AENJA_19251	HUMAN26567, HUMAN12954
OG0001094	AENJA_23025	HUMAN18720, HUMAN08291, HUMAN04909
OG0001095	AENJA_25247	HUMAN06662, HUMAN17682, HUMAN20656, HUMAN20657
OG0001101	AENJA_00373	HUMAN05769
OG0001102	AENJA_00718	HUMAN18703
OG0001103	AENJA_01387	HUMAN25684, HUMAN27937, HUMAN27936
OG0001104	AENJA_02199	HUMAN09442
OG0001105	AENJA_15729	HUMAN21767, HUMAN21766, HUMAN21768
OG0001105	AENJA_02419, AENJA_25097	HUMAN18846
OG0001106	AENJA_23681, AENJA_03788	HUMAN10112
OG0001107	AENJA_04030	HUMAN21851, HUMAN30406, HUMAN07877, HUMAN07869
OG0001108	AENJA_04372, AENJA_04373	HUMAN06470
OG0001109	AENJA_05558	HUMAN13297, HUMAN13295, HUMAN13298, HUMAN22148
OG0001110	AENJA_06070	HUMAN01328, HUMAN29331, HUMAN29332
OG0001111	AENJA_22327	HUMAN08205, HUMAN08204
OG0001111	AENJA_06275	HUMAN23671, HUMAN19715
OG0001112	AENJA_06304	HUMAN18525, HUMAN18524, HUMAN07786, HUMAN07782
OG0001113	AENJA_06313	HUMAN20232
OG0001113	AENJA_23050	HUMAN21591, HUMAN13568, HUMAN13567, HUMAN13565, HUMAN13566, HUMAN21592
OG0001115	AENJA_18256, AENJA_09261	HUMAN24945, HUMAN20513, HUMAN20338
OG0001116	AENJA_25869, AENJA_12085	HUMAN12509
OG0001119	AENJA_13579	HUMAN28360
