Orthogroup	AENJA_ok	DROME
OG0000868	AENJA_01456	DROME18402
OG0000869	AENJA_21120	DROME06391
OG0000871	AENJA_15432, AENJA_15433	DROME14585
OG0000871	AENJA_06473	DROME03028
OG0000872	AENJA_06798	DROME09696, DROME09697, DROME09695
OG0000874	AENJA_07937, AENJA_07996	DROME04338
OG0000875	AENJA_14919	DROME06587
OG0000876	AENJA_08833	DROME08528, DROME08526, DROME08524, DROME08527, DROME08525
OG0000878	AENJA_13563, AENJA_09436, AENJA_13562	DROME07549
OG0000879	AENJA_23882, AENJA_14015	DROME00001, DROME21621, DROME11009
OG0000880	AENJA_17126	DROME13991, DROME13992
OG0000881	AENJA_19719	DROME06288, DROME06289
OG0000881	AENJA_21849	DROME20749, DROME20746, DROME20750, DROME20748, DROME20747, DROME20751, DROME20752, DROME20753
OG0000888	AENJA_02929	DROME13818
OG0000888	AENJA_02481	DROME15657
OG0000889	AENJA_05911	DROME20008
OG0000894	AENJA_24655	DROME01898, DROME01895, DROME01896, DROME01894, DROME01897
OG0000894	AENJA_16901	DROME08778, DROME08777
OG0000896	AENJA_26740	DROME07637, DROME07636
OG0000897	AENJA_25522	DROME09205, DROME09206
OG0000897	AENJA_18001	DROME05934, DROME06642
OG0000904	AENJA_02063	DROME14411, DROME14410
OG0000905	AENJA_03454, AENJA_12044	DROME11749
OG0000906	AENJA_16891, AENJA_05473, AENJA_17075	DROME09411
OG0000907	AENJA_06223	DROME01472, DROME01473, DROME01474, DROME01471
OG0000908	AENJA_26233	DROME15683
OG0000908	AENJA_06962, AENJA_10955, AENJA_14737	DROME16604
OG0000909	AENJA_07565	DROME21889, DROME21890, DROME21873, DROME21876, DROME21877, DROME21875
OG0000913	AENJA_11700	DROME01636, DROME01633, DROME01634, DROME01635, DROME10634, DROME10638, DROME10637, DROME10636, DROME10635, DROME10633, DROME05629, DROME10407, DROME10406, DROME08899, DROME10631, DROME10640, DROME10639, DROME21277, DROME21276, DROME21275
OG0000914	AENJA_16081	DROME06233, DROME06234, DROME06235
OG0000921	AENJA_16626	DROME01540
OG0000921	AENJA_00754	DROME21958
OG0000923	AENJA_09851	DROME19914
OG0000923	AENJA_01176, AENJA_01177	DROME04554, DROME04553
OG0000925	AENJA_14502	DROME02762, DROME02761
OG0000925	AENJA_01829	DROME13733, DROME13734
OG0000926	AENJA_15541, AENJA_05944	DROME13962, DROME13964, DROME13963, DROME13961
OG0000927	AENJA_05801	DROME15912, DROME15911, DROME13544, DROME01290
OG0000929	AENJA_18717, AENJA_24686	DROME02144, DROME02147, DROME02145, DROME02146, DROME02148, DROME02143
OG0000931	AENJA_08166	DROME06107, DROME06103, DROME06106, DROME06105, DROME06104
OG0000933	AENJA_12056, AENJA_25029	DROME00363
OG0000934	AENJA_23792	DROME18021
OG0000934	AENJA_12733	DROME12197, DROME12198
OG0000935	AENJA_14023	DROME19387
OG0000944	AENJA_00580	DROME05002, DROME05004, DROME05003, DROME05001, DROME05005, DROME04999, DROME05000
OG0000945	AENJA_21590	DROME11635, DROME10522
OG0000946	AENJA_16618	DROME18472, DROME18473, DROME18474, DROME18476
OG0000947	AENJA_22086	DROME14910, DROME14909
OG0000949	AENJA_04000	DROME20631
OG0000950	AENJA_04588	DROME15080, DROME15081, DROME15075, DROME15077, DROME15078, DROME15076, DROME15082, DROME15083, DROME15079
OG0000953	AENJA_19910, AENJA_06554	DROME12838, DROME10330
OG0000954	AENJA_08232	DROME12405, DROME12406, DROME12407
OG0000955	AENJA_09334, AENJA_19306	DROME04991, DROME04992, DROME04993, DROME04990
OG0000955	AENJA_22675	DROME02414
OG0000957	AENJA_17037, AENJA_17036	DROME11550, DROME11548, DROME11549
OG0000958	AENJA_19017	DROME14600, DROME14604, DROME14602, DROME14603, DROME14601, DROME14605, DROME10611, DROME10609, DROME10610, DROME10608, DROME12027
OG0000960	AENJA_23956	DROME04151, DROME04150, DROME04154, DROME04153, DROME04158, DROME04156, DROME04161, DROME04149, DROME04152, DROME04155, DROME04157, DROME04160, DROME04159
OG0000963	AENJA_01165, AENJA_06323	DROME09182, DROME09184, DROME09183, DROME07082
OG0000965	AENJA_05586, AENJA_05584	DROME10303
OG0000965	AENJA_02282	DROME10622
OG0000967	AENJA_22529	DROME01950, DROME01951, DROME01952
OG0000968	AENJA_10751	DROME19457
OG0000969	AENJA_03216	DROME17496
OG0000972	AENJA_26036	DROME12808, DROME12809
OG0000974	AENJA_05735, AENJA_05736	DROME20587, DROME20537, DROME20538
OG0000976	AENJA_07785, AENJA_07786, AENJA_07780, AENJA_07163	DROME15676
OG0000978	AENJA_08414	DROME08128, DROME08129, DROME08130, DROME08127, DROME08125, DROME08126
OG0000979	AENJA_08501	DROME10162, DROME10163, DROME10160, DROME10161, DROME10164
OG0000982	AENJA_09037	DROME07397, DROME07866, DROME07869, DROME07868, DROME07870, DROME07867
OG0000984	AENJA_13820	DROME12019, DROME07638
OG0000985	AENJA_14891	DROME16403, DROME16400, DROME16401, DROME16404, DROME16402
OG0000987	AENJA_23574	DROME05032, DROME05034, DROME05033, DROME05035, DROME05036
OG0000988	AENJA_25125	DROME19158
OG0000992	AENJA_01350, AENJA_08136	DROME02382, DROME02383
OG0000994	AENJA_20560	DROME20689
OG0000994	AENJA_02296	DROME05396
OG0000995	AENJA_08863	DROME02709, DROME02710, DROME02712, DROME02711
OG0000997	AENJA_06940, AENJA_16738	DROME00173
OG0000999	AENJA_06760, AENJA_09403, AENJA_26585, AENJA_10712	DROME05157, DROME05156
OG0001000	AENJA_07118	DROME14938, DROME14943, DROME14945, DROME14944, DROME14942, DROME14939, DROME14940, DROME14941
OG0001001	AENJA_07866	DROME01963, DROME01964, DROME01966, DROME01965
OG0001003	AENJA_13424	DROME20428, DROME20429
OG0001004	AENJA_16016	DROME18265, DROME18264
OG0001005	AENJA_17128	DROME16898
OG0001006	AENJA_21663	DROME12303
OG0001008	AENJA_24757	DROME03430, DROME03431, DROME03434, DROME03433, DROME03432, DROME03436, DROME03435, DROME03437, DROME03438
OG0001015	AENJA_05530	DROME02246
OG0001016	AENJA_26608	DROME03793
OG0001016	AENJA_01521, AENJA_14403, AENJA_15956	DROME04453
OG0001018	AENJA_02393	DROME08789
OG0001018	AENJA_12182	DROME19524
OG0001022	AENJA_03120	DROME02393, DROME02395, DROME02392, DROME02397, DROME02396, DROME02398, DROME02391, DROME02394, DROME02390
OG0001023	AENJA_03151	DROME07472, DROME07471
OG0001024	AENJA_11445	DROME14925
OG0001027	AENJA_06667, AENJA_06665, AENJA_06666	DROME20791, DROME20790, DROME20789, DROME21920, DROME21919
OG0001028	AENJA_07594	DROME17206, DROME17210, DROME17209, DROME17205, DROME17207, DROME17208
OG0001029	AENJA_24200	DROME08324
OG0001031	AENJA_12602	DROME02372
OG0001032	AENJA_13410	DROME10930, DROME10931, DROME10932
OG0001033	AENJA_13779	DROME16359
OG0001036	AENJA_19830	DROME21959
OG0001037	AENJA_20909	DROME07145, DROME07148, DROME07147, DROME07146
OG0001038	AENJA_24181	DROME06346, DROME06343, DROME06345, DROME06344
OG0001042	AENJA_00375	DROME12465, DROME12464, DROME12463, DROME12462
OG0001046	AENJA_01047	DROME05889
OG0001049	AENJA_16062	DROME15991
OG0001050	AENJA_03323	DROME09499, DROME09500
OG0001052	AENJA_06392	DROME00663, DROME00661, DROME00662
OG0001052	AENJA_03703	DROME01922
OG0001053	AENJA_05825, AENJA_03704	DROME11830
OG0001054	AENJA_04203	DROME21929
OG0001056	AENJA_05377, AENJA_22081, AENJA_22080	DROME10790
OG0001058	AENJA_07821	DROME00756, DROME00761, DROME00757, DROME00759, DROME00758, DROME00755, DROME00762, DROME00760, DROME00763
OG0001059	AENJA_08095	DROME05567, DROME05571, DROME05569, DROME05566, DROME05568, DROME05572, DROME05570
OG0001062	AENJA_10657	DROME12175, DROME12172
OG0001063	AENJA_15475	DROME16034, DROME16033
OG0001063	AENJA_15321, AENJA_15322	DROME14111
OG0001064	AENJA_16034	DROME16728
OG0001065	AENJA_19195	DROME13255
OG0001066	AENJA_19790	DROME06399
OG0001072	AENJA_00305, AENJA_03396	DROME08170
OG0001073	AENJA_00575	DROME03543, DROME03544, DROME03542
OG0001075	AENJA_00807	DROME05007, DROME05008
OG0001076	AENJA_01569	DROME10433, DROME10436, DROME10429, DROME10434, DROME10430, DROME10435, DROME10431, DROME10432
OG0001077	AENJA_01679	DROME13463, DROME13462
OG0001077	AENJA_05855	DROME14374
OG0001077	AENJA_02550	DROME15216, DROME15217, DROME15215, DROME15218
OG0001078	AENJA_10264	DROME16039, DROME16040
OG0001079	AENJA_03947	DROME12134, DROME12135, DROME12136
OG0001081	AENJA_16503, AENJA_04238	DROME00421, DROME00420, DROME00419, DROME02998, DROME02997
OG0001082	AENJA_06872, AENJA_21482	DROME16087, DROME16088, DROME16090, DROME16089
OG0001083	AENJA_07171	DROME07895
OG0001084	AENJA_07749	DROME15262, DROME15263
OG0001085	AENJA_09145, AENJA_21401	DROME18407, DROME18408, DROME18409
OG0001086	AENJA_12710	DROME20573
OG0001091	AENJA_17138	DROME08376, DROME08378, DROME08377
OG0001092	AENJA_18221	DROME19209, DROME19207, DROME19204, DROME19205, DROME19206, DROME19208, DROME19203
OG0001094	AENJA_23025	DROME08185, DROME21556
OG0001101	AENJA_00373	DROME01099
OG0001102	AENJA_00718	DROME11539
OG0001102	AENJA_03278, AENJA_21711	DROME20883
OG0001104	AENJA_02199	DROME04004
OG0001104	AENJA_18229	DROME02350, DROME02351
OG0001105	AENJA_02419, AENJA_25097	DROME22092, DROME02326
OG0001108	AENJA_12290, AENJA_04372, AENJA_04373	DROME12857, DROME12858, DROME12856, DROME12855
OG0001109	AENJA_05558	DROME00590, DROME00591, DROME00592, DROME00589, DROME19273, DROME19275, DROME19274
OG0001111	AENJA_22327	DROME01145
OG0001111	AENJA_06275	DROME15662
OG0001113	AENJA_06313	DROME18531, DROME18532
OG0001113	AENJA_23050	DROME05388, DROME01680
OG0001114	AENJA_13675	DROME14934, DROME16341
OG0001118	AENJA_12960, AENJA_12961	DROME14402, DROME14401
OG0001121	AENJA_14865	DROME11643, DROME11644, DROME11645, DROME11642
OG0001126	AENJA_21731, AENJA_21732	DROME07144
OG0001127	AENJA_26609	DROME21295, DROME21293, DROME21294, DROME21292
OG0001128	AENJA_26741	DROME07099, DROME07102, DROME07101, DROME07098, DROME07100
OG0001129	AENJA_00009	DROME06610
OG0001130	AENJA_00712	DROME08159
OG0001130	AENJA_24701	DROME08055, DROME04983, DROME04982
OG0001131	AENJA_00720	DROME00544
OG0001132	AENJA_02927	DROME12585, DROME12584, DROME12583, DROME12582
OG0001133	AENJA_13174	DROME16631
OG0001133	AENJA_07797	DROME02832
OG0001135	AENJA_06307	DROME18153, DROME18152
OG0001136	AENJA_06348	DROME15241, DROME15244, DROME15239, DROME15245, DROME15243, DROME15240, DROME15238, DROME15242, DROME15236, DROME15237
OG0001137	AENJA_06755	DROME07212, DROME07220, DROME07223, DROME07218, DROME07213, DROME07221, DROME07215, DROME07214, DROME07216, DROME07226, DROME07219, DROME07222, DROME07224, DROME07227, DROME07229, DROME07217, DROME07228, DROME07225
OG0001138	AENJA_08339	DROME16831, DROME16832, DROME16830, DROME16829
OG0001139	AENJA_20595, AENJA_19443, AENJA_08828	DROME11285, DROME11284, DROME20784
OG0001140	AENJA_10711	DROME04492, DROME04491
OG0001142	AENJA_13577	DROME15460, DROME15458, DROME15459
OG0001143	AENJA_25253, AENJA_15506	DROME17973, DROME17969, DROME17968, DROME17972, DROME17970, DROME17971, DROME17975, DROME17976, DROME17974, DROME17978, DROME17977
OG0001144	AENJA_15840	DROME08380
OG0001148	AENJA_25511	DROME04431, DROME04432
OG0001149	AENJA_26319, AENJA_26318	DROME20514
OG0001156	AENJA_01685	DROME20509, DROME20508, DROME20507, DROME20506, DROME20511, DROME20510
OG0001158	AENJA_02265, AENJA_16983	DROME08138, DROME08137
OG0001159	AENJA_02590	DROME00704, DROME00657, DROME00658
OG0001160	AENJA_03496, AENJA_15940	DROME05833, DROME05832, DROME05835, DROME05834
OG0001162	AENJA_09881, AENJA_03826	DROME19105, DROME19103, DROME19101, DROME19104, DROME19102, DROME19106, DROME19107
OG0001163	AENJA_23044, AENJA_20499, AENJA_04071, AENJA_23045	DROME10630, DROME14555, DROME14557, DROME14693, DROME17901, DROME17899
OG0001164	AENJA_04659, AENJA_14441	DROME08761, DROME08760, DROME08762, DROME08763, DROME08759
OG0001165	AENJA_18566, AENJA_05192	DROME20938, DROME07288
OG0001167	AENJA_06024	DROME17311
OG0001168	AENJA_26059	DROME02336
OG0001170	AENJA_14574	DROME16781
OG0001172	AENJA_08737	DROME12074, DROME12075
OG0001172	AENJA_15031	DROME11227, DROME11226
OG0001173	AENJA_10142	DROME08477, DROME08476, DROME08478, DROME08741
OG0001174	AENJA_10268	DROME01257, DROME01258
OG0001175	AENJA_19603, AENJA_10616	DROME10674
OG0001177	AENJA_12717, AENJA_23960, AENJA_22118	DROME01933, DROME01934, DROME21906
OG0001178	AENJA_14989	DROME18168, DROME18169, DROME18170, DROME18167
OG0001180	AENJA_13732	DROME01245, DROME01246
OG0001184	AENJA_17799	DROME03279
OG0001184	AENJA_15086	DROME17805
OG0001185	AENJA_17542	DROME09235, DROME09236, DROME09242, DROME09234, DROME09239, DROME09241, DROME09240, DROME09237, DROME09238
OG0001186	AENJA_21307	DROME11811, DROME11812
OG0001186	AENJA_18825	DROME18932
OG0001188	AENJA_22812	DROME07119, DROME07117, DROME07120, DROME07116, DROME07118
OG0001190	AENJA_24531	DROME21340, DROME21342, DROME21339, DROME21341
OG0001197	AENJA_00493	DROME14364
OG0001201	AENJA_02210	DROME20824, DROME20825, DROME20823, DROME20822
OG0001203	AENJA_03685, AENJA_16123, AENJA_17348	DROME16841
OG0001204	AENJA_04033, AENJA_20148	DROME15252
OG0001205	AENJA_26398	DROME09818, DROME09817
OG0001208	AENJA_09031	DROME21826, DROME21829, DROME21823, DROME21824, DROME21830, DROME21827, DROME21819, DROME21821, DROME21825, DROME21822, DROME21820, DROME21828, DROME21813, DROME21818, DROME21814, DROME21817, DROME21815, DROME21816
OG0001209	AENJA_09041	DROME03307
OG0001210	AENJA_18956	DROME01292
OG0001210	AENJA_09591	DROME21654, DROME21653
OG0001211	AENJA_09699	DROME14817, DROME14816, DROME14814, DROME14815
OG0001212	AENJA_14546, AENJA_09958	DROME03019, DROME03020, DROME03017, DROME03018, DROME03022, DROME03021
OG0001213	AENJA_11717	DROME12028
OG0001213	AENJA_11254	DROME15857
OG0001214	AENJA_24301, AENJA_11388	DROME14229, DROME14228, DROME14227, DROME14223, DROME14224, DROME14225, DROME14226
OG0001215	AENJA_15953	DROME05613, DROME05611, DROME05612
OG0001216	AENJA_16979	DROME20096, DROME20097, DROME20095, DROME15498
OG0001217	AENJA_17612	DROME06701
OG0001218	AENJA_18179	DROME12211, DROME12213, DROME12212
OG0001219	AENJA_18562	DROME17625, DROME17624, DROME17623, DROME17626, DROME17619, DROME17620, DROME17618, DROME17621, DROME17622, DROME17627, DROME17628
OG0001220	AENJA_21603, AENJA_19416, AENJA_21600	DROME02744, DROME20493, DROME20492
OG0001221	AENJA_19765	DROME09514
OG0001223	AENJA_21588	DROME08781, DROME08780
OG0001225	AENJA_23700	DROME13797, DROME13796, DROME13795, DROME13790, DROME13789, DROME13791, DROME13793, DROME13792, DROME13788, DROME13794
OG0001230	AENJA_02568, AENJA_08528	DROME05921, DROME05920
OG0001231	AENJA_02177	DROME17241, DROME17722, DROME17723, DROME17725, DROME17724
OG0001232	AENJA_07338, AENJA_02228, AENJA_20090, AENJA_20091	DROME01876, DROME01877, DROME01878
OG0001234	AENJA_02896	DROME10228, DROME10226, DROME10225, DROME10229, DROME10230, DROME10227, DROME10232, DROME10231
OG0001237	AENJA_05566, AENJA_19599	DROME17018, DROME17017, DROME15311, DROME20284, DROME14186, DROME18581, DROME19481
OG0001238	AENJA_07960	DROME21058
OG0001238	AENJA_05667	DROME05136, DROME05137, DROME05138, DROME14291, DROME14292
OG0001239	AENJA_08544, AENJA_12406, AENJA_24743, AENJA_06569	DROME18412, DROME18411, DROME18415, DROME18413, DROME18414
OG0001241	AENJA_21346	DROME02596
OG0001241	AENJA_07588	DROME03537
OG0001243	AENJA_09040	DROME15537, DROME15539, DROME15534, DROME15540, DROME15538, DROME15536, DROME15535
OG0001244	AENJA_11230	DROME15047
OG0001245	AENJA_11241	DROME06795
OG0001247	AENJA_24053	DROME18852
OG0001248	AENJA_17279	DROME02625, DROME02624, DROME02623
OG0001249	AENJA_17683	DROME05745, DROME05744, DROME04456, DROME04455
OG0001250	AENJA_18393	DROME10391, DROME10390, DROME10392
OG0001251	AENJA_20006	DROME08364
OG0001253	AENJA_21103	DROME16727, DROME02601
OG0001254	AENJA_25593	DROME22031, DROME22029, DROME22030, DROME22035, DROME22032, DROME22034, DROME22036, DROME22038, DROME22037, DROME22033
OG0001261	AENJA_00856	DROME00542, DROME00543, DROME00540, DROME00541
OG0001262	AENJA_02100	DROME01661
OG0001263	AENJA_25444	DROME01386, DROME01387
OG0001264	AENJA_02714	DROME08249, DROME08250, DROME08248
OG0001266	AENJA_06321	DROME19377
OG0001267	AENJA_10310	DROME13068
OG0001270	AENJA_04208	DROME12379
OG0001270	AENJA_21003	DROME02961
OG0001271	AENJA_04651	DROME20484
OG0001273	AENJA_05090	DROME01252, DROME01250, DROME01249, DROME01248, DROME01251
OG0001274	AENJA_06074	DROME06585, DROME06586, DROME06584
OG0001276	AENJA_07718, AENJA_07717	DROME10323, DROME10324, DROME10319, DROME10320, DROME10316, DROME10317, DROME10321, DROME10318, DROME10322
OG0001278	AENJA_15562	DROME15730
OG0001279	AENJA_09382	DROME15211, DROME15210
OG0001280	AENJA_11194	DROME15706
OG0001281	AENJA_15472, AENJA_11305	DROME19100
OG0001282	AENJA_12223	DROME04060, DROME04059, DROME04058
OG0001284	AENJA_21135	DROME05418
OG0001286	AENJA_16309	DROME11490, DROME11489, DROME11491
OG0001287	AENJA_18219	DROME15976, DROME15975, DROME04476
OG0001288	AENJA_18926, AENJA_22039	DROME19787, DROME09388, DROME09389
OG0001290	AENJA_21150	DROME13148, DROME13147, DROME10925, DROME10926, DROME10924
OG0001291	AENJA_21434	DROME21166, DROME21165, DROME18055, DROME18056
OG0001292	AENJA_21781	DROME20956
OG0001293	AENJA_23236	DROME19380, DROME19378, DROME19379
OG0001294	AENJA_25092	DROME19278
OG0001295	AENJA_25589	DROME16525, DROME16522, DROME16520, DROME16519, DROME16524, DROME16523, DROME16521
OG0001296	AENJA_26215	DROME21670, DROME21668, DROME21671, DROME21667, DROME21666, DROME21669
OG0001300	AENJA_00411	DROME21326, DROME21325, DROME21324
OG0001302	AENJA_13024	DROME00539
OG0001304	AENJA_02458, AENJA_14579	DROME00069, DROME00065, DROME00070, DROME00066, DROME00067, DROME00068
OG0001305	AENJA_03926	DROME04834, DROME04832, DROME04829, DROME04830, DROME04835, DROME04836, DROME04825, DROME04826, DROME04833, DROME04837, DROME04827, DROME04838, DROME04828, DROME04839, DROME04831
OG0001306	AENJA_24214	DROME08751, DROME08752
OG0001308	AENJA_05647	DROME17402, DROME17401, DROME17403, DROME17400, DROME17399
OG0001310	AENJA_06272	DROME15600
OG0001311	AENJA_15801	DROME06164
OG0001315	AENJA_08369, AENJA_13343, AENJA_08368, AENJA_26453	DROME16592
OG0001318	AENJA_09435	DROME17213
OG0001319	AENJA_09605	DROME01307
OG0001321	AENJA_14609	DROME16103
OG0001322	AENJA_16813	DROME15932
OG0001323	AENJA_15789	DROME18781, DROME18779, DROME18782, DROME18780
OG0001325	AENJA_16492, AENJA_18977	DROME14232
OG0001326	AENJA_18964	DROME03927
OG0001327	AENJA_18352	DROME02674, DROME02673, DROME02675
OG0001328	AENJA_18594	DROME20058
OG0001330	AENJA_20881	DROME21688, DROME21687, DROME21684, DROME21685, DROME21686, DROME21683
OG0001339	AENJA_00104	DROME19223, DROME16443, DROME14812, DROME07497, DROME07496
OG0001341	AENJA_21191	DROME19896, DROME19897, DROME19895
OG0001344	AENJA_01361	DROME04657, DROME04656
OG0001348	AENJA_01884	DROME03492, DROME03491, DROME03495, DROME03494, DROME03493, DROME03496
OG0001350	AENJA_05873	DROME03240, DROME03239
OG0001351	AENJA_17428, AENJA_06682	DROME16250, DROME16247, DROME16248, DROME16245, DROME16246, DROME16249
OG0001352	AENJA_06720, AENJA_06721, AENJA_06723	DROME11579, DROME11580
OG0001353	AENJA_06742	DROME12504, DROME12505
OG0001354	AENJA_09573	DROME19155, DROME19156
OG0001354	AENJA_07753	DROME18928
OG0001355	AENJA_08188	DROME18115
OG0001356	AENJA_08269	DROME04210, DROME04209, DROME04208, DROME04203, DROME04201, DROME04202
OG0001358	AENJA_09138	DROME16322, DROME16324, DROME16323, DROME16316, DROME16315, DROME16314, DROME16318, DROME16317, DROME16319
OG0001359	AENJA_11211	DROME20396, DROME20399, DROME20398, DROME20397
OG0001360	AENJA_25001	DROME16475, DROME16474, DROME01288, DROME01289
OG0001363	AENJA_12332	DROME20227, DROME20225, DROME20226, DROME20228, DROME00044
OG0001366	AENJA_14917	DROME19931, DROME19932, DROME19933, DROME19934
OG0001367	AENJA_16641	DROME04540, DROME04542, DROME04539, DROME04538, DROME04541, DROME04537, DROME04535, DROME04534, DROME04536
OG0001371	AENJA_17844, AENJA_24112	DROME15115, DROME15085, DROME15086, DROME10858, DROME10857, DROME16916, DROME17983, DROME17981, DROME17980, DROME17848, DROME06809
OG0001372	AENJA_25899	DROME06987
OG0001373	AENJA_17959	DROME15869, DROME15867, DROME15866, DROME15868
OG0001375	AENJA_25362	DROME11058
OG0001375	AENJA_20082	DROME12544
OG0001376	AENJA_21276, AENJA_20852, AENJA_20854	DROME18505, DROME18503, DROME18507, DROME18504, DROME18508, DROME18506
OG0001378	AENJA_22766	DROME14090, DROME14089
OG0001379	AENJA_23248	DROME02340
OG0001381	AENJA_23800	DROME21356, DROME21357, DROME21358, DROME21359, DROME20082, DROME20083, DROME20084
OG0001382	AENJA_23994	DROME16755, DROME15883
OG0001383	AENJA_25087	DROME08849, DROME08848, DROME08850, DROME08851
OG0001394	AENJA_00558	DROME15845, DROME15844, DROME15847, DROME15846, DROME15843, DROME15848
OG0001395	AENJA_00590	DROME22042
OG0001397	AENJA_05269	DROME12938
OG0001397	AENJA_01101	DROME12061
OG0001398	AENJA_22956, AENJA_26825, AENJA_08355, AENJA_21022, AENJA_16268, AENJA_09931, AENJA_03237, AENJA_19325, AENJA_12622, AENJA_18995, AENJA_07161, AENJA_01337, AENJA_06194, AENJA_20766, AENJA_03767, AENJA_01339, AENJA_09353, AENJA_12621	DROME00533
OG0001399	AENJA_19357, AENJA_02205	DROME18551, DROME15177
OG0001401	AENJA_02695, AENJA_12112	DROME07715
OG0001402	AENJA_02809	DROME21039
OG0001403	AENJA_22706, AENJA_22705, AENJA_03342	DROME02115, DROME02116, DROME02114
OG0001405	AENJA_03978	DROME06373
OG0001405	AENJA_13814	DROME02126
OG0001406	AENJA_04091	DROME14082, DROME14079, DROME14080, DROME14081, DROME14077, DROME14078, DROME14084, DROME14083
OG0001408	AENJA_10000, AENJA_05533	DROME21635, DROME21636, DROME21634
OG0001409	AENJA_06247	DROME18107
OG0001410	AENJA_18215	DROME00626
OG0001411	AENJA_06963, AENJA_10958	DROME13591, DROME09768, DROME09769
OG0001413	AENJA_07474	DROME21681, DROME21682
OG0001413	AENJA_17343	DROME17078
OG0001414	AENJA_08160	DROME00599
OG0001415	AENJA_17665	DROME17030, DROME17031
OG0001416	AENJA_09757	DROME04879, DROME04878, DROME04877, DROME04874, DROME04873, DROME04875, DROME04876
OG0001417	AENJA_10714	DROME21398, DROME21399
OG0001417	AENJA_11502	DROME04528
OG0001418	AENJA_10983	DROME11411
OG0001419	AENJA_12607, AENJA_12606	DROME00719
OG0001421	AENJA_13339	DROME08210
OG0001422	AENJA_14173	DROME19262, DROME19263
OG0001423	AENJA_14934	DROME11161, DROME11163, DROME11162
OG0001424	AENJA_15682	DROME10397
OG0001424	AENJA_17237	DROME21291
OG0001425	AENJA_15774	DROME10455
OG0001426	AENJA_16043	DROME16504, DROME16505
OG0001427	AENJA_17543	DROME04112, DROME04111, DROME04110
OG0001428	AENJA_18858	DROME00299, DROME00300
OG0001430	AENJA_19108	DROME14607, DROME14606
OG0001431	AENJA_23459	DROME08311, DROME08313, DROME08312
OG0001433	AENJA_26002	DROME07801, DROME07778, DROME07641, DROME07752, DROME07757, DROME06719, DROME06720, DROME07755, DROME07754, DROME07756, DROME07764
OG0001440	AENJA_03160	DROME00857, DROME00860, DROME00861, DROME00859, DROME00858
OG0001440	AENJA_00153	DROME07996
OG0001441	AENJA_00362	DROME01135, DROME01136, DROME01138, DROME01137
OG0001442	AENJA_00506	DROME14822, DROME14823, DROME14821
OG0001445	AENJA_02385	DROME19218
OG0001447	AENJA_03127	DROME20519, DROME20520, DROME20518
OG0001449	AENJA_04181	DROME21187
OG0001455	AENJA_06571	DROME05198
OG0001456	AENJA_07027	DROME21079
OG0001458	AENJA_08456	DROME12558, DROME12557, DROME12559, DROME12561, DROME12560, DROME12556
OG0001459	AENJA_18303, AENJA_08470	DROME20534
OG0001460	AENJA_09064	DROME19034
OG0001461	AENJA_09214	DROME01468
OG0001462	AENJA_23566, AENJA_09362	DROME07618, DROME07619
OG0001463	AENJA_09831	DROME17238, DROME10819
OG0001464	AENJA_09857	DROME03533, DROME03534
OG0001466	AENJA_17986, AENJA_10074	DROME20715
OG0001468	AENJA_10995	DROME11512, DROME11513
OG0001469	AENJA_20582	DROME11498
OG0001469	AENJA_11151	DROME15100
OG0001470	AENJA_11625	DROME17188, DROME17190, DROME17187, DROME17189, DROME17191
OG0001472	AENJA_12236	DROME03418
OG0001472	AENJA_13235	DROME01627
OG0001474	AENJA_24781	DROME02835, DROME02834
OG0001475	AENJA_14793	DROME11371, DROME08104, DROME08103
OG0001476	AENJA_14828	DROME09584, DROME09583, DROME09582, DROME09581, DROME09574, DROME09573, DROME09580, DROME09576, DROME09577, DROME09578, DROME09579, DROME09575
OG0001478	AENJA_19708, AENJA_15450	DROME17873, DROME17872
OG0001479	AENJA_16158	DROME09340
OG0001480	AENJA_16776	DROME01335, DROME01336, DROME01334, DROME01333
OG0001482	AENJA_18749	DROME08131, DROME08132, DROME08133
OG0001484	AENJA_21194	DROME00233, DROME00235, DROME00237
OG0001485	AENJA_21469	DROME07030, DROME07029, DROME07028, DROME07027, DROME07031
OG0001486	AENJA_21858	DROME20978
OG0001487	AENJA_23839	DROME03483, DROME03486, DROME03489, DROME03481, DROME03482, DROME03484, DROME03485, DROME03488, DROME03487
OG0001490	AENJA_25216	DROME20068, DROME20070, DROME20066, DROME20069, DROME20067, DROME20063, DROME20064, DROME20065
OG0001491	AENJA_25283	DROME10680, DROME10681, DROME10678, DROME10679
OG0001492	AENJA_25544	DROME03966
OG0001500	AENJA_01887	DROME13574, DROME13575, DROME13573, DROME13571, DROME13572, DROME13570
OG0001501	AENJA_02988	DROME17335, DROME17336
OG0001502	AENJA_03421	DROME08522, DROME08516, DROME08521, DROME08519, DROME08518, DROME08517, DROME08520
OG0001503	AENJA_23557	DROME04749
OG0001503	AENJA_03755	DROME03622
OG0001504	AENJA_04830, AENJA_04833, AENJA_15576, AENJA_04039	DROME21429, DROME21424, DROME21428, DROME21422
OG0001505	AENJA_04619, AENJA_17806	DROME08192
OG0001506	AENJA_05938	DROME06158, DROME06155, DROME06153, DROME06152, DROME06154, DROME06151, DROME06157, DROME06159, DROME06160, DROME06150, DROME06156
OG0001508	AENJA_06316	DROME11905
OG0001509	AENJA_07590	DROME10512, DROME10511
