Orthogroup	AENJA_ok	SCHMD
OG0001146	AENJA_19404	SCHMD06189
OG0001149	AENJA_26319, AENJA_26318	SCHMD16336, SCHMD29633
OG0001155	AENJA_01168	SCHMD01897
OG0001156	AENJA_01685	SCHMD11390
OG0001159	AENJA_02590	SCHMD15611, SCHMD21936
OG0001160	AENJA_03496, AENJA_15940	SCHMD20666
OG0001161	AENJA_03513	SCHMD27832, SCHMD10429, SCHMD10428
OG0001162	AENJA_09881, AENJA_03826	SCHMD04355, SCHMD04356
OG0001164	AENJA_04659, AENJA_14441	SCHMD22065
OG0001164	AENJA_04658, AENJA_11399	SCHMD03049
OG0001165	AENJA_18566	SCHMD11819
OG0001165	AENJA_05192	SCHMD12131
OG0001167	AENJA_06024	SCHMD08043, SCHMD04406
OG0001168	AENJA_26059, AENJA_06080, AENJA_26060	SCHMD13073
OG0001172	AENJA_08737	SCHMD19335
OG0001172	AENJA_15031	SCHMD00291
OG0001175	AENJA_10616	SCHMD18473
OG0001178	AENJA_12752	SCHMD07684
OG0001178	AENJA_14989	SCHMD13713
OG0001179	AENJA_26058	SCHMD26379
OG0001181	AENJA_14047	SCHMD21797
OG0001183	AENJA_20906, AENJA_18317, AENJA_20566, AENJA_15024	SCHMD02325
OG0001184	AENJA_17799	SCHMD12752
OG0001184	AENJA_15086	SCHMD29753, SCHMD15110, SCHMD23640
OG0001185	AENJA_17542	SCHMD23236
OG0001186	AENJA_21307	SCHMD20610
OG0001186	AENJA_18825	SCHMD05037
OG0001188	AENJA_22812	SCHMD05963, SCHMD14167
OG0001189	AENJA_23358	SCHMD17573, SCHMD27159, SCHMD05552
OG0001197	AENJA_00493	SCHMD06230
OG0001198	AENJA_21857	SCHMD04078
OG0001199	AENJA_01327, AENJA_01326	SCHMD17507, SCHMD14047
OG0001199	AENJA_24392	SCHMD17830
OG0001201	AENJA_02210	SCHMD18644
OG0001203	AENJA_03685, AENJA_16123	SCHMD00135, SCHMD00546, SCHMD10565, SCHMD27661, SCHMD10341
OG0001204	AENJA_04033, AENJA_20148	SCHMD08657, SCHMD22624, SCHMD10325
OG0001207	AENJA_15259	SCHMD02145, SCHMD05067, SCHMD08759, SCHMD15345
OG0001207	AENJA_18056, AENJA_07276	SCHMD07731
OG0001208	AENJA_09031	SCHMD11671, SCHMD13440, SCHMD22806
OG0001209	AENJA_09041	SCHMD22043, SCHMD28492
OG0001210	AENJA_18956	SCHMD19441
OG0001210	AENJA_09592	SCHMD03203
OG0001210	AENJA_09591	SCHMD03204
OG0001213	AENJA_11717	SCHMD01086
OG0001213	AENJA_11254	SCHMD21364, SCHMD26387, SCHMD21954, SCHMD22675
OG0001214	AENJA_24301	SCHMD22221
OG0001215	AENJA_15953	SCHMD25774
OG0001217	AENJA_17612	SCHMD18537
OG0001218	AENJA_18179	SCHMD03255
OG0001219	AENJA_18562	SCHMD09614, SCHMD00713
OG0001221	AENJA_19765	SCHMD16690
OG0001223	AENJA_21588	SCHMD08671
OG0001229	AENJA_20592, AENJA_01463	SCHMD15784
OG0001229	AENJA_15283	SCHMD24701
OG0001230	AENJA_02568, AENJA_08528	SCHMD18159
OG0001231	AENJA_02177	SCHMD05786, SCHMD07759, SCHMD03181, SCHMD13940, SCHMD03182
OG0001234	AENJA_02896	SCHMD01688
OG0001238	AENJA_07960, AENJA_05667	SCHMD09688
OG0001239	AENJA_08544	SCHMD22060
OG0001239	AENJA_12406, AENJA_24743	SCHMD22059, SCHMD04401
OG0001239	AENJA_06569	SCHMD16791
OG0001241	AENJA_21346	SCHMD04223
OG0001241	AENJA_07588	SCHMD16327
OG0001245	AENJA_11242	SCHMD09398
OG0001245	AENJA_11241	SCHMD24743, SCHMD24744
OG0001246	AENJA_11976	SCHMD09297
OG0001247	AENJA_24053	SCHMD01541, SCHMD06119, SCHMD06121
OG0001248	AENJA_17279	SCHMD28672, SCHMD29190, SCHMD17657
OG0001249	AENJA_17683	SCHMD01149
OG0001250	AENJA_18393	SCHMD08101, SCHMD04347
OG0001254	AENJA_25593	SCHMD14258, SCHMD09217
OG0001261	AENJA_00856	SCHMD13436
OG0001262	AENJA_25759	SCHMD20011
OG0001262	AENJA_02100	SCHMD20259
OG0001263	AENJA_02283, AENJA_25444	SCHMD17470
OG0001264	AENJA_02714	SCHMD27230, SCHMD17432
OG0001266	AENJA_02853	SCHMD00016, SCHMD26654
OG0001266	AENJA_06321	SCHMD10438
OG0001267	AENJA_10310	SCHMD05399
OG0001268	AENJA_03712	SCHMD01057
OG0001269	AENJA_04104, AENJA_08778	SCHMD16377
OG0001270	AENJA_12864	SCHMD27534, SCHMD20425, SCHMD23309, SCHMD13653
OG0001271	AENJA_04651	SCHMD05357
OG0001272	AENJA_05081	SCHMD27604, SCHMD21806
OG0001273	AENJA_05090	SCHMD13838, SCHMD25918, SCHMD21739
OG0001275	AENJA_09059	SCHMD21376, SCHMD25163
OG0001275	AENJA_07370	SCHMD12521
OG0001279	AENJA_09382	SCHMD06836
OG0001280	AENJA_11194	SCHMD09937, SCHMD20104, SCHMD05674, SCHMD11884
OG0001281	AENJA_15472	SCHMD05572
OG0001282	AENJA_12223	SCHMD08025
OG0001284	AENJA_14056	SCHMD09316
OG0001284	AENJA_21135	SCHMD00434
OG0001286	AENJA_16309	SCHMD05790
OG0001287	AENJA_18219	SCHMD07530
OG0001291	AENJA_21434	SCHMD20641, SCHMD11793
OG0001294	AENJA_25092	SCHMD26181, SCHMD17649, SCHMD26146, SCHMD20417, SCHMD20418
OG0001296	AENJA_26215	SCHMD20454, SCHMD11060
OG0001300	AENJA_00411	SCHMD19001, SCHMD09152, SCHMD17144, SCHMD02202
OG0001302	AENJA_13024	SCHMD13885
OG0001302	AENJA_01840	SCHMD08617, SCHMD27826
OG0001304	AENJA_14579	SCHMD13840
OG0001306	AENJA_13028	SCHMD04516
OG0001308	AENJA_05647	SCHMD08020
OG0001310	AENJA_06272	SCHMD19422
OG0001310	AENJA_10879	SCHMD09167
OG0001316	AENJA_08714	SCHMD15981
OG0001318	AENJA_09435	SCHMD07054
OG0001319	AENJA_09605	SCHMD14764
OG0001320	AENJA_12368	SCHMD01321, SCHMD01324, SCHMD01322
OG0001320	AENJA_16608	SCHMD05527
OG0001321	AENJA_14609	SCHMD23818
OG0001322	AENJA_15110, AENJA_16813	SCHMD09506
OG0001323	AENJA_15789	SCHMD18380, SCHMD28053
OG0001325	AENJA_16492	SCHMD05728
OG0001326	AENJA_16742, AENJA_18964	SCHMD29052, SCHMD26738, SCHMD21907, SCHMD17595, SCHMD08761, SCHMD19423
OG0001327	AENJA_26627	SCHMD08653, SCHMD04846
OG0001328	AENJA_18594	SCHMD23086
OG0001329	AENJA_19033	SCHMD15324
OG0001333	AENJA_23772	SCHMD15673, SCHMD23155
OG0001339	AENJA_00104	SCHMD08909
OG0001341	AENJA_21191	SCHMD01188, SCHMD02608
OG0001345	AENJA_01500	SCHMD01304, SCHMD10432, SCHMD01305, SCHMD01303, SCHMD21023, SCHMD24520, SCHMD19982, SCHMD16568
OG0001348	AENJA_01884	SCHMD24331, SCHMD29399
OG0001350	AENJA_05873	SCHMD16735, SCHMD15485
OG0001351	AENJA_17428	SCHMD24241
OG0001353	AENJA_06742	SCHMD10586
OG0001354	AENJA_09573	SCHMD11475, SCHMD26080
OG0001354	AENJA_07753	SCHMD12063
OG0001355	AENJA_08188	SCHMD23781
OG0001356	AENJA_08269	SCHMD21598, SCHMD19916
OG0001357	AENJA_08567	SCHMD16921
OG0001362	AENJA_11906	SCHMD04122, SCHMD05643, SCHMD13617
OG0001363	AENJA_12332	SCHMD05287, SCHMD16288, SCHMD05291
OG0001367	AENJA_16641	SCHMD04624
OG0001368	AENJA_16737	SCHMD12524, SCHMD12925, SCHMD10124, SCHMD12523, SCHMD08134, SCHMD19303
OG0001369	AENJA_17277	SCHMD15727, SCHMD16208, SCHMD22520, SCHMD04521
OG0001370	AENJA_17284	SCHMD12004
OG0001371	AENJA_17844, AENJA_24112	SCHMD02523
OG0001372	AENJA_25899	SCHMD12353, SCHMD23970
OG0001372	AENJA_17922	SCHMD29815
OG0001374	AENJA_18703	SCHMD12937
OG0001375	AENJA_25362, AENJA_20082	SCHMD18333
OG0001376	AENJA_21276, AENJA_20852	SCHMD14191, SCHMD01800
OG0001378	AENJA_22766	SCHMD12504, SCHMD07107
OG0001379	AENJA_23248	SCHMD15234
OG0001381	AENJA_23800	SCHMD02869, SCHMD02871, SCHMD02870
OG0001383	AENJA_25087	SCHMD28197, SCHMD18572
OG0001385	AENJA_26212	SCHMD01908, SCHMD03151, SCHMD17215, SCHMD24251, SCHMD27846, SCHMD02887, SCHMD11624, SCHMD23448, SCHMD19127, SCHMD25605, SCHMD28267, SCHMD17606, SCHMD15084, SCHMD05289, SCHMD01079, SCHMD09083, SCHMD01371, SCHMD22024, SCHMD20763, SCHMD00169, SCHMD10113, SCHMD25905, SCHMD23599, SCHMD20992, SCHMD25254, SCHMD04155, SCHMD13353, SCHMD04418, SCHMD04625, SCHMD01016, SCHMD05445, SCHMD11800, SCHMD07275, SCHMD24250, SCHMD23891, SCHMD22262, SCHMD03886, SCHMD08662, SCHMD26442, SCHMD17996, SCHMD07274, SCHMD18437, SCHMD19128, SCHMD05290, SCHMD02781, SCHMD20262, SCHMD04634, SCHMD21900, SCHMD12522, SCHMD05458, SCHMD01372, SCHMD01080, SCHMD22023, SCHMD12942, SCHMD02783
OG0001386	AENJA_26718	SCHMD24943, SCHMD20670, SCHMD14052, SCHMD07967, SCHMD00663
OG0001394	AENJA_02969	SCHMD19657, SCHMD24757
OG0001394	AENJA_00558	SCHMD23211, SCHMD24249
OG0001395	AENJA_00590	SCHMD11706, SCHMD08832
OG0001397	AENJA_05269	SCHMD08548, SCHMD08095
OG0001399	AENJA_19357, AENJA_02205	SCHMD20091, SCHMD16432
OG0001400	AENJA_02508, AENJA_22499, AENJA_22498, AENJA_02507	SCHMD26317
OG0001401	AENJA_02695, AENJA_12112	SCHMD15712
OG0001402	AENJA_02809	SCHMD06853
OG0001404	AENJA_03877	SCHMD14856
OG0001404	AENJA_05828	SCHMD14853
OG0001405	AENJA_13814	SCHMD16175
OG0001406	AENJA_04091	SCHMD13359, SCHMD19152
OG0001408	AENJA_05533	SCHMD23659, SCHMD15840, SCHMD15841
OG0001409	AENJA_06247	SCHMD04792
OG0001410	AENJA_18215	SCHMD09832
OG0001410	AENJA_06436	SCHMD09687
OG0001411	AENJA_06963, AENJA_10958	SCHMD13416, SCHMD19137
OG0001412	AENJA_07170	SCHMD13223
OG0001413	AENJA_07474	SCHMD02827
OG0001413	AENJA_17340, AENJA_17343	SCHMD02718
OG0001414	AENJA_08160	SCHMD19649
OG0001415	AENJA_17665	SCHMD01522, SCHMD16066, SCHMD16500, SCHMD15947
OG0001416	AENJA_09757	SCHMD01722
OG0001417	AENJA_10714	SCHMD06429, SCHMD24380, SCHMD19840, SCHMD16804, SCHMD06430
OG0001421	AENJA_13339	SCHMD14208
OG0001422	AENJA_14173	SCHMD18897, SCHMD04981, SCHMD04982
OG0001424	AENJA_17237	SCHMD23260, SCHMD24676
OG0001425	AENJA_15774	SCHMD16287, SCHMD09188, SCHMD09187
OG0001426	AENJA_16043	SCHMD02033
OG0001427	AENJA_17543	SCHMD03939, SCHMD00575
OG0001428	AENJA_18858	SCHMD06125
OG0001430	AENJA_19108	SCHMD00026
OG0001432	AENJA_25391	SCHMD22173
OG0001433	AENJA_26002	SCHMD13899, SCHMD22723, SCHMD08627, SCHMD01242
OG0001439	AENJA_00145	SCHMD07462, SCHMD14352
OG0001440	AENJA_03160	SCHMD08958, SCHMD08957
OG0001445	AENJA_02385	SCHMD04082
OG0001447	AENJA_03127	SCHMD14223
OG0001449	AENJA_04181	SCHMD11900
OG0001449	AENJA_05517	SCHMD21822
OG0001450	AENJA_04753	SCHMD00462
OG0001450	AENJA_12377	SCHMD05056
OG0001451	AENJA_04889, AENJA_16142	SCHMD11378, SCHMD13989, SCHMD09385, SCHMD09340
OG0001453	AENJA_05598, AENJA_07667	SCHMD06884, SCHMD06825
OG0001454	AENJA_06306	SCHMD21412, SCHMD12857, SCHMD10712, SCHMD05935, SCHMD27841, SCHMD03145
OG0001455	AENJA_06571	SCHMD09779, SCHMD21676, SCHMD21247, SCHMD23564, SCHMD17786, SCHMD27690, SCHMD19082, SCHMD00110
OG0001456	AENJA_07027	SCHMD22269, SCHMD26154
OG0001458	AENJA_08456	SCHMD07871
OG0001460	AENJA_20570	SCHMD10311, SCHMD23647
OG0001460	AENJA_09064	SCHMD10312, SCHMD23646
OG0001461	AENJA_09214	SCHMD13257
OG0001464	AENJA_09857	SCHMD20463
OG0001466	AENJA_10074	SCHMD12996, SCHMD13074
OG0001467	AENJA_26730	SCHMD12343
OG0001467	AENJA_10772	SCHMD25578, SCHMD23876, SCHMD14454, SCHMD14218, SCHMD09966
OG0001468	AENJA_10995	SCHMD00390
OG0001469	AENJA_20582	SCHMD09394
OG0001469	AENJA_11151	SCHMD24067, SCHMD10449
OG0001470	AENJA_11625	SCHMD02321, SCHMD02318
OG0001472	AENJA_12236	SCHMD12948
OG0001472	AENJA_13235	SCHMD13936, SCHMD13397, SCHMD27432
OG0001474	AENJA_14700	SCHMD07415
OG0001474	AENJA_24781	SCHMD11576, SCHMD26877
OG0001475	AENJA_14793	SCHMD01990, SCHMD01568, SCHMD01569, SCHMD13677, SCHMD05348
OG0001478	AENJA_19708	SCHMD22576, SCHMD26017
OG0001479	AENJA_16158	SCHMD12413, SCHMD08686
OG0001480	AENJA_16776	SCHMD13493
OG0001481	AENJA_17029	SCHMD19666, SCHMD19667
OG0001482	AENJA_18749	SCHMD02244
OG0001483	AENJA_19356	SCHMD00397
OG0001484	AENJA_21194	SCHMD14277
OG0001488	AENJA_24153	SCHMD21551
OG0001490	AENJA_25216	SCHMD08286, SCHMD07637
OG0001492	AENJA_25544	SCHMD23516, SCHMD26961, SCHMD25275, SCHMD13787, SCHMD04408, SCHMD08526, SCHMD03207, SCHMD22383, SCHMD21998, SCHMD05531, SCHMD02901, SCHMD18008, SCHMD25870, SCHMD01545, SCHMD02176, SCHMD21595, SCHMD22373, SCHMD22752, SCHMD09908, SCHMD16982, SCHMD26364, SCHMD01591
OG0001501	AENJA_02988	SCHMD02704
OG0001502	AENJA_03421	SCHMD06697
OG0001503	AENJA_23557	SCHMD25279, SCHMD19928
OG0001503	AENJA_03755	SCHMD25148
OG0001504	AENJA_04830, AENJA_04833, AENJA_15576, AENJA_04039	SCHMD05964
OG0001506	AENJA_05939	SCHMD27200
OG0001506	AENJA_05938	SCHMD04881
OG0001507	AENJA_06136	SCHMD00476, SCHMD00993
OG0001508	AENJA_06316	SCHMD22201, SCHMD18843, SCHMD16325, SCHMD15374
OG0001510	AENJA_08660	SCHMD18904, SCHMD27815, SCHMD18903
OG0001511	AENJA_08942	SCHMD14385
OG0001512	AENJA_09698	SCHMD25662, SCHMD20631, SCHMD17238, SCHMD26046, SCHMD14306, SCHMD08743, SCHMD08744, SCHMD14305, SCHMD08415, SCHMD00450
OG0001513	AENJA_09714	SCHMD16029
OG0001514	AENJA_10133	SCHMD13607, SCHMD17180
OG0001515	AENJA_10215	SCHMD18483
OG0001516	AENJA_10243	SCHMD07784
OG0001517	AENJA_10361	SCHMD13953, SCHMD02103, SCHMD04959, SCHMD27460
OG0001522	AENJA_19424, AENJA_14026	SCHMD06814
OG0001524	AENJA_19275	SCHMD08154
OG0001524	AENJA_15536	SCHMD06432
OG0001525	AENJA_16414	SCHMD22768, SCHMD18999, SCHMD19000
OG0001526	AENJA_16663	SCHMD16304
OG0001527	AENJA_16808	SCHMD08837
OG0001530	AENJA_19473	SCHMD09337
OG0001531	AENJA_20341	SCHMD25753
OG0001532	AENJA_20708	SCHMD11604
OG0001534	AENJA_21491, AENJA_21490	SCHMD13063
OG0001536	AENJA_25332, AENJA_25327	SCHMD04145
OG0001551	AENJA_05503	SCHMD21975
OG0001553	AENJA_06179	SCHMD15846, SCHMD15532, SCHMD10896, SCHMD19069, SCHMD06566
OG0001554	AENJA_07567	SCHMD11035
OG0001555	AENJA_07655	SCHMD09018, SCHMD10477, SCHMD09019, SCHMD19851, SCHMD25726, SCHMD07148, SCHMD29622, SCHMD10887, SCHMD10886, SCHMD09698, SCHMD28090, SCHMD24412, SCHMD21363, SCHMD25892, SCHMD18696, SCHMD09131, SCHMD01581
OG0001555	AENJA_12105	SCHMD22987
OG0001557	AENJA_23342, AENJA_08073	SCHMD13972
OG0001558	AENJA_08311	SCHMD18412, SCHMD28405
OG0001559	AENJA_08667	SCHMD02521
OG0001560	AENJA_09404	SCHMD19288, SCHMD02478
OG0001561	AENJA_09420	SCHMD21318
OG0001562	AENJA_25099	SCHMD12692
OG0001562	AENJA_10266	SCHMD12694
OG0001563	AENJA_12465, AENJA_21948, AENJA_11347	SCHMD18145
OG0001566	AENJA_12513	SCHMD02705
OG0001567	AENJA_13019	SCHMD03492, SCHMD11013, SCHMD12195
OG0001568	AENJA_13880	SCHMD04206
OG0001570	AENJA_19842	SCHMD04583
OG0001571	AENJA_17758	SCHMD20861, SCHMD22039
OG0001572	AENJA_22665	SCHMD04033
OG0001572	AENJA_18250	SCHMD14275, SCHMD14274
OG0001575	AENJA_21919	SCHMD13351
OG0001576	AENJA_23479	SCHMD23672
OG0001578	AENJA_24180	SCHMD10414
OG0001580	AENJA_25168	SCHMD08361, SCHMD16167, SCHMD15393
OG0001582	AENJA_26338	SCHMD10962, SCHMD17543, SCHMD18112
OG0001583	AENJA_26528	SCHMD16986, SCHMD12401, SCHMD16987, SCHMD12400, SCHMD11526
OG0001589	AENJA_25067, AENJA_00308, AENJA_25068	SCHMD27652, SCHMD23084
OG0001590	AENJA_00406	SCHMD09240
OG0001593	AENJA_01627	SCHMD12117, SCHMD02219, SCHMD12348, SCHMD22687
OG0001594	AENJA_16970, AENJA_01665, AENJA_04700	SCHMD14548, SCHMD07059
OG0001594	AENJA_09891	SCHMD10235
OG0001597	AENJA_17835, AENJA_03457	SCHMD15780, SCHMD26075
OG0001602	AENJA_05150	SCHMD05345, SCHMD00022
OG0001603	AENJA_25082, AENJA_05289	SCHMD29329
OG0001604	AENJA_11253	SCHMD02109
OG0001609	AENJA_08323	SCHMD16467
OG0001609	AENJA_19787	SCHMD16231, SCHMD10959, SCHMD10960
OG0001611	AENJA_08569	SCHMD04102, SCHMD12631
OG0001612	AENJA_09589	SCHMD14255, SCHMD22594
OG0001613	AENJA_18613, AENJA_13644, AENJA_09920, AENJA_23085, AENJA_23061, AENJA_20693	SCHMD05811
OG0001614	AENJA_17703	SCHMD04001
OG0001615	AENJA_10716	SCHMD14018
OG0001617	AENJA_12188	SCHMD05139
OG0001620	AENJA_13924	SCHMD22740, SCHMD18214
OG0001621	AENJA_13994, AENJA_13992	SCHMD26761, SCHMD18496
OG0001623	AENJA_18499, AENJA_25583, AENJA_14562	SCHMD12998, SCHMD29690, SCHMD08483
OG0001625	AENJA_14706	SCHMD28211, SCHMD26150, SCHMD22149
OG0001627	AENJA_16344, AENJA_16341, AENJA_20173, AENJA_19284	SCHMD06117
OG0001629	AENJA_16897	SCHMD24158, SCHMD07179, SCHMD15006, SCHMD06466, SCHMD05240, SCHMD17637, SCHMD25524
OG0001630	AENJA_17020	SCHMD04044, SCHMD04169, SCHMD01052
OG0001632	AENJA_18126	SCHMD12105, SCHMD26476
OG0001633	AENJA_21539	SCHMD06756
OG0001634	AENJA_18695	SCHMD24659
OG0001634	AENJA_18896	SCHMD04359, SCHMD08780, SCHMD05004
OG0001635	AENJA_18913	SCHMD28110
OG0001636	AENJA_19487	SCHMD19517, SCHMD28241, SCHMD18669, SCHMD18668
OG0001638	AENJA_20882	SCHMD00159, SCHMD00160
OG0001639	AENJA_22054	SCHMD07144
OG0001640	AENJA_23181	SCHMD02843
OG0001641	AENJA_23210	SCHMD03047
OG0001642	AENJA_23879	SCHMD20801, SCHMD12647
OG0001644	AENJA_26289	SCHMD20924
OG0001651	AENJA_00391	SCHMD15448
OG0001652	AENJA_11452, AENJA_11451, AENJA_01437	SCHMD10249, SCHMD26883
OG0001653	AENJA_21125	SCHMD13946
OG0001655	AENJA_03001	SCHMD06776
OG0001656	AENJA_03159	SCHMD22556
OG0001657	AENJA_03268	SCHMD07705, SCHMD10000, SCHMD12957
OG0001660	AENJA_04731	SCHMD01572, SCHMD29332
OG0001662	AENJA_07124	SCHMD19275
OG0001662	AENJA_05672	SCHMD25740
OG0001664	AENJA_22480	SCHMD13680, SCHMD17585
OG0001665	AENJA_11003, AENJA_06300	SCHMD19795
OG0001666	AENJA_07102	SCHMD03955, SCHMD03098, SCHMD26493, SCHMD18331
OG0001667	AENJA_07191	SCHMD18800, SCHMD13601, SCHMD20100
OG0001668	AENJA_07885	SCHMD04958
OG0001670	AENJA_08987, AENJA_13957	SCHMD00224
OG0001671	AENJA_18353, AENJA_09175	SCHMD21324
OG0001672	AENJA_09939	SCHMD11260, SCHMD13294, SCHMD11259
OG0001676	AENJA_26746	SCHMD13666
OG0001677	AENJA_11807	SCHMD13425
OG0001682	AENJA_17431	SCHMD04768
OG0001683	AENJA_18304	SCHMD09006, SCHMD12944, SCHMD06427
OG0001685	AENJA_18914	SCHMD20869, SCHMD15163, SCHMD14291, SCHMD14561, SCHMD03324, SCHMD25640, SCHMD02880, SCHMD13866, SCHMD13867, SCHMD17545, SCHMD20045, SCHMD19660, SCHMD24220, SCHMD28371, SCHMD22627, SCHMD12886, SCHMD21854, SCHMD19999, SCHMD27827, SCHMD23046, SCHMD22626
OG0001688	AENJA_20867, AENJA_20868	SCHMD12122, SCHMD25973, SCHMD11868, SCHMD27222
OG0001690	AENJA_22959	SCHMD02947, SCHMD02948, SCHMD29617
OG0001691	AENJA_24035	SCHMD00990, SCHMD08142
OG0001707	AENJA_00981, AENJA_25581	SCHMD28717, SCHMD29464, SCHMD20857
OG0001708	AENJA_01039	SCHMD28849, SCHMD14466, SCHMD06180
OG0001711	AENJA_01555	SCHMD04571
OG0001713	AENJA_02209	SCHMD11479
OG0001716	AENJA_02720	SCHMD03299
OG0001718	AENJA_02907	SCHMD15790
OG0001720	AENJA_03434	SCHMD15757
OG0001721	AENJA_03497	SCHMD13571, SCHMD02927, SCHMD02924, SCHMD01779, SCHMD07361, SCHMD01469, SCHMD01470, SCHMD13572, SCHMD02923, SCHMD02926
OG0001723	AENJA_04029	SCHMD01945
OG0001724	AENJA_04715	SCHMD24845, SCHMD14505
OG0001724	AENJA_04714	SCHMD24846
OG0001724	AENJA_04716	SCHMD23137
OG0001726	AENJA_06017	SCHMD06142, SCHMD13209
OG0001726	AENJA_11860	SCHMD14995, SCHMD16386
OG0001727	AENJA_06020	SCHMD10475, SCHMD05882, SCHMD07424, SCHMD10474
OG0001728	AENJA_08879, AENJA_09822	SCHMD17375
OG0001729	AENJA_08928	SCHMD13670, SCHMD12911, SCHMD05814, SCHMD09420, SCHMD04561, SCHMD11586, SCHMD22783, SCHMD11159
OG0001730	AENJA_09007	SCHMD11237, SCHMD15709
OG0001732	AENJA_11224	SCHMD09964
OG0001733	AENJA_11585	SCHMD11880
OG0001734	AENJA_13245	SCHMD27529, SCHMD23016
OG0001735	AENJA_13640, AENJA_13638	SCHMD04334
OG0001736	AENJA_14070	SCHMD13051
OG0001737	AENJA_14224	SCHMD19940, SCHMD12224
OG0001738	AENJA_15108	SCHMD28176
OG0001739	AENJA_15111	SCHMD04721
OG0001742	AENJA_16080	SCHMD04578
OG0001745	AENJA_18802	SCHMD03643, SCHMD12507, SCHMD09820, SCHMD13748, SCHMD12508, SCHMD16928, SCHMD20075, SCHMD15679, SCHMD29088
OG0001750	AENJA_22826	SCHMD22591
OG0001751	AENJA_23225	SCHMD05355
OG0001752	AENJA_23699	SCHMD04217
OG0001754	AENJA_24677	SCHMD16498
OG0001769	AENJA_00392	SCHMD03951
OG0001770	AENJA_00514	SCHMD22893, SCHMD22374
OG0001774	AENJA_01099	SCHMD06607
OG0001780	AENJA_03267, AENJA_06530	SCHMD19255, SCHMD20118
OG0001781	AENJA_03406	SCHMD11700, SCHMD23557, SCHMD23630
OG0001783	AENJA_04445	SCHMD15033, SCHMD26133
OG0001785	AENJA_04786	SCHMD16367, SCHMD26545
OG0001786	AENJA_15473	SCHMD10589, SCHMD26010, SCHMD14133, SCHMD22280
OG0001786	AENJA_11303, AENJA_15773, AENJA_09559, AENJA_05017	SCHMD28589
OG0001787	AENJA_05662	SCHMD15982
OG0001788	AENJA_05784	SCHMD08675
OG0001792	AENJA_21975, AENJA_24891, AENJA_21976, AENJA_21971	SCHMD00384
OG0001793	AENJA_15294	SCHMD26216
OG0001797	AENJA_08186	SCHMD12550
OG0001798	AENJA_08367	SCHMD06352, SCHMD07989
OG0001805	AENJA_10542	SCHMD01576
OG0001807	AENJA_12201	SCHMD01495
OG0001808	AENJA_13026	SCHMD04780
OG0001809	AENJA_13412	SCHMD03279
OG0001810	AENJA_13786	SCHMD28471, SCHMD25400
OG0001811	AENJA_14089	SCHMD08225
OG0001814	AENJA_23859, AENJA_15166	SCHMD29290
OG0001818	AENJA_18459	SCHMD13473, SCHMD29528, SCHMD15135
OG0001819	AENJA_19342	SCHMD06459
OG0001820	AENJA_19468, AENJA_19465, AENJA_19466	SCHMD14228, SCHMD02398
OG0001821	AENJA_21035	SCHMD28800, SCHMD18321
OG0001822	AENJA_21678	SCHMD21605, SCHMD12240
OG0001823	AENJA_22880	SCHMD00776, SCHMD09499
OG0001823	AENJA_22883, AENJA_22884	SCHMD13338
OG0001825	AENJA_23001	SCHMD06748
OG0001826	AENJA_23249	SCHMD25796, SCHMD02997
OG0001827	AENJA_23535	SCHMD17765, SCHMD19189
OG0001828	AENJA_23757	SCHMD22292, SCHMD16899, SCHMD18304, SCHMD22290
OG0001829	AENJA_24206	SCHMD09587
OG0001846	AENJA_23250, AENJA_00173	SCHMD09924
OG0001852	AENJA_18334	SCHMD01397
OG0001853	AENJA_03214, AENJA_13354	SCHMD00353
OG0001855	AENJA_03423, AENJA_03424	SCHMD18910, SCHMD18417, SCHMD21978, SCHMD24791, SCHMD24116, SCHMD23804, SCHMD24570, SCHMD16145, SCHMD12639
OG0001857	AENJA_04553	SCHMD00486
OG0001860	AENJA_05152	SCHMD14531, SCHMD12432
OG0001861	AENJA_25398, AENJA_11706, AENJA_05340	SCHMD02441, SCHMD00846, SCHMD13519
OG0001863	AENJA_14971	SCHMD26126
OG0001863	AENJA_06983	SCHMD14322, SCHMD28681
OG0001866	AENJA_07311	SCHMD23003
OG0001866	AENJA_07312	SCHMD17047
OG0001867	AENJA_07397	SCHMD06149
OG0001868	AENJA_07733	SCHMD21478, SCHMD10606, SCHMD18490
OG0001869	AENJA_07813	SCHMD19852
OG0001870	AENJA_07921	SCHMD08001, SCHMD03109
OG0001872	AENJA_08322	SCHMD20625, SCHMD23480, SCHMD05297, SCHMD20627
OG0001873	AENJA_08353, AENJA_24095	SCHMD09003
OG0001874	AENJA_08461	SCHMD05368, SCHMD29268, SCHMD05367, SCHMD25092, SCHMD10032
OG0001875	AENJA_09123	SCHMD29147, SCHMD28237
OG0001875	AENJA_16491	SCHMD11568
OG0001877	AENJA_09356	SCHMD14827
OG0001878	AENJA_09652	SCHMD18520
OG0001879	AENJA_10214	SCHMD08156
OG0001880	AENJA_10684	SCHMD11659
OG0001881	AENJA_11391	SCHMD18117
OG0001882	AENJA_13635	SCHMD17052, SCHMD22970
OG0001883	AENJA_14004	SCHMD08058, SCHMD14396, SCHMD14395
OG0001884	AENJA_14156	SCHMD09575
OG0001886	AENJA_14779	SCHMD00538
OG0001887	AENJA_15098	SCHMD22103, SCHMD03399, SCHMD24336
OG0001888	AENJA_15918	SCHMD15698
