Orthogroup	SCHMD	XENTR
OG0001018	SCHMD08153	XENTR12838
OG0001019	SCHMD15171	XENTR19055, XENTR18997
OG0001023	SCHMD07708, SCHMD18630, SCHMD28291	XENTR11481
OG0001026	SCHMD14301	XENTR15606
OG0001026	SCHMD06008	XENTR05617
OG0001028	SCHMD01474, SCHMD11482	XENTR08088, XENTR09574, XENTR09575
OG0001029	SCHMD04839, SCHMD00804, SCHMD00805	XENTR00509, XENTR04608
OG0001030	SCHMD08464	XENTR11652, XENTR00593
OG0001031	SCHMD14040, SCHMD09371, SCHMD16991, SCHMD19644	XENTR08916
OG0001031	SCHMD21518, SCHMD21621, SCHMD16193, SCHMD12815, SCHMD19646, SCHMD16992, SCHMD17709, SCHMD09373	XENTR11732
OG0001032	SCHMD15671, SCHMD16553, SCHMD24305, SCHMD20230, SCHMD05282	XENTR15209
OG0001033	SCHMD11399, SCHMD23908	XENTR11737, XENTR02706
OG0001033	SCHMD10492	XENTR00028, XENTR04288, XENTR04289, XENTR10639
OG0001036	SCHMD20768, SCHMD09235	XENTR15810, XENTR02160
OG0001037	SCHMD23424, SCHMD16427, SCHMD02530, SCHMD07259	XENTR06792, XENTR04702
OG0001038	SCHMD26628, SCHMD09164, SCHMD14733, SCHMD14734	XENTR08755, XENTR10905, XENTR13375
OG0001042	SCHMD11839	XENTR15139, XENTR17123, XENTR16376
OG0001046	SCHMD05104, SCHMD02045, SCHMD11124	XENTR01853, XENTR03892, XENTR03891, XENTR10518
OG0001047	SCHMD28420	XENTR15460, XENTR09715, XENTR19101, XENTR05905
OG0001048	SCHMD12160	XENTR06473, XENTR14297, XENTR16609
OG0001049	SCHMD16614	XENTR00286
OG0001050	SCHMD04667	XENTR08446
OG0001050	SCHMD03458	XENTR18291, XENTR03607, XENTR01418, XENTR01419, XENTR15902
OG0001052	SCHMD09988	XENTR04326, XENTR07297
OG0001053	SCHMD25503, SCHMD22630	XENTR14072, XENTR07099, XENTR01123
OG0001060	SCHMD12337, SCHMD14762, SCHMD05051	XENTR15320
OG0001062	SCHMD24440, SCHMD23600, SCHMD17910	XENTR02358, XENTR00517, XENTR00439
OG0001066	SCHMD24046, SCHMD10767	XENTR05175
OG0001068	SCHMD00936	XENTR00265, XENTR17429, XENTR17428
OG0001072	SCHMD24459, SCHMD27893	XENTR01131, XENTR14054
OG0001073	SCHMD00478	XENTR13757, XENTR03448, XENTR09013
OG0001076	SCHMD07131	XENTR04369, XENTR03450
OG0001078	SCHMD20731, SCHMD25766	XENTR16491, XENTR12278, XENTR05427, XENTR16318
OG0001079	SCHMD15090, SCHMD18834	XENTR05981
OG0001079	SCHMD27223	XENTR02342, XENTR18570
OG0001080	SCHMD08586	XENTR17306
OG0001080	SCHMD15438, SCHMD19176	XENTR00219, XENTR05053
OG0001081	SCHMD05425	XENTR11483, XENTR11482
OG0001083	SCHMD07690	XENTR14939, XENTR08964, XENTR02202, XENTR09760
OG0001084	SCHMD10718	XENTR03176
OG0001084	SCHMD10717	XENTR06277
OG0001085	SCHMD03894	XENTR14464, XENTR18960, XENTR05968, XENTR02550
OG0001086	SCHMD14120	XENTR14767, XENTR08988, XENTR08989, XENTR09494
OG0001088	SCHMD01007, SCHMD19898, SCHMD23791	XENTR12091
OG0001089	SCHMD10517	XENTR12503
OG0001091	SCHMD13206, SCHMD15908	XENTR05394, XENTR06870, XENTR11806, XENTR06869, XENTR11805, XENTR05395, XENTR11804
OG0001092	SCHMD17999	XENTR04356
OG0001092	SCHMD18945	XENTR04358
OG0001093	SCHMD16772	XENTR14801, XENTR06916, XENTR05391
OG0001094	SCHMD01339, SCHMD02841, SCHMD07133, SCHMD16607, SCHMD02809, SCHMD26909, SCHMD21662	XENTR06671, XENTR12802, XENTR09938
OG0001096	SCHMD11467, SCHMD14874	XENTR04979, XENTR04980, XENTR10593
OG0001101	SCHMD06917, SCHMD18684, SCHMD23170, SCHMD18685	XENTR16380
OG0001101	SCHMD18683, SCHMD23171	XENTR18754
OG0001102	SCHMD06311	XENTR00597
OG0001103	SCHMD10595	XENTR11707
OG0001108	SCHMD08133	XENTR08568, XENTR01519
OG0001112	SCHMD26529, SCHMD08447	XENTR08598, XENTR07078
OG0001113	SCHMD10085	XENTR03194
OG0001114	SCHMD27710, SCHMD15592, SCHMD14156	XENTR05283, XENTR05282, XENTR18949
OG0001116	SCHMD04023	XENTR15111, XENTR15112
OG0001117	SCHMD18856	XENTR04976, XENTR19058, XENTR12412
OG0001121	SCHMD18066, SCHMD06995, SCHMD25343, SCHMD23015, SCHMD06994	XENTR00146, XENTR15147
OG0001123	SCHMD02756	XENTR10415
OG0001124	SCHMD24013	XENTR16582, XENTR06212
OG0001126	SCHMD17192	XENTR18698
OG0001127	SCHMD06664	XENTR08217
OG0001128	SCHMD08323	XENTR08508, XENTR02079, XENTR13449, XENTR13450
OG0001129	SCHMD15504, SCHMD18282, SCHMD05846	XENTR05147
OG0001130	SCHMD04030	XENTR03434
OG0001133	SCHMD18643	XENTR17678
OG0001133	SCHMD29299, SCHMD19714	XENTR15362
OG0001135	SCHMD28946	XENTR01797, XENTR01779
OG0001136	SCHMD09640	XENTR10642, XENTR00557, XENTR12118
OG0001138	SCHMD00170	XENTR05997, XENTR02144, XENTR04471, XENTR18324, XENTR16579, XENTR16494, XENTR08552, XENTR05227, XENTR06291, XENTR15641, XENTR15640
OG0001139	SCHMD00334	XENTR12289, XENTR11375, XENTR07646, XENTR17010
OG0001140	SCHMD22679, SCHMD17712, SCHMD14631, SCHMD02111, SCHMD16673, SCHMD18031, SCHMD24981, SCHMD17350, SCHMD11695, SCHMD21848, SCHMD22963, SCHMD14630, SCHMD17713, SCHMD26239, SCHMD04472	XENTR00230, XENTR13675, XENTR13933
OG0001141	SCHMD02981, SCHMD09902, SCHMD11211, SCHMD15344, SCHMD18658	XENTR05715
OG0001142	SCHMD12785, SCHMD19807, SCHMD09379	XENTR06629
OG0001143	SCHMD05178	XENTR16291, XENTR08123, XENTR08124, XENTR08673, XENTR09685
OG0001145	SCHMD13612, SCHMD28618, SCHMD12142, SCHMD09031, SCHMD16701, SCHMD19806, SCHMD16196, SCHMD18868, SCHMD23776, SCHMD24315, SCHMD19814, SCHMD12756, SCHMD24908, SCHMD25502, SCHMD23051, SCHMD06760, SCHMD24850, SCHMD15660, SCHMD22286, SCHMD18019, SCHMD04909, SCHMD04601, SCHMD07914, SCHMD12786, SCHMD10967, SCHMD00569, SCHMD17789, SCHMD01622, SCHMD21585, SCHMD12412, SCHMD08892, SCHMD12723, SCHMD24316, SCHMD11364, SCHMD25346, SCHMD13810, SCHMD19815, SCHMD08687, SCHMD22380, SCHMD06809, SCHMD04720, SCHMD03330, SCHMD06080, SCHMD03481, SCHMD04056, SCHMD15847, SCHMD01717, SCHMD22635, SCHMD02819, SCHMD07817, SCHMD02226, SCHMD24230, SCHMD07909, SCHMD26467, SCHMD17923, SCHMD16658, SCHMD13918, SCHMD04387, SCHMD22631, SCHMD02683, SCHMD11321, SCHMD21548, SCHMD28474, SCHMD25945, SCHMD16675, SCHMD11320	XENTR16059
OG0001146	SCHMD06189	XENTR04404, XENTR04096, XENTR12242
OG0001149	SCHMD16336, SCHMD29633	XENTR12926, XENTR00444
OG0001155	SCHMD01897	XENTR09180
OG0001156	SCHMD11390	XENTR07093, XENTR06912, XENTR01092
OG0001158	SCHMD01514, SCHMD06104, SCHMD00376	XENTR16126, XENTR16127, XENTR07686, XENTR07685
OG0001159	SCHMD01595	XENTR13277
OG0001161	SCHMD27832, SCHMD10429, SCHMD10428	XENTR05290, XENTR17947
OG0001162	SCHMD04355, SCHMD04356	XENTR10454, XENTR14933
OG0001164	SCHMD22065	XENTR00877
OG0001165	SCHMD11819	XENTR03624
OG0001165	SCHMD07378, SCHMD22157, SCHMD03644, SCHMD08052, SCHMD12131	XENTR02305
OG0001167	SCHMD08043, SCHMD04406	XENTR07709, XENTR06636, XENTR08900
OG0001168	SCHMD13073	XENTR06904
OG0001172	SCHMD19335	XENTR06358, XENTR09420
OG0001175	SCHMD18473	XENTR04334, XENTR01937
OG0001178	SCHMD07684	XENTR00333
OG0001178	SCHMD13713	XENTR02313
OG0001179	SCHMD26379	XENTR01714
OG0001181	SCHMD21797	XENTR02917, XENTR13969
OG0001183	SCHMD02325	XENTR15931, XENTR15930
OG0001184	SCHMD12752	XENTR11761
OG0001184	SCHMD29753, SCHMD15110, SCHMD23640	XENTR16633
OG0001185	SCHMD23236	XENTR05474, XENTR09610, XENTR09609
OG0001186	SCHMD20610	XENTR07680, XENTR03745
OG0001186	SCHMD05037	XENTR03736
OG0001188	SCHMD05963, SCHMD14167	XENTR04124
OG0001189	SCHMD17573, SCHMD27159, SCHMD05552	XENTR16871, XENTR08031, XENTR04626
OG0001191	SCHMD11387	XENTR02213, XENTR13144, XENTR08963
OG0001197	SCHMD06230	XENTR14109
OG0001197	SCHMD16253	XENTR02293, XENTR07184
OG0001198	SCHMD04078	XENTR16301
OG0001199	SCHMD17830	XENTR12723
OG0001201	SCHMD18644	XENTR17811
OG0001204	SCHMD08657, SCHMD22624, SCHMD10325	XENTR01197, XENTR13340
OG0001207	SCHMD07731	XENTR10602, XENTR06956, XENTR16548
OG0001208	SCHMD11671, SCHMD13440, SCHMD22806	XENTR05399, XENTR14797
OG0001209	SCHMD22043, SCHMD28492	XENTR17550
OG0001210	SCHMD19441	XENTR12983
OG0001213	SCHMD01086	XENTR10507
OG0001213	SCHMD23993, SCHMD21364, SCHMD26387, SCHMD21954, SCHMD22675	XENTR01205
OG0001214	SCHMD22221	XENTR02921
OG0001215	SCHMD25774	XENTR12954, XENTR16550, XENTR16549
OG0001216	SCHMD13349	XENTR05946
OG0001217	SCHMD18537	XENTR07688, XENTR11580, XENTR00148
OG0001217	SCHMD21187, SCHMD21148	XENTR13893, XENTR11581
OG0001218	SCHMD03255	XENTR16071, XENTR10134, XENTR14884, XENTR14883, XENTR16396
OG0001219	SCHMD09614, SCHMD00713	XENTR03647, XENTR18228, XENTR12113
OG0001221	SCHMD16690	XENTR15915
OG0001223	SCHMD08671	XENTR07799, XENTR10652, XENTR13605, XENTR02494, XENTR02495
OG0001226	SCHMD21222	XENTR11877, XENTR07881, XENTR05450
OG0001230	SCHMD04385, SCHMD04382, SCHMD28531	XENTR07940
OG0001236	SCHMD14035	XENTR16068
OG0001238	SCHMD09688	XENTR08981, XENTR12621, XENTR06928, XENTR03786
OG0001239	SCHMD22059, SCHMD04401, SCHMD16791	XENTR05992
OG0001241	SCHMD04757, SCHMD04223	XENTR12971
OG0001241	SCHMD16327	XENTR07087, XENTR02055
OG0001245	SCHMD09398	XENTR09296
OG0001247	SCHMD01541, SCHMD06119	XENTR19062
OG0001249	SCHMD01149	XENTR04710, XENTR00318
OG0001250	SCHMD08101, SCHMD04347	XENTR10529, XENTR04777, XENTR07316
OG0001251	SCHMD18877, SCHMD19053, SCHMD14253, SCHMD20912, SCHMD12715	XENTR03730, XENTR12411
OG0001254	SCHMD14258, SCHMD09217	XENTR03435, XENTR01471
OG0001256	SCHMD23608, SCHMD16589, SCHMD16774, SCHMD00239, SCHMD25518	XENTR12356
OG0001261	SCHMD13436	XENTR03563, XENTR16999
OG0001262	SCHMD20011	XENTR06170, XENTR06171, XENTR19017, XENTR15533
OG0001263	SCHMD17470	XENTR06868
OG0001264	SCHMD27230, SCHMD17432	XENTR02490, XENTR03731, XENTR05140
OG0001266	SCHMD10438	XENTR10900, XENTR02450
OG0001267	SCHMD05399	XENTR06333
OG0001268	SCHMD01057	XENTR08282
OG0001271	SCHMD05357	XENTR17754, XENTR02751, XENTR07226
OG0001272	SCHMD22716, SCHMD09459	XENTR18340, XENTR09464, XENTR00960
OG0001273	SCHMD13838, SCHMD25918, SCHMD21739	XENTR13224, XENTR14752, XENTR14082
OG0001275	SCHMD21376	XENTR14625
OG0001275	SCHMD12521	XENTR14624
OG0001279	SCHMD06836	XENTR11976, XENTR14916
OG0001280	SCHMD09937, SCHMD20104, SCHMD05674, SCHMD11884	XENTR13872, XENTR04350, XENTR07156
OG0001282	SCHMD08025	XENTR16436, XENTR00274
OG0001284	SCHMD09316	XENTR15697
OG0001284	SCHMD00434	XENTR01467, XENTR01466
OG0001287	SCHMD07530	XENTR06418, XENTR10568, XENTR10975, XENTR14177
OG0001291	SCHMD20641, SCHMD11793	XENTR02209, XENTR05578, XENTR07580, XENTR07579
OG0001294	SCHMD26181, SCHMD17649, SCHMD26146, SCHMD20417, SCHMD20418	XENTR08985, XENTR08984
OG0001296	SCHMD20454, SCHMD11060	XENTR10758, XENTR16218, XENTR01664, XENTR01665
OG0001297	SCHMD10762	XENTR07068, XENTR07067, XENTR01254, XENTR17500
OG0001300	SCHMD00214, SCHMD19001, SCHMD09152, SCHMD17144, SCHMD02202	XENTR09380, XENTR15087, XENTR13396
OG0001302	SCHMD13885	XENTR00019
OG0001302	SCHMD08617, SCHMD27826	XENTR05127, XENTR05128
OG0001304	SCHMD13840	XENTR13603, XENTR09891, XENTR07804, XENTR02497
OG0001306	SCHMD04516	XENTR00068
OG0001308	SCHMD08020	XENTR08924, XENTR10339, XENTR11736
OG0001310	SCHMD19422	XENTR02393
OG0001310	SCHMD09167	XENTR15418
OG0001311	SCHMD05801	XENTR11767
OG0001316	SCHMD15981	XENTR05492, XENTR15964, XENTR00686
OG0001318	SCHMD07054	XENTR10187
OG0001318	SCHMD16802	XENTR00640
OG0001319	SCHMD14764	XENTR00669, XENTR10926, XENTR09062
OG0001320	SCHMD01321, SCHMD01324, SCHMD01322	XENTR12547
OG0001320	SCHMD05527	XENTR13078, XENTR04130
OG0001321	SCHMD23818	XENTR11250
OG0001322	SCHMD09506	XENTR10160, XENTR16770, XENTR07426
OG0001323	SCHMD14852, SCHMD22300	XENTR04149, XENTR14533, XENTR06661, XENTR12671
OG0001326	SCHMD29052, SCHMD26738, SCHMD21907, SCHMD17595, SCHMD08761, SCHMD19423	XENTR09549, XENTR01917, XENTR01916, XENTR08643, XENTR11848
OG0001327	SCHMD08653, SCHMD04846	XENTR10101, XENTR14547
OG0001328	SCHMD23086	XENTR09916
OG0001329	SCHMD15324	XENTR00757
OG0001331	SCHMD14545	XENTR14937, XENTR18315
OG0001332	SCHMD04204	XENTR11574, XENTR14153, XENTR14152
OG0001333	SCHMD15673, SCHMD23155	XENTR01835
OG0001337	SCHMD11229, SCHMD01704, SCHMD14444	XENTR04761, XENTR09361
OG0001339	SCHMD08909	XENTR10662, XENTR05180
OG0001341	SCHMD01188, SCHMD02608	XENTR17450
OG0001348	SCHMD24331, SCHMD29399	XENTR02721, XENTR02053
OG0001350	SCHMD16735, SCHMD15485, SCHMD23052	XENTR00070
OG0001351	SCHMD24241	XENTR02308
OG0001353	SCHMD10586	XENTR09957, XENTR02518
OG0001354	SCHMD11475, SCHMD26080	XENTR09675
OG0001354	SCHMD12063	XENTR12221, XENTR00037, XENTR04304
OG0001355	SCHMD23781	XENTR03193, XENTR09059, XENTR08752, XENTR12634, XENTR02287, XENTR14204
OG0001356	SCHMD21598, SCHMD19916	XENTR11301, XENTR02362
OG0001357	SCHMD16921	XENTR05091, XENTR02425, XENTR12657
OG0001362	SCHMD04122, SCHMD05643, SCHMD13617	XENTR09103
OG0001362	SCHMD26327	XENTR15980
OG0001363	SCHMD05287, SCHMD16288, SCHMD05291	XENTR09917, XENTR06150
OG0001367	SCHMD04624	XENTR02449, XENTR12179, XENTR12890
OG0001368	SCHMD02343	XENTR09946, XENTR11688
OG0001370	SCHMD12004	XENTR01446
OG0001370	SCHMD18225, SCHMD11963	XENTR09409
OG0001371	SCHMD02523	XENTR09788
OG0001372	SCHMD12353, SCHMD23970	XENTR17215
OG0001375	SCHMD18333	XENTR05015, XENTR07997, XENTR12997
OG0001376	SCHMD14191, SCHMD01800	XENTR13691, XENTR14498, XENTR07143
OG0001378	SCHMD12504, SCHMD07107	XENTR01998
OG0001379	SCHMD15234	XENTR06099, XENTR06100
OG0001385	SCHMD01908, SCHMD03151, SCHMD17215, SCHMD24251, SCHMD27846, SCHMD02887, SCHMD11624, SCHMD23448, SCHMD19127, SCHMD25605, SCHMD28267, SCHMD17606, SCHMD15084, SCHMD05289, SCHMD01079, SCHMD09083, SCHMD01371, SCHMD22024, SCHMD20763, SCHMD00169, SCHMD10113, SCHMD25905, SCHMD23599, SCHMD20992, SCHMD25254, SCHMD04155, SCHMD13353, SCHMD04418, SCHMD04625, SCHMD01016, SCHMD05445, SCHMD11800, SCHMD07275, SCHMD24250, SCHMD23891, SCHMD22262, SCHMD03886, SCHMD08662, SCHMD26442, SCHMD17996, SCHMD07274, SCHMD18437, SCHMD19128, SCHMD05290, SCHMD02781, SCHMD20262, SCHMD04634, SCHMD21900, SCHMD12522, SCHMD05458, SCHMD01372, SCHMD01080, SCHMD22023, SCHMD12942, SCHMD02783	XENTR05861
OG0001388	SCHMD08532, SCHMD23425, SCHMD17454, SCHMD02828, SCHMD15156, SCHMD02831, SCHMD24634, SCHMD12999	XENTR06312, XENTR11586, XENTR11585
OG0001389	SCHMD02031, SCHMD17776	XENTR05255, XENTR05190, XENTR01018, XENTR09739
OG0001394	SCHMD23211, SCHMD24249	XENTR16874
OG0001397	SCHMD08548, SCHMD08095	XENTR17141, XENTR17665
OG0001399	SCHMD20091, SCHMD16432	XENTR06193, XENTR06192, XENTR02498, XENTR09890
OG0001400	SCHMD26317	XENTR07182, XENTR03349, XENTR03348
OG0001401	SCHMD15712	XENTR11324
OG0001402	SCHMD06853	XENTR04534, XENTR14904, XENTR04036
OG0001404	SCHMD14854	XENTR15166, XENTR15165
OG0001404	SCHMD14853	XENTR10088
OG0001405	SCHMD16175	XENTR16937, XENTR16938
OG0001406	SCHMD13359, SCHMD19152	XENTR09026, XENTR05268
OG0001409	SCHMD04792	XENTR08239
OG0001410	SCHMD09832	XENTR04211, XENTR11331
OG0001410	SCHMD09687	XENTR08205
OG0001411	SCHMD13416, SCHMD19137	XENTR05513
OG0001412	SCHMD13223	XENTR01134
OG0001413	SCHMD02827	XENTR10327
OG0001413	SCHMD02718	XENTR01450
OG0001414	SCHMD19649	XENTR03396
OG0001416	SCHMD01722	XENTR04093, XENTR17575
OG0001417	SCHMD06429, SCHMD24380, SCHMD19840, SCHMD16804, SCHMD06430	XENTR13968
OG0001421	SCHMD14208	XENTR02091, XENTR11642, XENTR10761, XENTR11862
OG0001422	SCHMD18897, SCHMD04981, SCHMD04982	XENTR07180, XENTR03319
OG0001425	SCHMD16287, SCHMD09188, SCHMD09187	XENTR00165, XENTR10054, XENTR15292
OG0001426	SCHMD02033	XENTR10547, XENTR11607, XENTR18289
OG0001427	SCHMD03939, SCHMD00575	XENTR12966
OG0001428	SCHMD06125	XENTR08058
OG0001429	SCHMD14421	XENTR06303, XENTR08005
OG0001430	SCHMD00026	XENTR11865, XENTR09506, XENTR03841, XENTR12647
OG0001432	SCHMD08255	XENTR14704
OG0001432	SCHMD22173	XENTR18322, XENTR18323
OG0001433	SCHMD13899, SCHMD22723, SCHMD08627, SCHMD01242	XENTR12757, XENTR01397, XENTR08074
OG0001434	SCHMD11795	XENTR14256, XENTR14257, XENTR14255
OG0001438	SCHMD03715, SCHMD17114	XENTR00285, XENTR09773, XENTR08265, XENTR08266, XENTR08739
OG0001440	SCHMD08958, SCHMD08957	XENTR02912, XENTR02913, XENTR13967
OG0001445	SCHMD04082	XENTR00603, XENTR11995
OG0001447	SCHMD14223	XENTR06688, XENTR11993, XENTR11860
OG0001449	SCHMD11900	XENTR18530
OG0001449	SCHMD21822	XENTR17594
OG0001451	SCHMD11378, SCHMD13989, SCHMD09385, SCHMD09340	XENTR01133, XENTR09852
OG0001454	SCHMD21412, SCHMD12857, SCHMD10712, SCHMD05935, SCHMD27841, SCHMD03145	XENTR01618, XENTR01050
OG0001456	SCHMD22269, SCHMD26154	XENTR09379
OG0001458	SCHMD07871	XENTR03285, XENTR14377, XENTR03961, XENTR03960
OG0001460	SCHMD10312, SCHMD23646	XENTR14447
OG0001461	SCHMD13257	XENTR05990
OG0001464	SCHMD20463	XENTR03158, XENTR17134, XENTR06200
OG0001466	SCHMD12996, SCHMD13074	XENTR03641
OG0001467	SCHMD19099	XENTR16639
OG0001468	SCHMD00390	XENTR04167, XENTR10607, XENTR03785
OG0001469	SCHMD09394	XENTR01908
OG0001469	SCHMD24067, SCHMD10449	XENTR01260
OG0001470	SCHMD02321	XENTR08880, XENTR08883
OG0001472	SCHMD12948	XENTR12389
OG0001472	SCHMD13936, SCHMD13397, SCHMD27432	XENTR13330
OG0001474	SCHMD07415	XENTR18010
OG0001474	SCHMD11576, SCHMD26877	XENTR01827
OG0001475	SCHMD01990, SCHMD01568, SCHMD01569, SCHMD13677, SCHMD05348	XENTR12916
OG0001478	SCHMD26017	XENTR14390
OG0001479	SCHMD12413, SCHMD08686	XENTR01295, XENTR15874, XENTR09664
OG0001480	SCHMD13493	XENTR08394, XENTR12252, XENTR14932
OG0001483	SCHMD00397	XENTR10570
OG0001484	SCHMD14277	XENTR07065
OG0001493	SCHMD11122	XENTR14218, XENTR06696
OG0001496	SCHMD04335	XENTR07933
OG0001501	SCHMD02704	XENTR06683, XENTR06684, XENTR12986
OG0001502	SCHMD06697	XENTR17438
OG0001503	SCHMD25279, SCHMD19928	XENTR14751
OG0001503	SCHMD25148	XENTR05638
OG0001504	SCHMD05964	XENTR02517
OG0001506	SCHMD04881	XENTR00266, XENTR08441, XENTR08440
OG0001507	SCHMD00476, SCHMD00993	XENTR08992, XENTR07481
OG0001508	SCHMD22201, SCHMD18843, SCHMD16325, SCHMD15374	XENTR15984, XENTR15983, XENTR11480, XENTR11479
OG0001511	SCHMD14385	XENTR03205
OG0001512	SCHMD25662, SCHMD20631, SCHMD17238, SCHMD26046, SCHMD14306, SCHMD08743, SCHMD08744, SCHMD14305, SCHMD08415, SCHMD00450	XENTR06982, XENTR02683
OG0001515	SCHMD18483	XENTR04041, XENTR04537
OG0001516	SCHMD07784	XENTR11018
OG0001517	SCHMD13953, SCHMD02103, SCHMD04959, SCHMD27460	XENTR13941, XENTR13905
OG0001519	SCHMD01453, SCHMD11573	XENTR04354, XENTR07152, XENTR01425, XENTR01426, XENTR01427
OG0001522	SCHMD06814	XENTR15230, XENTR06664, XENTR16658
OG0001524	SCHMD08154	XENTR09548
OG0001524	SCHMD06432	XENTR00484
OG0001525	SCHMD22768, SCHMD18999, SCHMD19000, SCHMD08330	XENTR12515, XENTR12514
OG0001526	SCHMD16304	XENTR17681
OG0001527	SCHMD05435	XENTR01509
OG0001527	SCHMD08837	XENTR15735
OG0001530	SCHMD11853	XENTR10562
OG0001532	SCHMD11604	XENTR11612, XENTR16708, XENTR06237
OG0001533	SCHMD16757, SCHMD04796	XENTR07080, XENTR17861
OG0001534	SCHMD13063	XENTR05627, XENTR06763, XENTR05628
OG0001536	SCHMD04145	XENTR02934
OG0001538	SCHMD03674	XENTR15405
OG0001546	SCHMD23904	XENTR02403, XENTR05092
OG0001551	SCHMD21975	XENTR05545, XENTR05547
OG0001552	SCHMD26668	XENTR07028
OG0001553	SCHMD15846, SCHMD15532, SCHMD10896, SCHMD19069, SCHMD06566	XENTR02229, XENTR09430, XENTR09742
OG0001554	SCHMD11035	XENTR08488, XENTR05924
OG0001558	SCHMD18412, SCHMD28405	XENTR16416, XENTR06488
OG0001559	SCHMD02521	XENTR09039, XENTR06623
OG0001560	SCHMD19288, SCHMD02478	XENTR12473, XENTR04353, XENTR13870, XENTR12299
OG0001561	SCHMD21318	XENTR16133, XENTR07954, XENTR01341
OG0001562	SCHMD20732, SCHMD29309	XENTR16910
OG0001563	SCHMD18145	XENTR12134
OG0001566	SCHMD02705	XENTR12398, XENTR12399, XENTR04955
OG0001567	SCHMD03492, SCHMD11013, SCHMD12195	XENTR10094, XENTR00289
OG0001568	SCHMD04206	XENTR05615
OG0001569	SCHMD19450	XENTR02711, XENTR00703, XENTR00702
OG0001571	SCHMD20861, SCHMD22039	XENTR14473
OG0001572	SCHMD04033	XENTR14408
OG0001572	SCHMD14275, SCHMD14274	XENTR03742
OG0001575	SCHMD13351	XENTR14038, XENTR14037
OG0001576	SCHMD23672	XENTR15048, XENTR13227
OG0001578	SCHMD10414	XENTR01969, XENTR09544
OG0001580	SCHMD08361, SCHMD16167, SCHMD15393	XENTR13327, XENTR07267
OG0001583	SCHMD16986, SCHMD12401, SCHMD16987, SCHMD12400, SCHMD11526	XENTR11561, XENTR14641
OG0001589	SCHMD27652, SCHMD23084	XENTR13738, XENTR11338
OG0001590	SCHMD09240	XENTR10428
OG0001593	SCHMD12117, SCHMD02219, SCHMD12348, SCHMD22687	XENTR11547, XENTR08681, XENTR08680, XENTR02666, XENTR11433
OG0001596	SCHMD09207	XENTR18374, XENTR16155
OG0001597	SCHMD15780, SCHMD26075	XENTR10161
OG0001603	SCHMD10551	XENTR15113
OG0001604	SCHMD02109	XENTR13341
OG0001605	SCHMD09782	XENTR04606
OG0001609	SCHMD16467	XENTR06189
OG0001609	SCHMD16231, SCHMD10959, SCHMD10960	XENTR11285
OG0001610	SCHMD03213	XENTR16107, XENTR10867, XENTR00221
OG0001611	SCHMD04102, SCHMD12631	XENTR13532, XENTR13440, XENTR02083
OG0001612	SCHMD18636, SCHMD18391	XENTR12835
OG0001612	SCHMD14255, SCHMD22594	XENTR11391
OG0001613	SCHMD05811	XENTR00997
OG0001614	SCHMD04001	XENTR03364
OG0001615	SCHMD14018	XENTR04468, XENTR16398
OG0001617	SCHMD05139	XENTR11229, XENTR17736, XENTR07959
OG0001617	SCHMD05140, SCHMD05141	XENTR13009, XENTR13010
OG0001620	SCHMD22740, SCHMD18214	XENTR12935, XENTR17480, XENTR03941
OG0001621	SCHMD01143, SCHMD22227, SCHMD15718, SCHMD23766, SCHMD07369, SCHMD17584, SCHMD26761, SCHMD18496	XENTR01806, XENTR05633
OG0001625	SCHMD28211, SCHMD26150	XENTR00351, XENTR00352, XENTR13943
OG0001627	SCHMD06117	XENTR11789, XENTR13175, XENTR07907
OG0001630	SCHMD26993	XENTR18767
OG0001632	SCHMD12105, SCHMD26476	XENTR02813, XENTR01250, XENTR01348
OG0001634	SCHMD24659	XENTR15612
OG0001634	SCHMD04359, SCHMD08780, SCHMD05004	XENTR11998
OG0001635	SCHMD28110	XENTR14373
OG0001638	SCHMD00159, SCHMD00160	XENTR17765, XENTR01518
OG0001639	SCHMD07144	XENTR05276, XENTR13285, XENTR13286
OG0001640	SCHMD02843	XENTR02367, XENTR10463, XENTR11286
OG0001641	SCHMD03047	XENTR14307
OG0001642	SCHMD20801, SCHMD12647	XENTR09499, XENTR14534, XENTR14535
OG0001644	SCHMD20924	XENTR02166, XENTR06062
OG0001646	SCHMD00577	XENTR14678, XENTR01950, XENTR06522, XENTR13912
OG0001651	SCHMD15448	XENTR14299, XENTR16608
OG0001653	SCHMD13946	XENTR11019
OG0001655	SCHMD06776	XENTR03302, XENTR02328, XENTR08790, XENTR08791
OG0001656	SCHMD22556	XENTR04366
OG0001659	SCHMD19168	XENTR00170
OG0001660	SCHMD01572, SCHMD29332	XENTR13183, XENTR03454, XENTR14380
OG0001662	SCHMD19275	XENTR08476
OG0001662	SCHMD25740, SCHMD13136	XENTR03671, XENTR14025
OG0001664	SCHMD13680, SCHMD17585	XENTR11452
OG0001665	SCHMD19795	XENTR01674, XENTR10394
OG0001666	SCHMD03955, SCHMD03098, SCHMD26493, SCHMD18331	XENTR09349
OG0001667	SCHMD18800, SCHMD13601, SCHMD20100	XENTR12439, XENTR07091
OG0001668	SCHMD04958	XENTR00151
OG0001670	SCHMD00224	XENTR06115, XENTR06114, XENTR00297
OG0001671	SCHMD21324	XENTR08372
