Orthogroup	SCHMD	ASTMX
OG0001086	SCHMD14120	ASTMX17217, ASTMX13682, ASTMX15645, ASTMX04708, ASTMX12542
OG0001088	SCHMD01007, SCHMD19898, SCHMD23791	ASTMX01346
OG0001089	SCHMD10517	ASTMX21827
OG0001090	SCHMD28285, SCHMD17161, SCHMD03349, SCHMD20311, SCHMD27970, SCHMD02491, SCHMD22171, SCHMD15052, SCHMD14871, SCHMD23868, SCHMD00934, SCHMD02957, SCHMD02170, SCHMD23588, SCHMD18161, SCHMD24510, SCHMD25428, SCHMD28135, SCHMD05847, SCHMD13313, SCHMD09556, SCHMD06679, SCHMD00092, SCHMD03303, SCHMD27352, SCHMD03833, SCHMD14325, SCHMD12843, SCHMD25555, SCHMD14278, SCHMD22966, SCHMD27178, SCHMD23857	ASTMX12686
OG0001091	SCHMD13206, SCHMD15908	ASTMX04144, ASTMX08666, ASTMX21338, ASTMX12021, ASTMX21337, ASTMX12020, ASTMX08667
OG0001092	SCHMD17999	ASTMX11230
OG0001092	SCHMD18945	ASTMX11224
OG0001092	SCHMD28277	ASTMX11225
OG0001092	SCHMD28278, SCHMD18946	ASTMX11227
OG0001093	SCHMD16772	ASTMX12014, ASTMX12657, ASTMX16037, ASTMX04141, ASTMX08672
OG0001094	SCHMD01339, SCHMD02841, SCHMD07133, SCHMD16607, SCHMD02809, SCHMD26909, SCHMD21662	ASTMX20728, ASTMX11817, ASTMX22892
OG0001096	SCHMD11467, SCHMD14874	ASTMX18205, ASTMX09790
OG0001101	SCHMD06917, SCHMD18684, SCHMD23170, SCHMD18685	ASTMX18645
OG0001101	SCHMD23171	ASTMX23013
OG0001103	SCHMD10595	ASTMX01362
OG0001108	SCHMD08133	ASTMX10776, ASTMX02283
OG0001112	SCHMD26529, SCHMD08447	ASTMX08753, ASTMX12056
OG0001113	SCHMD04717	ASTMX19887
OG0001113	SCHMD10085	ASTMX17682
OG0001113	SCHMD08665, SCHMD03992	ASTMX17433
OG0001114	SCHMD27710, SCHMD15592, SCHMD14156	ASTMX20168, ASTMX05200, ASTMX10656
OG0001116	SCHMD19491	ASTMX16860
OG0001116	SCHMD04023	ASTMX18344, ASTMX17053
OG0001117	SCHMD18856	ASTMX13101, ASTMX11968, ASTMX06395, ASTMX11969
OG0001118	SCHMD22443	ASTMX16589
OG0001121	SCHMD18066, SCHMD06995, SCHMD25343, SCHMD23015, SCHMD06994	ASTMX15268, ASTMX07286
OG0001123	SCHMD02756	ASTMX11965
OG0001124	SCHMD24013	ASTMX11649, ASTMX21249
OG0001126	SCHMD17192	ASTMX15842, ASTMX02684
OG0001128	SCHMD08323	ASTMX18460, ASTMX16489, ASTMX06330, ASTMX08219, ASTMX03840
OG0001129	SCHMD15504, SCHMD18282, SCHMD05846	ASTMX10908, ASTMX12420, ASTMX13922
OG0001130	SCHMD04030	ASTMX10575
OG0001133	SCHMD18643	ASTMX13789
OG0001133	SCHMD29299, SCHMD19714	ASTMX12861
OG0001135	SCHMD28946	ASTMX18867
OG0001136	SCHMD09640	ASTMX03984, ASTMX03125, ASTMX00617, ASTMX01730
OG0001138	SCHMD00170	ASTMX18696, ASTMX18698, ASTMX19043, ASTMX13761, ASTMX15448, ASTMX17720
OG0001139	SCHMD00334	ASTMX08590, ASTMX08334, ASTMX02193, ASTMX16174
OG0001140	SCHMD22679, SCHMD17712, SCHMD14631, SCHMD02111, SCHMD16673, SCHMD18031, SCHMD24981, SCHMD17350, SCHMD11695, SCHMD21848, SCHMD22963, SCHMD14630, SCHMD17713, SCHMD26239, SCHMD04472	ASTMX00871, ASTMX01335
OG0001141	SCHMD02981, SCHMD09902, SCHMD11211, SCHMD15344, SCHMD18658	ASTMX18850, ASTMX15737
OG0001142	SCHMD12785, SCHMD19807, SCHMD09379	ASTMX06998
OG0001143	SCHMD05178	ASTMX05178, ASTMX19786, ASTMX21932, ASTMX06862
OG0001146	SCHMD06189	ASTMX16476, ASTMX05676, ASTMX10477, ASTMX20223
OG0001149	SCHMD16336, SCHMD29633	ASTMX19645, ASTMX17794
OG0001155	SCHMD01897	ASTMX05916
OG0001156	SCHMD11390	ASTMX06046, ASTMX21567, ASTMX13224, ASTMX10835, ASTMX00559
OG0001158	SCHMD01514, SCHMD06104, SCHMD00376	ASTMX02087, ASTMX17173, ASTMX12628
OG0001161	SCHMD27832, SCHMD10429, SCHMD10428	ASTMX05139, ASTMX19392, ASTMX10567
OG0001162	SCHMD04355, SCHMD04356	ASTMX14904, ASTMX06131, ASTMX00151, ASTMX17408, ASTMX18039
OG0001164	SCHMD22065	ASTMX15332, ASTMX23034
OG0001165	SCHMD11819	ASTMX13025
OG0001165	SCHMD07378, SCHMD22157, SCHMD03644, SCHMD08052, SCHMD12131	ASTMX00124
OG0001167	SCHMD08043, SCHMD04406	ASTMX18844, ASTMX18845, ASTMX07609
OG0001172	SCHMD19335	ASTMX02640, ASTMX12998
OG0001175	SCHMD18473	ASTMX15626, ASTMX17938, ASTMX10319
OG0001176	SCHMD08283	ASTMX10558
OG0001176	SCHMD14886	ASTMX21031, ASTMX00469, ASTMX18559
OG0001178	SCHMD07684	ASTMX12782, ASTMX12781
OG0001178	SCHMD13713	ASTMX00134, ASTMX00554
OG0001179	SCHMD26379	ASTMX07456
OG0001181	SCHMD21797	ASTMX22174, ASTMX18946, ASTMX06446, ASTMX22724, ASTMX17051, ASTMX17260
OG0001183	SCHMD25354	ASTMX12002
OG0001183	SCHMD02325	ASTMX19735, ASTMX17804
OG0001184	SCHMD12752	ASTMX19302
OG0001184	SCHMD29753, SCHMD15110, SCHMD23640	ASTMX00228
OG0001185	SCHMD23236	ASTMX07482, ASTMX10936
OG0001186	SCHMD20610	ASTMX18547, ASTMX02567
OG0001186	SCHMD05037	ASTMX13845
OG0001188	SCHMD05963, SCHMD14167	ASTMX14514, ASTMX03224
OG0001189	SCHMD17573, SCHMD27159, SCHMD05552	ASTMX06692, ASTMX04816, ASTMX01328, ASTMX13413, ASTMX17159
OG0001191	SCHMD11387	ASTMX19829, ASTMX17768, ASTMX05237, ASTMX10430, ASTMX15730
OG0001193	SCHMD12958, SCHMD22452, SCHMD02700, SCHMD19896, SCHMD17670, SCHMD09694, SCHMD27509, SCHMD10677, SCHMD09180, SCHMD00362, SCHMD21792, SCHMD04316, SCHMD11407, SCHMD03239, SCHMD21281, SCHMD12921, SCHMD15927, SCHMD20908, SCHMD01832, SCHMD05239, SCHMD07556, SCHMD12326, SCHMD10433, SCHMD14912, SCHMD12015, SCHMD00712, SCHMD22176, SCHMD21183, SCHMD17249, SCHMD00775, SCHMD00226, SCHMD16468, SCHMD10676, SCHMD04602, SCHMD03712, SCHMD15498, SCHMD06416, SCHMD28037, SCHMD18646, SCHMD26455, SCHMD10614, SCHMD20982, SCHMD07377, SCHMD14926, SCHMD28029, SCHMD00163, SCHMD18413, SCHMD10104, SCHMD20192, SCHMD12959, SCHMD20223, SCHMD00045, SCHMD17962, SCHMD26085, SCHMD03128, SCHMD23419, SCHMD00363, SCHMD17671, SCHMD02699, SCHMD26368, SCHMD21791, SCHMD21300, SCHMD29384, SCHMD15837, SCHMD11488	ASTMX22129
OG0001197	SCHMD06230	ASTMX03942
OG0001197	SCHMD16253	ASTMX01914, ASTMX20138
OG0001198	SCHMD04078	ASTMX02630
OG0001199	SCHMD17507, SCHMD14047	ASTMX03290
OG0001199	SCHMD17830	ASTMX03812
OG0001199	SCHMD16496	ASTMX03813
OG0001201	SCHMD18644	ASTMX18598
OG0001204	SCHMD08657, SCHMD22624, SCHMD10325	ASTMX05907, ASTMX05878, ASTMX12225
OG0001207	SCHMD07731	ASTMX15583, ASTMX21871, ASTMX07379, ASTMX05452
OG0001208	SCHMD11671, SCHMD13440, SCHMD22806	ASTMX00484, ASTMX08670, ASTMX06752, ASTMX12017
OG0001210	SCHMD19441	ASTMX01254
OG0001210	SCHMD03204	ASTMX10343
OG0001213	SCHMD01086	ASTMX13388
OG0001213	SCHMD21364, SCHMD26387, SCHMD21954, SCHMD22675	ASTMX21450
OG0001214	SCHMD22221	ASTMX09593
OG0001215	SCHMD25774	ASTMX20085, ASTMX00530, ASTMX12692, ASTMX15468, ASTMX06044
OG0001216	SCHMD13349	ASTMX21172
OG0001217	SCHMD18537	ASTMX09378, ASTMX07954, ASTMX01127, ASTMX10707, ASTMX01247, ASTMX16527, ASTMX07955
OG0001217	SCHMD21187, SCHMD21148	ASTMX20834, ASTMX01246
OG0001218	SCHMD03255	ASTMX10642, ASTMX14744, ASTMX13687, ASTMX05605
OG0001219	SCHMD09614, SCHMD00713	ASTMX14886, ASTMX03969, ASTMX10652, ASTMX14229
OG0001221	SCHMD16690	ASTMX07026
OG0001223	SCHMD08671	ASTMX03153, ASTMX00191, ASTMX01647, ASTMX07473
OG0001226	SCHMD21222	ASTMX15119, ASTMX01133, ASTMX11042, ASTMX11041, ASTMX08711
OG0001229	SCHMD24701	ASTMX13273
OG0001230	SCHMD04385, SCHMD04382, SCHMD28531	ASTMX17828
OG0001234	SCHMD01688	ASTMX20381
OG0001236	SCHMD08913, SCHMD03442	ASTMX01850
OG0001236	SCHMD05776	ASTMX11510
OG0001236	SCHMD14035	ASTMX06878
OG0001238	SCHMD09688	ASTMX03666, ASTMX13748, ASTMX05355
OG0001239	SCHMD22059, SCHMD04401, SCHMD16791	ASTMX05182
OG0001241	SCHMD04223	ASTMX06697
OG0001241	SCHMD16327	ASTMX04159, ASTMX18901
OG0001249	SCHMD01149	ASTMX20181, ASTMX10323, ASTMX00502, ASTMX04928
OG0001250	SCHMD08101, SCHMD04347	ASTMX15491, ASTMX07689, ASTMX20710
OG0001251	SCHMD18877, SCHMD19053, SCHMD14253, SCHMD20912, SCHMD12715	ASTMX13849, ASTMX12740
OG0001254	SCHMD14258, SCHMD09217	ASTMX21460, ASTMX21459, ASTMX10576, ASTMX17225
OG0001256	SCHMD23608, SCHMD16589, SCHMD16774, SCHMD00239, SCHMD25518	ASTMX12301, ASTMX04241, ASTMX01544
OG0001261	SCHMD13436	ASTMX19187, ASTMX01634, ASTMX00068
OG0001262	SCHMD20011	ASTMX21377
OG0001263	SCHMD17470	ASTMX22241, ASTMX17678, ASTMX07639, ASTMX17278
OG0001264	SCHMD27230, SCHMD17432	ASTMX07471, ASTMX13848, ASTMX00881
OG0001266	SCHMD10438	ASTMX20652, ASTMX13871, ASTMX00959, ASTMX01967
OG0001267	SCHMD05399	ASTMX03508, ASTMX05999, ASTMX19426, ASTMX13889
OG0001271	SCHMD05357	ASTMX14027, ASTMX21049, ASTMX10446, ASTMX00815
OG0001272	SCHMD22716, SCHMD09459	ASTMX04472, ASTMX05879, ASTMX12223, ASTMX15726
OG0001273	SCHMD13838, SCHMD25918, SCHMD21739	ASTMX02897, ASTMX18194, ASTMX07779, ASTMX03354
OG0001275	SCHMD12521	ASTMX03842
OG0001279	SCHMD06836	ASTMX06329, ASTMX08064, ASTMX13662, ASTMX17711, ASTMX11584
OG0001280	SCHMD09937, SCHMD20104, SCHMD05674, SCHMD11884	ASTMX19448, ASTMX11018, ASTMX16795, ASTMX21805, ASTMX18435
OG0001282	SCHMD08025	ASTMX11350, ASTMX00096, ASTMX03184, ASTMX16656
OG0001282	SCHMD08022	ASTMX11349
OG0001284	SCHMD09316	ASTMX09601
OG0001284	SCHMD00434	ASTMX06818, ASTMX13787, ASTMX17233
OG0001287	SCHMD07530	ASTMX04102, ASTMX08011, ASTMX16698, ASTMX10733, ASTMX08804
OG0001291	SCHMD20641, SCHMD11793	ASTMX09956, ASTMX19427, ASTMX10484, ASTMX07994, ASTMX09302
OG0001294	SCHMD26181, SCHMD17649, SCHMD26146, SCHMD20417, SCHMD20418	ASTMX01279
OG0001296	SCHMD20454, SCHMD11060	ASTMX10992, ASTMX05624, ASTMX16112, ASTMX16113
OG0001297	SCHMD10762	ASTMX21540, ASTMX18732, ASTMX17762
OG0001300	SCHMD00214, SCHMD19001, SCHMD09152, SCHMD17144, SCHMD02202	ASTMX06507, ASTMX16708, ASTMX01169
OG0001302	SCHMD13885	ASTMX00499
OG0001302	SCHMD08617, SCHMD27826	ASTMX18397
OG0001304	SCHMD13840	ASTMX10044, ASTMX00193, ASTMX03156, ASTMX11455
OG0001306	SCHMD04516	ASTMX15047, ASTMX12449
OG0001308	SCHMD08020	ASTMX12136, ASTMX14880, ASTMX11270
OG0001310	SCHMD19422	ASTMX09500
OG0001310	SCHMD09167	ASTMX19103, ASTMX15228, ASTMX19102
OG0001311	SCHMD05801	ASTMX15821, ASTMX19766
OG0001312	SCHMD02056, SCHMD02055	ASTMX21632, ASTMX06204
OG0001316	SCHMD15981	ASTMX11105, ASTMX06180, ASTMX08793
OG0001318	SCHMD07054	ASTMX01432
OG0001318	SCHMD16802	ASTMX07560, ASTMX04187
OG0001319	SCHMD14764	ASTMX18142, ASTMX04629, ASTMX16650, ASTMX00136
OG0001320	SCHMD01321, SCHMD01324, SCHMD01322	ASTMX02658
OG0001320	SCHMD05527	ASTMX12886, ASTMX12104
OG0001321	SCHMD23818	ASTMX06232
OG0001322	SCHMD09506	ASTMX01716, ASTMX07256, ASTMX16188
OG0001323	SCHMD14852, SCHMD22300	ASTMX20487, ASTMX03231, ASTMX03928, ASTMX19519, ASTMX04601
OG0001325	SCHMD05728	ASTMX19331
OG0001326	SCHMD29052, SCHMD26738, SCHMD21907, SCHMD17595, SCHMD08761, SCHMD19423	ASTMX02799, ASTMX05995, ASTMX05996, ASTMX13210, ASTMX06599, ASTMX08581
OG0001327	SCHMD08653, SCHMD04846	ASTMX18676, ASTMX05552
OG0001329	SCHMD15324	ASTMX07142, ASTMX13340
OG0001331	SCHMD14545	ASTMX11613
OG0001332	SCHMD04204	ASTMX08248, ASTMX16970
OG0001333	SCHMD15673, SCHMD23155	ASTMX05919, ASTMX07699
OG0001337	SCHMD11229, SCHMD01704, SCHMD14444	ASTMX05953, ASTMX13440, ASTMX17317
OG0001339	SCHMD08909	ASTMX08150, ASTMX03817, ASTMX01194
OG0001341	SCHMD01188, SCHMD02608	ASTMX04021, ASTMX18606
OG0001348	SCHMD24331, SCHMD29399	ASTMX09799, ASTMX08553, ASTMX19294
OG0001350	SCHMD16735, SCHMD15485, SCHMD23052	ASTMX06475
OG0001350	SCHMD17071, SCHMD29804, SCHMD10618	ASTMX15964
OG0001351	SCHMD24241	ASTMX00127, ASTMX00552
OG0001353	SCHMD10586	ASTMX11924, ASTMX13745
OG0001354	SCHMD11475, SCHMD26080	ASTMX11901
OG0001354	SCHMD12063	ASTMX15487, ASTMX02827, ASTMX19253
OG0001355	SCHMD23781	ASTMX21361, ASTMX17683, ASTMX22296, ASTMX03894, ASTMX05031, ASTMX05922
OG0001356	SCHMD21598, SCHMD19916	ASTMX10756, ASTMX02115, ASTMX00629, ASTMX03094
OG0001357	SCHMD16921	ASTMX19807, ASTMX13049, ASTMX01586, ASTMX13683, ASTMX13930
OG0001362	SCHMD04122, SCHMD05643, SCHMD13617	ASTMX11654
OG0001362	SCHMD13619, SCHMD27588	ASTMX20468
OG0001363	SCHMD05287, SCHMD16288, SCHMD05291	ASTMX08285, ASTMX10326, ASTMX03420
OG0001367	SCHMD04624	ASTMX00960, ASTMX11729, ASTMX19617, ASTMX13008, ASTMX20021
OG0001368	SCHMD02343	ASTMX03257, ASTMX15096, ASTMX16548
OG0001370	SCHMD12004	ASTMX09028
OG0001370	SCHMD18225, SCHMD11963	ASTMX12996
OG0001371	SCHMD02523	ASTMX10538
OG0001372	SCHMD12353, SCHMD23970	ASTMX06020
OG0001375	SCHMD18333	ASTMX15348, ASTMX12879, ASTMX05755, ASTMX08713
OG0001376	SCHMD14191, SCHMD01800	ASTMX11290, ASTMX15861, ASTMX00150, ASTMX18887
OG0001378	SCHMD12504, SCHMD07107	ASTMX12590, ASTMX15728
OG0001385	SCHMD01908, SCHMD03151, SCHMD17215, SCHMD24251, SCHMD27846, SCHMD02887, SCHMD11624, SCHMD23448, SCHMD19127, SCHMD25605, SCHMD28267, SCHMD17606, SCHMD15084, SCHMD05289, SCHMD01079, SCHMD09083, SCHMD01371, SCHMD22024, SCHMD20763, SCHMD00169, SCHMD10113, SCHMD25905, SCHMD23599, SCHMD20992, SCHMD25254, SCHMD04155, SCHMD13353, SCHMD04418, SCHMD04625, SCHMD01016, SCHMD05445, SCHMD11800, SCHMD07275, SCHMD24250, SCHMD23891, SCHMD22262, SCHMD03886, SCHMD08662, SCHMD26442, SCHMD17996, SCHMD07274, SCHMD18437, SCHMD19128, SCHMD05290, SCHMD02781, SCHMD20262, SCHMD04634, SCHMD21900, SCHMD12522, SCHMD05458, SCHMD01372, SCHMD01080, SCHMD22023, SCHMD12942, SCHMD02783	ASTMX12141
OG0001386	SCHMD24943, SCHMD20670, SCHMD14052, SCHMD07967, SCHMD00663	ASTMX13567
OG0001386	SCHMD21484, SCHMD16845, SCHMD00665, SCHMD00661, SCHMD00664, SCHMD14822, SCHMD16844	ASTMX13566
OG0001388	SCHMD08532, SCHMD23425, SCHMD17454, SCHMD02828, SCHMD15156, SCHMD02831, SCHMD24634, SCHMD12999	ASTMX09590, ASTMX20153, ASTMX01154
OG0001389	SCHMD02031, SCHMD17776	ASTMX20254, ASTMX01112, ASTMX08261, ASTMX17570, ASTMX03746
OG0001394	SCHMD23211, SCHMD24249	ASTMX11802, ASTMX15905
OG0001395	SCHMD08832	ASTMX20147, ASTMX19549
OG0001397	SCHMD08548, SCHMD08095	ASTMX08012, ASTMX19505
OG0001399	SCHMD20091, SCHMD16432	ASTMX06124, ASTMX11454, ASTMX00428
OG0001400	SCHMD26317	ASTMX01461, ASTMX15365, ASTMX12046, ASTMX21798, ASTMX01897
OG0001401	SCHMD15712	ASTMX06505, ASTMX08424, ASTMX22162
OG0001402	SCHMD06853	ASTMX12851, ASTMX11974, ASTMX07328, ASTMX11686
OG0001404	SCHMD14853	ASTMX05687
OG0001405	SCHMD16175	ASTMX21998
OG0001406	SCHMD13359, SCHMD19152	ASTMX11154, ASTMX06992, ASTMX15717
OG0001408	SCHMD23659	ASTMX19997
OG0001408	SCHMD15840, SCHMD15841	ASTMX18382
OG0001409	SCHMD04792	ASTMX08743
OG0001410	SCHMD09832	ASTMX14683
OG0001410	SCHMD09687	ASTMX11950
OG0001411	SCHMD13416, SCHMD19137	ASTMX12471
OG0001412	SCHMD13223	ASTMX19015, ASTMX19014
OG0001413	SCHMD02827	ASTMX19024
OG0001414	SCHMD11042	ASTMX11571
OG0001414	SCHMD19649	ASTMX02756
OG0001416	SCHMD01722	ASTMX16935, ASTMX00724, ASTMX04812
OG0001417	SCHMD06429, SCHMD24380, SCHMD19840, SCHMD16804, SCHMD06430	ASTMX15359, ASTMX02876
OG0001421	SCHMD14208	ASTMX08217, ASTMX10787, ASTMX08122, ASTMX03810
OG0001422	SCHMD18897, SCHMD04981, SCHMD04982	ASTMX17695, ASTMX01913
OG0001425	SCHMD16287, SCHMD09188, SCHMD09187	ASTMX03298, ASTMX08956, ASTMX13239, ASTMX13087, ASTMX06948
OG0001426	SCHMD02033	ASTMX11150, ASTMX19183, ASTMX05528, ASTMX15051, ASTMX19182, ASTMX02679, ASTMX19079
OG0001427	SCHMD03939, SCHMD00575	ASTMX01765, ASTMX17165
OG0001428	SCHMD06125	ASTMX05247, ASTMX09437, ASTMX16939, ASTMX14746
OG0001429	SCHMD14421	ASTMX07960, ASTMX05781, ASTMX16296
OG0001430	SCHMD00026	ASTMX21020, ASTMX21443, ASTMX04688, ASTMX10990, ASTMX18254, ASTMX13065
OG0001432	SCHMD08255	ASTMX06431, ASTMX01758, ASTMX06145
OG0001432	SCHMD22173	ASTMX08157, ASTMX21019
OG0001433	SCHMD13899, SCHMD22723, SCHMD08627, SCHMD01242	ASTMX02460, ASTMX00906, ASTMX19534, ASTMX10945
OG0001434	SCHMD11795	ASTMX09914
OG0001438	SCHMD03715, SCHMD17114	ASTMX16984, ASTMX08969, ASTMX20091, ASTMX02810, ASTMX03899
OG0001440	SCHMD08958, SCHMD08957	ASTMX06448, ASTMX19471, ASTMX02877
OG0001445	SCHMD04082	ASTMX04130, ASTMX07057
OG0001447	SCHMD14223	ASTMX09669, ASTMX06060, ASTMX07055, ASTMX19124
OG0001449	SCHMD11900	ASTMX21017, ASTMX21018
OG0001449	SCHMD21822	ASTMX16238
OG0001450	SCHMD00462	ASTMX01996
OG0001450	SCHMD07895, SCHMD05056, SCHMD20237, SCHMD06489, SCHMD06487, SCHMD13375, SCHMD10521	ASTMX06326
OG0001451	SCHMD11378, SCHMD13989, SCHMD09385, SCHMD09340	ASTMX19016, ASTMX00580
OG0001454	SCHMD21412, SCHMD12857, SCHMD10712, SCHMD05935, SCHMD27841, SCHMD03145	ASTMX22213, ASTMX18012, ASTMX21139
OG0001455	SCHMD21247, SCHMD23564	ASTMX18526
OG0001456	SCHMD21418	ASTMX18391
OG0001456	SCHMD22269, SCHMD26154	ASTMX18388, ASTMX18389, ASTMX18392, ASTMX18390
OG0001458	SCHMD07871	ASTMX19929, ASTMX03755, ASTMX18146, ASTMX01176, ASTMX00012, ASTMX13313, ASTMX00013
OG0001460	SCHMD10311, SCHMD23647	ASTMX05935
OG0001460	SCHMD10312, SCHMD23646	ASTMX06612
OG0001461	SCHMD13257	ASTMX05184
OG0001464	SCHMD20463	ASTMX08410, ASTMX05385, ASTMX14611, ASTMX17735, ASTMX05304, ASTMX22688
OG0001466	SCHMD12996, SCHMD13074	ASTMX14884
OG0001467	SCHMD12343	ASTMX14338
OG0001467	SCHMD19099	ASTMX02258
OG0001468	SCHMD00390	ASTMX14778, ASTMX06215, ASTMX18545, ASTMX05354
OG0001469	SCHMD09394	ASTMX17940
OG0001469	SCHMD24067, SCHMD10449	ASTMX05748
OG0001470	SCHMD02321	ASTMX22480, ASTMX02997, ASTMX02333
OG0001472	SCHMD12948	ASTMX14550
OG0001472	SCHMD13936, SCHMD13397, SCHMD27432	ASTMX17138
OG0001474	SCHMD07415	ASTMX12989
OG0001474	SCHMD11576, SCHMD26877	ASTMX07703
OG0001475	SCHMD01990, SCHMD01568, SCHMD01569, SCHMD13677, SCHMD05348	ASTMX01033, ASTMX04792
OG0001479	SCHMD12413, SCHMD08686	ASTMX01954, ASTMX14199, ASTMX14335, ASTMX15077
OG0001480	SCHMD13493	ASTMX00479, ASTMX02869, ASTMX03656, ASTMX07426
OG0001482	SCHMD02244	ASTMX17250
OG0001482	SCHMD09593, SCHMD10073, SCHMD09185, SCHMD02242	ASTMX22753, ASTMX17504
OG0001483	SCHMD00397	ASTMX15156, ASTMX00093
OG0001484	SCHMD14277	ASTMX17553, ASTMX17552, ASTMX18774
OG0001485	SCHMD18182	ASTMX21673
OG0001488	SCHMD21551	ASTMX18813
OG0001493	SCHMD11122	ASTMX18828, ASTMX13877, ASTMX11307
OG0001496	SCHMD04335	ASTMX09754
OG0001501	SCHMD02704	ASTMX22706, ASTMX09507
OG0001502	SCHMD06697	ASTMX20142, ASTMX07825
OG0001503	SCHMD25279, SCHMD19928	ASTMX02356
OG0001503	SCHMD25148	ASTMX19525
OG0001504	SCHMD05964	ASTMX13743
OG0001506	SCHMD04881	ASTMX16668, ASTMX02040
OG0001507	SCHMD00476, SCHMD00993	ASTMX04595, ASTMX10941, ASTMX13047
OG0001508	SCHMD22201, SCHMD18843, SCHMD16325, SCHMD15374	ASTMX16208, ASTMX16207
OG0001508	SCHMD25241, SCHMD10291	ASTMX21298
OG0001510	SCHMD18903	ASTMX20539
OG0001511	SCHMD14385	ASTMX18393, ASTMX02680
OG0001512	SCHMD25662, SCHMD20631, SCHMD17238, SCHMD26046, SCHMD14306, SCHMD08743, SCHMD08744, SCHMD14305, SCHMD08415, SCHMD00450	ASTMX10020, ASTMX02034, ASTMX11028
OG0001513	SCHMD20809	ASTMX14670
OG0001515	SCHMD18483	ASTMX13055, ASTMX11972
OG0001516	SCHMD07784	ASTMX06094, ASTMX22766
OG0001517	SCHMD13953, SCHMD02103, SCHMD04959, SCHMD27460	ASTMX05080, ASTMX07941
OG0001518	SCHMD00912, SCHMD00913, SCHMD08704, SCHMD08705	ASTMX06555
OG0001519	SCHMD01453, SCHMD11573	ASTMX02035, ASTMX10088
OG0001522	SCHMD06814	ASTMX05739, ASTMX08097, ASTMX22565, ASTMX01282
OG0001524	SCHMD08154	ASTMX02800
OG0001524	SCHMD06432	ASTMX10909
OG0001525	SCHMD22768, SCHMD18999, SCHMD19000, SCHMD08330	ASTMX03602
OG0001526	SCHMD16304	ASTMX08595, ASTMX10378
OG0001527	SCHMD05435	ASTMX03505
OG0001530	SCHMD11853	ASTMX06951
OG0001532	SCHMD11603	ASTMX04807
OG0001532	SCHMD11604	ASTMX04808, ASTMX17443, ASTMX02683, ASTMX09204, ASTMX06449
OG0001533	SCHMD16757, SCHMD04796	ASTMX12054, ASTMX05383, ASTMX00173
OG0001534	SCHMD13063	ASTMX18082, ASTMX07715, ASTMX20898, ASTMX01419
OG0001536	SCHMD04145	ASTMX15808
OG0001538	SCHMD03674	ASTMX10517, ASTMX02477, ASTMX03859
OG0001546	SCHMD23904	ASTMX10973, ASTMX01598
OG0001551	SCHMD21975	ASTMX01345, ASTMX03884
OG0001552	SCHMD26668	ASTMX18767
OG0001553	SCHMD15846, SCHMD15532, SCHMD10896, SCHMD19069, SCHMD06566	ASTMX13473, ASTMX02742, ASTMX20664, ASTMX05977, ASTMX20988
OG0001554	SCHMD11035	ASTMX03717, ASTMX05853, ASTMX03716, ASTMX07008
OG0001557	SCHMD13972	ASTMX08321
OG0001558	SCHMD18412, SCHMD28405	ASTMX15085, ASTMX15086, ASTMX13703, ASTMX08558
OG0001559	SCHMD02521	ASTMX04609, ASTMX03837, ASTMX21052
OG0001560	SCHMD19288, SCHMD02478	ASTMX18831, ASTMX22394, ASTMX22725, ASTMX02440
OG0001561	SCHMD21318	ASTMX12815, ASTMX13331, ASTMX05206, ASTMX16235
OG0001562	SCHMD12692	ASTMX18908
OG0001563	SCHMD18145	ASTMX16894
OG0001565	SCHMD26958, SCHMD27759, SCHMD17155	ASTMX20589
OG0001566	SCHMD02705	ASTMX01234, ASTMX16422
OG0001567	SCHMD03492, SCHMD11013, SCHMD12195	ASTMX04861, ASTMX05681, ASTMX15554
OG0001568	SCHMD04206	ASTMX14315
OG0001569	SCHMD19450	ASTMX09567, ASTMX00111, ASTMX08814, ASTMX08813
OG0001571	SCHMD26358	ASTMX12366, ASTMX03489
OG0001572	SCHMD04033	ASTMX10710
OG0001572	SCHMD14275, SCHMD14274	ASTMX21679
OG0001576	SCHMD23672	ASTMX04056
OG0001578	SCHMD10414	ASTMX17269
OG0001579	SCHMD24685	ASTMX18013
OG0001580	SCHMD08361, SCHMD16167, SCHMD15393	ASTMX17141, ASTMX00422, ASTMX07082
OG0001583	SCHMD16986, SCHMD12401, SCHMD16987, SCHMD12400, SCHMD11526	ASTMX21750, ASTMX01613, ASTMX19566, ASTMX06604, ASTMX04877
OG0001584	SCHMD00503	ASTMX21214
OG0001589	SCHMD27652, SCHMD23084	ASTMX19868, ASTMX21658, ASTMX21657, ASTMX21656, ASTMX20087, ASTMX19867
OG0001590	SCHMD09240	ASTMX14704
OG0001593	SCHMD12117, SCHMD02219, SCHMD12348, SCHMD22687	ASTMX21886, ASTMX18436, ASTMX00248, ASTMX04255
OG0001596	SCHMD09207	ASTMX20215, ASTMX07221, ASTMX08395, ASTMX02127
OG0001597	SCHMD15780, SCHMD26075	ASTMX02205
OG0001599	SCHMD22659	ASTMX14692
OG0001603	SCHMD10551	ASTMX15815
OG0001603	SCHMD29329	ASTMX22513
OG0001604	SCHMD02109	ASTMX22550, ASTMX05873
OG0001605	SCHMD09782	ASTMX17869, ASTMX10907, ASTMX17438, ASTMX13921
OG0001609	SCHMD16467	ASTMX05434
