Orthogroup	SCHMD	MOUSE
OG0000575	SCHMD10050, SCHMD14865	MOUSE15328
OG0000576	SCHMD15710	MOUSE01166, MOUSE14852, MOUSE14850, MOUSE14851, MOUSE40559, MOUSE01164, MOUSE01163, MOUSE01165, MOUSE52581, MOUSE52578, MOUSE52574, MOUSE52580, MOUSE52576, MOUSE52579, MOUSE52577, MOUSE52575, MOUSE52582, MOUSE52584, MOUSE52587, MOUSE52586, MOUSE52585, MOUSE52583
OG0000578	SCHMD00300, SCHMD17617	MOUSE20360, MOUSE20359, MOUSE20362, MOUSE20361, MOUSE03091, MOUSE03087, MOUSE03090, MOUSE03088, MOUSE03089, MOUSE07290, MOUSE07291, MOUSE07292, MOUSE42776, MOUSE42775
OG0000579	SCHMD16027, SCHMD27820, SCHMD26175	MOUSE02042
OG0000580	SCHMD23258, SCHMD14664, SCHMD05333	MOUSE47258, MOUSE47257
OG0000581	SCHMD10093, SCHMD11595, SCHMD08712	MOUSE07319, MOUSE18768, MOUSE18769
OG0000581	SCHMD03457	MOUSE18770, MOUSE07320
OG0000581	SCHMD28022	MOUSE07322
OG0000582	SCHMD16063, SCHMD04882	MOUSE17430, MOUSE17431, MOUSE17428, MOUSE17429, MOUSE23946, MOUSE23947, MOUSE25981, MOUSE25982, MOUSE25983, MOUSE25975, MOUSE25979, MOUSE25984, MOUSE25974, MOUSE25976, MOUSE25978, MOUSE17216, MOUSE17215, MOUSE17213, MOUSE17212, MOUSE17214, MOUSE17211, MOUSE17210, MOUSE23948
OG0000583	SCHMD05295, SCHMD25227, SCHMD08418, SCHMD20267, SCHMD01121, SCHMD04123, SCHMD14346, SCHMD17189, SCHMD06646	MOUSE01784, MOUSE54088, MOUSE54086, MOUSE54089, MOUSE54090, MOUSE54092, MOUSE54087, MOUSE22001, MOUSE32168, MOUSE33890, MOUSE33889, MOUSE33888
OG0000584	SCHMD07152	MOUSE31345
OG0000585	SCHMD24793, SCHMD28810, SCHMD24792, SCHMD27773, SCHMD04336	MOUSE40784, MOUSE40785, MOUSE40786, MOUSE40788, MOUSE40789, MOUSE40787, MOUSE40783, MOUSE40781, MOUSE40782, MOUSE35389, MOUSE35386, MOUSE35387, MOUSE35388, MOUSE35383, MOUSE35384, MOUSE35381, MOUSE35380, MOUSE35382, MOUSE31048, MOUSE31049
OG0000586	SCHMD22071, SCHMD26810, SCHMD08470	MOUSE47314, MOUSE47317, MOUSE47318, MOUSE47316, MOUSE14470, MOUSE14469, MOUSE14468, MOUSE43916, MOUSE43917, MOUSE43918, MOUSE47315
OG0000587	SCHMD03879, SCHMD05571	MOUSE22685, MOUSE38303, MOUSE38305, MOUSE38304, MOUSE55325, MOUSE55324, MOUSE55322, MOUSE55323
OG0000588	SCHMD01542	MOUSE48786, MOUSE48787, MOUSE31848, MOUSE32353, MOUSE32352
OG0000588	SCHMD09247, SCHMD07021, SCHMD07022	MOUSE45239, MOUSE45240
OG0000589	SCHMD15105, SCHMD03706, SCHMD08912	MOUSE42228, MOUSE42229, MOUSE42227, MOUSE42226, MOUSE47183, MOUSE47184, MOUSE47181, MOUSE47182, MOUSE23629, MOUSE23630, MOUSE23628, MOUSE23627
OG0000590	SCHMD08634	MOUSE05523, MOUSE18372, MOUSE05521, MOUSE05522, MOUSE02546
OG0000590	SCHMD18326	MOUSE18529, MOUSE28939, MOUSE28941
OG0000591	SCHMD10835	MOUSE03776, MOUSE03774, MOUSE03773, MOUSE03775
OG0000591	SCHMD09048, SCHMD27550, SCHMD09047	MOUSE45119, MOUSE45118, MOUSE45120, MOUSE45121, MOUSE45116
OG0000592	SCHMD11895, SCHMD04777	MOUSE09794, MOUSE09795, MOUSE09796, MOUSE49687, MOUSE49686, MOUSE49685, MOUSE27133
OG0000592	SCHMD09289, SCHMD17605, SCHMD11894	MOUSE49688
OG0000594	SCHMD01864	MOUSE50535, MOUSE16184, MOUSE16183, MOUSE50537, MOUSE24285, MOUSE24284, MOUSE24283, MOUSE16185, MOUSE50538, MOUSE52223, MOUSE40778, MOUSE40777, MOUSE14517, MOUSE14516
OG0000597	SCHMD00271	MOUSE46308, MOUSE46307, MOUSE04601, MOUSE04603, MOUSE04605, MOUSE04604, MOUSE20021, MOUSE46309, MOUSE37363
OG0000600	SCHMD24344, SCHMD16882	MOUSE22333
OG0000602	SCHMD08918, SCHMD16862	MOUSE54043, MOUSE54042, MOUSE13065, MOUSE13066, MOUSE13067, MOUSE23060, MOUSE38461, MOUSE38463, MOUSE38462, MOUSE38460, MOUSE54041, MOUSE13068, MOUSE13069
OG0000603	SCHMD15890	MOUSE18832, MOUSE18831, MOUSE20286, MOUSE20285, MOUSE20287, MOUSE20288, MOUSE07810, MOUSE07809, MOUSE07808, MOUSE07811, MOUSE18833, MOUSE18834, MOUSE18818, MOUSE18827, MOUSE18819, MOUSE18825, MOUSE18821, MOUSE20289, MOUSE20290, MOUSE18829
OG0000604	SCHMD27467, SCHMD15254	MOUSE08642
OG0000607	SCHMD10894, SCHMD16300	MOUSE23597
OG0000608	SCHMD15186, SCHMD26174, SCHMD17635, SCHMD02399, SCHMD22885, SCHMD28488, SCHMD21715, SCHMD03775, SCHMD03332, SCHMD19634, SCHMD17646, SCHMD03589, SCHMD14815, SCHMD16437, SCHMD20944, SCHMD17326, SCHMD00012, SCHMD22746, SCHMD20032, SCHMD27285, SCHMD20026, SCHMD27107, SCHMD27745, SCHMD21492, SCHMD20815, SCHMD23556, SCHMD27805, SCHMD18985, SCHMD22041, SCHMD23795, SCHMD10230, SCHMD04889, SCHMD10732, SCHMD11676, SCHMD24210, SCHMD25141, SCHMD15027, SCHMD22557, SCHMD26434, SCHMD13135, SCHMD10188, SCHMD24847, SCHMD05331, SCHMD04691, SCHMD08611, SCHMD00173, SCHMD04600, SCHMD24398, SCHMD26789, SCHMD27842, SCHMD17882, SCHMD05452	MOUSE14204, MOUSE14206, MOUSE14205
OG0000609	SCHMD17568	MOUSE22345
OG0000610	SCHMD01064	MOUSE51595
OG0000611	SCHMD10118	MOUSE48953, MOUSE48957
OG0000612	SCHMD04363, SCHMD09119	MOUSE36201, MOUSE36200, MOUSE36199, MOUSE46782, MOUSE46781, MOUSE40383, MOUSE40382
OG0000612	SCHMD12368	MOUSE28578, MOUSE28580, MOUSE28579
OG0000613	SCHMD11333	MOUSE00704, MOUSE00705, MOUSE00703, MOUSE28638, MOUSE34125, MOUSE34127, MOUSE34126, MOUSE34123, MOUSE34124
OG0000614	SCHMD02000, SCHMD19846, SCHMD14215, SCHMD02001	MOUSE43293
OG0000615	SCHMD18570, SCHMD15390	MOUSE29445
OG0000619	SCHMD20094	MOUSE53833, MOUSE53832, MOUSE13100, MOUSE13101, MOUSE13102, MOUSE13104, MOUSE22715, MOUSE22714, MOUSE22713, MOUSE22711, MOUSE22709, MOUSE22710
OG0000623	SCHMD06017, SCHMD06018	MOUSE52068
OG0000623	SCHMD05599, SCHMD06718, SCHMD03445, SCHMD22744, SCHMD24118, SCHMD17727, SCHMD12585	MOUSE05906, MOUSE05905, MOUSE14117
OG0000624	SCHMD01951	MOUSE05834, MOUSE05836, MOUSE05833, MOUSE05837, MOUSE05835, MOUSE05832, MOUSE20490, MOUSE26414
OG0000626	SCHMD22993	MOUSE29300
OG0000628	SCHMD21997	MOUSE33803, MOUSE33805, MOUSE33806, MOUSE55288, MOUSE55287, MOUSE55289, MOUSE55291, MOUSE55290, MOUSE55292
OG0000628	SCHMD24762, SCHMD25901	MOUSE28607, MOUSE00366, MOUSE00365, MOUSE18571, MOUSE18570, MOUSE18572
OG0000634	SCHMD10172, SCHMD10394, SCHMD05099, SCHMD10171, SCHMD10393, SCHMD05098, SCHMD18845	MOUSE29180, MOUSE29181, MOUSE29179
OG0000635	SCHMD14919, SCHMD24865, SCHMD18425, SCHMD10798	MOUSE17432
OG0000636	SCHMD23842, SCHMD07652, SCHMD03198	MOUSE35989, MOUSE35990, MOUSE35986, MOUSE35987, MOUSE35980, MOUSE35985, MOUSE35979, MOUSE35984, MOUSE35991, MOUSE35982, MOUSE35983, MOUSE35981, MOUSE19615, MOUSE21409, MOUSE21405, MOUSE21413, MOUSE21412, MOUSE21406, MOUSE21410, MOUSE21402, MOUSE21407, MOUSE21403, MOUSE21408, MOUSE21404, MOUSE21411, MOUSE21415, MOUSE21414
OG0000637	SCHMD24038	MOUSE25268, MOUSE06427
OG0000639	SCHMD15823	MOUSE51940, MOUSE19650, MOUSE19651, MOUSE19647
OG0000639	SCHMD12604, SCHMD12603	MOUSE49493, MOUSE49495, MOUSE49496, MOUSE32122, MOUSE28358
OG0000641	SCHMD25977	MOUSE14805, MOUSE14779, MOUSE14786, MOUSE14782, MOUSE14784, MOUSE14783, MOUSE14780, MOUSE14785, MOUSE14787, MOUSE14789, MOUSE14792, MOUSE14791, MOUSE14793, MOUSE14788, MOUSE14802, MOUSE14803, MOUSE14801, MOUSE14797, MOUSE14794, MOUSE14795, MOUSE14796, MOUSE14798, MOUSE14800, MOUSE14799
OG0000642	SCHMD07724	MOUSE37031, MOUSE37030, MOUSE39970, MOUSE39974, MOUSE39972
OG0000643	SCHMD14321	MOUSE43453, MOUSE18626
OG0000645	SCHMD29005	MOUSE32254, MOUSE32255, MOUSE51331
OG0000646	SCHMD24176	MOUSE39599, MOUSE15544, MOUSE15545, MOUSE38327, MOUSE38328
OG0000646	SCHMD25176, SCHMD22477	MOUSE12275, MOUSE43672, MOUSE53413, MOUSE53412
OG0000647	SCHMD29494	MOUSE27948, MOUSE27946, MOUSE27945, MOUSE27942, MOUSE27941, MOUSE27947, MOUSE27937, MOUSE27938, MOUSE27939, MOUSE27935, MOUSE27943, MOUSE27944, MOUSE27940, MOUSE27936, MOUSE46894, MOUSE46895
OG0000648	SCHMD09057	MOUSE09142
OG0000648	SCHMD18065	MOUSE09143, MOUSE09141, MOUSE49647
OG0000649	SCHMD18549, SCHMD18847, SCHMD16842, SCHMD03271	MOUSE38973
OG0000651	SCHMD02428	MOUSE06972, MOUSE02553, MOUSE06973
OG0000652	SCHMD03285, SCHMD29341, SCHMD05205, SCHMD08162	MOUSE54337
OG0000653	SCHMD07619, SCHMD08845	MOUSE48918, MOUSE01579, MOUSE01580, MOUSE40031, MOUSE40032, MOUSE40033, MOUSE10990, MOUSE20427, MOUSE08675, MOUSE42679, MOUSE32732, MOUSE31803, MOUSE31802
OG0000654	SCHMD01650, SCHMD19469	MOUSE14618, MOUSE14619, MOUSE25060, MOUSE25062, MOUSE25061, MOUSE25064, MOUSE05334, MOUSE05333, MOUSE05332, MOUSE05331, MOUSE05330, MOUSE26181, MOUSE26182, MOUSE26180, MOUSE26183
OG0000657	SCHMD14159, SCHMD28173	MOUSE51830
OG0000657	SCHMD18210	MOUSE20685, MOUSE20684, MOUSE20683, MOUSE51829, MOUSE51831
OG0000660	SCHMD02770	MOUSE26589
OG0000660	SCHMD20422, SCHMD27193	MOUSE53726, MOUSE02723, MOUSE04889, MOUSE04890, MOUSE23064
OG0000664	SCHMD04491, SCHMD14555	MOUSE53752, MOUSE53753, MOUSE01965, MOUSE01962, MOUSE23474
OG0000664	SCHMD04182	MOUSE22241, MOUSE22240, MOUSE35216, MOUSE35218, MOUSE35217
OG0000665	SCHMD09294	MOUSE51882, MOUSE51880, MOUSE51881, MOUSE32269, MOUSE32268
OG0000666	SCHMD26735, SCHMD04900, SCHMD10850, SCHMD10849	MOUSE41228, MOUSE41218, MOUSE41226, MOUSE41227, MOUSE41215, MOUSE41219, MOUSE41225, MOUSE41224, MOUSE41216, MOUSE41217, MOUSE41230, MOUSE41229, MOUSE05583, MOUSE05581, MOUSE09357, MOUSE09355, MOUSE09353, MOUSE09354, MOUSE09356, MOUSE09348, MOUSE09352, MOUSE09349, MOUSE09350, MOUSE09347, MOUSE09351
OG0000671	SCHMD11717	MOUSE40917, MOUSE23444
OG0000672	SCHMD03901	MOUSE41797, MOUSE41126, MOUSE06352, MOUSE41798, MOUSE06353
OG0000674	SCHMD14256	MOUSE44926, MOUSE44927, MOUSE30738, MOUSE30735, MOUSE30734, MOUSE30736, MOUSE30739, MOUSE44929
OG0000674	SCHMD27363, SCHMD28202	MOUSE42020, MOUSE42019, MOUSE42022, MOUSE42021, MOUSE45911, MOUSE45910, MOUSE45912
OG0000676	SCHMD18867	MOUSE28653
OG0000676	SCHMD08131	MOUSE23124, MOUSE54030, MOUSE54029, MOUSE13098
OG0000678	SCHMD12018	MOUSE17072, MOUSE17071
OG0000680	SCHMD25925	MOUSE14546, MOUSE14547
OG0000681	SCHMD26784, SCHMD03976	MOUSE29729, MOUSE29731, MOUSE29732, MOUSE29734, MOUSE29733, MOUSE53999, MOUSE53998, MOUSE12966, MOUSE12967
OG0000682	SCHMD04644, SCHMD08708, SCHMD25504, SCHMD17552, SCHMD21787, SCHMD07246, SCHMD25376, SCHMD05512	MOUSE40533, MOUSE40532, MOUSE40535, MOUSE40534, MOUSE21319, MOUSE21318, MOUSE35907, MOUSE35915, MOUSE35914, MOUSE35910, MOUSE35911, MOUSE35909, MOUSE35912, MOUSE35913
OG0000683	SCHMD21601	MOUSE54444, MOUSE54443
OG0000684	SCHMD07574, SCHMD07399, SCHMD07458, SCHMD23235, SCHMD27158, SCHMD07403	MOUSE19631, MOUSE19633, MOUSE19634, MOUSE19635, MOUSE19636, MOUSE49799, MOUSE49800, MOUSE49801, MOUSE49802
OG0000685	SCHMD02797, SCHMD09882	MOUSE44185, MOUSE44186, MOUSE47322, MOUSE47323, MOUSE47321, MOUSE23574, MOUSE23575, MOUSE23573, MOUSE02122, MOUSE02123
OG0000685	SCHMD09879	MOUSE47324
OG0000690	SCHMD24354	MOUSE00475, MOUSE18670, MOUSE34065, MOUSE00474
OG0000690	SCHMD17313, SCHMD21259, SCHMD18093	MOUSE54656
OG0000692	SCHMD02580	MOUSE04478, MOUSE04479, MOUSE04480, MOUSE04477, MOUSE04476
OG0000694	SCHMD02121, SCHMD02119	MOUSE24535, MOUSE24536, MOUSE24534, MOUSE24752, MOUSE40204, MOUSE40205, MOUSE40203
OG0000696	SCHMD17223, SCHMD17224, SCHMD29303	MOUSE00120
OG0000696	SCHMD10590	MOUSE23457
OG0000697	SCHMD10349, SCHMD08041	MOUSE06912, MOUSE06911, MOUSE31212, MOUSE53511, MOUSE53512, MOUSE10904, MOUSE10901, MOUSE10903, MOUSE10902
OG0000699	SCHMD20380, SCHMD24169, SCHMD20675, SCHMD24967	MOUSE45156, MOUSE54589, MOUSE54585, MOUSE54584, MOUSE54588
OG0000700	SCHMD27774, SCHMD20215	MOUSE42212
OG0000701	SCHMD02913, SCHMD15835, SCHMD15836	MOUSE09498, MOUSE09495, MOUSE09496, MOUSE00837, MOUSE00838, MOUSE00839, MOUSE00845, MOUSE40359, MOUSE40360, MOUSE02828, MOUSE02827
OG0000702	SCHMD21765, SCHMD21766	MOUSE19754, MOUSE19750, MOUSE19745, MOUSE19735, MOUSE19738, MOUSE19742, MOUSE19747, MOUSE19732, MOUSE19728, MOUSE19724, MOUSE19720, MOUSE19719, MOUSE19726, MOUSE19722, MOUSE19721, MOUSE19717, MOUSE19716, MOUSE51901, MOUSE51899, MOUSE51898, MOUSE51903, MOUSE51905, MOUSE51902, MOUSE51897
OG0000703	SCHMD16900, SCHMD27672, SCHMD19745, SCHMD27562, SCHMD13056, SCHMD14155, SCHMD02015, SCHMD21390, SCHMD19872, SCHMD13000, SCHMD28016, SCHMD02951, SCHMD22472, SCHMD05181, SCHMD19746, SCHMD15814, SCHMD02952, SCHMD15683	MOUSE31673
OG0000703	SCHMD03880	MOUSE09475, MOUSE09482, MOUSE09477, MOUSE09474, MOUSE09481, MOUSE09478, MOUSE09480, MOUSE31672, MOUSE31674, MOUSE31671, MOUSE31670
OG0000706	SCHMD26259, SCHMD27843	MOUSE00499, MOUSE00494, MOUSE00493, MOUSE00502, MOUSE00496, MOUSE00495, MOUSE23468, MOUSE23467, MOUSE23472, MOUSE23471, MOUSE23466, MOUSE23470, MOUSE23469, MOUSE23473
OG0000708	SCHMD25653	MOUSE31390, MOUSE31389
OG0000709	SCHMD18124	MOUSE20103, MOUSE18127, MOUSE18128, MOUSE18129, MOUSE18130, MOUSE18131, MOUSE18132, MOUSE18134, MOUSE18135, MOUSE18136, MOUSE18133, MOUSE18137, MOUSE18138, MOUSE18140, MOUSE18141
OG0000709	SCHMD21257	MOUSE18139
OG0000711	SCHMD16082	MOUSE44352, MOUSE02178
OG0000711	SCHMD02785	MOUSE47225, MOUSE47226
OG0000712	SCHMD23626	MOUSE03200, MOUSE03199, MOUSE53971, MOUSE53972, MOUSE45072, MOUSE45069, MOUSE45071, MOUSE48221, MOUSE48220, MOUSE48222
OG0000713	SCHMD17095	MOUSE04057, MOUSE54792, MOUSE54791, MOUSE55213, MOUSE55214, MOUSE55212
OG0000716	SCHMD04462, SCHMD22884, SCHMD19144, SCHMD07207, SCHMD17723	MOUSE55256, MOUSE55255, MOUSE55258, MOUSE55260, MOUSE55261, MOUSE55262, MOUSE55257, MOUSE55259, MOUSE18073
OG0000717	SCHMD26760, SCHMD12553	MOUSE24202, MOUSE24200, MOUSE24201, MOUSE25900, MOUSE25903, MOUSE25902, MOUSE25901, MOUSE17621, MOUSE25898, MOUSE17620, MOUSE17618, MOUSE17619, MOUSE25897, MOUSE48390, MOUSE48391, MOUSE48394, MOUSE48392, MOUSE48393, MOUSE25899
OG0000718	SCHMD24218, SCHMD05666, SCHMD25000, SCHMD11831	MOUSE30953, MOUSE43056, MOUSE43055, MOUSE43054, MOUSE24376, MOUSE24375, MOUSE24369, MOUSE43537, MOUSE43538, MOUSE12486
OG0000721	SCHMD15260, SCHMD29752, SCHMD09543	MOUSE02762, MOUSE02761, MOUSE02760, MOUSE02765, MOUSE02764, MOUSE54553, MOUSE51287, MOUSE16557, MOUSE51288, MOUSE02763
OG0000722	SCHMD24922, SCHMD24923, SCHMD24635, SCHMD22124	MOUSE27353, MOUSE08639, MOUSE20386, MOUSE27055, MOUSE39386
OG0000724	SCHMD07525, SCHMD08666	MOUSE18210, MOUSE18209, MOUSE27554, MOUSE27553, MOUSE27552, MOUSE27551
OG0000725	SCHMD11698	MOUSE31731, MOUSE31730, MOUSE31732
OG0000725	SCHMD23954	MOUSE41865, MOUSE41864, MOUSE41867, MOUSE41868, MOUSE45804, MOUSE45803, MOUSE45805
OG0000725	SCHMD14819, SCHMD12919	MOUSE27201, MOUSE27205, MOUSE27203, MOUSE27202, MOUSE27206, MOUSE27207, MOUSE27204
OG0000730	SCHMD22617, SCHMD17182, SCHMD08320, SCHMD02965	MOUSE08715, MOUSE23276, MOUSE02405, MOUSE02406
OG0000731	SCHMD03063	MOUSE15688, MOUSE15689, MOUSE15687, MOUSE15694, MOUSE15693, MOUSE15695, MOUSE15691, MOUSE15692, MOUSE55085, MOUSE55084, MOUSE55086, MOUSE55083, MOUSE12888, MOUSE12887, MOUSE38373, MOUSE38370, MOUSE38371, MOUSE38367
OG0000732	SCHMD09651	MOUSE31018, MOUSE55029, MOUSE23136, MOUSE23139, MOUSE23138, MOUSE23137, MOUSE23135
OG0000732	SCHMD05249	MOUSE50346, MOUSE33183
OG0000733	SCHMD28225, SCHMD15626	MOUSE07355, MOUSE07356, MOUSE20245, MOUSE24781
OG0000733	SCHMD13904	MOUSE08117
OG0000733	SCHMD02163	MOUSE08121, MOUSE08120, MOUSE08119, MOUSE08118, MOUSE18227
OG0000734	SCHMD11583, SCHMD14768, SCHMD09332, SCHMD02937, SCHMD07242, SCHMD04118, SCHMD01513, SCHMD07878, SCHMD24039, SCHMD13942, SCHMD22315, SCHMD14455, SCHMD27004, SCHMD20850, SCHMD13509, SCHMD10084, SCHMD08723, SCHMD14485, SCHMD25295, SCHMD26519, SCHMD04103, SCHMD26949, SCHMD09270, SCHMD20387, SCHMD03648, SCHMD09683, SCHMD10543, SCHMD08018, SCHMD27636, SCHMD18698, SCHMD07342, SCHMD09685, SCHMD09684, SCHMD15319, SCHMD24961, SCHMD26040, SCHMD09274, SCHMD04119	MOUSE31240
OG0000735	SCHMD07620	MOUSE00416, MOUSE00415, MOUSE00410, MOUSE00414, MOUSE00409, MOUSE00411, MOUSE00413, MOUSE00412, MOUSE28517, MOUSE28516, MOUSE13496, MOUSE13495, MOUSE13497, MOUSE13498, MOUSE13499
OG0000737	SCHMD13872, SCHMD06037, SCHMD06036, SCHMD13871, SCHMD06038, SCHMD26765, SCHMD20700, SCHMD19426, SCHMD19425, SCHMD16484, SCHMD24684	MOUSE46618
OG0000740	SCHMD13587	MOUSE28205, MOUSE13925
OG0000748	SCHMD06828, SCHMD06887, SCHMD11059, SCHMD09770	MOUSE05204
OG0000749	SCHMD08684, SCHMD14779, SCHMD14096, SCHMD26558, SCHMD10778, SCHMD24530, SCHMD14780	MOUSE42798, MOUSE42797
OG0000751	SCHMD12293, SCHMD13329, SCHMD18701, SCHMD04693, SCHMD17218, SCHMD17217, SCHMD03838, SCHMD03689, SCHMD13065, SCHMD14600, SCHMD18030, SCHMD13408	MOUSE39754, MOUSE39752, MOUSE15496, MOUSE15495
OG0000752	SCHMD03946	MOUSE21464
OG0000752	SCHMD12645	MOUSE55217, MOUSE55218
OG0000753	SCHMD14739	MOUSE27739, MOUSE27738
OG0000753	SCHMD19308, SCHMD17874	MOUSE24295, MOUSE24293, MOUSE24296, MOUSE24294, MOUSE50919, MOUSE50920, MOUSE50917
OG0000757	SCHMD13979, SCHMD10753, SCHMD18486	MOUSE06107, MOUSE06110, MOUSE01204, MOUSE01202, MOUSE01200, MOUSE01207, MOUSE01201, MOUSE01203, MOUSE06109, MOUSE06108, MOUSE01205, MOUSE46249, MOUSE46248
OG0000758	SCHMD07281	MOUSE34388, MOUSE13666, MOUSE13663, MOUSE13662, MOUSE13667, MOUSE13664, MOUSE13661, MOUSE13658, MOUSE13659, MOUSE13668, MOUSE13665, MOUSE13660, MOUSE13669, MOUSE06777, MOUSE06779, MOUSE06780, MOUSE06778
OG0000759	SCHMD22205	MOUSE35555
OG0000759	SCHMD21958	MOUSE26272, MOUSE26275, MOUSE26277, MOUSE26279, MOUSE26278, MOUSE35556, MOUSE35553, MOUSE35552, MOUSE35554, MOUSE23327, MOUSE23328
OG0000760	SCHMD20920, SCHMD16709	MOUSE11237
OG0000762	SCHMD08577, SCHMD18827	MOUSE39900
OG0000762	SCHMD18828	MOUSE14916, MOUSE14919, MOUSE14917, MOUSE26582, MOUSE26581, MOUSE26580, MOUSE26579, MOUSE26583, MOUSE39898, MOUSE39901, MOUSE39903, MOUSE39902, MOUSE39899, MOUSE39896, MOUSE39897
OG0000763	SCHMD13003, SCHMD01910, SCHMD15104, SCHMD01491, SCHMD17696, SCHMD22978, SCHMD08138, SCHMD27445, SCHMD08139, SCHMD14202	MOUSE30407, MOUSE19448, MOUSE19447, MOUSE48537, MOUSE48539, MOUSE48536, MOUSE48535, MOUSE48538, MOUSE19449, MOUSE48540, MOUSE42999, MOUSE42998
OG0000764	SCHMD28742, SCHMD23511	MOUSE33207
OG0000764	SCHMD24244, SCHMD21888, SCHMD26666, SCHMD07034, SCHMD08608, SCHMD28689, SCHMD25300, SCHMD02459, SCHMD25681, SCHMD09369, SCHMD23779, SCHMD28766, SCHMD27828, SCHMD23678, SCHMD14324, SCHMD10398, SCHMD24976, SCHMD27971, SCHMD13312, SCHMD23780, SCHMD06680, SCHMD23827, SCHMD00480, SCHMD05233, SCHMD03304, SCHMD14872, SCHMD00676, SCHMD21663, SCHMD05848, SCHMD29675, SCHMD28783, SCHMD06421, SCHMD26848, SCHMD12846	MOUSE25824, MOUSE25825
OG0000764	SCHMD16330	MOUSE31888
OG0000765	SCHMD21723, SCHMD22880	MOUSE30890, MOUSE30889, MOUSE37512, MOUSE37513
OG0000765	SCHMD29001	MOUSE30891
OG0000766	SCHMD07087	MOUSE30247, MOUSE30246, MOUSE30245, MOUSE01575, MOUSE01574, MOUSE01576, MOUSE19531
OG0000767	SCHMD28206, SCHMD09263, SCHMD04586	MOUSE27536, MOUSE27535
OG0000768	SCHMD13165, SCHMD22067	MOUSE08554, MOUSE08553, MOUSE08555, MOUSE11226, MOUSE11225, MOUSE11227
OG0000772	SCHMD07550, SCHMD11404	MOUSE32505, MOUSE32506, MOUSE32503
OG0000774	SCHMD13406	MOUSE31336, MOUSE31335, MOUSE31334
OG0000774	SCHMD04364	MOUSE53571, MOUSE53570, MOUSE53576, MOUSE53579
OG0000776	SCHMD10487	MOUSE29664, MOUSE48168, MOUSE53845
OG0000777	SCHMD19863	MOUSE00254
OG0000777	SCHMD04488	MOUSE06131
OG0000777	SCHMD17125	MOUSE06130, MOUSE06129, MOUSE06128
OG0000778	SCHMD17919, SCHMD25026, SCHMD16452, SCHMD20513	MOUSE22907, MOUSE22908, MOUSE22909, MOUSE03991, MOUSE39634, MOUSE39635, MOUSE29903, MOUSE29902, MOUSE35020
OG0000780	SCHMD13998, SCHMD18889	MOUSE07684
OG0000781	SCHMD21689, SCHMD23281, SCHMD14588, SCHMD16494	MOUSE32206, MOUSE32205
OG0000782	SCHMD18810, SCHMD13192, SCHMD14543	MOUSE30858, MOUSE30861
OG0000782	SCHMD01655, SCHMD14818	MOUSE01601, MOUSE19835, MOUSE19834, MOUSE19833, MOUSE30860, MOUSE30856, MOUSE30859, MOUSE30857, MOUSE51653, MOUSE51654, MOUSE51651
OG0000784	SCHMD19992, SCHMD27743	MOUSE22854, MOUSE22853, MOUSE22852, MOUSE03597, MOUSE29436, MOUSE29124
OG0000787	SCHMD22606, SCHMD20069, SCHMD13786	MOUSE47961, MOUSE47965, MOUSE47964, MOUSE47963, MOUSE47962, MOUSE09494, MOUSE09492, MOUSE09493, MOUSE09491, MOUSE00783, MOUSE00784, MOUSE31692, MOUSE31693, MOUSE31691
OG0000788	SCHMD11830, SCHMD18844	MOUSE27064, MOUSE39394
OG0000788	SCHMD06628	MOUSE32425, MOUSE32424, MOUSE32423, MOUSE30472, MOUSE01590
OG0000791	SCHMD20330, SCHMD18169, SCHMD20086	MOUSE35522
OG0000791	SCHMD12437	MOUSE35519, MOUSE35517, MOUSE35518, MOUSE35520, MOUSE35521, MOUSE14635, MOUSE22542, MOUSE22544, MOUSE22543
OG0000792	SCHMD14957, SCHMD14636, SCHMD23892	MOUSE26527
OG0000793	SCHMD22428, SCHMD23980, SCHMD15261, SCHMD00689, SCHMD02469, SCHMD09415, SCHMD08316	MOUSE01510, MOUSE01514, MOUSE01512, MOUSE51437, MOUSE51438
OG0000794	SCHMD10042	MOUSE03809, MOUSE03810, MOUSE03812, MOUSE03813, MOUSE19985, MOUSE19991, MOUSE19988
OG0000796	SCHMD27129, SCHMD07584, SCHMD10018	MOUSE45184, MOUSE45185, MOUSE54592
OG0000796	SCHMD18172, SCHMD23449	MOUSE45186
OG0000796	SCHMD23450	MOUSE04220
OG0000797	SCHMD16320	MOUSE03561
OG0000801	SCHMD09238	MOUSE51551, MOUSE51550, MOUSE51549, MOUSE19777, MOUSE19776
OG0000802	SCHMD10199	MOUSE31955, MOUSE31954, MOUSE48794, MOUSE31846, MOUSE01638, MOUSE42681, MOUSE42680, MOUSE11667, MOUSE11668, MOUSE13170, MOUSE13169
OG0000803	SCHMD13498, SCHMD13620, SCHMD26336	MOUSE45922
OG0000809	SCHMD21850, SCHMD00682	MOUSE48492, MOUSE48491
OG0000810	SCHMD03113	MOUSE33430
OG0000810	SCHMD06140, SCHMD03114	MOUSE15700, MOUSE53153, MOUSE53154, MOUSE53158
OG0000814	SCHMD03060, SCHMD13676	MOUSE02913
OG0000818	SCHMD25196, SCHMD21411	MOUSE14046
OG0000819	SCHMD03878	MOUSE27150
OG0000820	SCHMD19766	MOUSE14548, MOUSE14550, MOUSE14549, MOUSE14551
