Orthogroup	SCHMD	OWEFU
OG0000480	SCHMD19204, SCHMD14582	OFUSG21333.1.p1
OG0000481	SCHMD12328	OFUSG22310.1.p1
OG0000481	SCHMD06297	OFUSG18362.1.p1
OG0000484	SCHMD25776, SCHMD16669, SCHMD23292, SCHMD20173, SCHMD20110	OFUSG26248.2.p1, OFUSG26248.1.p1
OG0000485	SCHMD13016, SCHMD17436	OFUSG24362.1.p1
OG0000485	SCHMD16799	OFUSG04740.1.p1, OFUSG04740.2.p1, OFUSG09824.2.p1, OFUSG09824.1.p1, OFUSG24636.1.p1
OG0000487	SCHMD20744	OFUSG11196.1.p1, OFUSG02053.1.p2, OFUSG10948.2.p1, OFUSG10948.1.p1
OG0000488	SCHMD01306, SCHMD17798, SCHMD16340	OFUSG11335.2.p1, OFUSG11335.1.p1
OG0000489	SCHMD11851, SCHMD19803, SCHMD25207, SCHMD11850, SCHMD24502, SCHMD26324	OFUSG16964.1.p1, OFUSG16964.2.p1, OFUSG16964.3.p1, OFUSG16964.5.p1, OFUSG16964.4.p1
OG0000490	SCHMD21870	OFUSG08032.1.p1
OG0000491	SCHMD15788	OFUSG19057.1.p1
OG0000491	SCHMD00109, SCHMD00103, SCHMD08015, SCHMD18354, SCHMD03551, SCHMD00998	OFUSG02688.1.p1
OG0000494	SCHMD12513, SCHMD23674, SCHMD27423, SCHMD04960, SCHMD24725, SCHMD26393, SCHMD25222, SCHMD18092, SCHMD26971, SCHMD24713, SCHMD21987	OFUSG21763.2.p1, OFUSG21763.1.p1
OG0000496	SCHMD08379, SCHMD27172	OFUSG05354.1.p1
OG0000497	SCHMD07173	OFUSG14965.1.p1, OFUSG14966.1.p1, OFUSG14968.1.p1
OG0000497	SCHMD12237, SCHMD24017, SCHMD22017, SCHMD24018	OFUSG25600.1.p1, OFUSG25540.2.p1, OFUSG25540.1.p1
OG0000503	SCHMD01390, SCHMD06719	OFUSG08004.3.p1, OFUSG08004.1.p1, OFUSG08004.2.p1
OG0000503	SCHMD11669, SCHMD06049, SCHMD28480, SCHMD07183, SCHMD28610, SCHMD20959	OFUSG23525.1.p1
OG0000504	SCHMD09636, SCHMD05294	OFUSG09721.2.p1, OFUSG09721.3.p1, OFUSG09721.1.p1
OG0000504	SCHMD19827, SCHMD05293, SCHMD22132	OFUSG09722.1.p1
OG0000504	SCHMD14224, SCHMD23834, SCHMD24691, SCHMD24897, SCHMD16428, SCHMD22263	OFUSG09723.1.p1
OG0000505	SCHMD10454	OFUSG24460.1.p1, OFUSG24460.2.p1
OG0000505	SCHMD28069	OFUSG24457.1.p1
OG0000506	SCHMD05024	OFUSG24714.1.p1
OG0000509	SCHMD14563	OFUSG22873.1.p1
OG0000513	SCHMD10779, SCHMD15278, SCHMD14712, SCHMD04597, SCHMD06574, SCHMD06575	OFUSG10385.3.p1, OFUSG10385.2.p1, OFUSG10385.1.p1, OFUSG10385.4.p1
OG0000514	SCHMD15950, SCHMD28993	OFUSG18449.3.p1, OFUSG18449.1.p1, OFUSG18449.2.p1
OG0000519	SCHMD19355, SCHMD25526	OFUSG15431.1.p1, OFUSG15505.1.p1, OFUSG23894.1.p1, OFUSG23894.2.p1, OFUSG15506.1.p1
OG0000520	SCHMD05956	OFUSG22252.1.p1
OG0000520	SCHMD29599, SCHMD27845	OFUSG09373.1.p1
OG0000521	SCHMD05864, SCHMD18629, SCHMD05165, SCHMD05168	OFUSG25168.1.p1
OG0000521	SCHMD05167, SCHMD05164	OFUSG25165.1.p1
OG0000523	SCHMD13520	OFUSG09672.1.p1, OFUSG26017.1.p1, OFUSG08726.1.p1, OFUSG09673.1.p1, OFUSG07041.1.p1, OFUSG13785.1.p1
OG0000524	SCHMD09993, SCHMD19482, SCHMD10278, SCHMD21833	OFUSG21321.1.p1
OG0000524	SCHMD01087, SCHMD12691	OFUSG10538.1.p1, OFUSG10538.3.p1, OFUSG10538.5.p1, OFUSG10538.4.p1, OFUSG10538.2.p1
OG0000525	SCHMD04369	OFUSG26139.1.p1
OG0000525	SCHMD04371, SCHMD04372	OFUSG25939.1.p1
OG0000525	SCHMD19975, SCHMD13600, SCHMD16839, SCHMD08345, SCHMD19109, SCHMD05319, SCHMD14149	OFUSG17865.2.p1, OFUSG17865.1.p1
OG0000528	SCHMD03822	OFUSG21429.3.p1, OFUSG21429.1.p1, OFUSG21429.2.p1
OG0000528	SCHMD02315, SCHMD09612	OFUSG21773.1.p1
OG0000529	SCHMD06409	OFUSG23321.1.p1
OG0000530	SCHMD23577, SCHMD10363, SCHMD07780, SCHMD07802, SCHMD07779, SCHMD20771, SCHMD28369	OFUSG26322.2.p1, OFUSG26322.4.p1, OFUSG26322.3.p1, OFUSG26322.5.p1, OFUSG26322.1.p1
OG0000531	SCHMD13749	OFUSG17709.1.p1
OG0000532	SCHMD07765	OFUSG09491.1.p1, OFUSG19634.1.p1, OFUSG11199.1.p1, OFUSG21702.1.p1
OG0000534	SCHMD04873, SCHMD16884, SCHMD09514	OFUSG16053.1.p1
OG0000534	SCHMD04872	OFUSG10814.1.p1, OFUSG23901.1.p1
OG0000537	SCHMD19728, SCHMD06858, SCHMD15182, SCHMD11929	OFUSG10963.2.p1, OFUSG10963.1.p1
OG0000538	SCHMD23313	OFUSG16205.1.p1
OG0000542	SCHMD05340, SCHMD05911, SCHMD06819	OFUSG03514.1.p1
OG0000545	SCHMD20709	OFUSG21600.1.p1
OG0000545	SCHMD17258, SCHMD12253, SCHMD14358, SCHMD06498, SCHMD14356, SCHMD17257	OFUSG25038.1.p1, OFUSG25038.2.p1, OFUSG25038.5.p1, OFUSG25038.3.p1, OFUSG25038.4.p1
OG0000546	SCHMD01112, SCHMD00287, SCHMD17563, SCHMD02461, SCHMD02852, SCHMD24193, SCHMD21696, SCHMD15674, SCHMD15371, SCHMD10579	OFUSG12776.1.p1
OG0000546	SCHMD22243, SCHMD01369, SCHMD24503	OFUSG00612.1.p1, OFUSG00612.2.p1
OG0000546	SCHMD15753, SCHMD08158	OFUSG00613.1.p1
OG0000548	SCHMD11369	OFUSG06566.2.p1, OFUSG06566.1.p1
OG0000550	SCHMD04194	OFUSG15892.1.p1
OG0000550	SCHMD04193	OFUSG15898.1.p1, OFUSG15895.1.p1, OFUSG15897.1.p1
OG0000550	SCHMD04376, SCHMD04379, SCHMD24742	OFUSG25622.2.p1, OFUSG25622.1.p1, OFUSG25622.3.p1, OFUSG25622.5.p1, OFUSG25622.4.p1
OG0000550	SCHMD04377, SCHMD04195	OFUSG15896.1.p1
OG0000551	SCHMD18977, SCHMD20852, SCHMD20040, SCHMD29185, SCHMD16306, SCHMD26226, SCHMD18979	OFUSG04963.2.p1, OFUSG04963.1.p1
OG0000552	SCHMD16245, SCHMD21874	OFUSG04389.1.p1
OG0000552	SCHMD13011	OFUSG03850.1.p1
OG0000552	SCHMD01116	OFUSG10128.1.p1, OFUSG10128.2.p1
OG0000553	SCHMD06981	OFUSG10876.2.p1, OFUSG10876.1.p1, OFUSG10876.3.p1
OG0000554	SCHMD06339, SCHMD06340, SCHMD01332	OFUSG07941.2.p1, OFUSG07941.1.p1, OFUSG07941.5.p1, OFUSG07941.4.p1, OFUSG07941.3.p1
OG0000556	SCHMD23624	OFUSG14085.1.p1, OFUSG26368.1.p1
OG0000560	SCHMD20487, SCHMD15920	OFUSG26265.1.p1
OG0000560	SCHMD12681, SCHMD24482	OFUSG17538.1.p1
OG0000561	SCHMD09766	OFUSG21899.1.p1, OFUSG09741.1.p1, OFUSG09741.2.p1
OG0000562	SCHMD10853	OFUSG20041.1.p1, OFUSG20049.1.p1
OG0000563	SCHMD00956, SCHMD23940	OFUSG15273.1.p1
OG0000566	SCHMD24931, SCHMD26489	OFUSG03995.1.p1, OFUSG03997.1.p1, OFUSG03997.2.p1, OFUSG03997.3.p1
OG0000567	SCHMD27076, SCHMD27355, SCHMD13533	OFUSG06862.1.p1, OFUSG09646.1.p1
OG0000567	SCHMD00241, SCHMD03989, SCHMD19236, SCHMD27026	OFUSG13020.1.p1
OG0000571	SCHMD07477, SCHMD11565, SCHMD28594, SCHMD09474, SCHMD05478, SCHMD24472, SCHMD12459, SCHMD28158, SCHMD23621, SCHMD25957, SCHMD12331	OFUSG26910.1.p1
OG0000572	SCHMD10816	OFUSG12111.3.p1, OFUSG12111.5.p1, OFUSG12111.1.p1, OFUSG12111.4.p1, OFUSG12111.2.p1
OG0000572	SCHMD25603	OFUSG20906.1.p1, OFUSG20906.2.p1
OG0000573	SCHMD01043, SCHMD15213, SCHMD24610	OFUSG23244.1.p1, OFUSG23244.2.p1
OG0000573	SCHMD16187	OFUSG09137.1.p1
OG0000574	SCHMD01583, SCHMD12209	OFUSG18200.1.p1
OG0000574	SCHMD00489	OFUSG07751.1.p1, OFUSG07751.2.p1
OG0000575	SCHMD10050, SCHMD14865	OFUSG09886.2.p1, OFUSG09886.1.p1
OG0000576	SCHMD17959, SCHMD00167, SCHMD15710	OFUSG17044.1.p1
OG0000578	SCHMD00300, SCHMD17617	OFUSG11308.1.p1
OG0000579	SCHMD01160, SCHMD01878, SCHMD11162, SCHMD25933, SCHMD01879, SCHMD16027, SCHMD27820, SCHMD26175	OFUSG06590.1.p1
OG0000580	SCHMD27384	OFUSG00135.1.p1
OG0000580	SCHMD20629, SCHMD23259, SCHMD23258, SCHMD14664, SCHMD05333	OFUSG00139.1.p1
OG0000581	SCHMD10093, SCHMD11595, SCHMD08712	OFUSG12368.1.p1
OG0000581	SCHMD03457	OFUSG25173.1.p1
OG0000581	SCHMD28022	OFUSG21596.1.p1
OG0000582	SCHMD16063, SCHMD04882	OFUSG07318.2.p1, OFUSG07318.1.p1
OG0000583	SCHMD04123	OFUSG00871.2.p1, OFUSG00871.1.p1, OFUSG00871.3.p1
OG0000585	SCHMD24793, SCHMD28810, SCHMD24792, SCHMD27773, SCHMD04336	OFUSG19304.1.p1
OG0000587	SCHMD03879, SCHMD05571	OFUSG26859.1.p1, OFUSG26859.2.p1
OG0000588	SCHMD01542	OFUSG23263.1.p1, OFUSG23263.2.p1
OG0000588	SCHMD07022	OFUSG00278.1.p1
OG0000589	SCHMD15105, SCHMD03706, SCHMD08912	OFUSG08007.3.p1, OFUSG08007.4.p1, OFUSG08007.2.p1, OFUSG08007.1.p1
OG0000590	SCHMD08634	OFUSG24583.1.p1
OG0000590	SCHMD18326	OFUSG20344.1.p1
OG0000591	SCHMD10835	OFUSG18333.1.p1
OG0000591	SCHMD09048, SCHMD27550, SCHMD09047	OFUSG14784.1.p1
OG0000592	SCHMD11895, SCHMD04777	OFUSG07498.2.p1, OFUSG07498.3.p1, OFUSG07498.1.p1, OFUSG08220.1.p1, OFUSG08220.2.p1, OFUSG04675.1.p1
OG0000594	SCHMD01864	OFUSG06784.1.p1
OG0000597	SCHMD00271	OFUSG24146.1.p1, OFUSG24148.1.p1
OG0000602	SCHMD08918, SCHMD16862	OFUSG14405.1.p1, OFUSG14404.1.p1
OG0000603	SCHMD15890	OFUSG04731.1.p1, OFUSG11716.1.p1, OFUSG11716.2.p1
OG0000604	SCHMD27467, SCHMD15254	OFUSG21656.1.p1
OG0000604	SCHMD15897	OFUSG21649.1.p1
OG0000607	SCHMD10894, SCHMD16300	OFUSG00975.1.p1
OG0000608	SCHMD15186, SCHMD26174, SCHMD17635, SCHMD02399, SCHMD22885, SCHMD28488, SCHMD21715, SCHMD03775, SCHMD03332, SCHMD19634, SCHMD17646, SCHMD03589, SCHMD14815, SCHMD16437, SCHMD20944, SCHMD17326, SCHMD00012, SCHMD22746, SCHMD20032, SCHMD27285, SCHMD20026, SCHMD27107, SCHMD27745, SCHMD21492, SCHMD20815, SCHMD23556, SCHMD27805, SCHMD18985, SCHMD22041, SCHMD23795, SCHMD10230, SCHMD04889, SCHMD10732, SCHMD11676, SCHMD24210, SCHMD25141, SCHMD15027, SCHMD22557, SCHMD26434, SCHMD13135, SCHMD10188, SCHMD24847, SCHMD05331, SCHMD04691, SCHMD08611, SCHMD00173, SCHMD04600, SCHMD24398, SCHMD26789, SCHMD27842, SCHMD17882, SCHMD05452	OFUSG01950.1.p1
OG0000609	SCHMD24245, SCHMD16443	OFUSG18927.1.p1
OG0000609	SCHMD17568	OFUSG16039.1.p1
OG0000610	SCHMD01064	OFUSG08338.1.p1
OG0000611	SCHMD07468	OFUSG02645.4.p1, OFUSG02645.1.p1, OFUSG02645.3.p1, OFUSG02645.2.p1, OFUSG02645.5.p1
OG0000611	SCHMD10118	OFUSG22888.1.p1
OG0000612	SCHMD04363, SCHMD09119	OFUSG06644.1.p1
OG0000612	SCHMD12368	OFUSG23094.1.p1
OG0000613	SCHMD11333	OFUSG12632.1.p1
OG0000614	SCHMD02000, SCHMD19846, SCHMD14215, SCHMD02001	OFUSG25046.1.p1, OFUSG06189.1.p1, OFUSG21971.1.p1
OG0000615	SCHMD18570, SCHMD15390, SCHMD03881, SCHMD24438, SCHMD15895, SCHMD15391, SCHMD21719, SCHMD22476	OFUSG13992.1.p1, OFUSG13992.2.p1
OG0000619	SCHMD20094	OFUSG13856.1.p1
OG0000623	SCHMD06017, SCHMD06018	OFUSG17186.1.p1
OG0000623	SCHMD05599, SCHMD06718, SCHMD03445, SCHMD22744, SCHMD24118, SCHMD17727, SCHMD12585	OFUSG24609.2.p1, OFUSG24609.3.p1, OFUSG24609.1.p1
OG0000624	SCHMD01951	OFUSG24408.1.p1, OFUSG24408.2.p1
OG0000626	SCHMD22993, SCHMD02730, SCHMD02477	OFUSG21226.2.p1, OFUSG21226.4.p1, OFUSG21226.1.p1, OFUSG21226.3.p1, OFUSG21226.5.p1
OG0000628	SCHMD21997	OFUSG00909.1.p1
OG0000628	SCHMD24762, SCHMD25901	OFUSG11121.1.p1, OFUSG13391.1.p1
OG0000634	SCHMD10171, SCHMD10393, SCHMD05098, SCHMD18845	OFUSG25455.1.p1, OFUSG13962.1.p1
OG0000635	SCHMD14919, SCHMD24865, SCHMD18425, SCHMD10798	OFUSG20393.1.p1, OFUSG20393.3.p1, OFUSG20393.2.p1, OFUSG20394.1.p1
OG0000635	SCHMD16010	OFUSG03398.2.p1, OFUSG03398.1.p1, OFUSG03399.1.p1, OFUSG03393.1.p1, OFUSG03395.1.p1, OFUSG03397.1.p1, OFUSG03390.1.p1, OFUSG03392.1.p1, OFUSG03392.2.p1
OG0000636	SCHMD23842, SCHMD07652, SCHMD03198	OFUSG19283.1.p1
OG0000637	SCHMD06815	OFUSG09346.1.p1
OG0000637	SCHMD14376	OFUSG19806.1.p1
OG0000637	SCHMD24038	OFUSG08218.1.p1, OFUSG21914.1.p1
OG0000639	SCHMD15823	OFUSG09740.1.p1
OG0000639	SCHMD12604, SCHMD12603	OFUSG05397.1.p1
OG0000642	SCHMD07724	OFUSG10098.1.p1, OFUSG10098.2.p1
OG0000643	SCHMD14321	OFUSG26510.1.p1
OG0000646	SCHMD24176	OFUSG17652.1.p1
OG0000646	SCHMD25176, SCHMD22477	OFUSG20855.1.p1
OG0000647	SCHMD29494	OFUSG06535.1.p1, OFUSG06075.1.p1, OFUSG06534.1.p1
OG0000648	SCHMD18065	OFUSG23087.1.p1
OG0000649	SCHMD18549, SCHMD18847, SCHMD16842, SCHMD03271	OFUSG03689.1.p1, OFUSG10822.1.p1, OFUSG04063.1.p1, OFUSG05062.1.p1, OFUSG04064.1.p1, OFUSG04062.1.p1, OFUSG05061.1.p1, OFUSG05061.2.p1, OFUSG10971.1.p1, OFUSG16766.1.p1, OFUSG07315.1.p1, OFUSG07687.1.p1, OFUSG07537.1.p1, OFUSG03255.1.p1, OFUSG11210.1.p1
OG0000651	SCHMD02428	OFUSG13240.2.p1, OFUSG13240.3.p1, OFUSG13240.1.p1
OG0000652	SCHMD23460, SCHMD03282, SCHMD27558, SCHMD03401	OFUSG06176.1.p1
OG0000652	SCHMD03285, SCHMD29341, SCHMD05205, SCHMD08162	OFUSG13483.3.p1, OFUSG13483.2.p1, OFUSG13483.1.p1
OG0000654	SCHMD01650, SCHMD19469	OFUSG04714.1.p1
OG0000657	SCHMD14158	OFUSG00339.1.p1
OG0000657	SCHMD18210	OFUSG00337.1.p1
OG0000660	SCHMD02770	OFUSG16300.1.p1
OG0000660	SCHMD20422, SCHMD27193	OFUSG00254.1.p1
OG0000662	SCHMD04360	OFUSG19351.1.p1
OG0000662	SCHMD05635	OFUSG11101.1.p1
OG0000664	SCHMD04491, SCHMD14555	OFUSG06083.1.p1
OG0000664	SCHMD04182	OFUSG16644.1.p1
OG0000665	SCHMD09294	OFUSG09816.3.p1, OFUSG09816.1.p1, OFUSG09816.2.p1
OG0000670	SCHMD21177, SCHMD16575, SCHMD24810, SCHMD18592, SCHMD04685, SCHMD22152, SCHMD02150, SCHMD05669, SCHMD12381, SCHMD13315, SCHMD13316, SCHMD12100	OFUSG24801.2.p1, OFUSG24801.1.p1, OFUSG24764.1.p1, OFUSG24763.1.p1
OG0000672	SCHMD10307, SCHMD15500	OFUSG14378.5.p1, OFUSG14378.3.p1, OFUSG14378.2.p1, OFUSG14378.1.p1, OFUSG14378.4.p1
OG0000672	SCHMD03901	OFUSG12085.1.p1
OG0000674	SCHMD14256	OFUSG08473.1.p1
OG0000674	SCHMD27363, SCHMD28202	OFUSG07969.1.p1
OG0000676	SCHMD18867	OFUSG21048.1.p1
OG0000676	SCHMD08131	OFUSG14430.1.p1
OG0000678	SCHMD26583, SCHMD26584, SCHMD12017, SCHMD12018, SCHMD28149, SCHMD21688, SCHMD26696, SCHMD23542, SCHMD23509, SCHMD26582	OFUSG10078.1.p1, OFUSG10078.2.p1
OG0000680	SCHMD17558	OFUSG12758.1.p1
OG0000680	SCHMD25925	OFUSG26520.1.p1, OFUSG01684.1.p1, OFUSG01687.1.p1
OG0000681	SCHMD26784, SCHMD03976	OFUSG02151.1.p1
OG0000682	SCHMD04644, SCHMD08708, SCHMD25504, SCHMD17552, SCHMD21787, SCHMD07246, SCHMD25376, SCHMD05512	OFUSG06498.1.p1
OG0000683	SCHMD21601	OFUSG25839.2.p1, OFUSG25839.1.p1
OG0000684	SCHMD07403	OFUSG20203.4.p1, OFUSG20203.1.p1, OFUSG20203.2.p1, OFUSG20203.5.p1, OFUSG20203.3.p1
OG0000685	SCHMD02797, SCHMD09882, SCHMD09879, SCHMD09881	OFUSG07501.2.p1, OFUSG07501.4.p1, OFUSG07501.3.p1, OFUSG07501.5.p1, OFUSG07501.1.p1
OG0000688	SCHMD13264	OFUSG10559.1.p1
OG0000690	SCHMD24354	OFUSG21408.1.p1
OG0000690	SCHMD17313, SCHMD21259, SCHMD18093	OFUSG00182.1.p1
OG0000692	SCHMD11826	OFUSG17216.1.p1
OG0000692	SCHMD02580	OFUSG22030.1.p1, OFUSG22031.2.p1, OFUSG22031.1.p1
OG0000694	SCHMD02121, SCHMD02119	OFUSG08082.1.p1
OG0000695	SCHMD03466	OFUSG24909.1.p1
OG0000695	SCHMD25508	OFUSG03580.2.p1, OFUSG03580.1.p1
OG0000696	SCHMD17223, SCHMD17224, SCHMD29303	OFUSG17219.1.p1
OG0000696	SCHMD10590	OFUSG06947.1.p1
OG0000697	SCHMD10349, SCHMD08041	OFUSG06460.1.p1, OFUSG06460.3.p1, OFUSG06460.4.p1, OFUSG06460.2.p1
OG0000698	SCHMD15424	OFUSG11683.1.p1
OG0000699	SCHMD20380, SCHMD24169, SCHMD20675, SCHMD24967	OFUSG11422.1.p1
OG0000701	SCHMD15836	OFUSG09694.1.p1, OFUSG26676.1.p1, OFUSG19007.2.p1, OFUSG19007.4.p1, OFUSG19007.1.p1, OFUSG19007.3.p1, OFUSG09370.1.p1
OG0000702	SCHMD21765, SCHMD21766	OFUSG04071.1.p1, OFUSG04071.2.p1, OFUSG04071.5.p1, OFUSG04071.4.p1, OFUSG04071.3.p1
OG0000703	SCHMD03880	OFUSG18539.1.p1
OG0000706	SCHMD26259, SCHMD27843	OFUSG06700.1.p1
OG0000708	SCHMD25653	OFUSG21283.1.p1
OG0000709	SCHMD18124	OFUSG21845.2.p1, OFUSG21845.1.p1
OG0000709	SCHMD20599, SCHMD21920	OFUSG06507.1.p1
OG0000710	SCHMD02362, SCHMD00177, SCHMD02354, SCHMD10827, SCHMD18803, SCHMD02525, SCHMD27616, SCHMD13241	OFUSG06971.1.p1, OFUSG24793.2.p1, OFUSG24793.1.p1
OG0000711	SCHMD16082	OFUSG00761.1.p1
OG0000711	SCHMD02785	OFUSG00164.1.p1
OG0000712	SCHMD23626	OFUSG02312.2.p1, OFUSG02312.1.p1
OG0000713	SCHMD17095	OFUSG13986.1.p1
OG0000716	SCHMD04462, SCHMD22884, SCHMD19144, SCHMD07207, SCHMD17723	OFUSG00381.1.p1
OG0000717	SCHMD26760, SCHMD12553	OFUSG07273.3.p1, OFUSG07273.1.p1, OFUSG07273.2.p1, OFUSG07273.4.p1, OFUSG07273.5.p1
OG0000718	SCHMD24218, SCHMD05666, SCHMD25000, SCHMD11831	OFUSG19609.1.p1, OFUSG19609.2.p1
OG0000721	SCHMD15260, SCHMD29752, SCHMD09543	OFUSG22702.2.p1, OFUSG22702.1.p1, OFUSG01480.1.p1, OFUSG01480.2.p1
OG0000722	SCHMD24922, SCHMD24923, SCHMD24635, SCHMD22124	OFUSG11385.1.p1
OG0000722	SCHMD23554, SCHMD18534, SCHMD17531, SCHMD00837, SCHMD05194, SCHMD15343, SCHMD28550	OFUSG17120.1.p1, OFUSG17120.2.p1
OG0000724	SCHMD14292, SCHMD17982, SCHMD00128, SCHMD07525, SCHMD08666	OFUSG12294.1.p1, OFUSG12294.2.p1
OG0000725	SCHMD11698	OFUSG07689.1.p1
OG0000725	SCHMD23954	OFUSG07873.1.p1
OG0000730	SCHMD22617, SCHMD17182, SCHMD08320, SCHMD02965	OFUSG16513.1.p1
OG0000731	SCHMD03063	OFUSG14224.4.p1, OFUSG14224.1.p1, OFUSG14224.2.p1, OFUSG14224.3.p1, OFUSG14224.5.p1
OG0000732	SCHMD09651	OFUSG24914.1.p1
OG0000732	SCHMD05249	OFUSG26355.1.p1, OFUSG26355.2.p1
OG0000733	SCHMD28225, SCHMD15626	OFUSG22012.1.p1
OG0000733	SCHMD13904, SCHMD02163	OFUSG11826.1.p1
OG0000734	SCHMD11583, SCHMD14768, SCHMD09332, SCHMD02937, SCHMD07242, SCHMD04118, SCHMD01513, SCHMD07878, SCHMD24039, SCHMD13942, SCHMD22315, SCHMD14455, SCHMD27004, SCHMD20850, SCHMD13509, SCHMD10084, SCHMD08723, SCHMD14485, SCHMD25295, SCHMD26519, SCHMD04103, SCHMD26949, SCHMD09270, SCHMD20387, SCHMD03648, SCHMD09683, SCHMD10543, SCHMD08018, SCHMD27636, SCHMD18698, SCHMD07342, SCHMD09685, SCHMD09684, SCHMD15319, SCHMD24961, SCHMD26040, SCHMD09274, SCHMD04119	OFUSG08307.1.p1
OG0000735	SCHMD07620	OFUSG16966.1.p1, OFUSG16966.2.p1
OG0000740	SCHMD13587	OFUSG16696.1.p1
OG0000740	SCHMD16462	OFUSG17833.1.p1
OG0000745	SCHMD29471	OFUSG11725.1.p1
OG0000748	SCHMD01969	OFUSG04648.1.p1
OG0000748	SCHMD06828, SCHMD06887, SCHMD11059, SCHMD09770	OFUSG23274.1.p1
OG0000751	SCHMD12293, SCHMD13329, SCHMD18701, SCHMD04693, SCHMD17218, SCHMD17217, SCHMD03838, SCHMD03689, SCHMD13065, SCHMD14600, SCHMD18030, SCHMD13408	OFUSG16377.1.p1, OFUSG16377.2.p1
OG0000752	SCHMD03946	OFUSG06577.1.p1
OG0000752	SCHMD12645	OFUSG01816.1.p1
OG0000753	SCHMD14739	OFUSG03990.1.p1
OG0000753	SCHMD19308, SCHMD17874	OFUSG09322.2.p1, OFUSG09322.1.p1
OG0000754	SCHMD22890	OFUSG23658.1.p1, OFUSG04456.1.p1, OFUSG09883.1.p1, OFUSG00604.1.p1, OFUSG16482.1.p1
OG0000756	SCHMD14622, SCHMD25586, SCHMD05622, SCHMD05624, SCHMD06910, SCHMD05617, SCHMD05616, SCHMD01533, SCHMD01534, SCHMD01528	OFUSG25507.1.p1, OFUSG07827.1.p1
OG0000757	SCHMD13979, SCHMD10753, SCHMD18486	OFUSG15507.1.p1
OG0000758	SCHMD21135, SCHMD07281	OFUSG26565.1.p1
OG0000759	SCHMD21958	OFUSG04506.3.p1, OFUSG04506.2.p1, OFUSG04506.5.p1, OFUSG04506.4.p1, OFUSG04506.1.p1
OG0000763	SCHMD13003, SCHMD01910, SCHMD15104, SCHMD01491, SCHMD17696	OFUSG00086.1.p1
OG0000763	SCHMD22978, SCHMD08138	OFUSG08828.1.p1
OG0000764	SCHMD28742, SCHMD23511, SCHMD24244, SCHMD21888, SCHMD26666, SCHMD07034, SCHMD08608, SCHMD28689, SCHMD25300, SCHMD02459, SCHMD25681, SCHMD09369, SCHMD23779, SCHMD28766, SCHMD27828, SCHMD23678, SCHMD14324, SCHMD10398, SCHMD24976, SCHMD27971, SCHMD13312, SCHMD23780, SCHMD06680, SCHMD23827, SCHMD00480, SCHMD05233, SCHMD03304, SCHMD14872, SCHMD00676, SCHMD21663, SCHMD05848, SCHMD29675, SCHMD28783, SCHMD06421, SCHMD26848, SCHMD12846	OFUSG08398.1.p1
OG0000765	SCHMD21723, SCHMD22880	OFUSG21598.1.p1, OFUSG21598.2.p1
OG0000766	SCHMD07087	OFUSG19864.1.p1
OG0000766	SCHMD23662, SCHMD13714, SCHMD13716, SCHMD13715, SCHMD28470, SCHMD22621, SCHMD06546	OFUSG25482.1.p1, OFUSG25482.4.p1, OFUSG25482.3.p1, OFUSG25482.2.p1
OG0000768	SCHMD13165, SCHMD22067	OFUSG19400.2.p1, OFUSG19400.1.p1
OG0000772	SCHMD27339, SCHMD28581	OFUSG19486.1.p1
OG0000772	SCHMD07550, SCHMD11404	OFUSG02068.1.p1
OG0000772	SCHMD29807	OFUSG05265.1.p1
OG0000774	SCHMD04364	OFUSG18867.1.p1
OG0000776	SCHMD10487	OFUSG17361.1.p1, OFUSG17361.2.p1, OFUSG17632.1.p1
OG0000777	SCHMD17125	OFUSG10317.1.p1
OG0000778	SCHMD17919, SCHMD25026, SCHMD16452, SCHMD20513	OFUSG11453.1.p1
OG0000780	SCHMD13998, SCHMD18889	OFUSG11326.1.p1
OG0000780	SCHMD10385, SCHMD10386	OFUSG16803.1.p1
OG0000781	SCHMD21689, SCHMD23281, SCHMD14588, SCHMD16494	OFUSG00283.1.p1, OFUSG00284.1.p1, OFUSG01008.1.p1
OG0000782	SCHMD01655, SCHMD14818	OFUSG08693.1.p1
OG0000784	SCHMD19992, SCHMD27743	OFUSG06112.1.p1, OFUSG01425.1.p1, OFUSG01425.2.p1, OFUSG13540.1.p1
OG0000787	SCHMD22606, SCHMD20069, SCHMD13786	OFUSG11014.1.p1
OG0000788	SCHMD11830, SCHMD18844	OFUSG00699.1.p1
OG0000788	SCHMD06628	OFUSG19658.1.p1
OG0000791	SCHMD12437	OFUSG04398.4.p1, OFUSG04398.3.p1, OFUSG04398.2.p1, OFUSG04398.5.p1, OFUSG04398.1.p1
OG0000794	SCHMD10042	OFUSG08224.1.p1, OFUSG08224.2.p1
OG0000799	SCHMD17640	OFUSG06054.2.p1, OFUSG06054.1.p1, OFUSG06052.2.p1, OFUSG06052.1.p1
OG0000801	SCHMD09238	OFUSG04291.1.p1, OFUSG04291.2.p1
OG0000802	SCHMD10199	OFUSG21207.1.p1
OG0000803	SCHMD13498, SCHMD13620, SCHMD26336	OFUSG07577.1.p1
OG0000809	SCHMD21850, SCHMD00682	OFUSG17351.1.p1, OFUSG17351.2.p1
OG0000810	SCHMD03195, SCHMD03113	OFUSG13316.1.p1
OG0000810	SCHMD06140, SCHMD03114	OFUSG25434.3.p1, OFUSG25434.2.p1, OFUSG25434.1.p1
