Orthogroup	SCHMD	CAPO3
OG0000657	SCHMD18210	CAPO304462
OG0000660	SCHMD02770	CAPO304213
OG0000662	SCHMD04360, SCHMD08940, SCHMD24126, SCHMD23958, SCHMD03108, SCHMD03703, SCHMD08942, SCHMD05635	CAPO308235
OG0000663	SCHMD28509, SCHMD28508, SCHMD08739	CAPO303713
OG0000664	SCHMD04491, SCHMD14555, SCHMD04182	CAPO305353
OG0000665	SCHMD09294	CAPO304505, CAPO304163
OG0000666	SCHMD26735, SCHMD04900, SCHMD10850, SCHMD10849	CAPO306172
OG0000672	SCHMD10307, SCHMD15500	CAPO301072
OG0000672	SCHMD03901, SCHMD06456	CAPO301848
OG0000674	SCHMD14256, SCHMD27363, SCHMD28202	CAPO303746
OG0000676	SCHMD18867	CAPO304343, CAPO305288
OG0000676	SCHMD08131	CAPO300920, CAPO304680
OG0000683	SCHMD21601	CAPO304912
OG0000683	SCHMD28199, SCHMD24958	CAPO305392, CAPO303509
OG0000684	SCHMD07574, SCHMD07399, SCHMD07458, SCHMD23235, SCHMD27158, SCHMD07403	CAPO306227
OG0000690	SCHMD24354	CAPO306653
OG0000690	SCHMD17313, SCHMD21259, SCHMD18093	CAPO306445
OG0000691	SCHMD06271	CAPO301028
OG0000692	SCHMD24514, SCHMD18362	CAPO301383
OG0000692	SCHMD11826	CAPO306980
OG0000693	SCHMD13254	CAPO303822
OG0000694	SCHMD02121, SCHMD02119	CAPO302468
OG0000696	SCHMD17223, SCHMD17224, SCHMD29303	CAPO305456
OG0000696	SCHMD10590	CAPO301422
OG0000697	SCHMD11298, SCHMD10349, SCHMD08041	CAPO304466, CAPO306724
OG0000698	SCHMD15424	CAPO303921
OG0000699	SCHMD20380, SCHMD24169, SCHMD20675, SCHMD24967	CAPO306785, CAPO302735
OG0000701	SCHMD02913, SCHMD15835, SCHMD15836	CAPO306727
OG0000703	SCHMD16900, SCHMD27672, SCHMD19745, SCHMD27562, SCHMD13056, SCHMD14155, SCHMD02015, SCHMD21390, SCHMD19872, SCHMD13000, SCHMD28016, SCHMD02951, SCHMD22472, SCHMD05181, SCHMD19746, SCHMD15814, SCHMD02952, SCHMD15683, SCHMD03880, SCHMD12640, SCHMD26335, SCHMD23390, SCHMD20492	CAPO308078
OG0000706	SCHMD26259, SCHMD27843	CAPO301985
OG0000708	SCHMD25653	CAPO302130
OG0000709	SCHMD18124	CAPO305451
OG0000711	SCHMD16082, SCHMD02785	CAPO304713
OG0000713	SCHMD17095	CAPO302804
OG0000715	SCHMD26861, SCHMD05460	CAPO305197
OG0000716	SCHMD04462, SCHMD22884, SCHMD19144, SCHMD07207, SCHMD17723	CAPO306457, CAPO306957
OG0000717	SCHMD26760, SCHMD12553	CAPO302989
OG0000718	SCHMD05665, SCHMD05692, SCHMD05688, SCHMD24218, SCHMD05666, SCHMD25000, SCHMD11831, SCHMD03691	CAPO301597, CAPO306021
OG0000721	SCHMD15260, SCHMD29752, SCHMD09543	CAPO305154, CAPO301906
OG0000724	SCHMD01876, SCHMD11468, SCHMD08667, SCHMD14292, SCHMD17982, SCHMD00128, SCHMD07525, SCHMD08666	CAPO300826
OG0000724	SCHMD07332	CAPO302469
OG0000731	SCHMD03063	CAPO304569
OG0000732	SCHMD09651	CAPO304867
OG0000732	SCHMD05249	CAPO302445
OG0000733	SCHMD15931, SCHMD28225, SCHMD15626, SCHMD13904, SCHMD02163	CAPO301695
OG0000735	SCHMD07620	CAPO302824
OG0000736	SCHMD03316, SCHMD03312, SCHMD03313, SCHMD28786, SCHMD03315	CAPO306770
OG0000737	SCHMD13872, SCHMD06037, SCHMD06036, SCHMD13871, SCHMD06038, SCHMD26765, SCHMD20700, SCHMD19426, SCHMD19425, SCHMD16484, SCHMD24684	CAPO304586
OG0000743	SCHMD08529, SCHMD21398	CAPO306268
OG0000748	SCHMD01969, SCHMD06828, SCHMD06887, SCHMD11059, SCHMD09770, SCHMD25521, SCHMD26898, SCHMD16627	CAPO301276
OG0000751	SCHMD12293, SCHMD13329, SCHMD18701, SCHMD04693, SCHMD17218, SCHMD17217, SCHMD03838, SCHMD03689, SCHMD13065, SCHMD14600, SCHMD18030, SCHMD13408	CAPO302771
OG0000752	SCHMD12645	CAPO300507
OG0000753	SCHMD14739	CAPO301378
OG0000754	SCHMD24347, SCHMD16665, SCHMD17332, SCHMD18167, SCHMD28885, SCHMD20683, SCHMD22890, SCHMD17551	CAPO300911, CAPO306986, CAPO303353
OG0000757	SCHMD13979, SCHMD10753, SCHMD18486	CAPO307096
OG0000758	SCHMD21135, SCHMD07281	CAPO305275
OG0000759	SCHMD22205, SCHMD21958	CAPO300473
OG0000765	SCHMD22312, SCHMD21723, SCHMD22880	CAPO301853
OG0000765	SCHMD28655, SCHMD19641	CAPO301648
OG0000766	SCHMD09465, SCHMD07087, SCHMD23662, SCHMD13714, SCHMD13716, SCHMD13715, SCHMD28470, SCHMD22621, SCHMD06546	CAPO300388
OG0000767	SCHMD28206, SCHMD09263, SCHMD04586, SCHMD04585	CAPO305367
OG0000768	SCHMD13165, SCHMD22067	CAPO302005, CAPO306612, CAPO302492, CAPO307738, CAPO305672, CAPO305904
OG0000772	SCHMD07550, SCHMD11404	CAPO304708, CAPO302709
OG0000774	SCHMD13406, SCHMD04364	CAPO306995
OG0000775	SCHMD02633, SCHMD02632	CAPO306201
OG0000776	SCHMD10487	CAPO307356
OG0000777	SCHMD04489	CAPO301548
OG0000782	SCHMD18810, SCHMD13192, SCHMD14543	CAPO303574
OG0000788	SCHMD11830, SCHMD18844, SCHMD06628	CAPO304590
OG0000791	SCHMD12437	CAPO304699
OG0000792	SCHMD14957, SCHMD14636, SCHMD23892	CAPO305838
OG0000793	SCHMD22428, SCHMD23980, SCHMD15261, SCHMD00689, SCHMD02469, SCHMD09415, SCHMD08316	CAPO301604
OG0000794	SCHMD10042	CAPO304031
OG0000796	SCHMD27129, SCHMD07584, SCHMD10018, SCHMD09905	CAPO301075
OG0000796	SCHMD23450	CAPO301385
OG0000797	SCHMD19270, SCHMD16320	CAPO307534
OG0000803	SCHMD13498, SCHMD13620, SCHMD26336	CAPO301668
OG0000810	SCHMD03195, SCHMD03113, SCHMD06140, SCHMD03114	CAPO305098, CAPO306601
OG0000813	SCHMD04629, SCHMD20034, SCHMD10317, SCHMD04366, SCHMD20035, SCHMD10316, SCHMD26060	CAPO300040, CAPO308168
OG0000814	SCHMD03060, SCHMD13676, SCHMD13183, SCHMD07986, SCHMD07352	CAPO307227
OG0000817	SCHMD22983	CAPO308202
OG0000818	SCHMD25196, SCHMD21411	CAPO307028
OG0000820	SCHMD05006, SCHMD21406	CAPO303441
OG0000820	SCHMD19766	CAPO303993, CAPO304861, CAPO306914, CAPO301340, CAPO300173, CAPO302332, CAPO305090, CAPO300452
OG0000824	SCHMD13102, SCHMD05362, SCHMD07823, SCHMD24327, SCHMD27575, SCHMD22375, SCHMD26863, SCHMD23932, SCHMD19546, SCHMD05363, SCHMD16880	CAPO303788
OG0000826	SCHMD01695, SCHMD01697, SCHMD12736, SCHMD10190, SCHMD02301, SCHMD07205, SCHMD20648, SCHMD19536, SCHMD29770	CAPO306060
OG0000828	SCHMD18098, SCHMD08298	CAPO306023
OG0000828	SCHMD07805, SCHMD08624	CAPO307153
OG0000834	SCHMD11223, SCHMD19332, SCHMD16052	CAPO306233
OG0000836	SCHMD23242	CAPO306019, CAPO307821
OG0000837	SCHMD09523, SCHMD05554, SCHMD04696, SCHMD00842, SCHMD03083	CAPO308104, CAPO303511
OG0000841	SCHMD01918, SCHMD21459	CAPO300281
OG0000844	SCHMD01709	CAPO306591, CAPO307267
OG0000847	SCHMD00410	CAPO301759, CAPO307057
OG0000847	SCHMD03587, SCHMD22549	CAPO308298
OG0000849	SCHMD25311, SCHMD22953, SCHMD26456, SCHMD01276, SCHMD04229, SCHMD16960, SCHMD16685	CAPO304492
OG0000850	SCHMD10966, SCHMD04706, SCHMD04753, SCHMD01633, SCHMD04752	CAPO302141
OG0000850	SCHMD26000, SCHMD27633	CAPO306299
OG0000851	SCHMD21876, SCHMD17205	CAPO304092
OG0000857	SCHMD04157, SCHMD10825, SCHMD22599, SCHMD10824	CAPO303022
OG0000858	SCHMD23221, SCHMD20483, SCHMD08351	CAPO302161
OG0000858	SCHMD23222, SCHMD16324, SCHMD22095, SCHMD27060	CAPO306693
OG0000860	SCHMD05987	CAPO306338
OG0000871	SCHMD06938	CAPO300407
OG0000872	SCHMD07553	CAPO308293
OG0000873	SCHMD02654, SCHMD05828, SCHMD02657, SCHMD05831, SCHMD17268, SCHMD02656, SCHMD05830, SCHMD02659, SCHMD16630, SCHMD13026, SCHMD17269, SCHMD02655, SCHMD05829	CAPO307878
OG0000875	SCHMD10815, SCHMD17655, SCHMD18552, SCHMD00030, SCHMD10336	CAPO303418, CAPO302903
OG0000876	SCHMD01529	CAPO302150
OG0000879	SCHMD10640	CAPO301982
OG0000881	SCHMD04314, SCHMD09365, SCHMD01117, SCHMD08924	CAPO301333, CAPO300020
OG0000881	SCHMD25283, SCHMD17841, SCHMD18605, SCHMD20926, SCHMD25363	CAPO308042
OG0000888	SCHMD01724	CAPO300320
OG0000888	SCHMD23123	CAPO301794
OG0000889	SCHMD00830, SCHMD04643	CAPO302257
OG0000889	SCHMD02281, SCHMD02130	CAPO304144
OG0000890	SCHMD19625, SCHMD11513, SCHMD25560, SCHMD16414	CAPO304283
OG0000894	SCHMD05374	CAPO300968, CAPO300967
OG0000894	SCHMD11594, SCHMD05061	CAPO301227
OG0000896	SCHMD08034	CAPO301183
OG0000896	SCHMD03189	CAPO304049
OG0000897	SCHMD05382	CAPO306059
OG0000899	SCHMD22285, SCHMD13459	CAPO300655
OG0000904	SCHMD20433, SCHMD03539	CAPO305539
OG0000905	SCHMD17642, SCHMD19023	CAPO303384
OG0000909	SCHMD05694, SCHMD03729	CAPO300878
OG0000911	SCHMD02390, SCHMD02388	CAPO302608
OG0000913	SCHMD10820, SCHMD18663, SCHMD25146, SCHMD27220	CAPO300255
OG0000914	SCHMD13079, SCHMD10834, SCHMD13078	CAPO302002
OG0000915	SCHMD14220, SCHMD09039, SCHMD01684	CAPO306555
OG0000921	SCHMD07722	CAPO300272
OG0000921	SCHMD16276	CAPO306351
OG0000925	SCHMD01205, SCHMD18689, SCHMD00501, SCHMD05937	CAPO304563
OG0000929	SCHMD00375, SCHMD08839	CAPO303494
OG0000931	SCHMD02356	CAPO303586
OG0000933	SCHMD03632, SCHMD07102, SCHMD01828, SCHMD29251, SCHMD08939	CAPO304170
OG0000934	SCHMD07111, SCHMD08216	CAPO306946, CAPO300619
OG0000935	SCHMD09505, SCHMD18565, SCHMD18664	CAPO307401
OG0000944	SCHMD15750	CAPO304090
OG0000952	SCHMD25772, SCHMD22150, SCHMD05274	CAPO300179
OG0000954	SCHMD05029, SCHMD08968, SCHMD13763	CAPO303535
OG0000954	SCHMD05469, SCHMD02974	CAPO305800
OG0000955	SCHMD06645, SCHMD03890, SCHMD04591	CAPO303429
OG0000955	SCHMD06275	CAPO305513
OG0000955	SCHMD20742	CAPO301514
OG0000960	SCHMD05680, SCHMD08670, SCHMD05681, SCHMD12110	CAPO304728
OG0000963	SCHMD22298, SCHMD11708, SCHMD04476	CAPO303990
OG0000965	SCHMD22316, SCHMD15133, SCHMD13697, SCHMD12517	CAPO302148
OG0000967	SCHMD05844, SCHMD03950	CAPO304786
OG0000974	SCHMD24665, SCHMD24853, SCHMD26881	CAPO306940
OG0000978	SCHMD15268, SCHMD25301, SCHMD25194	CAPO306307
OG0000982	SCHMD26054, SCHMD08717	CAPO301371
OG0000982	SCHMD22914	CAPO305575
OG0000984	SCHMD02865, SCHMD00646	CAPO307940
OG0000985	SCHMD18627, SCHMD20480, SCHMD13371, SCHMD11840	CAPO304864
OG0000986	SCHMD25195, SCHMD27305, SCHMD22933, SCHMD10755, SCHMD11238, SCHMD09897	CAPO305058
OG0000987	SCHMD03090, SCHMD13202, SCHMD12033, SCHMD17704, SCHMD13203, SCHMD12032, SCHMD16148, SCHMD13314, SCHMD17705	CAPO306365
OG0000992	SCHMD08111	CAPO308244
OG0000993	SCHMD03348	CAPO303930
OG0000994	SCHMD16610, SCHMD07202, SCHMD11541, SCHMD07203	CAPO306999
OG0000997	SCHMD28749	CAPO306501
OG0000998	SCHMD08664, SCHMD08663	CAPO302508
OG0000999	SCHMD24575, SCHMD22089, SCHMD08206, SCHMD16857, SCHMD24576, SCHMD11146, SCHMD08208	CAPO303484, CAPO302236
OG0001006	SCHMD17048, SCHMD11571	CAPO308145
OG0001009	SCHMD19415, SCHMD09472	CAPO305830
OG0001015	SCHMD07353, SCHMD06693, SCHMD06692	CAPO304771
OG0001016	SCHMD23273, SCHMD15080	CAPO300038
OG0001016	SCHMD25548, SCHMD21254	CAPO302596
OG0001024	SCHMD01762, SCHMD03107	CAPO300862
OG0001033	SCHMD11399, SCHMD23908	CAPO305083
OG0001033	SCHMD10492	CAPO300376
OG0001036	SCHMD03745, SCHMD20768, SCHMD09235, SCHMD05156	CAPO301917
OG0001037	SCHMD28302, SCHMD23424, SCHMD16427, SCHMD02530, SCHMD07259	CAPO306107
OG0001039	SCHMD01765, SCHMD01764	CAPO305080
OG0001042	SCHMD05094, SCHMD04032, SCHMD11839	CAPO301530
OG0001046	SCHMD05104, SCHMD02045, SCHMD11124	CAPO304357
OG0001048	SCHMD12160	CAPO306868
OG0001050	SCHMD04667	CAPO306892
OG0001050	SCHMD03458	CAPO306760
OG0001060	SCHMD12337, SCHMD14762, SCHMD05051	CAPO302777
OG0001062	SCHMD17907, SCHMD23601, SCHMD22530, SCHMD24440, SCHMD23600, SCHMD17910	CAPO300111
OG0001064	SCHMD00355, SCHMD00354	CAPO304594
OG0001066	SCHMD24046, SCHMD10767	CAPO305156
OG0001072	SCHMD24459, SCHMD27893	CAPO304331
OG0001073	SCHMD00478, SCHMD00479, SCHMD05949	CAPO307880
OG0001075	SCHMD20153, SCHMD20154, SCHMD04393, SCHMD13181, SCHMD04392, SCHMD00196, SCHMD16771	CAPO305658
OG0001076	SCHMD07131	CAPO306580
OG0001078	SCHMD20731, SCHMD25766, SCHMD19216, SCHMD23006	CAPO300211
OG0001081	SCHMD03711, SCHMD03710	CAPO302911
OG0001082	SCHMD14053, SCHMD28613, SCHMD18679, SCHMD25513	CAPO306944
OG0001083	SCHMD07690	CAPO306339
OG0001085	SCHMD03894	CAPO305936
OG0001092	SCHMD18000, SCHMD17999, SCHMD18945, SCHMD28277, SCHMD28278, SCHMD18946	CAPO303664
OG0001096	SCHMD11467, SCHMD14874	CAPO308143
OG0001101	SCHMD06917, SCHMD18684, SCHMD23170, SCHMD18685	CAPO301529
OG0001104	SCHMD11885, SCHMD14895, SCHMD18516, SCHMD03705	CAPO306923
OG0001106	SCHMD22581, SCHMD22582	CAPO307850
OG0001108	SCHMD08133	CAPO300863
OG0001113	SCHMD04717	CAPO302840
OG0001113	SCHMD08665, SCHMD03992	CAPO304589
OG0001114	SCHMD18228, SCHMD14100, SCHMD15222	CAPO307418
OG0001116	SCHMD19491, SCHMD04023	CAPO303103
OG0001121	SCHMD18066, SCHMD06995, SCHMD25343, SCHMD23015, SCHMD06994	CAPO305030
OG0001123	SCHMD02756	CAPO305010
OG0001123	SCHMD02755, SCHMD22573, SCHMD28528, SCHMD01636, SCHMD08373	CAPO307047
OG0001124	SCHMD24013	CAPO307326
OG0001126	SCHMD17193, SCHMD24674, SCHMD17192	CAPO301067
OG0001128	SCHMD12319, SCHMD08323	CAPO301710
OG0001129	SCHMD27406, SCHMD15504, SCHMD18282, SCHMD05846	CAPO306230
OG0001130	SCHMD04030, SCHMD13287, SCHMD04031	CAPO305636
OG0001133	SCHMD18643	CAPO302577
OG0001133	SCHMD29299, SCHMD19714	CAPO300360
OG0001135	SCHMD28946, SCHMD01011, SCHMD22792	CAPO304787
OG0001136	SCHMD09640, SCHMD08874, SCHMD07287, SCHMD16997, SCHMD26014, SCHMD23231	CAPO301949
OG0001137	SCHMD17448, SCHMD26312, SCHMD05464, SCHMD01243	CAPO308164
OG0001139	SCHMD00334	CAPO300537
OG0001140	SCHMD22679, SCHMD17712, SCHMD14631, SCHMD02111, SCHMD16673, SCHMD18031, SCHMD24981, SCHMD17350, SCHMD11695, SCHMD21848, SCHMD22963, SCHMD14630, SCHMD17713, SCHMD26239, SCHMD04472	CAPO308326
OG0001142	SCHMD12785, SCHMD19807, SCHMD09379	CAPO304790
OG0001143	SCHMD05178	CAPO304300
OG0001146	SCHMD06189	CAPO300511
OG0001148	SCHMD02133, SCHMD02134, SCHMD22264, SCHMD25588	CAPO302512
OG0001149	SCHMD16336, SCHMD29633	CAPO305549
OG0001156	SCHMD11390	CAPO306962
OG0001158	SCHMD00377, SCHMD06105, SCHMD01514, SCHMD06104, SCHMD00376	CAPO302639
OG0001160	SCHMD18251, SCHMD20811	CAPO307697
OG0001160	SCHMD20666	CAPO304743
OG0001161	SCHMD27832, SCHMD10429, SCHMD10428, SCHMD10427, SCHMD25982, SCHMD11638	CAPO301112
OG0001164	SCHMD22065	CAPO304142
OG0001167	SCHMD08525, SCHMD06703, SCHMD13691, SCHMD08043, SCHMD04406	CAPO307849
OG0001168	SCHMD13073	CAPO301546
OG0001169	SCHMD01218, SCHMD01217	CAPO301751
OG0001171	SCHMD07172	CAPO303195, CAPO305267
OG0001175	SCHMD29294, SCHMD29072, SCHMD18473	CAPO304133, CAPO306812
OG0001179	SCHMD26379, SCHMD19758, SCHMD28127, SCHMD24134	CAPO300184
OG0001181	SCHMD21797	CAPO301983
OG0001183	SCHMD25354, SCHMD18351, SCHMD24868, SCHMD15726, SCHMD18352, SCHMD01499, SCHMD23054, SCHMD29166, SCHMD15725, SCHMD02325	CAPO301096
OG0001184	SCHMD09255, SCHMD12752	CAPO306392
OG0001185	SCHMD23236	CAPO303366
OG0001186	SCHMD20610	CAPO302303
OG0001186	SCHMD05037	CAPO307451
OG0001188	SCHMD18590, SCHMD05961, SCHMD05963, SCHMD14167	CAPO300558
OG0001191	SCHMD08591	CAPO301625
OG0001197	SCHMD06230	CAPO306552
OG0001199	SCHMD17507, SCHMD14047, SCHMD17830, SCHMD16496	CAPO305690
OG0001201	SCHMD18644	CAPO302220
OG0001207	SCHMD02145, SCHMD05067, SCHMD08759, SCHMD15345	CAPO304292
OG0001207	SCHMD07731	CAPO305627, CAPO302093
OG0001208	SCHMD11671, SCHMD13440, SCHMD22806	CAPO300830
OG0001209	SCHMD22043, SCHMD28492	CAPO302948
OG0001210	SCHMD19442, SCHMD19441	CAPO300919
OG0001210	SCHMD03203	CAPO302732
OG0001210	SCHMD03204	CAPO302555
OG0001212	SCHMD25299	CAPO305298
OG0001213	SCHMD01086	CAPO304729
OG0001213	SCHMD23993, SCHMD21364, SCHMD26387, SCHMD21954, SCHMD22675	CAPO303632
OG0001214	SCHMD22221	CAPO304780
OG0001215	SCHMD25774	CAPO302583
OG0001216	SCHMD13349	CAPO307997
OG0001217	SCHMD18537, SCHMD21187, SCHMD21148	CAPO306810
OG0001218	SCHMD03256, SCHMD03255	CAPO307457
OG0001221	SCHMD16690, SCHMD16872	CAPO307765
OG0001226	SCHMD21222	CAPO307936
OG0001234	SCHMD01688, SCHMD19363	CAPO307897
OG0001241	SCHMD04757, SCHMD04223	CAPO303368
OG0001241	SCHMD16327	CAPO304888
OG0001247	SCHMD01541, SCHMD06119, SCHMD06121	CAPO303193, CAPO307423
OG0001248	SCHMD28672, SCHMD29190, SCHMD17657, SCHMD27420, SCHMD26376, SCHMD07280, SCHMD07279, SCHMD05075, SCHMD24460	CAPO303079
OG0001249	SCHMD01150, SCHMD03693, SCHMD01149	CAPO306922
OG0001250	SCHMD08101, SCHMD04347	CAPO302323
OG0001251	SCHMD18877, SCHMD19053, SCHMD14253, SCHMD20912, SCHMD12715	CAPO302019
OG0001254	SCHMD14258, SCHMD09217	CAPO307546
OG0001261	SCHMD04419, SCHMD13436	CAPO302839
OG0001262	SCHMD20259	CAPO301672
OG0001263	SCHMD17470	CAPO301777
OG0001267	SCHMD05399	CAPO307578
OG0001268	SCHMD03342, SCHMD05378, SCHMD01057, SCHMD24040	CAPO303692
OG0001271	SCHMD04304, SCHMD05357	CAPO302779
OG0001272	SCHMD27604, SCHMD21806, SCHMD22716, SCHMD09459	CAPO305566
OG0001273	SCHMD13838, SCHMD25918, SCHMD21739	CAPO301889
OG0001274	SCHMD04927, SCHMD06016	CAPO308194
OG0001278	SCHMD25706, SCHMD22381	CAPO306229
OG0001279	SCHMD06836	CAPO302733, CAPO303292
OG0001280	SCHMD09937, SCHMD20104, SCHMD05674, SCHMD11884	CAPO300326
OG0001281	SCHMD05572	CAPO304088, CAPO303543
OG0001282	SCHMD08026	CAPO305993
OG0001282	SCHMD08025	CAPO303595
OG0001284	SCHMD09316, SCHMD00434	CAPO300970
OG0001285	SCHMD13791	CAPO304179
OG0001286	SCHMD05790	CAPO303892
OG0001287	SCHMD07530	CAPO302822, CAPO304538
OG0001288	SCHMD25110, SCHMD25219, SCHMD07329, SCHMD24194, SCHMD28204	CAPO302651
OG0001291	SCHMD20641, SCHMD11793	CAPO300695
OG0001294	SCHMD26145, SCHMD28915, SCHMD26181, SCHMD17649, SCHMD26146, SCHMD20417, SCHMD20418	CAPO304223
OG0001296	SCHMD20454, SCHMD11060, SCHMD07042, SCHMD11383	CAPO308260
OG0001297	SCHMD10762	CAPO305437
OG0001300	SCHMD00214	CAPO301019
OG0001300	SCHMD19001, SCHMD09152, SCHMD17144, SCHMD02202	CAPO300154
OG0001302	SCHMD13885	CAPO302654
OG0001302	SCHMD08617, SCHMD27826	CAPO302215
OG0001304	SCHMD00876, SCHMD13840	CAPO302419
OG0001308	SCHMD08489	CAPO300864
OG0001308	SCHMD08020	CAPO300432
OG0001310	SCHMD19422	CAPO305405
OG0001310	SCHMD09167	CAPO300151
OG0001311	SCHMD05801	CAPO300585
OG0001312	SCHMD02056, SCHMD02055	CAPO304811
OG0001314	SCHMD22009, SCHMD21479	CAPO306642
OG0001318	SCHMD07054	CAPO306280
OG0001318	SCHMD16802	CAPO303315
OG0001319	SCHMD14764	CAPO304915
OG0001320	SCHMD01321, SCHMD01324, SCHMD01322	CAPO307498
OG0001320	SCHMD05527	CAPO304958
OG0001321	SCHMD23818	CAPO301358
OG0001322	SCHMD09506	CAPO302022
OG0001323	SCHMD18380, SCHMD28053, SCHMD14852, SCHMD22300	CAPO301735
OG0001325	SCHMD05728	CAPO304115
OG0001326	SCHMD29052, SCHMD26738, SCHMD21907, SCHMD17595, SCHMD08761, SCHMD19423	CAPO306149
OG0001327	SCHMD18386, SCHMD19068, SCHMD08653, SCHMD04846, SCHMD02379	CAPO305568
OG0001328	SCHMD23086	CAPO302287
OG0001332	SCHMD04204, SCHMD03025, SCHMD08288, SCHMD29775, SCHMD19949	CAPO305487
OG0001333	SCHMD15673, SCHMD23155	CAPO301191, CAPO305523
OG0001335	SCHMD24476	CAPO306508
OG0001348	SCHMD24331, SCHMD29399	CAPO304908
OG0001350	SCHMD16735, SCHMD15485	CAPO305116, CAPO303054
OG0001350	SCHMD17071, SCHMD29804, SCHMD10618	CAPO307484
OG0001353	SCHMD10586	CAPO303379
OG0001355	SCHMD23781	CAPO307732
OG0001359	SCHMD11507, SCHMD14841	CAPO303726
OG0001361	SCHMD25345	CAPO306689
OG0001364	SCHMD00323, SCHMD27572, SCHMD21273	CAPO307249
OG0001367	SCHMD04624	CAPO304628
OG0001370	SCHMD12004	CAPO305064
OG0001370	SCHMD18225, SCHMD11963	CAPO306956
OG0001372	SCHMD12917, SCHMD12353, SCHMD23970	CAPO301063
OG0001372	SCHMD29815	CAPO306529
OG0001375	SCHMD18333	CAPO300461
OG0001378	SCHMD11687, SCHMD12504, SCHMD07107	CAPO302717
OG0001379	SCHMD15234	CAPO304865
OG0001383	SCHMD18571, SCHMD21036, SCHMD28197, SCHMD18572	CAPO300442
OG0001386	SCHMD24943, SCHMD20670, SCHMD14052, SCHMD07967, SCHMD00663, SCHMD14821, SCHMD21484, SCHMD16845, SCHMD00665, SCHMD00661, SCHMD00664, SCHMD14822, SCHMD16844	CAPO305078
OG0001387	SCHMD01336	CAPO306110, CAPO306288
OG0001389	SCHMD02030	CAPO307975, CAPO307908
OG0001397	SCHMD08548, SCHMD08095	CAPO306119
OG0001399	SCHMD20091, SCHMD16432	CAPO304148
OG0001400	SCHMD26317	CAPO305841
OG0001404	SCHMD14856, SCHMD14854, SCHMD14853	CAPO302450
OG0001405	SCHMD16175	CAPO302942
OG0001406	SCHMD07383, SCHMD01809, SCHMD13359, SCHMD19152	CAPO305604
OG0001408	SCHMD23659, SCHMD15840, SCHMD15841	CAPO304468
OG0001409	SCHMD20637, SCHMD16856, SCHMD04792	CAPO300832
OG0001410	SCHMD09832	CAPO304381
OG0001410	SCHMD09687	CAPO303461
OG0001411	SCHMD13417, SCHMD19317, SCHMD13416, SCHMD19137	CAPO301653
OG0001412	SCHMD13223	CAPO304843
OG0001413	SCHMD02827	CAPO300375
OG0001414	SCHMD19649	CAPO303273
OG0001415	SCHMD01522, SCHMD16066, SCHMD16500, SCHMD15947	CAPO307087
OG0001416	SCHMD01722	CAPO300753
OG0001421	SCHMD14208	CAPO305364
OG0001422	SCHMD21796	CAPO300002
OG0001422	SCHMD18897, SCHMD04981, SCHMD04982	CAPO308345, CAPO303120
OG0001424	SCHMD23260, SCHMD24676	CAPO304776
OG0001425	SCHMD16287, SCHMD09188, SCHMD09187	CAPO302275, CAPO302850
OG0001426	SCHMD02033	CAPO302841
OG0001427	SCHMD04595, SCHMD03939, SCHMD00575	CAPO302723
OG0001428	SCHMD09370, SCHMD15075, SCHMD06126, SCHMD06125	CAPO303027
OG0001430	SCHMD00026	CAPO300562
OG0001434	SCHMD28634	CAPO304740
OG0001440	SCHMD08958, SCHMD08957	CAPO305450
OG0001445	SCHMD04082	CAPO301958
OG0001447	SCHMD14223	CAPO307093
OG0001449	SCHMD11900	CAPO306822
OG0001451	SCHMD11378, SCHMD13989, SCHMD09385, SCHMD09340	CAPO300036
OG0001452	SCHMD18703, SCHMD12394	CAPO301933
OG0001452	SCHMD18702	CAPO304964
OG0001454	SCHMD21412, SCHMD12857, SCHMD10712, SCHMD05935, SCHMD27841, SCHMD03145	CAPO303806
OG0001456	SCHMD22269, SCHMD26154	CAPO307965
OG0001459	SCHMD26904, SCHMD06959	CAPO307035
OG0001460	SCHMD10311, SCHMD23647	CAPO300988
OG0001460	SCHMD10312, SCHMD23646	CAPO305875
OG0001461	SCHMD05456	CAPO301012
OG0001461	SCHMD13257	CAPO305472
OG0001466	SCHMD12996, SCHMD13074, SCHMD25318, SCHMD17860, SCHMD03273	CAPO305831
OG0001467	SCHMD12343, SCHMD19099, SCHMD25578, SCHMD23876, SCHMD14454, SCHMD14218, SCHMD09966	CAPO304882
OG0001468	SCHMD00390	CAPO306475
OG0001469	SCHMD09394	CAPO306371
OG0001469	SCHMD24067, SCHMD10449	CAPO301724
OG0001470	SCHMD02321, SCHMD02318	CAPO305163
OG0001472	SCHMD12948	CAPO300986
OG0001472	SCHMD13936, SCHMD13397, SCHMD27432	CAPO305311
OG0001474	SCHMD11576, SCHMD26877	CAPO306191
OG0001475	SCHMD01990, SCHMD01568, SCHMD01569, SCHMD13677, SCHMD05348	CAPO305552
OG0001478	SCHMD22576, SCHMD26017	CAPO303095
OG0001479	SCHMD12413, SCHMD08686	CAPO306515
OG0001482	SCHMD02244, SCHMD09593, SCHMD10073, SCHMD09185, SCHMD02242	CAPO307610
OG0001484	SCHMD14277	CAPO301411
OG0001485	SCHMD18182	CAPO305378, CAPO305590
OG0001490	SCHMD08286, SCHMD07637	CAPO305433
