Orthogroup	SCHMD	ORYLA
OG0000999	SCHMD16857, SCHMD24576, SCHMD11146, SCHMD08208	ORYLA17143, ORYLA07960, ORYLA15047
OG0001000	SCHMD22725	ORYLA09416, ORYLA00982, ORYLA11450
OG0001000	SCHMD28387	ORYLA02107, ORYLA04112, ORYLA03296
OG0001001	SCHMD07356	ORYLA04326, ORYLA07294
OG0001002	SCHMD17610	ORYLA07974, ORYLA08682
OG0001003	SCHMD21687, SCHMD24830	ORYLA17863, ORYLA04404
OG0001005	SCHMD03526	ORYLA18997
OG0001006	SCHMD17048, SCHMD11571	ORYLA00587
OG0001007	SCHMD05810	ORYLA17844, ORYLA13224, ORYLA17845
OG0001008	SCHMD04857	ORYLA10968, ORYLA12088
OG0001011	SCHMD16803, SCHMD21485, SCHMD15129, SCHMD01138, SCHMD09256, SCHMD04133, SCHMD16573	ORYLA04068, ORYLA03585, ORYLA00313, ORYLA07327, ORYLA09923
OG0001013	SCHMD14534, SCHMD13659, SCHMD16121, SCHMD28755, SCHMD14533	ORYLA17033, ORYLA00289, ORYLA00568, ORYLA16911, ORYLA05815, ORYLA01878, ORYLA08175, ORYLA16273
OG0001015	SCHMD06693, SCHMD06692	ORYLA16717, ORYLA08292
OG0001016	SCHMD23273, SCHMD15080	ORYLA08912
OG0001017	SCHMD04416, SCHMD11368	ORYLA15745
OG0001017	SCHMD16755	ORYLA06969, ORYLA08875
OG0001018	SCHMD08153	ORYLA04621
OG0001019	SCHMD15171	ORYLA01968, ORYLA01969, ORYLA20371, ORYLA16086
OG0001028	SCHMD01474, SCHMD11482	ORYLA13607, ORYLA13608, ORYLA14880, ORYLA12157, ORYLA17489, ORYLA17310
OG0001029	SCHMD04839, SCHMD00804, SCHMD00805	ORYLA15182, ORYLA07577
OG0001030	SCHMD08464	ORYLA11995, ORYLA10701, ORYLA05220
OG0001031	SCHMD14040, SCHMD09371, SCHMD16991, SCHMD19644	ORYLA05281
OG0001031	SCHMD21518, SCHMD21621, SCHMD16193, SCHMD12815, SCHMD19646, SCHMD16992, SCHMD17709, SCHMD09373	ORYLA00443
OG0001033	SCHMD11399, SCHMD23908	ORYLA02412, ORYLA17551
OG0001033	SCHMD10492	ORYLA13566, ORYLA13207
OG0001036	SCHMD20768, SCHMD09235	ORYLA15963, ORYLA02163, ORYLA05632
OG0001036	SCHMD05156	ORYLA14277
OG0001037	SCHMD23424, SCHMD16427, SCHMD02530, SCHMD07259	ORYLA18034, ORYLA02947, ORYLA08956
OG0001038	SCHMD26628, SCHMD09164, SCHMD14733, SCHMD14734	ORYLA00365, ORYLA00910, ORYLA05052, ORYLA00017
OG0001039	SCHMD01765	ORYLA17932
OG0001042	SCHMD11839	ORYLA20004, ORYLA16045, ORYLA14257, ORYLA15929, ORYLA14996, ORYLA11093
OG0001046	SCHMD05104, SCHMD02045, SCHMD11124	ORYLA16931, ORYLA16932, ORYLA16930, ORYLA00538, ORYLA00652, ORYLA16674, ORYLA00732
OG0001047	SCHMD28420	ORYLA03716, ORYLA03850, ORYLA03098, ORYLA01025
OG0001048	SCHMD12160	ORYLA17951, ORYLA07722, ORYLA05078, ORYLA02542, ORYLA04597
OG0001049	SCHMD16614	ORYLA13294, ORYLA06586
OG0001050	SCHMD04667	ORYLA10628
OG0001050	SCHMD03458	ORYLA15890, ORYLA11461, ORYLA12452, ORYLA15112, ORYLA06038
OG0001052	SCHMD09988	ORYLA18159, ORYLA04669
OG0001053	SCHMD25503, SCHMD22630	ORYLA18523, ORYLA08049, ORYLA16446, ORYLA07098, ORYLA15733, ORYLA09475
OG0001060	SCHMD12337, SCHMD14762, SCHMD05051	ORYLA11754
OG0001062	SCHMD24440, SCHMD23600, SCHMD17910	ORYLA17093, ORYLA00055, ORYLA13062, ORYLA07081, ORYLA13265
OG0001066	SCHMD24046, SCHMD10767	ORYLA11478
OG0001068	SCHMD00936	ORYLA14036, ORYLA20235
OG0001070	SCHMD15531	ORYLA08579, ORYLA19557, ORYLA07234, ORYLA08158, ORYLA18467, ORYLA19890, ORYLA08466, ORYLA08467, ORYLA19497, ORYLA08425, ORYLA01299, ORYLA07241, ORYLA08462, ORYLA08391, ORYLA19056, ORYLA08471, ORYLA01709, ORYLA08491, ORYLA08472, ORYLA08448, ORYLA08428, ORYLA07244, ORYLA00008, ORYLA08435, ORYLA19301, ORYLA08458, ORYLA08441, ORYLA08468, ORYLA08451, ORYLA19398, ORYLA01517, ORYLA08159, ORYLA08487
OG0001072	SCHMD24459, SCHMD27893	ORYLA17591, ORYLA18588
OG0001073	SCHMD00478	ORYLA01147, ORYLA12256
OG0001075	SCHMD13181, SCHMD04392, SCHMD00196, SCHMD16771	ORYLA05472
OG0001076	SCHMD07131	ORYLA04025, ORYLA03193, ORYLA12782
OG0001077	SCHMD01953	ORYLA01775
OG0001077	SCHMD18407, SCHMD17122	ORYLA10005
OG0001078	SCHMD20731, SCHMD25766	ORYLA11135, ORYLA15991, ORYLA14030, ORYLA16359, ORYLA08030, ORYLA19617
OG0001079	SCHMD27223	ORYLA13958, ORYLA14764, ORYLA20201
OG0001080	SCHMD08586	ORYLA06070
OG0001080	SCHMD15438, SCHMD19176	ORYLA01954, ORYLA12745
OG0001081	SCHMD05425	ORYLA12631, ORYLA12630
OG0001083	SCHMD07690	ORYLA08355, ORYLA01216, ORYLA10438
OG0001084	SCHMD10718	ORYLA08418, ORYLA10033, ORYLA10032, ORYLA08417
OG0001084	SCHMD10717	ORYLA08935
OG0001085	SCHMD03894	ORYLA13813, ORYLA16003, ORYLA14313, ORYLA10899, ORYLA10898, ORYLA14405
OG0001086	SCHMD14120	ORYLA03507, ORYLA10518, ORYLA10517, ORYLA01082, ORYLA04201
OG0001089	SCHMD10517	ORYLA06013, ORYLA06012
OG0001090	SCHMD28285, SCHMD17161, SCHMD03349, SCHMD20311, SCHMD27970, SCHMD02491, SCHMD22171, SCHMD15052, SCHMD14871, SCHMD23868, SCHMD00934, SCHMD02957, SCHMD02170, SCHMD23588, SCHMD18161, SCHMD24510, SCHMD25428, SCHMD28135, SCHMD05847, SCHMD13313, SCHMD09556, SCHMD06679, SCHMD00092, SCHMD03303, SCHMD27352, SCHMD03833, SCHMD14325, SCHMD12843, SCHMD25555, SCHMD14278, SCHMD22966, SCHMD27178, SCHMD23857	ORYLA18206
OG0001091	SCHMD13206, SCHMD15908	ORYLA09872, ORYLA07822, ORYLA01798, ORYLA07821, ORYLA01797, ORYLA09871
OG0001092	SCHMD17999	ORYLA00474
OG0001092	SCHMD18945	ORYLA00476
OG0001093	SCHMD16772	ORYLA01792, ORYLA08189, ORYLA17127, ORYLA09876
OG0001094	SCHMD01339, SCHMD02841, SCHMD07133, SCHMD16607, SCHMD02809, SCHMD26909, SCHMD21662	ORYLA10145, ORYLA01044, ORYLA11275, ORYLA05201
OG0001096	SCHMD11467, SCHMD14874	ORYLA08777, ORYLA09557
OG0001101	SCHMD06917, SCHMD18684, SCHMD23170, SCHMD18685	ORYLA10929
OG0001102	SCHMD06311	ORYLA05217
OG0001108	SCHMD08133	ORYLA14450, ORYLA18375
OG0001112	SCHMD26529, SCHMD08447	ORYLA12894, ORYLA09914, ORYLA08799
OG0001113	SCHMD04717	ORYLA16987
OG0001113	SCHMD10085	ORYLA03611
OG0001113	SCHMD08665, SCHMD03992	ORYLA00138
OG0001114	SCHMD27710, SCHMD15592, SCHMD14156	ORYLA12632, ORYLA12633, ORYLA14795, ORYLA05778
OG0001116	SCHMD19491	ORYLA08841
OG0001116	SCHMD04023	ORYLA16423, ORYLA08216
OG0001117	SCHMD18856	ORYLA06972, ORYLA06971, ORYLA14305
OG0001118	SCHMD22443	ORYLA10960
OG0001121	SCHMD18066, SCHMD06995, SCHMD25343, SCHMD23015, SCHMD06994	ORYLA05153, ORYLA20092
OG0001123	SCHMD02756	ORYLA09262
OG0001123	SCHMD02755, SCHMD22573, SCHMD28528, SCHMD01636, SCHMD08373	ORYLA17704
OG0001124	SCHMD24013	ORYLA08277, ORYLA02278
OG0001126	SCHMD17192	ORYLA07447
OG0001127	SCHMD06664	ORYLA20099
OG0001128	SCHMD08323	ORYLA04096, ORYLA11339, ORYLA10410, ORYLA03669
OG0001129	SCHMD15504, SCHMD18282, SCHMD05846	ORYLA15169, ORYLA12442
OG0001133	SCHMD18643	ORYLA01655
OG0001133	SCHMD29299, SCHMD19714	ORYLA02500
OG0001135	SCHMD28946	ORYLA16838, ORYLA16856
OG0001136	SCHMD09640	ORYLA13203, ORYLA06530, ORYLA12133
OG0001137	SCHMD17448, SCHMD26312, SCHMD05464, SCHMD01243	ORYLA03842
OG0001138	SCHMD00170	ORYLA14334, ORYLA15755, ORYLA09204, ORYLA06399, ORYLA09997
OG0001139	SCHMD00334	ORYLA15805, ORYLA14857, ORYLA11008
OG0001140	SCHMD22679, SCHMD17712, SCHMD14631, SCHMD02111, SCHMD16673, SCHMD18031, SCHMD24981, SCHMD17350, SCHMD11695, SCHMD21848, SCHMD22963, SCHMD14630, SCHMD17713, SCHMD26239, SCHMD04472	ORYLA05368, ORYLA02157, ORYLA10675
OG0001141	SCHMD02981, SCHMD09902, SCHMD11211, SCHMD15344, SCHMD18658	ORYLA02472, ORYLA17498
OG0001142	SCHMD12785, SCHMD19807, SCHMD09379	ORYLA07693
OG0001143	SCHMD05178	ORYLA11035, ORYLA12195, ORYLA06058
OG0001146	SCHMD06189	ORYLA13499, ORYLA13500, ORYLA15595, ORYLA07425
OG0001149	SCHMD16336, SCHMD29633	ORYLA01670, ORYLA13258
OG0001155	SCHMD01897	ORYLA02504, ORYLA02505
OG0001156	SCHMD11390	ORYLA14447, ORYLA15424, ORYLA17150, ORYLA10003
OG0001158	SCHMD01514, SCHMD06104, SCHMD00376	ORYLA13950, ORYLA15560, ORYLA06290, ORYLA20120
OG0001160	SCHMD20666	ORYLA18207
OG0001161	SCHMD27832, SCHMD10429, SCHMD10428	ORYLA14942, ORYLA12582, ORYLA02883
OG0001162	SCHMD04355, SCHMD04356	ORYLA03278, ORYLA04547, ORYLA08795
OG0001164	SCHMD22065	ORYLA06374
OG0001165	SCHMD11819	ORYLA11504
OG0001165	SCHMD07378, SCHMD22157, SCHMD03644, SCHMD08052, SCHMD12131	ORYLA09619
OG0001167	SCHMD08043, SCHMD04406	ORYLA10169, ORYLA12428, ORYLA04713
OG0001168	SCHMD13073	ORYLA14387
OG0001172	SCHMD19335	ORYLA08914, ORYLA06213, ORYLA09461
OG0001175	SCHMD18473	ORYLA17323, ORYLA17834, ORYLA02704
OG0001176	SCHMD14886	ORYLA14922
OG0001178	SCHMD07684	ORYLA12858
OG0001178	SCHMD13713	ORYLA09479
OG0001179	SCHMD26379	ORYLA14131
OG0001181	SCHMD21797	ORYLA09302, ORYLA06967, ORYLA16422
OG0001183	SCHMD25354, SCHMD18351, SCHMD24868, SCHMD15726, SCHMD18352, SCHMD01499, SCHMD23054, SCHMD29166, SCHMD15725	ORYLA01780
OG0001183	SCHMD02325	ORYLA16340, ORYLA08337
OG0001184	SCHMD12752	ORYLA01867
OG0001184	SCHMD29753, SCHMD15110, SCHMD23640	ORYLA12325
OG0001185	SCHMD23236	ORYLA01991, ORYLA19744, ORYLA04885
OG0001186	SCHMD20610	ORYLA06474, ORYLA12462, ORYLA14584
OG0001186	SCHMD05037	ORYLA12305
OG0001188	SCHMD05963, SCHMD14167	ORYLA04742
OG0001189	SCHMD17573, SCHMD27159, SCHMD05552	ORYLA20265, ORYLA15490, ORYLA10691, ORYLA11979, ORYLA07034
OG0001191	SCHMD11387	ORYLA00416, ORYLA17734, ORYLA04735, ORYLA08358, ORYLA01217, ORYLA03865
OG0001193	SCHMD12958, SCHMD22452, SCHMD02700, SCHMD19896, SCHMD17670, SCHMD09694, SCHMD27509, SCHMD10677, SCHMD09180, SCHMD00362, SCHMD21792, SCHMD04316, SCHMD11407, SCHMD03239, SCHMD21281, SCHMD12921, SCHMD15927, SCHMD20908, SCHMD01832, SCHMD05239, SCHMD07556, SCHMD12326, SCHMD10433, SCHMD14912, SCHMD12015, SCHMD00712, SCHMD22176, SCHMD21183, SCHMD17249, SCHMD00775, SCHMD00226, SCHMD16468, SCHMD10676, SCHMD04602, SCHMD03712, SCHMD15498, SCHMD06416, SCHMD28037, SCHMD18646, SCHMD26455, SCHMD10614, SCHMD20982, SCHMD07377, SCHMD14926, SCHMD28029, SCHMD00163, SCHMD18413, SCHMD10104, SCHMD20192, SCHMD12959, SCHMD20223, SCHMD00045, SCHMD17962, SCHMD26085, SCHMD03128, SCHMD23419, SCHMD00363, SCHMD17671, SCHMD02699, SCHMD26368, SCHMD21791, SCHMD21300, SCHMD29384, SCHMD15837, SCHMD11488	ORYLA06669
OG0001197	SCHMD06230	ORYLA13277
OG0001197	SCHMD16253	ORYLA01817, ORYLA05607, ORYLA09693
OG0001198	SCHMD25694, SCHMD06964	ORYLA15126
OG0001198	SCHMD04078	ORYLA15038
OG0001199	SCHMD17830	ORYLA11679
OG0001201	SCHMD18644	ORYLA15310
OG0001204	SCHMD08657, SCHMD22624, SCHMD10325	ORYLA04102, ORYLA03247
OG0001207	SCHMD07731	ORYLA10023, ORYLA09156, ORYLA16388, ORYLA08504
OG0001208	SCHMD11671, SCHMD13440, SCHMD22806	ORYLA06825, ORYLA09868, ORYLA01795
OG0001209	SCHMD22043, SCHMD28492	ORYLA07316, ORYLA00319
OG0001210	SCHMD19441	ORYLA11799
OG0001213	SCHMD01086	ORYLA08112
OG0001213	SCHMD23993	ORYLA02321
OG0001214	SCHMD22221	ORYLA09019
OG0001215	SCHMD25774	ORYLA06541, ORYLA08559, ORYLA09761, ORYLA09762, ORYLA16114, ORYLA14222
OG0001216	SCHMD13349	ORYLA12067, ORYLA15267
OG0001217	SCHMD18537	ORYLA04237, ORYLA01368, ORYLA10596, ORYLA10595
OG0001217	SCHMD21187, SCHMD21148	ORYLA10337
OG0001218	SCHMD03255	ORYLA05869, ORYLA01891, ORYLA14508, ORYLA07468
OG0001219	SCHMD09614, SCHMD00713	ORYLA01206, ORYLA04598, ORYLA01690, ORYLA05777
OG0001221	SCHMD16690	ORYLA07491
OG0001223	SCHMD08671	ORYLA06793, ORYLA07569, ORYLA06727, ORYLA15616, ORYLA13963
OG0001226	SCHMD21222	ORYLA03653, ORYLA03655, ORYLA03654, ORYLA03656, ORYLA01461, ORYLA01460, ORYLA11722, ORYLA02207
OG0001230	SCHMD04385, SCHMD04382, SCHMD28531	ORYLA05997
OG0001236	SCHMD08913, SCHMD03442	ORYLA05535
OG0001236	SCHMD14035	ORYLA05857
OG0001238	SCHMD09688	ORYLA01295, ORYLA07056
OG0001241	SCHMD04223	ORYLA15497
OG0001241	SCHMD16327	ORYLA01008
OG0001249	SCHMD01149	ORYLA00311, ORYLA06571, ORYLA12934, ORYLA13089
OG0001250	SCHMD08101, SCHMD04347	ORYLA17061, ORYLA00854, ORYLA07782, ORYLA16768
OG0001251	SCHMD18877, SCHMD19053, SCHMD14253, SCHMD20912, SCHMD12715	ORYLA12301, ORYLA08970
OG0001254	SCHMD14258, SCHMD09217	ORYLA12036, ORYLA14643
OG0001256	SCHMD23608, SCHMD16589, SCHMD16774, SCHMD00239, SCHMD25518	ORYLA10228
OG0001261	SCHMD13436	ORYLA07239, ORYLA00479, ORYLA09455
OG0001262	SCHMD20011	ORYLA02427
OG0001263	SCHMD17470	ORYLA17939, ORYLA08064, ORYLA07820, ORYLA17132
OG0001264	SCHMD27230, SCHMD17432	ORYLA13965, ORYLA12302, ORYLA02150
OG0001266	SCHMD10438	ORYLA09233, ORYLA07109, ORYLA14460
OG0001267	SCHMD05399	ORYLA17985, ORYLA00677
OG0001268	SCHMD01057	ORYLA00335
OG0001270	SCHMD27534, SCHMD20425, SCHMD23309, SCHMD13653	ORYLA18804
OG0001271	SCHMD05357	ORYLA09251, ORYLA07889, ORYLA14013
OG0001272	SCHMD22716, SCHMD09459	ORYLA07941, ORYLA03248, ORYLA04104, ORYLA01178
OG0001273	SCHMD13838, SCHMD25918, SCHMD21739	ORYLA12209, ORYLA13178, ORYLA06380, ORYLA02385, ORYLA17660
OG0001275	SCHMD21376	ORYLA11544
OG0001275	SCHMD12521	ORYLA11543
OG0001279	SCHMD06836	ORYLA04097, ORYLA03712, ORYLA10544, ORYLA04878, ORYLA00122
OG0001280	SCHMD09937, SCHMD20104, SCHMD05674, SCHMD11884	ORYLA19967, ORYLA06847, ORYLA12954, ORYLA19875, ORYLA00452
OG0001282	SCHMD08025	ORYLA04230, ORYLA10205, ORYLA08831
OG0001284	SCHMD09316	ORYLA09027
OG0001284	SCHMD00434	ORYLA01634, ORYLA14635
OG0001287	SCHMD07530	ORYLA03902, ORYLA01233, ORYLA09735, ORYLA00961
OG0001288	SCHMD24194, SCHMD28204	ORYLA02421
OG0001291	SCHMD20641, SCHMD11793	ORYLA17986, ORYLA07358, ORYLA01427, ORYLA04147
OG0001294	SCHMD26181, SCHMD17649, SCHMD26146, SCHMD20417, SCHMD20418	ORYLA10122
OG0001296	SCHMD20454, SCHMD11060	ORYLA07385, ORYLA00095, ORYLA19357, ORYLA19356
OG0001297	SCHMD10762	ORYLA10966, ORYLA14020, ORYLA15796, ORYLA12085
OG0001300	SCHMD00214, SCHMD19001, SCHMD09152, SCHMD17144, SCHMD02202	ORYLA01386, ORYLA10216, ORYLA09658, ORYLA04280
OG0001302	SCHMD13885	ORYLA12923
OG0001302	SCHMD08617, SCHMD27826	ORYLA05687
OG0001304	SCHMD13840	ORYLA06728, ORYLA06729, ORYLA12651, ORYLA06796, ORYLA13823, ORYLA13822
OG0001306	SCHMD04516	ORYLA06638, ORYLA13454
OG0001308	SCHMD08020	ORYLA12511, ORYLA01298, ORYLA19818, ORYLA19817
OG0001310	SCHMD19422	ORYLA10760
OG0001310	SCHMD09167	ORYLA12263
OG0001311	SCHMD05801	ORYLA02079, ORYLA06081
OG0001312	SCHMD02056, SCHMD02055	ORYLA09136, ORYLA09135, ORYLA09133, ORYLA09134
OG0001316	SCHMD09192, SCHMD18009, SCHMD02920, SCHMD11271, SCHMD09191, SCHMD02919, SCHMD29629	ORYLA12946
OG0001316	SCHMD15981	ORYLA12796, ORYLA09110, ORYLA01031
OG0001318	SCHMD07054	ORYLA08255
OG0001318	SCHMD16802	ORYLA09731
OG0001319	SCHMD14764	ORYLA04255, ORYLA01358, ORYLA10213, ORYLA09481
OG0001320	SCHMD05527	ORYLA11905
OG0001321	SCHMD23818	ORYLA19802
OG0001322	SCHMD09506	ORYLA12031, ORYLA03496
OG0001323	SCHMD14852, SCHMD22300	ORYLA07539, ORYLA04897, ORYLA10096, ORYLA03039
OG0001326	SCHMD29052, SCHMD26738, SCHMD21907, SCHMD17595, SCHMD08761, SCHMD19423	ORYLA00013, ORYLA05047, ORYLA02306, ORYLA02304, ORYLA00758
OG0001327	SCHMD08653, SCHMD04846	ORYLA11280, ORYLA14397
OG0001328	SCHMD23086	ORYLA00827, ORYLA10981
OG0001329	SCHMD15324	ORYLA10954, ORYLA14747
OG0001331	SCHMD14545	ORYLA00931, ORYLA03956
OG0001332	SCHMD04204	ORYLA07497
OG0001333	SCHMD15673, SCHMD23155	ORYLA17399, ORYLA07772
OG0001337	SCHMD11229, SCHMD01704, SCHMD14444	ORYLA02348, ORYLA17664, ORYLA06931
OG0001339	SCHMD08909	ORYLA11675
OG0001341	SCHMD02609, SCHMD12794	ORYLA19403
OG0001341	SCHMD01188, SCHMD02608	ORYLA14314
OG0001348	SCHMD24331, SCHMD29399	ORYLA19323, ORYLA09547, ORYLA09548, ORYLA08775, ORYLA01011, ORYLA01010
OG0001350	SCHMD16735, SCHMD15485, SCHMD23052, SCHMD17071, SCHMD29804, SCHMD10618	ORYLA06653
OG0001351	SCHMD24241	ORYLA09616, ORYLA08732
OG0001353	SCHMD10586	ORYLA06297, ORYLA20269
OG0001354	SCHMD12063	ORYLA13415, ORYLA00266, ORYLA06924, ORYLA17236
OG0001355	SCHMD23781	ORYLA06341, ORYLA03610, ORYLA09570, ORYLA12270, ORYLA19438, ORYLA00855, ORYLA17810, ORYLA02331
OG0001356	SCHMD21598, SCHMD19916	ORYLA14068, ORYLA15897, ORYLA14716, ORYLA11021
OG0001357	SCHMD16921	ORYLA07719, ORYLA10513, ORYLA03046
OG0001363	SCHMD05287, SCHMD16288, SCHMD05291	ORYLA06964, ORYLA02934
OG0001367	SCHMD04624	ORYLA14461, ORYLA07111, ORYLA09231, ORYLA11747, ORYLA12559
OG0001368	SCHMD02343	ORYLA04793, ORYLA11335, ORYLA10470
OG0001370	SCHMD12004	ORYLA12598, ORYLA14966
OG0001370	SCHMD18225, SCHMD11963	ORYLA18543
OG0001371	SCHMD02523	ORYLA00720
OG0001372	SCHMD12353, SCHMD23970	ORYLA13141
OG0001374	SCHMD12937	ORYLA12417
OG0001375	SCHMD18333	ORYLA11959, ORYLA01972, ORYLA01971
OG0001376	SCHMD14191, SCHMD01800	ORYLA03122, ORYLA05570, ORYLA09409, ORYLA08741
OG0001378	SCHMD12504, SCHMD07107	ORYLA04943
OG0001388	SCHMD08532, SCHMD23425, SCHMD17454, SCHMD02828, SCHMD15156, SCHMD02831, SCHMD24634, SCHMD12999	ORYLA04165, ORYLA01262
OG0001389	SCHMD02031, SCHMD17776	ORYLA12186, ORYLA07219, ORYLA20465
OG0001394	SCHMD19657, SCHMD24757	ORYLA01444, ORYLA19504
OG0001394	SCHMD23211, SCHMD24249	ORYLA01445
OG0001397	SCHMD08548, SCHMD08095	ORYLA01225, ORYLA05017
OG0001399	SCHMD20091, SCHMD16432	ORYLA04243, ORYLA12652, ORYLA18690
OG0001400	SCHMD26317	ORYLA08237, ORYLA17207, ORYLA09903, ORYLA01837, ORYLA05625
OG0001401	SCHMD15712	ORYLA09174
OG0001402	SCHMD06853	ORYLA17574, ORYLA03602
OG0001404	SCHMD14853	ORYLA20012
OG0001405	SCHMD16175	ORYLA07257
OG0001406	SCHMD13359, SCHMD19152	ORYLA13300, ORYLA07680, ORYLA01398
OG0001409	SCHMD04792	ORYLA01929
OG0001410	SCHMD09832	ORYLA16518
OG0001410	SCHMD09687	ORYLA09213
OG0001411	SCHMD13416, SCHMD19137	ORYLA12881
OG0001412	SCHMD13223	ORYLA17594
OG0001413	SCHMD02827	ORYLA17782
OG0001414	SCHMD19649	ORYLA18972
OG0001416	SCHMD01722	ORYLA16022, ORYLA14442
OG0001421	SCHMD14208	ORYLA04093, ORYLA11990, ORYLA11681
OG0001422	SCHMD18897, SCHMD04981, SCHMD04982	ORYLA08800, ORYLA05608, ORYLA05609, ORYLA09888
OG0001425	SCHMD16287, SCHMD09188, SCHMD09187	ORYLA11812, ORYLA14660, ORYLA02799, ORYLA17328
OG0001426	SCHMD02033	ORYLA13127, ORYLA13128, ORYLA16142, ORYLA14438, ORYLA07443
OG0001427	SCHMD03939, SCHMD00575	ORYLA20270, ORYLA07026, ORYLA11867
OG0001428	SCHMD06125	ORYLA15651, ORYLA13762, ORYLA18311, ORYLA05873, ORYLA01893
OG0001429	SCHMD14421	ORYLA09352, ORYLA05975, ORYLA11873
OG0001429	SCHMD14419	ORYLA11872
OG0001430	SCHMD00026	ORYLA11790, ORYLA01079, ORYLA10149, ORYLA03115, ORYLA03625
OG0001432	SCHMD08255	ORYLA19855, ORYLA16066, ORYLA06470
OG0001432	SCHMD22173	ORYLA11304
OG0001433	SCHMD13899, SCHMD22723, SCHMD08627, SCHMD01242	ORYLA10563, ORYLA19887, ORYLA02213, ORYLA05137
OG0001434	SCHMD11795	ORYLA11926
OG0001438	SCHMD03715, SCHMD17114	ORYLA13293, ORYLA09472, ORYLA14084, ORYLA17990, ORYLA05036, ORYLA04502
OG0001440	SCHMD08958, SCHMD08957	ORYLA06607, ORYLA09297
OG0001445	SCHMD04082	ORYLA18556, ORYLA03367, ORYLA03366
OG0001447	SCHMD14223	ORYLA10401, ORYLA03364, ORYLA11793
OG0001449	SCHMD11900	ORYLA11305
OG0001449	SCHMD21822	ORYLA09746
OG0001451	SCHMD11378, SCHMD13989, SCHMD09385, SCHMD09340	ORYLA17593, ORYLA14632
OG0001454	SCHMD21412, SCHMD12857, SCHMD10712, SCHMD05935, SCHMD27841, SCHMD03145	ORYLA03869, ORYLA10714, ORYLA03870
OG0001456	SCHMD22269, SCHMD26154	ORYLA10215
OG0001458	SCHMD07871	ORYLA20478, ORYLA20479, ORYLA04251, ORYLA01275, ORYLA09939, ORYLA08813
OG0001460	SCHMD10311, SCHMD23647	ORYLA02314
OG0001460	SCHMD10312, SCHMD23646	ORYLA08107, ORYLA05005
OG0001461	SCHMD13257	ORYLA19866
OG0001464	SCHMD20463	ORYLA09804, ORYLA08394, ORYLA05677, ORYLA16104, ORYLA14378
OG0001466	SCHMD12996, SCHMD13074	ORYLA01209
OG0001467	SCHMD12343	ORYLA18147
OG0001467	SCHMD19099	ORYLA03144
OG0001468	SCHMD00390	ORYLA08601, ORYLA08600, ORYLA09151, ORYLA06717, ORYLA09660, ORYLA16189, ORYLA16188
OG0001469	SCHMD09394	ORYLA17794
OG0001469	SCHMD24067, SCHMD10449	ORYLA05419
OG0001470	SCHMD02321	ORYLA03759
OG0001472	SCHMD12948	ORYLA05712
OG0001472	SCHMD13936, SCHMD13397, SCHMD27432	ORYLA15948
OG0001474	SCHMD11576, SCHMD26877	ORYLA07769
OG0001475	SCHMD01990, SCHMD01568, SCHMD01569, SCHMD13677, SCHMD05348	ORYLA13842, ORYLA15634
OG0001479	SCHMD12413, SCHMD08686	ORYLA13290, ORYLA16589, ORYLA18144, ORYLA02932
OG0001480	SCHMD13493	ORYLA00743, ORYLA01857, ORYLA05529, ORYLA05528
OG0001481	SCHMD19667	ORYLA08452
OG0001484	SCHMD14277	ORYLA18741, ORYLA15816, ORYLA13829, ORYLA13710
OG0001492	SCHMD23516, SCHMD26961, SCHMD25275, SCHMD13787, SCHMD04408, SCHMD08526, SCHMD03207, SCHMD22383, SCHMD21998, SCHMD05531, SCHMD02901, SCHMD18008, SCHMD25870, SCHMD01545, SCHMD02176, SCHMD21595, SCHMD22373, SCHMD22752, SCHMD09908, SCHMD16982, SCHMD26364, SCHMD01591	ORYLA17613
OG0001493	SCHMD11122	ORYLA07182, ORYLA04965
OG0001496	SCHMD04335	ORYLA01505
OG0001501	SCHMD02704	ORYLA10661, ORYLA10605
OG0001502	SCHMD06696	ORYLA18248, ORYLA18648
OG0001502	SCHMD06697	ORYLA17055
OG0001503	SCHMD25279, SCHMD19928	ORYLA13177
OG0001503	SCHMD25148	ORYLA17046, ORYLA17047
OG0001504	SCHMD05964	ORYLA15456
OG0001506	SCHMD04881	ORYLA07141, ORYLA16222
OG0001507	SCHMD00476, SCHMD00993	ORYLA10103, ORYLA04138
OG0001508	SCHMD22201, SCHMD18843, SCHMD16325, SCHMD15374	ORYLA12347, ORYLA14625, ORYLA16349, ORYLA16350
OG0001510	SCHMD18903	ORYLA16557
OG0001511	SCHMD14385	ORYLA03620, ORYLA06342, ORYLA07444
OG0001512	SCHMD25662, SCHMD20631, SCHMD17238, SCHMD26046, SCHMD14306, SCHMD08743, SCHMD08744, SCHMD14305, SCHMD08415, SCHMD00450	ORYLA02917, ORYLA02918, ORYLA17795, ORYLA13561, ORYLA13562
OG0001515	SCHMD18483	ORYLA04533, ORYLA17572
OG0001516	SCHMD07784	ORYLA18645, ORYLA18644
OG0001517	SCHMD13953, SCHMD02103, SCHMD04959, SCHMD27460	ORYLA17447, ORYLA08991
OG0001518	SCHMD00912, SCHMD00913, SCHMD08704, SCHMD08705	ORYLA10303
OG0001519	SCHMD01453, SCHMD11573	ORYLA13560, ORYLA07350, ORYLA00409
OG0001522	SCHMD06814	ORYLA11664, ORYLA10662
OG0001524	SCHMD08154	ORYLA00012, ORYLA05046
