Orthogroup	SCHMD	HUMAN
OG0001319	SCHMD14764	HUMAN30310, HUMAN21541
OG0001320	SCHMD01321, SCHMD01324, SCHMD01322	HUMAN27988, HUMAN27989
OG0001320	SCHMD05527	HUMAN09292, HUMAN16855, HUMAN16856
OG0001321	SCHMD23818	HUMAN09666
OG0001322	SCHMD09506	HUMAN03840, HUMAN15479, HUMAN15481
OG0001323	SCHMD14852, SCHMD22300	HUMAN08572, HUMAN15462, HUMAN02685, HUMAN04964, HUMAN15463, HUMAN08571, HUMAN15461
OG0001324	SCHMD06767	HUMAN21898
OG0001325	SCHMD05728	HUMAN22703
OG0001326	SCHMD29052, SCHMD26738, SCHMD21907, SCHMD17595, SCHMD08761, SCHMD19423	HUMAN03521, HUMAN17368, HUMAN17367, HUMAN03603
OG0001327	SCHMD18386	HUMAN05827
OG0001327	SCHMD08653, SCHMD04846	HUMAN06766, HUMAN06765, HUMAN02428
OG0001329	SCHMD15324	HUMAN02833
OG0001331	SCHMD14545	HUMAN22233, HUMAN22231, HUMAN24247, HUMAN13998
OG0001332	SCHMD04204	HUMAN29020
OG0001333	SCHMD15673, SCHMD23155	HUMAN20118, HUMAN10313
OG0001335	SCHMD19167, SCHMD17337	HUMAN25775
OG0001335	SCHMD26447	HUMAN28637
OG0001337	SCHMD01703	HUMAN28621
OG0001337	SCHMD11229, SCHMD01704, SCHMD14444	HUMAN13008, HUMAN23397, HUMAN00896
OG0001339	SCHMD08909	HUMAN25156, HUMAN16668
OG0001341	SCHMD01188, SCHMD02608	HUMAN13955
OG0001348	SCHMD24331, SCHMD29399	HUMAN07855, HUMAN07854, HUMAN07853, HUMAN30397, HUMAN07856
OG0001350	SCHMD16735, SCHMD15485, SCHMD23052	HUMAN01020
OG0001350	SCHMD17071, SCHMD29804, SCHMD10618	HUMAN18742
OG0001351	SCHMD24241	HUMAN29755
OG0001353	SCHMD10586	HUMAN18886
OG0001354	SCHMD11475, SCHMD26080	HUMAN01464, HUMAN01976
OG0001354	SCHMD12063	HUMAN14805, HUMAN00966, HUMAN28999
OG0001355	SCHMD23781	HUMAN21593, HUMAN07898, HUMAN24307, HUMAN22136, HUMAN03703
OG0001356	SCHMD21598, SCHMD19916	HUMAN21113, HUMAN06242
OG0001357	SCHMD16921	HUMAN16834, HUMAN04831, HUMAN09251, HUMAN15455
OG0001359	SCHMD11507	HUMAN01772
OG0001362	SCHMD04122, SCHMD05643, SCHMD13617	HUMAN13462
OG0001363	SCHMD05287, SCHMD16288, SCHMD05291	HUMAN02206
OG0001364	SCHMD27572, SCHMD21273	HUMAN18390
OG0001367	SCHMD04624	HUMAN19005, HUMAN13672, HUMAN16628, HUMAN16627
OG0001368	SCHMD12524, SCHMD12925, SCHMD10124, SCHMD12523, SCHMD08134, SCHMD19303	HUMAN08634
OG0001368	SCHMD02343	HUMAN18786, HUMAN18785, HUMAN08633
OG0001369	SCHMD15727, SCHMD16208, SCHMD22520, SCHMD04521	HUMAN06738
OG0001370	SCHMD12004	HUMAN10042
OG0001370	SCHMD18225, SCHMD11963	HUMAN18140
OG0001371	SCHMD02523	HUMAN13498, HUMAN13497
OG0001372	SCHMD12353, SCHMD23970	HUMAN01152
OG0001375	SCHMD18333	HUMAN25598, HUMAN00578, HUMAN00579
OG0001376	SCHMD14191, SCHMD01800	HUMAN05736, HUMAN05737, HUMAN15337, HUMAN19374
OG0001378	SCHMD12504, SCHMD07107	HUMAN24020
OG0001383	SCHMD18571, SCHMD21036	HUMAN29253
OG0001383	SCHMD28197, SCHMD18572	HUMAN01927
OG0001385	SCHMD01908, SCHMD03151, SCHMD17215, SCHMD24251, SCHMD27846, SCHMD02887, SCHMD11624, SCHMD23448, SCHMD19127, SCHMD25605, SCHMD28267, SCHMD17606, SCHMD15084, SCHMD05289, SCHMD01079, SCHMD09083, SCHMD01371, SCHMD22024, SCHMD20763, SCHMD00169, SCHMD10113, SCHMD25905, SCHMD23599, SCHMD20992, SCHMD25254, SCHMD04155, SCHMD13353, SCHMD04418, SCHMD04625, SCHMD01016, SCHMD05445, SCHMD11800, SCHMD07275, SCHMD24250, SCHMD23891, SCHMD22262, SCHMD03886, SCHMD08662, SCHMD26442, SCHMD17996, SCHMD07274, SCHMD18437, SCHMD19128, SCHMD05290, SCHMD02781, SCHMD20262, SCHMD04634, SCHMD21900, SCHMD12522, SCHMD05458, SCHMD01372, SCHMD01080, SCHMD22023, SCHMD12942, SCHMD02783	HUMAN00708
OG0001388	SCHMD08532, SCHMD23425, SCHMD17454, SCHMD02828, SCHMD15156, SCHMD02831, SCHMD24634, SCHMD12999	HUMAN29687, HUMAN30613, HUMAN30096
OG0001389	SCHMD02031, SCHMD17776	HUMAN30191, HUMAN30192, HUMAN26892, HUMAN26891, HUMAN17427, HUMAN22895, HUMAN24383
OG0001394	SCHMD19657, SCHMD24757	HUMAN27467
OG0001394	SCHMD23211, SCHMD24249	HUMAN27466
OG0001397	SCHMD08548, SCHMD08095	HUMAN24255, HUMAN03558
OG0001399	SCHMD20091, SCHMD16432	HUMAN07651, HUMAN18963, HUMAN18962, HUMAN11037
OG0001400	SCHMD26317	HUMAN12867, HUMAN17921, HUMAN26085, HUMAN26084
OG0001401	SCHMD15712	HUMAN21621, HUMAN21620, HUMAN29769
OG0001402	SCHMD06853	HUMAN19950, HUMAN10942, HUMAN12422, HUMAN12423
OG0001404	SCHMD14853	HUMAN00261
OG0001406	SCHMD07383, SCHMD01809	HUMAN30431
OG0001406	SCHMD13359, SCHMD19152	HUMAN21841, HUMAN21842, HUMAN21839, HUMAN11946, HUMAN30432
OG0001409	SCHMD04792	HUMAN15650
OG0001410	SCHMD09832	HUMAN18249, HUMAN18248, HUMAN25904, HUMAN25903
OG0001410	SCHMD09687	HUMAN27965, HUMAN27967, HUMAN27966
OG0001411	SCHMD13416, SCHMD19137	HUMAN22432
OG0001412	SCHMD13223	HUMAN07098, HUMAN07099
OG0001413	SCHMD02827	HUMAN07320, HUMAN07322
OG0001413	SCHMD02718	HUMAN10070
OG0001414	SCHMD19649	HUMAN26311
OG0001416	SCHMD01722	HUMAN00172, HUMAN11820
OG0001417	SCHMD06429, SCHMD24380, SCHMD19840, SCHMD16804, SCHMD06430	HUMAN12487
OG0001421	SCHMD14208	HUMAN15819, HUMAN15817, HUMAN15818, HUMAN08949, HUMAN04839, HUMAN08948, HUMAN02585
OG0001422	SCHMD18897, SCHMD04981, SCHMD04982	HUMAN17890, HUMAN26120, HUMAN17892, HUMAN26121, HUMAN17893, HUMAN17891
OG0001425	SCHMD16287, SCHMD09188, SCHMD09187	HUMAN25779, HUMAN09840, HUMAN23345, HUMAN23344
OG0001426	SCHMD02033	HUMAN21982, HUMAN21981, HUMAN00034, HUMAN11906
OG0001427	SCHMD03939, SCHMD00575	HUMAN18845, HUMAN13853, HUMAN16726
OG0001428	SCHMD06125	HUMAN00193, HUMAN11816, HUMAN05892
OG0001429	SCHMD14421	HUMAN29656, HUMAN00568, HUMAN25640
OG0001430	SCHMD00026	HUMAN16816, HUMAN04840, HUMAN09331, HUMAN15891
OG0001432	SCHMD08255	HUMAN19311, HUMAN27870
OG0001432	SCHMD22173	HUMAN16749
OG0001433	SCHMD13899, SCHMD22723, SCHMD08627, SCHMD01242	HUMAN00642, HUMAN28267, HUMAN25243
OG0001434	SCHMD11795	HUMAN25376
OG0001438	SCHMD03715, SCHMD17114	HUMAN21820, HUMAN27731, HUMAN27733, HUMAN27732, HUMAN24291
OG0001439	SCHMD09059	HUMAN05538, HUMAN05539
OG0001440	SCHMD08958, SCHMD08957	HUMAN02970, HUMAN12486
OG0001445	SCHMD04082	HUMAN18716, HUMAN15579
OG0001447	SCHMD14223	HUMAN09319, HUMAN15576, HUMAN02582
OG0001449	SCHMD11900	HUMAN16746
OG0001449	SCHMD21822	HUMAN18160
OG0001450	SCHMD05057	HUMAN05768
OG0001451	SCHMD11378, SCHMD13989, SCHMD09385, SCHMD09340	HUMAN07097, HUMAN04374, HUMAN04373
OG0001453	SCHMD06884, SCHMD06825	HUMAN21615
OG0001454	SCHMD21412, SCHMD12857, SCHMD10712, SCHMD05935, SCHMD27841, SCHMD03145	HUMAN24123, HUMAN24124, HUMAN24121, HUMAN24122, HUMAN22861, HUMAN24125
OG0001456	SCHMD22269, SCHMD26154	HUMAN21607, HUMAN21609
OG0001458	SCHMD07871	HUMAN23064, HUMAN30171, HUMAN29608, HUMAN29609
OG0001460	SCHMD10312, SCHMD23646	HUMAN03122
OG0001461	SCHMD13257	HUMAN26887
OG0001464	SCHMD20463	HUMAN17749, HUMAN28956, HUMAN06437, HUMAN06436
OG0001466	SCHMD12996, SCHMD13074	HUMAN23853
OG0001467	SCHMD12343	HUMAN29474, HUMAN29473
OG0001467	SCHMD19099	HUMAN05267
OG0001468	SCHMD00390	HUMAN18215, HUMAN20670, HUMAN20673, HUMAN20674, HUMAN06709
OG0001468	SCHMD12591	HUMAN20671
OG0001469	SCHMD09394	HUMAN17357
OG0001469	SCHMD24067, SCHMD10449	HUMAN25406
OG0001470	SCHMD02321	HUMAN12346
OG0001472	SCHMD12948	HUMAN26528, HUMAN26527
OG0001472	SCHMD13936, SCHMD13397, SCHMD27432	HUMAN19245
OG0001474	SCHMD07416	HUMAN10737
OG0001474	SCHMD07415	HUMAN09370
OG0001474	SCHMD11576, SCHMD26877	HUMAN10738, HUMAN10739, HUMAN10736
OG0001475	SCHMD01990, SCHMD01568, SCHMD01569, SCHMD13677, SCHMD05348	HUMAN00232, HUMAN00233
OG0001478	SCHMD26017	HUMAN09291
OG0001479	SCHMD08556	HUMAN29190
OG0001479	SCHMD12413, SCHMD08686	HUMAN01339, HUMAN14506, HUMAN14504, HUMAN29189
OG0001480	SCHMD13493	HUMAN18069, HUMAN20722, HUMAN20724, HUMAN20721, HUMAN20723
OG0001483	SCHMD00397	HUMAN12748, HUMAN07904
OG0001484	SCHMD14277	HUMAN29782, HUMAN20929
OG0001485	SCHMD18182	HUMAN10084
OG0001488	SCHMD21551	HUMAN04093
OG0001490	SCHMD08286, SCHMD07637	HUMAN08811
OG0001492	SCHMD23516, SCHMD26961, SCHMD25275, SCHMD13787, SCHMD04408, SCHMD08526, SCHMD03207, SCHMD22383, SCHMD21998, SCHMD05531, SCHMD02901, SCHMD18008, SCHMD25870, SCHMD01545, SCHMD02176, SCHMD21595, SCHMD22373, SCHMD22752, SCHMD09908, SCHMD16982, SCHMD26364, SCHMD01591	HUMAN10843, HUMAN10842
OG0001493	SCHMD11122	HUMAN22769, HUMAN03129
OG0001496	SCHMD04335	HUMAN17133
OG0001501	SCHMD02704	HUMAN08311, HUMAN08312, HUMAN18751
OG0001502	SCHMD06697	HUMAN13214, HUMAN13217
OG0001503	SCHMD25279, SCHMD19928	HUMAN15059
OG0001503	SCHMD25148	HUMAN06046
OG0001504	SCHMD05964	HUMAN18887
OG0001506	SCHMD04881	HUMAN21790, HUMAN00091
OG0001507	SCHMD00992	HUMAN08599
OG0001507	SCHMD00476, SCHMD00993	HUMAN08598, HUMAN02657, HUMAN02656, HUMAN04900
OG0001508	SCHMD22201, SCHMD18843, SCHMD16325, SCHMD15374	HUMAN04219, HUMAN15958
OG0001508	SCHMD10290	HUMAN15959
OG0001510	SCHMD18903	HUMAN14673
OG0001511	SCHMD14385	HUMAN18320, HUMAN18319, HUMAN26693
OG0001512	SCHMD25662, SCHMD20631, SCHMD17238, SCHMD26046, SCHMD14306, SCHMD08743, SCHMD08744, SCHMD14305, SCHMD08415, SCHMD00450	HUMAN28786, HUMAN28785, HUMAN09917, HUMAN09920, HUMAN09919, HUMAN09918
OG0001515	SCHMD18483	HUMAN12421, HUMAN12420, HUMAN19953
OG0001516	SCHMD07784	HUMAN23268
OG0001517	SCHMD13953, SCHMD02103, SCHMD04959, SCHMD27460	HUMAN23303, HUMAN21286
OG0001519	SCHMD01453, SCHMD11573	HUMAN14377, HUMAN14392, HUMAN28529, HUMAN28530, HUMAN14393, HUMAN10026
OG0001522	SCHMD06814	HUMAN15759, HUMAN08309, HUMAN15482, HUMAN25135
OG0001524	SCHMD08154	HUMAN03522
OG0001524	SCHMD06432	HUMAN11149
OG0001525	SCHMD22768, SCHMD18999, SCHMD19000, SCHMD08330	HUMAN07206
OG0001526	SCHMD16304	HUMAN29404
OG0001527	SCHMD05435	HUMAN19883, HUMAN19885, HUMAN11842
OG0001527	SCHMD08837	HUMAN28194
OG0001530	SCHMD11853	HUMAN22628
OG0001530	SCHMD11854, SCHMD11855	HUMAN22629
OG0001532	SCHMD11604	HUMAN00046, HUMAN11888, HUMAN21869
OG0001533	SCHMD16757, SCHMD04796	HUMAN07789, HUMAN21380
OG0001534	SCHMD13063	HUMAN20220, HUMAN20221, HUMAN20219, HUMAN10541, HUMAN10540, HUMAN10538
OG0001536	SCHMD04145	HUMAN23182, HUMAN23181
OG0001538	SCHMD03674	HUMAN02566
OG0001546	SCHMD23904	HUMAN08266, HUMAN16844
OG0001551	SCHMD21975	HUMAN08700, HUMAN02498
OG0001552	SCHMD26668	HUMAN20977, HUMAN20976
OG0001553	SCHMD15846, SCHMD15532, SCHMD10896, SCHMD19069, SCHMD06566	HUMAN27760, HUMAN03319, HUMAN23794, HUMAN27759
OG0001554	SCHMD11035	HUMAN05332, HUMAN05331, HUMAN30019
OG0001557	SCHMD13972	HUMAN26830, HUMAN26831, HUMAN04309
OG0001558	SCHMD18412, SCHMD28405	HUMAN29505, HUMAN29504, HUMAN14496
OG0001559	SCHMD02521	HUMAN08415, HUMAN04944, HUMAN02556, HUMAN04942
OG0001560	SCHMD19288, SCHMD02478	HUMAN09969, HUMAN28514, HUMAN14375, HUMAN14373, HUMAN09968, HUMAN24574, HUMAN01892, HUMAN01891
OG0001561	SCHMD21318	HUMAN24968, HUMAN20456, HUMAN24967, HUMAN20360
OG0001562	SCHMD12694, SCHMD20732, SCHMD29309	HUMAN18910
OG0001563	SCHMD18145	HUMAN09891
OG0001566	SCHMD02705	HUMAN25664, HUMAN29643
OG0001567	SCHMD03492, SCHMD11013, SCHMD12195	HUMAN00268, HUMAN21826
OG0001568	SCHMD04206	HUMAN20082, HUMAN20081
OG0001569	SCHMD19450	HUMAN07886, HUMAN30285, HUMAN30286, HUMAN30287
OG0001571	SCHMD26358	HUMAN13804, HUMAN05679
OG0001571	SCHMD20861, SCHMD22039	HUMAN05678
OG0001572	SCHMD04033	HUMAN13726
OG0001572	SCHMD14275, SCHMD14274	HUMAN11626, HUMAN11627
OG0001575	SCHMD13351	HUMAN20511
OG0001576	SCHMD23672	HUMAN23520, HUMAN09989, HUMAN09990
OG0001578	SCHMD10414	HUMAN27577, HUMAN27576, HUMAN03525
OG0001580	SCHMD08361, SCHMD16167, SCHMD15393	HUMAN19240, HUMAN19239, HUMAN19238, HUMAN15241
OG0001582	SCHMD10962, SCHMD17543, SCHMD18112	HUMAN11711
OG0001583	SCHMD16986, SCHMD12401, SCHMD16987, SCHMD12400, SCHMD11526	HUMAN22254, HUMAN22253, HUMAN22251, HUMAN22252, HUMAN03577
OG0001584	SCHMD00503	HUMAN07637
OG0001589	SCHMD27652, SCHMD23084	HUMAN13366, HUMAN10236
OG0001590	SCHMD09239	HUMAN09425
OG0001590	SCHMD09240	HUMAN09424
OG0001593	SCHMD12117, SCHMD02219, SCHMD12348, SCHMD22687	HUMAN28942, HUMAN09707, HUMAN06299, HUMAN01587, HUMAN01588
OG0001596	SCHMD09207	HUMAN06207, HUMAN28876
OG0001597	SCHMD15780, SCHMD26075	HUMAN03834
OG0001599	SCHMD24770	HUMAN13429
OG0001599	SCHMD16474	HUMAN13428
OG0001602	SCHMD00024	HUMAN04443
OG0001603	SCHMD10551	HUMAN24754
OG0001604	SCHMD02109	HUMAN12471, HUMAN12472
OG0001605	SCHMD09782	HUMAN07945, HUMAN07944
OG0001609	SCHMD16467	HUMAN07643
OG0001609	SCHMD16231, SCHMD10959, SCHMD10960	HUMAN21122, HUMAN07645
OG0001610	SCHMD03213	HUMAN22869, HUMAN00777, HUMAN19044, HUMAN07487, HUMAN28094
OG0001611	SCHMD04102, SCHMD12631	HUMAN08978, HUMAN02546
OG0001612	SCHMD18636, SCHMD18391	HUMAN19504
OG0001612	SCHMD14255, SCHMD22594	HUMAN25319
OG0001613	SCHMD05811	HUMAN24818
OG0001614	SCHMD04001	HUMAN14358
OG0001615	SCHMD14018	HUMAN04414, HUMAN27016
OG0001617	SCHMD05139	HUMAN20425, HUMAN06149, HUMAN24916
OG0001620	SCHMD22740, SCHMD18214	HUMAN24750, HUMAN24751, HUMAN02052
OG0001621	SCHMD01143, SCHMD22227, SCHMD15718, SCHMD23766, SCHMD07369, SCHMD17584, SCHMD26761, SCHMD18496	HUMAN10405, HUMAN20233
OG0001625	SCHMD28211, SCHMD26150	HUMAN01087, HUMAN01088, HUMAN28505
OG0001627	SCHMD06117	HUMAN28211, HUMAN24158
OG0001630	SCHMD26993	HUMAN26733, HUMAN00265, HUMAN00266
OG0001632	SCHMD12105, SCHMD26476	HUMAN20860, HUMAN20348, HUMAN01354
OG0001634	SCHMD24659	HUMAN29106
OG0001634	SCHMD04359, SCHMD08780, SCHMD05004	HUMAN02620, HUMAN15581
OG0001635	SCHMD28223, SCHMD16378, SCHMD06734, SCHMD07919	HUMAN29596, HUMAN30204
OG0001635	SCHMD28110	HUMAN30203, HUMAN26031
OG0001638	SCHMD00159, SCHMD00160	HUMAN10802, HUMAN10801, HUMAN11783, HUMAN11785, HUMAN11784
OG0001639	SCHMD07144	HUMAN09764, HUMAN14138
OG0001640	SCHMD02843	HUMAN06231, HUMAN30519, HUMAN30518, HUMAN21156, HUMAN21157
OG0001641	SCHMD03047	HUMAN02994
OG0001642	SCHMD20801, SCHMD12647	HUMAN04974, HUMAN04971, HUMAN04972, HUMAN04973, HUMAN04975, HUMAN04979, HUMAN04977, HUMAN04978, HUMAN04976
OG0001644	SCHMD20924	HUMAN24567, HUMAN16593
OG0001646	SCHMD00577	HUMAN10878, HUMAN26744, HUMAN26256, HUMAN26257, HUMAN26258, HUMAN22061, HUMAN07154, HUMAN22062
OG0001651	SCHMD15448	HUMAN24385, HUMAN03098, HUMAN22631
OG0001653	SCHMD13946	HUMAN23274
OG0001655	SCHMD06776	HUMAN29890, HUMAN23043, HUMAN29586, HUMAN29889
OG0001656	SCHMD22556	HUMAN07544, HUMAN07542, HUMAN07543, HUMAN07548, HUMAN07549, HUMAN07550, HUMAN07547, HUMAN12664
OG0001658	SCHMD03463, SCHMD13530	HUMAN13850
OG0001659	SCHMD19168	HUMAN25774, HUMAN25773, HUMAN25771, HUMAN25770
OG0001660	SCHMD01572, SCHMD29332	HUMAN24142, HUMAN22382, HUMAN29625, HUMAN30126, HUMAN22381
OG0001662	SCHMD19275	HUMAN05309
OG0001662	SCHMD25740, SCHMD13136	HUMAN26391, HUMAN07388
OG0001664	SCHMD13680, SCHMD17585	HUMAN14776, HUMAN14775
OG0001665	SCHMD19795	HUMAN13477, HUMAN13476, HUMAN10572
OG0001666	SCHMD03955, SCHMD03098, SCHMD26493, SCHMD18331	HUMAN07809
OG0001667	SCHMD18800, SCHMD13601, SCHMD20100	HUMAN12734, HUMAN26001, HUMAN26000, HUMAN06279, HUMAN06280, HUMAN06278
OG0001668	SCHMD04958	HUMAN25853
OG0001668	SCHMD04844, SCHMD21993, SCHMD13934, SCHMD21994, SCHMD04957, SCHMD04845	HUMAN25854
OG0001670	SCHMD00224	HUMAN28663, HUMAN00915
OG0001671	SCHMD21324	HUMAN20911
OG0001672	SCHMD11260, SCHMD13294, SCHMD11259	HUMAN29688, HUMAN17876, HUMAN12952, HUMAN26575
OG0001676	SCHMD07166, SCHMD13666	HUMAN03206
OG0001677	SCHMD13425	HUMAN07349, HUMAN07350
OG0001682	SCHMD04768	HUMAN18147
OG0001683	SCHMD09006, SCHMD12944, SCHMD06427	HUMAN30085, HUMAN01479, HUMAN00558, HUMAN25314
OG0001685	SCHMD20869, SCHMD15163, SCHMD14291, SCHMD14561, SCHMD03324, SCHMD25640, SCHMD02880, SCHMD13866, SCHMD13867, SCHMD17545, SCHMD20045, SCHMD19660, SCHMD24220, SCHMD28371, SCHMD22627, SCHMD12886, SCHMD21854, SCHMD19999, SCHMD27827, SCHMD23046, SCHMD22626	HUMAN22339
OG0001688	SCHMD12122, SCHMD25973, SCHMD11868	HUMAN22303, HUMAN22304, HUMAN22302, HUMAN03992
OG0001689	SCHMD23267, SCHMD11416	HUMAN11738
OG0001689	SCHMD11417	HUMAN11739
OG0001690	SCHMD02946	HUMAN01169
OG0001691	SCHMD00990, SCHMD08142	HUMAN10903
OG0001692	SCHMD05750	HUMAN23439
OG0001693	SCHMD18507, SCHMD16544	HUMAN00705
OG0001699	SCHMD01981	HUMAN12717, HUMAN12716, HUMAN27253
OG0001707	SCHMD28717, SCHMD29464, SCHMD20857	HUMAN13776, HUMAN13775, HUMAN16739
OG0001708	SCHMD28849, SCHMD14466, SCHMD06180	HUMAN01995, HUMAN01996
OG0001711	SCHMD04571	HUMAN04935, HUMAN04934, HUMAN04933, HUMAN09017
OG0001713	SCHMD11479	HUMAN11446, HUMAN11444, HUMAN11445
OG0001714	SCHMD00942	HUMAN20173
OG0001716	SCHMD16469, SCHMD14355, SCHMD09422, SCHMD01593, SCHMD04189, SCHMD04185, SCHMD11521, SCHMD02529, SCHMD01592, SCHMD04187, SCHMD04186, SCHMD02528	HUMAN18566, HUMAN18568, HUMAN18567
OG0001718	SCHMD15790	HUMAN08462, HUMAN25013, HUMAN25014
OG0001720	SCHMD15757	HUMAN12316, HUMAN04993, HUMAN07123
OG0001721	SCHMD13571, SCHMD02927, SCHMD02924, SCHMD01779, SCHMD07361, SCHMD01469, SCHMD01470, SCHMD13572, SCHMD02923, SCHMD02926	HUMAN25291, HUMAN08491
OG0001723	SCHMD01945	HUMAN30388
OG0001724	SCHMD24845, SCHMD14505, SCHMD24846	HUMAN25295
OG0001726	SCHMD06142, SCHMD13209	HUMAN16877, HUMAN08380
OG0001726	SCHMD14995, SCHMD16386	HUMAN22539
OG0001727	SCHMD10475, SCHMD05882, SCHMD07424, SCHMD10474	HUMAN15860, HUMAN15859, HUMAN08259, HUMAN16842
OG0001728	SCHMD17375	HUMAN09496, HUMAN23695
OG0001729	SCHMD13670, SCHMD12911, SCHMD05814, SCHMD09420, SCHMD04561, SCHMD11586, SCHMD22783, SCHMD11159	HUMAN26808, HUMAN20869, HUMAN20870
OG0001730	SCHMD11237, SCHMD15709	HUMAN14924, HUMAN00990, HUMAN14923
OG0001732	SCHMD09964	HUMAN30348, HUMAN07896, HUMAN21599, HUMAN21598, HUMAN21600
OG0001733	SCHMD11880	HUMAN17168
OG0001734	SCHMD19353	HUMAN04689
OG0001734	SCHMD27529, SCHMD23016	HUMAN04688
OG0001735	SCHMD04334	HUMAN17857, HUMAN13129
OG0001736	SCHMD13051	HUMAN11325, HUMAN14071
OG0001737	SCHMD04897	HUMAN27862, HUMAN19270
OG0001737	SCHMD19940, SCHMD12224	HUMAN19449, HUMAN25649
OG0001738	SCHMD28176	HUMAN07064, HUMAN07066, HUMAN03839, HUMAN03837, HUMAN07063, HUMAN07065, HUMAN03838
OG0001739	SCHMD14266	HUMAN30049, HUMAN30048
OG0001739	SCHMD04721	HUMAN06840, HUMAN06841, HUMAN06839, HUMAN03964
OG0001743	SCHMD11848, SCHMD11849, SCHMD11847	HUMAN29327
OG0001745	SCHMD03643, SCHMD12507, SCHMD09820, SCHMD13748, SCHMD12508, SCHMD16928, SCHMD20075, SCHMD15679, SCHMD29088	HUMAN00586, HUMAN00585, HUMAN00587, HUMAN00584, HUMAN25534
OG0001752	SCHMD04217	HUMAN14402, HUMAN14401, HUMAN09557
OG0001754	SCHMD16498	HUMAN25325
OG0001755	SCHMD00304	HUMAN05480
OG0001758	SCHMD21919	HUMAN12281
OG0001759	SCHMD15866	HUMAN03559
OG0001769	SCHMD03951	HUMAN03651
OG0001770	SCHMD22893, SCHMD22374	HUMAN24382, HUMAN17425, HUMAN30193, HUMAN24381, HUMAN22894
OG0001774	SCHMD06607	HUMAN18619
OG0001776	SCHMD01301	HUMAN17361
OG0001778	SCHMD00867	HUMAN08145
OG0001780	SCHMD19255, SCHMD20118	HUMAN19749, HUMAN30120
OG0001781	SCHMD07439	HUMAN12741
OG0001781	SCHMD28287	HUMAN12740
OG0001781	SCHMD11700, SCHMD23557, SCHMD23630	HUMAN24740
OG0001783	SCHMD15033, SCHMD26133	HUMAN10327, HUMAN10326
OG0001785	SCHMD16368	HUMAN07812
OG0001787	SCHMD15982	HUMAN19491, HUMAN19493, HUMAN19494, HUMAN19492, HUMAN25152, HUMAN25151, HUMAN00492
OG0001788	SCHMD08675	HUMAN16667
OG0001792	SCHMD00384	HUMAN29333
OG0001798	SCHMD06352, SCHMD07989	HUMAN14327, HUMAN14328, HUMAN09868
OG0001799	SCHMD24089, SCHMD21456	HUMAN07343
OG0001805	SCHMD01576	HUMAN06848
OG0001807	SCHMD01495	HUMAN12665
OG0001808	SCHMD04780	HUMAN22069, HUMAN22068, HUMAN01110
OG0001809	SCHMD03279	HUMAN29140, HUMAN02152, HUMAN02151, HUMAN02153, HUMAN02155, HUMAN02158, HUMAN02157, HUMAN02156, HUMAN02154
OG0001810	SCHMD28471, SCHMD25400	HUMAN25995, HUMAN25994, HUMAN18086
OG0001816	SCHMD07209	HUMAN23426
OG0001818	SCHMD13473, SCHMD29528, SCHMD15135	HUMAN08932, HUMAN25133
OG0001819	SCHMD06459	HUMAN26303, HUMAN26302, HUMAN17758
OG0001820	SCHMD14228, SCHMD02398	HUMAN22655, HUMAN22654, HUMAN22657, HUMAN03192
OG0001821	SCHMD26501	HUMAN20151
OG0001821	SCHMD28800, SCHMD18321	HUMAN20150
OG0001822	SCHMD21605	HUMAN04122
OG0001823	SCHMD13338	HUMAN28819
OG0001824	SCHMD01899	HUMAN04962, HUMAN04963
OG0001825	SCHMD06748	HUMAN28268, HUMAN25258, HUMAN28269, HUMAN28270
OG0001826	SCHMD25796, SCHMD02997	HUMAN18296, HUMAN30222
OG0001827	SCHMD17765, SCHMD19189	HUMAN29268
OG0001829	SCHMD09587	HUMAN11147, HUMAN11495
OG0001829	SCHMD23709, SCHMD26086	HUMAN11148
OG0001832	SCHMD09061	HUMAN29361, HUMAN10008, HUMAN10007, HUMAN01888, HUMAN10006
OG0001834	SCHMD04020, SCHMD20048	HUMAN18097, HUMAN02973
OG0001846	SCHMD09924	HUMAN25244, HUMAN18589, HUMAN16677, HUMAN18592, HUMAN16676
OG0001849	SCHMD05416	HUMAN06578
OG0001850	SCHMD14974, SCHMD17053	HUMAN27412, HUMAN27410, HUMAN27411
OG0001852	SCHMD15247	HUMAN06722
OG0001852	SCHMD01397	HUMAN06720, HUMAN20898
OG0001853	SCHMD00353	HUMAN28392, HUMAN18575
OG0001855	SCHMD21348, SCHMD27665, SCHMD12287	HUMAN13026
OG0001857	SCHMD00486	HUMAN16699, HUMAN28241
OG0001858	SCHMD04633, SCHMD16003	HUMAN03335
OG0001860	SCHMD14532	HUMAN03905, HUMAN03906
OG0001861	SCHMD02441, SCHMD00846, SCHMD13519	HUMAN02516
OG0001861	SCHMD03031	HUMAN02475
OG0001862	SCHMD11318, SCHMD06548, SCHMD11319, SCHMD13785	HUMAN14487, HUMAN01898, HUMAN10090
OG0001863	SCHMD26126	HUMAN27302
OG0001863	SCHMD07330	HUMAN27303
OG0001866	SCHMD23003	HUMAN25781
OG0001866	SCHMD17047	HUMAN25782, HUMAN25780, HUMAN19444
OG0001867	SCHMD06149	HUMAN13230
OG0001869	SCHMD19852	HUMAN00228, HUMAN00227
OG0001870	SCHMD08001, SCHMD03109	HUMAN28292, HUMAN00640, HUMAN25247
