Orthogroup	SCHMD	YEAST
OG0000894	SCHMD05374, SCHMD26280, SCHMD11594, SCHMD05061	YEAST03763
OG0000896	SCHMD08034	YEAST02476
OG0000896	SCHMD03189	YEAST04923
OG0000905	SCHMD01394, SCHMD17642, SCHMD19023, SCHMD01395	YEAST00599
OG0000907	SCHMD20214, SCHMD15966, SCHMD20213, SCHMD25072, SCHMD03616, SCHMD11090	YEAST02193
OG0000913	SCHMD10820, SCHMD18663, SCHMD25146, SCHMD27220	YEAST03557, YEAST05101
OG0000914	SCHMD13079, SCHMD10834, SCHMD13078	YEAST04745
OG0000921	SCHMD07722, SCHMD16276, SCHMD16275, SCHMD23625, SCHMD29422	YEAST02526
OG0000925	SCHMD01205, SCHMD18689, SCHMD00501, SCHMD05937	YEAST05667, YEAST06025
OG0000932	SCHMD01739, SCHMD13731, SCHMD13730, SCHMD01738	YEAST03525
OG0000933	SCHMD17143, SCHMD03632, SCHMD07102, SCHMD01828, SCHMD29251, SCHMD08939, SCHMD02882, SCHMD28308, SCHMD17968, SCHMD28525, SCHMD13327, SCHMD17140, SCHMD17141	YEAST06306
OG0000934	SCHMD07111, SCHMD08216	YEAST02582, YEAST06252
OG0000935	SCHMD09505, SCHMD18565, SCHMD18664	YEAST02843
OG0000943	SCHMD26109, SCHMD19076	YEAST03805
OG0000944	SCHMD28902	YEAST05455
OG0000944	SCHMD15750, SCHMD08364, SCHMD27347	YEAST04878
OG0000954	SCHMD05029, SCHMD08968, SCHMD13763, SCHMD29586, SCHMD05469, SCHMD02974	YEAST05503, YEAST01249
OG0000955	SCHMD06645, SCHMD03890, SCHMD04591	YEAST00837
OG0000963	SCHMD22298, SCHMD11708, SCHMD04476	YEAST03685, YEAST00482, YEAST01749
OG0000965	SCHMD22316, SCHMD15133, SCHMD13697, SCHMD12517	YEAST02050
OG0000967	SCHMD11342, SCHMD26265, SCHMD04568, SCHMD05844, SCHMD03950	YEAST05075
OG0000970	SCHMD05308	YEAST04028
OG0000982	SCHMD26054, SCHMD08717, SCHMD22914	YEAST01182
OG0000984	SCHMD02865, SCHMD00646	YEAST01493, YEAST00575
OG0000986	SCHMD25195, SCHMD27305, SCHMD22933, SCHMD10755, SCHMD11238, SCHMD09897	YEAST01481, YEAST04073
OG0000987	SCHMD03090, SCHMD13202, SCHMD12033, SCHMD17704, SCHMD13203, SCHMD12032, SCHMD16148, SCHMD13314, SCHMD17705	YEAST04734, YEAST02734
OG0000994	SCHMD25226, SCHMD16609, SCHMD05568, SCHMD07286, SCHMD05567, SCHMD20950, SCHMD23497, SCHMD16610, SCHMD07202, SCHMD11541, SCHMD07203, SCHMD16602, SCHMD10604	YEAST02360
OG0001001	SCHMD07357, SCHMD07356	YEAST00341
OG0001003	SCHMD21687, SCHMD24830, SCHMD24829, SCHMD21686	YEAST00644
OG0001005	SCHMD01144	YEAST03721
OG0001005	SCHMD03527	YEAST04253, YEAST02546
OG0001006	SCHMD17048, SCHMD11571	YEAST04513
OG0001016	SCHMD05206, SCHMD23273, SCHMD15080, SCHMD25548, SCHMD21254	YEAST00830
OG0001018	SCHMD08153	YEAST01172
OG0001024	SCHMD01762, SCHMD03107	YEAST01024, YEAST00308
OG0001033	SCHMD10492	YEAST02124
OG0001064	SCHMD00355, SCHMD00354, SCHMD28345	YEAST00458
OG0001066	SCHMD24046, SCHMD10767	YEAST06311
OG0001075	SCHMD20153, SCHMD20154, SCHMD04393, SCHMD13181, SCHMD04392, SCHMD00196, SCHMD16771	YEAST05636
OG0001076	SCHMD11877, SCHMD11878, SCHMD07132, SCHMD07131	YEAST01570
OG0001081	SCHMD03711, SCHMD03710, SCHMD05425	YEAST04460
OG0001082	SCHMD14053, SCHMD28613, SCHMD18679, SCHMD25513	YEAST03919, YEAST02905, YEAST05331
OG0001094	SCHMD01339, SCHMD02841, SCHMD07133, SCHMD16607, SCHMD02809, SCHMD26909, SCHMD21662	YEAST03837
OG0001096	SCHMD11467, SCHMD14874	YEAST01384
OG0001101	SCHMD06917, SCHMD18684	YEAST03434
OG0001101	SCHMD18683, SCHMD23171	YEAST04701
OG0001108	SCHMD08133, SCHMD19593	YEAST06309
OG0001113	SCHMD04717	YEAST05320
OG0001113	SCHMD08665, SCHMD03992	YEAST00954
OG0001114	SCHMD27710, SCHMD15592, SCHMD14156, SCHMD02552, SCHMD07391, SCHMD18228, SCHMD14100, SCHMD15222	YEAST00036, YEAST05811
OG0001124	SCHMD24013	YEAST02719
OG0001133	SCHMD18643	YEAST04296
OG0001133	SCHMD29299, SCHMD19714	YEAST03271
OG0001135	SCHMD28946, SCHMD01011, SCHMD22792	YEAST03641
OG0001136	SCHMD09640, SCHMD08874, SCHMD07287, SCHMD16997, SCHMD26014, SCHMD23231	YEAST05047, YEAST02997
OG0001140	SCHMD22679, SCHMD17712, SCHMD14631, SCHMD02111, SCHMD16673, SCHMD18031, SCHMD24981, SCHMD17350, SCHMD11695, SCHMD21848, SCHMD22963, SCHMD14630, SCHMD17713, SCHMD26239, SCHMD04472	YEAST03519
OG0001142	SCHMD12785, SCHMD19807, SCHMD09379	YEAST04001
OG0001148	SCHMD21140, SCHMD22837	YEAST01094, YEAST03983
OG0001164	SCHMD22065, SCHMD03049, SCHMD03051, SCHMD03050	YEAST03454
OG0001171	SCHMD07172	YEAST04620, YEAST03578
OG0001175	SCHMD29294, SCHMD29072, SCHMD18473	YEAST00534
OG0001177	SCHMD07014, SCHMD07016, SCHMD07017, SCHMD07015	YEAST06137
OG0001179	SCHMD26379, SCHMD19758, SCHMD28127, SCHMD24134	YEAST00368, YEAST04831, YEAST02287
OG0001181	SCHMD21797	YEAST02051
OG0001184	SCHMD09255, SCHMD12752, SCHMD29753, SCHMD15110, SCHMD23640	YEAST01681
OG0001185	SCHMD23236, SCHMD12839	YEAST04969
OG0001186	SCHMD20610, SCHMD05037	YEAST04605, YEAST01886
OG0001191	SCHMD04837, SCHMD00186, SCHMD08591, SCHMD11387	YEAST04707
OG0001197	SCHMD06230, SCHMD16253	YEAST01499
OG0001201	SCHMD18644	YEAST05452
OG0001204	SCHMD08657, SCHMD22624, SCHMD10325	YEAST05200
OG0001207	SCHMD02145, SCHMD05067, SCHMD08759, SCHMD15345	YEAST03225, YEAST00090
OG0001207	SCHMD07731	YEAST04258
OG0001210	SCHMD19442, SCHMD19441	YEAST05511
OG0001210	SCHMD03206, SCHMD03203, SCHMD03204	YEAST02318
OG0001212	SCHMD25299	YEAST03971
OG0001214	SCHMD22221	YEAST00577
OG0001216	SCHMD13349	YEAST00145
OG0001219	SCHMD09614, SCHMD00713, SCHMD24633, SCHMD26316, SCHMD10663	YEAST03867
OG0001236	SCHMD08913, SCHMD03442, SCHMD05776, SCHMD14035	YEAST03325, YEAST02687, YEAST03269
OG0001238	SCHMD09688	YEAST04481
OG0001241	SCHMD04223	YEAST02002
OG0001241	SCHMD16327	YEAST03967, YEAST01074
OG0001249	SCHMD01150, SCHMD03693, SCHMD01149	YEAST01062, YEAST02067
OG0001250	SCHMD08101, SCHMD04347, SCHMD05096	YEAST02968, YEAST01339
OG0001251	SCHMD18877, SCHMD19053, SCHMD14253, SCHMD20912, SCHMD12715, SCHMD28936, SCHMD28005, SCHMD12716, SCHMD27549, SCHMD29155, SCHMD19759	YEAST01707
OG0001254	SCHMD14258, SCHMD09217	YEAST04309
OG0001262	SCHMD20011, SCHMD20259	YEAST00911
OG0001263	SCHMD17470	YEAST00172
OG0001268	SCHMD03342, SCHMD05378, SCHMD01057, SCHMD24040	YEAST03495
OG0001271	SCHMD04304, SCHMD05357	YEAST05227, YEAST00662
OG0001278	SCHMD25706, SCHMD22381	YEAST01893
OG0001279	SCHMD06836	YEAST03070
OG0001280	SCHMD09937, SCHMD20104, SCHMD05674, SCHMD11884, SCHMD00561, SCHMD09707, SCHMD06534	YEAST00846
OG0001282	SCHMD08027, SCHMD08026, SCHMD08025, SCHMD08022	YEAST03744
OG0001284	SCHMD09316, SCHMD00434	YEAST00567, YEAST01498
OG0001286	SCHMD05790	YEAST00588, YEAST01486, YEAST03604
OG0001291	SCHMD20641, SCHMD11793	YEAST04453, YEAST04334
OG0001300	SCHMD00214, SCHMD19001, SCHMD09152, SCHMD17144, SCHMD02202	YEAST01098
OG0001302	SCHMD13885	YEAST02328
OG0001302	SCHMD08617, SCHMD27826	YEAST00299
OG0001310	SCHMD22296, SCHMD19422, SCHMD09167	YEAST00887
OG0001318	SCHMD07054, SCHMD16802, SCHMD26166	YEAST03712
OG0001319	SCHMD14764	YEAST01678
OG0001321	SCHMD23818, SCHMD02049, SCHMD10794	YEAST02280, YEAST01901
OG0001322	SCHMD09506	YEAST06128
OG0001324	SCHMD06767	YEAST00078
OG0001325	SCHMD05728	YEAST00793
OG0001326	SCHMD29052, SCHMD26738, SCHMD21907, SCHMD17595, SCHMD08761, SCHMD19423	YEAST05395
OG0001327	SCHMD18386, SCHMD19068, SCHMD08653, SCHMD04846, SCHMD02379	YEAST03176
OG0001332	SCHMD04204, SCHMD03025, SCHMD08288, SCHMD29775, SCHMD19949	YEAST03929, YEAST02705, YEAST00687
OG0001333	SCHMD15673, SCHMD23155	YEAST00728
OG0001341	SCHMD02609, SCHMD12794, SCHMD01188, SCHMD02608	YEAST06006
OG0001345	SCHMD01304, SCHMD10432, SCHMD01305, SCHMD01303, SCHMD21023, SCHMD24520, SCHMD19982, SCHMD16568	YEAST03613
OG0001353	SCHMD10586	YEAST00020, YEAST04041
OG0001363	SCHMD05287, SCHMD16288, SCHMD05291, SCHMD05173	YEAST06180
OG0001364	SCHMD00323, SCHMD27572, SCHMD21273	YEAST06038, YEAST00402
OG0001367	SCHMD04624	YEAST04688
OG0001368	SCHMD12524, SCHMD12925, SCHMD10124, SCHMD12523, SCHMD08134, SCHMD19303, SCHMD02343	YEAST01821
OG0001370	SCHMD12004, SCHMD18225, SCHMD11963	YEAST04067, YEAST05195, YEAST00897
OG0001371	SCHMD02523, SCHMD02524	YEAST00532, YEAST03976
OG0001372	SCHMD12917, SCHMD12353, SCHMD23970	YEAST00070
OG0001372	SCHMD29815	YEAST02226, YEAST04198, YEAST02307
OG0001375	SCHMD18333	YEAST05499, YEAST05567
OG0001378	SCHMD11687, SCHMD12504, SCHMD07107	YEAST02300
OG0001379	SCHMD15234	YEAST04155
OG0001386	SCHMD24943, SCHMD20670, SCHMD14052, SCHMD07967, SCHMD00663, SCHMD14821, SCHMD21484, SCHMD16845, SCHMD00665, SCHMD00661, SCHMD00664, SCHMD14822, SCHMD16844	YEAST05114
OG0001397	SCHMD08548, SCHMD08095	YEAST05731
OG0001400	SCHMD26317	YEAST02931
OG0001409	SCHMD20637, SCHMD16856, SCHMD04792	YEAST00885, YEAST04659
OG0001410	SCHMD09832, SCHMD09687	YEAST05046
OG0001411	SCHMD13417, SCHMD19317, SCHMD13416, SCHMD19137	YEAST04834
OG0001412	SCHMD13223	YEAST04490
OG0001413	SCHMD02827, SCHMD02718	YEAST04294
OG0001414	SCHMD11042, SCHMD06335, SCHMD19649	YEAST06070, YEAST01920
OG0001415	SCHMD01522, SCHMD16066, SCHMD16500, SCHMD15947	YEAST00964
OG0001421	SCHMD14208	YEAST05252
OG0001422	SCHMD20752, SCHMD21796, SCHMD18897, SCHMD04981, SCHMD04982	YEAST05588, YEAST01363
OG0001424	SCHMD23260, SCHMD24676	YEAST01127
OG0001427	SCHMD04595, SCHMD03939, SCHMD00575	YEAST01885
OG0001428	SCHMD09370, SCHMD15075, SCHMD06126, SCHMD06125	YEAST04862, YEAST05862, YEAST02749, YEAST03037
OG0001430	SCHMD15108, SCHMD00026, SCHMD10321, SCHMD18811	YEAST01712
OG0001434	SCHMD28633, SCHMD11795, SCHMD28634	YEAST03991
OG0001437	SCHMD15768, SCHMD19785	YEAST01264, YEAST02900
OG0001437	SCHMD10576	YEAST05391
OG0001445	SCHMD04082	YEAST01715
OG0001449	SCHMD11900	YEAST03188
OG0001449	SCHMD21822	YEAST05764
OG0001452	SCHMD18703, SCHMD12394, SCHMD18702	YEAST05900
OG0001454	SCHMD21412, SCHMD12857, SCHMD10712, SCHMD05935, SCHMD27841, SCHMD03145	YEAST01495, YEAST00573
OG0001456	SCHMD21417, SCHMD21418, SCHMD22269, SCHMD26154	YEAST00365
OG0001459	SCHMD26904, SCHMD06959	YEAST03073, YEAST03464
OG0001461	SCHMD05456, SCHMD05457, SCHMD13257	YEAST05255
OG0001468	SCHMD00390, SCHMD12591	YEAST03875, YEAST03904
OG0001469	SCHMD09394	YEAST02070
OG0001469	SCHMD21311, SCHMD29089, SCHMD24067, SCHMD10449	YEAST02765
OG0001470	SCHMD02319, SCHMD02322, SCHMD02321, SCHMD02318, SCHMD02316, SCHMD02317	YEAST00369, YEAST05375
OG0001472	SCHMD12948, SCHMD13936, SCHMD13397, SCHMD27432	YEAST03031
OG0001474	SCHMD07416, SCHMD07415, SCHMD11576, SCHMD26877	YEAST01416, YEAST05312
OG0001478	SCHMD22576, SCHMD26017	YEAST01984
OG0001479	SCHMD08556, SCHMD08688, SCHMD12413, SCHMD08686	YEAST01132
OG0001503	SCHMD25279, SCHMD19928	YEAST03032
OG0001503	SCHMD25148	YEAST02920
OG0001504	SCHMD05964	YEAST05406
OG0001505	SCHMD11449, SCHMD14373, SCHMD09878, SCHMD13864, SCHMD07951, SCHMD16094	YEAST03361
OG0001508	SCHMD22201, SCHMD18843, SCHMD16325, SCHMD15374, SCHMD25241, SCHMD10291, SCHMD10290	YEAST04143
OG0001515	SCHMD18483	YEAST03320
OG0001524	SCHMD08154, SCHMD08155, SCHMD28352, SCHMD06432	YEAST03912
OG0001525	SCHMD22768, SCHMD18999, SCHMD19000, SCHMD08330	YEAST00757
OG0001527	SCHMD05435, SCHMD08837	YEAST01395
OG0001530	SCHMD09338, SCHMD11853, SCHMD11854, SCHMD11855, SCHMD09337	YEAST00643
OG0001546	SCHMD23905, SCHMD27205, SCHMD23904	YEAST03111
OG0001551	SCHMD21975	YEAST04817
OG0001553	SCHMD15846, SCHMD15532, SCHMD10896, SCHMD19069, SCHMD06566	YEAST05147, YEAST01586
OG0001557	SCHMD13972	YEAST04551
OG0001558	SCHMD18412, SCHMD28405	YEAST04449
OG0001559	SCHMD02521	YEAST00445, YEAST02434
OG0001561	SCHMD21318	YEAST06176
OG0001570	SCHMD29260, SCHMD04583	YEAST04678
OG0001578	SCHMD10414, SCHMD23824, SCHMD02601, SCHMD16379, SCHMD03341, SCHMD25094, SCHMD28767, SCHMD22237, SCHMD21742, SCHMD12822, SCHMD27984, SCHMD17160, SCHMD15359, SCHMD08800, SCHMD28092, SCHMD27354, SCHMD29512, SCHMD10415, SCHMD26437, SCHMD25857, SCHMD28284, SCHMD09368, SCHMD10413	YEAST01872
OG0001580	SCHMD08362, SCHMD08361, SCHMD16167, SCHMD15393	YEAST06270
OG0001590	SCHMD09239, SCHMD09240	YEAST03476, YEAST00717, YEAST03955
OG0001594	SCHMD14548, SCHMD07059, SCHMD10235	YEAST03418
OG0001597	SCHMD15780, SCHMD26075	YEAST01702
OG0001603	SCHMD09507, SCHMD10551, SCHMD29423, SCHMD29329	YEAST02584
OG0001604	SCHMD02109	YEAST01428
OG0001605	SCHMD09782	YEAST04101
OG0001609	SCHMD16467, SCHMD16231, SCHMD10959, SCHMD10960	YEAST02739
OG0001610	SCHMD03213	YEAST02062
OG0001612	SCHMD18390, SCHMD18635, SCHMD18636, SCHMD18391, SCHMD14255, SCHMD22594, SCHMD22464	YEAST01109
OG0001635	SCHMD29724	YEAST00156, YEAST01988, YEAST02833
OG0001653	SCHMD11720, SCHMD13944, SCHMD11719, SCHMD13945, SCHMD13946	YEAST01151
OG0001655	SCHMD06776	YEAST03354
OG0001657	SCHMD07705, SCHMD10000, SCHMD12957	YEAST00101, YEAST00944
OG0001676	SCHMD07166, SCHMD13666	YEAST02848
OG0001685	SCHMD20869, SCHMD15163, SCHMD14291, SCHMD14561, SCHMD03324, SCHMD25640, SCHMD02880, SCHMD13866, SCHMD13867, SCHMD17545, SCHMD20045, SCHMD19660, SCHMD24220, SCHMD28371, SCHMD22627, SCHMD12886, SCHMD21854, SCHMD19999, SCHMD27827, SCHMD23046, SCHMD22626	YEAST01147
OG0001691	SCHMD00990, SCHMD08142, SCHMD00989	YEAST01315
OG0001706	SCHMD23697, SCHMD10453	YEAST03424
OG0001707	SCHMD28717, SCHMD29464, SCHMD20857	YEAST06049, YEAST00407, YEAST04739
OG0001708	SCHMD28849, SCHMD14466, SCHMD06180, SCHMD15863, SCHMD27570	YEAST05744, YEAST05745
OG0001713	SCHMD11479	YEAST04039
OG0001718	SCHMD15790	YEAST01537
OG0001721	SCHMD13571, SCHMD02927, SCHMD02924, SCHMD01779, SCHMD07361, SCHMD01469, SCHMD01470, SCHMD13572, SCHMD02923, SCHMD02926	YEAST04881, YEAST05253, YEAST00698
OG0001723	SCHMD01945	YEAST01435
OG0001727	SCHMD10475, SCHMD05882, SCHMD07424, SCHMD10474, SCHMD11556, SCHMD07425	YEAST04543
OG0001728	SCHMD17374, SCHMD05716, SCHMD05712, SCHMD05715, SCHMD17375, SCHMD05717, SCHMD17376	YEAST03347
OG0001730	SCHMD11237, SCHMD15709, SCHMD28186, SCHMD15708	YEAST00177
OG0001739	SCHMD14266, SCHMD04721	YEAST03760
OG0001745	SCHMD03643, SCHMD12507, SCHMD09820, SCHMD13748, SCHMD12508, SCHMD16928, SCHMD20075, SCHMD15679, SCHMD29088	YEAST01431
OG0001750	SCHMD09704, SCHMD21648, SCHMD21002, SCHMD22592, SCHMD22591	YEAST03628
OG0001754	SCHMD16498, SCHMD12272, SCHMD04555, SCHMD01477	YEAST03682
OG0001755	SCHMD00304	YEAST05131
OG0001769	SCHMD03951	YEAST04726
OG0001770	SCHMD22893, SCHMD22374	YEAST02590
OG0001774	SCHMD06607	YEAST05166
OG0001775	SCHMD11489, SCHMD03765, SCHMD10862	YEAST05594
OG0001780	SCHMD19255, SCHMD20118, SCHMD28379	YEAST03768
OG0001781	SCHMD14650, SCHMD07439, SCHMD28287, SCHMD11700, SCHMD23557, SCHMD23630	YEAST01882
OG0001782	SCHMD09752, SCHMD10716	YEAST02421
OG0001785	SCHMD21396, SCHMD16367, SCHMD26545, SCHMD26015, SCHMD21397, SCHMD16368	YEAST02713
OG0001787	SCHMD15982	YEAST03546
OG0001792	SCHMD00384	YEAST04331, YEAST02075
OG0001793	SCHMD00952, SCHMD26216	YEAST02466
OG0001805	SCHMD01576	YEAST05496, YEAST01242
OG0001807	SCHMD01495, SCHMD01494	YEAST05464
OG0001808	SCHMD04780	YEAST01298
OG0001818	SCHMD29750, SCHMD10633, SCHMD28336, SCHMD12682, SCHMD16904, SCHMD13473, SCHMD29528, SCHMD15135	YEAST05902, YEAST04712
OG0001822	SCHMD21605, SCHMD12240	YEAST04378, YEAST01659
OG0001826	SCHMD25796, SCHMD02997	YEAST04777, YEAST01697, YEAST05781
OG0001828	SCHMD22292, SCHMD16899, SCHMD18304, SCHMD22290	YEAST04676
OG0001829	SCHMD09587, SCHMD23709, SCHMD26086	YEAST01613, YEAST00136, YEAST02008
OG0001831	SCHMD08523, SCHMD08524, SCHMD08522, SCHMD09304, SCHMD16172	YEAST00024
OG0001832	SCHMD09061	YEAST05376
OG0001846	SCHMD09485, SCHMD09924	YEAST05067
OG0001850	SCHMD14974, SCHMD17053	YEAST01913
OG0001852	SCHMD15247, SCHMD01397, SCHMD24019, SCHMD01396	YEAST03121
OG0001853	SCHMD08419, SCHMD00353	YEAST05176
OG0001857	SCHMD00487, SCHMD00486, SCHMD00485	YEAST04741
OG0001860	SCHMD12431, SCHMD14532, SCHMD14531, SCHMD12432	YEAST00188
OG0001861	SCHMD02441, SCHMD00846, SCHMD13519, SCHMD03031	YEAST05779, YEAST04773
OG0001863	SCHMD26126, SCHMD07330, SCHMD14322, SCHMD28681	YEAST03017
OG0001865	SCHMD16071	YEAST06037, YEAST00399
OG0001865	SCHMD25434, SCHMD17858, SCHMD12501	YEAST02919
OG0001866	SCHMD23003, SCHMD17047	YEAST05095, YEAST05570
OG0001867	SCHMD21507, SCHMD15353, SCHMD06151, SCHMD06149	YEAST01669
OG0001873	SCHMD09003	YEAST00981, YEAST00267
OG0001875	SCHMD29147, SCHMD28237, SCHMD11568	YEAST04137
OG0001877	SCHMD14827	YEAST04134
OG0001886	SCHMD00538	YEAST03260
OG0001888	SCHMD08491, SCHMD15697, SCHMD15696, SCHMD08492, SCHMD15698	YEAST05749, YEAST01573
OG0001894	SCHMD11512	YEAST00433
OG0001900	SCHMD01255	YEAST05969
OG0001903	SCHMD21188, SCHMD20979, SCHMD22850, SCHMD27584, SCHMD18188	YEAST06020
OG0001913	SCHMD08198, SCHMD01162	YEAST05520
OG0001915	SCHMD25861, SCHMD26425, SCHMD11585, SCHMD06004	YEAST04791
OG0001917	SCHMD07933	YEAST01859
OG0001923	SCHMD05921	YEAST05881
OG0001926	SCHMD20309, SCHMD16846	YEAST02948
OG0001932	SCHMD07454, SCHMD17903, SCHMD00368	YEAST03770, YEAST03179
OG0001935	SCHMD23048	YEAST00431
OG0001938	SCHMD19401, SCHMD25673, SCHMD23826, SCHMD24292, SCHMD20224, SCHMD15510	YEAST03931
OG0001940	SCHMD06251	YEAST04188, YEAST05646
OG0001943	SCHMD03979	YEAST02393, YEAST05966
OG0001945	SCHMD07577	YEAST01671
OG0001947	SCHMD00740	YEAST02570
OG0001951	SCHMD10937, SCHMD17652, SCHMD16242	YEAST00941, YEAST05396
OG0001952	SCHMD08803, SCHMD19932, SCHMD20340	YEAST04673, YEAST01990, YEAST00155
OG0001965	SCHMD15198	YEAST04582
OG0001968	SCHMD12918	YEAST04910
OG0001969	SCHMD08414, SCHMD09063	YEAST06173
OG0001972	SCHMD29676	YEAST05954
OG0001972	SCHMD07972, SCHMD26110	YEAST01822, YEAST03363
OG0001985	SCHMD04898, SCHMD04899	YEAST04959
OG0001992	SCHMD23667, SCHMD10680, SCHMD10681, SCHMD10679	YEAST02679
OG0001998	SCHMD02357, SCHMD19391	YEAST00890
OG0002001	SCHMD04245	YEAST00502, YEAST03944
OG0002003	SCHMD25539	YEAST02826, YEAST03671
OG0002008	SCHMD06021	YEAST00768
OG0002013	SCHMD05928, SCHMD05926	YEAST03040
OG0002015	SCHMD07213, SCHMD12123	YEAST05525
OG0002026	SCHMD11077, SCHMD01664	YEAST01247
OG0002029	SCHMD29754, SCHMD28570, SCHMD15250, SCHMD18190, SCHMD17283	YEAST02646
OG0002031	SCHMD17673, SCHMD21628, SCHMD14088	YEAST02752
OG0002032	SCHMD15998, SCHMD17430	YEAST01221
OG0002042	SCHMD29492	YEAST02880
OG0002043	SCHMD03148	YEAST04003
OG0002059	SCHMD13857	YEAST05893, YEAST04718
OG0002062	SCHMD21893, SCHMD21892, SCHMD10982, SCHMD10983, SCHMD06072	YEAST05454
OG0002063	SCHMD21953, SCHMD12086, SCHMD11388	YEAST00838
OG0002073	SCHMD06478, SCHMD03514, SCHMD01450, SCHMD20304, SCHMD22775, SCHMD03169	YEAST04552
OG0002076	SCHMD28301, SCHMD28436, SCHMD10610, SCHMD08813, SCHMD28435, SCHMD28300	YEAST02206
OG0002078	SCHMD11691, SCHMD24719, SCHMD11692, SCHMD24733, SCHMD25810	YEAST06232
OG0002079	SCHMD04817, SCHMD07771, SCHMD11302, SCHMD04787	YEAST05765, YEAST00483
OG0002080	SCHMD22931, SCHMD26608, SCHMD17823, SCHMD17826, SCHMD20969, SCHMD28760, SCHMD17820	YEAST05220, YEAST04736
OG0002087	SCHMD07766	YEAST05702
OG0002093	SCHMD12873, SCHMD16751, SCHMD14180	YEAST02255
OG0002097	SCHMD26720, SCHMD27803, SCHMD17588, SCHMD19424	YEAST02697
OG0002101	SCHMD15902	YEAST03902
OG0002103	SCHMD03652	YEAST05974
OG0002106	SCHMD29823, SCHMD29437	YEAST03654
OG0002107	SCHMD26178, SCHMD28787	YEAST05313
OG0002107	SCHMD29590	YEAST04340
OG0002108	SCHMD09134, SCHMD15631, SCHMD01006, SCHMD16981, SCHMD05153	YEAST03715
OG0002123	SCHMD07146	YEAST02444
OG0002125	SCHMD01906	YEAST05183
OG0002131	SCHMD04890, SCHMD13328, SCHMD15542	YEAST04275
OG0002138	SCHMD22260, SCHMD05603, SCHMD05605, SCHMD05602, SCHMD13986, SCHMD23985	YEAST02406
OG0002144	SCHMD08032	YEAST02673
OG0002146	SCHMD03633, SCHMD03634	YEAST04333, YEAST00109, YEAST03088, YEAST04454
OG0002147	SCHMD20896, SCHMD24159	YEAST04532, YEAST01219
OG0002148	SCHMD12817, SCHMD13024, SCHMD06006	YEAST02060
OG0002152	SCHMD18533, SCHMD18027, SCHMD20477	YEAST05624
OG0002156	SCHMD11093	YEAST03007
OG0002160	SCHMD03531, SCHMD05686, SCHMD13784, SCHMD24695, SCHMD12476, SCHMD27951, SCHMD03338	YEAST03960
OG0002168	SCHMD00757	YEAST00516
OG0002169	SCHMD19182, SCHMD07925	YEAST02258
OG0002175	SCHMD09343, SCHMD14948, SCHMD24043, SCHMD19181	YEAST04956
OG0002184	SCHMD08543, SCHMD08541, SCHMD08545	YEAST00242
OG0002185	SCHMD21333, SCHMD22216, SCHMD29197, SCHMD24560, SCHMD27585, SCHMD24649, SCHMD25294, SCHMD27000, SCHMD26724, SCHMD10687, SCHMD07408, SCHMD07407, SCHMD13558	YEAST05212
OG0002188	SCHMD07090	YEAST04638, YEAST03913
OG0002189	SCHMD03295	YEAST02882, YEAST04447
OG0002197	SCHMD29200, SCHMD27627, SCHMD27724, SCHMD10880, SCHMD06788, SCHMD12924	YEAST04045
OG0002213	SCHMD01017, SCHMD01018	YEAST01241, YEAST05495
OG0002216	SCHMD20521	YEAST06040
OG0002222	SCHMD15372, SCHMD28641, SCHMD28642, SCHMD18509, SCHMD17607, SCHMD07921, SCHMD24182, SCHMD26245	YEAST03240
OG0002224	SCHMD07940, SCHMD07939	YEAST01574
OG0002225	SCHMD03290	YEAST04939
OG0002226	SCHMD00937	YEAST00948
OG0002233	SCHMD13734	YEAST00277
OG0002239	SCHMD29729	YEAST03509
OG0002239	SCHMD00548	YEAST01621
OG0002241	SCHMD14786, SCHMD19113, SCHMD04776, SCHMD20592	YEAST02005
OG0002243	SCHMD06353	YEAST04599, YEAST03601, YEAST04600
OG0002244	SCHMD24135, SCHMD25723, SCHMD23365, SCHMD25722	YEAST02768
OG0002252	SCHMD16344	YEAST00826
OG0002261	SCHMD28964, SCHMD15654, SCHMD22485	YEAST00472
OG0002264	SCHMD24103, SCHMD13661	YEAST01705
OG0002279	SCHMD01548, SCHMD01547, SCHMD01549, SCHMD01546	YEAST05800
OG0002282	SCHMD02902, SCHMD23794	YEAST00881
OG0002288	SCHMD19642, SCHMD22333, SCHMD13464	YEAST01591, YEAST05154
OG0002292	SCHMD12492	YEAST00152
OG0002297	SCHMD06067, SCHMD11073, SCHMD06071, SCHMD08919, SCHMD15076, SCHMD15831, SCHMD16587, SCHMD01599	YEAST01217
OG0002316	SCHMD00954, SCHMD00365, SCHMD09509	YEAST01805
OG0002318	SCHMD07487, SCHMD07486, SCHMD07473	YEAST02923
OG0002319	SCHMD04977, SCHMD04978, SCHMD03166, SCHMD04979	YEAST00329
OG0002321	SCHMD19583, SCHMD14835	YEAST02461
OG0002324	SCHMD17868, SCHMD20490, SCHMD09738	YEAST02615, YEAST06287
OG0002326	SCHMD16849, SCHMD06779	YEAST00310, YEAST02699
OG0002327	SCHMD04037, SCHMD11011	YEAST00346, YEAST06217
OG0002331	SCHMD05745, SCHMD05746, SCHMD05744	YEAST01653
OG0002332	SCHMD01464, SCHMD15875, SCHMD15876	YEAST01606, YEAST05184, YEAST00285
