Orthogroup	LYTVA_ok	YEAST
OG0001111	LYTVA_21470, LYTVA_21492, LYTVA_13216, LYTVA_13217, LYTVA_19961	YEAST06003
OG0001113	LYTVA_28836	YEAST05320
OG0001114	LYTVA_21386	YEAST00036, YEAST05811
OG0001124	LYTVA_16535, LYTVA_12081	YEAST02719
OG0001132	LYTVA_01795, LYTVA_30153	YEAST05421
OG0001133	LYTVA_21722	YEAST04296
OG0001133	LYTVA_13505, LYTVA_08035	YEAST03271
OG0001134	LYTVA_23641	YEAST05015
OG0001135	LYTVA_26249	YEAST03641
OG0001142	LYTVA_17988	YEAST04001
OG0001163	LYTVA_24878, LYTVA_28270	YEAST02433
OG0001164	LYTVA_05648, LYTVA_28276, LYTVA_05650	YEAST03454
OG0001171	LYTVA_23053, LYTVA_27044	YEAST04620, YEAST03578
OG0001175	LYTVA_12386, LYTVA_24458, LYTVA_20819, LYTVA_13142, LYTVA_20054	YEAST00534
OG0001177	LYTVA_07494, LYTVA_26801, LYTVA_03786	YEAST06137
OG0001179	LYTVA_26628, LYTVA_09673	YEAST00368, YEAST04831, YEAST02287
OG0001181	LYTVA_20940, LYTVA_10373	YEAST02051
OG0001184	LYTVA_02863, LYTVA_18281, LYTVA_26638, LYTVA_24278	YEAST01681
OG0001185	LYTVA_09656	YEAST04969
OG0001186	LYTVA_28926, LYTVA_01688	YEAST04605, YEAST01886
OG0001197	LYTVA_08630	YEAST01499
OG0001201	LYTVA_16866, LYTVA_02039	YEAST05452
OG0001204	LYTVA_12790	YEAST05200
OG0001207	LYTVA_05411, LYTVA_20519, LYTVA_10763	YEAST04258
OG0001210	LYTVA_19275	YEAST05511
OG0001210	LYTVA_04311	YEAST02318
OG0001212	LYTVA_03375, LYTVA_21023	YEAST03971
OG0001216	LYTVA_09816, LYTVA_23706	YEAST00145
OG0001219	LYTVA_15579	YEAST03867
OG0001236	LYTVA_24738, LYTVA_21569	YEAST03325, YEAST02687, YEAST03269
OG0001237	LYTVA_26239, LYTVA_06734	YEAST04380
OG0001238	LYTVA_30061	YEAST04481
OG0001241	LYTVA_01648	YEAST02002
OG0001243	LYTVA_04835	YEAST00739, YEAST05004
OG0001249	LYTVA_03472	YEAST01062, YEAST02067
OG0001250	LYTVA_23037	YEAST02968, YEAST01339
OG0001251	LYTVA_12207	YEAST01707
OG0001253	LYTVA_02267	YEAST03998
OG0001254	LYTVA_26444	YEAST04309
OG0001262	LYTVA_11080, LYTVA_11634, LYTVA_11636, LYTVA_11076, LYTVA_09252, LYTVA_27431	YEAST00911
OG0001263	LYTVA_17717, LYTVA_22972, LYTVA_09084	YEAST00172
OG0001268	LYTVA_20779	YEAST03495
OG0001270	LYTVA_18319	YEAST02398
OG0001271	LYTVA_09608	YEAST05227, YEAST00662
OG0001278	LYTVA_12248, LYTVA_16623, LYTVA_15868	YEAST01893
OG0001279	LYTVA_22555	YEAST03070
OG0001284	LYTVA_30054, LYTVA_01526, LYTVA_15592	YEAST00567, YEAST01498
OG0001286	LYTVA_00885	YEAST00588, YEAST01486, YEAST03604
OG0001291	LYTVA_11712	YEAST04453, YEAST04334
OG0001300	LYTVA_05607, LYTVA_03792	YEAST01098
OG0001302	LYTVA_01979, LYTVA_15833	YEAST02328
OG0001302	LYTVA_08998	YEAST00299
OG0001310	LYTVA_08839, LYTVA_04185, LYTVA_11415	YEAST00887
OG0001318	LYTVA_16780, LYTVA_28059, LYTVA_12048	YEAST03712
OG0001319	LYTVA_24409, LYTVA_24410	YEAST01678
OG0001322	LYTVA_14240, LYTVA_03712, LYTVA_08843	YEAST06128
OG0001324	LYTVA_00291	YEAST00078
OG0001325	LYTVA_09407	YEAST00793
OG0001326	LYTVA_02897	YEAST05395
OG0001327	LYTVA_12279	YEAST03176
OG0001332	LYTVA_11327, LYTVA_11322	YEAST03929, YEAST02705, YEAST00687
OG0001333	LYTVA_22466, LYTVA_12467	YEAST00728
OG0001341	LYTVA_09303, LYTVA_05973	YEAST06006
OG0001345	LYTVA_20477	YEAST03613
OG0001353	LYTVA_10030, LYTVA_22573	YEAST00020, YEAST04041
OG0001363	LYTVA_09257, LYTVA_18119	YEAST06180
OG0001364	LYTVA_09892	YEAST06038, YEAST00402
OG0001367	LYTVA_20815	YEAST04688
OG0001370	LYTVA_22074	YEAST04067, YEAST05195, YEAST00897
OG0001371	LYTVA_08478, LYTVA_25037	YEAST00532, YEAST03976
OG0001372	LYTVA_11215	YEAST00070
OG0001372	LYTVA_06840	YEAST02226
OG0001375	LYTVA_04323	YEAST05499, YEAST05567
OG0001378	LYTVA_17384	YEAST02300
OG0001379	LYTVA_28884	YEAST04155
OG0001386	LYTVA_09276, LYTVA_15458	YEAST05114
OG0001397	LYTVA_19050, LYTVA_23784	YEAST05731
OG0001400	LYTVA_25761	YEAST02931
OG0001409	LYTVA_11490	YEAST00885, YEAST04659
OG0001410	LYTVA_26149	YEAST05046
OG0001412	LYTVA_29467	YEAST04490
OG0001413	LYTVA_11550, LYTVA_08728, LYTVA_22106, LYTVA_06579	YEAST04294
OG0001414	LYTVA_18745, LYTVA_15413	YEAST06070, YEAST01920
OG0001415	LYTVA_04754	YEAST04230
OG0001415	LYTVA_19006, LYTVA_27686	YEAST00964
OG0001421	LYTVA_26131	YEAST05252
OG0001422	LYTVA_28672	YEAST05588, YEAST01363
OG0001424	LYTVA_01086, LYTVA_05792	YEAST01127
OG0001427	LYTVA_08328	YEAST01885
OG0001428	LYTVA_04004	YEAST04862, YEAST05862, YEAST02749, YEAST03037
OG0001430	LYTVA_05538	YEAST01712
OG0001434	LYTVA_21503, LYTVA_09215, LYTVA_08418, LYTVA_11544, LYTVA_19139, LYTVA_20586	YEAST03991
OG0001437	LYTVA_02456	YEAST01264, YEAST02900
OG0001445	LYTVA_06306	YEAST01715
OG0001449	LYTVA_26829	YEAST03188
OG0001449	LYTVA_26490	YEAST05764
OG0001449	LYTVA_16874	YEAST03423
OG0001452	LYTVA_07052	YEAST05900
OG0001454	LYTVA_12706	YEAST01495, YEAST00573
OG0001456	LYTVA_29753	YEAST00365
OG0001459	LYTVA_03447	YEAST03073, YEAST03464
OG0001461	LYTVA_20044	YEAST05255
OG0001468	LYTVA_26492	YEAST03875, YEAST03904
OG0001469	LYTVA_18384	YEAST02070
OG0001469	LYTVA_06202, LYTVA_27897, LYTVA_08369	YEAST02765
OG0001470	LYTVA_21458, LYTVA_05300, LYTVA_16206	YEAST00369, YEAST05375
OG0001472	LYTVA_00674, LYTVA_18392	YEAST03031
OG0001473	LYTVA_28916, LYTVA_21049, LYTVA_07126, LYTVA_23712	YEAST05711
OG0001474	LYTVA_10100, LYTVA_01292	YEAST01416, YEAST05312
OG0001478	LYTVA_27270, LYTVA_05260	YEAST01984
OG0001478	LYTVA_16139, LYTVA_02086	YEAST02078
OG0001479	LYTVA_06390	YEAST01132
OG0001503	LYTVA_26157	YEAST03032
OG0001503	LYTVA_21678	YEAST02920
OG0001504	LYTVA_08379, LYTVA_08381	YEAST05406
OG0001508	LYTVA_06099, LYTVA_21980	YEAST04143
OG0001520	LYTVA_23857	YEAST03872
OG0001524	LYTVA_17084, LYTVA_14262, LYTVA_25311	YEAST03912
OG0001525	LYTVA_27481	YEAST00757
OG0001527	LYTVA_20326	YEAST01395
OG0001529	LYTVA_05701	YEAST01143
OG0001530	LYTVA_09311, LYTVA_19256	YEAST00643
OG0001546	LYTVA_27645, LYTVA_19517	YEAST03111
OG0001550	LYTVA_01107, LYTVA_29943	YEAST02405, YEAST05953
OG0001551	LYTVA_06090	YEAST04817
OG0001553	LYTVA_29518	YEAST05147, YEAST01586
OG0001557	LYTVA_30232	YEAST04671
OG0001557	LYTVA_23103	YEAST04551
OG0001558	LYTVA_06196	YEAST04449
OG0001559	LYTVA_27028	YEAST00445, YEAST02434
OG0001561	LYTVA_04106, LYTVA_00921	YEAST06176
OG0001564	LYTVA_04654, LYTVA_21130	YEAST05390
OG0001570	LYTVA_25305	YEAST04678
OG0001573	LYTVA_09972	YEAST03285
OG0001578	LYTVA_07447	YEAST01872
OG0001590	LYTVA_06446, LYTVA_02727	YEAST03476, YEAST00717, YEAST03955
OG0001594	LYTVA_07802	YEAST03418
OG0001603	LYTVA_09954, LYTVA_09254, LYTVA_25121, LYTVA_29742	YEAST02584
OG0001604	LYTVA_15984, LYTVA_01583	YEAST01428
OG0001605	LYTVA_28463, LYTVA_28464, LYTVA_27230	YEAST04101
OG0001609	LYTVA_06544, LYTVA_09772, LYTVA_05376	YEAST02739
OG0001610	LYTVA_15773	YEAST00596
OG0001612	LYTVA_09143	YEAST01109
OG0001628	LYTVA_28742, LYTVA_06351, LYTVA_06949	YEAST04790
OG0001653	LYTVA_15506	YEAST01151
OG0001655	LYTVA_29262	YEAST03354
OG0001657	LYTVA_24520	YEAST00101, YEAST00944
OG0001663	LYTVA_27998	YEAST05642
OG0001676	LYTVA_20615	YEAST02848
OG0001676	LYTVA_04952	YEAST06155
OG0001679	LYTVA_17378, LYTVA_03795, LYTVA_21415, LYTVA_21417	YEAST05302, YEAST02334, YEAST02449, YEAST01523
OG0001680	LYTVA_06347	YEAST01119, YEAST04022
OG0001685	LYTVA_01904	YEAST01147
OG0001687	LYTVA_18610, LYTVA_22058	YEAST05279
OG0001691	LYTVA_29941	YEAST01315
OG0001704	LYTVA_03750, LYTVA_28208	YEAST01293
OG0001706	LYTVA_16433	YEAST03424
OG0001707	LYTVA_02742	YEAST06049, YEAST00407, YEAST04739
OG0001708	LYTVA_08755	YEAST05744, YEAST05745
OG0001709	LYTVA_16435	YEAST04440
OG0001713	LYTVA_19902, LYTVA_16987	YEAST04039
OG0001718	LYTVA_06728	YEAST01537
OG0001721	LYTVA_12881	YEAST04881, YEAST05253, YEAST00698
OG0001723	LYTVA_03137	YEAST01435
OG0001727	LYTVA_25387, LYTVA_24852	YEAST04543
OG0001728	LYTVA_14622	YEAST03347
OG0001730	LYTVA_03839	YEAST00177
OG0001739	LYTVA_10491	YEAST03760
OG0001745	LYTVA_07144	YEAST01431
OG0001750	LYTVA_17680	YEAST03628
OG0001754	LYTVA_06403	YEAST03682
OG0001756	LYTVA_10472, LYTVA_10467, LYTVA_03013	YEAST00620
OG0001769	LYTVA_02387, LYTVA_30216	YEAST04726
OG0001770	LYTVA_06471	YEAST02590
OG0001774	LYTVA_28479	YEAST05166
OG0001775	LYTVA_06438, LYTVA_21968	YEAST05594
OG0001780	LYTVA_17770	YEAST03768
OG0001781	LYTVA_04782, LYTVA_08353	YEAST01882
OG0001782	LYTVA_16503, LYTVA_03019	YEAST02421
OG0001785	LYTVA_20637	YEAST02713
OG0001787	LYTVA_09866, LYTVA_22457	YEAST03546
OG0001792	LYTVA_23803	YEAST04595
OG0001793	LYTVA_01173, LYTVA_03112	YEAST02466
OG0001805	LYTVA_23931, LYTVA_16203, LYTVA_10280	YEAST05496, YEAST01242
OG0001807	LYTVA_27089	YEAST05464
OG0001808	LYTVA_09711	YEAST01298
OG0001818	LYTVA_09386	YEAST05902, YEAST04712
OG0001822	LYTVA_22413	YEAST04378, YEAST01659
OG0001826	LYTVA_26574, LYTVA_18547	YEAST04777, YEAST01697, YEAST05781
OG0001829	LYTVA_05903	YEAST01613, YEAST00136, YEAST02008
OG0001831	LYTVA_25792	YEAST00024
OG0001832	LYTVA_10649, LYTVA_10011	YEAST05376
OG0001846	LYTVA_14692	YEAST05067
OG0001850	LYTVA_12037	YEAST01913
OG0001852	LYTVA_04485	YEAST03121
OG0001853	LYTVA_24547, LYTVA_00729	YEAST05176
OG0001857	LYTVA_17991, LYTVA_09748, LYTVA_09742	YEAST04741
OG0001860	LYTVA_22471	YEAST00188
OG0001861	LYTVA_25197	YEAST05779, YEAST04773
OG0001863	LYTVA_00865	YEAST03017
OG0001865	LYTVA_11377	YEAST02919
OG0001866	LYTVA_12972	YEAST05095, YEAST05570
OG0001867	LYTVA_13864	YEAST01669
OG0001873	LYTVA_12057, LYTVA_19029, LYTVA_27237	YEAST00981, YEAST00267
OG0001875	LYTVA_28164, LYTVA_13281, LYTVA_09408	YEAST04137
OG0001877	LYTVA_14689, LYTVA_10974	YEAST04134
OG0001886	LYTVA_13389	YEAST03260
OG0001888	LYTVA_14493	YEAST05749, YEAST01573
OG0001893	LYTVA_11404, LYTVA_17834	YEAST01023
OG0001894	LYTVA_28553	YEAST00433
OG0001899	LYTVA_29145	YEAST01210, YEAST04466
OG0001900	LYTVA_08676	YEAST05053
OG0001900	LYTVA_14560, LYTVA_06350, LYTVA_13466, LYTVA_06292, LYTVA_14546, LYTVA_07011, LYTVA_10831	YEAST00581
OG0001903	LYTVA_08067, LYTVA_26061, LYTVA_26671	YEAST06020
OG0001913	LYTVA_08539, LYTVA_15655	YEAST05520
OG0001915	LYTVA_29625	YEAST04791
OG0001917	LYTVA_02307	YEAST01859
OG0001923	LYTVA_02896, LYTVA_06842	YEAST05881
OG0001926	LYTVA_19317	YEAST02948
OG0001932	LYTVA_19885	YEAST03770, YEAST03179
OG0001934	LYTVA_10941	YEAST00877
OG0001938	LYTVA_28843, LYTVA_11073, LYTVA_27179	YEAST03931
OG0001940	LYTVA_10392	YEAST04188, YEAST05646
OG0001943	LYTVA_09619	YEAST02393, YEAST05966
OG0001945	LYTVA_02199	YEAST01671
OG0001951	LYTVA_24979	YEAST00941, YEAST05396
OG0001952	LYTVA_02568, LYTVA_01610, LYTVA_03403, LYTVA_05983	YEAST04673, YEAST01990, YEAST00155
OG0001965	LYTVA_23024, LYTVA_04012	YEAST04582
OG0001968	LYTVA_11013, LYTVA_26170, LYTVA_25074, LYTVA_14019	YEAST04910
OG0001969	LYTVA_26700, LYTVA_02053	YEAST06173
OG0001972	LYTVA_12401	YEAST01822, YEAST03363
OG0001985	LYTVA_25021	YEAST04959
OG0001992	LYTVA_21528	YEAST02679
OG0001998	LYTVA_28153	YEAST00890
OG0002001	LYTVA_06621, LYTVA_24060	YEAST00502, YEAST03944
OG0002003	LYTVA_27403	YEAST02826, YEAST03671
OG0002008	LYTVA_11348, LYTVA_17615	YEAST00768
OG0002010	LYTVA_26220	YEAST00609
OG0002013	LYTVA_17597, LYTVA_21821	YEAST03040
OG0002014	LYTVA_01257	YEAST02422
OG0002015	LYTVA_23511, LYTVA_03784	YEAST05525
OG0002025	LYTVA_24851	YEAST03650
OG0002026	LYTVA_00656, LYTVA_03670	YEAST01247
OG0002029	LYTVA_21393	YEAST02646
OG0002031	LYTVA_03393, LYTVA_03117	YEAST02752
OG0002032	LYTVA_25138	YEAST01221
OG0002042	LYTVA_09497	YEAST02880
OG0002059	LYTVA_07033	YEAST05893, YEAST04718
OG0002062	LYTVA_29599	YEAST05454
OG0002067	LYTVA_08828	YEAST03444
OG0002069	LYTVA_18095, LYTVA_10776	YEAST05962
OG0002073	LYTVA_26326	YEAST04552
OG0002076	LYTVA_20709	YEAST02206
OG0002078	LYTVA_27383, LYTVA_06878, LYTVA_05678	YEAST06232
OG0002079	LYTVA_05859, LYTVA_28645	YEAST05765, YEAST00483
OG0002080	LYTVA_01538, LYTVA_26517	YEAST05220, YEAST04736
OG0002084	LYTVA_00594	YEAST04529
OG0002087	LYTVA_13703, LYTVA_16316, LYTVA_02024	YEAST05702
OG0002090	LYTVA_05021, LYTVA_12331, LYTVA_28014, LYTVA_08648, LYTVA_24037	YEAST02246
OG0002093	LYTVA_06495, LYTVA_22821, LYTVA_20195	YEAST02255
OG0002097	LYTVA_25591	YEAST02697
OG0002101	LYTVA_13887, LYTVA_28735	YEAST03902
OG0002106	LYTVA_17556	YEAST03654
OG0002107	LYTVA_22349	YEAST05313
OG0002108	LYTVA_01699	YEAST03715
OG0002123	LYTVA_03805	YEAST02444
OG0002125	LYTVA_00336	YEAST05183
OG0002131	LYTVA_29216, LYTVA_05431	YEAST04275
OG0002137	LYTVA_23578, LYTVA_27219, LYTVA_00323	YEAST04320
OG0002138	LYTVA_18624, LYTVA_18618	YEAST02406
OG0002144	LYTVA_10170	YEAST02673
OG0002146	LYTVA_00027	YEAST04333, YEAST00109, YEAST03088, YEAST04454
OG0002147	LYTVA_11017	YEAST04532, YEAST01219
OG0002148	LYTVA_19940, LYTVA_19729	YEAST02060
OG0002152	LYTVA_27158, LYTVA_09044	YEAST05624
OG0002156	LYTVA_15609, LYTVA_11872, LYTVA_12702	YEAST03007
OG0002160	LYTVA_18232	YEAST03960
OG0002165	LYTVA_22362	YEAST04504
OG0002169	LYTVA_19343, LYTVA_09425	YEAST02258
OG0002175	LYTVA_12093	YEAST04956
OG0002184	LYTVA_09182, LYTVA_03835	YEAST00242
OG0002185	LYTVA_13990	YEAST05212
OG0002188	LYTVA_26546	YEAST04638, YEAST03913
OG0002189	LYTVA_28734, LYTVA_13891	YEAST02882, YEAST04447
OG0002213	LYTVA_26644	YEAST01241, YEAST05495
OG0002216	LYTVA_29111, LYTVA_20156, LYTVA_15318, LYTVA_08313, LYTVA_03027	YEAST06040
OG0002217	LYTVA_24396	YEAST06033
OG0002222	LYTVA_17080, LYTVA_02223, LYTVA_06028	YEAST03240
OG0002224	LYTVA_28937, LYTVA_24337, LYTVA_20299	YEAST01574
OG0002225	LYTVA_07379	YEAST04939
OG0002228	LYTVA_13148	YEAST04154, YEAST05632
OG0002233	LYTVA_25994, LYTVA_27709, LYTVA_19570	YEAST00277
OG0002239	LYTVA_24268	YEAST03509
OG0002239	LYTVA_02728, LYTVA_24845	YEAST01621
OG0002243	LYTVA_18791, LYTVA_26266	YEAST04599, YEAST03601, YEAST04600
OG0002244	LYTVA_15294	YEAST02768
OG0002261	LYTVA_06648, LYTVA_24946	YEAST00472
OG0002264	LYTVA_10571, LYTVA_20438, LYTVA_10569	YEAST01705
OG0002279	LYTVA_19962	YEAST05800
OG0002282	LYTVA_16722	YEAST00881
OG0002288	LYTVA_14290	YEAST01591, YEAST05154
OG0002312	LYTVA_12025, LYTVA_26175	YEAST06295
OG0002316	LYTVA_10500	YEAST01805
OG0002318	LYTVA_19919, LYTVA_16601	YEAST02923
OG0002321	LYTVA_29675	YEAST02461
OG0002324	LYTVA_04784, LYTVA_18196	YEAST02615, YEAST06287
OG0002326	LYTVA_23144	YEAST00310, YEAST02699
OG0002327	LYTVA_13830	YEAST00346, YEAST06217
OG0002331	LYTVA_28456	YEAST01653
OG0002332	LYTVA_15960	YEAST01606, YEAST05184, YEAST00285
OG0002341	LYTVA_02833	YEAST03640, YEAST04562
OG0002344	LYTVA_11170	YEAST02312, YEAST02019
OG0002346	LYTVA_02392	YEAST02012
OG0002355	LYTVA_10530, LYTVA_23668	YEAST00016
OG0002356	LYTVA_15548	YEAST00259
OG0002361	LYTVA_05317, LYTVA_09958	YEAST01027
OG0002367	LYTVA_25642	YEAST01179
OG0002369	LYTVA_27387, LYTVA_07441	YEAST03766
OG0002374	LYTVA_09672	YEAST02010, YEAST00133
OG0002377	LYTVA_21348	YEAST05000
OG0002406	LYTVA_16025	YEAST05509
OG0002407	LYTVA_05902, LYTVA_09107	YEAST00012
OG0002409	LYTVA_23246	YEAST05834
OG0002409	LYTVA_26911	YEAST02027
OG0002411	LYTVA_05420	YEAST05950, YEAST02407
OG0002412	LYTVA_11984	YEAST06171
OG0002413	LYTVA_03837, LYTVA_28770, LYTVA_16733	YEAST01196
OG0002415	LYTVA_19723	YEAST01271
OG0002422	LYTVA_25109, LYTVA_03043	YEAST05026
OG0002426	LYTVA_04606	YEAST00184
OG0002441	LYTVA_03213	YEAST00068, YEAST02278, YEAST05821
OG0002442	LYTVA_29246	YEAST05932
OG0002443	LYTVA_18888	YEAST04906
OG0002446	LYTVA_23950	YEAST04254
OG0002448	LYTVA_28130	YEAST03419
OG0002450	LYTVA_25811, LYTVA_04325	YEAST04575
OG0002453	LYTVA_16565	YEAST00512
OG0002476	LYTVA_18571, LYTVA_29232	YEAST05799
OG0002486	LYTVA_12364	YEAST01433
OG0002492	LYTVA_04881, LYTVA_20142, LYTVA_20143	YEAST01624
OG0002494	LYTVA_08528, LYTVA_06135	YEAST02402
OG0002495	LYTVA_15838	YEAST02772
OG0002497	LYTVA_20099, LYTVA_19407, LYTVA_09946	YEAST02747
OG0002500	LYTVA_12795, LYTVA_02797	YEAST05648
OG0002505	LYTVA_15145	YEAST02959
OG0002510	LYTVA_28382, LYTVA_12781	YEAST04753
OG0002518	LYTVA_09891	YEAST02890
OG0002520	LYTVA_21261, LYTVA_12939	YEAST05256
OG0002523	LYTVA_00333	YEAST06234
OG0002527	LYTVA_12191	YEAST01639
OG0002528	LYTVA_05185	YEAST00372
OG0002530	LYTVA_27968	YEAST05530, YEAST03790
OG0002532	LYTVA_11495, LYTVA_10842	YEAST03235
OG0002533	LYTVA_10911	YEAST04525
OG0002543	LYTVA_05546, LYTVA_29378	YEAST00527
OG0002557	LYTVA_11893	YEAST06243
OG0002561	LYTVA_06324	YEAST04438, YEAST02106
OG0002562	LYTVA_23408	YEAST03992
OG0002564	LYTVA_01413	YEAST02186
OG0002570	LYTVA_08742, LYTVA_21570	YEAST00592
OG0002594	LYTVA_09902	YEAST06174
OG0002598	LYTVA_19110	YEAST04621, YEAST03577
OG0002605	LYTVA_01282	YEAST06332
OG0002608	LYTVA_13159	YEAST03716, YEAST02846
OG0002609	LYTVA_01416	YEAST01355
OG0002610	LYTVA_11229	YEAST01078, YEAST03973
OG0002612	LYTVA_13837, LYTVA_08081	YEAST03508
OG0002621	LYTVA_12838, LYTVA_23317	YEAST05551
OG0002629	LYTVA_00984, LYTVA_00974	YEAST05919
OG0002630	LYTVA_01004	YEAST05943, YEAST02413
OG0002632	LYTVA_05249	YEAST02755
OG0002633	LYTVA_24405	YEAST04206
OG0002636	LYTVA_13092, LYTVA_12071	YEAST01664, YEAST06215
OG0002638	LYTVA_23794, LYTVA_24615	YEAST00919, YEAST04703
OG0002643	LYTVA_22934	YEAST01938
OG0002644	LYTVA_00752	YEAST00724
OG0002645	LYTVA_24176, LYTVA_23649, LYTVA_19152	YEAST01436
OG0002646	LYTVA_13560, LYTVA_13618	YEAST01946
OG0002651	LYTVA_11913, LYTVA_10914	YEAST02868
OG0002652	LYTVA_14696, LYTVA_00100	YEAST04937
OG0002656	LYTVA_17513	YEAST05701
OG0002659	LYTVA_20057	YEAST06290
OG0002666	LYTVA_04715	YEAST02507
OG0002668	LYTVA_18089, LYTVA_00341	YEAST02324
OG0002677	LYTVA_05849	YEAST05210
OG0002683	LYTVA_20068	YEAST03676
OG0002705	LYTVA_29948	YEAST00553
OG0002717	LYTVA_09780	YEAST02430
OG0002718	LYTVA_17119, LYTVA_10644, LYTVA_22419	YEAST03380, YEAST03502
OG0002720	LYTVA_16984, LYTVA_04741	YEAST01914
OG0002722	LYTVA_27149, LYTVA_06328	YEAST04059
OG0002726	LYTVA_12627	YEAST02958
OG0002729	LYTVA_24879, LYTVA_12941	YEAST01155
OG0002739	LYTVA_03350, LYTVA_16185	YEAST01877
OG0002742	LYTVA_18075, LYTVA_17178	YEAST03713
OG0002743	LYTVA_20017, LYTVA_29489	YEAST01824, YEAST03362
OG0002745	LYTVA_23293	YEAST04244
OG0002746	LYTVA_01662	YEAST04902, YEAST05332
OG0002747	LYTVA_07301, LYTVA_06613	YEAST05617
OG0002749	LYTVA_13617	YEAST02810
OG0002750	LYTVA_11674	YEAST04952
OG0002752	LYTVA_13590, LYTVA_16228	YEAST03686
OG0002756	LYTVA_16840	YEAST04058
OG0002758	LYTVA_20249	YEAST04409
OG0002760	LYTVA_26292, LYTVA_13642	YEAST01927
OG0002761	LYTVA_10840	YEAST03261
OG0002763	LYTVA_11931, LYTVA_00169	YEAST00260
OG0002764	LYTVA_12077	YEAST00423
OG0002765	LYTVA_13397, LYTVA_07528	YEAST01667, YEAST05523
OG0002766	LYTVA_02144, LYTVA_02143, LYTVA_11825	YEAST05357
OG0002767	LYTVA_15615	YEAST04591
OG0002771	LYTVA_30010	YEAST02043
OG0002772	LYTVA_07041, LYTVA_20067	YEAST03384
OG0002773	LYTVA_17377	YEAST03677
OG0002774	LYTVA_02098, LYTVA_29513	YEAST03575
OG0002781	LYTVA_20154	YEAST05450
OG0002782	LYTVA_01104	YEAST02121
OG0002785	LYTVA_29142	YEAST06106, YEAST01228
OG0002788	LYTVA_12524, LYTVA_24529	YEAST02578, YEAST01232
OG0002789	LYTVA_25707, LYTVA_23902, LYTVA_25704, LYTVA_25705, LYTVA_23903	YEAST05269
OG0002793	LYTVA_11185, LYTVA_11186	YEAST01371
OG0002799	LYTVA_23324	YEAST01461
OG0002817	LYTVA_20180	YEAST01189, YEAST04922
OG0002824	LYTVA_03461	YEAST02137
OG0002826	LYTVA_08491	YEAST00174
OG0002827	LYTVA_10087	YEAST05976
OG0002828	LYTVA_14096	YEAST00227, YEAST00963
OG0002831	LYTVA_17877, LYTVA_02081	YEAST03282
OG0002835	LYTVA_03279	YEAST02656
OG0002837	LYTVA_04424	YEAST01987, YEAST00157
OG0002839	LYTVA_09274	YEAST03148
OG0002843	LYTVA_17224, LYTVA_25426	YEAST04737
OG0002844	LYTVA_02450	YEAST05563
OG0002847	LYTVA_05132	YEAST02294
OG0002851	LYTVA_07801	YEAST04951
OG0002855	LYTVA_25406, LYTVA_21416	YEAST00137
OG0002860	LYTVA_06421, LYTVA_06422	YEAST02712
OG0002866	LYTVA_01160	YEAST01136
OG0002876	LYTVA_07817, LYTVA_03623	YEAST02348
OG0002883	LYTVA_07247	YEAST03027
OG0002891	LYTVA_09791, LYTVA_12147	YEAST03205
OG0002895	LYTVA_26396	YEAST01471, YEAST05353, YEAST05456
OG0002897	LYTVA_21966	YEAST06308
OG0002899	LYTVA_26043	YEAST00283
OG0002900	LYTVA_01085, LYTVA_01793	YEAST05306
OG0002910	LYTVA_27131, LYTVA_11896	YEAST00223
OG0002915	LYTVA_04120	YEAST02264
OG0002917	LYTVA_12457, LYTVA_05198	YEAST03703
OG0002920	LYTVA_11279	YEAST04043, YEAST04055
OG0002921	LYTVA_27879	YEAST06254
OG0002947	LYTVA_12540	YEAST00232
OG0002948	LYTVA_06849, LYTVA_06850, LYTVA_11784	YEAST03584
OG0002949	LYTVA_16087	YEAST00419, YEAST06063
OG0002952	LYTVA_11677	YEAST05257
OG0002953	LYTVA_24232	YEAST03034
OG0002957	LYTVA_02020	YEAST03253
OG0002966	LYTVA_04762	YEAST06059
OG0002969	LYTVA_21133, LYTVA_18655	YEAST00655
OG0002982	LYTVA_23766	YEAST02471
OG0002984	LYTVA_29653	YEAST00961, YEAST01144
OG0002985	LYTVA_15482, LYTVA_08966	YEAST02147
OG0002987	LYTVA_03673	YEAST02970, YEAST00081, YEAST02488
OG0002991	LYTVA_08511, LYTVA_10060	YEAST03345, YEAST01842
OG0002997	LYTVA_11217	YEAST02374
OG0003001	LYTVA_10762	YEAST01497
OG0003004	LYTVA_18695, LYTVA_16717	YEAST02183
OG0003006	LYTVA_29828	YEAST00899
OG0003010	LYTVA_08548, LYTVA_02560, LYTVA_02047	YEAST03035
OG0003016	LYTVA_27110, LYTVA_09030	YEAST04810
OG0003017	LYTVA_19123	YEAST02213
OG0003018	LYTVA_21456	YEAST01635, YEAST01949
OG0003020	LYTVA_21575, LYTVA_21923, LYTVA_26820	YEAST04851
OG0003027	LYTVA_14207	YEAST05498
OG0003028	LYTVA_26826	YEAST05822
OG0003029	LYTVA_18674	YEAST04523
OG0003033	LYTVA_09117	YEAST02457, YEAST02640
OG0003039	LYTVA_26569	YEAST00055
OG0003043	LYTVA_21296	YEAST02551
OG0003046	LYTVA_11309, LYTVA_01962	YEAST01632
OG0003054	LYTVA_02503	YEAST04909, YEAST05341
OG0003056	LYTVA_27575, LYTVA_15255	YEAST02257
OG0003059	LYTVA_28530	YEAST02832, YEAST03675
OG0003063	LYTVA_13937	YEAST00204
