blastula	gastrula	elongation	early_larva	mitraria_larva	competent_larva	juvenile
OFUSG07700.1	45.0293	74.92435	61.0988	51.78965	40.96085	30.5426	23.892
OFUSG07701.1	2.6868	2.394165	2.91527	1.4507075	1.3957765	3.102425	2.07496
OFUSG07702.1	253.181	160.6285	107.316	63.8989	56.406	113.2223	108.331
OFUSG07703.1	23.52805	24.65435	23.20965	15.28675	11.86355	7.71246	11.0163
OFUSG07704.1	518.435	302.5085	171.5535	115.4239	140.11405	443.4825	278.888
OFUSG07705.1	75.1423	73.3871	57.0629	38.1523	31.1892	34.0606	23.2618
OFUSG07706.1	4.388715	3.00298	1.929335	1.76237	2.22698	2.335085	1.64723
OFUSG07707.1	5.485205	7.486845	6.79932	6.063865	5.7054	6.061315	7.29037
OFUSG07707.2	0.07691	0.226205	0.64625	0.067295	0.372223	0.643633	0.661493
OFUSG07708.1	0	0.0780335	0.02504305	0.08187005	0.0550865	0.10999625	0.0978509
OFUSG07709.1	4.299669	5.24542	2.88909	2.1161175	1.49528	11.9647	98.5627
OFUSG07710.1	0.12247675	0.61452515	0.4773235	0.454957	0.3652815	0.0938388	0.338449
OFUSG07711.1	16.01005	7.883	7.465325	8.267575	7.229165	5.883485	5.37783
OFUSG07712.1	9.62957	9.84151	10.295295	11.1206	15.2118	17.63235	14.0083
OFUSG07713.1	0.4930435	4.29036	4.425415	3.620605	2.81646	0.8022565	0.79222
OFUSG07714.1	0.314664	0.3288035	0.20859	0.436944	0.547528	0.8543455	1.21977
OFUSG07714.2	1.813756	8.01158	6.19152	3.519275	4.205035	2.486255	2.3619
OFUSG07715.1	1.52283	2.705515	2.947705	1.856085	4.61792	3.645035	2.7629
OFUSG07715.2	28.03435	65.2125	77.98315	67.4007	54.0438	39.86345	44.8307
OFUSG07716.1	1.453125	0.04661485	1.6879125	1.781455	0.53917	0.1234774	0.1734
OFUSG07717.1	113.113	82.20635	62.86165	64.86395	62.43595	123.6095	177.415
OFUSG07718.1	0.6403605	8.7447	11.95595	9.400755	9.719305	18.97495	24.3297
OFUSG07719.1	2.14493	10.185205	18.405	24.38785	25.0922	14.052	8.28817
OFUSG07719.2	0.640915	0.392004	1.224126	2.0864	3.69169	6.763945	4.36548
OFUSG07720.1	0.02403225	0.278541	0.201378	0.271984	0.09022955	0.26027065	0.226532
OFUSG07720.2	0.4240143075	0.00198369	0.00186335	0	0.000682183	0.216278251	1.30667
OFUSG07721.1	0.606629	1.037447	0.672875	1.245795	0.556338	4.649355	3.97841
OFUSG07721.2	0.206913	0	0.2635531	0.30218955	0	0.6101545	8.06841
OFUSG07719.3	0.2682205	0.303296	7.03744	19.31015	26.1083	24.2495	11.8765
OFUSG07722.1	0	0.05902975	0.2417095	0.2805555	0.3317	0.61461	0.763101
OFUSG07722.2	0	0.3525465	1.127008	1.043202	1.070757	0.6501595	0.619282
OFUSG07722.3	4.14209	8.4104	4.81069	2.523355	2.004625	2.87675	2.20344
OFUSG07722.4	0.9555395	1.42083	1.20165	0.680839	0.6093355	2.51518	2.62157
OFUSG07723.1	7.295295	18.55075	18.9881	12.3204	8.957485	10.49708	11.1609
OFUSG07724.1	5.72279	17.0683	199.239	505.683	482.184	312.504	97.834
OFUSG07725.1	1.064573	2.57703	14.69035	48.70785	89.4755	25.54605	15.445
OFUSG07726.1	12.7587	4.188495	2.079105	1.553935	1.97715	2.420065	2.15205
OFUSG07726.2	0.003912945	2.03532	3.746945	1.6081355	1.209913	1.848165	3.35281
OFUSG07726.3	0.1849445	0.1427265	0.401062	0.04992855	0.1067918	0.725749	1.12314
OFUSG07726.4	0.2514265	2.18571	1.432242	0.514795	0.5724975	0.11911565	0
OFUSG07727.1	1.6838495	3.17558	2.263695	1.3744925	0.901717	0.30158	0.849439
OFUSG07728.1	59.8005	82.2689	83.2843	71.7507	73.9798	39.79695	35.0375
OFUSG07728.2	0.7884635	0.426192	0.6250625	0.940058	1.54417	4.48555	7.97536
OFUSG07729.1	8.68329	32.87065	26.98655	14.1723	9.988405	3.402525	0.156639
OFUSG07730.1	1.0508575	1.6120875	3.5526835	3.7065835	1.768511	0.8611005	6.43947
OFUSG07731.1	0.059283	1.4888765	1.32129	1.216677	2.191975	1.238512	13.4665
OFUSG07732.1	0.06222195	1.042462	0.7725275	0.4888695	1.3572315	2.004165	2.17119
OFUSG07733.1	0.1522225	0.425701	0.1826555	0.952964	2.503845	3.1827	4.8425
OFUSG07734.1	1.828795	6.824085	6.671095	8.27203	7.573935	7.71257	19.2832
OFUSG07735.1	6.15112	7.87745	6.132955	6.20968	7.771155	8.245095	12.2268
OFUSG07736.1	8.41078	22.2546	29.1355	38.9946	71.09015	81.8651	23.6197
OFUSG07737.1	0.1028223	1.050748	0.688699	1.657355	5.583165	3.933065	4.39045
OFUSG07738.1	0.2842025	0.682495	1.016633	0.38085	1.828394	4.267655	2.76402
OFUSG07738.2	0	0.2670025	0.1898735	0.101001	0.0633015	0.282007	0
OFUSG07739.1	0	0.205002	0.2944195	0	0.213163	1.051958	3.03416
OFUSG07740.1	0	0	0.468075	0.0636515	0.074865	0.1297701	0.212301
OFUSG07741.1	0.55913	0.7536045	5.162095	4.069645	2.577385	1.61309	1.92594
OFUSG07742.1	1.53044	255.244	620.2585	1063.465	457.517	195.0445	51.1146
OFUSG07743.1	0.07797865	0.12239	0.1739795	0.09222155	0.02261745	0.02414909	0.0917892
OFUSG07744.1	13.4951	16.9701	15.9638	10.827675	6.97944	4.75903	5.00681
OFUSG07745.1	2.81691	4.65267	3.415415	3.056895	14.1294	52.8885	3.2378
OFUSG07746.1	42.15825	73.3253	60.4785	48.1977	45.62055	41.83245	33.263
OFUSG07747.1	2473.905	2604.795	2348.05	2396.38	2560.705	4053.56	3792.63
OFUSG07748.1	0.127331	0.305246	0.2109645	0.483418	0.189631	0.1885915	35.1015
OFUSG07748.2	0.772573	0.6434255	0.7327965	0.2688485	0.3170275	0	19.4108
OFUSG07749.1	0.9829675	3.58392	5.13192	6.74443	4.668545	7.31003	15.2564
OFUSG07750.1	49.0791	78.11175	57.5781	44.43385	36.5611	24.1662	15.4816
OFUSG07751.1	1.58856	3.52108	3.28072	1.653315	1.63397	0.8339935	0.684173
OFUSG07751.2	14.19295	22.5136	16.0342	10.793385	12.4852	10.15273	7.77605
OFUSG07752.1	0	0.546106	5.779575	210.9225	1055.354	749.9235	151.133
OFUSG07753.1	0.637854	0.334079	3.345645	3.57448	2.448445	8.122405	11.8269
OFUSG07754.1	0.03666905	0.1152225	0.08781125	0.1073343	0.0571648	0.8398025	1.27304
OFUSG07755.1	0	0.37196	2.34478	2.981535	5.75175	0.3041235	1.36805
OFUSG07755.2	0	0.718436	0.109819	2.202863	2.788591	0.353383	0.107875
OFUSG07756.1	0.089435	0.03247935	0.905217	0.9194575	2.78804	0.7202595	1.17954
OFUSG07756.2	0.078018	0	0.11195645	0	0.58284	0.1407645	0
OFUSG07757.1	0.295343	0.941776	8.137715	20.1752	17.49235	13.875415	4.90928
OFUSG07758.1	2.53261	4.26757	15.0205	9.570785	1.5340135	2.001605	18.7881
OFUSG07759.1	38.67415	6.858215	9.19645	9.723685	4.676625	1.96241	7.39588
OFUSG07760.1	5.871775	2.51306	2.032045	2.60213	4.932735	10.214625	6.11581
OFUSG07761.1	0.47511025	0.33174325	0.636779	0.5380435	0.1875935	1.589685	0
OFUSG07762.1	4.80127	7.682	9.799665	11.729005	18.58755	26.8224	18.2851
OFUSG07762.2	0.2826355	0.5785865	1.787385	0.321517	3.21247	9.27943	6.90208
OFUSG07763.1	0.4760895	4.27782	20.20705	12.35285	3.914135	1.520555	0.782192
OFUSG07764.1	7.156795	81.25135	209.385	136.987	75.457	22.67125	8.61495
OFUSG07764.2	7.343	114.43985	320.4385	265.194	178.974	66.0726	13.3547
OFUSG07765.1	5.08298	59.7997	131.7392	70.3502	35.08535	15.4619	2.80074
OFUSG07766.1	37.70725	71.88675	87.4178	99.07615	71.1693	40.9296	41.1847
OFUSG07767.1	68.87065	28.8602	35.3341	66.28	115.942	120.928	125.506
OFUSG07768.1	43.87905	19.41415	18.67545	12.507885	8.84875	8.827425	8.46384
OFUSG07768.2	28.818	10.04054	2.22106	2.80533	2.859895	4.36819	5.68218
OFUSG07769.1	0	0.06499915	0	0	0.03171855	0.010288525	2.02847
OFUSG07770.1	0.2727833	0.5588605	0.849639	0.3306015	0.4644275	0.450398	1.33521
OFUSG07771.1	27.36175	16.60275	9.84796	7.63537	7.53814	7.365185	5.54384
OFUSG07772.1	12.17865	17.17405	21.73605	26.45415	25.464	12.83475	11.3258
OFUSG07773.1	0.7809775	0.483916	0.63387	0.984054	1.3049485	1.622185	1.43499
OFUSG07774.1	0.057297	0	0	0.270616	0.37758	3.05325	114.509
OFUSG07775.1	0	0	0	0	0	0.14830735	7.2061
OFUSG07775.2	0.0299318	0	0	0.13758065	0.1206605	0.1220325	0
OFUSG07776.1	0	0.080109	0.0537335	0.3699095	0.1545685	0.2468105	8.38576
OFUSG07777.1	0	0.1543095	0.2859395	0.080226	0.0906612	0.03673675	2.54636
OFUSG07777.2	0	0.03414455	0	0.27277775	0	1.1742015	55.5786
OFUSG07778.1	0.290992	0.3431675	0.2155715	0.0600453	0.087183	193.9995	548.718
OFUSG07779.1	0.758549	2.0854835	1.0599885	0.643649	0.243572	0.50750795	0.100752
OFUSG07780.1	14.64725	2.983292	2.857005	4.25633	4.63278	2.4889	2.76275
OFUSG07780.2	29.063	3.371045	3.049915	4.98033	8.575435	5.186025	4.25852
OFUSG07781.1	95.29765	116.6972	81.6708	38.1089	17.0399	8.82508	13.2297
OFUSG07781.2	54.7671	58.0021	45.9857	18.4982	15.2836	6.39843	13.4438
OFUSG07782.1	29.04985	17.8191	20.69815	12.9878	8.358345	5.90565	6.35912
OFUSG07783.1	1.7286355	0.43144	0.328737	1.551795	2.733235	5.56823	11.798
OFUSG07784.1	2.012815	1.268135	0.5635045	1.075725	0.527261	0.396103	0.0473131
OFUSG07785.1	0	2.880455	2.15427	0	0.70444	0.2881494	0
OFUSG07786.1	0.0433945	0.04380375	0.08759525	0.206728	0.0880352	1.863305	9.04116
OFUSG07787.1	0.333748	0.6240015	0.46799	0.2421515	0.2167025	1.176777	0.154177
OFUSG07788.1	0.819411	0.290716	0.139904	0	0	0	0
OFUSG07789.1	0.7797575	0.5617755	0.668209	0.406496	1.0927295	0.3277975	0.279297
OFUSG07790.1	0.121556	1.0803305	0.538423	0.0841847	0.1111	0.632337	1.47307
OFUSG07791.1	540.1495	559.761	599.9065	743.2255	743.3935	1287.695	1204.11
OFUSG07792.1	23.42705	9.283935	6.737745	11.55925	20.73065	20.8505	14.2476
OFUSG07793.1	33.8141	10.520875	5.53665	4.93088	5.2611	3.514095	2.60785
OFUSG07794.1	14.56275	46.48955	51.6899	39.6852	27.56685	12.14025	12.9674
OFUSG07795.1	3.669885	4.12099	3.576825	3.2608	2.564305	2.12043	2.50657
OFUSG07796.1	3.99062	7.858955	12.641565	20.0069	20.25315	23.4334	46.0929
OFUSG07797.1	0.50449	0.6508285	0.419445	0.2601622	0.579126	0.7602055	0.566161
OFUSG07798.1	0.8205195	3.691645	5.4397	5.47485	9.435425	109.7091	384.736
OFUSG07799.1	13.23325	5.27812	4.04933	3.04662	3.0713245	12.256205	10.5293
OFUSG07800.1	4.050185	3.44	2.5954	0.7383955	1.003356	2.808325	6.54039
OFUSG07801.1	5.75658	4.13654	4.39175	4.51254	6.22592	9.95206	7.44529
OFUSG07801.2	0.382681	2.520883	1.5746925	1.224485	0.595615	0.9387945	0.748725
OFUSG07802.1	104.81	63.04945	76.7994	115.8873	204.851	211.6355	176.652
OFUSG07802.2	0	0	0	0.03826985	58.3522	8.4307	0
OFUSG07802.3	1.052794	0.9742605	0.8883815	1.358258	2.8278625	6.30135	10.277
OFUSG07803.1	0	3.30082	6.680775	1.62248	0.232318	0.0213899	0
OFUSG07804.1	1.402594	1.0911445	0.8027675	0.60652	0.8513665	0.9013175	0.927131
OFUSG07805.1	32.20505	33.91215	14.8675	8.204485	5.148465	5.758025	2.46179
OFUSG07805.2	11.2523	11.93851	9.818825	5.4791	2.99552	3.684705	3.61625
OFUSG07806.1	2.95486	3.821605	2.04018	1.423178	72.6538	1189.7495	172.735
OFUSG07807.1	7.689625	3.40902	4.54705	4.355005	5.771345	6.19859	10.1281
OFUSG07807.2	0.9124485	0.1260595	0.825855	0.8288745	1.388415	2.44265	4.26642
OFUSG07807.3	9.98787	3.519595	5.07868	4.149335	4.501475	5.959595	7.72114
OFUSG07808.1	0.1950155	0.08999065	0.24856875	0.07174545	0.0929615	0.11039645	0.0754402
OFUSG07809.1	90.86725	52.76615	46.72285	19.85665	19.43395	24.25145	11.1583
OFUSG07810.1	0.7277305	0.357604	0.313532	0.082265	0	0.02553775	0
OFUSG07811.1	0.110396	0.861487	0.8671255	1.094631	2.819635	39.7314	225.864
OFUSG07812.1	2.03174	1.057444	5.92749	7.61403	11.574185	12.549	12.8164
OFUSG07813.1	31.02705	33.7739	23.5603	20.37345	17.20545	15.37905	11.6273
OFUSG07814.1	0.699223	1.954685	1.53722	1.079815	3.029175	1.2618985	1.88603
OFUSG07815.1	2.7609175	1.397121	2.644165	3.38654	7.793435	15.0834	2.92586
OFUSG07815.2	5.62479	5.916035	8.594615	13.9684	17.82215	14.88845	3.26211
OFUSG07816.1	22.4098	32.1331	23.4397	17.29095	11.2719	7.80468	8.46956
OFUSG07817.1	7.961615	9.105595	9.31878	5.996195	4.112195	2.82347	1.84964
OFUSG07818.1	22.8281	17.15675	17.04845	14.4187	13.8969	13.6868	15.865
OFUSG07819.1	0.9784165	0	0.99639	0.1802055	0	0.170147	2.76262
OFUSG07819.2	0	0.510835	0.01610745	0.0280595	0	0.593048	3.02643
OFUSG07820.1	3.083225	2.476275	1.5159835	0.8999155	0	1.67367	13.5927
OFUSG07821.1	0	0.473019	0.061175	0.1301945	0.2185575	0.260229	0
OFUSG07822.1	251.916	314.206	349.6035	386.182	347.9665	218.078	227.302
OFUSG07823.1	5.236275	15.930265	11.47738	19.00215	21.8832	4.832045	9.16406
OFUSG07823.2	0.6389775	8.013965	6.828526	14.15235	15.33985	5.86655	5.0948
OFUSG07823.3	0.524647	1.84538095	6.0170645	0.64423455	0.66909355	4.19761	0.576541
OFUSG07823.4	2.59324	6.763615	18.90435	13.9909	18.75825	23.1007	20.2666
OFUSG07823.5	1.17131	0.04997265	0.4987855	2.552535	3.867285	4.624005	7.09315
OFUSG07824.1	17.59255	2.276895	3.18018	3.91556	4.56809	6.103865	7.06721
OFUSG07825.1	0.147111	0.5239595	0.319318	0.975626	2.34750500011238	0.890344	2.40562
OFUSG07825.2	2.505173e-06	1.361885e-06	0.108552	0.820347	1.098445	2.245025	0.701193
OFUSG07825.3	0.1585381	0.1104355	0.345898	0.86636775	5.11933	5.255515	9.42841
OFUSG07826.1	1.107626	1.462835	1.62513	2.38612	2.081595	1.48078	2.68202
OFUSG07827.1	0.3972865	0.9726685	1.54965	3.39947	7.22588	3.38413	6.63563
OFUSG07828.1	0.1004215	0.259231	0.1547255	0.4646445	0.3108085	1.95539	179.428
OFUSG07829.1	1.226075	2.6405	3.158595	5.16459	17.5019	10.00729	3.2599
OFUSG07830.1	0	3.93175	5.182435	2.18445	7.001055	14.11025	43.8211
OFUSG07830.2	3.12897	13.59115	6.4017	1.347595	17.0864	108.00385	181.245
OFUSG07831.1	1.281357	5.02174	1.74594	1.84484	11.68043	30.04215	23.877
OFUSG07832.1	0	0.159283	0	0.018533	0	0.7696045	1.14413
OFUSG07833.1	0	0.2377035	0.0523504	0	0	0.4707205	1.04158
OFUSG07834.1	0	0.453633	0.0642022	0.0947639	0	1.3940275	5.32346
OFUSG07835.1	16.08105	29.0769	25.5899	16.8969	10.6182	7.379605	6.79657
OFUSG07836.1	40.5829	18.8509	12.2121	8.531915	3.64916	6.31078	3.45333
OFUSG07836.2	0	0	0.3719285	0	0	0	0
OFUSG07837.1	17.04855	39.148	38.36575	24.2646	12.89855	9.85436	10.6173
OFUSG07838.1	0.0258128	0.0493111	0.3124645	0.2378105	0.502584	4.037755	19.9015
OFUSG07839.1	6.319875	1.619733	0.8501595	0	0.628092	0.376102	1.07899
OFUSG07840.1	8.25064	25.38635	41.6576	48.9466	96.381	33.36475	36.2289
OFUSG07841.1	4.055145	2.055685	1.2601025	0.6506695	0.5387575	4.26032	10.0302
OFUSG07842.1	2.682075	8.937115	31.67785	133.916	457.5905	460.5395	92.1612
OFUSG07843.1	2.426285	2.050295	3.961085	18.879795	116.795	138.5085	35.1589
OFUSG07844.1	48.55175	259.1625	146.604	23.724	8.761415	6.372875	2.68297
OFUSG07845.1	0.0323705	0.299394	0.1799475	0.91011	0.2608485	0.0614485	3.47189
OFUSG07845.2	0.0323705	0.171762	0.1799475	0.303565	0.2608485	0.1952145	0.434228
OFUSG07845.3	0	0.03015815	0	0	0.1020905	0	0.0555516
OFUSG07846.1	10.010365	28.92385	26.92215	16.56491	16.7478	12.11506	10.7099
OFUSG07847.1	0.4974838	6.5953645	2.268655	0.4314765	0.73052	0.7650835	2.58616
OFUSG07848.1	16.2255	57.86545	58.88165	32.02345	12.84785	13.2437	10.353
OFUSG07849.1	11.31205	76.44175	79.5013	21.52915	12.3694	8.41015	7.11245
OFUSG07850.1	0.275691	0.9921285	3.982705	20.3208	37.73285	21.09135	8.71375
OFUSG07850.2	0.3974526481	1.71453	4.403945	42.5534	86.3706	132.89	8.67488
OFUSG07851.1	86.0509	67.43185	50.2104	28.552	30.38885	22.64735	13.8917
OFUSG07852.1	31.90995	23.413	21.1674	19.92475	16.264	8.738515	5.94078
OFUSG07853.1	8.167651963e-06	3.5895413575	0.866726385	0.080902172375	0	0	0
OFUSG07853.2	16.13495	16.96775	15.93435	13.5667	9.830445	8.22552	5.64974
OFUSG07854.1	46.90875	80.96675	74.9172	46.42665	36.82605	25.19845	17.1285
OFUSG07855.1	5.328355	8.35905	7.78438	6.11542	5.13695	4.791055	5.35461
OFUSG07856.1	7.438795	14.0916	10.7467	7.137755	7.61518	5.495485	5.45178
OFUSG07856.2	2.1444565	1.245029	0	0.000172138	0.2014245	0.3854705	0
OFUSG07857.1	7.005005	8.09515	11.12845	9.705545	11.32687	7.504875	3.50574
OFUSG07857.2	18.26425	34.51965	37.69665	39.0499	40.0869	19.5901	14.4318
OFUSG07858.1	4.17202	0.919299	1.149914	1.1805605	1.409835	2.43258	2.55065
OFUSG07859.1	0.03977355	0.4572795	1.523178	0.8735063	0.6866745	0.5509295	1.79793
OFUSG07860.1	0.0892955	0.460169	0.915842	0.516048	0.0292459	0.11189285	38.7474
OFUSG07861.1	13.4	11.44797	14.25145	9.81166	10.071355	5.81637	4.74415
OFUSG07862.1	0.1976045	0.38015785	0.1423747	0.04493355	0.106904	0.2290125	0.719227
OFUSG07863.1	45.9077	80.20955	41.0163	24.46435	15.60715	14.78065	10.1059
OFUSG07863.2	6.50425	5.059165	4.2427135	1.863771	1.732795	1.03792	1.33581
OFUSG07864.1	0.0859415	0.1085335	0.1437834	0.14333485	0.183372	0.04927865	2.96164
OFUSG07864.2	0.373254	0.2731085	1.1880555	4.34045	1.90851	0.241623	0.0783032
OFUSG07865.1	24.89955	29.2161	35.6865	34.49955	31.7528	25.48725	25.9767
OFUSG07866.1	0.0361836	0	0	1.04075e-07	1.08149	1.09616545	1.22968
OFUSG07866.2	1.206005	1.3032605	1.46518	1.96434	22.80962	78.5778	115.953
OFUSG07866.3	0	0.6240225	0.456043	1.851615	4.938065	21.07784	25.8621
OFUSG07867.1	74.98415	56.0588	71.73405	73.46415	48.8589	21.4699	28.1576
OFUSG07868.1	78.99935	50.11105	25.9923	26.84245	22.90955	19.46915	13.2233
OFUSG07869.1	0.3874	0.382599	0.455799	0.2734285	0.4436345	0.173707	0.162991
OFUSG07870.1	21.4056	11.272795	8.518445	8.416695	9.19354	7.75259	7.07505
OFUSG07871.1	1.815669	3.853825	3.05562	5.16875	25.03805	7.65554	1.96775
OFUSG07872.1	0.491821	0.3155945	0.454447	0.419773	0.1122225	0.286329	0.686101
OFUSG07873.1	17.4344	64.13845	37.96645	22.3923	16.6536	46.87345	75.0443
OFUSG07874.1	24.35095	13.8518	8.034525	5.430565	12.6073	19.4058	10.3228
OFUSG07875.1	1.756745	0.964473	0.5532755	0.469664	0.888364	1.94623	1.36298
OFUSG07876.1	0.426366	0.221637	0.4343855	0.2217625	0.0402332	0.16118705	0.220048
OFUSG07877.1	4.41769	6.469925	12.59035	24.58255	40.62505	45.1243	8.53006
OFUSG07878.1	8.492745	5.27983	2.81198	0	0.4018535	0.654776	0.04584
OFUSG07879.1	26.33035	19.68283	15.632	8.536745	5.41307	5.596085	2.95108
OFUSG07880.1	0.334715	0.2760675	0.155793	0.0495271	0.078084	0.0310854	12.4314
OFUSG07881.1	109.0954	57.9955	52.6854	39.1461	52.98005	16.143745	6.4489
OFUSG07882.1	1.206245	0.1675925	0.312288	0.144338	0	0.1166231	0.931667
OFUSG07883.1	0.1929975	0.369281	0.638053	0.481245	0.8854565	1.17914	1.50433
OFUSG07884.1	39.44805	68.8499	48.842	40.0743	42.53465	29.0096	25.4982
OFUSG07885.1	53.53605	11.14285	7.778845	5.931095	5.085815	2.74163	2.57771
OFUSG07886.1	2.86167	1.697485	4.53202	9.65271	8.950995	21.3132	9.85086
OFUSG07887.1	18.27725	15.5789	12.22405	12.7239	15.035	12.52135	8.06199
OFUSG07888.1	5.771585	57.90075	59.31695	23.36031	19.40695	46.40805	68.0741
OFUSG07889.1	0	0.258693	0.740745	0	0	0.09085175	0
OFUSG07890.1	1.144525	0.4502805	0.534289	0.518351	1.260545	0.3299915	0.0872665
OFUSG07891.1	36.5042	18.90945	17.04155	13.587	14.8848	16.85355	18.3379
OFUSG07892.1	22.87015	23.48175	26.2481	18.1868	15.9051	7.498835	7.53236
OFUSG07893.1	1.390716	0.6129715	0.391427	0.2070415	0.0607985	0.106765	0.238105
OFUSG07894.1	0.098157	0.206151	0.065201	0.03108045	0	0.02935435	0.0456846
OFUSG07895.1	0.0235449	0.09925565	0.4603025	0.2002915	0.1245241	0.301055	3.42405
OFUSG07896.1	5.71346	6.489375	10.633875	10.411385	9.137035	7.24096	4.71859
OFUSG07897.1	512.3245	545.8765	343.1305	165.573	103.58635	87.0147	84.7799
OFUSG07898.1	0.28039	0.531098	0.0973445	0.1567345	0.08326	0.03490245	0
OFUSG07898.2	11.627455	36.1795	96.41145	146.299	207.1595	132.0408	34.4525
OFUSG07898.3	1.3605415	0.420059	0	0.064521	0	0	0
OFUSG07899.1	0.4488505	0.742607	1.33319	0.494941	0.16004445	0.2309265	0.283135
OFUSG07899.2	0.4567675	0.2224095	0.19554035	0.054688	0.01989835	0.02572745	0
OFUSG07899.3	0.397954	0.097569	0	0	0.0809435	0.0494956	0.0173991
OFUSG07900.1	0.1135295	0.053045	0.08007	0.0248398	0.055739	0.0926423	0.183668
OFUSG07901.1	0.3344075	0	2.2845	3.75996	2.61649	4.52865	0.345543
OFUSG07901.2	11.80781	2.161585	2.33584	2.396825	1.72729	2.7642	2.25736
OFUSG07902.1	70.75405	163.561	163.563	187.752	188.7415	155.09	152.934
OFUSG07903.1	4.250485	4.743795	4.12417	3.717685	4.77999	5.906835	6.16937
OFUSG07903.2	5.4366	0.4893605	0.0818175	0.177078	0.7432145	0.711782	0.315566
OFUSG07904.1	1.078623	2.19836	1.8512175	0.9661715	3.627985	12.76331	6.54151
OFUSG07905.1	0.516686	0.076292	0.1562325	0.4419735	1.27108	3.38614	6.09646
OFUSG07906.1	3.114675	5.207425	3.930195	1.7096	1.86253	1.366242	1.38451
OFUSG07907.1	0.3649825	0.1554905	0.199605	0.3198435	0.2215505	0.442401	0.814419
OFUSG07908.1	0.16988065	0.18679345	0.12451	0.2427095	0.2268495	0.06849225	0.104062
OFUSG07909.1	0.7929955	1.0792595	0.844224	0.3502125	0.1865895	0.2673885	0.179436
OFUSG07910.1	152.1125	156.0545	119.222	82.17575	55.53435	32.0788	29.0894
OFUSG07911.1	2.00505	6.133925	8.311615	9.760955	21.95055	17.08	11.3077
OFUSG07912.1	0.1208615	0.314997	0.105652	0.0401349	0.03898415	0.3377095	1.60837
OFUSG07913.1	0.683428	0.3444955	0.307115	0.1884565	0.1370335	0.359324	1.28311
OFUSG07914.1	0.191261	0.916447	1.3031995	1.38517	2.09056	2.620205	0.997764
OFUSG07914.2	1.364834	0.4783695	2.464185	4.23215	5.709505	3.60135	2.28797
OFUSG07915.1	1.3301835	2.848615	21.2422	141.0345	310.252	89.1428	37.282
OFUSG07916.1	1.60135	0.568773	0.2177485	0.0997964	0.05319195	0.12409695	0.171541
OFUSG07917.1	0.04910385	0	0.0244914	0	0	0.04477905	0.103731
OFUSG07918.1	0.0560945	0.1596155	0.309049	0.06168	0	1.308175	9.1278
OFUSG07919.1	0.1481083	2.14612	1.567405	0.794861	0.1539865	10.017435	26.3463
OFUSG07920.1	0.3161325	1.215405	3.83799	3.531315	1.94823	1.631652	1.68194
OFUSG07921.1	2.7268255	2.560165	1.67331	0.51037	1.86445	2.105765	1.08375
OFUSG07922.1	0.610219	0.18088855	0.214989	0.09180455	0.20597195	0.248548	0.314868
OFUSG07923.1	10.1833	5.0838	2.98847	1.400755	0.719857	1.648019	1.61013
OFUSG07924.1	0.1563574	0.071022	0.8530665	2.29184	1.502505	2.51743	1.58219
OFUSG07925.1	0.780791	1.900215	0.8038535	1.517906	1.767485	2.01318	0.593594
OFUSG07926.1	2.92126	6.543205	3.319485	0.317614	0.07622	0.1482445	0.0164225
OFUSG07927.1	1.38008	1.11936	1.120576	0.5773055	0.1020566	0.1529015	0.131808
OFUSG07928.1	53.01955	85.1695	80.6437	55.5965	44.37755	21.2272	20.0787
OFUSG07928.2	5.471225	4.58309	4.968785	7.71399	0.499029	1.2703086	2.16685
OFUSG07929.1	1.2461	9.612335	31.1992	16.44115	12.5154	9.52751	10.74
OFUSG07930.1	0.5221355	2.75977	4.17693	8.104245	11.96665	16.6625	24.0306
OFUSG07931.1	64.8594	338.976	86.09755	18.4918	6.682985	7.841735	4.99471
OFUSG07932.1	0.92373	1.746345	2.069475	1.082058	0.4954305	3.251165	4.48668
OFUSG07932.2	0.11922055	1.1305755	1.009129	0.3486755	0	0.3498725	0.105767
OFUSG07933.1	0	0.069613	0	0.36990945	0.8473835	0.01187905	0
OFUSG07933.2	0.10369	0.743693	0.4678805	0.539454	0.2107905	1.3887875	12.7836
OFUSG07934.1	0.3378245	1.78508	0.454727	0.7654085	0.3853575	3.207665	28.2876
OFUSG07935.1	0.4648895	0.109265	0.3125025	0	0.077881	2.588235	10.7345
OFUSG07935.2	0.0344999	0	0	0	0	0	0
OFUSG07936.1	0.67266	1.090946	0.3356085	0.0983055	0.155235	0.831473	15.0613
OFUSG07936.2	0	0.1852465	0.245731	0	0.203666	0.222045	2.55633
OFUSG07937.1	0	0.776366	0.8209415	0.1258066	0.136486	0.09993525	0.297127
OFUSG07938.1	69.0772	128.3115	128.0105	86.49375	52.99935	51.8538	58.0352
OFUSG07939.1	144.32	171.1385	174.328	145.928	91.34365	65.65445	59.4818
OFUSG07940.1	210.259	115.4635	114.621	116.603	98.01585	104.7241	79.3227
OFUSG07941.1	65.89755	54.0164	55.3657	49.5275	31.84825	46.55335	36.4177
OFUSG07941.2	4.151025	3.53763	3.835865	4.13243	4.21391	3.61669	5.66203
OFUSG07941.3	0	0.23449345	0.1701075	0.03542155	0.193673	0.4354285	0.0361104
OFUSG07941.4	0.088279	0.3982525	0.0831092	0.0865695	0.378451	2.05196	1.7566
OFUSG07941.5	0.7454765	0.3457515	0.0505445	0.20301195	0.298912	1.274577	0.845358
