Orthogroup	XENTR	CAPO3
OG0000697	XENTR02874, XENTR02556, XENTR06818, XENTR11308	CAPO304466, CAPO306724
OG0000699	XENTR15466, XENTR05930, XENTR17608, XENTR08575	CAPO306785, CAPO302735
OG0000701	XENTR08735, XENTR08734, XENTR08926, XENTR08927, XENTR06451, XENTR01949	CAPO306727
OG0000703	XENTR08730, XENTR08729, XENTR05594	CAPO308078
OG0000706	XENTR09148, XENTR02593	CAPO301985
OG0000708	XENTR03991	CAPO302130
OG0000708	XENTR06811	CAPO300640
OG0000709	XENTR12794	CAPO305451
OG0000711	XENTR10807, XENTR17290, XENTR14028, XENTR12075, XENTR10806	CAPO304713
OG0000713	XENTR18876, XENTR06309	CAPO302804
OG0000715	XENTR03141, XENTR05201, XENTR15992	CAPO305197
OG0000716	XENTR06302, XENTR07615, XENTR18854, XENTR11906	CAPO306457
OG0000717	XENTR04673, XENTR10456, XENTR15535	CAPO302989
OG0000718	XENTR16847, XENTR16460, XENTR09687, XENTR17406, XENTR09096, XENTR10099	CAPO301597, CAPO306021
OG0000721	XENTR07131, XENTR04541, XENTR08795, XENTR14738, XENTR09604, XENTR10764	CAPO305154, CAPO301906
OG0000724	XENTR15314	CAPO300826
OG0000726	XENTR09424, XENTR03808	CAPO302910
OG0000731	XENTR06230, XENTR09272, XENTR06186	CAPO304569
OG0000732	XENTR11927, XENTR08594	CAPO304867
OG0000732	XENTR13213, XENTR00357	CAPO302445
OG0000733	XENTR12956, XENTR09501, XENTR05537, XENTR08499	CAPO301695
OG0000735	XENTR03017, XENTR16831, XENTR00243, XENTR00244	CAPO302824
OG0000736	XENTR15994, XENTR08563, XENTR05404, XENTR04965, XENTR02910	CAPO306770
OG0000737	XENTR14208, XENTR06458	CAPO304586
OG0000743	XENTR01379, XENTR11189, XENTR01696, XENTR01380, XENTR01695	CAPO306268
OG0000748	XENTR10860, XENTR10861	CAPO301276
OG0000751	XENTR03358, XENTR00118	CAPO302771
OG0000751	XENTR09818	CAPO304118
OG0000752	XENTR03680	CAPO300507
OG0000752	XENTR00306	CAPO305335
OG0000753	XENTR13232	CAPO301378
OG0000755	XENTR15916, XENTR06639, XENTR08361, XENTR08360	CAPO300267
OG0000757	XENTR10378	CAPO300067
OG0000758	XENTR12870, XENTR12401, XENTR02503, XENTR06058	CAPO305275
OG0000759	XENTR03136, XENTR03134, XENTR01884, XENTR05238, XENTR18352	CAPO300473
OG0000761	XENTR17935, XENTR12007, XENTR15207, XENTR01309	CAPO305655
OG0000765	XENTR01990, XENTR01184	CAPO301853
OG0000766	XENTR13873, XENTR17891, XENTR13807, XENTR00551	CAPO300388
OG0000767	XENTR03830, XENTR11683, XENTR00589	CAPO305367
OG0000768	XENTR00756, XENTR13472, XENTR18974	CAPO306612, CAPO302492, CAPO307738, CAPO305672, CAPO305904
OG0000772	XENTR07457, XENTR07456, XENTR07455	CAPO304708, CAPO302709
OG0000774	XENTR04669, XENTR14580, XENTR04231	CAPO306995
OG0000775	XENTR09141, XENTR01130	CAPO306201
OG0000776	XENTR04910, XENTR05244	CAPO307356
OG0000779	XENTR06178	CAPO305943
OG0000779	XENTR02460, XENTR07467, XENTR06587	CAPO300301
OG0000788	XENTR04467, XENTR16399, XENTR15693, XENTR18205	CAPO304590
OG0000791	XENTR01881, XENTR06218, XENTR04189	CAPO304699
OG0000792	XENTR02294, XENTR08546, XENTR07185, XENTR01146	CAPO305838
OG0000793	XENTR18227, XENTR14087, XENTR10065, XENTR12127, XENTR12126	CAPO301604
OG0000794	XENTR04044, XENTR01141, XENTR18009	CAPO304031
OG0000797	XENTR01630, XENTR05651	CAPO307534
OG0000803	XENTR10876, XENTR10877	CAPO301668
OG0000810	XENTR00056, XENTR17048, XENTR16257	CAPO305098, CAPO306601
OG0000813	XENTR13150, XENTR13151	CAPO300040, CAPO308168
OG0000814	XENTR13230, XENTR03397	CAPO307227
OG0000815	XENTR02731, XENTR05406, XENTR02911	CAPO300838
OG0000816	XENTR12785, XENTR13049, XENTR02094, XENTR05575, XENTR16977	CAPO304990
OG0000818	XENTR04812	CAPO307028
OG0000818	XENTR00964, XENTR01697, XENTR05672	CAPO307656
OG0000820	XENTR14094, XENTR03160, XENTR05390, XENTR07096	CAPO303993, CAPO304861, CAPO306914, CAPO301340, CAPO300173, CAPO302332, CAPO305090, CAPO300452
OG0000824	XENTR04940, XENTR04939, XENTR11038	CAPO303788
OG0000825	XENTR01022, XENTR10589, XENTR16089, XENTR09274	CAPO305165, CAPO306157, CAPO306129
OG0000826	XENTR02499	CAPO306060
OG0000827	XENTR16985, XENTR18584	CAPO304578
OG0000828	XENTR00582	CAPO306023
OG0000828	XENTR06348	CAPO307153
OG0000834	XENTR08567, XENTR17187, XENTR03386, XENTR12342	CAPO306233
OG0000836	XENTR10284, XENTR11931, XENTR11932	CAPO306019, CAPO307821
OG0000837	XENTR12402, XENTR04077, XENTR09514, XENTR18045	CAPO308104, CAPO303511
OG0000838	XENTR08945, XENTR18076, XENTR05664	CAPO303856
OG0000841	XENTR17534, XENTR09566, XENTR09621, XENTR09619, XENTR08800	CAPO307470
OG0000844	XENTR17965, XENTR18460, XENTR06250	CAPO306591, CAPO307267
OG0000845	XENTR10269, XENTR12604, XENTR08484	CAPO303615
OG0000847	XENTR18143, XENTR18591	CAPO301759, CAPO307057
OG0000847	XENTR00819	CAPO308298
OG0000849	XENTR02560, XENTR07414, XENTR04112	CAPO304492
OG0000850	XENTR00057	CAPO302141
OG0000850	XENTR12447	CAPO306299
OG0000851	XENTR10592, XENTR01014	CAPO304092
OG0000852	XENTR02441, XENTR15626	CAPO307622
OG0000857	XENTR11492	CAPO302559
OG0000858	XENTR18845, XENTR10077, XENTR10078	CAPO306693
OG0000860	XENTR06781, XENTR03999	CAPO306338
OG0000872	XENTR10169, XENTR12689, XENTR12885	CAPO308293
OG0000873	XENTR15243, XENTR11936, XENTR08135	CAPO307878
OG0000875	XENTR15432, XENTR08213	CAPO303418, CAPO302903
OG0000876	XENTR06284, XENTR06285, XENTR03810, XENTR01097	CAPO302150
OG0000877	XENTR02432, XENTR02438, XENTR19180	CAPO304981
OG0000879	XENTR03813	CAPO301982
OG0000881	XENTR12933, XENTR12934	CAPO301333, CAPO300020
OG0000881	XENTR11112, XENTR11328	CAPO308042
OG0000888	XENTR12831, XENTR13292, XENTR13291	CAPO300320
OG0000889	XENTR17043	CAPO302257
OG0000889	XENTR16104, XENTR00818	CAPO304144
OG0000890	XENTR18941, XENTR07606, XENTR07605, XENTR12846	CAPO304283
OG0000894	XENTR12194	CAPO300968, CAPO300967
OG0000894	XENTR04788, XENTR16604	CAPO301227
OG0000896	XENTR18869	CAPO301183
OG0000896	XENTR13448, XENTR09474	CAPO304049
OG0000897	XENTR01334, XENTR01333, XENTR01226, XENTR03509	CAPO306059
OG0000898	XENTR03982, XENTR12217	CAPO302619
OG0000899	XENTR11770, XENTR11769, XENTR03655	CAPO300655
OG0000904	XENTR10340, XENTR08923, XENTR04176	CAPO305539
OG0000909	XENTR10672, XENTR12839, XENTR08443	CAPO300878
OG0000911	XENTR18175, XENTR13431, XENTR10007, XENTR05207	CAPO302608
OG0000912	XENTR06455, XENTR12826, XENTR08744, XENTR17481, XENTR06537	CAPO302397
OG0000913	XENTR01593, XENTR13952	CAPO300255
OG0000914	XENTR11295, XENTR10460, XENTR02522, XENTR02868	CAPO302002
OG0000915	XENTR06376, XENTR07971, XENTR14552, XENTR15550	CAPO306555
OG0000925	XENTR13985, XENTR02311	CAPO304563
OG0000928	XENTR05033, XENTR05285	CAPO301245
OG0000929	XENTR00682, XENTR15957, XENTR09138, XENTR05468, XENTR05469	CAPO303494
OG0000931	XENTR02004, XENTR07908, XENTR01984	CAPO303586
OG0000933	XENTR09950, XENTR06630, XENTR08513	CAPO304170
OG0000934	XENTR14739, XENTR18207	CAPO306946, CAPO300619
OG0000934	XENTR11383, XENTR18032	CAPO304006
OG0000935	XENTR12574, XENTR06757, XENTR07228, XENTR08768	CAPO307401
OG0000944	XENTR10992, XENTR07595, XENTR10654, XENTR10653, XENTR03094, XENTR03561, XENTR14742, XENTR14462, XENTR00679	CAPO304090
OG0000952	XENTR06419, XENTR10974, XENTR07516, XENTR10972, XENTR10973	CAPO300179
OG0000954	XENTR04163	CAPO303535
OG0000954	XENTR07349, XENTR07350	CAPO305800
OG0000955	XENTR15251	CAPO303429
OG0000955	XENTR15299	CAPO308190
OG0000960	XENTR00488, XENTR11786, XENTR16830, XENTR19097	CAPO304728
OG0000963	XENTR09828, XENTR00065	CAPO303990
OG0000965	XENTR14312	CAPO305928
OG0000965	XENTR16944	CAPO302148
OG0000967	XENTR06702	CAPO304786
OG0000970	XENTR01182	CAPO301807
OG0000974	XENTR01619	CAPO306940
OG0000978	XENTR01707, XENTR17274, XENTR04595	CAPO306307
OG0000982	XENTR15733, XENTR18658, XENTR06997	CAPO301371
OG0000984	XENTR03417, XENTR01286, XENTR01285	CAPO307940
OG0000985	XENTR01934, XENTR16979, XENTR16978, XENTR04320, XENTR04319	CAPO304864
OG0000986	XENTR04261, XENTR01926	CAPO305058
OG0000987	XENTR06356, XENTR03812	CAPO306365
OG0000992	XENTR07391, XENTR15056, XENTR11894	CAPO308244
OG0000993	XENTR14928, XENTR18730	CAPO303930
OG0000994	XENTR15055	CAPO306999
OG0000996	XENTR00689, XENTR11665, XENTR03250	CAPO304603
OG0000999	XENTR05421, XENTR17674, XENTR18093, XENTR05336	CAPO303484, CAPO302236
OG0001006	XENTR01787, XENTR11011, XENTR15378, XENTR09358	CAPO308145
OG0001009	XENTR09611, XENTR19086, XENTR04072	CAPO305830
OG0001015	XENTR03903, XENTR02699, XENTR16275	CAPO304771
OG0001016	XENTR06361	CAPO300038
OG0001016	XENTR11007	CAPO302596
OG0001018	XENTR13405	CAPO305732
OG0001024	XENTR05573, XENTR09290, XENTR01956	CAPO300862
OG0001033	XENTR11737, XENTR02706	CAPO305083
OG0001033	XENTR00028, XENTR04288, XENTR04289, XENTR10639	CAPO300376
OG0001036	XENTR15810, XENTR02160	CAPO301917
OG0001037	XENTR06792, XENTR04702	CAPO306107
OG0001039	XENTR00807, XENTR10799, XENTR11115	CAPO305080
OG0001042	XENTR15139, XENTR17123, XENTR16376	CAPO301530
OG0001044	XENTR05073, XENTR01479, XENTR18041	CAPO305401, CAPO306389
OG0001046	XENTR01853, XENTR03892, XENTR03891, XENTR10518	CAPO304357
OG0001048	XENTR06473, XENTR14297, XENTR16609	CAPO306868
OG0001049	XENTR02876	CAPO306151
OG0001049	XENTR03223	CAPO305769
OG0001050	XENTR08446	CAPO306892
OG0001050	XENTR18291, XENTR03607, XENTR01418, XENTR01419, XENTR15902	CAPO306760
OG0001060	XENTR14378	CAPO307547, CAPO305773, CAPO307224, CAPO305772, CAPO301879
OG0001060	XENTR15320	CAPO302777
OG0001062	XENTR02358, XENTR00517, XENTR00439	CAPO300111
OG0001066	XENTR08375, XENTR18939, XENTR01227, XENTR05175	CAPO305156
OG0001072	XENTR01131, XENTR14054	CAPO304331
OG0001073	XENTR13757, XENTR03448, XENTR09013	CAPO307880
OG0001075	XENTR05482, XENTR14239, XENTR06059	CAPO305658
OG0001076	XENTR04369, XENTR03450	CAPO306580
OG0001078	XENTR16491, XENTR12278, XENTR05427, XENTR16318	CAPO300211
OG0001082	XENTR04166, XENTR03787	CAPO306944
OG0001083	XENTR14939, XENTR08964, XENTR02202, XENTR09760	CAPO306339
OG0001085	XENTR14464, XENTR18960, XENTR05968, XENTR02550	CAPO305936
OG0001092	XENTR04356, XENTR03567, XENTR04358	CAPO303664
OG0001095	XENTR12897, XENTR04215	CAPO303064
OG0001096	XENTR04979, XENTR04980, XENTR10593	CAPO308143
OG0001101	XENTR16380	CAPO301529
OG0001104	XENTR13239, XENTR13771, XENTR13900, XENTR18117	CAPO306923
OG0001106	XENTR12570, XENTR01358	CAPO307850
OG0001108	XENTR08568, XENTR01519	CAPO300863
OG0001116	XENTR15111, XENTR15112	CAPO303103
OG0001120	XENTR06417, XENTR10567, XENTR10976	CAPO300555
OG0001121	XENTR00146, XENTR15147	CAPO305030
OG0001123	XENTR10415	CAPO305010
OG0001124	XENTR16582, XENTR06212	CAPO307326
OG0001126	XENTR18698	CAPO301067
OG0001126	XENTR17124	CAPO308119
OG0001128	XENTR08508, XENTR02079, XENTR13449, XENTR13450	CAPO301710
OG0001129	XENTR05147, XENTR08362	CAPO306230
OG0001130	XENTR03434	CAPO305636
OG0001132	XENTR06989	CAPO303538
OG0001133	XENTR17678	CAPO302577
OG0001133	XENTR15362	CAPO300360
OG0001134	XENTR10250, XENTR00965, XENTR03216, XENTR03221	CAPO304261
OG0001135	XENTR01797, XENTR01779	CAPO304787
OG0001136	XENTR10642, XENTR00557, XENTR12118	CAPO301949
OG0001137	XENTR12668, XENTR04145	CAPO308164
OG0001139	XENTR12289, XENTR11375, XENTR07646, XENTR17010	CAPO300537
OG0001140	XENTR00230, XENTR13675, XENTR13933	CAPO308326
OG0001142	XENTR06629	CAPO304790
OG0001143	XENTR16291, XENTR08123, XENTR08124, XENTR08673, XENTR09685	CAPO304300
OG0001144	XENTR08544, XENTR07178, XENTR03323, XENTR03322	CAPO307577
OG0001146	XENTR04404, XENTR04096, XENTR12242	CAPO300511
OG0001149	XENTR12926, XENTR00444	CAPO305549
OG0001156	XENTR07093, XENTR06912, XENTR01092	CAPO306962
OG0001157	XENTR04127	CAPO304789
OG0001158	XENTR16126, XENTR16127, XENTR07686, XENTR07685	CAPO302639
OG0001160	XENTR08948, XENTR07949	CAPO304743
OG0001161	XENTR05290, XENTR17947	CAPO301112
OG0001163	XENTR08141	CAPO301684, CAPO307755, CAPO304886
OG0001167	XENTR07709, XENTR06636, XENTR08900	CAPO307849
OG0001168	XENTR12949, XENTR06904, XENTR00455	CAPO301546
OG0001169	XENTR00013, XENTR11448, XENTR18438	CAPO301751
OG0001170	XENTR11874, XENTR14412, XENTR07877, XENTR14411	CAPO302766
OG0001171	XENTR19114, XENTR06589, XENTR07471, XENTR02457	CAPO300420
OG0001175	XENTR04334, XENTR01937	CAPO304133, CAPO306812
OG0001179	XENTR01714	CAPO300184
OG0001181	XENTR02917, XENTR13969	CAPO301983
OG0001183	XENTR15931, XENTR15930	CAPO301096
OG0001184	XENTR11761	CAPO306392
OG0001185	XENTR05474, XENTR09610, XENTR09609	CAPO303366
OG0001186	XENTR07680, XENTR03745	CAPO302303
OG0001186	XENTR03736	CAPO307451
OG0001188	XENTR12660, XENTR10956, XENTR04124	CAPO300558
OG0001196	XENTR18694, XENTR11054, XENTR19094	CAPO301570
OG0001197	XENTR14109	CAPO306552
OG0001199	XENTR12723	CAPO305690
OG0001201	XENTR05955, XENTR17812, XENTR17811	CAPO302220
OG0001202	XENTR11567, XENTR11566	CAPO306186
OG0001207	XENTR10602, XENTR06956, XENTR16548	CAPO302093
OG0001208	XENTR05399, XENTR14797	CAPO300830
OG0001209	XENTR17550	CAPO302948
OG0001210	XENTR12983	CAPO300919
OG0001213	XENTR10507	CAPO304729
OG0001213	XENTR01205	CAPO303632
OG0001214	XENTR02921	CAPO304780
OG0001215	XENTR12954, XENTR16550, XENTR16549	CAPO302583
OG0001216	XENTR13109, XENTR05946	CAPO307997
OG0001217	XENTR07688, XENTR11580, XENTR00148, XENTR13893, XENTR11581	CAPO306810
OG0001218	XENTR16071, XENTR10134, XENTR14884, XENTR14883, XENTR16396	CAPO307457
OG0001221	XENTR15915	CAPO307765
OG0001226	XENTR11877, XENTR07881, XENTR05450	CAPO307936
OG0001232	XENTR01820	CAPO304224
OG0001233	XENTR15515	CAPO303591
OG0001234	XENTR15695, XENTR00503	CAPO307897
OG0001241	XENTR12971	CAPO303368
OG0001241	XENTR07087, XENTR02055	CAPO304888
OG0001247	XENTR19062, XENTR18189, XENTR18467, XENTR11045	CAPO303193, CAPO307423
OG0001248	XENTR01078, XENTR18804, XENTR03776	CAPO303079
OG0001249	XENTR10238, XENTR10239, XENTR04710, XENTR00318	CAPO306922
OG0001250	XENTR10529, XENTR04777, XENTR07316	CAPO302323
OG0001251	XENTR12411	CAPO302019
OG0001252	XENTR06520, XENTR03993, XENTR03992, XENTR09825	CAPO300016
OG0001253	XENTR01323, XENTR07953, XENTR11293, XENTR01322, XENTR02523	CAPO306156
OG0001254	XENTR03435, XENTR01471	CAPO307546
OG0001261	XENTR03563, XENTR16999	CAPO302839
OG0001263	XENTR06868	CAPO301777
OG0001267	XENTR14460, XENTR06333	CAPO307578
OG0001268	XENTR08282, XENTR18855	CAPO303692
OG0001270	XENTR01782	CAPO306176
OG0001270	XENTR12521, XENTR12522	CAPO304393
OG0001271	XENTR17754, XENTR02751, XENTR07226	CAPO302779
OG0001272	XENTR18340, XENTR09464, XENTR00960	CAPO305566
OG0001273	XENTR13224, XENTR14752, XENTR14082	CAPO301889
OG0001274	XENTR13249, XENTR15210, XENTR15211, XENTR07752	CAPO308194
OG0001276	XENTR09721, XENTR13760	CAPO302888
OG0001278	XENTR09813	CAPO306229
OG0001279	XENTR11976, XENTR14916	CAPO302733
OG0001280	XENTR13872, XENTR04350, XENTR07156	CAPO300326
OG0001281	XENTR10819, XENTR07891, XENTR08370, XENTR12911, XENTR17643	CAPO304088, CAPO303543
OG0001282	XENTR16436, XENTR00274	CAPO303595
OG0001284	XENTR15697, XENTR01467, XENTR01466	CAPO300970
OG0001285	XENTR08874, XENTR13103	CAPO304179
OG0001286	XENTR12060, XENTR12687	CAPO303892
OG0001287	XENTR06418, XENTR10568, XENTR10975, XENTR14177	CAPO302822, CAPO304538
OG0001288	XENTR05832, XENTR05833	CAPO302651
OG0001289	XENTR03860	CAPO306071
OG0001290	XENTR08522, XENTR00546, XENTR09553, XENTR04590	CAPO302574
OG0001291	XENTR02209, XENTR05578, XENTR07580, XENTR07579	CAPO300695
OG0001294	XENTR08985, XENTR08984	CAPO304223
OG0001295	XENTR07162, XENTR07111, XENTR10843, XENTR03343	CAPO306210
OG0001296	XENTR10758, XENTR16218, XENTR01664, XENTR01665	CAPO308260
OG0001297	XENTR07068, XENTR07067, XENTR01254, XENTR17500	CAPO305437
OG0001300	XENTR09380, XENTR15087, XENTR13396	CAPO303702, CAPO301019, CAPO300154
OG0001302	XENTR00019	CAPO302654
OG0001302	XENTR05127, XENTR05128	CAPO302215
OG0001304	XENTR13603, XENTR09891, XENTR07804, XENTR02497	CAPO302419
OG0001305	XENTR06508, XENTR06784, XENTR15394	CAPO304488
OG0001308	XENTR08924, XENTR10339, XENTR11736	CAPO300432
OG0001309	XENTR12950	CAPO300871
OG0001310	XENTR02393	CAPO305405
OG0001310	XENTR15418	CAPO300151
OG0001311	XENTR11767, XENTR16951	CAPO300585
OG0001312	XENTR12977	CAPO304811
OG0001317	XENTR06399	CAPO302225
OG0001318	XENTR10187	CAPO306280
OG0001318	XENTR00640	CAPO303315
OG0001319	XENTR15508, XENTR00669, XENTR10926, XENTR09062	CAPO304915
OG0001320	XENTR12547	CAPO307498
OG0001320	XENTR13078, XENTR04130	CAPO304958
OG0001321	XENTR11250, XENTR11532, XENTR11534	CAPO301358
OG0001322	XENTR07426	CAPO302022
OG0001323	XENTR04149, XENTR14533, XENTR06661, XENTR12671	CAPO301735
OG0001324	XENTR08414	CAPO302080
OG0001325	XENTR05586, XENTR05589, XENTR05579, XENTR05585, XENTR05588, XENTR08671, XENTR05587, XENTR05590, XENTR05591, XENTR05592	CAPO304115
OG0001326	XENTR09549, XENTR01917, XENTR01916, XENTR08643, XENTR11848	CAPO306149
OG0001327	XENTR10101, XENTR14547	CAPO305568
OG0001328	XENTR09916	CAPO302287
OG0001330	XENTR14976, XENTR11097, XENTR10939	CAPO304584, CAPO300112
OG0001332	XENTR11574, XENTR14153, XENTR14152	CAPO305487
OG0001333	XENTR01835	CAPO301191
OG0001344	XENTR06464	CAPO308153
OG0001345	XENTR02832	CAPO306177
OG0001348	XENTR02721, XENTR02053	CAPO304908
OG0001350	XENTR00070	CAPO305116, CAPO303054
OG0001352	XENTR02276, XENTR07810	CAPO303801
OG0001353	XENTR09957, XENTR02518	CAPO303379
OG0001355	XENTR03193, XENTR09059, XENTR08752, XENTR12634, XENTR02287, XENTR14204	CAPO307732
OG0001358	XENTR12813, XENTR14180, XENTR08002	CAPO302204
OG0001359	XENTR04346, XENTR10433, XENTR08085, XENTR18085	CAPO303726
OG0001361	XENTR11816, XENTR11817, XENTR17007	CAPO307400
OG0001364	XENTR17966, XENTR03257	CAPO307249
OG0001366	XENTR03370, XENTR13631	CAPO302707
OG0001367	XENTR02449, XENTR12179, XENTR12890	CAPO304628
OG0001370	XENTR01446	CAPO305064
OG0001370	XENTR09409	CAPO306956
OG0001372	XENTR17215	CAPO301063
OG0001373	XENTR01826, XENTR09130, XENTR04806	CAPO300734
OG0001378	XENTR01985, XENTR01998, XENTR11085, XENTR12484	CAPO302717
OG0001379	XENTR05934, XENTR18078, XENTR18079, XENTR06099, XENTR06100	CAPO304865
OG0001382	XENTR05428	CAPO306735
OG0001383	XENTR06787	CAPO300442
OG0001386	XENTR17191, XENTR01734	CAPO305078
OG0001387	XENTR00111, XENTR05202	CAPO306110, CAPO306288
OG0001397	XENTR17141, XENTR17665, XENTR11843	CAPO306119
OG0001399	XENTR06193, XENTR06192, XENTR02498, XENTR09890	CAPO304148
OG0001400	XENTR07182, XENTR03349, XENTR03348	CAPO305841
OG0001404	XENTR15166, XENTR15165, XENTR10088	CAPO302450
OG0001405	XENTR16937, XENTR16938	CAPO302942
OG0001406	XENTR09026, XENTR05268	CAPO305604
OG0001408	XENTR06160, XENTR13671, XENTR01315	CAPO304468
OG0001409	XENTR08239, XENTR15156	CAPO300832
OG0001410	XENTR04211, XENTR11331	CAPO304381
OG0001410	XENTR08205	CAPO303461
OG0001411	XENTR05513	CAPO301653
OG0001412	XENTR01134	CAPO304843
OG0001413	XENTR10327	CAPO300375
OG0001414	XENTR16760	CAPO301834
OG0001414	XENTR03396	CAPO303273
OG0001415	XENTR00799	CAPO307087
OG0001416	XENTR04093, XENTR17575	CAPO300753
OG0001418	XENTR11447, XENTR00014, XENTR05877, XENTR04739	CAPO300218
OG0001420	XENTR12964, XENTR18542, XENTR07058, XENTR02347, XENTR02348	CAPO304723, CAPO308198, CAPO308234, CAPO305541, CAPO307813
OG0001422	XENTR07180, XENTR03319	CAPO308345, CAPO303120
OG0001423	XENTR11753, XENTR07724, XENTR12211	CAPO301310
OG0001424	XENTR09472, XENTR01101	CAPO304776
OG0001425	XENTR00165, XENTR10054, XENTR15292	CAPO302275, CAPO302850
OG0001426	XENTR10547, XENTR11607, XENTR18289	CAPO302841
OG0001427	XENTR19013, XENTR12966	CAPO302723
OG0001428	XENTR08058	CAPO303027
OG0001430	XENTR11865, XENTR09506, XENTR03841, XENTR12647	CAPO300562
OG0001431	XENTR12951, XENTR14198, XENTR02286, XENTR13477	CAPO308230
OG0001437	XENTR08203	CAPO304955
OG0001440	XENTR02912, XENTR02913, XENTR13967	CAPO305450
OG0001445	XENTR00603, XENTR11995	CAPO301958
OG0001446	XENTR11107	CAPO304614
OG0001447	XENTR06688, XENTR11993, XENTR11860, XENTR09505	CAPO307093
OG0001449	XENTR18530	CAPO306822
OG0001451	XENTR01133, XENTR09852	CAPO300036
OG0001452	XENTR05846, XENTR01476, XENTR12152	CAPO301933
OG0001454	XENTR01618, XENTR01050	CAPO303806
OG0001456	XENTR09379	CAPO307965
OG0001459	XENTR19263, XENTR05668	CAPO307035
OG0001460	XENTR14447	CAPO305875
OG0001461	XENTR05990	CAPO307458, CAPO305472
OG0001463	XENTR15129, XENTR03741	CAPO304054
OG0001466	XENTR16300, XENTR03641	CAPO305831
OG0001467	XENTR16639	CAPO304882
OG0001468	XENTR04167, XENTR10607, XENTR03785	CAPO306475
OG0001469	XENTR01908	CAPO306371
OG0001469	XENTR01260	CAPO301724
OG0001470	XENTR08880, XENTR08883	CAPO305163
OG0001472	XENTR12389	CAPO300986
OG0001472	XENTR13330	CAPO305311
OG0001473	XENTR16670, XENTR04818, XENTR04817	CAPO304310
OG0001474	XENTR01827	CAPO306191
OG0001475	XENTR12916	CAPO305552
OG0001476	XENTR11401	CAPO305062
OG0001478	XENTR14390	CAPO303095
OG0001479	XENTR01295, XENTR15874, XENTR09664	CAPO306515
OG0001482	XENTR16187, XENTR10305, XENTR01513	CAPO307610
OG0001484	XENTR07065	CAPO301411
OG0001485	XENTR03119, XENTR03410	CAPO301954
OG0001486	XENTR14269, XENTR05434, XENTR04448, XENTR04449	CAPO302441
OG0001490	XENTR16191, XENTR12791, XENTR03053	CAPO305433
OG0001492	XENTR06535, XENTR01139	CAPO305155
OG0001495	XENTR13170	CAPO302008
OG0001496	XENTR07933	CAPO301356
OG0001500	XENTR08590, XENTR12582, XENTR10830	CAPO300054
OG0001501	XENTR06683, XENTR06684, XENTR12986	CAPO305474
OG0001503	XENTR14751	CAPO305666
OG0001503	XENTR05638	CAPO307598
OG0001504	XENTR02517	CAPO307661
OG0001505	XENTR00271	CAPO301009
OG0001506	XENTR00266, XENTR08441, XENTR08440	CAPO300953
OG0001507	XENTR08992, XENTR07481	CAPO304204
OG0001511	XENTR03205	CAPO306127, CAPO305043
OG0001512	XENTR06982, XENTR02683	CAPO301118
OG0001516	XENTR11018	CAPO300345
OG0001517	XENTR13941, XENTR13905, XENTR09064	CAPO303690
OG0001519	XENTR04354, XENTR07152, XENTR01425, XENTR01426, XENTR01427	CAPO306949
OG0001522	XENTR15230, XENTR06664, XENTR16658	CAPO303667
OG0001524	XENTR09548	CAPO300996
OG0001524	XENTR00484	CAPO308304
OG0001525	XENTR12515, XENTR12514	CAPO303907
OG0001526	XENTR01289, XENTR17681, XENTR16198, XENTR16199	CAPO305679
OG0001527	XENTR01509	CAPO300128
OG0001527	XENTR15735	CAPO307636
OG0001529	XENTR02811, XENTR02810, XENTR08383	CAPO300593
OG0001530	XENTR13543, XENTR10562	CAPO302602
OG0001532	XENTR11612, XENTR16708, XENTR06237	CAPO300282
OG0001533	XENTR07080, XENTR17861	CAPO306032
OG0001534	XENTR05627, XENTR06763, XENTR05628	CAPO304425
OG0001545	XENTR08623, XENTR05315, XENTR18196	CAPO300895
OG0001551	XENTR05545, XENTR05547	CAPO306604
OG0001553	XENTR02229, XENTR09430, XENTR09742	CAPO308172
OG0001554	XENTR08488, XENTR05924	CAPO302370
OG0001558	XENTR16416, XENTR06488	CAPO301132
OG0001559	XENTR13444, XENTR09039, XENTR06623	CAPO301785
OG0001561	XENTR16133, XENTR07954, XENTR01341	CAPO301999
OG0001563	XENTR12134	CAPO306378
OG0001564	XENTR03255, XENTR05932	CAPO301061
OG0001567	XENTR10094, XENTR00289	CAPO300948
OG0001568	XENTR05615	CAPO301468
OG0001572	XENTR14408	CAPO304756
OG0001572	XENTR03742	CAPO304137
OG0001573	XENTR03987, XENTR08694	CAPO305125, CAPO303819
OG0001576	XENTR15048, XENTR13227	CAPO306270
OG0001578	XENTR01969, XENTR09544	CAPO300715
OG0001580	XENTR13327, XENTR07267	CAPO307900
OG0001581	XENTR07619, XENTR15249	CAPO306056
OG0001582	XENTR07708, XENTR17762, XENTR01173	CAPO307073
OG0001583	XENTR11561, XENTR14641	CAPO306289
OG0001584	XENTR09628, XENTR09629	CAPO301068
OG0001589	XENTR13738, XENTR11338	CAPO303301, CAPO304004
OG0001590	XENTR10428	CAPO302386
OG0001593	XENTR11547, XENTR08681, XENTR08680, XENTR02666, XENTR11433	CAPO305942
OG0001594	XENTR11402	CAPO304243
OG0001597	XENTR05372	CAPO302703
OG0001599	XENTR07390, XENTR07367	CAPO300887
OG0001600	XENTR16112, XENTR13590, XENTR11793	CAPO305994
OG0001603	XENTR15113, XENTR12927	CAPO306228
