Orthogroup	XENTR	DROME
OG0000858	XENTR10077, XENTR10078	DROME07517, DROME07518
OG0000859	XENTR19026, XENTR03127, XENTR05830, XENTR10647, XENTR10646	DROME03370, DROME03371
OG0000860	XENTR06781, XENTR03999	DROME09397, DROME09396, DROME09404, DROME09403, DROME09399, DROME09402, DROME09401, DROME09400, DROME09405, DROME09398
OG0000869	XENTR11026	DROME06391
OG0000871	XENTR14179	DROME14585
OG0000872	XENTR10169, XENTR12689, XENTR12885	DROME09696, DROME09697, DROME09695
OG0000874	XENTR03555, XENTR18666, XENTR10470	DROME04338
OG0000875	XENTR15432	DROME01940, DROME01939
OG0000875	XENTR08213	DROME06587
OG0000878	XENTR10168, XENTR00725, XENTR09205	DROME07549
OG0000879	XENTR10540, XENTR18110, XENTR03813	DROME00001, DROME21621, DROME11009
OG0000880	XENTR11909, XENTR11908, XENTR02551, XENTR02382	DROME13991, DROME13992
OG0000881	XENTR12933, XENTR12934	DROME06288, DROME06289
OG0000881	XENTR11112, XENTR11328	DROME20749, DROME20746, DROME20750, DROME20748, DROME20747, DROME20751, DROME20752, DROME20753
OG0000888	XENTR12831, XENTR13292, XENTR13291	DROME13818
OG0000888	XENTR01928	DROME15657
OG0000889	XENTR17043	DROME20531, DROME20532
OG0000889	XENTR16104, XENTR00818	DROME20008
OG0000894	XENTR12194	DROME01898, DROME01895, DROME01896, DROME01894, DROME01897
OG0000894	XENTR04788, XENTR16604	DROME08778, DROME08777
OG0000896	XENTR13448	DROME07637, DROME07636
OG0000897	XENTR01334, XENTR01333	DROME09205, DROME09206
OG0000904	XENTR10340, XENTR08923, XENTR04176	DROME14411, DROME14410
OG0000906	XENTR15532, XENTR06172	DROME09411
OG0000907	XENTR04660, XENTR05742	DROME01472, DROME01473, DROME01474, DROME01471
OG0000908	XENTR02189, XENTR02188, XENTR02186, XENTR02187, XENTR02185, XENTR02184	DROME05842, DROME05841
OG0000908	XENTR04273	DROME15683
OG0000909	XENTR10672, XENTR12839, XENTR08443	DROME21889, DROME21890, DROME21873, DROME21876, DROME21877, DROME21875
OG0000911	XENTR13431, XENTR10007, XENTR05207	DROME15954, DROME15951, DROME15953, DROME15956, DROME15955, DROME15952, DROME15957
OG0000913	XENTR01593, XENTR13952	DROME01636, DROME01633, DROME01634, DROME01635, DROME10634, DROME10638, DROME10637, DROME10636, DROME10635, DROME10633, DROME05629, DROME10407, DROME10406, DROME08899, DROME10631, DROME10640, DROME10639, DROME21277, DROME21276, DROME21275
OG0000914	XENTR11295, XENTR10460, XENTR02522, XENTR02868	DROME06233, DROME06234, DROME06235
OG0000921	XENTR08015	DROME09822, DROME10234, DROME09821, DROME09823
OG0000921	XENTR09161	DROME21958
OG0000923	XENTR08773	DROME19914
OG0000923	XENTR13432, XENTR09911, XENTR09912, XENTR09913	DROME04554, DROME04553
OG0000925	XENTR13985	DROME02761
OG0000925	XENTR02311	DROME13733, DROME13734
OG0000927	XENTR00283, XENTR14712, XENTR05915, XENTR18984	DROME15912, DROME15911, DROME13544, DROME01290
OG0000929	XENTR00682, XENTR15957, XENTR09138, XENTR05468, XENTR05469	DROME02144, DROME02147, DROME02145, DROME02146, DROME02148, DROME02143
OG0000933	XENTR09950, XENTR06630, XENTR08513	DROME00363
OG0000934	XENTR14739, XENTR18207	DROME18021
OG0000934	XENTR11383, XENTR18032	DROME12197, DROME12198
OG0000935	XENTR12574, XENTR06757, XENTR07228, XENTR08768	DROME19387
OG0000944	XENTR14742, XENTR14462, XENTR00679	DROME05002, DROME05004, DROME05003, DROME05001, DROME05005, DROME04999, DROME05000
OG0000945	XENTR09889	DROME11635, DROME10522
OG0000946	XENTR14125	DROME18472, DROME18473, DROME18474, DROME18476
OG0000947	XENTR08808, XENTR01875	DROME14910, DROME14909
OG0000949	XENTR16409, XENTR12925, XENTR16343, XENTR13690, XENTR10671	DROME20631
OG0000950	XENTR06315, XENTR14022	DROME15080, DROME15081, DROME15075, DROME15077, DROME15078, DROME15076, DROME15082, DROME15083, DROME15079
OG0000953	XENTR16006, XENTR05020, XENTR10025	DROME12838, DROME10330
OG0000954	XENTR07349, XENTR07350	DROME12405, DROME12406, DROME12407
OG0000955	XENTR15251	DROME04991, DROME04992, DROME04993, DROME04990
OG0000957	XENTR13219, XENTR13218, XENTR09672, XENTR08642	DROME11550, DROME11548, DROME11549
OG0000958	XENTR16151	DROME14600, DROME14604, DROME14602, DROME14603, DROME14601, DROME14605, DROME10611, DROME10609, DROME10610, DROME10608, DROME12027
OG0000960	XENTR00488, XENTR11786, XENTR16830, XENTR19097	DROME04151, DROME04150, DROME04154, DROME04153, DROME04158, DROME04156, DROME04161, DROME04149, DROME04152, DROME04155, DROME04157, DROME04160, DROME04159
OG0000963	XENTR09828, XENTR00065	DROME09182, DROME09184, DROME09183, DROME07082
OG0000964	XENTR11986, XENTR11979	DROME14012
OG0000965	XENTR14312	DROME10303
OG0000965	XENTR16944	DROME10622
OG0000967	XENTR06702	DROME01950, DROME01951, DROME01952
OG0000968	XENTR04038, XENTR04039, XENTR04535	DROME19457
OG0000969	XENTR08014	DROME17496
OG0000972	XENTR13483, XENTR14024	DROME02149, DROME02155, DROME02156
OG0000972	XENTR02207	DROME12808, DROME12809
OG0000974	XENTR01619	DROME20587, DROME20537, DROME20538
OG0000978	XENTR01707, XENTR17274, XENTR04595	DROME08128, DROME08129, DROME08130, DROME08127, DROME08125, DROME08126
OG0000979	XENTR08662, XENTR08663, XENTR16278	DROME10162, DROME10163, DROME10160, DROME10161, DROME10164
OG0000984	XENTR03417, XENTR01286, XENTR01285	DROME12019, DROME07638
OG0000985	XENTR01934, XENTR16979, XENTR16978, XENTR04320, XENTR04319	DROME16403, DROME16400, DROME16401, DROME16404, DROME16402
OG0000986	XENTR01926	DROME00031, DROME00030, DROME00032
OG0000987	XENTR06356, XENTR03812	DROME05032, DROME05034, DROME05033, DROME05035, DROME05036
OG0000988	XENTR12762, XENTR06777, XENTR06778, XENTR09929	DROME19158
OG0000992	XENTR07391, XENTR15056, XENTR11894	DROME02382, DROME02383
OG0000994	XENTR15055	DROME20689
OG0000994	XENTR12451, XENTR12452, XENTR02702, XENTR02703, XENTR02701	DROME05396
OG0000999	XENTR05421, XENTR17674, XENTR18093, XENTR05336	DROME05157, DROME05156
OG0001000	XENTR02326, XENTR14403, XENTR05465, XENTR00660, XENTR09708	DROME14938, DROME14943, DROME14945, DROME14944, DROME14942, DROME14939, DROME14940, DROME14941
OG0001001	XENTR17916	DROME01963, DROME01964, DROME01966, DROME01965
OG0001003	XENTR06440, XENTR12183	DROME20428, DROME20429
OG0001004	XENTR11947, XENTR13944, XENTR00348, XENTR12222	DROME18265, DROME18264
OG0001005	XENTR17351	DROME16898
OG0001006	XENTR01787	DROME12303
OG0001008	XENTR01253, XENTR07071, XENTR13709	DROME03430, DROME03431, DROME03434, DROME03433, DROME03432, DROME03436, DROME03435, DROME03437, DROME03438
OG0001013	XENTR01268, XENTR12519, XENTR05681, XENTR13123	DROME18675, DROME18672, DROME18676, DROME18674, DROME18673
OG0001015	XENTR03903, XENTR02699, XENTR16275	DROME02246, DROME04125
OG0001016	XENTR06361	DROME03793
OG0001016	XENTR11007	DROME04453
OG0001017	XENTR01882, XENTR06219	DROME18747, DROME18746
OG0001018	XENTR12838	DROME08789
OG0001018	XENTR13405	DROME19524
OG0001019	XENTR19055, XENTR18997	DROME18178
OG0001022	XENTR18242, XENTR09212, XENTR08786, XENTR08785	DROME02393, DROME02395, DROME02392, DROME02397, DROME02396, DROME02398, DROME02391, DROME02394, DROME02390
OG0001023	XENTR15705, XENTR15704, XENTR16017, XENTR02520, XENTR11481	DROME07472, DROME07471
OG0001024	XENTR05573, XENTR09290, XENTR01956	DROME14925
OG0001027	XENTR14946, XENTR18376	DROME20791, DROME20790, DROME20789, DROME21920, DROME21919
OG0001028	XENTR08088, XENTR09574, XENTR09575	DROME17206, DROME17210, DROME17209, DROME17205, DROME17207, DROME17208
OG0001029	XENTR00509, XENTR04608	DROME08324
OG0001030	XENTR11652, XENTR00593	DROME15420, DROME15421, DROME15419
OG0001031	XENTR08916	DROME02372
OG0001032	XENTR01314, XENTR15209, XENTR06823	DROME10930, DROME10931, DROME10932
OG0001033	XENTR11737, XENTR02706	DROME16359
OG0001033	XENTR00028, XENTR04288, XENTR04289, XENTR10639	DROME01958
OG0001034	XENTR13970, XENTR02918	DROME18698, DROME18697, DROME18692, DROME18699, DROME18696, DROME18690, DROME18691, DROME18695, DROME18700, DROME18694, DROME18693
OG0001036	XENTR15810, XENTR02160	DROME21959
OG0001037	XENTR06792, XENTR04702	DROME07145, DROME07148, DROME07147, DROME07146
OG0001038	XENTR08755, XENTR10905, XENTR13375	DROME06346, DROME06343, DROME06345, DROME06344
OG0001039	XENTR00807	DROME19717, DROME19715, DROME19716, DROME12713
OG0001042	XENTR15139, XENTR17123, XENTR16376	DROME12465, DROME12464, DROME12463, DROME12462
OG0001046	XENTR01853, XENTR03892, XENTR03891, XENTR10518	DROME05889
OG0001049	XENTR03223	DROME15991
OG0001050	XENTR18291, XENTR03607, XENTR01418, XENTR01419, XENTR15902	DROME09499, DROME09500
OG0001052	XENTR06692	DROME00663, DROME00661, DROME00662
OG0001052	XENTR04326, XENTR07297	DROME01922
OG0001053	XENTR14072, XENTR07099, XENTR01123, XENTR07525, XENTR04868, XENTR07295	DROME11830
OG0001058	XENTR09698, XENTR10813	DROME00756, DROME00761, DROME00757, DROME00759, DROME00758, DROME00755, DROME00762, DROME00760, DROME00763
OG0001060	XENTR15320	DROME06478, DROME01930
OG0001062	XENTR02358, XENTR00517, XENTR00439	DROME12175, DROME12172
OG0001063	XENTR01633	DROME16034, DROME16033
OG0001065	XENTR14400, XENTR14851	DROME13255
OG0001066	XENTR08375, XENTR18939, XENTR01227	DROME06399
OG0001072	XENTR01131	DROME08170
OG0001073	XENTR13757, XENTR03448, XENTR09013	DROME03543, DROME03544, DROME03542
OG0001075	XENTR05482, XENTR14239, XENTR06059	DROME05007, DROME05008
OG0001076	XENTR04369, XENTR03450	DROME10433, DROME10436, DROME10429, DROME10434, DROME10430, DROME10435, DROME10431, DROME10432
OG0001077	XENTR02919	DROME13463, DROME13462
OG0001077	XENTR03172	DROME14374
OG0001078	XENTR16491, XENTR12278, XENTR05427, XENTR16318	DROME16039, DROME16040
OG0001079	XENTR02342, XENTR18570	DROME12134, DROME12135, DROME12136
OG0001081	XENTR11483, XENTR11482	DROME00421, DROME00420, DROME00419, DROME02998, DROME02997
OG0001082	XENTR04166, XENTR03787	DROME16087, DROME16088, DROME16090, DROME16089
OG0001083	XENTR14939, XENTR08964, XENTR02202, XENTR09760	DROME07895, DROME07890, DROME07893, DROME07892, DROME07896, DROME07887, DROME07888, DROME07889, DROME07891, DROME07885, DROME07886, DROME07894
OG0001084	XENTR03176	DROME15262, DROME15263
OG0001085	XENTR14464, XENTR18960, XENTR05968, XENTR02550	DROME18407, DROME18408, DROME18409
OG0001086	XENTR08988, XENTR08989	DROME20573
OG0001089	XENTR06021	DROME21284, DROME21282, DROME21280, DROME21281, DROME21283
OG0001091	XENTR05394, XENTR06870, XENTR11806, XENTR06869, XENTR11805, XENTR05395, XENTR11804	DROME08376, DROME08378, DROME08377
OG0001092	XENTR04356, XENTR03567, XENTR04358	DROME19209, DROME19207, DROME19204, DROME19205, DROME19206, DROME19208, DROME19203
OG0001093	XENTR14801, XENTR06916, XENTR05391	DROME09012, DROME09005, DROME09009, DROME09004, DROME09007, DROME09010, DROME09011, DROME09006, DROME09008
OG0001094	XENTR06671, XENTR12802, XENTR09938	DROME08185, DROME21556
OG0001096	XENTR04979, XENTR04980, XENTR10593	DROME20588, DROME20589, DROME02389
OG0001101	XENTR16380	DROME01099
OG0001102	XENTR00597	DROME11539
OG0001102	XENTR08075, XENTR09517	DROME20883
OG0001103	XENTR11707	DROME13242, DROME13241, DROME13243, DROME13244
OG0001104	XENTR13239	DROME04004
OG0001105	XENTR09104	DROME22092, DROME02326
OG0001108	XENTR08568	DROME12857, DROME12858, DROME12856, DROME12855
OG0001108	XENTR01519	DROME21101, DROME21100, DROME21098, DROME21099, DROME21102, DROME18011
OG0001109	XENTR13118, XENTR13119, XENTR13710, XENTR07737, XENTR12458	DROME00590, DROME00591, DROME00592, DROME00589, DROME19273, DROME19275, DROME19274
OG0001112	XENTR02026, XENTR02027	DROME13039, DROME13038, DROME13037, DROME13036
OG0001113	XENTR03194	DROME05388
OG0001114	XENTR05283, XENTR05282, XENTR18949	DROME00496, DROME16340, DROME16339
OG0001118	XENTR08709, XENTR12886	DROME14402, DROME14401
OG0001119	XENTR05752	DROME17259, DROME17271, DROME17273, DROME17270, DROME17257, DROME17260, DROME17272, DROME17265, DROME17267, DROME17258, DROME17266, DROME17262, DROME17261, DROME17268, DROME17263, DROME17264, DROME17269
OG0001121	XENTR00146, XENTR15147	DROME11643, DROME11644, DROME11645, DROME11642
OG0001124	XENTR16582	DROME13810
OG0001126	XENTR18698	DROME07144
OG0001127	XENTR08219, XENTR08218, XENTR06362, XENTR08217	DROME21295, DROME21293, DROME21294, DROME21292
OG0001128	XENTR08508, XENTR02079, XENTR13449, XENTR13450	DROME07099, DROME07102, DROME07101, DROME07098, DROME07100
OG0001129	XENTR05147	DROME06610
OG0001130	XENTR03434	DROME08159
OG0001131	XENTR08901, XENTR13407	DROME00544
OG0001132	XENTR06989	DROME12585, DROME12584, DROME12583, DROME12582
OG0001133	XENTR15362	DROME02832
OG0001135	XENTR14974, XENTR01797, XENTR01779	DROME18153, DROME18152
OG0001136	XENTR10642, XENTR00557, XENTR12118	DROME15241, DROME15244, DROME15239, DROME15245, DROME15243, DROME15240, DROME15238, DROME15242, DROME15236, DROME15237
OG0001138	XENTR05997, XENTR02144, XENTR04471, XENTR18324, XENTR16579, XENTR16494, XENTR08552, XENTR05227, XENTR06291, XENTR15641, XENTR15640	DROME16831, DROME16832, DROME16830, DROME16829
OG0001139	XENTR12289, XENTR11375, XENTR07646, XENTR17010	DROME11285, DROME11284, DROME20784
OG0001140	XENTR00230, XENTR13675, XENTR13933	DROME04492, DROME04491
OG0001141	XENTR05715	DROME07353, DROME07352, DROME07355, DROME07354, DROME07356
OG0001142	XENTR06629	DROME15460, DROME15458, DROME15459
OG0001143	XENTR16291, XENTR08123, XENTR08124, XENTR08673, XENTR09685	DROME17973, DROME17969, DROME17968, DROME17972, DROME17970, DROME17971, DROME17975, DROME17976, DROME17974, DROME17978, DROME17977
OG0001144	XENTR08544, XENTR07178, XENTR03323, XENTR03322	DROME08380
OG0001148	XENTR10476	DROME04431, DROME04432
OG0001149	XENTR12926, XENTR00444	DROME20514
OG0001156	XENTR07093, XENTR06912, XENTR01092	DROME20509, DROME20508, DROME20507, DROME20506, DROME20511, DROME20510
OG0001158	XENTR16126, XENTR16127, XENTR07686, XENTR07685	DROME08138, DROME08137
OG0001159	XENTR05163, XENTR05113	DROME00658
OG0001160	XENTR08948, XENTR07949	DROME05833, DROME05832, DROME05835, DROME05834
OG0001162	XENTR10454, XENTR14933	DROME19105, DROME19103, DROME19101, DROME19104, DROME19102, DROME19106, DROME19107
OG0001163	XENTR08141	DROME10630, DROME14555, DROME14557, DROME14693, DROME17901, DROME17899
OG0001164	XENTR00877	DROME08761, DROME08760, DROME08762, DROME08763, DROME08759
OG0001165	XENTR03624, XENTR02305	DROME20938, DROME07288
OG0001167	XENTR07709, XENTR06636, XENTR08900	DROME17311
OG0001168	XENTR12949, XENTR06904, XENTR00455	DROME02336
OG0001170	XENTR14411	DROME16781
OG0001172	XENTR06358, XENTR09420	DROME12074, DROME12075
OG0001173	XENTR06425, XENTR01039	DROME08477, DROME08476, DROME08478, DROME08741
OG0001173	XENTR06289, XENTR03346, XENTR03345	DROME11068
OG0001174	XENTR02782, XENTR11221, XENTR04237, XENTR14224, XENTR15091, XENTR01015, XENTR02796, XENTR05165, XENTR02815, XENTR11287, XENTR11289, XENTR11288, XENTR11300, XENTR02248, XENTR02246, XENTR01963	DROME01257, DROME01258
OG0001175	XENTR04334, XENTR01937	DROME10674
OG0001177	XENTR04520, XENTR01947	DROME01933, DROME01934, DROME21906
OG0001178	XENTR02313	DROME18168, DROME18169, DROME18170, DROME18167
OG0001180	XENTR11241, XENTR01431, XENTR19021	DROME01245, DROME01246
OG0001184	XENTR11761	DROME03279
OG0001184	XENTR16633	DROME17805
OG0001185	XENTR09610, XENTR09609	DROME09235, DROME09236, DROME09242, DROME09234, DROME09239, DROME09241, DROME09240, DROME09237, DROME09238
OG0001186	XENTR07680, XENTR03745	DROME11811, DROME11812
OG0001186	XENTR03736	DROME18932
OG0001188	XENTR12660, XENTR10956, XENTR04124	DROME07119, DROME07117, DROME07120, DROME07116, DROME07118
OG0001190	XENTR06259, XENTR16660, XENTR16659	DROME21340, DROME21342, DROME21339, DROME21341
OG0001191	XENTR02213, XENTR13144, XENTR08963	DROME15546, DROME15547, DROME15549, DROME15548
OG0001197	XENTR14109	DROME14364
OG0001197	XENTR02293, XENTR07184	DROME07563
OG0001201	XENTR05955, XENTR17812, XENTR17811	DROME20824, DROME20825, DROME20823, DROME20822
OG0001203	XENTR16211, XENTR10957, XENTR14354	DROME16841
OG0001204	XENTR01197, XENTR13340	DROME15252
OG0001205	XENTR03556	DROME09818, DROME09817
OG0001208	XENTR05399, XENTR14797	DROME21826, DROME21829, DROME21823, DROME21824, DROME21830, DROME21827, DROME21819, DROME21821, DROME21825, DROME21822, DROME21820, DROME21828, DROME21813, DROME21818, DROME21814, DROME21817, DROME21815, DROME21816
OG0001209	XENTR17550	DROME03307
OG0001210	XENTR12983	DROME01292
OG0001210	XENTR09378	DROME21654, DROME21653
OG0001211	XENTR04154, XENTR06866	DROME14817, DROME14816, DROME14814, DROME14815
OG0001212	XENTR16369, XENTR16368, XENTR17241, XENTR17240	DROME03019, DROME03020, DROME03017, DROME03018, DROME03022, DROME03021
OG0001213	XENTR10507	DROME12028
OG0001213	XENTR01205	DROME15857
OG0001214	XENTR02921	DROME14229, DROME14228, DROME14227, DROME14223, DROME14224, DROME14225, DROME14226
OG0001215	XENTR12954, XENTR16550, XENTR16549	DROME05613, DROME05611, DROME05612
OG0001216	XENTR13109	DROME20096, DROME20097, DROME20095, DROME15498
OG0001217	XENTR07688, XENTR11580, XENTR00148	DROME06701
OG0001218	XENTR16071, XENTR10134, XENTR14884, XENTR14883, XENTR16396	DROME12211, DROME12213, DROME12212
OG0001219	XENTR03647, XENTR18228, XENTR12113	DROME17625, DROME17624, DROME17623, DROME17626, DROME17619, DROME17620, DROME17618, DROME17621, DROME17622, DROME17627, DROME17628
OG0001220	XENTR06344, XENTR06343, XENTR09829	DROME02744, DROME20493, DROME20492
OG0001221	XENTR15915	DROME09514
OG0001223	XENTR07799, XENTR10652, XENTR13605, XENTR02494, XENTR02495	DROME08781, DROME08780
OG0001225	XENTR09310, XENTR06994, XENTR15732	DROME13797, DROME13796, DROME13795, DROME13790, DROME13789, DROME13791, DROME13793, DROME13792, DROME13788, DROME13794
OG0001226	XENTR11877, XENTR07881	DROME09885, DROME09884, DROME09883, DROME09882
OG0001227	XENTR02799, XENTR01332, XENTR12049, XENTR10779, XENTR05921	DROME17416, DROME17415, DROME17418, DROME17417, DROME17419
OG0001231	XENTR03878, XENTR01648	DROME17241, DROME17722, DROME17723, DROME17725, DROME17724
OG0001232	XENTR01820	DROME01876, DROME01877, DROME01878
OG0001234	XENTR15695, XENTR00503	DROME10228, DROME10226, DROME10225, DROME10229, DROME10230, DROME10227, DROME10232, DROME10231
OG0001236	XENTR16068	DROME06609, DROME04424, DROME20964
OG0001237	XENTR03125, XENTR11439, XENTR05845	DROME17018, DROME17017, DROME15311, DROME20284, DROME14186, DROME18581, DROME19481
OG0001238	XENTR08981	DROME21058
OG0001238	XENTR12621, XENTR06928, XENTR03786	DROME14293, DROME05136, DROME05137, DROME05138, DROME14291, DROME14292
OG0001239	XENTR05992, XENTR11309	DROME18412, DROME18411, DROME18415, DROME18413, DROME18414
OG0001241	XENTR12971	DROME02596
OG0001241	XENTR07087, XENTR02055	DROME03537
OG0001243	XENTR17516, XENTR17517	DROME15537, DROME15539, DROME15534, DROME15540, DROME15538, DROME15536, DROME15535
OG0001245	XENTR03643, XENTR11740, XENTR09295	DROME06795
OG0001247	XENTR19062, XENTR18189, XENTR18467, XENTR11045	DROME18852
OG0001249	XENTR10238, XENTR10239, XENTR04710, XENTR00318	DROME05745, DROME05744, DROME04456, DROME04455
OG0001250	XENTR10529, XENTR04777, XENTR07316	DROME10391, DROME10390, DROME10392
OG0001251	XENTR03730, XENTR12411	DROME04532
OG0001253	XENTR01323, XENTR07953, XENTR11293, XENTR01322, XENTR02523	DROME16727, DROME02601
OG0001254	XENTR03435, XENTR01471	DROME22031, DROME22029, DROME22030, DROME22035, DROME22032, DROME22034, DROME22036, DROME22038, DROME22037, DROME22033
OG0001255	XENTR13075, XENTR00445, XENTR14530, XENTR02994, XENTR07995, XENTR10739	DROME11892
OG0001256	XENTR12356	DROME16302, DROME16304, DROME16303, DROME16300, DROME16301
OG0001261	XENTR03563, XENTR16999	DROME00542, DROME00543, DROME00540, DROME00541
OG0001262	XENTR06170, XENTR06171, XENTR19017, XENTR15533	DROME20437
OG0001263	XENTR06868	DROME01386, DROME01387
OG0001264	XENTR02490, XENTR03731, XENTR05140	DROME08249, DROME08250, DROME08248
OG0001266	XENTR10900, XENTR02450	DROME19377
OG0001267	XENTR06333	DROME13068
OG0001268	XENTR18855	DROME04920, DROME04921
OG0001270	XENTR01782	DROME12379
OG0001270	XENTR12521, XENTR12522	DROME02961
OG0001271	XENTR17754, XENTR02751, XENTR07226	DROME20484
OG0001272	XENTR18340, XENTR09464, XENTR00960	DROME17237, DROME17236, DROME17235, DROME17243
OG0001273	XENTR13224, XENTR14752, XENTR14082	DROME01252, DROME01250, DROME01249, DROME01248, DROME01251
OG0001274	XENTR13249, XENTR15210, XENTR15211, XENTR07752	DROME06585, DROME06586, DROME06584
OG0001276	XENTR09721, XENTR13760	DROME10323, DROME10324, DROME10319, DROME10320, DROME10316, DROME10317, DROME10321, DROME10318, DROME10322
OG0001279	XENTR11976, XENTR14916	DROME15211, DROME15210
OG0001280	XENTR13872, XENTR04350, XENTR07156	DROME15706
OG0001281	XENTR10819, XENTR07891, XENTR08370, XENTR12911, XENTR17643	DROME19100
OG0001282	XENTR16436, XENTR00274	DROME04060, DROME04059, DROME04058
OG0001284	XENTR01467, XENTR01466	DROME05418
OG0001287	XENTR06418, XENTR10568, XENTR10975, XENTR14177	DROME15976, DROME15975, DROME04476
OG0001288	XENTR05832, XENTR05833	DROME19787, DROME09388, DROME09389
OG0001289	XENTR03860	DROME16010, DROME16008, DROME16009
OG0001290	XENTR08522, XENTR00546, XENTR09553, XENTR04590	DROME13148, DROME13147, DROME10925, DROME10926, DROME10924
OG0001291	XENTR02209, XENTR05578, XENTR07580, XENTR07579	DROME21166, DROME21165, DROME18055, DROME18056
OG0001292	XENTR03404, XENTR01086	DROME20956
OG0001293	XENTR06445, XENTR06449, XENTR06446, XENTR16665, XENTR14560	DROME19380, DROME19378, DROME19379
OG0001294	XENTR08985, XENTR08984	DROME19278
OG0001295	XENTR07162, XENTR07111	DROME16525, DROME16522, DROME16520, DROME16519, DROME16524, DROME16523, DROME16521
OG0001296	XENTR10758, XENTR16218, XENTR01664, XENTR01665	DROME21670, DROME21668, DROME21671, DROME21667, DROME21666, DROME21669
OG0001300	XENTR09380, XENTR15087, XENTR13396	DROME21326, DROME21325, DROME21324
OG0001302	XENTR00019	DROME00539
OG0001304	XENTR13603, XENTR09891, XENTR07804, XENTR02497	DROME00069, DROME00065, DROME00070, DROME00066, DROME00067, DROME00068
OG0001305	XENTR06508, XENTR06784, XENTR15394	DROME04834, DROME04832, DROME04829, DROME04830, DROME04835, DROME04836, DROME04825, DROME04826, DROME04833, DROME04837, DROME04827, DROME04838, DROME04828, DROME04839, DROME04831
OG0001306	XENTR06783	DROME08751, DROME08752
OG0001308	XENTR08924, XENTR10339, XENTR11736	DROME17402, DROME17401, DROME17403, DROME17400, DROME17399
OG0001310	XENTR02393	DROME15600
OG0001311	XENTR11767	DROME20740, DROME20738, DROME20739, DROME20741
OG0001311	XENTR16951	DROME06164
OG0001315	XENTR18202, XENTR00932, XENTR03902	DROME16592
OG0001318	XENTR10187	DROME17213
OG0001318	XENTR00640	DROME09513
OG0001319	XENTR00669, XENTR10926, XENTR09062	DROME01307
OG0001319	XENTR16542	DROME08745
OG0001321	XENTR11250, XENTR11532, XENTR11534	DROME16103
OG0001322	XENTR07426	DROME15932
OG0001325	XENTR05586, XENTR05589, XENTR05579, XENTR05585, XENTR05588, XENTR08671, XENTR05587, XENTR05590, XENTR05591, XENTR05592	DROME14232
OG0001326	XENTR09549, XENTR01917, XENTR01916, XENTR08643, XENTR11848	DROME03927
OG0001328	XENTR09916	DROME14994
OG0001330	XENTR14976, XENTR11097, XENTR10939	DROME21688, DROME21687, DROME21684, DROME21685, DROME21686, DROME21683
OG0001337	XENTR04761, XENTR09361	DROME20158
OG0001341	XENTR17450	DROME19896, DROME19897, DROME19895
OG0001344	XENTR06464	DROME04657, DROME04656
OG0001348	XENTR02721, XENTR02053	DROME03492, DROME03491, DROME03495, DROME03494, DROME03493, DROME03496
OG0001350	XENTR00070	DROME03240, DROME03239
OG0001351	XENTR06632, XENTR02308	DROME16250, DROME16247, DROME16248, DROME16245, DROME16246, DROME16249
OG0001352	XENTR02276, XENTR07810	DROME11579, DROME11580
OG0001353	XENTR09957, XENTR02518	DROME12504, DROME12505
OG0001354	XENTR09675	DROME19155, DROME19156
OG0001354	XENTR12221, XENTR00037, XENTR04304	DROME18928
OG0001355	XENTR03193, XENTR09059, XENTR08752, XENTR12634, XENTR02287, XENTR14204	DROME18115
OG0001356	XENTR11301, XENTR02362	DROME04210, DROME04209, DROME04208, DROME04203, DROME04201, DROME04202
OG0001359	XENTR04346, XENTR10433, XENTR08085, XENTR18085	DROME20396, DROME20399, DROME20398, DROME20397
OG0001362	XENTR15980	DROME17431, DROME22085
OG0001362	XENTR03162, XENTR05387	DROME16079, DROME16080
OG0001363	XENTR09917, XENTR06150	DROME20227, DROME20225, DROME20226, DROME20228, DROME00044
OG0001364	XENTR17966, XENTR03257	DROME18347, DROME18348
OG0001366	XENTR03370, XENTR13631	DROME19931, DROME19932, DROME19933, DROME19934
OG0001367	XENTR02449, XENTR12179, XENTR12890	DROME04540, DROME04542, DROME04539, DROME04538, DROME04541, DROME04537, DROME04535, DROME04534, DROME04536
OG0001368	XENTR09946, XENTR11688	DROME00518, DROME00521, DROME00519, DROME00520
OG0001370	XENTR09409	DROME10125, DROME10122, DROME10123, DROME10124, DROME10126
OG0001371	XENTR09788	DROME15115, DROME15085, DROME15086, DROME10858, DROME10857, DROME16916, DROME17983, DROME17981, DROME17980, DROME17848, DROME06809
OG0001372	XENTR17215	DROME06987
OG0001373	XENTR01826, XENTR09130, XENTR04806	DROME15869, DROME15867, DROME15866, DROME15868
OG0001375	XENTR05015	DROME11058
OG0001375	XENTR07997, XENTR12997	DROME12544
OG0001376	XENTR13691, XENTR14498, XENTR07143	DROME18505, DROME18503, DROME18507, DROME18504, DROME18508, DROME18506
OG0001378	XENTR01985, XENTR01998, XENTR11085, XENTR12484	DROME14090, DROME14089
OG0001379	XENTR05934, XENTR18078, XENTR18079, XENTR06099, XENTR06100	DROME02340
OG0001387	XENTR00111, XENTR05202	DROME05645, DROME05642, DROME05649, DROME05647, DROME05648, DROME05643, DROME05641, DROME05646, DROME05644, DROME05640
OG0001388	XENTR06312, XENTR11586, XENTR11585	DROME15512
OG0001389	XENTR05255, XENTR05190, XENTR01018, XENTR09739	DROME08448, DROME08449, DROME08447
