Orthogroup	XENTR	NEMVE
OG0000690	XENTR12763, XENTR09156	NEMVE04578
OG0000690	XENTR16042	NEMVE25619
OG0000690	XENTR13758	NEMVE08336
OG0000691	XENTR12556, XENTR00454	NEMVE22438
OG0000691	XENTR14240, XENTR02488	NEMVE12723
OG0000692	XENTR09451	NEMVE10690, NEMVE10687, NEMVE25957
OG0000693	XENTR17235, XENTR06541	NEMVE08217, NEMVE08755
OG0000693	XENTR06151	NEMVE20668, NEMVE09217
OG0000694	XENTR09772	NEMVE18564
OG0000696	XENTR00213	NEMVE01737
OG0000696	XENTR05925	NEMVE25020, NEMVE05214, NEMVE05168, NEMVE16042
OG0000697	XENTR02874, XENTR02556, XENTR06818, XENTR11308	NEMVE14547
OG0000698	XENTR05540	NEMVE22163, NEMVE01912, NEMVE22218
OG0000699	XENTR15466, XENTR05930, XENTR17608, XENTR08575	NEMVE13812, NEMVE21875, NEMVE05953
OG0000699	XENTR08574, XENTR15520, XENTR15465	NEMVE06767, NEMVE22384, NEMVE24758
OG0000700	XENTR02562, XENTR02563, XENTR17342, XENTR09480, XENTR11193	NEMVE20231, NEMVE20652
OG0000701	XENTR08735, XENTR08734, XENTR08926, XENTR08927, XENTR06451, XENTR01949	NEMVE21835
OG0000702	XENTR11939, XENTR05068, XENTR14141	NEMVE17196
OG0000703	XENTR08730, XENTR08729, XENTR05594	NEMVE15172
OG0000706	XENTR02593	NEMVE06133, NEMVE16186
OG0000708	XENTR03991	NEMVE25462
OG0000708	XENTR06811	NEMVE24967
OG0000709	XENTR12794	NEMVE22208
OG0000710	XENTR00408, XENTR00504, XENTR05184, XENTR11575, XENTR05464	NEMVE10055
OG0000711	XENTR10807, XENTR17290, XENTR14028, XENTR12075, XENTR10806	NEMVE22699
OG0000715	XENTR03141, XENTR05201, XENTR15992	NEMVE04746
OG0000716	XENTR06302, XENTR07615, XENTR18854, XENTR11906	NEMVE01624
OG0000717	XENTR04673, XENTR10456, XENTR15535	NEMVE21831
OG0000718	XENTR16847, XENTR16460, XENTR09687, XENTR17406, XENTR09096, XENTR10099	NEMVE14726, NEMVE25058
OG0000720	XENTR00549, XENTR11251	NEMVE07453
OG0000721	XENTR07131, XENTR04541	NEMVE22360
OG0000721	XENTR08795, XENTR14738, XENTR09604, XENTR10764	NEMVE25732
OG0000722	XENTR06651, XENTR07504, XENTR09493, XENTR17327	NEMVE02310
OG0000723	XENTR06009, XENTR11290, XENTR01819, XENTR06799	NEMVE02161, NEMVE02153
OG0000724	XENTR15314	NEMVE05669
OG0000725	XENTR04704, XENTR14529	NEMVE13886
OG0000726	XENTR09424, XENTR03808	NEMVE24264
OG0000730	XENTR05215, XENTR00132	NEMVE15279
OG0000731	XENTR06230, XENTR09272, XENTR06186	NEMVE14724
OG0000732	XENTR11927, XENTR08594	NEMVE16239
OG0000732	XENTR13213, XENTR00357	NEMVE22346
OG0000733	XENTR12956, XENTR09501, XENTR05537	NEMVE13174
OG0000733	XENTR08499	NEMVE00072
OG0000734	XENTR06181, XENTR01296	NEMVE19740
OG0000735	XENTR03017, XENTR16831, XENTR00243, XENTR00244	NEMVE14467
OG0000737	XENTR14208, XENTR06458	NEMVE10658
OG0000740	XENTR18507, XENTR17533, XENTR10575, XENTR10574	NEMVE01913
OG0000743	XENTR01379, XENTR11189, XENTR01696	NEMVE10602, NEMVE15509, NEMVE05453
OG0000744	XENTR04571, XENTR16235, XENTR02481	NEMVE09152
OG0000745	XENTR18661, XENTR01647	NEMVE09518, NEMVE18143
OG0000746	XENTR05636	NEMVE08669
OG0000748	XENTR10860, XENTR10861	NEMVE13110
OG0000749	XENTR13529, XENTR13528	NEMVE13534
OG0000750	XENTR09003, XENTR08374	NEMVE05904, NEMVE11347
OG0000750	XENTR09731	NEMVE04853, NEMVE04866, NEMVE22873
OG0000751	XENTR03358, XENTR00118	NEMVE06350
OG0000751	XENTR09818	NEMVE22234, NEMVE26010
OG0000752	XENTR03680	NEMVE14796, NEMVE20340
OG0000752	XENTR00306, XENTR11450	NEMVE15527
OG0000753	XENTR13232	NEMVE09279, NEMVE20008
OG0000753	XENTR16935, XENTR06041, XENTR06042	NEMVE09763
OG0000755	XENTR15916, XENTR06639, XENTR08361, XENTR08360	NEMVE04854
OG0000757	XENTR10378	NEMVE05970
OG0000759	XENTR03136, XENTR03134, XENTR01884, XENTR05238, XENTR18352	NEMVE07127, NEMVE15354
OG0000761	XENTR17935, XENTR12007, XENTR15207, XENTR01309	NEMVE07056
OG0000762	XENTR07103, XENTR01118, XENTR14074	NEMVE08946
OG0000764	XENTR06830, XENTR13254	NEMVE08398, NEMVE01257
OG0000765	XENTR01990, XENTR01184	NEMVE15020
OG0000766	XENTR13873, XENTR17891, XENTR13807, XENTR00551	NEMVE13890
OG0000767	XENTR03830, XENTR11683, XENTR00589	NEMVE21839
OG0000768	XENTR00756, XENTR13472, XENTR18974	NEMVE24837, NEMVE20124
OG0000772	XENTR07457, XENTR07456, XENTR07455	NEMVE14663, NEMVE13205
OG0000772	XENTR08353	NEMVE10521, NEMVE10515, NEMVE14130, NEMVE06923
OG0000774	XENTR04669, XENTR14580	NEMVE18724
OG0000774	XENTR04231	NEMVE06617
OG0000775	XENTR09141, XENTR01130	NEMVE13607, NEMVE14906
OG0000776	XENTR04910, XENTR05244	NEMVE25221, NEMVE11470, NEMVE23261
OG0000777	XENTR13724	NEMVE21910, NEMVE15143
OG0000778	XENTR03256, XENTR18913, XENTR12824, XENTR03112, XENTR04100	NEMVE13753
OG0000779	XENTR06178	NEMVE24334
OG0000779	XENTR02460, XENTR07467, XENTR06587	NEMVE02313
OG0000780	XENTR11708	NEMVE09488
OG0000780	XENTR10194	NEMVE05870
OG0000781	XENTR15057	NEMVE23221, NEMVE21745, NEMVE06147, NEMVE10644
OG0000782	XENTR08315, XENTR12833, XENTR02660	NEMVE10772
OG0000784	XENTR09641, XENTR15068, XENTR00277, XENTR07231, XENTR09268, XENTR13377	NEMVE16267
OG0000786	XENTR12489	NEMVE03694, NEMVE10021, NEMVE17992
OG0000787	XENTR02696, XENTR08733, XENTR12281, XENTR08846	NEMVE12098
OG0000788	XENTR04467, XENTR16399	NEMVE01862
OG0000788	XENTR15693, XENTR18205	NEMVE24569
OG0000791	XENTR01881, XENTR06218, XENTR04189	NEMVE13487
OG0000792	XENTR02294	NEMVE08948
OG0000793	XENTR18227, XENTR14087, XENTR10065, XENTR12127, XENTR12126	NEMVE19406
OG0000794	XENTR01141, XENTR18009	NEMVE13875
OG0000795	XENTR05266	NEMVE18602
OG0000797	XENTR01630, XENTR05651	NEMVE07332, NEMVE20914
OG0000798	XENTR07369, XENTR01010, XENTR13650	NEMVE05537
OG0000799	XENTR08849, XENTR10335, XENTR08757, XENTR01900	NEMVE24041
OG0000802	XENTR07794, XENTR06509, XENTR13246, XENTR16777, XENTR02068, XENTR09051, XENTR09050, XENTR12147	NEMVE11136, NEMVE06054
OG0000803	XENTR10876, XENTR10877	NEMVE22189
OG0000805	XENTR06363, XENTR15603, XENTR15604, XENTR04693, XENTR08777, XENTR00279	NEMVE08735
OG0000810	XENTR00056	NEMVE18390
OG0000810	XENTR17048, XENTR16257	NEMVE02291
OG0000811	XENTR11168, XENTR16298	NEMVE21518
OG0000813	XENTR13150, XENTR13151	NEMVE25754, NEMVE22200, NEMVE24635
OG0000814	XENTR13230, XENTR03397	NEMVE06776, NEMVE16660
OG0000815	XENTR05406, XENTR02911	NEMVE13499
OG0000816	XENTR12785, XENTR13049, XENTR02094, XENTR05575, XENTR16977	NEMVE14127, NEMVE00812
OG0000817	XENTR05219	NEMVE14686
OG0000817	XENTR09302	NEMVE01689, NEMVE21825
OG0000817	XENTR17704, XENTR17705	NEMVE14311
OG0000818	XENTR04812	NEMVE25555
OG0000818	XENTR00964, XENTR01697, XENTR05672	NEMVE08706
OG0000819	XENTR09864	NEMVE14350
OG0000819	XENTR10193, XENTR10192	NEMVE07543, NEMVE14834
OG0000820	XENTR14094, XENTR03160, XENTR05390, XENTR07096	NEMVE08902
OG0000822	XENTR08343, XENTR17339	NEMVE07227
OG0000824	XENTR04940, XENTR04939, XENTR11038	NEMVE05752
OG0000825	XENTR01022, XENTR10589, XENTR16089	NEMVE07795, NEMVE11350
OG0000825	XENTR09274	NEMVE06157, NEMVE15274, NEMVE01111, NEMVE19057
OG0000826	XENTR02499	NEMVE01532, NEMVE25209
OG0000827	XENTR18584	NEMVE06012
OG0000828	XENTR00582	NEMVE13102, NEMVE13594
OG0000828	XENTR06348	NEMVE15094
OG0000829	XENTR05273, XENTR00567, XENTR08272, XENTR01966, XENTR19142	NEMVE08791
OG0000832	XENTR08500	NEMVE01204, NEMVE18227, NEMVE20901, NEMVE16417, NEMVE04715
OG0000833	XENTR05865, XENTR12214, XENTR04296, XENTR00046	NEMVE18727
OG0000834	XENTR17187	NEMVE05965
OG0000835	XENTR16025, XENTR16652	NEMVE08598, NEMVE20600
OG0000836	XENTR10284, XENTR11931, XENTR11932	NEMVE01499
OG0000837	XENTR04077, XENTR09514, XENTR18045	NEMVE25541
OG0000838	XENTR08945	NEMVE09615, NEMVE02207, NEMVE03582, NEMVE04654, NEMVE17040
OG0000841	XENTR17534, XENTR09566, XENTR09621, XENTR09619, XENTR08800	NEMVE05492
OG0000842	XENTR15843, XENTR15340, XENTR13923, XENTR01677, XENTR11008, XENTR11009	NEMVE20517, NEMVE23509, NEMVE25014, NEMVE03321, NEMVE17616, NEMVE24628, NEMVE17617
OG0000844	XENTR17965, XENTR18460, XENTR06250	NEMVE07470, NEMVE07462
OG0000845	XENTR08484	NEMVE19954, NEMVE05692
OG0000847	XENTR18143, XENTR18591	NEMVE07778
OG0000847	XENTR00819	NEMVE08888
OG0000848	XENTR13197, XENTR13196, XENTR12202	NEMVE21784
OG0000848	XENTR08322, XENTR02654	NEMVE13752
OG0000849	XENTR02560, XENTR07414, XENTR04112	NEMVE14809
OG0000850	XENTR00057	NEMVE15099
OG0000850	XENTR12447	NEMVE21917
OG0000851	XENTR10592, XENTR01014	NEMVE23273
OG0000852	XENTR17178	NEMVE25782
OG0000852	XENTR02441, XENTR15626	NEMVE07789
OG0000853	XENTR02400, XENTR02063	NEMVE23651
OG0000856	XENTR16440, XENTR16441, XENTR14487, XENTR02561	NEMVE05473, NEMVE14626, NEMVE21694
OG0000857	XENTR11492	NEMVE18201
OG0000858	XENTR15971	NEMVE13289
OG0000858	XENTR10077, XENTR10078	NEMVE05877
OG0000859	XENTR19026, XENTR03127, XENTR05830, XENTR10647, XENTR10646	NEMVE19193, NEMVE00437
OG0000860	XENTR06781, XENTR03999	NEMVE23955, NEMVE13259
OG0000861	XENTR00233	NEMVE21201, NEMVE01293, NEMVE09770, NEMVE15469, NEMVE06681, NEMVE09391
OG0000863	XENTR05892	NEMVE07030, NEMVE18750, NEMVE13303, NEMVE13302, NEMVE13474, NEMVE06880
OG0000866	XENTR12438	NEMVE20292, NEMVE18737, NEMVE19120, NEMVE19080, NEMVE20220, NEMVE19768
OG0000868	XENTR18653	NEMVE05531
OG0000869	XENTR08068	NEMVE07859
OG0000869	XENTR11026	NEMVE23299
OG0000871	XENTR14179	NEMVE16871
OG0000872	XENTR10169	NEMVE14190
OG0000873	XENTR08135	NEMVE10811
OG0000874	XENTR03555, XENTR18666	NEMVE13256
OG0000874	XENTR10470	NEMVE13222, NEMVE18182, NEMVE17061, NEMVE18841, NEMVE13223, NEMVE01986, NEMVE02990, NEMVE11626
OG0000875	XENTR15432	NEMVE12865, NEMVE19619
OG0000875	XENTR08213	NEMVE14079
OG0000878	XENTR10168, XENTR00725, XENTR09205	NEMVE02420
OG0000879	XENTR03813	NEMVE13129
OG0000880	XENTR11909, XENTR11908, XENTR02551, XENTR02382	NEMVE13288
OG0000881	XENTR12933, XENTR12934	NEMVE13265
OG0000881	XENTR11112, XENTR11328	NEMVE14845
OG0000882	XENTR03615, XENTR02130, XENTR16807, XENTR03617, XENTR03616, XENTR12051	NEMVE02007
OG0000887	XENTR02978, XENTR06287	NEMVE10146
OG0000888	XENTR12831, XENTR13292, XENTR13291	NEMVE10813
OG0000888	XENTR01928	NEMVE11848
OG0000889	XENTR17043	NEMVE22565
OG0000889	XENTR16104, XENTR00818	NEMVE14419
OG0000890	XENTR18941, XENTR07606, XENTR07605, XENTR12846	NEMVE06371, NEMVE00333, NEMVE16346
OG0000893	XENTR01359, XENTR16287, XENTR07052, XENTR07051	NEMVE20101, NEMVE02240, NEMVE02067, NEMVE02075
OG0000894	XENTR12194	NEMVE23274
OG0000894	XENTR04788, XENTR16604	NEMVE14617
OG0000896	XENTR18869	NEMVE21907
OG0000896	XENTR13448, XENTR09474	NEMVE10977
OG0000897	XENTR01334, XENTR01333	NEMVE06224, NEMVE12475
OG0000897	XENTR01226, XENTR03509	NEMVE14979
OG0000898	XENTR03982, XENTR12217	NEMVE14546, NEMVE21727
OG0000899	XENTR11770, XENTR11769, XENTR03655	NEMVE18761
OG0000904	XENTR10340, XENTR08923	NEMVE08753
OG0000906	XENTR15532, XENTR06172	NEMVE15755
OG0000907	XENTR04660	NEMVE00986
OG0000909	XENTR10672, XENTR12839, XENTR08443	NEMVE10272
OG0000911	XENTR18175, XENTR13431, XENTR10007, XENTR05207	NEMVE24020
OG0000912	XENTR06455, XENTR12826, XENTR08744, XENTR17481	NEMVE23980
OG0000912	XENTR06537	NEMVE23705
OG0000913	XENTR01593, XENTR13952	NEMVE23286, NEMVE05585, NEMVE00499, NEMVE04717
OG0000914	XENTR11295, XENTR10460, XENTR02522, XENTR02868	NEMVE08606
OG0000915	XENTR06376, XENTR07971, XENTR14552, XENTR15550	NEMVE05638
OG0000921	XENTR09161	NEMVE19737, NEMVE09442
OG0000925	XENTR13985	NEMVE21937, NEMVE05629, NEMVE00068
OG0000925	XENTR02311	NEMVE22442, NEMVE00338
OG0000926	XENTR00402	NEMVE13988
OG0000928	XENTR05033, XENTR05285	NEMVE08415, NEMVE20627
OG0000929	XENTR00682, XENTR15957, XENTR09138, XENTR05468, XENTR05469	NEMVE10278
OG0000933	XENTR09950, XENTR06630, XENTR08513	NEMVE25450, NEMVE09603
OG0000934	XENTR14739, XENTR18207	NEMVE09369
OG0000934	XENTR11383, XENTR18032	NEMVE07036
OG0000935	XENTR12574, XENTR06757, XENTR07228, XENTR08768	NEMVE24478, NEMVE06639
OG0000936	XENTR02806	NEMVE05234, NEMVE18875, NEMVE23076, NEMVE15700, NEMVE23217, NEMVE18236, NEMVE04950, NEMVE18876
OG0000943	XENTR06447	NEMVE15785, NEMVE08924
OG0000944	XENTR14742, XENTR14462, XENTR00679	NEMVE07708
OG0000945	XENTR09889	NEMVE22316, NEMVE22428
OG0000946	XENTR14041	NEMVE11477
OG0000946	XENTR14125	NEMVE07731
OG0000947	XENTR08808, XENTR01875	NEMVE04758
OG0000947	XENTR15993	NEMVE07474
OG0000949	XENTR16409, XENTR12925, XENTR16343, XENTR13690, XENTR10671	NEMVE24705, NEMVE16573, NEMVE25704, NEMVE24321
OG0000950	XENTR06315, XENTR14022	NEMVE08112
OG0000951	XENTR11436, XENTR10439	NEMVE21998
OG0000952	XENTR06419, XENTR10974	NEMVE04659
OG0000952	XENTR07516, XENTR10972, XENTR10973	NEMVE02164
OG0000953	XENTR16006, XENTR05020, XENTR10025	NEMVE12932
OG0000954	XENTR04163	NEMVE06460
OG0000954	XENTR07349, XENTR07350	NEMVE05247, NEMVE12295
OG0000955	XENTR15251	NEMVE14901
OG0000955	XENTR15299	NEMVE08350
OG0000957	XENTR13219, XENTR13218, XENTR09672, XENTR08642	NEMVE00980
OG0000958	XENTR16151	NEMVE24805, NEMVE17902
OG0000960	XENTR00488, XENTR11786, XENTR16830, XENTR19097	NEMVE02244
OG0000963	XENTR09828	NEMVE06216
OG0000963	XENTR00065	NEMVE03242
OG0000964	XENTR15845	NEMVE19256
OG0000965	XENTR14312	NEMVE10501
OG0000965	XENTR16944	NEMVE02072
OG0000966	XENTR04933, XENTR10311	NEMVE06417
OG0000967	XENTR08823	NEMVE05572
OG0000967	XENTR06702	NEMVE11722, NEMVE10506
OG0000968	XENTR08955, XENTR17733	NEMVE14701
OG0000968	XENTR04038, XENTR04039, XENTR04535	NEMVE10433
OG0000969	XENTR08014	NEMVE14628
OG0000970	XENTR01182	NEMVE08789
OG0000971	XENTR17892	NEMVE17738
OG0000972	XENTR13483, XENTR14024	NEMVE04609, NEMVE00954
OG0000972	XENTR02207	NEMVE10082
OG0000973	XENTR15593	NEMVE17915
OG0000974	XENTR01619	NEMVE13444
OG0000976	XENTR13946, XENTR10262	NEMVE06490, NEMVE05744
OG0000978	XENTR01707, XENTR17274, XENTR04595	NEMVE25212
OG0000979	XENTR08662, XENTR08663, XENTR16278	NEMVE17920, NEMVE04790, NEMVE16326
OG0000981	XENTR14084	NEMVE22521
OG0000982	XENTR15733, XENTR18658, XENTR06997	NEMVE07619, NEMVE11958
OG0000984	XENTR03417	NEMVE21717
OG0000985	XENTR01934, XENTR16979, XENTR16978, XENTR04320, XENTR04319	NEMVE09786, NEMVE11913
OG0000987	XENTR06356, XENTR03812	NEMVE05580
OG0000988	XENTR12762, XENTR06777, XENTR06778, XENTR09929	NEMVE15851, NEMVE11568, NEMVE19955, NEMVE23928, NEMVE06782
OG0000992	XENTR07391	NEMVE11620
OG0000992	XENTR15056, XENTR11894	NEMVE04858
OG0000993	XENTR14928, XENTR18730	NEMVE12763
OG0000994	XENTR15055	NEMVE24464
OG0000994	XENTR12451, XENTR12452, XENTR02702, XENTR02703, XENTR02701	NEMVE05403
OG0000996	XENTR00689, XENTR11665, XENTR03250	NEMVE06175
OG0000999	XENTR05421, XENTR17674, XENTR18093, XENTR05336	NEMVE00092
OG0001000	XENTR02326, XENTR14403, XENTR05465, XENTR00660, XENTR09708	NEMVE02448
OG0001001	XENTR17916, XENTR02303	NEMVE20649, NEMVE24599, NEMVE12542
OG0001002	XENTR05426, XENTR04429	NEMVE09531, NEMVE19920
OG0001004	XENTR11947, XENTR13944, XENTR00348, XENTR12222	NEMVE06123
OG0001005	XENTR17351	NEMVE10101
OG0001006	XENTR01787	NEMVE21915
OG0001006	XENTR11011, XENTR15378, XENTR09358	NEMVE10239
OG0001007	XENTR03922, XENTR07754	NEMVE00044, NEMVE10735
OG0001008	XENTR01253, XENTR07071, XENTR13709	NEMVE24531
OG0001009	XENTR09611, XENTR19086, XENTR04072	NEMVE05243, NEMVE05261, NEMVE09366, NEMVE18423, NEMVE15625, NEMVE02988, NEMVE13111
OG0001013	XENTR01268, XENTR12519, XENTR05681, XENTR13123	NEMVE02022
OG0001015	XENTR03903, XENTR02699, XENTR16275	NEMVE07976
OG0001016	XENTR06361	NEMVE14344
OG0001016	XENTR11007	NEMVE14850
OG0001017	XENTR01882, XENTR06219	NEMVE08837
OG0001018	XENTR12838	NEMVE25537
OG0001018	XENTR13405	NEMVE07573
OG0001019	XENTR19055, XENTR18997	NEMVE09159, NEMVE02711
OG0001021	XENTR03042	NEMVE05054
OG0001022	XENTR18242, XENTR09212, XENTR08786, XENTR08785	NEMVE24828
OG0001023	XENTR15705, XENTR15704, XENTR16017, XENTR02520, XENTR11481	NEMVE12107
OG0001024	XENTR05573, XENTR09290, XENTR01956	NEMVE22572
OG0001027	XENTR14946, XENTR18376	NEMVE22961
OG0001028	XENTR08088, XENTR09574, XENTR09575	NEMVE25953, NEMVE14639
OG0001029	XENTR00509, XENTR04608	NEMVE03131, NEMVE01675
OG0001029	XENTR00697, XENTR10786, XENTR11720	NEMVE11449
OG0001030	XENTR10641, XENTR13221	NEMVE13370
OG0001030	XENTR11652, XENTR00593	NEMVE21815, NEMVE13139, NEMVE08210, NEMVE13480, NEMVE00380
OG0001031	XENTR08916	NEMVE13279
OG0001031	XENTR11732	NEMVE12566, NEMVE03083, NEMVE18815, NEMVE03518, NEMVE01512, NEMVE05098, NEMVE01877, NEMVE05278, NEMVE00495, NEMVE02692, NEMVE05018, NEMVE00690, NEMVE08345
OG0001032	XENTR01314, XENTR15209, XENTR06823	NEMVE14168
OG0001033	XENTR11737, XENTR02706	NEMVE24849
OG0001033	XENTR00028, XENTR04288, XENTR04289, XENTR10639	NEMVE03845
OG0001034	XENTR13970, XENTR02918	NEMVE23685
OG0001036	XENTR15810, XENTR02160	NEMVE07958
OG0001037	XENTR06792, XENTR04702	NEMVE13835
OG0001039	XENTR00807	NEMVE05718
OG0001039	XENTR10799, XENTR11115	NEMVE14813
OG0001042	XENTR15139, XENTR17123, XENTR16376	NEMVE20161, NEMVE25296
OG0001048	XENTR06473, XENTR14297, XENTR16609	NEMVE04666
OG0001049	XENTR03223	NEMVE24151
OG0001050	XENTR08446	NEMVE12697
OG0001050	XENTR18291, XENTR03607, XENTR01418, XENTR01419, XENTR15902	NEMVE11321
OG0001052	XENTR06692	NEMVE24748
OG0001053	XENTR14072, XENTR07099, XENTR01123, XENTR07525, XENTR04868, XENTR07295	NEMVE01408
OG0001059	XENTR16833	NEMVE05294
OG0001060	XENTR15320	NEMVE02960, NEMVE14652, NEMVE13876
OG0001062	XENTR02358, XENTR00517, XENTR00439	NEMVE01533
OG0001063	XENTR01633	NEMVE08862
OG0001067	XENTR15131, XENTR06306, XENTR12290	NEMVE18870, NEMVE18446, NEMVE25152
OG0001068	XENTR00265, XENTR17429, XENTR17428	NEMVE21454
OG0001072	XENTR01131	NEMVE08244, NEMVE08252, NEMVE00953, NEMVE07521
OG0001072	XENTR14054	NEMVE01518
OG0001073	XENTR13757, XENTR03448, XENTR09013	NEMVE11637, NEMVE14006, NEMVE02704
OG0001075	XENTR05482, XENTR14239, XENTR06059	NEMVE07705, NEMVE15967
OG0001076	XENTR04369, XENTR03450	NEMVE01471
OG0001077	XENTR02919, XENTR03172	NEMVE06665
OG0001078	XENTR16491, XENTR12278, XENTR05427, XENTR16318	NEMVE21841, NEMVE03024
OG0001079	XENTR05981	NEMVE05363, NEMVE02062, NEMVE19455, NEMVE05874, NEMVE21793, NEMVE05858, NEMVE11085, NEMVE05389
OG0001079	XENTR02342, XENTR18570	NEMVE10902
OG0001080	XENTR17306	NEMVE25549
OG0001080	XENTR00219, XENTR05053	NEMVE24155
OG0001081	XENTR11483, XENTR11482	NEMVE14063
OG0001082	XENTR04166, XENTR03787	NEMVE13496
OG0001083	XENTR14939, XENTR08964, XENTR02202, XENTR09760	NEMVE07865
OG0001084	XENTR03176, XENTR06277	NEMVE15577, NEMVE10374, NEMVE06345
OG0001085	XENTR14464, XENTR18960, XENTR05968, XENTR02550	NEMVE23730
OG0001086	XENTR14767, XENTR08988, XENTR08989, XENTR09494	NEMVE21870
OG0001088	XENTR12091	NEMVE09696, NEMVE11696
OG0001088	XENTR01178	NEMVE19674, NEMVE00424, NEMVE18333, NEMVE11019, NEMVE08315, NEMVE08309
OG0001089	XENTR12503, XENTR06021	NEMVE21830
OG0001091	XENTR05394, XENTR06870, XENTR11806, XENTR06869, XENTR11805, XENTR05395, XENTR11804	NEMVE05727
OG0001092	XENTR04356	NEMVE00964, NEMVE07353
OG0001092	XENTR04358	NEMVE01451
OG0001093	XENTR14801, XENTR06916, XENTR05391	NEMVE01792
OG0001095	XENTR12897, XENTR04215	NEMVE24881
OG0001096	XENTR04979, XENTR04980, XENTR10593	NEMVE10292, NEMVE12692
OG0001097	XENTR05554	NEMVE07237
OG0001101	XENTR16380	NEMVE14957
OG0001101	XENTR13296, XENTR18754	NEMVE01007
OG0001102	XENTR00597	NEMVE01649
OG0001102	XENTR08075, XENTR09517	NEMVE08655, NEMVE08649, NEMVE13238, NEMVE19915, NEMVE07408
OG0001103	XENTR11707	NEMVE01302
OG0001103	XENTR08189	NEMVE05814
OG0001104	XENTR13239	NEMVE04017, NEMVE06719
OG0001104	XENTR13771, XENTR13900, XENTR18117	NEMVE25846
OG0001105	XENTR00250	NEMVE13446
OG0001105	XENTR09104	NEMVE00247
OG0001106	XENTR12570	NEMVE10844, NEMVE10846
OG0001107	XENTR10533, XENTR02061, XENTR02717	NEMVE00952
OG0001108	XENTR08568	NEMVE22820
OG0001108	XENTR01519	NEMVE03343
OG0001109	XENTR13118, XENTR13119, XENTR13710, XENTR07737, XENTR12458	NEMVE17631
OG0001110	XENTR01316, XENTR07736	NEMVE25055, NEMVE25054
OG0001112	XENTR08598, XENTR07078, XENTR02026, XENTR02027	NEMVE18988
OG0001113	XENTR03194	NEMVE14477
OG0001114	XENTR05283, XENTR05282, XENTR18949	NEMVE13059
OG0001116	XENTR15111, XENTR15112	NEMVE04905, NEMVE14341
OG0001117	XENTR04976, XENTR19058, XENTR12412	NEMVE24913, NEMVE17548
OG0001118	XENTR08709, XENTR12886	NEMVE08045
OG0001119	XENTR05752, XENTR18158	NEMVE00905, NEMVE12022
OG0001120	XENTR06417, XENTR10567, XENTR10976	NEMVE18269, NEMVE18537
OG0001121	XENTR00146, XENTR15147	NEMVE15144
OG0001123	XENTR10415	NEMVE08367, NEMVE00548
OG0001123	XENTR03409	NEMVE07298
OG0001124	XENTR16582	NEMVE14042
OG0001124	XENTR06212	NEMVE14572
OG0001126	XENTR18698	NEMVE21706
OG0001127	XENTR08219, XENTR08218, XENTR06362, XENTR08217	NEMVE23507
OG0001128	XENTR13449, XENTR13450	NEMVE07541
OG0001129	XENTR05147, XENTR08362	NEMVE22537, NEMVE23490, NEMVE23489
OG0001130	XENTR03434	NEMVE07218, NEMVE21964, NEMVE14047
OG0001131	XENTR08901, XENTR13407	NEMVE02265
OG0001133	XENTR17678	NEMVE17872
OG0001133	XENTR15362	NEMVE22361
OG0001134	XENTR10250, XENTR00965, XENTR03216, XENTR03221	NEMVE10572
OG0001135	XENTR14974	NEMVE08713, NEMVE13852
OG0001136	XENTR10642, XENTR00557, XENTR12118	NEMVE14986
OG0001138	XENTR05997, XENTR02144, XENTR04471, XENTR18324, XENTR16579, XENTR16494, XENTR08552, XENTR05227, XENTR06291, XENTR15641, XENTR15640	NEMVE25571, NEMVE23415, NEMVE15977
OG0001139	XENTR12289, XENTR11375	NEMVE14993
OG0001139	XENTR07646, XENTR17010	NEMVE07868
OG0001140	XENTR13933	NEMVE12189
OG0001141	XENTR05715	NEMVE13888
OG0001142	XENTR06629	NEMVE20807, NEMVE13380
OG0001143	XENTR16291, XENTR08123, XENTR08124, XENTR08673, XENTR09685	NEMVE07319
OG0001144	XENTR08544, XENTR07178, XENTR03323, XENTR03322	NEMVE02135
OG0001146	XENTR04404, XENTR04096, XENTR12242	NEMVE18037, NEMVE07073
OG0001148	XENTR10476	NEMVE09889
OG0001155	XENTR09180	NEMVE18709
OG0001155	XENTR04938	NEMVE14646
OG0001156	XENTR07093, XENTR06912, XENTR01092	NEMVE14927
OG0001158	XENTR16126, XENTR16127, XENTR07686, XENTR07685	NEMVE13124
OG0001159	XENTR00601, XENTR05163, XENTR05113, XENTR13277	NEMVE02254
OG0001161	XENTR05290, XENTR17947	NEMVE13207
OG0001162	XENTR10454, XENTR14933	NEMVE23909, NEMVE23908, NEMVE22577
OG0001163	XENTR08141	NEMVE01640
OG0001164	XENTR00877	NEMVE07314
OG0001165	XENTR03624	NEMVE15007
OG0001165	XENTR02305	NEMVE15056
OG0001166	XENTR18013, XENTR18012, XENTR14106	NEMVE19411, NEMVE24594, NEMVE25700, NEMVE22182, NEMVE23271, NEMVE23607, NEMVE21179, NEMVE23900
OG0001167	XENTR07709, XENTR06636, XENTR08900	NEMVE01035
OG0001168	XENTR12949, XENTR06904, XENTR00455	NEMVE14002
OG0001169	XENTR00013, XENTR11448	NEMVE06650, NEMVE22732, NEMVE02251
OG0001169	XENTR18438	NEMVE22495
OG0001170	XENTR11874, XENTR14412, XENTR07877, XENTR14411	NEMVE01927
OG0001171	XENTR07471, XENTR02457	NEMVE08775
