Orthogroup	XENTR	SCHMD
OG0001078	XENTR16491, XENTR12278, XENTR05427, XENTR16318	SCHMD20731, SCHMD25766
OG0001079	XENTR05981	SCHMD15090, SCHMD18834
OG0001079	XENTR02342, XENTR18570	SCHMD27223
OG0001080	XENTR17306	SCHMD08586
OG0001080	XENTR00219, XENTR05053	SCHMD15438, SCHMD19176
OG0001081	XENTR11483, XENTR11482	SCHMD05425
OG0001083	XENTR14939, XENTR08964, XENTR02202, XENTR09760	SCHMD07690
OG0001084	XENTR03176	SCHMD10718
OG0001084	XENTR06277	SCHMD10717
OG0001085	XENTR14464, XENTR18960, XENTR05968, XENTR02550	SCHMD03894
OG0001086	XENTR14767, XENTR08988, XENTR08989, XENTR09494	SCHMD14120
OG0001088	XENTR12091	SCHMD01007, SCHMD19898, SCHMD23791
OG0001089	XENTR12503	SCHMD10517
OG0001091	XENTR05394, XENTR06870, XENTR11806, XENTR06869, XENTR11805, XENTR05395, XENTR11804	SCHMD13206, SCHMD15908
OG0001092	XENTR04356	SCHMD17999
OG0001092	XENTR04358	SCHMD18945
OG0001093	XENTR14801, XENTR06916, XENTR05391	SCHMD16772
OG0001094	XENTR06671, XENTR12802, XENTR09938	SCHMD01339, SCHMD02841, SCHMD07133, SCHMD16607, SCHMD02809, SCHMD26909, SCHMD21662
OG0001096	XENTR04979, XENTR04980, XENTR10593	SCHMD11467, SCHMD14874
OG0001101	XENTR16380	SCHMD06917, SCHMD18684, SCHMD23170, SCHMD18685
OG0001101	XENTR18754	SCHMD18683, SCHMD23171
OG0001102	XENTR00597	SCHMD06311
OG0001103	XENTR11707	SCHMD10595
OG0001108	XENTR08568, XENTR01519	SCHMD08133
OG0001112	XENTR08598, XENTR07078	SCHMD26529, SCHMD08447
OG0001113	XENTR03194	SCHMD10085
OG0001114	XENTR05283, XENTR05282, XENTR18949	SCHMD27710, SCHMD15592, SCHMD14156
OG0001116	XENTR15111, XENTR15112	SCHMD04023
OG0001117	XENTR04976, XENTR19058, XENTR12412	SCHMD18856
OG0001121	XENTR00146, XENTR15147	SCHMD18066, SCHMD06995, SCHMD25343, SCHMD23015, SCHMD06994
OG0001123	XENTR10415	SCHMD02756
OG0001124	XENTR16582, XENTR06212	SCHMD24013
OG0001126	XENTR18698	SCHMD17192
OG0001127	XENTR08217	SCHMD06664
OG0001128	XENTR08508, XENTR02079, XENTR13449, XENTR13450	SCHMD08323
OG0001129	XENTR05147	SCHMD15504, SCHMD18282, SCHMD05846
OG0001130	XENTR03434	SCHMD04030
OG0001133	XENTR17678	SCHMD18643
OG0001133	XENTR15362	SCHMD29299, SCHMD19714
OG0001135	XENTR01797, XENTR01779	SCHMD28946
OG0001136	XENTR10642, XENTR00557, XENTR12118	SCHMD09640
OG0001138	XENTR05997, XENTR02144, XENTR04471, XENTR18324, XENTR16579, XENTR16494, XENTR08552, XENTR05227, XENTR06291, XENTR15641, XENTR15640	SCHMD00170
OG0001139	XENTR12289, XENTR11375, XENTR07646, XENTR17010	SCHMD00334
OG0001140	XENTR00230, XENTR13675, XENTR13933	SCHMD22679, SCHMD17712, SCHMD14631, SCHMD02111, SCHMD16673, SCHMD18031, SCHMD24981, SCHMD17350, SCHMD11695, SCHMD21848, SCHMD22963, SCHMD14630, SCHMD17713, SCHMD26239, SCHMD04472
OG0001141	XENTR05715	SCHMD02981, SCHMD09902, SCHMD11211, SCHMD15344, SCHMD18658
OG0001142	XENTR06629	SCHMD12785, SCHMD19807, SCHMD09379
OG0001143	XENTR16291, XENTR08123, XENTR08124, XENTR08673, XENTR09685	SCHMD05178
OG0001145	XENTR16059	SCHMD13612, SCHMD28618, SCHMD12142, SCHMD09031, SCHMD16701, SCHMD19806, SCHMD16196, SCHMD18868, SCHMD23776, SCHMD24315, SCHMD19814, SCHMD12756, SCHMD24908, SCHMD25502, SCHMD23051, SCHMD06760, SCHMD24850, SCHMD15660, SCHMD22286, SCHMD18019, SCHMD04909, SCHMD04601, SCHMD07914, SCHMD12786, SCHMD10967, SCHMD00569, SCHMD17789, SCHMD01622, SCHMD21585, SCHMD12412, SCHMD08892, SCHMD12723, SCHMD24316, SCHMD11364, SCHMD25346, SCHMD13810, SCHMD19815, SCHMD08687, SCHMD22380, SCHMD06809, SCHMD04720, SCHMD03330, SCHMD06080, SCHMD03481, SCHMD04056, SCHMD15847, SCHMD01717, SCHMD22635, SCHMD02819, SCHMD07817, SCHMD02226, SCHMD24230, SCHMD07909, SCHMD26467, SCHMD17923, SCHMD16658, SCHMD13918, SCHMD04387, SCHMD22631, SCHMD02683, SCHMD11321, SCHMD21548, SCHMD28474, SCHMD25945, SCHMD16675, SCHMD11320
OG0001146	XENTR04404, XENTR04096, XENTR12242	SCHMD06189
OG0001149	XENTR12926, XENTR00444	SCHMD16336, SCHMD29633
OG0001155	XENTR09180	SCHMD01897
OG0001156	XENTR07093, XENTR06912, XENTR01092	SCHMD11390
OG0001158	XENTR16126, XENTR16127, XENTR07686, XENTR07685	SCHMD01514, SCHMD06104, SCHMD00376
OG0001159	XENTR13277	SCHMD01595
OG0001161	XENTR05290, XENTR17947	SCHMD27832, SCHMD10429, SCHMD10428
OG0001162	XENTR10454, XENTR14933	SCHMD04355, SCHMD04356
OG0001164	XENTR00877	SCHMD22065
OG0001165	XENTR03624	SCHMD11819
OG0001165	XENTR02305	SCHMD07378, SCHMD22157, SCHMD03644, SCHMD08052, SCHMD12131
OG0001167	XENTR07709, XENTR06636, XENTR08900	SCHMD08043, SCHMD04406
OG0001168	XENTR06904	SCHMD13073
OG0001172	XENTR06358, XENTR09420	SCHMD19335
OG0001175	XENTR04334, XENTR01937	SCHMD18473
OG0001178	XENTR00333	SCHMD07684
OG0001178	XENTR02313	SCHMD13713
OG0001179	XENTR01714	SCHMD26379
OG0001181	XENTR02917, XENTR13969	SCHMD21797
OG0001183	XENTR15931, XENTR15930	SCHMD02325
OG0001184	XENTR11761	SCHMD12752
OG0001184	XENTR16633	SCHMD29753, SCHMD15110, SCHMD23640
OG0001185	XENTR05474, XENTR09610, XENTR09609	SCHMD23236
OG0001186	XENTR07680, XENTR03745	SCHMD20610
OG0001186	XENTR03736	SCHMD05037
OG0001188	XENTR04124	SCHMD05963, SCHMD14167
OG0001189	XENTR16871, XENTR08031, XENTR04626	SCHMD17573, SCHMD27159, SCHMD05552
OG0001191	XENTR02213, XENTR13144, XENTR08963	SCHMD11387
OG0001197	XENTR14109	SCHMD06230
OG0001197	XENTR02293, XENTR07184	SCHMD16253
OG0001198	XENTR16301	SCHMD04078
OG0001199	XENTR12723	SCHMD17830
OG0001201	XENTR17811	SCHMD18644
OG0001204	XENTR01197, XENTR13340	SCHMD08657, SCHMD22624, SCHMD10325
OG0001207	XENTR10602, XENTR06956, XENTR16548	SCHMD07731
OG0001208	XENTR05399, XENTR14797	SCHMD11671, SCHMD13440, SCHMD22806
OG0001209	XENTR17550	SCHMD22043, SCHMD28492
OG0001210	XENTR12983	SCHMD19441
OG0001213	XENTR10507	SCHMD01086
OG0001213	XENTR01205	SCHMD23993, SCHMD21364, SCHMD26387, SCHMD21954, SCHMD22675
OG0001214	XENTR02921	SCHMD22221
OG0001215	XENTR12954, XENTR16550, XENTR16549	SCHMD25774
OG0001216	XENTR05946	SCHMD13349
OG0001217	XENTR07688, XENTR11580, XENTR00148	SCHMD18537
OG0001217	XENTR13893, XENTR11581	SCHMD21187, SCHMD21148
OG0001218	XENTR16071, XENTR10134, XENTR14884, XENTR14883, XENTR16396	SCHMD03255
OG0001219	XENTR03647, XENTR18228, XENTR12113	SCHMD09614, SCHMD00713
OG0001221	XENTR15915	SCHMD16690
OG0001223	XENTR07799, XENTR10652, XENTR13605, XENTR02494, XENTR02495	SCHMD08671
OG0001226	XENTR11877, XENTR07881, XENTR05450	SCHMD21222
OG0001230	XENTR07940	SCHMD04385, SCHMD04382, SCHMD28531
OG0001236	XENTR16068	SCHMD14035
OG0001238	XENTR08981, XENTR12621, XENTR06928, XENTR03786	SCHMD09688
OG0001239	XENTR05992	SCHMD22059, SCHMD04401, SCHMD16791
OG0001241	XENTR12971	SCHMD04757, SCHMD04223
OG0001241	XENTR07087, XENTR02055	SCHMD16327
OG0001245	XENTR09296	SCHMD09398
OG0001247	XENTR19062	SCHMD01541, SCHMD06119
OG0001249	XENTR04710, XENTR00318	SCHMD01149
OG0001250	XENTR10529, XENTR04777, XENTR07316	SCHMD08101, SCHMD04347
OG0001251	XENTR03730, XENTR12411	SCHMD18877, SCHMD19053, SCHMD14253, SCHMD20912, SCHMD12715
OG0001254	XENTR03435, XENTR01471	SCHMD14258, SCHMD09217
OG0001256	XENTR12356	SCHMD23608, SCHMD16589, SCHMD16774, SCHMD00239, SCHMD25518
OG0001261	XENTR03563, XENTR16999	SCHMD13436
OG0001262	XENTR06170, XENTR06171, XENTR19017, XENTR15533	SCHMD20011
OG0001263	XENTR06868	SCHMD17470
OG0001264	XENTR02490, XENTR03731, XENTR05140	SCHMD27230, SCHMD17432
OG0001266	XENTR10900, XENTR02450	SCHMD10438
OG0001267	XENTR06333	SCHMD05399
OG0001268	XENTR08282	SCHMD01057
OG0001271	XENTR17754, XENTR02751, XENTR07226	SCHMD05357
OG0001272	XENTR18340, XENTR09464, XENTR00960	SCHMD22716, SCHMD09459
OG0001273	XENTR13224, XENTR14752, XENTR14082	SCHMD13838, SCHMD25918, SCHMD21739
OG0001275	XENTR14625	SCHMD21376
OG0001275	XENTR14624	SCHMD12521
OG0001279	XENTR11976, XENTR14916	SCHMD06836
OG0001280	XENTR13872, XENTR04350, XENTR07156	SCHMD09937, SCHMD20104, SCHMD05674, SCHMD11884
OG0001282	XENTR16436, XENTR00274	SCHMD08025
OG0001284	XENTR15697	SCHMD09316
OG0001284	XENTR01467, XENTR01466	SCHMD00434
OG0001287	XENTR06418, XENTR10568, XENTR10975, XENTR14177	SCHMD07530
OG0001291	XENTR02209, XENTR05578, XENTR07580, XENTR07579	SCHMD20641, SCHMD11793
OG0001294	XENTR08985, XENTR08984	SCHMD26181, SCHMD17649, SCHMD26146, SCHMD20417, SCHMD20418
OG0001296	XENTR10758, XENTR16218, XENTR01664, XENTR01665	SCHMD20454, SCHMD11060
OG0001297	XENTR07068, XENTR07067, XENTR01254, XENTR17500	SCHMD10762
OG0001300	XENTR09380, XENTR15087, XENTR13396	SCHMD00214, SCHMD19001, SCHMD09152, SCHMD17144, SCHMD02202
OG0001302	XENTR00019	SCHMD13885
OG0001302	XENTR05127, XENTR05128	SCHMD08617, SCHMD27826
OG0001304	XENTR13603, XENTR09891, XENTR07804, XENTR02497	SCHMD13840
OG0001306	XENTR00068	SCHMD04516
OG0001308	XENTR08924, XENTR10339, XENTR11736	SCHMD08020
OG0001310	XENTR02393	SCHMD19422
OG0001310	XENTR15418	SCHMD09167
OG0001311	XENTR11767	SCHMD05801
OG0001316	XENTR05492, XENTR15964, XENTR00686	SCHMD15981
OG0001318	XENTR10187	SCHMD07054
OG0001318	XENTR00640	SCHMD16802
OG0001319	XENTR00669, XENTR10926, XENTR09062	SCHMD14764
OG0001320	XENTR12547	SCHMD01321, SCHMD01324, SCHMD01322
OG0001320	XENTR13078, XENTR04130	SCHMD05527
OG0001321	XENTR11250	SCHMD23818
OG0001322	XENTR10160, XENTR16770, XENTR07426	SCHMD09506
OG0001323	XENTR04149, XENTR14533, XENTR06661, XENTR12671	SCHMD14852, SCHMD22300
OG0001326	XENTR09549, XENTR01917, XENTR01916, XENTR08643, XENTR11848	SCHMD29052, SCHMD26738, SCHMD21907, SCHMD17595, SCHMD08761, SCHMD19423
OG0001327	XENTR10101, XENTR14547	SCHMD08653, SCHMD04846
OG0001328	XENTR09916	SCHMD23086
OG0001329	XENTR00757	SCHMD15324
OG0001331	XENTR14937, XENTR18315	SCHMD14545
OG0001332	XENTR11574, XENTR14153, XENTR14152	SCHMD04204
OG0001333	XENTR01835	SCHMD15673, SCHMD23155
OG0001337	XENTR04761, XENTR09361	SCHMD11229, SCHMD01704, SCHMD14444
OG0001339	XENTR10662, XENTR05180	SCHMD08909
OG0001341	XENTR17450	SCHMD01188, SCHMD02608
OG0001348	XENTR02721, XENTR02053	SCHMD24331, SCHMD29399
OG0001350	XENTR00070	SCHMD16735, SCHMD15485, SCHMD23052
OG0001351	XENTR02308	SCHMD24241
OG0001353	XENTR09957, XENTR02518	SCHMD10586
OG0001354	XENTR09675	SCHMD11475, SCHMD26080
OG0001354	XENTR12221, XENTR00037, XENTR04304	SCHMD12063
OG0001355	XENTR03193, XENTR09059, XENTR08752, XENTR12634, XENTR02287, XENTR14204	SCHMD23781
OG0001356	XENTR11301, XENTR02362	SCHMD21598, SCHMD19916
OG0001357	XENTR05091, XENTR02425, XENTR12657	SCHMD16921
OG0001362	XENTR09103	SCHMD04122, SCHMD05643, SCHMD13617
OG0001362	XENTR15980	SCHMD26327
OG0001363	XENTR09917, XENTR06150	SCHMD05287, SCHMD16288, SCHMD05291
OG0001367	XENTR02449, XENTR12179, XENTR12890	SCHMD04624
OG0001368	XENTR09946, XENTR11688	SCHMD02343
OG0001370	XENTR01446	SCHMD12004
OG0001370	XENTR09409	SCHMD18225, SCHMD11963
OG0001371	XENTR09788	SCHMD02523
OG0001372	XENTR17215	SCHMD12353, SCHMD23970
OG0001375	XENTR05015, XENTR07997, XENTR12997	SCHMD18333
OG0001376	XENTR13691, XENTR14498, XENTR07143	SCHMD14191, SCHMD01800
OG0001378	XENTR01998	SCHMD12504, SCHMD07107
OG0001379	XENTR06099, XENTR06100	SCHMD15234
OG0001385	XENTR05861	SCHMD01908, SCHMD03151, SCHMD17215, SCHMD24251, SCHMD27846, SCHMD02887, SCHMD11624, SCHMD23448, SCHMD19127, SCHMD25605, SCHMD28267, SCHMD17606, SCHMD15084, SCHMD05289, SCHMD01079, SCHMD09083, SCHMD01371, SCHMD22024, SCHMD20763, SCHMD00169, SCHMD10113, SCHMD25905, SCHMD23599, SCHMD20992, SCHMD25254, SCHMD04155, SCHMD13353, SCHMD04418, SCHMD04625, SCHMD01016, SCHMD05445, SCHMD11800, SCHMD07275, SCHMD24250, SCHMD23891, SCHMD22262, SCHMD03886, SCHMD08662, SCHMD26442, SCHMD17996, SCHMD07274, SCHMD18437, SCHMD19128, SCHMD05290, SCHMD02781, SCHMD20262, SCHMD04634, SCHMD21900, SCHMD12522, SCHMD05458, SCHMD01372, SCHMD01080, SCHMD22023, SCHMD12942, SCHMD02783
OG0001388	XENTR06312, XENTR11586, XENTR11585	SCHMD08532, SCHMD23425, SCHMD17454, SCHMD02828, SCHMD15156, SCHMD02831, SCHMD24634, SCHMD12999
OG0001389	XENTR05255, XENTR05190, XENTR01018, XENTR09739	SCHMD02031, SCHMD17776
OG0001394	XENTR16874	SCHMD23211, SCHMD24249
OG0001397	XENTR17141, XENTR17665	SCHMD08548, SCHMD08095
OG0001399	XENTR06193, XENTR06192, XENTR02498, XENTR09890	SCHMD20091, SCHMD16432
OG0001400	XENTR07182, XENTR03349, XENTR03348	SCHMD26317
OG0001401	XENTR11324	SCHMD15712
OG0001402	XENTR04534, XENTR14904, XENTR04036	SCHMD06853
OG0001404	XENTR15166, XENTR15165	SCHMD14854
OG0001404	XENTR10088	SCHMD14853
OG0001405	XENTR16937, XENTR16938	SCHMD16175
OG0001406	XENTR09026, XENTR05268	SCHMD13359, SCHMD19152
OG0001409	XENTR08239	SCHMD04792
OG0001410	XENTR04211, XENTR11331	SCHMD09832
OG0001410	XENTR08205	SCHMD09687
OG0001411	XENTR05513	SCHMD13416, SCHMD19137
OG0001412	XENTR01134	SCHMD13223
OG0001413	XENTR10327	SCHMD02827
OG0001413	XENTR01450	SCHMD02718
OG0001414	XENTR03396	SCHMD19649
OG0001416	XENTR04093, XENTR17575	SCHMD01722
OG0001417	XENTR13968	SCHMD06429, SCHMD24380, SCHMD19840, SCHMD16804, SCHMD06430
OG0001421	XENTR02091, XENTR11642, XENTR10761, XENTR11862	SCHMD14208
OG0001422	XENTR07180, XENTR03319	SCHMD18897, SCHMD04981, SCHMD04982
OG0001425	XENTR00165, XENTR10054, XENTR15292	SCHMD16287, SCHMD09188, SCHMD09187
OG0001426	XENTR10547, XENTR11607, XENTR18289	SCHMD02033
OG0001427	XENTR12966	SCHMD03939, SCHMD00575
OG0001428	XENTR08058	SCHMD06125
OG0001429	XENTR06303, XENTR08005	SCHMD14421
OG0001430	XENTR11865, XENTR09506, XENTR03841, XENTR12647	SCHMD00026
OG0001432	XENTR14704	SCHMD08255
OG0001432	XENTR18322, XENTR18323	SCHMD22173
OG0001433	XENTR12757, XENTR01397, XENTR08074	SCHMD13899, SCHMD22723, SCHMD08627, SCHMD01242
OG0001434	XENTR14256, XENTR14257, XENTR14255	SCHMD11795
OG0001438	XENTR00285, XENTR09773, XENTR08265, XENTR08266, XENTR08739	SCHMD03715, SCHMD17114
OG0001440	XENTR02912, XENTR02913, XENTR13967	SCHMD08958, SCHMD08957
OG0001445	XENTR00603, XENTR11995	SCHMD04082
OG0001447	XENTR06688, XENTR11993, XENTR11860	SCHMD14223
OG0001449	XENTR18530	SCHMD11900
OG0001449	XENTR17594	SCHMD21822
OG0001451	XENTR01133, XENTR09852	SCHMD11378, SCHMD13989, SCHMD09385, SCHMD09340
OG0001454	XENTR01618, XENTR01050	SCHMD21412, SCHMD12857, SCHMD10712, SCHMD05935, SCHMD27841, SCHMD03145
OG0001456	XENTR09379	SCHMD22269, SCHMD26154
OG0001458	XENTR03285, XENTR14377, XENTR03961, XENTR03960	SCHMD07871
OG0001460	XENTR14447	SCHMD10312, SCHMD23646
OG0001461	XENTR05990	SCHMD13257
OG0001464	XENTR03158, XENTR17134, XENTR06200	SCHMD20463
OG0001466	XENTR03641	SCHMD12996, SCHMD13074
OG0001467	XENTR16639	SCHMD19099
OG0001468	XENTR04167, XENTR10607, XENTR03785	SCHMD00390
OG0001469	XENTR01908	SCHMD09394
OG0001469	XENTR01260	SCHMD24067, SCHMD10449
OG0001470	XENTR08880, XENTR08883	SCHMD02321
OG0001472	XENTR12389	SCHMD12948
OG0001472	XENTR13330	SCHMD13936, SCHMD13397, SCHMD27432
OG0001474	XENTR18010	SCHMD07415
OG0001474	XENTR01827	SCHMD11576, SCHMD26877
OG0001475	XENTR12916	SCHMD01990, SCHMD01568, SCHMD01569, SCHMD13677, SCHMD05348
OG0001478	XENTR14390	SCHMD26017
OG0001479	XENTR01295, XENTR15874, XENTR09664	SCHMD12413, SCHMD08686
OG0001480	XENTR08394, XENTR12252, XENTR14932	SCHMD13493
OG0001483	XENTR10570	SCHMD00397
OG0001484	XENTR07065	SCHMD14277
OG0001493	XENTR14218, XENTR06696	SCHMD11122
OG0001496	XENTR07933	SCHMD04335
OG0001501	XENTR06683, XENTR06684, XENTR12986	SCHMD02704
OG0001502	XENTR17438	SCHMD06697
OG0001503	XENTR14751	SCHMD25279, SCHMD19928
OG0001503	XENTR05638	SCHMD25148
OG0001504	XENTR02517	SCHMD05964
OG0001506	XENTR00266, XENTR08441, XENTR08440	SCHMD04881
OG0001507	XENTR08992, XENTR07481	SCHMD00476, SCHMD00993
OG0001508	XENTR15984, XENTR15983, XENTR11480, XENTR11479	SCHMD22201, SCHMD18843, SCHMD16325, SCHMD15374
OG0001511	XENTR03205	SCHMD14385
OG0001512	XENTR06982, XENTR02683	SCHMD25662, SCHMD20631, SCHMD17238, SCHMD26046, SCHMD14306, SCHMD08743, SCHMD08744, SCHMD14305, SCHMD08415, SCHMD00450
OG0001515	XENTR04041, XENTR04537	SCHMD18483
OG0001516	XENTR11018	SCHMD07784
OG0001517	XENTR13941, XENTR13905	SCHMD13953, SCHMD02103, SCHMD04959, SCHMD27460
OG0001519	XENTR04354, XENTR07152, XENTR01425, XENTR01426, XENTR01427	SCHMD01453, SCHMD11573
OG0001522	XENTR15230, XENTR06664, XENTR16658	SCHMD06814
OG0001524	XENTR09548	SCHMD08154
OG0001524	XENTR00484	SCHMD06432
OG0001525	XENTR12515, XENTR12514	SCHMD22768, SCHMD18999, SCHMD19000, SCHMD08330
OG0001526	XENTR17681	SCHMD16304
OG0001527	XENTR01509	SCHMD05435
OG0001527	XENTR15735	SCHMD08837
OG0001530	XENTR10562	SCHMD11853
OG0001532	XENTR11612, XENTR16708, XENTR06237	SCHMD11604
OG0001533	XENTR07080, XENTR17861	SCHMD16757, SCHMD04796
OG0001534	XENTR05627, XENTR06763, XENTR05628	SCHMD13063
OG0001536	XENTR02934	SCHMD04145
OG0001538	XENTR15405	SCHMD03674
OG0001546	XENTR02403, XENTR05092	SCHMD23904
OG0001551	XENTR05545, XENTR05547	SCHMD21975
OG0001552	XENTR07028	SCHMD26668
OG0001553	XENTR02229, XENTR09430, XENTR09742	SCHMD15846, SCHMD15532, SCHMD10896, SCHMD19069, SCHMD06566
OG0001554	XENTR08488, XENTR05924	SCHMD11035
OG0001558	XENTR16416, XENTR06488	SCHMD18412, SCHMD28405
OG0001559	XENTR09039, XENTR06623	SCHMD02521
OG0001560	XENTR12473, XENTR04353, XENTR13870, XENTR12299	SCHMD19288, SCHMD02478
OG0001561	XENTR16133, XENTR07954, XENTR01341	SCHMD21318
OG0001562	XENTR16910	SCHMD20732, SCHMD29309
OG0001563	XENTR12134	SCHMD18145
OG0001566	XENTR12398, XENTR12399, XENTR04955	SCHMD02705
OG0001567	XENTR10094, XENTR00289	SCHMD03492, SCHMD11013, SCHMD12195
OG0001568	XENTR05615	SCHMD04206
OG0001569	XENTR02711, XENTR00703, XENTR00702	SCHMD19450
OG0001571	XENTR14473	SCHMD20861, SCHMD22039
OG0001572	XENTR14408	SCHMD04033
OG0001572	XENTR03742	SCHMD14275, SCHMD14274
OG0001575	XENTR14038, XENTR14037	SCHMD13351
OG0001576	XENTR15048, XENTR13227	SCHMD23672
OG0001578	XENTR01969, XENTR09544	SCHMD10414
OG0001580	XENTR13327, XENTR07267	SCHMD08361, SCHMD16167, SCHMD15393
OG0001583	XENTR11561, XENTR14641	SCHMD16986, SCHMD12401, SCHMD16987, SCHMD12400, SCHMD11526
OG0001589	XENTR13738, XENTR11338	SCHMD27652, SCHMD23084
OG0001590	XENTR10428	SCHMD09240
OG0001593	XENTR11547, XENTR08681, XENTR08680, XENTR02666, XENTR11433	SCHMD12117, SCHMD02219, SCHMD12348, SCHMD22687
OG0001596	XENTR18374, XENTR16155	SCHMD09207
OG0001597	XENTR10161	SCHMD15780, SCHMD26075
OG0001603	XENTR15113	SCHMD10551
OG0001604	XENTR13341	SCHMD02109
OG0001605	XENTR04606	SCHMD09782
OG0001609	XENTR06189	SCHMD16467
OG0001609	XENTR11285	SCHMD16231, SCHMD10959, SCHMD10960
OG0001610	XENTR16107, XENTR10867, XENTR00221	SCHMD03213
OG0001611	XENTR13532, XENTR13440, XENTR02083	SCHMD04102, SCHMD12631
OG0001612	XENTR12835	SCHMD18636, SCHMD18391
OG0001612	XENTR11391	SCHMD14255, SCHMD22594
OG0001613	XENTR00997	SCHMD05811
OG0001614	XENTR03364	SCHMD04001
OG0001615	XENTR04468, XENTR16398	SCHMD14018
OG0001617	XENTR11229, XENTR17736, XENTR07959	SCHMD05139
OG0001617	XENTR13009, XENTR13010	SCHMD05140, SCHMD05141
OG0001620	XENTR12935, XENTR17480, XENTR03941	SCHMD22740, SCHMD18214
OG0001621	XENTR01806, XENTR05633	SCHMD01143, SCHMD22227, SCHMD15718, SCHMD23766, SCHMD07369, SCHMD17584, SCHMD26761, SCHMD18496
OG0001625	XENTR00351, XENTR00352, XENTR13943	SCHMD28211, SCHMD26150
OG0001627	XENTR11789, XENTR13175, XENTR07907	SCHMD06117
OG0001630	XENTR18767	SCHMD26993
OG0001632	XENTR02813, XENTR01250, XENTR01348	SCHMD12105, SCHMD26476
OG0001634	XENTR15612	SCHMD24659
OG0001634	XENTR11998	SCHMD04359, SCHMD08780, SCHMD05004
OG0001635	XENTR14373	SCHMD28110
OG0001638	XENTR17765, XENTR01518	SCHMD00159, SCHMD00160
OG0001639	XENTR05276, XENTR13285, XENTR13286	SCHMD07144
OG0001640	XENTR02367, XENTR10463, XENTR11286	SCHMD02843
OG0001641	XENTR14307	SCHMD03047
OG0001642	XENTR09499, XENTR14534, XENTR14535	SCHMD20801, SCHMD12647
OG0001644	XENTR02166, XENTR06062	SCHMD20924
OG0001646	XENTR14678, XENTR01950, XENTR06522, XENTR13912	SCHMD00577
OG0001651	XENTR14299, XENTR16608	SCHMD15448
OG0001653	XENTR11019	SCHMD13946
OG0001655	XENTR03302, XENTR02328, XENTR08790, XENTR08791	SCHMD06776
OG0001656	XENTR04366	SCHMD22556
OG0001659	XENTR00170	SCHMD19168
OG0001660	XENTR13183, XENTR03454, XENTR14380	SCHMD01572, SCHMD29332
OG0001662	XENTR08476	SCHMD19275
OG0001662	XENTR03671, XENTR14025	SCHMD25740, SCHMD13136
OG0001664	XENTR11452	SCHMD13680, SCHMD17585
OG0001665	XENTR01674, XENTR10394	SCHMD19795
OG0001666	XENTR09349	SCHMD03955, SCHMD03098, SCHMD26493, SCHMD18331
OG0001667	XENTR12439, XENTR07091	SCHMD18800, SCHMD13601, SCHMD20100
OG0001668	XENTR00151	SCHMD04958
OG0001670	XENTR06115, XENTR06114, XENTR00297	SCHMD00224
OG0001671	XENTR08372	SCHMD21324
OG0001672	XENTR03686, XENTR05392, XENTR14798	SCHMD11260, SCHMD13294, SCHMD11259
OG0001676	XENTR08921	SCHMD07166, SCHMD13666
OG0001677	XENTR06345	SCHMD13425
OG0001682	XENTR12019	SCHMD04767
OG0001682	XENTR18099	SCHMD04768
OG0001683	XENTR14409, XENTR18194, XENTR05463, XENTR11397	SCHMD09006, SCHMD12944, SCHMD06427
OG0001685	XENTR03486, XENTR03485	SCHMD20869, SCHMD15163, SCHMD14291, SCHMD14561, SCHMD03324, SCHMD25640, SCHMD02880, SCHMD13866, SCHMD13867, SCHMD17545, SCHMD20045, SCHMD19660, SCHMD24220, SCHMD28371, SCHMD22627, SCHMD12886, SCHMD21854, SCHMD19999, SCHMD27827, SCHMD23046, SCHMD22626
OG0001688	XENTR12165, XENTR12164, XENTR17332	SCHMD12122, SCHMD25973, SCHMD11868
OG0001690	XENTR07789	SCHMD02946
OG0001691	XENTR19286	SCHMD00990, SCHMD08142
OG0001691	XENTR14685	SCHMD00989
OG0001693	XENTR12044	SCHMD18507, SCHMD16544
OG0001699	XENTR01688, XENTR01687, XENTR17709	SCHMD01981
OG0001707	XENTR18222, XENTR18221, XENTR18924, XENTR04513	SCHMD28717, SCHMD29464, SCHMD20857
OG0001711	XENTR06620, XENTR13096	SCHMD04571
OG0001713	XENTR06081	SCHMD11479
OG0001716	XENTR15426	SCHMD16469, SCHMD14355, SCHMD09422, SCHMD01593, SCHMD04189, SCHMD04185, SCHMD11521, SCHMD02529, SCHMD01592, SCHMD04187, SCHMD04186, SCHMD02528
OG0001718	XENTR03869	SCHMD15790
OG0001720	XENTR17421, XENTR17422, XENTR01149	SCHMD15757
OG0001721	XENTR13555, XENTR07868, XENTR08455	SCHMD13571, SCHMD02927, SCHMD02924, SCHMD01779, SCHMD07361, SCHMD01469, SCHMD01470, SCHMD13572, SCHMD02923, SCHMD02926
OG0001724	XENTR07871	SCHMD24845, SCHMD14505, SCHMD24846
OG0001726	XENTR10952	SCHMD06142, SCHMD13209
OG0001726	XENTR11726	SCHMD14995, SCHMD16386
OG0001727	XENTR02406, XENTR00200, XENTR00201	SCHMD10475, SCHMD05882, SCHMD07424, SCHMD10474
OG0001728	XENTR08116, XENTR00572	SCHMD17375
OG0001729	XENTR02877, XENTR02809	SCHMD13670, SCHMD12911, SCHMD05814, SCHMD09420, SCHMD04561, SCHMD11586, SCHMD22783, SCHMD11159
OG0001730	XENTR00053, XENTR16791	SCHMD11237, SCHMD15709
