Orthogroup	XENTR	YEAST
OG0001191	XENTR02213, XENTR13144, XENTR08963	YEAST04707
OG0001197	XENTR14109, XENTR02293, XENTR07184	YEAST01499
OG0001201	XENTR05955, XENTR17812, XENTR17811	YEAST05452
OG0001204	XENTR01197, XENTR13340	YEAST05200
OG0001207	XENTR10602, XENTR06956, XENTR16548	YEAST04258
OG0001210	XENTR12983	YEAST05511
OG0001210	XENTR09378	YEAST02318
OG0001212	XENTR16369, XENTR16368, XENTR17241, XENTR17240	YEAST03971
OG0001214	XENTR02921	YEAST00577
OG0001216	XENTR13109, XENTR05946	YEAST00145
OG0001219	XENTR03647, XENTR18228, XENTR12113	YEAST03867
OG0001236	XENTR16068	YEAST03325, YEAST02687, YEAST03269
OG0001237	XENTR03125, XENTR11439, XENTR05845	YEAST04380
OG0001238	XENTR08981, XENTR12621, XENTR06928, XENTR03786	YEAST04481
OG0001241	XENTR12971	YEAST02002
OG0001241	XENTR07087, XENTR02055	YEAST03967, YEAST01074
OG0001243	XENTR17516, XENTR17517	YEAST00739, YEAST05004
OG0001249	XENTR10238, XENTR10239, XENTR04710, XENTR00318	YEAST01062, YEAST02067
OG0001250	XENTR10529, XENTR04777, XENTR07316	YEAST02968, YEAST01339
OG0001251	XENTR03730, XENTR12411	YEAST01707
OG0001253	XENTR01323, XENTR07953, XENTR11293, XENTR01322, XENTR02523	YEAST03998
OG0001254	XENTR03435, XENTR01471	YEAST04309
OG0001262	XENTR06170, XENTR06171, XENTR19017, XENTR15533	YEAST00911
OG0001263	XENTR06868	YEAST00172
OG0001268	XENTR08282, XENTR18855	YEAST03495
OG0001270	XENTR01782	YEAST01703
OG0001270	XENTR12521, XENTR12522	YEAST02398
OG0001271	XENTR17754, XENTR02751, XENTR07226	YEAST05227, YEAST00662
OG0001278	XENTR09813	YEAST01893
OG0001279	XENTR11976, XENTR14916	YEAST03070
OG0001280	XENTR13872, XENTR04350, XENTR07156	YEAST00846
OG0001282	XENTR16436, XENTR00274	YEAST03744
OG0001284	XENTR15697, XENTR01467, XENTR01466	YEAST00567, YEAST01498
OG0001286	XENTR12060, XENTR12687	YEAST00588, YEAST01486, YEAST03604
OG0001291	XENTR02209, XENTR05578, XENTR07580, XENTR07579	YEAST04453, YEAST04334
OG0001300	XENTR09380, XENTR15087, XENTR13396	YEAST01098
OG0001302	XENTR00019	YEAST02328
OG0001302	XENTR05127, XENTR05128	YEAST00299
OG0001310	XENTR02393, XENTR15418	YEAST00887
OG0001318	XENTR10187, XENTR00640	YEAST03712
OG0001319	XENTR15508, XENTR00669, XENTR10926, XENTR09062, XENTR16542	YEAST01678
OG0001321	XENTR12156, XENTR11250, XENTR11532, XENTR11534	YEAST02280, YEAST01901
OG0001322	XENTR10160, XENTR16770, XENTR07426	YEAST06128
OG0001324	XENTR08414	YEAST00078
OG0001325	XENTR05586, XENTR05589, XENTR05579, XENTR05585, XENTR05588, XENTR08671, XENTR05587, XENTR05590, XENTR05591, XENTR05592	YEAST00793
OG0001326	XENTR09549, XENTR01917, XENTR01916, XENTR08643, XENTR11848	YEAST05395
OG0001327	XENTR10101, XENTR14547	YEAST03176
OG0001332	XENTR11574, XENTR14153, XENTR14152	YEAST03929, YEAST02705, YEAST00687
OG0001333	XENTR01835	YEAST00728
OG0001341	XENTR17450	YEAST06006
OG0001345	XENTR02832	YEAST03613
OG0001353	XENTR09948, XENTR09957, XENTR02518	YEAST00020, YEAST04041
OG0001363	XENTR09917, XENTR06150	YEAST06180
OG0001364	XENTR17966, XENTR03257	YEAST06038, YEAST00402
OG0001367	XENTR02449, XENTR12179, XENTR12890	YEAST04688
OG0001368	XENTR09946, XENTR11688	YEAST01821
OG0001370	XENTR01446, XENTR09409	YEAST04067, YEAST05195, YEAST00897
OG0001371	XENTR09788	YEAST00532, YEAST03976
OG0001372	XENTR17215	YEAST00070
OG0001375	XENTR05015, XENTR07997, XENTR12997	YEAST05499, YEAST05567
OG0001378	XENTR01985, XENTR01998, XENTR11085, XENTR12484	YEAST02300
OG0001379	XENTR05934, XENTR18078, XENTR18079, XENTR06099, XENTR06100	YEAST04155
OG0001386	XENTR17191, XENTR01734	YEAST05114
OG0001397	XENTR17141, XENTR17665, XENTR11843	YEAST05731
OG0001400	XENTR07182, XENTR03349, XENTR03348	YEAST02931
OG0001409	XENTR08239, XENTR15156	YEAST00885, YEAST04659
OG0001410	XENTR04211, XENTR11331, XENTR08205	YEAST05046
OG0001411	XENTR05513	YEAST04834
OG0001412	XENTR01134	YEAST04490
OG0001413	XENTR10327, XENTR01450	YEAST04294
OG0001414	XENTR16760, XENTR03396	YEAST06070, YEAST01920
OG0001415	XENTR00799	YEAST04230
OG0001421	XENTR02091, XENTR11642, XENTR10761, XENTR11862	YEAST05252
OG0001422	XENTR07180, XENTR03319	YEAST05588, YEAST01363
OG0001424	XENTR09472, XENTR01101	YEAST01127
OG0001427	XENTR19013, XENTR12966	YEAST01885
OG0001428	XENTR08058	YEAST04862, YEAST05862, YEAST02749, YEAST03037
OG0001430	XENTR11865, XENTR09506, XENTR03841, XENTR12647	YEAST01712
OG0001434	XENTR14258, XENTR14256, XENTR14257, XENTR14255	YEAST03991
OG0001437	XENTR07683, XENTR08203	YEAST01264, YEAST02900
OG0001445	XENTR00603, XENTR11995	YEAST01715
OG0001449	XENTR18530	YEAST03188
OG0001449	XENTR17594	YEAST05764
OG0001452	XENTR05846, XENTR01476, XENTR12152	YEAST05900
OG0001454	XENTR01618, XENTR01050	YEAST01495, YEAST00573
OG0001456	XENTR09379	YEAST00365
OG0001459	XENTR19263, XENTR05668	YEAST03073, YEAST03464
OG0001461	XENTR05990	YEAST05255
OG0001468	XENTR04167, XENTR10607, XENTR03785	YEAST03875, YEAST03904
OG0001469	XENTR01908	YEAST02070
OG0001469	XENTR01260	YEAST02765
OG0001470	XENTR08880, XENTR08883	YEAST00369, YEAST05375
OG0001472	XENTR12389, XENTR13330	YEAST03031
OG0001473	XENTR16670, XENTR04818, XENTR04817	YEAST05711
OG0001474	XENTR18010, XENTR01827	YEAST01416, YEAST05312
OG0001478	XENTR14390	YEAST01984
OG0001479	XENTR01295, XENTR15874, XENTR09664	YEAST01132
OG0001503	XENTR14751	YEAST03032
OG0001503	XENTR05638	YEAST02920
OG0001504	XENTR02517	YEAST05406
OG0001505	XENTR00271	YEAST03361
OG0001508	XENTR15984, XENTR15983, XENTR11480, XENTR11479	YEAST04143
OG0001515	XENTR04041, XENTR04537	YEAST03320
OG0001520	XENTR12857, XENTR05173	YEAST03872
OG0001524	XENTR09548, XENTR00484	YEAST03912
OG0001525	XENTR12515, XENTR12514	YEAST00757
OG0001527	XENTR01509, XENTR15735	YEAST01395
OG0001529	XENTR02811, XENTR02810, XENTR08383	YEAST01143
OG0001530	XENTR13543, XENTR10562	YEAST00643
OG0001546	XENTR02403, XENTR05092	YEAST03111
OG0001550	XENTR12624, XENTR05520	YEAST02405, YEAST05953
OG0001551	XENTR05545, XENTR05547	YEAST04817
OG0001553	XENTR02229, XENTR09430, XENTR09742	YEAST05147, YEAST01586
OG0001557	XENTR11819	YEAST04671
OG0001558	XENTR16416, XENTR06488	YEAST04449
OG0001559	XENTR13444, XENTR09039, XENTR06623	YEAST00445, YEAST02434
OG0001561	XENTR16133, XENTR07954, XENTR01341	YEAST06176
OG0001564	XENTR03255, XENTR05932	YEAST05390
OG0001570	XENTR05431	YEAST04678
OG0001573	XENTR03987, XENTR08694	YEAST03285
OG0001578	XENTR01969, XENTR09544	YEAST01872
OG0001580	XENTR13327, XENTR07267	YEAST06270
OG0001590	XENTR10428	YEAST03476, YEAST00717, YEAST03955
OG0001594	XENTR11402	YEAST03418
OG0001597	XENTR05372, XENTR10161	YEAST01702
OG0001603	XENTR15113, XENTR12927	YEAST02584
OG0001604	XENTR11091, XENTR13341	YEAST01428
OG0001605	XENTR04606	YEAST04101
OG0001609	XENTR06189, XENTR11285	YEAST02739
OG0001610	XENTR16107, XENTR10867, XENTR00221	YEAST00596, YEAST02062
OG0001612	XENTR12835, XENTR11391	YEAST01109
OG0001628	XENTR01654	YEAST04790
OG0001653	XENTR11019	YEAST01151
OG0001655	XENTR03302, XENTR02328, XENTR08790, XENTR08791	YEAST03354
OG0001657	XENTR00532, XENTR17851	YEAST00101, YEAST00944
OG0001663	XENTR04832, XENTR16289, XENTR18540, XENTR18541	YEAST05642
OG0001676	XENTR08921	YEAST02848
OG0001676	XENTR08096	YEAST06155
OG0001680	XENTR01655, XENTR07200, XENTR11670, XENTR09484, XENTR09485, XENTR11671	YEAST01119, YEAST04022
OG0001685	XENTR03486, XENTR03485	YEAST01147
OG0001687	XENTR07300	YEAST05279
OG0001691	XENTR19286, XENTR00789, XENTR14685	YEAST01315
OG0001704	XENTR03806, XENTR03805	YEAST01293
OG0001706	XENTR05262, XENTR06974, XENTR05263	YEAST03424
OG0001707	XENTR18222, XENTR18221, XENTR18924, XENTR04513	YEAST06049, YEAST00407, YEAST04739
OG0001709	XENTR06407, XENTR13040, XENTR18243, XENTR18244, XENTR13039, XENTR06408	YEAST04440
OG0001713	XENTR06081	YEAST04039
OG0001718	XENTR03869	YEAST01537
OG0001721	XENTR13555, XENTR07868, XENTR08455	YEAST04881, YEAST05253, YEAST00698
OG0001723	XENTR11325, XENTR02045, XENTR09068	YEAST01435
OG0001727	XENTR02406, XENTR00200, XENTR00201	YEAST04543
OG0001728	XENTR08116, XENTR00572	YEAST03347
OG0001730	XENTR00053, XENTR16791	YEAST00177
OG0001739	XENTR13668, XENTR18284	YEAST03760
OG0001745	XENTR12852, XENTR09624	YEAST01431
OG0001750	XENTR13062, XENTR03762, XENTR06525	YEAST03628
OG0001754	XENTR11387, XENTR08474, XENTR05086	YEAST03682
OG0001755	XENTR02652	YEAST05131
OG0001756	XENTR08856, XENTR02230	YEAST00620
OG0001769	XENTR12819, XENTR13309	YEAST04726
OG0001770	XENTR05192, XENTR05256, XENTR09738, XENTR01019	YEAST02590
OG0001774	XENTR17983, XENTR10461	YEAST05166
OG0001775	XENTR08314, XENTR15724	YEAST05594
OG0001780	XENTR00800, XENTR12607	YEAST03768
OG0001781	XENTR01701, XENTR12943	YEAST01882
OG0001782	XENTR03438, XENTR07561	YEAST02421
OG0001785	XENTR09347	YEAST02713
OG0001787	XENTR16345, XENTR10666, XENTR10665, XENTR13689	YEAST03546
OG0001792	XENTR07735	YEAST04331
OG0001792	XENTR11934, XENTR11933	YEAST04595
OG0001793	XENTR16015, XENTR10072	YEAST02466
OG0001805	XENTR07066, XENTR17499	YEAST05496, YEAST01242
OG0001807	XENTR12261	YEAST05464
OG0001808	XENTR15385, XENTR00368	YEAST01298
OG0001818	XENTR08496, XENTR08495, XENTR08497, XENTR16571	YEAST05902, YEAST04712
OG0001822	XENTR17740, XENTR13294, XENTR10879	YEAST04378, YEAST01659
OG0001826	XENTR08576, XENTR11916	YEAST04777, YEAST01697, YEAST05781
OG0001828	XENTR16952	YEAST04676
OG0001829	XENTR00483, XENTR14302	YEAST01613, YEAST00136, YEAST02008
OG0001831	XENTR18275, XENTR17969	YEAST00024
OG0001832	XENTR16823, XENTR01410	YEAST05376
OG0001846	XENTR18639, XENTR07601	YEAST05067
OG0001850	XENTR05476, XENTR03640	YEAST01913
OG0001852	XENTR14319, XENTR08373	YEAST03121
OG0001857	XENTR18087, XENTR13066	YEAST04741
OG0001860	XENTR18593, XENTR07653, XENTR05422	YEAST00188
OG0001861	XENTR07625, XENTR05532	YEAST05779, YEAST04773
OG0001863	XENTR01885	YEAST03017
OG0001866	XENTR00166, XENTR11409	YEAST05095, YEAST05570
OG0001867	XENTR18858, XENTR18859, XENTR00928, XENTR18201	YEAST01669
OG0001873	XENTR11870	YEAST00981, YEAST00267
OG0001875	XENTR05396, XENTR05593	YEAST04137
OG0001877	XENTR12095, XENTR17619, XENTR15404	YEAST04134
OG0001886	XENTR06797, XENTR15392	YEAST03260
OG0001888	XENTR17512, XENTR15191	YEAST05749, YEAST01573
OG0001893	XENTR15523	YEAST01023
OG0001894	XENTR15449, XENTR08653	YEAST00433
OG0001899	XENTR14578, XENTR09469	YEAST01210, YEAST04466
OG0001903	XENTR07494	YEAST06020
OG0001913	XENTR06742, XENTR01451	YEAST05520
OG0001915	XENTR06298	YEAST04791
OG0001917	XENTR00340, XENTR11451, XENTR14754, XENTR10651	YEAST01859
OG0001923	XENTR13216, XENTR11935	YEAST05881
OG0001926	XENTR00430	YEAST02948
OG0001932	XENTR09901, XENTR15132	YEAST03770, YEAST03179
OG0001934	XENTR12704, XENTR05609	YEAST00877
OG0001935	XENTR00153, XENTR08647	YEAST00431
OG0001938	XENTR04478	YEAST03931
OG0001940	XENTR14019	YEAST04188, YEAST05646
OG0001943	XENTR10899, XENTR02451	YEAST02393, YEAST05966
OG0001945	XENTR03955, XENTR07870	YEAST01671
OG0001947	XENTR07021, XENTR02357	YEAST02570
OG0001951	XENTR07227, XENTR16258	YEAST00941, YEAST05396
OG0001952	XENTR09389	YEAST04673, YEAST01990, YEAST00155
OG0001965	XENTR17416	YEAST04582
OG0001968	XENTR14913, XENTR16410	YEAST04910
OG0001969	XENTR08255, XENTR15375	YEAST06173
OG0001972	XENTR12033	YEAST01822, YEAST03363
OG0001985	XENTR06332, XENTR03530	YEAST04959
OG0001992	XENTR05527, XENTR15316	YEAST02679
OG0001998	XENTR16338, XENTR14682	YEAST00890
OG0002001	XENTR12894, XENTR07328	YEAST00502, YEAST03944
OG0002003	XENTR14361, XENTR02394	YEAST02826, YEAST03671
OG0002008	XENTR08143, XENTR06727	YEAST00768
OG0002010	XENTR15176, XENTR05624, XENTR07385	YEAST00609
OG0002013	XENTR16536	YEAST03040
OG0002014	XENTR02871, XENTR11303	YEAST02422
OG0002015	XENTR07357, XENTR03893	YEAST05525
OG0002025	XENTR01824	YEAST03650
OG0002026	XENTR08832	YEAST01247
OG0002029	XENTR18899	YEAST02646
OG0002031	XENTR15929, XENTR15928, XENTR08011	YEAST02752
OG0002032	XENTR02603	YEAST01221
OG0002043	XENTR04074, XENTR04633	YEAST04003
OG0002059	XENTR06499, XENTR04009, XENTR04010	YEAST05893, YEAST04718
OG0002062	XENTR10057, XENTR05037	YEAST05454
OG0002063	XENTR17982, XENTR00538	YEAST00838
OG0002067	XENTR11063	YEAST03444
OG0002069	XENTR13071, XENTR02513, XENTR02512, XENTR13070	YEAST05962
OG0002073	XENTR13381, XENTR08969, XENTR17145, XENTR07900	YEAST04552
OG0002076	XENTR05229, XENTR17066	YEAST02206
OG0002078	XENTR16673, XENTR07358	YEAST06232
OG0002079	XENTR13830, XENTR00665	YEAST05765, YEAST00483
OG0002080	XENTR01136, XENTR01135, XENTR13342	YEAST05220, YEAST04736
OG0002084	XENTR12442, XENTR12443, XENTR11320	YEAST04529
OG0002087	XENTR06831	YEAST05702
OG0002090	XENTR15595	YEAST02246
OG0002093	XENTR02553	YEAST02255
OG0002097	XENTR04416, XENTR03687	YEAST02697
OG0002101	XENTR04299	YEAST03902
OG0002103	XENTR15401, XENTR15782	YEAST05974
OG0002106	XENTR03305, XENTR11760	YEAST03654
OG0002108	XENTR13048, XENTR07710	YEAST03715
OG0002123	XENTR12869, XENTR04632	YEAST03709
OG0002125	XENTR18863, XENTR01325	YEAST05183
OG0002131	XENTR05730, XENTR05731, XENTR18308, XENTR17313	YEAST04275
OG0002137	XENTR04141, XENTR04140, XENTR03111	YEAST04320
OG0002138	XENTR08958	YEAST02406
OG0002144	XENTR18301, XENTR10292	YEAST02673
OG0002146	XENTR12879, XENTR02800	YEAST04333, YEAST00109, YEAST03088, YEAST04454
OG0002147	XENTR15274, XENTR00295	YEAST04532, YEAST01219
OG0002148	XENTR13087, XENTR09100	YEAST02060
OG0002152	XENTR06605	YEAST05624
OG0002156	XENTR04891	YEAST03007
OG0002160	XENTR18209	YEAST03960
OG0002165	XENTR12790	YEAST04504
OG0002168	XENTR05025, XENTR15448	YEAST00516
OG0002169	XENTR11319, XENTR12444	YEAST02258
OG0002175	XENTR06785, XENTR15142	YEAST04956
OG0002184	XENTR05819, XENTR11457	YEAST00242
OG0002185	XENTR06645, XENTR00451	YEAST05212
OG0002188	XENTR01062	YEAST04638, YEAST03913
OG0002189	XENTR00331	YEAST02882, YEAST04447
OG0002213	XENTR02106	YEAST01241, YEAST05495
OG0002216	XENTR02859	YEAST06040
OG0002217	XENTR09078	YEAST06033
OG0002222	XENTR03278	YEAST03240
OG0002224	XENTR04276, XENTR01944	YEAST01574
OG0002225	XENTR14771	YEAST04939
OG0002226	XENTR06512, XENTR03995	YEAST00948
OG0002228	XENTR07401, XENTR11182	YEAST04154, YEAST05632
OG0002233	XENTR09065	YEAST00277
OG0002239	XENTR17177	YEAST03509
OG0002239	XENTR09309, XENTR17015	YEAST01621
OG0002241	XENTR15534, XENTR00886	YEAST02005
OG0002243	XENTR03644, XENTR06468	YEAST04599, YEAST03601, YEAST04600
OG0002244	XENTR05927	YEAST02768
OG0002252	XENTR07010, XENTR09805, XENTR07309	YEAST00826
OG0002261	XENTR12712, XENTR18200, XENTR12711	YEAST00472
OG0002264	XENTR11031, XENTR12994	YEAST01705
OG0002279	XENTR17502, XENTR08016	YEAST05800
OG0002282	XENTR06507, XENTR15597, XENTR15596	YEAST00881
OG0002288	XENTR12739, XENTR07532	YEAST01591, YEAST05154
OG0002292	XENTR10569	YEAST00152
OG0002297	XENTR00024, XENTR00025, XENTR00023	YEAST01217
OG0002312	XENTR02000, XENTR06437, XENTR06436	YEAST06295
OG0002316	XENTR13680, XENTR13681, XENTR04956	YEAST01805
OG0002318	XENTR14796	YEAST02923
OG0002319	XENTR02334, XENTR00284	YEAST00329
OG0002321	XENTR17990	YEAST02461
OG0002324	XENTR11808	YEAST02615, YEAST06287
OG0002326	XENTR11657, XENTR05110	YEAST00310, YEAST02699
OG0002327	XENTR06367, XENTR18257	YEAST00346, YEAST06217
OG0002331	XENTR02956, XENTR08347	YEAST01653
OG0002332	XENTR04333, XENTR06466	YEAST01606, YEAST05184, YEAST00285
OG0002341	XENTR17261, XENTR17262	YEAST03640, YEAST04562
OG0002344	XENTR01511, XENTR10309	YEAST02312, YEAST02019
OG0002346	XENTR16322	YEAST02012
OG0002348	XENTR03865	YEAST01845
OG0002355	XENTR01023, XENTR01621	YEAST00016
OG0002356	XENTR11801, XENTR14127	YEAST00259
OG0002361	XENTR00595, XENTR12105	YEAST01027
OG0002367	XENTR04656, XENTR04737	YEAST01179
OG0002369	XENTR08498	YEAST03766
OG0002374	XENTR17796, XENTR09958	YEAST02010, YEAST00133
OG0002377	XENTR08904, XENTR03045	YEAST05000
OG0002385	XENTR04767, XENTR01823, XENTR04768, XENTR07386	YEAST03974
OG0002406	XENTR13694, XENTR16471	YEAST05509
OG0002407	XENTR16253, XENTR18256	YEAST00012
OG0002409	XENTR17207, XENTR00759, XENTR02804	YEAST02027
OG0002411	XENTR10283, XENTR09696	YEAST05950, YEAST02407
OG0002412	XENTR12811	YEAST06171
OG0002413	XENTR12213	YEAST01196
OG0002415	XENTR18259	YEAST01271
OG0002421	XENTR11863	YEAST02982
OG0002422	XENTR12603	YEAST05026
OG0002426	XENTR00967, XENTR05682, XENTR04791	YEAST00184
OG0002441	XENTR05912, XENTR09399	YEAST00068, YEAST02278, YEAST05821
OG0002442	XENTR16535, XENTR16802	YEAST05932
OG0002443	XENTR00383	YEAST04906
OG0002446	XENTR04769	YEAST04254
OG0002450	XENTR19093, XENTR14079	YEAST04575
OG0002453	XENTR10071	YEAST00512
OG0002476	XENTR00493	YEAST05799
OG0002486	XENTR12613	YEAST01433
OG0002492	XENTR09648	YEAST01624
OG0002494	XENTR02970, XENTR04622	YEAST02402
OG0002495	XENTR01127	YEAST02772
OG0002497	XENTR12266, XENTR01749	YEAST02747
OG0002500	XENTR19041, XENTR19042	YEAST05648
OG0002505	XENTR00934	YEAST02959
OG0002510	XENTR13486	YEAST04753
OG0002516	XENTR02644, XENTR10617	YEAST00066
OG0002518	XENTR16754, XENTR16755	YEAST02890
OG0002520	XENTR16161, XENTR11725	YEAST05256
OG0002523	XENTR18468, XENTR15973, XENTR15750	YEAST06234
OG0002527	XENTR09927, XENTR16099	YEAST01639
OG0002528	XENTR13773	YEAST00372
OG0002530	XENTR00564, XENTR12121	YEAST05530, YEAST03790
OG0002532	XENTR07408, XENTR07406, XENTR07407	YEAST03235
OG0002533	XENTR06540, XENTR01165	YEAST04525
OG0002543	XENTR00842	YEAST00527
OG0002557	XENTR15925, XENTR17200, XENTR15926	YEAST06243
OG0002561	XENTR10163	YEAST04438, YEAST02106
OG0002562	XENTR04290, XENTR11943	YEAST03992
OG0002564	XENTR18727	YEAST02186
OG0002565	XENTR13021	YEAST04224, YEAST02499
OG0002570	XENTR02508	YEAST00592
OG0002574	XENTR11279	YEAST05657
OG0002594	XENTR03750, XENTR15912, XENTR15914, XENTR15913	YEAST06174
OG0002598	XENTR00361, XENTR00360, XENTR06999	YEAST04621, YEAST03577
OG0002605	XENTR04671	YEAST06332
OG0002608	XENTR13670	YEAST03716, YEAST02846
OG0002609	XENTR06747, XENTR08636, XENTR08635	YEAST01355
OG0002610	XENTR00520, XENTR17304	YEAST01078, YEAST03973
OG0002612	XENTR11127	YEAST03508
OG0002617	XENTR07545, XENTR07546	YEAST00866
OG0002618	XENTR10256, XENTR00130	YEAST06247
OG0002621	XENTR11785	YEAST05551
OG0002629	XENTR01328	YEAST05919
OG0002632	XENTR12124, XENTR17685	YEAST02755
OG0002633	XENTR04116, XENTR10955	YEAST04206
OG0002636	XENTR11187, XENTR11186	YEAST01664, YEAST06215
OG0002643	XENTR01733	YEAST01938
OG0002644	XENTR03973, XENTR14388	YEAST00724
OG0002645	XENTR13167	YEAST01436
OG0002646	XENTR16009	YEAST01946
OG0002651	XENTR07624	YEAST02247, YEAST02868
OG0002652	XENTR03749, XENTR10217	YEAST04937
OG0002656	XENTR16931	YEAST05701
OG0002659	XENTR05178	YEAST06290
OG0002666	XENTR12989	YEAST02507
OG0002668	XENTR05961, XENTR10409	YEAST02324
OG0002677	XENTR09797	YEAST05210
OG0002681	XENTR13339, XENTR18267	YEAST04585
OG0002683	XENTR00051, XENTR11456, XENTR00050	YEAST03676
OG0002705	XENTR15379, XENTR04743	YEAST00553
OG0002713	XENTR14279	YEAST00413, YEAST06057
OG0002715	XENTR06007	YEAST01174, YEAST04131
OG0002717	XENTR07538, XENTR14170	YEAST02430
OG0002718	XENTR12920, XENTR12921, XENTR14481	YEAST03380, YEAST03502
OG0002720	XENTR02479	YEAST01914
OG0002722	XENTR03855	YEAST04059
OG0002726	XENTR04881, XENTR07286	YEAST02958
OG0002729	XENTR10582	YEAST01155
OG0002739	XENTR05504	YEAST01877
OG0002740	XENTR12910, XENTR11462	YEAST01658
OG0002742	XENTR06700, XENTR14219	YEAST03713
OG0002743	XENTR03347, XENTR05375	YEAST01824, YEAST03362
OG0002745	XENTR09799, XENTR09800	YEAST04244
OG0002746	XENTR12491	YEAST04902, YEAST05332
OG0002747	XENTR15530, XENTR12004	YEAST05617
OG0002749	XENTR10274	YEAST02810
OG0002750	XENTR13044, XENTR13045	YEAST04952
OG0002752	XENTR04386	YEAST03686
OG0002753	XENTR11296, XENTR02867	YEAST03742
OG0002754	XENTR03983	YEAST03620
OG0002756	XENTR02781	YEAST04058
OG0002758	XENTR04566, XENTR03532	YEAST04409
OG0002760	XENTR00378	YEAST01927
OG0002761	XENTR17764, XENTR17624	YEAST03261
OG0002763	XENTR10839	YEAST00260
OG0002764	XENTR15483	YEAST00423
OG0002765	XENTR17842, XENTR00480	YEAST01667, YEAST05523
OG0002766	XENTR08503	YEAST05357
OG0002767	XENTR04364, XENTR04365, XENTR03484	YEAST04591
OG0002771	XENTR00192, XENTR03850	YEAST02043
OG0002772	XENTR11948, XENTR11949	YEAST03384
OG0002773	XENTR12292, XENTR12291	YEAST03677
OG0002774	XENTR11548, XENTR10278, XENTR18198	YEAST03575
OG0002775	XENTR10960, XENTR10961	YEAST03021
OG0002781	XENTR16799, XENTR05234	YEAST05450
OG0002782	XENTR00623	YEAST02121
OG0002785	XENTR00059, XENTR05827	YEAST06106, YEAST01228
OG0002788	XENTR09878, XENTR09877, XENTR04431	YEAST02578, YEAST01232
OG0002793	XENTR12803	YEAST01371
OG0002799	XENTR17773, XENTR17772	YEAST01461
OG0002817	XENTR12101	YEAST01189, YEAST04922
OG0002824	XENTR13061, XENTR06524	YEAST02137
OG0002826	XENTR09079, XENTR12650	YEAST00174
OG0002827	XENTR09149	YEAST05976
OG0002828	XENTR06020	YEAST00227, YEAST00963
OG0002831	XENTR16010	YEAST03282
OG0002835	XENTR11887, XENTR14253	YEAST02656
OG0002837	XENTR15959, XENTR00684	YEAST01987, YEAST00157
OG0002839	XENTR15634	YEAST03148
OG0002843	XENTR01142	YEAST04737
OG0002844	XENTR02808, XENTR17210	YEAST05563
OG0002847	XENTR01188	YEAST02294
OG0002851	XENTR11403, XENTR00147	YEAST04951
OG0002855	XENTR05794	YEAST00137
OG0002860	XENTR01789	YEAST02712
OG0002866	XENTR04723, XENTR13209	YEAST01136
OG0002876	XENTR10826, XENTR08160	YEAST02348
OG0002877	XENTR08111	YEAST04537
OG0002883	XENTR07570	YEAST03027
OG0002891	XENTR06504, XENTR01216	YEAST03205
OG0002893	XENTR15094	YEAST03653
OG0002894	XENTR09951	YEAST00906
OG0002895	XENTR10722, XENTR13295	YEAST01471, YEAST05353, YEAST05456
OG0002897	XENTR08807	YEAST06308
OG0002899	XENTR15290, XENTR00294	YEAST00283
OG0002900	XENTR01428, XENTR17889	YEAST05306
OG0002907	XENTR03427, XENTR03122	YEAST02061
OG0002910	XENTR08951	YEAST00223
OG0002915	XENTR15678	YEAST02264
OG0002917	XENTR03199	YEAST03703
OG0002921	XENTR14977	YEAST06254
OG0002922	XENTR10516, XENTR02242	YEAST01261
OG0002947	XENTR10595	YEAST00232
OG0002948	XENTR19009	YEAST03584
OG0002949	XENTR05420	YEAST00419, YEAST06063
OG0002952	XENTR14461, XENTR01620	YEAST05257
OG0002953	XENTR17933, XENTR17932	YEAST03034
OG0002957	XENTR06187	YEAST03253
OG0002960	XENTR12922	YEAST05502
OG0002965	XENTR07283	YEAST03804
OG0002966	XENTR06174	YEAST06059
OG0002968	XENTR12928, XENTR17755	YEAST00199
OG0002969	XENTR14194	YEAST00655
OG0002982	XENTR13101	YEAST02471
OG0002984	XENTR11184	YEAST00961, YEAST01144
OG0002985	XENTR01815	YEAST02147
OG0002987	XENTR01945, XENTR08978, XENTR09778	YEAST02970, YEAST00081, YEAST02488
OG0002991	XENTR07281	YEAST03345, YEAST01842
OG0002997	XENTR15357, XENTR00325	YEAST02374
OG0003001	XENTR01871, XENTR05403	YEAST01497
OG0003004	XENTR07513, XENTR02073	YEAST02183
OG0003006	XENTR11337	YEAST00899
OG0003010	XENTR14276	YEAST03035
OG0003012	XENTR02824, XENTR09660	YEAST04512
OG0003016	XENTR11776, XENTR18402	YEAST04810
OG0003017	XENTR16354, XENTR16355, XENTR16352, XENTR16351	YEAST02213
OG0003018	XENTR16972	YEAST01635, YEAST01949
OG0003027	XENTR04043, XENTR01453	YEAST05498
OG0003028	XENTR11464	YEAST05822
OG0003029	XENTR08351, XENTR05958	YEAST04523
OG0003033	XENTR01505	YEAST02457, YEAST02640
OG0003039	XENTR02682, XENTR16962	YEAST00055
OG0003043	XENTR13370	YEAST02551
OG0003046	XENTR00458, XENTR06271	YEAST01632
OG0003054	XENTR02710	YEAST04909, YEAST05341
OG0003056	XENTR12840, XENTR17467	YEAST02257
OG0003059	XENTR12777	YEAST02832, YEAST03675
OG0003063	XENTR10800	YEAST00204
OG0003066	XENTR17099, XENTR08960	YEAST00969
OG0003067	XENTR08052	YEAST01070
