Orthogroup	ASTMX	PFLAV
OG0000928	ASTMX22584, ASTMX18625, ASTMX17517, ASTMX00645, ASTMX01726	TCONS_00028224.p1
OG0000929	ASTMX04114, ASTMX07004, ASTMX06184, ASTMX16944, ASTMX10239, ASTMX04285	TCONS_00001479.p1
OG0000931	ASTMX03676	TCONS_00027222.p1
OG0000932	ASTMX11726	TCONS_00006235.p1
OG0000934	ASTMX09810, ASTMX09922	TCONS_00001864.p1
OG0000934	ASTMX09273, ASTMX08879, ASTMX19792	TCONS_00025359.p1
OG0000935	ASTMX00813	TCONS_00054852.p1
OG0000936	ASTMX15303, ASTMX09443	TCONS_00053858.p1, TCONS_00053846.p1
OG0000938	ASTMX01692, ASTMX19323, ASTMX19322, ASTMX04693, ASTMX09745	TCONS_00044853.p1
OG0000938	ASTMX01666, ASTMX21733, ASTMX21732	TCONS_00011822.p1, TCONS_00011821.p1
OG0000940	ASTMX10004	TCONS_00038587.p1, TCONS_00032821.p1, TCONS_00036957.p1, TCONS_00036647.p1, TCONS_00028609.p1
OG0000943	ASTMX21773	TCONS_00006489.p1
OG0000944	ASTMX07936, ASTMX13997, ASTMX11801, ASTMX01164	TCONS_00043975.p1
OG0000945	ASTMX00204, ASTMX12524, ASTMX16834	TCONS_00009344.p1, TCONS_00009343.p1
OG0000946	ASTMX14434	TCONS_00038079.p1
OG0000947	ASTMX10737, ASTMX06666, ASTMX16756, ASTMX11945	TCONS_00031600.p1
OG0000947	ASTMX22371, ASTMX07513, ASTMX12713	TCONS_00019583.p1
OG0000949	ASTMX15084, ASTMX08824, ASTMX21187, ASTMX22481, ASTMX19646, ASTMX11332, ASTMX19844, ASTMX08182	TCONS_00001325.p1, TCONS_00001326.p1, TCONS_00001327.p1, TCONS_00001324.p1
OG0000950	ASTMX05864, ASTMX09628, ASTMX16099, ASTMX18311	TCONS_00006646.p1, TCONS_00006622.p1
OG0000951	ASTMX01864, ASTMX01863, ASTMX22222, ASTMX05129	TCONS_00027921.p1
OG0000952	ASTMX04103, ASTMX16768	TCONS_00041898.p1
OG0000952	ASTMX08010, ASTMX16769	TCONS_00043258.p1
OG0000953	ASTMX18226, ASTMX12548, ASTMX06834, ASTMX00739	TCONS_00051855.p1, TCONS_00051944.p1
OG0000954	ASTMX15027	TCONS_00055769.p1
OG0000954	ASTMX21854	TCONS_00014081.p1
OG0000955	ASTMX18471, ASTMX19384	TCONS_00054603.p1
OG0000955	ASTMX22024	TCONS_00029823.p1
OG0000955	ASTMX11621	TCONS_00043151.p1
OG0000957	ASTMX04943, ASTMX06936	TCONS_00029595.p1
OG0000958	ASTMX06367, ASTMX12813, ASTMX16637	TCONS_00047783.p1
OG0000960	ASTMX16444, ASTMX07245, ASTMX15601, ASTMX10147	TCONS_00009329.p1
OG0000963	ASTMX07918, ASTMX18186	TCONS_00053983.p1
OG0000963	ASTMX05064, ASTMX15961	TCONS_00054330.p1
OG0000964	ASTMX14595	TCONS_00037502.p1, TCONS_00037503.p1, TCONS_00037501.p1, TCONS_00049206.p1, TCONS_00014950.p1
OG0000965	ASTMX11644	TCONS_00030366.p1, TCONS_00031078.p1
OG0000965	ASTMX05585	TCONS_00007578.p1
OG0000966	ASTMX02282, ASTMX09390, ASTMX05066, ASTMX09997	TCONS_00006557.p1
OG0000967	ASTMX08221	TCONS_00041998.p1
OG0000967	ASTMX07666, ASTMX03215	TCONS_00031424.p1
OG0000968	ASTMX00225, ASTMX16299, ASTMX00443	TCONS_00036377.p1
OG0000968	ASTMX13057, ASTMX11973	TCONS_00005719.p1
OG0000969	ASTMX01808	TCONS_00055996.p1, TCONS_00057302.p1, TCONS_00055995.p1, TCONS_00057305.p1, TCONS_00057265.p1
OG0000970	ASTMX16775, ASTMX10621	TCONS_00006818.p1
OG0000971	ASTMX22866	TCONS_00054204.p1
OG0000972	ASTMX18834	TCONS_00006434.p1
OG0000972	ASTMX16325	TCONS_00030051.p1
OG0000973	ASTMX13794, ASTMX13793	TCONS_00014962.p1, TCONS_00014960.p1
OG0000974	ASTMX15410	TCONS_00041730.p1
OG0000977	ASTMX18656	TCONS_00003519.p1
OG0000978	ASTMX10667, ASTMX02304, ASTMX07458, ASTMX17117, ASTMX00202, ASTMX01648	TCONS_00008298.p1, TCONS_00002212.p1
OG0000979	ASTMX07631	TCONS_00033258.p1, TCONS_00033257.p1, TCONS_00033260.p1, TCONS_00055872.p1, TCONS_00055873.p1
OG0000981	ASTMX07777	TCONS_00028542.p1
OG0000982	ASTMX07919, ASTMX18187, ASTMX11536, ASTMX07445, ASTMX13438, ASTMX10025	TCONS_00019685.p1
OG0000984	ASTMX02397	TCONS_00055833.p1
OG0000985	ASTMX09768, ASTMX15611, ASTMX12134, ASTMX10557, ASTMX04706	TCONS_00031086.p1
OG0000987	ASTMX15681, ASTMX02636, ASTMX09408, ASTMX04754, ASTMX04880, ASTMX14766	TCONS_00018810.p1, TCONS_00005846.p1
OG0000988	ASTMX14582, ASTMX10358, ASTMX14055	TCONS_00048232.p1, TCONS_00048229.p1, TCONS_00048228.p1, TCONS_00014768.p1
OG0000992	ASTMX21108	TCONS_00012823.p1
OG0000992	ASTMX16823, ASTMX21083	TCONS_00026712.p1
OG0000994	ASTMX09930	TCONS_00017207.p1
OG0000994	ASTMX09998	TCONS_00006840.p1
OG0000995	ASTMX18626, ASTMX17670, ASTMX10200, ASTMX11669, ASTMX21664	TCONS_00014470.p1
OG0000996	ASTMX22748, ASTMX01122, ASTMX09090, ASTMX06171, ASTMX18948	TCONS_00021104.p1
OG0000999	ASTMX07361, ASTMX15986, ASTMX14492, ASTMX00353, ASTMX16560	TCONS_00036441.p1
OG0001000	ASTMX00037, ASTMX14963	TCONS_00001232.p1
OG0001001	ASTMX17780, ASTMX06967	TCONS_00021762.p1
OG0001001	ASTMX00557, ASTMX00122	TCONS_00021761.p1
OG0001003	ASTMX14461, ASTMX16003	TCONS_00004598.p1
OG0001005	ASTMX01027, ASTMX13959	TCONS_00047309.p1
OG0001006	ASTMX19697	TCONS_00055759.p1
OG0001006	ASTMX13446, ASTMX05959, ASTMX13127	TCONS_00052629.p1
OG0001007	ASTMX19285, ASTMX05091	TCONS_00015703.p1, TCONS_00015701.p1
OG0001008	ASTMX17365, ASTMX17759, ASTMX01070	TCONS_00036882.p1
OG0001009	ASTMX08160, ASTMX00855	TCONS_00012614.p1, TCONS_00012613.p1, TCONS_00012612.p1
OG0001011	ASTMX03714, ASTMX05856, ASTMX01644, ASTMX01606, ASTMX00031	TCONS_00057033.p1, TCONS_00057034.p1, TCONS_00057036.p1, TCONS_00056052.p1, TCONS_00057224.p1, TCONS_00057031.p1, TCONS_00056948.p1, TCONS_00056037.p1
OG0001013	ASTMX21078, ASTMX17661, ASTMX17662, ASTMX08576, ASTMX08575, ASTMX12311, ASTMX03627, ASTMX10104, ASTMX11498, ASTMX01563	TCONS_00012544.p1, TCONS_00012534.p1, TCONS_00012539.p1, TCONS_00012540.p1, TCONS_00012542.p1
OG0001016	ASTMX02659	TCONS_00055345.p1
OG0001016	ASTMX09603	TCONS_00032700.p1
OG0001017	ASTMX17970, ASTMX04766	TCONS_00018963.p1
OG0001017	ASTMX17965	TCONS_00018961.p1, TCONS_00018946.p1
OG0001018	ASTMX07293	TCONS_00001884.p1
OG0001018	ASTMX14402	TCONS_00010472.p1
OG0001021	ASTMX08511	TCONS_00011702.p1, TCONS_00011698.p1, TCONS_00011704.p1
OG0001023	ASTMX19031, ASTMX20687, ASTMX01426, ASTMX20596, ASTMX06914	TCONS_00038094.p1
OG0001024	ASTMX03675, ASTMX18108, ASTMX07995, ASTMX09301, ASTMX15826, ASTMX03255	TCONS_00031075.p1
OG0001026	ASTMX15598, ASTMX17425, ASTMX16409	TCONS_00012712.p1
OG0001027	ASTMX11181	TCONS_00014644.p1
OG0001027	ASTMX12602	TCONS_00016417.p1, TCONS_00016416.p1, TCONS_00016504.p1, TCONS_00016503.p1, TCONS_00016502.p1
OG0001028	ASTMX02432, ASTMX02433, ASTMX10276, ASTMX00251	TCONS_00029271.p1, TCONS_00029281.p1
OG0001029	ASTMX09096, ASTMX11906, ASTMX09903, ASTMX05770, ASTMX16817	TCONS_00001268.p1
OG0001030	ASTMX02452, ASTMX18172	TCONS_00029236.p1
OG0001030	ASTMX14787, ASTMX04535, ASTMX18636	TCONS_00012193.p1
OG0001031	ASTMX07625	TCONS_00030299.p1
OG0001031	ASTMX17308	TCONS_00020015.p1, TCONS_00028711.p1
OG0001032	ASTMX15532, ASTMX03793, ASTMX13164, ASTMX18965, ASTMX09608, ASTMX13460	TCONS_00015470.p1
OG0001033	ASTMX11272, ASTMX16778, ASTMX20310	TCONS_00030894.p1
OG0001033	ASTMX02891, ASTMX13562	TCONS_00054950.p1
OG0001034	ASTMX14094, ASTMX17808, ASTMX08019, ASTMX09126	TCONS_00015603.p1
OG0001036	ASTMX15297, ASTMX00943, ASTMX04320, ASTMX20857	TCONS_00018638.p1
OG0001037	ASTMX09605, ASTMX13457, ASTMX18385, ASTMX09123	TCONS_00016412.p1
OG0001039	ASTMX00965	TCONS_00047298.p1
OG0001042	ASTMX01745, ASTMX19070, ASTMX15836, ASTMX02594, ASTMX01999	TCONS_00048975.p1
OG0001044	ASTMX11020	TCONS_00027869.p1
OG0001044	ASTMX07810, ASTMX07811	TCONS_00016913.p1, TCONS_00050490.p1, TCONS_00004674.p1, TCONS_00043379.p1, TCONS_00055549.p1, TCONS_00055534.p1, TCONS_00055547.p1, TCONS_00055535.p1, TCONS_00043380.p2
OG0001046	ASTMX04989, ASTMX12326, ASTMX15400, ASTMX21403, ASTMX04871	TCONS_00013758.p1
OG0001047	ASTMX13719, ASTMX02988, ASTMX09193, ASTMX08799	TCONS_00022002.p1, TCONS_00022015.p1, TCONS_00022271.p1
OG0001048	ASTMX11990, ASTMX19153, ASTMX16464, ASTMX06652, ASTMX16463, ASTMX18179, ASTMX03970	TCONS_00030505.p1
OG0001049	ASTMX16983, ASTMX16917	TCONS_00050112.p1
OG0001049	ASTMX15120, ASTMX04802	TCONS_00050056.p1
OG0001050	ASTMX17116, ASTMX01295, ASTMX07885, ASTMX07884, ASTMX00384, ASTMX06846	TCONS_00041057.p1
OG0001052	ASTMX02792, ASTMX15614	TCONS_00030870.p1
OG0001053	ASTMX04746	TCONS_00030276.p1
OG0001054	ASTMX11497, ASTMX10102, ASTMX07817	TCONS_00013750.p1
OG0001054	ASTMX12306, ASTMX15402, ASTMX15877, ASTMX07816, ASTMX19836, ASTMX11496, ASTMX10101	TCONS_00013749.p1
OG0001057	ASTMX16121, ASTMX18759, ASTMX08231, ASTMX21869, ASTMX11631	TCONS_00045126.p1
OG0001058	ASTMX18033, ASTMX05110, ASTMX11885, ASTMX17859	TCONS_00034488.p1
OG0001059	ASTMX17167, ASTMX13012, ASTMX17166, ASTMX13011	TCONS_00046508.p1
OG0001060	ASTMX14477, ASTMX15173	TCONS_00027922.p1, TCONS_00027923.p1, TCONS_00042973.p1
OG0001062	ASTMX14307, ASTMX08563, ASTMX02379, ASTMX17790	TCONS_00052698.p1
OG0001063	ASTMX10605	TCONS_00012059.p1
OG0001065	ASTMX18463, ASTMX10224	TCONS_00009871.p1
OG0001066	ASTMX09220	TCONS_00047232.p1
OG0001068	ASTMX16663, ASTMX10634	TCONS_00051881.p1
OG0001072	ASTMX19026	TCONS_00004835.p1, TCONS_00004857.p1
OG0001072	ASTMX07116	TCONS_00005572.p1, TCONS_00005559.p1
OG0001073	ASTMX00299, ASTMX15138, ASTMX15137, ASTMX15139, ASTMX07175	TCONS_00042907.p1
OG0001075	ASTMX15603, ASTMX17534, ASTMX07596	TCONS_00018554.p1, TCONS_00056425.p1, TCONS_00056424.p1, TCONS_00056414.p1, TCONS_00056417.p1, TCONS_00056418.p1, TCONS_00056419.p1, TCONS_00056421.p1, TCONS_00056428.p1, TCONS_00056427.p1, TCONS_00055256.p1
OG0001076	ASTMX03684, ASTMX11243, ASTMX11094	TCONS_00043600.p1
OG0001077	ASTMX08017	TCONS_00057143.p1
OG0001077	ASTMX12567	TCONS_00055933.p1, TCONS_00055932.p1, TCONS_00057137.p1, TCONS_00055931.p1
OG0001077	ASTMX10837	TCONS_00057134.p1
OG0001078	ASTMX14428, ASTMX16990, ASTMX15708, ASTMX07308, ASTMX21162, ASTMX01731	TCONS_00023347.p1, TCONS_00023220.p1, TCONS_00023380.p1
OG0001079	ASTMX13695, ASTMX07130, ASTMX04052	TCONS_00047466.p1
OG0001080	ASTMX20362	TCONS_00055708.p1
OG0001080	ASTMX17093, ASTMX00271	TCONS_00014559.p1
OG0001081	ASTMX07534, ASTMX20170, ASTMX20169	TCONS_00008546.p1
OG0001082	ASTMX05356	TCONS_00056645.p1, TCONS_00056648.p1
OG0001083	ASTMX03242, ASTMX10427, ASTMX17603, ASTMX08493	TCONS_00027737.p1
OG0001084	ASTMX13267, ASTMX14596, ASTMX13269	TCONS_00001343.p1
OG0001085	ASTMX04023, ASTMX22544, ASTMX08536, ASTMX05559	TCONS_00048306.p1
OG0001086	ASTMX17217, ASTMX13682, ASTMX15645, ASTMX04708, ASTMX12542	TCONS_00012169.p1
OG0001088	ASTMX01346	TCONS_00030169.p1
OG0001088	ASTMX13182	TCONS_00009908.p1
OG0001089	ASTMX21827	TCONS_00034770.p1, TCONS_00034704.p1
OG0001091	ASTMX04144, ASTMX08666, ASTMX21338, ASTMX12021, ASTMX21337, ASTMX12020, ASTMX08667	TCONS_00020805.p1
OG0001092	ASTMX11224	TCONS_00043827.p1
OG0001093	ASTMX12014, ASTMX12657, ASTMX16037, ASTMX04141, ASTMX08672	TCONS_00003654.p1
OG0001095	ASTMX01042, ASTMX06668, ASTMX10417, ASTMX04271	TCONS_00019147.p1
OG0001096	ASTMX18205, ASTMX09790	TCONS_00053954.p1, TCONS_00010116.p1
OG0001101	ASTMX18645	TCONS_00047616.p1
OG0001102	ASTMX10946	TCONS_00019241.p1
OG0001102	ASTMX06585	TCONS_00000169.p1
OG0001103	ASTMX01362	TCONS_00010968.p1
OG0001103	ASTMX07925	TCONS_00017240.p1
OG0001104	ASTMX04326, ASTMX19128	TCONS_00018743.p1, TCONS_00018706.p1
OG0001105	ASTMX06295	TCONS_00033553.p1
OG0001105	ASTMX16452	TCONS_00013124.p1
OG0001106	ASTMX12402	TCONS_00028411.p1
OG0001107	ASTMX07155, ASTMX18532, ASTMX08783, ASTMX07277, ASTMX12968	TCONS_00022326.p1
OG0001108	ASTMX10776	TCONS_00020684.p1
OG0001109	ASTMX22098, ASTMX18693, ASTMX16851, ASTMX20867	TCONS_00043148.p1, TCONS_00041764.p1, TCONS_00043474.p1, TCONS_00043476.p1
OG0001110	ASTMX19998, ASTMX20209, ASTMX10366, ASTMX18902, ASTMX13352	TCONS_00015372.p1
OG0001112	ASTMX08753, ASTMX12056	TCONS_00021573.p1
OG0001113	ASTMX19887	TCONS_00043824.p1
OG0001114	ASTMX20168, ASTMX05200, ASTMX10656	TCONS_00031876.p1
OG0001115	ASTMX22571, ASTMX01777, ASTMX14280, ASTMX19074, ASTMX15784, ASTMX16079, ASTMX09277	TCONS_00027809.p1, TCONS_00026894.p1, TCONS_00004061.p1
OG0001116	ASTMX16860	TCONS_00038721.p1, TCONS_00000105.p1
OG0001117	ASTMX13101, ASTMX11968, ASTMX06395, ASTMX11969	TCONS_00055590.p1
OG0001119	ASTMX11748	TCONS_00018228.p1
OG0001120	ASTMX04101, ASTMX08003, ASTMX10732, ASTMX16697, ASTMX08805, ASTMX16767	TCONS_00020661.p1
OG0001121	ASTMX15268, ASTMX07286	TCONS_00001552.p1
OG0001123	ASTMX11965	TCONS_00032914.p1, TCONS_00032917.p1, TCONS_00032918.p1, TCONS_00032915.p1, TCONS_00033283.p1
OG0001123	ASTMX03333	TCONS_00005609.p1
OG0001124	ASTMX11649	TCONS_00014549.p1
OG0001124	ASTMX21249	TCONS_00020701.p1
OG0001126	ASTMX15843	TCONS_00049380.p1, TCONS_00049391.p1
OG0001127	ASTMX12680, ASTMX16751, ASTMX02660, ASTMX13770	TCONS_00055346.p1
OG0001128	ASTMX03840	TCONS_00003470.p1
OG0001129	ASTMX10908, ASTMX12420, ASTMX13922	TCONS_00007656.p1
OG0001129	ASTMX10145, ASTMX09711	TCONS_00007662.p1
OG0001130	ASTMX10575	TCONS_00028636.p1, TCONS_00028392.p1
OG0001131	ASTMX07608, ASTMX14403, ASTMX04858	TCONS_00010492.p1
OG0001132	ASTMX10021	TCONS_00028117.p1, TCONS_00028105.p1
OG0001133	ASTMX13789	TCONS_00015242.p1
OG0001133	ASTMX12861	TCONS_00053218.p1
OG0001134	ASTMX21574, ASTMX21573, ASTMX07671	TCONS_00012314.p1
OG0001135	ASTMX15353, ASTMX19619	TCONS_00042538.p1
OG0001136	ASTMX03984, ASTMX03125, ASTMX00617, ASTMX01730	TCONS_00028141.p1
OG0001137	ASTMX12515, ASTMX16194, ASTMX01698	TCONS_00009779.p1
OG0001138	ASTMX18696, ASTMX18698, ASTMX19043, ASTMX13761, ASTMX15448, ASTMX17720	TCONS_00020566.p1
OG0001139	ASTMX08590	TCONS_00021216.p1
OG0001139	ASTMX08334, ASTMX02193, ASTMX16174	TCONS_00028367.p1, TCONS_00025127.p1
OG0001141	ASTMX18850, ASTMX15737	TCONS_00028439.p1
OG0001142	ASTMX06998	TCONS_00017195.p1
OG0001143	ASTMX05178, ASTMX19786, ASTMX21932, ASTMX06862	TCONS_00020217.p1
OG0001144	ASTMX11062, ASTMX09403, ASTMX17694, ASTMX01911, ASTMX19825	TCONS_00038647.p1
OG0001146	ASTMX16476, ASTMX05676, ASTMX10477, ASTMX20223	TCONS_00050566.p1
OG0001148	ASTMX07421	TCONS_00008695.p1, TCONS_00008797.p1, TCONS_00008835.p1
OG0001149	ASTMX19645, ASTMX17794	TCONS_00015791.p1
OG0001155	ASTMX05916	TCONS_00053982.p1
OG0001155	ASTMX05884	TCONS_00004663.p1
OG0001156	ASTMX06046, ASTMX21567, ASTMX13224, ASTMX10835, ASTMX00559	TCONS_00055858.p1
OG0001158	ASTMX02087, ASTMX17173, ASTMX12628	TCONS_00008068.p1, TCONS_00051859.p1
OG0001159	ASTMX04571, ASTMX16858	TCONS_00018547.p1
OG0001160	ASTMX03036, ASTMX02042, ASTMX09272	TCONS_00025396.p1, TCONS_00025758.p1, TCONS_00025797.p1
OG0001161	ASTMX05139, ASTMX19392, ASTMX10567	TCONS_00032840.p1
OG0001162	ASTMX14904, ASTMX06131, ASTMX00151, ASTMX17408, ASTMX18039	TCONS_00034837.p1, TCONS_00018831.p1
OG0001163	ASTMX21149, ASTMX13397, ASTMX06626	TCONS_00030259.p1, TCONS_00030251.p1
OG0001164	ASTMX23034	TCONS_00006590.p1
OG0001165	ASTMX13025	TCONS_00018323.p1
OG0001165	ASTMX00124	TCONS_00022891.p1, TCONS_00022892.p1
OG0001166	ASTMX14476, ASTMX21070, ASTMX15099, ASTMX16555, ASTMX04635	TCONS_00041896.p1
OG0001167	ASTMX18844, ASTMX18845, ASTMX07609	TCONS_00009697.p1
OG0001168	ASTMX12263, ASTMX06712, ASTMX05338, ASTMX22562	TCONS_00007095.p1
OG0001169	ASTMX04343	TCONS_00043015.p1, TCONS_00041677.p1, TCONS_00043014.p1
OG0001170	ASTMX11047	TCONS_00002129.p1
OG0001171	ASTMX06140	TCONS_00046615.p1
OG0001172	ASTMX02640, ASTMX12998	TCONS_00003400.p1, TCONS_00004388.p1
OG0001172	ASTMX05444, ASTMX13620, ASTMX07385	TCONS_00004384.p1
OG0001173	ASTMX06808	TCONS_00036061.p1
OG0001174	ASTMX00942	TCONS_00049059.p1
OG0001175	ASTMX15626, ASTMX17938, ASTMX10319	TCONS_00018800.p1
OG0001176	ASTMX21031, ASTMX00469, ASTMX18559	TCONS_00009349.p1
OG0001176	ASTMX10559, ASTMX01481, ASTMX13540	TCONS_00031061.p1
OG0001177	ASTMX14125	TCONS_00016810.p1
OG0001177	ASTMX15939	TCONS_00031043.p1, TCONS_00031052.p1
OG0001178	ASTMX12782, ASTMX12781	TCONS_00052837.p1
OG0001178	ASTMX00134, ASTMX00554	TCONS_00021368.p1
OG0001179	ASTMX12400	TCONS_00007366.p1, TCONS_00007365.p1, TCONS_00007363.p1, TCONS_00007362.p1, TCONS_00007361.p1
OG0001179	ASTMX07456	TCONS_00007757.p1
OG0001180	ASTMX12027, ASTMX19199, ASTMX09020	TCONS_00029840.p1
OG0001181	ASTMX18946, ASTMX06446, ASTMX22724, ASTMX17051, ASTMX17260	TCONS_00056617.p1
OG0001182	ASTMX19714, ASTMX07068, ASTMX07067	TCONS_00053877.p1, TCONS_00052901.p1, TCONS_00052905.p1, TCONS_00053963.p1, TCONS_00052902.p1, TCONS_00052904.p1, TCONS_00052903.p1, TCONS_00020387.p1, TCONS_00013737.p1
OG0001183	ASTMX19735, ASTMX17804	TCONS_00055495.p1
OG0001184	ASTMX19302	TCONS_00015015.p1
OG0001184	ASTMX00228	TCONS_00027741.p1
OG0001186	ASTMX18547, ASTMX02567	TCONS_00018904.p1
OG0001186	ASTMX13845	TCONS_00008504.p1
OG0001187	ASTMX10749	TCONS_00044051.p1
OG0001188	ASTMX10472, ASTMX16516, ASTMX05803, ASTMX14514, ASTMX03224	TCONS_00009642.p1
OG0001189	ASTMX06692, ASTMX04816, ASTMX01328, ASTMX13413, ASTMX17159	TCONS_00046683.p1, TCONS_00046682.p1
OG0001190	ASTMX11323, ASTMX13686, ASTMX05267	TCONS_00051568.p1
OG0001191	ASTMX19829, ASTMX17768, ASTMX05237, ASTMX10430, ASTMX15730	TCONS_00027129.p1
OG0001196	ASTMX11519, ASTMX11174, ASTMX02339	TCONS_00041502.p1, TCONS_00049985.p1, TCONS_00035251.p1
OG0001197	ASTMX03942	TCONS_00010219.p1
OG0001198	ASTMX02424, ASTMX06547	TCONS_00029367.p1
OG0001198	ASTMX02630	TCONS_00037978.p1
OG0001199	ASTMX03290	TCONS_00001138.p1
OG0001199	ASTMX03812	TCONS_00018814.p1, TCONS_00005842.p1
OG0001200	ASTMX11139	TCONS_00011494.p1
OG0001201	ASTMX18598	TCONS_00008587.p1
OG0001202	ASTMX12631, ASTMX12630	TCONS_00021712.p1, TCONS_00021789.p1, TCONS_00021744.p1, TCONS_00021742.p1, TCONS_00021743.p1, TCONS_00021232.p1, TCONS_00021231.p1
OG0001204	ASTMX05878, ASTMX12225	TCONS_00006364.p1
OG0001205	ASTMX13657	TCONS_00042903.p1
OG0001205	ASTMX01662, ASTMX03694, ASTMX01184	TCONS_00042542.p1
OG0001207	ASTMX15583	TCONS_00055016.p1
OG0001207	ASTMX21871, ASTMX07379, ASTMX05452	TCONS_00002875.p1
OG0001208	ASTMX00484, ASTMX08670, ASTMX06752, ASTMX12017	TCONS_00019772.p1
OG0001210	ASTMX01254	TCONS_00010944.p1
OG0001210	ASTMX10342, ASTMX10343	TCONS_00052218.p1
OG0001211	ASTMX18975, ASTMX16242	TCONS_00032848.p1
OG0001212	ASTMX14803	TCONS_00043220.p1
OG0001213	ASTMX13388	TCONS_00027209.p1
OG0001213	ASTMX21450	TCONS_00005372.p1
OG0001214	ASTMX09593	TCONS_00033365.p1
OG0001215	ASTMX20085, ASTMX00530, ASTMX12692, ASTMX15468, ASTMX06044	TCONS_00033488.p1
OG0001216	ASTMX20220	TCONS_00051636.p1
OG0001216	ASTMX21172	TCONS_00007050.p1
OG0001217	ASTMX09378, ASTMX07954, ASTMX01127, ASTMX10707, ASTMX01247, ASTMX16527, ASTMX07955	TCONS_00000738.p1
OG0001218	ASTMX10642, ASTMX14744, ASTMX13687, ASTMX05605	TCONS_00052215.p1
OG0001219	ASTMX14886, ASTMX03969, ASTMX10652, ASTMX14229	TCONS_00017300.p1
OG0001220	ASTMX05948, ASTMX05949	TCONS_00006085.p1
OG0001221	ASTMX07026	TCONS_00055087.p1, TCONS_00055088.p1, TCONS_00055090.p1, TCONS_00055091.p1
OG0001223	ASTMX03153, ASTMX00191, ASTMX01647, ASTMX07473	TCONS_00007477.p1
OG0001224	ASTMX06442	TCONS_00051554.p1
OG0001225	ASTMX05153, ASTMX03549, ASTMX13437, ASTMX10024, ASTMX07916	TCONS_00019229.p1
OG0001226	ASTMX15119, ASTMX01133, ASTMX11042	TCONS_00006753.p1, TCONS_00001303.p1
OG0001231	ASTMX10826, ASTMX10594, ASTMX16865, ASTMX13823, ASTMX06066	TCONS_00009528.p1
OG0001232	ASTMX03619	TCONS_00053374.p1, TCONS_00054429.p1, TCONS_00054454.p1, TCONS_00053372.p1
OG0001233	ASTMX05613, ASTMX05612, ASTMX20633	TCONS_00043251.p1, TCONS_00043252.p1, TCONS_00041875.p1, TCONS_00041891.p1, TCONS_00041889.p1, TCONS_00041887.p1, TCONS_00041892.p1, TCONS_00041876.p1, TCONS_00041886.p1, TCONS_00041879.p1, TCONS_00041874.p1, TCONS_00043936.p1
OG0001234	ASTMX22078, ASTMX21091, ASTMX21910, ASTMX21709, ASTMX00219, ASTMX21708, ASTMX20381	TCONS_00007057.p1
OG0001236	ASTMX01850	TCONS_00050414.p1, TCONS_00050417.p1, TCONS_00050415.p1
OG0001237	ASTMX04904, ASTMX20913, ASTMX01867, ASTMX07784, ASTMX12070	TCONS_00019550.p1, TCONS_00019547.p1
OG0001237	ASTMX02167	TCONS_00019780.p1
OG0001238	ASTMX03666	TCONS_00027408.p1
OG0001238	ASTMX13748, ASTMX05355	TCONS_00019050.p1
OG0001239	ASTMX05182, ASTMX13945, ASTMX09470	TCONS_00048949.p1
OG0001240	ASTMX20546, ASTMX04906, ASTMX01860, ASTMX15738, ASTMX18848	TCONS_00029430.p1
OG0001241	ASTMX06697	TCONS_00044745.p1
OG0001241	ASTMX04159, ASTMX18901	TCONS_00021229.p1
OG0001242	ASTMX06205, ASTMX18340	TCONS_00007570.p1, TCONS_00007572.p1, TCONS_00007576.p1, TCONS_00007575.p1, TCONS_00007573.p1, TCONS_00007574.p1, TCONS_00007595.p1, TCONS_00007569.p1, TCONS_00008480.p1
OG0001243	ASTMX17034, ASTMX02160, ASTMX19994	TCONS_00032341.p1
OG0001245	ASTMX04711, ASTMX08255, ASTMX15831, ASTMX03252	TCONS_00030488.p1
OG0001246	ASTMX05438	TCONS_00055105.p1
OG0001247	ASTMX12611, ASTMX14275, ASTMX19073, ASTMX16338	TCONS_00047964.p1
OG0001248	ASTMX11443, ASTMX17482, ASTMX05341, ASTMX19178	TCONS_00020768.p1
OG0001249	ASTMX20181, ASTMX10323, ASTMX00502, ASTMX04928	TCONS_00053927.p1
OG0001250	ASTMX15491, ASTMX07689, ASTMX20710	TCONS_00014350.p1
OG0001251	ASTMX12740	TCONS_00007951.p1
OG0001252	ASTMX14189, ASTMX20484, ASTMX19839, ASTMX18184, ASTMX07917	TCONS_00052754.p1
OG0001253	ASTMX13288, ASTMX07246, ASTMX13330, ASTMX10772, ASTMX13287, ASTMX05532, ASTMX01786	TCONS_00048644.p1
OG0001254	ASTMX10576, ASTMX17225	TCONS_00019693.p1, TCONS_00019695.p1
OG0001255	ASTMX06824, ASTMX12253, ASTMX12915, ASTMX22403, ASTMX15660, ASTMX11198, ASTMX08567, ASTMX14314, ASTMX05306, ASTMX16297, ASTMX08714, ASTMX09718	TCONS_00015051.p1
OG0001256	ASTMX12301, ASTMX04241, ASTMX01544	TCONS_00001550.p1
OG0001261	ASTMX19187, ASTMX01634, ASTMX00068	TCONS_00043665.p1
OG0001262	ASTMX21377	TCONS_00014954.p1, TCONS_00014955.p1, TCONS_00048625.p1
OG0001263	ASTMX17678, ASTMX07639	TCONS_00031000.p1
OG0001263	ASTMX17278	TCONS_00040341.p1
OG0001264	ASTMX07471, ASTMX13848, ASTMX00881	TCONS_00008437.p1
