Orthogroup	ASTMX	YEAST
OG0000768	ASTMX07141, ASTMX00777, ASTMX22777, ASTMX20032	YEAST02560, YEAST04269
OG0000772	ASTMX21784, ASTMX06747	YEAST04929
OG0000776	ASTMX07839, ASTMX16276, ASTMX00140, ASTMX08791, ASTMX16952	YEAST04571, YEAST00195, YEAST00312
OG0000777	ASTMX15408, ASTMX12925, ASTMX04998, ASTMX12330, ASTMX11385	YEAST06297, YEAST02627
OG0000779	ASTMX03346, ASTMX03437, ASTMX00687, ASTMX11032, ASTMX06141	YEAST03812
OG0000782	ASTMX02444, ASTMX19387, ASTMX06219, ASTMX00254	YEAST01393, YEAST05616
OG0000791	ASTMX13100, ASTMX11966, ASTMX00979, ASTMX16746, ASTMX17098	YEAST02375
OG0000794	ASTMX04449, ASTMX12232, ASTMX04448, ASTMX18972	YEAST04627
OG0000800	ASTMX14154, ASTMX10910, ASTMX21176, ASTMX21175, ASTMX03211	YEAST03636
OG0000809	ASTMX18076, ASTMX16871, ASTMX20241, ASTMX06550, ASTMX06551, ASTMX02419, ASTMX12066	YEAST01998
OG0000817	ASTMX22057, ASTMX12294	YEAST00389
OG0000817	ASTMX19659	YEAST06112
OG0000824	ASTMX19093, ASTMX19096, ASTMX19094, ASTMX19092, ASTMX12217, ASTMX19091, ASTMX12216, ASTMX19095	YEAST01319, YEAST02883
OG0000828	ASTMX13643	YEAST00945, YEAST05476, YEAST00075
OG0000828	ASTMX19023	YEAST02290
OG0000837	ASTMX11955, ASTMX04294, ASTMX04295, ASTMX04140, ASTMX07602, ASTMX17291	YEAST06222
OG0000841	ASTMX20423, ASTMX20424, ASTMX10887, ASTMX01216, ASTMX12144	YEAST02416
OG0000847	ASTMX04476	YEAST02881, YEAST03544, YEAST06198
OG0000847	ASTMX13199, ASTMX17255	YEAST02530, YEAST00209
OG0000849	ASTMX14573, ASTMX21951, ASTMX13338, ASTMX16587, ASTMX06284	YEAST04475
OG0000850	ASTMX16693, ASTMX02820, ASTMX12095	YEAST04287
OG0000852	ASTMX14218, ASTMX09079, ASTMX14219, ASTMX01973, ASTMX04325	YEAST01266
OG0000854	ASTMX08448, ASTMX07266, ASTMX08447	YEAST00248
OG0000855	ASTMX05866, ASTMX09644, ASTMX09643	YEAST04755
OG0000857	ASTMX18737, ASTMX15778, ASTMX01089, ASTMX09003	YEAST00309
OG0000868	ASTMX15066, ASTMX10396, ASTMX18458, ASTMX16490, ASTMX15068, ASTMX16949	YEAST06157
OG0000871	ASTMX08820, ASTMX22315	YEAST03857
OG0000872	ASTMX20999, ASTMX02605, ASTMX03062	YEAST03222, YEAST03741
OG0000875	ASTMX10227, ASTMX22128, ASTMX15020	YEAST00077
OG0000876	ASTMX16792, ASTMX16648, ASTMX15450, ASTMX11061, ASTMX09402, ASTMX16730	YEAST05556
OG0000879	ASTMX07159, ASTMX20218, ASTMX05667, ASTMX19602, ASTMX05400	YEAST06123
OG0000888	ASTMX14224, ASTMX11928, ASTMX18926, ASTMX21100	YEAST00288
OG0000889	ASTMX01303, ASTMX13535, ASTMX17253, ASTMX13198, ASTMX13987, ASTMX20205	YEAST00175
OG0000894	ASTMX14915, ASTMX19186, ASTMX07726, ASTMX19891, ASTMX11065	YEAST03763
OG0000896	ASTMX08984	YEAST02476
OG0000896	ASTMX03839, ASTMX20490	YEAST04923
OG0000898	ASTMX07406, ASTMX18529	YEAST06255, YEAST03431
OG0000905	ASTMX00338, ASTMX14498, ASTMX00347	YEAST00599
OG0000907	ASTMX06533, ASTMX02843, ASTMX09038	YEAST02193
OG0000913	ASTMX04731, ASTMX14355	YEAST03557, YEAST05101
OG0000914	ASTMX10770, ASTMX04016, ASTMX01787, ASTMX05533, ASTMX00615	YEAST04745
OG0000921	ASTMX01807, ASTMX13599, ASTMX02073	YEAST02526
OG0000925	ASTMX10561, ASTMX00132, ASTMX00555	YEAST05667, YEAST06025
OG0000932	ASTMX05094, ASTMX12156, ASTMX11727, ASTMX11726	YEAST03525
OG0000933	ASTMX03259, ASTMX06999, ASTMX13050, ASTMX05807, ASTMX22463	YEAST06306
OG0000934	ASTMX09810, ASTMX09922	YEAST02582, YEAST06252
OG0000934	ASTMX09273, ASTMX08879, ASTMX19792	YEAST05040
OG0000935	ASTMX04934, ASTMX18192, ASTMX02617, ASTMX18423, ASTMX09074, ASTMX14216, ASTMX00813	YEAST02843
OG0000943	ASTMX05186, ASTMX21773	YEAST03805
OG0000944	ASTMX07936, ASTMX13997, ASTMX11801, ASTMX01164, ASTMX10713	YEAST04878
OG0000954	ASTMX15027, ASTMX21854	YEAST05503, YEAST01249
OG0000955	ASTMX18471, ASTMX19384	YEAST00837
OG0000955	ASTMX11621	YEAST04295
OG0000963	ASTMX07918, ASTMX18186, ASTMX05064, ASTMX15961	YEAST03685, YEAST00482, YEAST01749
OG0000964	ASTMX14595, ASTMX06312	YEAST04606
OG0000965	ASTMX11644	YEAST02552
OG0000965	ASTMX05585	YEAST02050
OG0000967	ASTMX08221, ASTMX07666, ASTMX03215	YEAST05075
OG0000970	ASTMX04466, ASTMX16775, ASTMX10621	YEAST04028
OG0000982	ASTMX07919, ASTMX18187, ASTMX11536, ASTMX07445, ASTMX13438, ASTMX10025, ASTMX18188	YEAST01182
OG0000984	ASTMX02397	YEAST01493, YEAST00575
OG0000986	ASTMX21143, ASTMX19507, ASTMX13383, ASTMX12846, ASTMX17978	YEAST01481, YEAST04073
OG0000987	ASTMX15681, ASTMX02636, ASTMX09408, ASTMX04754, ASTMX04880, ASTMX14766	YEAST04734, YEAST02734
OG0000994	ASTMX09930, ASTMX09998	YEAST02360
OG0000996	ASTMX23040, ASTMX18947, ASTMX18386, ASTMX22748, ASTMX01122, ASTMX09090, ASTMX06171, ASTMX18948	YEAST00033
OG0001001	ASTMX17780, ASTMX06967, ASTMX00557, ASTMX00122	YEAST00341
OG0001003	ASTMX14461, ASTMX16003	YEAST00644
OG0001006	ASTMX19697, ASTMX13446, ASTMX05959, ASTMX13127	YEAST04513
OG0001016	ASTMX02659, ASTMX09603	YEAST00830
OG0001018	ASTMX07293, ASTMX14402	YEAST01172
OG0001024	ASTMX03675, ASTMX18108, ASTMX07995, ASTMX09301, ASTMX15826, ASTMX03255	YEAST01024, YEAST00308
OG0001033	ASTMX02891, ASTMX13562	YEAST02124
OG0001066	ASTMX20286, ASTMX02069, ASTMX08837, ASTMX00998, ASTMX09220, ASTMX01339	YEAST06311
OG0001075	ASTMX15603, ASTMX17534, ASTMX07596	YEAST05636
OG0001076	ASTMX03685, ASTMX22707, ASTMX03684, ASTMX11243, ASTMX11094	YEAST01570
OG0001081	ASTMX07535, ASTMX07534, ASTMX20170, ASTMX20169	YEAST04460
OG0001082	ASTMX05356	YEAST03919, YEAST02905, YEAST05331
OG0001094	ASTMX20728, ASTMX11817, ASTMX22892	YEAST03837
OG0001095	ASTMX01042, ASTMX06668, ASTMX10417, ASTMX04271	YEAST00773
OG0001096	ASTMX18205, ASTMX09790	YEAST01384
OG0001101	ASTMX18645	YEAST03434
OG0001101	ASTMX23013	YEAST04701
OG0001108	ASTMX10776, ASTMX02283	YEAST06309
OG0001113	ASTMX19887	YEAST05320
OG0001113	ASTMX17433	YEAST00954
OG0001114	ASTMX20168, ASTMX05200, ASTMX10656	YEAST00036, YEAST05811
OG0001124	ASTMX11649, ASTMX21249	YEAST02719
OG0001132	ASTMX10021	YEAST05421
OG0001133	ASTMX13789	YEAST04296
OG0001133	ASTMX12861	YEAST03271
OG0001134	ASTMX21574, ASTMX21573, ASTMX07671	YEAST05015
OG0001135	ASTMX15353, ASTMX19619, ASTMX18867	YEAST03641
OG0001136	ASTMX03984, ASTMX03125, ASTMX00617, ASTMX01730	YEAST05047, YEAST02997
OG0001140	ASTMX00871, ASTMX01335	YEAST03519
OG0001142	ASTMX06998	YEAST04001
OG0001148	ASTMX03651	YEAST02601
OG0001163	ASTMX21149, ASTMX13397, ASTMX06626	YEAST02433
OG0001164	ASTMX15332, ASTMX23034	YEAST03454
OG0001171	ASTMX06140, ASTMX11035, ASTMX09871, ASTMX18404, ASTMX03436	YEAST04620, YEAST03578
OG0001175	ASTMX15626, ASTMX17938, ASTMX10319	YEAST00534
OG0001177	ASTMX14125, ASTMX15939	YEAST06137
OG0001179	ASTMX12400, ASTMX07456	YEAST00368, YEAST04831, YEAST02287
OG0001181	ASTMX22174, ASTMX18946, ASTMX06446, ASTMX22724, ASTMX17051, ASTMX17260	YEAST02051
OG0001184	ASTMX19302, ASTMX00228	YEAST01681
OG0001185	ASTMX07482, ASTMX10936	YEAST04969
OG0001186	ASTMX18547, ASTMX02567, ASTMX13845	YEAST04605, YEAST01886
OG0001191	ASTMX19829, ASTMX17768, ASTMX05237, ASTMX10430, ASTMX15730	YEAST04707
OG0001192	ASTMX10488, ASTMX09214, ASTMX16386	YEAST01898
OG0001197	ASTMX03942, ASTMX01914, ASTMX20138	YEAST01499
OG0001201	ASTMX07237, ASTMX15800, ASTMX18361, ASTMX18598	YEAST05452
OG0001204	ASTMX05907, ASTMX05878, ASTMX12225	YEAST05200
OG0001207	ASTMX15583, ASTMX21871, ASTMX07379, ASTMX05452	YEAST04258
OG0001210	ASTMX01254	YEAST05511
OG0001210	ASTMX10342, ASTMX10343	YEAST02318
OG0001212	ASTMX22528, ASTMX14804, ASTMX14803	YEAST03971
OG0001214	ASTMX09593, ASTMX12596	YEAST00577
OG0001216	ASTMX20220, ASTMX20446, ASTMX06792, ASTMX21172	YEAST00145
OG0001219	ASTMX14886, ASTMX03969, ASTMX10652, ASTMX14229	YEAST03867
OG0001236	ASTMX01850, ASTMX11510, ASTMX06878	YEAST03325, YEAST02687, YEAST03269
OG0001237	ASTMX04904, ASTMX20913, ASTMX01867, ASTMX07784, ASTMX12070, ASTMX02167	YEAST04380
OG0001238	ASTMX03666, ASTMX13748, ASTMX05355	YEAST04481
OG0001241	ASTMX06697	YEAST02002
OG0001241	ASTMX04159, ASTMX18901	YEAST03967, YEAST01074
OG0001243	ASTMX17034, ASTMX02160, ASTMX19994	YEAST00739, YEAST05004
OG0001249	ASTMX20180, ASTMX00503, ASTMX20181, ASTMX10323, ASTMX00502, ASTMX04928	YEAST01062, YEAST02067
OG0001250	ASTMX15491, ASTMX07689, ASTMX20710	YEAST02968, YEAST01339
OG0001251	ASTMX13849, ASTMX12740	YEAST01707
OG0001253	ASTMX13288, ASTMX07246, ASTMX13330, ASTMX10772, ASTMX13287, ASTMX05532, ASTMX01786	YEAST03998
OG0001254	ASTMX21460, ASTMX21459, ASTMX10576, ASTMX17225	YEAST04309
OG0001262	ASTMX21377	YEAST00911
OG0001263	ASTMX22241, ASTMX17678, ASTMX07639, ASTMX17278	YEAST00172
OG0001268	ASTMX20034	YEAST03495
OG0001270	ASTMX19479	YEAST01703
OG0001270	ASTMX03630	YEAST02398
OG0001271	ASTMX14027, ASTMX21049, ASTMX10446, ASTMX00815	YEAST05227, YEAST00662
OG0001278	ASTMX04865, ASTMX10228	YEAST01893
OG0001279	ASTMX06329, ASTMX08064, ASTMX13662, ASTMX17711, ASTMX11584	YEAST03070
OG0001280	ASTMX19448, ASTMX11018, ASTMX16795, ASTMX21805, ASTMX18435	YEAST00846
OG0001282	ASTMX11350, ASTMX00096, ASTMX03184, ASTMX16656, ASTMX11349	YEAST03744
OG0001284	ASTMX09601, ASTMX06818, ASTMX13787, ASTMX17233	YEAST00567, YEAST01498
OG0001286	ASTMX00340, ASTMX14497, ASTMX07360, ASTMX04486	YEAST00588, YEAST01486, YEAST03604
OG0001291	ASTMX09956, ASTMX19427, ASTMX10484, ASTMX07994, ASTMX09302	YEAST04453, YEAST04334
OG0001300	ASTMX06507, ASTMX16708, ASTMX01169	YEAST01098
OG0001302	ASTMX00499	YEAST02328
OG0001302	ASTMX18397	YEAST00299
OG0001310	ASTMX09500, ASTMX19103, ASTMX15228, ASTMX19102	YEAST00887
OG0001318	ASTMX01432, ASTMX07560, ASTMX04187	YEAST03712
OG0001319	ASTMX21712, ASTMX18142, ASTMX04629, ASTMX16650, ASTMX00136, ASTMX21713	YEAST01678
OG0001321	ASTMX01879, ASTMX15374, ASTMX06232, ASTMX07920, ASTMX01880	YEAST02280, YEAST01901
OG0001322	ASTMX01716, ASTMX07256, ASTMX16188	YEAST06128
OG0001324	ASTMX04156	YEAST00078
OG0001325	ASTMX03760, ASTMX19330, ASTMX19332, ASTMX19329, ASTMX03771, ASTMX19331	YEAST00793
OG0001326	ASTMX02799, ASTMX05995, ASTMX05996, ASTMX13210, ASTMX06599, ASTMX08581	YEAST05395
OG0001327	ASTMX01100, ASTMX18676, ASTMX05552	YEAST03176
OG0001332	ASTMX08248, ASTMX16970	YEAST03929, YEAST02705, YEAST00687
OG0001333	ASTMX05919, ASTMX07699	YEAST00728
OG0001341	ASTMX04021, ASTMX18606	YEAST06006
OG0001345	ASTMX17745	YEAST03613
OG0001353	ASTMX14151, ASTMX11924, ASTMX13745	YEAST00020, YEAST04041
OG0001363	ASTMX08285, ASTMX10326, ASTMX03420	YEAST06180
OG0001364	ASTMX17782, ASTMX06972, ASTMX17850	YEAST06038, YEAST00402
OG0001367	ASTMX00960, ASTMX11729, ASTMX19617, ASTMX13008, ASTMX20021	YEAST04688
OG0001368	ASTMX03257, ASTMX15096, ASTMX16548	YEAST01821
OG0001370	ASTMX09028, ASTMX12996	YEAST04067, YEAST05195, YEAST00897
OG0001371	ASTMX10538	YEAST00532, YEAST03976
OG0001372	ASTMX06020	YEAST00070
OG0001375	ASTMX15348, ASTMX12879, ASTMX05755, ASTMX08713	YEAST05499, YEAST05567
OG0001378	ASTMX05115, ASTMX18038, ASTMX12590, ASTMX15728, ASTMX14012, ASTMX04632	YEAST02300
OG0001379	ASTMX03133, ASTMX08769, ASTMX08803, ASTMX08802, ASTMX03013, ASTMX03014	YEAST04155
OG0001386	ASTMX10454, ASTMX13567, ASTMX13566	YEAST05114
OG0001397	ASTMX08012, ASTMX19505, ASTMX01488	YEAST05731
OG0001400	ASTMX01461, ASTMX15365, ASTMX12046, ASTMX21798, ASTMX01897	YEAST02931
OG0001409	ASTMX06764, ASTMX08743, ASTMX16438, ASTMX11918	YEAST00885, YEAST04659
OG0001410	ASTMX14683, ASTMX11950	YEAST05046
OG0001411	ASTMX12471	YEAST04834
OG0001412	ASTMX19015, ASTMX19014	YEAST04490
OG0001413	ASTMX19024	YEAST04294
OG0001414	ASTMX11572, ASTMX11571, ASTMX02756	YEAST06070, YEAST01920
OG0001421	ASTMX08217, ASTMX10787, ASTMX08122, ASTMX03810	YEAST05252
OG0001422	ASTMX17695, ASTMX01913	YEAST05588, YEAST01363
OG0001424	ASTMX17288, ASTMX12720	YEAST01127
OG0001427	ASTMX10767, ASTMX01765, ASTMX17165	YEAST01885
OG0001428	ASTMX05247, ASTMX09437, ASTMX16939, ASTMX14746	YEAST04862, YEAST05862, YEAST02749, YEAST03037
OG0001430	ASTMX21020, ASTMX21443, ASTMX04688, ASTMX10990, ASTMX18254, ASTMX13065	YEAST01712
OG0001434	ASTMX09914, ASTMX09915	YEAST03991
OG0001437	ASTMX02671, ASTMX18553, ASTMX12632	YEAST01264, YEAST02900
OG0001445	ASTMX04130, ASTMX07057	YEAST01715
OG0001449	ASTMX21017, ASTMX21018	YEAST03188
OG0001449	ASTMX16238	YEAST05764
OG0001452	ASTMX12067, ASTMX20582, ASTMX19197, ASTMX12069	YEAST05900
OG0001454	ASTMX22213, ASTMX18012, ASTMX21139	YEAST01495, YEAST00573
OG0001456	ASTMX18391, ASTMX22915, ASTMX18388, ASTMX18389, ASTMX18392, ASTMX18390	YEAST00365
OG0001459	ASTMX20587, ASTMX19737	YEAST03073, YEAST03464
OG0001461	ASTMX05184	YEAST05255
OG0001468	ASTMX14778, ASTMX06215, ASTMX18545, ASTMX05354	YEAST03875, YEAST03904
OG0001469	ASTMX17940	YEAST02070
OG0001469	ASTMX05748	YEAST02765
OG0001470	ASTMX22480, ASTMX02997, ASTMX02333	YEAST00369, YEAST05375
OG0001472	ASTMX14550, ASTMX17138	YEAST03031
OG0001473	ASTMX15501, ASTMX19877	YEAST05711
OG0001474	ASTMX12989, ASTMX07703	YEAST01416, YEAST05312
OG0001478	ASTMX12885	YEAST01984
OG0001478	ASTMX07723	YEAST02078
OG0001479	ASTMX01954, ASTMX14199, ASTMX14335, ASTMX15077	YEAST01132
OG0001503	ASTMX02356	YEAST03032
OG0001503	ASTMX19525	YEAST02920
OG0001504	ASTMX13743	YEAST05406
OG0001505	ASTMX16658, ASTMX10480	YEAST03361
OG0001508	ASTMX16208, ASTMX16207, ASTMX21298	YEAST04143
OG0001515	ASTMX13055, ASTMX11972	YEAST03320
OG0001515	ASTMX03532	YEAST03569
OG0001520	ASTMX04278	YEAST03872
OG0001524	ASTMX02800, ASTMX10909	YEAST03912
OG0001525	ASTMX03602	YEAST00757
OG0001527	ASTMX03505	YEAST01395
OG0001529	ASTMX09418, ASTMX00938, ASTMX00780	YEAST01143
OG0001530	ASTMX06648, ASTMX06951	YEAST00643
OG0001546	ASTMX10973, ASTMX01598	YEAST03111
OG0001550	ASTMX18336, ASTMX06212, ASTMX14152	YEAST02405, YEAST05953
OG0001551	ASTMX01345, ASTMX03884	YEAST04817
OG0001553	ASTMX13473, ASTMX02742, ASTMX20664, ASTMX05977, ASTMX20988	YEAST05147, YEAST01586
OG0001557	ASTMX20060	YEAST04671
OG0001557	ASTMX08321	YEAST04551
OG0001558	ASTMX15085, ASTMX15086, ASTMX13703, ASTMX08558	YEAST04449
OG0001559	ASTMX07506, ASTMX04609, ASTMX03837, ASTMX21052	YEAST00445, YEAST02434
OG0001561	ASTMX12815, ASTMX13331, ASTMX05206, ASTMX16235	YEAST06176
OG0001564	ASTMX08776, ASTMX08775, ASTMX04344, ASTMX08787	YEAST05390
OG0001570	ASTMX17213	YEAST04678
OG0001573	ASTMX07410, ASTMX09054	YEAST03285
OG0001578	ASTMX17269	YEAST01872
OG0001580	ASTMX17141, ASTMX00422, ASTMX07082	YEAST06270
OG0001590	ASTMX14704	YEAST03476, YEAST00717, YEAST03955
OG0001594	ASTMX03704	YEAST03418
OG0001597	ASTMX12010, ASTMX02205	YEAST01702
OG0001603	ASTMX15815, ASTMX06753, ASTMX22513	YEAST02584
OG0001604	ASTMX20038, ASTMX22550, ASTMX05873	YEAST01428
OG0001605	ASTMX17869, ASTMX10907, ASTMX17438, ASTMX13921	YEAST04101
OG0001609	ASTMX05434, ASTMX10748	YEAST02739
OG0001610	ASTMX11326, ASTMX21155, ASTMX22190, ASTMX15390	YEAST00596, YEAST02062
OG0001612	ASTMX00061, ASTMX08047	YEAST01109
OG0001628	ASTMX10611, ASTMX13713	YEAST04790
OG0001653	ASTMX22783, ASTMX22782, ASTMX03023	YEAST01151
OG0001655	ASTMX19212, ASTMX01670, ASTMX07000, ASTMX09332	YEAST03354
OG0001657	ASTMX22284, ASTMX12850, ASTMX15429	YEAST00101, YEAST00944
OG0001663	ASTMX05177, ASTMX19785, ASTMX01771, ASTMX08877	YEAST05642
OG0001676	ASTMX02737	YEAST02848
OG0001676	ASTMX18175	YEAST06155
OG0001680	ASTMX10612, ASTMX16866, ASTMX08071, ASTMX08524, ASTMX17208, ASTMX17209, ASTMX13927, ASTMX10466	YEAST01119, YEAST04022
OG0001685	ASTMX11627, ASTMX01624	YEAST01147
OG0001687	ASTMX02771	YEAST05279
OG0001691	ASTMX01434, ASTMX18308	YEAST01315
OG0001704	ASTMX09400	YEAST01293
OG0001706	ASTMX05640, ASTMX20258, ASTMX05639	YEAST03424
OG0001707	ASTMX18307, ASTMX18306	YEAST06049, YEAST00407, YEAST04739
OG0001708	ASTMX08054, ASTMX06200, ASTMX04674	YEAST05744, YEAST05745
OG0001709	ASTMX04095	YEAST04440
OG0001713	ASTMX02275, ASTMX17234	YEAST04039
OG0001718	ASTMX07179, ASTMX23036, ASTMX19690, ASTMX19842, ASTMX19691, ASTMX04823, ASTMX19689	YEAST01537
OG0001721	ASTMX00052, ASTMX01262, ASTMX09503, ASTMX12296	YEAST04881, YEAST05253, YEAST00698
OG0001723	ASTMX11836, ASTMX12143, ASTMX06027	YEAST01435
OG0001727	ASTMX18920, ASTMX10976, ASTMX04884, ASTMX01599, ASTMX20797	YEAST04543
OG0001728	ASTMX21304, ASTMX21305, ASTMX21308, ASTMX21307, ASTMX13636, ASTMX13637, ASTMX21309, ASTMX21306	YEAST03347
OG0001730	ASTMX22977	YEAST05118
OG0001730	ASTMX20533, ASTMX14053, ASTMX14051, ASTMX02853	YEAST00177
OG0001739	ASTMX19266, ASTMX03558, ASTMX00354	YEAST03760
OG0001745	ASTMX05763, ASTMX01218	YEAST01431
OG0001750	ASTMX12646, ASTMX21008, ASTMX02080, ASTMX01052, ASTMX06673	YEAST03628
OG0001754	ASTMX08050, ASTMX00116	YEAST03682
OG0001755	ASTMX06126	YEAST05131
OG0001756	ASTMX08584, ASTMX13471	YEAST00620
OG0001769	ASTMX01507, ASTMX04557	YEAST04726
OG0001770	ASTMX16705, ASTMX20255, ASTMX00311, ASTMX08260	YEAST02590
OG0001774	ASTMX10351, ASTMX06409	YEAST05166
OG0001775	ASTMX18173, ASTMX02453, ASTMX19386	YEAST05594
OG0001780	ASTMX11982, ASTMX11983, ASTMX06627	YEAST03768
OG0001781	ASTMX01449, ASTMX19769	YEAST01882
OG0001782	ASTMX13624, ASTMX12666	YEAST02421
OG0001785	ASTMX00095	YEAST02713
OG0001787	ASTMX00153, ASTMX21186, ASTMX20336	YEAST03546
OG0001792	ASTMX10365	YEAST04331
OG0001792	ASTMX18195	YEAST04595
OG0001793	ASTMX07514, ASTMX17118, ASTMX02969	YEAST02466
OG0001805	ASTMX17764, ASTMX21541, ASTMX17763, ASTMX22144	YEAST05496, YEAST01242
OG0001807	ASTMX04499, ASTMX10176	YEAST05464
OG0001808	ASTMX21694, ASTMX21696, ASTMX05491, ASTMX21695	YEAST01298
OG0001818	ASTMX15112, ASTMX15111, ASTMX01280	YEAST05902, YEAST04712
OG0001822	ASTMX17911, ASTMX05380, ASTMX01084	YEAST04378, YEAST01659
OG0001826	ASTMX17635, ASTMX17851, ASTMX04624, ASTMX18141	YEAST04777, YEAST01697, YEAST05781
OG0001828	ASTMX21055	YEAST04676
OG0001829	ASTMX12419, ASTMX21618, ASTMX10904	YEAST01613, YEAST00136, YEAST02008
OG0001831	ASTMX09701, ASTMX11370, ASTMX05003	YEAST00024
OG0001832	ASTMX16776, ASTMX06849, ASTMX17231	YEAST05376
OG0001846	ASTMX14112, ASTMX06709, ASTMX19360	YEAST05067
OG0001850	ASTMX19918	YEAST01913
OG0001852	ASTMX04038, ASTMX18646, ASTMX00935	YEAST03121
OG0001853	ASTMX06831, ASTMX12580, ASTMX14066	YEAST05176
OG0001857	ASTMX08952, ASTMX08953, ASTMX03295, ASTMX15454	YEAST04741
OG0001860	ASTMX12416, ASTMX07354	YEAST00188
OG0001861	ASTMX13536, ASTMX07579, ASTMX01292	YEAST05779, YEAST04773
OG0001863	ASTMX08020, ASTMX09136	YEAST03017
OG0001866	ASTMX03690	YEAST05095, YEAST05570
OG0001867	ASTMX16400, ASTMX16454	YEAST01669
OG0001873	ASTMX13537	YEAST00981, YEAST00267
OG0001875	ASTMX04145, ASTMX19333	YEAST04137
OG0001877	ASTMX16552, ASTMX01676, ASTMX12947, ASTMX10278	YEAST04134
OG0001886	ASTMX11188, ASTMX19864	YEAST03260
OG0001888	ASTMX15480, ASTMX17356, ASTMX11277	YEAST05749, YEAST01573
OG0001893	ASTMX19770, ASTMX19643	YEAST01023
OG0001894	ASTMX07802, ASTMX07302, ASTMX12290	YEAST00433
OG0001899	ASTMX04690, ASTMX15105	YEAST01210, YEAST04466
OG0001903	ASTMX04440, ASTMX02517	YEAST06020
OG0001913	ASTMX20767, ASTMX02135, ASTMX20390	YEAST05520
OG0001915	ASTMX06154, ASTMX20145	YEAST04791
OG0001917	ASTMX12441, ASTMX14303, ASTMX04127, ASTMX20172, ASTMX18196	YEAST01859
OG0001923	ASTMX11549, ASTMX15481, ASTMX19703	YEAST05881
OG0001926	ASTMX02370	YEAST02948
OG0001932	ASTMX08414, ASTMX03192, ASTMX04190	YEAST03770, YEAST03179
OG0001934	ASTMX19911, ASTMX13174, ASTMX13175	YEAST00877
OG0001935	ASTMX11590, ASTMX11916	YEAST00431
OG0001938	ASTMX18133, ASTMX18130, ASTMX18132, ASTMX18129, ASTMX18131, ASTMX18248, ASTMX18135, ASTMX18134	YEAST03931
OG0001940	ASTMX17596	YEAST04188, YEAST05646
OG0001943	ASTMX17179, ASTMX00958	YEAST02393, YEAST05966
OG0001945	ASTMX00044, ASTMX10524, ASTMX09938	YEAST01671
OG0001947	ASTMX05518, ASTMX09474, ASTMX03096, ASTMX00626	YEAST02570
OG0001951	ASTMX20250, ASTMX00814, ASTMX21087, ASTMX07517	YEAST00941, YEAST05396
OG0001952	ASTMX11334	YEAST04673, YEAST01990, YEAST00155
OG0001965	ASTMX04867	YEAST04582
OG0001968	ASTMX01530, ASTMX09462	YEAST04910
OG0001969	ASTMX10572, ASTMX16678, ASTMX02918	YEAST06173
OG0001972	ASTMX16670, ASTMX02119	YEAST01822, YEAST03363
OG0001985	ASTMX05944, ASTMX20318, ASTMX20204	YEAST04959
OG0001992	ASTMX04244, ASTMX09494	YEAST02679
OG0001998	ASTMX15724, ASTMX01470	YEAST00890
OG0002001	ASTMX01040, ASTMX04984	YEAST00502, YEAST03944
OG0002003	ASTMX12936, ASTMX02322, ASTMX09501	YEAST02826, YEAST03671
OG0002008	ASTMX21371, ASTMX21150	YEAST00768
OG0002010	ASTMX12934, ASTMX08578, ASTMX21425, ASTMX11376	YEAST00609
OG0002013	ASTMX05656, ASTMX18118	YEAST03040
OG0002014	ASTMX22107, ASTMX15926, ASTMX08364, ASTMX13940	YEAST02422
OG0002015	ASTMX22305, ASTMX21197	YEAST05525
OG0002025	ASTMX21209	YEAST03650
OG0002026	ASTMX08004, ASTMX05432	YEAST01247
OG0002029	ASTMX07856, ASTMX13315	YEAST02646
OG0002031	ASTMX19732, ASTMX01811	YEAST02752
OG0002032	ASTMX17188	YEAST01221
OG0002042	ASTMX12108, ASTMX12109	YEAST02880
OG0002043	ASTMX04301, ASTMX15262	YEAST04003
OG0002048	ASTMX12393, ASTMX16830, ASTMX20092, ASTMX20079, ASTMX21852, ASTMX13379, ASTMX20878, ASTMX16686, ASTMX19081, ASTMX21015, ASTMX04337, ASTMX16728, ASTMX15072, ASTMX16727, ASTMX19477, ASTMX18986, ASTMX19458, ASTMX19303, ASTMX15069, ASTMX17819, ASTMX16998, ASTMX21395, ASTMX22007, ASTMX19630, ASTMX20896, ASTMX21475, ASTMX05332, ASTMX22737, ASTMX18738, ASTMX19803, ASTMX21286, ASTMX18020, ASTMX19233	YEAST02273
OG0002059	ASTMX16881, ASTMX08569, ASTMX16470	YEAST05893, YEAST04718
OG0002062	ASTMX13242, ASTMX19992, ASTMX02071	YEAST05454
OG0002063	ASTMX14592, ASTMX08215	YEAST00838
OG0002067	ASTMX12928	YEAST03444
OG0002069	ASTMX05370, ASTMX06681, ASTMX06821	YEAST05962
OG0002073	ASTMX18638	YEAST04552
OG0002076	ASTMX09409, ASTMX19822, ASTMX20304	YEAST02206
OG0002078	ASTMX22650, ASTMX07822, ASTMX22651, ASTMX21198, ASTMX07693	YEAST06232
OG0002079	ASTMX08264, ASTMX09088	YEAST05765, YEAST00483
OG0002080	ASTMX03462, ASTMX21263	YEAST05220, YEAST04736
OG0002084	ASTMX10426, ASTMX03243, ASTMX05634	YEAST04529
OG0002087	ASTMX16781	YEAST05702
OG0002090	ASTMX16025	YEAST02246
OG0002093	ASTMX15922	YEAST02255
