Orthogroup	ASTMX	NEMVE
OG0000612	ASTMX15804	NEMVE05951
OG0000613	ASTMX03360	NEMVE22948, NEMVE10497, NEMVE12410, NEMVE07547, NEMVE08041, NEMVE06754, NEMVE10305, NEMVE24275, NEMVE00459, NEMVE10326
OG0000614	ASTMX11010	NEMVE17877, NEMVE14696, NEMVE17143, NEMVE24296, NEMVE11934, NEMVE17876
OG0000615	ASTMX21454, ASTMX20753	NEMVE07646
OG0000616	ASTMX16225	NEMVE10226
OG0000618	ASTMX02522	NEMVE19385, NEMVE10800
OG0000619	ASTMX10497, ASTMX11699, ASTMX15036, ASTMX15037, ASTMX12055, ASTMX11698, ASTMX11697	NEMVE19229, NEMVE19228, NEMVE20655
OG0000619	ASTMX11692, ASTMX15038	NEMVE10365
OG0000623	ASTMX07600	NEMVE01534
OG0000623	ASTMX07831, ASTMX20139, ASTMX15503	NEMVE08660
OG0000624	ASTMX13226, ASTMX19412, ASTMX08664	NEMVE22364
OG0000625	ASTMX11301, ASTMX11304, ASTMX11302, ASTMX16523, ASTMX16522, ASTMX11303, ASTMX14967, ASTMX11878	NEMVE09632
OG0000625	ASTMX10549	NEMVE06181, NEMVE02778, NEMVE00819
OG0000626	ASTMX00847, ASTMX01224, ASTMX06433, ASTMX01759, ASTMX01760	NEMVE09165
OG0000627	ASTMX21721	NEMVE26024, NEMVE23606
OG0000627	ASTMX00646, ASTMX01724, ASTMX02960, ASTMX07039, ASTMX06195	NEMVE06184
OG0000628	ASTMX05782, ASTMX11840, ASTMX18687	NEMVE01732
OG0000628	ASTMX03435, ASTMX03434, ASTMX12380, ASTMX18405, ASTMX15898	NEMVE14770, NEMVE01487
OG0000629	ASTMX02967	NEMVE16462
OG0000629	ASTMX18251	NEMVE07693
OG0000633	ASTMX11538	NEMVE15822
OG0000634	ASTMX01056, ASTMX12422	NEMVE11198, NEMVE11196, NEMVE09232
OG0000636	ASTMX16568, ASTMX15211, ASTMX02467, ASTMX01529, ASTMX19165, ASTMX14950	NEMVE13522
OG0000637	ASTMX21369	NEMVE11757
OG0000637	ASTMX21579, ASTMX17434	NEMVE22914
OG0000639	ASTMX07088, ASTMX03393	NEMVE13335
OG0000639	ASTMX02657, ASTMX18519, ASTMX07469	NEMVE13125, NEMVE04888
OG0000642	ASTMX04214, ASTMX12313	NEMVE06951
OG0000643	ASTMX02318, ASTMX01314	NEMVE06808
OG0000643	ASTMX20408, ASTMX05940, ASTMX03512	NEMVE10252
OG0000644	ASTMX16962, ASTMX21496, ASTMX18112, ASTMX07459	NEMVE16752, NEMVE18367, NEMVE09302, NEMVE23922, NEMVE18366
OG0000645	ASTMX12833, ASTMX02606	NEMVE09157
OG0000645	ASTMX18567, ASTMX05124	NEMVE23952
OG0000646	ASTMX06884, ASTMX16478, ASTMX02676	NEMVE08138
OG0000646	ASTMX07029, ASTMX07086, ASTMX20232	NEMVE10645
OG0000647	ASTMX17066, ASTMX19826, ASTMX06640, ASTMX12729, ASTMX12730	NEMVE14504, NEMVE21056
OG0000648	ASTMX22428, ASTMX02643	NEMVE15084
OG0000648	ASTMX15128, ASTMX02551	NEMVE22274
OG0000649	ASTMX09392, ASTMX04774, ASTMX18484, ASTMX18485, ASTMX01888	NEMVE05779
OG0000650	ASTMX12731, ASTMX05353, ASTMX08700, ASTMX08975, ASTMX20574, ASTMX08278, ASTMX16890, ASTMX00837, ASTMX13841	NEMVE00579, NEMVE08484
OG0000651	ASTMX17737, ASTMX05303, ASTMX08641	NEMVE14632
OG0000652	ASTMX06378	NEMVE23302
OG0000653	ASTMX20196, ASTMX12008	NEMVE18279
OG0000653	ASTMX16680, ASTMX08281, ASTMX18100, ASTMX03946, ASTMX02496, ASTMX13550, ASTMX18970, ASTMX13180, ASTMX06484	NEMVE23026
OG0000654	ASTMX13738, ASTMX11052, ASTMX19746, ASTMX10206, ASTMX17145, ASTMX00164	NEMVE10112
OG0000657	ASTMX12483, ASTMX19401	NEMVE12346, NEMVE25351, NEMVE21856
OG0000660	ASTMX00650, ASTMX17867	NEMVE09574
OG0000660	ASTMX14506, ASTMX05874	NEMVE22331
OG0000661	ASTMX20064, ASTMX13172, ASTMX22694, ASTMX19430, ASTMX21560, ASTMX20894, ASTMX21559, ASTMX20895, ASTMX21484, ASTMX20961, ASTMX20959, ASTMX21485, ASTMX17363, ASTMX15700, ASTMX10414, ASTMX10410, ASTMX10411	NEMVE16330, NEMVE23743
OG0000662	ASTMX17885	NEMVE13299, NEMVE13159
OG0000662	ASTMX16404, ASTMX12633, ASTMX19890, ASTMX07727	NEMVE01041
OG0000663	ASTMX22176	NEMVE12167
OG0000664	ASTMX04014, ASTMX05721, ASTMX16074, ASTMX00707	NEMVE05215
OG0000664	ASTMX05443, ASTMX20094	NEMVE23867
OG0000665	ASTMX00639, ASTMX14293, ASTMX19003, ASTMX12074, ASTMX09156, ASTMX14734, ASTMX03383	NEMVE13408, NEMVE06240
OG0000667	ASTMX20350, ASTMX23022, ASTMX21283	NEMVE23519, NEMVE25804, NEMVE01425, NEMVE25902, NEMVE01608, NEMVE05691
OG0000670	ASTMX20785, ASTMX03449, ASTMX08812, ASTMX09574, ASTMX02280, ASTMX21360, ASTMX21701, ASTMX18201	NEMVE22694
OG0000672	ASTMX06515, ASTMX05666	NEMVE12239
OG0000672	ASTMX04882	NEMVE22511
OG0000674	ASTMX09072, ASTMX11026	NEMVE08889
OG0000674	ASTMX07263, ASTMX16632, ASTMX09005	NEMVE21073, NEMVE10599
OG0000676	ASTMX00864, ASTMX18277	NEMVE24025
OG0000676	ASTMX08754, ASTMX04107, ASTMX12053, ASTMX05384	NEMVE10858, NEMVE20237, NEMVE10856
OG0000678	ASTMX01451, ASTMX04995, ASTMX12327, ASTMX19465, ASTMX12926	NEMVE13917, NEMVE20139
OG0000680	ASTMX04094, ASTMX17912, ASTMX07260, ASTMX09412	NEMVE06900, NEMVE06887, NEMVE25832
OG0000681	ASTMX16270, ASTMX14874, ASTMX04528, ASTMX09518	NEMVE03851
OG0000681	ASTMX09258, ASTMX00394	NEMVE04836
OG0000682	ASTMX11995, ASTMX12288, ASTMX10499, ASTMX07767	NEMVE17718, NEMVE16780, NEMVE07021
OG0000683	ASTMX00004, ASTMX04192	NEMVE21952
OG0000683	ASTMX14160	NEMVE09341
OG0000684	ASTMX02086, ASTMX02670, ASTMX17835, ASTMX13854	NEMVE15727, NEMVE25884, NEMVE05474
OG0000685	ASTMX19743, ASTMX06302, ASTMX05561, ASTMX15879, ASTMX18992	NEMVE02060
OG0000685	ASTMX21758	NEMVE21758
OG0000690	ASTMX00910, ASTMX12919	NEMVE04578
OG0000690	ASTMX02690	NEMVE25619
OG0000690	ASTMX17891, ASTMX22294	NEMVE08336
OG0000691	ASTMX15518	NEMVE22438
OG0000691	ASTMX17535, ASTMX19545, ASTMX15604, ASTMX00917, ASTMX18521	NEMVE12723
OG0000692	ASTMX05795	NEMVE16262, NEMVE25899, NEMVE06218, NEMVE05252, NEMVE06220, NEMVE20255
OG0000693	ASTMX01005, ASTMX05252, ASTMX09341, ASTMX22319, ASTMX13726, ASTMX10635	NEMVE08217, NEMVE08755
OG0000693	ASTMX11362	NEMVE20668, NEMVE09217
OG0000694	ASTMX03278, ASTMX14068, ASTMX09753, ASTMX09044	NEMVE18564
OG0000696	ASTMX10247	NEMVE01737
OG0000697	ASTMX20673, ASTMX15925, ASTMX22108, ASTMX19355, ASTMX01748, ASTMX13942, ASTMX09469	NEMVE14547
OG0000698	ASTMX03878	NEMVE22163, NEMVE01912, NEMVE22218
OG0000699	ASTMX12167, ASTMX03451	NEMVE13812, NEMVE21875, NEMVE05953
OG0000699	ASTMX16931, ASTMX12166	NEMVE06767, NEMVE22384, NEMVE24758
OG0000700	ASTMX14574, ASTMX08885, ASTMX10307, ASTMX02187, ASTMX22678, ASTMX06288, ASTMX10199, ASTMX22219	NEMVE20231, NEMVE20652
OG0000701	ASTMX20666, ASTMX10954, ASTMX11996, ASTMX15941	NEMVE21835
OG0000702	ASTMX18168, ASTMX02447, ASTMX15168, ASTMX00641, ASTMX14288	NEMVE17196
OG0000703	ASTMX02735, ASTMX03772, ASTMX19327	NEMVE15172
OG0000706	ASTMX06417, ASTMX00708	NEMVE06133, NEMVE16186
OG0000708	ASTMX20485, ASTMX07401	NEMVE25462
OG0000708	ASTMX01986, ASTMX04018	NEMVE24967
OG0000709	ASTMX03927, ASTMX01587, ASTMX01677, ASTMX01678, ASTMX12944	NEMVE22208
OG0000710	ASTMX11525, ASTMX00218, ASTMX09787, ASTMX01132, ASTMX21085, ASTMX15140	NEMVE10055
OG0000711	ASTMX10859, ASTMX02221, ASTMX06274, ASTMX00349, ASTMX10858	NEMVE22699
OG0000715	ASTMX14672, ASTMX18871, ASTMX22799, ASTMX19603, ASTMX07512, ASTMX20053, ASTMX05364	NEMVE04746
OG0000716	ASTMX07959, ASTMX03833, ASTMX05778	NEMVE01624
OG0000717	ASTMX09731, ASTMX10325, ASTMX00509, ASTMX05729, ASTMX14194, ASTMX15771, ASTMX00510	NEMVE21831
OG0000718	ASTMX00156, ASTMX21497, ASTMX08739, ASTMX06759, ASTMX18042, ASTMX01851, ASTMX22450	NEMVE14726, NEMVE25058
OG0000720	ASTMX08205, ASTMX06231	NEMVE07453
OG0000721	ASTMX09355, ASTMX10626	NEMVE22360
OG0000721	ASTMX01119, ASTMX09098, ASTMX11905, ASTMX16534	NEMVE25732
OG0000722	ASTMX11006, ASTMX22801, ASTMX12541, ASTMX04707, ASTMX03237, ASTMX11068, ASTMX03598, ASTMX02154, ASTMX08313	NEMVE02310
OG0000723	ASTMX06370, ASTMX00757, ASTMX03618	NEMVE02161, NEMVE02153
OG0000724	ASTMX14147, ASTMX14520, ASTMX08940, ASTMX16541	NEMVE05669
OG0000725	ASTMX17945, ASTMX15661, ASTMX11197	NEMVE13886
OG0000725	ASTMX12603, ASTMX18944	NEMVE15404, NEMVE03108
OG0000726	ASTMX13772, ASTMX13000, ASTMX04188, ASTMX09401	NEMVE24264
OG0000730	ASTMX20397, ASTMX07875, ASTMX13260	NEMVE15279
OG0000731	ASTMX02541, ASTMX17854, ASTMX16715, ASTMX02722	NEMVE14724
OG0000732	ASTMX04110, ASTMX08757, ASTMX08756	NEMVE16239
OG0000732	ASTMX19433, ASTMX11592, ASTMX05482	NEMVE22346
OG0000733	ASTMX13523, ASTMX10818, ASTMX05629, ASTMX01287	NEMVE13174
OG0000733	ASTMX12275, ASTMX15113, ASTMX04231	NEMVE00072
OG0000734	ASTMX19512, ASTMX21022, ASTMX19965, ASTMX01932, ASTMX22860	NEMVE19740
OG0000735	ASTMX18670, ASTMX15914, ASTMX01829, ASTMX03219	NEMVE14467
OG0000737	ASTMX07624, ASTMX11985	NEMVE10658
OG0000740	ASTMX14537, ASTMX06828, ASTMX20426, ASTMX10405	NEMVE01913
OG0000741	ASTMX17362	NEMVE19698, NEMVE25753
OG0000743	ASTMX20693, ASTMX11433, ASTMX04870	NEMVE10602, NEMVE15509, NEMVE05453
OG0000744	ASTMX02577, ASTMX08430, ASTMX13118, ASTMX02655, ASTMX15516	NEMVE09152
OG0000745	ASTMX10595	NEMVE09518, NEMVE18143
OG0000746	ASTMX17663	NEMVE08669
OG0000746	ASTMX07607	NEMVE08249, NEMVE17603
OG0000748	ASTMX16043	NEMVE13110
OG0000749	ASTMX16104, ASTMX05800, ASTMX02758, ASTMX16105, ASTMX04430	NEMVE13534
OG0000750	ASTMX00934, ASTMX08372	NEMVE05904, NEMVE11347
OG0000751	ASTMX20516, ASTMX04152, ASTMX15696	NEMVE06350
OG0000751	ASTMX19712, ASTMX07901	NEMVE22234, NEMVE26010
OG0000752	ASTMX06480, ASTMX04128	NEMVE15527
OG0000753	ASTMX22178, ASTMX21967	NEMVE09279, NEMVE20008
OG0000753	ASTMX20031, ASTMX02344, ASTMX11178	NEMVE09763
OG0000755	ASTMX12763, ASTMX09944, ASTMX09713, ASTMX10144	NEMVE04854
OG0000756	ASTMX17607	NEMVE17524
OG0000756	ASTMX08072	NEMVE07841, NEMVE00130, NEMVE08531, NEMVE07837, NEMVE07856, NEMVE07852, NEMVE05305, NEMVE00351, NEMVE07843, NEMVE07857, NEMVE07838, NEMVE05291, NEMVE00639, NEMVE08316
OG0000757	ASTMX17086	NEMVE25201
OG0000757	ASTMX05445	NEMVE05970
OG0000759	ASTMX14677, ASTMX13249, ASTMX18116, ASTMX06445, ASTMX15465, ASTMX13612, ASTMX13613	NEMVE07127, NEMVE15354
OG0000761	ASTMX04074, ASTMX18480, ASTMX02391	NEMVE07056
OG0000762	ASTMX05730, ASTMX00651	NEMVE08946
OG0000764	ASTMX06499, ASTMX03308	NEMVE08398, NEMVE01257
OG0000765	ASTMX18648, ASTMX05048	NEMVE15020
OG0000766	ASTMX11015, ASTMX06840, ASTMX04918, ASTMX08201	NEMVE13890
OG0000767	ASTMX03288, ASTMX02324, ASTMX18659, ASTMX03804	NEMVE21839
OG0000768	ASTMX07141, ASTMX00777, ASTMX22777, ASTMX20032	NEMVE24837, NEMVE20124
OG0000772	ASTMX21784	NEMVE14663, NEMVE13205
OG0000772	ASTMX06747	NEMVE10521, NEMVE10515, NEMVE14130, NEMVE06923
OG0000774	ASTMX06458	NEMVE18724
OG0000774	ASTMX12899	NEMVE06617
OG0000774	ASTMX04044	NEMVE14955, NEMVE01618
OG0000775	ASTMX08143, ASTMX19025	NEMVE13607, NEMVE14906
OG0000776	ASTMX07839, ASTMX16276, ASTMX00140, ASTMX08791, ASTMX16952	NEMVE25221, NEMVE11470, NEMVE23261
OG0000777	ASTMX11385	NEMVE21910, NEMVE15143
OG0000778	ASTMX13835, ASTMX20627, ASTMX08752, ASTMX06889, ASTMX05232, ASTMX09431, ASTMX20492, ASTMX18216, ASTMX05703	NEMVE13753
OG0000779	ASTMX03346	NEMVE24334
OG0000779	ASTMX03437, ASTMX00687, ASTMX11032, ASTMX06141	NEMVE02313
OG0000780	ASTMX01363	NEMVE09488
OG0000780	ASTMX05871	NEMVE05870
OG0000781	ASTMX01378	NEMVE23221, NEMVE21745, NEMVE06147, NEMVE10644
OG0000782	ASTMX19387, ASTMX06219, ASTMX00254	NEMVE10772
OG0000784	ASTMX13104, ASTMX16895, ASTMX00816, ASTMX16655, ASTMX03185, ASTMX16934, ASTMX19363, ASTMX06706	NEMVE16267
OG0000787	ASTMX18588, ASTMX20527, ASTMX20528, ASTMX03662, ASTMX06610, ASTMX03035, ASTMX22236	NEMVE12098
OG0000788	ASTMX03595, ASTMX18586	NEMVE01862
OG0000788	ASTMX05072, ASTMX10651, ASTMX11933, ASTMX02454	NEMVE24569
OG0000789	ASTMX05744, ASTMX05742, ASTMX21288	NEMVE07737, NEMVE03438, NEMVE04012, NEMVE19529
OG0000791	ASTMX13100, ASTMX11966, ASTMX00979, ASTMX16746, ASTMX17098	NEMVE13487
OG0000792	ASTMX01915	NEMVE08948
OG0000793	ASTMX14223, ASTMX10357, ASTMX01727, ASTMX02233, ASTMX02443, ASTMX05161, ASTMX20115	NEMVE19406
OG0000794	ASTMX18972	NEMVE13875
OG0000795	ASTMX15720	NEMVE18602
OG0000796	ASTMX20326	NEMVE12330
OG0000797	ASTMX20588, ASTMX19577	NEMVE07332, NEMVE20914
OG0000798	ASTMX21193, ASTMX11678, ASTMX10211, ASTMX11679, ASTMX06892	NEMVE05537
OG0000799	ASTMX17390, ASTMX14818, ASTMX00307, ASTMX10072, ASTMX09971, ASTMX14456, ASTMX15426	NEMVE24041
OG0000800	ASTMX03211	NEMVE06468
OG0000802	ASTMX06019, ASTMX21699, ASTMX11410, ASTMX02887, ASTMX04926, ASTMX14181, ASTMX13825, ASTMX08074, ASTMX21722, ASTMX16382, ASTMX05118, ASTMX11346	NEMVE11136, NEMVE06054
OG0000803	ASTMX01085, ASTMX17361	NEMVE22189
OG0000805	ASTMX10697, ASTMX13799, ASTMX19764, ASTMX17903, ASTMX12444, ASTMX09333, ASTMX07001, ASTMX16652	NEMVE08735
OG0000809	ASTMX06550	NEMVE12321
OG0000810	ASTMX22884, ASTMX14057	NEMVE18390
OG0000810	ASTMX12714, ASTMX07516, ASTMX17120	NEMVE02291
OG0000811	ASTMX16565	NEMVE21518
OG0000813	ASTMX04213	NEMVE25754, NEMVE22200, NEMVE24635
OG0000814	ASTMX15594, ASTMX15595	NEMVE06776, NEMVE16660
OG0000815	ASTMX05918	NEMVE13365
OG0000815	ASTMX08658	NEMVE13499
OG0000816	ASTMX01604, ASTMX07613, ASTMX14361, ASTMX03674, ASTMX12133	NEMVE14127, NEMVE00812
OG0000817	ASTMX22057	NEMVE14686
OG0000817	ASTMX12294	NEMVE01689, NEMVE21825
OG0000817	ASTMX19659	NEMVE14311
OG0000818	ASTMX15406	NEMVE25555
OG0000818	ASTMX12922, ASTMX22575, ASTMX07670, ASTMX01486, ASTMX09066	NEMVE08706
OG0000819	ASTMX14488	NEMVE14350
OG0000819	ASTMX05872, ASTMX12231	NEMVE07543, NEMVE14834
OG0000820	ASTMX12576, ASTMX21202, ASTMX17705, ASTMX08673, ASTMX00527, ASTMX23035, ASTMX11792, ASTMX15475	NEMVE08902
OG0000822	ASTMX12417, ASTMX10309, ASTMX03593, ASTMX12605	NEMVE07227
OG0000823	ASTMX19476	NEMVE00095
OG0000824	ASTMX19096, ASTMX19094, ASTMX19092, ASTMX12217, ASTMX19091, ASTMX12216, ASTMX19095	NEMVE05752
OG0000825	ASTMX14867, ASTMX09792	NEMVE07795, NEMVE11350
OG0000825	ASTMX19849, ASTMX06289	NEMVE06157, NEMVE15274, NEMVE01111, NEMVE19057
OG0000826	ASTMX19669	NEMVE01532, NEMVE25209
OG0000827	ASTMX03408, ASTMX03367	NEMVE06012
OG0000828	ASTMX13643	NEMVE13102, NEMVE13594
OG0000828	ASTMX19023	NEMVE15094
OG0000829	ASTMX20116, ASTMX18197, ASTMX04946, ASTMX13633, ASTMX12842, ASTMX02806, ASTMX14699, ASTMX09961, ASTMX19415, ASTMX04647, ASTMX18505	NEMVE08791
OG0000832	ASTMX15114, ASTMX12276, ASTMX04850	NEMVE01204, NEMVE18227, NEMVE20901, NEMVE16417, NEMVE04715
OG0000833	ASTMX16676, ASTMX17036, ASTMX20537, ASTMX17998	NEMVE18727
OG0000834	ASTMX03780	NEMVE05965
OG0000835	ASTMX11779	NEMVE10452
OG0000835	ASTMX01087, ASTMX09001, ASTMX07115, ASTMX07230	NEMVE08598, NEMVE20600
OG0000836	ASTMX14295, ASTMX00637, ASTMX02859	NEMVE01499
OG0000837	ASTMX04294, ASTMX04295, ASTMX04140, ASTMX07602, ASTMX17291	NEMVE25541
OG0000838	ASTMX09271, ASTMX02044, ASTMX09270, ASTMX02043, ASTMX16316	NEMVE09615, NEMVE02207, NEMVE03582, NEMVE04654, NEMVE17040
OG0000841	ASTMX20424, ASTMX10887, ASTMX01216, ASTMX12144	NEMVE05492
OG0000842	ASTMX13270, ASTMX14600, ASTMX21767, ASTMX08674, ASTMX22831, ASTMX05913, ASTMX19115, ASTMX09604	NEMVE20517, NEMVE23509, NEMVE25014, NEMVE03321, NEMVE17616, NEMVE24628, NEMVE17617
OG0000844	ASTMX05225, ASTMX06886, ASTMX11513, ASTMX04355, ASTMX10336, ASTMX04359	NEMVE07470, NEMVE07462
OG0000845	ASTMX05855	NEMVE19954, NEMVE05692
OG0000847	ASTMX04476	NEMVE07778
OG0000847	ASTMX13199, ASTMX17255	NEMVE08888
OG0000848	ASTMX13979, ASTMX14345, ASTMX04742	NEMVE21784
OG0000848	ASTMX00257, ASTMX06224, ASTMX13366	NEMVE13752
OG0000849	ASTMX14573, ASTMX21951, ASTMX13338, ASTMX16587, ASTMX06284	NEMVE14809
OG0000850	ASTMX16693, ASTMX02820	NEMVE15099
OG0000850	ASTMX12095	NEMVE21917
OG0000851	ASTMX09789, ASTMX17144, ASTMX08263	NEMVE23273
OG0000852	ASTMX14218, ASTMX09079, ASTMX14219	NEMVE25782
OG0000852	ASTMX01973, ASTMX04325	NEMVE07789
OG0000853	ASTMX09686, ASTMX12533, ASTMX13818	NEMVE23651
OG0000854	ASTMX08448, ASTMX07266, ASTMX08447	NEMVE02919, NEMVE09672, NEMVE06236, NEMVE07456
OG0000856	ASTMX08887, ASTMX08886	NEMVE05473, NEMVE14626, NEMVE21694
OG0000857	ASTMX18737, ASTMX15778, ASTMX01089, ASTMX09003	NEMVE18201
OG0000858	ASTMX14432	NEMVE13289
OG0000858	ASTMX08402	NEMVE00856, NEMVE05037
OG0000858	ASTMX03492	NEMVE05877
OG0000859	ASTMX18557, ASTMX14932, ASTMX18996, ASTMX04905, ASTMX12394, ASTMX18622, ASTMX17513	NEMVE19193, NEMVE00437
OG0000860	ASTMX22579, ASTMX13435, ASTMX16785, ASTMX21569, ASTMX19755	NEMVE23955, NEMVE13259
OG0000861	ASTMX09840, ASTMX14709	NEMVE21201, NEMVE01293, NEMVE09770, NEMVE15469, NEMVE06681, NEMVE09391
OG0000863	ASTMX14464, ASTMX10280	NEMVE07030, NEMVE18750, NEMVE13303, NEMVE13302, NEMVE13474, NEMVE06880
OG0000866	ASTMX16257, ASTMX10404	NEMVE20292, NEMVE18737, NEMVE19120, NEMVE19080, NEMVE20220, NEMVE19768
OG0000868	ASTMX15068	NEMVE07048
OG0000868	ASTMX16949	NEMVE05531
OG0000869	ASTMX05238	NEMVE07859
OG0000869	ASTMX03029, ASTMX03031, ASTMX03030	NEMVE23299
OG0000870	ASTMX17331, ASTMX18789	NEMVE02461, NEMVE01574
OG0000871	ASTMX08820	NEMVE16871
OG0000871	ASTMX22315	NEMVE14071
OG0000872	ASTMX20999	NEMVE14190
OG0000873	ASTMX18538	NEMVE10811
OG0000873	ASTMX22220	NEMVE11481
OG0000874	ASTMX01664, ASTMX03695, ASTMX11238, ASTMX21323	NEMVE13256
OG0000874	ASTMX11237	NEMVE15310
OG0000874	ASTMX03655, ASTMX07423	NEMVE13222, NEMVE18182, NEMVE17061, NEMVE18841, NEMVE13223, NEMVE01986, NEMVE02990, NEMVE11626
OG0000875	ASTMX10227, ASTMX22128	NEMVE12865, NEMVE19619
OG0000875	ASTMX15020	NEMVE14079
OG0000877	ASTMX02085	NEMVE16415
OG0000878	ASTMX02607, ASTMX14927	NEMVE02420
OG0000879	ASTMX19602, ASTMX05400	NEMVE13129
OG0000880	ASTMX19119, ASTMX05557, ASTMX08534, ASTMX10778	NEMVE13288
OG0000881	ASTMX08736, ASTMX09138	NEMVE13265
OG0000881	ASTMX09646, ASTMX05888	NEMVE14845
OG0000882	ASTMX13018, ASTMX12618, ASTMX07464, ASTMX13019, ASTMX05010	NEMVE02007
OG0000887	ASTMX05512, ASTMX10768, ASTMX16791	NEMVE10146
OG0000888	ASTMX14224, ASTMX11928	NEMVE10813
OG0000888	ASTMX18926	NEMVE11848
OG0000889	ASTMX01303, ASTMX13535	NEMVE22565
OG0000889	ASTMX17253, ASTMX13198, ASTMX13987, ASTMX20205	NEMVE14419
OG0000890	ASTMX13028, ASTMX21054, ASTMX07291	NEMVE06371, NEMVE00333, NEMVE16346
OG0000893	ASTMX16839, ASTMX15713, ASTMX05174, ASTMX05175, ASTMX05176, ASTMX15714	NEMVE20101, NEMVE02240, NEMVE02067, NEMVE02075
OG0000894	ASTMX14915, ASTMX19186	NEMVE23274
OG0000894	ASTMX07726, ASTMX19891, ASTMX11065	NEMVE14617
OG0000896	ASTMX08984	NEMVE21907
OG0000896	ASTMX03839, ASTMX20490	NEMVE10977
OG0000897	ASTMX00619	NEMVE06224, NEMVE12475
OG0000897	ASTMX00999, ASTMX08838	NEMVE14979
OG0000898	ASTMX07406, ASTMX18529	NEMVE14546, NEMVE21727
OG0000899	ASTMX04348, ASTMX20253, ASTMX02728, ASTMX04745, ASTMX18004	NEMVE18761
OG0000904	ASTMX09306, ASTMX14881, ASTMX12135	NEMVE08753
OG0000906	ASTMX22382	NEMVE08831, NEMVE02278, NEMVE03808
OG0000907	ASTMX06533, ASTMX02843	NEMVE00986
OG0000909	ASTMX14114, ASTMX08183, ASTMX18935, ASTMX02527	NEMVE10272
OG0000911	ASTMX10186, ASTMX20068, ASTMX11057, ASTMX07865, ASTMX06052	NEMVE24020
OG0000912	ASTMX10500, ASTMX10501, ASTMX16615	NEMVE23980
OG0000912	ASTMX13041, ASTMX04397	NEMVE23705
OG0000913	ASTMX04731, ASTMX14355	NEMVE23286, NEMVE05585, NEMVE00499, NEMVE04717
OG0000914	ASTMX10770, ASTMX04016, ASTMX01787, ASTMX05533, ASTMX00615	NEMVE08606
OG0000915	ASTMX19052, ASTMX06403, ASTMX16161, ASTMX09477, ASTMX05555, ASTMX07212	NEMVE05638
OG0000916	ASTMX19855, ASTMX19856, ASTMX19853, ASTMX12970, ASTMX19854, ASTMX20080, ASTMX20081, ASTMX15070, ASTMX15071, ASTMX18988, ASTMX18989, ASTMX18985, ASTMX18987, ASTMX19857, ASTMX18220, ASTMX20067, ASTMX18221, ASTMX16683, ASTMX13125, ASTMX18305, ASTMX18615	NEMVE00760, NEMVE23155, NEMVE15635
OG0000921	ASTMX13599	NEMVE04805
OG0000921	ASTMX02073	NEMVE19737, NEMVE09442
OG0000925	ASTMX10561	NEMVE21937, NEMVE05629, NEMVE00068
OG0000925	ASTMX00132, ASTMX00555	NEMVE22442, NEMVE00338
OG0000926	ASTMX09727	NEMVE13988
OG0000928	ASTMX22584, ASTMX18625, ASTMX17517, ASTMX00645, ASTMX01726	NEMVE08415, NEMVE20627
OG0000929	ASTMX04114, ASTMX07004, ASTMX06184, ASTMX16944, ASTMX10239, ASTMX04285	NEMVE10278
OG0000930	ASTMX02277, ASTMX03926, ASTMX03925	NEMVE06499, NEMVE09880, NEMVE16667, NEMVE11111
OG0000931	ASTMX03676	NEMVE13552
OG0000932	ASTMX11726	NEMVE15050, NEMVE02393
OG0000933	ASTMX03259, ASTMX06999, ASTMX13050, ASTMX05807	NEMVE25450, NEMVE09603
OG0000933	ASTMX22463	NEMVE12353
OG0000934	ASTMX09810, ASTMX09922	NEMVE09369
OG0000934	ASTMX09273, ASTMX08879, ASTMX19792	NEMVE07036
OG0000935	ASTMX04934, ASTMX18192, ASTMX02617, ASTMX18423, ASTMX09074, ASTMX14216, ASTMX00813	NEMVE24478, NEMVE06639
OG0000936	ASTMX15303, ASTMX09443	NEMVE05234, NEMVE18875, NEMVE23076, NEMVE15700, NEMVE23217, NEMVE18236, NEMVE04950, NEMVE18876
OG0000943	ASTMX21773	NEMVE15785, NEMVE08924
OG0000944	ASTMX07936, ASTMX13997, ASTMX11801, ASTMX01164	NEMVE07708
OG0000945	ASTMX00204, ASTMX12524, ASTMX16834	NEMVE22316, NEMVE22428
OG0000946	ASTMX14434	NEMVE11477
OG0000946	ASTMX18936, ASTMX00332, ASTMX10860	NEMVE07731
OG0000947	ASTMX10737, ASTMX06666, ASTMX16756, ASTMX11945	NEMVE04758
OG0000947	ASTMX05367, ASTMX22371, ASTMX07513, ASTMX12713	NEMVE07474
OG0000949	ASTMX15084, ASTMX08824, ASTMX21187, ASTMX22481, ASTMX19646, ASTMX11332, ASTMX19844, ASTMX08182	NEMVE24705, NEMVE16573, NEMVE25704, NEMVE24321
OG0000950	ASTMX05864, ASTMX09628, ASTMX16099, ASTMX18311	NEMVE08112
OG0000951	ASTMX01864, ASTMX01863, ASTMX22222, ASTMX05129	NEMVE21998
OG0000952	ASTMX04103, ASTMX16768	NEMVE04659
OG0000952	ASTMX08010, ASTMX16769	NEMVE02164
OG0000953	ASTMX18226, ASTMX12548, ASTMX06834, ASTMX00739	NEMVE12932
OG0000954	ASTMX15027	NEMVE06460
OG0000954	ASTMX21854	NEMVE05247, NEMVE12295
OG0000955	ASTMX18471, ASTMX19384	NEMVE14901
