Orthogroup	CAPO3	MOUSE
OG0000986	CAPO305058	MOUSE11562, MOUSE40286, MOUSE40285, MOUSE11563, MOUSE40288, MOUSE40283, MOUSE40287, MOUSE40284
OG0000987	CAPO306365	MOUSE08586, MOUSE08587, MOUSE14584, MOUSE01245, MOUSE08588, MOUSE08591, MOUSE01247
OG0000992	CAPO308244	MOUSE32207, MOUSE06252, MOUSE32208, MOUSE34367, MOUSE34366, MOUSE34368, MOUSE34369
OG0000993	CAPO303930	MOUSE22406
OG0000994	CAPO306999	MOUSE32211, MOUSE32210
OG0000996	CAPO304603	MOUSE54534, MOUSE12585, MOUSE54538, MOUSE54537, MOUSE54531, MOUSE54525, MOUSE54529, MOUSE54530, MOUSE54526, MOUSE54532, MOUSE54536, MOUSE54533, MOUSE54524, MOUSE54528, MOUSE54527, MOUSE54539, MOUSE12587, MOUSE54540, MOUSE12586, MOUSE12583, MOUSE21790, MOUSE21789, MOUSE21792, MOUSE21793, MOUSE21791
OG0000997	CAPO306501	MOUSE45397, MOUSE45388, MOUSE45389, MOUSE45393, MOUSE45392, MOUSE45390, MOUSE45394, MOUSE45398, MOUSE45391, MOUSE45395, MOUSE45400, MOUSE45399, MOUSE45396, MOUSE45401
OG0000999	CAPO303484, CAPO302236	MOUSE44063, MOUSE19949, MOUSE14460
OG0001006	CAPO308145	MOUSE46161, MOUSE46160, MOUSE46159, MOUSE10545, MOUSE01475, MOUSE01476, MOUSE33637, MOUSE33638
OG0001009	CAPO305830	MOUSE00157, MOUSE34374, MOUSE00156
OG0001015	CAPO304771	MOUSE14128, MOUSE14129, MOUSE14127, MOUSE02890, MOUSE02889, MOUSE38510, MOUSE38509, MOUSE38496, MOUSE38508, MOUSE38498, MOUSE38502, MOUSE38497, MOUSE38505
OG0001016	CAPO300038	MOUSE18875, MOUSE18878, MOUSE18877
OG0001016	CAPO302596	MOUSE39644, MOUSE39646, MOUSE39647
OG0001018	CAPO305732	MOUSE08070, MOUSE08069, MOUSE08067
OG0001018	CAPO300643	MOUSE08068
OG0001024	CAPO300862	MOUSE31611, MOUSE31612, MOUSE31615, MOUSE31609, MOUSE31610, MOUSE37115, MOUSE19217, MOUSE01002, MOUSE54809, MOUSE54810
OG0001033	CAPO305083	MOUSE36688, MOUSE36687, MOUSE40431, MOUSE40429
OG0001033	CAPO303016	MOUSE40432
OG0001033	CAPO300376	MOUSE33551, MOUSE33552, MOUSE32234, MOUSE01529
OG0001036	CAPO301917	MOUSE28929, MOUSE28928, MOUSE28925, MOUSE09303, MOUSE28927, MOUSE28926
OG0001037	CAPO306107	MOUSE25630, MOUSE25632, MOUSE25634, MOUSE25631, MOUSE25633, MOUSE31738, MOUSE31741, MOUSE31740, MOUSE31739, MOUSE31743, MOUSE31742
OG0001039	CAPO305080	MOUSE15335, MOUSE15338, MOUSE15332, MOUSE15333, MOUSE15337, MOUSE15336, MOUSE15334, MOUSE01752, MOUSE01750, MOUSE01751, MOUSE40680, MOUSE40681, MOUSE15341, MOUSE15342, MOUSE15340, MOUSE15339
OG0001042	CAPO301530	MOUSE55167, MOUSE55166, MOUSE55164, MOUSE55165, MOUSE40726, MOUSE40728, MOUSE40729, MOUSE40727, MOUSE41292, MOUSE41290, MOUSE41291
OG0001044	CAPO305401, CAPO306389	MOUSE44911, MOUSE44912, MOUSE19768, MOUSE19766, MOUSE19767, MOUSE19142, MOUSE19143, MOUSE19144
OG0001046	CAPO304357	MOUSE16970, MOUSE14166, MOUSE14168, MOUSE14167, MOUSE14165, MOUSE44312, MOUSE44313, MOUSE06289, MOUSE06290, MOUSE06286, MOUSE06285, MOUSE06288
OG0001048	CAPO306868	MOUSE40596, MOUSE40597, MOUSE40595, MOUSE11458, MOUSE11459, MOUSE11457, MOUSE36981, MOUSE36982, MOUSE36983, MOUSE11460
OG0001049	CAPO306151	MOUSE06906, MOUSE06907
OG0001049	CAPO305769	MOUSE52326, MOUSE52325, MOUSE34867, MOUSE34863, MOUSE34865, MOUSE34864, MOUSE34866, MOUSE34868
OG0001050	CAPO306892	MOUSE44745
OG0001050	CAPO306760	MOUSE18063, MOUSE44746, MOUSE44744, MOUSE30206, MOUSE30205
OG0001060	CAPO307547, CAPO305773, CAPO307224, CAPO305772, CAPO301879	MOUSE54889, MOUSE54888
OG0001060	CAPO302777	MOUSE14270
OG0001062	CAPO300111	MOUSE47370, MOUSE47371, MOUSE47372, MOUSE31785, MOUSE47367, MOUSE31787, MOUSE31788, MOUSE31786, MOUSE31789
OG0001066	CAPO305156	MOUSE40015, MOUSE31058, MOUSE31059, MOUSE52782, MOUSE52781, MOUSE31057, MOUSE06657
OG0001072	CAPO304331	MOUSE37374, MOUSE37375, MOUSE39399
OG0001073	CAPO307880	MOUSE19348, MOUSE19347, MOUSE19349, MOUSE19345, MOUSE19346, MOUSE54847, MOUSE54846, MOUSE54845, MOUSE12977, MOUSE12979, MOUSE12976, MOUSE12978
OG0001075	CAPO305658	MOUSE09043, MOUSE06818, MOUSE06819, MOUSE06820, MOUSE06821
OG0001076	CAPO306580	MOUSE38870, MOUSE38871, MOUSE38872, MOUSE36450, MOUSE36452, MOUSE36451, MOUSE36453, MOUSE36454
OG0001078	CAPO300211	MOUSE14310, MOUSE17245, MOUSE27022, MOUSE27027
OG0001082	CAPO306944	MOUSE14728, MOUSE22504, MOUSE22503, MOUSE14725, MOUSE14727, MOUSE14726
OG0001083	CAPO306339	MOUSE40227, MOUSE00912, MOUSE00913, MOUSE19180, MOUSE12820, MOUSE12819, MOUSE40225, MOUSE40226
OG0001085	CAPO305936	MOUSE40824, MOUSE40823, MOUSE40825, MOUSE40826, MOUSE40827, MOUSE40829, MOUSE53553, MOUSE53556, MOUSE53552, MOUSE53551, MOUSE39040, MOUSE39039, MOUSE18292, MOUSE18283, MOUSE18291, MOUSE18285
OG0001092	CAPO303664	MOUSE30127, MOUSE29822, MOUSE30125, MOUSE30123, MOUSE30126, MOUSE30124
OG0001095	CAPO303064	MOUSE02421, MOUSE02420, MOUSE23369, MOUSE23364, MOUSE02408, MOUSE02419, MOUSE02417, MOUSE02410, MOUSE02413, MOUSE02415, MOUSE02412, MOUSE02418, MOUSE23367, MOUSE23365, MOUSE23371, MOUSE23370, MOUSE23366, MOUSE53105, MOUSE53107, MOUSE53109, MOUSE53106, MOUSE53110, MOUSE23368
OG0001101	CAPO301529	MOUSE41244, MOUSE41246, MOUSE41245, MOUSE41243
OG0001104	CAPO306923	MOUSE27676, MOUSE27677, MOUSE13548, MOUSE34311, MOUSE34309, MOUSE34310, MOUSE35692, MOUSE35691, MOUSE35688, MOUSE35687, MOUSE35689, MOUSE35690
OG0001106	CAPO307850	MOUSE44590, MOUSE44591, MOUSE14494
OG0001108	CAPO300863	MOUSE14807, MOUSE38129, MOUSE38128
OG0001113	CAPO304589	MOUSE06432
OG0001116	CAPO303103	MOUSE05309, MOUSE26174, MOUSE05315, MOUSE25078, MOUSE05311, MOUSE05316, MOUSE05318, MOUSE05312, MOUSE05314, MOUSE05321, MOUSE05317, MOUSE05313, MOUSE05320, MOUSE05310
OG0001120	CAPO300555	MOUSE03485, MOUSE00736, MOUSE53859, MOUSE36808
OG0001121	CAPO305030	MOUSE16615, MOUSE01274, MOUSE01275, MOUSE16614, MOUSE16616, MOUSE01272
OG0001123	CAPO305010	MOUSE52428, MOUSE52427, MOUSE52429
OG0001123	CAPO307047	MOUSE52430
OG0001124	CAPO307326	MOUSE06528, MOUSE06527, MOUSE06526, MOUSE53543, MOUSE53521, MOUSE53533, MOUSE53525, MOUSE53529, MOUSE53532, MOUSE53519, MOUSE53542, MOUSE53524, MOUSE53530, MOUSE53536, MOUSE53535, MOUSE53523, MOUSE53527, MOUSE53528, MOUSE53534, MOUSE53522, MOUSE53544, MOUSE53545, MOUSE53546
OG0001126	CAPO301067	MOUSE04156, MOUSE04157
OG0001126	CAPO308119	MOUSE29593, MOUSE29594
OG0001128	CAPO301710	MOUSE08081, MOUSE08083, MOUSE08084, MOUSE08085, MOUSE08082, MOUSE42773, MOUSE24638, MOUSE24639, MOUSE24641, MOUSE24642, MOUSE24646, MOUSE24644, MOUSE24640, MOUSE24645, MOUSE24643
OG0001129	CAPO306230	MOUSE49537, MOUSE49538, MOUSE32104, MOUSE08951, MOUSE08950
OG0001130	CAPO305636	MOUSE23183, MOUSE23181, MOUSE23179, MOUSE23180, MOUSE23178, MOUSE23182
OG0001132	CAPO303538	MOUSE20734, MOUSE20732, MOUSE20733
OG0001133	CAPO302577	MOUSE17666, MOUSE17665
OG0001133	CAPO300360	MOUSE10581
OG0001134	CAPO304261	MOUSE45585, MOUSE45586, MOUSE45589, MOUSE45473, MOUSE45481, MOUSE45482, MOUSE45588, MOUSE45587, MOUSE06312, MOUSE06311, MOUSE38657
OG0001135	CAPO304787	MOUSE05099, MOUSE17160, MOUSE17018
OG0001136	CAPO301949	MOUSE01519, MOUSE01518, MOUSE19515, MOUSE51766, MOUSE51761, MOUSE51768, MOUSE51767, MOUSE51763, MOUSE51762
OG0001137	CAPO308164	MOUSE43319, MOUSE43318, MOUSE43321, MOUSE43320, MOUSE43322, MOUSE18704, MOUSE18705, MOUSE18703
OG0001139	CAPO300537	MOUSE17307, MOUSE17308, MOUSE14337, MOUSE14338, MOUSE47081, MOUSE47084, MOUSE47083, MOUSE47085, MOUSE47082
OG0001140	CAPO308326	MOUSE13457, MOUSE34019, MOUSE06768, MOUSE06770, MOUSE34122
OG0001142	CAPO304790	MOUSE20269, MOUSE20265, MOUSE20263, MOUSE20266, MOUSE20264
OG0001143	CAPO304300	MOUSE39141, MOUSE51998, MOUSE51999, MOUSE52002, MOUSE52001, MOUSE52000, MOUSE51997, MOUSE32545, MOUSE30698, MOUSE30699, MOUSE32546
OG0001144	CAPO307577	MOUSE39833, MOUSE14867, MOUSE14868, MOUSE14873, MOUSE14874, MOUSE14871, MOUSE14869, MOUSE14872, MOUSE26472, MOUSE26474, MOUSE26475, MOUSE26469, MOUSE26468, MOUSE26470, MOUSE26471, MOUSE26473, MOUSE39831, MOUSE39830, MOUSE39832
OG0001146	CAPO300511	MOUSE15550, MOUSE15549, MOUSE15547, MOUSE15548, MOUSE15551, MOUSE15552, MOUSE15553, MOUSE15554, MOUSE35011, MOUSE35010, MOUSE35009, MOUSE35008, MOUSE35006, MOUSE35007, MOUSE35012, MOUSE04052, MOUSE04050, MOUSE04051, MOUSE04053
OG0001148	CAPO302512	MOUSE53365
OG0001149	CAPO305549	MOUSE17721, MOUSE17720, MOUSE17719, MOUSE31773, MOUSE31774
OG0001156	CAPO306962	MOUSE14565, MOUSE14566, MOUSE14560, MOUSE14564, MOUSE14562, MOUSE14568, MOUSE14567, MOUSE14561, MOUSE14563, MOUSE05676, MOUSE05671, MOUSE05675, MOUSE05672, MOUSE06929, MOUSE06928, MOUSE06927, MOUSE06930, MOUSE06931, MOUSE23041, MOUSE23040
OG0001157	CAPO304789	MOUSE18647
OG0001158	CAPO302639	MOUSE28956, MOUSE28955, MOUSE28958, MOUSE28961, MOUSE28960, MOUSE28959, MOUSE19682, MOUSE19683, MOUSE28962
OG0001160	CAPO304743	MOUSE01861, MOUSE01864, MOUSE01863, MOUSE01866, MOUSE01865, MOUSE01862, MOUSE31120, MOUSE31119, MOUSE31121, MOUSE01860
OG0001161	CAPO301112	MOUSE11704, MOUSE51823, MOUSE51825, MOUSE51822, MOUSE51824, MOUSE51821, MOUSE32420, MOUSE32421, MOUSE32419
OG0001163	CAPO301684, CAPO307755, CAPO304886	MOUSE21150, MOUSE21152, MOUSE21149, MOUSE21151
OG0001167	CAPO307849	MOUSE08062, MOUSE08061, MOUSE08060, MOUSE08059, MOUSE08058, MOUSE03052
OG0001168	CAPO301546	MOUSE08773, MOUSE08775, MOUSE08772, MOUSE28772, MOUSE28774, MOUSE28776, MOUSE28778, MOUSE28777, MOUSE49342, MOUSE28775, MOUSE28773, MOUSE49343, MOUSE49344
OG0001169	CAPO301751	MOUSE45327, MOUSE45328, MOUSE45326, MOUSE45332, MOUSE45333, MOUSE45331, MOUSE45330, MOUSE45329, MOUSE50165, MOUSE50167, MOUSE50164, MOUSE50163, MOUSE50166
OG0001170	CAPO302766	MOUSE52116, MOUSE16457, MOUSE16456, MOUSE16453, MOUSE16454, MOUSE16451, MOUSE16450, MOUSE16452, MOUSE54756, MOUSE52117, MOUSE52115, MOUSE52114, MOUSE16455
OG0001171	CAPO300420	MOUSE21547, MOUSE21549, MOUSE21548, MOUSE00273, MOUSE00265, MOUSE00271, MOUSE00268, MOUSE00270, MOUSE00272, MOUSE28610, MOUSE28611
OG0001171	CAPO303195, CAPO305267	MOUSE21550
OG0001175	CAPO304133, CAPO306812	MOUSE27823, MOUSE47769, MOUSE47768, MOUSE27822
OG0001179	CAPO300184	MOUSE28734, MOUSE28732, MOUSE28733, MOUSE28729, MOUSE28730
OG0001181	CAPO301983	MOUSE25135, MOUSE25133, MOUSE25132, MOUSE25129, MOUSE25130, MOUSE25131, MOUSE05285, MOUSE05284, MOUSE05286, MOUSE05283
OG0001183	CAPO301096	MOUSE05711, MOUSE05710, MOUSE05708, MOUSE05709
OG0001184	CAPO306392	MOUSE17556, MOUSE17557
OG0001185	CAPO303366	MOUSE34188, MOUSE34187, MOUSE34189, MOUSE34190, MOUSE34186, MOUSE00151, MOUSE00154, MOUSE00152, MOUSE00153
OG0001186	CAPO302303	MOUSE19689, MOUSE49888, MOUSE49887
OG0001186	CAPO307451	MOUSE49824, MOUSE49829, MOUSE49825, MOUSE49826, MOUSE49828
OG0001188	CAPO300558	MOUSE20261, MOUSE20259, MOUSE43342, MOUSE43341, MOUSE43343, MOUSE07231, MOUSE07233, MOUSE07232, MOUSE07230, MOUSE18724, MOUSE18725
OG0001196	CAPO301570	MOUSE43590, MOUSE43587, MOUSE43586, MOUSE43588, MOUSE43591, MOUSE24318, MOUSE24319, MOUSE24316, MOUSE24317
OG0001197	CAPO306552	MOUSE20318
OG0001199	CAPO305690	MOUSE00199, MOUSE00196, MOUSE00198, MOUSE00197, MOUSE12680, MOUSE12681, MOUSE12679
OG0001201	CAPO302220	MOUSE28584, MOUSE13815
OG0001202	CAPO306186	MOUSE36133, MOUSE36134, MOUSE36132
OG0001207	CAPO305627	MOUSE23357, MOUSE23358
OG0001207	CAPO302093	MOUSE05847, MOUSE19129
OG0001208	CAPO300830	MOUSE26418, MOUSE26416, MOUSE26415, MOUSE26419, MOUSE26417, MOUSE38954, MOUSE38955, MOUSE38952, MOUSE38953
OG0001209	CAPO302948	MOUSE48013, MOUSE48016, MOUSE48015, MOUSE48017, MOUSE48014
OG0001210	CAPO300919	MOUSE28107
OG0001210	CAPO302732	MOUSE52269
OG0001213	CAPO304729	MOUSE46717, MOUSE46716, MOUSE46715
OG0001213	CAPO303632	MOUSE37458
OG0001214	CAPO304780	MOUSE25114
OG0001215	CAPO302583	MOUSE08734, MOUSE08735, MOUSE19131, MOUSE19132, MOUSE14747, MOUSE14748, MOUSE14746, MOUSE14745, MOUSE14744
OG0001216	CAPO307997	MOUSE04150, MOUSE41652, MOUSE04149, MOUSE49613
OG0001217	CAPO306810	MOUSE54784, MOUSE55237, MOUSE55236, MOUSE00073, MOUSE00072, MOUSE54782, MOUSE54783, MOUSE34298, MOUSE00071, MOUSE00068, MOUSE00067, MOUSE00069, MOUSE00070
OG0001218	CAPO307457	MOUSE04037, MOUSE04038, MOUSE41469, MOUSE41470, MOUSE41466, MOUSE41467, MOUSE41468, MOUSE34978, MOUSE34980, MOUSE34979, MOUSE04035, MOUSE04034, MOUSE04033
OG0001221	CAPO307765	MOUSE12352, MOUSE12358, MOUSE12355, MOUSE12353
OG0001226	CAPO307936	MOUSE34290, MOUSE16467, MOUSE16468, MOUSE16465, MOUSE16466, MOUSE54761, MOUSE52127, MOUSE52129, MOUSE52128, MOUSE34289, MOUSE16469
OG0001232	CAPO304224	MOUSE16918
OG0001234	CAPO307897	MOUSE19084, MOUSE49352
OG0001241	CAPO303368	MOUSE28271
OG0001241	CAPO304888	MOUSE13111, MOUSE13112, MOUSE13113, MOUSE54117
OG0001247	CAPO303193, CAPO307423	MOUSE53759, MOUSE39462, MOUSE39463, MOUSE41058, MOUSE53757, MOUSE53755, MOUSE53758, MOUSE53756, MOUSE41059, MOUSE41060
OG0001248	CAPO303079	MOUSE22966, MOUSE22967, MOUSE22968, MOUSE35498, MOUSE35495, MOUSE02365, MOUSE02364, MOUSE35496, MOUSE22969
OG0001249	CAPO306922	MOUSE50138, MOUSE50139, MOUSE18428, MOUSE32916, MOUSE32917, MOUSE33692, MOUSE33693, MOUSE18429, MOUSE18431, MOUSE18430
OG0001250	CAPO302323	MOUSE05083, MOUSE05082, MOUSE05080, MOUSE05081, MOUSE05079, MOUSE48689, MOUSE48694, MOUSE48691, MOUSE48693, MOUSE03759, MOUSE03761, MOUSE03762, MOUSE03760, MOUSE03758, MOUSE03757, MOUSE03763, MOUSE03764, MOUSE48692
OG0001251	CAPO304205	MOUSE12321
OG0001251	CAPO302019	MOUSE12317, MOUSE12318, MOUSE12320, MOUSE12319, MOUSE12322, MOUSE12323, MOUSE12316
OG0001252	CAPO300016	MOUSE48386, MOUSE48387, MOUSE48388, MOUSE31394, MOUSE31395, MOUSE31396, MOUSE31397, MOUSE31393, MOUSE01415, MOUSE01416, MOUSE01414
OG0001253	CAPO306156	MOUSE14428, MOUSE17305, MOUSE17304, MOUSE14429, MOUSE17299, MOUSE17303, MOUSE17301, MOUSE17300, MOUSE17302
OG0001254	CAPO307546	MOUSE27598, MOUSE27593, MOUSE27595, MOUSE27596, MOUSE23171, MOUSE23169, MOUSE23170, MOUSE27590, MOUSE27591, MOUSE27592
OG0001261	CAPO302839	MOUSE30117, MOUSE30118, MOUSE45624, MOUSE45621, MOUSE45627, MOUSE45626, MOUSE45623, MOUSE45625
OG0001262	CAPO301672	MOUSE25438
OG0001263	CAPO301777	MOUSE05177, MOUSE47783, MOUSE11081, MOUSE11080, MOUSE05175, MOUSE05174, MOUSE05173, MOUSE05176, MOUSE05172
OG0001267	CAPO307578	MOUSE48061, MOUSE38165, MOUSE38164, MOUSE37871, MOUSE20495
OG0001268	CAPO303692	MOUSE52730, MOUSE36602, MOUSE36603, MOUSE52733, MOUSE55418, MOUSE53751
OG0001270	CAPO306176	MOUSE16996
OG0001270	CAPO304393	MOUSE15064
OG0001271	CAPO302779	MOUSE35510, MOUSE35509, MOUSE05864, MOUSE05862, MOUSE05863, MOUSE14691
OG0001272	CAPO305566	MOUSE46333, MOUSE46335, MOUSE46334, MOUSE07100, MOUSE46331, MOUSE32891, MOUSE32892, MOUSE46332, MOUSE04684, MOUSE32617
OG0001273	CAPO301889	MOUSE44880, MOUSE44879, MOUSE44878, MOUSE44882, MOUSE44881, MOUSE48442, MOUSE48441, MOUSE48440, MOUSE10259, MOUSE10261, MOUSE10257, MOUSE10254, MOUSE10251, MOUSE10258, MOUSE10252, MOUSE10260, MOUSE10253, MOUSE48443
OG0001274	CAPO308194	MOUSE31851, MOUSE31850, MOUSE31857, MOUSE31856, MOUSE31852, MOUSE31854, MOUSE31853, MOUSE31858, MOUSE18476, MOUSE25711, MOUSE25713, MOUSE25714, MOUSE25708, MOUSE31855
OG0001276	CAPO302888	MOUSE45279, MOUSE45280, MOUSE45278, MOUSE19359
OG0001278	CAPO306229	MOUSE06444, MOUSE06445, MOUSE06443, MOUSE06442, MOUSE24602, MOUSE13838
OG0001279	CAPO302733	MOUSE43221, MOUSE43228, MOUSE43223, MOUSE43226, MOUSE43225, MOUSE08244, MOUSE08245, MOUSE43227, MOUSE43224, MOUSE43222, MOUSE08243, MOUSE08242, MOUSE24506, MOUSE24507
OG0001280	CAPO300326	MOUSE44896, MOUSE44895, MOUSE44898, MOUSE18406, MOUSE33000, MOUSE33001, MOUSE33002, MOUSE32998, MOUSE32999
OG0001281	CAPO304088, CAPO303543	MOUSE50500, MOUSE50501, MOUSE21702, MOUSE21700, MOUSE21701, MOUSE20442
OG0001282	CAPO303595	MOUSE04240, MOUSE29444, MOUSE04236, MOUSE04239, MOUSE04238, MOUSE04237, MOUSE29443, MOUSE29440, MOUSE29442
OG0001284	CAPO300970	MOUSE39659, MOUSE27610
OG0001285	CAPO304179	MOUSE35854, MOUSE35849, MOUSE35850, MOUSE35853, MOUSE46667, MOUSE46670, MOUSE46673, MOUSE46669, MOUSE46674, MOUSE46675, MOUSE46676, MOUSE46671, MOUSE46672, MOUSE46677, MOUSE47845, MOUSE47848, MOUSE47846, MOUSE35851, MOUSE35852, MOUSE47851
OG0001286	CAPO303892	MOUSE42250, MOUSE42251, MOUSE47132, MOUSE47129, MOUSE47135, MOUSE47130, MOUSE47131, MOUSE47138, MOUSE47136, MOUSE47140, MOUSE47139, MOUSE42252, MOUSE47141, MOUSE47133, MOUSE47134, MOUSE42248, MOUSE42249
OG0001287	CAPO302822, CAPO304538	MOUSE03490, MOUSE03492, MOUSE03491, MOUSE03488, MOUSE03489, MOUSE36811, MOUSE00735, MOUSE00733, MOUSE00734, MOUSE38003, MOUSE38002, MOUSE36810, MOUSE36815, MOUSE36813, MOUSE36812, MOUSE36809, MOUSE53856, MOUSE53855, MOUSE53857
OG0001288	CAPO302651	MOUSE51561, MOUSE10349
OG0001289	CAPO306071	MOUSE11820, MOUSE11822, MOUSE11823, MOUSE11821, MOUSE49953
OG0001290	CAPO302574	MOUSE19544, MOUSE27700, MOUSE27699, MOUSE27698, MOUSE49084, MOUSE49085
OG0001291	CAPO300695	MOUSE12798, MOUSE12799, MOUSE31626, MOUSE31627, MOUSE11027, MOUSE11026, MOUSE11025, MOUSE11024
OG0001294	CAPO304223	MOUSE07556, MOUSE07561, MOUSE07558
OG0001295	CAPO306210	MOUSE26503, MOUSE05234, MOUSE05238, MOUSE05235, MOUSE05236, MOUSE05237, MOUSE39784, MOUSE39783
OG0001296	CAPO308260	MOUSE08152, MOUSE08153, MOUSE20336, MOUSE20335, MOUSE24806, MOUSE24807, MOUSE24802, MOUSE24803, MOUSE24809, MOUSE24801, MOUSE24808, MOUSE24805, MOUSE20334, MOUSE24804
OG0001297	CAPO305437	MOUSE02143, MOUSE02148, MOUSE02147, MOUSE44433, MOUSE02145, MOUSE02146, MOUSE02144, MOUSE23625, MOUSE44432
OG0001300	CAPO303702, CAPO301019, CAPO300154	MOUSE52263, MOUSE12894, MOUSE54438, MOUSE54437, MOUSE54436
OG0001302	CAPO302654	MOUSE33570
OG0001302	CAPO302215	MOUSE32071, MOUSE32070
OG0001304	CAPO302419	MOUSE11990, MOUSE11992, MOUSE49007, MOUSE49008, MOUSE49004, MOUSE49005, MOUSE32024, MOUSE32027, MOUSE28599, MOUSE28598
OG0001305	CAPO304488	MOUSE48792, MOUSE48793, MOUSE48791, MOUSE25601, MOUSE31727, MOUSE31724, MOUSE31726
OG0001308	CAPO300432	MOUSE00882, MOUSE00883, MOUSE00881, MOUSE00884, MOUSE00885, MOUSE03386, MOUSE36680, MOUSE36681, MOUSE36679, MOUSE36678
OG0001309	CAPO300871	MOUSE08762, MOUSE08760, MOUSE08761
OG0001310	CAPO305405	MOUSE27515, MOUSE27516
OG0001310	CAPO300151	MOUSE21997, MOUSE21996
OG0001311	CAPO300585	MOUSE03635, MOUSE11366, MOUSE11365, MOUSE11367
OG0001312	CAPO304811	MOUSE01280, MOUSE15763, MOUSE19405, MOUSE15764, MOUSE15768, MOUSE15766, MOUSE15775, MOUSE15774, MOUSE15765, MOUSE15770, MOUSE15767, MOUSE15771, MOUSE15773, MOUSE15772, MOUSE15769
OG0001317	CAPO302225	MOUSE35301, MOUSE54841, MOUSE35295, MOUSE35296, MOUSE35300, MOUSE35294, MOUSE35302, MOUSE35303, MOUSE35298, MOUSE35299, MOUSE35297, MOUSE25537
OG0001318	CAPO306280	MOUSE42538, MOUSE42537, MOUSE42536
OG0001318	CAPO303315	MOUSE16122
OG0001319	CAPO304915	MOUSE38465, MOUSE38467, MOUSE52366, MOUSE52369, MOUSE52371, MOUSE53963, MOUSE53962, MOUSE52368, MOUSE52374, MOUSE52373, MOUSE52367
OG0001320	CAPO307498	MOUSE32119, MOUSE32120
OG0001320	CAPO304958	MOUSE27454, MOUSE18695
OG0001321	CAPO301358	MOUSE51700, MOUSE51701, MOUSE17510, MOUSE17509
OG0001322	CAPO302022	MOUSE43313, MOUSE43312, MOUSE43314, MOUSE43315
OG0001323	CAPO301735	MOUSE08647, MOUSE20092, MOUSE43334, MOUSE07462, MOUSE07463, MOUSE43332, MOUSE43331, MOUSE43335
OG0001324	CAPO302080	MOUSE15476, MOUSE15481, MOUSE15478, MOUSE15479, MOUSE15477, MOUSE15484, MOUSE15483, MOUSE15480
OG0001325	CAPO304115	MOUSE31656, MOUSE31655, MOUSE31660, MOUSE31661, MOUSE31658, MOUSE31659, MOUSE31662, MOUSE31663, MOUSE31664, MOUSE31666
OG0001326	CAPO306149	MOUSE21119, MOUSE21120, MOUSE21838, MOUSE21837, MOUSE21836, MOUSE21270, MOUSE21269
OG0001327	CAPO305568	MOUSE52821, MOUSE41523, MOUSE02265, MOUSE23421, MOUSE23422
OG0001330	CAPO304584, CAPO300112	MOUSE46366, MOUSE46367, MOUSE04618, MOUSE37523, MOUSE37526, MOUSE37525, MOUSE46368
OG0001332	CAPO305487	MOUSE32701
OG0001333	CAPO301191	MOUSE14060, MOUSE16928
OG0001335	CAPO300740	MOUSE32304
OG0001341	CAPO307567	MOUSE46510, MOUSE46512
OG0001344	CAPO308153	MOUSE40567, MOUSE40566, MOUSE53469, MOUSE53472, MOUSE53478, MOUSE53471, MOUSE53809, MOUSE53818, MOUSE53815, MOUSE53476, MOUSE53816, MOUSE53803, MOUSE53811, MOUSE53470, MOUSE53813, MOUSE53812, MOUSE53482, MOUSE53829, MOUSE53824, MOUSE53820, MOUSE53822, MOUSE53823, MOUSE53821, MOUSE53473, MOUSE53826, MOUSE53475, MOUSE53479, MOUSE53805, MOUSE53806, MOUSE53477, MOUSE53480, MOUSE53474
OG0001345	CAPO306177	MOUSE40648, MOUSE40646, MOUSE40645, MOUSE40650
OG0001345	CAPO303460	MOUSE40649, MOUSE40647
OG0001348	CAPO304908	MOUSE47536, MOUSE47535, MOUSE47539, MOUSE47537, MOUSE47534, MOUSE54111, MOUSE54110, MOUSE54109, MOUSE54108
OG0001350	CAPO305116, CAPO303054	MOUSE33383
OG0001350	CAPO307484	MOUSE28075
OG0001352	CAPO303801	MOUSE32130
OG0001353	CAPO303379	MOUSE28376, MOUSE28374, MOUSE28375
OG0001355	CAPO307732	MOUSE47620, MOUSE47621, MOUSE09535, MOUSE09533, MOUSE09534, MOUSE09531, MOUSE09532, MOUSE09530, MOUSE35930, MOUSE21465
OG0001358	CAPO302204	MOUSE00109, MOUSE16147, MOUSE53991, MOUSE00108, MOUSE00106
OG0001359	CAPO303726	MOUSE18395, MOUSE18397, MOUSE18396, MOUSE27667, MOUSE27665, MOUSE27666, MOUSE27669, MOUSE27664, MOUSE27663, MOUSE27668, MOUSE27670, MOUSE32532, MOUSE30417
OG0001361	CAPO307400	MOUSE27263, MOUSE27261, MOUSE14327, MOUSE14328, MOUSE14329, MOUSE27262, MOUSE14326, MOUSE14330, MOUSE14331, MOUSE14333, MOUSE14332, MOUSE14325
OG0001361	CAPO306689	MOUSE14324
OG0001364	CAPO307249	MOUSE22897, MOUSE22899, MOUSE22902, MOUSE22900, MOUSE22901, MOUSE38339, MOUSE38340, MOUSE22895, MOUSE22898, MOUSE22903, MOUSE22894, MOUSE22892, MOUSE22893, MOUSE22896
OG0001366	CAPO302707	MOUSE08702, MOUSE08703, MOUSE22123, MOUSE08704, MOUSE08701, MOUSE08700, MOUSE22122
