Orthogroup	CAPO3	APOSC_ok
OG0001512	CAPO301118	APOSC_13901
OG0001516	CAPO300345	APOSC_04613, APOSC_04614
OG0001517	CAPO303690	APOSC_10273
OG0001519	CAPO306949	APOSC_04846
OG0001522	CAPO303667	APOSC_05577, APOSC_16037
OG0001524	CAPO300996	APOSC_18612
OG0001524	CAPO308304	APOSC_18631
OG0001526	CAPO305679	APOSC_21222, APOSC_12286
OG0001527	CAPO300128	APOSC_26650
OG0001527	CAPO307636	APOSC_04022
OG0001529	CAPO300593	APOSC_17321, APOSC_03920
OG0001530	CAPO302602	APOSC_25625
OG0001532	CAPO300282	APOSC_13448
OG0001533	CAPO306032	APOSC_28817, APOSC_28816
OG0001534	CAPO304425	APOSC_07636
OG0001545	CAPO300895	APOSC_17565
OG0001551	CAPO306604	APOSC_25143
OG0001553	CAPO308172	APOSC_17818, APOSC_17817, APOSC_17816
OG0001554	CAPO302370	APOSC_12359
OG0001557	CAPO304176	APOSC_21247
OG0001558	CAPO301132	APOSC_12692
OG0001558	CAPO303811	APOSC_18352
OG0001559	CAPO301785	APOSC_06915
OG0001561	CAPO301999	APOSC_03964
OG0001563	CAPO306378	APOSC_15535, APOSC_15427, APOSC_27127, APOSC_21984
OG0001564	CAPO301061	APOSC_06037, APOSC_06038
OG0001567	CAPO300948	APOSC_14453
OG0001568	CAPO301468	APOSC_28643
OG0001570	CAPO303364	APOSC_29138
OG0001572	CAPO304756	APOSC_16015, APOSC_16016
OG0001572	CAPO304137	APOSC_02447
OG0001573	CAPO305125, CAPO303819	APOSC_24147, APOSC_24146
OG0001576	CAPO306270	APOSC_19353, APOSC_19354
OG0001578	CAPO300715	APOSC_25871
OG0001580	CAPO307900	APOSC_04582, APOSC_04583
OG0001581	CAPO306056	APOSC_12012
OG0001582	CAPO307073	APOSC_09174
OG0001583	CAPO306289	APOSC_05042, APOSC_05043, APOSC_05041
OG0001584	CAPO301068	APOSC_24188
OG0001589	CAPO303301, CAPO304004	APOSC_14644
OG0001590	CAPO302386	APOSC_05334, APOSC_06008, APOSC_06664
OG0001593	CAPO305942	APOSC_01201, APOSC_17370
OG0001594	CAPO307886	APOSC_14190, APOSC_13045
OG0001594	CAPO304243	APOSC_20977
OG0001597	CAPO302703	APOSC_09081
OG0001599	CAPO300887	APOSC_03974
OG0001600	CAPO305994	APOSC_23093
OG0001603	CAPO306228	APOSC_19684, APOSC_08042
OG0001604	CAPO303898	APOSC_08984
OG0001605	CAPO307473	APOSC_08927, APOSC_24537
OG0001609	CAPO304683	APOSC_15382
OG0001609	CAPO302057	APOSC_18863
OG0001611	CAPO305038	APOSC_16863
OG0001612	CAPO302202	APOSC_20257
OG0001614	CAPO303895	APOSC_25539
OG0001614	CAPO307630	APOSC_17721
OG0001615	CAPO300749	APOSC_22981, APOSC_22982
OG0001617	CAPO302798	APOSC_17358, APOSC_17357
OG0001621	CAPO302875	APOSC_06290, APOSC_06292, APOSC_06291
OG0001622	CAPO302121	APOSC_24336
OG0001634	CAPO305688	APOSC_06560
OG0001634	CAPO305614	APOSC_05598
OG0001638	CAPO303528	APOSC_28340
OG0001641	CAPO303281	APOSC_16997
OG0001643	CAPO306838	APOSC_19563
OG0001644	CAPO303665	APOSC_08859
OG0001652	CAPO302838	APOSC_23882, APOSC_23883, APOSC_28560
OG0001653	CAPO305118	APOSC_08321
OG0001655	CAPO302812	APOSC_19955
OG0001657	CAPO304165, CAPO303952	APOSC_20037
OG0001660	CAPO305930	APOSC_25851
OG0001661	CAPO302789	APOSC_05078
OG0001661	CAPO304920	APOSC_19581
OG0001663	CAPO301057	APOSC_14512, APOSC_14513, APOSC_19966, APOSC_00664
OG0001664	CAPO303152	APOSC_08011, APOSC_08010
OG0001665	CAPO302331	APOSC_03053, APOSC_26736
OG0001672	CAPO301880	APOSC_24758, APOSC_09103, APOSC_09104
OG0001673	CAPO305520	APOSC_21746
OG0001674	CAPO301357	APOSC_13291
OG0001675	CAPO307574	APOSC_15911, APOSC_00269, APOSC_15910
OG0001676	CAPO300524	APOSC_11977
OG0001676	CAPO305992	APOSC_18551
OG0001677	CAPO307978	APOSC_19672, APOSC_08955, APOSC_00896, APOSC_10740, APOSC_06257
OG0001679	CAPO302155, CAPO305784	APOSC_20310, APOSC_22953, APOSC_12720, APOSC_11611, APOSC_27365, APOSC_06847
OG0001680	CAPO304235, CAPO304477	APOSC_05052
OG0001684	CAPO300563	APOSC_05984, APOSC_05985
OG0001685	CAPO307707	APOSC_03873
OG0001686	CAPO307138	APOSC_20706
OG0001687	CAPO302907	APOSC_25333, APOSC_09970, APOSC_10763
OG0001688	CAPO300133	APOSC_10916
OG0001690	CAPO304820	APOSC_11666, APOSC_21256
OG0001691	CAPO307420	APOSC_09746, APOSC_09745, APOSC_09749, APOSC_09748
OG0001704	CAPO304434	APOSC_20746, APOSC_00421
OG0001706	CAPO301033	APOSC_11809, APOSC_11808
OG0001707	CAPO303836	APOSC_26684
OG0001708	CAPO303804	APOSC_07420
OG0001709	CAPO304969	APOSC_04296, APOSC_04297, APOSC_04295, APOSC_19317
OG0001711	CAPO301872	APOSC_08529
OG0001713	CAPO308041	APOSC_19043
OG0001713	CAPO302278	APOSC_26360
OG0001714	CAPO306669	APOSC_05609
OG0001714	CAPO300188	APOSC_27772
OG0001718	CAPO301559, CAPO301838	APOSC_01586, APOSC_06428
OG0001720	CAPO303957	APOSC_02735
OG0001721	CAPO302302	APOSC_23771
OG0001723	CAPO308089	APOSC_21374
OG0001724	CAPO306474	APOSC_17946
OG0001727	CAPO301729	APOSC_18118
OG0001730	CAPO303469	APOSC_18068, APOSC_18069
OG0001732	CAPO304710	APOSC_07953
OG0001733	CAPO306615	APOSC_23430, APOSC_24440, APOSC_23429
OG0001734	CAPO306594	APOSC_04069
OG0001735	CAPO301389	APOSC_28608
OG0001736	CAPO300355	APOSC_23753
OG0001738	CAPO301655	APOSC_01320
OG0001739	CAPO304154	APOSC_04485
OG0001743	CAPO306128	APOSC_24356
OG0001746	CAPO306662	APOSC_21933
OG0001750	CAPO304954	APOSC_05785
OG0001755	CAPO300413	APOSC_20267
OG0001756	CAPO301153	APOSC_02548
OG0001756	CAPO306605	APOSC_08277
OG0001769	CAPO300754	APOSC_25926
OG0001769	CAPO306748	APOSC_03841
OG0001770	CAPO304551	APOSC_21836, APOSC_21835
OG0001772	CAPO303731	APOSC_23516, APOSC_23515
OG0001774	CAPO302411	APOSC_20306, APOSC_14597
OG0001775	CAPO300385, CAPO303998	APOSC_26681, APOSC_26577, APOSC_22869, APOSC_22870, APOSC_26576
OG0001778	CAPO303585	APOSC_15463, APOSC_15462
OG0001781	CAPO304059	APOSC_12405
OG0001781	CAPO306335	APOSC_25815
OG0001782	CAPO302329	APOSC_24182
OG0001783	CAPO302497	APOSC_07401
OG0001787	CAPO302384	APOSC_00374
OG0001789	CAPO303597	APOSC_28424, APOSC_28423
OG0001792	CAPO302146	APOSC_10659
OG0001793	CAPO302934	APOSC_11265
OG0001793	CAPO300098	APOSC_12986, APOSC_12985
OG0001794	CAPO305037	APOSC_11754
OG0001797	CAPO305230	APOSC_08522, APOSC_28716
OG0001799	CAPO307439	APOSC_18784
OG0001800	CAPO302099, CAPO301494	APOSC_07734
OG0001801	CAPO301631, CAPO300406, CAPO302328, CAPO300564	APOSC_13558
OG0001802	CAPO307992	APOSC_09334
OG0001804	CAPO307706	APOSC_17841
OG0001805	CAPO301307	APOSC_14981
OG0001807	CAPO305640	APOSC_17157, APOSC_17156
OG0001808	CAPO300354	APOSC_21460
OG0001809	CAPO307543	APOSC_18192
OG0001811	CAPO304043	APOSC_12495, APOSC_02839, APOSC_24756, APOSC_19380
OG0001814	CAPO305508	APOSC_06810
OG0001816	CAPO300431	APOSC_13560, APOSC_20034, APOSC_13559
OG0001818	CAPO302088	APOSC_28601, APOSC_28600, APOSC_28602, APOSC_18594
OG0001819	CAPO307172	APOSC_10403
OG0001820	CAPO300515	APOSC_05874
OG0001822	CAPO301119	APOSC_18765, APOSC_02285
OG0001825	CAPO306238	APOSC_10436
OG0001827	CAPO303060	APOSC_01013
OG0001830	CAPO300316	APOSC_05587
OG0001831	CAPO306824	APOSC_23596
OG0001834	CAPO301512	APOSC_01951
OG0001849	CAPO303014	APOSC_12413, APOSC_12414, APOSC_13748, APOSC_14428, APOSC_18179
OG0001850	CAPO301689	APOSC_24800, APOSC_00640
OG0001851	CAPO303828	APOSC_16345, APOSC_26158, APOSC_16346, APOSC_26159, APOSC_18047
OG0001852	CAPO303604	APOSC_08845
OG0001857	CAPO306766	APOSC_18896
OG0001859	CAPO304942	APOSC_24401, APOSC_28844, APOSC_13507
OG0001860	CAPO306960	APOSC_14509
OG0001861	CAPO303333	APOSC_06627
OG0001863	CAPO300966	APOSC_10423, APOSC_10422, APOSC_26636
OG0001864	CAPO300448	APOSC_12878, APOSC_12877
OG0001866	CAPO306683	APOSC_28306, APOSC_28307
OG0001867	CAPO302026	APOSC_02450
OG0001870	CAPO303422	APOSC_28584, APOSC_28583
OG0001871	CAPO300664	APOSC_05233
OG0001873	CAPO305494	APOSC_24589, APOSC_02615, APOSC_02614
OG0001875	CAPO303129	APOSC_28674
OG0001875	CAPO300770	APOSC_02272
OG0001877	CAPO305419	APOSC_00171
OG0001878	CAPO300594	APOSC_07100
OG0001879	CAPO302675	APOSC_04307
OG0001879	CAPO304068	APOSC_23988
OG0001882	CAPO302587	APOSC_05527, APOSC_20571
OG0001883	CAPO304395	APOSC_24533, APOSC_18796
OG0001886	CAPO301013	APOSC_24954
OG0001888	CAPO307373	APOSC_16509, APOSC_16510
OG0001894	CAPO305070	APOSC_00243, APOSC_00244
OG0001895	CAPO300178	APOSC_15357
OG0001898	CAPO303887	APOSC_22780
OG0001900	CAPO306468, CAPO308362	APOSC_23428, APOSC_09065, APOSC_09064, APOSC_09066
OG0001901	CAPO302174	APOSC_00350, APOSC_00351
OG0001903	CAPO301651	APOSC_14862
OG0001913	CAPO308270	APOSC_27752, APOSC_27753, APOSC_27754
OG0001914	CAPO308187	APOSC_20774, APOSC_13874
OG0001915	CAPO305922	APOSC_20247, APOSC_07947
OG0001916	CAPO304398	APOSC_23888, APOSC_24601
OG0001917	CAPO303937	APOSC_15433
OG0001919	CAPO305966	APOSC_00551
OG0001919	CAPO300799	APOSC_05472
OG0001923	CAPO300364	APOSC_09651
OG0001926	CAPO308203	APOSC_03347
OG0001927	CAPO303832	APOSC_05723, APOSC_05724
OG0001928	CAPO303627	APOSC_07496, APOSC_05354
OG0001930	CAPO301567	APOSC_03335
OG0001931	CAPO306905	APOSC_26375
OG0001932	CAPO304653	APOSC_17044, APOSC_21184
OG0001935	CAPO301339	APOSC_26841, APOSC_26842, APOSC_11624
OG0001937	CAPO301986	APOSC_00483
OG0001939	CAPO304703	APOSC_04076, APOSC_15167
OG0001940	CAPO307447	APOSC_10905, APOSC_14288, APOSC_14537, APOSC_10863, APOSC_14287
OG0001941	CAPO303660	APOSC_09255
OG0001943	CAPO304272	APOSC_02483
OG0001945	CAPO302125, CAPO302413	APOSC_02753
OG0001947	CAPO306182	APOSC_08756, APOSC_08755
OG0001948	CAPO307548	APOSC_15727, APOSC_25491
OG0001949	CAPO303945	APOSC_01974, APOSC_01975
OG0001951	CAPO305792	APOSC_14703
OG0001953	CAPO306993	APOSC_21413
OG0001956	CAPO302405	APOSC_19003
OG0001957	CAPO307027	APOSC_20113
OG0001961	CAPO301591	APOSC_07087, APOSC_07086
OG0001963	CAPO304559	APOSC_19972
OG0001964	CAPO306144	APOSC_19437
OG0001965	CAPO305377	APOSC_21927
OG0001966	CAPO308069	APOSC_00471, APOSC_23471
OG0001968	CAPO303436	APOSC_15282, APOSC_28315, APOSC_15708
OG0001969	CAPO301897	APOSC_03017, APOSC_04453
OG0001972	CAPO302726	APOSC_24260, APOSC_24259, APOSC_24261, APOSC_24262
OG0001985	CAPO307425	APOSC_05664
OG0001988	CAPO301454	APOSC_25583, APOSC_25582
OG0001989	CAPO303699	APOSC_17366, APOSC_18146, APOSC_17367
OG0001992	CAPO301694	APOSC_16707
OG0001994	CAPO307422	APOSC_27175, APOSC_00668, APOSC_00667
OG0001997	CAPO301018	APOSC_07194, APOSC_07193
OG0001998	CAPO304168	APOSC_15820
OG0001999	CAPO303159	APOSC_11828, APOSC_24940
OG0002000	CAPO305912	APOSC_03132, APOSC_22658
OG0002001	CAPO301730, CAPO305766	APOSC_06835
OG0002003	CAPO306645	APOSC_24514, APOSC_24513, APOSC_11225, APOSC_24019
OG0002004	CAPO305661, CAPO300359	APOSC_17319, APOSC_10529, APOSC_20102
OG0002006	CAPO302881	APOSC_27992, APOSC_20625
OG0002007	CAPO301764	APOSC_21093
OG0002008	CAPO308237	APOSC_03844, APOSC_03845
OG0002009	CAPO305521	APOSC_02037, APOSC_02036
OG0002009	CAPO304107	APOSC_22841, APOSC_18423, APOSC_02187
OG0002010	CAPO303286	APOSC_14891
OG0002011	CAPO305222	APOSC_29016, APOSC_14058
OG0002014	CAPO305309	APOSC_11193
OG0002015	CAPO304377	APOSC_10940, APOSC_02399, APOSC_18090, APOSC_20828, APOSC_09531, APOSC_10941, APOSC_24268, APOSC_23791, APOSC_17290, APOSC_09532, APOSC_04898
OG0002016	CAPO300736, CAPO303360	APOSC_06819, APOSC_06816, APOSC_06818, APOSC_06817
OG0002019	CAPO303943, CAPO301189	APOSC_01883, APOSC_01885, APOSC_01882, APOSC_01884
OG0002020	CAPO301809, CAPO306607	APOSC_19698, APOSC_19699
OG0002024	CAPO300776	APOSC_11891
OG0002026	CAPO307889, CAPO306582	APOSC_06220, APOSC_15641
OG0002027	CAPO307021	APOSC_06267
OG0002029	CAPO301097	APOSC_07521
OG0002029	CAPO303181	APOSC_06710, APOSC_06711
OG0002030	CAPO303987	APOSC_21946
OG0002031	CAPO300135	APOSC_24523
OG0002032	CAPO304689	APOSC_00301
OG0002034	CAPO306318	APOSC_03606, APOSC_03605
OG0002042	CAPO300525	APOSC_25585, APOSC_23059, APOSC_23060
OG0002043	CAPO306649	APOSC_16723, APOSC_16722
OG0002058	CAPO300289	APOSC_18800, APOSC_07473, APOSC_25975, APOSC_02005, APOSC_11903
OG0002061	CAPO307339	APOSC_19481
OG0002062	CAPO301382	APOSC_08611, APOSC_08610
OG0002063	CAPO302417	APOSC_06813
OG0002066	CAPO300576	APOSC_24370
OG0002067	CAPO302721	APOSC_27713
OG0002068	CAPO303650	APOSC_06295
OG0002069	CAPO306402	APOSC_01667
OG0002073	CAPO302333	APOSC_01747
OG0002074	CAPO304152	APOSC_19138
OG0002076	CAPO303117	APOSC_18963, APOSC_18964
OG0002078	CAPO302217	APOSC_28182, APOSC_28181
OG0002080	CAPO307474, CAPO307552	APOSC_01291
OG0002081	CAPO300584	APOSC_27177, APOSC_27178
OG0002084	CAPO300150	APOSC_14942, APOSC_01681
OG0002087	CAPO306536	APOSC_01971, APOSC_01970, APOSC_22480
OG0002093	CAPO304254	APOSC_18156
OG0002094	CAPO303399	APOSC_18728
OG0002097	CAPO302111	APOSC_25092
OG0002099	CAPO306675	APOSC_23904
OG0002101	CAPO307803	APOSC_15179
OG0002103	CAPO305235	APOSC_03682
OG0002108	CAPO303834	APOSC_26646
OG0002122	CAPO300191	APOSC_17605
OG0002123	CAPO303373	APOSC_05309
OG0002124	CAPO300980	APOSC_05097
OG0002129	CAPO305068	APOSC_07872
OG0002130	CAPO301943	APOSC_04043, APOSC_04044
OG0002131	CAPO302159	APOSC_27598, APOSC_06286
OG0002135	CAPO300616, CAPO300802	APOSC_12432
OG0002136	CAPO300292	APOSC_15345, APOSC_15344, APOSC_15346, APOSC_19816
OG0002137	CAPO306593	APOSC_13036
OG0002138	CAPO304101	APOSC_19073
OG0002140	CAPO300489	APOSC_28534
OG0002141	CAPO300491	APOSC_00470
OG0002144	CAPO308205	APOSC_04499, APOSC_04500
OG0002145	CAPO305963	APOSC_21735
OG0002146	CAPO303694	APOSC_03650, APOSC_03649
OG0002148	CAPO301311	APOSC_21542, APOSC_14322
OG0002150	CAPO305991	APOSC_13902
OG0002151	CAPO300513	APOSC_25685
OG0002152	CAPO305214	APOSC_19987
OG0002156	CAPO307789	APOSC_16118
OG0002158	CAPO300426	APOSC_06903
OG0002159	CAPO301618	APOSC_06194
OG0002160	CAPO306354	APOSC_19331, APOSC_11192, APOSC_02113, APOSC_08854, APOSC_02505, APOSC_23874, APOSC_04273, APOSC_11575, APOSC_20222, APOSC_11922, APOSC_22980
OG0002165	CAPO306860	APOSC_17467, APOSC_20598, APOSC_01903
OG0002166	CAPO300536	APOSC_08644
OG0002168	CAPO305846	APOSC_02871, APOSC_28824
OG0002169	CAPO305188, CAPO305186	APOSC_17032, APOSC_17033
OG0002170	CAPO306065	APOSC_09368, APOSC_05594
OG0002171	CAPO300657	APOSC_14472, APOSC_14471
OG0002172	CAPO300117	APOSC_08434, APOSC_08437, APOSC_08436, APOSC_08433, APOSC_08435
OG0002173	CAPO300163	APOSC_25807
OG0002177	CAPO303715	APOSC_05272
OG0002178	CAPO300762	APOSC_02021
OG0002179	CAPO301344	APOSC_00096, APOSC_05035
OG0002182	CAPO300304	APOSC_20616
OG0002184	CAPO302808	APOSC_13034
OG0002185	CAPO306894	APOSC_21767, APOSC_21768, APOSC_21766
OG0002187	CAPO303260	APOSC_18273
OG0002188	CAPO307308	APOSC_27110
OG0002189	CAPO302919, CAPO302901	APOSC_22959, APOSC_22958
OG0002190	CAPO305794	APOSC_21143, APOSC_21142
OG0002191	CAPO306349	APOSC_07844
OG0002193	CAPO307827, CAPO303661	APOSC_01754, APOSC_01753
OG0002194	CAPO306073	APOSC_05610, APOSC_02737
OG0002198	CAPO307154	APOSC_18516
OG0002201	CAPO305256	APOSC_27145
OG0002216	CAPO308083	APOSC_12957, APOSC_00875, APOSC_17041
OG0002217	CAPO303403	APOSC_23307
OG0002219	CAPO301953	APOSC_06268
OG0002222	CAPO300961	APOSC_00538
OG0002224	CAPO304952	APOSC_18776, APOSC_18777
OG0002225	CAPO301769	APOSC_22427
OG0002226	CAPO307804	APOSC_01552
OG0002227	CAPO307820, CAPO307799	APOSC_12739, APOSC_12738
OG0002228	CAPO301630, CAPO300068	APOSC_24187
OG0002229	CAPO308040	APOSC_03333
OG0002235	CAPO303035	APOSC_04880
OG0002237	CAPO306506	APOSC_23476
OG0002239	CAPO301966	APOSC_02757
OG0002240	CAPO306707	APOSC_27129
OG0002241	CAPO303979	APOSC_00224
OG0002243	CAPO301335, CAPO300484	APOSC_01692
OG0002244	CAPO303840	APOSC_24276
OG0002245	CAPO302737	APOSC_09240, APOSC_27925, APOSC_27926, APOSC_06096, APOSC_07429, APOSC_07427, APOSC_07428, APOSC_07426
OG0002246	CAPO301929	APOSC_07557
OG0002251	CAPO302537	APOSC_10270
OG0002252	CAPO304306	APOSC_01721
OG0002255	CAPO301475, CAPO302337	APOSC_21535, APOSC_14572
OG0002257	CAPO303721	APOSC_04067, APOSC_17483
OG0002258	CAPO302229	APOSC_20196, APOSC_22619, APOSC_22618
OG0002261	CAPO303559	APOSC_09973, APOSC_01375
OG0002263	CAPO304694	APOSC_12473, APOSC_12474
OG0002264	CAPO304810	APOSC_17999, APOSC_29160, APOSC_20572
OG0002266	CAPO307392	APOSC_29040, APOSC_29039
OG0002270	CAPO302042	APOSC_06729
OG0002272	CAPO301905	APOSC_09837
OG0002282	CAPO300014	APOSC_27761, APOSC_13750, APOSC_13749
OG0002284	CAPO304167	APOSC_15122, APOSC_00182, APOSC_26404
OG0002285	CAPO305012	APOSC_01160
OG0002287	CAPO306430	APOSC_08685
OG0002288	CAPO306855	APOSC_11294, APOSC_11293
OG0002292	CAPO301471	APOSC_04092
OG0002293	CAPO302207	APOSC_29009
OG0002294	CAPO300522	APOSC_19080
OG0002296	CAPO307746	APOSC_08372, APOSC_08371, APOSC_08373, APOSC_08374
OG0002312	CAPO305339	APOSC_23301
OG0002316	CAPO302192	APOSC_08356
OG0002317	CAPO301129	APOSC_06076
OG0002318	CAPO302292	APOSC_17713
OG0002319	CAPO306342	APOSC_16802
OG0002321	CAPO300390	APOSC_10913
OG0002322	CAPO300979	APOSC_22319
OG0002323	CAPO308299	APOSC_21950
OG0002324	CAPO301866	APOSC_16211
OG0002325	CAPO300458	APOSC_00101, APOSC_12892
OG0002326	CAPO302239	APOSC_17684
OG0002327	CAPO302954	APOSC_06995, APOSC_18373
OG0002330	CAPO300172	APOSC_28633, APOSC_24342
OG0002331	CAPO302246	APOSC_25291
OG0002332	CAPO300761	APOSC_12740
OG0002337	CAPO307155	APOSC_17012, APOSC_03302, APOSC_05554
OG0002340	CAPO307906	APOSC_21511, APOSC_24506
OG0002343	CAPO303889	APOSC_16280
OG0002344	CAPO307434	APOSC_25480
OG0002345	CAPO304277	APOSC_25747
OG0002346	CAPO307106	APOSC_07336
OG0002348	CAPO302095	APOSC_18750
OG0002354	CAPO306383	APOSC_05752, APOSC_04612
OG0002356	CAPO305051	APOSC_03388
OG0002357	CAPO302341	APOSC_15358
OG0002358	CAPO307788	APOSC_25738
OG0002359	CAPO302128	APOSC_14169, APOSC_13362
OG0002361	CAPO304727	APOSC_15741
OG0002362	CAPO301902	APOSC_06944
OG0002363	CAPO302980	APOSC_19269
OG0002364	CAPO306488	APOSC_05036, APOSC_21021, APOSC_06962
OG0002367	CAPO304316	APOSC_21224
OG0002368	CAPO301447	APOSC_13583
OG0002369	CAPO301279	APOSC_26993, APOSC_26992, APOSC_17971
OG0002370	CAPO303015	APOSC_04969
OG0002371	CAPO304426	APOSC_10262
OG0002372	CAPO303540	APOSC_10426
OG0002372	CAPO303041	APOSC_22681, APOSC_28866
OG0002374	CAPO302309	APOSC_11797
OG0002375	CAPO305178, CAPO300285	APOSC_01864, APOSC_19578
OG0002376	CAPO304863	APOSC_26441
OG0002377	CAPO301847	APOSC_15267
OG0002379	CAPO301214	APOSC_02551
OG0002396	CAPO302410	APOSC_16713
OG0002398	CAPO306938	APOSC_09178
OG0002405	CAPO300119	APOSC_03556
OG0002406	CAPO304138	APOSC_03559, APOSC_03558
OG0002407	CAPO301366	APOSC_23871, APOSC_19539, APOSC_09967, APOSC_09969, APOSC_09968
OG0002409	CAPO301533	APOSC_27400
OG0002410	CAPO305170	APOSC_22198
OG0002411	CAPO305052	APOSC_04009
OG0002413	CAPO307797	APOSC_23972
OG0002413	CAPO304716	APOSC_01682
OG0002414	CAPO304631	APOSC_17956, APOSC_17957
OG0002415	CAPO304905	APOSC_02142, APOSC_02143, APOSC_16711
OG0002417	CAPO307671	APOSC_05991, APOSC_23917, APOSC_17180, APOSC_05843
OG0002418	CAPO303802	APOSC_09068
OG0002419	CAPO303825	APOSC_11227, APOSC_15337
OG0002421	CAPO305365	APOSC_18272
OG0002422	CAPO302014	APOSC_11565, APOSC_06825, APOSC_24123, APOSC_24124
OG0002425	CAPO304491	APOSC_21924
OG0002426	CAPO303294	APOSC_03921
OG0002429	CAPO305260	APOSC_28085, APOSC_18106
OG0002433	CAPO302444	APOSC_26929
OG0002435	CAPO304613	APOSC_28585
OG0002436	CAPO307054	APOSC_18153
OG0002437	CAPO303352	APOSC_11323
OG0002439	CAPO302565	APOSC_15469
OG0002441	CAPO304429	APOSC_21966
OG0002442	CAPO300535	APOSC_07036
OG0002443	CAPO301424	APOSC_05095, APOSC_06655
OG0002445	CAPO304782	APOSC_17296
OG0002446	CAPO303707	APOSC_18266
OG0002448	CAPO308204	APOSC_23526, APOSC_18984
OG0002453	CAPO305834	APOSC_12294
OG0002454	CAPO305157	APOSC_06933
OG0002476	CAPO307617	APOSC_08544, APOSC_06061
OG0002484	CAPO305360	APOSC_06260, APOSC_06259
OG0002486	CAPO303598	APOSC_24086
OG0002489	CAPO304231	APOSC_18456, APOSC_18458, APOSC_21175
OG0002490	CAPO307409, CAPO300849	APOSC_27091
OG0002492	CAPO305743	APOSC_26144, APOSC_26143
OG0002494	CAPO307620	APOSC_27422
OG0002495	CAPO306559	APOSC_23227
OG0002496	CAPO300997	APOSC_13981, APOSC_13980
OG0002497	CAPO301629	APOSC_12496
OG0002499	CAPO308309	APOSC_05018
OG0002500	CAPO305159	APOSC_26581, APOSC_26845, APOSC_03483
OG0002501	CAPO305150	APOSC_16481
OG0002502	CAPO304947	APOSC_05426, APOSC_24375, APOSC_12566
OG0002503	CAPO301024	APOSC_27241, APOSC_27239, APOSC_27240
OG0002505	CAPO302692	APOSC_20422
OG0002506	CAPO301029	APOSC_09722, APOSC_09723
OG0002507	CAPO303215	APOSC_05361, APOSC_05360
OG0002509	CAPO305905, CAPO306732	APOSC_14957
OG0002510	CAPO305793	APOSC_08174, APOSC_22448
OG0002511	CAPO303146	APOSC_28580, APOSC_28581
OG0002516	CAPO307569	APOSC_18582
OG0002518	CAPO304200	APOSC_11783
OG0002519	CAPO302874	APOSC_13975
OG0002523	CAPO301008	APOSC_20366
OG0002525	CAPO300787	APOSC_16559, APOSC_16558
OG0002526	CAPO303145	APOSC_27120
OG0002527	CAPO306066	APOSC_26177
OG0002528	CAPO301891	APOSC_06214
OG0002529	CAPO301231, CAPO301232	APOSC_21726
OG0002531	CAPO304673	APOSC_21879
OG0002532	CAPO307265	APOSC_00073
OG0002533	CAPO302353	APOSC_16025
OG0002534	CAPO302248	APOSC_26084
OG0002539	CAPO305908	APOSC_18865, APOSC_18867, APOSC_18868, APOSC_18866
OG0002542	CAPO300062	APOSC_15222, APOSC_13581
OG0002543	CAPO306889, CAPO301493	APOSC_10448
OG0002548	CAPO303502	APOSC_08751
OG0002555	CAPO301095	APOSC_10771, APOSC_01651
OG0002557	CAPO302757	APOSC_06271, APOSC_06270
OG0002558	CAPO301820	APOSC_11277, APOSC_22161
OG0002559	CAPO306363	APOSC_25736
OG0002561	CAPO306761	APOSC_22772
OG0002562	CAPO305283	APOSC_23061
OG0002563	CAPO307417	APOSC_20880
OG0002564	CAPO307297	APOSC_10079
OG0002565	CAPO302611	APOSC_12348, APOSC_12347
OG0002566	CAPO303827	APOSC_05246
OG0002567	CAPO304319	APOSC_16245, APOSC_00280
OG0002569	CAPO306658	APOSC_20870
OG0002570	CAPO307215	APOSC_04158
OG0002574	CAPO307488	APOSC_18559, APOSC_14927
OG0002587	CAPO300512	APOSC_02565
OG0002589	CAPO302447	APOSC_12014, APOSC_16627
OG0002592	CAPO300278	APOSC_25420
OG0002594	CAPO304177	APOSC_20282
OG0002598	CAPO300566	APOSC_00806
OG0002599	CAPO303706	APOSC_22493
OG0002600	CAPO305861	APOSC_22675, APOSC_20439, APOSC_20440
OG0002601	CAPO300675	APOSC_18205, APOSC_18206
OG0002602	CAPO303637	APOSC_04836
OG0002603	CAPO302609	APOSC_23396, APOSC_01902, APOSC_23451
OG0002605	CAPO303522	APOSC_03297, APOSC_03298
OG0002608	CAPO303192	APOSC_19157, APOSC_19158, APOSC_19156
OG0002609	CAPO304999	APOSC_09800
OG0002610	CAPO307043	APOSC_14574
OG0002611	CAPO302425	APOSC_17218
OG0002612	CAPO306114	APOSC_00532, APOSC_25869
OG0002617	CAPO307606	APOSC_17874
OG0002618	CAPO307902	APOSC_15078
OG0002620	CAPO300598	APOSC_07640
OG0002621	CAPO305708, CAPO305709, CAPO305858	APOSC_16138
OG0002624	CAPO307642	APOSC_26724
OG0002629	CAPO306781	APOSC_28514
OG0002630	CAPO300618	APOSC_09827, APOSC_19949, APOSC_08074, APOSC_12011, APOSC_08075, APOSC_02864
OG0002631	CAPO302228	APOSC_21107, APOSC_21104, APOSC_21106, APOSC_21105, APOSC_17124
OG0002632	CAPO301605	APOSC_11736, APOSC_11737
OG0002633	CAPO301845	APOSC_07809
OG0002634	CAPO303763	APOSC_03369, APOSC_15023
OG0002636	CAPO302443	APOSC_20531
