Orthogroup	CAPO3	CAEEL
OG0000877	CAPO304981	CAEEL14736, CAEEL01576, CAEEL15069, CAEEL11424, CAEEL10392, CAEEL07961, CAEEL14735, CAEEL06683, CAEEL20717
OG0000879	CAPO301982	CAEEL07550
OG0000888	CAPO300320	CAEEL00418
OG0000888	CAPO301794	CAEEL02556, CAEEL08408
OG0000889	CAPO302257	CAEEL09857, CAEEL09856
OG0000889	CAPO304144	CAEEL07245
OG0000894	CAPO301227	CAEEL20455
OG0000896	CAPO301183	CAEEL17889
OG0000899	CAPO300655	CAEEL06745
OG0000904	CAPO305539	CAEEL10501, CAEEL01214
OG0000905	CAPO303384	CAEEL09890
OG0000909	CAPO300878	CAEEL00966
OG0000911	CAPO302608	CAEEL15173, CAEEL12593
OG0000912	CAPO302397	CAEEL19084
OG0000913	CAPO300255	CAEEL03086, CAEEL09227, CAEEL01751, CAEEL17909, CAEEL04783, CAEEL08435
OG0000914	CAPO302002	CAEEL08534, CAEEL08535
OG0000915	CAPO306555	CAEEL11744
OG0000921	CAPO306351	CAEEL05986
OG0000925	CAPO304563	CAEEL01239, CAEEL01153, CAEEL00968, CAEEL00439, CAEEL07058
OG0000928	CAPO301245	CAEEL00085
OG0000929	CAPO303494	CAEEL02357
OG0000931	CAPO303586	CAEEL20467
OG0000933	CAPO304170	CAEEL13637
OG0000934	CAPO306946, CAPO300619	CAEEL20095, CAEEL02005
OG0000934	CAPO304006	CAEEL18567
OG0000935	CAPO307401	CAEEL10988, CAEEL18743
OG0000944	CAPO304090	CAEEL08647, CAEEL08646
OG0000952	CAPO300179	CAEEL07628
OG0000954	CAPO303535, CAPO305800	CAEEL05990
OG0000955	CAPO303429	CAEEL05680, CAEEL05073
OG0000955	CAPO301514	CAEEL01495
OG0000960	CAPO304728	CAEEL00749
OG0000963	CAPO303990	CAEEL02132, CAEEL19266, CAEEL06520, CAEEL01905, CAEEL10906
OG0000965	CAPO305928	CAEEL09524
OG0000965	CAPO302148	CAEEL02685
OG0000967	CAPO304786	CAEEL09409
OG0000970	CAPO301807	CAEEL12249
OG0000974	CAPO306940	CAEEL05136, CAEEL05137
OG0000978	CAPO306307	CAEEL10436, CAEEL10678, CAEEL04915
OG0000982	CAPO301371	CAEEL00871
OG0000984	CAPO307940	CAEEL00142, CAEEL20825, CAEEL07596, CAEEL10900
OG0000985	CAPO304864	CAEEL11989
OG0000986	CAPO305058	CAEEL10478, CAEEL10407, CAEEL10408, CAEEL19984
OG0000987	CAPO306365	CAEEL18448, CAEEL15116
OG0000992	CAPO308244	CAEEL04373
OG0000994	CAPO306999	CAEEL01877
OG0000997	CAPO306501	CAEEL07413, CAEEL06202
OG0000998	CAPO302508	CAEEL11817, CAEEL01310
OG0000999	CAPO303484, CAPO302236	CAEEL12779, CAEEL06159
OG0001006	CAPO308145	CAEEL08218, CAEEL00364, CAEEL10732
OG0001009	CAPO305830	CAEEL20001
OG0001015	CAPO304771	CAEEL16067, CAEEL20263
OG0001016	CAPO300038	CAEEL09313
OG0001016	CAPO302596	CAEEL08789, CAEEL11986
OG0001018	CAPO305732	CAEEL07047
OG0001024	CAPO300862	CAEEL11623
OG0001033	CAPO303016	CAEEL11816
OG0001033	CAPO300376	CAEEL10717
OG0001036	CAPO301917	CAEEL18611
OG0001037	CAPO306107	CAEEL18600
OG0001039	CAPO305080	CAEEL08415, CAEEL10624
OG0001042	CAPO301530	CAEEL09943
OG0001044	CAPO305401, CAPO306389	CAEEL20285
OG0001046	CAPO304357	CAEEL19183
OG0001049	CAPO302273	CAEEL05889
OG0001050	CAPO306760	CAEEL14076, CAEEL15706
OG0001060	CAPO302777	CAEEL15786
OG0001062	CAPO300111	CAEEL08101
OG0001066	CAPO305156	CAEEL12576
OG0001072	CAPO304331	CAEEL08406
OG0001073	CAPO307880	CAEEL07965
OG0001075	CAPO305658	CAEEL11648, CAEEL18873
OG0001076	CAPO306580	CAEEL07541
OG0001078	CAPO300211	CAEEL19295
OG0001082	CAPO306944	CAEEL19080, CAEEL19079, CAEEL09741
OG0001083	CAPO306339	CAEEL06682
OG0001085	CAPO305936	CAEEL09995, CAEEL09996
OG0001092	CAPO303664	CAEEL07387
OG0001095	CAPO303064	CAEEL07595
OG0001096	CAPO308143	CAEEL04621, CAEEL17752
OG0001101	CAPO301529	CAEEL11585
OG0001104	CAPO306923	CAEEL09176, CAEEL09177, CAEEL20081
OG0001108	CAPO300863	CAEEL09307
OG0001113	CAPO302840	CAEEL15158
OG0001113	CAPO304589	CAEEL07385
OG0001114	CAPO301899, CAPO307418	CAEEL11582, CAEEL01758, CAEEL01759
OG0001116	CAPO303103	CAEEL08324, CAEEL04351
OG0001122	CAPO300744	CAEEL18238
OG0001123	CAPO307047	CAEEL02049
OG0001124	CAPO307326	CAEEL08814
OG0001126	CAPO301067	CAEEL04859
OG0001128	CAPO301710	CAEEL12985
OG0001130	CAPO305636	CAEEL00952, CAEEL00232, CAEEL00767
OG0001132	CAPO303538	CAEEL04290
OG0001133	CAPO300360	CAEEL11294
OG0001135	CAPO304787	CAEEL02069
OG0001136	CAPO301949	CAEEL02001
OG0001137	CAPO308164	CAEEL04790
OG0001139	CAPO300537	CAEEL06928, CAEEL15457, CAEEL07849
OG0001140	CAPO308326	CAEEL14389
OG0001142	CAPO304790	CAEEL12657
OG0001143	CAPO304300	CAEEL01013, CAEEL14813
OG0001148	CAPO302512	CAEEL13935, CAEEL13934, CAEEL01993
OG0001156	CAPO306962	CAEEL20728
OG0001158	CAPO302639	CAEEL00147
OG0001160	CAPO304743	CAEEL16381, CAEEL20121
OG0001161	CAPO301112	CAEEL00221
OG0001163	CAPO301684, CAPO307755, CAPO304886	CAEEL11823, CAEEL14454, CAEEL17374
OG0001164	CAPO304142	CAEEL07306
OG0001167	CAPO307849	CAEEL04546
OG0001168	CAPO301546	CAEEL02000
OG0001171	CAPO300420	CAEEL20677
OG0001175	CAPO304133, CAPO306812	CAEEL15152, CAEEL14463, CAEEL15032, CAEEL15031, CAEEL06075, CAEEL10718
OG0001179	CAPO300184	CAEEL05526, CAEEL04874, CAEEL19023, CAEEL20466, CAEEL07894, CAEEL04651, CAEEL04194, CAEEL05939
OG0001181	CAPO301983	CAEEL08327
OG0001183	CAPO301096	CAEEL12969, CAEEL02318
OG0001184	CAPO306392	CAEEL20576
OG0001185	CAPO303366	CAEEL01778
OG0001186	CAPO302303	CAEEL00480
OG0001186	CAPO307451	CAEEL09703
OG0001188	CAPO300558	CAEEL14362
OG0001197	CAPO306552	CAEEL11613
OG0001201	CAPO302220	CAEEL02666
OG0001208	CAPO300830	CAEEL10574
OG0001209	CAPO302948	CAEEL00442
OG0001210	CAPO300919	CAEEL06396
OG0001210	CAPO302732, CAPO302555	CAEEL06380
OG0001213	CAPO304729	CAEEL01138, CAEEL01163, CAEEL01148, CAEEL04429, CAEEL04430
OG0001214	CAPO304780	CAEEL08401
OG0001215	CAPO302583	CAEEL11249
OG0001216	CAPO307997	CAEEL04644
OG0001217	CAPO306810	CAEEL08746
OG0001218	CAPO307457	CAEEL20131, CAEEL14167
OG0001221	CAPO307765	CAEEL13124, CAEEL16003
OG0001226	CAPO307936	CAEEL02848, CAEEL02849
OG0001233	CAPO303591	CAEEL03755, CAEEL04189
OG0001234	CAPO307897	CAEEL00806
OG0001241	CAPO303368	CAEEL01749
OG0001241	CAPO304888	CAEEL19375
OG0001247	CAPO303193, CAPO307423	CAEEL10570
OG0001248	CAPO303079	CAEEL08830, CAEEL08829
OG0001249	CAPO306922	CAEEL06406
OG0001250	CAPO302323	CAEEL18712
OG0001251	CAPO304205	CAEEL10205
OG0001251	CAPO302019	CAEEL01802
OG0001252	CAPO300016	CAEEL05030
OG0001253	CAPO306156	CAEEL10888, CAEEL10887
OG0001254	CAPO307546	CAEEL00935
OG0001261	CAPO302839	CAEEL07850
OG0001262	CAPO301672	CAEEL15249, CAEEL20627
OG0001267	CAPO307578	CAEEL14111
OG0001268	CAPO303692	CAEEL11342
OG0001270	CAPO306176, CAPO306096, CAPO304393	CAEEL01959
OG0001271	CAPO302779	CAEEL15623, CAEEL08717, CAEEL00634
OG0001272	CAPO305566	CAEEL07720, CAEEL09293
OG0001274	CAPO308194	CAEEL20835, CAEEL00917, CAEEL15316, CAEEL07981
OG0001278	CAPO306229	CAEEL20013, CAEEL10735
OG0001279	CAPO302733	CAEEL15321, CAEEL15322, CAEEL20353
OG0001280	CAPO300326	CAEEL00726
OG0001281	CAPO304088, CAPO303543	CAEEL05459
OG0001282	CAPO303595	CAEEL04296
OG0001284	CAPO300970	CAEEL08223, CAEEL01272
OG0001285	CAPO304179	CAEEL06501
OG0001286	CAPO303892	CAEEL20246
OG0001287	CAPO302822, CAPO304538	CAEEL16475
OG0001288	CAPO302651	CAEEL18355
OG0001289	CAPO306071	CAEEL10515
OG0001290	CAPO302574	CAEEL12280, CAEEL12279
OG0001291	CAPO300695	CAEEL11483
OG0001294	CAPO304223	CAEEL15893
OG0001296	CAPO308260	CAEEL00003, CAEEL14758
OG0001297	CAPO305437	CAEEL07748, CAEEL07749
OG0001300	CAPO300154	CAEEL09562
OG0001302	CAPO302654	CAEEL01736
OG0001302	CAPO302215	CAEEL12633
OG0001304	CAPO302419	CAEEL00728
OG0001305	CAPO304488	CAEEL19700
OG0001310	CAPO305405	CAEEL16286
OG0001311	CAPO300585	CAEEL07271, CAEEL18160
OG0001318	CAPO306280	CAEEL06153
OG0001318	CAPO303315	CAEEL02686
OG0001319	CAPO304915	CAEEL15967
OG0001320	CAPO307498	CAEEL02958
OG0001320	CAPO304958	CAEEL05842, CAEEL10256, CAEEL08614, CAEEL15241, CAEEL08907
OG0001323	CAPO301735	CAEEL15888
OG0001325	CAPO304115	CAEEL12980
OG0001326	CAPO306149	CAEEL18463, CAEEL12672, CAEEL19447
OG0001327	CAPO305568	CAEEL12070
OG0001330	CAPO304584, CAPO300112	CAEEL07772
OG0001332	CAPO305487	CAEEL00462, CAEEL09523, CAEEL04986, CAEEL04987
OG0001333	CAPO301191, CAPO305523	CAEEL08384, CAEEL10397, CAEEL14152, CAEEL14148, CAEEL14153
OG0001341	CAPO307567, CAPO304661	CAEEL12273
OG0001344	CAPO308153	CAEEL12166
OG0001348	CAPO304908	CAEEL20290
OG0001350	CAPO305116, CAPO303054	CAEEL06068
OG0001350	CAPO307484	CAEEL05555
OG0001353	CAPO303379	CAEEL07231
OG0001355	CAPO307732	CAEEL19633
OG0001359	CAPO303726	CAEEL02703
OG0001361	CAPO306689	CAEEL05269, CAEEL05268
OG0001364	CAPO307249	CAEEL04735, CAEEL16269
OG0001366	CAPO302707	CAEEL07140
OG0001367	CAPO304628	CAEEL16176
OG0001370	CAPO305064	CAEEL19838
OG0001370	CAPO306956	CAEEL11201
OG0001372	CAPO301063	CAEEL04824, CAEEL16917
OG0001372	CAPO306529	CAEEL01785
OG0001373	CAPO300734	CAEEL18831
OG0001378	CAPO302717	CAEEL01898
OG0001379	CAPO304865	CAEEL20800, CAEEL08440
OG0001383	CAPO300442	CAEEL18479
OG0001386	CAPO305078	CAEEL05969, CAEEL04816, CAEEL08301
OG0001387	CAPO306110, CAPO306288	CAEEL01449, CAEEL05040, CAEEL06498
OG0001397	CAPO306119	CAEEL05815, CAEEL05422, CAEEL16780, CAEEL05924, CAEEL19916, CAEEL19290
OG0001399	CAPO304148	CAEEL00972
OG0001404	CAPO302450	CAEEL15778
OG0001405	CAPO302942	CAEEL02297
OG0001408	CAPO304468	CAEEL19513
OG0001409	CAPO300832	CAEEL02567
OG0001410	CAPO304381	CAEEL16277
OG0001411	CAPO301653	CAEEL07405
OG0001412	CAPO304843	CAEEL09044
OG0001413	CAPO300375	CAEEL08368
OG0001414	CAPO301834, CAPO303273	CAEEL13823
OG0001415	CAPO307087	CAEEL07146
OG0001416	CAPO300753	CAEEL04141, CAEEL04142
OG0001418	CAPO300218	CAEEL11722
OG0001422	CAPO308345, CAPO303120	CAEEL06778
OG0001423	CAPO301310	CAEEL18493
OG0001424	CAPO304776	CAEEL12121, CAEEL10850
OG0001425	CAPO302275, CAPO302850	CAEEL12269, CAEEL12270, CAEEL12268, CAEEL12271
OG0001426	CAPO302841	CAEEL06005, CAEEL06004
OG0001427	CAPO302723	CAEEL17428, CAEEL17430, CAEEL05861
OG0001428	CAPO303027	CAEEL05279
OG0001430	CAPO300562	CAEEL14236
OG0001431	CAPO308230	CAEEL01932, CAEEL07478
OG0001437	CAPO304955	CAEEL01346, CAEEL01345
OG0001440	CAPO305450	CAEEL02919
OG0001445	CAPO301958	CAEEL10043, CAEEL10044
OG0001446	CAPO304614	CAEEL19040, CAEEL19039
OG0001447	CAPO307093	CAEEL00798, CAEEL00797
OG0001449	CAPO306822	CAEEL05216
OG0001452	CAPO301933	CAEEL02837
OG0001454	CAPO303806	CAEEL07513
OG0001459	CAPO307035	CAEEL20135, CAEEL17975
OG0001460	CAPO300988	CAEEL11040, CAEEL11027
OG0001461	CAPO303413, CAPO301012, CAPO307458, CAPO305472	CAEEL09368
OG0001466	CAPO305831	CAEEL00165
OG0001467	CAPO304882	CAEEL08160, CAEEL08126
OG0001468	CAPO306475	CAEEL01968, CAEEL01966, CAEEL01967
OG0001469	CAPO306371	CAEEL06147
OG0001469	CAPO301724	CAEEL06502
OG0001472	CAPO300986	CAEEL07491
OG0001472	CAPO305311	CAEEL02663
OG0001473	CAPO304310	CAEEL15728, CAEEL16017
OG0001474	CAPO306191	CAEEL07328
OG0001475	CAPO305552	CAEEL04851, CAEEL05298
OG0001476	CAPO305062	CAEEL00667
OG0001478	CAPO303095, CAPO304965	CAEEL11433
OG0001479	CAPO306515	CAEEL19245
OG0001482	CAPO307610	CAEEL08859
OG0001484	CAPO301411	CAEEL01076, CAEEL01075
OG0001485	CAPO301954	CAEEL01187
OG0001486	CAPO302441	CAEEL06199
OG0001490	CAPO305433	CAEEL16486
OG0001492	CAPO305155	CAEEL08792
OG0001500	CAPO300054	CAEEL11009
OG0001501	CAPO305474	CAEEL00103
OG0001503	CAPO305666	CAEEL04111
OG0001503	CAPO307598	CAEEL08520
OG0001504	CAPO307661	CAEEL05392
OG0001505	CAPO301009	CAEEL05185, CAEEL08607
OG0001506	CAPO300953	CAEEL04371
OG0001507	CAPO304204	CAEEL02101
OG0001509	CAPO306441	CAEEL18350
OG0001512	CAPO301118	CAEEL01283
OG0001515	CAPO302117	CAEEL07033
OG0001516	CAPO300345	CAEEL05831
OG0001517	CAPO303690	CAEEL20700
OG0001520	CAPO304455	CAEEL18914
OG0001520	CAPO300134	CAEEL04885
OG0001522	CAPO303667	CAEEL01881
OG0001524	CAPO300996	CAEEL20737, CAEEL20736
OG0001524	CAPO308304	CAEEL18987, CAEEL00715
OG0001525	CAPO303907	CAEEL08599, CAEEL13978, CAEEL13977, CAEEL14698, CAEEL08600
OG0001526	CAPO305679	CAEEL19873
OG0001527	CAPO300128	CAEEL08026
OG0001527	CAPO307636	CAEEL02029
OG0001529	CAPO300593	CAEEL01822, CAEEL20748, CAEEL06896
OG0001530	CAPO302602	CAEEL11993
OG0001532	CAPO300282	CAEEL04337, CAEEL04338, CAEEL04294, CAEEL05090
OG0001533	CAPO306032	CAEEL01048, CAEEL19033, CAEEL11552
OG0001551	CAPO306604	CAEEL13359
OG0001553	CAPO308172	CAEEL10745
OG0001554	CAPO302370	CAEEL00812
OG0001557	CAPO304176	CAEEL09508
OG0001558	CAPO301132	CAEEL05103, CAEEL08374
OG0001559	CAPO301785	CAEEL16062
OG0001561	CAPO301999	CAEEL11007
OG0001567	CAPO300948	CAEEL04524
OG0001568	CAPO301468	CAEEL15339
OG0001570	CAPO303364	CAEEL11034
OG0001572	CAPO304756	CAEEL00311
OG0001576	CAPO306270	CAEEL00120
OG0001578	CAPO300715	CAEEL10814, CAEEL18928
OG0001580	CAPO307900	CAEEL02579
OG0001581	CAPO306056	CAEEL09430, CAEEL13347, CAEEL16915
OG0001582	CAPO307073	CAEEL07031, CAEEL00211
OG0001583	CAPO306289	CAEEL19802
OG0001584	CAPO301068	CAEEL09032
OG0001589	CAPO303301, CAPO304004	CAEEL18417
OG0001590	CAPO306067, CAPO302386	CAEEL15262, CAEEL15263
OG0001593	CAPO305942	CAEEL02963, CAEEL13946
OG0001594	CAPO307886	CAEEL08545
OG0001594	CAPO304243	CAEEL04807, CAEEL04125
OG0001597	CAPO302703	CAEEL10283
OG0001599	CAPO300887	CAEEL20479, CAEEL04103, CAEEL04085, CAEEL04084, CAEEL04105, CAEEL20015, CAEEL16864, CAEEL14815
OG0001603	CAPO306228	CAEEL02713, CAEEL14729
OG0001604	CAPO303898	CAEEL04879
OG0001605	CAPO307473	CAEEL09382
OG0001609	CAPO304683	CAEEL19774
OG0001609	CAPO302057	CAEEL10790
OG0001610	CAPO301483	CAEEL02035, CAEEL20252
OG0001611	CAPO305038	CAEEL15699
OG0001612	CAPO302202	CAEEL02577
OG0001614	CAPO303895	CAEEL01012
OG0001615	CAPO300749	CAEEL04670
OG0001617	CAPO302798	CAEEL10780
OG0001621	CAPO302875	CAEEL08615
OG0001628	CAPO300760, CAPO302722	CAEEL00193
OG0001635	CAPO300153, CAPO303711	CAEEL08024
OG0001638	CAPO303528	CAEEL09133, CAEEL15796, CAEEL12088, CAEEL20172
OG0001641	CAPO303281	CAEEL00743
OG0001643	CAPO306838	CAEEL19599
OG0001652	CAPO302838	CAEEL15807, CAEEL15806
OG0001653	CAPO305118	CAEEL03026
OG0001655	CAPO302812	CAEEL05314
OG0001657	CAPO304165, CAPO303952	CAEEL08928, CAEEL08927
OG0001661	CAPO302789	CAEEL14147
OG0001663	CAPO301057	CAEEL10899, CAEEL10898
OG0001664	CAPO303152	CAEEL04260
OG0001665	CAPO302331	CAEEL07716
OG0001672	CAPO301880	CAEEL08375
OG0001673	CAPO305520	CAEEL17135, CAEEL17134, CAEEL17133, CAEEL02728
OG0001675	CAPO307574	CAEEL00808
OG0001676	CAPO305992	CAEEL01617
OG0001677	CAPO307978	CAEEL07860
OG0001679	CAPO302155, CAPO305784	CAEEL18912
OG0001680	CAPO304235, CAPO304477	CAEEL15664
OG0001684	CAPO300563	CAEEL08266, CAEEL08513, CAEEL19560
OG0001685	CAPO307707	CAEEL06629, CAEEL19461
OG0001688	CAPO300133	CAEEL06653
OG0001690	CAPO304820	CAEEL02923
OG0001691	CAPO307420	CAEEL09136, CAEEL09137
OG0001706	CAPO301033	CAEEL00824
OG0001706	CAPO304012, CAPO300702	CAEEL07216
OG0001707	CAPO303836	CAEEL18144, CAEEL17802
OG0001709	CAPO304969	CAEEL07646, CAEEL07650
OG0001711	CAPO301872	CAEEL15052
OG0001713	CAPO308041	CAEEL04261
OG0001713	CAPO302278	CAEEL02704
OG0001714	CAPO306669	CAEEL12772
OG0001714	CAPO300188	CAEEL15825
OG0001718	CAPO300964, CAPO301559, CAPO301838	CAEEL12769
OG0001720	CAPO303957	CAEEL07819
OG0001721	CAPO302302	CAEEL10104, CAEEL11043
OG0001723	CAPO308089	CAEEL19731
OG0001724	CAPO306474, CAPO305584	CAEEL00188, CAEEL09412
OG0001727	CAPO301729	CAEEL15354
OG0001730	CAPO303469	CAEEL04519
OG0001732	CAPO304710	CAEEL05337
OG0001733	CAPO306615	CAEEL11586
OG0001734	CAPO306594	CAEEL11289
OG0001735	CAPO301389	CAEEL08598
OG0001736	CAPO300355	CAEEL15724, CAEEL15493
OG0001738	CAPO301655	CAEEL09745, CAEEL09746
OG0001739	CAPO304154	CAEEL10953
OG0001743	CAPO306128	CAEEL18830
OG0001746	CAPO306662	CAEEL09374
OG0001750	CAPO304954	CAEEL08294
OG0001755	CAPO300413	CAEEL12716
OG0001756	CAPO301153, CAPO306605	CAEEL02757
OG0001769	CAPO300754	CAEEL12367
OG0001770	CAPO304551	CAEEL12180
OG0001774	CAPO302411	CAEEL20358, CAEEL07377, CAEEL01266
OG0001775	CAPO300385, CAPO303998	CAEEL01757
OG0001778	CAPO303585	CAEEL00649
OG0001780	CAPO305647	CAEEL12979
OG0001781	CAPO304059	CAEEL04378
OG0001781	CAPO306335	CAEEL06468
OG0001783	CAPO302497	CAEEL18807
OG0001787	CAPO302384	CAEEL07669
OG0001792	CAPO302146	CAEEL00159
OG0001793	CAPO302934	CAEEL07806
OG0001797	CAPO305230	CAEEL19521, CAEEL11913, CAEEL20460
OG0001799	CAPO307439	CAEEL07172
OG0001800	CAPO302099, CAPO301494	CAEEL10920, CAEEL02655, CAEEL10124
OG0001805	CAPO300912, CAPO301307	CAEEL10422, CAEEL19401
OG0001807	CAPO305640	CAEEL10807
OG0001808	CAPO300354	CAEEL18904
OG0001809	CAPO307543	CAEEL18133
OG0001811	CAPO304043	CAEEL12329
OG0001814	CAPO305508	CAEEL07743, CAEEL12567, CAEEL07744
OG0001816	CAPO300431	CAEEL05710
OG0001818	CAPO302088	CAEEL16460
OG0001819	CAPO307172	CAEEL08110
OG0001820	CAPO300515	CAEEL00161
OG0001822	CAPO301119	CAEEL14275, CAEEL14276
OG0001825	CAPO306238	CAEEL00895
OG0001827	CAPO303060	CAEEL12511
OG0001828	CAPO305081	CAEEL07411
OG0001830	CAPO300316	CAEEL00742
OG0001831	CAPO306824	CAEEL10161, CAEEL19257
OG0001834	CAPO301512	CAEEL08270
OG0001846	CAPO307118	CAEEL02581, CAEEL02580
OG0001849	CAPO303014	CAEEL04779, CAEEL07132
OG0001850	CAPO301689	CAEEL04901
OG0001852	CAPO304588, CAPO303604, CAPO307101	CAEEL10571
OG0001857	CAPO306766	CAEEL04635
OG0001860	CAPO306960	CAEEL19534
OG0001861	CAPO306489	CAEEL19043
OG0001864	CAPO300448	CAEEL00359
OG0001865	CAPO301778	CAEEL08319
OG0001866	CAPO306683	CAEEL12131
OG0001867	CAPO305885, CAPO302026	CAEEL18932
OG0001870	CAPO303422	CAEEL18619
OG0001873	CAPO305494	CAEEL14280, CAEEL14281, CAEEL15718
OG0001875	CAPO300770	CAEEL09917
OG0001878	CAPO300594	CAEEL07138
OG0001879	CAPO302675	CAEEL07021, CAEEL20524, CAEEL09154
OG0001883	CAPO304395	CAEEL19810
OG0001886	CAPO301013	CAEEL20566, CAEEL20351
OG0001888	CAPO307373	CAEEL18672, CAEEL11639
OG0001895	CAPO300178	CAEEL00352, CAEEL16104
OG0001898	CAPO303887	CAEEL15099
OG0001900	CAPO306468, CAPO308362	CAEEL16160
OG0001901	CAPO302174	CAEEL08532, CAEEL08531
OG0001903	CAPO301651	CAEEL12995
OG0001913	CAPO308270	CAEEL00139
OG0001914	CAPO308187	CAEEL15938
OG0001915	CAPO305922	CAEEL10189
OG0001916	CAPO304398	CAEEL14482, CAEEL16425, CAEEL07131
OG0001917	CAPO303937	CAEEL05323, CAEEL05320, CAEEL05322, CAEEL05321
OG0001919	CAPO300799	CAEEL18092
OG0001923	CAPO300364	CAEEL00866, CAEEL02499
OG0001926	CAPO308203	CAEEL05295
OG0001928	CAPO303627	CAEEL19148
OG0001930	CAPO301567	CAEEL01812
OG0001932	CAPO304653	CAEEL18548, CAEEL17132
OG0001935	CAPO301339	CAEEL01455
OG0001939	CAPO304703	CAEEL05317
OG0001940	CAPO307447	CAEEL08846
OG0001945	CAPO302125, CAPO302413	CAEEL05071
OG0001947	CAPO306182	CAEEL20697
OG0001948	CAPO307548	CAEEL15692
OG0001949	CAPO303945	CAEEL19721
OG0001951	CAPO305792	CAEEL08644, CAEEL02798
OG0001953	CAPO306993	CAEEL01457
OG0001956	CAPO302405	CAEEL07023
OG0001961	CAPO301591	CAEEL11703
OG0001963	CAPO304559	CAEEL09651
OG0001964	CAPO306144	CAEEL12015, CAEEL18880
OG0001965	CAPO305377	CAEEL15340
OG0001966	CAPO308069	CAEEL15352, CAEEL06723
OG0001968	CAPO303436	CAEEL10639
OG0001969	CAPO301897	CAEEL09244, CAEEL09472, CAEEL00361
OG0001985	CAPO307425	CAEEL08373, CAEEL02584, CAEEL02585
OG0001988	CAPO301454	CAEEL02095
OG0001989	CAPO303699	CAEEL20436
OG0001992	CAPO301694	CAEEL00543
OG0001994	CAPO307422	CAEEL19344, CAEEL02372
OG0001998	CAPO304169, CAPO304168	CAEEL08296
OG0001999	CAPO303159	CAEEL06715
OG0002000	CAPO305912	CAEEL08459
OG0002001	CAPO301730, CAPO305766	CAEEL07856
OG0002003	CAPO306645	CAEEL18663
OG0002004	CAPO305661, CAPO300359	CAEEL08821, CAEEL14586, CAEEL09383, CAEEL11550
OG0002006	CAPO302881	CAEEL16051, CAEEL18232
OG0002008	CAPO308237	CAEEL11706
OG0002009	CAPO305521, CAPO304107	CAEEL18123, CAEEL18838, CAEEL10136, CAEEL10135, CAEEL10131, CAEEL08207
OG0002011	CAPO305222	CAEEL06587, CAEEL01459
OG0002015	CAPO304377	CAEEL07232
OG0002016	CAPO300736, CAPO303360	CAEEL10751
OG0002020	CAPO301809, CAPO306607	CAEEL20282
OG0002025	CAPO301502	CAEEL01720
OG0002026	CAPO307889, CAPO306582	CAEEL09267
OG0002027	CAPO307021	CAEEL19841
OG0002029	CAPO301097	CAEEL13677, CAEEL13172, CAEEL13173, CAEEL06446, CAEEL19628
OG0002031	CAPO300135	CAEEL07288
OG0002032	CAPO304689	CAEEL15092
OG0002042	CAPO300525	CAEEL11958, CAEEL11961, CAEEL11957, CAEEL11960, CAEEL13817
OG0002043	CAPO306649	CAEEL01497
OG0002058	CAPO300289	CAEEL19167, CAEEL04214, CAEEL05165, CAEEL05708, CAEEL12727, CAEEL05570
OG0002062	CAPO301382	CAEEL01567
OG0002063	CAPO302417	CAEEL01336
OG0002066	CAPO300576	CAEEL04964
OG0002067	CAPO302721	CAEEL08430
OG0002068	CAPO303650	CAEEL15280
OG0002073	CAPO302333	CAEEL08416, CAEEL13072, CAEEL01141, CAEEL05593
OG0002074	CAPO304152	CAEEL18383
OG0002076	CAPO303117	CAEEL17850
OG0002078	CAPO302217	CAEEL04535
OG0002079	CAPO302876, CAPO301402	CAEEL07901
OG0002080	CAPO307474, CAPO307552	CAEEL03246, CAEEL12691
OG0002081	CAPO300584	CAEEL14941, CAEEL14928
OG0002087	CAPO306536	CAEEL07742
OG0002093	CAPO304254	CAEEL02211, CAEEL19978
OG0002094	CAPO303399	CAEEL11189, CAEEL11187, CAEEL11188, CAEEL10823
OG0002097	CAPO302111	CAEEL03161, CAEEL00098, CAEEL19231
OG0002099	CAPO306675	CAEEL05221
OG0002101	CAPO307803	CAEEL04990
OG0002103	CAPO305235	CAEEL16392, CAEEL16394
OG0002106	CAPO300071	CAEEL18235, CAEEL08825
OG0002107	CAPO302852	CAEEL07845
OG0002108	CAPO303834	CAEEL05450, CAEEL05957, CAEEL15378
OG0002122	CAPO300191	CAEEL09431
OG0002123	CAPO303373	CAEEL05315
OG0002124	CAPO300980	CAEEL05107
OG0002131	CAPO302159	CAEEL00336
OG0002135	CAPO300616, CAPO300802	CAEEL01398, CAEEL15762
OG0002136	CAPO300292	CAEEL12257
OG0002144	CAPO308205	CAEEL08787
OG0002145	CAPO305963	CAEEL00125
OG0002146	CAPO303694	CAEEL10604
OG0002147	CAPO307247	CAEEL05229
OG0002148	CAPO301311	CAEEL13205
OG0002150	CAPO305991	CAEEL15750, CAEEL00860
OG0002151	CAPO300513	CAEEL19229
OG0002152	CAPO305214	CAEEL00179
OG0002156	CAPO307789	CAEEL08424
OG0002159	CAPO301618	CAEEL05394
OG0002160	CAPO306354	CAEEL05075
OG0002165	CAPO306860	CAEEL07004, CAEEL04348, CAEEL13880
OG0002166	CAPO300536	CAEEL06693, CAEEL06692
OG0002168	CAPO305846	CAEEL06529
OG0002169	CAPO305188, CAPO305186	CAEEL19452
OG0002170	CAPO306065	CAEEL11886
OG0002171	CAPO300657	CAEEL09512, CAEEL09511
