Orthogroup	CAPO3	XENTR
OG0000697	CAPO304466, CAPO306724	XENTR02874, XENTR02556, XENTR06818, XENTR11308
OG0000699	CAPO306785, CAPO302735	XENTR15466, XENTR05930, XENTR17608, XENTR08575
OG0000701	CAPO306727	XENTR08735, XENTR08734, XENTR08926, XENTR08927, XENTR06451, XENTR01949
OG0000703	CAPO308078	XENTR08730, XENTR08729, XENTR05594
OG0000706	CAPO301985	XENTR09148, XENTR02593
OG0000708	CAPO302130	XENTR03991
OG0000708	CAPO300640	XENTR06811
OG0000709	CAPO305451	XENTR12794
OG0000711	CAPO304713	XENTR10807, XENTR17290, XENTR14028, XENTR12075, XENTR10806
OG0000713	CAPO302804	XENTR18876, XENTR06309
OG0000715	CAPO305197	XENTR03141, XENTR05201, XENTR15992
OG0000716	CAPO306457	XENTR06302, XENTR07615, XENTR18854, XENTR11906
OG0000717	CAPO302989	XENTR04673, XENTR10456, XENTR15535
OG0000718	CAPO301597, CAPO306021	XENTR16847, XENTR16460, XENTR09687, XENTR17406, XENTR09096, XENTR10099
OG0000721	CAPO305154, CAPO301906	XENTR07131, XENTR04541, XENTR08795, XENTR14738, XENTR09604, XENTR10764
OG0000724	CAPO300826	XENTR15314
OG0000726	CAPO302910	XENTR09424, XENTR03808
OG0000731	CAPO304569	XENTR06230, XENTR09272, XENTR06186
OG0000732	CAPO304867	XENTR11927, XENTR08594
OG0000732	CAPO302445	XENTR13213, XENTR00357
OG0000733	CAPO301695	XENTR12956, XENTR09501, XENTR05537, XENTR08499
OG0000735	CAPO302824	XENTR03017, XENTR16831, XENTR00243, XENTR00244
OG0000736	CAPO306770	XENTR15994, XENTR08563, XENTR05404, XENTR04965, XENTR02910
OG0000737	CAPO304586	XENTR14208, XENTR06458
OG0000743	CAPO306268	XENTR01379, XENTR11189, XENTR01696, XENTR01380, XENTR01695
OG0000748	CAPO301276	XENTR10860, XENTR10861
OG0000751	CAPO302771	XENTR03358, XENTR00118
OG0000751	CAPO304118	XENTR09818
OG0000752	CAPO300507	XENTR03680
OG0000752	CAPO305335	XENTR00306
OG0000753	CAPO301378	XENTR13232
OG0000755	CAPO300267	XENTR15916, XENTR06639, XENTR08361, XENTR08360
OG0000757	CAPO300067	XENTR10378
OG0000758	CAPO305275	XENTR12870, XENTR12401, XENTR02503, XENTR06058
OG0000759	CAPO300473	XENTR03136, XENTR03134, XENTR01884, XENTR05238, XENTR18352
OG0000761	CAPO305655	XENTR17935, XENTR12007, XENTR15207, XENTR01309
OG0000765	CAPO301853	XENTR01990, XENTR01184
OG0000766	CAPO300388	XENTR13873, XENTR17891, XENTR13807, XENTR00551
OG0000767	CAPO305367	XENTR03830, XENTR11683, XENTR00589
OG0000768	CAPO306612, CAPO302492, CAPO307738, CAPO305672, CAPO305904	XENTR00756, XENTR13472, XENTR18974
OG0000772	CAPO304708, CAPO302709	XENTR07457, XENTR07456, XENTR07455
OG0000774	CAPO306995	XENTR04669, XENTR14580, XENTR04231
OG0000775	CAPO306201	XENTR09141, XENTR01130
OG0000776	CAPO307356	XENTR04910, XENTR05244
OG0000779	CAPO305943	XENTR06178
OG0000779	CAPO300301	XENTR02460, XENTR07467, XENTR06587
OG0000788	CAPO304590	XENTR04467, XENTR16399, XENTR15693, XENTR18205
OG0000791	CAPO304699	XENTR01881, XENTR06218, XENTR04189
OG0000792	CAPO305838	XENTR02294, XENTR08546, XENTR07185, XENTR01146
OG0000793	CAPO301604	XENTR18227, XENTR14087, XENTR10065, XENTR12127, XENTR12126
OG0000794	CAPO304031	XENTR04044, XENTR01141, XENTR18009
OG0000797	CAPO307534	XENTR01630, XENTR05651
OG0000803	CAPO301668	XENTR10876, XENTR10877
OG0000810	CAPO305098, CAPO306601	XENTR00056, XENTR17048, XENTR16257
OG0000813	CAPO300040, CAPO308168	XENTR13150, XENTR13151
OG0000814	CAPO307227	XENTR13230, XENTR03397
OG0000815	CAPO300838	XENTR02731, XENTR05406, XENTR02911
OG0000816	CAPO304990	XENTR12785, XENTR13049, XENTR02094, XENTR05575, XENTR16977
OG0000818	CAPO307028	XENTR04812
OG0000818	CAPO307656	XENTR00964, XENTR01697, XENTR05672
OG0000820	CAPO303993, CAPO304861, CAPO306914, CAPO301340, CAPO300173, CAPO302332, CAPO305090, CAPO300452	XENTR14094, XENTR03160, XENTR05390, XENTR07096
OG0000824	CAPO303788	XENTR04940, XENTR04939, XENTR11038
OG0000825	CAPO305165, CAPO306157, CAPO306129	XENTR01022, XENTR10589, XENTR16089, XENTR09274
OG0000826	CAPO306060	XENTR02499
OG0000827	CAPO304578	XENTR16985, XENTR18584
OG0000828	CAPO306023	XENTR00582
OG0000828	CAPO307153	XENTR06348
OG0000834	CAPO306233	XENTR08567, XENTR17187, XENTR03386, XENTR12342
OG0000836	CAPO306019, CAPO307821	XENTR10284, XENTR11931, XENTR11932
OG0000837	CAPO308104, CAPO303511	XENTR12402, XENTR04077, XENTR09514, XENTR18045
OG0000838	CAPO303856	XENTR08945, XENTR18076, XENTR05664
OG0000841	CAPO307470	XENTR17534, XENTR09566, XENTR09621, XENTR09619, XENTR08800
OG0000844	CAPO306591, CAPO307267	XENTR17965, XENTR18460, XENTR06250
OG0000845	CAPO303615	XENTR10269, XENTR12604, XENTR08484
OG0000847	CAPO301759, CAPO307057	XENTR18143, XENTR18591
OG0000847	CAPO308298	XENTR00819
OG0000849	CAPO304492	XENTR02560, XENTR07414, XENTR04112
OG0000850	CAPO302141	XENTR00057
OG0000850	CAPO306299	XENTR12447
OG0000851	CAPO304092	XENTR10592, XENTR01014
OG0000852	CAPO307622	XENTR02441, XENTR15626
OG0000857	CAPO302559	XENTR11492
OG0000858	CAPO306693	XENTR18845, XENTR10077, XENTR10078
OG0000860	CAPO306338	XENTR06781, XENTR03999
OG0000872	CAPO308293	XENTR10169, XENTR12689, XENTR12885
OG0000873	CAPO307878	XENTR15243, XENTR11936, XENTR08135
OG0000875	CAPO303418, CAPO302903	XENTR15432, XENTR08213
OG0000876	CAPO302150	XENTR06284, XENTR06285, XENTR03810, XENTR01097
OG0000877	CAPO304981	XENTR02432, XENTR02438, XENTR19180
OG0000879	CAPO301982	XENTR03813
OG0000881	CAPO301333, CAPO300020	XENTR12933, XENTR12934
OG0000881	CAPO308042	XENTR11112, XENTR11328
OG0000888	CAPO300320	XENTR12831, XENTR13292, XENTR13291
OG0000889	CAPO302257	XENTR17043
OG0000889	CAPO304144	XENTR16104, XENTR00818
OG0000890	CAPO304283	XENTR18941, XENTR07606, XENTR07605, XENTR12846
OG0000894	CAPO300968, CAPO300967	XENTR12194
OG0000894	CAPO301227	XENTR04788, XENTR16604
OG0000896	CAPO301183	XENTR18869
OG0000896	CAPO304049	XENTR13448, XENTR09474
OG0000897	CAPO306059	XENTR01334, XENTR01333, XENTR01226, XENTR03509
OG0000898	CAPO302619	XENTR03982, XENTR12217
OG0000899	CAPO300655	XENTR11770, XENTR11769, XENTR03655
OG0000904	CAPO305539	XENTR10340, XENTR08923, XENTR04176
OG0000909	CAPO300878	XENTR10672, XENTR12839, XENTR08443
OG0000911	CAPO302608	XENTR18175, XENTR13431, XENTR10007, XENTR05207
OG0000912	CAPO302397	XENTR06455, XENTR12826, XENTR08744, XENTR17481, XENTR06537
OG0000913	CAPO300255	XENTR01593, XENTR13952
OG0000914	CAPO302002	XENTR11295, XENTR10460, XENTR02522, XENTR02868
OG0000915	CAPO306555	XENTR06376, XENTR07971, XENTR14552, XENTR15550
OG0000925	CAPO304563	XENTR13985, XENTR02311
OG0000928	CAPO301245	XENTR05033, XENTR05285
OG0000929	CAPO303494	XENTR00682, XENTR15957, XENTR09138, XENTR05468, XENTR05469
OG0000931	CAPO303586	XENTR02004, XENTR07908, XENTR01984
OG0000933	CAPO304170	XENTR09950, XENTR06630, XENTR08513
OG0000934	CAPO306946, CAPO300619	XENTR14739, XENTR18207
OG0000934	CAPO304006	XENTR11383, XENTR18032
OG0000935	CAPO307401	XENTR12574, XENTR06757, XENTR07228, XENTR08768
OG0000944	CAPO304090	XENTR10992, XENTR07595, XENTR10654, XENTR10653, XENTR03094, XENTR03561, XENTR14742, XENTR14462, XENTR00679
OG0000952	CAPO300179	XENTR06419, XENTR10974, XENTR07516, XENTR10972, XENTR10973
OG0000954	CAPO303535	XENTR04163
OG0000954	CAPO305800	XENTR07349, XENTR07350
OG0000955	CAPO303429	XENTR15251
OG0000955	CAPO308190	XENTR15299
OG0000960	CAPO304728	XENTR00488, XENTR11786, XENTR16830, XENTR19097
OG0000963	CAPO303990	XENTR09828, XENTR00065
OG0000965	CAPO305928	XENTR14312
OG0000965	CAPO302148	XENTR16944
OG0000967	CAPO304786	XENTR06702
OG0000970	CAPO301807	XENTR01182
OG0000974	CAPO306940	XENTR01619
OG0000978	CAPO306307	XENTR01707, XENTR17274, XENTR04595
OG0000982	CAPO301371	XENTR15733, XENTR18658, XENTR06997
OG0000984	CAPO307940	XENTR03417, XENTR01286, XENTR01285
OG0000985	CAPO304864	XENTR01934, XENTR16979, XENTR16978, XENTR04320, XENTR04319
OG0000986	CAPO305058	XENTR04261, XENTR01926
OG0000987	CAPO306365	XENTR06356, XENTR03812
OG0000992	CAPO308244	XENTR07391, XENTR15056, XENTR11894
OG0000993	CAPO303930	XENTR14928, XENTR18730
OG0000994	CAPO306999	XENTR15055
OG0000996	CAPO304603	XENTR00689, XENTR11665, XENTR03250
OG0000999	CAPO303484, CAPO302236	XENTR05421, XENTR17674, XENTR18093, XENTR05336
OG0001006	CAPO308145	XENTR01787, XENTR11011, XENTR15378, XENTR09358
OG0001009	CAPO305830	XENTR09611, XENTR19086, XENTR04072
OG0001015	CAPO304771	XENTR03903, XENTR02699, XENTR16275
OG0001016	CAPO300038	XENTR06361
OG0001016	CAPO302596	XENTR11007
OG0001018	CAPO305732	XENTR13405
OG0001024	CAPO300862	XENTR05573, XENTR09290, XENTR01956
OG0001033	CAPO305083	XENTR11737, XENTR02706
OG0001033	CAPO300376	XENTR00028, XENTR04288, XENTR04289, XENTR10639
OG0001036	CAPO301917	XENTR15810, XENTR02160
OG0001037	CAPO306107	XENTR06792, XENTR04702
OG0001039	CAPO305080	XENTR00807, XENTR10799, XENTR11115
OG0001042	CAPO301530	XENTR15139, XENTR17123, XENTR16376
OG0001044	CAPO305401, CAPO306389	XENTR05073, XENTR01479, XENTR18041
OG0001046	CAPO304357	XENTR01853, XENTR03892, XENTR03891, XENTR10518
OG0001048	CAPO306868	XENTR06473, XENTR14297, XENTR16609
OG0001049	CAPO306151	XENTR02876
OG0001049	CAPO305769	XENTR03223
OG0001050	CAPO306892	XENTR08446
OG0001050	CAPO306760	XENTR18291, XENTR03607, XENTR01418, XENTR01419, XENTR15902
OG0001060	CAPO307547, CAPO305773, CAPO307224, CAPO305772, CAPO301879	XENTR14378
OG0001060	CAPO302777	XENTR15320
OG0001062	CAPO300111	XENTR02358, XENTR00517, XENTR00439
OG0001066	CAPO305156	XENTR08375, XENTR18939, XENTR01227, XENTR05175
OG0001072	CAPO304331	XENTR01131, XENTR14054
OG0001073	CAPO307880	XENTR13757, XENTR03448, XENTR09013
OG0001075	CAPO305658	XENTR05482, XENTR14239, XENTR06059
OG0001076	CAPO306580	XENTR04369, XENTR03450
OG0001078	CAPO300211	XENTR16491, XENTR12278, XENTR05427, XENTR16318
OG0001082	CAPO306944	XENTR04166, XENTR03787
OG0001083	CAPO306339	XENTR14939, XENTR08964, XENTR02202, XENTR09760
OG0001085	CAPO305936	XENTR14464, XENTR18960, XENTR05968, XENTR02550
OG0001092	CAPO303664	XENTR04356, XENTR03567, XENTR04358
OG0001095	CAPO303064	XENTR12897, XENTR04215
OG0001096	CAPO308143	XENTR04979, XENTR04980, XENTR10593
OG0001101	CAPO301529	XENTR16380
OG0001104	CAPO306923	XENTR13239, XENTR13771, XENTR13900, XENTR18117
OG0001106	CAPO307850	XENTR12570, XENTR01358
OG0001108	CAPO300863	XENTR08568, XENTR01519
OG0001116	CAPO303103	XENTR15111, XENTR15112
OG0001120	CAPO300555	XENTR06417, XENTR10567, XENTR10976
OG0001121	CAPO305030	XENTR00146, XENTR15147
OG0001123	CAPO305010	XENTR10415
OG0001124	CAPO307326	XENTR16582, XENTR06212
OG0001126	CAPO301067	XENTR18698
OG0001126	CAPO308119	XENTR17124
OG0001128	CAPO301710	XENTR08508, XENTR02079, XENTR13449, XENTR13450
OG0001129	CAPO306230	XENTR05147, XENTR08362
OG0001130	CAPO305636	XENTR03434
OG0001132	CAPO303538	XENTR06989
OG0001133	CAPO302577	XENTR17678
OG0001133	CAPO300360	XENTR15362
OG0001134	CAPO304261	XENTR10250, XENTR00965, XENTR03216, XENTR03221
OG0001135	CAPO304787	XENTR01797, XENTR01779
OG0001136	CAPO301949	XENTR10642, XENTR00557, XENTR12118
OG0001137	CAPO308164	XENTR12668, XENTR04145
OG0001139	CAPO300537	XENTR12289, XENTR11375, XENTR07646, XENTR17010
OG0001140	CAPO308326	XENTR00230, XENTR13675, XENTR13933
OG0001142	CAPO304790	XENTR06629
OG0001143	CAPO304300	XENTR16291, XENTR08123, XENTR08124, XENTR08673, XENTR09685
OG0001144	CAPO307577	XENTR08544, XENTR07178, XENTR03323, XENTR03322
OG0001146	CAPO300511	XENTR04404, XENTR04096, XENTR12242
OG0001149	CAPO305549	XENTR12926, XENTR00444
OG0001156	CAPO306962	XENTR07093, XENTR06912, XENTR01092
OG0001157	CAPO304789	XENTR04127
OG0001158	CAPO302639	XENTR16126, XENTR16127, XENTR07686, XENTR07685
OG0001160	CAPO304743	XENTR08948, XENTR07949
OG0001161	CAPO301112	XENTR05290, XENTR17947
OG0001163	CAPO301684, CAPO307755, CAPO304886	XENTR08141
OG0001167	CAPO307849	XENTR07709, XENTR06636, XENTR08900
OG0001168	CAPO301546	XENTR12949, XENTR06904, XENTR00455
OG0001169	CAPO301751	XENTR00013, XENTR11448, XENTR18438
OG0001170	CAPO302766	XENTR11874, XENTR14412, XENTR07877, XENTR14411
OG0001171	CAPO300420	XENTR19114, XENTR06589, XENTR07471, XENTR02457
OG0001175	CAPO304133, CAPO306812	XENTR04334, XENTR01937
OG0001179	CAPO300184	XENTR01714
OG0001181	CAPO301983	XENTR02917, XENTR13969
OG0001183	CAPO301096	XENTR15931, XENTR15930
OG0001184	CAPO306392	XENTR11761
OG0001185	CAPO303366	XENTR05474, XENTR09610, XENTR09609
OG0001186	CAPO302303	XENTR07680, XENTR03745
OG0001186	CAPO307451	XENTR03736
OG0001188	CAPO300558	XENTR12660, XENTR10956, XENTR04124
OG0001196	CAPO301570	XENTR18694, XENTR11054, XENTR19094
OG0001197	CAPO306552	XENTR14109
OG0001199	CAPO305690	XENTR12723
OG0001201	CAPO302220	XENTR05955, XENTR17812, XENTR17811
OG0001202	CAPO306186	XENTR11567, XENTR11566
OG0001207	CAPO302093	XENTR10602, XENTR06956, XENTR16548
OG0001208	CAPO300830	XENTR05399, XENTR14797
OG0001209	CAPO302948	XENTR17550
OG0001210	CAPO300919	XENTR12983
OG0001213	CAPO304729	XENTR10507
OG0001213	CAPO303632	XENTR01205
OG0001214	CAPO304780	XENTR02921
OG0001215	CAPO302583	XENTR12954, XENTR16550, XENTR16549
OG0001216	CAPO307997	XENTR13109, XENTR05946
OG0001217	CAPO306810	XENTR07688, XENTR11580, XENTR00148, XENTR13893, XENTR11581
OG0001218	CAPO307457	XENTR16071, XENTR10134, XENTR14884, XENTR14883, XENTR16396
OG0001221	CAPO307765	XENTR15915
OG0001226	CAPO307936	XENTR11877, XENTR07881, XENTR05450
OG0001232	CAPO304224	XENTR01820
OG0001233	CAPO303591	XENTR15515
OG0001234	CAPO307897	XENTR15695, XENTR00503
OG0001241	CAPO303368	XENTR12971
OG0001241	CAPO304888	XENTR07087, XENTR02055
OG0001247	CAPO303193, CAPO307423	XENTR19062, XENTR18189, XENTR18467, XENTR11045
OG0001248	CAPO303079	XENTR01078, XENTR18804, XENTR03776
OG0001249	CAPO306922	XENTR10238, XENTR10239, XENTR04710, XENTR00318
OG0001250	CAPO302323	XENTR10529, XENTR04777, XENTR07316
OG0001251	CAPO302019	XENTR12411
OG0001252	CAPO300016	XENTR06520, XENTR03993, XENTR03992, XENTR09825
OG0001253	CAPO306156	XENTR01323, XENTR07953, XENTR11293, XENTR01322, XENTR02523
OG0001254	CAPO307546	XENTR03435, XENTR01471
OG0001261	CAPO302839	XENTR03563, XENTR16999
OG0001263	CAPO301777	XENTR06868
OG0001267	CAPO307578	XENTR14460, XENTR06333
OG0001268	CAPO303692	XENTR08282, XENTR18855
OG0001270	CAPO306176	XENTR01782
OG0001270	CAPO304393	XENTR12521, XENTR12522
OG0001271	CAPO302779	XENTR17754, XENTR02751, XENTR07226
OG0001272	CAPO305566	XENTR18340, XENTR09464, XENTR00960
OG0001273	CAPO301889	XENTR13224, XENTR14752, XENTR14082
OG0001274	CAPO308194	XENTR13249, XENTR15210, XENTR15211, XENTR07752
OG0001276	CAPO302888	XENTR09721, XENTR13760
OG0001278	CAPO306229	XENTR09813
OG0001279	CAPO302733	XENTR11976, XENTR14916
OG0001280	CAPO300326	XENTR13872, XENTR04350, XENTR07156
OG0001281	CAPO304088, CAPO303543	XENTR10819, XENTR07891, XENTR08370, XENTR12911, XENTR17643
OG0001282	CAPO303595	XENTR16436, XENTR00274
OG0001284	CAPO300970	XENTR15697, XENTR01467, XENTR01466
OG0001285	CAPO304179	XENTR08874, XENTR13103
OG0001286	CAPO303892	XENTR12060, XENTR12687
OG0001287	CAPO302822, CAPO304538	XENTR06418, XENTR10568, XENTR10975, XENTR14177
OG0001288	CAPO302651	XENTR05832, XENTR05833
OG0001289	CAPO306071	XENTR03860
OG0001290	CAPO302574	XENTR08522, XENTR00546, XENTR09553, XENTR04590
OG0001291	CAPO300695	XENTR02209, XENTR05578, XENTR07580, XENTR07579
OG0001294	CAPO304223	XENTR08985, XENTR08984
OG0001295	CAPO306210	XENTR07162, XENTR07111, XENTR10843, XENTR03343
OG0001296	CAPO308260	XENTR10758, XENTR16218, XENTR01664, XENTR01665
OG0001297	CAPO305437	XENTR07068, XENTR07067, XENTR01254, XENTR17500
OG0001300	CAPO303702, CAPO301019, CAPO300154	XENTR09380, XENTR15087, XENTR13396
OG0001302	CAPO302654	XENTR00019
OG0001302	CAPO302215	XENTR05127, XENTR05128
OG0001304	CAPO302419	XENTR13603, XENTR09891, XENTR07804, XENTR02497
OG0001305	CAPO304488	XENTR06508, XENTR06784, XENTR15394
OG0001308	CAPO300432	XENTR08924, XENTR10339, XENTR11736
OG0001309	CAPO300871	XENTR12950
OG0001310	CAPO305405	XENTR02393
OG0001310	CAPO300151	XENTR15418
OG0001311	CAPO300585	XENTR11767, XENTR16951
OG0001312	CAPO304811	XENTR12977
OG0001317	CAPO302225	XENTR06399
OG0001318	CAPO306280	XENTR10187
OG0001318	CAPO303315	XENTR00640
OG0001319	CAPO304915	XENTR15508, XENTR00669, XENTR10926, XENTR09062
OG0001320	CAPO307498	XENTR12547
OG0001320	CAPO304958	XENTR13078, XENTR04130
OG0001321	CAPO301358	XENTR11250, XENTR11532, XENTR11534
OG0001322	CAPO302022	XENTR07426
OG0001323	CAPO301735	XENTR04149, XENTR14533, XENTR06661, XENTR12671
OG0001324	CAPO302080	XENTR08414
OG0001325	CAPO304115	XENTR05586, XENTR05589, XENTR05579, XENTR05585, XENTR05588, XENTR08671, XENTR05587, XENTR05590, XENTR05591, XENTR05592
OG0001326	CAPO306149	XENTR09549, XENTR01917, XENTR01916, XENTR08643, XENTR11848
OG0001327	CAPO305568	XENTR10101, XENTR14547
OG0001328	CAPO302287	XENTR09916
OG0001330	CAPO304584, CAPO300112	XENTR14976, XENTR11097, XENTR10939
OG0001332	CAPO305487	XENTR11574, XENTR14153, XENTR14152
OG0001333	CAPO301191	XENTR01835
OG0001344	CAPO308153	XENTR06464
OG0001345	CAPO306177	XENTR02832
OG0001348	CAPO304908	XENTR02721, XENTR02053
OG0001350	CAPO305116, CAPO303054	XENTR00070
OG0001352	CAPO303801	XENTR02276, XENTR07810
OG0001353	CAPO303379	XENTR09957, XENTR02518
OG0001355	CAPO307732	XENTR03193, XENTR09059, XENTR08752, XENTR12634, XENTR02287, XENTR14204
OG0001358	CAPO302204	XENTR12813, XENTR14180, XENTR08002
OG0001359	CAPO303726	XENTR04346, XENTR10433, XENTR08085, XENTR18085
OG0001361	CAPO307400	XENTR11816, XENTR11817, XENTR17007
OG0001364	CAPO307249	XENTR17966, XENTR03257
OG0001366	CAPO302707	XENTR03370, XENTR13631
OG0001367	CAPO304628	XENTR02449, XENTR12179, XENTR12890
OG0001370	CAPO305064	XENTR01446
OG0001370	CAPO306956	XENTR09409
OG0001372	CAPO301063	XENTR17215
OG0001373	CAPO300734	XENTR01826, XENTR09130, XENTR04806
OG0001378	CAPO302717	XENTR01985, XENTR01998, XENTR11085, XENTR12484
OG0001379	CAPO304865	XENTR05934, XENTR18078, XENTR18079, XENTR06099, XENTR06100
OG0001382	CAPO306735	XENTR05428
OG0001383	CAPO300442	XENTR06787
OG0001386	CAPO305078	XENTR17191, XENTR01734
OG0001387	CAPO306110, CAPO306288	XENTR00111, XENTR05202
OG0001397	CAPO306119	XENTR17141, XENTR17665, XENTR11843
OG0001399	CAPO304148	XENTR06193, XENTR06192, XENTR02498, XENTR09890
OG0001400	CAPO305841	XENTR07182, XENTR03349, XENTR03348
OG0001404	CAPO302450	XENTR15166, XENTR15165, XENTR10088
OG0001405	CAPO302942	XENTR16937, XENTR16938
OG0001406	CAPO305604	XENTR09026, XENTR05268
OG0001408	CAPO304468	XENTR06160, XENTR13671, XENTR01315
OG0001409	CAPO300832	XENTR08239, XENTR15156
OG0001410	CAPO304381	XENTR04211, XENTR11331
OG0001410	CAPO303461	XENTR08205
OG0001411	CAPO301653	XENTR05513
OG0001412	CAPO304843	XENTR01134
OG0001413	CAPO300375	XENTR10327
OG0001414	CAPO301834	XENTR16760
OG0001414	CAPO303273	XENTR03396
OG0001415	CAPO307087	XENTR00799
OG0001416	CAPO300753	XENTR04093, XENTR17575
OG0001418	CAPO300218	XENTR11447, XENTR00014, XENTR05877, XENTR04739
OG0001420	CAPO304723, CAPO308198, CAPO308234, CAPO305541, CAPO307813	XENTR12964, XENTR18542, XENTR07058, XENTR02347, XENTR02348
OG0001422	CAPO308345, CAPO303120	XENTR07180, XENTR03319
OG0001423	CAPO301310	XENTR11753, XENTR07724, XENTR12211
OG0001424	CAPO304776	XENTR09472, XENTR01101
OG0001425	CAPO302275, CAPO302850	XENTR00165, XENTR10054, XENTR15292
OG0001426	CAPO302841	XENTR10547, XENTR11607, XENTR18289
OG0001427	CAPO302723	XENTR19013, XENTR12966
OG0001428	CAPO303027	XENTR08058
OG0001430	CAPO300562	XENTR11865, XENTR09506, XENTR03841, XENTR12647
OG0001431	CAPO308230	XENTR12951, XENTR14198, XENTR02286, XENTR13477
OG0001437	CAPO304955	XENTR08203
OG0001440	CAPO305450	XENTR02912, XENTR02913, XENTR13967
OG0001445	CAPO301958	XENTR00603, XENTR11995
OG0001446	CAPO304614	XENTR11107
OG0001447	CAPO307093	XENTR06688, XENTR11993, XENTR11860, XENTR09505
OG0001449	CAPO306822	XENTR18530
OG0001451	CAPO300036	XENTR01133, XENTR09852
OG0001452	CAPO301933	XENTR05846, XENTR01476, XENTR12152
OG0001454	CAPO303806	XENTR01618, XENTR01050
OG0001456	CAPO307965	XENTR09379
OG0001459	CAPO307035	XENTR19263, XENTR05668
OG0001460	CAPO305875	XENTR14447
OG0001461	CAPO307458, CAPO305472	XENTR05990
OG0001463	CAPO304054	XENTR15129, XENTR03741
OG0001466	CAPO305831	XENTR16300, XENTR03641
OG0001467	CAPO304882	XENTR16639
OG0001468	CAPO306475	XENTR04167, XENTR10607, XENTR03785
OG0001469	CAPO306371	XENTR01908
OG0001469	CAPO301724	XENTR01260
OG0001470	CAPO305163	XENTR08880, XENTR08883
OG0001472	CAPO300986	XENTR12389
OG0001472	CAPO305311	XENTR13330
OG0001473	CAPO304310	XENTR16670, XENTR04818, XENTR04817
OG0001474	CAPO306191	XENTR01827
OG0001475	CAPO305552	XENTR12916
OG0001476	CAPO305062	XENTR11401
OG0001478	CAPO303095	XENTR14390
OG0001479	CAPO306515	XENTR01295, XENTR15874, XENTR09664
OG0001482	CAPO307610	XENTR16187, XENTR10305, XENTR01513
OG0001484	CAPO301411	XENTR07065
OG0001485	CAPO301954	XENTR03119, XENTR03410
OG0001486	CAPO302441	XENTR14269, XENTR05434, XENTR04448, XENTR04449
OG0001490	CAPO305433	XENTR16191, XENTR12791, XENTR03053
OG0001492	CAPO305155	XENTR06535, XENTR01139
OG0001495	CAPO302008	XENTR13170
OG0001496	CAPO301356	XENTR07933
OG0001500	CAPO300054	XENTR08590, XENTR12582, XENTR10830
OG0001501	CAPO305474	XENTR06683, XENTR06684, XENTR12986
OG0001503	CAPO305666	XENTR14751
OG0001503	CAPO307598	XENTR05638
OG0001504	CAPO307661	XENTR02517
OG0001505	CAPO301009	XENTR00271
OG0001506	CAPO300953	XENTR00266, XENTR08441, XENTR08440
OG0001507	CAPO304204	XENTR08992, XENTR07481
OG0001511	CAPO306127, CAPO305043	XENTR03205
OG0001512	CAPO301118	XENTR06982, XENTR02683
OG0001516	CAPO300345	XENTR11018
OG0001517	CAPO303690	XENTR13941, XENTR13905, XENTR09064
OG0001519	CAPO306949	XENTR04354, XENTR07152, XENTR01425, XENTR01426, XENTR01427
OG0001522	CAPO303667	XENTR15230, XENTR06664, XENTR16658
OG0001524	CAPO300996	XENTR09548
OG0001524	CAPO308304	XENTR00484
OG0001525	CAPO303907	XENTR12515, XENTR12514
OG0001526	CAPO305679	XENTR01289, XENTR17681, XENTR16198, XENTR16199
OG0001527	CAPO300128	XENTR01509
OG0001527	CAPO307636	XENTR15735
OG0001529	CAPO300593	XENTR02811, XENTR02810, XENTR08383
OG0001530	CAPO302602	XENTR13543, XENTR10562
OG0001532	CAPO300282	XENTR11612, XENTR16708, XENTR06237
OG0001533	CAPO306032	XENTR07080, XENTR17861
OG0001534	CAPO304425	XENTR05627, XENTR06763, XENTR05628
OG0001545	CAPO300895	XENTR08623, XENTR05315, XENTR18196
OG0001551	CAPO306604	XENTR05545, XENTR05547
OG0001553	CAPO308172	XENTR02229, XENTR09430, XENTR09742
OG0001554	CAPO302370	XENTR08488, XENTR05924
OG0001558	CAPO301132	XENTR16416, XENTR06488
OG0001559	CAPO301785	XENTR13444, XENTR09039, XENTR06623
OG0001561	CAPO301999	XENTR16133, XENTR07954, XENTR01341
OG0001563	CAPO306378	XENTR12134
OG0001564	CAPO301061	XENTR03255, XENTR05932
OG0001567	CAPO300948	XENTR10094, XENTR00289
OG0001568	CAPO301468	XENTR05615
OG0001572	CAPO304756	XENTR14408
OG0001572	CAPO304137	XENTR03742
OG0001573	CAPO305125, CAPO303819	XENTR03987, XENTR08694
OG0001576	CAPO306270	XENTR15048, XENTR13227
OG0001578	CAPO300715	XENTR01969, XENTR09544
OG0001580	CAPO307900	XENTR13327, XENTR07267
OG0001581	CAPO306056	XENTR07619, XENTR15249
OG0001582	CAPO307073	XENTR07708, XENTR17762, XENTR01173
OG0001583	CAPO306289	XENTR11561, XENTR14641
OG0001584	CAPO301068	XENTR09628, XENTR09629
OG0001589	CAPO303301, CAPO304004	XENTR13738, XENTR11338
OG0001590	CAPO302386	XENTR10428
OG0001593	CAPO305942	XENTR11547, XENTR08681, XENTR08680, XENTR02666, XENTR11433
OG0001594	CAPO304243	XENTR11402
OG0001597	CAPO302703	XENTR05372
OG0001599	CAPO300887	XENTR07390, XENTR07367
OG0001600	CAPO305994	XENTR16112, XENTR13590, XENTR11793
OG0001603	CAPO306228	XENTR15113, XENTR12927
