Orthogroup	CAPO3	YEAST
OG0002108	CAPO303834	YEAST03715
OG0002123	CAPO303373	YEAST02444
OG0002131	CAPO302159	YEAST04275
OG0002137	CAPO306593	YEAST04320
OG0002138	CAPO304101	YEAST02406
OG0002144	CAPO308205	YEAST02673
OG0002146	CAPO303694	YEAST04333, YEAST00109, YEAST03088, YEAST04454
OG0002147	CAPO307247	YEAST04532, YEAST01219
OG0002148	CAPO301311	YEAST02060
OG0002152	CAPO306241, CAPO305214	YEAST05624
OG0002156	CAPO307789	YEAST03007
OG0002160	CAPO306354	YEAST03960
OG0002165	CAPO306860	YEAST04504
OG0002168	CAPO305846	YEAST00516
OG0002169	CAPO305188, CAPO305186	YEAST02258
OG0002184	CAPO302808	YEAST00242
OG0002185	CAPO306894, CAPO307286	YEAST05212
OG0002188	CAPO307308	YEAST04638, YEAST03913
OG0002189	CAPO302919, CAPO302901	YEAST02882, YEAST04447
OG0002213	CAPO301692	YEAST01241, YEAST05495
OG0002216	CAPO308083	YEAST06040
OG0002217	CAPO303324, CAPO303403	YEAST06033
OG0002222	CAPO300961	YEAST03240
OG0002224	CAPO304952, CAPO304640	YEAST01574
OG0002225	CAPO301769	YEAST04939
OG0002226	CAPO307804	YEAST00948
OG0002228	CAPO301630, CAPO300068	YEAST04154, YEAST05632
OG0002239	CAPO303809	YEAST03509
OG0002239	CAPO301966	YEAST01621
OG0002241	CAPO303979	YEAST02005
OG0002243	CAPO301335, CAPO300484	YEAST04599, YEAST03601, YEAST04600
OG0002244	CAPO303840	YEAST02768
OG0002252	CAPO304306	YEAST00826
OG0002261	CAPO303559	YEAST00472
OG0002264	CAPO302668, CAPO304810, CAPO305220	YEAST01705
OG0002279	CAPO304874	YEAST05800
OG0002282	CAPO300014	YEAST00881
OG0002288	CAPO306855	YEAST01591, YEAST05154
OG0002292	CAPO308118, CAPO308288	YEAST00152
OG0002297	CAPO307845	YEAST01217
OG0002312	CAPO305339, CAPO305880	YEAST06295
OG0002316	CAPO302192	YEAST01805
OG0002318	CAPO302292	YEAST02923
OG0002319	CAPO306342	YEAST00329
OG0002321	CAPO300390	YEAST02461
OG0002324	CAPO301866	YEAST02615, YEAST06287
OG0002326	CAPO302239	YEAST00310, YEAST02699
OG0002327	CAPO302954	YEAST00346, YEAST06217
OG0002331	CAPO302246	YEAST01653
OG0002332	CAPO300761	YEAST01606, YEAST05184, YEAST00285
OG0002341	CAPO300617	YEAST03640, YEAST04562
OG0002344	CAPO307434, CAPO303725	YEAST02312, YEAST02019
OG0002346	CAPO307106	YEAST02012
OG0002348	CAPO302095	YEAST01845
OG0002356	CAPO305051	YEAST00259
OG0002361	CAPO304727	YEAST01027
OG0002367	CAPO304316	YEAST01179
OG0002369	CAPO301279	YEAST03766
OG0002374	CAPO302309	YEAST02010, YEAST00133
OG0002377	CAPO301847	YEAST05000
OG0002406	CAPO304138	YEAST05509
OG0002407	CAPO301366	YEAST00012
OG0002409	CAPO301533	YEAST02027
OG0002411	CAPO305052	YEAST05950, YEAST02407
OG0002412	CAPO302706	YEAST06171
OG0002413	CAPO307797, CAPO304716	YEAST01196
OG0002415	CAPO305027, CAPO304905	YEAST01271
OG0002421	CAPO305365	YEAST02982
OG0002422	CAPO302014	YEAST05026
OG0002426	CAPO303294	YEAST00184
OG0002441	CAPO304429	YEAST00068, YEAST02278, YEAST05821
OG0002442	CAPO300535	YEAST05932
OG0002443	CAPO301424	YEAST04906
OG0002446	CAPO303707	YEAST04254
OG0002448	CAPO308204	YEAST00626, YEAST03419
OG0002453	CAPO305834	YEAST00512
OG0002476	CAPO307617	YEAST05799
OG0002486	CAPO303598	YEAST01433
OG0002492	CAPO305743	YEAST01624
OG0002494	CAPO307620	YEAST02402
OG0002495	CAPO306559	YEAST02772
OG0002497	CAPO301629	YEAST02747
OG0002500	CAPO305159	YEAST05648
OG0002505	CAPO302692	YEAST02959
OG0002510	CAPO305793	YEAST04753
OG0002516	CAPO307569	YEAST00066
OG0002518	CAPO304200	YEAST02890
OG0002523	CAPO301008	YEAST06234
OG0002527	CAPO306066	YEAST01639
OG0002528	CAPO301891	YEAST00372
OG0002532	CAPO307264, CAPO307265	YEAST03235
OG0002533	CAPO302353	YEAST04525
OG0002543	CAPO306889, CAPO301493	YEAST00527, YEAST04217
OG0002557	CAPO302757	YEAST06243
OG0002561	CAPO306761	YEAST04438, YEAST02106
OG0002562	CAPO305283	YEAST03992
OG0002564	CAPO307297	YEAST02186
OG0002565	CAPO302611	YEAST04224, YEAST02499
OG0002570	CAPO307215	YEAST00592
OG0002574	CAPO307488	YEAST05657
OG0002594	CAPO304177	YEAST06174
OG0002598	CAPO300566	YEAST04621, YEAST03577
OG0002605	CAPO303522	YEAST06332
OG0002608	CAPO303192	YEAST03716, YEAST02846
OG0002609	CAPO304999	YEAST01355
OG0002610	CAPO307043	YEAST01078, YEAST03973
OG0002612	CAPO306114	YEAST03508
OG0002617	CAPO307606	YEAST00866
OG0002618	CAPO307902	YEAST06247
OG0002621	CAPO305708, CAPO305709, CAPO305858	YEAST05551
OG0002629	CAPO306781, CAPO306856	YEAST05919
OG0002632	CAPO301605	YEAST02755
OG0002633	CAPO301845, CAPO305887, CAPO307352, CAPO300298, CAPO304676, CAPO305300, CAPO307166	YEAST04206
OG0002636	CAPO302443	YEAST01664, YEAST06215
OG0002638	CAPO302461	YEAST00919
OG0002638	CAPO301720	YEAST04703
OG0002643	CAPO305403	YEAST01938
OG0002644	CAPO300686	YEAST00724
OG0002645	CAPO302012	YEAST01436
OG0002646	CAPO300302	YEAST01946
OG0002651	CAPO307502	YEAST02868
OG0002652	CAPO305413	YEAST04937
OG0002656	CAPO301386	YEAST05701
OG0002659	CAPO302308	YEAST06290
OG0002666	CAPO308350	YEAST02507
OG0002668	CAPO303414, CAPO301754	YEAST02324
OG0002677	CAPO303005	YEAST05210
OG0002683	CAPO303831, CAPO303156, CAPO305522	YEAST03676
OG0002705	CAPO303959	YEAST00553
OG0002713	CAPO306909	YEAST00413, YEAST06057
OG0002715	CAPO303783	YEAST01174, YEAST04131
OG0002717	CAPO307873	YEAST02430
OG0002718	CAPO306705	YEAST03380, YEAST03502
OG0002720	CAPO304077	YEAST01914
OG0002722	CAPO300697	YEAST04059
OG0002726	CAPO303092	YEAST02958
OG0002739	CAPO303462	YEAST01877
OG0002740	CAPO302187, CAPO303044	YEAST01658
OG0002742	CAPO301585	YEAST03326
OG0002743	CAPO305659	YEAST01824, YEAST03362
OG0002745	CAPO302960	YEAST04244
OG0002746	CAPO301404	YEAST04902, YEAST05332
OG0002747	CAPO308121	YEAST05617
OG0002749	CAPO305516	YEAST02810
OG0002750	CAPO305820	YEAST04952
OG0002752	CAPO306571	YEAST03686
OG0002753	CAPO301419	YEAST03742
OG0002756	CAPO302206	YEAST04058
OG0002758	CAPO302892, CAPO307678	YEAST04409
OG0002760	CAPO306120	YEAST01927
OG0002763	CAPO301217	YEAST00260
OG0002764	CAPO308022	YEAST01862
OG0002764	CAPO300451	YEAST00423
OG0002765	CAPO307679	YEAST01667, YEAST05523
OG0002766	CAPO300475	YEAST05357
OG0002767	CAPO302818	YEAST04591
OG0002771	CAPO307480	YEAST02043
OG0002772	CAPO301657	YEAST03384
OG0002773	CAPO300783, CAPO303160	YEAST03677
OG0002774	CAPO306561, CAPO301900, CAPO304134	YEAST03575
OG0002782	CAPO301842	YEAST02121
OG0002785	CAPO300520	YEAST06106, YEAST01228
OG0002788	CAPO304831, CAPO301156, CAPO301818	YEAST02578, YEAST01232
OG0002793	CAPO305498	YEAST01371
OG0002799	CAPO301814	YEAST01461
OG0002817	CAPO305631	YEAST01189, YEAST04922
OG0002824	CAPO304804	YEAST02137
OG0002826	CAPO305161	YEAST00174
OG0002827	CAPO302357	YEAST05976
OG0002828	CAPO302033	YEAST00227, YEAST00963
OG0002831	CAPO303454	YEAST03282
OG0002835	CAPO306542	YEAST02656
OG0002837	CAPO304096	YEAST01987, YEAST00157
OG0002839	CAPO302420	YEAST03148
OG0002843	CAPO300339	YEAST04737
OG0002844	CAPO306381, CAPO305443	YEAST05563
OG0002847	CAPO307024	YEAST02294
OG0002851	CAPO304239	YEAST04951
OG0002855	CAPO304751, CAPO304752	YEAST00137
OG0002860	CAPO304305	YEAST02712
OG0002866	CAPO307089	YEAST01136
OG0002876	CAPO302622	YEAST02348
OG0002877	CAPO303139	YEAST04537
OG0002883	CAPO300600	YEAST03027
OG0002891	CAPO305115	YEAST03205
OG0002893	CAPO304576	YEAST03653
OG0002894	CAPO307506	YEAST00906
OG0002895	CAPO306767, CAPO303745	YEAST01471, YEAST05353, YEAST05456
OG0002897	CAPO306671	YEAST06308
OG0002899	CAPO306014	YEAST00283
OG0002900	CAPO303795	YEAST05306
OG0002907	CAPO303347	YEAST02061
OG0002910	CAPO304697	YEAST00223
OG0002915	CAPO307623	YEAST02264
OG0002917	CAPO304597	YEAST03703
OG0002921	CAPO307445	YEAST06254
OG0002922	CAPO305731	YEAST01261
OG0002947	CAPO306510	YEAST00232
OG0002948	CAPO303072	YEAST03584
OG0002949	CAPO305527, CAPO304499	YEAST00419, YEAST06063
OG0002952	CAPO304062, CAPO304063	YEAST05257
OG0002953	CAPO305937	YEAST03034
OG0002957	CAPO303846	YEAST03253
OG0002960	CAPO301301	YEAST05502
OG0002965	CAPO304902	YEAST03804
OG0002968	CAPO305040, CAPO306161	YEAST00199
OG0002969	CAPO301408	YEAST00655
OG0002982	CAPO306469	YEAST02471
OG0002985	CAPO300589	YEAST02147
OG0002987	CAPO306603	YEAST02970, YEAST00081, YEAST02488
OG0002991	CAPO300778	YEAST03345, YEAST01842
OG0002997	CAPO307685	YEAST02374
OG0003001	CAPO302423	YEAST01497
OG0003004	CAPO304489	YEAST02183
OG0003006	CAPO302605	YEAST00899
OG0003010	CAPO303642	YEAST03035
OG0003012	CAPO302272	YEAST04512
OG0003016	CAPO301025	YEAST04810
OG0003017	CAPO303755	YEAST02213
OG0003018	CAPO301697	YEAST01635, YEAST01949
OG0003020	CAPO306543, CAPO306821	YEAST04851
OG0003027	CAPO302145	YEAST05498
OG0003028	CAPO307794	YEAST05822
OG0003029	CAPO301992	YEAST04523
OG0003033	CAPO300181	YEAST02457, YEAST02640
OG0003043	CAPO304921	YEAST02551
OG0003046	CAPO302851	YEAST01632
OG0003054	CAPO305605	YEAST04909, YEAST05341
OG0003056	CAPO300334	YEAST02257
OG0003059	CAPO307928	YEAST02832, YEAST03675
OG0003063	CAPO306091	YEAST00204
OG0003067	CAPO301062	YEAST01070, YEAST03159
OG0003072	CAPO300719	YEAST05076
OG0003073	CAPO300571	YEAST00167
OG0003079	CAPO303732	YEAST01019
OG0003104	CAPO300208	YEAST00861
OG0003105	CAPO307560, CAPO307561	YEAST04282
OG0003106	CAPO300222	YEAST03619
OG0003107	CAPO305408	YEAST00029
OG0003108	CAPO307100	YEAST00796
OG0003110	CAPO302380	YEAST02197
OG0003114	CAPO305811	YEAST00453, YEAST02426
OG0003119	CAPO301756	YEAST00778
OG0003121	CAPO300078	YEAST03190
OG0003126	CAPO302418, CAPO300577	YEAST00300
OG0003131	CAPO301104	YEAST04435, YEAST04350
OG0003135	CAPO304970	YEAST02069
OG0003138	CAPO307798	YEAST01790, YEAST00784
OG0003145	CAPO301669	YEAST06012
OG0003147	CAPO305754	YEAST03729
OG0003151	CAPO302311	YEAST03910
OG0003153	CAPO305242	YEAST05438
OG0003154	CAPO308152	YEAST00694
OG0003157	CAPO300659	YEAST01203
OG0003164	CAPO302879	YEAST05549, YEAST04492
OG0003169	CAPO302137	YEAST04410
OG0003172	CAPO306984	YEAST06030
OG0003174	CAPO306817	YEAST06178
OG0003178	CAPO303283	YEAST05823
OG0003179	CAPO300801	YEAST00905
OG0003182	CAPO308003	YEAST05565
OG0003189	CAPO303157	YEAST00820
OG0003190	CAPO303910	YEAST02550
OG0003191	CAPO306279	YEAST01068
OG0003193	CAPO301211	YEAST02494
OG0003197	CAPO307855	YEAST06274
OG0003199	CAPO305890	YEAST04961
OG0003207	CAPO301521	YEAST04056
OG0003212	CAPO300076	YEAST05531
OG0003214	CAPO305438	YEAST03701
OG0003215	CAPO305646	YEAST04373
OG0003218	CAPO308113	YEAST04068
OG0003219	CAPO306660	YEAST01656
OG0003219	CAPO306286	YEAST01943, YEAST02157
OG0003220	CAPO304799	YEAST03417, YEAST00186
OG0003221	CAPO300283	YEAST05064
OG0003223	CAPO307650	YEAST04472
OG0003228	CAPO305495	YEAST06187
OG0003230	CAPO301507	YEAST05487
OG0003234	CAPO306221	YEAST01985, YEAST00162
OG0003235	CAPO301047	YEAST06282
OG0003251	CAPO307251	YEAST05338, YEAST04904
OG0003254	CAPO307938	YEAST03911
OG0003257	CAPO303231	YEAST02741
OG0003263	CAPO303458	YEAST05333
OG0003264	CAPO306409	YEAST03398
OG0003266	CAPO303168	YEAST05585
OG0003267	CAPO300914	YEAST02516
OG0003277	CAPO306142	YEAST03706
OG0003283	CAPO304400	YEAST02779
OG0003284	CAPO302648	YEAST02184
OG0003287	CAPO306546	YEAST00166
OG0003288	CAPO307866	YEAST05062
OG0003290	CAPO307662, CAPO300441	YEAST06325
OG0003293	CAPO300956	YEAST04930
OG0003300	CAPO307904	YEAST03316
OG0003301	CAPO300201	YEAST03267
OG0003302	CAPO303848	YEAST04633
OG0003303	CAPO304414	YEAST05878
OG0003316	CAPO300235	YEAST04887
OG0003317	CAPO304285	YEAST03051
OG0003318	CAPO302830	YEAST02158
OG0003332	CAPO307894	YEAST02945, YEAST00447
OG0003335	CAPO302255	YEAST01260
OG0003340	CAPO305389	YEAST04972
OG0003341	CAPO301683	YEAST00990
OG0003343	CAPO308043	YEAST04356, YEAST06258
OG0003345	CAPO302682	YEAST02133
OG0003348	CAPO308059, CAPO308052	YEAST02844
OG0003349	CAPO300780	YEAST00235, YEAST04798
OG0003356	CAPO306224	YEAST02937
OG0003357	CAPO307953	YEAST04240, YEAST02522
OG0003364	CAPO301569	YEAST00730
OG0003366	CAPO302011	YEAST05276, YEAST03075
OG0003373	CAPO301869	YEAST03755
OG0003374	CAPO305683	YEAST03627
OG0003375	CAPO301633, CAPO305837	YEAST03722
OG0003377	CAPO301205	YEAST03340
OG0003380	CAPO306884	YEAST03409
OG0003380	CAPO301115	YEAST00529
OG0003381	CAPO300841	YEAST03447, YEAST01380
OG0003382	CAPO302262, CAPO304611	YEAST01627
OG0003386	CAPO300917	YEAST02725
OG0003425	CAPO304371	YEAST05084
OG0003426	CAPO301532	YEAST05251
OG0003428	CAPO300586	YEAST04550, YEAST01154
OG0003429	CAPO307638	YEAST05921
OG0003430	CAPO305848	YEAST04732
OG0003434	CAPO303572	YEAST02689
OG0003435	CAPO300552	YEAST05483
OG0003443	CAPO306901, CAPO306924	YEAST06032
OG0003454	CAPO305798	YEAST04088
OG0003458	CAPO301287	YEAST00169
OG0003461	CAPO304469	YEAST05752, YEAST04759
OG0003464	CAPO306136	YEAST05120
OG0003465	CAPO307530	YEAST02874
OG0003467	CAPO306150	YEAST01278
OG0003477	CAPO308122	YEAST03665
OG0003483	CAPO305509	YEAST06074
OG0003487	CAPO300925	YEAST03066
OG0003491	CAPO304911	YEAST03514
OG0003493	CAPO306533	YEAST01076
OG0003497	CAPO305660	YEAST00758
OG0003498	CAPO306898	YEAST05680
OG0003500	CAPO304927	YEAST03303, YEAST02683
OG0003501	CAPO303209	YEAST01421
OG0003502	CAPO304731, CAPO301317	YEAST02504
OG0003502	CAPO306906	YEAST02519
OG0003503	CAPO307158	YEAST00400
OG0003505	CAPO305207	YEAST00697
OG0003509	CAPO305689	YEAST02850
OG0003515	CAPO307211	YEAST00923
OG0003518	CAPO307641	YEAST04809
OG0003523	CAPO304976	YEAST05393
OG0003531	CAPO300308	YEAST00465
OG0003532	CAPO303744	YEAST05810
OG0003539	CAPO300449	YEAST03774
OG0003541	CAPO300603	YEAST01314
OG0003543	CAPO307571, CAPO303672, CAPO301989, CAPO308115	YEAST01290
OG0003544	CAPO300418	YEAST00251
OG0003550	CAPO300137	YEAST06166
OG0003551	CAPO308286	YEAST01826
OG0003552	CAPO307114	YEAST04163
OG0003556	CAPO302339	YEAST05216
OG0003560	CAPO300951	YEAST00307
OG0003561	CAPO301198	YEAST06100
OG0003562	CAPO303388	YEAST00960
OG0003567	CAPO307296	YEAST04838
OG0003568	CAPO303992	YEAST04328
OG0003570	CAPO305849	YEAST03562, YEAST04635
OG0003573	CAPO300904	YEAST00597
OG0003578	CAPO307426	YEAST05031
OG0003579	CAPO300766	YEAST05446
OG0003582	CAPO302819	YEAST03174
OG0003599	CAPO301420	YEAST04133
OG0003603	CAPO304465, CAPO303258	YEAST03529
OG0003610	CAPO302401	YEAST02573
OG0003611	CAPO306320	YEAST01054
OG0003612	CAPO304993	YEAST00808
OG0003613	CAPO305029	YEAST02366
OG0003617	CAPO306844	YEAST01843
OG0003617	CAPO301490	YEAST04802, YEAST04398
OG0003618	CAPO302109	YEAST00747
OG0003619	CAPO304837	YEAST04756
OG0003624	CAPO303633	YEAST00147
OG0003630	CAPO308012	YEAST04845
OG0003632	CAPO300941	YEAST02125
OG0003638	CAPO305555	YEAST00956
OG0003641	CAPO300746	YEAST04061, YEAST01158
OG0003644	CAPO305988	YEAST05992
OG0003644	CAPO304835	YEAST01545
OG0003645	CAPO307108	YEAST05809, YEAST05493
OG0003646	CAPO304914	YEAST02349
OG0003647	CAPO306638	YEAST04352, YEAST04433
OG0003649	CAPO301930	YEAST00203
OG0003650	CAPO306633	YEAST00737, YEAST04997
OG0003659	CAPO302655	YEAST00140
OG0003661	CAPO300815	YEAST02758
OG0003664	CAPO305504	YEAST03791
OG0003668	CAPO300260, CAPO301650	YEAST06168
OG0003669	CAPO305883	YEAST02813
OG0003672	CAPO300582	YEAST03137
OG0003676	CAPO304948	YEAST03110
OG0003679	CAPO304696	YEAST03223
OG0003682	CAPO302793, CAPO301860	YEAST00571
OG0003687	CAPO301501	YEAST02527, YEAST04246
OG0003688	CAPO307252	YEAST01333, YEAST05362, YEAST00376
OG0003689	CAPO301215	YEAST04232
OG0003690	CAPO307478	YEAST01162
OG0003693	CAPO302269	YEAST05304
OG0003694	CAPO307654	YEAST01453
OG0003696	CAPO304903	YEAST05704
OG0003697	CAPO307718	YEAST04962
OG0003698	CAPO306302	YEAST03764, YEAST03185
OG0003703	CAPO305764	YEAST00683
OG0003710	CAPO301647	YEAST02077
OG0003712	CAPO300556	YEAST02114
OG0003713	CAPO306178	YEAST01549, YEAST03807
OG0003716	CAPO303976	YEAST02390
OG0003718	CAPO307310	YEAST05772
OG0003719	CAPO300227	YEAST06338
OG0003721	CAPO300976, CAPO300975	YEAST04960
OG0003724	CAPO308007, CAPO307589	YEAST02365, YEAST06120
OG0003729	CAPO307394	YEAST01543
OG0003731	CAPO304053	YEAST04486
OG0003733	CAPO305671	YEAST03492
OG0003734	CAPO305564	YEAST02809, YEAST03842
OG0003735	CAPO308150	YEAST06115
OG0003738	CAPO304238	YEAST05605
OG0003740	CAPO307238	YEAST01029
OG0003741	CAPO305770	YEAST01379
OG0003743	CAPO302360	YEAST06008, YEAST05688
OG0003744	CAPO306491	YEAST01207
OG0003745	CAPO307585	YEAST02618
OG0003749	CAPO306992	YEAST04441
OG0003750	CAPO304840	YEAST00149
OG0003756	CAPO307901	YEAST01878
OG0003758	CAPO308214	YEAST06133
OG0003759	CAPO307476	YEAST03315
OG0003767	CAPO301363	YEAST01933, YEAST01650
OG0003769	CAPO305668	YEAST01999
OG0003770	CAPO300865	YEAST01234
OG0003770	CAPO305387	YEAST03860
OG0003778	CAPO302558	YEAST05796
OG0003779	CAPO304919	YEAST04431
OG0003806	CAPO304817	YEAST02367
OG0003807	CAPO308021	YEAST04265, YEAST03128
OG0003808	CAPO308095	YEAST01201
OG0003811	CAPO302863	YEAST00417
OG0003812	CAPO300349	YEAST00287
OG0003813	CAPO305053	YEAST00254
OG0003818	CAPO306945	YEAST04318
OG0003824	CAPO300109	YEAST01468
OG0003828	CAPO304442	YEAST02448
OG0003829	CAPO304825	YEAST02032, YEAST01031
OG0003831	CAPO301320	YEAST05137, YEAST02344
OG0003834	CAPO307203	YEAST06322
OG0003837	CAPO304430	YEAST02586
OG0003838	CAPO304061, CAPO304064	YEAST03413
OG0003839	CAPO300238, CAPO301543, CAPO307066	YEAST01736
OG0003844	CAPO306235	YEAST06054
OG0003846	CAPO300905	YEAST00356
OG0003848	CAPO305229, CAPO305228	YEAST01654
OG0003850	CAPO306458	YEAST00228
OG0003851	CAPO301154	YEAST06169
OG0003852	CAPO302241	YEAST03296
OG0003853	CAPO308238	YEAST06251
OG0003855	CAPO304198	YEAST04936
OG0003856	CAPO308004	YEAST03934, YEAST02710
OG0003858	CAPO300728, CAPO302432	YEAST01401
OG0003860	CAPO303899	YEAST01412
OG0003866	CAPO302683	YEAST01895
OG0003867	CAPO301767	YEAST03558
OG0003868	CAPO306848	YEAST01448
OG0003869	CAPO307094	YEAST02771
OG0003875	CAPO303382	YEAST05070
OG0003876	CAPO307728	YEAST02423
OG0003879	CAPO304906	YEAST00463
OG0003881	CAPO303685	YEAST03851
OG0003886	CAPO304109	YEAST06023
OG0003887	CAPO307036	YEAST00028
OG0003893	CAPO300022	YEAST05028
OG0003897	CAPO303759	YEAST01270
OG0003899	CAPO300674	YEAST04954
OG0003904	CAPO305947	YEAST01732
OG0003907	CAPO306754	YEAST02999, YEAST02288
OG0003908	CAPO301425	YEAST01362
OG0003908	CAPO308216	YEAST06330
OG0003910	CAPO302786	YEAST03780
OG0003911	CAPO305312	YEAST00032
OG0003913	CAPO306587	YEAST03258
OG0003921	CAPO300430	YEAST06181
OG0003926	CAPO303036	YEAST04138
OG0003929	CAPO303872	YEAST04489, YEAST01422
OG0003930	CAPO301599	YEAST03969
OG0003931	CAPO304399	YEAST01142
OG0003934	CAPO301204	YEAST00084
OG0003938	CAPO305166	YEAST01566, YEAST05133
OG0003939	CAPO303853	YEAST03211
OG0003944	CAPO300493	YEAST01186
OG0003946	CAPO303843	YEAST03220
OG0003947	CAPO306325	YEAST06266, YEAST05428
OG0003950	CAPO307097	YEAST01409
OG0003954	CAPO304758	YEAST02764
OG0003955	CAPO304097	YEAST03951
OG0003959	CAPO304028	YEAST02778
OG0003961	CAPO303890	YEAST01991
OG0003969	CAPO304197	YEAST02146
OG0003971	CAPO301852	YEAST00520
OG0003972	CAPO308018, CAPO305200	YEAST06331
OG0003973	CAPO307513	YEAST06329
OG0003999	CAPO306327	YEAST05604
OG0004000	CAPO302913	YEAST06060
OG0004005	CAPO305860, CAPO302213	YEAST06216
OG0004007	CAPO308280, CAPO307105	YEAST01456
OG0004012	CAPO308011	YEAST00755
OG0004017	CAPO308124	YEAST03019
OG0004023	CAPO307204	YEAST04349
OG0004027	CAPO301145	YEAST03587
OG0004032	CAPO300291	YEAST02562
OG0004033	CAPO304862	YEAST02572
OG0004035	CAPO301995	YEAST02134
OG0004037	CAPO306482	YEAST03371
OG0004042	CAPO302696	YEAST05578
OG0004044	CAPO300275	YEAST05367
OG0004047	CAPO304083	YEAST02496
OG0004054	CAPO308277	YEAST05576
OG0004056	CAPO306031	YEAST05698
OG0004057	CAPO300969, CAPO301492	YEAST05620
OG0004059	CAPO301877	YEAST00030
OG0004065	CAPO304029	YEAST00772
OG0004067	CAPO301812	YEAST02665
OG0004068	CAPO301030	YEAST03461
OG0004071	CAPO306388	YEAST02893
OG0004072	CAPO305194	YEAST02440
OG0004075	CAPO308024	YEAST02332
OG0004076	CAPO307967	YEAST05461
OG0004079	CAPO300687	YEAST04385
OG0004080	CAPO305236	YEAST00812
OG0004082	CAPO305459, CAPO300433, CAPO305460	YEAST00063, YEAST05409
OG0004090	CAPO304280	YEAST02301, YEAST02021
OG0004091	CAPO307795	YEAST04715
OG0004092	CAPO301516	YEAST03564, YEAST06307
OG0004096	CAPO306070	YEAST00160
OG0004097	CAPO300790	YEAST05039
OG0004101	CAPO303749, CAPO302702	YEAST03547, YEAST02901
OG0004103	CAPO306700	YEAST05061
OG0004105	CAPO308098	YEAST01700, YEAST01565
OG0004110	CAPO300855	YEAST02825
OG0004113	CAPO305835	YEAST02059
OG0004115	CAPO306386	YEAST00325
OG0004116	CAPO303186	YEAST00481
OG0004118	CAPO306139	YEAST01855
OG0004119	CAPO303741	YEAST02170
OG0004120	CAPO303757	YEAST01953
OG0004123	CAPO304624	YEAST04761
OG0004124	CAPO302738	YEAST01139
OG0004127	CAPO306895	YEAST06097
OG0004130	CAPO307075	YEAST03149
OG0004134	CAPO304433	YEAST05611
OG0004136	CAPO307338	YEAST01084
OG0004142	CAPO300440	YEAST05774
OG0004148	CAPO301152	YEAST00867
OG0004150	CAPO303497	YEAST04690
OG0004151	CAPO307015	YEAST04284
OG0004153	CAPO305022	YEAST05958, YEAST04386, YEAST00290
OG0004154	CAPO308154	YEAST05587
OG0004158	CAPO302219	YEAST03379
OG0004162	CAPO305758	YEAST04517
OG0004164	CAPO306879	YEAST05923
OG0004166	CAPO300703	YEAST00189
OG0004168	CAPO303881	YEAST03028
OG0004169	CAPO302967	YEAST05813
OG0004170	CAPO305320	YEAST05906
OG0004171	CAPO305810	YEAST04501
OG0004179	CAPO304392	YEAST01050
OG0004181	CAPO304353	YEAST03406
OG0004182	CAPO305817	YEAST03699
OG0004184	CAPO302251	YEAST00127
OG0004186	CAPO307615	YEAST04981
OG0004188	CAPO308209	YEAST02761
OG0004198	CAPO302636	YEAST02869, YEAST03548
OG0004215	CAPO307025	YEAST04590
OG0004217	CAPO300553	YEAST01257
OG0004219	CAPO302642	YEAST00912
OG0004222	CAPO307934	YEAST05826
OG0004230	CAPO305821	YEAST02220
OG0004232	CAPO301443	YEAST05931
OG0004236	CAPO301760	YEAST05432
OG0004237	CAPO301645	YEAST04445, YEAST04344
OG0004239	CAPO304082	YEAST05144
OG0004243	CAPO302349	YEAST00306
OG0004245	CAPO301120	YEAST00859
OG0004248	CAPO306807	YEAST03678
OG0004249	CAPO302316	YEAST02740
OG0004250	CAPO305518	YEAST05543
OG0004252	CAPO305536	YEAST05178
OG0004254	CAPO304883	YEAST03900
OG0004258	CAPO301342	YEAST00665
OG0004259	CAPO301048	YEAST03730
OG0004261	CAPO305950	YEAST02564
OG0004269	CAPO308233	YEAST04758
OG0004273	CAPO300380	YEAST02547
OG0004278	CAPO303739	YEAST00243
OG0004280	CAPO302169	YEAST05895
OG0004282	CAPO306035	YEAST02575, YEAST06242
OG0004283	CAPO301216	YEAST04184
OG0004287	CAPO305534	YEAST01708
OG0004289	CAPO307509	YEAST05719
OG0004291	CAPO300943, CAPO306696	YEAST00852
OG0004292	CAPO301407	YEAST02537
OG0004295	CAPO300437	YEAST05946
OG0004297	CAPO306140	YEAST01463
OG0004300	CAPO308218	YEAST05309
OG0004301	CAPO305855	YEAST03850
OG0004302	CAPO307149	YEAST05203
OG0004303	CAPO306261	YEAST02492
OG0004304	CAPO307407	YEAST02425, YEAST05929
OG0004305	CAPO306704	YEAST02123
OG0004307	CAPO306787	YEAST04592
OG0004308	CAPO302385	YEAST04835
OG0004309	CAPO304021	YEAST05924
OG0004310	CAPO306903	YEAST05001
OG0004312	CAPO306752	YEAST03330
OG0004314	CAPO301283	YEAST00500
OG0004324	CAPO300240	YEAST04322
OG0004330	CAPO305393	YEAST06277
OG0004331	CAPO305384	YEAST06230
OG0004333	CAPO303439	YEAST01391
OG0004335	CAPO302791	YEAST01057
OG0004337	CAPO300958	YEAST05652
OG0004338	CAPO300828	YEAST05023
OG0004344	CAPO307152	YEAST02441
OG0004345	CAPO306847	YEAST04894
OG0004347	CAPO307703	YEAST04515
OG0004348	CAPO306158	YEAST03956
OG0004350	CAPO300994	YEAST04742
