Orthogroup	CAPO3	PFLAV
OG0001209	CAPO302948	TCONS_00032359.p1
OG0001210	CAPO300919	TCONS_00010944.p1
OG0001210	CAPO302555	TCONS_00052218.p1
OG0001212	CAPO305298	TCONS_00043221.p1
OG0001213	CAPO304729	TCONS_00027209.p1
OG0001213	CAPO303632	TCONS_00005373.p1, TCONS_00005372.p1
OG0001214	CAPO304780	TCONS_00033365.p1
OG0001215	CAPO302583	TCONS_00033488.p1
OG0001216	CAPO307997	TCONS_00051636.p1, TCONS_00007050.p1
OG0001217	CAPO306810	TCONS_00000738.p1
OG0001218	CAPO307457	TCONS_00052215.p1
OG0001221	CAPO307765	TCONS_00007062.p1, TCONS_00038811.p1, TCONS_00038873.p1, TCONS_00038810.p1, TCONS_00038875.p1, TCONS_00038876.p1, TCONS_00038807.p1, TCONS_00038874.p1, TCONS_00055087.p1, TCONS_00055088.p1, TCONS_00055090.p1, TCONS_00055091.p1
OG0001222	CAPO301496, CAPO301391, CAPO303918	TCONS_00015634.p1, TCONS_00055546.p1, TCONS_00055539.p1, TCONS_00055544.p1, TCONS_00055541.p1, TCONS_00055543.p1, TCONS_00055542.p1, TCONS_00055979.p1
OG0001226	CAPO307936	TCONS_00006753.p1, TCONS_00001303.p1
OG0001232	CAPO304224	TCONS_00048426.p1, TCONS_00053374.p1, TCONS_00054429.p1, TCONS_00054454.p1, TCONS_00053372.p1
OG0001233	CAPO303591	TCONS_00044110.p1, TCONS_00043251.p1, TCONS_00043252.p1, TCONS_00041875.p1, TCONS_00041891.p1, TCONS_00041889.p1, TCONS_00041887.p1, TCONS_00041892.p1, TCONS_00041876.p1, TCONS_00041886.p1, TCONS_00041879.p1, TCONS_00041874.p1, TCONS_00043936.p1
OG0001234	CAPO307897	TCONS_00007057.p1
OG0001241	CAPO303368	TCONS_00044745.p1
OG0001241	CAPO304888	TCONS_00021229.p1
OG0001247	CAPO303193, CAPO307423	TCONS_00047964.p1
OG0001248	CAPO303079	TCONS_00020768.p1
OG0001249	CAPO306922	TCONS_00053927.p1
OG0001250	CAPO302323	TCONS_00014350.p1
OG0001251	CAPO304205	TCONS_00019290.p1
OG0001251	CAPO302019	TCONS_00007951.p1
OG0001252	CAPO300016	TCONS_00052754.p1
OG0001253	CAPO306156	TCONS_00048644.p1
OG0001254	CAPO307546	TCONS_00019693.p1, TCONS_00019695.p1
OG0001261	CAPO302839	TCONS_00043665.p1
OG0001263	CAPO301777	TCONS_00031000.p1, TCONS_00040341.p1
OG0001267	CAPO307578	TCONS_00044004.p1, TCONS_00005641.p1
OG0001268	CAPO303692	TCONS_00029161.p1, TCONS_00047925.p1, TCONS_00047938.p1
OG0001270	CAPO306176	TCONS_00014047.p1
OG0001270	CAPO306096	TCONS_00047799.p1
OG0001270	CAPO304393	TCONS_00012405.p1
OG0001271	CAPO302779	TCONS_00055883.p1
OG0001272	CAPO305566	TCONS_00006736.p1
OG0001273	CAPO301889	TCONS_00027968.p1
OG0001274	CAPO308194	TCONS_00016722.p1
OG0001276	CAPO302888	TCONS_00042630.p1
OG0001278	CAPO306229	TCONS_00017721.p1
OG0001279	CAPO302733	TCONS_00010827.p1, TCONS_00009545.p1
OG0001280	CAPO300326	TCONS_00028312.p1
OG0001281	CAPO304088, CAPO303543	TCONS_00010045.p1
OG0001282	CAPO303595	TCONS_00036586.p1
OG0001284	CAPO300970	TCONS_00055451.p1, TCONS_00029573.p1
OG0001285	CAPO304179	TCONS_00026447.p1
OG0001286	CAPO303892	TCONS_00025745.p1, TCONS_00025785.p1
OG0001287	CAPO302822, CAPO304538	TCONS_00043263.p1
OG0001288	CAPO302651	TCONS_00021084.p1, TCONS_00029023.p1, TCONS_00029024.p1, TCONS_00029022.p1, TCONS_00036487.p1, TCONS_00029019.p1
OG0001289	CAPO306071	TCONS_00018843.p1, TCONS_00016858.p1, TCONS_00015678.p1
OG0001290	CAPO302574	TCONS_00028859.p1
OG0001291	CAPO300695	TCONS_00031080.p1
OG0001294	CAPO304223	TCONS_00009763.p1
OG0001295	CAPO306210	TCONS_00038648.p1
OG0001296	CAPO308260	TCONS_00011408.p1
OG0001297	CAPO305437	TCONS_00024369.p1, TCONS_00024405.p1, TCONS_00025766.p1, TCONS_00025807.p1
OG0001300	CAPO303702, CAPO301019, CAPO300154	TCONS_00057082.p1
OG0001302	CAPO302654	TCONS_00052574.p1
OG0001302	CAPO302215	TCONS_00000712.p1
OG0001304	CAPO302419	TCONS_00007180.p1
OG0001305	CAPO304488	TCONS_00015931.p1
OG0001308	CAPO300432	TCONS_00031440.p1
OG0001309	CAPO300871	TCONS_00012094.p1
OG0001310	CAPO305405	TCONS_00010057.p1
OG0001310	CAPO300151	TCONS_00055780.p1
OG0001311	CAPO300585	TCONS_00032479.p1, TCONS_00032484.p1, TCONS_00056147.p1
OG0001312	CAPO304811	TCONS_00001714.p1, TCONS_00001713.p1, TCONS_00002103.p1, TCONS_00002111.p1, TCONS_00001719.p1, TCONS_00001717.p1, TCONS_00001716.p1
OG0001314	CAPO306642	TCONS_00001103.p1, TCONS_00016585.p1, TCONS_00016586.p1, TCONS_00016536.p1, TCONS_00016391.p1, TCONS_00016393.p1, TCONS_00014724.p1, TCONS_00014722.p1, TCONS_00014723.p1, TCONS_00016497.p1, TCONS_00015435.p1, TCONS_00016496.p1
OG0001317	CAPO302225	TCONS_00049742.p1, TCONS_00014807.p1
OG0001318	CAPO306280	TCONS_00037597.p1
OG0001318	CAPO303315	TCONS_00000323.p1
OG0001319	CAPO304915	TCONS_00021346.p1
OG0001320	CAPO307498	TCONS_00008070.p1
OG0001320	CAPO304958	TCONS_00011107.p1
OG0001321	CAPO301358	TCONS_00020758.p1
OG0001322	CAPO302022	TCONS_00052945.p1, TCONS_00010993.p1
OG0001323	CAPO301735	TCONS_00010043.p1
OG0001325	CAPO304115	TCONS_00030056.p1
OG0001326	CAPO306149	TCONS_00026256.p1
OG0001327	CAPO305568	TCONS_00017808.p1, TCONS_00049776.p1
OG0001328	CAPO302287	TCONS_00032934.p1, TCONS_00003134.p1, TCONS_00033319.p1
OG0001330	CAPO304584, CAPO300112	TCONS_00005458.p1
OG0001332	CAPO305487	TCONS_00027699.p1, TCONS_00027701.p1, TCONS_00053843.p1, TCONS_00053855.p1, TCONS_00052808.p1, TCONS_00052769.p1
OG0001333	CAPO301191	TCONS_00025266.p1, TCONS_00025267.p1
OG0001335	CAPO306508	TCONS_00029527.p1
OG0001344	CAPO308153	TCONS_00018890.p1, TCONS_00018888.p1
OG0001345	CAPO306177	TCONS_00047431.p1
OG0001348	CAPO304908	TCONS_00022180.p1
OG0001350	CAPO305116, CAPO303054	TCONS_00053150.p1
OG0001352	CAPO303801	TCONS_00012681.p1, TCONS_00012678.p1, TCONS_00012887.p1
OG0001353	CAPO303379	TCONS_00045371.p1
OG0001355	CAPO307732	TCONS_00026467.p1
OG0001358	CAPO302204	TCONS_00001805.p1, TCONS_00001803.p1, TCONS_00001804.p1
OG0001359	CAPO303726	TCONS_00028861.p1
OG0001361	CAPO307400	TCONS_00036862.p1
OG0001361	CAPO306689	TCONS_00036324.p1
OG0001364	CAPO307249	TCONS_00051517.p1
OG0001366	CAPO302707	TCONS_00055567.p1, TCONS_00055569.p1, TCONS_00055570.p1
OG0001367	CAPO304628	TCONS_00016768.p1
OG0001370	CAPO305064	TCONS_00019683.p1
OG0001370	CAPO306956	TCONS_00057094.p1, TCONS_00057111.p1
OG0001372	CAPO301063	TCONS_00008773.p1, TCONS_00008777.p1, TCONS_00008776.p1, TCONS_00054675.p1, TCONS_00054608.p1
OG0001372	CAPO306529	TCONS_00009173.p1
OG0001373	CAPO300734	TCONS_00014401.p1
OG0001375	CAPO300461	TCONS_00044702.p1
OG0001378	CAPO302717	TCONS_00027073.p1
OG0001379	CAPO304865	TCONS_00021662.p1
OG0001382	CAPO306735	TCONS_00024485.p1
OG0001383	CAPO300442	TCONS_00015025.p1, TCONS_00015024.p1
OG0001386	CAPO305078	TCONS_00003437.p1
OG0001387	CAPO306110, CAPO306288	TCONS_00027369.p1
OG0001397	CAPO306119	TCONS_00027541.p1, TCONS_00027564.p1
OG0001399	CAPO304148	TCONS_00022398.p1, TCONS_00007181.p1
OG0001400	CAPO305841	TCONS_00003167.p1
OG0001404	CAPO302450	TCONS_00012911.p1, TCONS_00046385.p1, TCONS_00050590.p1
OG0001405	CAPO302942	TCONS_00039483.p1
OG0001406	CAPO305604	TCONS_00022836.p1
OG0001408	CAPO304468	TCONS_00016566.p1
OG0001409	CAPO300832	TCONS_00038493.p1, TCONS_00038524.p1, TCONS_00038499.p1
OG0001410	CAPO304381	TCONS_00042951.p1
OG0001410	CAPO303461	TCONS_00008083.p1
OG0001411	CAPO301653	TCONS_00041687.p1
OG0001412	CAPO304843	TCONS_00027477.p1, TCONS_00012791.p1, TCONS_00041429.p1
OG0001413	CAPO300375	TCONS_00044664.p1
OG0001414	CAPO303273	TCONS_00026027.p1
OG0001415	CAPO307087	TCONS_00006895.p1, TCONS_00024252.p1
OG0001416	CAPO300753	TCONS_00050156.p1, TCONS_00050314.p1, TCONS_00050157.p1
OG0001418	CAPO300218	TCONS_00053261.p1
OG0001420	CAPO304723, CAPO308198, CAPO308234, CAPO305541, CAPO307813	TCONS_00009691.p1
OG0001422	CAPO308345, CAPO303120	TCONS_00020040.p1
OG0001423	CAPO301310	TCONS_00016102.p1
OG0001424	CAPO304776	TCONS_00019781.p1, TCONS_00018473.p1
OG0001425	CAPO302275, CAPO302850	TCONS_00055828.p1
OG0001426	CAPO302841	TCONS_00051215.p1
OG0001427	CAPO302723	TCONS_00044888.p1
OG0001428	CAPO303027	TCONS_00052139.p1
OG0001430	CAPO300562	TCONS_00004460.p1
OG0001431	CAPO308230	TCONS_00020786.p1, TCONS_00020789.p1, TCONS_00020777.p1
OG0001437	CAPO304955	TCONS_00007207.p1
OG0001440	CAPO305450	TCONS_00009144.p1, TCONS_00003932.p1, TCONS_00009145.p1
OG0001445	CAPO301958	TCONS_00056905.p1
OG0001446	CAPO304614	TCONS_00004673.p1, TCONS_00004625.p1, TCONS_00004626.p1
OG0001447	CAPO307093	TCONS_00010490.p1
OG0001449	CAPO306822	TCONS_00046612.p1
OG0001451	CAPO300036	TCONS_00004894.p1, TCONS_00037357.p1
OG0001452	CAPO301933	TCONS_00027858.p1
OG0001454	CAPO303806	TCONS_00043944.p1
OG0001456	CAPO307965	TCONS_00005200.p1
OG0001459	CAPO307035	TCONS_00023671.p1
OG0001460	CAPO305875	TCONS_00030596.p1
OG0001461	CAPO307458, CAPO305472	TCONS_00047793.p1
OG0001463	CAPO304054	TCONS_00011081.p1, TCONS_00018328.p1, TCONS_00008120.p1, TCONS_00008119.p1, TCONS_00008118.p1
OG0001466	CAPO305831	TCONS_00045986.p1, TCONS_00031269.p1
OG0001467	CAPO304882	TCONS_00015363.p1, TCONS_00044104.p1
OG0001468	CAPO306475	TCONS_00002865.p1
OG0001469	CAPO306371	TCONS_00027694.p1
OG0001469	CAPO301724	TCONS_00000853.p1
OG0001470	CAPO305163	TCONS_00005096.p1
OG0001472	CAPO300986	TCONS_00056649.p1
OG0001472	CAPO305311	TCONS_00007782.p1
OG0001473	CAPO304310	TCONS_00006544.p1, TCONS_00012738.p1
OG0001474	CAPO306191	TCONS_00013132.p1, TCONS_00013137.p1
OG0001475	CAPO305552	TCONS_00051280.p1
OG0001476	CAPO305062	TCONS_00002255.p1
OG0001478	CAPO303095	TCONS_00012152.p1
OG0001478	CAPO304965	TCONS_00013231.p1
OG0001479	CAPO306515	TCONS_00014656.p1
OG0001482	CAPO307610	TCONS_00006749.p1
OG0001484	CAPO301411	TCONS_00048364.p1
OG0001485	CAPO301954	TCONS_00028850.p1
OG0001486	CAPO302441	TCONS_00037094.p1
OG0001490	CAPO305433	TCONS_00012204.p1, TCONS_00012203.p1
OG0001492	CAPO305155	TCONS_00005267.p1
OG0001495	CAPO302008	TCONS_00048693.p1
OG0001496	CAPO301356	TCONS_00039896.p1, TCONS_00040861.p1, TCONS_00039895.p1, TCONS_00039892.p1, TCONS_00039891.p1, TCONS_00034325.p1, TCONS_00034360.p1, TCONS_00040896.p1, TCONS_00040486.p1, TCONS_00039496.p1
OG0001500	CAPO300054	TCONS_00022411.p1
OG0001501	CAPO305474	TCONS_00010295.p1
OG0001503	CAPO305666	TCONS_00028803.p1
OG0001503	CAPO307598	TCONS_00013935.p1
OG0001504	CAPO307661	TCONS_00007169.p1, TCONS_00007167.p1, TCONS_00007160.p1
OG0001505	CAPO301009	TCONS_00050549.p1, TCONS_00012643.p1
OG0001506	CAPO300953	TCONS_00050869.p1
OG0001507	CAPO304204	TCONS_00010776.p1
OG0001511	CAPO306127, CAPO305043	TCONS_00021340.p1
OG0001512	CAPO301118	TCONS_00031944.p1, TCONS_00031919.p1
OG0001515	CAPO302117	TCONS_00005036.p1
OG0001516	CAPO300345	TCONS_00053429.p1
OG0001517	CAPO303690	TCONS_00047283.p1
OG0001519	CAPO306949	TCONS_00027867.p1, TCONS_00042625.p1
OG0001522	CAPO303667	TCONS_00003488.p1, TCONS_00035035.p1
OG0001524	CAPO300996	TCONS_00026880.p1
OG0001524	CAPO308304	TCONS_00007581.p1
OG0001525	CAPO303907	TCONS_00006334.p1, TCONS_00006337.p1, TCONS_00006338.p1, TCONS_00052185.p1, TCONS_00006333.p1
OG0001526	CAPO305679	TCONS_00016353.p1
OG0001527	CAPO300128	TCONS_00005265.p1
OG0001527	CAPO307636	TCONS_00007061.p1
OG0001529	CAPO300593	TCONS_00056759.p1
OG0001530	CAPO302602	TCONS_00029931.p1
OG0001532	CAPO300282	TCONS_00050672.p1
OG0001533	CAPO306032	TCONS_00003831.p1, TCONS_00003830.p1
OG0001534	CAPO304425	TCONS_00014421.p1
OG0001537	CAPO300641	TCONS_00046174.p1, TCONS_00044713.p1, TCONS_00044711.p1, TCONS_00051928.p1, TCONS_00051929.p1, TCONS_00051930.p1, TCONS_00037618.p1
OG0001545	CAPO300895	TCONS_00029685.p1
OG0001548	CAPO301500	TCONS_00044874.p1, TCONS_00001670.p1
OG0001551	CAPO306604	TCONS_00004441.p1, TCONS_00024900.p1
OG0001553	CAPO308172	TCONS_00030374.p1
OG0001554	CAPO302370	TCONS_00002186.p1
OG0001557	CAPO304176	TCONS_00048377.p1
OG0001558	CAPO301132	TCONS_00014783.p1
OG0001559	CAPO301785	TCONS_00009527.p2, TCONS_00011061.p1
OG0001561	CAPO301999	TCONS_00049740.p1
OG0001563	CAPO306378	TCONS_00015020.p1, TCONS_00028516.p1, TCONS_00018761.p1, TCONS_00018791.p1
OG0001564	CAPO301061	TCONS_00022177.p1
OG0001567	CAPO300948	TCONS_00005126.p1
OG0001568	CAPO301468	TCONS_00014293.p1
OG0001570	CAPO303364	TCONS_00054652.p1
OG0001572	CAPO304756	TCONS_00001177.p1, TCONS_00001188.p1
OG0001572	CAPO304137	TCONS_00009302.p1
OG0001573	CAPO305125, CAPO303819	TCONS_00052758.p1
OG0001576	CAPO306270	TCONS_00028875.p1
OG0001578	CAPO300715	TCONS_00027776.p1
OG0001580	CAPO307900	TCONS_00008057.p1
OG0001581	CAPO306056	TCONS_00056566.p1, TCONS_00055734.p1, TCONS_00003489.p1, TCONS_00003273.p1
OG0001582	CAPO307073	TCONS_00004768.p1
OG0001583	CAPO306289	TCONS_00027788.p1
OG0001584	CAPO301068	TCONS_00020960.p1
OG0001589	CAPO303301, CAPO304004	TCONS_00013172.p1
OG0001590	CAPO302386	TCONS_00029503.p1
OG0001593	CAPO305942	TCONS_00031847.p1
OG0001594	CAPO307886	TCONS_00030470.p1, TCONS_00030579.p1
OG0001597	CAPO302703	TCONS_00057088.p1
OG0001599	CAPO300887	TCONS_00014010.p1
OG0001600	CAPO305994	TCONS_00046850.p1
OG0001603	CAPO306228	TCONS_00015489.p1
OG0001604	CAPO303898	TCONS_00005646.p1
OG0001605	CAPO307473	TCONS_00009214.p1, TCONS_00009213.p1, TCONS_00009211.p1
OG0001609	CAPO304683	TCONS_00022339.p1
OG0001609	CAPO302057	TCONS_00048452.p1
OG0001610	CAPO301483	TCONS_00017836.p1
OG0001611	CAPO305038	TCONS_00010549.p1, TCONS_00010550.p1
OG0001612	CAPO302202	TCONS_00000496.p1, TCONS_00000497.p1
OG0001614	CAPO303895	TCONS_00029183.p1
OG0001614	CAPO307630	TCONS_00013654.p1
OG0001615	CAPO300749	TCONS_00036590.p1
OG0001617	CAPO302798	TCONS_00049508.p1
OG0001621	CAPO302875	TCONS_00041678.p1, TCONS_00041680.p1
OG0001622	CAPO302121	TCONS_00027359.p1
OG0001634	CAPO305688	TCONS_00015707.p1
OG0001634	CAPO305614	TCONS_00004503.p1
OG0001638	CAPO303528	TCONS_00005796.p1, TCONS_00005810.p1
OG0001643	CAPO306838	TCONS_00034528.p1, TCONS_00034435.p1
OG0001644	CAPO303665	TCONS_00046567.p1, TCONS_00046594.p1
OG0001652	CAPO302838	TCONS_00011982.p1, TCONS_00010583.p1
OG0001653	CAPO305118	TCONS_00054239.p1
OG0001655	CAPO302812	TCONS_00043175.p1
OG0001657	CAPO304165, CAPO303952	TCONS_00006047.p1, TCONS_00006048.p1
OG0001660	CAPO305930	TCONS_00042955.p1
OG0001661	CAPO302789	TCONS_00004622.p1
OG0001661	CAPO304920	TCONS_00003656.p1, TCONS_00004173.p1
OG0001663	CAPO301057	TCONS_00048414.p1, TCONS_00048415.p1, TCONS_00048410.p1
OG0001664	CAPO303152	TCONS_00053517.p1, TCONS_00053615.p1
OG0001665	CAPO302331	TCONS_00014435.p1, TCONS_00013483.p1
OG0001672	CAPO301880	TCONS_00033404.p1
OG0001673	CAPO305520	TCONS_00010575.p1
OG0001674	CAPO301357	TCONS_00020354.p1
OG0001675	CAPO307574	TCONS_00045524.p1
OG0001676	CAPO300524	TCONS_00030827.p1, TCONS_00030826.p1
OG0001676	CAPO305992	TCONS_00020219.p1
OG0001677	CAPO307978	TCONS_00004771.p1, TCONS_00022845.p1
OG0001679	CAPO302155, CAPO305784	TCONS_00031399.p1, TCONS_00031400.p1, TCONS_00031396.p1
OG0001680	CAPO304235, CAPO304477	TCONS_00002528.p1
OG0001684	CAPO300563	TCONS_00033007.p1, TCONS_00033523.p1, TCONS_00033524.p1, TCONS_00033006.p1, TCONS_00033535.p1, TCONS_00033522.p1, TCONS_00033536.p1, TCONS_00032997.p1, TCONS_00032998.p1, TCONS_00014750.p1, TCONS_00051333.p1, TCONS_00005954.p1, TCONS_00005968.p1, TCONS_00054567.p1, TCONS_00004675.p1
OG0001685	CAPO307707	TCONS_00041682.p1
OG0001686	CAPO307138	TCONS_00007068.p1
OG0001687	CAPO302907	TCONS_00020979.p1, TCONS_00021891.p1, TCONS_00022000.p1, TCONS_00001384.p1
OG0001688	CAPO300133	TCONS_00041659.p1
OG0001690	CAPO304820	TCONS_00016381.p1, TCONS_00016384.p1, TCONS_00011374.p1, TCONS_00005022.p1, TCONS_00044890.p1
OG0001691	CAPO307420	TCONS_00004699.p1
OG0001704	CAPO304434	TCONS_00029822.p1, TCONS_00041966.p1, TCONS_00021119.p1, TCONS_00000482.p1, TCONS_00041963.p1, TCONS_00041964.p1, TCONS_00041965.p1
OG0001706	CAPO301033	TCONS_00042964.p1
OG0001707	CAPO303836	TCONS_00017739.p1
OG0001708	CAPO303804	TCONS_00022224.p1
OG0001709	CAPO304969	TCONS_00053991.p1, TCONS_00053988.p1, TCONS_00042778.p1
OG0001711	CAPO301872	TCONS_00009834.p1
OG0001713	CAPO308041	TCONS_00051909.p1
OG0001713	CAPO302278	TCONS_00007484.p1
OG0001714	CAPO306669	TCONS_00014136.p1
OG0001714	CAPO300188	TCONS_00004493.p1
OG0001718	CAPO301559, CAPO301838	TCONS_00009996.p1
OG0001720	CAPO303957	TCONS_00005795.p1, TCONS_00005809.p1
OG0001721	CAPO302302	TCONS_00055327.p1
OG0001723	CAPO308089	TCONS_00021858.p1
OG0001724	CAPO306474	TCONS_00000295.p1
OG0001727	CAPO301729	TCONS_00009887.p1
OG0001730	CAPO303469	TCONS_00052824.p1
OG0001732	CAPO304710	TCONS_00022906.p1
OG0001733	CAPO306615	TCONS_00027042.p1, TCONS_00027041.p1
OG0001734	CAPO306594	TCONS_00002651.p1, TCONS_00004149.p1
OG0001735	CAPO301389	TCONS_00052429.p1, TCONS_00055308.p1
OG0001738	CAPO301655	TCONS_00025852.p1, TCONS_00024426.p1
OG0001739	CAPO304154	TCONS_00000275.p1, TCONS_00013298.p1, TCONS_00024001.p1
OG0001743	CAPO306128	TCONS_00015692.p1
OG0001746	CAPO306662	TCONS_00038041.p1
OG0001750	CAPO304954	TCONS_00054872.p1
OG0001755	CAPO300413	TCONS_00024573.p1
OG0001756	CAPO301153	TCONS_00027499.p1
OG0001756	CAPO306605	TCONS_00031245.p1
OG0001769	CAPO300754	TCONS_00030498.p1
OG0001769	CAPO306748	TCONS_00011524.p1
OG0001770	CAPO304551	TCONS_00056943.p1
OG0001772	CAPO303731	TCONS_00011483.p1, TCONS_00009713.p1, TCONS_00010291.p1, TCONS_00003687.p1, TCONS_00012141.p1, TCONS_00012142.p1, TCONS_00044266.p1
OG0001774	CAPO302411	TCONS_00027565.p1, TCONS_00049423.p1
OG0001775	CAPO300385, CAPO303998	TCONS_00028517.p1, TCONS_00029000.p1
OG0001778	CAPO303585	TCONS_00019833.p1, TCONS_00019795.p1, TCONS_00019794.p1, TCONS_00019832.p1
OG0001781	CAPO304059	TCONS_00055581.p1
OG0001781	CAPO306335	TCONS_00014649.p1
OG0001782	CAPO302329	TCONS_00028322.p1
OG0001783	CAPO302497	TCONS_00019323.p1
OG0001787	CAPO302384	TCONS_00001441.p1
OG0001789	CAPO303597	TCONS_00005017.p1
OG0001792	CAPO305067	TCONS_00036348.p1
OG0001792	CAPO302146	TCONS_00027948.p1
OG0001793	CAPO302934	TCONS_00054783.p1, TCONS_00044544.p1
OG0001793	CAPO300098	TCONS_00046501.p1
OG0001794	CAPO305037	TCONS_00032257.p1, TCONS_00031638.p1, TCONS_00041388.p1, TCONS_00031637.p1, TCONS_00031636.p1, TCONS_00041389.p1, TCONS_00038110.p1, TCONS_00042435.p1, TCONS_00037212.p1, TCONS_00037213.p1
OG0001797	CAPO305230	TCONS_00026755.p1, TCONS_00027579.p1, TCONS_00027583.p1, TCONS_00027584.p1, TCONS_00027585.p1, TCONS_00026665.p1, TCONS_00026754.p1, TCONS_00027683.p1
OG0001799	CAPO307439	TCONS_00005170.p1
OG0001800	CAPO302099, CAPO301494	TCONS_00047454.p1, TCONS_00047451.p1
OG0001801	CAPO300406, CAPO302328, CAPO300564	TCONS_00025199.p1
OG0001802	CAPO307992	TCONS_00015162.p1, TCONS_00019089.p1, TCONS_00019090.p1, TCONS_00019091.p1, TCONS_00015797.p1
OG0001804	CAPO307706	TCONS_00005486.p1, TCONS_00005506.p1
OG0001805	CAPO301307	TCONS_00024371.p1, TCONS_00024407.p1
OG0001807	CAPO305640	TCONS_00004151.p1
OG0001808	CAPO300354	TCONS_00054314.p1
OG0001809	CAPO307543	TCONS_00015676.p1
OG0001811	CAPO304043	TCONS_00023968.p1
OG0001814	CAPO305508	TCONS_00003986.p1
OG0001816	CAPO300431	TCONS_00053505.p1, TCONS_00053591.p1, TCONS_00053506.p1
OG0001818	CAPO302088	TCONS_00011281.p1, TCONS_00011301.p1
OG0001819	CAPO307172	TCONS_00048851.p1, TCONS_00048848.p1, TCONS_00048849.p1, TCONS_00019291.p1
OG0001820	CAPO300515	TCONS_00031298.p1
OG0001822	CAPO301119	TCONS_00024091.p1
OG0001825	CAPO306238	TCONS_00046124.p1
OG0001827	CAPO303060	TCONS_00014648.p1
OG0001828	CAPO305081	TCONS_00056449.p1
OG0001830	CAPO300316	TCONS_00046062.p1
OG0001831	CAPO306824	TCONS_00014358.p1
OG0001832	CAPO300612	TCONS_00033405.p1, TCONS_00032919.p1
OG0001834	CAPO301512	TCONS_00054877.p1
OG0001849	CAPO303014	TCONS_00052728.p1, TCONS_00057244.p1
OG0001850	CAPO301689	TCONS_00008712.p1, TCONS_00030918.p1
OG0001851	CAPO303828	TCONS_00008655.p1, TCONS_00008653.p1, TCONS_00007389.p1, TCONS_00010289.p1, TCONS_00007388.p1, TCONS_00007745.p1, TCONS_00007385.p1, TCONS_00007387.p1, TCONS_00022824.p1, TCONS_00007382.p1, TCONS_00007386.p1
OG0001852	CAPO303604	TCONS_00047986.p1
OG0001857	CAPO306766	TCONS_00046697.p1
OG0001859	CAPO304942	TCONS_00001087.p1
OG0001860	CAPO306960	TCONS_00023437.p1
OG0001861	CAPO303333	TCONS_00025446.p1
OG0001861	CAPO306489	TCONS_00025445.p1
OG0001863	CAPO300966	TCONS_00045380.p1
OG0001864	CAPO300448	TCONS_00046707.p1, TCONS_00045713.p1, TCONS_00046869.p1
OG0001866	CAPO306683	TCONS_00056589.p1
OG0001867	CAPO302026	TCONS_00013831.p1
OG0001870	CAPO303422	TCONS_00018207.p1
OG0001871	CAPO300664	TCONS_00042422.p1
OG0001873	CAPO305494	TCONS_00010780.p1
OG0001875	CAPO303129	TCONS_00020254.p1
OG0001875	CAPO300770	TCONS_00048169.p2
OG0001877	CAPO305419	TCONS_00011472.p1
OG0001878	CAPO300594	TCONS_00042105.p1
OG0001879	CAPO302675	TCONS_00006652.p1
OG0001879	CAPO304068	TCONS_00012793.p1
OG0001882	CAPO302587	TCONS_00055985.p1, TCONS_00055984.p1
OG0001883	CAPO304395	TCONS_00013916.p1
OG0001886	CAPO301013	TCONS_00015547.p1
OG0001888	CAPO307373	TCONS_00053299.p1
OG0001894	CAPO305070	TCONS_00027496.p1
OG0001895	CAPO300178	TCONS_00007692.p1, TCONS_00007691.p1
OG0001898	CAPO303887	TCONS_00015999.p1, TCONS_00010559.p1
OG0001900	CAPO306468, CAPO308362	TCONS_00009905.p1
OG0001901	CAPO302174	TCONS_00042235.p1, TCONS_00042236.p1, TCONS_00042282.p1
OG0001903	CAPO301651	TCONS_00011133.p1, TCONS_00011134.p1, TCONS_00011135.p1
OG0001913	CAPO308270	TCONS_00026681.p1
OG0001914	CAPO308187	TCONS_00006127.p1, TCONS_00013820.p1
OG0001915	CAPO305922	TCONS_00000141.p1
OG0001916	CAPO304398	TCONS_00010890.p1, TCONS_00011586.p1
OG0001917	CAPO303937	TCONS_00053574.p1
OG0001919	CAPO305966	TCONS_00044099.p1
OG0001919	CAPO300799	TCONS_00029934.p1
OG0001923	CAPO300364	TCONS_00053625.p1
OG0001926	CAPO308203	TCONS_00054101.p1
OG0001927	CAPO303832	TCONS_00026088.p1
OG0001928	CAPO303627	TCONS_00017701.p1, TCONS_00017645.p1
OG0001930	CAPO301567	TCONS_00045862.p1, TCONS_00045863.p1, TCONS_00028827.p1
OG0001931	CAPO306905	TCONS_00029051.p1, TCONS_00005718.p1, TCONS_00029542.p1
OG0001932	CAPO304653	TCONS_00020887.p1
OG0001935	CAPO301339	TCONS_00018756.p1, TCONS_00002846.p1, TCONS_00002856.p1
OG0001937	CAPO301986	TCONS_00019595.p1, TCONS_00019593.p1, TCONS_00019596.p1, TCONS_00019592.p1, TCONS_00019594.p1
OG0001939	CAPO304703	TCONS_00016630.p1
OG0001940	CAPO307447	TCONS_00005635.p1
OG0001941	CAPO303660	TCONS_00003928.p1
OG0001943	CAPO304272	TCONS_00046367.p1
OG0001945	CAPO302125, CAPO302413	TCONS_00001704.p1
OG0001947	CAPO306182	TCONS_00048361.p1
OG0001948	CAPO307548	TCONS_00009586.p1
OG0001949	CAPO303945	TCONS_00004879.p1
OG0001951	CAPO305792	TCONS_00044564.p1
OG0001953	CAPO306993	TCONS_00012313.p1
OG0001956	CAPO302405	TCONS_00020114.p1
