Orthogroup	CAPO3	SCHMD
OG0000657	CAPO304462	SCHMD18210
OG0000660	CAPO304213	SCHMD02770
OG0000662	CAPO308235	SCHMD04360, SCHMD08940, SCHMD24126, SCHMD23958, SCHMD03108, SCHMD03703, SCHMD08942, SCHMD05635
OG0000663	CAPO303713	SCHMD28509, SCHMD28508, SCHMD08739
OG0000664	CAPO305353	SCHMD04491, SCHMD14555, SCHMD04182
OG0000665	CAPO304505, CAPO304163	SCHMD09294
OG0000666	CAPO306172	SCHMD26735, SCHMD04900, SCHMD10850, SCHMD10849
OG0000672	CAPO301072	SCHMD10307, SCHMD15500
OG0000672	CAPO301848	SCHMD03901, SCHMD06456
OG0000674	CAPO303746	SCHMD14256, SCHMD27363, SCHMD28202
OG0000676	CAPO304343, CAPO305288	SCHMD18867
OG0000676	CAPO300920, CAPO304680	SCHMD08131
OG0000683	CAPO304912	SCHMD21601
OG0000683	CAPO305392, CAPO303509	SCHMD28199, SCHMD24958
OG0000684	CAPO306227	SCHMD07574, SCHMD07399, SCHMD07458, SCHMD23235, SCHMD27158, SCHMD07403
OG0000690	CAPO306653	SCHMD24354
OG0000690	CAPO306445	SCHMD17313, SCHMD21259, SCHMD18093
OG0000691	CAPO301028	SCHMD06271
OG0000692	CAPO301383	SCHMD24514, SCHMD18362
OG0000692	CAPO306980	SCHMD11826
OG0000693	CAPO303822	SCHMD13254
OG0000694	CAPO302468	SCHMD02121, SCHMD02119
OG0000696	CAPO305456	SCHMD17223, SCHMD17224, SCHMD29303
OG0000696	CAPO301422	SCHMD10590
OG0000697	CAPO304466, CAPO306724	SCHMD11298, SCHMD10349, SCHMD08041
OG0000698	CAPO303921	SCHMD15424
OG0000699	CAPO306785, CAPO302735	SCHMD20380, SCHMD24169, SCHMD20675, SCHMD24967
OG0000701	CAPO306727	SCHMD02913, SCHMD15835, SCHMD15836
OG0000703	CAPO308078	SCHMD16900, SCHMD27672, SCHMD19745, SCHMD27562, SCHMD13056, SCHMD14155, SCHMD02015, SCHMD21390, SCHMD19872, SCHMD13000, SCHMD28016, SCHMD02951, SCHMD22472, SCHMD05181, SCHMD19746, SCHMD15814, SCHMD02952, SCHMD15683, SCHMD03880, SCHMD12640, SCHMD26335, SCHMD23390, SCHMD20492
OG0000706	CAPO301985	SCHMD26259, SCHMD27843
OG0000708	CAPO302130	SCHMD25653
OG0000709	CAPO305451	SCHMD18124
OG0000711	CAPO304713	SCHMD16082, SCHMD02785
OG0000713	CAPO302804	SCHMD17095
OG0000715	CAPO305197	SCHMD26861, SCHMD05460
OG0000716	CAPO306457, CAPO306957	SCHMD04462, SCHMD22884, SCHMD19144, SCHMD07207, SCHMD17723
OG0000717	CAPO302989	SCHMD26760, SCHMD12553
OG0000718	CAPO301597, CAPO306021	SCHMD05665, SCHMD05692, SCHMD05688, SCHMD24218, SCHMD05666, SCHMD25000, SCHMD11831, SCHMD03691
OG0000721	CAPO305154, CAPO301906	SCHMD15260, SCHMD29752, SCHMD09543
OG0000724	CAPO300826	SCHMD01876, SCHMD11468, SCHMD08667, SCHMD14292, SCHMD17982, SCHMD00128, SCHMD07525, SCHMD08666
OG0000724	CAPO302469	SCHMD07332
OG0000731	CAPO304569	SCHMD03063
OG0000732	CAPO304867	SCHMD09651
OG0000732	CAPO302445	SCHMD05249
OG0000733	CAPO301695	SCHMD15931, SCHMD28225, SCHMD15626, SCHMD13904, SCHMD02163
OG0000735	CAPO302824	SCHMD07620
OG0000736	CAPO306770	SCHMD03316, SCHMD03312, SCHMD03313, SCHMD28786, SCHMD03315
OG0000737	CAPO304586	SCHMD13872, SCHMD06037, SCHMD06036, SCHMD13871, SCHMD06038, SCHMD26765, SCHMD20700, SCHMD19426, SCHMD19425, SCHMD16484, SCHMD24684
OG0000743	CAPO306268	SCHMD08529, SCHMD21398
OG0000748	CAPO301276	SCHMD01969, SCHMD06828, SCHMD06887, SCHMD11059, SCHMD09770, SCHMD25521, SCHMD26898, SCHMD16627
OG0000751	CAPO302771	SCHMD12293, SCHMD13329, SCHMD18701, SCHMD04693, SCHMD17218, SCHMD17217, SCHMD03838, SCHMD03689, SCHMD13065, SCHMD14600, SCHMD18030, SCHMD13408
OG0000752	CAPO300507	SCHMD12645
OG0000753	CAPO301378	SCHMD14739
OG0000754	CAPO300911, CAPO306986, CAPO303353	SCHMD24347, SCHMD16665, SCHMD17332, SCHMD18167, SCHMD28885, SCHMD20683, SCHMD22890, SCHMD17551
OG0000757	CAPO307096	SCHMD13979, SCHMD10753, SCHMD18486
OG0000758	CAPO305275	SCHMD21135, SCHMD07281
OG0000759	CAPO300473	SCHMD22205, SCHMD21958
OG0000765	CAPO301853	SCHMD22312, SCHMD21723, SCHMD22880
OG0000765	CAPO301648	SCHMD28655, SCHMD19641
OG0000766	CAPO300388	SCHMD09465, SCHMD07087, SCHMD23662, SCHMD13714, SCHMD13716, SCHMD13715, SCHMD28470, SCHMD22621, SCHMD06546
OG0000767	CAPO305367	SCHMD28206, SCHMD09263, SCHMD04586, SCHMD04585
OG0000768	CAPO302005, CAPO306612, CAPO302492, CAPO307738, CAPO305672, CAPO305904	SCHMD13165, SCHMD22067
OG0000772	CAPO304708, CAPO302709	SCHMD07550, SCHMD11404
OG0000774	CAPO306995	SCHMD13406, SCHMD04364
OG0000775	CAPO306201	SCHMD02633, SCHMD02632
OG0000776	CAPO307356	SCHMD10487
OG0000777	CAPO301548	SCHMD04489
OG0000782	CAPO303574	SCHMD18810, SCHMD13192, SCHMD14543
OG0000788	CAPO304590	SCHMD11830, SCHMD18844, SCHMD06628
OG0000791	CAPO304699	SCHMD12437
OG0000792	CAPO305838	SCHMD14957, SCHMD14636, SCHMD23892
OG0000793	CAPO301604	SCHMD22428, SCHMD23980, SCHMD15261, SCHMD00689, SCHMD02469, SCHMD09415, SCHMD08316
OG0000794	CAPO304031	SCHMD10042
OG0000796	CAPO301075	SCHMD27129, SCHMD07584, SCHMD10018, SCHMD09905
OG0000796	CAPO301385	SCHMD23450
OG0000797	CAPO307534	SCHMD19270, SCHMD16320
OG0000803	CAPO301668	SCHMD13498, SCHMD13620, SCHMD26336
OG0000810	CAPO305098, CAPO306601	SCHMD03195, SCHMD03113, SCHMD06140, SCHMD03114
OG0000813	CAPO300040, CAPO308168	SCHMD04629, SCHMD20034, SCHMD10317, SCHMD04366, SCHMD20035, SCHMD10316, SCHMD26060
OG0000814	CAPO307227	SCHMD03060, SCHMD13676, SCHMD13183, SCHMD07986, SCHMD07352
OG0000817	CAPO308202	SCHMD22983
OG0000818	CAPO307028	SCHMD25196, SCHMD21411
OG0000820	CAPO303441	SCHMD05006, SCHMD21406
OG0000820	CAPO303993, CAPO304861, CAPO306914, CAPO301340, CAPO300173, CAPO302332, CAPO305090, CAPO300452	SCHMD19766
OG0000824	CAPO303788	SCHMD13102, SCHMD05362, SCHMD07823, SCHMD24327, SCHMD27575, SCHMD22375, SCHMD26863, SCHMD23932, SCHMD19546, SCHMD05363, SCHMD16880
OG0000826	CAPO306060	SCHMD01695, SCHMD01697, SCHMD12736, SCHMD10190, SCHMD02301, SCHMD07205, SCHMD20648, SCHMD19536, SCHMD29770
OG0000828	CAPO306023	SCHMD18098, SCHMD08298
OG0000828	CAPO307153	SCHMD07805, SCHMD08624
OG0000834	CAPO306233	SCHMD11223, SCHMD19332, SCHMD16052
OG0000836	CAPO306019, CAPO307821	SCHMD23242
OG0000837	CAPO308104, CAPO303511	SCHMD09523, SCHMD05554, SCHMD04696, SCHMD00842, SCHMD03083
OG0000841	CAPO300281	SCHMD01918, SCHMD21459
OG0000844	CAPO306591, CAPO307267	SCHMD01709
OG0000847	CAPO301759, CAPO307057	SCHMD00410
OG0000847	CAPO308298	SCHMD03587, SCHMD22549
OG0000849	CAPO304492	SCHMD25311, SCHMD22953, SCHMD26456, SCHMD01276, SCHMD04229, SCHMD16960, SCHMD16685
OG0000850	CAPO302141	SCHMD10966, SCHMD04706, SCHMD04753, SCHMD01633, SCHMD04752
OG0000850	CAPO306299	SCHMD26000, SCHMD27633
OG0000851	CAPO304092	SCHMD21876, SCHMD17205
OG0000857	CAPO303022	SCHMD04157, SCHMD10825, SCHMD22599, SCHMD10824
OG0000858	CAPO302161	SCHMD23221, SCHMD20483, SCHMD08351
OG0000858	CAPO306693	SCHMD23222, SCHMD16324, SCHMD22095, SCHMD27060
OG0000860	CAPO306338	SCHMD05987
OG0000871	CAPO300407	SCHMD06938
OG0000872	CAPO308293	SCHMD07553
OG0000873	CAPO307878	SCHMD02654, SCHMD05828, SCHMD02657, SCHMD05831, SCHMD17268, SCHMD02656, SCHMD05830, SCHMD02659, SCHMD16630, SCHMD13026, SCHMD17269, SCHMD02655, SCHMD05829
OG0000875	CAPO303418, CAPO302903	SCHMD10815, SCHMD17655, SCHMD18552, SCHMD00030, SCHMD10336
OG0000876	CAPO302150	SCHMD01529
OG0000879	CAPO301982	SCHMD10640
OG0000881	CAPO301333, CAPO300020	SCHMD04314, SCHMD09365, SCHMD01117, SCHMD08924
OG0000881	CAPO308042	SCHMD25283, SCHMD17841, SCHMD18605, SCHMD20926, SCHMD25363
OG0000888	CAPO300320	SCHMD01724
OG0000888	CAPO301794	SCHMD23123
OG0000889	CAPO302257	SCHMD00830, SCHMD04643
OG0000889	CAPO304144	SCHMD02281, SCHMD02130
OG0000890	CAPO304283	SCHMD19625, SCHMD11513, SCHMD25560, SCHMD16414
OG0000894	CAPO300968, CAPO300967	SCHMD05374
OG0000894	CAPO301227	SCHMD11594, SCHMD05061
OG0000896	CAPO301183	SCHMD08034
OG0000896	CAPO304049	SCHMD03189
OG0000897	CAPO306059	SCHMD05382
OG0000899	CAPO300655	SCHMD22285, SCHMD13459
OG0000904	CAPO305539	SCHMD20433, SCHMD03539
OG0000905	CAPO303384	SCHMD17642, SCHMD19023
OG0000909	CAPO300878	SCHMD05694, SCHMD03729
OG0000911	CAPO302608	SCHMD02390, SCHMD02388
OG0000913	CAPO300255	SCHMD10820, SCHMD18663, SCHMD25146, SCHMD27220
OG0000914	CAPO302002	SCHMD13079, SCHMD10834, SCHMD13078
OG0000915	CAPO306555	SCHMD14220, SCHMD09039, SCHMD01684
OG0000921	CAPO300272	SCHMD07722
OG0000921	CAPO306351	SCHMD16276
OG0000925	CAPO304563	SCHMD01205, SCHMD18689, SCHMD00501, SCHMD05937
OG0000929	CAPO303494	SCHMD00375, SCHMD08839
OG0000931	CAPO303586	SCHMD02356
OG0000933	CAPO304170	SCHMD03632, SCHMD07102, SCHMD01828, SCHMD29251, SCHMD08939
OG0000934	CAPO306946, CAPO300619	SCHMD07111, SCHMD08216
OG0000935	CAPO307401	SCHMD09505, SCHMD18565, SCHMD18664
OG0000944	CAPO304090	SCHMD15750
OG0000952	CAPO300179	SCHMD25772, SCHMD22150, SCHMD05274
OG0000954	CAPO303535	SCHMD05029, SCHMD08968, SCHMD13763
OG0000954	CAPO305800	SCHMD05469, SCHMD02974
OG0000955	CAPO303429	SCHMD06645, SCHMD03890, SCHMD04591
OG0000955	CAPO305513	SCHMD06275
OG0000955	CAPO301514	SCHMD20742
OG0000960	CAPO304728	SCHMD05680, SCHMD08670, SCHMD05681, SCHMD12110
OG0000963	CAPO303990	SCHMD22298, SCHMD11708, SCHMD04476
OG0000965	CAPO302148	SCHMD22316, SCHMD15133, SCHMD13697, SCHMD12517
OG0000967	CAPO304786	SCHMD05844, SCHMD03950
OG0000974	CAPO306940	SCHMD24665, SCHMD24853, SCHMD26881
OG0000978	CAPO306307	SCHMD15268, SCHMD25301, SCHMD25194
OG0000982	CAPO301371	SCHMD26054, SCHMD08717
OG0000982	CAPO305575	SCHMD22914
OG0000984	CAPO307940	SCHMD02865, SCHMD00646
OG0000985	CAPO304864	SCHMD18627, SCHMD20480, SCHMD13371, SCHMD11840
OG0000986	CAPO305058	SCHMD25195, SCHMD27305, SCHMD22933, SCHMD10755, SCHMD11238, SCHMD09897
OG0000987	CAPO306365	SCHMD03090, SCHMD13202, SCHMD12033, SCHMD17704, SCHMD13203, SCHMD12032, SCHMD16148, SCHMD13314, SCHMD17705
OG0000992	CAPO308244	SCHMD08111
OG0000993	CAPO303930	SCHMD03348
OG0000994	CAPO306999	SCHMD16610, SCHMD07202, SCHMD11541, SCHMD07203
OG0000997	CAPO306501	SCHMD28749
OG0000998	CAPO302508	SCHMD08664, SCHMD08663
OG0000999	CAPO303484, CAPO302236	SCHMD24575, SCHMD22089, SCHMD08206, SCHMD16857, SCHMD24576, SCHMD11146, SCHMD08208
OG0001006	CAPO308145	SCHMD17048, SCHMD11571
OG0001009	CAPO305830	SCHMD19415, SCHMD09472
OG0001015	CAPO304771	SCHMD07353, SCHMD06693, SCHMD06692
OG0001016	CAPO300038	SCHMD23273, SCHMD15080
OG0001016	CAPO302596	SCHMD25548, SCHMD21254
OG0001024	CAPO300862	SCHMD01762, SCHMD03107
OG0001033	CAPO305083	SCHMD11399, SCHMD23908
OG0001033	CAPO300376	SCHMD10492
OG0001036	CAPO301917	SCHMD03745, SCHMD20768, SCHMD09235, SCHMD05156
OG0001037	CAPO306107	SCHMD28302, SCHMD23424, SCHMD16427, SCHMD02530, SCHMD07259
OG0001039	CAPO305080	SCHMD01765, SCHMD01764
OG0001042	CAPO301530	SCHMD05094, SCHMD04032, SCHMD11839
OG0001046	CAPO304357	SCHMD05104, SCHMD02045, SCHMD11124
OG0001048	CAPO306868	SCHMD12160
OG0001050	CAPO306892	SCHMD04667
OG0001050	CAPO306760	SCHMD03458
OG0001060	CAPO302777	SCHMD12337, SCHMD14762, SCHMD05051
OG0001062	CAPO300111	SCHMD17907, SCHMD23601, SCHMD22530, SCHMD24440, SCHMD23600, SCHMD17910
OG0001064	CAPO304594	SCHMD00355, SCHMD00354
OG0001066	CAPO305156	SCHMD24046, SCHMD10767
OG0001072	CAPO304331	SCHMD24459, SCHMD27893
OG0001073	CAPO307880	SCHMD00478, SCHMD00479, SCHMD05949
OG0001075	CAPO305658	SCHMD20153, SCHMD20154, SCHMD04393, SCHMD13181, SCHMD04392, SCHMD00196, SCHMD16771
OG0001076	CAPO306580	SCHMD07131
OG0001078	CAPO300211	SCHMD20731, SCHMD25766, SCHMD19216, SCHMD23006
OG0001081	CAPO302911	SCHMD03711, SCHMD03710
OG0001082	CAPO306944	SCHMD14053, SCHMD28613, SCHMD18679, SCHMD25513
OG0001083	CAPO306339	SCHMD07690
OG0001085	CAPO305936	SCHMD03894
OG0001092	CAPO303664	SCHMD18000, SCHMD17999, SCHMD18945, SCHMD28277, SCHMD28278, SCHMD18946
OG0001096	CAPO308143	SCHMD11467, SCHMD14874
OG0001101	CAPO301529	SCHMD06917, SCHMD18684, SCHMD23170, SCHMD18685
OG0001104	CAPO306923	SCHMD11885, SCHMD14895, SCHMD18516, SCHMD03705
OG0001106	CAPO307850	SCHMD22581, SCHMD22582
OG0001108	CAPO300863	SCHMD08133
OG0001113	CAPO302840	SCHMD04717
OG0001113	CAPO304589	SCHMD08665, SCHMD03992
OG0001114	CAPO307418	SCHMD18228, SCHMD14100, SCHMD15222
OG0001116	CAPO303103	SCHMD19491, SCHMD04023
OG0001121	CAPO305030	SCHMD18066, SCHMD06995, SCHMD25343, SCHMD23015, SCHMD06994
OG0001123	CAPO305010	SCHMD02756
OG0001123	CAPO307047	SCHMD02755, SCHMD22573, SCHMD28528, SCHMD01636, SCHMD08373
OG0001124	CAPO307326	SCHMD24013
OG0001126	CAPO301067	SCHMD17193, SCHMD24674, SCHMD17192
OG0001128	CAPO301710	SCHMD12319, SCHMD08323
OG0001129	CAPO306230	SCHMD27406, SCHMD15504, SCHMD18282, SCHMD05846
OG0001130	CAPO305636	SCHMD04030, SCHMD13287, SCHMD04031
OG0001133	CAPO302577	SCHMD18643
OG0001133	CAPO300360	SCHMD29299, SCHMD19714
OG0001135	CAPO304787	SCHMD28946, SCHMD01011, SCHMD22792
OG0001136	CAPO301949	SCHMD09640, SCHMD08874, SCHMD07287, SCHMD16997, SCHMD26014, SCHMD23231
OG0001137	CAPO308164	SCHMD17448, SCHMD26312, SCHMD05464, SCHMD01243
OG0001139	CAPO300537	SCHMD00334
OG0001140	CAPO308326	SCHMD22679, SCHMD17712, SCHMD14631, SCHMD02111, SCHMD16673, SCHMD18031, SCHMD24981, SCHMD17350, SCHMD11695, SCHMD21848, SCHMD22963, SCHMD14630, SCHMD17713, SCHMD26239, SCHMD04472
OG0001142	CAPO304790	SCHMD12785, SCHMD19807, SCHMD09379
OG0001143	CAPO304300	SCHMD05178
OG0001146	CAPO300511	SCHMD06189
OG0001148	CAPO302512	SCHMD02133, SCHMD02134, SCHMD22264, SCHMD25588
OG0001149	CAPO305549	SCHMD16336, SCHMD29633
OG0001156	CAPO306962	SCHMD11390
OG0001158	CAPO302639	SCHMD00377, SCHMD06105, SCHMD01514, SCHMD06104, SCHMD00376
OG0001160	CAPO307697	SCHMD18251, SCHMD20811
OG0001160	CAPO304743	SCHMD20666
OG0001161	CAPO301112	SCHMD27832, SCHMD10429, SCHMD10428, SCHMD10427, SCHMD25982, SCHMD11638
OG0001164	CAPO304142	SCHMD22065
OG0001167	CAPO307849	SCHMD08525, SCHMD06703, SCHMD13691, SCHMD08043, SCHMD04406
OG0001168	CAPO301546	SCHMD13073
OG0001169	CAPO301751	SCHMD01218, SCHMD01217
OG0001171	CAPO303195, CAPO305267	SCHMD07172
OG0001175	CAPO304133, CAPO306812	SCHMD29294, SCHMD29072, SCHMD18473
OG0001179	CAPO300184	SCHMD26379, SCHMD19758, SCHMD28127, SCHMD24134
OG0001181	CAPO301983	SCHMD21797
OG0001183	CAPO301096	SCHMD25354, SCHMD18351, SCHMD24868, SCHMD15726, SCHMD18352, SCHMD01499, SCHMD23054, SCHMD29166, SCHMD15725, SCHMD02325
OG0001184	CAPO306392	SCHMD09255, SCHMD12752
OG0001185	CAPO303366	SCHMD23236
OG0001186	CAPO302303	SCHMD20610
OG0001186	CAPO307451	SCHMD05037
OG0001188	CAPO300558	SCHMD18590, SCHMD05961, SCHMD05963, SCHMD14167
OG0001191	CAPO301625	SCHMD08591
OG0001197	CAPO306552	SCHMD06230
OG0001199	CAPO305690	SCHMD17507, SCHMD14047, SCHMD17830, SCHMD16496
OG0001201	CAPO302220	SCHMD18644
OG0001207	CAPO304292	SCHMD02145, SCHMD05067, SCHMD08759, SCHMD15345
OG0001207	CAPO305627, CAPO302093	SCHMD07731
OG0001208	CAPO300830	SCHMD11671, SCHMD13440, SCHMD22806
OG0001209	CAPO302948	SCHMD22043, SCHMD28492
OG0001210	CAPO300919	SCHMD19442, SCHMD19441
OG0001210	CAPO302732	SCHMD03203
OG0001210	CAPO302555	SCHMD03204
OG0001212	CAPO305298	SCHMD25299
OG0001213	CAPO304729	SCHMD01086
OG0001213	CAPO303632	SCHMD23993, SCHMD21364, SCHMD26387, SCHMD21954, SCHMD22675
OG0001214	CAPO304780	SCHMD22221
OG0001215	CAPO302583	SCHMD25774
OG0001216	CAPO307997	SCHMD13349
OG0001217	CAPO306810	SCHMD18537, SCHMD21187, SCHMD21148
OG0001218	CAPO307457	SCHMD03256, SCHMD03255
OG0001221	CAPO307765	SCHMD16690, SCHMD16872
OG0001226	CAPO307936	SCHMD21222
OG0001234	CAPO307897	SCHMD01688, SCHMD19363
OG0001241	CAPO303368	SCHMD04757, SCHMD04223
OG0001241	CAPO304888	SCHMD16327
OG0001247	CAPO303193, CAPO307423	SCHMD01541, SCHMD06119, SCHMD06121
OG0001248	CAPO303079	SCHMD28672, SCHMD29190, SCHMD17657, SCHMD27420, SCHMD26376, SCHMD07280, SCHMD07279, SCHMD05075, SCHMD24460
OG0001249	CAPO306922	SCHMD01150, SCHMD03693, SCHMD01149
OG0001250	CAPO302323	SCHMD08101, SCHMD04347
OG0001251	CAPO302019	SCHMD18877, SCHMD19053, SCHMD14253, SCHMD20912, SCHMD12715
OG0001254	CAPO307546	SCHMD14258, SCHMD09217
OG0001261	CAPO302839	SCHMD04419, SCHMD13436
OG0001262	CAPO301672	SCHMD20259
OG0001263	CAPO301777	SCHMD17470
OG0001267	CAPO307578	SCHMD05399
OG0001268	CAPO303692	SCHMD03342, SCHMD05378, SCHMD01057, SCHMD24040
OG0001271	CAPO302779	SCHMD04304, SCHMD05357
OG0001272	CAPO305566	SCHMD27604, SCHMD21806, SCHMD22716, SCHMD09459
OG0001273	CAPO301889	SCHMD13838, SCHMD25918, SCHMD21739
OG0001274	CAPO308194	SCHMD04927, SCHMD06016
OG0001278	CAPO306229	SCHMD25706, SCHMD22381
OG0001279	CAPO302733, CAPO303292	SCHMD06836
OG0001280	CAPO300326	SCHMD09937, SCHMD20104, SCHMD05674, SCHMD11884
OG0001281	CAPO304088, CAPO303543	SCHMD05572
OG0001282	CAPO305993	SCHMD08026
OG0001282	CAPO303595	SCHMD08025
OG0001284	CAPO300970	SCHMD09316, SCHMD00434
OG0001285	CAPO304179	SCHMD13791
OG0001286	CAPO303892	SCHMD05790
OG0001287	CAPO302822, CAPO304538	SCHMD07530
OG0001288	CAPO302651	SCHMD25110, SCHMD25219, SCHMD07329, SCHMD24194, SCHMD28204
OG0001291	CAPO300695	SCHMD20641, SCHMD11793
OG0001294	CAPO304223	SCHMD26145, SCHMD28915, SCHMD26181, SCHMD17649, SCHMD26146, SCHMD20417, SCHMD20418
OG0001296	CAPO308260	SCHMD20454, SCHMD11060, SCHMD07042, SCHMD11383
OG0001297	CAPO305437	SCHMD10762
OG0001300	CAPO301019	SCHMD00214
OG0001300	CAPO300154	SCHMD19001, SCHMD09152, SCHMD17144, SCHMD02202
OG0001302	CAPO302654	SCHMD13885
OG0001302	CAPO302215	SCHMD08617, SCHMD27826
OG0001304	CAPO302419	SCHMD00876, SCHMD13840
OG0001308	CAPO300864	SCHMD08489
OG0001308	CAPO300432	SCHMD08020
OG0001310	CAPO305405	SCHMD19422
OG0001310	CAPO300151	SCHMD09167
OG0001311	CAPO300585	SCHMD05801
OG0001312	CAPO304811	SCHMD02056, SCHMD02055
OG0001314	CAPO306642	SCHMD22009, SCHMD21479
OG0001318	CAPO306280	SCHMD07054
OG0001318	CAPO303315	SCHMD16802
OG0001319	CAPO304915	SCHMD14764
OG0001320	CAPO307498	SCHMD01321, SCHMD01324, SCHMD01322
OG0001320	CAPO304958	SCHMD05527
OG0001321	CAPO301358	SCHMD23818
OG0001322	CAPO302022	SCHMD09506
OG0001323	CAPO301735	SCHMD18380, SCHMD28053, SCHMD14852, SCHMD22300
OG0001325	CAPO304115	SCHMD05728
OG0001326	CAPO306149	SCHMD29052, SCHMD26738, SCHMD21907, SCHMD17595, SCHMD08761, SCHMD19423
OG0001327	CAPO305568	SCHMD18386, SCHMD19068, SCHMD08653, SCHMD04846, SCHMD02379
OG0001328	CAPO302287	SCHMD23086
OG0001332	CAPO305487	SCHMD04204, SCHMD03025, SCHMD08288, SCHMD29775, SCHMD19949
OG0001333	CAPO301191, CAPO305523	SCHMD15673, SCHMD23155
OG0001335	CAPO306508	SCHMD24476
OG0001348	CAPO304908	SCHMD24331, SCHMD29399
OG0001350	CAPO305116, CAPO303054	SCHMD16735, SCHMD15485
OG0001350	CAPO307484	SCHMD17071, SCHMD29804, SCHMD10618
OG0001353	CAPO303379	SCHMD10586
OG0001355	CAPO307732	SCHMD23781
OG0001359	CAPO303726	SCHMD11507, SCHMD14841
OG0001361	CAPO306689	SCHMD25345
OG0001364	CAPO307249	SCHMD00323, SCHMD27572, SCHMD21273
OG0001367	CAPO304628	SCHMD04624
OG0001370	CAPO305064	SCHMD12004
OG0001370	CAPO306956	SCHMD18225, SCHMD11963
OG0001372	CAPO301063	SCHMD12917, SCHMD12353, SCHMD23970
OG0001372	CAPO306529	SCHMD29815
OG0001375	CAPO300461	SCHMD18333
OG0001378	CAPO302717	SCHMD11687, SCHMD12504, SCHMD07107
OG0001379	CAPO304865	SCHMD15234
OG0001383	CAPO300442	SCHMD18571, SCHMD21036, SCHMD28197, SCHMD18572
OG0001386	CAPO305078	SCHMD24943, SCHMD20670, SCHMD14052, SCHMD07967, SCHMD00663, SCHMD14821, SCHMD21484, SCHMD16845, SCHMD00665, SCHMD00661, SCHMD00664, SCHMD14822, SCHMD16844
OG0001387	CAPO306110, CAPO306288	SCHMD01336
OG0001389	CAPO307975, CAPO307908	SCHMD02030
OG0001397	CAPO306119	SCHMD08548, SCHMD08095
OG0001399	CAPO304148	SCHMD20091, SCHMD16432
OG0001400	CAPO305841	SCHMD26317
OG0001404	CAPO302450	SCHMD14856, SCHMD14854, SCHMD14853
OG0001405	CAPO302942	SCHMD16175
OG0001406	CAPO305604	SCHMD07383, SCHMD01809, SCHMD13359, SCHMD19152
OG0001408	CAPO304468	SCHMD23659, SCHMD15840, SCHMD15841
OG0001409	CAPO300832	SCHMD20637, SCHMD16856, SCHMD04792
OG0001410	CAPO304381	SCHMD09832
OG0001410	CAPO303461	SCHMD09687
OG0001411	CAPO301653	SCHMD13417, SCHMD19317, SCHMD13416, SCHMD19137
OG0001412	CAPO304843	SCHMD13223
OG0001413	CAPO300375	SCHMD02827
OG0001414	CAPO303273	SCHMD19649
OG0001415	CAPO307087	SCHMD01522, SCHMD16066, SCHMD16500, SCHMD15947
OG0001416	CAPO300753	SCHMD01722
OG0001421	CAPO305364	SCHMD14208
OG0001422	CAPO300002	SCHMD21796
OG0001422	CAPO308345, CAPO303120	SCHMD18897, SCHMD04981, SCHMD04982
OG0001424	CAPO304776	SCHMD23260, SCHMD24676
OG0001425	CAPO302275, CAPO302850	SCHMD16287, SCHMD09188, SCHMD09187
OG0001426	CAPO302841	SCHMD02033
OG0001427	CAPO302723	SCHMD04595, SCHMD03939, SCHMD00575
OG0001428	CAPO303027	SCHMD09370, SCHMD15075, SCHMD06126, SCHMD06125
OG0001430	CAPO300562	SCHMD00026
OG0001434	CAPO304740	SCHMD28634
OG0001440	CAPO305450	SCHMD08958, SCHMD08957
OG0001445	CAPO301958	SCHMD04082
OG0001447	CAPO307093	SCHMD14223
OG0001449	CAPO306822	SCHMD11900
OG0001451	CAPO300036	SCHMD11378, SCHMD13989, SCHMD09385, SCHMD09340
OG0001452	CAPO301933	SCHMD18703, SCHMD12394
OG0001452	CAPO304964	SCHMD18702
OG0001454	CAPO303806	SCHMD21412, SCHMD12857, SCHMD10712, SCHMD05935, SCHMD27841, SCHMD03145
OG0001456	CAPO307965	SCHMD22269, SCHMD26154
OG0001459	CAPO307035	SCHMD26904, SCHMD06959
OG0001460	CAPO300988	SCHMD10311, SCHMD23647
OG0001460	CAPO305875	SCHMD10312, SCHMD23646
OG0001461	CAPO301012	SCHMD05456
OG0001461	CAPO305472	SCHMD13257
OG0001466	CAPO305831	SCHMD12996, SCHMD13074, SCHMD25318, SCHMD17860, SCHMD03273
OG0001467	CAPO304882	SCHMD12343, SCHMD19099, SCHMD25578, SCHMD23876, SCHMD14454, SCHMD14218, SCHMD09966
OG0001468	CAPO306475	SCHMD00390
OG0001469	CAPO306371	SCHMD09394
OG0001469	CAPO301724	SCHMD24067, SCHMD10449
OG0001470	CAPO305163	SCHMD02321, SCHMD02318
OG0001472	CAPO300986	SCHMD12948
OG0001472	CAPO305311	SCHMD13936, SCHMD13397, SCHMD27432
OG0001474	CAPO306191	SCHMD11576, SCHMD26877
OG0001475	CAPO305552	SCHMD01990, SCHMD01568, SCHMD01569, SCHMD13677, SCHMD05348
OG0001478	CAPO303095	SCHMD22576, SCHMD26017
OG0001479	CAPO306515	SCHMD12413, SCHMD08686
OG0001482	CAPO307610	SCHMD02244, SCHMD09593, SCHMD10073, SCHMD09185, SCHMD02242
OG0001484	CAPO301411	SCHMD14277
OG0001485	CAPO305378, CAPO305590	SCHMD18182
OG0001490	CAPO305433	SCHMD08286, SCHMD07637
