Orthogroup	CAPO3	ASTMX
OG0001327	CAPO305568	ASTMX01100, ASTMX18676, ASTMX05552
OG0001330	CAPO304584, CAPO300112	ASTMX04462, ASTMX17075, ASTMX04383, ASTMX12196, ASTMX19685, ASTMX12195
OG0001332	CAPO305487	ASTMX08248, ASTMX16970
OG0001333	CAPO301191	ASTMX05919, ASTMX07699
OG0001344	CAPO308153	ASTMX12839, ASTMX12838
OG0001345	CAPO306177	ASTMX17745
OG0001348	CAPO304908	ASTMX09799, ASTMX08553, ASTMX19294
OG0001350	CAPO305116, CAPO303054	ASTMX06475
OG0001350	CAPO307484	ASTMX15964
OG0001352	CAPO303801	ASTMX15667, ASTMX15246, ASTMX15247, ASTMX00804
OG0001353	CAPO303379	ASTMX11924, ASTMX13745
OG0001355	CAPO307732	ASTMX21361, ASTMX17683, ASTMX22296, ASTMX03894, ASTMX05031, ASTMX05922
OG0001358	CAPO302204	ASTMX08140, ASTMX02990, ASTMX13721, ASTMX08819, ASTMX08141, ASTMX10244
OG0001359	CAPO303726	ASTMX02428, ASTMX11942, ASTMX17796, ASTMX09162
OG0001361	CAPO307400	ASTMX01071, ASTMX20061, ASTMX16172
OG0001364	CAPO307249	ASTMX17782, ASTMX06972, ASTMX17850
OG0001366	CAPO302707	ASTMX14130, ASTMX01928, ASTMX19346, ASTMX14132, ASTMX14131, ASTMX19344, ASTMX18739, ASTMX02673
OG0001367	CAPO304628	ASTMX00960, ASTMX11729, ASTMX19617, ASTMX13008, ASTMX20021
OG0001370	CAPO305064	ASTMX09028
OG0001370	CAPO306956	ASTMX12996
OG0001372	CAPO301063	ASTMX06020
OG0001373	CAPO300734	ASTMX07702, ASTMX20451, ASTMX17338, ASTMX22761, ASTMX07731
OG0001378	CAPO302717	ASTMX05115, ASTMX18038, ASTMX12590, ASTMX15728, ASTMX14012, ASTMX04632
OG0001379	CAPO304865	ASTMX03133, ASTMX08769, ASTMX08803, ASTMX08802, ASTMX03013, ASTMX03014
OG0001382	CAPO306735	ASTMX22770, ASTMX17021
OG0001383	CAPO300442	ASTMX16017
OG0001386	CAPO305078	ASTMX10454, ASTMX13567, ASTMX13566
OG0001387	CAPO306110, CAPO306288	ASTMX07864, ASTMX13262, ASTMX14247, ASTMX08858
OG0001397	CAPO306119	ASTMX08012, ASTMX19505, ASTMX01488
OG0001399	CAPO304148	ASTMX06124, ASTMX11454, ASTMX00428
OG0001400	CAPO305841	ASTMX01461, ASTMX15365, ASTMX12046, ASTMX21798, ASTMX01897
OG0001404	CAPO302450	ASTMX03622, ASTMX05687
OG0001405	CAPO302942	ASTMX21998
OG0001406	CAPO305604	ASTMX11154, ASTMX06992, ASTMX15717
OG0001408	CAPO304468	ASTMX08971, ASTMX19130, ASTMX19997, ASTMX18382, ASTMX18903, ASTMX19996, ASTMX18383
OG0001409	CAPO300832	ASTMX06764, ASTMX08743, ASTMX16438, ASTMX11918
OG0001410	CAPO304381	ASTMX14683
OG0001410	CAPO303461	ASTMX11950
OG0001411	CAPO301653	ASTMX12471
OG0001412	CAPO304843	ASTMX19015, ASTMX19014
OG0001413	CAPO300375	ASTMX19024
OG0001414	CAPO303273	ASTMX02756
OG0001416	CAPO300753	ASTMX16935, ASTMX00724, ASTMX04812
OG0001418	CAPO300218	ASTMX11591, ASTMX19434, ASTMX05467, ASTMX02896, ASTMX19463
OG0001420	CAPO304723, CAPO308198, CAPO308234, CAPO305541, CAPO307813	ASTMX04576, ASTMX01772, ASTMX08878, ASTMX08385, ASTMX19032, ASTMX19033
OG0001422	CAPO308345, CAPO303120	ASTMX17695, ASTMX01913
OG0001423	CAPO301310	ASTMX01856, ASTMX07807, ASTMX04010, ASTMX11404, ASTMX22608
OG0001424	CAPO304776	ASTMX17288, ASTMX12720
OG0001425	CAPO302275, CAPO302850	ASTMX03298, ASTMX08956, ASTMX13239, ASTMX13087, ASTMX06948
OG0001426	CAPO302841	ASTMX11150, ASTMX19183, ASTMX05528, ASTMX15051, ASTMX19182, ASTMX02679, ASTMX19079
OG0001427	CAPO302723	ASTMX10767, ASTMX01765, ASTMX17165
OG0001428	CAPO303027	ASTMX05247, ASTMX09437, ASTMX16939, ASTMX14746
OG0001430	CAPO300562	ASTMX21020, ASTMX21443, ASTMX04688, ASTMX10990, ASTMX18254, ASTMX13065
OG0001431	CAPO308230	ASTMX15509, ASTMX15371, ASTMX05030
OG0001437	CAPO304955	ASTMX18553, ASTMX12632
OG0001440	CAPO305450	ASTMX06448, ASTMX19471, ASTMX02877
OG0001445	CAPO301958	ASTMX04130, ASTMX07057
OG0001447	CAPO307093	ASTMX09669, ASTMX06060, ASTMX07055, ASTMX19124, ASTMX04644
OG0001449	CAPO306822	ASTMX21017, ASTMX21018
OG0001451	CAPO300036	ASTMX19016, ASTMX00580
OG0001452	CAPO301933	ASTMX12067, ASTMX20582, ASTMX19197
OG0001454	CAPO303806	ASTMX22213, ASTMX18012, ASTMX21139
OG0001456	CAPO307965	ASTMX18389, ASTMX18392, ASTMX18390
OG0001459	CAPO307035	ASTMX20587, ASTMX19737
OG0001460	CAPO300988	ASTMX05935
OG0001460	CAPO305875	ASTMX06612
OG0001461	CAPO307458, CAPO305472	ASTMX05184
OG0001463	CAPO304054	ASTMX00203, ASTMX01706
OG0001466	CAPO305831	ASTMX10811, ASTMX14884
OG0001467	CAPO304882	ASTMX14338, ASTMX02258
OG0001468	CAPO306475	ASTMX14778, ASTMX06215, ASTMX18545, ASTMX05354
OG0001469	CAPO306371	ASTMX17940
OG0001469	CAPO301724	ASTMX05748
OG0001470	CAPO305163	ASTMX22480, ASTMX02997, ASTMX02333
OG0001472	CAPO300986	ASTMX14550
OG0001472	CAPO305311	ASTMX17138
OG0001473	CAPO304310	ASTMX15501, ASTMX19877
OG0001474	CAPO306191	ASTMX07703
OG0001475	CAPO305552	ASTMX01033, ASTMX04792
OG0001476	CAPO305062	ASTMX01244, ASTMX04837, ASTMX14359, ASTMX03706
OG0001478	CAPO303095	ASTMX12885
OG0001478	CAPO304965	ASTMX07723
OG0001479	CAPO306515	ASTMX01954, ASTMX14199, ASTMX14335, ASTMX15077
OG0001482	CAPO307610	ASTMX17250, ASTMX10958, ASTMX07796, ASTMX13431, ASTMX13296, ASTMX22753, ASTMX17504
OG0001484	CAPO301411	ASTMX17553, ASTMX17552, ASTMX18774
OG0001485	CAPO305378, CAPO305590	ASTMX21673
OG0001485	CAPO301954	ASTMX04894, ASTMX10882, ASTMX03334, ASTMX21672
OG0001486	CAPO302441	ASTMX09250, ASTMX10289, ASTMX01104, ASTMX08981
OG0001490	CAPO305433	ASTMX07604, ASTMX00526, ASTMX03930, ASTMX19516, ASTMX03287, ASTMX16189, ASTMX19517
OG0001492	CAPO305155	ASTMX17077, ASTMX04445
OG0001495	CAPO302008	ASTMX17637
OG0001496	CAPO301356	ASTMX09754
OG0001500	CAPO300054	ASTMX19077, ASTMX07007, ASTMX07549, ASTMX07006
OG0001501	CAPO305474	ASTMX22706, ASTMX09507
OG0001503	CAPO305666	ASTMX02356
OG0001503	CAPO307598	ASTMX19525
OG0001504	CAPO307661	ASTMX13743
OG0001505	CAPO301009	ASTMX16658, ASTMX10480
OG0001506	CAPO300953	ASTMX16668, ASTMX02040
OG0001507	CAPO304204	ASTMX04595, ASTMX10941, ASTMX13047
OG0001511	CAPO306127, CAPO305043	ASTMX18393, ASTMX02680
OG0001512	CAPO301118	ASTMX10020, ASTMX02034, ASTMX11028
OG0001515	CAPO302117	ASTMX03532
OG0001516	CAPO300345	ASTMX06094, ASTMX22766
OG0001517	CAPO303690	ASTMX05080, ASTMX07941, ASTMX05461, ASTMX06024, ASTMX06023
OG0001519	CAPO306949	ASTMX02035, ASTMX10088
OG0001522	CAPO303667	ASTMX05739, ASTMX08097, ASTMX22565, ASTMX01282
OG0001524	CAPO300996	ASTMX02800
OG0001524	CAPO308304	ASTMX10909
OG0001525	CAPO303907	ASTMX03602
OG0001526	CAPO305679	ASTMX08595, ASTMX10378, ASTMX13114
OG0001527	CAPO300128	ASTMX03505
OG0001529	CAPO300593	ASTMX09418, ASTMX00938, ASTMX00780
OG0001530	CAPO302602	ASTMX06648, ASTMX06951
OG0001532	CAPO300282	ASTMX04807, ASTMX04808, ASTMX17443, ASTMX02683, ASTMX09204, ASTMX06449
OG0001533	CAPO306032	ASTMX12054, ASTMX05383, ASTMX00173
OG0001534	CAPO304425	ASTMX18082, ASTMX07715, ASTMX20898, ASTMX01419
OG0001545	CAPO300895	ASTMX03396, ASTMX18260, ASTMX09148, ASTMX14733
OG0001551	CAPO306604	ASTMX01345, ASTMX03884
OG0001553	CAPO308172	ASTMX13473, ASTMX02742, ASTMX20664
OG0001554	CAPO302370	ASTMX03717, ASTMX05853, ASTMX03716, ASTMX07008
OG0001557	CAPO304176	ASTMX08321
OG0001558	CAPO301132	ASTMX15085, ASTMX15086, ASTMX13703, ASTMX08558
OG0001559	CAPO301785	ASTMX07506, ASTMX04609, ASTMX03837, ASTMX21052
OG0001561	CAPO301999	ASTMX12815, ASTMX13331, ASTMX05206, ASTMX16235
OG0001563	CAPO306378	ASTMX16894
OG0001564	CAPO301061	ASTMX08775, ASTMX04344, ASTMX08787
OG0001567	CAPO300948	ASTMX04861, ASTMX05681, ASTMX15554
OG0001568	CAPO301468	ASTMX14315
OG0001572	CAPO304756	ASTMX10710, ASTMX01136
OG0001572	CAPO304137	ASTMX21679
OG0001573	CAPO305125, CAPO303819	ASTMX07410, ASTMX09054
OG0001576	CAPO306270	ASTMX04056
OG0001578	CAPO300715	ASTMX17269
OG0001580	CAPO307900	ASTMX17141, ASTMX00422, ASTMX07082
OG0001581	CAPO306056	ASTMX16532
OG0001582	CAPO307073	ASTMX05961, ASTMX13814, ASTMX08233, ASTMX17082
OG0001583	CAPO306289	ASTMX21750, ASTMX01613, ASTMX19566, ASTMX06604, ASTMX04877
OG0001584	CAPO301068	ASTMX21214, ASTMX16901
OG0001589	CAPO303301, CAPO304004	ASTMX19868, ASTMX21658, ASTMX21657, ASTMX21656, ASTMX20087, ASTMX19867
OG0001590	CAPO302386	ASTMX14704
OG0001593	CAPO305942	ASTMX21886, ASTMX18436, ASTMX00248, ASTMX04255
OG0001594	CAPO304243	ASTMX03704
OG0001597	CAPO302703	ASTMX12010
OG0001599	CAPO300887	ASTMX14692, ASTMX14693, ASTMX18782
OG0001600	CAPO305994	ASTMX00827, ASTMX04589, ASTMX16583, ASTMX11957, ASTMX16357
OG0001603	CAPO306228	ASTMX15815, ASTMX06753, ASTMX22513
OG0001604	CAPO303898	ASTMX22550, ASTMX05873
OG0001605	CAPO307473	ASTMX17869, ASTMX10907, ASTMX17438, ASTMX13921
OG0001609	CAPO304683	ASTMX05434
OG0001609	CAPO302057	ASTMX10748
OG0001610	CAPO301483	ASTMX11326, ASTMX21155, ASTMX22190, ASTMX15390
OG0001611	CAPO305038	ASTMX20464, ASTMX19687, ASTMX14783, ASTMX22329, ASTMX10519, ASTMX17389, ASTMX13933
OG0001612	CAPO302202	ASTMX00061, ASTMX08047
OG0001614	CAPO303895	ASTMX11931
OG0001614	CAPO307630	ASTMX01689
OG0001615	CAPO300749	ASTMX02210, ASTMX03596, ASTMX14419
OG0001617	CAPO302798	ASTMX09414, ASTMX08375, ASTMX07272, ASTMX08862
OG0001621	CAPO302875	ASTMX22157, ASTMX01413, ASTMX19883
OG0001622	CAPO302121	ASTMX12674, ASTMX13967, ASTMX13341, ASTMX13342
OG0001634	CAPO305688	ASTMX20573, ASTMX09757
OG0001634	CAPO305614	ASTMX05822, ASTMX13820
OG0001638	CAPO303528	ASTMX17085, ASTMX13300, ASTMX13301
OG0001641	CAPO303281	ASTMX14840, ASTMX17044, ASTMX12642, ASTMX21552, ASTMX21553
OG0001643	CAPO306838	ASTMX11888, ASTMX11887, ASTMX17860, ASTMX01841
OG0001644	CAPO303665	ASTMX13408, ASTMX01826, ASTMX07591
OG0001652	CAPO302838	ASTMX21292, ASTMX22257, ASTMX09489
OG0001653	CAPO305118	ASTMX03023
OG0001655	CAPO302812	ASTMX19212, ASTMX01670, ASTMX07000, ASTMX09332
OG0001657	CAPO304165, CAPO303952	ASTMX22284, ASTMX12850, ASTMX15429
OG0001660	CAPO305930	ASTMX16915, ASTMX11846, ASTMX17881, ASTMX16914, ASTMX08833, ASTMX08831
OG0001661	CAPO302789	ASTMX14504
OG0001661	CAPO304920	ASTMX12346
OG0001663	CAPO301057	ASTMX05177, ASTMX19785, ASTMX01771, ASTMX08877
OG0001664	CAPO303152	ASTMX12458, ASTMX14304, ASTMX15093
OG0001665	CAPO302331	ASTMX16406, ASTMX15478
OG0001672	CAPO301880	ASTMX12193, ASTMX07934, ASTMX08671, ASTMX18092, ASTMX01458, ASTMX12016
OG0001673	CAPO305520	ASTMX21354, ASTMX18919, ASTMX01248, ASTMX09514, ASTMX10983, ASTMX10984
OG0001674	CAPO301357	ASTMX22303, ASTMX21243, ASTMX12863
OG0001675	CAPO307574	ASTMX06836, ASTMX12553, ASTMX10815, ASTMX08168
OG0001676	CAPO300524	ASTMX02737
OG0001676	CAPO305992	ASTMX18175
OG0001677	CAPO307978	ASTMX05947, ASTMX20317
OG0001680	CAPO304235, CAPO304477	ASTMX10466
OG0001684	CAPO300563	ASTMX01855, ASTMX02369
OG0001685	CAPO307707	ASTMX11627, ASTMX01624
OG0001686	CAPO307138	ASTMX22514, ASTMX03958, ASTMX16779, ASTMX17655
OG0001687	CAPO302907	ASTMX02771
OG0001688	CAPO300133	ASTMX20357, ASTMX05569, ASTMX09337, ASTMX11298
OG0001690	CAPO304820	ASTMX16868
OG0001691	CAPO307420	ASTMX01434, ASTMX18308
OG0001699	CAPO306472, CAPO300057	ASTMX17276, ASTMX10668
OG0001704	CAPO304434	ASTMX09400
OG0001706	CAPO301033	ASTMX05640, ASTMX20258, ASTMX05639
OG0001707	CAPO303836	ASTMX18307, ASTMX18306
OG0001708	CAPO303804	ASTMX08054, ASTMX06200, ASTMX04674
OG0001709	CAPO304969	ASTMX04095
OG0001711	CAPO301872	ASTMX13045, ASTMX17864, ASTMX16102, ASTMX04614, ASTMX04603, ASTMX16103
OG0001713	CAPO308041	ASTMX02275
OG0001713	CAPO302278	ASTMX17234
OG0001714	CAPO306669	ASTMX14531, ASTMX21207
OG0001714	CAPO300188	ASTMX02509, ASTMX10518
OG0001718	CAPO300964	ASTMX23036
OG0001718	CAPO301559, CAPO301838	ASTMX19842, ASTMX19691, ASTMX04823, ASTMX19689
OG0001720	CAPO303957	ASTMX02308, ASTMX17599, ASTMX16344
OG0001721	CAPO302302	ASTMX00052, ASTMX01262, ASTMX09503, ASTMX12296
OG0001723	CAPO308089	ASTMX11836, ASTMX12143, ASTMX06027
OG0001724	CAPO306474	ASTMX09937, ASTMX07584
OG0001727	CAPO301729	ASTMX18920, ASTMX10976, ASTMX04884, ASTMX01599
OG0001728	CAPO304086	ASTMX21304, ASTMX21305
OG0001730	CAPO303469	ASTMX20533, ASTMX14053, ASTMX14051, ASTMX02853
OG0001732	CAPO304710	ASTMX00146, ASTMX09573, ASTMX02281
OG0001733	CAPO306615	ASTMX21899, ASTMX21900, ASTMX21495
OG0001734	CAPO306594	ASTMX02188
OG0001735	CAPO301389	ASTMX08661, ASTMX00485, ASTMX18296, ASTMX19896
OG0001738	CAPO301655	ASTMX04483, ASTMX07349, ASTMX21178, ASTMX07257
OG0001739	CAPO304154	ASTMX19266, ASTMX03558, ASTMX00354
OG0001743	CAPO306128	ASTMX13429, ASTMX22574, ASTMX10367
OG0001746	CAPO306662	ASTMX02179, ASTMX09002, ASTMX01088, ASTMX02180
OG0001750	CAPO304954	ASTMX12646, ASTMX21008, ASTMX02080, ASTMX01052, ASTMX06673
OG0001755	CAPO300413	ASTMX00395
OG0001756	CAPO301153	ASTMX08584
OG0001756	CAPO306605	ASTMX13471
OG0001769	CAPO300754	ASTMX01507
OG0001769	CAPO306748	ASTMX04557
OG0001770	CAPO304551	ASTMX16705, ASTMX20255, ASTMX00311, ASTMX08260
OG0001772	CAPO303731	ASTMX16531, ASTMX13929, ASTMX04857
OG0001774	CAPO302411	ASTMX10351, ASTMX06409
OG0001775	CAPO300385, CAPO303998	ASTMX18173, ASTMX02453, ASTMX19386
OG0001778	CAPO303585	ASTMX07028, ASTMX10049
OG0001780	CAPO305647	ASTMX11982
OG0001781	CAPO304059	ASTMX01449
OG0001781	CAPO306335	ASTMX19769
OG0001782	CAPO302329	ASTMX13624
OG0001783	CAPO302497	ASTMX21511, ASTMX11389
OG0001787	CAPO302384	ASTMX00153, ASTMX21186, ASTMX20336
OG0001789	CAPO303597	ASTMX04418, ASTMX03005, ASTMX22705
OG0001792	CAPO305067	ASTMX10365
OG0001792	CAPO302146	ASTMX18195
OG0001793	CAPO302934	ASTMX07514
OG0001793	CAPO300098	ASTMX02969
OG0001794	CAPO305037	ASTMX01096, ASTMX10295
OG0001797	CAPO305230	ASTMX00321
OG0001799	CAPO307439	ASTMX21315, ASTMX12220, ASTMX21504, ASTMX05952, ASTMX20313
OG0001800	CAPO302099, CAPO301494	ASTMX00967, ASTMX17639, ASTMX00705, ASTMX05193, ASTMX16166
OG0001801	CAPO301631	ASTMX02045, ASTMX09269, ASTMX19747, ASTMX21684, ASTMX15777, ASTMX13337, ASTMX13336
OG0001804	CAPO307706	ASTMX02687, ASTMX13072, ASTMX07800
OG0001805	CAPO301307	ASTMX21541, ASTMX17763, ASTMX22144
OG0001807	CAPO305640	ASTMX04499, ASTMX10176
OG0001808	CAPO300354	ASTMX21696, ASTMX05491, ASTMX21695
OG0001809	CAPO307543	ASTMX14244, ASTMX07924, ASTMX16684
OG0001811	CAPO304043	ASTMX05430, ASTMX15122, ASTMX08690, ASTMX07378, ASTMX05317, ASTMX19173
OG0001814	CAPO305508	ASTMX21503
OG0001816	CAPO300431	ASTMX09877, ASTMX01690, ASTMX08907
OG0001818	CAPO302088	ASTMX15112, ASTMX15111, ASTMX01280
OG0001819	CAPO307172	ASTMX10139, ASTMX08405
OG0001820	CAPO300515	ASTMX17311, ASTMX17314, ASTMX08253, ASTMX02490
OG0001822	CAPO301119	ASTMX17911, ASTMX05380, ASTMX01084
OG0001825	CAPO306238	ASTMX08472, ASTMX20024, ASTMX22910, ASTMX22676, ASTMX08471, ASTMX22168
OG0001827	CAPO303060	ASTMX10371
OG0001828	CAPO305081	ASTMX21055
OG0001830	CAPO300316	ASTMX08635, ASTMX20818, ASTMX22664, ASTMX04561
OG0001831	CAPO306824	ASTMX09701, ASTMX11370, ASTMX05003
OG0001832	CAPO300612	ASTMX06849, ASTMX17231
OG0001834	CAPO301512	ASTMX04164, ASTMX17094, ASTMX23044
OG0001849	CAPO303014	ASTMX05295, ASTMX20398
OG0001850	CAPO301689	ASTMX19918
OG0001851	CAPO303828	ASTMX20369, ASTMX20370, ASTMX19823
OG0001852	CAPO303604	ASTMX04038, ASTMX18646, ASTMX00935
OG0001857	CAPO306766	ASTMX08952, ASTMX08953, ASTMX03295, ASTMX15454
OG0001859	CAPO304942	ASTMX12452, ASTMX02530
OG0001860	CAPO306960	ASTMX12416, ASTMX07354
OG0001861	CAPO303333	ASTMX13536
OG0001861	CAPO306489	ASTMX07579, ASTMX01292
OG0001863	CAPO300966	ASTMX09136
OG0001864	CAPO300448	ASTMX14124, ASTMX05208, ASTMX06684
OG0001866	CAPO306683	ASTMX03690
OG0001867	CAPO302026	ASTMX16400, ASTMX16454
OG0001870	CAPO303422	ASTMX18491, ASTMX06826, ASTMX20463, ASTMX12239, ASTMX18877
OG0001871	CAPO300664	ASTMX08228, ASTMX02241, ASTMX15903, ASTMX11796, ASTMX02240
OG0001873	CAPO305494	ASTMX13537
OG0001875	CAPO303129	ASTMX04145
OG0001875	CAPO300770	ASTMX19333
OG0001877	CAPO305419	ASTMX16552, ASTMX01676, ASTMX12947, ASTMX10278
OG0001878	CAPO300594	ASTMX03678, ASTMX03679, ASTMX11223, ASTMX09106, ASTMX11222, ASTMX15218, ASTMX21903, ASTMX11221
OG0001879	CAPO302675	ASTMX12971
OG0001879	CAPO304068	ASTMX07742, ASTMX20887
OG0001882	CAPO302587	ASTMX10217, ASTMX21215, ASTMX00491
OG0001883	CAPO304395	ASTMX21822, ASTMX15504, ASTMX11383, ASTMX20343
OG0001886	CAPO301013	ASTMX11188, ASTMX19864
OG0001888	CAPO307373	ASTMX15480, ASTMX17356, ASTMX11277
OG0001894	CAPO300859, CAPO305070, CAPO302912, CAPO302464, CAPO305462	ASTMX07802, ASTMX07302, ASTMX12290
OG0001895	CAPO300178	ASTMX17836, ASTMX21328, ASTMX21293
OG0001898	CAPO303887	ASTMX02303, ASTMX08107, ASTMX16484
OG0001900	CAPO306468, CAPO308362	ASTMX17301
OG0001901	CAPO302174	ASTMX01661, ASTMX11240, ASTMX22217
OG0001903	CAPO301651	ASTMX04440, ASTMX02517
OG0001913	CAPO308270	ASTMX20767, ASTMX02135, ASTMX20390
OG0001914	CAPO308187	ASTMX19238
OG0001915	CAPO305922	ASTMX06154, ASTMX20145
OG0001916	CAPO304398	ASTMX05801, ASTMX16187
OG0001917	CAPO303937	ASTMX12441, ASTMX14303, ASTMX04127, ASTMX20172, ASTMX18196
OG0001919	CAPO305966	ASTMX10083
OG0001919	CAPO300799	ASTMX02747
OG0001923	CAPO300364	ASTMX11549, ASTMX15481, ASTMX19703
OG0001926	CAPO308203	ASTMX02370
OG0001927	CAPO303832	ASTMX19820, ASTMX22361, ASTMX19112, ASTMX07652
OG0001928	CAPO303627	ASTMX11034
OG0001930	CAPO301567	ASTMX00407, ASTMX00470
OG0001932	CAPO304653	ASTMX08414, ASTMX03192, ASTMX04190
OG0001935	CAPO301339	ASTMX11590, ASTMX11916
OG0001937	CAPO301986	ASTMX00171
OG0001938	CAPO303883	ASTMX18132
OG0001939	CAPO304703	ASTMX19952, ASTMX00403
OG0001940	CAPO307447	ASTMX17596
OG0001941	CAPO303660	ASTMX00477, ASTMX00476, ASTMX10134
OG0001943	CAPO304272	ASTMX17179, ASTMX00958
OG0001945	CAPO302125, CAPO302413	ASTMX00044, ASTMX10524, ASTMX09938
OG0001947	CAPO306182	ASTMX05518, ASTMX09474, ASTMX03096, ASTMX00626
OG0001948	CAPO307548	ASTMX22858, ASTMX15647, ASTMX13681, ASTMX18721, ASTMX19377, ASTMX13543
OG0001949	CAPO303945	ASTMX16347, ASTMX05904, ASTMX22823, ASTMX16345, ASTMX02307
OG0001951	CAPO305792	ASTMX20250, ASTMX00814, ASTMX21087, ASTMX07517
OG0001953	CAPO306993	ASTMX17339, ASTMX11073, ASTMX17815
OG0001956	CAPO302405	ASTMX07766
OG0001957	CAPO307027	ASTMX03767, ASTMX02309, ASTMX12199, ASTMX18807, ASTMX15756
OG0001961	CAPO301591	ASTMX01985, ASTMX00433, ASTMX05535
OG0001963	CAPO304559	ASTMX19201, ASTMX06233, ASTMX10086
OG0001964	CAPO306144	ASTMX18977, ASTMX19220
OG0001965	CAPO305377	ASTMX04867
OG0001966	CAPO308069	ASTMX14196, ASTMX08275
OG0001968	CAPO303436	ASTMX01530, ASTMX09462
OG0001969	CAPO301897	ASTMX10572, ASTMX16678, ASTMX02918
OG0001972	CAPO302726	ASTMX16670, ASTMX02119
OG0001985	CAPO307425	ASTMX05944, ASTMX20318, ASTMX20204
OG0001988	CAPO301454	ASTMX13581, ASTMX09059
OG0001989	CAPO303699	ASTMX03043, ASTMX19847
OG0001992	CAPO301694	ASTMX04244, ASTMX09494
OG0001994	CAPO307422	ASTMX13184, ASTMX03001, ASTMX02331
OG0001997	CAPO301018	ASTMX13529
OG0001998	CAPO304168	ASTMX15724, ASTMX01470
OG0001999	CAPO303159	ASTMX11680, ASTMX12424
OG0002000	CAPO305912	ASTMX14056, ASTMX08846, ASTMX12081
OG0002001	CAPO301730, CAPO305766	ASTMX01040
OG0002003	CAPO306645	ASTMX12936, ASTMX02322, ASTMX09501
OG0002006	CAPO302881	ASTMX10173, ASTMX04500
OG0002007	CAPO301764	ASTMX15423, ASTMX10068, ASTMX12124, ASTMX11077
OG0002009	CAPO305521	ASTMX17629
OG0002009	CAPO304107	ASTMX16191
OG0002010	CAPO303286	ASTMX12934, ASTMX08578, ASTMX21425, ASTMX11376
OG0002011	CAPO305222	ASTMX00517, ASTMX17175
OG0002014	CAPO305309	ASTMX22107, ASTMX15926, ASTMX08364, ASTMX13940
OG0002015	CAPO304377	ASTMX22305, ASTMX21197
OG0002016	CAPO300736, CAPO303360	ASTMX06954, ASTMX13089
OG0002019	CAPO303943, CAPO301189	ASTMX15451, ASTMX05404, ASTMX19114, ASTMX20262
OG0002020	CAPO301809, CAPO306607	ASTMX09967, ASTMX07803, ASTMX07643, ASTMX11910
OG0002024	CAPO300776	ASTMX12446, ASTMX05724, ASTMX11342, ASTMX11340
OG0002025	CAPO301502	ASTMX21209
OG0002026	CAPO307889, CAPO306582	ASTMX08004, ASTMX05432
OG0002027	CAPO307021	ASTMX01143, ASTMX02252, ASTMX16654, ASTMX03186
OG0002029	CAPO303181	ASTMX07856, ASTMX13315
OG0002030	CAPO303987	ASTMX06466, ASTMX05489, ASTMX22119, ASTMX02054, ASTMX07809, ASTMX08607
OG0002031	CAPO300135	ASTMX19732, ASTMX01811
OG0002032	CAPO304689	ASTMX17188
OG0002034	CAPO306318	ASTMX00200, ASTMX01649, ASTMX00920, ASTMX09084
OG0002042	CAPO300525	ASTMX12108, ASTMX12109
OG0002043	CAPO306649	ASTMX04301, ASTMX15262
OG0002061	CAPO307339	ASTMX17947, ASTMX17948, ASTMX19772, ASTMX17946, ASTMX19260, ASTMX16152, ASTMX19773
OG0002062	CAPO301382	ASTMX13242, ASTMX19992, ASTMX02071
OG0002063	CAPO302417	ASTMX14592
OG0002066	CAPO300576	ASTMX03814, ASTMX00825, ASTMX11956, ASTMX16358
OG0002067	CAPO302721	ASTMX12928
OG0002068	CAPO303650	ASTMX12273, ASTMX16517
OG0002069	CAPO306402	ASTMX05370, ASTMX06681, ASTMX06821
OG0002073	CAPO302333	ASTMX18638
OG0002074	CAPO304152	ASTMX02153
OG0002076	CAPO303117	ASTMX09409, ASTMX19822, ASTMX20304
OG0002078	CAPO302217	ASTMX22650, ASTMX07822, ASTMX22651, ASTMX21198, ASTMX07693
OG0002080	CAPO307474, CAPO307552	ASTMX03462, ASTMX21263
OG0002081	CAPO300584	ASTMX07542
OG0002084	CAPO300150	ASTMX10426, ASTMX03243, ASTMX05634
OG0002087	CAPO306536	ASTMX16781
OG0002093	CAPO304254	ASTMX15922
OG0002094	CAPO303399	ASTMX16837
OG0002097	CAPO302111	ASTMX09200, ASTMX06450, ASTMX12192, ASTMX07933
OG0002099	CAPO306675	ASTMX07474, ASTMX07475
OG0002103	CAPO305235	ASTMX03950, ASTMX04643
OG0002106	CAPO300071	ASTMX03785
OG0002108	CAPO303834	ASTMX07612, ASTMX01236
OG0002122	CAPO300191	ASTMX08830, ASTMX06030
OG0002124	CAPO300980	ASTMX14518
OG0002129	CAPO305068	ASTMX02262, ASTMX09089, ASTMX08266
OG0002130	CAPO301943	ASTMX08156
OG0002131	CAPO302159	ASTMX11268, ASTMX11269, ASTMX11344
OG0002135	CAPO300616, CAPO300802	ASTMX20057, ASTMX09828, ASTMX01206
OG0002136	CAPO300292	ASTMX21780, ASTMX04714, ASTMX01514
OG0002137	CAPO306593	ASTMX02787, ASTMX18215
OG0002138	CAPO304101	ASTMX02006
OG0002140	CAPO300489	ASTMX11031, ASTMX06147
OG0002141	CAPO300491	ASTMX20185, ASTMX00108, ASTMX22344
OG0002144	CAPO308205	ASTMX17084, ASTMX17508, ASTMX19379
OG0002145	CAPO305963	ASTMX07271
OG0002146	CAPO303694	ASTMX03073, ASTMX07185
