Orthogroup	CAPO3	AENJA_ok
OG0000754	CAPO300911, CAPO306986, CAPO303353	AENJA_22413, AENJA_09669, AENJA_19942, AENJA_20836, AENJA_08599, AENJA_19495, AENJA_09482, AENJA_17604, AENJA_07628, AENJA_02394, AENJA_12375, AENJA_16394, AENJA_07140, AENJA_19135, AENJA_07428, AENJA_22791, AENJA_05737, AENJA_02457, AENJA_05221, AENJA_14350, AENJA_10367, AENJA_22060, AENJA_24927, AENJA_10555, AENJA_12378, AENJA_02134
OG0000755	CAPO300267	AENJA_02216
OG0000757	CAPO307096	AENJA_15686
OG0000757	CAPO300067	AENJA_08837
OG0000758	CAPO305275	AENJA_07914
OG0000759	CAPO300473	AENJA_12039
OG0000761	CAPO305655	AENJA_13286
OG0000765	CAPO301853	AENJA_22260
OG0000766	CAPO300388	AENJA_22560
OG0000767	CAPO305367	AENJA_23872
OG0000768	CAPO306612, CAPO302492, CAPO307738, CAPO305672, CAPO305904	AENJA_24479
OG0000772	CAPO304708, CAPO302709	AENJA_24869, AENJA_00651
OG0000774	CAPO306995	AENJA_01594, AENJA_14294, AENJA_06861
OG0000775	CAPO306201	AENJA_10969, AENJA_02685, AENJA_06104
OG0000776	CAPO307356	AENJA_14162, AENJA_14158, AENJA_04150, AENJA_16571
OG0000777	CAPO308227	AENJA_05341
OG0000779	CAPO300301	AENJA_08422
OG0000788	CAPO304590	AENJA_19776, AENJA_01187
OG0000791	CAPO304699	AENJA_05472
OG0000792	CAPO305838	AENJA_06794, AENJA_22407
OG0000793	CAPO301604	AENJA_10797
OG0000794	CAPO304031	AENJA_11312
OG0000797	CAPO307534	AENJA_12225
OG0000803	CAPO301668	AENJA_21679
OG0000810	CAPO305098, CAPO306601	AENJA_24609, AENJA_24929, AENJA_02925
OG0000813	CAPO300040, CAPO308168	AENJA_03651, AENJA_14254, AENJA_23135
OG0000814	CAPO307227	AENJA_25867, AENJA_03765, AENJA_17687, AENJA_08768, AENJA_09662
OG0000815	CAPO300838	AENJA_11775, AENJA_11030, AENJA_11031, AENJA_05553
OG0000816	CAPO304990	AENJA_20230, AENJA_21712, AENJA_05704
OG0000817	CAPO308202	AENJA_14055
OG0000818	CAPO307656	AENJA_07677
OG0000820	CAPO303993, CAPO304861, CAPO306914, CAPO301340, CAPO300173, CAPO302332, CAPO305090, CAPO300452	AENJA_23750
OG0000824	CAPO303788	AENJA_00764
OG0000825	CAPO305165, CAPO306157, CAPO306129	AENJA_01783
OG0000826	CAPO306060	AENJA_02454, AENJA_02453, AENJA_09226, AENJA_02455
OG0000827	CAPO304578	AENJA_05092, AENJA_07505
OG0000828	CAPO306023	AENJA_05318
OG0000828	CAPO307153	AENJA_21604, AENJA_14692
OG0000834	CAPO306233	AENJA_26552, AENJA_15508
OG0000836	CAPO306019, CAPO307821	AENJA_24422, AENJA_19604, AENJA_19607
OG0000837	CAPO308104, CAPO303511	AENJA_25179
OG0000841	CAPO307470	AENJA_00152
OG0000844	CAPO306591, CAPO307267	AENJA_02377
OG0000845	CAPO303615	AENJA_22345, AENJA_15396, AENJA_08427, AENJA_15398, AENJA_14681, AENJA_15397, AENJA_04163, AENJA_11386
OG0000847	CAPO301759, CAPO307057	AENJA_19531
OG0000847	CAPO308298	AENJA_05909
OG0000849	CAPO304492	AENJA_06598, AENJA_17459
OG0000850	CAPO302141	AENJA_06947, AENJA_14500
OG0000850	CAPO306299	AENJA_26527
OG0000851	CAPO304092	AENJA_07613
OG0000852	CAPO307622	AENJA_07998
OG0000857	CAPO302559	AENJA_19063
OG0000858	CAPO306693	AENJA_19600
OG0000860	CAPO306338	AENJA_22939
OG0000871	CAPO300407	AENJA_06473
OG0000872	CAPO308293	AENJA_06798
OG0000873	CAPO307878	AENJA_07645
OG0000875	CAPO303418, CAPO302903	AENJA_08703, AENJA_14919
OG0000876	CAPO302150	AENJA_08833
OG0000877	CAPO304981	AENJA_09093
OG0000879	CAPO301982	AENJA_14015
OG0000881	CAPO301333, CAPO300020	AENJA_19719
OG0000881	CAPO308042	AENJA_21849
OG0000888	CAPO300320	AENJA_02929
OG0000889	CAPO304144	AENJA_05911
OG0000890	CAPO304283	AENJA_09730
OG0000891	CAPO307358	AENJA_13613
OG0000894	CAPO300968, CAPO300967	AENJA_24655
OG0000894	CAPO301227	AENJA_16901
OG0000896	CAPO301183	AENJA_17963, AENJA_20857
OG0000896	CAPO304049	AENJA_26740
OG0000897	CAPO306059	AENJA_25522, AENJA_19794, AENJA_19793, AENJA_18001
OG0000898	CAPO302619	AENJA_20658
OG0000899	CAPO300655	AENJA_23421
OG0000904	CAPO305539	AENJA_02063, AENJA_24813
OG0000905	CAPO303384	AENJA_03454, AENJA_12044
OG0000909	CAPO300878	AENJA_07565
OG0000911	CAPO302608	AENJA_08748
OG0000912	CAPO302397	AENJA_11633, AENJA_09966
OG0000913	CAPO300255	AENJA_11700
OG0000914	CAPO302002	AENJA_16081
OG0000915	CAPO306555	AENJA_20431
OG0000921	CAPO300272	AENJA_16626
OG0000925	CAPO304563	AENJA_14502, AENJA_01829
OG0000928	CAPO301245	AENJA_06210
OG0000929	CAPO303494	AENJA_06536, AENJA_18717, AENJA_24686
OG0000931	CAPO303586	AENJA_08166
OG0000932	CAPO306783	AENJA_10314
OG0000933	CAPO304170	AENJA_25029
OG0000934	CAPO306946, CAPO300619	AENJA_23792
OG0000934	CAPO304006	AENJA_12733
OG0000935	CAPO307401	AENJA_14023
OG0000944	CAPO304090	AENJA_00580
OG0000952	CAPO300179	AENJA_05461, AENJA_05453
OG0000954	CAPO303535	AENJA_24386
OG0000954	CAPO305800	AENJA_08232
OG0000955	CAPO303429	AENJA_09334, AENJA_19306
OG0000955	CAPO301514	AENJA_22675
OG0000955	CAPO308190	AENJA_26657
OG0000960	CAPO304728	AENJA_23956
OG0000963	CAPO303990	AENJA_01165, AENJA_06323
OG0000965	CAPO305928	AENJA_05586, AENJA_05584
OG0000965	CAPO302148	AENJA_02282
OG0000967	CAPO304786	AENJA_22529
OG0000970	CAPO301807	AENJA_03395
OG0000974	CAPO306940	AENJA_05735, AENJA_05736
OG0000978	CAPO306307	AENJA_08414
OG0000980	CAPO305742	AENJA_08701, AENJA_22275, AENJA_08700, AENJA_13701
OG0000982	CAPO301371	AENJA_09037
OG0000984	CAPO307940	AENJA_13820
OG0000985	CAPO304864	AENJA_14891
OG0000986	CAPO305058	AENJA_19042, AENJA_19041
OG0000987	CAPO306365	AENJA_23574
OG0000992	CAPO308244	AENJA_01350, AENJA_08136
OG0000993	CAPO303930	AENJA_01756, AENJA_19598
OG0000994	CAPO306999	AENJA_20560
OG0000996	CAPO304603	AENJA_04444, AENJA_26096
OG0000997	CAPO306501	AENJA_04964, AENJA_06940, AENJA_16738
OG0000998	CAPO302508	AENJA_06143
OG0000999	CAPO303484, CAPO302236	AENJA_06760, AENJA_09403, AENJA_26585, AENJA_10712
OG0001006	CAPO308145	AENJA_21663, AENJA_25248
OG0001009	CAPO305830	AENJA_24783
OG0001015	CAPO304771	AENJA_19717, AENJA_00951, AENJA_05530
OG0001016	CAPO300038	AENJA_26608
OG0001016	CAPO302596	AENJA_01521, AENJA_14403, AENJA_15956
OG0001018	CAPO305732	AENJA_12182
OG0001020	CAPO301968	AENJA_21047, AENJA_04048, AENJA_02545
OG0001024	CAPO300862	AENJA_11445, AENJA_03556
OG0001033	CAPO305083	AENJA_13779
OG0001036	CAPO301917	AENJA_19830
OG0001037	CAPO306107	AENJA_20909
OG0001039	CAPO305080	AENJA_24765
OG0001042	CAPO301530	AENJA_00375
OG0001044	CAPO305401, CAPO306389	AENJA_04229, AENJA_01430, AENJA_04864, AENJA_13241, AENJA_00477
OG0001045	CAPO300115	AENJA_04878, AENJA_00728, AENJA_06741
OG0001046	CAPO304357	AENJA_01047
OG0001048	CAPO306868	AENJA_02250, AENJA_17677
OG0001049	CAPO302273	AENJA_02746
OG0001049	CAPO305769	AENJA_16062
OG0001050	CAPO306760	AENJA_03323
OG0001060	CAPO307547, CAPO305773, CAPO307224, CAPO305772, CAPO301879	AENJA_25128
OG0001062	CAPO300111	AENJA_10657
OG0001064	CAPO304594	AENJA_16034
OG0001066	CAPO305156	AENJA_19790
OG0001072	CAPO304331	AENJA_00305, AENJA_03396, AENJA_18929
OG0001073	CAPO307880	AENJA_00575
OG0001075	CAPO305658	AENJA_00807
OG0001076	CAPO306580	AENJA_01569
OG0001078	CAPO300211	AENJA_10264, AENJA_03835
OG0001082	CAPO306944	AENJA_06872, AENJA_21482, AENJA_09332
OG0001083	CAPO306339	AENJA_07171
OG0001085	CAPO305936	AENJA_09145, AENJA_21401
OG0001092	CAPO303664	AENJA_18221
OG0001095	CAPO303064	AENJA_25247
OG0001101	CAPO301529	AENJA_00373
OG0001104	CAPO306923	AENJA_02199, AENJA_18229
OG0001106	CAPO307850	AENJA_23680, AENJA_02726, AENJA_23681, AENJA_03788, AENJA_22384, AENJA_02727
OG0001108	CAPO300863	AENJA_12290, AENJA_04372, AENJA_04373
OG0001113	CAPO302840	AENJA_06313
OG0001113	CAPO304589	AENJA_23050
OG0001114	CAPO307418	AENJA_13675
OG0001116	CAPO303103	AENJA_25869, AENJA_12085
OG0001120	CAPO300555	AENJA_13747
OG0001121	CAPO305030	AENJA_14865
OG0001122	CAPO300744	AENJA_15150
OG0001123	CAPO305010	AENJA_20117
OG0001124	CAPO307326	AENJA_16308
OG0001125	CAPO304253	AENJA_19655, AENJA_19656
OG0001126	CAPO301067	AENJA_21731, AENJA_21732
OG0001126	CAPO308119	AENJA_22248
OG0001128	CAPO301710	AENJA_26741
OG0001129	CAPO306230	AENJA_00009, AENJA_00007, AENJA_00006, AENJA_25832, AENJA_25837
OG0001130	CAPO305636	AENJA_08024, AENJA_00712, AENJA_24701
OG0001132	CAPO303538	AENJA_02927
OG0001133	CAPO302577	AENJA_14482
OG0001133	CAPO300360	AENJA_07797
OG0001134	CAPO304261	AENJA_06301
OG0001136	CAPO301949	AENJA_06348
OG0001137	CAPO308164	AENJA_06755
OG0001139	CAPO300537	AENJA_20595, AENJA_19443, AENJA_08828
OG0001140	CAPO308326	AENJA_10711
OG0001142	CAPO304790	AENJA_13577
OG0001143	CAPO304300	AENJA_25253, AENJA_15506
OG0001144	CAPO307577	AENJA_15840
OG0001146	CAPO300511	AENJA_19404
OG0001147	CAPO306370	AENJA_21747, AENJA_21745, AENJA_21753
OG0001149	CAPO305549	AENJA_26319, AENJA_26318
OG0001156	CAPO306962	AENJA_01685
OG0001157	CAPO304789	AENJA_02080
OG0001158	CAPO302639	AENJA_02265, AENJA_16983
OG0001160	CAPO304743	AENJA_03496, AENJA_15940
OG0001161	CAPO301112	AENJA_03513, AENJA_15958
OG0001163	CAPO301684, CAPO307755, CAPO304886	AENJA_23044, AENJA_20499, AENJA_04071, AENJA_23045
OG0001167	CAPO307849	AENJA_06024
OG0001168	CAPO301546	AENJA_26059, AENJA_06080, AENJA_26060
OG0001169	CAPO301751	AENJA_06689
OG0001170	CAPO302766	AENJA_14574, AENJA_07116
OG0001171	CAPO300420	AENJA_07498
OG0001175	CAPO304133, CAPO306812	AENJA_19603, AENJA_10616
OG0001179	CAPO300184	AENJA_13625, AENJA_13628, AENJA_26058
OG0001181	CAPO301983	AENJA_14047
OG0001183	CAPO301096	AENJA_20906, AENJA_18317, AENJA_20566, AENJA_15024
OG0001184	CAPO306392	AENJA_17799
OG0001185	CAPO303366	AENJA_17542
OG0001186	CAPO302303	AENJA_21307
OG0001186	CAPO307451	AENJA_18825
OG0001188	CAPO300558	AENJA_22812
OG0001196	CAPO301570	AENJA_00058
OG0001197	CAPO306552	AENJA_00493
OG0001199	CAPO305690	AENJA_01327, AENJA_01326, AENJA_24392
OG0001201	CAPO302220	AENJA_02210
OG0001202	CAPO306186	AENJA_03117, AENJA_20571
OG0001207	CAPO304292	AENJA_15259
OG0001207	CAPO305627	AENJA_18056
OG0001207	CAPO302093	AENJA_07276
OG0001208	CAPO300830	AENJA_09031
OG0001209	CAPO302948	AENJA_09041
OG0001210	CAPO300919	AENJA_18956
OG0001210	CAPO302732	AENJA_09592
OG0001210	CAPO302555	AENJA_09591
OG0001212	CAPO305297	AENJA_09956
OG0001213	CAPO304729	AENJA_11717
OG0001213	CAPO303632	AENJA_11254
OG0001214	CAPO304780	AENJA_24301
OG0001215	CAPO302583	AENJA_15953
OG0001216	CAPO307997	AENJA_16979
OG0001217	CAPO306810	AENJA_17612
OG0001218	CAPO307457	AENJA_18179
OG0001221	CAPO307765	AENJA_19765
OG0001222	CAPO301496, CAPO301391, CAPO303918	AENJA_21481
OG0001232	CAPO304224	AENJA_07338, AENJA_02228, AENJA_20090, AENJA_20091
OG0001233	CAPO303591	AENJA_02446
OG0001234	CAPO307897	AENJA_02896
OG0001241	CAPO303368	AENJA_21346
OG0001241	CAPO304888	AENJA_07588
OG0001247	CAPO303193, CAPO307423	AENJA_24053, AENJA_12647
OG0001248	CAPO303079	AENJA_17279
OG0001249	CAPO306922	AENJA_17683
OG0001250	CAPO302323	AENJA_18393
OG0001251	CAPO304205	AENJA_20006
OG0001252	CAPO300016	AENJA_20096
OG0001253	CAPO306156	AENJA_21103
OG0001254	CAPO307546	AENJA_25593
OG0001261	CAPO302839	AENJA_00856
OG0001262	CAPO301672	AENJA_02100
OG0001263	CAPO301777	AENJA_02283, AENJA_25444
OG0001267	CAPO307578	AENJA_03493, AENJA_10310
OG0001268	CAPO303692	AENJA_03712
OG0001270	CAPO306176	AENJA_04208
OG0001270	CAPO306096	AENJA_17726
OG0001270	CAPO304393	AENJA_21003
OG0001271	CAPO302779	AENJA_04651
OG0001272	CAPO305566	AENJA_05081
OG0001273	CAPO301889	AENJA_05090
OG0001274	CAPO308194	AENJA_06074
OG0001276	CAPO302888	AENJA_07718, AENJA_07717
OG0001278	CAPO306229	AENJA_09367, AENJA_15562
OG0001279	CAPO302733	AENJA_09382
OG0001280	CAPO300326	AENJA_11194
OG0001281	CAPO304088, CAPO303543	AENJA_15472, AENJA_11305
OG0001282	CAPO303595	AENJA_12223
OG0001284	CAPO300970	AENJA_14056, AENJA_21135
OG0001285	CAPO304179	AENJA_14207, AENJA_14208
OG0001286	CAPO303892	AENJA_16309
OG0001287	CAPO302822, CAPO304538	AENJA_18219
OG0001288	CAPO302651	AENJA_18926, AENJA_22039
OG0001289	CAPO306071	AENJA_19878
OG0001290	CAPO302574	AENJA_21151, AENJA_21150
OG0001291	CAPO300695	AENJA_21434
OG0001294	CAPO304223	AENJA_25092
OG0001295	CAPO306210	AENJA_25589
OG0001296	CAPO308260	AENJA_26215
OG0001300	CAPO300154	AENJA_00411
OG0001302	CAPO302654	AENJA_13024
OG0001302	CAPO302215	AENJA_01840
OG0001304	CAPO302419	AENJA_02458, AENJA_14579
OG0001305	CAPO304488	AENJA_03926
OG0001308	CAPO300432	AENJA_05647
OG0001309	CAPO300871	AENJA_05763, AENJA_07716
OG0001310	CAPO305405	AENJA_06272
OG0001310	CAPO300151	AENJA_10879
OG0001311	CAPO300585	AENJA_06702, AENJA_15801
OG0001312	CAPO304811	AENJA_19595, AENJA_24384, AENJA_06846
OG0001314	CAPO306642	AENJA_15162, AENJA_11562, AENJA_07754
OG0001317	CAPO302225	AENJA_08900, AENJA_20026
OG0001318	CAPO306280	AENJA_09435
OG0001319	CAPO304915	AENJA_09605
OG0001320	CAPO307498	AENJA_12368
OG0001320	CAPO304958	AENJA_16608
OG0001321	CAPO301358	AENJA_14609
OG0001322	CAPO302022	AENJA_16813
OG0001323	CAPO301735	AENJA_15789
OG0001325	CAPO304115	AENJA_16492, AENJA_18977
OG0001326	CAPO306149	AENJA_18964
OG0001327	CAPO305568	AENJA_18352, AENJA_26627
OG0001328	CAPO302287	AENJA_18594
OG0001330	CAPO304584, CAPO300112	AENJA_20881
OG0001332	CAPO305487	AENJA_23263
OG0001333	CAPO301191	AENJA_23772
OG0001344	CAPO308153	AENJA_01361
OG0001345	CAPO306177	AENJA_17713
OG0001345	CAPO303460	AENJA_25364
OG0001348	CAPO304908	AENJA_01884
OG0001350	CAPO305116, CAPO303054	AENJA_05873
OG0001352	CAPO303801	AENJA_06720, AENJA_06721, AENJA_06723
OG0001353	CAPO303379	AENJA_06742
OG0001355	CAPO307732	AENJA_08188
OG0001358	CAPO302204	AENJA_09138, AENJA_22577
OG0001359	CAPO303726	AENJA_11211
OG0001361	CAPO307400	AENJA_11584
OG0001364	CAPO307249	AENJA_13074
OG0001366	CAPO302707	AENJA_14917
OG0001367	CAPO304628	AENJA_16641
OG0001370	CAPO305064	AENJA_17284
OG0001372	CAPO301063	AENJA_25899
OG0001372	CAPO306529	AENJA_17922
OG0001373	CAPO300734	AENJA_17959
OG0001378	CAPO302717	AENJA_22766
OG0001379	CAPO304865	AENJA_23248
OG0001382	CAPO306735	AENJA_23994, AENJA_23995
OG0001383	CAPO300442	AENJA_25087
OG0001386	CAPO305078	AENJA_26718
OG0001397	CAPO306119	AENJA_05269, AENJA_01101
OG0001399	CAPO304148	AENJA_19357, AENJA_02205
OG0001400	CAPO305841	AENJA_02508, AENJA_22499, AENJA_22498, AENJA_02507
OG0001404	CAPO302450	AENJA_03877, AENJA_05828
OG0001405	CAPO302942	AENJA_13814
OG0001406	CAPO305604	AENJA_04091
OG0001408	CAPO304468	AENJA_10000, AENJA_05533
OG0001409	CAPO300832	AENJA_06247
OG0001410	CAPO304381	AENJA_18215
OG0001410	CAPO303461	AENJA_06436
OG0001411	CAPO301653	AENJA_06963, AENJA_10958
OG0001412	CAPO304843	AENJA_07170
OG0001413	CAPO300375	AENJA_07474
OG0001414	CAPO303273	AENJA_08160
OG0001415	CAPO307087	AENJA_09149, AENJA_15367, AENJA_17665
OG0001416	CAPO300753	AENJA_09757
OG0001418	CAPO300218	AENJA_10983
OG0001420	CAPO304723, CAPO308198, CAPO308234, CAPO305541, CAPO307813	AENJA_13248
OG0001422	CAPO308345, CAPO303120	AENJA_14173
OG0001423	CAPO301310	AENJA_14934
OG0001424	CAPO304776	AENJA_15682, AENJA_17237
OG0001425	CAPO302275, CAPO302850	AENJA_15774
OG0001426	CAPO302841	AENJA_16043
OG0001427	CAPO302723	AENJA_17543
OG0001428	CAPO303027	AENJA_18858
OG0001430	CAPO300562	AENJA_19108
OG0001431	CAPO308230	AENJA_23459
OG0001440	CAPO305450	AENJA_03160, AENJA_00153
OG0001445	CAPO301958	AENJA_02385
OG0001446	CAPO304614	AENJA_02687, AENJA_10576
OG0001447	CAPO307093	AENJA_03127
OG0001449	CAPO306822	AENJA_04181
OG0001451	CAPO300036	AENJA_04889, AENJA_16142
OG0001452	CAPO301933	AENJA_05087
OG0001454	CAPO303806	AENJA_06306
OG0001456	CAPO307965	AENJA_07027
OG0001459	CAPO307035	AENJA_18303, AENJA_08470
OG0001460	CAPO300988	AENJA_20570
OG0001460	CAPO305875	AENJA_09064
OG0001461	CAPO307458, CAPO305472	AENJA_09214
OG0001463	CAPO304054	AENJA_09831
OG0001466	CAPO305831	AENJA_17986, AENJA_10074
OG0001467	CAPO304882	AENJA_26730, AENJA_10772
OG0001468	CAPO306475	AENJA_10995
OG0001469	CAPO306371	AENJA_20582
OG0001469	CAPO301724	AENJA_11151
OG0001470	CAPO305163	AENJA_11625
OG0001472	CAPO300986	AENJA_12236
OG0001472	CAPO305311	AENJA_13235
OG0001473	CAPO304310	AENJA_13618
OG0001474	CAPO306191	AENJA_24781
OG0001475	CAPO305552	AENJA_14793
OG0001476	CAPO305062	AENJA_14828
OG0001478	CAPO303095	AENJA_19708
OG0001478	CAPO304965	AENJA_15450
OG0001479	CAPO306515	AENJA_16158
OG0001482	CAPO307610	AENJA_18749
OG0001484	CAPO301411	AENJA_21194
OG0001485	CAPO301954	AENJA_21469
OG0001486	CAPO302441	AENJA_21858
OG0001490	CAPO305433	AENJA_25216
OG0001492	CAPO305155	AENJA_25544
OG0001500	CAPO300054	AENJA_01887
OG0001501	CAPO305474	AENJA_02988
OG0001503	CAPO305666	AENJA_23557
OG0001503	CAPO307598	AENJA_03755
OG0001504	CAPO307661	AENJA_04830, AENJA_04833, AENJA_15576, AENJA_04039
OG0001505	CAPO301009	AENJA_04619, AENJA_17806
OG0001506	CAPO300953	AENJA_05939, AENJA_05938
OG0001507	CAPO304204	AENJA_06136
OG0001511	CAPO306127, CAPO305043	AENJA_08942
OG0001512	CAPO301118	AENJA_09698
OG0001516	CAPO300345	AENJA_10243
OG0001517	CAPO303690	AENJA_10361
OG0001519	CAPO306949	AENJA_11205
OG0001522	CAPO303667	AENJA_19424, AENJA_14026
OG0001524	CAPO300996	AENJA_19275
OG0001524	CAPO308304	AENJA_15536
OG0001525	CAPO303907	AENJA_16414
OG0001526	CAPO305679	AENJA_16663
OG0001527	CAPO307636	AENJA_16808
OG0001529	CAPO300593	AENJA_18632
OG0001530	CAPO302602	AENJA_19473
OG0001532	CAPO300282	AENJA_20708
OG0001533	CAPO306032	AENJA_20965
OG0001534	CAPO304425	AENJA_21491, AENJA_21490
OG0001537	CAPO300641	AENJA_25566
OG0001545	CAPO300895	AENJA_00995
OG0001548	CAPO301500	AENJA_07926, AENJA_03207, AENJA_07924, AENJA_03096, AENJA_16874, AENJA_17688
OG0001551	CAPO306604	AENJA_05503
OG0001553	CAPO308172	AENJA_06179
OG0001554	CAPO302370	AENJA_07567
OG0001557	CAPO304176	AENJA_23342, AENJA_08073
OG0001558	CAPO301132	AENJA_08311
OG0001559	CAPO301785	AENJA_08667
OG0001561	CAPO301999	AENJA_09420
OG0001563	CAPO306378	AENJA_12465, AENJA_21948, AENJA_11347
OG0001564	CAPO301061	AENJA_11930
OG0001567	CAPO300948	AENJA_13019
OG0001568	CAPO301468	AENJA_13880
OG0001570	CAPO303364	AENJA_19842
OG0001572	CAPO304756	AENJA_22665
OG0001572	CAPO304137	AENJA_18250
OG0001573	CAPO305125, CAPO303819	AENJA_19183
OG0001576	CAPO306270	AENJA_23479
OG0001578	CAPO300715	AENJA_24180
OG0001580	CAPO307900	AENJA_25168
OG0001581	CAPO306056	AENJA_26170, AENJA_26171
OG0001582	CAPO307073	AENJA_26338
OG0001583	CAPO306289	AENJA_26528
OG0001584	CAPO301068	AENJA_26828
OG0001589	CAPO303301, CAPO304004	AENJA_25067, AENJA_00308, AENJA_25068
OG0001590	CAPO302386	AENJA_14826, AENJA_14823
OG0001593	CAPO305942	AENJA_01627
OG0001594	CAPO307886	AENJA_16970, AENJA_01665, AENJA_04700
OG0001597	CAPO302703	AENJA_17835, AENJA_03457
OG0001599	CAPO300887	AENJA_04501
OG0001600	CAPO305994	AENJA_04862
OG0001603	CAPO306228	AENJA_05288, AENJA_25082, AENJA_05289
OG0001604	CAPO303898	AENJA_11253
OG0001605	CAPO307473	AENJA_06440
OG0001609	CAPO304683	AENJA_08323
OG0001609	CAPO302057	AENJA_19787
OG0001611	CAPO305038	AENJA_08569
OG0001612	CAPO302202	AENJA_09589
OG0001614	CAPO303895	AENJA_17703
OG0001614	CAPO307630	AENJA_10096
OG0001615	CAPO300749	AENJA_10716
OG0001617	CAPO302798	AENJA_12188
OG0001621	CAPO302875	AENJA_13994, AENJA_13992
OG0001622	CAPO302121	AENJA_14211
OG0001634	CAPO305688	AENJA_18695
OG0001634	CAPO305614	AENJA_18896
OG0001638	CAPO303528	AENJA_20882
OG0001641	CAPO303281	AENJA_23210
OG0001643	CAPO306838	AENJA_24340
OG0001644	CAPO303665	AENJA_26289
OG0001652	CAPO302838	AENJA_17940, AENJA_22805, AENJA_00850, AENJA_11452, AENJA_11451, AENJA_01437
OG0001653	CAPO305118	AENJA_21125
OG0001655	CAPO302812	AENJA_03001
OG0001657	CAPO304165, CAPO303952	AENJA_03268
OG0001660	CAPO305930	AENJA_04731
OG0001661	CAPO302789	AENJA_05905
OG0001661	CAPO304920	AENJA_05238
OG0001663	CAPO301057	AENJA_06086
OG0001664	CAPO303152	AENJA_22480, AENJA_06183
OG0001665	CAPO302331	AENJA_11003, AENJA_06300
OG0001672	CAPO301880	AENJA_09939
OG0001673	CAPO305520	AENJA_11329
OG0001674	CAPO301357	AENJA_11464
OG0001675	CAPO307574	AENJA_11671
OG0001676	CAPO300524	AENJA_26746
OG0001676	CAPO305992	AENJA_11724
OG0001677	CAPO307978	AENJA_11807
OG0001679	CAPO302155, CAPO305784	AENJA_16799, AENJA_17425
OG0001680	CAPO304235, CAPO304477	AENJA_16822
OG0001684	CAPO300563	AENJA_18312
OG0001685	CAPO307707	AENJA_18914
OG0001686	CAPO307138	AENJA_19766, AENJA_19761
OG0001687	CAPO302907	AENJA_21090, AENJA_20311
OG0001688	CAPO300133	AENJA_20867, AENJA_20868
OG0001690	CAPO304820	AENJA_22959
OG0001691	CAPO307420	AENJA_24035
OG0001704	CAPO304434	AENJA_00857
OG0001706	CAPO301033	AENJA_00912
OG0001707	CAPO303836	AENJA_00981, AENJA_25581
OG0001708	CAPO303804	AENJA_01039
OG0001709	CAPO304969	AENJA_12151, AENJA_01136
OG0001711	CAPO301872	AENJA_11819, AENJA_01555
OG0001713	CAPO302278	AENJA_02209
OG0001714	CAPO306669	AENJA_02224
OG0001714	CAPO300188	AENJA_13337
OG0001718	CAPO301559, CAPO301838	AENJA_02907
OG0001720	CAPO303957	AENJA_03434
OG0001721	CAPO302302	AENJA_03497
OG0001723	CAPO308089	AENJA_04029, AENJA_12578
OG0001724	CAPO306474	AENJA_04715, AENJA_04714
OG0001724	CAPO305584	AENJA_04716
OG0001727	CAPO301729	AENJA_06020
OG0001730	CAPO303469	AENJA_09007
OG0001732	CAPO304710	AENJA_11224
OG0001733	CAPO306615	AENJA_11585
OG0001734	CAPO306594	AENJA_19799, AENJA_13245
OG0001735	CAPO301389	AENJA_13640, AENJA_13638
OG0001738	CAPO301655	AENJA_15108
OG0001739	CAPO304154	AENJA_15111
OG0001743	CAPO306128	AENJA_16159
OG0001746	CAPO306662	AENJA_19060
OG0001750	CAPO304954	AENJA_22826
OG0001755	CAPO300413	AENJA_24912
OG0001756	CAPO301153	AENJA_25749
OG0001756	CAPO306605	AENJA_25480
OG0001769	CAPO300754	AENJA_00392
OG0001769	CAPO306748	AENJA_14833
OG0001770	CAPO304551	AENJA_00514
OG0001772	CAPO303731	AENJA_00723
OG0001774	CAPO302411	AENJA_01099, AENJA_09499
OG0001775	CAPO300385, CAPO303998	AENJA_01192
OG0001778	CAPO303585	AENJA_03173, AENJA_03171, AENJA_02145, AENJA_03170
OG0001780	CAPO305647	AENJA_03259
OG0001781	CAPO304059	AENJA_25405
OG0001781	CAPO306335	AENJA_03406
OG0001782	CAPO302329	AENJA_04195
OG0001783	CAPO302497	AENJA_04445
OG0001787	CAPO302384	AENJA_05662
OG0001789	CAPO303597	AENJA_19168, AENJA_06214
OG0001792	CAPO305067	AENJA_21975, AENJA_24891, AENJA_21976, AENJA_21971
OG0001792	CAPO302146	AENJA_06373
OG0001793	CAPO302934	AENJA_07131
OG0001794	CAPO305037	AENJA_07515, AENJA_16390
OG0001797	CAPO305230	AENJA_08186
OG0001799	CAPO307439	AENJA_08605
OG0001800	CAPO302099, CAPO301494	AENJA_09181
OG0001801	CAPO301631, CAPO300406, CAPO302328, CAPO300564	AENJA_09455
OG0001802	CAPO307992	AENJA_09560, AENJA_23064
OG0001804	CAPO307706	AENJA_10202
OG0001805	CAPO301307	AENJA_10542
OG0001807	CAPO305640	AENJA_12201
OG0001808	CAPO300354	AENJA_13026
OG0001809	CAPO307543	AENJA_13412
OG0001811	CAPO304043	AENJA_14089
OG0001814	CAPO305508	AENJA_26556, AENJA_23859, AENJA_15166
OG0001816	CAPO300431	AENJA_15931
OG0001818	CAPO302088	AENJA_18459
OG0001819	CAPO307172	AENJA_19342
