Orthogroup	CAPO3	DROME
OG0000694	CAPO302468	DROME18910
OG0000696	CAPO305456	DROME04806, DROME04805, DROME04807, DROME04804, DROME04808
OG0000699	CAPO306785	DROME04408, DROME04407, DROME04406
OG0000701	CAPO306727	DROME19925, DROME19926, DROME06204, DROME17248
OG0000703	CAPO308078	DROME18602, DROME10089, DROME09744, DROME10003, DROME10370, DROME10371, DROME17633
OG0000708	CAPO302130	DROME21751, DROME21752
OG0000708	CAPO300640	DROME18239
OG0000711	CAPO304713	DROME09984, DROME09982, DROME09983, DROME08678, DROME09749, DROME09750
OG0000713	CAPO302804	DROME14995
OG0000715	CAPO305197	DROME09525, DROME09528, DROME09523, DROME09527, DROME09526, DROME09524
OG0000717	CAPO302989	DROME21009
OG0000718	CAPO301597, CAPO306021	DROME16064, DROME16063, DROME16059, DROME16062, DROME16061, DROME16060, DROME18208
OG0000721	CAPO305154, CAPO301906	DROME21732, DROME19802, DROME19803, DROME19797, DROME19800, DROME19798, DROME19799, DROME19801
OG0000724	CAPO300826	DROME18296, DROME18300, DROME18301, DROME18294, DROME18295, DROME18297, DROME18299, DROME18298
OG0000726	CAPO302910	DROME21495, DROME21494, DROME21492, DROME21493
OG0000731	CAPO304569	DROME03051, DROME03053, DROME03052
OG0000732	CAPO304867	DROME00208, DROME00209
OG0000732	CAPO302445	DROME15061
OG0000733	CAPO301695	DROME17454, DROME15558, DROME15560, DROME15556, DROME15557, DROME15561, DROME15562, DROME15564, DROME15563, DROME15559
OG0000735	CAPO302824	DROME13083, DROME13084, DROME13089, DROME13086, DROME13097, DROME13098, DROME13085, DROME13100, DROME13096, DROME13092, DROME13101, DROME13102, DROME13090, DROME13099, DROME13091, DROME13095, DROME13087, DROME13094, DROME13088, DROME13093
OG0000736	CAPO306770	DROME02615, DROME02614, DROME12312, DROME12313, DROME09313
OG0000737	CAPO304586	DROME16700, DROME16699, DROME17539, DROME17538, DROME17537, DROME17535, DROME17536, DROME17534, DROME17533
OG0000747	CAPO303187	DROME04467, DROME04468
OG0000751	CAPO302771	DROME06060, DROME06059, DROME06061, DROME06062
OG0000752	CAPO300507	DROME09086
OG0000752	CAPO305335	DROME20521, DROME11363
OG0000753	CAPO301378	DROME16114, DROME16113
OG0000755	CAPO300267	DROME04400, DROME04398, DROME04396, DROME04397, DROME04399, DROME04395
OG0000757	CAPO307096	DROME07057
OG0000758	CAPO305275	DROME04523, DROME04522, DROME04521
OG0000759	CAPO300473	DROME01056, DROME11263, DROME11264, DROME11262, DROME11261, DROME01055, DROME03914, DROME03913, DROME01209, DROME01208
OG0000761	CAPO305655	DROME04780, DROME04784, DROME04782, DROME04781, DROME04785, DROME04783
OG0000765	CAPO301853	DROME04789, DROME04788
OG0000766	CAPO300388	DROME06054, DROME06055, DROME01015
OG0000767	CAPO305367	DROME14005, DROME12823, DROME12824
OG0000772	CAPO304708, CAPO302709	DROME13216
OG0000774	CAPO306995	DROME18935, DROME18934
OG0000775	CAPO306201	DROME05200, DROME01281, DROME01282
OG0000776	CAPO307356	DROME20100, DROME20102, DROME20101
OG0000779	CAPO305943	DROME13622
OG0000779	CAPO300301	DROME20961
OG0000788	CAPO304590	DROME11403
OG0000791	CAPO304699	DROME16118, DROME16117, DROME16116, DROME16119, DROME16121, DROME16120
OG0000792	CAPO305838	DROME20865
OG0000793	CAPO301604	DROME20859, DROME20860
OG0000794	CAPO304031	DROME04329, DROME04334, DROME04330, DROME04337, DROME04333, DROME04335, DROME04336, DROME04331, DROME04332
OG0000796	CAPO301075	DROME03139, DROME03140, DROME10211
OG0000797	CAPO307534	DROME01160, DROME01161, DROME01159
OG0000803	CAPO301668	DROME06528, DROME04971, DROME16667, DROME08404, DROME08406, DROME08405, DROME06525, DROME06526, DROME15315, DROME15314, DROME15313, DROME14537, DROME01677, DROME14535, DROME14536, DROME17631, DROME09542, DROME09543, DROME19328, DROME18830, DROME15873
OG0000810	CAPO305098, CAPO306601	DROME04963, DROME04962, DROME04964, DROME08670
OG0000813	CAPO300040, CAPO308168	DROME18040, DROME18039
OG0000814	CAPO307227	DROME05066, DROME05065, DROME03302, DROME03301, DROME03299, DROME03298, DROME04088, DROME04090
OG0000815	CAPO300838	DROME01377, DROME01376
OG0000816	CAPO304990	DROME03072, DROME03071, DROME03076, DROME03075
OG0000817	CAPO303823, CAPO300023, CAPO308202	DROME06292
OG0000818	CAPO307656	DROME03806, DROME03805
OG0000820	CAPO303993, CAPO304861, CAPO306914, CAPO301340, CAPO300173, CAPO302332, CAPO305090, CAPO300452	DROME04117, DROME04116, DROME04115
OG0000825	CAPO305165, CAPO306157, CAPO306129	DROME11281, DROME11282
OG0000826	CAPO306060	DROME12091
OG0000827	CAPO304578	DROME19293, DROME19294, DROME19292, DROME17067
OG0000828	CAPO306023	DROME20305
OG0000828	CAPO307153	DROME19137
OG0000834	CAPO306233	DROME13922
OG0000836	CAPO306019, CAPO307821	DROME02582, DROME02579, DROME02580, DROME02581, DROME17758, DROME17759
OG0000837	CAPO308104, CAPO303511	DROME05419, DROME18149
OG0000838	CAPO303856	DROME18797
OG0000841	CAPO307470	DROME06878, DROME06876, DROME06877, DROME06879
OG0000844	CAPO306591, CAPO307267	DROME14407, DROME14403, DROME14406, DROME14408, DROME14404, DROME14409, DROME14405
OG0000847	CAPO301759, CAPO307057	DROME16726
OG0000847	CAPO308298	DROME03898, DROME03895, DROME03896, DROME03897
OG0000849	CAPO304492	DROME20644, DROME20643, DROME20641, DROME20642, DROME20640, DROME20638, DROME20637, DROME20639
OG0000850	CAPO302141	DROME12440, DROME20308
OG0000850	CAPO306299	DROME12322
OG0000851	CAPO304092	DROME20685, DROME20686
OG0000852	CAPO307622	DROME08938, DROME08937
OG0000857	CAPO302559	DROME20946, DROME20950, DROME20948, DROME20947, DROME20949, DROME20951
OG0000858	CAPO306693	DROME07517, DROME07518
OG0000860	CAPO306338	DROME09397, DROME09396, DROME09404, DROME09403, DROME09399, DROME09402, DROME09401, DROME09400, DROME09405, DROME09398
OG0000871	CAPO300407	DROME03028
OG0000872	CAPO308293	DROME09696, DROME09697, DROME09695
OG0000873	CAPO307878	DROME18351, DROME18349, DROME18350, DROME18353, DROME18354, DROME18352
OG0000875	CAPO303418, CAPO302903	DROME01940, DROME01939, DROME06587
OG0000876	CAPO302150	DROME08528, DROME08526, DROME08524, DROME08527, DROME08525
OG0000879	CAPO304627, CAPO301982	DROME00001, DROME21621, DROME11009
OG0000881	CAPO301333, CAPO300020	DROME06288, DROME06289
OG0000881	CAPO308042	DROME20749, DROME20746, DROME20750, DROME20748, DROME20747, DROME20751, DROME20752, DROME20753
OG0000888	CAPO300320	DROME13818
OG0000889	CAPO302257	DROME20531, DROME20532
OG0000889	CAPO304144	DROME20008
OG0000894	CAPO300968, CAPO300967	DROME01898, DROME01895, DROME01896, DROME01894, DROME01897
OG0000894	CAPO301227	DROME08778, DROME08777
OG0000896	CAPO304049	DROME07637, DROME07636
OG0000897	CAPO306059	DROME09205, DROME09206, DROME05934, DROME06642
OG0000904	CAPO305539	DROME14411, DROME14410
OG0000905	CAPO303384	DROME11749
OG0000909	CAPO300878	DROME21889, DROME21890, DROME21873, DROME21876, DROME21877, DROME21875, DROME19901, DROME19900
OG0000911	CAPO302608	DROME15954, DROME15951, DROME15953, DROME15956, DROME15955, DROME15952, DROME15957
OG0000913	CAPO300255	DROME01636, DROME01633, DROME01634, DROME01635, DROME10634, DROME10638, DROME10637, DROME10636, DROME10635, DROME10633, DROME05629, DROME10407, DROME10406, DROME08899, DROME10631, DROME10640, DROME10639, DROME21277, DROME21276, DROME21275
OG0000914	CAPO302002	DROME20954, DROME12686, DROME12687, DROME12688, DROME12689, DROME12694, DROME12693, DROME12692, DROME12691, DROME12690, DROME06233, DROME06234, DROME06235
OG0000921	CAPO300272	DROME01540
OG0000925	CAPO304563	DROME02762, DROME02761, DROME13733, DROME13734
OG0000929	CAPO303494	DROME02144, DROME02147, DROME02145, DROME02146, DROME02148, DROME02143
OG0000931	CAPO303586	DROME06107, DROME06103, DROME06106, DROME06105, DROME06104
OG0000933	CAPO304170	DROME00363
OG0000934	CAPO306946, CAPO300619	DROME18021
OG0000934	CAPO304006	DROME12197, DROME12198
OG0000935	CAPO307401	DROME19387
OG0000944	CAPO304090	DROME06673, DROME05002, DROME05004, DROME05003, DROME05001, DROME05005, DROME04999, DROME05000
OG0000952	CAPO300179	DROME18132
OG0000954	CAPO305800	DROME12405, DROME12406, DROME12407
OG0000955	CAPO303429	DROME04991, DROME04992, DROME04993, DROME04990
OG0000955	CAPO305513	DROME09197
OG0000955	CAPO301514	DROME02414
OG0000960	CAPO304728	DROME04151, DROME04150, DROME04154, DROME04153, DROME04158, DROME04156, DROME04161, DROME04149, DROME04152, DROME04155, DROME04157, DROME04160, DROME04159
OG0000963	CAPO303990	DROME09182, DROME09184, DROME09183, DROME07082
OG0000965	CAPO305928	DROME10303
OG0000965	CAPO302148	DROME10622
OG0000967	CAPO304786	DROME01950, DROME01951, DROME01952
OG0000974	CAPO306940	DROME20587, DROME20537, DROME20538
OG0000978	CAPO306307	DROME08128, DROME08129, DROME08130, DROME08127, DROME08125, DROME08126
OG0000982	CAPO301371	DROME07397, DROME07866, DROME07869, DROME07868, DROME07870, DROME07867
OG0000984	CAPO307940	DROME12019, DROME07638
OG0000985	CAPO304864	DROME16403, DROME16400, DROME16401, DROME16404, DROME16402
OG0000986	CAPO305058	DROME00033, DROME00029, DROME00034, DROME00031, DROME00030, DROME00032
OG0000987	CAPO306365	DROME05032, DROME05034, DROME05033, DROME05035, DROME05036
OG0000992	CAPO308244	DROME02382, DROME02383
OG0000994	CAPO306999	DROME20689
OG0000997	CAPO306501	DROME21618, DROME00173, DROME00174
OG0000999	CAPO303484, CAPO302236	DROME05157, DROME05156
OG0001006	CAPO308145	DROME12303
OG0001009	CAPO305830	DROME10731
OG0001015	CAPO304771	DROME02246, DROME04125
OG0001016	CAPO300038	DROME03793
OG0001016	CAPO302596	DROME04453
OG0001018	CAPO305732	DROME19524
OG0001024	CAPO300862	DROME14925
OG0001033	CAPO305083	DROME16359
OG0001033	CAPO300376	DROME01958
OG0001036	CAPO301917	DROME21959
OG0001037	CAPO306107	DROME07145, DROME07148, DROME07147, DROME07146
OG0001039	CAPO305080	DROME19717, DROME19715, DROME19716, DROME12713
OG0001042	CAPO301530	DROME12465, DROME12464, DROME12463, DROME12462
OG0001046	CAPO304357	DROME05889
OG0001049	CAPO305769	DROME15991
OG0001050	CAPO306760	DROME09499, DROME09500
OG0001060	CAPO302777	DROME06478, DROME01930
OG0001062	CAPO300111	DROME12175, DROME12172
OG0001064	CAPO304594	DROME16728
OG0001066	CAPO305156	DROME06399
OG0001072	CAPO304331	DROME08170
OG0001073	CAPO307880	DROME03543, DROME03544, DROME03542
OG0001075	CAPO305658	DROME05007, DROME05008
OG0001076	CAPO306580	DROME10433, DROME10436, DROME10429, DROME10434, DROME10430, DROME10435, DROME10431, DROME10432
OG0001078	CAPO300211	DROME16039, DROME16040
OG0001082	CAPO306944	DROME16087, DROME16088, DROME16090, DROME16089
OG0001083	CAPO306339	DROME07895, DROME07890, DROME07893, DROME07892, DROME07896, DROME07887, DROME07888, DROME07889, DROME07891, DROME07885, DROME07886, DROME07894
OG0001085	CAPO305936	DROME18407, DROME18408, DROME18409
OG0001092	CAPO303664	DROME19209, DROME19207, DROME19204, DROME19205, DROME19206, DROME19208, DROME19203
OG0001095	CAPO303064	DROME09258, DROME09254, DROME09255, DROME09256, DROME09257, DROME09253
OG0001096	CAPO308143	DROME20588, DROME20589, DROME02389
OG0001101	CAPO301529	DROME01099
OG0001104	CAPO306923	DROME04004, DROME02777, DROME02778, DROME02350, DROME02351
OG0001108	CAPO300863	DROME12857, DROME12858, DROME12856, DROME12855, DROME21101, DROME21100, DROME21098, DROME21099, DROME21102, DROME18011
OG0001113	CAPO302840	DROME18531, DROME18532
OG0001113	CAPO304589	DROME01680
OG0001114	CAPO307418	DROME14934, DROME16341
OG0001116	CAPO303103	DROME11717, DROME11714, DROME11715, DROME11716
OG0001121	CAPO305030	DROME11643, DROME11644, DROME11645, DROME11642
OG0001123	CAPO307047	DROME20601
OG0001124	CAPO307326	DROME13810
OG0001126	CAPO301067	DROME07144
OG0001128	CAPO301710	DROME07099, DROME07102, DROME07101, DROME07098, DROME07100
OG0001129	CAPO306230	DROME06610
OG0001130	CAPO305636	DROME08159, DROME08055, DROME04983, DROME04982
OG0001132	CAPO303538	DROME12585, DROME12584, DROME12583, DROME12582
OG0001133	CAPO300360	DROME02832
OG0001135	CAPO300673, CAPO304787	DROME18153, DROME18152
OG0001136	CAPO301949	DROME15241, DROME15244, DROME15239, DROME15245, DROME15243, DROME15240, DROME15238, DROME15242, DROME15236, DROME15237
OG0001137	CAPO308164	DROME07212, DROME07220, DROME07223, DROME07218, DROME07213, DROME07221, DROME07215, DROME07214, DROME07216, DROME07226, DROME07219, DROME07222, DROME07224, DROME07227, DROME07229, DROME07217, DROME07228, DROME07225
OG0001139	CAPO300537	DROME11285, DROME11284, DROME20784
OG0001140	CAPO308326	DROME04492, DROME04491
OG0001142	CAPO304790	DROME15460, DROME15458, DROME15459
OG0001143	CAPO304300	DROME17973, DROME17969, DROME17968, DROME17972, DROME17970, DROME17971, DROME17975, DROME17976, DROME17974, DROME17978, DROME17977
OG0001144	CAPO307577	DROME08380
OG0001148	CAPO302512	DROME04431, DROME04432
OG0001149	CAPO305549	DROME20514
OG0001156	CAPO306962	DROME20509, DROME20508, DROME20507, DROME20506, DROME20511, DROME20510
OG0001158	CAPO302639	DROME08138, DROME08137
OG0001160	CAPO304743	DROME05833, DROME05832, DROME05835, DROME05834
OG0001161	CAPO301112	DROME10169, DROME10171, DROME10167, DROME10168, DROME10170
OG0001163	CAPO301684, CAPO307755, CAPO304886	DROME10630, DROME14555, DROME14557, DROME14693, DROME17901, DROME17899
OG0001164	CAPO304142	DROME08761, DROME08760, DROME08762, DROME08763, DROME08759
OG0001167	CAPO307849	DROME17311
OG0001168	CAPO301546	DROME02336
OG0001170	CAPO302766	DROME16781
OG0001175	CAPO304133, CAPO306812	DROME10674
OG0001184	CAPO306392	DROME03279
OG0001185	CAPO303366	DROME09235, DROME09236, DROME09242, DROME09234, DROME09239, DROME09241, DROME09240, DROME09237, DROME09238
OG0001186	CAPO302303	DROME11811, DROME11812
OG0001186	CAPO307451	DROME18932
OG0001188	CAPO300558	DROME07119, DROME07117, DROME07120, DROME07116, DROME07118
OG0001196	CAPO301570	DROME19139
OG0001197	CAPO306552	DROME14364
OG0001201	CAPO302220	DROME20824, DROME20825, DROME20823, DROME20822
OG0001208	CAPO300830	DROME21826, DROME21829, DROME21823, DROME21824, DROME21830, DROME21827, DROME21819, DROME21821, DROME21825, DROME21822, DROME21820, DROME21828, DROME21813, DROME21818, DROME21814, DROME21817, DROME21815, DROME21816
OG0001209	CAPO302948	DROME03307
OG0001210	CAPO300919	DROME01292
OG0001210	CAPO302555	DROME21654, DROME21653
OG0001213	CAPO304729	DROME12028
OG0001213	CAPO303632	DROME15857
OG0001214	CAPO304780, CAPO303564	DROME14229, DROME14228, DROME14227, DROME14223, DROME14224, DROME14225, DROME14226
OG0001215	CAPO302583	DROME05613, DROME05611, DROME05612
OG0001216	CAPO307997	DROME20096, DROME20097, DROME20095, DROME15498
OG0001217	CAPO306810	DROME06701
OG0001218	CAPO307457	DROME12108, DROME12211, DROME12213, DROME12212
OG0001221	CAPO307765	DROME09514
OG0001226	CAPO307936	DROME09885, DROME09884, DROME09883, DROME09882
OG0001232	CAPO304224	DROME01876, DROME01877, DROME01878
OG0001234	CAPO307897	DROME10228, DROME10226, DROME10225, DROME10229, DROME10230, DROME10227, DROME10232, DROME10231
OG0001241	CAPO303368	DROME02596
OG0001241	CAPO304888	DROME03537
OG0001247	CAPO303193, CAPO307423	DROME18852
OG0001248	CAPO303079	DROME02625, DROME02624, DROME02623
OG0001249	CAPO306922	DROME05745, DROME05744, DROME04456, DROME04455
OG0001250	CAPO302323	DROME10391, DROME10390, DROME10392
OG0001251	CAPO304205	DROME08364
OG0001251	CAPO302019	DROME04532
OG0001253	CAPO306156	DROME16727, DROME02601
OG0001254	CAPO307546	DROME22031, DROME22029, DROME22030, DROME22035, DROME22032, DROME22034, DROME22036, DROME22038, DROME22037, DROME22033
OG0001261	CAPO302839	DROME00542, DROME00543, DROME00540, DROME00541
OG0001262	CAPO301672	DROME01661
OG0001263	CAPO301777	DROME01386, DROME01387
OG0001267	CAPO307578	DROME13068
OG0001268	CAPO303692	DROME04920, DROME04921
OG0001270	CAPO306176	DROME12379
OG0001270	CAPO304393	DROME02961
OG0001271	CAPO302779	DROME20484
OG0001272	CAPO305566	DROME17237, DROME17236, DROME17235, DROME17243
OG0001273	CAPO301889	DROME01252, DROME01250, DROME01249, DROME01248, DROME01251
OG0001274	CAPO308194	DROME06585, DROME06586, DROME06584
OG0001276	CAPO302888	DROME10323, DROME10324, DROME10319, DROME10320, DROME10316, DROME10317, DROME10321, DROME10318, DROME10322
OG0001278	CAPO306229	DROME15730, DROME15455, DROME15454, DROME15456
OG0001279	CAPO302733	DROME15211, DROME15210
OG0001280	CAPO300326	DROME15706
OG0001281	CAPO304088, CAPO303543	DROME19100
OG0001282	CAPO303595	DROME04060, DROME04059, DROME04058
OG0001284	CAPO300970	DROME14235, DROME05418
OG0001286	CAPO303892	DROME11490, DROME11489, DROME11491
OG0001287	CAPO302822, CAPO304538	DROME15976, DROME15975, DROME04476
OG0001288	CAPO302651	DROME19787, DROME09388, DROME09389
OG0001289	CAPO306071	DROME16010, DROME16008, DROME16009
OG0001290	CAPO302574	DROME13148, DROME13147, DROME10925, DROME10926, DROME10924
OG0001291	CAPO300695	DROME21166, DROME21165, DROME18055, DROME18056
OG0001294	CAPO304223	DROME19278
OG0001295	CAPO306210	DROME16525, DROME16522, DROME16520, DROME16519, DROME16524, DROME16523, DROME16521
OG0001296	CAPO308260	DROME21670, DROME21668, DROME21671, DROME21667, DROME21666, DROME21669
OG0001297	CAPO305437	DROME13456, DROME08203, DROME08204
OG0001300	CAPO300154	DROME21326, DROME21325, DROME21324
OG0001302	CAPO302654	DROME00539
OG0001304	CAPO302419	DROME00069, DROME00065, DROME00070, DROME00066, DROME00067, DROME00068
OG0001305	CAPO304488	DROME04834, DROME04832, DROME04829, DROME04830, DROME04835, DROME04836, DROME04825, DROME04826, DROME04833, DROME04837, DROME04827, DROME04838, DROME04828, DROME04839, DROME04831
OG0001308	CAPO300432	DROME17402, DROME17401, DROME17403, DROME17400, DROME17399
OG0001310	CAPO305405	DROME15600
OG0001311	CAPO300585	DROME20740, DROME20738, DROME20739, DROME20741, DROME06164
OG0001318	CAPO306280	DROME17213
OG0001318	CAPO303315	DROME09513
OG0001319	CAPO304915	DROME01307
OG0001321	CAPO301358	DROME16103
OG0001322	CAPO302022	DROME15932
OG0001323	CAPO301735	DROME18781, DROME18779, DROME18782, DROME18780
OG0001325	CAPO304115	DROME14232
OG0001326	CAPO306149	DROME03927
OG0001327	CAPO305568	DROME02674, DROME02673, DROME02675, DROME18410
OG0001328	CAPO302287	DROME20058, DROME14994
OG0001330	CAPO304584, CAPO300112	DROME21688, DROME21687, DROME21684, DROME21685, DROME21686, DROME21683
OG0001332	CAPO305487	DROME01823, DROME19220, DROME11272
OG0001333	CAPO305523	DROME11916, DROME20312, DROME20313, DROME18937
OG0001344	CAPO308153	DROME04657, DROME04656
OG0001348	CAPO304908	DROME03492, DROME03491, DROME03495, DROME03494, DROME03493, DROME03496
OG0001350	CAPO305116, CAPO303054	DROME03240, DROME03239
OG0001350	CAPO307484	DROME20607
OG0001352	CAPO303801	DROME11579, DROME11580
OG0001353	CAPO303379	DROME12504, DROME12505
OG0001355	CAPO307732	DROME18115
OG0001358	CAPO302204	DROME16322, DROME16324, DROME16323, DROME16316, DROME16315, DROME16314, DROME16318, DROME16317, DROME16319, DROME16422
OG0001359	CAPO303726	DROME20396, DROME20399, DROME20398, DROME20397
OG0001361	CAPO306689	DROME10441
OG0001364	CAPO307249	DROME18347, DROME18348
OG0001366	CAPO302707	DROME19931, DROME19932, DROME19933, DROME19934
OG0001367	CAPO304628	DROME04540, DROME04542, DROME04539, DROME04538, DROME04541, DROME04537, DROME04535, DROME04534, DROME04536
OG0001370	CAPO306956	DROME10125, DROME10122, DROME10123, DROME10124, DROME10126
OG0001372	CAPO301063	DROME06987
OG0001373	CAPO300734	DROME15869, DROME15867, DROME15866, DROME15868
OG0001378	CAPO302717	DROME14090, DROME14089
OG0001379	CAPO304865	DROME02340
OG0001382	CAPO306735	DROME16755, DROME15883
OG0001383	CAPO300442	DROME08849, DROME08848, DROME08850, DROME08851
OG0001386	CAPO305078	DROME03356
OG0001387	CAPO306110, CAPO306288	DROME05645, DROME05642, DROME05649, DROME05647, DROME05648, DROME05643, DROME05641, DROME05646, DROME05644, DROME05640
OG0001389	CAPO307908	DROME18786
OG0001397	CAPO306119	DROME12938, DROME12061
OG0001399	CAPO304148	DROME18551, DROME15177
OG0001404	CAPO302450	DROME05603
OG0001405	CAPO302942	DROME02126
OG0001406	CAPO305604	DROME14082, DROME14079, DROME14080, DROME14081, DROME14077, DROME14078, DROME14084, DROME14083
OG0001408	CAPO304468	DROME21635, DROME21636, DROME21634
OG0001409	CAPO300832	DROME18923, DROME18920, DROME18919, DROME18918, DROME18921, DROME18927, DROME18922, DROME18926, DROME18925, DROME18924, DROME18107
OG0001410	CAPO304381	DROME00626
OG0001411	CAPO301653	DROME13591, DROME09768, DROME09769
OG0001413	CAPO300375	DROME21681, DROME21682
OG0001414	CAPO301834	DROME16698, DROME16697
OG0001414	CAPO303273	DROME00599
OG0001415	CAPO307087	DROME17030, DROME17031
OG0001416	CAPO300753	DROME04879, DROME04878, DROME04877, DROME04874, DROME04873, DROME04875, DROME04876
OG0001418	CAPO300218	DROME11411
OG0001422	CAPO308345, CAPO303120	DROME19262, DROME19263
OG0001423	CAPO301310	DROME11161, DROME11163, DROME11162
OG0001424	CAPO304776	DROME10397, DROME21291
OG0001425	CAPO302275, CAPO302850	DROME10455
OG0001426	CAPO302841	DROME16504, DROME16505
OG0001427	CAPO302723	DROME09989, DROME07053, DROME04112, DROME04111, DROME04110
OG0001428	CAPO303027	DROME00299, DROME00300
OG0001430	CAPO300562	DROME14791, DROME14607, DROME14606
OG0001431	CAPO308230	DROME08311, DROME08313, DROME08312
OG0001434	CAPO304740	DROME05416
OG0001437	CAPO304955	DROME11504, DROME11507, DROME11506, DROME11505, DROME12503, DROME12502
OG0001440	CAPO305450	DROME02347, DROME02348, DROME00857, DROME00860, DROME00861, DROME00859, DROME00858, DROME07996
OG0001445	CAPO301958	DROME19218
OG0001447	CAPO307093	DROME20519, DROME20520, DROME20518, DROME01853, DROME01852
OG0001449	CAPO306822	DROME21187
OG0001454	CAPO303806	DROME17550, DROME17549, DROME17548
OG0001456	CAPO307965	DROME21079
OG0001459	CAPO307035	DROME20534
OG0001460	CAPO305875	DROME19034
OG0001461	CAPO303413, CAPO301012, CAPO307458, CAPO305472	DROME01468
OG0001463	CAPO304054	DROME17238, DROME10819
OG0001466	CAPO305831	DROME20715
OG0001467	CAPO304882	DROME03510
OG0001468	CAPO306475	DROME11512, DROME11513
OG0001469	CAPO306371	DROME11498
OG0001469	CAPO301724	DROME15100
OG0001470	CAPO305163	DROME17188, DROME17190, DROME17187, DROME17189, DROME17191
OG0001472	CAPO300986	DROME03418
OG0001472	CAPO305311	DROME01627
OG0001474	CAPO306191	DROME02835, DROME02834
OG0001475	CAPO305552	DROME11371, DROME08104, DROME08103
OG0001476	CAPO305062	DROME09584, DROME09583, DROME09582, DROME09581, DROME09574, DROME09573, DROME09580, DROME09576, DROME09577, DROME09578, DROME09579, DROME09575
OG0001478	CAPO303095, CAPO304965	DROME17873, DROME17872
OG0001479	CAPO306515	DROME09340
OG0001482	CAPO307610	DROME08131, DROME08132, DROME08133
OG0001484	CAPO301411	DROME00233, DROME00235, DROME00237
OG0001485	CAPO301954	DROME07030, DROME07029, DROME07028, DROME07027, DROME07031
OG0001486	CAPO302441	DROME20978
OG0001490	CAPO305433	DROME20068, DROME20070, DROME20066, DROME20069, DROME20067, DROME20063, DROME20064, DROME20065
OG0001492	CAPO305155	DROME03966
OG0001495	CAPO302008	DROME13469
OG0001496	CAPO301356	DROME19745
OG0001500	CAPO300054	DROME13574, DROME13575, DROME13573, DROME13571, DROME13572, DROME13570
OG0001501	CAPO305474	DROME17335, DROME17336
OG0001503	CAPO305666	DROME04749
OG0001503	CAPO307598	DROME03622
OG0001504	CAPO307661	DROME21429, DROME21424, DROME21428, DROME21422
OG0001505	CAPO301009	DROME08192
OG0001506	CAPO300953	DROME06158, DROME06155, DROME06153, DROME06152, DROME06154, DROME06151, DROME06157, DROME06159, DROME06160, DROME06150, DROME06156
OG0001507	CAPO304204	DROME18836, DROME18837
OG0001511	CAPO306127, CAPO305043	DROME00185, DROME00183, DROME00181, DROME00182, DROME00184
OG0001512	CAPO301118	DROME19876, DROME13867, DROME13866
OG0001515	CAPO302117	DROME21741
OG0001516	CAPO300345	DROME13883
OG0001517	CAPO303690	DROME03470, DROME02323
OG0001519	CAPO306949	DROME20785, DROME20788, DROME20786, DROME20787
OG0001522	CAPO303667	DROME02905, DROME02904
OG0001524	CAPO300996	DROME06417, DROME06418
OG0001524	CAPO308304	DROME00342, DROME00343
OG0001525	CAPO307245, CAPO303907	DROME04644, DROME04645, DROME06563, DROME06562, DROME04650, DROME04646, DROME04647, DROME04648, DROME05288
OG0001526	CAPO305679	DROME05114, DROME05113, DROME05111, DROME05117, DROME05112, DROME05115, DROME05116, DROME05109, DROME05110
OG0001527	CAPO300128	DROME15289
OG0001527	CAPO307636	DROME00338
OG0001529	CAPO300593	DROME07602, DROME07601
OG0001530	CAPO302602	DROME01073
OG0001532	CAPO300282	DROME20201
OG0001533	CAPO306032	DROME19066, DROME19064, DROME19065, DROME19063, DROME19062, DROME19060, DROME19061, DROME13969
OG0001534	CAPO304425	DROME09046, DROME09047
OG0001545	CAPO300895	DROME06182
OG0001551	CAPO306604	DROME08057
OG0001553	CAPO308172	DROME02123, DROME02122
OG0001554	CAPO302370	DROME16741
OG0001557	CAPO304176	DROME07367
OG0001558	CAPO301132	DROME19656, DROME19657
OG0001559	CAPO301785	DROME00558, DROME02902
OG0001561	CAPO301999	DROME04222
OG0001563	CAPO306378	DROME03209
OG0001567	CAPO300948	DROME19417, DROME19416, DROME16526
OG0001568	CAPO301468	DROME08963, DROME07259, DROME19219, DROME18645
OG0001570	CAPO303364	DROME13692
OG0001572	CAPO304756	DROME11998
OG0001576	CAPO306270	DROME08048, DROME08043, DROME08045, DROME08044, DROME08047, DROME08046, DROME08049
OG0001580	CAPO307900	DROME10962, DROME10960, DROME10959, DROME10957, DROME10956, DROME10963, DROME10961, DROME10958
OG0001581	CAPO306056	DROME04945
OG0001582	CAPO307073	DROME15756, DROME15757
OG0001583	CAPO306289	DROME08180, DROME08179
OG0001584	CAPO301068	DROME19782
OG0001589	CAPO303301, CAPO304004	DROME16983, DROME16982, DROME16981, DROME09858
OG0001590	CAPO302386	DROME14234, DROME13421
OG0001593	CAPO305942	DROME06841, DROME06840
OG0001594	CAPO307886	DROME05350, DROME05351, DROME05349
OG0001594	CAPO304243	DROME10666, DROME10665
OG0001597	CAPO302703	DROME12080
OG0001599	CAPO300887	DROME14559
OG0001600	CAPO305994	DROME19005
OG0001603	CAPO306228	DROME10271, DROME05748, DROME05749
OG0001604	CAPO303898	DROME15595, DROME15593, DROME15592, DROME15594
OG0001605	CAPO307473	DROME09003, DROME09000, DROME09002, DROME08999, DROME08998, DROME09001
