Orthogroup	CAPO3	OWEFU
OG0001416	CAPO300753	OFUSG13299.1.p1, OFUSG13300.2.p1, OFUSG13300.1.p1
OG0001418	CAPO300218	OFUSG17720.1.p1
OG0001422	CAPO308345, CAPO303120	OFUSG26586.1.p1, OFUSG26586.2.p1
OG0001423	CAPO301310	OFUSG07664.2.p1, OFUSG07664.1.p1
OG0001424	CAPO304776	OFUSG16407.2.p1, OFUSG16407.1.p1, OFUSG06362.1.p1
OG0001425	CAPO302275, CAPO302850	OFUSG07569.2.p1, OFUSG07569.1.p1
OG0001426	CAPO302841	OFUSG13058.1.p1
OG0001427	CAPO302723	OFUSG17237.1.p1, OFUSG17237.2.p1
OG0001428	CAPO303027	OFUSG13057.1.p1, OFUSG13057.2.p1
OG0001430	CAPO300562	OFUSG12101.2.p1, OFUSG12101.1.p1
OG0001431	CAPO308230	OFUSG13522.1.p1
OG0001437	CAPO304955	OFUSG20380.1.p1
OG0001440	CAPO305450	OFUSG16509.1.p1, OFUSG12251.1.p1, OFUSG04935.1.p1
OG0001445	CAPO301958	OFUSG25750.1.p1
OG0001446	CAPO304614	OFUSG14848.3.p1, OFUSG14848.1.p1, OFUSG14848.2.p1
OG0001447	CAPO307093	OFUSG12539.1.p1, OFUSG24597.1.p1, OFUSG24597.2.p1
OG0001449	CAPO306822	OFUSG23473.1.p1
OG0001451	CAPO300036	OFUSG25146.1.p1, OFUSG01699.1.p1
OG0001452	CAPO301933	OFUSG19630.4.p1, OFUSG19630.3.p1, OFUSG19630.2.p1, OFUSG19630.1.p1
OG0001454	CAPO303806	OFUSG02983.3.p1, OFUSG02983.1.p1, OFUSG02983.2.p1
OG0001456	CAPO307965	OFUSG19840.1.p1
OG0001459	CAPO307035	OFUSG26657.1.p1
OG0001460	CAPO300988	OFUSG24617.1.p1
OG0001460	CAPO305875	OFUSG10186.1.p1, OFUSG10186.2.p1
OG0001461	CAPO303413, CAPO301012, CAPO307458, CAPO305472	OFUSG06941.1.p1, OFUSG06941.2.p1
OG0001463	CAPO304054	OFUSG20516.1.p1, OFUSG20517.1.p1
OG0001466	CAPO305831	OFUSG26312.2.p1, OFUSG26312.1.p1, OFUSG17818.1.p1
OG0001467	CAPO304882	OFUSG05523.1.p1, OFUSG05528.1.p1
OG0001468	CAPO306475	OFUSG16624.1.p1
OG0001469	CAPO306371	OFUSG19276.1.p1
OG0001469	CAPO301724	OFUSG01366.1.p1
OG0001470	CAPO305163	OFUSG23956.1.p1
OG0001472	CAPO300986	OFUSG15801.1.p1
OG0001472	CAPO305311	OFUSG11564.1.p1, OFUSG11564.2.p1
OG0001473	CAPO304310	OFUSG18207.1.p1, OFUSG18989.2.p1, OFUSG18989.1.p1
OG0001474	CAPO306191	OFUSG03993.1.p1
OG0001475	CAPO305552	OFUSG17648.1.p1
OG0001476	CAPO305062	OFUSG01467.4.p1, OFUSG01467.3.p1, OFUSG01467.2.p1, OFUSG01467.1.p1, OFUSG01467.5.p1
OG0001478	CAPO303095	OFUSG11728.1.p1, OFUSG11728.2.p1
OG0001478	CAPO304965	OFUSG17892.2.p1, OFUSG17892.1.p1
OG0001479	CAPO306515	OFUSG07446.2.p1, OFUSG07446.1.p1, OFUSG07446.4.p1, OFUSG07446.3.p1
OG0001482	CAPO307610	OFUSG22337.1.p1
OG0001484	CAPO301411	OFUSG06287.1.p1
OG0001485	CAPO301954	OFUSG09235.1.p1
OG0001486	CAPO302441	OFUSG00394.1.p1
OG0001490	CAPO305433	OFUSG25092.1.p1
OG0001492	CAPO305155	OFUSG23987.1.p1
OG0001495	CAPO302008	OFUSG19268.1.p1
OG0001496	CAPO301356	OFUSG05951.1.p1, OFUSG05951.2.p1, OFUSG13175.1.p1, OFUSG04568.1.p1
OG0001500	CAPO300054	OFUSG14370.1.p1
OG0001501	CAPO305474	OFUSG14356.1.p1, OFUSG12297.1.p1
OG0001503	CAPO305666	OFUSG09447.1.p1
OG0001503	CAPO307598	OFUSG11182.1.p1
OG0001504	CAPO307661	OFUSG25921.1.p1, OFUSG25920.1.p1, OFUSG20289.1.p1, OFUSG20286.1.p1
OG0001505	CAPO301009	OFUSG14500.1.p1, OFUSG00231.1.p1
OG0001506	CAPO300953	OFUSG21438.1.p1, OFUSG21439.1.p1, OFUSG21439.2.p1
OG0001507	CAPO304204	OFUSG11499.1.p1
OG0001511	CAPO306127, CAPO305043	OFUSG24738.4.p1, OFUSG24738.5.p1, OFUSG24738.2.p1, OFUSG24738.3.p1, OFUSG24738.1.p1
OG0001512	CAPO301118	OFUSG04386.1.p1
OG0001515	CAPO302117	OFUSG22166.1.p1
OG0001516	CAPO300345	OFUSG17628.1.p1
OG0001517	CAPO303690	OFUSG06248.1.p1, OFUSG06219.1.p1, OFUSG05910.1.p1
OG0001519	CAPO306949	OFUSG16706.1.p1, OFUSG09441.1.p1, OFUSG09445.1.p1, OFUSG09446.1.p1
OG0001522	CAPO303667	OFUSG12012.1.p1, OFUSG09440.1.p1
OG0001524	CAPO300996	OFUSG05517.1.p1
OG0001524	CAPO308304	OFUSG20787.1.p1
OG0001525	CAPO303907	OFUSG15472.1.p1, OFUSG22614.1.p1, OFUSG07123.1.p1, OFUSG15288.1.p1
OG0001526	CAPO305679	OFUSG22795.2.p1, OFUSG22795.1.p1, OFUSG22796.1.p1
OG0001527	CAPO300128	OFUSG15032.1.p1
OG0001527	CAPO307636	OFUSG20384.1.p1
OG0001529	CAPO300593	OFUSG12625.1.p1
OG0001530	CAPO302602	OFUSG10223.1.p1
OG0001532	CAPO300282	OFUSG13298.5.p1, OFUSG13298.3.p1, OFUSG13298.4.p1, OFUSG13298.2.p1, OFUSG13298.1.p1
OG0001533	CAPO306032	OFUSG16623.1.p1, OFUSG16623.2.p1, OFUSG21924.1.p1, OFUSG21924.2.p1
OG0001534	CAPO304425	OFUSG10906.1.p1
OG0001537	CAPO300641	OFUSG22984.1.p1, OFUSG22984.2.p1, OFUSG23136.1.p1, OFUSG23140.1.p1, OFUSG23139.1.p1, OFUSG26723.1.p1, OFUSG11926.1.p1, OFUSG12403.1.p1, OFUSG11821.1.p1, OFUSG15935.1.p1, OFUSG01451.3.p1, OFUSG01451.1.p1, OFUSG11442.1.p1, OFUSG01451.2.p1, OFUSG07838.1.p1, OFUSG15769.1.p1, OFUSG15768.1.p1, OFUSG20432.1.p1, OFUSG20431.1.p1, OFUSG20434.1.p1, OFUSG15657.1.p1, OFUSG18483.1.p1, OFUSG16293.1.p1, OFUSG16294.1.p1, OFUSG16292.1.p1
OG0001545	CAPO300895	OFUSG09624.1.p1
OG0001551	CAPO306604	OFUSG25055.1.p1
OG0001553	CAPO308172	OFUSG10097.1.p1
OG0001554	CAPO302370	OFUSG00383.1.p1
OG0001557	CAPO304176	OFUSG05825.1.p1
OG0001558	CAPO301132	OFUSG09924.1.p1, OFUSG09924.2.p1, OFUSG09922.1.p1, OFUSG09922.2.p1
OG0001559	CAPO301785	OFUSG21941.1.p1
OG0001561	CAPO301999	OFUSG06786.2.p1, OFUSG06786.3.p1, OFUSG06786.1.p1
OG0001563	CAPO306378	OFUSG08671.1.p1, OFUSG08672.1.p1, OFUSG11998.1.p1, OFUSG19662.1.p1, OFUSG19662.2.p1, OFUSG18933.1.p1
OG0001564	CAPO301061	OFUSG14697.1.p1
OG0001567	CAPO300948	OFUSG21372.1.p1
OG0001568	CAPO301468	OFUSG17474.1.p1
OG0001570	CAPO303364	OFUSG23609.1.p1
OG0001572	CAPO304756	OFUSG00007.1.p1, OFUSG13225.2.p1, OFUSG13225.1.p1
OG0001572	CAPO304137	OFUSG20423.1.p1
OG0001573	CAPO305125, CAPO303819	OFUSG14864.2.p1, OFUSG14864.1.p1
OG0001576	CAPO306270	OFUSG20027.2.p1, OFUSG20027.1.p1, OFUSG20027.4.p1, OFUSG20027.3.p1, OFUSG20027.5.p1
OG0001578	CAPO300715	OFUSG05992.3.p1, OFUSG05992.4.p1, OFUSG05992.2.p1, OFUSG05992.1.p1
OG0001580	CAPO307900	OFUSG20608.1.p1, OFUSG20608.2.p1
OG0001581	CAPO306056	OFUSG18453.1.p1, OFUSG18454.1.p1, OFUSG02446.1.p1, OFUSG23330.2.p1, OFUSG23330.1.p1, OFUSG03462.1.p1, OFUSG03460.1.p1, OFUSG05108.1.p1, OFUSG11547.1.p1
OG0001582	CAPO307073	OFUSG22286.1.p1, OFUSG06205.1.p1
OG0001583	CAPO306289	OFUSG05885.2.p1, OFUSG05885.1.p1
OG0001584	CAPO301068	OFUSG24964.1.p1, OFUSG24974.1.p1, OFUSG24974.2.p1
OG0001589	CAPO303301, CAPO304004	OFUSG10507.5.p1, OFUSG10507.1.p1, OFUSG10507.4.p1, OFUSG10507.3.p1, OFUSG10507.2.p1
OG0001590	CAPO302386	OFUSG09775.1.p1
OG0001594	CAPO307886	OFUSG16704.2.p1, OFUSG16704.1.p1, OFUSG17600.1.p1
OG0001594	CAPO304243	OFUSG00456.1.p1
OG0001597	CAPO302703	OFUSG07388.1.p1
OG0001599	CAPO300887	OFUSG18213.1.p1
OG0001600	CAPO305994	OFUSG12650.2.p1, OFUSG12650.1.p1
OG0001603	CAPO306228	OFUSG12852.1.p1, OFUSG12851.1.p1, OFUSG08350.1.p1
OG0001604	CAPO303898	OFUSG24197.1.p1
OG0001605	CAPO307473	OFUSG23142.1.p1
OG0001609	CAPO304683	OFUSG14330.1.p1
OG0001609	CAPO302057	OFUSG19250.1.p1
OG0001610	CAPO301483	OFUSG17088.1.p1
OG0001611	CAPO305038	OFUSG12586.1.p1
OG0001612	CAPO302202	OFUSG01293.1.p1, OFUSG01299.1.p1, OFUSG01298.1.p1, OFUSG01298.2.p1, OFUSG01296.1.p1, OFUSG01297.1.p1
OG0001614	CAPO303895	OFUSG08953.2.p1, OFUSG08953.1.p1, OFUSG11645.1.p1, OFUSG10190.1.p1, OFUSG10189.1.p1
OG0001614	CAPO307630	OFUSG18541.1.p1
OG0001615	CAPO300749	OFUSG01248.1.p1, OFUSG01248.2.p1, OFUSG01248.3.p1, OFUSG01248.4.p1
OG0001617	CAPO302798	OFUSG19078.1.p1, OFUSG19085.1.p1
OG0001621	CAPO302875	OFUSG02725.1.p1
OG0001622	CAPO302121	OFUSG06019.1.p1
OG0001634	CAPO305688	OFUSG07239.1.p1
OG0001634	CAPO305614	OFUSG21930.1.p1
OG0001638	CAPO303528	OFUSG23959.1.p1
OG0001641	CAPO303281	OFUSG04477.1.p1, OFUSG23736.1.p1
OG0001643	CAPO306838	OFUSG09397.1.p1
OG0001644	CAPO303665	OFUSG26454.1.p1, OFUSG26454.2.p1
OG0001652	CAPO302838	OFUSG16763.1.p1
OG0001653	CAPO305118	OFUSG13617.1.p1
OG0001655	CAPO302812	OFUSG19612.1.p1
OG0001657	CAPO304165, CAPO303952	OFUSG15406.1.p1, OFUSG15406.3.p1, OFUSG15406.2.p1
OG0001660	CAPO305930	OFUSG02161.1.p1
OG0001661	CAPO302789	OFUSG15534.1.p1
OG0001663	CAPO301057	OFUSG06909.1.p1
OG0001664	CAPO303152	OFUSG26329.1.p1, OFUSG26329.2.p1
OG0001665	CAPO302331	OFUSG10767.1.p1, OFUSG10032.1.p1, OFUSG10032.2.p1
OG0001672	CAPO301880	OFUSG23239.1.p1
OG0001673	CAPO305520	OFUSG11305.1.p1
OG0001674	CAPO301357	OFUSG16647.2.p1, OFUSG16647.1.p1
OG0001675	CAPO307574	OFUSG17634.1.p1, OFUSG17634.2.p1
OG0001676	CAPO300524	OFUSG10790.1.p1
OG0001676	CAPO305992	OFUSG03925.1.p1
OG0001677	CAPO307978	OFUSG14870.1.p1
OG0001679	CAPO302155, CAPO305784	OFUSG24986.1.p1, OFUSG24986.2.p1
OG0001680	CAPO304235, CAPO304477	OFUSG26807.1.p1
OG0001684	CAPO300563	OFUSG07981.1.p1
OG0001685	CAPO307707	OFUSG03463.1.p1
OG0001686	CAPO307138	OFUSG10823.1.p1, OFUSG10823.2.p1, OFUSG21390.1.p1, OFUSG05324.1.p1
OG0001687	CAPO302907	OFUSG21593.1.p1, OFUSG21593.2.p1
OG0001688	CAPO300133	OFUSG03820.2.p1, OFUSG03820.1.p1
OG0001690	CAPO304820	OFUSG25433.2.p1, OFUSG25433.1.p1, OFUSG06878.1.p1
OG0001691	CAPO307420	OFUSG15006.2.p1, OFUSG15006.1.p1
OG0001699	CAPO306472, CAPO300057	OFUSG22107.1.p1, OFUSG09100.1.p1, OFUSG20815.1.p1, OFUSG20818.1.p1, OFUSG20819.1.p1, OFUSG18192.1.p1, OFUSG18194.1.p1, OFUSG18196.1.p1, OFUSG18193.1.p1, OFUSG05275.1.p1, OFUSG20816.1.p1, OFUSG04794.1.p1, OFUSG04794.2.p1, OFUSG20189.1.p1
OG0001704	CAPO304434	OFUSG09797.1.p1
OG0001706	CAPO301033	OFUSG02180.1.p1
OG0001707	CAPO303836	OFUSG23536.1.p1
OG0001708	CAPO303804	OFUSG14193.1.p1, OFUSG14192.1.p1, OFUSG14192.2.p1
OG0001709	CAPO304969	OFUSG18239.1.p1, OFUSG18240.1.p1, OFUSG22770.1.p1
OG0001711	CAPO301872	OFUSG21715.2.p1, OFUSG21715.1.p1
OG0001713	CAPO308041	OFUSG17447.2.p1, OFUSG17447.1.p1
OG0001713	CAPO302278	OFUSG20590.1.p1, OFUSG20591.1.p1
OG0001714	CAPO306669	OFUSG10942.1.p1
OG0001714	CAPO300188	OFUSG12071.1.p1
OG0001718	CAPO301559, CAPO301838	OFUSG12593.1.p1
OG0001720	CAPO303957	OFUSG15618.1.p1
OG0001721	CAPO302302	OFUSG07044.1.p1
OG0001723	CAPO308089	OFUSG14623.2.p1, OFUSG14623.1.p1, OFUSG14623.3.p1
OG0001724	CAPO306474	OFUSG01073.1.p1, OFUSG01073.2.p1
OG0001727	CAPO301729	OFUSG11770.1.p1
OG0001730	CAPO303469	OFUSG02130.1.p1
OG0001732	CAPO304710	OFUSG24998.1.p1
OG0001733	CAPO306615	OFUSG06635.1.p1
OG0001734	CAPO306594	OFUSG16646.2.p1, OFUSG16646.1.p1, OFUSG16467.1.p1
OG0001735	CAPO301389	OFUSG15798.1.p1
OG0001736	CAPO300355	OFUSG23191.3.p1, OFUSG23191.4.p1, OFUSG23191.2.p1, OFUSG23191.1.p1
OG0001738	CAPO301655	OFUSG07016.1.p1
OG0001739	CAPO304154	OFUSG26004.1.p1, OFUSG26004.2.p1
OG0001743	CAPO306128	OFUSG08277.1.p1
OG0001746	CAPO306662	OFUSG01226.1.p1
OG0001750	CAPO304954	OFUSG24361.1.p1
OG0001755	CAPO300413	OFUSG07586.1.p1
OG0001756	CAPO301153	OFUSG08592.1.p1
OG0001756	CAPO306605	OFUSG10747.1.p1
OG0001769	CAPO300754	OFUSG10234.1.p1
OG0001769	CAPO306748	OFUSG12391.1.p1
OG0001770	CAPO304551	OFUSG07903.2.p1, OFUSG07903.1.p1
OG0001772	CAPO303731	OFUSG12371.1.p1, OFUSG09789.1.p1
OG0001774	CAPO302411	OFUSG05793.1.p1, OFUSG06044.1.p1, OFUSG06044.2.p1
OG0001775	CAPO300385, CAPO303998	OFUSG08849.1.p1, OFUSG08850.1.p1
OG0001778	CAPO303585	OFUSG19319.1.p1
OG0001781	CAPO304059	OFUSG16705.1.p1
OG0001781	CAPO306335	OFUSG05822.1.p1
OG0001782	CAPO302329	OFUSG09109.2.p1, OFUSG09109.1.p1
OG0001783	CAPO302497	OFUSG14625.1.p1
OG0001787	CAPO302384	OFUSG00916.1.p1
OG0001789	CAPO303597	OFUSG22370.1.p1
OG0001792	CAPO305067	OFUSG00241.1.p1, OFUSG00240.1.p1
OG0001793	CAPO302934	OFUSG23631.1.p1
OG0001793	CAPO300098	OFUSG13358.1.p1
OG0001794	CAPO305037	OFUSG07428.1.p1, OFUSG06495.1.p1
OG0001797	CAPO305230	OFUSG18738.1.p1
OG0001799	CAPO307439	OFUSG24184.1.p1
OG0001800	CAPO302099, CAPO301494	OFUSG05613.1.p1
OG0001801	CAPO301631, CAPO300406, CAPO302328, CAPO300564	OFUSG07020.1.p1
OG0001802	CAPO307992	OFUSG07737.1.p1
OG0001804	CAPO307706	OFUSG15172.2.p1, OFUSG15172.1.p1, OFUSG15172.3.p1
OG0001805	CAPO301307	OFUSG07794.1.p1
OG0001807	CAPO305640	OFUSG16465.1.p1
OG0001808	CAPO300354	OFUSG17082.1.p1, OFUSG17082.2.p1
OG0001809	CAPO307543	OFUSG08089.1.p1
OG0001811	CAPO304043	OFUSG06985.2.p1, OFUSG06985.3.p1, OFUSG06985.1.p1, OFUSG06985.4.p1, OFUSG06985.5.p1
OG0001814	CAPO305508	OFUSG15987.1.p1
OG0001816	CAPO300431	OFUSG23359.1.p1
OG0001818	CAPO302088	OFUSG25019.1.p1
OG0001819	CAPO307172	OFUSG17205.1.p1, OFUSG17322.2.p1, OFUSG17322.1.p1
OG0001820	CAPO300515	OFUSG18271.1.p1, OFUSG18274.3.p1, OFUSG18274.2.p1, OFUSG18274.1.p1
OG0001822	CAPO301119	OFUSG09898.2.p1, OFUSG09898.1.p1
OG0001825	CAPO306238	OFUSG13282.1.p1
OG0001827	CAPO303060	OFUSG25637.1.p1
OG0001828	CAPO305081	OFUSG04325.1.p1
OG0001830	CAPO300316	OFUSG21379.1.p1
OG0001831	CAPO306824	OFUSG10355.1.p1, OFUSG10355.2.p1
OG0001832	CAPO300612	OFUSG04392.1.p1
OG0001834	CAPO301512	OFUSG04076.2.p1, OFUSG04076.1.p1
OG0001846	CAPO305028	OFUSG09080.1.p1
OG0001849	CAPO303014	OFUSG13688.1.p1, OFUSG24339.1.p1
OG0001850	CAPO301689	OFUSG04411.1.p1, OFUSG20805.1.p1
OG0001851	CAPO303828	OFUSG05408.1.p1
OG0001852	CAPO303604	OFUSG06932.1.p1
OG0001857	CAPO306766	OFUSG12646.1.p1, OFUSG12646.2.p1
OG0001859	CAPO304942	OFUSG15452.1.p1, OFUSG00026.1.p1
OG0001860	CAPO306960	OFUSG26072.1.p1
OG0001861	CAPO303333	OFUSG07846.1.p1
OG0001864	CAPO300448	OFUSG26284.1.p1, OFUSG26284.2.p1, OFUSG26284.3.p1
OG0001866	CAPO306683	OFUSG26706.1.p1
OG0001867	CAPO302026	OFUSG10616.2.p1, OFUSG10616.1.p1
OG0001870	CAPO303422	OFUSG26416.1.p1
OG0001871	CAPO300664	OFUSG03219.1.p1
OG0001873	CAPO305494	OFUSG21524.1.p1
OG0001875	CAPO303129	OFUSG17004.1.p1
OG0001875	CAPO300770	OFUSG10883.1.p1
OG0001877	CAPO305419	OFUSG22014.1.p1, OFUSG22014.5.p1, OFUSG22014.2.p1, OFUSG22014.4.p1, OFUSG22014.3.p1
OG0001878	CAPO300594	OFUSG02609.1.p1
OG0001879	CAPO302675	OFUSG15689.1.p1
OG0001879	CAPO304068	OFUSG10494.1.p1
OG0001882	CAPO302587	OFUSG04127.1.p1
OG0001883	CAPO304395	OFUSG10073.2.p1, OFUSG10073.1.p1
OG0001886	CAPO301013	OFUSG07453.1.p1
OG0001888	CAPO307373	OFUSG21284.1.p1
OG0001894	CAPO305070	OFUSG06027.1.p1
OG0001895	CAPO300178	OFUSG22819.1.p1
OG0001898	CAPO303887	OFUSG11987.1.p1
OG0001900	CAPO306468, CAPO308362	OFUSG11663.1.p1
OG0001901	CAPO302174	OFUSG02388.2.p1, OFUSG02388.3.p1, OFUSG02388.1.p1
OG0001903	CAPO301651	OFUSG12044.1.p1
OG0001913	CAPO308270	OFUSG06981.1.p1, OFUSG06981.2.p1, OFUSG06981.4.p1, OFUSG06981.3.p1
OG0001914	CAPO308187	OFUSG22097.1.p1, OFUSG10634.2.p1, OFUSG10634.1.p1
OG0001915	CAPO305922	OFUSG23826.1.p1, OFUSG23826.2.p1, OFUSG00902.1.p1
OG0001916	CAPO304398	OFUSG11739.1.p1, OFUSG11738.1.p1
OG0001917	CAPO303937	OFUSG17278.1.p1
OG0001919	CAPO305966	OFUSG16778.3.p1, OFUSG16778.4.p1, OFUSG16778.2.p1, OFUSG16778.1.p1
OG0001919	CAPO300799	OFUSG10852.1.p1
OG0001923	CAPO300364	OFUSG26579.3.p1, OFUSG26579.2.p1, OFUSG26579.1.p1
OG0001926	CAPO308203	OFUSG21452.1.p1
OG0001927	CAPO303832	OFUSG06203.2.p1, OFUSG06203.3.p1, OFUSG06203.1.p1
OG0001928	CAPO303627	OFUSG12913.1.p1
OG0001930	CAPO301567	OFUSG08506.1.p1, OFUSG08506.2.p1
OG0001931	CAPO306905	OFUSG01021.1.p1, OFUSG06059.1.p1
OG0001932	CAPO304653	OFUSG13988.1.p1
OG0001935	CAPO301339	OFUSG17306.1.p1, OFUSG17306.2.p1, OFUSG24584.1.p1
OG0001937	CAPO301986	OFUSG20363.1.p1, OFUSG03695.2.p1, OFUSG03695.1.p1, OFUSG13343.1.p1, OFUSG13445.1.p1, OFUSG08131.1.p1
OG0001940	CAPO307447	OFUSG22335.1.p1
OG0001941	CAPO303660	OFUSG16600.1.p1
OG0001943	CAPO306393, CAPO304272	OFUSG16984.3.p1, OFUSG16984.1.p1, OFUSG16984.2.p1
OG0001945	CAPO302125, CAPO302413	OFUSG01546.1.p1
OG0001947	CAPO306182	OFUSG19153.1.p1
OG0001948	CAPO307548	OFUSG12003.1.p1
OG0001949	CAPO303945	OFUSG14945.1.p1, OFUSG14945.2.p1
OG0001951	CAPO305792	OFUSG23273.1.p1
OG0001953	CAPO306993	OFUSG10033.1.p1
OG0001956	CAPO302405	OFUSG23188.1.p1
OG0001957	CAPO307027	OFUSG22505.1.p1
OG0001961	CAPO301591	OFUSG08360.1.p1, OFUSG08360.2.p1
OG0001963	CAPO304559	OFUSG08525.1.p1
OG0001964	CAPO306144	OFUSG14609.1.p1
OG0001965	CAPO305377	OFUSG18303.1.p1
OG0001966	CAPO308069	OFUSG09742.1.p1, OFUSG07382.1.p1, OFUSG18672.1.p1, OFUSG18672.2.p1
OG0001968	CAPO303436	OFUSG07229.2.p1, OFUSG07229.1.p1
OG0001969	CAPO301897	OFUSG09530.1.p1
OG0001972	CAPO302726	OFUSG21157.2.p1, OFUSG21157.1.p1
OG0001985	CAPO307425	OFUSG15038.1.p1, OFUSG15038.2.p1
OG0001988	CAPO301454	OFUSG17151.1.p1
OG0001989	CAPO303699	OFUSG07397.2.p1, OFUSG07397.1.p1
OG0001992	CAPO301694	OFUSG11780.1.p1, OFUSG11780.2.p1
OG0001994	CAPO307422	OFUSG14909.1.p1
OG0001997	CAPO301018, CAPO301017	OFUSG05219.1.p1, OFUSG01638.1.p2, OFUSG01247.1.p1
OG0001998	CAPO304168	OFUSG15491.1.p1
OG0001999	CAPO303159	OFUSG10544.1.p1, OFUSG10544.2.p1, OFUSG00835.1.p1
OG0002000	CAPO305912	OFUSG21355.1.p1, OFUSG03859.1.p1
OG0002001	CAPO301730, CAPO305766	OFUSG21514.1.p1
OG0002003	CAPO306645	OFUSG22036.1.p1
OG0002004	CAPO305661, CAPO300359	OFUSG04658.1.p1, OFUSG09751.1.p1, OFUSG09461.1.p1
OG0002006	CAPO302881	OFUSG16209.1.p1
OG0002007	CAPO301764	OFUSG10696.1.p1
OG0002008	CAPO308237	OFUSG10990.1.p1
OG0002009	CAPO304107	OFUSG12148.1.p1
OG0002011	CAPO305222	OFUSG20482.1.p1, OFUSG20482.2.p1, OFUSG13947.2.p1, OFUSG13947.1.p1
OG0002014	CAPO305309	OFUSG05819.1.p1
OG0002015	CAPO304377	OFUSG11071.1.p1
OG0002016	CAPO300736, CAPO303360	OFUSG18258.1.p1
OG0002020	CAPO301809, CAPO306607	OFUSG06895.1.p1
OG0002024	CAPO300776	OFUSG07698.2.p1, OFUSG07698.1.p1
OG0002025	CAPO301502	OFUSG10330.2.p1, OFUSG10330.1.p1
OG0002026	CAPO307889, CAPO306582	OFUSG03429.1.p1
OG0002027	CAPO307021	OFUSG14472.1.p1
OG0002029	CAPO303181	OFUSG09043.1.p1
OG0002029	CAPO304041	OFUSG19624.1.p1
OG0002030	CAPO303987	OFUSG04851.1.p1
OG0002031	CAPO300135	OFUSG21499.1.p1
OG0002032	CAPO304689	OFUSG09126.1.p1
OG0002034	CAPO306318	OFUSG22831.2.p1, OFUSG22831.1.p1
OG0002042	CAPO300525	OFUSG02182.1.p1
OG0002043	CAPO306649	OFUSG12846.4.p1, OFUSG12846.2.p1, OFUSG12846.3.p1, OFUSG12846.1.p1
OG0002058	CAPO300289	OFUSG08853.1.p1, OFUSG23578.1.p1, OFUSG23579.1.p1, OFUSG21054.1.p1
OG0002061	CAPO307339	OFUSG05764.1.p1, OFUSG05765.1.p1, OFUSG05763.1.p1
OG0002062	CAPO301382	OFUSG03994.1.p1
OG0002063	CAPO302417	OFUSG01652.1.p1
OG0002067	CAPO302721	OFUSG17986.1.p1
OG0002069	CAPO306402	OFUSG23391.4.p1, OFUSG23391.3.p1, OFUSG23391.5.p1, OFUSG23391.2.p1, OFUSG23391.1.p1
OG0002073	CAPO302333	OFUSG19553.2.p1, OFUSG19553.1.p1
OG0002074	CAPO304152	OFUSG26077.1.p1
OG0002076	CAPO303117	OFUSG17692.2.p1, OFUSG17692.1.p1
OG0002078	CAPO302217	OFUSG10584.1.p1
OG0002079	CAPO301402	OFUSG02215.1.p1
OG0002080	CAPO307474, CAPO307552	OFUSG15846.1.p1
OG0002081	CAPO300584	OFUSG02596.4.p1, OFUSG02596.1.p1, OFUSG02596.5.p1, OFUSG02596.2.p1, OFUSG02596.3.p1
OG0002084	CAPO300150	OFUSG24095.1.p1, OFUSG06979.1.p1, OFUSG06870.1.p1, OFUSG06847.1.p1
OG0002087	CAPO306536	OFUSG07750.1.p1
OG0002093	CAPO304254	OFUSG19055.1.p1, OFUSG07928.2.p1, OFUSG07928.1.p1
OG0002094	CAPO303399	OFUSG18702.1.p1
OG0002097	CAPO302111	OFUSG14425.2.p1, OFUSG14425.1.p1
OG0002099	CAPO306675	OFUSG12133.1.p1
OG0002101	CAPO307803	OFUSG16892.1.p1
OG0002103	CAPO305235	OFUSG11310.1.p1
OG0002106	CAPO300071	OFUSG13347.1.p1
OG0002108	CAPO303834	OFUSG12155.1.p1
OG0002122	CAPO300191	OFUSG03606.1.p1
OG0002123	CAPO303373	OFUSG21149.1.p1
OG0002124	CAPO300980	OFUSG11686.1.p1, OFUSG05734.1.p1, OFUSG05734.2.p1
OG0002129	CAPO305068	OFUSG02354.1.p1
OG0002130	CAPO301943	OFUSG01641.1.p1
OG0002131	CAPO302159	OFUSG09026.1.p1
OG0002135	CAPO300616, CAPO300802	OFUSG01287.1.p1
OG0002136	CAPO300292	OFUSG07707.1.p1, OFUSG07707.2.p1, OFUSG07706.1.p1
OG0002137	CAPO306593	OFUSG17532.1.p1
OG0002138	CAPO304101	OFUSG25383.3.p1, OFUSG25383.1.p1, OFUSG25383.2.p1
OG0002140	CAPO300489	OFUSG20932.1.p1
OG0002141	CAPO300491	OFUSG03101.2.p1, OFUSG03101.1.p1
OG0002144	CAPO308205	OFUSG24102.1.p1
OG0002145	CAPO305963	OFUSG18782.1.p1
OG0002146	CAPO303694	OFUSG18785.1.p1, OFUSG18785.2.p1, OFUSG18786.1.p1
OG0002148	CAPO301311	OFUSG11337.1.p1, OFUSG22046.1.p1
OG0002150	CAPO305991	OFUSG24455.1.p1, OFUSG11993.1.p1, OFUSG25535.1.p1, OFUSG06899.1.p1
OG0002151	CAPO300513	OFUSG10768.1.p1
OG0002152	CAPO305214	OFUSG17316.1.p1
OG0002156	CAPO307789	OFUSG25160.1.p1
OG0002158	CAPO300426	OFUSG26362.1.p1
OG0002159	CAPO301618	OFUSG09873.1.p1, OFUSG09873.2.p1, OFUSG25174.1.p1
OG0002165	CAPO306860	OFUSG05436.1.p1
