Orthogroup	CAPO3	DANRE
OG0000963	CAPO303990	DANRE21554, DANRE21556, DANRE28340, DANRE21555, DANRE40847, DANRE23590
OG0000965	CAPO305928	DANRE07376
OG0000965	CAPO302148	DANRE37868
OG0000967	CAPO304786	DANRE03536, DANRE03535, DANRE11311, DANRE11310, DANRE11308, DANRE11309
OG0000970	CAPO301807	DANRE33493, DANRE19214
OG0000974	CAPO306940	DANRE20581
OG0000978	CAPO306307	DANRE27024, DANRE37180, DANRE24849, DANRE24850, DANRE27022, DANRE27023, DANRE27021, DANRE37039, DANRE37040, DANRE40773, DANRE40772, DANRE38576
OG0000982	CAPO301371	DANRE21553, DANRE28338, DANRE28339, DANRE14101, DANRE09208, DANRE39834, DANRE00506, DANRE00508, DANRE00507, DANRE00509
OG0000984	CAPO307940	DANRE19378, DANRE19379, DANRE19380, DANRE19381, DANRE21816, DANRE21815, DANRE21817
OG0000985	CAPO304864	DANRE04256, DANRE05103, DANRE05104, DANRE00260, DANRE00259, DANRE00261, DANRE06266, DANRE06267, DANRE06268
OG0000986	CAPO305058	DANRE00161, DANRE05005, DANRE00295, DANRE00296, DANRE00297, DANRE35316, DANRE35315
OG0000987	CAPO306365	DANRE23844, DANRE23846, DANRE23845, DANRE28109, DANRE28108, DANRE28110, DANRE36582, DANRE23126, DANRE02985, DANRE02984, DANRE42848, DANRE42847, DANRE02986
OG0000992	CAPO308244	DANRE03991, DANRE30488, DANRE30487, DANRE03990, DANRE03996, DANRE03997, DANRE03994, DANRE10562, DANRE10561, DANRE12136
OG0000993	CAPO303930	DANRE13216
OG0000994	CAPO306999	DANRE17301
OG0000996	CAPO304603	DANRE33745, DANRE33744, DANRE06309, DANRE24287, DANRE26741, DANRE26742, DANRE26739, DANRE26738, DANRE26740
OG0000997	CAPO306501	DANRE20114, DANRE20115
OG0000999	CAPO303484, CAPO302236	DANRE29607, DANRE29608, DANRE24716, DANRE38934, DANRE38936, DANRE25765, DANRE25766, DANRE12419, DANRE12421, DANRE12420
OG0001006	CAPO308145	DANRE15473, DANRE40023, DANRE00151, DANRE27457
OG0001009	CAPO305830	DANRE10781, DANRE14714, DANRE14715
OG0001015	CAPO304771	DANRE36830, DANRE28847, DANRE28849, DANRE28848, DANRE28850
OG0001016	CAPO300038	DANRE23809, DANRE23808
OG0001016	CAPO302596	DANRE24167, DANRE28181, DANRE24165, DANRE24166
OG0001018	CAPO305732	DANRE11146, DANRE11145
OG0001024	CAPO300862	DANRE07373, DANRE04817, DANRE04816, DANRE06260, DANRE03283, DANRE11210, DANRE11211, DANRE41223
OG0001033	CAPO305083	DANRE34683, DANRE19218, DANRE35345
OG0001033	CAPO300376	DANRE02095, DANRE40162
OG0001036	CAPO301917	DANRE22470, DANRE22471, DANRE22469, DANRE10595, DANRE15083, DANRE15084, DANRE10596, DANRE07130
OG0001037	CAPO306107	DANRE39620, DANRE39624, DANRE39622, DANRE39623, DANRE39619, DANRE34192, DANRE39621, DANRE34191, DANRE34188, DANRE34189, DANRE34190, DANRE26737, DANRE39625, DANRE26734, DANRE26735, DANRE26736, DANRE24510
OG0001039	CAPO305080	DANRE33581, DANRE33582, DANRE33583, DANRE35466
OG0001042	CAPO301530	DANRE40759, DANRE40758, DANRE40284, DANRE02474, DANRE02475, DANRE22411, DANRE22410, DANRE12329, DANRE12330, DANRE12328, DANRE31604, DANRE31603
OG0001044	CAPO305401, CAPO306389	DANRE37591, DANRE37590, DANRE37589, DANRE19002
OG0001046	CAPO304357	DANRE29998, DANRE15431, DANRE15430, DANRE43288, DANRE29165, DANRE30394, DANRE02971, DANRE02969, DANRE02970
OG0001048	CAPO306868	DANRE33726, DANRE33727, DANRE05406, DANRE03103, DANRE05407, DANRE19307, DANRE19308, DANRE20140, DANRE20141, DANRE20142
OG0001049	CAPO306151	DANRE22854, DANRE22853, DANRE30738
OG0001049	CAPO305769	DANRE07752, DANRE23213
OG0001050	CAPO306760	DANRE40771, DANRE17632, DANRE37651, DANRE36467, DANRE25249, DANRE25251, DANRE25250, DANRE09895, DANRE09896
OG0001060	CAPO307547, CAPO305773, CAPO307224, CAPO305772, CAPO301879	DANRE07143, DANRE07142
OG0001060	CAPO302777	DANRE30655
OG0001062	CAPO300111	DANRE28653, DANRE16543, DANRE21837, DANRE21838, DANRE26303, DANRE23617
OG0001066	CAPO305156	DANRE39946, DANRE40457, DANRE39945, DANRE22302, DANRE40512, DANRE36839
OG0001069	CAPO301006, CAPO306010, CAPO301236, CAPO307600, CAPO303893, CAPO304221, CAPO306089, CAPO305429, CAPO304894, CAPO305587, CAPO303313	DANRE41652
OG0001072	CAPO304331	DANRE34212, DANRE34213, DANRE33687, DANRE33686, DANRE30991
OG0001073	CAPO307880	DANRE07147, DANRE07148, DANRE02614
OG0001075	CAPO305658	DANRE09111, DANRE09112, DANRE09110, DANRE09113, DANRE09109, DANRE18111, DANRE18112, DANRE18109, DANRE18110, DANRE11682
OG0001076	CAPO306580	DANRE01059, DANRE01061, DANRE08511, DANRE08513, DANRE08512, DANRE01060, DANRE08514, DANRE17848, DANRE17845, DANRE17846, DANRE17844
OG0001078	CAPO300211	DANRE33231, DANRE33234, DANRE33233, DANRE33232, DANRE22373, DANRE22374, DANRE22372, DANRE36986, DANRE29517, DANRE24790, DANRE24791, DANRE39097, DANRE39096, DANRE39098
OG0001082	CAPO306944	DANRE01614
OG0001083	CAPO306339	DANRE11162, DANRE03313, DANRE06572, DANRE11816, DANRE11815
OG0001085	CAPO305936	DANRE36752, DANRE36751, DANRE22295, DANRE39750, DANRE39751, DANRE02426, DANRE30868, DANRE30869, DANRE02298, DANRE02297, DANRE02296
OG0001092	CAPO303664	DANRE01084, DANRE01083, DANRE08553, DANRE08554, DANRE15919, DANRE15921, DANRE15920, DANRE01082, DANRE15922
OG0001095	CAPO303064	DANRE37105, DANRE37106, DANRE21368, DANRE21367, DANRE14978
OG0001096	CAPO308143	DANRE36317, DANRE41555, DANRE41553, DANRE41554
OG0001101	CAPO301529	DANRE43023, DANRE43024
OG0001104	CAPO306923	DANRE12309, DANRE12308, DANRE15094, DANRE18450, DANRE18449, DANRE18448
OG0001106	CAPO307850	DANRE37557, DANRE37558, DANRE26118, DANRE26117, DANRE26119
OG0001108	CAPO300863	DANRE22562, DANRE36536, DANRE36537, DANRE22561, DANRE22563, DANRE07648, DANRE07647, DANRE07649, DANRE07646, DANRE07645
OG0001113	CAPO302840	DANRE29306
OG0001113	CAPO304589	DANRE36120
OG0001116	CAPO303103	DANRE03948, DANRE42044, DANRE42046, DANRE42047, DANRE26874, DANRE28973, DANRE28974
OG0001120	CAPO300555	DANRE20475, DANRE06618, DANRE06617, DANRE35418, DANRE42918, DANRE42917, DANRE06970, DANRE06969, DANRE06968, DANRE06971
OG0001121	CAPO305030	DANRE05588, DANRE05587, DANRE16591, DANRE16590, DANRE16589
OG0001123	CAPO305010	DANRE23983
OG0001124	CAPO307326	DANRE03040, DANRE01476
OG0001126	CAPO301067	DANRE37911
OG0001126	CAPO308119	DANRE02473
OG0001128	CAPO301710	DANRE11570, DANRE11571, DANRE13253, DANRE13252, DANRE00033, DANRE18370, DANRE18369, DANRE18368, DANRE18366, DANRE18367
OG0001129	CAPO306230	DANRE12805, DANRE38100, DANRE10144, DANRE09107
OG0001130	CAPO305636	DANRE00191, DANRE00192
OG0001132	CAPO303538	DANRE00495, DANRE00494, DANRE00496
OG0001133	CAPO302577	DANRE14565
OG0001133	CAPO300360	DANRE00326, DANRE00325
OG0001134	CAPO304261	DANRE30384, DANRE03544, DANRE03543
OG0001135	CAPO304787	DANRE43114, DANRE28908, DANRE28907, DANRE28967, DANRE28968
OG0001136	CAPO301949	DANRE40170, DANRE40169, DANRE26964, DANRE26965, DANRE39095, DANRE39094
OG0001137	CAPO308164	DANRE34399, DANRE07711, DANRE07714, DANRE07715, DANRE07713, DANRE07712, DANRE07710, DANRE34398
OG0001139	CAPO300537	DANRE16147, DANRE16148, DANRE25097, DANRE30941, DANRE30942
OG0001140	CAPO308326	DANRE14735, DANRE14736, DANRE12076, DANRE12078
OG0001142	CAPO304790	DANRE38005, DANRE38003
OG0001143	CAPO304300	DANRE25849, DANRE30754, DANRE30755, DANRE13212, DANRE15627, DANRE09922
OG0001144	CAPO307577	DANRE23119, DANRE23118, DANRE36574, DANRE36575, DANRE36573, DANRE41447, DANRE41446, DANRE09531, DANRE09530, DANRE14316, DANRE14317
OG0001146	CAPO300511	DANRE36295, DANRE36291, DANRE36297, DANRE36294, DANRE36292, DANRE36293, DANRE36296, DANRE41104, DANRE41105, DANRE33875, DANRE33874
OG0001149	CAPO305549	DANRE14289, DANRE14290, DANRE14288, DANRE43370, DANRE43369
OG0001156	CAPO306962	DANRE36530, DANRE22268, DANRE29205, DANRE29204, DANRE42727, DANRE42726
OG0001158	CAPO302639	DANRE24675, DANRE36872, DANRE23963, DANRE23962, DANRE24676, DANRE36873
OG0001160	CAPO304743	DANRE31338, DANRE39872, DANRE20664, DANRE20663
OG0001161	CAPO301112	DANRE38331, DANRE38329, DANRE38330, DANRE25997, DANRE00207, DANRE00210, DANRE00209
OG0001163	CAPO301684, CAPO307755, CAPO304886	DANRE04351, DANRE05359
OG0001167	CAPO307849	DANRE11150, DANRE38292, DANRE38291, DANRE05260, DANRE05261
OG0001168	CAPO301546	DANRE14763, DANRE14762, DANRE01595, DANRE14764, DANRE01592, DANRE09690, DANRE09691, DANRE01594, DANRE01593, DANRE25534, DANRE25535
OG0001169	CAPO301751	DANRE28707, DANRE08936, DANRE08937
OG0001170	CAPO302766	DANRE07719, DANRE07718, DANRE33792, DANRE33791, DANRE23256, DANRE23257
OG0001171	CAPO300420	DANRE24329, DANRE23282, DANRE23283, DANRE23281, DANRE14514, DANRE14513, DANRE09798, DANRE09799, DANRE22398, DANRE22399, DANRE22400
OG0001175	CAPO304133, CAPO306812	DANRE40566, DANRE40568, DANRE40567, DANRE40616, DANRE40615, DANRE00572, DANRE40617
OG0001179	CAPO300184	DANRE39019, DANRE37036, DANRE37035
OG0001181	CAPO301983	DANRE23910, DANRE23911, DANRE26674, DANRE26675, DANRE03474, DANRE29972, DANRE29971
OG0001183	CAPO301096	DANRE24698, DANRE29477, DANRE29478, DANRE29479, DANRE29476, DANRE29483, DANRE29481, DANRE29482, DANRE29480, DANRE24697
OG0001184	CAPO306392	DANRE14296, DANRE14295
OG0001185	CAPO303366	DANRE10091, DANRE10087, DANRE10090, DANRE10088, DANRE10089, DANRE05149, DANRE05150
OG0001186	CAPO302303	DANRE26898, DANRE26897, DANRE26189
OG0001186	CAPO307451	DANRE39141
OG0001188	CAPO300558	DANRE20180, DANRE20181, DANRE37779, DANRE37780, DANRE05645, DANRE02573, DANRE11351, DANRE11352, DANRE05646
OG0001196	CAPO301570	DANRE14067, DANRE14066, DANRE34121, DANRE34124, DANRE34123, DANRE34122, DANRE08119, DANRE08109, DANRE08110, DANRE08111, DANRE08114, DANRE08117, DANRE08118, DANRE08116, DANRE08115, DANRE08113, DANRE08112, DANRE14065
OG0001197	CAPO306552	DANRE19964, DANRE19965
OG0001199	CAPO305690	DANRE11652, DANRE11653, DANRE18330, DANRE18331
OG0001201	CAPO302220	DANRE12519, DANRE22352, DANRE22354, DANRE02404, DANRE02405, DANRE24906, DANRE22353, DANRE22355, DANRE12520, DANRE24918
OG0001207	CAPO305627	DANRE42063
OG0001207	CAPO302093	DANRE24209, DANRE29571, DANRE35692
OG0001208	CAPO300830	DANRE35541, DANRE41476, DANRE41472, DANRE41473, DANRE09739, DANRE09738, DANRE43074
OG0001210	CAPO300919	DANRE18802, DANRE18801, DANRE18800
OG0001213	CAPO304729	DANRE04387, DANRE43203, DANRE04388
OG0001213	CAPO303632	DANRE01516, DANRE01514, DANRE01515
OG0001214	CAPO304780	DANRE24143
OG0001215	CAPO302583	DANRE27329, DANRE27330, DANRE35594, DANRE35595, DANRE41572, DANRE41571, DANRE41573, DANRE35593, DANRE35592, DANRE41574, DANRE23354, DANRE23355, DANRE36527, DANRE36526
OG0001216	CAPO307997	DANRE39374, DANRE33871, DANRE09303, DANRE26030
OG0001217	CAPO306810	DANRE24420, DANRE19883, DANRE19884, DANRE24419, DANRE33785, DANRE17425, DANRE17426, DANRE11461
OG0001218	CAPO307457	DANRE13767, DANRE09982, DANRE13766, DANRE13765, DANRE02525, DANRE02526, DANRE37945
OG0001221	CAPO307765	DANRE38048, DANRE38049
OG0001226	CAPO307936	DANRE07724, DANRE07723, DANRE07722, DANRE06318, DANRE23264, DANRE23266, DANRE23265, DANRE14194
OG0001232	CAPO304224	DANRE29418, DANRE29417
OG0001233	CAPO303591	DANRE37927, DANRE37928
OG0001234	CAPO307897	DANRE37290, DANRE37291, DANRE09490, DANRE09491, DANRE13560, DANRE13559, DANRE38545, DANRE38546, DANRE09492
OG0001241	CAPO303368	DANRE22500, DANRE22501
OG0001241	CAPO304888	DANRE16085, DANRE06905
OG0001247	CAPO303193, CAPO307423	DANRE22419, DANRE31091, DANRE31090, DANRE01633, DANRE22417, DANRE22418, DANRE22416, DANRE22420, DANRE22415, DANRE34005, DANRE34004, DANRE34002, DANRE34006, DANRE34003
OG0001248	CAPO303079	DANRE35929, DANRE35927, DANRE35928, DANRE24637, DANRE23456
OG0001249	CAPO306922	DANRE15846, DANRE26785, DANRE35515, DANRE20943
OG0001250	CAPO302323	DANRE29340, DANRE29339, DANRE29338, DANRE03569, DANRE03568, DANRE03567, DANRE30537
OG0001251	CAPO302019	DANRE24093, DANRE24095, DANRE24092, DANRE24094
OG0001252	CAPO300016	DANRE30251, DANRE30252, DANRE26714, DANRE24514, DANRE24513, DANRE24515, DANRE28344, DANRE28343, DANRE28342, DANRE28345, DANRE21559, DANRE21558, DANRE21560
OG0001253	CAPO306156	DANRE30836, DANRE12545, DANRE39815, DANRE39814, DANRE22552, DANRE30835, DANRE30834, DANRE40361, DANRE01742, DANRE01743, DANRE01744
OG0001254	CAPO307546	DANRE00247, DANRE00249, DANRE39065, DANRE25611, DANRE25612
OG0001261	CAPO302839	DANRE23743, DANRE15935, DANRE15934, DANRE23744, DANRE42389
OG0001263	CAPO301777	DANRE33573, DANRE05204, DANRE05205, DANRE03253, DANRE03252, DANRE29681, DANRE29682
OG0001267	CAPO307578	DANRE15701, DANRE15702, DANRE35017, DANRE01548, DANRE34033, DANRE16499, DANRE16498
OG0001268	CAPO303692	DANRE36957, DANRE15799, DANRE22870, DANRE22871
OG0001270	CAPO306176	DANRE24812
OG0001270	CAPO304393	DANRE29397
OG0001271	CAPO302779	DANRE03359, DANRE27363, DANRE38820, DANRE38819, DANRE38817, DANRE38818, DANRE27361, DANRE27362, DANRE27360, DANRE03360, DANRE21111
OG0001272	CAPO305566	DANRE29978, DANRE03166, DANRE07917, DANRE20323, DANRE06556, DANRE06559, DANRE06557, DANRE06558
OG0001273	CAPO301889	DANRE02106, DANRE02107, DANRE28331, DANRE34837, DANRE34836, DANRE34838
OG0001274	CAPO308194	DANRE26549, DANRE16882, DANRE16883, DANRE16884, DANRE33262, DANRE33263, DANRE33261
OG0001276	CAPO302888	DANRE01207, DANRE01206
OG0001278	CAPO306229	DANRE30403, DANRE02994, DANRE02993, DANRE02995, DANRE18880, DANRE18879
OG0001279	CAPO302733	DANRE13251, DANRE13250, DANRE00031, DANRE00032, DANRE10695, DANRE04800, DANRE16827
OG0001280	CAPO300326	DANRE25620, DANRE25621, DANRE37606, DANRE37604, DANRE37605, DANRE28151, DANRE40113, DANRE40112, DANRE37607, DANRE16017, DANRE23707, DANRE16016
OG0001281	CAPO304088, CAPO303543	DANRE13146, DANRE13147, DANRE01268, DANRE05291, DANRE38128, DANRE38129
OG0001282	CAPO303595	DANRE42333, DANRE34496, DANRE34495, DANRE42332, DANRE42331, DANRE27101, DANRE24465, DANRE24464
OG0001284	CAPO300970	DANRE24158, DANRE09932, DANRE14552, DANRE25929
OG0001285	CAPO304179	DANRE05323, DANRE00630
OG0001286	CAPO303892	DANRE38943, DANRE38941, DANRE38942, DANRE25785, DANRE25786, DANRE25784, DANRE29610, DANRE29611, DANRE03205
OG0001287	CAPO302822, CAPO304538	DANRE20476, DANRE07347, DANRE20477, DANRE42919, DANRE06963, DANRE06964
OG0001288	CAPO302651	DANRE34317, DANRE25733, DANRE34315, DANRE34318, DANRE34316
OG0001289	CAPO306071	DANRE11856, DANRE11855, DANRE00880, DANRE05727, DANRE03954, DANRE03953, DANRE03955, DANRE03952
OG0001290	CAPO302574	DANRE00524, DANRE00528, DANRE00526, DANRE00527, DANRE12301, DANRE12302, DANRE12674, DANRE37304, DANRE37305, DANRE37303, DANRE37306, DANRE37307, DANRE37309, DANRE37308
OG0001291	CAPO300695	DANRE00618, DANRE00617, DANRE34030, DANRE34031, DANRE34032, DANRE06257, DANRE06256, DANRE20027, DANRE20028, DANRE20029
OG0001294	CAPO304223	DANRE05496, DANRE18837, DANRE18836, DANRE05494
OG0001295	CAPO306210	DANRE41427, DANRE35768, DANRE35767, DANRE23445, DANRE03881, DANRE29254, DANRE29255, DANRE14273
OG0001296	CAPO308260	DANRE11527, DANRE38121, DANRE38122, DANRE38123, DANRE38120, DANRE22225, DANRE22224
OG0001297	CAPO305437	DANRE30717, DANRE22459, DANRE22458, DANRE22460, DANRE37013, DANRE37014, DANRE37702
OG0001300	CAPO303702, CAPO301019, CAPO300154	DANRE26543, DANRE26542, DANRE42930, DANRE42928, DANRE42929, DANRE06398, DANRE06399
OG0001302	CAPO302654	DANRE35522
OG0001302	CAPO302215	DANRE09810
OG0001304	CAPO302419	DANRE27746, DANRE27745, DANRE38594, DANRE38595, DANRE26905, DANRE26906, DANRE36903, DANRE36902
OG0001305	CAPO304488	DANRE16549, DANRE16550, DANRE28651, DANRE28652, DANRE34203, DANRE36227, DANRE36226, DANRE26925
OG0001308	CAPO300432	DANRE05117, DANRE05116, DANRE06233, DANRE34680
OG0001309	CAPO300871	DANRE37164, DANRE20017, DANRE20016, DANRE27311
OG0001310	CAPO305405	DANRE12016, DANRE12017
OG0001310	CAPO300151	DANRE11088, DANRE11087, DANRE35906
OG0001311	CAPO300585	DANRE14576, DANRE08602, DANRE10133, DANRE13609, DANRE13617
OG0001312	CAPO304811	DANRE33358, DANRE24238, DANRE24239, DANRE33360, DANRE33361
OG0001317	CAPO302225	DANRE30986, DANRE30985, DANRE30984, DANRE35107, DANRE35108, DANRE35106, DANRE35109, DANRE35103, DANRE35110, DANRE35111, DANRE35113, DANRE35112
OG0001318	CAPO306280	DANRE03829
OG0001318	CAPO303315	DANRE41846, DANRE16169
OG0001319	CAPO304915	DANRE05988, DANRE33830, DANRE06762, DANRE06763, DANRE27088, DANRE27087, DANRE24474, DANRE42476
OG0001320	CAPO307498	DANRE24902
OG0001320	CAPO304958	DANRE18723, DANRE18722, DANRE05778
OG0001321	CAPO301358	DANRE12728, DANRE28335, DANRE21547, DANRE21546, DANRE10456
OG0001322	CAPO302022	DANRE07737
OG0001323	CAPO301735	DANRE43273, DANRE11172, DANRE04362, DANRE11171, DANRE19992, DANRE37489, DANRE05619
OG0001324	CAPO302080	DANRE16093, DANRE16095, DANRE16098, DANRE16097, DANRE16094, DANRE16096
OG0001325	CAPO304115	DANRE07084, DANRE07085, DANRE07086, DANRE04852, DANRE04851, DANRE04853, DANRE07195, DANRE07194
OG0001326	CAPO306149	DANRE05749, DANRE05748, DANRE43139, DANRE01553, DANRE33552, DANRE33553, DANRE33551, DANRE05304, DANRE16141
OG0001327	CAPO305568	DANRE25508, DANRE25510, DANRE25509, DANRE31148, DANRE31147, DANRE02284
OG0001330	CAPO304584, CAPO300112	DANRE03150, DANRE03151, DANRE29159, DANRE29160, DANRE08275, DANRE20391, DANRE20390, DANRE33586, DANRE33587, DANRE20387
OG0001332	CAPO305487	DANRE16331, DANRE38071
OG0001333	CAPO301191	DANRE00100, DANRE03587
OG0001335	CAPO300740, CAPO306508	DANRE25894
OG0001344	CAPO308153	DANRE00281
OG0001345	CAPO306177	DANRE40478, DANRE40477
OG0001348	CAPO304908	DANRE41949, DANRE41948, DANRE16560, DANRE16561, DANRE16562, DANRE06898, DANRE06897, DANRE06899
OG0001350	CAPO305116, CAPO303054	DANRE26476, DANRE26475
OG0001350	CAPO307484	DANRE23566
OG0001352	CAPO303801	DANRE41231, DANRE39193, DANRE20952
OG0001353	CAPO303379	DANRE22526, DANRE22525, DANRE28302, DANRE28301, DANRE22523, DANRE22524
OG0001355	CAPO307732	DANRE26753, DANRE13285, DANRE34884, DANRE15252, DANRE20243, DANRE15599, DANRE15597, DANRE40954, DANRE00104, DANRE00105
OG0001358	CAPO302204	DANRE18167, DANRE01240, DANRE08401, DANRE08402, DANRE07002, DANRE10816, DANRE18163, DANRE18164, DANRE18166, DANRE18165
OG0001359	CAPO303726	DANRE21737, DANRE28265, DANRE13462, DANRE13460, DANRE13461, DANRE09599
OG0001361	CAPO307400	DANRE25433, DANRE37698, DANRE30944
OG0001364	CAPO307249	DANRE00727, DANRE00728, DANRE37949, DANRE28112
OG0001366	CAPO302707	DANRE15379, DANRE23791, DANRE23792, DANRE28166, DANRE28165, DANRE15378, DANRE42121, DANRE42120
OG0001367	CAPO304628	DANRE35489, DANRE35487, DANRE35488, DANRE27264, DANRE27263, DANRE18747, DANRE18746, DANRE11545, DANRE11547
OG0001370	CAPO305064	DANRE12902, DANRE12901
OG0001370	CAPO306956	DANRE42207, DANRE42206
OG0001372	CAPO301063	DANRE36486, DANRE36487, DANRE36488, DANRE36489
OG0001373	CAPO300734	DANRE03670, DANRE03669, DANRE29075, DANRE30104, DANRE30103, DANRE04357, DANRE04358, DANRE03631
OG0001378	CAPO302717	DANRE39692, DANRE00586, DANRE00587, DANRE04190, DANRE04191, DANRE15660, DANRE20427, DANRE07393, DANRE06565, DANRE06566
OG0001379	CAPO304865	DANRE26946, DANRE36264, DANRE36263, DANRE06960, DANRE06961, DANRE06962, DANRE01201, DANRE01199, DANRE01200
OG0001382	CAPO306735	DANRE29511, DANRE29512, DANRE29509, DANRE29510
OG0001383	CAPO300442	DANRE19422, DANRE19418, DANRE19419, DANRE19420, DANRE19421, DANRE11521
OG0001386	CAPO305078	DANRE03392, DANRE03393, DANRE03394, DANRE03391, DANRE14264
OG0001387	CAPO306110, CAPO306288	DANRE42643, DANRE42642, DANRE21385, DANRE42641, DANRE21258, DANRE21259, DANRE40217
OG0001397	CAPO306119	DANRE07349, DANRE05010, DANRE04061, DANRE04062
OG0001399	CAPO304148	DANRE19814, DANRE36899, DANRE36900, DANRE36901, DANRE26137
OG0001400	CAPO305841	DANRE14343, DANRE03875, DANRE03874, DANRE03873, DANRE41416, DANRE41417, DANRE14344, DANRE09550
OG0001404	CAPO302450	DANRE29412, DANRE29413, DANRE41083
OG0001405	CAPO302942	DANRE15536
OG0001406	CAPO305604	DANRE22189, DANRE22190, DANRE37991, DANRE37992, DANRE06530, DANRE06531, DANRE06529
OG0001408	CAPO304468	DANRE19547, DANRE19548, DANRE19549, DANRE24542, DANRE24541, DANRE24540, DANRE26730, DANRE26731, DANRE26728, DANRE26729, DANRE24539
OG0001409	CAPO300832	DANRE09251, DANRE09250, DANRE13818, DANRE13817, DANRE13819, DANRE16638, DANRE41648
OG0001410	CAPO304381	DANRE30066, DANRE30065
OG0001410	CAPO303461	DANRE24024
OG0001411	CAPO301653	DANRE17922, DANRE17923, DANRE17924
OG0001412	CAPO304843	DANRE34214, DANRE35250, DANRE35249, DANRE35251
OG0001413	CAPO300375	DANRE35337
OG0001414	CAPO301834	DANRE16711
OG0001414	CAPO303273	DANRE04939
OG0001415	CAPO307087	DANRE33647, DANRE33648, DANRE41471
OG0001416	CAPO300753	DANRE43206, DANRE43207, DANRE02789, DANRE02788, DANRE23231, DANRE23232, DANRE02791, DANRE02790
OG0001418	CAPO300218	DANRE16726, DANRE28677, DANRE28678, DANRE36406, DANRE02103, DANRE02104, DANRE27063
OG0001420	CAPO304723, CAPO308198, CAPO308234, CAPO305541, CAPO307813	DANRE05459, DANRE05458, DANRE40331, DANRE40438, DANRE40439, DANRE02659, DANRE02658, DANRE36962, DANRE30671, DANRE30668, DANRE30672
OG0001422	CAPO308345, CAPO303120	DANRE09528, DANRE09527, DANRE41453
OG0001423	CAPO301310	DANRE10401, DANRE10402, DANRE40608, DANRE40609, DANRE40125, DANRE40126, DANRE35639, DANRE35640, DANRE28883, DANRE28884
OG0001424	CAPO304776	DANRE22605, DANRE22606, DANRE42572, DANRE42573
OG0001425	CAPO302275, CAPO302850	DANRE11642, DANRE18590, DANRE18588, DANRE18587, DANRE18589, DANRE25170, DANRE00361, DANRE34566
OG0001426	CAPO302841	DANRE22196, DANRE22198, DANRE26468, DANRE01765, DANRE01763, DANRE01764, DANRE22197, DANRE23464, DANRE23465, DANRE37899, DANRE37900, DANRE08922, DANRE08923
OG0001427	CAPO302723	DANRE40320, DANRE40321, DANRE22541, DANRE22540, DANRE22539, DANRE40322, DANRE24655, DANRE24656, DANRE24657, DANRE24658, DANRE30640, DANRE30639, DANRE11704
OG0001428	CAPO303027	DANRE22947, DANRE22948, DANRE23679, DANRE36635, DANRE23678, DANRE13768
OG0001430	CAPO300562	DANRE18427, DANRE00904, DANRE07242, DANRE11523, DANRE11522, DANRE13324, DANRE35076
OG0001431	CAPO308230	DANRE27312, DANRE13762, DANRE13761, DANRE40955, DANRE04339
OG0001437	CAPO304955	DANRE27147, DANRE27146
OG0001440	CAPO305450	DANRE26671, DANRE26670, DANRE23908, DANRE23909, DANRE02017
OG0001445	CAPO301958	DANRE16745, DANRE13125, DANRE13126
OG0001446	CAPO304614	DANRE08208
OG0001447	CAPO307093	DANRE11589, DANRE19674, DANRE13128, DANRE13129, DANRE18437, DANRE06199, DANRE06198
OG0001449	CAPO306822	DANRE18461, DANRE18463, DANRE18462, DANRE18464
OG0001451	CAPO300036	DANRE34609, DANRE34608, DANRE25924, DANRE25926, DANRE25925, DANRE25923
OG0001452	CAPO301933	DANRE34754, DANRE34755, DANRE38979, DANRE10641
OG0001454	CAPO303806	DANRE20582, DANRE11448, DANRE11449, DANRE11450
OG0001456	CAPO307965	DANRE26746, DANRE26745
OG0001459	CAPO307035	DANRE31312, DANRE29490, DANRE29489, DANRE29488, DANRE31314, DANRE31313
OG0001460	CAPO300988	DANRE01570, DANRE01569, DANRE01571
OG0001460	CAPO305875	DANRE05329
OG0001461	CAPO307458, CAPO305472	DANRE25863, DANRE25865
OG0001463	CAPO304054	DANRE38575, DANRE39152
OG0001466	CAPO305831	DANRE17753, DANRE06224, DANRE06223
OG0001467	CAPO304882	DANRE34084, DANRE34083, DANRE34082, DANRE34085, DANRE07802
OG0001468	CAPO306475	DANRE42652, DANRE24222, DANRE24223, DANRE24224, DANRE24225, DANRE24221, DANRE24220, DANRE26893, DANRE26890, DANRE23005
OG0001469	CAPO306371	DANRE40614
OG0001469	CAPO301724	DANRE08993
OG0001470	CAPO305163	DANRE01224, DANRE01223, DANRE01225, DANRE08432, DANRE08433
OG0001472	CAPO300986	DANRE09652
OG0001472	CAPO305311	DANRE22287
OG0001473	CAPO304310	DANRE29311
OG0001474	CAPO306191	DANRE03668
OG0001475	CAPO305552	DANRE36782, DANRE36783, DANRE23188, DANRE23190, DANRE23189
OG0001476	CAPO305062	DANRE17431, DANRE11972, DANRE11971, DANRE11970, DANRE00833, DANRE08825, DANRE08824, DANRE00834, DANRE00832
OG0001478	CAPO303095	DANRE18721, DANRE18720, DANRE18719
OG0001478	CAPO304965	DANRE03641
OG0001479	CAPO306515	DANRE22330, DANRE22329, DANRE30265, DANRE34077, DANRE19450, DANRE19449
OG0001482	CAPO307610	DANRE03428, DANRE29353, DANRE29351, DANRE16469, DANRE19526, DANRE19525, DANRE39848, DANRE39846, DANRE34181, DANRE34180
