Orthogroup	CAPO3	ORYLA
OG0001414	CAPO301834	ORYLA05226
OG0001414	CAPO303273	ORYLA18972
OG0001415	CAPO307087	ORYLA17926
OG0001416	CAPO300753	ORYLA16022, ORYLA14442
OG0001418	CAPO300218	ORYLA17080, ORYLA13376, ORYLA13151, ORYLA06383, ORYLA02393
OG0001420	CAPO304723, CAPO308198, CAPO308234, CAPO305541, CAPO307813	ORYLA10419, ORYLA20224, ORYLA16034, ORYLA13711, ORYLA13830, ORYLA10876
OG0001422	CAPO308345, CAPO303120	ORYLA08800, ORYLA05608, ORYLA05609, ORYLA09888
OG0001423	CAPO301310	ORYLA06105, ORYLA06106, ORYLA19580, ORYLA13563, ORYLA00859, ORYLA17104
OG0001424	CAPO304776	ORYLA13598, ORYLA09682
OG0001425	CAPO302275, CAPO302850	ORYLA11812, ORYLA14660, ORYLA02799, ORYLA17328
OG0001426	CAPO302841	ORYLA13127, ORYLA13128, ORYLA16142, ORYLA14438, ORYLA07443
OG0001427	CAPO302723	ORYLA20270, ORYLA07026, ORYLA11867
OG0001428	CAPO303027	ORYLA15651, ORYLA13762, ORYLA18311, ORYLA05873, ORYLA01893
OG0001430	CAPO300562	ORYLA11790, ORYLA01079, ORYLA10149, ORYLA03115, ORYLA03625
OG0001431	CAPO308230	ORYLA06418, ORYLA16444, ORYLA17811, ORYLA08082
OG0001437	CAPO304955	ORYLA09273, ORYLA06548, ORYLA09274
OG0001440	CAPO305450	ORYLA06607, ORYLA09297
OG0001445	CAPO301958	ORYLA18556, ORYLA03367, ORYLA03366
OG0001446	CAPO304614	ORYLA03689
OG0001447	CAPO307093	ORYLA10401, ORYLA03364, ORYLA11793, ORYLA01063
OG0001449	CAPO306822	ORYLA11305
OG0001451	CAPO300036	ORYLA17593, ORYLA14632
OG0001452	CAPO301933	ORYLA17672, ORYLA12044, ORYLA18698
OG0001454	CAPO303806	ORYLA03869, ORYLA10714, ORYLA03870
OG0001456	CAPO307965	ORYLA10215
OG0001459	CAPO307035	ORYLA16343
OG0001460	CAPO300988	ORYLA02314
OG0001460	CAPO305875	ORYLA08107, ORYLA05005
OG0001461	CAPO307458, CAPO305472	ORYLA19866
OG0001463	CAPO304054	ORYLA12639, ORYLA12308
OG0001466	CAPO305831	ORYLA11704, ORYLA01209
OG0001467	CAPO304882	ORYLA18147, ORYLA03144
OG0001468	CAPO306475	ORYLA08601, ORYLA08600, ORYLA09151, ORYLA06717, ORYLA09660, ORYLA16189, ORYLA16188
OG0001469	CAPO306371	ORYLA17794
OG0001469	CAPO301724	ORYLA05419
OG0001470	CAPO305163	ORYLA03759
OG0001472	CAPO300986	ORYLA05712
OG0001472	CAPO305311	ORYLA15948
OG0001473	CAPO304310	ORYLA00647, ORYLA16961, ORYLA16960
OG0001474	CAPO306191	ORYLA07769
OG0001475	CAPO305552	ORYLA13842, ORYLA15634
OG0001476	CAPO305062	ORYLA10593, ORYLA03172, ORYLA04062
OG0001478	CAPO303095	ORYLA11904
OG0001478	CAPO304965	ORYLA07755
OG0001479	CAPO306515	ORYLA13290, ORYLA16589, ORYLA18144, ORYLA02932
OG0001482	CAPO307610	ORYLA07921, ORYLA16884, ORYLA02763, ORYLA17970, ORYLA04390
OG0001484	CAPO301411	ORYLA18741, ORYLA15816, ORYLA13829, ORYLA13710
OG0001485	CAPO301954	ORYLA12718, ORYLA14982, ORYLA17705, ORYLA02318
OG0001486	CAPO302441	ORYLA13675, ORYLA11156, ORYLA15307, ORYLA16351, ORYLA12057
OG0001490	CAPO305433	ORYLA00195, ORYLA04616, ORYLA07533, ORYLA10697, ORYLA03495
OG0001492	CAPO305155	ORYLA16834, ORYLA17613
OG0001495	CAPO302008	ORYLA20241
OG0001496	CAPO301356	ORYLA01505
OG0001500	CAPO300054	ORYLA07552, ORYLA09604
OG0001501	CAPO305474	ORYLA10661, ORYLA10605
OG0001503	CAPO305666	ORYLA13177
OG0001503	CAPO307598	ORYLA17046, ORYLA17047
OG0001504	CAPO307661	ORYLA15456
OG0001505	CAPO301009	ORYLA10202, ORYLA08833, ORYLA07422
OG0001506	CAPO300953	ORYLA07141, ORYLA16222
OG0001507	CAPO304204	ORYLA10103, ORYLA04138
OG0001511	CAPO306127, CAPO305043	ORYLA03620, ORYLA06342, ORYLA07444
OG0001512	CAPO301118	ORYLA02917, ORYLA02918, ORYLA17795, ORYLA13561, ORYLA13562
OG0001516	CAPO300345	ORYLA18645, ORYLA18644
OG0001517	CAPO303690	ORYLA17447, ORYLA08991, ORYLA13528, ORYLA13529
OG0001519	CAPO306949	ORYLA13560, ORYLA07350, ORYLA00409, ORYLA18213
OG0001522	CAPO303667	ORYLA11664, ORYLA10662
OG0001524	CAPO300996	ORYLA00012, ORYLA05046
OG0001524	CAPO308304	ORYLA12443
OG0001525	CAPO303907	ORYLA17631
OG0001526	CAPO305679	ORYLA17247, ORYLA02495, ORYLA16611
OG0001527	CAPO300128	ORYLA02867
OG0001527	CAPO307636	ORYLA20388, ORYLA20389
OG0001529	CAPO300593	ORYLA13719, ORYLA14481
OG0001530	CAPO302602	ORYLA05079, ORYLA18041
OG0001532	CAPO300282	ORYLA16027, ORYLA07446, ORYLA06821, ORYLA18344
OG0001533	CAPO306032	ORYLA09911, ORYLA08628, ORYLA09442
OG0001534	CAPO304425	ORYLA16942, ORYLA16536, ORYLA07761, ORYLA07727, ORYLA07726
OG0001545	CAPO300895	ORYLA02532, ORYLA14957, ORYLA05722
OG0001551	CAPO306604	ORYLA10506, ORYLA10505
OG0001553	CAPO308172	ORYLA17357, ORYLA02293, ORYLA08070, ORYLA04977, ORYLA03887
OG0001554	CAPO302370	ORYLA04069, ORYLA07551
OG0001557	CAPO304176	ORYLA14586
OG0001558	CAPO301132	ORYLA02757, ORYLA18032, ORYLA19384
OG0001559	CAPO301785	ORYLA05417, ORYLA10089, ORYLA11639, ORYLA04343
OG0001561	CAPO301999	ORYLA15919, ORYLA15392, ORYLA13862, ORYLA10938
OG0001564	CAPO301061	ORYLA13495, ORYLA03594, ORYLA01019
OG0001567	CAPO300948	ORYLA13058, ORYLA06494
OG0001568	CAPO301468	ORYLA17084
OG0001572	CAPO304756	ORYLA04283
OG0001572	CAPO304137	ORYLA15272
OG0001573	CAPO305125, CAPO303819	ORYLA20104, ORYLA02801
OG0001576	CAPO306270	ORYLA02374, ORYLA12205
OG0001578	CAPO300715	ORYLA17727, ORYLA00011
OG0001580	CAPO307900	ORYLA15950, ORYLA14282, ORYLA15951, ORYLA12668
OG0001581	CAPO306056	ORYLA10772
OG0001582	CAPO307073	ORYLA02289, ORYLA04090, ORYLA03534, ORYLA17772
OG0001583	CAPO306289	ORYLA20413, ORYLA00738, ORYLA05062
OG0001584	CAPO301068	ORYLA09638, ORYLA13120
OG0001589	CAPO303301, CAPO304004	ORYLA16530
OG0001590	CAPO302386	ORYLA12337
OG0001593	CAPO305942	ORYLA19874, ORYLA00447, ORYLA12153, ORYLA12152, ORYLA19629, ORYLA01620
OG0001594	CAPO304243	ORYLA04061
OG0001597	CAPO302703	ORYLA18712
OG0001599	CAPO300887	ORYLA16526, ORYLA16525, ORYLA16314
OG0001600	CAPO305994	ORYLA01865, ORYLA01864, ORYLA10572, ORYLA11507, ORYLA06480
OG0001603	CAPO306228	ORYLA02090, ORYLA05894
OG0001604	CAPO303898	ORYLA03242
OG0001605	CAPO307473	ORYLA07546, ORYLA06239, ORYLA15168, ORYLA19098
OG0001609	CAPO304683	ORYLA09645
OG0001609	CAPO302057	ORYLA14062
OG0001610	CAPO301483	ORYLA10612, ORYLA15888, ORYLA05347, ORYLA01728
OG0001611	CAPO305038	ORYLA11820, ORYLA10639, ORYLA00086, ORYLA05012, ORYLA03043
OG0001612	CAPO302202	ORYLA09961, ORYLA05310
OG0001614	CAPO303895	ORYLA06852
OG0001614	CAPO307630	ORYLA00725
OG0001615	CAPO300749	ORYLA15214, ORYLA11232
OG0001617	CAPO302798	ORYLA14328, ORYLA14245, ORYLA15099, ORYLA19860
OG0001621	CAPO302875	ORYLA16707, ORYLA16984, ORYLA07730
OG0001622	CAPO302121	ORYLA04887, ORYLA04886, ORYLA17634
OG0001634	CAPO305688	ORYLA02609
OG0001634	CAPO305614	ORYLA12522, ORYLA03396
OG0001638	CAPO303528	ORYLA04382, ORYLA04383, ORYLA04380, ORYLA04381
OG0001641	CAPO303281	ORYLA16417, ORYLA16416, ORYLA07882, ORYLA08892, ORYLA06223
OG0001643	CAPO306838	ORYLA06241, ORYLA03825, ORYLA03280
OG0001644	CAPO303665	ORYLA05371, ORYLA10384
OG0001652	CAPO302838	ORYLA10454
OG0001653	CAPO305118	ORYLA17508, ORYLA02619
OG0001655	CAPO302812	ORYLA07526, ORYLA08529, ORYLA07560
OG0001657	CAPO304165, CAPO303952	ORYLA02690, ORYLA17570, ORYLA07401, ORYLA00511
OG0001660	CAPO305930	ORYLA01347, ORYLA07223, ORYLA00950, ORYLA07222
OG0001661	CAPO302789	ORYLA09181
OG0001661	CAPO304920	ORYLA09179
OG0001663	CAPO301057	ORYLA16035
OG0001664	CAPO303152	ORYLA13462, ORYLA17083, ORYLA02772
OG0001665	CAPO302331	ORYLA17183, ORYLA00789
OG0001672	CAPO301880	ORYLA09041, ORYLA09875, ORYLA08234, ORYLA01794
OG0001673	CAPO305520	ORYLA07540, ORYLA10157, ORYLA03406, ORYLA10600, ORYLA11975
OG0001674	CAPO301357	ORYLA14951, ORYLA12587, ORYLA02498
OG0001675	CAPO307574	ORYLA05453, ORYLA11313, ORYLA08776
OG0001676	CAPO300524	ORYLA18322
OG0001676	CAPO305992	ORYLA12813, ORYLA12814, ORYLA06876
OG0001677	CAPO307978	ORYLA17546
OG0001684	CAPO300563	ORYLA06104, ORYLA13071
OG0001685	CAPO307707	ORYLA01166, ORYLA00356
OG0001686	CAPO307138	ORYLA17568, ORYLA04444, ORYLA02411, ORYLA00739
OG0001687	CAPO302907	ORYLA04791, ORYLA04792
OG0001688	CAPO300133	ORYLA00323, ORYLA07463, ORYLA03207
OG0001690	CAPO304820	ORYLA06791
OG0001691	CAPO307420	ORYLA08257, ORYLA17862
OG0001699	CAPO306472, CAPO300057	ORYLA17210, ORYLA08884
OG0001704	CAPO304434	ORYLA20149, ORYLA20150
OG0001706	CAPO301033	ORYLA07656, ORYLA04248, ORYLA19896
OG0001707	CAPO303836	ORYLA07066, ORYLA11811
OG0001708	CAPO303804	ORYLA09131, ORYLA09132, ORYLA01086
OG0001709	CAPO304969	ORYLA13292, ORYLA03908
OG0001711	CAPO301872	ORYLA07542, ORYLA05249, ORYLA10094
OG0001713	CAPO308041	ORYLA03803
OG0001713	CAPO302278	ORYLA15056
OG0001714	CAPO306669	ORYLA16824
OG0001714	CAPO300188	ORYLA04974, ORYLA00085
OG0001718	CAPO301559, CAPO301838	ORYLA11821, ORYLA10066, ORYLA10678
OG0001720	CAPO303957	ORYLA03696, ORYLA01111, ORYLA17602
OG0001721	CAPO302302	ORYLA10588, ORYLA10236
OG0001723	CAPO308089	ORYLA00996, ORYLA03930, ORYLA13525
OG0001724	CAPO306474	ORYLA11809, ORYLA10380
OG0001727	CAPO301729	ORYLA03405, ORYLA10153, ORYLA05228
OG0001730	CAPO303469	ORYLA13643, ORYLA07155, ORYLA12919
OG0001732	CAPO304710	ORYLA09571
OG0001733	CAPO306615	ORYLA07298, ORYLA10783
OG0001734	CAPO306594	ORYLA14862, ORYLA14864, ORYLA14863
OG0001735	CAPO301389	ORYLA06604, ORYLA09864, ORYLA16438, ORYLA07851
OG0001738	CAPO301655	ORYLA07956, ORYLA17190, ORYLA20286, ORYLA15090
OG0001739	CAPO304154	ORYLA10963, ORYLA18962
OG0001743	CAPO306128	ORYLA02460, ORYLA18019
OG0001746	CAPO306662	ORYLA19988, ORYLA14699
OG0001750	CAPO304954	ORYLA06217, ORYLA08897, ORYLA15569, ORYLA13931, ORYLA08409, ORYLA19595
OG0001755	CAPO300413	ORYLA15127
OG0001756	CAPO301153	ORYLA00755
OG0001756	CAPO306605	ORYLA17359
OG0001769	CAPO300754	ORYLA08055
OG0001769	CAPO306748	ORYLA10120
OG0001770	CAPO304551	ORYLA18486, ORYLA09431, ORYLA04288, ORYLA20466
OG0001772	CAPO303731	ORYLA10773
OG0001774	CAPO302411	ORYLA14081, ORYLA16202, ORYLA15721
OG0001775	CAPO300385, CAPO303998	ORYLA13002, ORYLA06854
OG0001778	CAPO303585	ORYLA07489, ORYLA06734
OG0001781	CAPO304059	ORYLA08227
OG0001781	CAPO306335	ORYLA06078
OG0001782	CAPO302329	ORYLA18054
OG0001783	CAPO302497	ORYLA07986, ORYLA00232
OG0001787	CAPO302384	ORYLA19846, ORYLA10342, ORYLA10343
OG0001789	CAPO303597	ORYLA02324, ORYLA04307
OG0001792	CAPO302146	ORYLA13176
OG0001793	CAPO302934	ORYLA05421, ORYLA01681
OG0001794	CAPO305037	ORYLA15320, ORYLA11150
OG0001797	CAPO305230	ORYLA01495
OG0001799	CAPO307439	ORYLA03255, ORYLA17548, ORYLA02347
OG0001800	CAPO302099, CAPO301494	ORYLA14219, ORYLA15432, ORYLA14232, ORYLA15366, ORYLA10948
OG0001801	CAPO301631	ORYLA18818, ORYLA12359, ORYLA14693, ORYLA10921, ORYLA15401
OG0001801	CAPO300406, CAPO302328, CAPO300564	ORYLA16232
OG0001804	CAPO307706	ORYLA07449, ORYLA06834, ORYLA04356, ORYLA04357, ORYLA17967, ORYLA02762
OG0001805	CAPO301307	ORYLA10965, ORYLA12084
OG0001807	CAPO305640	ORYLA05933, ORYLA16459
OG0001808	CAPO300354	ORYLA17292, ORYLA13236
OG0001809	CAPO307543	ORYLA02735, ORYLA13184, ORYLA10311, ORYLA13183
OG0001811	CAPO304043	ORYLA09836, ORYLA16199, ORYLA14362, ORYLA14363
OG0001814	CAPO305508	ORYLA05930, ORYLA16454, ORYLA06026
OG0001816	CAPO300431	ORYLA13139, ORYLA07019, ORYLA02394
OG0001818	CAPO302088	ORYLA11838, ORYLA11837, ORYLA11436
OG0001819	CAPO307172	ORYLA05649, ORYLA09809
OG0001820	CAPO300515	ORYLA15137, ORYLA00455, ORYLA05274
OG0001822	CAPO301119	ORYLA18184, ORYLA11193, ORYLA19993, ORYLA19992
OG0001825	CAPO306238	ORYLA02212, ORYLA05146
OG0001827	CAPO303060	ORYLA02464
OG0001828	CAPO305081	ORYLA06034
OG0001830	CAPO300316	ORYLA07064, ORYLA11486, ORYLA10821
OG0001831	CAPO306824	ORYLA08008, ORYLA00245, ORYLA16802
OG0001832	CAPO300612	ORYLA14636
OG0001834	CAPO301512	ORYLA08750, ORYLA09292
OG0001846	CAPO307118	ORYLA07124
OG0001849	CAPO303014	ORYLA14379, ORYLA16183
OG0001850	CAPO301689	ORYLA10331, ORYLA11301
OG0001851	CAPO303828	ORYLA01760
OG0001852	CAPO303604	ORYLA20006, ORYLA18631, ORYLA13708
OG0001857	CAPO306766	ORYLA11526, ORYLA08540, ORYLA06439
OG0001859	CAPO304942	ORYLA06640, ORYLA10626
OG0001860	CAPO306960	ORYLA19940, ORYLA17170
OG0001861	CAPO306489	ORYLA11459
OG0001864	CAPO300448	ORYLA07070, ORYLA16075, ORYLA16207
OG0001866	CAPO306683	ORYLA04054
OG0001867	CAPO302026	ORYLA16710, ORYLA07816
OG0001870	CAPO303422	ORYLA05456, ORYLA10638, ORYLA01844, ORYLA00025
OG0001871	CAPO300664	ORYLA03159, ORYLA01450
OG0001873	CAPO305494	ORYLA10266
OG0001875	CAPO303129	ORYLA06827
OG0001875	CAPO300770	ORYLA10648
OG0001877	CAPO305419	ORYLA10467, ORYLA19662, ORYLA05195, ORYLA11760
OG0001878	CAPO300594	ORYLA03187, ORYLA04029, ORYLA00382
OG0001879	CAPO302675	ORYLA17628
OG0001879	CAPO304068	ORYLA07746, ORYLA16998
OG0001882	CAPO302587	ORYLA16431, ORYLA07846, ORYLA12733
OG0001883	CAPO304395	ORYLA00606, ORYLA17009, ORYLA00236, ORYLA16790
OG0001886	CAPO301013	ORYLA02452, ORYLA13546
OG0001888	CAPO307373	ORYLA00275, ORYLA17072, ORYLA19725
OG0001894	CAPO300859, CAPO305070, CAPO302912, CAPO302464, CAPO305462	ORYLA00188, ORYLA04952
OG0001895	CAPO300178	ORYLA06292
OG0001898	CAPO303887	ORYLA11342, ORYLA19570, ORYLA10133, ORYLA10134
OG0001900	CAPO306468, CAPO308362	ORYLA03382
OG0001901	CAPO302174	ORYLA19871, ORYLA00531, ORYLA04049, ORYLA03177
OG0001903	CAPO301651	ORYLA12493
OG0001913	CAPO308270	ORYLA14825
OG0001914	CAPO308187	ORYLA18385
OG0001915	CAPO305922	ORYLA08820
OG0001916	CAPO304398	ORYLA10085, ORYLA03497
OG0001917	CAPO303937	ORYLA13447, ORYLA06635, ORYLA00851, ORYLA19219, ORYLA13173, ORYLA17082
OG0001919	CAPO300799	ORYLA04980
OG0001923	CAPO300364	ORYLA13256, ORYLA18261, ORYLA00273, ORYLA07157
OG0001926	CAPO308203	ORYLA13070
OG0001927	CAPO303832	ORYLA04175, ORYLA08938, ORYLA04824, ORYLA19922
OG0001928	CAPO303627	ORYLA11732
OG0001930	CAPO301567	ORYLA15114, ORYLA19965, ORYLA14923, ORYLA07161
OG0001932	CAPO304653	ORYLA09167, ORYLA10217, ORYLA19475
OG0001935	CAPO301339	ORYLA18787, ORYLA00761
OG0001937	CAPO301986	ORYLA09440
OG0001939	CAPO304703	ORYLA10784
OG0001940	CAPO307447	ORYLA01114
OG0001941	CAPO303660	ORYLA08692, ORYLA05645
OG0001943	CAPO304272	ORYLA09186, ORYLA14459
OG0001945	CAPO302125, CAPO302413	ORYLA09525, ORYLA11810, ORYLA09524
OG0001947	CAPO306182	ORYLA20143, ORYLA13857, ORYLA14712, ORYLA14713
OG0001948	CAPO307548	ORYLA03377, ORYLA11403, ORYLA10520, ORYLA05243, ORYLA04203
OG0001949	CAPO303945	ORYLA02641, ORYLA17603, ORYLA03695
OG0001951	CAPO305792	ORYLA15974, ORYLA14012, ORYLA08588
OG0001953	CAPO306993	ORYLA16638, ORYLA08260, ORYLA00787, ORYLA16264
OG0001956	CAPO302405	ORYLA02986
OG0001957	CAPO307027	ORYLA03697, ORYLA17589
OG0001961	CAPO301591	ORYLA10825, ORYLA14593, ORYLA14427
OG0001963	CAPO304559	ORYLA19628, ORYLA14894, ORYLA07353
OG0001964	CAPO306144	ORYLA09717, ORYLA09716, ORYLA12261
OG0001965	CAPO305377	ORYLA00729
OG0001966	CAPO308069	ORYLA13409
OG0001968	CAPO303436	ORYLA20184
OG0001969	CAPO301897	ORYLA02957, ORYLA10224, ORYLA13366
OG0001972	CAPO302726	ORYLA07140, ORYLA18968
OG0001985	CAPO307425	ORYLA02342, ORYLA17543, ORYLA03606
OG0001988	CAPO301454	ORYLA20366
OG0001989	CAPO303699	ORYLA11129, ORYLA15989
OG0001992	CAPO301694	ORYLA04809, ORYLA10449
OG0001994	CAPO307422	ORYLA17268, ORYLA04304
OG0001997	CAPO301018, CAPO301017	ORYLA10577, ORYLA10575
OG0001998	CAPO304168	ORYLA01177, ORYLA08025, ORYLA08027, ORYLA08026
OG0001999	CAPO303159	ORYLA19767, ORYLA12343
OG0002000	CAPO305912	ORYLA13307, ORYLA17309
OG0002001	CAPO301730, CAPO305766	ORYLA15567, ORYLA13940
OG0002003	CAPO306645	ORYLA05173, ORYLA03010, ORYLA10761
OG0002004	CAPO305661, CAPO300359	ORYLA05741, ORYLA18758
OG0002006	CAPO302881	ORYLA16456, ORYLA05932
OG0002007	CAPO301764	ORYLA07330, ORYLA04774, ORYLA08154
OG0002009	CAPO305521	ORYLA03522
OG0002009	CAPO304107	ORYLA03493
OG0002010	CAPO303286	ORYLA19546, ORYLA00286, ORYLA16794, ORYLA00240
OG0002011	CAPO305222	ORYLA14252, ORYLA08974
OG0002014	CAPO305309	ORYLA14168, ORYLA14071
OG0002015	CAPO304377	ORYLA16338
OG0002016	CAPO300736, CAPO303360	ORYLA18158, ORYLA02797, ORYLA01204
OG0002019	CAPO303943, CAPO301189	ORYLA06431, ORYLA10287, ORYLA16491, ORYLA09797
OG0002020	CAPO301809, CAPO306607	ORYLA04953, ORYLA00190
OG0002024	CAPO300776	ORYLA13451, ORYLA02868
OG0002025	CAPO301502	ORYLA00541, ORYLA16916
OG0002026	CAPO307889, CAPO306582	ORYLA01226, ORYLA01227, ORYLA08399
OG0002027	CAPO307021	ORYLA03151, ORYLA10207
OG0002029	CAPO303181	ORYLA08789, ORYLA09405
OG0002030	CAPO303987	ORYLA13238, ORYLA16563, ORYLA13082, ORYLA02733, ORYLA17296
OG0002031	CAPO300135	ORYLA16339, ORYLA05708
OG0002032	CAPO304689	ORYLA03665
OG0002034	CAPO306318	ORYLA12642, ORYLA07571, ORYLA05480
OG0002042	CAPO300525	ORYLA12509, ORYLA12508
OG0002043	CAPO306649	ORYLA01939, ORYLA09238
OG0002061	CAPO307339	ORYLA02790
OG0002062	CAPO301382	ORYLA14663, ORYLA12126, ORYLA13654
OG0002063	CAPO302417	ORYLA17285
OG0002066	CAPO300576	ORYLA18373, ORYLA11678, ORYLA01862, ORYLA06515
OG0002067	CAPO302721	ORYLA16258
OG0002068	CAPO303650	ORYLA10239, ORYLA11836
OG0002069	CAPO306402	ORYLA14291, ORYLA20009
OG0002073	CAPO302333	ORYLA10798
OG0002076	CAPO303117	ORYLA18898, ORYLA01759, ORYLA06069
OG0002078	CAPO302217	ORYLA16744, ORYLA00157, ORYLA07778
OG0002079	CAPO301402	ORYLA19074
OG0002080	CAPO307474, CAPO307552	ORYLA17616, ORYLA04310
OG0002081	CAPO300584	ORYLA09511
OG0002084	CAPO300150	ORYLA08353, ORYLA04731, ORYLA07268
OG0002087	CAPO306536	ORYLA19239
OG0002093	CAPO304254	ORYLA15674
OG0002094	CAPO303399	ORYLA13770
OG0002097	CAPO302111	ORYLA06823, ORYLA04159, ORYLA09040
OG0002099	CAPO306675	ORYLA15411
OG0002103	CAPO305235	ORYLA01062
OG0002106	CAPO300071	ORYLA12790
OG0002108	CAPO303834	ORYLA04701
OG0002122	CAPO300191	ORYLA01348, ORYLA13521
OG0002124	CAPO300980	ORYLA00223
OG0002129	CAPO305068	ORYLA03138, ORYLA04298, ORYLA00458, ORYLA07250
OG0002131	CAPO302159	ORYLA19717, ORYLA19718, ORYLA02406
OG0002135	CAPO300616, CAPO300802	ORYLA05991, ORYLA09373, ORYLA11870
OG0002136	CAPO300292	ORYLA01501, ORYLA00428, ORYLA07856
OG0002137	CAPO306593	ORYLA10913, ORYLA03326
OG0002138	CAPO304101	ORYLA11124
OG0002140	CAPO300489	ORYLA11736, ORYLA09094
OG0002141	CAPO300491	ORYLA09502, ORYLA00345
OG0002144	CAPO308205	ORYLA07925, ORYLA17412
OG0002145	CAPO305963	ORYLA15097
OG0002146	CAPO303694	ORYLA11113, ORYLA15028, ORYLA15530
OG0002147	CAPO307247	ORYLA06496
OG0002148	CAPO301311	ORYLA11951, ORYLA08140, ORYLA08139
OG0002150	CAPO305991	ORYLA15117
OG0002151	CAPO300513	ORYLA00735, ORYLA16673
OG0002152	CAPO306241	ORYLA15095
OG0002152	CAPO305214	ORYLA11044
OG0002156	CAPO307789	ORYLA00171
OG0002158	CAPO300426	ORYLA08985
OG0002159	CAPO301618	ORYLA18204
OG0002160	CAPO306354	ORYLA15473
OG0002165	CAPO306860	ORYLA01091
OG0002166	CAPO300536	ORYLA02664, ORYLA17823, ORYLA04541
OG0002168	CAPO305846	ORYLA02174, ORYLA13630
OG0002169	CAPO305188, CAPO305186	ORYLA08351, ORYLA08352
OG0002170	CAPO306065	ORYLA05827
OG0002171	CAPO300657	ORYLA14148, ORYLA15889
OG0002172	CAPO300117	ORYLA12014, ORYLA11160, ORYLA08997
OG0002173	CAPO300163	ORYLA02263, ORYLA12622, ORYLA01813
OG0002177	CAPO303715	ORYLA11512, ORYLA11656
OG0002178	CAPO300762	ORYLA16731
OG0002179	CAPO301344	ORYLA10677
OG0002182	CAPO300304	ORYLA20335, ORYLA13962
OG0002184	CAPO302808	ORYLA02413, ORYLA16807, ORYLA00706
OG0002185	CAPO306894	ORYLA15148, ORYLA15149
OG0002187	CAPO303260	ORYLA17747
OG0002188	CAPO307308	ORYLA12233
OG0002189	CAPO302919, CAPO302901	ORYLA06568
OG0002190	CAPO305794	ORYLA03440, ORYLA04537, ORYLA05925
OG0002191	CAPO306349	ORYLA09161, ORYLA06711, ORYLA16118, ORYLA09833
OG0002193	CAPO307827, CAPO303661	ORYLA13372
OG0002194	CAPO306073	ORYLA14319, ORYLA14318, ORYLA03592
OG0002199	CAPO306236, CAPO308165	ORYLA15000
OG0002201	CAPO305256	ORYLA20288, ORYLA02025
OG0002216	CAPO308083	ORYLA11063
OG0002217	CAPO303403	ORYLA11354
OG0002219	CAPO301953	ORYLA14264, ORYLA14265
OG0002222	CAPO300961	ORYLA07432, ORYLA12895
OG0002224	CAPO304952	ORYLA18115, ORYLA02313
OG0002225	CAPO301769	ORYLA01041
OG0002226	CAPO307804	ORYLA00869, ORYLA16615
OG0002227	CAPO307820, CAPO307799	ORYLA09258
OG0002228	CAPO301630, CAPO300068	ORYLA16905, ORYLA00066, ORYLA05787
OG0002229	CAPO308040	ORYLA02659
OG0002235	CAPO303035	ORYLA07393
OG0002237	CAPO306506	ORYLA02112, ORYLA01047, ORYLA11525
OG0002239	CAPO303809	ORYLA05769
OG0002239	CAPO301966	ORYLA12675, ORYLA17306
OG0002240	CAPO306707	ORYLA13133
OG0002241	CAPO303979	ORYLA02657, ORYLA01650
OG0002243	CAPO301335, CAPO300484	ORYLA01202, ORYLA17744
OG0002244	CAPO303840	ORYLA04246
OG0002245	CAPO302737	ORYLA07891, ORYLA16401
OG0002246	CAPO301929	ORYLA12403, ORYLA06117
OG0002251	CAPO302943	ORYLA18650
OG0002251	CAPO302537	ORYLA17336, ORYLA17759, ORYLA02672, ORYLA18948
OG0002252	CAPO304306	ORYLA00130, ORYLA16893, ORYLA16926
OG0002255	CAPO301475, CAPO302337	ORYLA19958, ORYLA19959, ORYLA08968
OG0002257	CAPO303721	ORYLA10400
OG0002258	CAPO302229	ORYLA08480, ORYLA19891, ORYLA19894
OG0002261	CAPO303559	ORYLA00563, ORYLA17198, ORYLA00564
OG0002263	CAPO304694	ORYLA04195, ORYLA09178
OG0002264	CAPO304810	ORYLA00976, ORYLA05961
OG0002266	CAPO307392	ORYLA19304, ORYLA07982
OG0002270	CAPO302042	ORYLA09476, ORYLA15715, ORYLA10941
OG0002272	CAPO301905	ORYLA14290
OG0002279	CAPO304874	ORYLA09917, ORYLA10298
OG0002282	CAPO300014	ORYLA00051, ORYLA01468
OG0002284	CAPO304167	ORYLA18851, ORYLA13455
OG0002285	CAPO305012	ORYLA02308, ORYLA04643
OG0002287	CAPO306430	ORYLA15952, ORYLA14283, ORYLA12928, ORYLA12669, ORYLA14547
OG0002288	CAPO306855	ORYLA01492, ORYLA03879
OG0002292	CAPO301471	ORYLA14591
OG0002293	CAPO302207	ORYLA11328, ORYLA10072, ORYLA18515, ORYLA02245, ORYLA11327
OG0002294	CAPO300522	ORYLA17434, ORYLA13472, ORYLA06668
OG0002296	CAPO307746	ORYLA04644
OG0002297	CAPO307845	ORYLA13569
OG0002312	CAPO305339	ORYLA03960
OG0002316	CAPO302192	ORYLA18514, ORYLA10565, ORYLA18191
OG0002317	CAPO301129	ORYLA10101, ORYLA03376, ORYLA07663
OG0002318	CAPO302292	ORYLA16808
OG0002321	CAPO300390	ORYLA00417
OG0002322	CAPO300979	ORYLA16542, ORYLA18820, ORYLA00069
OG0002323	CAPO308299	ORYLA18222, ORYLA18223, ORYLA04235
OG0002324	CAPO301866	ORYLA02003
