Orthogroup	ORYLA	CAPO3
OG0001425	ORYLA11812, ORYLA14660, ORYLA02799, ORYLA17328	CAPO302275, CAPO302850
OG0001426	ORYLA13127, ORYLA13128, ORYLA16142, ORYLA14438, ORYLA07443	CAPO302841
OG0001427	ORYLA20270, ORYLA07026, ORYLA11867	CAPO302723
OG0001428	ORYLA15651, ORYLA13762, ORYLA18311, ORYLA05873, ORYLA01893	CAPO303027
OG0001430	ORYLA11790, ORYLA01079, ORYLA10149, ORYLA03115, ORYLA03625	CAPO300562
OG0001431	ORYLA06418, ORYLA16444, ORYLA17811, ORYLA08082	CAPO308230
OG0001437	ORYLA09273, ORYLA06548, ORYLA09274	CAPO304955
OG0001440	ORYLA06607, ORYLA09297	CAPO305450
OG0001445	ORYLA18556, ORYLA03367, ORYLA03366	CAPO301958
OG0001446	ORYLA03689	CAPO304614
OG0001447	ORYLA10401, ORYLA03364, ORYLA11793, ORYLA01063	CAPO307093
OG0001449	ORYLA11305	CAPO306822
OG0001451	ORYLA17593, ORYLA14632	CAPO300036
OG0001452	ORYLA17672, ORYLA12044, ORYLA18698	CAPO301933
OG0001454	ORYLA03869, ORYLA10714, ORYLA03870	CAPO303806
OG0001456	ORYLA10215	CAPO307965
OG0001459	ORYLA16343	CAPO307035
OG0001460	ORYLA02314	CAPO300988
OG0001460	ORYLA08107, ORYLA05005	CAPO305875
OG0001461	ORYLA19866	CAPO307458, CAPO305472
OG0001463	ORYLA12639, ORYLA12308	CAPO304054
OG0001466	ORYLA11704, ORYLA01209	CAPO305831
OG0001467	ORYLA18147, ORYLA03144	CAPO304882
OG0001468	ORYLA08601, ORYLA08600, ORYLA09151, ORYLA06717, ORYLA09660, ORYLA16189, ORYLA16188	CAPO306475
OG0001469	ORYLA17794	CAPO306371
OG0001469	ORYLA05419	CAPO301724
OG0001470	ORYLA03759	CAPO305163
OG0001472	ORYLA05712	CAPO300986
OG0001472	ORYLA15948	CAPO305311
OG0001473	ORYLA00647, ORYLA16961, ORYLA16960	CAPO304310
OG0001474	ORYLA07769	CAPO306191
OG0001475	ORYLA13842, ORYLA15634	CAPO305552
OG0001476	ORYLA10593, ORYLA03172, ORYLA04062	CAPO305062
OG0001478	ORYLA11904	CAPO303095
OG0001478	ORYLA07755	CAPO304965
OG0001479	ORYLA13290, ORYLA16589, ORYLA18144, ORYLA02932	CAPO306515
OG0001482	ORYLA07921, ORYLA16884, ORYLA02763, ORYLA17970, ORYLA04390	CAPO307610
OG0001484	ORYLA18741, ORYLA15816, ORYLA13829, ORYLA13710	CAPO301411
OG0001485	ORYLA12718, ORYLA14982, ORYLA17705, ORYLA02318	CAPO301954
OG0001486	ORYLA13675, ORYLA11156, ORYLA15307, ORYLA16351, ORYLA12057	CAPO302441
OG0001490	ORYLA00195, ORYLA04616, ORYLA07533, ORYLA10697, ORYLA03495	CAPO305433
OG0001492	ORYLA16834, ORYLA17613	CAPO305155
OG0001495	ORYLA20241	CAPO302008
OG0001496	ORYLA01505	CAPO301356
OG0001500	ORYLA07552, ORYLA09604	CAPO300054
OG0001501	ORYLA10661, ORYLA10605	CAPO305474
OG0001503	ORYLA13177	CAPO305666
OG0001503	ORYLA17046, ORYLA17047	CAPO307598
OG0001504	ORYLA15456	CAPO307661
OG0001505	ORYLA10202, ORYLA08833, ORYLA07422	CAPO301009
OG0001506	ORYLA07141, ORYLA16222	CAPO300953
OG0001507	ORYLA10103, ORYLA04138	CAPO304204
OG0001511	ORYLA03620, ORYLA06342, ORYLA07444	CAPO306127, CAPO305043
OG0001512	ORYLA02917, ORYLA02918, ORYLA17795, ORYLA13561, ORYLA13562	CAPO301118
OG0001516	ORYLA18645, ORYLA18644	CAPO300345
OG0001517	ORYLA17447, ORYLA08991, ORYLA13528, ORYLA13529	CAPO303690
OG0001519	ORYLA13560, ORYLA07350, ORYLA00409, ORYLA18213	CAPO306949
OG0001522	ORYLA11664, ORYLA10662	CAPO303667
OG0001524	ORYLA00012, ORYLA05046	CAPO300996
OG0001524	ORYLA12443	CAPO308304
OG0001525	ORYLA17631	CAPO303907
OG0001526	ORYLA17247, ORYLA02495, ORYLA16611	CAPO305679
OG0001527	ORYLA02867	CAPO300128
OG0001527	ORYLA20388, ORYLA20389	CAPO307636
OG0001529	ORYLA13719, ORYLA14481	CAPO300593
OG0001530	ORYLA05079, ORYLA18041	CAPO302602
OG0001532	ORYLA16027, ORYLA07446, ORYLA06821, ORYLA18344	CAPO300282
OG0001533	ORYLA09911, ORYLA08628, ORYLA09442	CAPO306032
OG0001534	ORYLA16942, ORYLA16536, ORYLA07761, ORYLA07727, ORYLA07726	CAPO304425
OG0001545	ORYLA02532, ORYLA14957, ORYLA05722	CAPO300895
OG0001551	ORYLA10506, ORYLA10505	CAPO306604
OG0001553	ORYLA17357, ORYLA02293, ORYLA08070, ORYLA04977, ORYLA03887	CAPO308172
OG0001554	ORYLA04069, ORYLA07551	CAPO302370
OG0001557	ORYLA14586	CAPO304176
OG0001558	ORYLA02757, ORYLA18032, ORYLA19384	CAPO301132
OG0001559	ORYLA05417, ORYLA10089, ORYLA11639, ORYLA04343	CAPO301785
OG0001561	ORYLA15919, ORYLA15392, ORYLA13862, ORYLA10938	CAPO301999
OG0001564	ORYLA13495, ORYLA03594, ORYLA01019	CAPO301061
OG0001567	ORYLA13058, ORYLA06494	CAPO300948
OG0001568	ORYLA17084	CAPO301468
OG0001572	ORYLA04283	CAPO304756
OG0001572	ORYLA15272	CAPO304137
OG0001573	ORYLA20104, ORYLA02801	CAPO305125, CAPO303819
OG0001576	ORYLA02374, ORYLA12205	CAPO306270
OG0001578	ORYLA17727, ORYLA00011	CAPO300715
OG0001580	ORYLA15950, ORYLA14282, ORYLA15951, ORYLA12668	CAPO307900
OG0001581	ORYLA10772	CAPO306056
OG0001582	ORYLA02289, ORYLA04090, ORYLA03534, ORYLA17772	CAPO307073
OG0001583	ORYLA20413, ORYLA00738, ORYLA05062	CAPO306289
OG0001584	ORYLA09638, ORYLA13120	CAPO301068
OG0001589	ORYLA16530	CAPO303301, CAPO304004
OG0001590	ORYLA12337	CAPO302386
OG0001593	ORYLA19874, ORYLA00447, ORYLA12153, ORYLA12152, ORYLA19629, ORYLA01620	CAPO305942
OG0001594	ORYLA04061	CAPO304243
OG0001597	ORYLA18712	CAPO302703
OG0001599	ORYLA16526, ORYLA16525, ORYLA16314	CAPO300887
OG0001600	ORYLA01865, ORYLA01864, ORYLA10572, ORYLA11507, ORYLA06480	CAPO305994
OG0001603	ORYLA02090, ORYLA05894	CAPO306228
OG0001604	ORYLA03242	CAPO303898
OG0001605	ORYLA07546, ORYLA06239, ORYLA15168, ORYLA19098	CAPO307473
OG0001609	ORYLA09645	CAPO304683
OG0001609	ORYLA14062	CAPO302057
OG0001610	ORYLA10612, ORYLA15888, ORYLA05347, ORYLA01728	CAPO301483
OG0001611	ORYLA11820, ORYLA10639, ORYLA00086, ORYLA05012, ORYLA03043	CAPO305038
OG0001612	ORYLA09961, ORYLA05310	CAPO302202
OG0001614	ORYLA06852	CAPO303895
OG0001614	ORYLA00725	CAPO307630
OG0001615	ORYLA15214, ORYLA11232	CAPO300749
OG0001617	ORYLA14328, ORYLA14245, ORYLA15099, ORYLA19860	CAPO302798
OG0001621	ORYLA16707, ORYLA16984, ORYLA07730	CAPO302875
OG0001622	ORYLA04887, ORYLA04886, ORYLA17634	CAPO302121
OG0001634	ORYLA02609	CAPO305688
OG0001634	ORYLA12522, ORYLA03396	CAPO305614
OG0001638	ORYLA04382, ORYLA04383, ORYLA04380, ORYLA04381	CAPO303528
OG0001641	ORYLA16417, ORYLA16416, ORYLA07882, ORYLA08892, ORYLA06223	CAPO303281
OG0001643	ORYLA06241, ORYLA03825, ORYLA03280	CAPO306838
OG0001644	ORYLA05371, ORYLA10384	CAPO303665
OG0001652	ORYLA10454	CAPO302838
OG0001653	ORYLA17508, ORYLA02619	CAPO305118
OG0001655	ORYLA07526, ORYLA08529, ORYLA07560	CAPO302812
OG0001657	ORYLA02690, ORYLA17570, ORYLA07401, ORYLA00511	CAPO304165, CAPO303952
OG0001660	ORYLA01347, ORYLA07223, ORYLA00950, ORYLA07222	CAPO305930
OG0001661	ORYLA09181	CAPO302789
OG0001661	ORYLA09179	CAPO304920
OG0001663	ORYLA16035	CAPO301057
OG0001664	ORYLA13462, ORYLA17083, ORYLA02772	CAPO303152
OG0001665	ORYLA17183, ORYLA00789	CAPO302331
OG0001672	ORYLA09041, ORYLA09875, ORYLA08234, ORYLA01794	CAPO301880
OG0001673	ORYLA07540, ORYLA10157, ORYLA03406, ORYLA10600, ORYLA11975	CAPO305520
OG0001674	ORYLA14951, ORYLA12587, ORYLA02498	CAPO301357
OG0001675	ORYLA05453, ORYLA11313, ORYLA08776	CAPO307574
OG0001676	ORYLA18322	CAPO300524
OG0001676	ORYLA12813, ORYLA12814, ORYLA06876	CAPO305992
OG0001677	ORYLA17546	CAPO307978
OG0001684	ORYLA06104, ORYLA13071	CAPO300563
OG0001685	ORYLA01166, ORYLA00356	CAPO307707
OG0001686	ORYLA17568, ORYLA04444, ORYLA02411, ORYLA00739	CAPO307138
OG0001687	ORYLA04791, ORYLA04792	CAPO302907
OG0001688	ORYLA00323, ORYLA07463, ORYLA03207	CAPO300133
OG0001690	ORYLA06791	CAPO304820
OG0001691	ORYLA08257, ORYLA17862	CAPO307420
OG0001699	ORYLA17210, ORYLA08884	CAPO306472, CAPO300057
OG0001704	ORYLA20149, ORYLA20150	CAPO304434
OG0001706	ORYLA07656, ORYLA04248, ORYLA19896	CAPO301033
OG0001707	ORYLA07066, ORYLA11811	CAPO303836
OG0001708	ORYLA09131, ORYLA09132, ORYLA01086	CAPO303804
OG0001709	ORYLA13292, ORYLA03908	CAPO304969
OG0001711	ORYLA07542, ORYLA05249, ORYLA10094	CAPO301872
OG0001713	ORYLA03803	CAPO308041
OG0001713	ORYLA15056	CAPO302278
OG0001714	ORYLA16824	CAPO306669
OG0001714	ORYLA04974, ORYLA00085	CAPO300188
OG0001718	ORYLA11821, ORYLA10066, ORYLA10678	CAPO301559, CAPO301838
OG0001720	ORYLA03696, ORYLA01111, ORYLA17602	CAPO303957
OG0001721	ORYLA10588, ORYLA10236	CAPO302302
OG0001723	ORYLA00996, ORYLA03930, ORYLA13525	CAPO308089
OG0001724	ORYLA11809, ORYLA10380	CAPO306474
OG0001727	ORYLA03405, ORYLA10153, ORYLA05228	CAPO301729
OG0001730	ORYLA13643, ORYLA07155, ORYLA12919	CAPO303469
OG0001732	ORYLA09571	CAPO304710
OG0001733	ORYLA07298, ORYLA10783	CAPO306615
OG0001734	ORYLA14862, ORYLA14864, ORYLA14863	CAPO306594
OG0001735	ORYLA06604, ORYLA09864, ORYLA16438, ORYLA07851	CAPO301389
OG0001738	ORYLA07956, ORYLA17190, ORYLA20286, ORYLA15090	CAPO301655
OG0001739	ORYLA10963, ORYLA18962	CAPO304154
OG0001743	ORYLA02460, ORYLA18019	CAPO306128
OG0001746	ORYLA19988, ORYLA14699	CAPO306662
OG0001750	ORYLA06217, ORYLA08897, ORYLA15569, ORYLA13931, ORYLA08409, ORYLA19595	CAPO304954
OG0001755	ORYLA15127	CAPO300413
OG0001756	ORYLA00755	CAPO301153
OG0001756	ORYLA17359	CAPO306605
OG0001769	ORYLA08055	CAPO300754
OG0001769	ORYLA10120	CAPO306748
OG0001770	ORYLA18486, ORYLA09431, ORYLA04288, ORYLA20466	CAPO304551
OG0001772	ORYLA10773	CAPO303731
OG0001774	ORYLA14081, ORYLA16202, ORYLA15721	CAPO302411
OG0001775	ORYLA13002, ORYLA06854	CAPO300385, CAPO303998
OG0001778	ORYLA07489, ORYLA06734	CAPO303585
OG0001781	ORYLA08227	CAPO304059
OG0001781	ORYLA06078	CAPO306335
OG0001782	ORYLA18054	CAPO302329
OG0001783	ORYLA07986, ORYLA00232	CAPO302497
OG0001787	ORYLA19846, ORYLA10342, ORYLA10343	CAPO302384
OG0001789	ORYLA02324, ORYLA04307	CAPO303597
OG0001792	ORYLA13176	CAPO302146
OG0001793	ORYLA05421, ORYLA01681	CAPO302934
OG0001794	ORYLA15320, ORYLA11150	CAPO305037
OG0001797	ORYLA01495	CAPO305230
OG0001799	ORYLA03255, ORYLA17548, ORYLA02347	CAPO307439
OG0001800	ORYLA14219, ORYLA15432, ORYLA14232, ORYLA15366, ORYLA10948	CAPO302099, CAPO301494
OG0001801	ORYLA18818, ORYLA12359, ORYLA14693, ORYLA10921, ORYLA15401	CAPO301631
OG0001801	ORYLA16232	CAPO300406, CAPO302328, CAPO300564
OG0001804	ORYLA07449, ORYLA06834, ORYLA04356, ORYLA04357, ORYLA17967, ORYLA02762	CAPO307706
OG0001805	ORYLA10965, ORYLA12084	CAPO301307
OG0001807	ORYLA05933, ORYLA16459	CAPO305640
OG0001808	ORYLA17292, ORYLA13236	CAPO300354
OG0001809	ORYLA02735, ORYLA13184, ORYLA10311, ORYLA13183	CAPO307543
OG0001811	ORYLA09836, ORYLA16199, ORYLA14362, ORYLA14363	CAPO304043
OG0001814	ORYLA05930, ORYLA16454, ORYLA06026	CAPO305508
OG0001816	ORYLA13139, ORYLA07019, ORYLA02394	CAPO300431
OG0001818	ORYLA11838, ORYLA11837, ORYLA11436	CAPO302088
OG0001819	ORYLA05649, ORYLA09809	CAPO307172
OG0001820	ORYLA15137, ORYLA00455, ORYLA05274	CAPO300515
OG0001822	ORYLA18184, ORYLA11193, ORYLA19993, ORYLA19992	CAPO301119
OG0001825	ORYLA02212, ORYLA05146	CAPO306238
OG0001827	ORYLA02464	CAPO303060
OG0001828	ORYLA06034	CAPO305081
OG0001830	ORYLA07064, ORYLA11486, ORYLA10821	CAPO300316
OG0001831	ORYLA08008, ORYLA00245, ORYLA16802	CAPO306824
OG0001832	ORYLA14636	CAPO300612
OG0001834	ORYLA08750, ORYLA09292	CAPO301512
OG0001846	ORYLA07124	CAPO307118
OG0001849	ORYLA14379, ORYLA16183	CAPO303014
OG0001850	ORYLA10331, ORYLA11301	CAPO301689
OG0001851	ORYLA01760	CAPO303828
OG0001852	ORYLA20006, ORYLA18631, ORYLA13708	CAPO303604
OG0001857	ORYLA11526, ORYLA08540, ORYLA06439	CAPO306766
OG0001859	ORYLA06640, ORYLA10626	CAPO304942
OG0001860	ORYLA19940, ORYLA17170	CAPO306960
OG0001861	ORYLA11459	CAPO306489
OG0001864	ORYLA07070, ORYLA16075, ORYLA16207	CAPO300448
OG0001866	ORYLA04054	CAPO306683
OG0001867	ORYLA16710, ORYLA07816	CAPO302026
OG0001870	ORYLA05456, ORYLA10638, ORYLA01844, ORYLA00025	CAPO303422
OG0001871	ORYLA03159, ORYLA01450	CAPO300664
OG0001873	ORYLA10266	CAPO305494
OG0001875	ORYLA06827	CAPO303129
OG0001875	ORYLA10648	CAPO300770
OG0001877	ORYLA10467, ORYLA19662, ORYLA05195, ORYLA11760	CAPO305419
OG0001878	ORYLA03187, ORYLA04029, ORYLA00382	CAPO300594
OG0001879	ORYLA17628	CAPO302675
OG0001879	ORYLA07746, ORYLA16998	CAPO304068
OG0001882	ORYLA16431, ORYLA07846, ORYLA12733	CAPO302587
OG0001883	ORYLA00606, ORYLA17009, ORYLA00236, ORYLA16790	CAPO304395
OG0001886	ORYLA02452, ORYLA13546	CAPO301013
OG0001888	ORYLA00275, ORYLA17072, ORYLA19725	CAPO307373
OG0001894	ORYLA00188, ORYLA04952	CAPO300859, CAPO305070, CAPO302912, CAPO302464, CAPO305462
OG0001895	ORYLA06292	CAPO300178
OG0001898	ORYLA11342, ORYLA19570, ORYLA10133, ORYLA10134	CAPO303887
OG0001900	ORYLA03382	CAPO306468, CAPO308362
OG0001901	ORYLA19871, ORYLA00531, ORYLA04049, ORYLA03177	CAPO302174
OG0001903	ORYLA12493	CAPO301651
OG0001913	ORYLA14825	CAPO308270
OG0001914	ORYLA18385	CAPO308187
OG0001915	ORYLA08820	CAPO305922
OG0001916	ORYLA10085, ORYLA03497	CAPO304398
OG0001917	ORYLA13447, ORYLA06635, ORYLA00851, ORYLA19219, ORYLA13173, ORYLA17082	CAPO303937
OG0001919	ORYLA04980	CAPO300799
OG0001923	ORYLA13256, ORYLA18261, ORYLA00273, ORYLA07157	CAPO300364
OG0001926	ORYLA13070	CAPO308203
OG0001927	ORYLA04175, ORYLA08938, ORYLA04824, ORYLA19922	CAPO303832
OG0001928	ORYLA11732	CAPO303627
OG0001930	ORYLA15114, ORYLA19965, ORYLA14923, ORYLA07161	CAPO301567
OG0001932	ORYLA09167, ORYLA10217, ORYLA19475	CAPO304653
OG0001935	ORYLA18787, ORYLA00761	CAPO301339
OG0001937	ORYLA09440	CAPO301986
OG0001939	ORYLA10784	CAPO304703
OG0001940	ORYLA01114	CAPO307447
OG0001941	ORYLA08692, ORYLA05645	CAPO303660
OG0001943	ORYLA09186, ORYLA14459	CAPO304272
OG0001945	ORYLA09525, ORYLA11810, ORYLA09524	CAPO302125, CAPO302413
OG0001947	ORYLA20143, ORYLA13857, ORYLA14712, ORYLA14713	CAPO306182
OG0001948	ORYLA03377, ORYLA11403, ORYLA10520, ORYLA05243, ORYLA04203	CAPO307548
OG0001949	ORYLA02641, ORYLA17603, ORYLA03695	CAPO303945
OG0001951	ORYLA15974, ORYLA14012, ORYLA08588	CAPO305792
OG0001953	ORYLA16638, ORYLA08260, ORYLA00787, ORYLA16264	CAPO306993
OG0001956	ORYLA02986	CAPO302405
OG0001957	ORYLA03697, ORYLA17589	CAPO307027
OG0001961	ORYLA10825, ORYLA14593, ORYLA14427	CAPO301591
OG0001963	ORYLA19628, ORYLA14894, ORYLA07353	CAPO304559
OG0001964	ORYLA09717, ORYLA09716, ORYLA12261	CAPO306144
OG0001965	ORYLA00729	CAPO305377
OG0001966	ORYLA13409	CAPO308069
OG0001968	ORYLA20184	CAPO303436
OG0001969	ORYLA02957, ORYLA10224, ORYLA13366	CAPO301897
OG0001972	ORYLA07140, ORYLA18968	CAPO302726
OG0001985	ORYLA02342, ORYLA17543, ORYLA03606	CAPO307425
OG0001988	ORYLA20366	CAPO301454
OG0001989	ORYLA11129, ORYLA15989	CAPO303699
OG0001992	ORYLA04809, ORYLA10449	CAPO301694
OG0001994	ORYLA17268, ORYLA04304	CAPO307422
OG0001997	ORYLA10577, ORYLA10575	CAPO301018, CAPO301017
OG0001998	ORYLA01177, ORYLA08025, ORYLA08027, ORYLA08026	CAPO304168
OG0001999	ORYLA19767, ORYLA12343	CAPO303159
OG0002000	ORYLA13307, ORYLA17309	CAPO305912
OG0002001	ORYLA15567, ORYLA13940	CAPO301730, CAPO305766
OG0002003	ORYLA05173, ORYLA03010, ORYLA10761	CAPO306645
OG0002004	ORYLA05741, ORYLA18758	CAPO305661, CAPO300359
OG0002006	ORYLA16456, ORYLA05932	CAPO302881
OG0002007	ORYLA07330, ORYLA04774, ORYLA08154	CAPO301764
OG0002009	ORYLA03522	CAPO305521
OG0002009	ORYLA03493	CAPO304107
OG0002010	ORYLA19546, ORYLA00286, ORYLA16794, ORYLA00240	CAPO303286
OG0002011	ORYLA14252, ORYLA08974	CAPO305222
OG0002014	ORYLA14168, ORYLA14071	CAPO305309
OG0002015	ORYLA16338	CAPO304377
OG0002016	ORYLA18158, ORYLA02797, ORYLA01204	CAPO300736, CAPO303360
OG0002019	ORYLA06431, ORYLA10287, ORYLA16491, ORYLA09797	CAPO303943, CAPO301189
OG0002020	ORYLA04953, ORYLA00190	CAPO301809, CAPO306607
OG0002024	ORYLA13451, ORYLA02868	CAPO300776
OG0002025	ORYLA00541, ORYLA16916	CAPO301502
OG0002026	ORYLA01226, ORYLA01227, ORYLA08399	CAPO307889, CAPO306582
OG0002027	ORYLA03151, ORYLA10207	CAPO307021
OG0002029	ORYLA08789, ORYLA09405	CAPO303181
OG0002030	ORYLA13238, ORYLA16563, ORYLA13082, ORYLA02733, ORYLA17296	CAPO303987
OG0002031	ORYLA16339, ORYLA05708	CAPO300135
OG0002032	ORYLA03665	CAPO304689
OG0002034	ORYLA12642, ORYLA07571, ORYLA05480	CAPO306318
OG0002042	ORYLA12509, ORYLA12508	CAPO300525
OG0002043	ORYLA01939, ORYLA09238	CAPO306649
OG0002061	ORYLA02790	CAPO307339
OG0002062	ORYLA14663, ORYLA12126, ORYLA13654	CAPO301382
OG0002063	ORYLA17285	CAPO302417
OG0002066	ORYLA18373, ORYLA11678, ORYLA01862, ORYLA06515	CAPO300576
OG0002067	ORYLA16258	CAPO302721
OG0002068	ORYLA10239, ORYLA11836	CAPO303650
OG0002069	ORYLA14291, ORYLA20009	CAPO306402
OG0002073	ORYLA10798	CAPO302333
OG0002076	ORYLA18898, ORYLA01759, ORYLA06069	CAPO303117
OG0002078	ORYLA16744, ORYLA00157, ORYLA07778	CAPO302217
OG0002079	ORYLA19074	CAPO301402
OG0002080	ORYLA17616, ORYLA04310	CAPO307474, CAPO307552
OG0002081	ORYLA09511	CAPO300584
OG0002084	ORYLA08353, ORYLA04731, ORYLA07268	CAPO300150
OG0002087	ORYLA19239	CAPO306536
OG0002093	ORYLA15674	CAPO304254
OG0002094	ORYLA13770	CAPO303399
OG0002097	ORYLA06823, ORYLA04159, ORYLA09040	CAPO302111
OG0002099	ORYLA15411	CAPO306675
OG0002103	ORYLA01062	CAPO305235
OG0002106	ORYLA12790	CAPO300071
OG0002108	ORYLA04701	CAPO303834
OG0002122	ORYLA01348, ORYLA13521	CAPO300191
OG0002124	ORYLA00223	CAPO300980
OG0002129	ORYLA03138, ORYLA04298, ORYLA00458, ORYLA07250	CAPO305068
OG0002131	ORYLA19717, ORYLA19718, ORYLA02406	CAPO302159
OG0002135	ORYLA05991, ORYLA09373, ORYLA11870	CAPO300616, CAPO300802
OG0002136	ORYLA01501, ORYLA00428, ORYLA07856	CAPO300292
OG0002137	ORYLA10913, ORYLA03326	CAPO306593
OG0002138	ORYLA11124	CAPO304101
OG0002140	ORYLA11736, ORYLA09094	CAPO300489
OG0002141	ORYLA09502, ORYLA00345	CAPO300491
OG0002144	ORYLA07925, ORYLA17412	CAPO308205
OG0002145	ORYLA15097	CAPO305963
OG0002146	ORYLA11113, ORYLA15028, ORYLA15530	CAPO303694
OG0002147	ORYLA06496	CAPO307247
OG0002148	ORYLA11951, ORYLA08140, ORYLA08139	CAPO301311
OG0002150	ORYLA15117	CAPO305991
OG0002151	ORYLA00735, ORYLA16673	CAPO300513
OG0002152	ORYLA15095	CAPO306241
OG0002152	ORYLA11044	CAPO305214
OG0002156	ORYLA00171	CAPO307789
OG0002158	ORYLA08985	CAPO300426
OG0002159	ORYLA18204	CAPO301618
OG0002160	ORYLA15473	CAPO306354
OG0002165	ORYLA01091	CAPO306860
OG0002166	ORYLA02664, ORYLA17823, ORYLA04541	CAPO300536
OG0002168	ORYLA02174, ORYLA13630	CAPO305846
OG0002169	ORYLA08351, ORYLA08352	CAPO305188, CAPO305186
OG0002170	ORYLA05827	CAPO306065
OG0002171	ORYLA14148, ORYLA15889	CAPO300657
OG0002172	ORYLA12014, ORYLA11160, ORYLA08997	CAPO300117
OG0002173	ORYLA02263, ORYLA12622, ORYLA01813	CAPO300163
OG0002177	ORYLA11512, ORYLA11656	CAPO303715
OG0002178	ORYLA16731	CAPO300762
OG0002179	ORYLA10677	CAPO301344
OG0002182	ORYLA20335, ORYLA13962	CAPO300304
OG0002184	ORYLA02413, ORYLA16807, ORYLA00706	CAPO302808
OG0002185	ORYLA15148, ORYLA15149	CAPO306894
OG0002187	ORYLA17747	CAPO303260
OG0002188	ORYLA12233	CAPO307308
OG0002189	ORYLA06568	CAPO302919, CAPO302901
OG0002190	ORYLA03440, ORYLA04537, ORYLA05925	CAPO305794
OG0002191	ORYLA09161, ORYLA06711, ORYLA16118, ORYLA09833	CAPO306349
OG0002193	ORYLA13372	CAPO307827, CAPO303661
OG0002194	ORYLA14319, ORYLA14318, ORYLA03592	CAPO306073
OG0002199	ORYLA15000	CAPO306236, CAPO308165
OG0002201	ORYLA20288, ORYLA02025	CAPO305256
OG0002216	ORYLA11063	CAPO308083
OG0002217	ORYLA11354	CAPO303403
OG0002219	ORYLA14264, ORYLA14265	CAPO301953
OG0002222	ORYLA07432, ORYLA12895	CAPO300961
OG0002224	ORYLA18115, ORYLA02313	CAPO304952
OG0002225	ORYLA01041	CAPO301769
OG0002226	ORYLA00869, ORYLA16615	CAPO307804
OG0002227	ORYLA09258	CAPO307820, CAPO307799
OG0002228	ORYLA16905, ORYLA00066, ORYLA05787	CAPO301630, CAPO300068
OG0002229	ORYLA02659	CAPO308040
OG0002235	ORYLA07393	CAPO303035
OG0002237	ORYLA02112, ORYLA01047, ORYLA11525	CAPO306506
OG0002239	ORYLA05769	CAPO303809
OG0002239	ORYLA12675, ORYLA17306	CAPO301966
OG0002240	ORYLA13133	CAPO306707
OG0002241	ORYLA02657, ORYLA01650	CAPO303979
OG0002243	ORYLA01202, ORYLA17744	CAPO301335, CAPO300484
OG0002244	ORYLA04246	CAPO303840
OG0002245	ORYLA07891, ORYLA16401	CAPO302737
OG0002246	ORYLA12403, ORYLA06117	CAPO301929
OG0002251	ORYLA18650	CAPO302943
OG0002251	ORYLA17336, ORYLA17759, ORYLA02672, ORYLA18948	CAPO302537
OG0002252	ORYLA00130, ORYLA16893, ORYLA16926	CAPO304306
OG0002255	ORYLA19958, ORYLA19959, ORYLA08968	CAPO301475, CAPO302337
OG0002257	ORYLA10400	CAPO303721
OG0002258	ORYLA08480, ORYLA19891, ORYLA19894	CAPO302229
OG0002261	ORYLA00563, ORYLA17198, ORYLA00564	CAPO303559
OG0002263	ORYLA04195, ORYLA09178	CAPO304694
OG0002264	ORYLA00976, ORYLA05961	CAPO304810
OG0002266	ORYLA19304, ORYLA07982	CAPO307392
OG0002270	ORYLA09476, ORYLA15715, ORYLA10941	CAPO302042
OG0002272	ORYLA14290	CAPO301905
OG0002279	ORYLA09917, ORYLA10298	CAPO304874
OG0002282	ORYLA00051, ORYLA01468	CAPO300014
OG0002284	ORYLA18851, ORYLA13455	CAPO304167
OG0002285	ORYLA02308, ORYLA04643	CAPO305012
OG0002287	ORYLA15952, ORYLA14283, ORYLA12928, ORYLA12669, ORYLA14547	CAPO306430
OG0002288	ORYLA01492, ORYLA03879	CAPO306855
OG0002292	ORYLA14591	CAPO301471
OG0002293	ORYLA11328, ORYLA10072, ORYLA18515, ORYLA02245, ORYLA11327	CAPO302207
OG0002294	ORYLA17434, ORYLA13472, ORYLA06668	CAPO300522
OG0002296	ORYLA04644	CAPO307746
OG0002297	ORYLA13569	CAPO307845
OG0002312	ORYLA03960	CAPO305339
OG0002316	ORYLA18514, ORYLA10565, ORYLA18191	CAPO302192
OG0002317	ORYLA10101, ORYLA03376, ORYLA07663	CAPO301129
OG0002318	ORYLA16808	CAPO302292
OG0002321	ORYLA00417	CAPO300390
OG0002322	ORYLA16542, ORYLA18820, ORYLA00069	CAPO300979
OG0002323	ORYLA18222, ORYLA18223, ORYLA04235	CAPO308299
OG0002324	ORYLA02003	CAPO301866
OG0002325	ORYLA09407, ORYLA09406, ORYLA08788	CAPO300458
OG0002326	ORYLA10557, ORYLA11565	CAPO302239
OG0002327	ORYLA15817, ORYLA13784, ORYLA15549	CAPO302954
OG0002330	ORYLA02778, ORYLA03538	CAPO300172
OG0002331	ORYLA16153, ORYLA02004	CAPO302246
OG0002332	ORYLA18167, ORYLA17748, ORYLA02677	CAPO300761
OG0002337	ORYLA02605, ORYLA03304, ORYLA04420	CAPO307155
OG0002340	ORYLA06795	CAPO307906
OG0002343	ORYLA14859, ORYLA15811, ORYLA13993, ORYLA15321	CAPO303889
OG0002344	ORYLA03231, ORYLA04391, ORYLA02759	CAPO307434
OG0002345	ORYLA15215	CAPO304277
