Orthogroup	ORYLA	YEAST
OG0000876	ORYLA08818, ORYLA06408, ORYLA15707, ORYLA20147, ORYLA09773, ORYLA18338	YEAST05556
OG0000879	ORYLA06599, ORYLA15760, ORYLA10296	YEAST06123
OG0000888	ORYLA05760, ORYLA12980, ORYLA06869, ORYLA17907	YEAST00288
OG0000889	ORYLA11414, ORYLA10267, ORYLA16878	YEAST00175
OG0000894	ORYLA07232, ORYLA00467, ORYLA07753, ORYLA17007, ORYLA16512	YEAST03763
OG0000896	ORYLA12742	YEAST02476
OG0000896	ORYLA18744, ORYLA04344	YEAST04923
OG0000898	ORYLA08993	YEAST06255, YEAST03431
OG0000905	ORYLA19283, ORYLA19282	YEAST00599
OG0000907	ORYLA13394, ORYLA17435	YEAST02193
OG0000913	ORYLA01511	YEAST03557, YEAST05101
OG0000914	ORYLA15437, ORYLA14317, ORYLA20258, ORYLA15690, ORYLA14429, ORYLA14695	YEAST04745
OG0000921	ORYLA05705, ORYLA19667, ORYLA13652	YEAST02526
OG0000925	ORYLA19836, ORYLA09614	YEAST05667, YEAST06025
OG0000932	ORYLA17977, ORYLA03357	YEAST03525
OG0000933	ORYLA04779, ORYLA04142, ORYLA07694, ORYLA10078, ORYLA07695	YEAST06306
OG0000934	ORYLA09601, ORYLA11859	YEAST02582, YEAST06252
OG0000934	ORYLA16233, ORYLA10870	YEAST05040
OG0000935	ORYLA13027, ORYLA06809, ORYLA05774, ORYLA01692, ORYLA15882, ORYLA14011, ORYLA09839	YEAST02843
OG0000943	ORYLA15376, ORYLA17852	YEAST03805
OG0000944	ORYLA09043, ORYLA04158, ORYLA01246	YEAST04878
OG0000954	ORYLA20086, ORYLA16756, ORYLA16757, ORYLA16758	YEAST05503, YEAST01249
OG0000955	ORYLA17644	YEAST00837
OG0000955	ORYLA19752	YEAST04295
OG0000963	ORYLA13485, ORYLA06840, ORYLA06839, ORYLA17317, ORYLA13364	YEAST03685, YEAST00482, YEAST01749
OG0000964	ORYLA17226, ORYLA03089	YEAST04606
OG0000965	ORYLA20470	YEAST02552
OG0000965	ORYLA07478	YEAST02050
OG0000967	ORYLA04076, ORYLA19755, ORYLA04962	YEAST05075
OG0000970	ORYLA17254, ORYLA02643	YEAST04028
OG0000982	ORYLA13484, ORYLA06837, ORYLA05721, ORYLA17666, ORYLA02909	YEAST01182
OG0000984	ORYLA14092, ORYLA13312	YEAST01493, YEAST00575
OG0000986	ORYLA02350, ORYLA05019, ORYLA08270, ORYLA02693, ORYLA17557	YEAST01481, YEAST04073
OG0000987	ORYLA08918, ORYLA06392, ORYLA13755, ORYLA15702, ORYLA09779	YEAST04734, YEAST02734
OG0000994	ORYLA11419, ORYLA18398	YEAST02360
OG0000996	ORYLA01364, ORYLA09102, ORYLA20110	YEAST00033
OG0001001	ORYLA04326, ORYLA07294, ORYLA08735, ORYLA09611	YEAST00341
OG0001003	ORYLA17863, ORYLA04404	YEAST00644
OG0001006	ORYLA00587, ORYLA17469, ORYLA06935	YEAST04513
OG0001016	ORYLA08912, ORYLA08838	YEAST00830
OG0001018	ORYLA04621	YEAST01172
OG0001024	ORYLA01426, ORYLA10777, ORYLA04903, ORYLA17767, ORYLA18366	YEAST01024, YEAST00308
OG0001033	ORYLA13566, ORYLA13207	YEAST02124
OG0001066	ORYLA20216, ORYLA18727, ORYLA15524, ORYLA20141, ORYLA15783, ORYLA11478	YEAST06311
OG0001075	ORYLA05471, ORYLA05470, ORYLA05472, ORYLA10387	YEAST05636
OG0001076	ORYLA04025, ORYLA03193, ORYLA12782	YEAST01570
OG0001081	ORYLA12631, ORYLA12630	YEAST04460
OG0001082	ORYLA16190, ORYLA14374	YEAST03919, YEAST02905, YEAST05331
OG0001094	ORYLA10145, ORYLA01044, ORYLA11275, ORYLA05201	YEAST03837
OG0001095	ORYLA13938, ORYLA08700, ORYLA02122	YEAST00773
OG0001096	ORYLA08777, ORYLA09557	YEAST01384
OG0001101	ORYLA10929	YEAST03434
OG0001108	ORYLA14450, ORYLA18375	YEAST06309
OG0001113	ORYLA16987	YEAST05320
OG0001113	ORYLA00138	YEAST00954
OG0001114	ORYLA12632, ORYLA12633, ORYLA14795, ORYLA05778	YEAST00036, YEAST05811
OG0001124	ORYLA08277, ORYLA02278	YEAST02719
OG0001132	ORYLA15693	YEAST05421
OG0001133	ORYLA01655	YEAST04296
OG0001133	ORYLA02500	YEAST03271
OG0001134	ORYLA16671	YEAST05015
OG0001135	ORYLA18988, ORYLA08362, ORYLA16838, ORYLA16856	YEAST03641
OG0001136	ORYLA13203, ORYLA06530, ORYLA12133	YEAST05047, YEAST02997
OG0001140	ORYLA05368, ORYLA02157, ORYLA10675	YEAST03519
OG0001142	ORYLA07693	YEAST04001
OG0001163	ORYLA08093, ORYLA04995	YEAST02433
OG0001164	ORYLA06374	YEAST03454
OG0001171	ORYLA09088, ORYLA11731, ORYLA02030, ORYLA05693, ORYLA15553	YEAST04620, YEAST03578
OG0001175	ORYLA17323, ORYLA17834, ORYLA02704	YEAST00534
OG0001177	ORYLA07071, ORYLA17818	YEAST06137
OG0001179	ORYLA12445, ORYLA14131	YEAST00368, YEAST04831, YEAST02287
OG0001181	ORYLA09302, ORYLA06967, ORYLA16422	YEAST02051
OG0001184	ORYLA01867, ORYLA12325	YEAST01681
OG0001185	ORYLA01991, ORYLA19744, ORYLA04885	YEAST04969
OG0001186	ORYLA06474, ORYLA12462, ORYLA14584, ORYLA12305	YEAST04605, YEAST01886
OG0001191	ORYLA00416, ORYLA17734, ORYLA04735, ORYLA08358, ORYLA01217, ORYLA03865	YEAST04707
OG0001192	ORYLA08463, ORYLA08481, ORYLA08473, ORYLA08475, ORYLA05874, ORYLA19942	YEAST01898
OG0001197	ORYLA13277, ORYLA01817, ORYLA05607, ORYLA09693	YEAST01499
OG0001201	ORYLA15842, ORYLA14298, ORYLA15310	YEAST05452
OG0001204	ORYLA04102, ORYLA03247	YEAST05200
OG0001207	ORYLA10023, ORYLA09156, ORYLA16388, ORYLA08504	YEAST04258
OG0001210	ORYLA11799	YEAST05511
OG0001210	ORYLA06775	YEAST02318
OG0001212	ORYLA10644	YEAST03971
OG0001214	ORYLA09019, ORYLA10993	YEAST00577
OG0001216	ORYLA07420, ORYLA05840, ORYLA12067, ORYLA15267	YEAST00145
OG0001219	ORYLA01206, ORYLA04598, ORYLA01690, ORYLA05777	YEAST03867
OG0001236	ORYLA05535, ORYLA05857	YEAST03325, YEAST02687, YEAST03269
OG0001237	ORYLA12698, ORYLA15237, ORYLA01731, ORYLA06118, ORYLA17671, ORYLA02367, ORYLA14669	YEAST04380
OG0001238	ORYLA01295, ORYLA07056	YEAST04481
OG0001241	ORYLA15497	YEAST02002
OG0001241	ORYLA01008	YEAST03967, YEAST01074
OG0001243	ORYLA07317, ORYLA07318, ORYLA12130	YEAST00739, YEAST05004
OG0001249	ORYLA13090, ORYLA00311, ORYLA06571, ORYLA12934, ORYLA13089	YEAST01062, YEAST02067
OG0001250	ORYLA17061, ORYLA00854, ORYLA07782, ORYLA16768	YEAST02968, YEAST01339
OG0001251	ORYLA12301, ORYLA08970	YEAST01707
OG0001253	ORYLA10839, ORYLA15354, ORYLA15393, ORYLA18494, ORYLA10838, ORYLA14430, ORYLA15691	YEAST03998
OG0001254	ORYLA12036, ORYLA14643	YEAST04309
OG0001262	ORYLA02427	YEAST00911
OG0001263	ORYLA17939, ORYLA08064, ORYLA07820, ORYLA17132	YEAST00172
OG0001268	ORYLA13833, ORYLA00335, ORYLA15813	YEAST03495
OG0001270	ORYLA07988	YEAST01703
OG0001270	ORYLA18804	YEAST02398
OG0001271	ORYLA09251, ORYLA07889, ORYLA14013	YEAST05227, YEAST00662
OG0001278	ORYLA16678, ORYLA00727, ORYLA13327	YEAST01893
OG0001279	ORYLA04097, ORYLA03712, ORYLA10544, ORYLA04878, ORYLA00122	YEAST03070
OG0001280	ORYLA19967, ORYLA06847, ORYLA12954, ORYLA19875, ORYLA00452	YEAST00846
OG0001282	ORYLA04230, ORYLA10205, ORYLA08831	YEAST03744
OG0001284	ORYLA09027, ORYLA01634, ORYLA14635	YEAST00567, YEAST01498
OG0001286	ORYLA12022, ORYLA07959, ORYLA17144	YEAST00588, YEAST01486, YEAST03604
OG0001291	ORYLA17986, ORYLA07358, ORYLA01427, ORYLA04147	YEAST04453, YEAST04334
OG0001300	ORYLA01386, ORYLA10216, ORYLA09658, ORYLA04280	YEAST01098
OG0001302	ORYLA12923	YEAST02328
OG0001302	ORYLA05687	YEAST00299
OG0001310	ORYLA10760, ORYLA12263	YEAST00887
OG0001318	ORYLA08255, ORYLA09731	YEAST03712
OG0001319	ORYLA00925, ORYLA04255, ORYLA01358, ORYLA10213, ORYLA09481	YEAST01678
OG0001321	ORYLA06094, ORYLA02144, ORYLA19802, ORYLA06811, ORYLA13481, ORYLA13483, ORYLA06093	YEAST02280, YEAST01901
OG0001322	ORYLA12031, ORYLA03496	YEAST06128
OG0001324	ORYLA08370	YEAST00078
OG0001325	ORYLA18675, ORYLA10649, ORYLA08927	YEAST00793
OG0001326	ORYLA00013, ORYLA05047, ORYLA02306, ORYLA02304, ORYLA00758	YEAST05395
OG0001327	ORYLA15316, ORYLA11280, ORYLA14397	YEAST03176
OG0001332	ORYLA07497	YEAST03929, YEAST02705, YEAST00687
OG0001333	ORYLA17399, ORYLA07772	YEAST00728
OG0001341	ORYLA19403, ORYLA14314	YEAST06006
OG0001345	ORYLA15535	YEAST03613
OG0001353	ORYLA11826, ORYLA06297, ORYLA20269	YEAST00020, YEAST04041
OG0001363	ORYLA14931, ORYLA06964, ORYLA02934	YEAST06180
OG0001364	ORYLA07287, ORYLA06962	YEAST06038, YEAST00402
OG0001367	ORYLA14461, ORYLA07111, ORYLA09231, ORYLA11747, ORYLA12559	YEAST04688
OG0001368	ORYLA04793, ORYLA11335, ORYLA10470	YEAST01821
OG0001370	ORYLA12598, ORYLA14966, ORYLA18543	YEAST04067, YEAST05195, YEAST00897
OG0001371	ORYLA00720	YEAST00532, YEAST03976
OG0001372	ORYLA13141	YEAST00070
OG0001375	ORYLA11959, ORYLA01972, ORYLA01971	YEAST05499, YEAST05567
OG0001378	ORYLA17783, ORYLA02855, ORYLA04943, ORYLA00326, ORYLA01139, ORYLA01326	YEAST02300
OG0001379	ORYLA06942, ORYLA12825, ORYLA01022, ORYLA01021, ORYLA04265	YEAST04155
OG0001386	ORYLA07835, ORYLA01995	YEAST05114
OG0001397	ORYLA01225, ORYLA05017, ORYLA08172	YEAST05731
OG0001400	ORYLA08237, ORYLA17207, ORYLA09903, ORYLA01837, ORYLA05625	YEAST02931
OG0001409	ORYLA05905, ORYLA01929, ORYLA09977	YEAST00885, YEAST04659
OG0001410	ORYLA16518, ORYLA09213	YEAST05046
OG0001411	ORYLA12881	YEAST04834
OG0001412	ORYLA17594	YEAST04490
OG0001413	ORYLA17782	YEAST04294
OG0001414	ORYLA05226, ORYLA18972	YEAST06070, YEAST01920
OG0001415	ORYLA17926	YEAST04230
OG0001421	ORYLA04093, ORYLA11990, ORYLA11681	YEAST05252
OG0001422	ORYLA08800, ORYLA05608, ORYLA05609, ORYLA09888	YEAST05588, YEAST01363
OG0001424	ORYLA13598, ORYLA09682	YEAST01127
OG0001427	ORYLA20270, ORYLA07026, ORYLA11867	YEAST01885
OG0001428	ORYLA15651, ORYLA13762, ORYLA18311, ORYLA05873, ORYLA01893	YEAST04862, YEAST05862, YEAST02749, YEAST03037
OG0001430	ORYLA11790, ORYLA01079, ORYLA10149, ORYLA03115, ORYLA03625	YEAST01712
OG0001434	ORYLA11926	YEAST03991
OG0001437	ORYLA09273, ORYLA06548, ORYLA09274	YEAST01264, YEAST02900
OG0001445	ORYLA18556, ORYLA03367, ORYLA03366	YEAST01715
OG0001449	ORYLA11305	YEAST03188
OG0001449	ORYLA09746	YEAST05764
OG0001452	ORYLA17672, ORYLA12044, ORYLA18698, ORYLA18697	YEAST05900
OG0001454	ORYLA03869, ORYLA10714, ORYLA03870	YEAST01495, YEAST00573
OG0001456	ORYLA10215	YEAST00365
OG0001459	ORYLA16343	YEAST03073, YEAST03464
OG0001461	ORYLA19866	YEAST05255
OG0001468	ORYLA08601, ORYLA08600, ORYLA09151, ORYLA06717, ORYLA09660, ORYLA16189, ORYLA16188	YEAST03875, YEAST03904
OG0001469	ORYLA17794	YEAST02070
OG0001469	ORYLA05419	YEAST02765
OG0001470	ORYLA03759	YEAST00369, YEAST05375
OG0001472	ORYLA05712, ORYLA15948	YEAST03031
OG0001473	ORYLA00647, ORYLA16961, ORYLA16960	YEAST05711
OG0001474	ORYLA07769	YEAST01416, YEAST05312
OG0001478	ORYLA11904	YEAST01984
OG0001478	ORYLA07755	YEAST02078
OG0001479	ORYLA13290, ORYLA16589, ORYLA18144, ORYLA02932	YEAST01132
OG0001503	ORYLA13177	YEAST03032
OG0001503	ORYLA17046, ORYLA17047	YEAST02920
OG0001504	ORYLA15456	YEAST05406
OG0001505	ORYLA10202, ORYLA08833, ORYLA07422	YEAST03361
OG0001508	ORYLA12347, ORYLA14625, ORYLA16349, ORYLA16350	YEAST04143
OG0001515	ORYLA04533, ORYLA17572	YEAST03320
OG0001520	ORYLA02116, ORYLA11477	YEAST03872
OG0001524	ORYLA00012, ORYLA05046, ORYLA12443	YEAST03912
OG0001525	ORYLA17631	YEAST00757
OG0001527	ORYLA02867, ORYLA20388, ORYLA20389	YEAST01395
OG0001529	ORYLA13719, ORYLA14481	YEAST01143
OG0001530	ORYLA05079, ORYLA18041	YEAST00643
OG0001546	ORYLA05229	YEAST03111
OG0001550	ORYLA06718, ORYLA09149, ORYLA04848	YEAST02405, YEAST05953
OG0001551	ORYLA10506, ORYLA10505	YEAST04817
OG0001553	ORYLA17357, ORYLA02293, ORYLA08070, ORYLA04977, ORYLA03887	YEAST05147, YEAST01586
OG0001557	ORYLA12490	YEAST04671
OG0001557	ORYLA14586	YEAST04551
OG0001558	ORYLA02757, ORYLA18032, ORYLA19384	YEAST04449
OG0001559	ORYLA05417, ORYLA10089, ORYLA11639, ORYLA04343	YEAST00445, YEAST02434
OG0001561	ORYLA15919, ORYLA15392, ORYLA13862, ORYLA10938	YEAST06176
OG0001564	ORYLA13495, ORYLA03594, ORYLA01019	YEAST05390
OG0001570	ORYLA03800	YEAST04678
OG0001573	ORYLA20104, ORYLA02801	YEAST03285
OG0001578	ORYLA17727, ORYLA00011	YEAST01872
OG0001580	ORYLA15950, ORYLA14282, ORYLA15951, ORYLA12668	YEAST06270
OG0001590	ORYLA12337	YEAST03476, YEAST00717, YEAST03955
OG0001594	ORYLA04061	YEAST03418
OG0001597	ORYLA18712, ORYLA20326	YEAST01702
OG0001603	ORYLA02090, ORYLA05894	YEAST02584
OG0001604	ORYLA07645, ORYLA03242	YEAST01428
OG0001605	ORYLA07546, ORYLA06239, ORYLA15168, ORYLA19098	YEAST04101
OG0001609	ORYLA09645, ORYLA14062	YEAST02739
OG0001610	ORYLA10612, ORYLA15888, ORYLA05347, ORYLA01728	YEAST00596, YEAST02062
OG0001612	ORYLA09961, ORYLA05310	YEAST01109
OG0001628	ORYLA04697	YEAST04790
OG0001653	ORYLA17508, ORYLA02619	YEAST01151
OG0001655	ORYLA07526, ORYLA08529, ORYLA07560	YEAST03354
OG0001657	ORYLA02690, ORYLA17570, ORYLA07401, ORYLA00511	YEAST00101, YEAST00944
OG0001663	ORYLA16035	YEAST05642
OG0001676	ORYLA18322	YEAST02848
OG0001676	ORYLA12813, ORYLA12814, ORYLA06876	YEAST06155
OG0001680	ORYLA10183, ORYLA03488, ORYLA03020	YEAST01119, YEAST04022
OG0001685	ORYLA01166, ORYLA00356	YEAST01147
OG0001687	ORYLA04791, ORYLA04792	YEAST05279
OG0001691	ORYLA08257, ORYLA17862	YEAST01315
OG0001704	ORYLA20149, ORYLA20150	YEAST01293
OG0001706	ORYLA07656, ORYLA04248, ORYLA19896	YEAST03424
OG0001707	ORYLA07066, ORYLA11811	YEAST06049, YEAST00407, YEAST04739
OG0001708	ORYLA09131, ORYLA09132, ORYLA01086	YEAST05744, YEAST05745
OG0001709	ORYLA13292, ORYLA03908	YEAST04440
OG0001713	ORYLA03803, ORYLA15056	YEAST04039
OG0001718	ORYLA11821, ORYLA10066, ORYLA10678	YEAST01537
OG0001721	ORYLA10588, ORYLA10236	YEAST04881, YEAST05253, YEAST00698
OG0001723	ORYLA00996, ORYLA03930, ORYLA13525	YEAST01435
OG0001727	ORYLA03405, ORYLA10153, ORYLA05228	YEAST04543
OG0001728	ORYLA12189, ORYLA17408	YEAST03347
OG0001730	ORYLA13643, ORYLA07155, ORYLA12919	YEAST00177
OG0001739	ORYLA10963, ORYLA18962	YEAST03760
OG0001745	ORYLA05955, ORYLA11397	YEAST01431
OG0001750	ORYLA06217, ORYLA08897, ORYLA15569, ORYLA13931, ORYLA08409, ORYLA19595	YEAST03628
OG0001754	ORYLA07269, ORYLA05313, ORYLA17472	YEAST03682
OG0001755	ORYLA18581	YEAST02688
OG0001756	ORYLA00755, ORYLA17359	YEAST00620
OG0001769	ORYLA08055, ORYLA10120	YEAST04726
OG0001770	ORYLA18486, ORYLA09431, ORYLA04288, ORYLA20466	YEAST02590
OG0001774	ORYLA14081, ORYLA16202, ORYLA15721	YEAST05166
OG0001775	ORYLA13002, ORYLA06854	YEAST05594
OG0001780	ORYLA17927, ORYLA04994	YEAST03768
OG0001781	ORYLA08227, ORYLA06078	YEAST01882
OG0001782	ORYLA18054, ORYLA19932	YEAST02421
OG0001785	ORYLA09491	YEAST02713
OG0001787	ORYLA19846, ORYLA10342, ORYLA10343	YEAST03546
OG0001792	ORYLA13176	YEAST04595
OG0001793	ORYLA05421, ORYLA01681, ORYLA19142	YEAST02466
OG0001805	ORYLA10965, ORYLA12084	YEAST05496, YEAST01242
OG0001807	ORYLA05933, ORYLA16459	YEAST05464
OG0001808	ORYLA17292, ORYLA13236	YEAST01298
OG0001818	ORYLA11838, ORYLA11837, ORYLA11436	YEAST05902, YEAST04712
OG0001822	ORYLA18184, ORYLA11193, ORYLA19993, ORYLA19992	YEAST04378, YEAST01659
OG0001826	ORYLA03516, ORYLA06910, ORYLA01354	YEAST04777, YEAST01697, YEAST05781
OG0001828	ORYLA06034	YEAST04676
OG0001829	ORYLA12444, ORYLA12440, ORYLA15164	YEAST01613, YEAST00136, YEAST02008
OG0001831	ORYLA08008, ORYLA00245, ORYLA16802	YEAST00024
OG0001832	ORYLA07968, ORYLA14636	YEAST05376
OG0001846	ORYLA07124, ORYLA11365, ORYLA15507, ORYLA16054	YEAST05067
OG0001850	ORYLA10331, ORYLA11301	YEAST01913
OG0001852	ORYLA20006, ORYLA18631, ORYLA13708	YEAST03121
OG0001853	ORYLA05669, ORYLA16087	YEAST05176
OG0001857	ORYLA11526, ORYLA08540, ORYLA06439	YEAST04741
OG0001860	ORYLA19940, ORYLA17170	YEAST00188
OG0001861	ORYLA11459	YEAST05779, YEAST04773
OG0001863	ORYLA06538	YEAST03017
OG0001866	ORYLA04054	YEAST05095, YEAST05570
OG0001867	ORYLA16710, ORYLA07816	YEAST01669
OG0001873	ORYLA10266	YEAST00981, YEAST00267
OG0001875	ORYLA06827, ORYLA10648	YEAST04137
OG0001877	ORYLA10467, ORYLA19662, ORYLA05195, ORYLA11760	YEAST04134
OG0001886	ORYLA02452, ORYLA13546	YEAST03260
OG0001888	ORYLA00275, ORYLA17072, ORYLA19725	YEAST05749, YEAST01573
OG0001893	ORYLA06077, ORYLA06076, ORYLA06075, ORYLA01672	YEAST01023
OG0001894	ORYLA00188, ORYLA04952	YEAST00433
OG0001899	ORYLA11592, ORYLA11593, ORYLA01077	YEAST01210, YEAST04466
OG0001903	ORYLA12493	YEAST06020
OG0001913	ORYLA14825	YEAST05520
OG0001915	ORYLA08820	YEAST04791
OG0001917	ORYLA13447, ORYLA06635, ORYLA00851, ORYLA19219, ORYLA13173, ORYLA17082	YEAST01859
OG0001923	ORYLA13256, ORYLA18261, ORYLA00273, ORYLA07157	YEAST05881
OG0001926	ORYLA13070	YEAST02948
OG0001932	ORYLA09167, ORYLA10217, ORYLA19475	YEAST03770, YEAST03179
OG0001934	ORYLA08036, ORYLA00282	YEAST00877
OG0001935	ORYLA18787, ORYLA00761	YEAST00431
OG0001938	ORYLA15232	YEAST03931
OG0001940	ORYLA01114	YEAST04188, YEAST05646
OG0001943	ORYLA09186, ORYLA14459	YEAST02393, YEAST05966
OG0001945	ORYLA09525, ORYLA11810, ORYLA09524	YEAST01671
OG0001947	ORYLA20143, ORYLA13857, ORYLA14712, ORYLA14713	YEAST02570
OG0001951	ORYLA15974, ORYLA14012, ORYLA08588	YEAST00941, YEAST05396
OG0001952	ORYLA11490, ORYLA10687	YEAST04673, YEAST01990, YEAST00155
OG0001965	ORYLA00729	YEAST04582
OG0001968	ORYLA20184	YEAST04910
OG0001969	ORYLA02957, ORYLA10224, ORYLA13366	YEAST06173
OG0001972	ORYLA07140, ORYLA18968	YEAST01822, YEAST03363
OG0001985	ORYLA02342, ORYLA17543, ORYLA03606	YEAST04959
OG0001992	ORYLA04809, ORYLA10449	YEAST02679
OG0001998	ORYLA01177, ORYLA08025, ORYLA08027, ORYLA08026	YEAST00890
OG0002001	ORYLA15567, ORYLA13940, ORYLA16977	YEAST00502, YEAST03944
OG0002003	ORYLA05173, ORYLA03010, ORYLA10761	YEAST02826, YEAST03671
OG0002008	ORYLA08094, ORYLA02353	YEAST00768
OG0002010	ORYLA19546, ORYLA00286, ORYLA16794, ORYLA00240	YEAST00609
OG0002013	ORYLA04479	YEAST03040
OG0002014	ORYLA14168, ORYLA14071	YEAST02422
OG0002015	ORYLA16338	YEAST05525
OG0002025	ORYLA00541, ORYLA16916	YEAST03650
OG0002026	ORYLA01226, ORYLA01227, ORYLA08399	YEAST01247
OG0002029	ORYLA08789, ORYLA09405	YEAST02646
OG0002031	ORYLA16339, ORYLA05708	YEAST02752
OG0002032	ORYLA03665	YEAST01221
OG0002042	ORYLA12509, ORYLA12508	YEAST02880
OG0002043	ORYLA01939, ORYLA09238	YEAST04003
OG0002048	ORYLA07243	YEAST02273
OG0002059	ORYLA00052, ORYLA13405	YEAST05893, YEAST04718
OG0002062	ORYLA14663, ORYLA12126, ORYLA13654	YEAST05454
OG0002063	ORYLA17285, ORYLA04871	YEAST00838
OG0002067	ORYLA16258	YEAST03444
OG0002069	ORYLA14291, ORYLA20009	YEAST05962
OG0002073	ORYLA10798	YEAST04552
OG0002076	ORYLA18898, ORYLA01759, ORYLA06069	YEAST02206
OG0002078	ORYLA16744, ORYLA00157, ORYLA07778	YEAST06232
OG0002079	ORYLA19074	YEAST05765, YEAST00483
OG0002080	ORYLA17616, ORYLA04310	YEAST05220, YEAST04736
OG0002084	ORYLA08353, ORYLA04731, ORYLA07268	YEAST04529
OG0002087	ORYLA19239	YEAST05702
OG0002090	ORYLA16730	YEAST02246
OG0002093	ORYLA15674	YEAST02255
OG0002097	ORYLA06823, ORYLA04159, ORYLA09040	YEAST02697
OG0002103	ORYLA01062	YEAST05974
OG0002106	ORYLA12790, ORYLA01901	YEAST03654
OG0002108	ORYLA04701	YEAST03715
OG0002123	ORYLA05426, ORYLA07103, ORYLA16214	YEAST03709
OG0002125	ORYLA18986, ORYLA18985, ORYLA03523	YEAST05183
OG0002131	ORYLA19717, ORYLA19718, ORYLA02406	YEAST04275
OG0002137	ORYLA10913, ORYLA03326	YEAST04320
OG0002138	ORYLA11124	YEAST02406
OG0002144	ORYLA07925, ORYLA17412	YEAST02673
OG0002146	ORYLA11113, ORYLA15028, ORYLA15530	YEAST04333, YEAST00109, YEAST03088, YEAST04454
OG0002147	ORYLA06496	YEAST04532, YEAST01219
OG0002148	ORYLA11951, ORYLA08140, ORYLA08139	YEAST02060
OG0002152	ORYLA15095, ORYLA11044	YEAST05624
OG0002156	ORYLA00171	YEAST03007
OG0002160	ORYLA15473	YEAST03960
OG0002165	ORYLA01091	YEAST04504
OG0002168	ORYLA02174, ORYLA13630	YEAST00516
OG0002169	ORYLA08351, ORYLA08352	YEAST02258
OG0002175	ORYLA02874, ORYLA18155, ORYLA16037	YEAST04956
OG0002184	ORYLA02413, ORYLA16807, ORYLA00706	YEAST00242
OG0002185	ORYLA15148, ORYLA15149	YEAST05212
OG0002188	ORYLA12233	YEAST04638, YEAST03913
OG0002189	ORYLA06568	YEAST02882, YEAST04447
OG0002213	ORYLA04720	YEAST01241, YEAST05495
OG0002216	ORYLA11063	YEAST06040
OG0002217	ORYLA11354	YEAST06033
OG0002222	ORYLA07432, ORYLA12895	YEAST03240
OG0002224	ORYLA18115, ORYLA02313	YEAST01574
OG0002225	ORYLA01041	YEAST04939
OG0002226	ORYLA00869, ORYLA16615	YEAST00948
OG0002228	ORYLA16905, ORYLA00066, ORYLA05787	YEAST04154, YEAST05632
OG0002233	ORYLA19151, ORYLA19152	YEAST00277
OG0002239	ORYLA05769	YEAST03509
OG0002239	ORYLA12675, ORYLA17306	YEAST01621
OG0002241	ORYLA02657, ORYLA01650	YEAST02005
OG0002243	ORYLA01202, ORYLA17744	YEAST04599, YEAST03601, YEAST04600
OG0002244	ORYLA04246	YEAST02768
OG0002252	ORYLA00130, ORYLA16893, ORYLA16926	YEAST00826
OG0002261	ORYLA00563, ORYLA17198, ORYLA00564	YEAST00472
OG0002264	ORYLA00976, ORYLA05961	YEAST01705
OG0002279	ORYLA09917, ORYLA10298	YEAST05800
OG0002282	ORYLA00051, ORYLA01468	YEAST00881
OG0002288	ORYLA01492, ORYLA03879	YEAST01591, YEAST05154
OG0002297	ORYLA13569	YEAST01217
OG0002312	ORYLA03960	YEAST06295
OG0002316	ORYLA18514, ORYLA10565, ORYLA18191	YEAST01805
OG0002318	ORYLA16808	YEAST02923
OG0002319	ORYLA09946, ORYLA13438, ORYLA06584	YEAST00329
OG0002321	ORYLA00417	YEAST02461
OG0002324	ORYLA02003	YEAST02615, YEAST06287
OG0002326	ORYLA10557, ORYLA11565	YEAST00310, YEAST02699
OG0002327	ORYLA15817, ORYLA13784, ORYLA15549	YEAST00346, YEAST06217
OG0002331	ORYLA16153, ORYLA02004	YEAST01653
OG0002332	ORYLA18167, ORYLA17748, ORYLA02677	YEAST01606, YEAST05184, YEAST00285
OG0002344	ORYLA03231, ORYLA04391, ORYLA02759	YEAST02312, YEAST02019
OG0002346	ORYLA11133, ORYLA19705, ORYLA11134	YEAST02012
OG0002348	ORYLA10141, ORYLA04073	YEAST01845
OG0002355	ORYLA18881, ORYLA00163, ORYLA18882, ORYLA18880	YEAST00016
OG0002356	ORYLA11103, ORYLA15335, ORYLA17176	YEAST00259
OG0002361	ORYLA05219, ORYLA11387, ORYLA10650	YEAST01027
OG0002367	ORYLA13424, ORYLA02914	YEAST01179
OG0002369	ORYLA10237	YEAST03766
OG0002374	ORYLA06304, ORYLA06305, ORYLA15559, ORYLA14007	YEAST02010, YEAST00133
OG0002377	ORYLA04855, ORYLA11508	YEAST05000
OG0002385	ORYLA16918, ORYLA07751, ORYLA17005, ORYLA00241, ORYLA16796	YEAST03974
OG0002406	ORYLA16129, ORYLA14436	YEAST05509
OG0002407	ORYLA08149	YEAST00012
OG0002409	ORYLA16162, ORYLA10955, ORYLA20139	YEAST02027
OG0002411	ORYLA12407, ORYLA01614	YEAST05950, YEAST02407
OG0002412	ORYLA14855	YEAST06171
OG0002413	ORYLA16559, ORYLA07321	YEAST01196
OG0002415	ORYLA05291	YEAST01271
OG0002421	ORYLA19980	YEAST02982
OG0002422	ORYLA00987	YEAST05026
OG0002426	ORYLA08276, ORYLA16721, ORYLA17014	YEAST00184
OG0002441	ORYLA03932, ORYLA11521	YEAST00068, YEAST02278, YEAST05821
OG0002442	ORYLA00930, ORYLA13946	YEAST05932
