PFL	SPU	BFL	ALG
XLOC_013268	LOC583995	LOC118403268	B2
XLOC_023219	LOC581957	LOC118403551	B2
XLOC_014025	LOC588618	LOC118403249	B2
XLOC_022445	LOC588358	LOC118403103	B2
XLOC_013537	LOC581966	LOC118403654	B2
XLOC_023055	LOC581581	LOC118403798	B2
XLOC_021977	LOC578013	LOC118403790	B2
XLOC_014038	LOC763347	LOC118403348	B2
XLOC_013385	LOC575102	LOC118403936	B2
XLOC_022623	LOC580337	LOC118432748	B2
XLOC_013880	LOC115918293	LOC118403206	B2
XLOC_014119	LOC115919396	LOC118403347	B2
XLOC_013693	LOC578138	LOC118403755	B2
XLOC_022676	LOC754309	LOC118403813	B2
XLOC_022051	LOC578647	LOC118403694	B2
XLOC_013271	LOC576369	LOC118403223	B2
XLOC_013381	LOC755292	LOC118403709	B2
XLOC_013578	LOC580556	LOC118403908	B2
XLOC_013931	LOC105444658	LOC118403394	B2
XLOC_013699	LOC577795	LOC118403940	B2
XLOC_013850	LOC752896	LOC118403470	B2
XLOC_013396	LOC576133	LOC118403324	B2
XLOC_013623	LOC591657	LOC118403522	B2
XLOC_013849	LOC764571	LOC118403468	B2
XLOC_022114	LOC583818	LOC118403296	B2
XLOC_022848	LOC587630	LOC118403608	B2
XLOC_014034	LOC105440285	LOC118403381	B2
XLOC_022854	LOC753062	LOC118403901	B2
XLOC_013293	LOC580655	LOC118403271	B2
XLOC_014331	LOC582313	LOC118403312	B2
XLOC_023218	cdk4	LOC118403661	B2
XLOC_013694	LOC115919292	LOC118403231	B2
XLOC_022447	LOC100888432	LOC118403105	B2
XLOC_013331	LOC578214	LOC118403967	B2
XLOC_013132	LOC577108	LOC118403083	B2
XLOC_013201	LOC580191	LOC118403467	B2
XLOC_002185	LOC576810	LOC118405281	B3
XLOC_002830	LOC100893604	LOC118406216	B3
XLOC_003240	LOC755114	LOC118405269	B3
XLOC_002110	LOC584369	LOC118405554	B3
XLOC_002929	LOC580791	LOC118405375	B3
XLOC_002109	LOC585421	LOC118405406	B3
XLOC_002883	LOC593513	LOC118406097	B3
XLOC_003095	LOC582140	LOC118405627	B3
XLOC_002320	LOC576144	LOC118406187	B3
XLOC_002890	NSF	LOC118405552	B3
XLOC_002266	LOC587077	LOC118405614	B3
XLOC_003070	LOC581160	LOC118406140	B3
XLOC_002379	LOC115920060	LOC118405379	B3
XLOC_002718	LOC581963	LOC118405516	B3
XLOC_002254	LOC592049	LOC118405908	B3
XLOC_002308	LOC576107	LOC118405361	B3
XLOC_002732	LOC585535	LOC118405820	B3
XLOC_002119	LOC100891580	LOC118405718	B3
XLOC_003091	LOC589555	LOC118406270	B3
XLOC_002564	LOC582578	LOC118406142	B3
XLOC_001980	LOC105446195	LOC118405684	B3
XLOC_002893	LOC590385	LOC118405660	B3
XLOC_003018	LOC593659	LOC118406197	B3
XLOC_002384	LOC585882	LOC118405952	B3
XLOC_002425	LOC589805	LOC118405561	B3
XLOC_002794	LOC581443	LOC118405784	B3
XLOC_002296	LOC576016	LOC118405371	B3
XLOC_002858	LOC583762	LOC118406065	B3
XLOC_002769	LOC581745	LOC118405648	B3
XLOC_002954	LOC583749	LOC118405580	B3
XLOC_002866	LOC594453	LOC118405625	B3
XLOC_001977	LOC590183	LOC118405913	B3
XLOC_002928	LOC581264	LOC118405840	B3
XLOC_002860	LOC578680	LOC118405697	B3
XLOC_003079	LOC585533	LOC118405767	B3
XLOC_002806	LOC583098	LOC118405947	B3
XLOC_001950	LOC593908	LOC118405617	B3
XLOC_002833	LOC592452	LOC118405746	B3
XLOC_002743	LOC115919759	LOC118405731	B3
XLOC_002228	LOC754754	LOC118405689	B3
XLOC_003330	LOC578079	LOC118405673	B3
XLOC_002020	LOC580460	LOC118405299	B3
XLOC_003154	LOC115918338	LOC118405300	B3
XLOC_002160	LOC589299	LOC118405695	B3
XLOC_002673	LOC586488	LOC118406087	B3
XLOC_002045	LOC584818	LOC118405680	B3
XLOC_002909	LOC756515	LOC118405740	B3
XLOC_003096	LOC576062	LOC118405800	B3
XLOC_001989	LOC100892400	LOC118405611	B3
XLOC_003151	LOC100889298	LOC118405701	B3
XLOC_002187	LOC577291	LOC118405651	B3
XLOC_002601	LOC576486	LOC118405251	B3
XLOC_002349	LOC581183	LOC118405804	B3
XLOC_002179	LOC586513	LOC118406242	B3
XLOC_002231	LOC574567	LOC118405347	B3
XLOC_002763	LOC591447	LOC118405606	B3
XLOC_002118	LOC586582	LOC118405720	B3
XLOC_003076	LOC581121	LOC118405863	B3
XLOC_002711	LOC763013	LOC118406225	B3
XLOC_002346	LOC587099	LOC118406150	B3
XLOC_002204	LOC754278	LOC118405789	B3
XLOC_002170	LOC578627	LOC118405698	B3
XLOC_002183	LOC586401	LOC118406151	B3
XLOC_002078	LOC585683	LOC118405399	B3
XLOC_002666	LOC105443896	LOC118405488	B3
XLOC_002992	LOC762407	LOC118405810	B3
XLOC_003068	LOC100888694	LOC118405638	B3
XLOC_003255	LOC752566	LOC118405635	B3
XLOC_002242	LOC586667	LOC118405844	B3
XLOC_002058	LOC584535	LOC118405346	B3
XLOC_002056	LOC577416	LOC118405344	B3
XLOC_002074	LOC590147	LOC118406022	B3
XLOC_002746	LOC575320	LOC118405794	B3
XLOC_002486	LOC585800	LOC118405368	B3
XLOC_003188	LOC594591	LOC118406111	B3
XLOC_002435	LOC100892868	LOC118406086	B3
XLOC_002044	LOC585557	LOC118405704	B3
XLOC_002698	LOC588440	LOC118405555	B3
XLOC_002360	LOC100890458	LOC118405678	B3
XLOC_002779	LOC577351	LOC118405747	B3
XLOC_002414	LOC593256	LOC118405612	B3
XLOC_002678	LOC583465	LOC118405915	B3
XLOC_003180	LOC105445997	LOC118405381	B3
XLOC_002080	wnt1	LOC118405857	B3
XLOC_002208	LOC100893013	LOC118405575	B3
XLOC_002762	LOC590836	LOC118405659	B3
XLOC_002839	LOC754379	LOC118406263	B3
XLOC_002965	LOC576357	LOC118405682	B3
XLOC_002910	LOC580686	LOC118405633	B3
XLOC_003020	LOC591345	LOC118405553	B3
XLOC_002966	LOC576495	LOC118405692	B3
XLOC_002686	LOC115918342	LOC118405872	B3
XLOC_002702	LOC583777	LOC118406211	B3
XLOC_003069	LOC575615	LOC118405452	B3
XLOC_003071	LOC754976	LOC118405828	B3
XLOC_002307	LOC100889028	LOC118405812	B3
XLOC_002113	LOC575396	LOC118405752	B3
XLOC_020619	LOC578459	LOC118409082	C1
XLOC_019992	LOC592238	LOC118409197	C1
XLOC_020648	LOC585848	LOC118410636	C1
XLOC_019842	LOC575959	LOC118431536	C1
XLOC_020043	duox1	LOC118410062	C1
XLOC_019959	LOC576716	LOC118409095	C1
XLOC_020343	LOC576229	LOC118409292	C1
XLOC_020594	LOC589697	LOC118409225	C1
XLOC_020083	LOC584067	LOC118409916	C1
XLOC_019617	LOC588616	LOC118407736	C1
XLOC_020404	LOC591736	LOC118409779	C1
XLOC_020116	LOC592801	LOC118410467	C1
XLOC_019774	LOC594109	LOC118404612	C1
XLOC_020498	LOC576487	LOC118406657	C1
XLOC_020670	LOC577246	LOC118409131	C1
XLOC_019522	LOC579712	LOC118409424	C1
XLOC_020260	LOC100890552	LOC118431384	C1
XLOC_020143	LOC576459	LOC118409651	C1
XLOC_020515	LOC587447	LOC118409371	C1
XLOC_019776	LOC578824	LOC118404655	C1
XLOC_019455	LOC100889553	LOC118410223	C1
XLOC_019978	LOC764259	LOC118410038	C1
XLOC_020152	LOC755937	LOC118410353	C1
XLOC_020403	LOC583797	LOC118409828	C1
XLOC_020269	LOC373382	LOC118410399	C1
XLOC_019848	LOC100891069	LOC118409910	C1
XLOC_019733	LOC100893413	LOC118404324	C1
XLOC_019478	LOC581723	LOC118409889	C1
XLOC_019898	LOC574669	LOC118409989	C1
XLOC_019896	LOC578888	LOC118409921	C1
XLOC_019761	LOC592418	LOC118409262	C1
XLOC_019566	LOC757170	LOC118432543	C1
XLOC_019793	LOC578334	LOC118409255	C1
XLOC_020140	LOC373208	LOC118409823	C1
XLOC_019897	LOC577182	LOC118407081	C1
XLOC_020500	LOC576435	LOC118406744	C1
XLOC_019590	LOC576939	LOC118409569	C1
XLOC_020233	LOC575276	LOC118410221	C1
XLOC_020560	LOC578636	LOC118431803	C1
XLOC_019732	LOC576418	LOC118405270	C1
XLOC_019423	LOC593982	LOC118409684	C1
XLOC_020167	LOC577631	LOC118409250	C1
XLOC_020634	LOC574811	LOC118409218	C1
XLOC_020044	LOC764939	LOC118410306	C1
XLOC_020578	LOC579288	LOC118407309	C1
XLOC_019660	LOC578024	LOC118409563	C1
XLOC_020443	LOC591201	LOC118406572	C1
XLOC_020085	LOC576502	LOC118408955	C1
XLOC_020284	LOC578095	LOC118409566	C1
XLOC_019482	LOC593790	LOC118410049	C1
XLOC_019586	LOC581507	LOC118409915	C1
XLOC_019716	LOC100892646	LOC118431969	C1
XLOC_019840	LOC577006	LOC118410649	C1
XLOC_019708	LOC592406	LOC118409293	C1
XLOC_020211	LOC100892028	LOC118409235	C1
XLOC_020423	LOC578527	LOC118406904	C1
XLOC_020104	LOC764301	LOC118410048	C1
XLOC_019495	LOC586508	LOC118409764	C1
XLOC_020307	LOC591991	LOC118432483	C1
XLOC_020596	LOC574878	LOC118410573	C1
XLOC_020477	LOC754729	LOC118407165	C1
XLOC_020111	LOC576033	LOC118406439	C1
XLOC_019974	LOC581074	LOC118410196	C1
XLOC_020580	LOC577162	LOC118409911	C1
XLOC_020008	LOC581772	LOC118406613	C1
XLOC_019714	LOC589080	LOC118409918	C1
XLOC_019872	LOC576066	LOC118408739	C1
XLOC_020574	LOC100890512	LOC118407019	C1
XLOC_020110	LOC577123	LOC118410650	C1
XLOC_020195	LOC575136	LOC118410354	C1
XLOC_019604	LOC582941	LOC118409664	C1
XLOC_019420	HMGCR	LOC118410303	C1
XLOC_019624	LOC574601	LOC118409236	C1
XLOC_019458	LOC581645	LOC118408661	C1
XLOC_019602	LOC576569	LOC118409775	C1
XLOC_020320	LOC594440	LOC118404059	C1
XLOC_019690	LOC590969	LOC118409031	C1
XLOC_019544	SPIH	LOC118410026	C1
XLOC_019684	LOC752190	LOC118408886	C1
XLOC_020487	LOC577673	LOC118409985	C1
XLOC_020408	LOC590654	LOC118410162	C1
XLOC_019564	LOC756012	LOC118410011	C1
XLOC_019457	LOC577877	LOC118409183	C1
XLOC_020590	LOC587700	LOC118410079	C1
XLOC_020522	LOC100889278	LOC118409560	C1
XLOC_019779	LOC584381	LOC118409827	C1
XLOC_020323	LOC763050	LOC118406734	C1
XLOC_020622	LOC587749	LOC118409625	C1
XLOC_019777	LOC578894	LOC118404628	C1
XLOC_019785	LOC577064	LOC118409841	C1
XLOC_020227	LOC576054	LOC118409785	C1
XLOC_020264	LOC574607	LOC118409316	C1
XLOC_020354	LOC576466	LOC118409913	C1
XLOC_019635	LOC592972	LOC118405095	C1
XLOC_019930	LOC590913	LOC118409538	C1
XLOC_020456	LOC585570	LOC118410603	C1
XLOC_019492	LOC578145	LOC118406546	C1
XLOC_019655	LOC578960	LOC118403116	C1
XLOC_019977	LOC576375	LOC118410576	C1
XLOC_020353	LOC591788	LOC118410032	C1
XLOC_019664	LOC105445352	LOC118407699	C1
XLOC_020406	LOC763805	LOC118409608	C1
XLOC_020488	fkh1	LOC118409320	C1
XLOC_020193	LOC575196	LOC118410362	C1
XLOC_019924	LOC579438	LOC118410622	C1
XLOC_019646	LOC590989	LOC118409687	C1
XLOC_019835	LOC754041	LOC118409639	C1
XLOC_020157	LOC577954	LOC118409539	C1
XLOC_020623	LOC583162	LOC118406927	C1
XLOC_019938	LOC579471	LOC118409348	C1
XLOC_019927	LOC578767	LOC118409887	C1
XLOC_020326	LOC591329	LOC118409799	C1
XLOC_019944	LOC762945	LOC118409606	C1
XLOC_020137	LOC579225	LOC118405666	C1
XLOC_020482	LOC581220	LOC118410416	C1
XLOC_020232	LOC576780	LOC118409073	C1
XLOC_020165	LOC579152	LOC118410612	C1
XLOC_020666	LOC578358	LOC118410400	C1
XLOC_019585	LOC588810	LOC118406951	C1
XLOC_020407	LOC100888955	LOC118410176	C1
XLOC_019928	LOC578583	LOC118431784	C1
XLOC_020223	LOC577882	LOC118408996	C1
XLOC_020196	LOC584922	LOC118410356	C1
XLOC_020531	LOC115918411	LOC118410643	C1
XLOC_019434	LOC588376	LOC118409632	C1
XLOC_019709	LOC587130	LOC118409248	C1
XLOC_019763	LOC578629	LOC118410450	C1
XLOC_019914	LOC765141	LOC118408711	C1
XLOC_020172	LOC757285	LOC118404703	C1
XLOC_019594	LOC579218	LOC118410361	C1
XLOC_020569	LOC576820	LOC118407512	C1
XLOC_019667	LOC582090	LOC118409728	C1
XLOC_019946	LOC588706	LOC118409550	C1
XLOC_019991	LOC373247	LOC118409698	C1
XLOC_020448	LOC581877	LOC118432136	C1
XLOC_020091	LOC577989	LOC118409387	C1
XLOC_019884	LOC589843	LOC118409662	C1
XLOC_020328	LOC587853	LOC118406361	C1
XLOC_019515	LOC579161	LOC118405661	C1
XLOC_019713	LOC100889641	LOC118409558	C1
XLOC_019552	LOC757339	LOC118409906	C1
XLOC_020562	LOC578422	LOC118405979	C1
XLOC_019730	LOC764294	LOC118431773	C1
XLOC_019615	LOC576199	LOC118409940	C1
XLOC_019888	LOC592581	LOC118410363	C1
XLOC_019838	LOC100888877	LOC118409343	C1
XLOC_019467	LOC579386	LOC118409944	C1
XLOC_020632	LOC585461	LOC118410040	C1
XLOC_020113	LOC591246	LOC118410419	C1
XLOC_019479	LOC592450	LOC118408272	C1
XLOC_019427	LOC581019	LOC118409353	C1
XLOC_020550	LOC587528	LOC118410209	C1
XLOC_019438	LOC576179	LOC118403593	C1
XLOC_019419	LOC754579	LOC118410304	C1
XLOC_019757	LOC576960	LOC118406069	C1
XLOC_020080	LOC582226	LOC118410204	C1
XLOC_019613	LOC576795	LOC118409722	C1
XLOC_019755	LOC100888374	LOC118409992	C1
XLOC_020201	LOC582558	LOC118408440	C1
XLOC_019830	LOC586769	LOC118405060	C1
XLOC_020493	LOC583428	LOC118409939	C1
XLOC_020117	LOC591326	LOC118410340	C1
XLOC_019903	LOC579753	LOC118407264	C1
XLOC_020234	LOC100892358	LOC118409715	C1
XLOC_020676	LOC589685	LOC118409374	C1
XLOC_019846	LOC581006	LOC118410554	C1
XLOC_019923	LOC574929	LOC118410183	C1
XLOC_019910	LOC588342	LOC118409277	C1
XLOC_019905	LOC575989	LOC118409619	C1
XLOC_020526	LOC585759	LOC118409865	C1
XLOC_019603	LOC581973	LOC118409774	C1
XLOC_020359	LOC115918408	LOC118405277	C1
XLOC_019925	LOC100892633	LOC118410546	C1
XLOC_019453	LOC100891679	LOC118410642	C1
XLOC_019893	LOC115920599	LOC118410539	C1
XLOC_020605	LOC105437552	LOC118409598	C1
XLOC_020332	LOC575030	LOC118409504	C1
XLOC_019462	LOC582265	LOC118410028	C1
XLOC_019549	LOC587726	LOC118410283	C1
XLOC_020585	LOC586417	LOC118409551	C1
XLOC_020341	LOC752969	LOC118409294	C1
XLOC_019473	LOC576365	LOC118409463	C1
XLOC_019891	LOC585580	LOC118410316	C1
XLOC_020179	LOC579454	LOC118409373	C1
XLOC_020486	LOC576025	LOC118409670	C1
XLOC_020582	LOC581865	LOC118409442	C1
XLOC_019463	LOC594469	LOC118410217	C1
XLOC_019481	LOC594681	LOC118409949	C1
XLOC_020631	LOC581148	LOC118403201	C1
XLOC_020602	LOC588662	LOC118409518	C1
XLOC_020426	LOC105445269	LOC118410167	C1
XLOC_020084	LOC100888783	LOC118409429	C1
XLOC_020197	LOC581814	LOC118410370	C1
XLOC_020480	LOC581337	LOC118410364	C1
XLOC_019726	LOC100891041	LOC118409149	C1
XLOC_020422	LOC577616	LOC118410409	C1
XLOC_019945	LOC583039	LOC118409901	C1
XLOC_020081	LOC576952	LOC118409946	C1
XLOC_019630	LOC574892	LOC118409535	C1
XLOC_020345	LOC584359	LOC118409199	C1
XLOC_020405	LOC753829	LOC118410015	C1
XLOC_019936	LOC583052	LOC118406079	C1
XLOC_020556	LOC574998	LOC118404739	C1
XLOC_019497	LOC593705	LOC118409843	C1
XLOC_020292	LOC577207	LOC118406334	C1
XLOC_020205	LOC585826	LOC118406985	C1
XLOC_019491	LOC583805	LOC118406526	C1
XLOC_020495	LOC578606	LOC118409952	C1
XLOC_019543	LOC105436412	LOC118405048	C1
XLOC_019762	LOC580829	LOC118410160	C1
XLOC_020419	LOC105437263	LOC118410096	C1
XLOC_019556	LOC582557	LOC118432237	C1
XLOC_020198	LOC579229	LOC118410287	C1
XLOC_019784	LOC579345	LOC118409363	C1
XLOC_020418	LOC586975	LOC118409831	C1
XLOC_020584	LOC575759	LOC118409096	C1
XLOC_019609	LOC576113	LOC118409514	C1
XLOC_020429	LOC581170	LOC118409956	C1
XLOC_020228	LOC581932	LOC118405605	C1
XLOC_019498	LOC577580	LOC118409852	C1
XLOC_019712	LOC582112	LOC118405378	C1
XLOC_019553	LOC578215	LOC118409469	C1
XLOC_019610	LOC576850	LOC118407004	C1
XLOC_020124	LOC581828	LOC118405146	C1
XLOC_019719	LOC577363	LOC118409937	C1
XLOC_020079	LOC594675	LOC118407797	C1
XLOC_020256	LOC588522	LOC118410246	C1
XLOC_020082	LOC578353	LOC118409959	C1
XLOC_020019	LOC105446077	LOC118432121	C1
XLOC_020393	LOC100889704	LOC118403158	C1
XLOC_020244	LOC581757	LOC118409537	C1
XLOC_019975	LOC577491	LOC118410074	C1
XLOC_019990	LOC576505	LOC118409746	C1
XLOC_019833	LOC591219	LOC118410451	C1
XLOC_020581	LOC576678	LOC118409613	C1
XLOC_020207	LOC582331	LOC118409958	C1
XLOC_019644	LOC100894029	LOC118409346	C1
XLOC_020644	LOC592360	LOC118410618	C1
XLOC_020678	LOC594679	LOC118410396	C1
XLOC_020241	LOC578193	LOC118407776	C1
XLOC_019475	LOC578002	LOC118409928	C1
XLOC_019480	LOC100890739	LOC118410050	C1
XLOC_020583	LOC753210	LOC118409904	C1
XLOC_022938	LOC580010	LOC118411994	C2
XLOC_014072	LOC373234	LOC118412422	C2
XLOC_022697	LOC594620	LOC118411916	C2
XLOC_014113	LOC105445244	LOC118410903	C2
XLOC_013122	LOC576891	LOC118411535	C2
XLOC_014377	LOC578083	LOC118411611	C2
XLOC_023144	LOC373240	LOC118411061	C2
XLOC_013712	LOC575234	LOC118412269	C2
XLOC_023535	LOC582488	LOC118412275	C2
XLOC_013430	LOC593676	LOC118411318	C2
XLOC_023632	LOC586198	LOC118411918	C2
XLOC_013124	LOC585561	LOC118412108	C2
XLOC_013711	LOC582208	LOC118411922	C2
XLOC_013987	LOC583107	LOC118412278	C2
XLOC_013432	LOC578192	LOC118412634	C2
XLOC_021862	LOC581024	LOC118412329	C2
XLOC_013424	LOC115919301	LOC118412248	C2
XLOC_022107	LOC580016	LOC118411549	C2
XLOC_013663	LOC579944	LOC118411589	C2
XLOC_022652	LOC578005	LOC118412158	C2
XLOC_023179	LOC584318	LOC118411911	C2
XLOC_013365	LOC594485	LOC118412189	C2
XLOC_014004	LOC594826	LOC118412414	C2
XLOC_022636	gnaq	LOC118412001	C2
XLOC_013659	LOC579676	LOC118412297	C2
XLOC_013260	LOC587197	LOC118412341	C2
XLOC_014384	rab11	LOC118412733	C2
XLOC_013233	LOC576972	LOC118412101	C2
XLOC_023630	LOC100888145	LOC118411635	C2
XLOC_014425	LOC756234	LOC118410797	C2
XLOC_013237	LOC575560	LOC118410906	C2
XLOC_014440	LOC578394	LOC118411940	C2
XLOC_013238	LOC100887880	LOC118410804	C2
XLOC_014002	LOC576399	LOC118412191	C2
XLOC_013924	LOC753198	LOC118412507	C2
XLOC_013809	LOC590445	LOC118412450	C2
XLOC_023335	LOC594652	LOC118411917	C2
XLOC_022521	LOC589684	LOC118412737	C2
XLOC_023337	rab8	LOC118411962	C2
XLOC_014000	LOC581153	LOC118411196	C2
XLOC_023180	LOC577137	LOC118411948	C2
XLOC_014396	LOC579306	LOC118411705	C2
XLOC_013975	LOC590931	LOC118412166	C2
XLOC_023282	LOC763089	LOC118411999	C2
XLOC_013376	LOC592010	LOC118412622	C2
XLOC_014311	LOC594488	LOC118411499	C2
XLOC_023336	LOC583649	LOC118411964	C2
XLOC_021968	LOC583286	LOC118411224	C2
XLOC_014022	LOC588386	LOC118411286	C2
XLOC_014301	LOC583339	LOC118411500	C2
XLOC_014003	LOC576686	LOC118411364	C2
XLOC_022915	LOC584529	LOC118412311	C2
XLOC_014228	LOC579703	LOC118411044	C2
XLOC_023315	LOC581228	LOC118411978	C2
XLOC_013773	LOC576833	LOC118411236	C2
XLOC_013241	LOC762467	LOC118412688	C2
XLOC_022089	LOC581523	LOC118411231	C2
XLOC_022960	LOC582724	LOC118411936	C2
XLOC_014372	LOC115919158	LOC118411591	C2
XLOC_013364	LOC576460	LOC118412192	C2
XLOC_022663	LOC579637	LOC118412510	C2
XLOC_022166	LOC582526	LOC118412315	C2
XLOC_023178	LOC579661	LOC118411069	C2
XLOC_013265	LOC575335	LOC118412318	C2
XLOC_014081	LOC584749	LOC118412322	C2
XLOC_013275	LOC575376	LOC118411276	C2
XLOC_013152	LOC580618	LOC118411119	C2
XLOC_023396	LOC580696	LOC118411375	C2
XLOC_022959	LOC578794	LOC118411984	C2
XLOC_014394	LOC581552	LOC118411515	C2
XLOC_013905	LOC594046	LOC118411509	C2
XLOC_005221	LOC577327	LOC118418283	D
XLOC_005787	LOC105441596	LOC118417299	D
XLOC_005157	LOC764755	LOC118418449	D
XLOC_006296	LOC100890022	LOC118417246	D
XLOC_006256	LOC581380	LOC118418448	D
XLOC_005181	LOC583807	LOC118417806	D
XLOC_006148	LOC583289	LOC118416987	D
XLOC_006330	LOC100890867	LOC118417031	D
XLOC_006000	LOC592799	LOC118417296	D
XLOC_006360	LOC754489	LOC118418555	D
XLOC_005999	LOC589790	LOC118417386	D
XLOC_005668	LOC577193	LOC118417410	D
XLOC_005120	LOC590618	LOC118418452	D
XLOC_005955	LOC578361	LOC118417801	D
XLOC_006431	LOC582731	LOC118417155	D
XLOC_006078	LOC582341	LOC118417713	D
XLOC_005757	LOC585877	LOC118417539	D
XLOC_005246	LOC581299	LOC118417622	D
XLOC_005134	LOC100892079	LOC118417800	D
XLOC_005226	LOC579482	LOC118417177	D
XLOC_006041	LOC115917893	LOC118418692	D
XLOC_006045	LOC587976	LOC118417323	D
XLOC_005820	LOC576814	LOC118417690	D
XLOC_006305	LOC577709	LOC118417609	D
XLOC_006375	LOC756874	LOC118417089	D
XLOC_006008	LOC100890759	LOC118418456	D
XLOC_006629	LOC585057	LOC118417018	D
XLOC_005868	LOC588026	LOC118417730	D
XLOC_006685	LOC586120	LOC118417424	D
XLOC_005531	LOC574654	LOC118417583	D
XLOC_006174	LOC100892878	LOC118418081	D
XLOC_006146	LOC588512	LOC118417267	D
XLOC_005173	LOC593722	LOC118418042	D
XLOC_005481	LOC754460	LOC118417461	D
XLOC_005911	LOC575851	LOC118417626	D
XLOC_006544	LOC581078	LOC118418469	D
XLOC_006534	LOC593832	LOC118418156	D
XLOC_006080	LOC762939	LOC118418022	D
XLOC_005634	LOC575687	LOC118417509	D
XLOC_005121	LOC763224	LOC118417554	D
XLOC_006353	LOC580589	LOC118417276	D
XLOC_005461	LOC373526	LOC118417414	D
XLOC_006574	LOC105445128	LOC118417086	D
XLOC_006023	LOC576676	LOC118417026	D
XLOC_006084	LOC593843	LOC118417445	D
XLOC_005418	LOC578473	LOC118417241	D
XLOC_005875	LOC100892512	LOC118418697	D
XLOC_005581	LOC589536	LOC118418455	D
XLOC_005952	LOC579162	LOC118417145	D
XLOC_006181	KIF15	LOC118417581	D
XLOC_006249	LOC589354	LOC118417847	D
XLOC_006386	LOC580938	LOC118417656	D
XLOC_005409	LOC105436396	LOC118417301	D
XLOC_006046	LOC576535	LOC118417968	D
XLOC_006010	LOC584118	LOC118416992	D
XLOC_006384	LOC100894042	LOC118417763	D
XLOC_005784	LOC575063	LOC118417180	D
XLOC_005670	LOC576022	LOC118417970	D
XLOC_005843	LOC575180	LOC118417332	D
XLOC_006346	LOC589767	LOC118417030	D
XLOC_005882	LOC591586	LOC118417693	D
XLOC_006743	LOC578765	LOC118417742	D
XLOC_006573	LOC592875	LOC118417640	D
XLOC_005774	LOC585381	LOC118417700	D
XLOC_006678	LOC590159	LOC118417647	D
XLOC_006253	LOC575037	LOC118417976	D
XLOC_005825	LOC574714	LOC118417771	D
XLOC_006627	LOC591616	LOC118418208	D
XLOC_006673	LOC580315	LOC118417117	D
XLOC_006159	LOC580780	LOC118417062	D
XLOC_005748	LOC588014	LOC118417061	D
XLOC_006684	LOC591161	LOC118417425	D
XLOC_006515	LOC583384	LOC118418376	D
XLOC_005791	LOC594821	LOC118417587	D
XLOC_006149	LOC583590	LOC118417530	D
XLOC_005376	LOC100890993	LOC118418095	D
XLOC_005147	LOC587533	LOC118418691	D
XLOC_005111	LOC583941	LOC118417330	D
XLOC_005494	LOC592180	LOC118417648	D
XLOC_006192	LOC115920276	LOC118417636	D
XLOC_005858	LOC580374	LOC118417118	D
XLOC_005785	LOC578454	LOC118418568	D
XLOC_005943	LOC578892	LOC118417586	D
XLOC_006289	LOC579605	LOC118417549	D
XLOC_006668	LOC586937	LOC118417259	D
XLOC_006753	LOC577028	LOC118417910	D
XLOC_006453	LOC592114	LOC118417578	D
XLOC_005563	LOC577533	LOC118417326	D
XLOC_006183	LOC588045	LOC118418453	D
XLOC_006040	LOC576494	LOC118418693	D
XLOC_006640	LOC574666	LOC118418373	D
XLOC_005532	LOC100891091	LOC118417032	D
XLOC_005877	LOC575996	LOC118417817	D
XLOC_006443	LOC591937	LOC118417600	D
XLOC_005136	LOC105437505	LOC118417751	D
XLOC_005465	LOC589508	LOC118418286	D
XLOC_005993	LOC100887959	LOC118417163	D
XLOC_005603	LOC588885	LOC118417820	D
XLOC_005978	LOC579321	LOC118418370	D
XLOC_005880	LOC100891243	LOC118417716	D
XLOC_006308	LOC587600	LOC118418408	D
XLOC_005186	LOC575334	LOC118418698	D
XLOC_005395	LOC582538	LOC118418308	D
XLOC_005156	LOC762546	LOC118416989	D
XLOC_005372	LOC589652	LOC118418317	D
XLOC_006652	LOC762470	LOC118417302	D
XLOC_006706	LOC578167	LOC118418496	D
XLOC_005342	LOC580710	LOC118417524	D
XLOC_005667	LOC576704	LOC118418322	D
XLOC_005870	LOC590657	LOC118417710	D
XLOC_006449	LOC577772	LOC118418556	D
XLOC_006679	LOC579546	LOC118417265	D
XLOC_005805	LOC589182	LOC118418454	D
XLOC_006053	LOC100890202	LOC118418461	D
XLOC_006196	LOC574701	LOC118417453	D
XLOC_005624	LOC580714	LOC118418038	D
XLOC_006561	LOC580747	LOC118417582	D
XLOC_006404	LOC575199	LOC118417812	D
XLOC_005618	LOC579041	LOC118417346	D
XLOC_005501	LOC100889332	LOC118417824	D
XLOC_006314	LOC100889859	LOC118417485	D
XLOC_005656	LOC757166	LOC118418492	D
XLOC_005425	LOC590813	LOC118418684	D
XLOC_006060	LOC764031	LOC118417372	D
XLOC_005884	LOC100890634	LOC118417624	D
XLOC_006241	LOC579933	LOC118417533	D
XLOC_006214	LOC576911	LOC118417831	D
XLOC_005666	LOC581164	LOC118417166	D
XLOC_005910	LOC752724	LOC118417044	D
XLOC_006075	LOC575939	LOC118417815	D
XLOC_005155	LOC578956	LOC118416993	D
XLOC_005617	LOC105445726	LOC118417345	D
XLOC_006189	LOC580136	LOC118418019	D
XLOC_005138	LOC115920367	LOC118418624	D
XLOC_006571	LOC589543	LOC118417007	D
XLOC_005491	LOC580779	LOC118417170	D
XLOC_005948	LOC575003	LOC118417909	D
XLOC_005149	LOC592785	LOC118417298	D
