Orthogroup	AMPFI_ok	YEAST
OG0001204	AMPFI_11339, AMPFI_14021, AMPFI_11338	YEAST05200
OG0001207	AMPFI_02832	YEAST04258
OG0001210	AMPFI_13828	YEAST05511
OG0001210	AMPFI_05417	YEAST02318
OG0001212	AMPFI_04206, AMPFI_11836, AMPFI_24007, AMPFI_21239, AMPFI_00782, AMPFI_04879	YEAST03971
OG0001214	AMPFI_05265	YEAST00577
OG0001216	AMPFI_06120, AMPFI_13697	YEAST00145
OG0001219	AMPFI_23839	YEAST03867
OG0001236	AMPFI_04390	YEAST03325, YEAST02687, YEAST03269
OG0001237	AMPFI_09608	YEAST04380
OG0001238	AMPFI_08671, AMPFI_08263	YEAST04481
OG0001241	AMPFI_10474	YEAST02002
OG0001241	AMPFI_05156	YEAST03967, YEAST01074
OG0001243	AMPFI_09177	YEAST00739, YEAST05004
OG0001249	AMPFI_23310	YEAST01062, YEAST02067
OG0001250	AMPFI_07433	YEAST02968, YEAST01339
OG0001251	AMPFI_15272	YEAST01707
OG0001253	AMPFI_05658	YEAST03998
OG0001254	AMPFI_10158	YEAST04309
OG0001262	AMPFI_14619	YEAST00911
OG0001263	AMPFI_11017	YEAST00172
OG0001268	AMPFI_21846, AMPFI_17603	YEAST03495
OG0001270	AMPFI_10234	YEAST01703
OG0001270	AMPFI_15423	YEAST02398
OG0001271	AMPFI_12722	YEAST05227, YEAST00662
OG0001278	AMPFI_10211, AMPFI_19943	YEAST01893
OG0001279	AMPFI_05903	YEAST03070
OG0001280	AMPFI_23298	YEAST00846
OG0001284	AMPFI_11093, AMPFI_06659	YEAST00567, YEAST01498
OG0001291	AMPFI_17861	YEAST04453, YEAST04334
OG0001300	AMPFI_08329	YEAST01098
OG0001302	AMPFI_16649, AMPFI_15529	YEAST02328
OG0001302	AMPFI_08047	YEAST00299
OG0001310	AMPFI_22226, AMPFI_04482, AMPFI_16368, AMPFI_06804	YEAST00887
OG0001318	AMPFI_07561, AMPFI_11299	YEAST03712
OG0001319	AMPFI_11777	YEAST01678
OG0001321	AMPFI_00079	YEAST02280, YEAST01901
OG0001322	AMPFI_10344, AMPFI_23671	YEAST06128
OG0001324	AMPFI_20900, AMPFI_04734, AMPFI_24533, AMPFI_26008, AMPFI_04915, AMPFI_20066	YEAST00078
OG0001325	AMPFI_10346	YEAST00793
OG0001326	AMPFI_12886	YEAST05395
OG0001327	AMPFI_08065, AMPFI_15522	YEAST03176
OG0001332	AMPFI_20259	YEAST03929, YEAST02705, YEAST00687
OG0001333	AMPFI_00843, AMPFI_13930	YEAST00728
OG0001341	AMPFI_18936, AMPFI_14355, AMPFI_06570, AMPFI_10755, AMPFI_01027	YEAST06006
OG0001345	AMPFI_09770	YEAST03613
OG0001353	AMPFI_10664	YEAST00020, YEAST04041
OG0001363	AMPFI_00070, AMPFI_09800, AMPFI_08365, AMPFI_02799, AMPFI_04841, AMPFI_18618	YEAST06180
OG0001364	AMPFI_02281, AMPFI_19179, AMPFI_14823, AMPFI_11134	YEAST06038, YEAST00402
OG0001367	AMPFI_02161, AMPFI_22268	YEAST04688
OG0001368	AMPFI_11158	YEAST01821
OG0001370	AMPFI_06706, AMPFI_09461	YEAST04067, YEAST05195, YEAST00897
OG0001371	AMPFI_10372, AMPFI_15938, AMPFI_12819	YEAST00532, YEAST03976
OG0001372	AMPFI_21335	YEAST00070
OG0001372	AMPFI_18921	YEAST02226
OG0001375	AMPFI_00915, AMPFI_06104	YEAST05499, YEAST05567
OG0001378	AMPFI_15247	YEAST02300
OG0001379	AMPFI_14320	YEAST04155
OG0001386	AMPFI_07982	YEAST05114
OG0001397	AMPFI_21706, AMPFI_17878, AMPFI_10775	YEAST05731
OG0001400	AMPFI_24286, AMPFI_24285	YEAST02931
OG0001409	AMPFI_10191	YEAST00885, YEAST04659
OG0001410	AMPFI_02616	YEAST05046
OG0001411	AMPFI_10031	YEAST04834
OG0001412	AMPFI_08141	YEAST04490
OG0001413	AMPFI_15619, AMPFI_20583, AMPFI_22440	YEAST04294
OG0001414	AMPFI_02896, AMPFI_24645, AMPFI_20423	YEAST06070, YEAST01920
OG0001415	AMPFI_19237	YEAST04230
OG0001415	AMPFI_17043, AMPFI_07414, AMPFI_08129	YEAST00964
OG0001421	AMPFI_22931	YEAST05252
OG0001422	AMPFI_23699	YEAST05588, YEAST01363
OG0001424	AMPFI_01906, AMPFI_17965	YEAST01127
OG0001427	AMPFI_07391	YEAST01885
OG0001428	AMPFI_11938	YEAST04862, YEAST05862, YEAST02749, YEAST03037
OG0001430	AMPFI_07622	YEAST01712
OG0001434	AMPFI_18441, AMPFI_12885, AMPFI_06188, AMPFI_09637, AMPFI_21758, AMPFI_19362	YEAST03991
OG0001437	AMPFI_07780, AMPFI_13432, AMPFI_20020	YEAST01264, YEAST02900
OG0001445	AMPFI_06828	YEAST01715
OG0001449	AMPFI_17066	YEAST03188
OG0001452	AMPFI_17582, AMPFI_16484, AMPFI_24052, AMPFI_20965	YEAST05900
OG0001454	AMPFI_18370	YEAST01495, YEAST00573
OG0001456	AMPFI_19906, AMPFI_01959, AMPFI_23142, AMPFI_13598, AMPFI_00318	YEAST00365
OG0001459	AMPFI_19783	YEAST03073, YEAST03464
OG0001461	AMPFI_25442, AMPFI_13135, AMPFI_20976, AMPFI_23123, AMPFI_22344	YEAST05255
OG0001468	AMPFI_19331	YEAST03875, YEAST03904
OG0001469	AMPFI_05229	YEAST02070
OG0001469	AMPFI_24846, AMPFI_02483	YEAST02765
OG0001470	AMPFI_00691, AMPFI_04493, AMPFI_20223, AMPFI_17999, AMPFI_17567, AMPFI_01501, AMPFI_00067, AMPFI_19107	YEAST00369, YEAST05375
OG0001472	AMPFI_01053, AMPFI_03075, AMPFI_01967	YEAST03031
OG0001473	AMPFI_03739, AMPFI_01823	YEAST05711
OG0001474	AMPFI_18399, AMPFI_15974, AMPFI_12260, AMPFI_25092, AMPFI_21316	YEAST01416, YEAST05312
OG0001478	AMPFI_01874	YEAST01984
OG0001478	AMPFI_18015, AMPFI_17948	YEAST02078
OG0001479	AMPFI_06247	YEAST01132
OG0001503	AMPFI_03346	YEAST03032
OG0001503	AMPFI_06513	YEAST02920
OG0001504	AMPFI_14749	YEAST05406
OG0001505	AMPFI_04877, AMPFI_09677	YEAST03361
OG0001508	AMPFI_01605	YEAST04143
OG0001515	AMPFI_22558	YEAST03320
OG0001520	AMPFI_11649, AMPFI_06123	YEAST03872
OG0001524	AMPFI_12143, AMPFI_24831	YEAST03912
OG0001525	AMPFI_18577	YEAST03420
OG0001525	AMPFI_18416	YEAST00757
OG0001527	AMPFI_06183, AMPFI_10281	YEAST01395
OG0001529	AMPFI_24259	YEAST01143
OG0001530	AMPFI_20395, AMPFI_21100, AMPFI_17451, AMPFI_04325	YEAST00643
OG0001546	AMPFI_02652, AMPFI_04446, AMPFI_19645, AMPFI_14806, AMPFI_24267, AMPFI_03026, AMPFI_04539	YEAST03111
OG0001550	AMPFI_12309, AMPFI_21451	YEAST02405, YEAST05953
OG0001551	AMPFI_18500	YEAST04817
OG0001553	AMPFI_24765	YEAST05147, YEAST01586
OG0001557	AMPFI_09537	YEAST04671
OG0001558	AMPFI_15140	YEAST04449
OG0001559	AMPFI_05445	YEAST00445, YEAST02434
OG0001561	AMPFI_06589	YEAST06176
OG0001564	AMPFI_02020, AMPFI_01949, AMPFI_20454, AMPFI_24971	YEAST05390
OG0001570	AMPFI_12961, AMPFI_12059	YEAST04678
OG0001573	AMPFI_05942	YEAST03285
OG0001578	AMPFI_11954	YEAST01872
OG0001580	AMPFI_13898	YEAST06270
OG0001590	AMPFI_24468	YEAST03476, YEAST00717, YEAST03955
OG0001594	AMPFI_13904, AMPFI_25650, AMPFI_18261, AMPFI_11597	YEAST03418
OG0001597	AMPFI_13604, AMPFI_12341	YEAST01702
OG0001603	AMPFI_09371, AMPFI_09370, AMPFI_09372	YEAST02584
OG0001604	AMPFI_07862, AMPFI_04179, AMPFI_13911	YEAST01428
OG0001605	AMPFI_24911, AMPFI_18083	YEAST04101
OG0001609	AMPFI_10765, AMPFI_06902	YEAST02739
OG0001610	AMPFI_05189	YEAST00596
OG0001612	AMPFI_03248, AMPFI_24849, AMPFI_16308	YEAST01109
OG0001628	AMPFI_23293, AMPFI_19870, AMPFI_15107, AMPFI_14676, AMPFI_12805	YEAST04790
OG0001653	AMPFI_18635	YEAST01151
OG0001655	AMPFI_21729, AMPFI_16010	YEAST03354
OG0001657	AMPFI_11506	YEAST00101, YEAST00944
OG0001663	AMPFI_19928, AMPFI_14386	YEAST05642
OG0001676	AMPFI_10805	YEAST06155
OG0001679	AMPFI_09908, AMPFI_15820, AMPFI_01883	YEAST05302, YEAST02334, YEAST02449, YEAST01523
OG0001680	AMPFI_18352	YEAST01119, YEAST04022
OG0001685	AMPFI_05011	YEAST01147
OG0001687	AMPFI_24429, AMPFI_09173, AMPFI_17336, AMPFI_25410	YEAST05279
OG0001691	AMPFI_08102, AMPFI_00359	YEAST01315
OG0001704	AMPFI_22958, AMPFI_17780	YEAST01293
OG0001706	AMPFI_00734	YEAST03424
OG0001707	AMPFI_01640, AMPFI_02566, AMPFI_19827, AMPFI_04732, AMPFI_04330, AMPFI_03799, AMPFI_16330, AMPFI_14071	YEAST06049, YEAST00407, YEAST04739
OG0001708	AMPFI_10288, AMPFI_03554	YEAST05744, YEAST05745
OG0001709	AMPFI_24047	YEAST04440
OG0001713	AMPFI_07986	YEAST04039
OG0001718	AMPFI_26075, AMPFI_15984	YEAST01537
OG0001721	AMPFI_11273	YEAST04881, YEAST05253, YEAST00698
OG0001723	AMPFI_21807	YEAST01435
OG0001727	AMPFI_09267	YEAST04543
OG0001728	AMPFI_01049, AMPFI_00465	YEAST03347
OG0001730	AMPFI_09157	YEAST00177
OG0001736	AMPFI_10858	YEAST04588
OG0001739	AMPFI_18533	YEAST03760
OG0001750	AMPFI_12484	YEAST03628
OG0001755	AMPFI_06376	YEAST02688
OG0001756	AMPFI_19308, AMPFI_09088	YEAST00620
OG0001769	AMPFI_17583, AMPFI_24487	YEAST04726
OG0001770	AMPFI_16335	YEAST02590
OG0001774	AMPFI_10680	YEAST05166
OG0001775	AMPFI_09788, AMPFI_06264, AMPFI_09825	YEAST05594
OG0001780	AMPFI_07742	YEAST03768
OG0001781	AMPFI_23560, AMPFI_08314	YEAST01882
OG0001782	AMPFI_24297, AMPFI_23696, AMPFI_20707, AMPFI_12965	YEAST02421
OG0001785	AMPFI_16195, AMPFI_02986, AMPFI_16358, AMPFI_11500	YEAST02713
OG0001787	AMPFI_25681	YEAST03546
OG0001792	AMPFI_21133	YEAST04331
OG0001792	AMPFI_02745	YEAST02075
OG0001792	AMPFI_07829	YEAST04595
OG0001793	AMPFI_08492, AMPFI_17091	YEAST02466
OG0001805	AMPFI_11465	YEAST05496, YEAST01242
OG0001807	AMPFI_13156	YEAST05464
OG0001808	AMPFI_01463, AMPFI_10697, AMPFI_10214	YEAST01298
OG0001818	AMPFI_13689	YEAST05902, YEAST04712
OG0001822	AMPFI_12887	YEAST04378, YEAST01659
OG0001828	AMPFI_04303, AMPFI_14487, AMPFI_14486	YEAST04676
OG0001829	AMPFI_21635, AMPFI_14667	YEAST01613, YEAST00136, YEAST02008
OG0001831	AMPFI_22534, AMPFI_24544	YEAST00024
OG0001832	AMPFI_01169, AMPFI_13912	YEAST05376
OG0001846	AMPFI_10946	YEAST04351, YEAST04434
OG0001846	AMPFI_05493	YEAST05067
OG0001850	AMPFI_22844, AMPFI_19567, AMPFI_02254, AMPFI_21066	YEAST01913
OG0001852	AMPFI_09915	YEAST03121
OG0001853	AMPFI_25436	YEAST05176
OG0001857	AMPFI_05151	YEAST04741
OG0001860	AMPFI_10262, AMPFI_06272	YEAST00188
OG0001861	AMPFI_05758, AMPFI_05546, AMPFI_02118	YEAST05779, YEAST04773
OG0001863	AMPFI_13121, AMPFI_08387	YEAST03017
OG0001865	AMPFI_08697	YEAST06037, YEAST00399, YEAST02919
OG0001866	AMPFI_13351	YEAST05095, YEAST05570
OG0001867	AMPFI_05628	YEAST01669
OG0001873	AMPFI_03890	YEAST00981, YEAST00267
OG0001875	AMPFI_04167, AMPFI_06025	YEAST04137
OG0001886	AMPFI_21596	YEAST03260
OG0001888	AMPFI_13172, AMPFI_06802	YEAST05749, YEAST01573
OG0001893	AMPFI_19478	YEAST01023
OG0001894	AMPFI_23829	YEAST00433
OG0001899	AMPFI_14699	YEAST01210, YEAST04466
OG0001900	AMPFI_22311	YEAST05053
OG0001903	AMPFI_22480	YEAST06020
OG0001913	AMPFI_25417, AMPFI_20028	YEAST05520
OG0001915	AMPFI_24256	YEAST04791
OG0001917	AMPFI_25940	YEAST01859
OG0001923	AMPFI_05606	YEAST05881
OG0001926	AMPFI_12255	YEAST02948
OG0001932	AMPFI_22509	YEAST03770, YEAST03179
OG0001934	AMPFI_10308	YEAST00877
OG0001935	AMPFI_16321, AMPFI_05252	YEAST00431
OG0001938	AMPFI_24340	YEAST03931
OG0001940	AMPFI_23874	YEAST04188, YEAST05646
OG0001943	AMPFI_17954	YEAST02393, YEAST05966
OG0001945	AMPFI_00770, AMPFI_12531	YEAST01671
OG0001947	AMPFI_19758	YEAST02570
OG0001951	AMPFI_06568	YEAST00941, YEAST05396
OG0001952	AMPFI_12492	YEAST04673, YEAST01990, YEAST00155
OG0001965	AMPFI_25846	YEAST04582
OG0001968	AMPFI_03626, AMPFI_02828	YEAST04910
OG0001969	AMPFI_20288	YEAST06173
OG0001972	AMPFI_15172	YEAST01822, YEAST03363
OG0001985	AMPFI_00548	YEAST04959
OG0001992	AMPFI_09449	YEAST02679
OG0001998	AMPFI_11941	YEAST00890
OG0002001	AMPFI_02709	YEAST00502, YEAST03944
OG0002003	AMPFI_03786, AMPFI_24835	YEAST02826, YEAST03671
OG0002008	AMPFI_22453, AMPFI_06546	YEAST00768
OG0002010	AMPFI_25840	YEAST00609
OG0002013	AMPFI_00191, AMPFI_10559, AMPFI_10560	YEAST03040
OG0002014	AMPFI_21176, AMPFI_02559	YEAST02422
OG0002015	AMPFI_07020	YEAST05525
OG0002025	AMPFI_16365, AMPFI_15837, AMPFI_05377	YEAST03650
OG0002026	AMPFI_00510, AMPFI_07639	YEAST01247
OG0002029	AMPFI_14294	YEAST02646
OG0002031	AMPFI_08223	YEAST02752
OG0002032	AMPFI_07992	YEAST01221
OG0002042	AMPFI_06985	YEAST02880
OG0002043	AMPFI_11574	YEAST04003
OG0002059	AMPFI_12396	YEAST05893, YEAST04718
OG0002062	AMPFI_20199	YEAST05454
OG0002063	AMPFI_24725, AMPFI_08059	YEAST00838
OG0002067	AMPFI_16394	YEAST03444
OG0002069	AMPFI_07503, AMPFI_18734	YEAST05962
OG0002073	AMPFI_25365	YEAST04552
OG0002076	AMPFI_24244	YEAST02206
OG0002078	AMPFI_16293	YEAST06232
OG0002079	AMPFI_23455	YEAST05765, YEAST00483
OG0002080	AMPFI_00131, AMPFI_15363	YEAST05220, YEAST04736
OG0002087	AMPFI_07836	YEAST05702
OG0002090	AMPFI_10383	YEAST02246
OG0002093	AMPFI_22177	YEAST02255
OG0002097	AMPFI_09945	YEAST02697
OG0002101	AMPFI_12592, AMPFI_10537	YEAST03902
OG0002103	AMPFI_02167, AMPFI_02166	YEAST05974
OG0002106	AMPFI_23682	YEAST03654
OG0002108	AMPFI_14729	YEAST03715
OG0002123	AMPFI_13795	YEAST02444
OG0002125	AMPFI_14988, AMPFI_19443, AMPFI_19550	YEAST05183
OG0002131	AMPFI_22649, AMPFI_11577	YEAST04275
OG0002137	AMPFI_24466, AMPFI_14326, AMPFI_07582	YEAST04320
OG0002138	AMPFI_24662, AMPFI_04613	YEAST02406
OG0002144	AMPFI_07287, AMPFI_05043	YEAST02673
OG0002146	AMPFI_05844	YEAST04333, YEAST00109, YEAST03088, YEAST04454
OG0002147	AMPFI_12842, AMPFI_03644, AMPFI_12841	YEAST04532, YEAST01219
OG0002148	AMPFI_23168, AMPFI_13637	YEAST02060
OG0002152	AMPFI_09776	YEAST05624
OG0002156	AMPFI_05384	YEAST03007
OG0002160	AMPFI_14776	YEAST03960
OG0002165	AMPFI_09337	YEAST04504
OG0002168	AMPFI_24771, AMPFI_10928	YEAST00516
OG0002169	AMPFI_21144, AMPFI_21299	YEAST02258
OG0002175	AMPFI_25478, AMPFI_12062	YEAST04956
OG0002184	AMPFI_11522	YEAST00242
OG0002185	AMPFI_09801	YEAST05212
OG0002188	AMPFI_14506, AMPFI_19113	YEAST04638, YEAST03913
OG0002189	AMPFI_03764, AMPFI_22355	YEAST02882, YEAST04447
OG0002197	AMPFI_20061	YEAST04045
OG0002213	AMPFI_10801, AMPFI_13684, AMPFI_08701	YEAST01241, YEAST05495
OG0002216	AMPFI_02814, AMPFI_22578, AMPFI_22501, AMPFI_01725	YEAST06040
OG0002217	AMPFI_25107, AMPFI_18149, AMPFI_19805	YEAST06033
OG0002222	AMPFI_11752	YEAST03240
OG0002224	AMPFI_12765	YEAST01574
OG0002225	AMPFI_07786	YEAST04939
OG0002226	AMPFI_09925	YEAST00948
OG0002228	AMPFI_01748	YEAST04154, YEAST05632
OG0002233	AMPFI_20496, AMPFI_02770	YEAST00277
OG0002239	AMPFI_09155	YEAST01621
OG0002241	AMPFI_14262	YEAST02005
OG0002243	AMPFI_06850	YEAST04599, YEAST03601, YEAST04600
OG0002244	AMPFI_08460, AMPFI_07452	YEAST02768
OG0002252	AMPFI_05242	YEAST00826
OG0002261	AMPFI_03449, AMPFI_16530, AMPFI_00774	YEAST00472
OG0002264	AMPFI_24071	YEAST01705
OG0002279	AMPFI_09683	YEAST05800
OG0002282	AMPFI_20323	YEAST00881
OG0002288	AMPFI_05968	YEAST01591, YEAST05154
OG0002292	AMPFI_03614	YEAST00152
OG0002312	AMPFI_10232, AMPFI_15223	YEAST06295
OG0002316	AMPFI_02237	YEAST01805
OG0002318	AMPFI_24462, AMPFI_08489, AMPFI_21799	YEAST02923
OG0002319	AMPFI_08821	YEAST00329
OG0002321	AMPFI_00776, AMPFI_02703	YEAST02461
OG0002324	AMPFI_20398, AMPFI_07212, AMPFI_08976	YEAST02615, YEAST06287
OG0002326	AMPFI_07885	YEAST00310, YEAST02699
OG0002327	AMPFI_07418	YEAST00346, YEAST06217
OG0002331	AMPFI_24199, AMPFI_19373, AMPFI_03306	YEAST01653
OG0002332	AMPFI_17423	YEAST01606, YEAST05184, YEAST00285
OG0002341	AMPFI_11181, AMPFI_23909	YEAST03640, YEAST04562
OG0002344	AMPFI_13957	YEAST02312, YEAST02019
OG0002346	AMPFI_04693	YEAST02012
OG0002348	AMPFI_04385	YEAST01845
OG0002355	AMPFI_11767	YEAST00016
OG0002356	AMPFI_16602	YEAST00259
OG0002361	AMPFI_10352	YEAST01027
OG0002367	AMPFI_06056, AMPFI_07894	YEAST01179
OG0002369	AMPFI_19667, AMPFI_21321	YEAST03766
OG0002374	AMPFI_05495	YEAST02010, YEAST00133
OG0002377	AMPFI_08355	YEAST05000
OG0002406	AMPFI_17696	YEAST05509
OG0002407	AMPFI_21084	YEAST00012
OG0002409	AMPFI_23640	YEAST02027
OG0002411	AMPFI_06324	YEAST05950, YEAST02407
OG0002412	AMPFI_04294, AMPFI_20575, AMPFI_02976	YEAST06171
OG0002413	AMPFI_15339, AMPFI_18357	YEAST01196
OG0002415	AMPFI_02625, AMPFI_08209	YEAST01271
OG0002421	AMPFI_14396, AMPFI_06900	YEAST02982
OG0002422	AMPFI_25635	YEAST05026
OG0002426	AMPFI_08039	YEAST00184
OG0002441	AMPFI_17008	YEAST00068, YEAST02278, YEAST05821
OG0002442	AMPFI_12744	YEAST05932
OG0002443	AMPFI_24450, AMPFI_15890, AMPFI_16326	YEAST04906
OG0002446	AMPFI_09464	YEAST04254
OG0002448	AMPFI_11264	YEAST00626
OG0002450	AMPFI_10376	YEAST04575
OG0002453	AMPFI_24853	YEAST00512
OG0002476	AMPFI_07173, AMPFI_08958	YEAST05799
OG0002486	AMPFI_16150	YEAST01433
OG0002492	AMPFI_22488	YEAST01624
OG0002494	AMPFI_13852	YEAST02402
OG0002495	AMPFI_25744	YEAST02772
OG0002497	AMPFI_16261	YEAST02747
OG0002500	AMPFI_06240	YEAST05648
OG0002505	AMPFI_03042, AMPFI_22720	YEAST02959
OG0002510	AMPFI_23738, AMPFI_00498	YEAST04753
OG0002516	AMPFI_07473	YEAST00066
OG0002518	AMPFI_11837	YEAST02890
OG0002520	AMPFI_01651	YEAST05256
OG0002523	AMPFI_02042	YEAST06234
OG0002527	AMPFI_15362	YEAST01639
OG0002528	AMPFI_11923	YEAST00372
OG0002530	AMPFI_06014	YEAST05530, YEAST03790
OG0002532	AMPFI_02544	YEAST03235
OG0002533	AMPFI_10313, AMPFI_11981	YEAST04525
OG0002543	AMPFI_05217	YEAST00527
OG0002557	AMPFI_10804	YEAST06243
OG0002561	AMPFI_16449, AMPFI_21135, AMPFI_22038	YEAST04438, YEAST02106
OG0002562	AMPFI_00756	YEAST03992
OG0002564	AMPFI_07937	YEAST02186
OG0002565	AMPFI_01084	YEAST04224, YEAST02499
OG0002570	AMPFI_07846	YEAST00592
OG0002574	AMPFI_24042	YEAST05657
OG0002594	AMPFI_11935	YEAST06174
OG0002598	AMPFI_08969	YEAST04621, YEAST03577
OG0002605	AMPFI_25285, AMPFI_01082, AMPFI_21170	YEAST06332
OG0002608	AMPFI_24780	YEAST03716, YEAST02846
OG0002609	AMPFI_25165	YEAST01355
OG0002610	AMPFI_08555	YEAST01078, YEAST03973
OG0002612	AMPFI_06772, AMPFI_07947	YEAST03508
OG0002617	AMPFI_20313	YEAST00866
OG0002618	AMPFI_03389	YEAST06247
OG0002621	AMPFI_04505	YEAST05551
OG0002629	AMPFI_09457, AMPFI_24735, AMPFI_00928	YEAST05919
OG0002632	AMPFI_05806, AMPFI_01287	YEAST02755
OG0002633	AMPFI_16272	YEAST04206
OG0002636	AMPFI_20833	YEAST01664, YEAST06215
OG0002638	AMPFI_13211	YEAST04703
OG0002643	AMPFI_14666	YEAST01938
OG0002645	AMPFI_11704, AMPFI_05004	YEAST01436
OG0002646	AMPFI_08812	YEAST01946
OG0002651	AMPFI_05026, AMPFI_13681	YEAST02247
OG0002651	AMPFI_05025	YEAST02868
OG0002652	AMPFI_07946, AMPFI_07813	YEAST04937
OG0002656	AMPFI_17717, AMPFI_03906	YEAST05701
OG0002659	AMPFI_14143	YEAST06290
OG0002666	AMPFI_08951, AMPFI_17898	YEAST02507
OG0002668	AMPFI_12794	YEAST02324
OG0002677	AMPFI_08799	YEAST05210
OG0002681	AMPFI_19818	YEAST02557
OG0002681	AMPFI_05501, AMPFI_26003	YEAST04585
OG0002683	AMPFI_05913	YEAST03676
OG0002705	AMPFI_08510	YEAST00553
OG0002713	AMPFI_19175, AMPFI_19998, AMPFI_23931	YEAST00413, YEAST06057
OG0002715	AMPFI_12353	YEAST01174, YEAST04131
OG0002717	AMPFI_01161	YEAST02430
OG0002718	AMPFI_12945	YEAST03380, YEAST03502
OG0002720	AMPFI_06348	YEAST01914
OG0002722	AMPFI_12652	YEAST04059
OG0002726	AMPFI_01971	YEAST02958
OG0002729	AMPFI_01288, AMPFI_15438	YEAST01155
OG0002737	AMPFI_10695	YEAST02827
OG0002739	AMPFI_21137	YEAST01877
OG0002740	AMPFI_07662	YEAST01658
OG0002742	AMPFI_11508	YEAST03713
OG0002743	AMPFI_20528	YEAST01824, YEAST03362
OG0002745	AMPFI_03214	YEAST04244
OG0002746	AMPFI_06320	YEAST04902, YEAST05332
OG0002747	AMPFI_02189	YEAST05617
OG0002749	AMPFI_01144, AMPFI_16192	YEAST02810
OG0002750	AMPFI_04425, AMPFI_12572, AMPFI_03631, AMPFI_12923, AMPFI_13722, AMPFI_00301	YEAST04952
OG0002752	AMPFI_05334	YEAST03686
OG0002753	AMPFI_23417	YEAST03742
OG0002754	AMPFI_17705	YEAST03620
OG0002756	AMPFI_23739, AMPFI_12587	YEAST04058
OG0002758	AMPFI_21608	YEAST04409
OG0002760	AMPFI_07524, AMPFI_18680	YEAST01927
OG0002761	AMPFI_20467	YEAST03261
OG0002764	AMPFI_02962	YEAST00423
OG0002765	AMPFI_23588	YEAST01667, YEAST05523
OG0002766	AMPFI_07357	YEAST05357
OG0002767	AMPFI_06871	YEAST04591
OG0002771	AMPFI_13195	YEAST02043
OG0002772	AMPFI_05332	YEAST03384
OG0002773	AMPFI_13423	YEAST03677
OG0002774	AMPFI_13370	YEAST03575
OG0002775	AMPFI_10550	YEAST03021
OG0002781	AMPFI_24323	YEAST05450
OG0002782	AMPFI_15604	YEAST02121
OG0002785	AMPFI_09225	YEAST06106, YEAST01228
OG0002788	AMPFI_10049	YEAST02578, YEAST01232
OG0002789	AMPFI_17023	YEAST05269
OG0002793	AMPFI_15096	YEAST01371
OG0002799	AMPFI_18480	YEAST01461
OG0002817	AMPFI_09538	YEAST01189, YEAST04922
OG0002824	AMPFI_07617	YEAST02137
OG0002826	AMPFI_24284	YEAST00174
OG0002827	AMPFI_12807, AMPFI_21359, AMPFI_18809	YEAST05976
OG0002831	AMPFI_07272	YEAST03282
OG0002835	AMPFI_09569	YEAST02656
OG0002837	AMPFI_19230	YEAST01987, YEAST00157
OG0002839	AMPFI_07109, AMPFI_07149	YEAST03148
OG0002844	AMPFI_20609, AMPFI_16356, AMPFI_16951	YEAST05563
OG0002847	AMPFI_22348	YEAST02294
OG0002851	AMPFI_20208	YEAST04951
OG0002855	AMPFI_09976, AMPFI_00298, AMPFI_20574, AMPFI_20480, AMPFI_17191, AMPFI_00554	YEAST00137
OG0002860	AMPFI_04562, AMPFI_02972	YEAST02712
OG0002866	AMPFI_10220	YEAST01136
OG0002876	AMPFI_10499	YEAST02348
OG0002877	AMPFI_08793, AMPFI_00713	YEAST04537
OG0002883	AMPFI_17094	YEAST03027
OG0002891	AMPFI_04475	YEAST03205
OG0002893	AMPFI_10355	YEAST03653
OG0002894	AMPFI_06382	YEAST00906
OG0002895	AMPFI_06498	YEAST01471, YEAST05353, YEAST05456
OG0002897	AMPFI_09968	YEAST06308
OG0002899	AMPFI_14669	YEAST00283
OG0002900	AMPFI_20780	YEAST05306
OG0002907	AMPFI_19275	YEAST02061
OG0002910	AMPFI_08873, AMPFI_10619	YEAST00223
OG0002915	AMPFI_13472	YEAST02264
OG0002917	AMPFI_14499	YEAST03703
OG0002920	AMPFI_03083	YEAST04043, YEAST04055
OG0002921	AMPFI_10790, AMPFI_19297	YEAST06254
OG0002922	AMPFI_12284	YEAST01261
OG0002947	AMPFI_12962	YEAST00232
OG0002949	AMPFI_25632, AMPFI_13293, AMPFI_13294	YEAST00419, YEAST06063
OG0002952	AMPFI_03711	YEAST05257
OG0002953	AMPFI_18432	YEAST03034
OG0002957	AMPFI_00571	YEAST03253
OG0002960	AMPFI_17548	YEAST05502
OG0002965	AMPFI_07076	YEAST03804
OG0002966	AMPFI_08237	YEAST06059
OG0002968	AMPFI_05414	YEAST00199
OG0002982	AMPFI_02827	YEAST02471
OG0002984	AMPFI_07036	YEAST00961, YEAST01144
OG0002985	AMPFI_17949	YEAST02147
OG0002987	AMPFI_13529	YEAST02970, YEAST00081, YEAST02488
OG0002991	AMPFI_23713	YEAST03345, YEAST01842
OG0002997	AMPFI_05692	YEAST02374
OG0003001	AMPFI_06603	YEAST01497
OG0003004	AMPFI_06638	YEAST02183
OG0003006	AMPFI_24175	YEAST00899
OG0003010	AMPFI_05162	YEAST03035
OG0003012	AMPFI_19750	YEAST04512
OG0003016	AMPFI_01985, AMPFI_21862	YEAST04810
OG0003017	AMPFI_05503, AMPFI_14328	YEAST02213
OG0003018	AMPFI_00574	YEAST01635, YEAST01949
