Orthogroup	AMPFI_ok	HUMAN
OG0001135	AMPFI_25799	HUMAN12999, HUMAN12998
OG0001136	AMPFI_07457	HUMAN14242, HUMAN23717, HUMAN09626, HUMAN09622
OG0001137	AMPFI_25398	HUMAN15475, HUMAN15476, HUMAN16861, HUMAN15474
OG0001138	AMPFI_08224	HUMAN06608, HUMAN27335, HUMAN21562
OG0001139	AMPFI_16920	HUMAN29573
OG0001139	AMPFI_10168	HUMAN20297, HUMAN20298, HUMAN03896
OG0001140	AMPFI_22519	HUMAN28111, HUMAN00689, HUMAN16613
OG0001141	AMPFI_18156, AMPFI_05552	HUMAN28829
OG0001143	AMPFI_13922, AMPFI_07389	HUMAN26902, HUMAN09500, HUMAN09501, HUMAN28929, HUMAN01633
OG0001144	AMPFI_09246	HUMAN06501, HUMAN06503, HUMAN17895, HUMAN06504, HUMAN26116
OG0001146	AMPFI_05945	HUMAN21944, HUMAN21943, HUMAN21945, HUMAN00122, HUMAN11953, HUMAN11952
OG0001148	AMPFI_05179	HUMAN20750
OG0001155	AMPFI_06783	HUMAN28847, HUMAN28848, HUMAN28849
OG0001155	AMPFI_17194	HUMAN11693
OG0001156	AMPFI_16501	HUMAN06276, HUMAN06274, HUMAN12764, HUMAN26033, HUMAN18478, HUMAN18476
OG0001157	AMPFI_22565, AMPFI_15206, AMPFI_00579, AMPFI_15205	HUMAN16825
OG0001158	AMPFI_14324, AMPFI_03369	HUMAN19221, HUMAN13723, HUMAN13724
OG0001160	AMPFI_18833	HUMAN07003, HUMAN07004, HUMAN01405
OG0001161	AMPFI_10090	HUMAN09583, HUMAN28673
OG0001162	AMPFI_21383	HUMAN05494, HUMAN05495, HUMAN05496, HUMAN05497, HUMAN19367
OG0001164	AMPFI_02597	HUMAN20034
OG0001164	AMPFI_21888	HUMAN20033
OG0001165	AMPFI_11630	HUMAN25194
OG0001167	AMPFI_05454	HUMAN08882, HUMAN08883, HUMAN17001
OG0001168	AMPFI_05372	HUMAN26184, HUMAN26183, HUMAN19115, HUMAN19116, HUMAN11218
OG0001169	AMPFI_09626	HUMAN05127, HUMAN05130, HUMAN05129, HUMAN05128, HUMAN05351
OG0001171	AMPFI_04677	HUMAN27880
OG0001171	AMPFI_21141	HUMAN25618, HUMAN25619, HUMAN19014, HUMAN19015
OG0001172	AMPFI_09322	HUMAN03030, HUMAN18130
OG0001173	AMPFI_20736, AMPFI_25116, AMPFI_25548, AMPFI_24169	HUMAN01793
OG0001174	AMPFI_23115	HUMAN20367, HUMAN20467, HUMAN20469, HUMAN20468, HUMAN20465
OG0001175	AMPFI_11579, AMPFI_01291	HUMAN27761, HUMAN17515
OG0001176	AMPFI_15457	HUMAN09872, HUMAN01895, HUMAN14914
OG0001176	AMPFI_17036	HUMAN27503, HUMAN03360
OG0001177	AMPFI_08044	HUMAN13794
OG0001178	AMPFI_18821	HUMAN01065
OG0001179	AMPFI_25942, AMPFI_06700	HUMAN19099
OG0001181	AMPFI_13623	HUMAN12489
OG0001181	AMPFI_10170	HUMAN02963, HUMAN12488
OG0001182	AMPFI_23673	HUMAN16857, HUMAN09797, HUMAN09796
OG0001183	AMPFI_12914, AMPFI_19212, AMPFI_17630, AMPFI_15693, AMPFI_23752	HUMAN12777
OG0001184	AMPFI_20865	HUMAN24892, HUMAN24891
OG0001184	AMPFI_08874	HUMAN04448, HUMAN04447
OG0001185	AMPFI_07596	HUMAN24530, HUMAN24531, HUMAN00600, HUMAN25682, HUMAN25681
OG0001186	AMPFI_07934	HUMAN13742
OG0001186	AMPFI_10517	HUMAN11615
OG0001187	AMPFI_23801	HUMAN21121
OG0001188	AMPFI_02144	HUMAN04837, HUMAN15459, HUMAN08381, HUMAN16878
OG0001190	AMPFI_02258, AMPFI_24898	HUMAN27353, HUMAN00374
OG0001191	AMPFI_02622	HUMAN27561
OG0001191	AMPFI_06865	HUMAN27560, HUMAN03181, HUMAN23867
OG0001192	AMPFI_09680	HUMAN29050
OG0001196	AMPFI_05001	HUMAN15286, HUMAN15280, HUMAN15282, HUMAN15283, HUMAN15285, HUMAN15284, HUMAN01997
OG0001196	AMPFI_04634	HUMAN15281
OG0001197	AMPFI_13739	HUMAN04807
OG0001198	AMPFI_11677, AMPFI_01112	HUMAN14133, HUMAN09842
OG0001198	AMPFI_14243	HUMAN03836
OG0001199	AMPFI_25970	HUMAN27627, HUMAN27626
OG0001200	AMPFI_13405	HUMAN08841
OG0001200	AMPFI_22505	HUMAN08842, HUMAN08840
OG0001202	AMPFI_07863	HUMAN22243, HUMAN22242, HUMAN22244
OG0001204	AMPFI_14021, AMPFI_11338	HUMAN13045
OG0001205	AMPFI_13876	HUMAN08993
OG0001207	AMPFI_02832	HUMAN13150, HUMAN17601
OG0001208	AMPFI_25578	HUMAN17864, HUMAN26576
OG0001209	AMPFI_10000	HUMAN27648
OG0001210	AMPFI_13828	HUMAN18754
OG0001210	AMPFI_05417	HUMAN21606
OG0001211	AMPFI_10364	HUMAN17695, HUMAN12935
OG0001212	AMPFI_21239	HUMAN22841
OG0001213	AMPFI_07381	HUMAN03742
OG0001213	AMPFI_18186	HUMAN07278, HUMAN07279
OG0001214	AMPFI_05265	HUMAN06746, HUMAN06745, HUMAN06748, HUMAN06749
OG0001215	AMPFI_10063	HUMAN26208, HUMAN26209, HUMAN17597, HUMAN06423
OG0001216	AMPFI_06120	HUMAN05988, HUMAN05987
OG0001217	AMPFI_07018	HUMAN29664, HUMAN25763
OG0001218	AMPFI_18506	HUMAN05862, HUMAN00140, HUMAN11965
OG0001219	AMPFI_23839	HUMAN18053, HUMAN24346, HUMAN01814, HUMAN09792, HUMAN09790
OG0001220	AMPFI_12004	HUMAN07348
OG0001221	AMPFI_09440	HUMAN08173, HUMAN08174, HUMAN08177, HUMAN08176, HUMAN08178, HUMAN08175, HUMAN08179, HUMAN08180
OG0001223	AMPFI_23890	HUMAN27843, HUMAN11032, HUMAN07991, HUMAN19019, HUMAN11033
OG0001224	AMPFI_01499	HUMAN15488, HUMAN15490
OG0001225	AMPFI_05889	HUMAN09188, HUMAN28761, HUMAN14334
OG0001226	AMPFI_06001	HUMAN00527, HUMAN00528
OG0001227	AMPFI_12556	HUMAN30017
OG0001231	AMPFI_23517	HUMAN08474, HUMAN08473, HUMAN16911
OG0001232	AMPFI_08459, AMPFI_09206, AMPFI_03213	HUMAN10318
OG0001233	AMPFI_12663, AMPFI_14959, AMPFI_17326	HUMAN07688
OG0001236	AMPFI_04390	HUMAN15304
OG0001238	AMPFI_08671	HUMAN09752, HUMAN24272
OG0001238	AMPFI_08263	HUMAN20738, HUMAN12789, HUMAN06408
OG0001241	AMPFI_10474	HUMAN18832, HUMAN18831
OG0001241	AMPFI_05156	HUMAN07799
OG0001243	AMPFI_09177	HUMAN27651, HUMAN27653, HUMAN27652, HUMAN27650, HUMAN09639
OG0001247	AMPFI_24091	HUMAN27059, HUMAN20519, HUMAN29792, HUMAN27060
OG0001248	AMPFI_15716	HUMAN18428, HUMAN27270, HUMAN27268
OG0001249	AMPFI_23310	HUMAN14397, HUMAN05364, HUMAN05363, HUMAN28497, HUMAN00860, HUMAN14396
OG0001250	AMPFI_07433	HUMAN13009, HUMAN20055, HUMAN20056, HUMAN20057, HUMAN12131
OG0001251	AMPFI_15272	HUMAN08159, HUMAN08158
OG0001252	AMPFI_21190, AMPFI_00156	HUMAN15100, HUMAN01282, HUMAN14175, HUMAN14174
OG0001253	AMPFI_05658	HUMAN20377, HUMAN24966, HUMAN20379, HUMAN24965
OG0001256	AMPFI_15458	HUMAN25828
OG0001261	AMPFI_21898	HUMAN22947, HUMAN04078, HUMAN04079
OG0001262	AMPFI_14619	HUMAN29428, HUMAN24853
OG0001263	AMPFI_11017	HUMAN12942
OG0001264	AMPFI_05271	HUMAN28020, HUMAN18861, HUMAN18860, HUMAN11601, HUMAN28023
OG0001267	AMPFI_16785	HUMAN27473, HUMAN27475, HUMAN27477, HUMAN27476
OG0001267	AMPFI_03197	HUMAN26403, HUMAN07336, HUMAN07335, HUMAN04653, HUMAN27474, HUMAN27478
OG0001268	AMPFI_21846	HUMAN22451
OG0001268	AMPFI_17603	HUMAN29785, HUMAN29783
OG0001270	AMPFI_10234	HUMAN10267, HUMAN10268, HUMAN10266
OG0001270	AMPFI_15423	HUMAN10495
OG0001271	AMPFI_12722	HUMAN13162, HUMAN27281, HUMAN13161, HUMAN06386
OG0001272	AMPFI_10847	HUMAN10856, HUMAN12263, HUMAN28972
OG0001273	AMPFI_08982	HUMAN09957, HUMAN15061, HUMAN23537
OG0001274	AMPFI_01753	HUMAN01186, HUMAN14450, HUMAN29306
OG0001276	AMPFI_14910	HUMAN05158, HUMAN23988, HUMAN23987
OG0001278	AMPFI_10211	HUMAN13574, HUMAN02569, HUMAN02570
OG0001278	AMPFI_19943	HUMAN28347
OG0001279	AMPFI_05903	HUMAN15552, HUMAN15549, HUMAN09000, HUMAN02712
OG0001280	AMPFI_23298	HUMAN09972, HUMAN14369, HUMAN28522
OG0001284	AMPFI_11093	HUMAN27205
OG0001284	AMPFI_06659	HUMAN09392
OG0001287	AMPFI_14082	HUMAN23780, HUMAN17479, HUMAN26326, HUMAN22569, HUMAN30270
OG0001288	AMPFI_00778	HUMAN09745, HUMAN23493
OG0001290	AMPFI_18904	HUMAN23738, HUMAN09455, HUMAN11087
OG0001291	AMPFI_17861	HUMAN27542, HUMAN22728, HUMAN03289
OG0001292	AMPFI_10776	HUMAN20666, HUMAN18444, HUMAN18446
OG0001293	AMPFI_14701	HUMAN07380, HUMAN07387, HUMAN07382, HUMAN04647, HUMAN12393
OG0001294	AMPFI_01514	HUMAN08609
OG0001295	AMPFI_06419	HUMAN17913, HUMAN17912, HUMAN06527
OG0001295	AMPFI_07601	HUMAN12887, HUMAN12884, HUMAN26090, HUMAN26089
OG0001296	AMPFI_12346	HUMAN08945, HUMAN04788, HUMAN02472, HUMAN02470, HUMAN02471
OG0001297	AMPFI_16113	HUMAN06849, HUMAN06850, HUMAN02321, HUMAN02322, HUMAN04265
OG0001300	AMPFI_08329	HUMAN21610, HUMAN07635, HUMAN30249
OG0001302	AMPFI_15529	HUMAN00934
OG0001302	AMPFI_08047	HUMAN28036
OG0001304	AMPFI_10342	HUMAN07987, HUMAN11035, HUMAN27849, HUMAN19007
OG0001305	AMPFI_00755	HUMAN14853, HUMAN29257, HUMAN01234
OG0001306	AMPFI_19010	HUMAN01015, HUMAN01014
OG0001306	AMPFI_21641	HUMAN29260
OG0001308	AMPFI_17316	HUMAN03201
OG0001308	AMPFI_00605, AMPFI_01794, AMPFI_03456	HUMAN03202, HUMAN03203, HUMAN24361, HUMAN24360, HUMAN24359, HUMAN22496, HUMAN22495
OG0001309	AMPFI_12360	HUMAN26186, HUMAN26187
OG0001310	AMPFI_04482, AMPFI_16368	HUMAN09337
OG0001310	AMPFI_06804	HUMAN17449
OG0001311	AMPFI_12130	HUMAN02788
OG0001315	AMPFI_21563	HUMAN13234
OG0001315	AMPFI_03331	HUMAN13233, HUMAN25875
OG0001316	AMPFI_11413	HUMAN22411, HUMAN07507
OG0001317	AMPFI_14996	HUMAN26503, HUMAN26504
OG0001317	AMPFI_02448	HUMAN29334
OG0001318	AMPFI_07561	HUMAN16547, HUMAN16548
OG0001318	AMPFI_11299	HUMAN21172, HUMAN21173
OG0001319	AMPFI_11777	HUMAN30310, HUMAN21541
OG0001320	AMPFI_25009, AMPFI_10016	HUMAN27988, HUMAN27989
OG0001320	AMPFI_00452	HUMAN09292, HUMAN16855, HUMAN16856
OG0001321	AMPFI_00079	HUMAN09666, HUMAN14539
OG0001322	AMPFI_10344	HUMAN03840
OG0001322	AMPFI_23671	HUMAN15479, HUMAN15481
OG0001323	AMPFI_22091	HUMAN08572, HUMAN15462, HUMAN02685, HUMAN04964, HUMAN15463, HUMAN08571, HUMAN15461
OG0001324	AMPFI_20900, AMPFI_04734, AMPFI_24533	HUMAN21897
OG0001324	AMPFI_20066	HUMAN21898
OG0001325	AMPFI_10346	HUMAN22703
OG0001326	AMPFI_12886	HUMAN03521, HUMAN17368, HUMAN17367, HUMAN03603
OG0001327	AMPFI_08065	HUMAN05826, HUMAN05829
OG0001327	AMPFI_15522	HUMAN06766, HUMAN06765, HUMAN02428
OG0001329	AMPFI_21747	HUMAN02833
OG0001330	AMPFI_05140	HUMAN10847, HUMAN12308, HUMAN07235, HUMAN10846
OG0001331	AMPFI_12424	HUMAN22231, HUMAN24247, HUMAN13998
OG0001332	AMPFI_20259	HUMAN29020
OG0001333	AMPFI_00843, AMPFI_13930	HUMAN20118, HUMAN10313
OG0001335	AMPFI_02356, AMPFI_10205	HUMAN28637
OG0001339	AMPFI_08229, AMPFI_18290, AMPFI_13383, AMPFI_23908, AMPFI_16347, AMPFI_22494, AMPFI_15490	HUMAN25156, HUMAN16668
OG0001341	AMPFI_01027	HUMAN13955
OG0001344	AMPFI_22417	HUMAN17092
OG0001345	AMPFI_09770	HUMAN21450, HUMAN21451, HUMAN21449
OG0001348	AMPFI_00159	HUMAN07855, HUMAN07854, HUMAN07853, HUMAN30397, HUMAN07856
OG0001350	AMPFI_25832	HUMAN01020
OG0001351	AMPFI_22361	HUMAN29755
OG0001352	AMPFI_15694, AMPFI_18452, AMPFI_22485	HUMAN27857
OG0001354	AMPFI_24004	HUMAN14805, HUMAN00966, HUMAN28999
OG0001355	AMPFI_14446	HUMAN24307, HUMAN22136, HUMAN03703
OG0001356	AMPFI_01615	HUMAN21113, HUMAN06242, HUMAN29863
OG0001357	AMPFI_24417	HUMAN16834, HUMAN04831, HUMAN09251, HUMAN15455
OG0001358	AMPFI_22238	HUMAN25708
OG0001360	AMPFI_12400, AMPFI_23660	HUMAN22743, HUMAN22745, HUMAN22744
OG0001362	AMPFI_22273	HUMAN13462
OG0001362	AMPFI_09488	HUMAN12045
OG0001363	AMPFI_00070, AMPFI_09800, AMPFI_08365	HUMAN02206
OG0001364	AMPFI_02281, AMPFI_19179	HUMAN18390
OG0001364	AMPFI_14823, AMPFI_11134	HUMAN26706, HUMAN18389
OG0001365	AMPFI_13985, AMPFI_25879, AMPFI_10449	HUMAN29603, HUMAN22759
OG0001367	AMPFI_02161	HUMAN19005, HUMAN13672, HUMAN16628, HUMAN16627
OG0001368	AMPFI_11158	HUMAN08634, HUMAN18786, HUMAN18785, HUMAN08633
OG0001369	AMPFI_22208	HUMAN20946, HUMAN20945, HUMAN02425, HUMAN02423, HUMAN02424, HUMAN06739, HUMAN06737, HUMAN06738
OG0001370	AMPFI_06706	HUMAN10042
OG0001370	AMPFI_09461	HUMAN18140
OG0001371	AMPFI_10372, AMPFI_15938, AMPFI_12819	HUMAN13498, HUMAN13497
OG0001372	AMPFI_21335	HUMAN01152
OG0001373	AMPFI_00190	HUMAN10734, HUMAN12051, HUMAN20117, HUMAN10735
OG0001374	AMPFI_17974	HUMAN09540, HUMAN09539, HUMAN01648, HUMAN19827, HUMAN19826, HUMAN30333
OG0001375	AMPFI_06104	HUMAN25598, HUMAN00578, HUMAN00579
OG0001376	AMPFI_21697	HUMAN05736, HUMAN05737, HUMAN15337, HUMAN19374
OG0001378	AMPFI_15247	HUMAN27599, HUMAN03792, HUMAN24020, HUMAN22165, HUMAN24018
OG0001379	AMPFI_14320	HUMAN21524, HUMAN05168, HUMAN05167, HUMAN17620, HUMAN17658
OG0001380	AMPFI_08147	HUMAN23909, HUMAN23910, HUMAN04086, HUMAN22347
OG0001381	AMPFI_12006	HUMAN14335, HUMAN09185, HUMAN28764
OG0001382	AMPFI_12332	HUMAN16044
OG0001383	AMPFI_07068, AMPFI_11555	HUMAN01927
OG0001384	AMPFI_23681	HUMAN07653, HUMAN07663
OG0001388	AMPFI_08168, AMPFI_12817, AMPFI_11142, AMPFI_13636, AMPFI_00338	HUMAN29687, HUMAN30613, HUMAN30096
OG0001389	AMPFI_05693, AMPFI_24952	HUMAN30191, HUMAN30192, HUMAN26892, HUMAN26891, HUMAN17427, HUMAN22895, HUMAN24383
OG0001394	AMPFI_09024	HUMAN27466
OG0001395	AMPFI_24070	HUMAN00543, HUMAN25836, HUMAN30091, HUMAN29663
OG0001397	AMPFI_21706	HUMAN24255, HUMAN03558
OG0001397	AMPFI_17878, AMPFI_10775	HUMAN03597
OG0001398	AMPFI_06855	HUMAN30494, HUMAN20842
OG0001399	AMPFI_07188	HUMAN07651
OG0001399	AMPFI_21935	HUMAN18963, HUMAN18962, HUMAN11037
OG0001400	AMPFI_24285	HUMAN12867, HUMAN17921, HUMAN26085, HUMAN26084
OG0001401	AMPFI_16893	HUMAN29769
OG0001402	AMPFI_26005	HUMAN19950, HUMAN10942, HUMAN12422, HUMAN12423
OG0001403	AMPFI_17230	HUMAN12235, HUMAN27256, HUMAN07228
OG0001404	AMPFI_18013	HUMAN10248
OG0001404	AMPFI_10794, AMPFI_03093	HUMAN00261
OG0001405	AMPFI_15743	HUMAN20770, HUMAN11517, HUMAN20772
OG0001406	AMPFI_09333	HUMAN21841, HUMAN21842, HUMAN21839, HUMAN11946, HUMAN30432
OG0001408	AMPFI_21365	HUMAN29375, HUMAN14479, HUMAN01329
OG0001410	AMPFI_02616	HUMAN18249, HUMAN18248, HUMAN25904, HUMAN25903
OG0001411	AMPFI_10031	HUMAN22432, HUMAN22431
OG0001412	AMPFI_08141	HUMAN07098, HUMAN07099
OG0001413	AMPFI_15619	HUMAN07320, HUMAN07322
OG0001413	AMPFI_22440	HUMAN10070
OG0001414	AMPFI_24645	HUMAN16822
OG0001414	AMPFI_20423	HUMAN26311
OG0001415	AMPFI_19237	HUMAN19750, HUMAN19752, HUMAN19751
OG0001416	AMPFI_14851	HUMAN00172, HUMAN11820
OG0001417	AMPFI_09940	HUMAN12487
OG0001418	AMPFI_15591	HUMAN14784, HUMAN00927, HUMAN14783, HUMAN15009, HUMAN23427
OG0001419	AMPFI_25243, AMPFI_17376	HUMAN02692, HUMAN09220, HUMAN09218, HUMAN09217
OG0001421	AMPFI_22931	HUMAN04839, HUMAN08948, HUMAN02585
OG0001422	AMPFI_23699	HUMAN17890, HUMAN26120, HUMAN17892, HUMAN26121, HUMAN17893, HUMAN17891
OG0001423	AMPFI_19050, AMPFI_22796	HUMAN24902, HUMAN29347, HUMAN02230, HUMAN14689
OG0001424	AMPFI_01906	HUMAN04853, HUMAN04852
OG0001425	AMPFI_13079	HUMAN25779, HUMAN09840, HUMAN23345, HUMAN23344
OG0001427	AMPFI_07391	HUMAN18845, HUMAN13853, HUMAN16726
OG0001428	AMPFI_11938	HUMAN00193, HUMAN11816, HUMAN05892
OG0001429	AMPFI_15702	HUMAN29656, HUMAN00568, HUMAN25640
OG0001430	AMPFI_07622	HUMAN16816, HUMAN04840, HUMAN09331, HUMAN15891
OG0001431	AMPFI_11117	HUMAN26191, HUMAN12528, HUMAN12527, HUMAN12529
OG0001432	AMPFI_07409	HUMAN16749
OG0001433	AMPFI_00657	HUMAN00642, HUMAN28267, HUMAN25243
OG0001434	AMPFI_18441, AMPFI_12885, AMPFI_06188, AMPFI_09637	HUMAN25376
OG0001436	AMPFI_07709	HUMAN28951
OG0001437	AMPFI_07780, AMPFI_13432	HUMAN13733, HUMAN13731, HUMAN13732, HUMAN13730, HUMAN27963, HUMAN27962
OG0001438	AMPFI_17699	HUMAN21820, HUMAN27731, HUMAN27733, HUMAN27732, HUMAN24291
OG0001441	AMPFI_01278	HUMAN00513, HUMAN00512, HUMAN19296, HUMAN27941, HUMAN27940, HUMAN27608, HUMAN27607
OG0001445	AMPFI_06828	HUMAN18716, HUMAN15579
OG0001446	AMPFI_04574, AMPFI_17048, AMPFI_21716, AMPFI_19480, AMPFI_18957	HUMAN12296
OG0001447	AMPFI_14165	HUMAN09319, HUMAN15576, HUMAN02582
OG0001449	AMPFI_17066	HUMAN16746
OG0001449	AMPFI_22357	HUMAN18160
OG0001451	AMPFI_16214	HUMAN04374, HUMAN04373
OG0001452	AMPFI_17582	HUMAN23508, HUMAN10054, HUMAN01876
OG0001452	AMPFI_24052	HUMAN10055
OG0001453	AMPFI_20721	HUMAN01855, HUMAN01856, HUMAN01854, HUMAN09711, HUMAN21615
OG0001454	AMPFI_18370	HUMAN24125
OG0001455	AMPFI_16555	HUMAN00999, HUMAN23381, HUMAN15013, HUMAN14678
OG0001456	AMPFI_13598	HUMAN21607
OG0001456	AMPFI_00318	HUMAN21609
OG0001459	AMPFI_19783	HUMAN15951, HUMAN15950, HUMAN06132
OG0001460	AMPFI_23946	HUMAN03122
OG0001461	AMPFI_25442, AMPFI_13135, AMPFI_20976, AMPFI_23123, AMPFI_22344	HUMAN26887
OG0001464	AMPFI_22525, AMPFI_17212	HUMAN17749, HUMAN28956, HUMAN06437, HUMAN06436
OG0001466	AMPFI_23243	HUMAN20834, HUMAN20833
OG0001466	AMPFI_06839	HUMAN23853
OG0001467	AMPFI_23736	HUMAN05267
OG0001468	AMPFI_19331	HUMAN18215, HUMAN20670, HUMAN20673, HUMAN20674
OG0001469	AMPFI_02483	HUMAN25406
OG0001470	AMPFI_01501	HUMAN12346
OG0001472	AMPFI_01053	HUMAN26528, HUMAN26527
OG0001472	AMPFI_03075	HUMAN19245
OG0001473	AMPFI_03739, AMPFI_01823	HUMAN20094, HUMAN20096, HUMAN20095
OG0001474	AMPFI_18399	HUMAN09370
OG0001474	AMPFI_21316	HUMAN10738, HUMAN10739, HUMAN10736
OG0001475	AMPFI_15659	HUMAN00232, HUMAN00233
OG0001476	AMPFI_07443, AMPFI_07837	HUMAN25765, HUMAN19427
OG0001477	AMPFI_17380	HUMAN10645, HUMAN05918, HUMAN10651, HUMAN10648, HUMAN10647, HUMAN10646, HUMAN03461, HUMAN03460, HUMAN10649, HUMAN10650
OG0001478	AMPFI_01874	HUMAN09291, HUMAN09290
OG0001478	AMPFI_18015, AMPFI_17948	HUMAN20166
OG0001479	AMPFI_06247	HUMAN01339, HUMAN14506, HUMAN14504, HUMAN29189
OG0001480	AMPFI_21537	HUMAN18069, HUMAN20722, HUMAN20724, HUMAN20721
OG0001481	AMPFI_15128	HUMAN25752, HUMAN25750, HUMAN08503
OG0001483	AMPFI_05890	HUMAN12748
OG0001483	AMPFI_08005	HUMAN07904
OG0001484	AMPFI_10813	HUMAN29782, HUMAN20929
OG0001486	AMPFI_03189	HUMAN25054, HUMAN25055, HUMAN05819, HUMAN05818, HUMAN05067
OG0001488	AMPFI_22555, AMPFI_21159, AMPFI_03583, AMPFI_03748	HUMAN04092, HUMAN04094
OG0001488	AMPFI_00093, AMPFI_01198, AMPFI_23509, AMPFI_21442	HUMAN04093
OG0001489	AMPFI_21994	HUMAN01073, HUMAN23289
OG0001490	AMPFI_13984	HUMAN08811, HUMAN18744, HUMAN04949, HUMAN08810
OG0001492	AMPFI_14495	HUMAN10841, HUMAN12245, HUMAN12244, HUMAN10843, HUMAN10842, HUMAN07105
OG0001493	AMPFI_23286	HUMAN03318
OG0001493	AMPFI_21759	HUMAN22769, HUMAN03129
OG0001495	AMPFI_01445	HUMAN29635, HUMAN29702, HUMAN29695, HUMAN29694, HUMAN29703, HUMAN29696, HUMAN30419, HUMAN09160, HUMAN09187, HUMAN21896, HUMAN30065, HUMAN29940, HUMAN29941, HUMAN29903, HUMAN29939, HUMAN09161
OG0001496	AMPFI_04050	HUMAN17133
OG0001498	AMPFI_14616, AMPFI_02778	HUMAN21395
OG0001500	AMPFI_03212	HUMAN18402, HUMAN29893, HUMAN07602, HUMAN18404
OG0001501	AMPFI_21405	HUMAN08312, HUMAN18751
OG0001503	AMPFI_03346	HUMAN15059
OG0001503	AMPFI_06513	HUMAN06046
OG0001505	AMPFI_04877, AMPFI_09677	HUMAN21797, HUMAN11901, HUMAN11900, HUMAN03341
OG0001506	AMPFI_22691	HUMAN21790, HUMAN00091
OG0001507	AMPFI_00506	HUMAN08599
OG0001507	AMPFI_02586, AMPFI_16748	HUMAN08598, HUMAN02657, HUMAN02656, HUMAN04900
OG0001508	AMPFI_01605	HUMAN04219, HUMAN15958
OG0001509	AMPFI_22351	HUMAN07197
OG0001509	AMPFI_24011	HUMAN07903, HUMAN21589
OG0001510	AMPFI_24135	HUMAN14673
OG0001511	AMPFI_24393	HUMAN18319, HUMAN26693
OG0001513	AMPFI_05914	HUMAN17774, HUMAN17773, HUMAN06636
OG0001514	AMPFI_05173	HUMAN22085, HUMAN03760, HUMAN03759, HUMAN22086
OG0001515	AMPFI_22558	HUMAN12421, HUMAN12420, HUMAN19953
OG0001516	AMPFI_17534, AMPFI_22070, AMPFI_04046	HUMAN23268
OG0001517	AMPFI_19672	HUMAN23303, HUMAN21286
OG0001518	AMPFI_20936	HUMAN21520, HUMAN20795, HUMAN21522
OG0001520	AMPFI_11649, AMPFI_06123	HUMAN00622, HUMAN16656
OG0001523	AMPFI_21945	HUMAN04118, HUMAN06164
OG0001524	AMPFI_12143	HUMAN03522
OG0001524	AMPFI_24831	HUMAN11149
OG0001525	AMPFI_18416	HUMAN07206, HUMAN07207
OG0001527	AMPFI_06183	HUMAN11842
OG0001527	AMPFI_10281	HUMAN28194
OG0001529	AMPFI_24259	HUMAN20862, HUMAN20863, HUMAN20865, HUMAN20919, HUMAN24918
OG0001530	AMPFI_20395, AMPFI_21100, AMPFI_17451, AMPFI_04325	HUMAN22629
OG0001531	AMPFI_13148	HUMAN03428, HUMAN22234, HUMAN24248
OG0001532	AMPFI_06472	HUMAN00046, HUMAN11888, HUMAN21869
OG0001533	AMPFI_11865	HUMAN07789, HUMAN21380
OG0001534	AMPFI_24532, AMPFI_01303, AMPFI_12321	HUMAN20220, HUMAN20221, HUMAN20219, HUMAN10541, HUMAN10540, HUMAN10538
OG0001536	AMPFI_24601	HUMAN16818, HUMAN23182, HUMAN23181
OG0001538	AMPFI_06922	HUMAN02566
OG0001545	AMPFI_07768	HUMAN14011, HUMAN09985, HUMAN01642, HUMAN14012
OG0001545	AMPFI_00526	HUMAN14014, HUMAN14013
OG0001546	AMPFI_04446, AMPFI_19645, AMPFI_14806, AMPFI_24267	HUMAN08266, HUMAN16844
OG0001546	AMPFI_03026	HUMAN08267
OG0001546	AMPFI_04539	HUMAN16843
OG0001549	AMPFI_01171, AMPFI_04433	HUMAN06935, HUMAN21488, HUMAN02396, HUMAN02395
OG0001550	AMPFI_12309, AMPFI_21451	HUMAN20737
OG0001551	AMPFI_18500	HUMAN08700, HUMAN02498
OG0001552	AMPFI_21436, AMPFI_14762, AMPFI_14933, AMPFI_14932, AMPFI_20376, AMPFI_20377	HUMAN20977, HUMAN20976
OG0001553	AMPFI_24765	HUMAN27760, HUMAN03319, HUMAN23794
OG0001554	AMPFI_06413	HUMAN05332, HUMAN05331, HUMAN30019
OG0001557	AMPFI_09537	HUMAN04310
OG0001558	AMPFI_15140	HUMAN29505, HUMAN29504, HUMAN14496
OG0001559	AMPFI_05445	HUMAN08415, HUMAN04944, HUMAN02556, HUMAN04942
OG0001560	AMPFI_08835	HUMAN28514, HUMAN14375, HUMAN14373, HUMAN09968, HUMAN24574, HUMAN01892, HUMAN01891
OG0001561	AMPFI_06589	HUMAN20456, HUMAN24967, HUMAN20360
OG0001563	AMPFI_13947, AMPFI_22270	HUMAN09891
OG0001564	AMPFI_01949, AMPFI_20454	HUMAN18396, HUMAN05131
OG0001566	AMPFI_23598	HUMAN25664, HUMAN29643
OG0001567	AMPFI_05324	HUMAN00268, HUMAN21826
OG0001568	AMPFI_05220	HUMAN20082, HUMAN20081
OG0001569	AMPFI_09953	HUMAN07886, HUMAN30285, HUMAN30286, HUMAN30287
OG0001570	AMPFI_12059	HUMAN16051
OG0001571	AMPFI_18530	HUMAN05678
OG0001572	AMPFI_12157	HUMAN13726
OG0001572	AMPFI_15021	HUMAN11626, HUMAN11627
OG0001573	AMPFI_05942	HUMAN01295, HUMAN29048
