peak54432	promoter-TSS 
peak12635	Intergenic
peak16219	intron 
peak20373	Intergenic
peak22509	Intergenic
peak82016	exon 
peak51204	Intergenic
peak31100	Intergenic
peak10544	promoter-TSS 
peak3862	Intergenic
peak10705	intron 
peak44408	intron 
peak4166	Intergenic
peak4896	intron 
peak6334	exon 
peak26380	intron 
peak79752	exon 
peak50692	promoter-TSS 
peak25901	promoter-TSS 
peak29059	exon 
peak80218	Intergenic
peak41522	Intergenic
peak23115	promoter-TSS 
peak54392	Intergenic
peak6704	intron 
peak60420	intron 
peak80921	promoter-TSS 
peak39731	exon 
peak73015	exon 
peak13482	Intergenic
peak8113	intron 
peak13846	promoter-TSS 
peak23529	intron 
peak51254	exon 
peak27610	intron 
peak30222	promoter-TSS 
peak78624	exon 
peak2813	intron 
peak38498	Intergenic
peak66085	intron 
peak22122	intron 
peak29570	Intergenic
peak19821	Intergenic
peak25380	intron 
peak71969	intron 
peak39501	Intergenic
peak78497	Intergenic
peak42740	Intergenic
peak65040	Intergenic
peak62278	exon 
peak29146	intron 
peak2627	Intergenic
peak79862	exon 
peak79852	Intergenic
peak20839	Intergenic
peak81273	promoter-TSS 
peak49748	TTS 
peak32434	intron 
peak61994	intron 
peak14135	Intergenic
peak80842	exon 
peak63779	Intergenic
peak6617	Intergenic
peak64698	Intergenic
peak1974	Intergenic
peak19703	intron 
peak82556	intron 
peak18335	Intergenic
peak23343	TTS 
peak56884	Intergenic
peak74828	intron 
peak80500	promoter-TSS 
peak69585	promoter-TSS 
peak60220	intron 
peak36479	Intergenic
peak40806	Intergenic
peak6828	Intergenic
peak32747	Intergenic
peak16422	intron 
peak42470	Intergenic
peak28357	Intergenic
peak8983	TTS 
peak41684	Intergenic
peak27949	promoter-TSS 
peak65157	Intergenic
peak54736	Intergenic
peak51173	exon 
peak9376	intron 
peak52620	intron 
peak78970	intron 
peak44073	promoter-TSS 
peak12347	intron 
peak47493	Intergenic
peak80785	Intergenic
peak59035	promoter-TSS 
peak32224	exon 
peak25315	intron 
peak11669	Intergenic
peak38407	Intergenic
peak11300	intron 
peak47204	Intergenic
peak54872	Intergenic
peak45163	Intergenic
peak31613	exon 
peak62994	exon 
peak15316	intron 
peak70808	intron 
peak78747	Intergenic
peak75575	exon 
peak43297	Intergenic
peak73660	Intergenic
peak20123	intron 
peak7249	intron 
peak35491	intron 
peak4750	Intergenic
peak31776	promoter-TSS 
peak53800	promoter-TSS 
peak16052	intron 
peak82224	Intergenic
peak19277	promoter-TSS 
peak45850	intron 
peak73231	Intergenic
peak25879	exon 
peak27170	exon 
peak15144	intron 
peak66476	Intergenic
peak23154	TTS 
peak74181	Intergenic
peak77456	Intergenic
peak76201	exon 
peak80944	promoter-TSS 
peak77601	Intergenic
peak78015	intron 
peak30938	intron 
peak5810	TTS 
peak70720	exon 
peak35990	Intergenic
peak6761	intron 
peak7007	Intergenic
peak49465	Intergenic
peak47402	intron 
peak54462	intron 
peak74740	promoter-TSS 
peak29445	promoter-TSS 
peak39659	intron 
peak58972	intron 
peak20900	promoter-TSS 
peak73298	intron 
peak63055	Intergenic
peak58063	promoter-TSS 
peak68833	Intergenic
peak21188	Intergenic
peak12811	intron 
peak80586	intron 
peak19797	Intergenic
peak81844	promoter-TSS 
peak679	intron 
peak55050	Intergenic
peak12438	exon 
peak81860	Intergenic
peak14370	promoter-TSS 
peak25660	Intergenic
peak30667	Intergenic
peak60475	Intergenic
peak72573	Intergenic
peak1619	promoter-TSS 
peak5275	intron 
peak34862	TTS 
peak77095	Intergenic
peak65185	Intergenic
peak60585	Intergenic
peak6992	Intergenic
peak61779	promoter-TSS 
peak43359	Intergenic
peak1645	intron 
peak62421	intron 
peak972	intron 
peak17094	promoter-TSS 
peak82009	intron 
peak78285	intron 
peak16680	Intergenic
peak46735	promoter-TSS 
peak78813	Intergenic
peak52104	Intergenic
peak38326	intron 
peak11921	promoter-TSS 
peak53127	exon 
peak47593	intron 
peak36882	exon 
peak71811	intron 
peak18771	intron 
peak63113	intron 
peak11207	promoter-TSS 
peak49420	intron 
peak3682	intron 
peak80027	promoter-TSS 
peak70365	Intergenic
peak63271	intron 
peak81574	promoter-TSS 
peak3823	Intergenic
peak28735	exon 
peak65611	intron 
peak49097	intron 
peak53476	intron 
peak26054	intron 
peak55675	promoter-TSS 
peak23414	promoter-TSS 
peak65558	intron 
peak56197	promoter-TSS 
peak30412	intron 
peak34922	Intergenic
peak8506	Intergenic
peak72838	promoter-TSS 
peak6220	Intergenic
peak15467	promoter-TSS 
peak81796	Intergenic
peak31392	Intergenic
peak74868	Intergenic
peak29882	Intergenic
peak74247	intron 
peak80136	intron 
peak15390	exon 
peak2143	Intergenic
peak1601	Intergenic
peak17309	Intergenic
peak18144	exon 
peak7439	Intergenic
peak45445	Intergenic
peak28612	Intergenic
peak32163	intron 
peak45472	promoter-TSS 
peak39432	promoter-TSS 
peak1384	intron 
peak60386	promoter-TSS 
peak78330	Intergenic
peak42248	Intergenic
peak2371	promoter-TSS 
peak38705	promoter-TSS 
peak18711	exon 
peak66679	intron 
peak25639	intron 
peak78377	intron 
peak8199	intron 
peak24826	Intergenic
peak71901	promoter-TSS 
peak57279	Intergenic
peak1891	intron 
peak22354	exon 
peak64437	Intergenic
peak49659	promoter-TSS 
peak51766	Intergenic
peak34730	Intergenic
peak22351	intron 
peak18927	Intergenic
peak59770	intron 
peak28051	Intergenic
peak4730	Intergenic
peak48937	intron 
peak995	intron 
peak55425	promoter-TSS 
peak28548	Intergenic
peak53485	promoter-TSS 
peak49413	intron 
peak19253	Intergenic
peak30587	promoter-TSS 
peak3031	intron 
peak61018	Intergenic
peak78310	promoter-TSS 
peak74050	intron 
peak38909	promoter-TSS 
peak68095	Intergenic
peak78711	Intergenic
peak42611	exon 
peak23501	intron 
peak12803	intron 
peak58071	intron 
peak35971	Intergenic
peak33889	Intergenic
peak14255	intron 
peak75641	intron 
peak50363	Intergenic
peak17542	Intergenic
peak78656	intron 
peak54052	exon 
peak11714	TTS 
peak74005	intron 
peak56263	Intergenic
peak45121	Intergenic
peak14078	exon 
peak28619	promoter-TSS 
peak57530	intron 
peak63338	exon 
peak17393	intron 
peak56982	Intergenic
peak37797	Intergenic
peak21986	Intergenic
peak21591	Intergenic
peak44234	promoter-TSS 
peak81471	TTS 
peak32119	intron 
peak42978	Intergenic
peak2076	Intergenic
peak48673	promoter-TSS 
peak19508	promoter-TSS 
peak32949	Intergenic
peak78838	Intergenic
peak74454	intron 
peak67020	intron 
peak40305	promoter-TSS 
peak1723	Intergenic
peak16667	exon 
peak50394	Intergenic
peak7632	intron 
peak62035	intron 
peak49553	exon 
peak56772	promoter-TSS 
peak52608	intron 
peak28325	intron 
peak21043	intron 
peak382	Intergenic
peak32032	Intergenic
peak73709	intron 
peak58056	TTS 
peak47642	intron 
peak61841	exon 
peak48271	promoter-TSS 
peak56011	Intergenic
peak48387	intron 
peak74017	Intergenic
peak71626	Intergenic
peak73429	Intergenic
peak16282	Intergenic
peak18785	Intergenic
peak33492	Intergenic
peak37878	intron 
peak66301	Intergenic
peak41225	Intergenic
peak26484	Intergenic
peak82270	TTS 
peak79204	Intergenic
peak51524	intron 
peak52259	promoter-TSS 
peak28842	intron 
peak22344	intron 
peak49500	Intergenic
peak371	promoter-TSS 
peak15302	Intergenic
peak55601	promoter-TSS 
peak51977	intron 
peak31583	intron 
peak50520	Intergenic
peak20707	Intergenic
peak2934	intron 
peak36523	intron 
peak6480	Intergenic
peak76483	promoter-TSS 
peak54150	exon 
peak1447	Intergenic
peak20569	Intergenic
peak47409	Intergenic
peak19676	intron 
peak7110	Intergenic
peak21589	Intergenic
peak64329	intron 
peak57912	exon 
peak24205	Intergenic
peak26430	Intergenic
peak48158	intron 
peak23039	Intergenic
peak15913	intron 
peak51453	Intergenic
peak8406	Intergenic
peak18663	intron 
peak64905	promoter-TSS 
peak56425	intron 
peak42421	Intergenic
peak77137	Intergenic
peak57691	Intergenic
peak6879	Intergenic
peak76757	intron 
peak32221	Intergenic
peak81128	intron 
peak55448	intron 
peak80057	promoter-TSS 
peak70585	promoter-TSS 
peak40722	intron 
peak42127	intron 
peak5536	intron 
peak43434	Intergenic
peak36686	promoter-TSS 
peak59693	intron 
peak8162	intron 
peak10949	Intergenic
peak27437	intron 
peak34874	intron 
peak48448	intron 
peak56736	Intergenic
peak22084	Intergenic
peak42695	Intergenic
peak41012	promoter-TSS 
peak80954	Intergenic
peak50841	Intergenic
peak53391	intron 
peak61283	Intergenic
peak52484	Intergenic
peak18398	promoter-TSS 
peak18757	exon 
peak74964	Intergenic
peak26732	intron 
peak33684	Intergenic
peak51385	exon 
peak4262	Intergenic
peak50457	Intergenic
peak73412	intron 
peak38987	intron 
peak26883	Intergenic
peak20455	Intergenic
peak79371	Intergenic
peak48980	Intergenic
peak38932	intron 
peak58239	Intergenic
peak82668	intron 
peak12910	exon 
peak10210	Intergenic
peak26211	intron 
peak44761	exon 
peak75086	intron 
peak49392	intron 
peak49566	exon 
peak49416	Intergenic
peak65983	Intergenic
peak1986	intron 
peak26087	promoter-TSS 
peak70810	promoter-TSS 
peak57260	intron 
peak81160	Intergenic
peak22278	promoter-TSS 
peak71698	Intergenic
peak43780	promoter-TSS 
peak27791	promoter-TSS 
peak65113	intron 
peak6800	intron 
peak27831	exon 
peak529	Intergenic
peak46905	Intergenic
peak7817	Intergenic
peak71933	intron 
peak42467	intron 
peak50711	Intergenic
peak76292	intron 
peak42689	Intergenic
peak62326	intron 
peak36488	intron 
peak44723	intron 
peak26519	exon 
peak70849	intron 
peak59552	intron 
peak47105	Intergenic
peak288	TTS 
peak59206	exon 
peak54629	Intergenic
peak40166	intron 
peak30359	Intergenic
peak63960	promoter-TSS 
peak38593	intron 
peak17993	exon 
peak59345	Intergenic
peak59140	intron 
peak46401	Intergenic
peak46648	intron 
peak50041	Intergenic
peak52054	promoter-TSS 
peak52328	exon 
peak70882	promoter-TSS 
peak14757	Intergenic
peak30801	Intergenic
peak23656	Intergenic
peak36077	intron 
peak61910	Intergenic
peak77205	promoter-TSS 
peak68718	intron 
peak119	Intergenic
peak75024	Intergenic
peak10475	intron 
peak70894	exon 
peak25671	promoter-TSS 
peak47517	promoter-TSS 
peak82779	Intergenic
peak32072	Intergenic
peak31490	Intergenic
peak78944	exon 
peak54380	intron 
peak4854	promoter-TSS 
peak4477	Intergenic
peak9293	promoter-TSS 
peak81366	promoter-TSS 
peak50667	intron 
peak51669	Intergenic
peak72080	intron 
peak46095	promoter-TSS 
peak79414	intron 
peak10353	intron 
peak22785	intron 
peak73108	promoter-TSS 
peak67406	intron 
peak31301	Intergenic
peak22436	Intergenic
peak76602	exon 
peak67727	intron 
peak58767	Intergenic
peak39581	TTS 
peak15615	Intergenic
peak26954	intron 
peak52178	Intergenic
peak79631	Intergenic
peak18615	promoter-TSS 
peak30077	intron 
peak8763	intron 
peak34379	Intergenic
peak18961	intron 
peak43512	intron 
peak78216	TTS 
peak58506	exon 
peak77635	Intergenic
peak72607	promoter-TSS 
peak59030	Intergenic
peak19149	promoter-TSS 
peak75880	Intergenic
peak55274	intron 
peak32358	intron 
peak56894	promoter-TSS 
peak21073	Intergenic
peak56904	Intergenic
peak44694	Intergenic
peak1128	Intergenic
peak3714	intron 
peak16046	Intergenic
peak18086	Intergenic
peak9611	Intergenic
peak4579	exon 
peak57543	Intergenic
peak60662	Intergenic
peak24586	intron 
peak44375	intron 
peak403	Intergenic
peak33113	intron 
peak80238	Intergenic
peak54970	intron 
peak67669	promoter-TSS 
peak54105	intron 
peak43248	promoter-TSS 
peak45256	Intergenic
peak40268	intron 
peak9210	Intergenic
peak5232	Intergenic
peak61664	intron 
peak44635	intron 
peak80366	intron 
peak68696	exon 
peak52459	intron 
peak46388	intron 
peak5445	intron 
peak16787	intron 
peak24599	intron 
peak39850	Intergenic
peak71947	Intergenic
peak59241	intron 
peak1405	intron 
peak59305	Intergenic
peak24416	exon 
peak30558	intron 
peak48390	intron 
peak22954	intron 
peak75127	Intergenic
peak1459	Intergenic
peak53780	promoter-TSS 
peak6897	promoter-TSS 
peak12950	promoter-TSS 
peak33779	intron 
peak65416	TTS 
peak58783	promoter-TSS 
peak22241	promoter-TSS 
peak54441	Intergenic
peak52868	Intergenic
peak31104	intron 
peak34027	intron 
peak42265	promoter-TSS 
peak37438	intron 
peak56992	Intergenic
peak67558	intron 
peak79797	intron 
peak37661	promoter-TSS 
peak61640	Intergenic
peak657	promoter-TSS 
peak44322	exon 
peak10348	intron 
peak46835	Intergenic
peak18999	promoter-TSS 
peak23328	exon 
peak43569	promoter-TSS 
peak32493	intron 
peak6028	intron 
peak18873	intron 
peak34508	Intergenic
peak56106	Intergenic
peak8561	exon 
peak6030	Intergenic
peak29779	intron 
peak7224	Intergenic
peak36988	Intergenic
peak71742	promoter-TSS 
peak80833	intron 
peak4917	Intergenic
peak41881	intron 
peak2139	promoter-TSS 
peak82169	promoter-TSS 
peak12597	intron 
peak69572	promoter-TSS 
peak74358	intron 
peak55457	exon 
peak41995	Intergenic
peak76214	Intergenic
peak30719	exon 
peak64891	intron 
peak20905	intron 
peak81988	Intergenic
peak16453	exon 
peak820	Intergenic
peak33828	Intergenic
peak59874	intron 
peak23170	Intergenic
peak15607	intron 
peak77014	Intergenic
peak58869	Intergenic
peak25666	Intergenic
peak30255	intron 
peak68538	intron 
peak32965	Intergenic
peak49177	Intergenic
peak75826	intron 
peak50756	intron 
peak18869	promoter-TSS 
peak26540	TTS 
peak79507	intron 
peak78663	intron 
peak49085	intron 
peak1882	Intergenic
peak47299	Intergenic
peak71222	exon 
peak51841	Intergenic
peak35557	TTS 
peak53156	Intergenic
peak5387	Intergenic
peak69097	Intergenic
peak68125	intron 
peak46164	promoter-TSS 
peak45823	intron 
peak48890	intron 
peak35093	Intergenic
peak35738	intron 
peak22	Intergenic
peak23085	Intergenic
peak62407	intron 
peak48344	TTS 
peak13587	promoter-TSS 
peak35823	promoter-TSS 
peak82460	intron 
peak76105	Intergenic
peak77070	exon 
peak2940	intron 
peak56074	intron 
peak9659	Intergenic
peak61243	Intergenic
peak66462	intron 
peak81770	Intergenic
peak10959	intron 
peak77765	intron 
peak44340	promoter-TSS 
peak42001	Intergenic
peak78532	intron 
peak11765	intron 
peak5911	promoter-TSS 
peak19696	Intergenic
peak43342	intron 
peak33108	TTS 
peak29660	promoter-TSS 
peak82033	Intergenic
peak68207	intron 
peak8549	intron 
peak12042	TTS 
peak25062	promoter-TSS 
peak21304	intron 
peak50495	intron 
peak20233	promoter-TSS 
peak81253	Intergenic
peak56088	Intergenic
peak23403	intron 
peak54579	Intergenic
peak74079	intron 
peak16587	intron 
peak27100	intron 
peak56081	intron 
peak37540	Intergenic
peak22770	exon 
peak7292	Intergenic
peak38094	exon 
peak70573	Intergenic
peak56836	Intergenic
peak76835	intron 
peak26635	intron 
peak75318	intron 
peak44427	Intergenic
peak43876	promoter-TSS 
peak14236	intron 
peak14240	Intergenic
peak18121	exon 
peak6755	intron 
peak41942	Intergenic
peak37916	Intergenic
peak64467	Intergenic
peak52167	Intergenic
peak79304	exon 
peak3626	Intergenic
peak65870	Intergenic
peak68542	Intergenic
peak7447	exon 
peak18994	promoter-TSS 
peak31413	promoter-TSS 
peak49834	TTS 
peak570	Intergenic
peak34550	Intergenic
peak60401	exon 
peak48592	intron 
peak16199	Intergenic
peak63554	intron 
peak57939	exon 
peak35544	promoter-TSS 
peak11769	intron 
peak16160	Intergenic
peak45304	Intergenic
peak66959	Intergenic
peak6759	exon 
peak78434	Intergenic
peak53233	Intergenic
peak11054	promoter-TSS 
peak63706	promoter-TSS 
peak40032	Intergenic
peak24759	Intergenic
peak53117	intron 
peak51037	Intergenic
peak81079	Intergenic
peak32612	intron 
peak12601	intron 
peak26713	Intergenic
peak27807	promoter-TSS 
peak28148	intron 
peak78875	promoter-TSS 
peak43076	promoter-TSS 
peak65284	Intergenic
peak16572	Intergenic
peak22271	TTS 
peak4445	intron 
peak18467	Intergenic
peak31274	Intergenic
peak51080	intron 
peak58354	Intergenic
peak28529	intron 
peak71021	Intergenic
peak59752	intron 
peak10813	promoter-TSS 
peak18748	promoter-TSS 
peak70214	Intergenic
peak71430	promoter-TSS 
peak47658	exon 
peak33400	Intergenic
peak47700	Intergenic
peak80038	intron 
peak19479	Intergenic
peak40338	intron 
peak6935	Intergenic
peak3850	Intergenic
peak63845	intron 
peak1910	intron 
peak40811	Intergenic
peak81261	exon 
peak48462	Intergenic
peak45885	exon 
peak7152	Intergenic
peak40160	promoter-TSS 
peak28805	promoter-TSS 
peak73828	exon 
peak58836	Intergenic
peak9475	exon 
peak64225	Intergenic
peak11210	promoter-TSS 
peak49983	exon 
peak28551	Intergenic
peak75252	promoter-TSS 
peak37982	exon 
peak19546	Intergenic
peak30308	Intergenic
peak15725	Intergenic
peak14447	intron 
peak20177	Intergenic
peak34150	intron 
peak52939	intron 
peak46575	exon 
peak53688	intron 
peak60739	promoter-TSS 
peak67779	exon 
peak26892	Intergenic
peak45520	Intergenic
peak40883	Intergenic
peak13308	Intergenic
peak31118	Intergenic
peak6375	intron 
peak34773	Intergenic
peak72635	Intergenic
peak51478	Intergenic
peak43084	Intergenic
peak56842	Intergenic
peak65782	Intergenic
peak22890	intron 
peak74536	intron 
peak71863	intron 
peak68367	exon 
peak37061	exon 
peak18660	intron 
peak5300	Intergenic
peak82536	promoter-TSS 
peak61294	intron 
peak73982	exon 
peak72154	intron 
peak52063	promoter-TSS 
peak33151	intron 
peak59627	intron 
peak52668	TTS 
peak49323	Intergenic
peak54042	Intergenic
peak1472	exon 
peak40657	exon 
peak82446	promoter-TSS 
peak74480	exon 
peak14013	exon 
peak51358	exon 
peak26950	intron 
peak38071	intron 
peak78418	intron 
peak48581	Intergenic
peak20353	intron 
peak42675	Intergenic
peak6466	intron 
peak17555	exon 
peak42137	intron 
peak9706	Intergenic
peak11002	Intergenic
peak33913	exon 
peak11876	Intergenic
peak31521	intron 
peak48230	promoter-TSS 
peak30233	exon 
peak33125	Intergenic
peak54312	intron 
peak31891	intron 
peak53226	Intergenic
peak67462	Intergenic
peak8353	Intergenic
peak40468	intron 
peak38414	Intergenic
peak21916	Intergenic
peak1175	exon 
peak2437	exon 
peak60864	Intergenic
peak1201	Intergenic
peak39943	promoter-TSS 
peak61109	intron 
peak5830	intron 
peak5626	Intergenic
peak52771	exon 
peak15558	intron 
peak73348	Intergenic
peak51431	intron 
peak45159	Intergenic
peak82792	Intergenic
peak7164	intron 
peak45112	Intergenic
peak10564	Intergenic
peak46805	intron 
peak29639	promoter-TSS 
peak57036	Intergenic
peak23254	promoter-TSS 
peak64170	Intergenic
peak36227	intron 
peak46281	Intergenic
peak65936	Intergenic
peak4654	Intergenic
peak69609	intron 
peak59348	intron 
peak63586	intron 
peak27718	exon 
peak68192	intron 
peak61096	Intergenic
peak49119	intron 
peak35136	Intergenic
peak81429	Intergenic
peak32790	intron 
peak18045	exon 
peak43538	Intergenic
peak41874	intron 
peak41696	promoter-TSS 
peak49387	Intergenic
peak16231	Intergenic
peak22691	exon 
peak41727	TTS 
peak43509	Intergenic
peak34951	Intergenic
peak24258	Intergenic
peak27906	intron 
peak18299	Intergenic
peak13852	intron 
peak67567	Intergenic
peak78028	exon 
peak75242	intron 
peak23720	Intergenic
peak65852	promoter-TSS 
peak8132	Intergenic
peak4178	Intergenic
peak11616	Intergenic
peak62442	exon 
peak47912	Intergenic
peak76531	intron 
peak21288	exon 
peak24902	Intergenic
peak77481	intron 
peak50242	Intergenic
peak77504	Intergenic
peak15949	intron 
peak18475	promoter-TSS 
peak36561	Intergenic
peak33164	exon 
peak55445	promoter-TSS 
peak7744	Intergenic
peak16902	exon 
peak55369	Intergenic
peak8870	intron 
peak2117	Intergenic
peak69453	exon 
peak27450	intron 
peak63048	Intergenic
peak54632	Intergenic
peak25619	Intergenic
peak78923	promoter-TSS 
peak23495	exon 
peak35619	Intergenic
peak12853	Intergenic
peak44170	Intergenic
peak63099	exon 
peak22908	promoter-TSS 
peak49517	Intergenic
peak72746	Intergenic
peak65095	intron 
peak43861	intron 
peak28964	Intergenic
peak76555	promoter-TSS 
peak57409	intron 
peak66390	TTS 
peak67838	Intergenic
peak57451	Intergenic
peak45428	Intergenic
peak57728	intron 
peak22198	Intergenic
peak41773	intron 
peak53706	Intergenic
peak28326	exon 
peak81199	Intergenic
peak76571	Intergenic
peak56335	Intergenic
peak247	intron 
peak32913	Intergenic
peak11684	promoter-TSS 
peak78255	Intergenic
peak79254	promoter-TSS 
peak8083	Intergenic
peak48696	Intergenic
peak46510	Intergenic
peak21802	promoter-TSS 
peak23261	intron 
peak50906	intron 
peak35022	promoter-TSS 
peak55623	exon 
peak42342	intron 
peak63034	intron 
peak72288	promoter-TSS 
peak9361	exon 
peak72913	intron 
peak41597	Intergenic
peak22336	Intergenic
peak6095	promoter-TSS 
peak80991	intron 
peak67804	Intergenic
peak53348	exon 
peak5028	Intergenic
peak12735	Intergenic
peak52653	intron 
peak60107	Intergenic
peak5569	Intergenic
peak60606	TTS 
peak25346	promoter-TSS 
peak43448	intron 
peak1751	intron 
peak42156	intron 
peak45292	Intergenic
peak76429	promoter-TSS 
peak23626	promoter-TSS 
peak79293	Intergenic
peak15274	Intergenic
peak34233	exon 
peak58027	exon 
peak37859	Intergenic
peak13646	promoter-TSS 
peak35295	Intergenic
peak68300	intron 
peak35935	exon 
peak13405	promoter-TSS 
peak26345	intron 
peak82082	Intergenic
peak72223	Intergenic
peak15683	intron 
peak49213	Intergenic
peak48738	intron 
peak72049	Intergenic
peak52360	Intergenic
peak79657	Intergenic
peak23140	exon 
peak81176	intron 
peak48791	Intergenic
peak72681	Intergenic
peak59003	Intergenic
peak17374	Intergenic
peak28271	Intergenic
peak66537	Intergenic
peak73165	Intergenic
peak76989	Intergenic
peak73544	intron 
peak47759	Intergenic
peak53501	intron 
peak62796	Intergenic
peak39069	intron 
peak23559	promoter-TSS 
peak53569	Intergenic
peak26030	intron 
peak74188	intron 
peak77576	Intergenic
peak67622	TTS 
peak6059	intron 
peak35707	Intergenic
peak48560	Intergenic
peak3304	intron 
peak60224	intron 
peak82702	exon 
peak50150	Intergenic
peak36781	Intergenic
peak16943	promoter-TSS 
peak69713	intron 
peak7194	intron 
peak29881	Intergenic
peak45774	Intergenic
peak80418	Intergenic
peak40562	promoter-TSS 
peak48883	Intergenic
peak44507	intron 
peak27142	promoter-TSS 
peak3584	intron 
peak64857	Intergenic
peak23537	promoter-TSS 
peak75172	Intergenic
peak47354	Intergenic
peak49485	Intergenic
peak31222	Intergenic
peak22793	intron 
peak63925	Intergenic
peak13526	promoter-TSS 
peak7453	promoter-TSS 
peak2407	promoter-TSS 
peak80432	intron 
peak55388	exon 
peak18744	Intergenic
peak228	intron 
peak1289	intron 
peak18561	intron 
peak21278	intron 
peak44430	Intergenic
peak8006	Intergenic
peak33756	intron 
peak61214	intron 
peak31124	exon 
peak36892	promoter-TSS 
peak22818	TTS 
peak29589	intron 
peak7622	intron 
peak69940	intron 
peak9119	intron 
peak73722	Intergenic
peak65976	Intergenic
peak66482	promoter-TSS 
peak60468	Intergenic
peak44018	exon 
peak19351	Intergenic
peak54393	Intergenic
peak32489	intron 
peak46047	promoter-TSS 
peak16027	Intergenic
peak20916	exon 
peak69042	intron 
peak52888	Intergenic
peak33565	intron 
peak67239	Intergenic
peak49308	Intergenic
peak57895	intron 
peak13755	TTS 
peak60067	intron 
peak11386	Intergenic
peak42691	Intergenic
peak2367	Intergenic
peak76631	intron 
peak66142	exon 
peak61134	promoter-TSS 
peak72030	intron 
peak51725	intron 
peak74870	Intergenic
peak43732	Intergenic
peak18890	Intergenic
peak75743	Intergenic
peak672	promoter-TSS 
peak17459	intron 
peak82725	Intergenic
peak60855	Intergenic
peak52083	Intergenic
peak3206	intron 
peak81153	Intergenic
peak73565	exon 
peak56326	Intergenic
peak80076	intron 
peak67797	Intergenic
peak50570	intron 
peak76220	intron 
peak75109	intron 
peak42117	Intergenic
peak11500	intron 
peak65819	exon 
peak39616	intron 
peak25490	intron 
peak61369	Intergenic
peak70393	intron 
peak60503	exon 
peak67969	Intergenic
peak39187	TTS 
peak76744	Intergenic
peak21389	Intergenic
peak24814	intron 
peak54403	intron 
peak45376	intron 
peak59292	Intergenic
peak72158	exon 
peak68471	Intergenic
peak12298	promoter-TSS 
peak64680	Intergenic
peak56148	intron 
peak80517	exon 
peak62132	Intergenic
peak5146	intron 
peak57980	exon 
peak49572	Intergenic
peak79194	intron 
peak3567	intron 
peak21520	intron 
peak28804	Intergenic
peak70088	intron 
peak43750	promoter-TSS 
peak75350	intron 
peak66054	intron 
peak80919	promoter-TSS 
peak79420	exon 
peak72459	promoter-TSS 
peak73799	Intergenic
peak21462	intron 
peak65753	Intergenic
peak46566	intron 
peak38754	promoter-TSS 
peak4082	Intergenic
peak81818	intron 
peak24128	intron 
peak26857	intron 
peak13978	Intergenic
peak66121	Intergenic
peak20482	Intergenic
peak24139	intron 
peak14981	TTS 
peak54794	intron 
peak52997	promoter-TSS 
peak2980	intron 
peak60046	intron 
peak23597	Intergenic
peak43309	promoter-TSS 
peak9641	promoter-TSS 
peak70174	intron 
peak29285	promoter-TSS 
peak53916	exon 
peak44657	intron 
peak75273	Intergenic
peak54299	Intergenic
peak30900	intron 
peak35453	exon 
peak51837	intron 
peak25125	Intergenic
peak10248	promoter-TSS 
peak39781	intron 
peak11912	Intergenic
peak79000	Intergenic
peak58173	promoter-TSS 
peak53039	Intergenic
peak51378	promoter-TSS 
peak8489	Intergenic
peak53481	intron 
peak64022	Intergenic
peak39813	intron 
peak14480	intron 
peak18453	Intergenic
peak5853	promoter-TSS 
peak73312	intron 
peak70628	exon 
peak65461	Intergenic
peak16583	Intergenic
peak79623	promoter-TSS 
peak33442	Intergenic
peak513	Intergenic
peak76878	intron 
peak64880	promoter-TSS 
peak44473	Intergenic
peak7393	promoter-TSS 
peak8995	intron 
peak23200	Intergenic
peak24469	intron 
peak55077	exon 
peak82423	intron 
peak81329	Intergenic
peak72322	intron 
peak71512	Intergenic
peak65334	Intergenic
peak80554	intron 
peak18701	promoter-TSS 
peak33034	Intergenic
peak35910	promoter-TSS 
peak55199	Intergenic
peak39849	Intergenic
peak76387	exon 
peak48318	intron 
peak4774	intron 
peak61534	Intergenic
peak36375	Intergenic
peak1629	Intergenic
peak3653	Intergenic
peak38476	Intergenic
peak17059	intron 
peak73645	Intergenic
peak46004	intron 
peak43689	intron 
peak46723	intron 
peak9505	promoter-TSS 
peak31726	exon 
peak22629	Intergenic
peak6811	Intergenic
peak54165	Intergenic
peak43694	intron 
peak36979	Intergenic
peak15481	intron 
peak71195	Intergenic
peak70095	Intergenic
peak79544	intron 
peak68801	TTS 
peak71406	Intergenic
peak55464	intron 
peak6854	Intergenic
peak48063	Intergenic
peak23731	Intergenic
peak35661	Intergenic
peak68291	Intergenic
peak53548	Intergenic
peak23389	exon 
peak57605	intron 
peak59657	Intergenic
peak7288	promoter-TSS 
peak30530	intron 
peak30872	intron 
peak70773	intron 
peak32231	promoter-TSS 
peak19354	Intergenic
peak34591	intron 
peak53180	intron 
peak873	intron 
peak53492	intron 
peak16467	Intergenic
peak27930	Intergenic
peak18274	promoter-TSS 
peak16133	intron 
peak32501	Intergenic
peak9938	promoter-TSS 
peak45386	Intergenic
peak43271	Intergenic
peak15062	exon 
peak59102	intron 
peak45500	Intergenic
peak5470	exon 
peak45274	Intergenic
peak71037	intron 
peak42974	intron 
peak31740	Intergenic
peak39369	Intergenic
peak50814	intron 
peak209	promoter-TSS 
peak43838	intron 
peak54593	Intergenic
peak26576	intron 
peak6734	promoter-TSS 
peak4434	intron 
peak54097	Intergenic
peak76826	Intergenic
