protein_ID	transcript_ID	gene_ID
XP_001179755.3	rna-XM_001179755.4	LOC752643
XP_030839641.1	rna-XM_030983781.1	LOC115923327
XP_011682374.2	rna-XM_011684072.2	LOC105446800
XP_030839082.1	rna-XM_030983222.1	LOC577828
XP_030839081.1	rna-XM_030983221.1	LOC577828
XP_030839086.1	rna-XM_030983226.1	LOC577828
XP_030839084.1	rna-XM_030983224.1	LOC577828
XP_030839085.1	rna-XM_030983225.1	LOC577828
XP_787842.2	rna-XM_782749.4	LOC582811
XP_030839087.1	rna-XM_030983227.1	LOC100892467
XP_030839503.1	rna-XM_030983643.1	LOC100892771
XP_003728098.2	rna-XM_003728050.3	LOC100892548
XP_030839504.1	rna-XM_030983644.1	LOC105437895
XP_011663331.2	rna-XM_011665029.2	LOC754290
XP_787997.1	rna-XM_782904.4	LOC582976
XP_786658.2	rna-XM_781565.5	LOC581576
XP_030839089.1	rna-XM_030983229.1	LOC576823
XP_030839090.1	rna-XM_030983230.1	LOC762584
XP_030839505.1	rna-XM_030983645.1	LOC763157
XP_030839642.1	rna-XM_030983782.1	LOC100893565
XP_030839643.1	rna-XM_030983783.1	LOC100893565
XP_030839506.1	rna-XM_030983646.1	LOC105438813
XP_030838505.1	rna-XM_030982645.1	sfk3
XP_030838504.1	rna-XM_030982644.1	sfk3
NP_001135850.1	rna-NM_001142378.1	sfk3
XP_030839093.1	rna-XM_030983233.1	LOC580497
XP_030839091.1	rna-XM_030983231.1	LOC580497
XP_030839096.1	rna-XM_030983236.1	LOC580497
XP_030839094.1	rna-XM_030983234.1	LOC580497
XP_030839092.1	rna-XM_030983232.1	LOC580497
XP_030839099.1	rna-XM_030983239.1	LOC580497
XP_030839098.1	rna-XM_030983238.1	LOC580497
XP_030839097.1	rna-XM_030983237.1	LOC580497
XP_030839507.1	rna-XM_030983647.1	LOC584236
XP_030839509.1	rna-XM_030983649.1	LOC115923241
XP_030839100.1	rna-XM_030983240.1	LOC583346
XP_030839101.1	rna-XM_030983241.1	LOC583364
XP_030839104.1	rna-XM_030983244.1	LOC583364
XP_030839103.1	rna-XM_030983243.1	LOC583364
XP_030839102.1	rna-XM_030983242.1	LOC583364
XP_030839105.1	rna-XM_030983245.1	LOC588904
XP_011665172.1	rna-XM_011666870.2	LOC588937
XP_030839106.1	rna-XM_030983246.1	LOC575038
XP_030839510.1	rna-XM_030983650.1	LOC763830
XP_800406.2	rna-XM_795313.5	LOC586717
XP_030839511.1	rna-XM_030983651.1	LOC764658
XP_030839107.1	rna-XM_030983247.1	LOC115923066
XP_030839108.1	rna-XM_030983248.1	LOC100890040
NP_999721.1	rna-NM_214556.2	LOC373351
XP_030839109.1	rna-XM_030983249.1	LOC584069
XP_011669130.2	rna-XM_011670828.2	LOC584097
XP_030839110.1	rna-XM_030983250.1	LOC105444003
XP_001186139.3	rna-XM_001186139.4	LOC754557
XP_030839112.1	rna-XM_030983252.1	LOC115923067
XP_030839644.1	rna-XM_030983784.1	LOC105444004
XP_030839645.1	rna-XM_030983785.1	LOC115923328
XP_030839512.1	rna-XM_030983652.1	LOC115923242
XP_030839646.1	rna-XM_030983786.1	LOC753431
XP_030839513.1	rna-XM_030983653.1	LOC105439513
XP_030839647.1	rna-XM_030983787.1	LOC105444650
XP_003727267.1	rna-XM_003727219.3	LOC100892182
XP_030839648.1	rna-XM_030983788.1	LOC115923329
XP_030839514.1	rna-XM_030983654.1	LOC115923243
XP_030839113.1	rna-XM_030983253.1	LOC115923069
XP_030839515.1	rna-XM_030983655.1	LOC593974
XP_030839516.1	rna-XM_030983656.1	LOC577650
XP_030839114.1	rna-XM_030983254.1	LOC577142
XP_030839517.1	rna-XM_030983657.1	LOC115923245
XP_030839115.1	rna-XM_030983255.1	LOC115923072
XP_030839116.1	rna-XM_030983256.1	LOC100889952
XP_030839117.1	rna-XM_030983257.1	LOC105440581
XP_792363.3	rna-XM_787270.5	LOC587547
XP_030839118.1	rna-XM_030983258.1	LOC764219
XP_030839119.1	rna-XM_030983259.1	LOC764142
XP_030839121.1	rna-XM_030983261.1	LOC764142
XP_030839120.1	rna-XM_030983260.1	LOC764142
XP_794078.3	rna-XM_788985.5	LOC589341
XP_030839122.1	rna-XM_030983262.1	LOC589116
XP_011664982.1	rna-XM_011666680.2	LOC105438633
XP_030839125.1	rna-XM_030983265.1	LOC752321
XP_030839124.1	rna-XM_030983264.1	LOC752321
XP_030839518.1	rna-XM_030983658.1	LOC587965
XP_030839519.1	rna-XM_030983659.1	LOC115923247
XP_798084.1	rna-XM_792991.5	LOC593520
XP_030839128.1	rna-XM_030983268.1	LOC100891087
XP_030839127.1	rna-XM_030983267.1	LOC100891087
XP_030839126.1	rna-XM_030983266.1	LOC100891087
XP_030839132.1	rna-XM_030983272.1	LOC115923078
XP_030839131.1	rna-XM_030983271.1	LOC115923078
XP_030839130.1	rna-XM_030983270.1	LOC580684
XP_030839129.1	rna-XM_030983269.1	LOC580684
XP_030839134.1	rna-XM_030983274.1	LOC753691
XP_030839135.1	rna-XM_030983275.1	LOC753691
XP_788933.2	rna-XM_783840.5	LOC373419
XP_003725089.1	rna-XM_003725041.3	LOC373419
XP_030839136.1	rna-XM_030983276.1	LOC373419
XP_030839137.1	rna-XM_030983277.1	LOC373419
XP_030839138.1	rna-XM_030983278.1	LOC586898
XP_011667689.1	rna-XM_011669387.2	LOC105439866
XP_030839520.1	rna-XM_030983660.1	LOC115923248
XP_030839140.1	rna-XM_030983280.1	LOC115923080
XP_030839139.1	rna-XM_030983279.1	LOC115923080
XP_030839521.1	rna-XM_030983661.1	LOC115923249
XP_030839522.1	rna-XM_030983662.1	LOC115923250
NP_001135851.1	rna-NM_001142379.1	SFK7
XP_030838506.1	rna-XM_030982646.1	ROCK
XP_030838508.1	rna-XM_030982648.1	ROCK
XP_030838507.1	rna-XM_030982647.1	ROCK
NP_001171981.1	rna-NM_001185052.1	ROCK
XP_030839523.1	rna-XM_030983663.1	LOC590513
XP_030839649.1	rna-XM_030983789.1	LOC115923330
XP_030839524.1	rna-XM_030983664.1	LOC115923251
XP_030839525.1	rna-XM_030983665.1	LOC115923253
XP_030839526.1	rna-XM_030983666.1	LOC115923254
XP_030839141.1	rna-XM_030983281.1	LOC115923085
XP_030839142.1	rna-XM_030983282.1	LOC115923086
XP_030839143.1	rna-XM_030983283.1	LOC115923087
XP_030839144.1	rna-XM_030983284.1	LOC115923088
XP_030839145.1	rna-XM_030983285.1	LOC115923089
XP_030839650.1	rna-XM_030983790.1	LOC105446388
XP_030839527.1	rna-XM_030983667.1	LOC592895
XP_030839528.1	rna-XM_030983668.1	LOC115923255
XP_030839146.1	rna-XM_030983286.1	LOC115923090
XP_030839529.1	rna-XM_030983669.1	LOC115923256
XP_030839148.1	rna-XM_030983288.1	LOC115923091
XP_030839147.1	rna-XM_030983287.1	LOC115923091
XP_030839151.1	rna-XM_030983291.1	LOC115923091
XP_030839150.1	rna-XM_030983290.1	LOC115923091
XP_030839530.1	rna-XM_030983670.1	LOC115923257
XP_030839531.1	rna-XM_030983671.1	LOC100892249
XP_030839152.1	rna-XM_030983292.1	LOC115923092
XP_030839153.1	rna-XM_030983293.1	LOC115923093
XP_030839532.1	rna-XM_030983672.1	LOC115923259
XP_030839533.1	rna-XM_030983673.1	LOC115923260
XP_030839534.1	rna-XM_030983674.1	LOC115923261
XP_030839535.1	rna-XM_030983675.1	LOC115923262
XP_003730883.2	rna-XM_003730835.2	LOC584045
XP_030839158.1	rna-XM_030983298.1	LOC115923095
XP_030839156.1	rna-XM_030983296.1	LOC578156
XP_030839157.1	rna-XM_030983297.1	LOC578156
XP_030839155.1	rna-XM_030983295.1	LOC578156
XP_030839154.1	rna-XM_030983294.1	LOC578156
XP_030839536.1	rna-XM_030983676.1	LOC105438957
XP_030839160.1	rna-XM_030983300.1	LOC100890154
XP_030839537.1	rna-XM_030983677.1	LOC115923264
XP_030839538.1	rna-XM_030983678.1	LOC105438581
XP_030839539.1	rna-XM_030983679.1	LOC105441215
XP_030839540.1	rna-XM_030983680.1	LOC115923265
XP_030839161.1	rna-XM_030983301.1	LOC115923096
XP_030839541.1	rna-XM_030983681.1	LOC115923266
XP_030839542.1	rna-XM_030983682.1	LOC105439270
XP_030839543.1	rna-XM_030983683.1	LOC115923268
XP_011673022.2	rna-XM_011674720.2	LOC105442526
XP_030839167.1	rna-XM_030983307.1	LOC588863
XP_030839164.1	rna-XM_030983304.1	LOC752152
XP_030839163.1	rna-XM_030983303.1	LOC752152
XP_030839165.1	rna-XM_030983305.1	LOC752152
XP_030839162.1	rna-XM_030983302.1	LOC752152
XP_030839166.1	rna-XM_030983306.1	LOC752152
XP_030839544.1	rna-XM_030983684.1	LOC105446936
XP_030839545.1	rna-XM_030983685.1	LOC115923269
XP_011661925.2	rna-XM_011663623.2	LOC105437249
XP_030839168.1	rna-XM_030983308.1	LOC115923102
XP_030839546.1	rna-XM_030983686.1	LOC115923270
XP_030839169.1	rna-XM_030983309.1	LOC115923103
XP_030839171.1	rna-XM_030983311.1	LOC579828
XP_030839170.1	rna-XM_030983310.1	LOC115923104
XP_030839547.1	rna-XM_030983687.1	LOC587274
XP_030839172.1	rna-XM_030983312.1	LOC105444391
XP_780260.2	rna-XM_775167.5	LOC574784
XP_011676894.2	rna-XM_011678592.2	LOC574784
XP_030839548.1	rna-XM_030983688.1	LOC756780
XP_011676903.2	rna-XM_011678601.2	LOC574922
XP_003727087.2	rna-XM_003727039.3	LOC575564
XP_781050.2	rna-XM_775957.5	LOC575564
XP_030839173.1	rna-XM_030983313.1	LOC575564
XP_030839175.1	rna-XM_030983315.1	LOC755338
XP_030839174.1	rna-XM_030983314.1	LOC755338
XP_011676902.2	rna-XM_011678600.2	LOC105444397
XP_003727089.2	rna-XM_003727041.3	LOC100889842
XP_011676893.2	rna-XM_011678591.2	LOC100889842
XP_011676892.2	rna-XM_011678590.2	LOC100889842
XP_030839177.1	rna-XM_030983317.1	LOC100889842
XP_011676889.2	rna-XM_011678587.2	LOC100889842
XP_030839178.1	rna-XM_030983318.1	LOC100889842
XP_011676890.2	rna-XM_011678588.2	LOC100889842
XP_011676888.2	rna-XM_011678586.2	LOC100889842
XP_003727091.2	rna-XM_003727043.3	LOC100889842
XP_030839179.1	rna-XM_030983319.1	LOC100889842
XP_030839180.1	rna-XM_030983320.1	LOC100889842
XP_011676900.1	rna-XM_011678598.1	LOC105444395
XP_011676899.1	rna-XM_011678597.1	LOC100890430
XP_030839549.1	rna-XM_030983689.1	LOC105446885
XP_030839550.1	rna-XM_030983690.1	LOC105446875
XP_030839181.1	rna-XM_030983321.1	LOC105446884
XP_030839651.1	rna-XM_030983791.1	LOC586876
XP_030839652.1	rna-XM_030983792.1	LOC105441707
XP_030839182.1	rna-XM_030983322.1	LOC100889330
XP_030839183.1	rna-XM_030983323.1	LOC105446879
XP_003724213.1	rna-XM_003724165.3	LOC100889483
XP_011682550.1	rna-XM_011684248.2	LOC584760
XP_011682551.1	rna-XM_011684249.2	LOC584760
XP_030839184.1	rna-XM_030983324.1	LOC594185
XP_030839185.1	rna-XM_030983325.1	LOC594185
XP_030839186.1	rna-XM_030983326.1	LOC594185
XP_030839551.1	rna-XM_030983691.1	LOC115923272
XP_030839190.1	rna-XM_030983330.1	LOC764034
XP_030839188.1	rna-XM_030983328.1	LOC764034
XP_030839187.1	rna-XM_030983327.1	LOC764034
XP_030839189.1	rna-XM_030983329.1	LOC764034
XP_790934.3	rna-XM_785841.5	LOC586043
XP_030839191.1	rna-XM_030983331.1	LOC115923106
XP_030839552.1	rna-XM_030983692.1	LOC115923274
XP_030839192.1	rna-XM_030983332.1	LOC115923107
XP_011660797.1	rna-XM_011662495.2	LOC753078
XP_003728561.1	rna-XM_003728513.3	LOC100893981
XP_030839194.1	rna-XM_030983334.1	LOC100893981
XP_030839195.1	rna-XM_030983335.1	LOC100893981
XP_011660799.2	rna-XM_011662497.2	LOC764060
XP_030839196.1	rna-XM_030983336.1	LOC115918568
XP_030839197.1	rna-XM_030983337.1	LOC115923108
XP_030839198.1	rna-XM_030983338.1	LOC100887933
XP_780900.1	rna-XM_775807.5	LOC575404
XP_030839553.1	rna-XM_030983693.1	LOC100893044
XP_030839199.1	rna-XM_030983339.1	LOC594548
XP_003729500.1	rna-XM_003729452.3	LOC100892853
XP_030839200.1	rna-XM_030983340.1	LOC586131
XP_011665012.2	rna-XM_011666710.2	LOC590313
XP_795015.2	rna-XM_789922.5	LOC590313
XP_011665010.1	rna-XM_011666708.2	LOC105438649
XP_030839201.1	rna-XM_030983341.1	LOC115923111
XP_011676739.2	rna-XM_011678437.2	LOC105444335
XP_030839207.1	rna-XM_030983347.1	LOC105444674
XP_030839208.1	rna-XM_030983348.1	LOC105444674
XP_030839202.1	rna-XM_030983342.1	LOC105444674
XP_030839203.1	rna-XM_030983343.1	LOC105444674
XP_030839205.1	rna-XM_030983345.1	LOC105444674
XP_030839206.1	rna-XM_030983346.1	LOC105444674
XP_030839204.1	rna-XM_030983344.1	LOC105444674
XP_030839209.1	rna-XM_030983349.1	LOC580642
XP_785723.2	rna-XM_780630.5	LOC580578
XP_030839554.1	rna-XM_030983694.1	LOC105439483
XP_030839555.1	rna-XM_030983695.1	LOC100892389
XP_030839211.1	rna-XM_030983351.1	LOC105439492
XP_030839556.1	rna-XM_030983696.1	LOC115923275
XP_030839213.1	rna-XM_030983353.1	LOC753447
XP_030839212.1	rna-XM_030983352.1	LOC753447
XP_030839214.1	rna-XM_030983354.1	LOC583780
XP_030839215.1	rna-XM_030983355.1	LOC583780
XP_793608.3	rna-XM_788515.5	LOC588851
XP_030839216.1	rna-XM_030983356.1	LOC115923113
XP_030839217.1	rna-XM_030983357.1	LOC105442855
XP_030839218.1	rna-XM_030983358.1	LOC115923115
XP_030839220.1	rna-XM_030983360.1	LOC115923115
XP_030839221.1	rna-XM_030983361.1	LOC115923115
XP_030839224.1	rna-XM_030983364.1	LOC115923116
XP_030839222.1	rna-XM_030983362.1	LOC115923116
XP_030839223.1	rna-XM_030983363.1	LOC115923116
XP_030839225.1	rna-XM_030983365.1	LOC105442034
XP_030839557.1	rna-XM_030983697.1	LOC115923276
XP_030839558.1	rna-XM_030983698.1	LOC115923277
XP_030839559.1	rna-XM_030983699.1	LOC115923278
XP_794147.1	rna-XM_789054.3	LOC589413
XP_011683427.2	rna-XM_011685125.2	LOC586221
XP_030839226.1	rna-XM_030983366.1	LOC586244
XP_030839227.1	rna-XM_030983367.1	LOC586264
XP_030839230.1	rna-XM_030983370.1	LOC586283
XP_030839229.1	rna-XM_030983369.1	LOC115918569
XP_030839228.1	rna-XM_030983368.1	LOC115918569
XP_030839231.1	rna-XM_030983371.1	LOC115918068
XP_030839653.1	rna-XM_030983793.1	LOC115923335
XP_030839232.1	rna-XM_030983372.1	LOC115923119
XP_030839233.1	rna-XM_030983373.1	LOC115923119
XP_030839560.1	rna-XM_030983700.1	LOC105444334
XP_030839236.1	rna-XM_030983376.1	LOC100890335
XP_030839235.1	rna-XM_030983375.1	LOC100890335
XP_030839234.1	rna-XM_030983374.1	LOC100890335
XP_030839561.1	rna-XM_030983701.1	LOC115923279
XP_030839237.1	rna-XM_030983377.1	LOC115923122
XP_030839238.1	rna-XM_030983378.1	LOC115923123
XP_030839562.1	rna-XM_030983702.1	LOC115923280
XP_030839244.1	rna-XM_030983384.1	LOC100889514
XP_030839243.1	rna-XM_030983383.1	LOC100889514
XP_030839242.1	rna-XM_030983382.1	LOC100889514
XP_030839241.1	rna-XM_030983381.1	LOC581623
XP_030839239.1	rna-XM_030983379.1	LOC581623
XP_030839245.1	rna-XM_030983385.1	LOC115923124
XP_787139.2	rna-XM_782046.5	LOC582073
XP_030839246.1	rna-XM_030983386.1	LOC115923125
XP_030839247.1	rna-XM_030983387.1	LOC754161
XP_030839248.1	rna-XM_030983388.1	LOC754161
XP_011673696.1	rna-XM_011675394.2	LOC105442814
XP_030839563.1	rna-XM_030983703.1	LOC115923281
XP_030839251.1	rna-XM_030983391.1	LOC105441919
XP_030839250.1	rna-XM_030983390.1	LOC105441919
XP_030839252.1	rna-XM_030983392.1	LOC115923129
XP_030839253.1	rna-XM_030983393.1	LOC100891077
XP_030839564.1	rna-XM_030983704.1	LOC115917958
XP_030839254.1	rna-XM_030983394.1	LOC115923130
XP_030839565.1	rna-XM_030983705.1	LOC115923282
XP_030839256.1	rna-XM_030983396.1	LOC115918570
XP_030839257.1	rna-XM_030983397.1	LOC115918571
XP_030839566.1	rna-XM_030983706.1	LOC115923283
XP_030839258.1	rna-XM_030983398.1	LOC115923131
XP_011669257.2	rna-XM_011670955.2	LOC105440607
XP_030839260.1	rna-XM_030983400.1	LOC591055
XP_030839259.1	rna-XM_030983399.1	LOC591055
XP_800671.2	rna-XM_795578.4	LOC591775
XP_011669261.2	rna-XM_011670959.2	LOC591775
XP_030839261.1	rna-XM_030983401.1	LOC115918572
XP_011681006.1	rna-XM_011682704.2	LOC588659
XP_793425.1	rna-XM_788332.5	LOC588659
XP_030839262.1	rna-XM_030983402.1	LOC588613
XP_030839263.1	rna-XM_030983403.1	LOC585265
XP_791315.4	rna-XM_786222.5	LOC586439
XP_030839264.1	rna-XM_030983404.1	LOC115918573
XP_030839567.1	rna-XM_030983707.1	LOC115923284
XP_030839568.1	rna-XM_030983708.1	LOC105442244
XP_030839569.1	rna-XM_030983709.1	LOC586788
XP_003727222.1	rna-XM_003727174.3	LOC588670
XP_030839265.1	rna-XM_030983405.1	LOC115923133
XP_030839570.1	rna-XM_030983710.1	LOC754745
XP_030839266.1	rna-XM_030983406.1	LOC115923134
XP_030839654.1	rna-XM_030983794.1	LOC115923337
XP_030839267.1	rna-XM_030983407.1	LOC115923136
XP_030839269.1	rna-XM_030983409.1	LOC585729
XP_030839268.1	rna-XM_030983408.1	LOC585729
XP_030839270.1	rna-XM_030983410.1	LOC115923137
XP_030839271.1	rna-XM_030983411.1	LOC105446031
XP_030839273.1	rna-XM_030983413.1	LOC115918574
XP_030839272.1	rna-XM_030983412.1	LOC115918574
XP_030839571.1	rna-XM_030983711.1	LOC105444993
XP_003730885.1	rna-XM_003730837.1	LOC100892384
XP_030839572.1	rna-XM_030983712.1	LOC115923285
XP_030839573.1	rna-XM_030983713.1	LOC764337
XP_030839574.1	rna-XM_030983714.1	LOC115923286
XP_030839656.1	rna-XM_030983796.1	LOC115923339
XP_030839575.1	rna-XM_030983715.1	LOC105446516
XP_030839576.1	rna-XM_030983716.1	LOC100893417
XP_030839577.1	rna-XM_030983717.1	LOC105443883
XP_030839578.1	rna-XM_030983718.1	LOC105445827
XP_030839275.1	rna-XM_030983415.1	LOC115923142
XP_030839274.1	rna-XM_030983414.1	LOC115923141
XP_030839579.1	rna-XM_030983719.1	LOC105442253
XP_030839276.1	rna-XM_030983416.1	LOC115923143
XP_030839277.1	rna-XM_030983417.1	LOC105444995
XP_030839580.1	rna-XM_030983720.1	LOC115923287
XP_030839581.1	rna-XM_030983721.1	LOC115923288
XP_030839582.1	rna-XM_030983722.1	LOC115923289
XP_030839584.1	rna-XM_030983724.1	LOC105443522
XP_030839278.1	rna-XM_030983418.1	LOC105443521
XP_030839585.1	rna-XM_030983725.1	LOC115918578
XP_030839586.1	rna-XM_030983726.1	LOC115918093
XP_030839279.1	rna-XM_030983419.1	LOC100892856
XP_030839587.1	rna-XM_030983727.1	LOC105439210
XP_030839588.1	rna-XM_030983728.1	LOC115923290
XP_003730599.2	rna-XM_003730551.3	LOC100892999
XP_011666244.2	rna-XM_011667942.2	LOC584982
XP_030839280.1	rna-XM_030983420.1	LOC584966
XP_030839589.1	rna-XM_030983729.1	LOC115923292
XP_030839590.1	rna-XM_030983730.1	LOC115923293
XP_003724597.2	rna-XM_003724549.3	LOC100893529
XP_030839657.1	rna-XM_030983797.1	LOC115923340
XP_030839591.1	rna-XM_030983731.1	LOC580183
XP_001198589.3	rna-XM_001198589.4	LOC762820
NP_999826.1	rna-NM_214661.1	gcm
XP_787044.3	rna-XM_781951.5	LOC581974
XP_030839281.1	rna-XM_030983421.1	LOC590249
XP_030839282.1	rna-XM_030983422.1	LOC589060
XP_030839283.1	rna-XM_030983423.1	LOC756574
XP_030839285.1	rna-XM_030983425.1	LOC592291
XP_030839592.1	rna-XM_030983732.1	LOC105438442
XP_030839286.1	rna-XM_030983426.1	LOC754335
XP_785503.1	rna-XM_780410.5	LOC580346
XP_030839287.1	rna-XM_030983427.1	FRK
XP_030839288.1	rna-XM_030983428.1	FRK
XP_011681167.2	rna-XM_011682865.2	FRK
XP_030839290.1	rna-XM_030983430.1	LOC583574
XP_030839291.1	rna-XM_030983431.1	LOC583574
XP_030839289.1	rna-XM_030983429.1	LOC583574
XP_030839292.1	rna-XM_030983432.1	LOC100889941
XP_780110.1	rna-XM_775017.5	LOC577596
XP_030839294.1	rna-XM_030983434.1	LOC580626
XP_003726534.1	rna-XM_003726486.3	LOC100890345
XP_011679275.2	rna-XM_011680973.2	LOC594829
XP_030839295.1	rna-XM_030983435.1	LOC115923154
XP_030839593.1	rna-XM_030983733.1	LOC105445436
XP_030839594.1	rna-XM_030983734.1	LOC115923294
XP_030839595.1	rna-XM_030983735.1	LOC115923295
XP_030839597.1	rna-XM_030983737.1	LOC105445434
XP_030839658.1	rna-XM_030983798.1	LOC115923342
XP_030839598.1	rna-XM_030983738.1	LOC115923296
XP_800829.2	rna-XM_795736.5	LOC594795
XP_011671791.1	rna-XM_011673489.2	LOC594795
XP_003730873.1	rna-XM_003730825.3	LOC594795
XP_030839297.1	rna-XM_030983437.1	LOC579122
XP_030839298.1	rna-XM_030983438.1	LOC579122
XP_030839299.1	rna-XM_030983439.1	LOC579122
XP_030839300.1	rna-XM_030983440.1	LOC764103
XP_030839301.1	rna-XM_030983441.1	LOC115923155
XP_030839599.1	rna-XM_030983739.1	LOC105445199
XP_030839302.1	rna-XM_030983442.1	LOC100890729
XP_030839303.1	rna-XM_030983443.1	LOC115918246
XP_030839304.1	rna-XM_030983444.1	LOC584813
XP_030839600.1	rna-XM_030983740.1	LOC115923297
XP_030839601.1	rna-XM_030983741.1	LOC115923298
NP_999711.1	rna-NM_214546.1	HDAC1
XP_030839602.1	rna-XM_030983742.1	LOC588873
XP_784040.1	rna-XM_778947.5	LOC578799
XP_030839307.1	rna-XM_030983447.1	LOC582005
XP_030839308.1	rna-XM_030983448.1	LOC582005
XP_030839603.1	rna-XM_030983743.1	LOC593243
XP_011683328.2	rna-XM_011685026.2	LOC584010
XP_030839309.1	rna-XM_030983449.1	LOC584010
XP_011683343.2	rna-XM_011685041.2	LOC584010
XP_030839311.1	rna-XM_030983451.1	LOC583987
XP_030839310.1	rna-XM_030983450.1	LOC583967
XP_003729181.1	rna-XM_003729133.3	LOC100888513
XP_030839313.1	rna-XM_030983453.1	LOC584033
XP_001197240.2	rna-XM_001197240.3	LOC757019
XP_030839314.1	rna-XM_030983454.1	LOC100888805
XP_003729796.2	rna-XM_003729748.3	LOC100888880
XP_003730333.2	rna-XM_003730285.3	LOC100888271
XP_030839315.1	rna-XM_030983455.1	LOC105440317
XP_030839316.1	rna-XM_030983456.1	LOC105440317
XP_030839659.1	rna-XM_030983799.1	LOC115923343
XP_030839605.1	rna-XM_030983745.1	LOC115923299
XP_030839319.1	rna-XM_030983459.1	LOC754268
XP_030839317.1	rna-XM_030983457.1	LOC754268
XP_003726318.1	rna-XM_003726270.3	LOC763780
XP_030839320.1	rna-XM_030983460.1	LOC763780
XP_001199864.2	rna-XM_001199864.4	LOC763780
XP_030839321.1	rna-XM_030983461.1	LOC100889559
XP_030839322.1	rna-XM_030983462.1	LOC582503
XP_030839323.1	rna-XM_030983463.1	LOC582503
XP_030839324.1	rna-XM_030983464.1	LOC582503
XP_030839325.1	rna-XM_030983465.1	LOC105440795
XP_030839326.1	rna-XM_030983466.1	LOC593803
XP_030839606.1	rna-XM_030983746.1	LOC115923300
XP_030839328.1	rna-XM_030983468.1	LOC115923162
XP_030839331.1	rna-XM_030983471.1	LOC115923163
XP_030839330.1	rna-XM_030983470.1	LOC100891413
XP_030839329.1	rna-XM_030983469.1	LOC100891413
XP_030839332.1	rna-XM_030983472.1	LOC587950
XP_030839333.1	rna-XM_030983473.1	LOC587950
XP_011669332.1	rna-XM_011671030.2	LOC575379
XP_011669334.2	rna-XM_011671032.2	LOC575379
XP_011669333.1	rna-XM_011671031.2	LOC575379
XP_011669338.1	rna-XM_011671036.2	LOC575379
XP_011669335.1	rna-XM_011671033.2	LOC575379
XP_011669336.2	rna-XM_011671034.2	LOC575379
XP_011669337.1	rna-XM_011671035.2	LOC575379
XP_780938.3	rna-XM_775845.5	LOC575443
XP_003724582.2	rna-XM_003724534.2	LOC100890015
XP_030839335.1	rna-XM_030983475.1	LOC593755
XP_030839336.1	rna-XM_030983476.1	LOC593755
XP_030839338.1	rna-XM_030983478.1	LOC592642
XP_030839337.1	rna-XM_030983477.1	LOC592642
XP_030839339.1	rna-XM_030983479.1	LOC592642
XP_783994.2	rna-XM_778901.5	LOC578747
XP_011670371.1	rna-XM_011672069.2	LOC578747
XP_030839607.1	rna-XM_030983747.1	LOC105441182
XP_030839343.1	rna-XM_030983483.1	LOC578509
XP_030839342.1	rna-XM_030983482.1	LOC578509
XP_030839341.1	rna-XM_030983481.1	LOC100888495
XP_781152.1	rna-XM_776059.5	LOC577654
XP_030838502.1	rna-XM_030982642.1	LOC373482
XP_030838501.1	rna-XM_030982641.1	LOC373482
NP_999789.1	rna-NM_214624.1	LOC373482
XP_791802.3	rna-XM_786709.5	LOC586953
XP_011666757.2	rna-XM_011668455.2	LOC586953
XP_011666756.2	rna-XM_011668454.2	LOC586953
XP_030839752.1	rna-XM_030983892.1	LOC575600
XP_030839753.1	rna-XM_030983893.1	LOC105437949
XP_030839754.1	rna-XM_030983894.1	LOC593762
XP_800397.1	rna-XM_795304.5	LOC586555
XP_030839755.1	rna-XM_030983895.1	LOC586575
XP_798074.3	rna-XM_792981.5	LOC593509
XP_011661053.2	rna-XM_011662751.2	LOC593509
XP_030839757.1	rna-XM_030983897.1	LOC105436886
XP_030839759.1	rna-XM_030983899.1	LOC105436886
XP_030839756.1	rna-XM_030983896.1	LOC105436886
XP_030839761.1	rna-XM_030983901.1	LOC105436886
XP_030839760.1	rna-XM_030983900.1	LOC105436886
XP_030839762.1	rna-XM_030983902.1	LOC586645
XP_791511.1	rna-XM_786418.4	LOC586645
XP_011667532.1	rna-XM_011669230.2	LOC586645
XP_030839765.1	rna-XM_030983905.1	LOC590488
XP_011665222.2	rna-XM_011666920.2	LOC754646
XP_030839763.1	rna-XM_030983903.1	LOC754646
XP_030839764.1	rna-XM_030983904.1	LOC115923421
XP_030839766.1	rna-XM_030983906.1	LOC591397
XP_784294.4	rna-XM_779201.5	LOC579067
XP_030840872.1	rna-XM_030985012.1	LOC115923739
XP_030839768.1	rna-XM_030983908.1	LOC105438736
XP_030840766.1	rna-XM_030984906.1	LOC115923693
XP_030840767.1	rna-XM_030984907.1	LOC105442099
XP_030839769.1	rna-XM_030983909.1	LOC373317
XP_011673449.1	rna-XM_011675147.2	rps15a
NP_999780.1	rna-NM_214615.2	rps15a
XP_030839773.1	rna-XM_030983913.1	LOC753178
XP_030839772.1	rna-XM_030983912.1	LOC753178
XP_030839770.1	rna-XM_030983910.1	LOC753178
XP_030839771.1	rna-XM_030983911.1	LOC753178
XP_030839774.1	rna-XM_030983914.1	LOC753178
XP_011673450.2	rna-XM_011675148.2	LOC100892218
XP_030840768.1	rna-XM_030984908.1	LOC581033
XP_030839775.1	rna-XM_030983915.1	LOC115923422
XP_030840769.1	rna-XM_030984909.1	LOC115923694
XP_003725473.2	rna-XM_003725425.3	LOC100891483
XP_030839777.1	rna-XM_030983917.1	LOC580909
