Orthogroup	OWEFU	MOUSE
OG0000860	OFUSG07489.1.p1, OFUSG07489.2.p1	MOUSE18498, MOUSE18497, MOUSE18499, MOUSE18501, MOUSE25687, MOUSE25692, MOUSE25691, MOUSE25690, MOUSE25694, MOUSE25695, MOUSE25689, MOUSE25697, MOUSE25688, MOUSE25693, MOUSE25696, MOUSE25698, MOUSE25700, MOUSE25699, MOUSE31411, MOUSE31410, MOUSE31412
OG0000863	OFUSG16665.1.p1, OFUSG05886.1.p1	MOUSE32148
OG0000866	OFUSG24066.1.p1, OFUSG00680.1.p1, OFUSG05730.1.p1, OFUSG06216.1.p1, OFUSG17520.1.p1, OFUSG05526.1.p1, OFUSG14753.1.p1	MOUSE39014, MOUSE39015
OG0000868	OFUSG11760.1.p1	MOUSE55230, MOUSE08090
OG0000869	OFUSG13203.1.p1, OFUSG01355.1.p1	MOUSE35155, MOUSE35154, MOUSE35153, MOUSE35152
OG0000869	OFUSG16947.1.p1	MOUSE13194, MOUSE13195
OG0000870	OFUSG20438.1.p1	MOUSE06045
OG0000871	OFUSG00730.1.p1	MOUSE53990, MOUSE53988, MOUSE53989
OG0000871	OFUSG06537.1.p1	MOUSE21316, MOUSE21314
OG0000874	OFUSG03220.1.p1	MOUSE30095, MOUSE30096, MOUSE30097, MOUSE45656, MOUSE45655, MOUSE45657
OG0000875	OFUSG13364.1.p1	MOUSE13832, MOUSE13831, MOUSE13833, MOUSE13830, MOUSE13824, MOUSE13829, MOUSE13825, MOUSE13828
OG0000875	OFUSG16237.1.p1	MOUSE22319, MOUSE22321
OG0000877	OFUSG04094.1.p1, OFUSG04093.1.p1	MOUSE28554, MOUSE28556, MOUSE28555, MOUSE28559, MOUSE28557, MOUSE28558
OG0000878	OFUSG01895.1.p1, OFUSG01893.1.p1, OFUSG01893.2.p1, OFUSG01894.1.p1	MOUSE20493
OG0000878	OFUSG16664.1.p1	MOUSE50484, MOUSE50483
OG0000879	OFUSG04088.1.p1	MOUSE14580, MOUSE14582, MOUSE47637, MOUSE00274, MOUSE21746, MOUSE15959, MOUSE15976, MOUSE15492
OG0000880	OFUSG05701.1.p1	MOUSE40833, MOUSE40836, MOUSE40842, MOUSE40832, MOUSE40837, MOUSE40831, MOUSE40841, MOUSE40838, MOUSE40839, MOUSE40843, MOUSE40840, MOUSE40835, MOUSE40834, MOUSE18302, MOUSE18299, MOUSE18300, MOUSE18301, MOUSE39028, MOUSE39023, MOUSE39027
OG0000881	OFUSG25601.3.p1, OFUSG25601.2.p1, OFUSG25601.4.p1, OFUSG25601.1.p1, OFUSG25601.5.p1	MOUSE17831, MOUSE17832, MOUSE17830, MOUSE17829, MOUSE17828, MOUSE17827
OG0000881	OFUSG22311.1.p1	MOUSE04654, MOUSE04657, MOUSE04656
OG0000882	OFUSG17466.4.p1, OFUSG17466.1.p1, OFUSG17466.3.p1, OFUSG17466.2.p1	MOUSE09204, MOUSE09203, MOUSE09205, MOUSE09206, MOUSE09207, MOUSE28916, MOUSE28917, MOUSE28918, MOUSE21667, MOUSE21666, MOUSE21665, MOUSE33971
OG0000883	OFUSG14124.1.p1	MOUSE51721, MOUSE48395
OG0000883	OFUSG02860.1.p1, OFUSG16523.1.p1, OFUSG26189.1.p1, OFUSG26194.1.p1, OFUSG26186.1.p1, OFUSG05014.1.p1, OFUSG26192.1.p1, OFUSG26183.1.p1, OFUSG21068.1.p1, OFUSG10516.1.p1, OFUSG13868.1.p1, OFUSG13873.1.p1, OFUSG13872.1.p1, OFUSG13869.1.p1, OFUSG13870.1.p1, OFUSG13878.1.p1, OFUSG06505.1.p1, OFUSG24803.1.p1, OFUSG22709.1.p1, OFUSG23727.1.p1, OFUSG24804.2.p1, OFUSG24804.1.p1, OFUSG24806.1.p1, OFUSG24810.1.p1, OFUSG25972.1.p1, OFUSG15745.1.p1, OFUSG10964.2.p1, OFUSG10964.1.p1, OFUSG18600.1.p1, OFUSG02859.1.p1, OFUSG17760.1.p1, OFUSG16637.1.p1	MOUSE51722
OG0000887	OFUSG26529.1.p1, OFUSG26529.2.p1	MOUSE28796, MOUSE28797, MOUSE28798, MOUSE28795, MOUSE28792, MOUSE28789, MOUSE28790, MOUSE28793, MOUSE28794, MOUSE28791
OG0000887	OFUSG16699.1.p1, OFUSG16699.2.p1	MOUSE08634, MOUSE08638, MOUSE08636, MOUSE08633, MOUSE08628, MOUSE08632, MOUSE08635, MOUSE08631, MOUSE08630, MOUSE08627, MOUSE08622, MOUSE08626, MOUSE08625, MOUSE08623, MOUSE08624, MOUSE08621
OG0000888	OFUSG09295.1.p1	MOUSE30870, MOUSE01355
OG0000888	OFUSG10796.1.p1	MOUSE40267, MOUSE40264, MOUSE40268, MOUSE40272, MOUSE40265
OG0000889	OFUSG12102.1.p1	MOUSE18628
OG0000890	OFUSG00815.1.p1	MOUSE16345, MOUSE16349
OG0000893	OFUSG08896.1.p1, OFUSG08897.1.p1	MOUSE52671, MOUSE52670, MOUSE52659, MOUSE52660, MOUSE52662, MOUSE39147, MOUSE39146, MOUSE39145, MOUSE39144, MOUSE52664, MOUSE52665, MOUSE52666, MOUSE52663
OG0000896	OFUSG13178.1.p1	MOUSE47301, MOUSE47302, MOUSE47299, MOUSE47300
OG0000896	OFUSG11490.1.p1, OFUSG11490.3.p1, OFUSG11490.2.p1	MOUSE24632, MOUSE24633, MOUSE20216, MOUSE20214, MOUSE20218, MOUSE20215, MOUSE20219, MOUSE20220, MOUSE20217, MOUSE20212, MOUSE20213
OG0000897	OFUSG18741.1.p1	MOUSE14410, MOUSE14409, MOUSE14408
OG0000897	OFUSG06433.1.p1	MOUSE31064, MOUSE31062, MOUSE31060, MOUSE31063
OG0000898	OFUSG21363.2.p1, OFUSG21363.1.p1	MOUSE31373, MOUSE31375, MOUSE31374
OG0000899	OFUSG02805.1.p1, OFUSG02805.2.p1	MOUSE45307, MOUSE45306, MOUSE45295, MOUSE45299, MOUSE45300, MOUSE36251, MOUSE19363
OG0000904	OFUSG17921.1.p1	MOUSE41151, MOUSE41152, MOUSE41148, MOUSE03385, MOUSE03384, MOUSE54890, MOUSE00887, MOUSE00886
OG0000906	OFUSG07758.1.p1	MOUSE17633, MOUSE17632, MOUSE17634, MOUSE25430, MOUSE25426, MOUSE25429, MOUSE25431, MOUSE25428, MOUSE25427
OG0000906	OFUSG24653.1.p1	MOUSE25436, MOUSE25435, MOUSE25434
OG0000907	OFUSG26462.1.p1	MOUSE31312, MOUSE31311
OG0000908	OFUSG05748.2.p1, OFUSG05748.4.p1, OFUSG05748.1.p1, OFUSG05748.3.p1	MOUSE21442, MOUSE48364
OG0000908	OFUSG10578.1.p1	MOUSE11435
OG0000908	OFUSG01906.1.p1, OFUSG01905.1.p1	MOUSE48365
OG0000909	OFUSG00497.1.p1	MOUSE16370, MOUSE18098, MOUSE18107, MOUSE18106, MOUSE18102, MOUSE18103, MOUSE18101, MOUSE18099, MOUSE18100, MOUSE18104, MOUSE16369, MOUSE16368, MOUSE16367, MOUSE34339, MOUSE34338
OG0000911	OFUSG23257.1.p1, OFUSG23257.2.p1	MOUSE05530, MOUSE05534, MOUSE05531
OG0000911	OFUSG13934.1.p1	MOUSE02433, MOUSE02434, MOUSE05532, MOUSE05533, MOUSE22069, MOUSE22072
OG0000912	OFUSG05604.1.p1	MOUSE40561, MOUSE40562, MOUSE21320, MOUSE21322, MOUSE21321, MOUSE09521, MOUSE35888, MOUSE35887
OG0000912	OFUSG23879.1.p1	MOUSE04469, MOUSE04468
OG0000913	OFUSG03065.4.p1, OFUSG03065.3.p1, OFUSG03065.1.p1, OFUSG03065.2.p1, OFUSG03065.5.p1	MOUSE03584, MOUSE03581, MOUSE03586, MOUSE03585, MOUSE50198, MOUSE50196, MOUSE50197
OG0000915	OFUSG06406.1.p1, OFUSG06406.2.p1	MOUSE54287, MOUSE54285, MOUSE54291, MOUSE54289, MOUSE54283, MOUSE54284, MOUSE54288, MOUSE54292, MOUSE54286, MOUSE02322, MOUSE40925, MOUSE40924, MOUSE23439, MOUSE23438, MOUSE23437, MOUSE23435, MOUSE02320, MOUSE02321
OG0000916	OFUSG23926.1.p1, OFUSG25063.1.p1, OFUSG05152.1.p1, OFUSG05152.2.p1	MOUSE31844, MOUSE31845
OG0000921	OFUSG26697.1.p1	MOUSE23881, MOUSE23879, MOUSE23880
OG0000923	OFUSG04091.1.p1	MOUSE26356, MOUSE26357
OG0000923	OFUSG16107.1.p1	MOUSE02431, MOUSE02432, MOUSE02428, MOUSE26100, MOUSE26096, MOUSE26101
OG0000925	OFUSG21493.1.p1	MOUSE10575, MOUSE10576
OG0000925	OFUSG25811.2.p1, OFUSG25811.1.p1	MOUSE55432, MOUSE24719, MOUSE53700
OG0000926	OFUSG01340.1.p1, OFUSG20594.1.p1, OFUSG09241.1.p1	MOUSE17360
OG0000927	OFUSG26854.1.p1	MOUSE29419, MOUSE29420, MOUSE54617, MOUSE54620, MOUSE54619, MOUSE04094, MOUSE54618, MOUSE04095
OG0000928	OFUSG08901.1.p1	MOUSE48561, MOUSE48564, MOUSE48560, MOUSE48562, MOUSE48563, MOUSE51589, MOUSE51590, MOUSE51591
OG0000929	OFUSG01585.1.p1	MOUSE38764, MOUSE00532, MOUSE34224, MOUSE34223
OG0000930	OFUSG14486.1.p1	MOUSE17677
OG0000931	OFUSG05884.5.p1, OFUSG05884.3.p1, OFUSG05884.4.p1, OFUSG05884.2.p1, OFUSG05884.1.p1	MOUSE27857
OG0000932	OFUSG22608.1.p1	MOUSE38269, MOUSE38279, MOUSE38270, MOUSE38272, MOUSE38273, MOUSE38271
OG0000934	OFUSG01031.1.p1	MOUSE12520, MOUSE12519, MOUSE12516, MOUSE12517, MOUSE00090
OG0000934	OFUSG08244.1.p1	MOUSE17316, MOUSE42016, MOUSE42017
OG0000935	OFUSG16551.1.p1	MOUSE47477, MOUSE47478, MOUSE44606, MOUSE44607, MOUSE30728, MOUSE30730, MOUSE30727, MOUSE30729, MOUSE14697, MOUSE14695, MOUSE14698, MOUSE14700, MOUSE14696, MOUSE14699, MOUSE26344, MOUSE26343
OG0000938	OFUSG24703.1.p1	MOUSE30079
OG0000940	OFUSG14533.1.p1	MOUSE32750, MOUSE32751
OG0000943	OFUSG24129.1.p1	MOUSE20500, MOUSE37971, MOUSE37975, MOUSE37977, MOUSE37972, MOUSE37973, MOUSE37974, MOUSE37976
OG0000944	OFUSG02142.1.p1, OFUSG02142.4.p1, OFUSG02142.2.p1, OFUSG02142.3.p1	MOUSE12531, MOUSE12532, MOUSE48058, MOUSE54692
OG0000945	OFUSG22805.2.p1, OFUSG22805.1.p1, OFUSG24268.1.p1	MOUSE11943, MOUSE49368, MOUSE10031
OG0000946	OFUSG00368.1.p1, OFUSG00634.1.p1, OFUSG01913.2.p1, OFUSG01913.1.p1	MOUSE47231, MOUSE47232, MOUSE01829
OG0000947	OFUSG17100.1.p1	MOUSE26132, MOUSE53230, MOUSE53231, MOUSE53229
OG0000949	OFUSG01898.1.p1, OFUSG21190.1.p1, OFUSG20002.1.p1	MOUSE25328, MOUSE25327, MOUSE17718, MOUSE16365, MOUSE16366, MOUSE34340, MOUSE18097
OG0000950	OFUSG23770.1.p1	MOUSE05009, MOUSE05008, MOUSE05006, MOUSE05007, MOUSE05010, MOUSE37986, MOUSE37985, MOUSE37987, MOUSE37984
OG0000951	OFUSG09305.1.p1	MOUSE30814, MOUSE30813, MOUSE30815, MOUSE44527, MOUSE44526
OG0000952	OFUSG02484.1.p1	MOUSE36817, MOUSE36818, MOUSE36819, MOUSE36816
OG0000952	OFUSG02485.1.p1	MOUSE03207, MOUSE36821
OG0000953	OFUSG13123.1.p1, OFUSG15200.1.p1, OFUSG23505.1.p1	MOUSE13745, MOUSE13258, MOUSE13744, MOUSE13741, MOUSE13743, MOUSE13742, MOUSE13740, MOUSE34903, MOUSE34902
OG0000954	OFUSG16223.1.p1	MOUSE22495, MOUSE22494, MOUSE22493
OG0000954	OFUSG04263.1.p1	MOUSE17098, MOUSE17097, MOUSE17096, MOUSE16993, MOUSE16991, MOUSE16987, MOUSE16992, MOUSE16989, MOUSE16988, MOUSE16990
OG0000955	OFUSG21035.1.p1	MOUSE32358
OG0000955	OFUSG02908.1.p1	MOUSE29654, MOUSE29652, MOUSE29653
OG0000957	OFUSG09505.1.p1, OFUSG09505.2.p1	MOUSE50366, MOUSE50364, MOUSE50368, MOUSE50362, MOUSE50363, MOUSE50371, MOUSE50369, MOUSE50367, MOUSE50365, MOUSE50370, MOUSE26047, MOUSE26048, MOUSE01613, MOUSE01614, MOUSE13268, MOUSE13267, MOUSE13270, MOUSE13271, MOUSE01612
OG0000958	OFUSG06196.1.p1, OFUSG06197.1.p1, OFUSG06896.1.p1	MOUSE09358, MOUSE09360, MOUSE09359, MOUSE41232, MOUSE41231
OG0000960	OFUSG05056.1.p1	MOUSE49548, MOUSE49547, MOUSE49545, MOUSE49546, MOUSE13626, MOUSE13629, MOUSE13627, MOUSE13628
OG0000963	OFUSG26256.1.p1	MOUSE10592, MOUSE33400
OG0000965	OFUSG10177.1.p1	MOUSE36703, MOUSE36704, MOUSE36705
OG0000965	OFUSG05283.1.p1	MOUSE12247, MOUSE12246
OG0000966	OFUSG15060.2.p1, OFUSG15060.1.p1	MOUSE04816, MOUSE04817, MOUSE04814, MOUSE04815, MOUSE04813, MOUSE04812, MOUSE37774, MOUSE37775
OG0000967	OFUSG03652.1.p1	MOUSE47762, MOUSE47763
OG0000967	OFUSG18109.1.p1	MOUSE20877
OG0000968	OFUSG01481.1.p1, OFUSG01481.2.p1, OFUSG01481.3.p1	MOUSE01895, MOUSE01897, MOUSE01894, MOUSE01893, MOUSE44458, MOUSE44459, MOUSE44457
OG0000968	OFUSG15086.1.p1	MOUSE04857, MOUSE04856, MOUSE02780, MOUSE02778, MOUSE02779
OG0000969	OFUSG16049.1.p1, OFUSG16049.2.p1	MOUSE35290
OG0000970	OFUSG24111.1.p1	MOUSE15306, MOUSE15307
OG0000970	OFUSG24109.1.p1	MOUSE15309
OG0000972	OFUSG22434.1.p1, OFUSG22451.1.p1	MOUSE50146, MOUSE50147, MOUSE37982, MOUSE37981, MOUSE37983
OG0000972	OFUSG10857.2.p1, OFUSG10857.1.p1	MOUSE12807
OG0000974	OFUSG12017.1.p1	MOUSE03615, MOUSE03614, MOUSE03613
OG0000976	OFUSG19744.1.p1, OFUSG08682.1.p1, OFUSG19714.1.p1, OFUSG23174.1.p1, OFUSG23175.1.p1, OFUSG22926.1.p1, OFUSG22927.1.p1	MOUSE18381
OG0000977	OFUSG25208.1.p1	MOUSE24545, MOUSE24544, MOUSE24543
OG0000978	OFUSG05262.1.p1	MOUSE10016, MOUSE10015, MOUSE28748, MOUSE28746, MOUSE28747, MOUSE49417, MOUSE49416, MOUSE27348, MOUSE27347, MOUSE27345, MOUSE27346, MOUSE27349
OG0000979	OFUSG20447.2.p1, OFUSG20447.1.p1	MOUSE21300, MOUSE21301, MOUSE21299
OG0000981	OFUSG03861.1.p1	MOUSE10265, MOUSE10264, MOUSE19932
OG0000982	OFUSG16732.3.p1, OFUSG16732.2.p1, OFUSG16732.1.p1, OFUSG16732.4.p1, OFUSG16732.5.p1	MOUSE01632, MOUSE01629, MOUSE01628, MOUSE01633, MOUSE30694, MOUSE30693, MOUSE30696, MOUSE30695, MOUSE20747, MOUSE20746
OG0000984	OFUSG19991.1.p1	MOUSE10080, MOUSE10081
OG0000984	OFUSG25577.1.p1	MOUSE23731
OG0000984	OFUSG07902.1.p1	MOUSE23728, MOUSE23729, MOUSE23730
OG0000985	OFUSG11040.1.p1	MOUSE21243, MOUSE21242, MOUSE21241, MOUSE48352, MOUSE48347, MOUSE48349, MOUSE48348, MOUSE48345, MOUSE48346, MOUSE48351, MOUSE48350, MOUSE19222, MOUSE19221, MOUSE19220, MOUSE19219
OG0000986	OFUSG09980.1.p1	MOUSE11562, MOUSE40286, MOUSE40285, MOUSE11563, MOUSE40288, MOUSE40283, MOUSE40287, MOUSE40284
OG0000987	OFUSG21084.2.p1, OFUSG21084.1.p1	MOUSE08586, MOUSE08587, MOUSE14584, MOUSE01245, MOUSE08588
OG0000988	OFUSG21531.1.p1	MOUSE25852, MOUSE25848, MOUSE25676, MOUSE25677, MOUSE25678, MOUSE25675, MOUSE25679
OG0000992	OFUSG06018.1.p1	MOUSE32208, MOUSE34367, MOUSE34366, MOUSE34368, MOUSE34369
OG0000993	OFUSG07943.2.p1, OFUSG07943.1.p1, OFUSG16895.1.p1, OFUSG16895.2.p1	MOUSE22406
OG0000994	OFUSG05737.1.p1	MOUSE32211, MOUSE32210
OG0000994	OFUSG19359.1.p1	MOUSE40530, MOUSE40529
OG0000995	OFUSG10864.1.p1, OFUSG10864.2.p1, OFUSG10864.3.p1	MOUSE14071, MOUSE14070, MOUSE14069, MOUSE14068, MOUSE14067, MOUSE14072, MOUSE03731, MOUSE03733, MOUSE03734, MOUSE03735, MOUSE03736, MOUSE03737, MOUSE03732
OG0000996	OFUSG14358.1.p1	MOUSE54538, MOUSE54537, MOUSE54531, MOUSE54525, MOUSE54529, MOUSE54530, MOUSE54526, MOUSE54532, MOUSE54536, MOUSE54533, MOUSE54524, MOUSE54528, MOUSE54527, MOUSE54539, MOUSE12587, MOUSE54540, MOUSE12586, MOUSE12583, MOUSE21790, MOUSE21789, MOUSE21792, MOUSE21793, MOUSE21791
OG0000999	OFUSG00108.1.p1	MOUSE44063, MOUSE19949, MOUSE14460
OG0001001	OFUSG14675.1.p1	MOUSE04043
OG0001002	OFUSG15973.1.p1, OFUSG16764.2.p1, OFUSG16764.1.p1	MOUSE52462, MOUSE52461, MOUSE52460, MOUSE43911, MOUSE43913, MOUSE43912, MOUSE27015, MOUSE27017, MOUSE27016
OG0001003	OFUSG24187.1.p1	MOUSE37949, MOUSE37947, MOUSE37943, MOUSE37952, MOUSE37945, MOUSE37944, MOUSE37946, MOUSE37942, MOUSE37951, MOUSE37948, MOUSE03862, MOUSE03866, MOUSE03863, MOUSE03867, MOUSE03865, MOUSE03864, MOUSE03872, MOUSE03874, MOUSE03875, MOUSE03873, MOUSE03871, MOUSE03869, MOUSE03870, MOUSE03868, MOUSE37953
OG0001004	OFUSG26573.1.p1, OFUSG26573.2.p1	MOUSE32951, MOUSE33143, MOUSE01660, MOUSE01664, MOUSE01665, MOUSE01662, MOUSE01661, MOUSE32947, MOUSE32950, MOUSE32945, MOUSE32949, MOUSE32946, MOUSE32948, MOUSE33145, MOUSE33148, MOUSE33147, MOUSE33144, MOUSE33146, MOUSE33149, MOUSE48867, MOUSE48869, MOUSE48868, MOUSE48870, MOUSE48866
OG0001005	OFUSG06280.1.p1	MOUSE11321, MOUSE11324, MOUSE11316, MOUSE11327, MOUSE11320, MOUSE11323, MOUSE11325, MOUSE11322, MOUSE11317, MOUSE11314, MOUSE11319, MOUSE11313, MOUSE11326
OG0001006	OFUSG07003.3.p1, OFUSG07003.1.p1, OFUSG07003.2.p1	MOUSE46159
OG0001006	OFUSG17480.1.p1	MOUSE10545, MOUSE01475, MOUSE01476, MOUSE33637, MOUSE33638
OG0001008	OFUSG01608.1.p1	MOUSE44438, MOUSE23623, MOUSE23621, MOUSE23622, MOUSE23624, MOUSE02139, MOUSE44435, MOUSE44436, MOUSE44437
OG0001009	OFUSG03141.1.p1	MOUSE00157
OG0001009	OFUSG10208.1.p1, OFUSG06733.1.p1, OFUSG03374.1.p1, OFUSG20943.1.p1	MOUSE34374
OG0001009	OFUSG10207.1.p1	MOUSE00156
OG0001012	OFUSG14895.1.p1	MOUSE24162, MOUSE15845, MOUSE15846, MOUSE55026, MOUSE50704, MOUSE50703, MOUSE50702, MOUSE50701, MOUSE24161, MOUSE50876, MOUSE16155, MOUSE16154, MOUSE52324
OG0001013	OFUSG10524.1.p1	MOUSE44308, MOUSE41793, MOUSE15055, MOUSE44307, MOUSE06079
OG0001015	OFUSG17894.2.p1, OFUSG17894.1.p1, OFUSG17894.3.p1	MOUSE14128, MOUSE14129, MOUSE14127, MOUSE02890, MOUSE02889, MOUSE38510, MOUSE38509, MOUSE38496, MOUSE38508, MOUSE38498, MOUSE38502, MOUSE38497, MOUSE38505
OG0001016	OFUSG16289.1.p1	MOUSE18875, MOUSE18878, MOUSE18877
OG0001016	OFUSG17257.1.p1	MOUSE39644, MOUSE39646, MOUSE39647
OG0001018	OFUSG20884.1.p1	MOUSE16373
OG0001018	OFUSG25182.1.p1	MOUSE08070, MOUSE08069, MOUSE08067
OG0001019	OFUSG04762.2.p1, OFUSG04762.1.p1	MOUSE13939, MOUSE28201, MOUSE28202
OG0001022	OFUSG14113.1.p1	MOUSE38388, MOUSE38387, MOUSE38386, MOUSE12922, MOUSE12921, MOUSE12923, MOUSE55018, MOUSE55020, MOUSE55019
OG0001023	OFUSG01359.1.p1	MOUSE41557, MOUSE45799, MOUSE45798, MOUSE17284, MOUSE17286, MOUSE17283, MOUSE17287, MOUSE44227, MOUSE44222, MOUSE44224, MOUSE44226, MOUSE44223, MOUSE44221, MOUSE44219, MOUSE44220, MOUSE44225, MOUSE45797, MOUSE41558, MOUSE41559
OG0001024	OFUSG17905.1.p1	MOUSE31611, MOUSE31612, MOUSE31615, MOUSE31609, MOUSE31610, MOUSE37115, MOUSE19217, MOUSE01002, MOUSE54809, MOUSE54810
OG0001026	OFUSG10458.1.p1	MOUSE17157, MOUSE17156, MOUSE17158, MOUSE17155, MOUSE04737
OG0001027	OFUSG15315.1.p1	MOUSE41858, MOUSE41862, MOUSE41861
OG0001028	OFUSG08945.1.p1, OFUSG08945.2.p1	MOUSE01684, MOUSE01682, MOUSE01681, MOUSE51609, MOUSE51621, MOUSE51618, MOUSE51619, MOUSE51617, MOUSE51608, MOUSE51611, MOUSE51607, MOUSE51612, MOUSE51614, MOUSE51610, MOUSE51615, MOUSE32885, MOUSE32884, MOUSE32887, MOUSE32888, MOUSE32886, MOUSE20675, MOUSE20676
OG0001029	OFUSG23212.2.p1, OFUSG23212.1.p1	MOUSE48969, MOUSE12460, MOUSE12461
OG0001029	OFUSG00715.1.p1	MOUSE54548, MOUSE54549, MOUSE51290, MOUSE51289, MOUSE00101, MOUSE33921
OG0001030	OFUSG09158.1.p1	MOUSE01523, MOUSE01522, MOUSE01521, MOUSE44887
OG0001030	OFUSG11700.1.p1	MOUSE08274, MOUSE08271, MOUSE08269, MOUSE28021, MOUSE28022
OG0001031	OFUSG10916.2.p1, OFUSG10916.3.p1, OFUSG10916.1.p1, OFUSG10915.1.p1	MOUSE21148
OG0001031	OFUSG14788.2.p1, OFUSG14788.1.p1	MOUSE37026
OG0001032	OFUSG05074.1.p1, OFUSG07488.1.p1, OFUSG07488.2.p1	MOUSE31261, MOUSE31263, MOUSE18479, MOUSE18481, MOUSE18477, MOUSE18478, MOUSE25796, MOUSE25795, MOUSE25797, MOUSE25794, MOUSE25798
OG0001033	OFUSG17922.1.p1	MOUSE36688, MOUSE36687, MOUSE40431, MOUSE40429
OG0001033	OFUSG07728.1.p1, OFUSG07728.2.p1	MOUSE33551, MOUSE33552, MOUSE32234, MOUSE01529
OG0001034	OFUSG04414.1.p1	MOUSE05292, MOUSE05291, MOUSE05289, MOUSE05290, MOUSE05288, MOUSE25118, MOUSE25124, MOUSE25122, MOUSE25123, MOUSE25120, MOUSE25126, MOUSE25127, MOUSE25128, MOUSE25125
OG0001036	OFUSG23486.1.p1	MOUSE28928, MOUSE28925, MOUSE09303
OG0001038	OFUSG06632.3.p1, OFUSG06632.1.p1, OFUSG06632.2.p1, OFUSG06632.4.p1	MOUSE21062, MOUSE36177, MOUSE36179, MOUSE36181, MOUSE36180, MOUSE36183, MOUSE03194, MOUSE21059, MOUSE21061, MOUSE21060, MOUSE36178
OG0001039	OFUSG18772.1.p1	MOUSE01752, MOUSE01750, MOUSE01751, MOUSE40680, MOUSE40681
OG0001042	OFUSG18717.1.p1, OFUSG18717.2.p1	MOUSE55167, MOUSE55166, MOUSE55164, MOUSE55165, MOUSE40726, MOUSE40728, MOUSE40729, MOUSE40727, MOUSE41292, MOUSE41290, MOUSE41291
OG0001044	OFUSG23994.1.p1	MOUSE44911, MOUSE44912
OG0001044	OFUSG09207.1.p1	MOUSE19768, MOUSE19766, MOUSE19767, MOUSE19142, MOUSE19143, MOUSE19144
OG0001046	OFUSG10400.1.p1	MOUSE16970, MOUSE14166, MOUSE14168, MOUSE14167, MOUSE14165, MOUSE44312, MOUSE44313, MOUSE06289, MOUSE06290, MOUSE06286, MOUSE06285, MOUSE06288
OG0001047	OFUSG13920.1.p1	MOUSE45174, MOUSE45170, MOUSE45115, MOUSE54595
OG0001048	OFUSG11109.1.p1	MOUSE40596, MOUSE40597, MOUSE40595, MOUSE11458, MOUSE11459, MOUSE11457, MOUSE36981, MOUSE36982, MOUSE36983, MOUSE11460
OG0001049	OFUSG17397.1.p1	MOUSE29515, MOUSE29516
OG0001049	OFUSG21106.1.p1	MOUSE52326, MOUSE52325, MOUSE34867, MOUSE34863, MOUSE34865, MOUSE34864, MOUSE34866, MOUSE34868
OG0001050	OFUSG06846.1.p1, OFUSG09204.1.p1, OFUSG19968.1.p1, OFUSG09691.1.p1	MOUSE18063, MOUSE44746, MOUSE44744, MOUSE30206, MOUSE30205
OG0001051	OFUSG13657.1.p1, OFUSG05091.1.p1	MOUSE55021, MOUSE55411, MOUSE55409, MOUSE55022, MOUSE55024, MOUSE55023, MOUSE55408, MOUSE55410
OG0001052	OFUSG10412.2.p1, OFUSG10412.1.p1	MOUSE20861, MOUSE20860
OG0001053	OFUSG16393.1.p1	MOUSE05349, MOUSE39893, MOUSE02657, MOUSE26572
OG0001053	OFUSG18424.1.p1	MOUSE09572, MOUSE31492, MOUSE00834, MOUSE00833
OG0001054	OFUSG18430.1.p1	MOUSE42106
OG0001054	OFUSG18550.2.p1, OFUSG18550.1.p1	MOUSE42104, MOUSE05943, MOUSE46169, MOUSE46167, MOUSE14024, MOUSE46168, MOUSE05942, MOUSE42105
OG0001057	OFUSG10093.2.p1, OFUSG10093.1.p1	MOUSE29393, MOUSE29397, MOUSE29394, MOUSE29395, MOUSE29396, MOUSE50171, MOUSE54558, MOUSE54559, MOUSE29399, MOUSE24095, MOUSE54423, MOUSE54422, MOUSE29398
OG0001058	OFUSG09700.3.p1, OFUSG09700.1.p1, OFUSG09700.2.p1	MOUSE24385, MOUSE24382, MOUSE24384, MOUSE24383, MOUSE50522, MOUSE50520, MOUSE50521
OG0001059	OFUSG12920.1.p1	MOUSE19051
OG0001059	OFUSG12919.1.p1	MOUSE06557, MOUSE06561, MOUSE06566, MOUSE06560, MOUSE06552, MOUSE06562, MOUSE06565, MOUSE06555, MOUSE06553, MOUSE06567, MOUSE06568
OG0001060	OFUSG11519.1.p1	MOUSE54889, MOUSE54888
OG0001060	OFUSG03037.1.p1	MOUSE14270
OG0001062	OFUSG17199.1.p1, OFUSG17199.2.p1	MOUSE47367, MOUSE31787, MOUSE31788, MOUSE31786
OG0001063	OFUSG11469.1.p1	MOUSE18788, MOUSE18787, MOUSE18786, MOUSE18785
OG0001065	OFUSG12064.1.p1	MOUSE27426, MOUSE24670
OG0001065	OFUSG19171.2.p1, OFUSG19171.1.p1, OFUSG05697.1.p1, OFUSG05698.1.p1, OFUSG11303.1.p1	MOUSE24671
OG0001068	OFUSG17519.1.p1	MOUSE34010
OG0001068	OFUSG20968.4.p1, OFUSG20968.1.p1, OFUSG20968.2.p1, OFUSG20968.3.p1	MOUSE41302, MOUSE41301, MOUSE41300
OG0001072	OFUSG14989.1.p1, OFUSG14989.2.p1	MOUSE37374, MOUSE37375
OG0001072	OFUSG23887.1.p1, OFUSG23887.2.p1	MOUSE39399
