Orthogroup	OWEFU	YEAST
OG0000467	OFUSG06168.2.p1, OFUSG06168.1.p1	YEAST03162
OG0000468	OFUSG25389.1.p1, OFUSG25432.1.p1	YEAST04372
OG0000469	OFUSG06742.2.p1, OFUSG06742.1.p1	YEAST02179, YEAST05440
OG0000469	OFUSG09493.1.p1	YEAST00863
OG0000474	OFUSG12858.1.p1	YEAST02384
OG0000476	OFUSG07272.1.p1, OFUSG07271.1.p1, OFUSG07271.2.p1, OFUSG08298.1.p1, OFUSG23985.1.p1, OFUSG15413.1.p1	YEAST03038
OG0000479	OFUSG00302.1.p1, OFUSG00302.2.p1, OFUSG22572.2.p1, OFUSG22572.1.p1	YEAST04139
OG0000480	OFUSG26477.1.p1, OFUSG21333.1.p1	YEAST05750
OG0000481	OFUSG22310.1.p1	YEAST01040
OG0000481	OFUSG18362.1.p1	YEAST00827, YEAST00774
OG0000484	OFUSG26248.2.p1, OFUSG26248.1.p1	YEAST05824
OG0000487	OFUSG18458.1.p1, OFUSG04631.1.p1, OFUSG09257.1.p1	YEAST04968
OG0000487	OFUSG11196.1.p1, OFUSG02053.1.p2, OFUSG10948.2.p1, OFUSG10948.1.p1	YEAST02728
OG0000488	OFUSG11335.2.p1, OFUSG11335.1.p1	YEAST01414
OG0000490	OFUSG08032.1.p1	YEAST04297, YEAST00894
OG0000491	OFUSG19057.1.p1	YEAST04587, YEAST03679
OG0000505	OFUSG24460.1.p1, OFUSG24460.2.p1, OFUSG24457.1.p1, OFUSG24456.1.p1	YEAST03067
OG0000508	OFUSG16639.1.p1, OFUSG23446.1.p1, OFUSG22333.1.p1	YEAST04626
OG0000510	OFUSG18347.2.p1, OFUSG18347.1.p1, OFUSG16890.2.p1, OFUSG16890.3.p1, OFUSG16890.4.p1, OFUSG16890.1.p1	YEAST04569, YEAST05730
OG0000519	OFUSG15431.1.p1, OFUSG15505.1.p1, OFUSG23894.1.p1, OFUSG23894.2.p1, OFUSG15506.1.p1	YEAST04594, YEAST03616
OG0000520	OFUSG22252.1.p1, OFUSG09373.1.p1	YEAST02979
OG0000523	OFUSG09672.1.p1, OFUSG26017.1.p1, OFUSG08726.1.p1, OFUSG09673.1.p1, OFUSG07041.1.p1, OFUSG13785.1.p1	YEAST01952, YEAST05838, YEAST06082
OG0000529	OFUSG07078.1.p1, OFUSG07078.2.p1, OFUSG25597.1.p1, OFUSG23321.1.p1	YEAST05790, YEAST00048
OG0000534	OFUSG10812.1.p1, OFUSG16053.1.p1, OFUSG10814.1.p1, OFUSG23901.1.p1	YEAST04932
OG0000538	OFUSG16205.1.p1	YEAST00499
OG0000549	OFUSG22824.1.p1, OFUSG22825.1.p1, OFUSG14140.1.p1, OFUSG14143.1.p1, OFUSG00548.1.p1	YEAST06280, YEAST02610, YEAST05060
OG0000552	OFUSG04389.1.p1, OFUSG03850.1.p1, OFUSG10128.1.p1, OFUSG10128.2.p1	YEAST05717
OG0000556	OFUSG01107.1.p1, OFUSG14085.1.p1, OFUSG26368.1.p1, OFUSG04527.1.p1	YEAST04616
OG0000561	OFUSG02872.1.p1, OFUSG17748.1.p1, OFUSG11759.1.p1, OFUSG21899.1.p1, OFUSG09741.1.p1, OFUSG09741.2.p1	YEAST06202, YEAST00331
OG0000562	OFUSG20041.1.p1, OFUSG20049.1.p1, OFUSG05389.1.p1	YEAST00314
OG0000563	OFUSG15273.1.p1, OFUSG15272.1.p1	YEAST01406
OG0000566	OFUSG03995.1.p1, OFUSG03997.1.p1, OFUSG03997.2.p1, OFUSG03997.3.p1, OFUSG22659.1.p1	YEAST05789, YEAST00049
OG0000573	OFUSG23244.1.p1, OFUSG23244.2.p1, OFUSG09137.1.p1	YEAST05675
OG0000576	OFUSG17044.1.p1	YEAST00470, YEAST00193
OG0000578	OFUSG11308.1.p1	YEAST01208, YEAST00759
OG0000579	OFUSG06590.1.p1	YEAST02484
OG0000582	OFUSG07318.2.p1, OFUSG07318.1.p1	YEAST03615
OG0000587	OFUSG26859.1.p1, OFUSG26859.2.p1	YEAST04063
OG0000587	OFUSG11281.1.p1	YEAST03372
OG0000588	OFUSG23263.1.p1, OFUSG23263.2.p1, OFUSG00278.1.p1	YEAST05197
OG0000590	OFUSG24583.1.p1, OFUSG20344.1.p1	YEAST05110, YEAST05552, YEAST03727
OG0000592	OFUSG07498.2.p1, OFUSG07498.3.p1, OFUSG07498.1.p1, OFUSG08220.1.p1, OFUSG08220.2.p1, OFUSG04675.1.p1	YEAST00388
OG0000597	OFUSG04066.1.p1, OFUSG24146.1.p1, OFUSG24148.1.p1	YEAST04330
OG0000609	OFUSG21513.1.p1, OFUSG18927.1.p1, OFUSG16039.1.p1	YEAST05180
OG0000612	OFUSG06644.1.p1	YEAST02370
OG0000612	OFUSG23094.1.p1	YEAST03629
OG0000613	OFUSG12632.1.p1, OFUSG08463.1.p1	YEAST01072
OG0000623	OFUSG17186.1.p1	YEAST02411
OG0000623	OFUSG24609.2.p1, OFUSG24609.3.p1, OFUSG24609.1.p1	YEAST05090
OG0000627	OFUSG19903.2.p1, OFUSG19903.1.p1, OFUSG09840.4.p1, OFUSG09840.2.p1, OFUSG09840.3.p1, OFUSG09840.5.p1, OFUSG09840.1.p1	YEAST02116, YEAST03957
OG0000639	OFUSG09740.1.p1, OFUSG05397.1.p1	YEAST02015
OG0000642	OFUSG10098.1.p1, OFUSG10098.2.p1	YEAST00618
OG0000645	OFUSG05054.1.p1	YEAST05140
OG0000645	OFUSG04671.1.p1	YEAST04743
OG0000647	OFUSG06535.1.p1, OFUSG06075.1.p1, OFUSG06534.1.p1	YEAST04534
OG0000648	OFUSG23086.1.p1, OFUSG23087.1.p1	YEAST04178, YEAST05641
OG0000657	OFUSG00339.1.p1, OFUSG04303.1.p1, OFUSG00337.1.p1	YEAST03846
OG0000660	OFUSG16300.1.p1, OFUSG00254.1.p1	YEAST05150, YEAST01587
OG0000662	OFUSG19351.1.p1, OFUSG11101.1.p1	YEAST05937
OG0000663	OFUSG26455.1.p1	YEAST02675, YEAST03294
OG0000672	OFUSG14378.5.p1, OFUSG14378.3.p1, OFUSG14378.2.p1, OFUSG14378.1.p1, OFUSG14378.4.p1	YEAST03771
OG0000672	OFUSG12085.1.p1	YEAST00984
OG0000676	OFUSG21048.1.p1	YEAST01503
OG0000676	OFUSG14430.1.p1	YEAST02962
OG0000683	OFUSG25839.2.p1, OFUSG25839.1.p1, OFUSG17452.5.p1, OFUSG17452.4.p1, OFUSG17452.2.p1, OFUSG17452.3.p1, OFUSG17452.1.p1	YEAST03152, YEAST03537, YEAST05938
OG0000690	OFUSG21408.1.p1	YEAST04874
OG0000690	OFUSG00182.1.p1	YEAST02296
OG0000692	OFUSG17216.1.p1	YEAST01969
OG0000692	OFUSG18084.1.p1, OFUSG09308.1.p1, OFUSG22030.1.p1, OFUSG22031.2.p1, OFUSG22031.1.p1	YEAST03487
OG0000694	OFUSG08082.1.p1	YEAST05978
OG0000699	OFUSG13838.2.p1, OFUSG13838.1.p1, OFUSG11422.1.p1	YEAST05706
OG0000701	OFUSG09694.1.p1, OFUSG26676.1.p1, OFUSG19007.2.p1, OFUSG19007.4.p1, OFUSG19007.1.p1, OFUSG19007.3.p1, OFUSG09370.1.p1	YEAST02239, YEAST02223
OG0000703	OFUSG18539.1.p1	YEAST05314
OG0000708	OFUSG21283.1.p1, OFUSG18936.1.p1	YEAST05997
OG0000709	OFUSG21845.2.p1, OFUSG21845.1.p1, OFUSG06507.1.p1	YEAST00057
OG0000724	OFUSG12294.1.p1, OFUSG12294.2.p1	YEAST02013
OG0000732	OFUSG24914.1.p1, OFUSG26355.1.p1, OFUSG26355.2.p1	YEAST04978
OG0000733	OFUSG22012.1.p1, OFUSG11826.1.p1	YEAST05474
OG0000735	OFUSG16966.1.p1, OFUSG16966.2.p1	YEAST05945
OG0000737	OFUSG06204.2.p1, OFUSG06204.1.p1	YEAST05188
OG0000744	OFUSG23163.1.p1	YEAST05951
OG0000745	OFUSG11725.1.p1, OFUSG21266.1.p1, OFUSG06279.1.p1, OFUSG03164.1.p1	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102
OG0000752	OFUSG06577.1.p1, OFUSG01816.1.p1, OFUSG23281.1.p1	YEAST01432, YEAST04483
OG0000753	OFUSG03990.1.p1, OFUSG09322.2.p1, OFUSG09322.1.p1	YEAST01034, YEAST02037
OG0000757	OFUSG15507.1.p1	YEAST01489
OG0000758	OFUSG26565.1.p1	YEAST01504
OG0000759	OFUSG04506.3.p1, OFUSG04506.2.p1, OFUSG04506.5.p1, OFUSG04506.4.p1, OFUSG04506.1.p1	YEAST02878, YEAST05681
OG0000768	OFUSG19400.2.p1, OFUSG19400.1.p1	YEAST02560, YEAST04269
OG0000772	OFUSG19486.1.p1, OFUSG02068.1.p1, OFUSG05265.1.p1	YEAST04929
OG0000776	OFUSG17361.1.p1, OFUSG17361.2.p1, OFUSG17632.1.p1	YEAST04571, YEAST00195, YEAST00312
OG0000777	OFUSG10266.1.p1, OFUSG10130.1.p1, OFUSG10317.1.p1, OFUSG10318.1.p1	YEAST06297, YEAST02627
OG0000779	OFUSG07668.1.p1, OFUSG25635.2.p1, OFUSG25635.1.p1	YEAST03812
OG0000782	OFUSG08693.1.p1	YEAST01393, YEAST05616
OG0000791	OFUSG04398.4.p1, OFUSG04398.3.p1, OFUSG04398.2.p1, OFUSG04398.5.p1, OFUSG04398.1.p1	YEAST02375
OG0000794	OFUSG08224.1.p1, OFUSG08224.2.p1	YEAST04627
OG0000800	OFUSG22750.1.p1, OFUSG06584.1.p1	YEAST03636
OG0000809	OFUSG17351.1.p1, OFUSG17351.2.p1	YEAST01998
OG0000817	OFUSG23697.1.p1, OFUSG18100.1.p1	YEAST00389
OG0000817	OFUSG04259.1.p1	YEAST06112
OG0000824	OFUSG22094.1.p1, OFUSG02604.1.p1, OFUSG23186.1.p1, OFUSG03277.1.p1, OFUSG02456.2.p1, OFUSG02456.1.p1, OFUSG02606.1.p1, OFUSG02605.1.p1, OFUSG02629.1.p1, OFUSG02606.2.p1, OFUSG02606.4.p1, OFUSG02606.3.p1, OFUSG02631.1.p1, OFUSG02631.2.p1	YEAST01319, YEAST02883
OG0000828	OFUSG16610.1.p1	YEAST00945, YEAST05476, YEAST00075
OG0000828	OFUSG14927.1.p1	YEAST02290
OG0000837	OFUSG01836.1.p1, OFUSG01837.1.p1, OFUSG13636.1.p1, OFUSG01835.1.p1	YEAST06222
OG0000841	OFUSG20856.1.p1, OFUSG20856.4.p1, OFUSG20856.2.p1, OFUSG20856.3.p1	YEAST02416
OG0000847	OFUSG15294.1.p1	YEAST02881, YEAST03544, YEAST06198
OG0000847	OFUSG24225.1.p1, OFUSG24225.2.p1	YEAST02530, YEAST00209
OG0000849	OFUSG09067.1.p1	YEAST04475
OG0000850	OFUSG12712.1.p1, OFUSG06085.1.p1	YEAST04287
OG0000852	OFUSG09153.1.p1, OFUSG09153.2.p1, OFUSG04815.3.p1, OFUSG04815.2.p1, OFUSG04815.1.p1	YEAST01266
OG0000854	OFUSG19945.1.p1, OFUSG19943.1.p1, OFUSG10780.1.p1, OFUSG19578.1.p1, OFUSG19944.1.p1, OFUSG09728.1.p1, OFUSG16518.1.p1, OFUSG16270.1.p1, OFUSG10592.2.p1, OFUSG10592.1.p1, OFUSG25461.1.p1, OFUSG16035.1.p1, OFUSG16036.1.p1, OFUSG19947.1.p1, OFUSG10591.1.p1, OFUSG19946.1.p1	YEAST00248
OG0000855	OFUSG08911.2.p1, OFUSG08911.1.p1, OFUSG10909.1.p1, OFUSG18514.1.p1, OFUSG14975.1.p1, OFUSG14975.2.p1	YEAST04755
OG0000857	OFUSG01227.1.p1	YEAST00309
OG0000868	OFUSG11760.1.p1	YEAST06157
OG0000871	OFUSG00730.1.p1, OFUSG06537.1.p1	YEAST03857
OG0000872	OFUSG00869.2.p1, OFUSG00869.3.p1, OFUSG00869.5.p1, OFUSG00869.1.p1, OFUSG00869.4.p1	YEAST03222, YEAST03741
OG0000875	OFUSG13364.1.p1, OFUSG16237.1.p1	YEAST00077
OG0000876	OFUSG16334.1.p1	YEAST05556
OG0000879	OFUSG04088.1.p1	YEAST06123
OG0000888	OFUSG09295.1.p1, OFUSG10796.1.p1	YEAST00288
OG0000889	OFUSG12102.1.p1	YEAST00175
OG0000896	OFUSG13178.1.p1	YEAST02476
OG0000896	OFUSG11490.1.p1, OFUSG11490.3.p1, OFUSG11490.2.p1	YEAST04923
OG0000898	OFUSG21363.2.p1, OFUSG21363.1.p1	YEAST06255, YEAST03431
OG0000905	OFUSG01251.1.p1	YEAST00599
OG0000907	OFUSG26462.1.p1	YEAST02193
OG0000913	OFUSG03065.4.p1, OFUSG03065.3.p1, OFUSG03065.1.p1, OFUSG03065.2.p1, OFUSG03065.5.p1	YEAST03557, YEAST05101
OG0000914	OFUSG18797.2.p1, OFUSG18797.1.p1	YEAST04745
OG0000921	OFUSG26697.1.p1	YEAST02526
OG0000925	OFUSG21493.1.p1, OFUSG25811.2.p1, OFUSG25811.1.p1	YEAST05667, YEAST06025
OG0000932	OFUSG22611.1.p1, OFUSG22610.1.p1, OFUSG22608.1.p1	YEAST03525
OG0000933	OFUSG11577.2.p1, OFUSG11577.1.p1	YEAST06306
OG0000934	OFUSG01031.1.p1	YEAST02582, YEAST06252
OG0000934	OFUSG08244.1.p1	YEAST05040
OG0000935	OFUSG16551.1.p1	YEAST02843
OG0000943	OFUSG10222.1.p1, OFUSG24129.1.p1	YEAST03805
OG0000944	OFUSG02142.1.p1, OFUSG02142.4.p1, OFUSG02142.2.p1, OFUSG02142.3.p1	YEAST04878
OG0000954	OFUSG16223.1.p1, OFUSG04263.1.p1	YEAST05503, YEAST01249
OG0000955	OFUSG21035.1.p1	YEAST00837
OG0000955	OFUSG02908.1.p1	YEAST04295
OG0000963	OFUSG18073.1.p1, OFUSG26256.1.p1	YEAST03685, YEAST00482, YEAST01749
OG0000964	OFUSG10365.1.p1, OFUSG20587.1.p1, OFUSG20586.1.p1, OFUSG20586.2.p1	YEAST04606
OG0000965	OFUSG10177.1.p1	YEAST02552
OG0000965	OFUSG05283.1.p1	YEAST02050
OG0000967	OFUSG03652.1.p1, OFUSG18109.1.p1	YEAST05075
OG0000970	OFUSG22192.2.p1, OFUSG22192.1.p1, OFUSG24111.1.p1, OFUSG24109.1.p1	YEAST04028
OG0000982	OFUSG16732.3.p1, OFUSG16732.2.p1, OFUSG16732.1.p1, OFUSG16732.4.p1, OFUSG16732.5.p1	YEAST01182
OG0000984	OFUSG19991.1.p1, OFUSG25577.1.p1, OFUSG07902.1.p1	YEAST01493, YEAST00575
OG0000986	OFUSG09980.1.p1	YEAST01481, YEAST04073
OG0000987	OFUSG21084.2.p1, OFUSG21084.1.p1	YEAST04734, YEAST02734
OG0000994	OFUSG05737.1.p1, OFUSG19359.1.p1	YEAST02360
OG0000996	OFUSG14358.1.p1	YEAST00033
OG0001001	OFUSG14675.1.p1	YEAST00341
OG0001003	OFUSG24187.1.p1	YEAST00644
OG0001005	OFUSG06280.1.p1	YEAST03721, YEAST04253, YEAST02546
OG0001006	OFUSG07003.3.p1, OFUSG07003.1.p1, OFUSG07003.2.p1, OFUSG17480.1.p1	YEAST04513
OG0001016	OFUSG16289.1.p1, OFUSG17257.1.p1	YEAST00830
OG0001018	OFUSG20884.1.p1, OFUSG25182.1.p1	YEAST01172
OG0001024	OFUSG17905.1.p1	YEAST01024, YEAST00308
OG0001033	OFUSG07728.1.p1, OFUSG07728.2.p1	YEAST02124
OG0001064	OFUSG07518.1.p1, OFUSG12139.1.p1, OFUSG12139.2.p1, OFUSG12140.2.p1, OFUSG12140.1.p1, OFUSG12144.1.p1, OFUSG19189.1.p1, OFUSG07960.1.p1, OFUSG23296.2.p1, OFUSG23296.1.p1, OFUSG12041.1.p1, OFUSG12153.1.p1, OFUSG12141.1.p1	YEAST00458
OG0001066	OFUSG05685.1.p1	YEAST06311
OG0001075	OFUSG21504.2.p1, OFUSG21504.3.p1, OFUSG21504.1.p1, OFUSG21503.2.p1, OFUSG21503.1.p1	YEAST05636
OG0001076	OFUSG03330.1.p1	YEAST01570
OG0001081	OFUSG14342.1.p1, OFUSG07840.1.p1	YEAST04460
OG0001082	OFUSG04037.1.p1, OFUSG17193.1.p1	YEAST03919, YEAST02905, YEAST05331
OG0001094	OFUSG12462.1.p1, OFUSG05532.1.p1	YEAST03837
OG0001095	OFUSG13749.1.p1, OFUSG13749.3.p1, OFUSG13749.2.p1	YEAST00773
OG0001096	OFUSG26093.1.p1, OFUSG14723.1.p1, OFUSG14723.2.p1, OFUSG26692.2.p1, OFUSG26692.1.p1	YEAST01384
OG0001108	OFUSG17063.1.p1, OFUSG24077.2.p1, OFUSG24077.1.p1, OFUSG24076.1.p1	YEAST06309
OG0001111	OFUSG05334.1.p1, OFUSG11298.1.p1, OFUSG11299.1.p1	YEAST06003
OG0001113	OFUSG01933.1.p1	YEAST05320
OG0001114	OFUSG04229.1.p1	YEAST00036, YEAST05811
OG0001124	OFUSG10854.1.p1, OFUSG07596.1.p1	YEAST02719
OG0001132	OFUSG20144.1.p1	YEAST05421
OG0001133	OFUSG08388.1.p1	YEAST04296
OG0001133	OFUSG21360.1.p1	YEAST03271
OG0001134	OFUSG10062.2.p1, OFUSG10062.1.p1	YEAST05015
OG0001135	OFUSG17784.2.p1, OFUSG17784.1.p1, OFUSG17785.1.p1, OFUSG02833.1.p1	YEAST03641
OG0001136	OFUSG20143.1.p1, OFUSG20143.4.p1, OFUSG20143.3.p1, OFUSG20143.2.p1	YEAST05047, YEAST02997
OG0001140	OFUSG20072.1.p1, OFUSG00173.1.p1	YEAST03519
OG0001142	OFUSG10654.1.p1	YEAST04001
OG0001163	OFUSG11184.1.p1, OFUSG11184.2.p1	YEAST02433
OG0001164	OFUSG24177.1.p1	YEAST03454
OG0001171	OFUSG16690.1.p1	YEAST04620, YEAST03578
OG0001175	OFUSG26257.3.p1, OFUSG26257.2.p1, OFUSG26257.1.p1	YEAST00534
OG0001177	OFUSG21017.1.p1, OFUSG21015.1.p1, OFUSG21019.1.p1, OFUSG21014.1.p1, OFUSG21016.1.p1	YEAST06137
OG0001179	OFUSG23169.1.p1	YEAST00368, YEAST04831, YEAST02287
OG0001181	OFUSG04163.4.p1, OFUSG04163.3.p1, OFUSG04163.2.p1, OFUSG04163.5.p1, OFUSG04163.1.p1	YEAST02051
OG0001184	OFUSG07947.1.p1, OFUSG07947.2.p1, OFUSG05984.1.p1	YEAST01681
OG0001185	OFUSG20935.1.p1	YEAST04969
OG0001186	OFUSG20257.1.p1, OFUSG20541.1.p1	YEAST04605, YEAST01886
OG0001191	OFUSG19246.1.p1	YEAST04707
OG0001192	OFUSG01279.1.p1, OFUSG03419.1.p1	YEAST01898
OG0001197	OFUSG12312.1.p1, OFUSG26563.2.p1, OFUSG26563.1.p1, OFUSG04366.2.p1, OFUSG04366.1.p1	YEAST01499
OG0001201	OFUSG05227.1.p1	YEAST05452
OG0001204	OFUSG22699.1.p1	YEAST05200
OG0001207	OFUSG24889.1.p1	YEAST03225, YEAST00090
OG0001207	OFUSG26036.1.p1, OFUSG04252.2.p1, OFUSG04252.1.p1	YEAST04258
OG0001210	OFUSG21803.1.p1	YEAST05511
OG0001210	OFUSG16955.1.p1	YEAST02318
OG0001212	OFUSG02116.1.p1, OFUSG02118.1.p1	YEAST03971
OG0001214	OFUSG23587.1.p1, OFUSG23585.1.p1, OFUSG23586.1.p1	YEAST00577
OG0001216	OFUSG24041.1.p1, OFUSG05377.1.p1, OFUSG05376.1.p1, OFUSG05379.1.p1	YEAST00145
OG0001219	OFUSG21415.1.p1	YEAST03867
OG0001236	OFUSG21425.1.p1	YEAST03325, YEAST02687, YEAST03269
OG0001237	OFUSG04283.1.p1, OFUSG04283.2.p1, OFUSG24255.3.p1, OFUSG24255.1.p1, OFUSG24255.2.p1	YEAST04380
OG0001238	OFUSG19388.1.p1, OFUSG21344.1.p1	YEAST04481
OG0001241	OFUSG12948.2.p1, OFUSG12948.1.p1	YEAST02002
OG0001241	OFUSG14006.1.p1	YEAST03967, YEAST01074
OG0001243	OFUSG16186.2.p1, OFUSG16186.3.p1, OFUSG16186.1.p1, OFUSG16186.5.p1, OFUSG16186.4.p1	YEAST00739, YEAST05004
OG0001249	OFUSG17354.1.p1	YEAST01062, YEAST02067
OG0001250	OFUSG09998.1.p1, OFUSG09998.2.p1	YEAST02968, YEAST01339
OG0001251	OFUSG21037.1.p1	YEAST00750
OG0001251	OFUSG04849.1.p1	YEAST01707
OG0001253	OFUSG06702.1.p1	YEAST03998
OG0001254	OFUSG24259.1.p1, OFUSG24259.5.p1, OFUSG24259.3.p1, OFUSG24259.4.p1, OFUSG24259.2.p1	YEAST04309
OG0001262	OFUSG07691.1.p1	YEAST00911
OG0001263	OFUSG11029.2.p1, OFUSG11029.1.p1, OFUSG09274.1.p1	YEAST00172
OG0001268	OFUSG09833.1.p1, OFUSG06589.1.p1, OFUSG06589.2.p1	YEAST03495
OG0001270	OFUSG18535.1.p1	YEAST01703
OG0001270	OFUSG05149.1.p1	YEAST02398
OG0001271	OFUSG04260.2.p1, OFUSG04260.1.p1	YEAST05227, YEAST00662
OG0001278	OFUSG21422.1.p1	YEAST01893
OG0001279	OFUSG11783.1.p1	YEAST03070
OG0001280	OFUSG08879.1.p1	YEAST00846
OG0001282	OFUSG01601.2.p1, OFUSG01601.1.p1	YEAST03744
OG0001284	OFUSG16498.1.p1, OFUSG08836.1.p1, OFUSG08837.1.p1	YEAST00567, YEAST01498
OG0001286	OFUSG08045.2.p1, OFUSG08045.1.p1	YEAST00588, YEAST01486, YEAST03604
OG0001291	OFUSG10221.1.p1	YEAST04453, YEAST04334
OG0001300	OFUSG06989.2.p1, OFUSG06989.1.p1, OFUSG06989.3.p1, OFUSG06989.4.p1	YEAST01098
OG0001302	OFUSG26569.1.p1	YEAST02328
OG0001302	OFUSG15207.1.p1	YEAST00299
OG0001310	OFUSG11461.1.p1, OFUSG06993.1.p1, OFUSG06993.2.p1, OFUSG06993.3.p1	YEAST00887
OG0001318	OFUSG00323.1.p1, OFUSG00343.1.p1	YEAST03712
OG0001319	OFUSG26856.1.p1, OFUSG26856.2.p1	YEAST01678
OG0001321	OFUSG16548.1.p1, OFUSG15930.1.p1	YEAST02280, YEAST01901
OG0001322	OFUSG07154.2.p1, OFUSG07154.1.p1, OFUSG11624.1.p1	YEAST06128
OG0001324	OFUSG16607.1.p1	YEAST00078
OG0001325	OFUSG10884.1.p1	YEAST00793
OG0001326	OFUSG19214.1.p1	YEAST05395
OG0001327	OFUSG12772.1.p1, OFUSG06432.1.p1	YEAST03176
OG0001332	OFUSG05145.1.p1, OFUSG17350.1.p1	YEAST03929, YEAST02705, YEAST00687
OG0001333	OFUSG07585.1.p1, OFUSG07585.2.p1	YEAST00728
OG0001341	OFUSG06041.1.p1	YEAST06006
OG0001345	OFUSG06158.1.p1	YEAST03613
OG0001353	OFUSG21880.1.p1, OFUSG17569.1.p1	YEAST00020, YEAST04041
OG0001363	OFUSG08098.1.p1, OFUSG06851.1.p1, OFUSG04232.2.p1, OFUSG04232.1.p1, OFUSG10137.2.p1, OFUSG10137.1.p1	YEAST06180
OG0001364	OFUSG21480.2.p1, OFUSG21480.1.p1	YEAST06038, YEAST00402
OG0001367	OFUSG13306.3.p1, OFUSG13306.2.p1, OFUSG13306.1.p1	YEAST04688
OG0001368	OFUSG15592.1.p1, OFUSG15601.1.p1, OFUSG14872.1.p1, OFUSG23238.1.p1, OFUSG13017.1.p1, OFUSG03573.1.p1, OFUSG11560.1.p1	YEAST01821
OG0001370	OFUSG26505.1.p1, OFUSG07390.1.p1	YEAST04067, YEAST05195, YEAST00897
OG0001371	OFUSG17879.1.p1	YEAST00532, YEAST03976
OG0001372	OFUSG17365.1.p1	YEAST00070
OG0001372	OFUSG20231.1.p1	YEAST02226
OG0001375	OFUSG07343.1.p1, OFUSG17328.1.p1	YEAST05499, YEAST05567
OG0001378	OFUSG06638.1.p1	YEAST02300
OG0001379	OFUSG25798.1.p1	YEAST04155
OG0001386	OFUSG04435.2.p1, OFUSG04435.1.p1	YEAST05114
OG0001397	OFUSG18946.1.p1, OFUSG05696.1.p1	YEAST05731
OG0001400	OFUSG16752.1.p1	YEAST02931
OG0001409	OFUSG08545.1.p1	YEAST00885, YEAST04659
OG0001410	OFUSG03571.1.p1, OFUSG05214.1.p1	YEAST05046
OG0001411	OFUSG03508.1.p1	YEAST04834
OG0001412	OFUSG18887.1.p1, OFUSG15817.1.p1	YEAST04490
OG0001413	OFUSG22121.1.p1, OFUSG08829.2.p1, OFUSG08829.1.p1	YEAST04294
OG0001414	OFUSG11958.2.p1, OFUSG11958.1.p1, OFUSG18118.1.p1	YEAST06070, YEAST01920
OG0001415	OFUSG15519.1.p1	YEAST04230
OG0001415	OFUSG13887.1.p1, OFUSG13881.1.p1, OFUSG13888.1.p1	YEAST00964
OG0001421	OFUSG12383.1.p1, OFUSG12383.2.p1, OFUSG12383.3.p1	YEAST05252
OG0001422	OFUSG26586.1.p1, OFUSG26586.2.p1	YEAST05588, YEAST01363
OG0001424	OFUSG16407.2.p1, OFUSG16407.1.p1, OFUSG06362.1.p1	YEAST01127
OG0001427	OFUSG17237.1.p1, OFUSG17237.2.p1	YEAST01885
OG0001428	OFUSG13057.1.p1, OFUSG13057.2.p1	YEAST04862, YEAST05862, YEAST02749, YEAST03037
OG0001430	OFUSG12101.2.p1, OFUSG12101.1.p1	YEAST01712
OG0001434	OFUSG01502.1.p1, OFUSG08642.1.p1, OFUSG01505.1.p1, OFUSG01506.1.p1, OFUSG01495.1.p1, OFUSG01494.1.p1, OFUSG01496.1.p1	YEAST03991
OG0001437	OFUSG20380.1.p1	YEAST01264, YEAST02900
OG0001445	OFUSG25750.1.p1	YEAST01715
OG0001449	OFUSG23473.1.p1	YEAST03188
OG0001452	OFUSG19630.4.p1, OFUSG19630.3.p1, OFUSG19630.2.p1, OFUSG19630.1.p1	YEAST05900
OG0001454	OFUSG02983.3.p1, OFUSG02983.1.p1, OFUSG02983.2.p1	YEAST01495, YEAST00573
OG0001456	OFUSG19848.1.p1, OFUSG19840.1.p1	YEAST00365
OG0001459	OFUSG26657.1.p1	YEAST03073, YEAST03464
OG0001461	OFUSG06941.1.p1, OFUSG06941.2.p1	YEAST05255
OG0001468	OFUSG16624.1.p1	YEAST03875, YEAST03904
OG0001469	OFUSG19276.1.p1	YEAST02070
OG0001469	OFUSG01366.1.p1	YEAST02765
OG0001470	OFUSG23956.1.p1	YEAST00369, YEAST05375
OG0001472	OFUSG15801.1.p1, OFUSG11564.1.p1, OFUSG11564.2.p1	YEAST03031
OG0001473	OFUSG18207.1.p1, OFUSG18989.2.p1, OFUSG18989.1.p1	YEAST05711
OG0001474	OFUSG22251.1.p1, OFUSG03993.1.p1	YEAST01416, YEAST05312
OG0001478	OFUSG11728.1.p1, OFUSG11728.2.p1	YEAST01984
OG0001478	OFUSG17892.2.p1, OFUSG17892.1.p1	YEAST02078
OG0001479	OFUSG07446.2.p1, OFUSG07446.1.p1, OFUSG07446.4.p1, OFUSG07446.3.p1	YEAST01132
OG0001503	OFUSG09447.1.p1	YEAST03032
OG0001503	OFUSG11182.1.p1	YEAST02920
OG0001504	OFUSG25921.1.p1, OFUSG25920.1.p1, OFUSG20289.1.p1, OFUSG20286.1.p1	YEAST05406
OG0001505	OFUSG14500.1.p1, OFUSG00231.1.p1	YEAST03361
OG0001508	OFUSG25521.5.p1, OFUSG25521.2.p1, OFUSG25521.1.p1, OFUSG25521.4.p1, OFUSG25521.3.p1	YEAST04143
OG0001515	OFUSG22166.1.p1	YEAST03320, YEAST03569
