Orthogroup	OWEFU	CAPO3
OG0001311	OFUSG12707.3.p1, OFUSG12707.2.p1, OFUSG12707.1.p1, OFUSG15938.2.p1, OFUSG15938.1.p1	CAPO300585
OG0001312	OFUSG01787.1.p1, OFUSG17940.1.p1, OFUSG19112.1.p1	CAPO304811
OG0001314	OFUSG01280.1.p1, OFUSG25481.1.p1, OFUSG26729.1.p1, OFUSG26729.2.p1	CAPO306642
OG0001317	OFUSG17795.1.p1, OFUSG06662.2.p1, OFUSG06662.1.p1	CAPO302225
OG0001318	OFUSG00323.1.p1	CAPO306280
OG0001318	OFUSG00343.1.p1	CAPO303315
OG0001319	OFUSG26856.1.p1, OFUSG26856.2.p1	CAPO304915
OG0001320	OFUSG23083.1.p1	CAPO307498
OG0001320	OFUSG21928.1.p1, OFUSG11012.1.p1, OFUSG11010.1.p1	CAPO304958
OG0001321	OFUSG16548.1.p1	CAPO301358
OG0001322	OFUSG11624.1.p1	CAPO302022
OG0001323	OFUSG11964.4.p1, OFUSG11964.3.p1, OFUSG11964.1.p1, OFUSG11964.2.p1	CAPO301735
OG0001325	OFUSG10884.1.p1	CAPO304115
OG0001326	OFUSG19214.1.p1	CAPO306149
OG0001327	OFUSG12772.1.p1, OFUSG06432.1.p1	CAPO305568
OG0001328	OFUSG06410.1.p1, OFUSG16658.1.p1, OFUSG24276.1.p1, OFUSG01967.1.p1, OFUSG01966.2.p1, OFUSG01966.1.p1, OFUSG21221.1.p1, OFUSG06755.1.p1, OFUSG02927.1.p1, OFUSG25134.1.p1, OFUSG25133.1.p1, OFUSG11426.1.p1, OFUSG25137.1.p1, OFUSG03622.1.p1, OFUSG13559.1.p1	CAPO302287
OG0001330	OFUSG15141.1.p1	CAPO304584, CAPO300112
OG0001332	OFUSG05145.1.p1, OFUSG17350.1.p1	CAPO305487
OG0001333	OFUSG07585.1.p1, OFUSG07585.2.p1	CAPO301191
OG0001344	OFUSG10181.1.p1	CAPO308153
OG0001345	OFUSG06158.1.p1	CAPO306177
OG0001348	OFUSG14452.1.p1, OFUSG14452.2.p1	CAPO304908
OG0001350	OFUSG20926.1.p1	CAPO305116, CAPO303054
OG0001352	OFUSG21804.1.p1, OFUSG10126.1.p1	CAPO303801
OG0001353	OFUSG17569.1.p1	CAPO301816
OG0001355	OFUSG06812.1.p1	CAPO307732
OG0001358	OFUSG00575.1.p1	CAPO302204
OG0001359	OFUSG09546.1.p1, OFUSG09546.4.p1, OFUSG09546.3.p1, OFUSG09546.2.p1	CAPO303726
OG0001361	OFUSG09658.1.p1, OFUSG09658.2.p1	CAPO306689
OG0001364	OFUSG21480.2.p1, OFUSG21480.1.p1	CAPO307249
OG0001366	OFUSG24531.1.p1, OFUSG24531.2.p1, OFUSG24530.1.p1, OFUSG24526.1.p1	CAPO302707
OG0001367	OFUSG13306.3.p1, OFUSG13306.2.p1, OFUSG13306.1.p1	CAPO304628
OG0001370	OFUSG26505.1.p1	CAPO305064
OG0001370	OFUSG07390.1.p1	CAPO306956
OG0001372	OFUSG17365.1.p1	CAPO301063
OG0001372	OFUSG20231.1.p1	CAPO306529
OG0001373	OFUSG10557.1.p1	CAPO300734
OG0001378	OFUSG06638.1.p1	CAPO302717
OG0001379	OFUSG25798.1.p1	CAPO304865
OG0001382	OFUSG07337.1.p1, OFUSG07337.3.p1, OFUSG07337.2.p1	CAPO306735
OG0001383	OFUSG08386.1.p1, OFUSG08386.2.p1	CAPO300442
OG0001386	OFUSG04435.2.p1, OFUSG04435.1.p1	CAPO305078
OG0001387	OFUSG08838.2.p1, OFUSG08838.1.p1, OFUSG09228.1.p1, OFUSG09227.1.p1, OFUSG09228.2.p1, OFUSG09228.3.p1, OFUSG09222.1.p1, OFUSG09222.2.p1, OFUSG23297.1.p1, OFUSG21160.1.p1	CAPO306110, CAPO306288
OG0001397	OFUSG18946.1.p1, OFUSG05696.1.p1	CAPO306119
OG0001399	OFUSG05115.2.p1, OFUSG05115.1.p1	CAPO304148
OG0001400	OFUSG16752.1.p1	CAPO305841
OG0001404	OFUSG10243.1.p1, OFUSG20498.1.p1, OFUSG06110.1.p1, OFUSG13591.1.p1	CAPO302450
OG0001405	OFUSG08687.1.p1	CAPO302942
OG0001406	OFUSG26862.2.p1, OFUSG26862.1.p1	CAPO305604
OG0001408	OFUSG26701.3.p1, OFUSG26701.5.p1, OFUSG26701.1.p1, OFUSG26701.2.p1, OFUSG26701.4.p1	CAPO304468
OG0001409	OFUSG08545.1.p1	CAPO300832
OG0001410	OFUSG03571.1.p1	CAPO304381
OG0001410	OFUSG05214.1.p1	CAPO303461
OG0001411	OFUSG03508.1.p1	CAPO301653
OG0001412	OFUSG18887.1.p1, OFUSG15817.1.p1	CAPO304843
OG0001413	OFUSG22121.1.p1	CAPO300375
OG0001414	OFUSG11958.2.p1, OFUSG11958.1.p1	CAPO301834
OG0001414	OFUSG18118.1.p1	CAPO303273
OG0001415	OFUSG15519.1.p1, OFUSG13887.1.p1, OFUSG13881.1.p1, OFUSG13888.1.p1	CAPO307087
OG0001416	OFUSG13299.1.p1, OFUSG13300.2.p1, OFUSG13300.1.p1	CAPO300753
OG0001418	OFUSG17720.1.p1	CAPO300218
OG0001422	OFUSG26586.1.p1, OFUSG26586.2.p1	CAPO308345, CAPO303120
OG0001423	OFUSG07664.2.p1, OFUSG07664.1.p1	CAPO301310
OG0001424	OFUSG16407.2.p1, OFUSG16407.1.p1, OFUSG06362.1.p1	CAPO304776
OG0001425	OFUSG07569.2.p1, OFUSG07569.1.p1	CAPO302275, CAPO302850
OG0001426	OFUSG13058.1.p1	CAPO302841
OG0001427	OFUSG17237.1.p1, OFUSG17237.2.p1	CAPO302723
OG0001428	OFUSG13057.1.p1, OFUSG13057.2.p1	CAPO303027
OG0001430	OFUSG12101.2.p1, OFUSG12101.1.p1	CAPO300562
OG0001431	OFUSG13522.1.p1	CAPO308230
OG0001437	OFUSG20380.1.p1	CAPO304955
OG0001440	OFUSG16509.1.p1, OFUSG12251.1.p1, OFUSG04935.1.p1	CAPO305450
OG0001445	OFUSG25750.1.p1	CAPO301958
OG0001446	OFUSG14848.3.p1, OFUSG14848.1.p1, OFUSG14848.2.p1	CAPO304614
OG0001447	OFUSG12539.1.p1, OFUSG24597.1.p1, OFUSG24597.2.p1	CAPO307093
OG0001449	OFUSG23473.1.p1	CAPO306822
OG0001451	OFUSG25146.1.p1, OFUSG01699.1.p1	CAPO300036
OG0001452	OFUSG19630.4.p1, OFUSG19630.3.p1, OFUSG19630.2.p1, OFUSG19630.1.p1	CAPO301933
OG0001454	OFUSG02983.3.p1, OFUSG02983.1.p1, OFUSG02983.2.p1	CAPO303806
OG0001456	OFUSG19840.1.p1	CAPO307965
OG0001459	OFUSG26657.1.p1	CAPO307035
OG0001460	OFUSG24617.1.p1	CAPO300988
OG0001460	OFUSG10186.1.p1, OFUSG10186.2.p1	CAPO305875
OG0001461	OFUSG06941.1.p1, OFUSG06941.2.p1	CAPO303413, CAPO301012, CAPO307458, CAPO305472
OG0001463	OFUSG20516.1.p1, OFUSG20517.1.p1	CAPO304054
OG0001466	OFUSG26312.2.p1, OFUSG26312.1.p1, OFUSG17818.1.p1	CAPO305831
OG0001467	OFUSG05523.1.p1, OFUSG05528.1.p1	CAPO304882
OG0001468	OFUSG16624.1.p1	CAPO306475
OG0001469	OFUSG19276.1.p1	CAPO306371
OG0001469	OFUSG01366.1.p1	CAPO301724
OG0001470	OFUSG23956.1.p1	CAPO305163
OG0001472	OFUSG15801.1.p1	CAPO300986
OG0001472	OFUSG11564.1.p1, OFUSG11564.2.p1	CAPO305311
OG0001473	OFUSG18207.1.p1, OFUSG18989.2.p1, OFUSG18989.1.p1	CAPO304310
OG0001474	OFUSG03993.1.p1	CAPO306191
OG0001475	OFUSG17648.1.p1	CAPO305552
OG0001476	OFUSG01467.4.p1, OFUSG01467.3.p1, OFUSG01467.2.p1, OFUSG01467.1.p1, OFUSG01467.5.p1	CAPO305062
OG0001478	OFUSG11728.1.p1, OFUSG11728.2.p1	CAPO303095
OG0001478	OFUSG17892.2.p1, OFUSG17892.1.p1	CAPO304965
OG0001479	OFUSG07446.2.p1, OFUSG07446.1.p1, OFUSG07446.4.p1, OFUSG07446.3.p1	CAPO306515
OG0001482	OFUSG22337.1.p1	CAPO307610
OG0001484	OFUSG06287.1.p1	CAPO301411
OG0001485	OFUSG09235.1.p1	CAPO301954
OG0001486	OFUSG00394.1.p1	CAPO302441
OG0001490	OFUSG25092.1.p1	CAPO305433
OG0001492	OFUSG23987.1.p1	CAPO305155
OG0001495	OFUSG19268.1.p1	CAPO302008
OG0001496	OFUSG05951.1.p1, OFUSG05951.2.p1, OFUSG13175.1.p1, OFUSG04568.1.p1	CAPO301356
OG0001500	OFUSG14370.1.p1	CAPO300054
OG0001501	OFUSG14356.1.p1, OFUSG12297.1.p1	CAPO305474
OG0001503	OFUSG09447.1.p1	CAPO305666
OG0001503	OFUSG11182.1.p1	CAPO307598
OG0001504	OFUSG25921.1.p1, OFUSG25920.1.p1, OFUSG20289.1.p1, OFUSG20286.1.p1	CAPO307661
OG0001505	OFUSG14500.1.p1, OFUSG00231.1.p1	CAPO301009
OG0001506	OFUSG21438.1.p1, OFUSG21439.1.p1, OFUSG21439.2.p1	CAPO300953
OG0001507	OFUSG11499.1.p1	CAPO304204
OG0001511	OFUSG24738.4.p1, OFUSG24738.5.p1, OFUSG24738.2.p1, OFUSG24738.3.p1, OFUSG24738.1.p1	CAPO306127, CAPO305043
OG0001512	OFUSG04386.1.p1	CAPO301118
OG0001515	OFUSG22166.1.p1	CAPO302117
OG0001516	OFUSG17628.1.p1	CAPO300345
OG0001517	OFUSG06248.1.p1, OFUSG06219.1.p1, OFUSG05910.1.p1	CAPO303690
OG0001519	OFUSG16706.1.p1, OFUSG09441.1.p1, OFUSG09445.1.p1, OFUSG09446.1.p1	CAPO306949
OG0001522	OFUSG12012.1.p1, OFUSG09440.1.p1	CAPO303667
OG0001524	OFUSG05517.1.p1	CAPO300996
OG0001524	OFUSG20787.1.p1	CAPO308304
OG0001525	OFUSG15472.1.p1, OFUSG22614.1.p1, OFUSG07123.1.p1, OFUSG15288.1.p1	CAPO303907
OG0001526	OFUSG22795.2.p1, OFUSG22795.1.p1, OFUSG22796.1.p1	CAPO305679
OG0001527	OFUSG15032.1.p1	CAPO300128
OG0001527	OFUSG20384.1.p1	CAPO307636
OG0001529	OFUSG12625.1.p1	CAPO300593
OG0001530	OFUSG10223.1.p1	CAPO302602
OG0001532	OFUSG13298.5.p1, OFUSG13298.3.p1, OFUSG13298.4.p1, OFUSG13298.2.p1, OFUSG13298.1.p1	CAPO300282
OG0001533	OFUSG16623.1.p1, OFUSG16623.2.p1, OFUSG21924.1.p1, OFUSG21924.2.p1	CAPO306032
OG0001534	OFUSG10906.1.p1	CAPO304425
OG0001537	OFUSG22984.1.p1, OFUSG22984.2.p1, OFUSG23136.1.p1, OFUSG23140.1.p1, OFUSG23139.1.p1, OFUSG26723.1.p1, OFUSG11926.1.p1, OFUSG12403.1.p1, OFUSG11821.1.p1, OFUSG15935.1.p1, OFUSG01451.3.p1, OFUSG01451.1.p1, OFUSG11442.1.p1, OFUSG01451.2.p1, OFUSG07838.1.p1, OFUSG15769.1.p1, OFUSG15768.1.p1, OFUSG20432.1.p1, OFUSG20431.1.p1, OFUSG20434.1.p1, OFUSG15657.1.p1, OFUSG18483.1.p1, OFUSG16293.1.p1, OFUSG16294.1.p1, OFUSG16292.1.p1	CAPO300641
OG0001545	OFUSG09624.1.p1	CAPO300895
OG0001551	OFUSG25055.1.p1	CAPO306604
OG0001553	OFUSG10097.1.p1	CAPO308172
OG0001554	OFUSG00383.1.p1	CAPO302370
OG0001557	OFUSG05825.1.p1	CAPO304176
OG0001558	OFUSG09924.1.p1, OFUSG09924.2.p1, OFUSG09922.1.p1, OFUSG09922.2.p1	CAPO301132
OG0001559	OFUSG21941.1.p1	CAPO301785
OG0001561	OFUSG06786.2.p1, OFUSG06786.3.p1, OFUSG06786.1.p1	CAPO301999
OG0001563	OFUSG08671.1.p1, OFUSG08672.1.p1, OFUSG11998.1.p1, OFUSG19662.1.p1, OFUSG19662.2.p1, OFUSG18933.1.p1	CAPO306378
OG0001564	OFUSG14697.1.p1	CAPO301061
OG0001567	OFUSG21372.1.p1	CAPO300948
OG0001568	OFUSG17474.1.p1	CAPO301468
OG0001570	OFUSG23609.1.p1	CAPO303364
OG0001572	OFUSG00007.1.p1, OFUSG13225.2.p1, OFUSG13225.1.p1	CAPO304756
OG0001572	OFUSG20423.1.p1	CAPO304137
OG0001573	OFUSG14864.2.p1, OFUSG14864.1.p1	CAPO305125, CAPO303819
OG0001576	OFUSG20027.2.p1, OFUSG20027.1.p1, OFUSG20027.4.p1, OFUSG20027.3.p1, OFUSG20027.5.p1	CAPO306270
OG0001578	OFUSG05992.3.p1, OFUSG05992.4.p1, OFUSG05992.2.p1, OFUSG05992.1.p1	CAPO300715
OG0001580	OFUSG20608.1.p1, OFUSG20608.2.p1	CAPO307900
OG0001581	OFUSG18453.1.p1, OFUSG18454.1.p1, OFUSG02446.1.p1, OFUSG23330.2.p1, OFUSG23330.1.p1, OFUSG03462.1.p1, OFUSG03460.1.p1, OFUSG05108.1.p1, OFUSG11547.1.p1	CAPO306056
OG0001582	OFUSG22286.1.p1, OFUSG06205.1.p1	CAPO307073
OG0001583	OFUSG05885.2.p1, OFUSG05885.1.p1	CAPO306289
OG0001584	OFUSG24964.1.p1, OFUSG24974.1.p1, OFUSG24974.2.p1	CAPO301068
OG0001589	OFUSG10507.5.p1, OFUSG10507.1.p1, OFUSG10507.4.p1, OFUSG10507.3.p1, OFUSG10507.2.p1	CAPO303301, CAPO304004
OG0001590	OFUSG09775.1.p1	CAPO302386
OG0001594	OFUSG16704.2.p1, OFUSG16704.1.p1, OFUSG17600.1.p1	CAPO307886
OG0001594	OFUSG00456.1.p1	CAPO304243
OG0001597	OFUSG07388.1.p1	CAPO302703
OG0001599	OFUSG18213.1.p1	CAPO300887
OG0001600	OFUSG12650.2.p1, OFUSG12650.1.p1	CAPO305994
OG0001603	OFUSG12852.1.p1, OFUSG12851.1.p1, OFUSG08350.1.p1	CAPO306228
OG0001604	OFUSG24197.1.p1	CAPO303898
OG0001605	OFUSG23142.1.p1	CAPO307473
OG0001609	OFUSG14330.1.p1	CAPO304683
OG0001609	OFUSG19250.1.p1	CAPO302057
OG0001610	OFUSG17088.1.p1	CAPO301483
OG0001611	OFUSG12586.1.p1	CAPO305038
OG0001612	OFUSG01293.1.p1, OFUSG01299.1.p1, OFUSG01298.1.p1, OFUSG01298.2.p1, OFUSG01296.1.p1, OFUSG01297.1.p1	CAPO302202
OG0001614	OFUSG08953.2.p1, OFUSG08953.1.p1, OFUSG11645.1.p1, OFUSG10190.1.p1, OFUSG10189.1.p1	CAPO303895
OG0001614	OFUSG18541.1.p1	CAPO307630
OG0001615	OFUSG01248.1.p1, OFUSG01248.2.p1, OFUSG01248.3.p1, OFUSG01248.4.p1	CAPO300749
OG0001617	OFUSG19078.1.p1, OFUSG19085.1.p1	CAPO302798
OG0001621	OFUSG02725.1.p1	CAPO302875
OG0001622	OFUSG06019.1.p1	CAPO302121
OG0001634	OFUSG07239.1.p1	CAPO305688
OG0001634	OFUSG21930.1.p1	CAPO305614
OG0001638	OFUSG23959.1.p1	CAPO303528
OG0001641	OFUSG04477.1.p1, OFUSG23736.1.p1	CAPO303281
OG0001643	OFUSG09397.1.p1	CAPO306838
OG0001644	OFUSG26454.1.p1, OFUSG26454.2.p1	CAPO303665
OG0001652	OFUSG16763.1.p1	CAPO302838
OG0001653	OFUSG13617.1.p1	CAPO305118
OG0001655	OFUSG19612.1.p1	CAPO302812
OG0001657	OFUSG15406.1.p1, OFUSG15406.3.p1, OFUSG15406.2.p1	CAPO304165, CAPO303952
OG0001660	OFUSG02161.1.p1	CAPO305930
OG0001661	OFUSG15534.1.p1	CAPO302789
OG0001663	OFUSG06909.1.p1	CAPO301057
OG0001664	OFUSG26329.1.p1, OFUSG26329.2.p1	CAPO303152
OG0001665	OFUSG10767.1.p1, OFUSG10032.1.p1, OFUSG10032.2.p1	CAPO302331
OG0001672	OFUSG23239.1.p1	CAPO301880
OG0001673	OFUSG11305.1.p1	CAPO305520
OG0001674	OFUSG16647.2.p1, OFUSG16647.1.p1	CAPO301357
OG0001675	OFUSG17634.1.p1, OFUSG17634.2.p1	CAPO307574
OG0001676	OFUSG10790.1.p1	CAPO300524
OG0001676	OFUSG03925.1.p1	CAPO305992
OG0001677	OFUSG14870.1.p1	CAPO307978
OG0001679	OFUSG24986.1.p1, OFUSG24986.2.p1	CAPO302155, CAPO305784
OG0001680	OFUSG26807.1.p1	CAPO304235, CAPO304477
OG0001684	OFUSG07981.1.p1	CAPO300563
OG0001685	OFUSG03463.1.p1	CAPO307707
OG0001686	OFUSG10823.1.p1, OFUSG10823.2.p1, OFUSG21390.1.p1, OFUSG05324.1.p1	CAPO307138
OG0001687	OFUSG21593.1.p1, OFUSG21593.2.p1	CAPO302907
OG0001688	OFUSG03820.2.p1, OFUSG03820.1.p1	CAPO300133
OG0001690	OFUSG25433.2.p1, OFUSG25433.1.p1, OFUSG06878.1.p1	CAPO304820
OG0001691	OFUSG15006.2.p1, OFUSG15006.1.p1	CAPO307420
OG0001699	OFUSG22107.1.p1, OFUSG09100.1.p1, OFUSG20815.1.p1, OFUSG20818.1.p1, OFUSG20819.1.p1, OFUSG18192.1.p1, OFUSG18194.1.p1, OFUSG18196.1.p1, OFUSG18193.1.p1, OFUSG05275.1.p1, OFUSG20816.1.p1, OFUSG04794.1.p1, OFUSG04794.2.p1, OFUSG20189.1.p1	CAPO306472, CAPO300057
OG0001704	OFUSG09797.1.p1	CAPO304434
OG0001706	OFUSG02180.1.p1	CAPO301033
OG0001707	OFUSG23536.1.p1	CAPO303836
OG0001708	OFUSG14193.1.p1, OFUSG14192.1.p1, OFUSG14192.2.p1	CAPO303804
OG0001709	OFUSG18239.1.p1, OFUSG18240.1.p1, OFUSG22770.1.p1	CAPO304969
OG0001711	OFUSG21715.2.p1, OFUSG21715.1.p1	CAPO301872
OG0001713	OFUSG17447.2.p1, OFUSG17447.1.p1	CAPO308041
OG0001713	OFUSG20590.1.p1, OFUSG20591.1.p1	CAPO302278
OG0001714	OFUSG10942.1.p1	CAPO306669
OG0001714	OFUSG12071.1.p1	CAPO300188
OG0001718	OFUSG12593.1.p1	CAPO301559, CAPO301838
OG0001720	OFUSG15618.1.p1	CAPO303957
OG0001721	OFUSG07044.1.p1	CAPO302302
OG0001723	OFUSG14623.2.p1, OFUSG14623.1.p1, OFUSG14623.3.p1	CAPO308089
OG0001724	OFUSG01073.1.p1, OFUSG01073.2.p1	CAPO306474
OG0001727	OFUSG11770.1.p1	CAPO301729
OG0001730	OFUSG02130.1.p1	CAPO303469
OG0001732	OFUSG24998.1.p1	CAPO304710
OG0001733	OFUSG06635.1.p1	CAPO306615
OG0001734	OFUSG16646.2.p1, OFUSG16646.1.p1, OFUSG16467.1.p1	CAPO306594
OG0001735	OFUSG15798.1.p1	CAPO301389
OG0001736	OFUSG23191.3.p1, OFUSG23191.4.p1, OFUSG23191.2.p1, OFUSG23191.1.p1	CAPO300355
OG0001738	OFUSG07016.1.p1	CAPO301655
OG0001739	OFUSG26004.1.p1, OFUSG26004.2.p1	CAPO304154
OG0001743	OFUSG08277.1.p1	CAPO306128
OG0001746	OFUSG01226.1.p1	CAPO306662
OG0001750	OFUSG24361.1.p1	CAPO304954
OG0001755	OFUSG07586.1.p1	CAPO300413
OG0001756	OFUSG08592.1.p1	CAPO301153
OG0001756	OFUSG10747.1.p1	CAPO306605
OG0001769	OFUSG10234.1.p1	CAPO300754
OG0001769	OFUSG12391.1.p1	CAPO306748
OG0001770	OFUSG07903.2.p1, OFUSG07903.1.p1	CAPO304551
OG0001772	OFUSG12371.1.p1, OFUSG09789.1.p1	CAPO303731
OG0001774	OFUSG05793.1.p1, OFUSG06044.1.p1, OFUSG06044.2.p1	CAPO302411
OG0001775	OFUSG08849.1.p1, OFUSG08850.1.p1	CAPO300385, CAPO303998
OG0001778	OFUSG19319.1.p1	CAPO303585
OG0001781	OFUSG16705.1.p1	CAPO304059
OG0001781	OFUSG05822.1.p1	CAPO306335
OG0001782	OFUSG09109.2.p1, OFUSG09109.1.p1	CAPO302329
OG0001783	OFUSG14625.1.p1	CAPO302497
OG0001787	OFUSG00916.1.p1	CAPO302384
OG0001789	OFUSG22370.1.p1	CAPO303597
OG0001792	OFUSG00241.1.p1, OFUSG00240.1.p1	CAPO305067
OG0001793	OFUSG23631.1.p1	CAPO302934
OG0001793	OFUSG13358.1.p1	CAPO300098
OG0001794	OFUSG07428.1.p1, OFUSG06495.1.p1	CAPO305037
OG0001797	OFUSG18738.1.p1	CAPO305230
OG0001799	OFUSG24184.1.p1	CAPO307439
OG0001800	OFUSG05613.1.p1	CAPO302099, CAPO301494
OG0001801	OFUSG07020.1.p1	CAPO301631, CAPO300406, CAPO302328, CAPO300564
OG0001802	OFUSG07737.1.p1	CAPO307992
OG0001804	OFUSG15172.2.p1, OFUSG15172.1.p1, OFUSG15172.3.p1	CAPO307706
OG0001805	OFUSG07794.1.p1	CAPO301307
OG0001807	OFUSG16465.1.p1	CAPO305640
OG0001808	OFUSG17082.1.p1, OFUSG17082.2.p1	CAPO300354
OG0001809	OFUSG08089.1.p1	CAPO307543
OG0001811	OFUSG06985.2.p1, OFUSG06985.3.p1, OFUSG06985.1.p1, OFUSG06985.4.p1, OFUSG06985.5.p1	CAPO304043
OG0001814	OFUSG15987.1.p1	CAPO305508
OG0001816	OFUSG23359.1.p1	CAPO300431
OG0001818	OFUSG25019.1.p1	CAPO302088
OG0001819	OFUSG17205.1.p1, OFUSG17322.2.p1, OFUSG17322.1.p1	CAPO307172
OG0001820	OFUSG18271.1.p1, OFUSG18274.3.p1, OFUSG18274.2.p1, OFUSG18274.1.p1	CAPO300515
OG0001822	OFUSG09898.2.p1, OFUSG09898.1.p1	CAPO301119
OG0001825	OFUSG13282.1.p1	CAPO306238
OG0001827	OFUSG25637.1.p1	CAPO303060
OG0001828	OFUSG04325.1.p1	CAPO305081
OG0001830	OFUSG21379.1.p1	CAPO300316
OG0001831	OFUSG10355.1.p1, OFUSG10355.2.p1	CAPO306824
OG0001832	OFUSG04392.1.p1	CAPO300612
OG0001834	OFUSG04076.2.p1, OFUSG04076.1.p1	CAPO301512
OG0001846	OFUSG09080.1.p1	CAPO305028
OG0001849	OFUSG13688.1.p1, OFUSG24339.1.p1	CAPO303014
OG0001850	OFUSG04411.1.p1, OFUSG20805.1.p1	CAPO301689
OG0001851	OFUSG05408.1.p1	CAPO303828
OG0001852	OFUSG06932.1.p1	CAPO303604
OG0001857	OFUSG12646.1.p1, OFUSG12646.2.p1	CAPO306766
OG0001859	OFUSG15452.1.p1, OFUSG00026.1.p1	CAPO304942
OG0001860	OFUSG26072.1.p1	CAPO306960
OG0001861	OFUSG07846.1.p1	CAPO303333
OG0001864	OFUSG26284.1.p1, OFUSG26284.2.p1, OFUSG26284.3.p1	CAPO300448
OG0001866	OFUSG26706.1.p1	CAPO306683
OG0001867	OFUSG10616.2.p1, OFUSG10616.1.p1	CAPO302026
OG0001870	OFUSG26416.1.p1	CAPO303422
OG0001871	OFUSG03219.1.p1	CAPO300664
OG0001873	OFUSG21524.1.p1	CAPO305494
OG0001875	OFUSG17004.1.p1	CAPO303129
OG0001875	OFUSG10883.1.p1	CAPO300770
OG0001877	OFUSG22014.1.p1, OFUSG22014.5.p1, OFUSG22014.2.p1, OFUSG22014.4.p1, OFUSG22014.3.p1	CAPO305419
OG0001878	OFUSG02609.1.p1	CAPO300594
OG0001879	OFUSG15689.1.p1	CAPO302675
OG0001879	OFUSG10494.1.p1	CAPO304068
OG0001882	OFUSG04127.1.p1	CAPO302587
OG0001883	OFUSG10073.2.p1, OFUSG10073.1.p1	CAPO304395
OG0001886	OFUSG07453.1.p1	CAPO301013
OG0001888	OFUSG21284.1.p1	CAPO307373
OG0001894	OFUSG06027.1.p1	CAPO305070
OG0001895	OFUSG22819.1.p1	CAPO300178
OG0001898	OFUSG11987.1.p1	CAPO303887
OG0001900	OFUSG11663.1.p1	CAPO306468, CAPO308362
OG0001901	OFUSG02388.2.p1, OFUSG02388.3.p1, OFUSG02388.1.p1	CAPO302174
OG0001903	OFUSG12044.1.p1	CAPO301651
OG0001913	OFUSG06981.1.p1, OFUSG06981.2.p1, OFUSG06981.4.p1, OFUSG06981.3.p1	CAPO308270
OG0001914	OFUSG22097.1.p1, OFUSG10634.2.p1, OFUSG10634.1.p1	CAPO308187
OG0001915	OFUSG23826.1.p1, OFUSG23826.2.p1, OFUSG00902.1.p1	CAPO305922
OG0001916	OFUSG11739.1.p1, OFUSG11738.1.p1	CAPO304398
OG0001917	OFUSG17278.1.p1	CAPO303937
OG0001919	OFUSG16778.3.p1, OFUSG16778.4.p1, OFUSG16778.2.p1, OFUSG16778.1.p1	CAPO305966
OG0001919	OFUSG10852.1.p1	CAPO300799
OG0001923	OFUSG26579.3.p1, OFUSG26579.2.p1, OFUSG26579.1.p1	CAPO300364
OG0001926	OFUSG21452.1.p1	CAPO308203
OG0001927	OFUSG06203.2.p1, OFUSG06203.3.p1, OFUSG06203.1.p1	CAPO303832
OG0001928	OFUSG12913.1.p1	CAPO303627
OG0001930	OFUSG08506.1.p1, OFUSG08506.2.p1	CAPO301567
OG0001931	OFUSG01021.1.p1, OFUSG06059.1.p1	CAPO306905
OG0001932	OFUSG13988.1.p1	CAPO304653
OG0001935	OFUSG17306.1.p1, OFUSG17306.2.p1, OFUSG24584.1.p1	CAPO301339
OG0001937	OFUSG20363.1.p1, OFUSG03695.2.p1, OFUSG03695.1.p1, OFUSG13343.1.p1, OFUSG13445.1.p1, OFUSG08131.1.p1	CAPO301986
OG0001940	OFUSG22335.1.p1	CAPO307447
OG0001941	OFUSG16600.1.p1	CAPO303660
OG0001943	OFUSG16984.3.p1, OFUSG16984.1.p1, OFUSG16984.2.p1	CAPO306393, CAPO304272
OG0001945	OFUSG01546.1.p1	CAPO302125, CAPO302413
OG0001947	OFUSG19153.1.p1	CAPO306182
OG0001948	OFUSG12003.1.p1	CAPO307548
OG0001949	OFUSG14945.1.p1, OFUSG14945.2.p1	CAPO303945
OG0001951	OFUSG23273.1.p1	CAPO305792
OG0001953	OFUSG10033.1.p1	CAPO306993
OG0001956	OFUSG23188.1.p1	CAPO302405
OG0001957	OFUSG22505.1.p1	CAPO307027
OG0001961	OFUSG08360.1.p1, OFUSG08360.2.p1	CAPO301591
OG0001963	OFUSG08525.1.p1	CAPO304559
OG0001964	OFUSG14609.1.p1	CAPO306144
OG0001965	OFUSG18303.1.p1	CAPO305377
OG0001966	OFUSG09742.1.p1, OFUSG07382.1.p1, OFUSG18672.1.p1, OFUSG18672.2.p1	CAPO308069
OG0001968	OFUSG07229.2.p1, OFUSG07229.1.p1	CAPO303436
OG0001969	OFUSG09530.1.p1	CAPO301897
OG0001972	OFUSG21157.2.p1, OFUSG21157.1.p1	CAPO302726
OG0001985	OFUSG15038.1.p1, OFUSG15038.2.p1	CAPO307425
OG0001988	OFUSG17151.1.p1	CAPO301454
OG0001989	OFUSG07397.2.p1, OFUSG07397.1.p1	CAPO303699
OG0001992	OFUSG11780.1.p1, OFUSG11780.2.p1	CAPO301694
OG0001994	OFUSG14909.1.p1	CAPO307422
OG0001997	OFUSG05219.1.p1, OFUSG01638.1.p2, OFUSG01247.1.p1	CAPO301018, CAPO301017
OG0001998	OFUSG15491.1.p1	CAPO304168
OG0001999	OFUSG10544.1.p1, OFUSG10544.2.p1, OFUSG00835.1.p1	CAPO303159
