Orthogroup	SACKO_ok	Other
OG0006955	SACKO_20495	DANRE12440, DANRE12439, DANRE12441, DANRE12442
OG0006955	SACKO_20495	MOUSE35291, MOUSE35293
OG0006978	SACKO_05070	ORYLA17388
OG0007038	SACKO_13342	MOUSE31028
OG0007062	SACKO_09547	APOSC_14304
OG0007064	SACKO_21433	DANRE07305
OG0007134	SACKO_04099	HUMAN03575
OG0007149	SACKO_09858	BRALA06387, BRALA06385
OG0007277	SACKO_20437	APOSJ_00797
OG0007304	SACKO_17525	DANRE23396
OG0007304	SACKO_17525	ASTMX20413
OG0007304	SACKO_17525	ORYLA11541
OG0007304	SACKO_17525	NEMVE19345
OG0007304	SACKO_17525	SCHMD06782
OG0007304	SACKO_17525	HUMAN16563
OG0007405	SACKO_04392	MOUSE14443
OG0007410	SACKO_23508	ORYLA16770
OG0007418	SACKO_04419	AENJA_16895
OG0007419	SACKO_18390	HUMAN12143
OG0007600	SACKO_26367	HUMAN07630
OG0007600	SACKO_26367	bflo_22319
OG0008011	SACKO_30693	MOUSE52843
OG0008078	SACKO_11233	OFUSG25752.1.p1
OG0008106	SACKO_30348	DANRE43427
OG0008108	SACKO_04879	HUMAN14058
OG0008108	SACKO_04879	MOUSE49141
OG0008216	SACKO_03841	HELIO_10403
OG0008217	SACKO_06740	LYTVA_26320
OG0008259	SACKO_18354	HUMAN16698
OG0008363	SACKO_04760	HUMAN04961
OG0008657	SACKO_05034	AMPFI_24751
OG0009100	SACKO_04451	AENJA_13017
OG0009100	SACKO_04451	APOSJ_46385
OG0009404	SACKO_32585	HUMAN25848
OG0009598	SACKO_25886	AENJA_10111
OG0009645	SACKO_26963	AENJA_23425
OG0010324	SACKO_20199, SACKO_03106	bflo_09721
