Orthogroup	OWEFU	Other
OG0008078	OFUSG25752.1.p1	SACKO_11233
OG0008078	OFUSG25752.1.p1	bflo_21633
OG0008078	OFUSG25752.1.p1	BRALA13669
OG0008108	OFUSG04761.1.p1	HUMAN14058
OG0008108	OFUSG04761.1.p1	MOUSE49141
OG0008216	OFUSG12125.1.p1	HELIO_10403
OG0008536	OFUSG21391.1.p1	AENJA_05136
OG0008657	OFUSG07868.1.p1	AMPFI_24751
OG0009404	OFUSG00691.1.p1	HUMAN25848
OG0009598	OFUSG23448.1.p1	AENJA_10111
OG0011266	OFUSG20548.1.p1	TCONS_00008430.p1
